Hybridization REF	TCGA-A8-A09Q-01A-11R-A00Z-07
SEC23IP	0.566833333333333
UQCRC1	0.53625
LOC729603	-0.47975
C1orf71	0.303125
POLG	-2.049
ADAM23	-3.1975
TFR2	-1.585
RICTOR	-1.1752
MGC39606	-0.45275
C19orf55	-0.30275
SNAPC1	-1.539
GNA11	0.46775
CCDC52	-0.137
FSIP1	5.246
UPF3A	-0.7625
IGSF11	-1.87983333333333
LAGE3	0.923
CHST6	-2.429
UNC13B	0.843875
TTLL4	-1.151
ZNF687	-0.359
SDC2	-0.7311
COX7A2	-0.931
LAMB4	-0.20725
FAM24A	0.793
LRRTM3	-1.58316666666667
GPHB5	0.93425
OR4C13	2.139
EIF3EIP	0.405071428571429
HABP4	-0.8275
TMEM125	3.39625
CNTN2	-0.1585
ASNSD1	-0.313
FUT4	-0.106
ACF	-3.147
LOC158381	0.9905
CDH8	0.01475
AGPS	-1.86233333333333
C4orf18	2.003875
PECI	0.297166666666667
UNG	-0.710375
GSTP1	-2.738
DCUN1D5	-0.798
DKFZP564J0863	-0.308
SLC9A3R1	1.695125
BCDO2	-0.91125
CHMP7	-0.36275
REM2	1.569
DNHD1	-0.660625
FKBP4	1.56875
ZNF350	1.5755
MGC11102	0.540125
BST1	1.63775
KISS1R	0.752
NCR2	0.099
DEFB125	1.36
UBE2W	2.20025
KRT15	-0.80625
C10orf99	-0.085
SCN11A	1.12771428571429
GFI1	-1.63975
RDHE2	-0.674166666666667
FHL1	-0.900833333333333
OSGEP	-0.227666666666667
GATA1	-3.277
SMC6	-1.60975
TTTY14	-1.41875
LPIN3	-0.260666666666667
RPL4	0.3164
RBPMS	-1.5052
PRPF3	-0.0498333333333333
EMR1	-1.816
SPATA19	0.41825
XCR1	0.464
IRX3	1.5982
RBM6	-0.29625
KLF4	-0.7726
UNC5CL	1.1005
SEBOX	-0.592
BTK	0.578
KRCC1	0.5
C6orf27	-1.7915
SYTL5	-1.1595
PRND	1.30085714285714
LOC653319	-1.725
PIGL	-0.751
HUS1	-0.102166666666667
SFRS6	-0.301583333333333
C17orf77	0.8195
UIMC1	-0.764
FXYD2	-1.538
LOC283152	0.56925
ZNF667	2.24525
ZCCHC12	-0.59725
TFEC	4.5423
ATP7B	-0.517833333333333
POLD2	0.184833333333333
RG9MTD1	0.7045
ACOT2	0.306333333333333
HIST1H4I	0.25525
PPARGC1A	-2.79622222222222
ETFA	-0.339
POLRMT	-0.379
ZNF146	0.70475
MIA2	-0.6285
KLHL6	0.762
HOXB5	-1.227625
NENF	0.361666666666667
CUGBP1	0.96075
PRSS22	1.07566666666667
CASC4	1.5895
CUL4B	-0.1242
CENPJ	-1.3631
PITX1	0.108333333333333
FLJ31033	-0.1205
CELSR3	0.652666666666667
ZNF568	0.98175
ITSN1	-0.018
EHBP1L1	-0.844833333333333
C19orf2	0.02725
DCTN1	0.11625
LIN28B	-3.113
TNKS2	0.95525
C1QBP	-0.11425
CADPS2	0.862
SRMS	0.37
GJA9	0.2098
MGC24975	0.116833333333333
TRIM45	-1.74366666666667
TSP50	-0.3135
TCP1	-1.014
TMED7	0.3003
CMA1	1.6685
CENPL	-0.416166666666667
PTCRA	1.3315
FST	-4.43875
VWCE	-3.53125
PAWR	-0.90475
ABCC12	1.232
LDLR	-0.3345
ASTN2	-0.6773
LOC441212	-0.94
GPATCH8	0.36225
TANC2	-0.500083333333333
KIF4A	-1.30325
C18orf18	-1.982
PGM1	-1.16375
KIAA0258	0.72225
CPD	1.194875
SNCAIP	-1.23225
DCT	-4.145
HLA-DOA	3.86636363636364
OR11L1	1.114
UPK1B	0.1006
DNAJB4	-0.281125
UGT1A8	0.613333333333333
HIST1H4L	-0.2255
PECR	-1.39183333333333
HSPA2	1.44975
WFIKKN1	-2.4245
SERP1	2.268875
SYDE2	0.37425
TACR2	1.0405
NUP85	-0.6725
CD177	1.70566666666667
LGR5	-3.067
PIGG	-0.507083333333333
PTHR1	-2.1835
RAB5A	0.8054
FLJ13224	0.578
USP9Y	-2.0865
C7orf53	-0.8425
LRP1B	-1.36775
XAF1	1.5406
ABCG8	-0.995
ANKDD1A	-0.8305
DAND5	-1.5345
SPAG6	-0.1308
LINCR	0.55425
ZDHHC22	-1.2565
CCDC60	-0.775
THOC7	-0.878666666666667
TCTA	0.9914
OR8K3	0.19375
NY-REN-7	-0.13275
B2M	1.344
C6orf141	-2.619875
LPPR4	2.22
SQLE	1.08375
SEPHS1	0.31475
BTBD14B	0.260428571428571
PLRG1	-1.01375
SPG7	-0.8580625
ZNF614	-0.0133333333333333
PARD6G	-0.135166666666667
INPP5B	-0.2624
GRPEL2	-0.21375
PPID	-0.4584
TRIM56	-0.62625
UBE2J1	-0.083375
IL20RA	5.77975
LOC387856	0.0853333333333333
C1orf107	1.49475
UTS2R	0.4115
C19orf22	-0.158
SAFB2	0.101875
KIAA0652	0.59125
KLRG1	0.279166666666667
MS4A8B	5.37233333333333
FRAG1	0.4645
KIAA1546	-0.51625
E2F4	-1.2014
CLEC4M	0.573833333333333
BTBD14A	-2.24075
KIAA0999	0.1657
GYPA	-3.656
TAC1	-0.138375
TRAIP	-0.851166666666667
KIAA0232	-0.0927
ERCC8	-0.813375
GPX4	0.106625
KIAA0368	-0.905125
GPR157	-0.138
CTAGE4	-0.1805
C9orf30	-1.43033333333333
OR52A1	0.572
HSP90B3P	-0.1635
ALG9	0.0204
BTBD10	0.74925
SDK2	0.09975
BAIAP3	0.3635
RABGGTB	-0.438375
ANKRD40	-0.477
KRT74	0.236
CALCOCO2	0.0578571428571428
SNCA	-2.58225
TMSL8	-1.918375
C2orf53	1.149
ESRRB	0.07675
ARHGAP26	-1.75325
TDRD9	-2.9095
HRAS	0.442833333333333
KLRC4	-2.164
JAGN1	-0.201166666666667
BSDC1	-0.32725
RNF43	1.0452
NDUFAF1	0.3215
PHF12	0.9575
OR1L3	0.42275
FOLR2	2.985
LYZL6	-0.186
tcag7.1260	-0.979
WSB1	-1.32866666666667
PROS1	-0.9216
OSTN	0.12
PSMB8	-0.39025
SOCS4	-0.058375
DDIT4L	2.7075
MAS1	-0.7435
MGC34796	1.09075
CSHL1	0.0646666666666667
TBCCD1	0.5285
ZBTB7C	-0.218
AP2S1	0.324125
P15RS	-0.4092
VAT1	-0.4391
SHANK3	1.07933333333333
TUFM	-1.006
THEG	-0.60875
KRT34	-2.30775
SGSM3	0.34525
TOMM22	0.002125
SOCS3	-0.00366666666666667
CPO	1.9975
POP4	0.7375
BHLHB3	0.6495
MALL	0.281
OR1B1	-0.0595
PARK2	0.5602
GPR124	0.741
LCE1E	1.2955
RUVBL2	0.061
CGRRF1	0.0601
ACPL2	1.34925
WNT10B	-0.237625
BAIAP2L2	-1.89975
ISCA1	0.39
C1orf125	-0.5148
RPAP1	-0.93525
RAI16	-1.1965
RPL27	-0.313125
NLRP9	0.058
EPN1	0.6625
LOC388610	0.293625
SLC35A1	0.517
GAL	-2.92475
SLC14A2	0.06075
RDH11	-0.6205
FAM138F	0.1425
AUH	0.711
FLJ40243	2.22366666666667
C14orf129	0.522166666666667
MBD2	-0.432333333333333
ABHD14B	0.156125
PIGT	0.61025
ALS2CR4	-0.769625
ALAS1	0.5176
FOXO1	0.952
CRLF3	0.011
C20orf107	-0.7395
FARS2	0.5145
CCDC28A	0.8215
NPHP3	-0.95475
OR13F1	0.602
TSEN54	-0.54425
DEFB106B	-0.142888888888889
OR8B4	1.167
STH	2.52625
ZC3H14	-0.736125
CBX2	-0.405
TMEM49	-1.27625
C6orf21	0.754
FLJ20920	-0.311
CRTAP	0.743928571428571
DDX50	-0.35675
STYXL1	0.44
BLVRB	0.198333333333333
LOC147650	0.727166666666667
MMP24	-0.03325
GRID1	1.01133333333333
BANF1	-0.1635
CTAGEP	0.1055
HMBS	-1.7285
SLC25A24	0.420666666666667
C14orf50	-0.48075
MRO	1.4575
SLC25A15	-0.71525
FAM84B	3.8907
TDP1	0.2265
C16orf78	-0.269666666666667
C11orf57	0.538125
RFK	-1.030875
ZFYVE9	0.86125
STCH	2.3252
WIBG	-0.18625
LOC283871	-0.262833333333333
GBA2	-0.2028
NDUFB3	-0.222
HSD17B13	-1.0775
GRIN3A	2.33066666666667
FMNL1	-0.159333333333333
SEPT7	-0.7866
GNLY	4.087
GRAMD1C	-0.8
ZNF165	0.69525
USP38	0.38775
FAM83A	-2.99416666666667
C14orf24	1.25908333333333
ARMCX3	0.73625
ARHGDIB	0.403166666666667
AK1	-0.1145
KIAA1045	-0.399
DNAJB13	-0.962666666666666
NEU2	-0.256
HIST1H4B	0.0866666666666666
FAM20B	0.6103
HES2	-0.376307692307692
FAM73B	-0.5758
LOC388381	-0.3435
INTS7	-0.436090909090909
AMPH	0.1295
ZNF775	-0.467875
UCKL1	-0.653166666666667
C10orf97	0.2705
C1orf161	-0.46675
ALDH1L1	-0.73925
FLJ39378	-0.37525
SLC23A1	-3.486
RBM4B	0.07825
THAP4	0.137333333333333
OGFRL1	-0.89375
KIAA0831	-0.187875
PPP1R15A	-0.964333333333333
C1orf96	0.531785714285714
C12orf11	-2.053
BMF	0.214625
MAN1A1	1.782
KIAA1600	0.677333333333333
NLGN4X	-2.14475
ALOX12	-2.1475
RB1CC1	1.7209
NEIL2	0.2258
EIF4E	0.107272727272727
ABHD5	0.5525
EXOC4	0.0183333333333333
CIP29	-0.402333333333333
BATF2	0.04025
SLC29A4	-0.6985
HTR4	0.975333333333333
EMB	1.04525
TRAF6	0.44875
LMNB1	-1.04025
FAM19A5	-1.085
SHE	1.59425
PIK3C2B	0.65225
C15orf15	-0.5504
USP15	-0.000900000000000004
TCEAL2	0.081
C5orf39	-0.209666666666667
PTGER2	-0.343
SLC31A1	-0.035125
IFT172	-0.11075
ADAM29	0.564333333333333
GFOD1	0.747
ST7L	0.673333333333333
C15orf26	-4.186
PKN3	-1.15425
CNTD1	2.18916666666667
COMMD1	0.12725
NTRK2	2.48290909090909
FOXN3	0.158625
MFGE8	-0.4705
PFKFB2	1.43733333333333
TAS2R4	0.3905
ENTHD1	0.634666666666667
PRMT5	-0.36875
MGC16384	-1.496875
LOC442229	-0.32825
TSKU	2.644875
KRTCAP3	3.0925
PDLIM1	-0.2772
KCNS2	0.72725
RNF126	-0.896166666666667
CEP63	0.39475
CLIC4	-0.167125
hCG_1990170	-1.74025
ACR	0.6056
KLK7	2.04875
ALOX5AP	3.78775
RIPK3	3.48425
TAS2R9	0.5135
C19orf18	1.054
BIRC6	-0.239571428571429
ZNF16	1.9385
RFT1	-0.27225
SLC8A2	-1.21175
TACC1	-0.05875
ITGAD	3.09366666666667
SAMHD1	1.78375
SH3PXD2B	0.9195
EPC2	0.27875
C20orf85	0.357285714285714
ATP13A2	0.674833333333333
KRT4	-0.031125
CAPNS1	0.36775
MDM2	-0.32025
PCDH20	0.6435
KCNK9	0.504
OR2C1	0.884
KLHDC3	0.210166666666667
IPPK	-0.0535
EFHD2	-0.3115
GALR3	0.478
NBEA	-0.459
ABCA6	3.5539
CLDN3	1.14483333333333
AKT2	-0.0102857142857143
EGFR	-2.977
RBM16	-0.068125
ZDHHC3	0.6859
SLC25A4	-0.0373333333333333
CYB5B	-1.309
CPXM1	-0.79075
NDRG1	0.435076923076923
FLJ43826	-0.0605
OR5L2	0.5395
FARP2	-0.0844
MRPL46	-1.03833333333333
LDHAL6B	0.0788333333333333
MAPKAPK3	1.49683333333333
NCAM2	0.19525
PRKD2	0.1665
ZFP36L1	0.5831
CYSLTR1	1.438
OR4C3	0.816666666666667
HIST1H2AJ	1.5565
CCNB2	-1.73444444444444
ZNF10	0.16325
TMEM175	0.3755
FAM134A	1.2485
TIGD4	-0.2115
PCNP	0.4845
MGC39715	1.04025
LQK1	-0.47925
CREB1	1.591
TMPRSS3	-3.985
C4orf32	0.447625
LAT	-0.8375
KCNA3	-0.085
SKIV2L2	2.634
ROPN1B	-3.41075
tcag7.23	-0.159
CDT1	-2.274375
ZHX2	2.589125
CD28	-1.04375
ZNF624	2.45975
SEPT2	0.342
SOHLH2	-2.60814285714286
MCOLN3	0.4065
UNQ1945	0.678
MASP2	-1.8935
ZNRF3	-0.7213
GPATCH3	-0.4615
AGL	0.386125
QRICH2	-0.4575
PSD4	0.844833333333333
CCNB1IP1	-1.5215
ENPP7	0.25875
OBFC1	0.17275
KCNG3	-1.30866666666667
C14orf79	0.397833333333333
ENPEP	0.993666666666667
SCT	0.8095
SKI	0.449375
SEC61G	-0.39125
CAPN11	-0.0635
ATXN7L3	-0.18275
DBNDD1	0.0176666666666667
FAIM	0.1185
ANKRD36	-0.755
GABRP	-1.08166666666667
TACSTD2	1.8426
EIF3J	-0.37575
PPP2R2A	-1.41475
TEKT4	-0.5355
PVALB	-2.26716666666667
F10	-2.76283333333333
FAM134C	0.9015
COMP	4.787875
EFCBP1	-3.201
SCLT1	0.213625
TAL1	-0.9941
ACSL1	0.9135
ABCC5	0.920833333333333
ABL1	-0.742611111111111
RBBP7	0.793
PTPRG	-0.066375
NCOR1	0.1913
SPINK4	-1.28416666666667
TXNRD1	-1.2078
TNRC15	1.154
C9orf138	0.699625
UBE2H	1.68
BRDT	0.6938
C8orf31	0.1385
CCNE2	-0.340818181818182
SLC6A8	-0.487375
CALCR	-3.66625
PPP1CB	-0.500166666666667
ABHD8	-0.1785
ARF5	-0.5365
SLC24A4	1.6
CCT3	0.32425
ZNF121	0.779875
SLC3A2	-0.8146
OR13A1	0.4875
SLC5A10	-0.169333333333333
RAD50	-0.07275
IER5	-0.503125
MTHFD1L	-1.78
MBTPS2	1.26775
MVK	-0.2385
NCL	-0.3397
PSMD10	0.137
MOBP	0.198
FLJ32894	0.837
HRH1	-0.874333333333333
C5orf30	2.29275
NUDT16L1	0.9081
RASGRP3	4.18033333333333
PRKRIP1	-0.3912
CCDC75	-0.60175
LOC253970	0.0837499999999999
KIAA1239	0.36625
MED21	-0.24875
SYT11	0.344833333333333
NTSR2	0.0015
EGFL11	1.094
CXorf59	1.1575
OR2A25	-0.35275
SPTBN2	-0.814
LRMP	0.2
RNF111	-0.00175
PTH	-0.6395
LOC619208	-0.3405
KIAA0895	0.5805
RANBP5	-1.35025
P2RY10	2.47083333333333
NME5	3.9155
DDX21	-0.73325
LRSAM1	-0.041
HDAC11	2.4415
VMO1	2.85925
NOLA2	0.2495
ADAR	0.591
MTO1	-1.02433333333333
SF4	-0.116333333333333
P2RX1	0.312333333333333
HBM	0.43325
EN2	0.8025
C14orf172	0.04825
TM9SF2	0.2244
INHBE	-3.01233333333333
TCTE3	0.343583333333333
TOX2	-2.053
CTAGE3	0.376625
HBB	3.5695
MED15	-1.03683333333333
CASR	0.334333333333333
C6orf66	-1.13
MTPN	0.01425
UNC50	-0.536
C21orf33	0.683625
IRF2	1.01175
PGR	2.87416666666667
GPR84	2.98225
CROCCL1	-1.88825
SRPX	-1.8835
BRE	-0.300333333333333
FGF10	1.19725
SDC3	-0.0695
ZRSR1	0.201833333333333
DKFZP434P211	-0.105
SOX6	0.543
RPUSD2	-0.3455
C14orf173	-0.572666666666667
MAPK11	-0.5495
TBC1D22A	0.3335
FAM123A	-0.817
COL4A6	-3.78466666666667
TOMM70A	1.119
NAB1	-0.4115
MGC16385	-1.467125
TSPAN18	-0.153666666666667
MED31	-0.1235
PLG	-0.4035
CAPSL	-0.6825
ZNF532	-0.4642
ASB14	0.46025
CA8	2.20875
NUDT16P	0.530333333333333
SLFN11	-0.5855
LRRIQ2	1.031875
NOL7	0.107333333333333
BRMS1L	-0.156375
JARID1A	0.6855
PANK2	-0.75875
ICAM3	0.24225
MDS1	0.808
TAF8	-0.192
RNF139	1.447
ZNF594	-0.493
ADAM8	1.708625
SFTPC	-1.027125
MAN2B2	0.860875
RGS12	0.3975625
EIF1AY	-4.0695
LRRIQ1	-1.80833333333333
GPR150	0.556
CCDC21	-0.810833333333333
PRRG3	0.20525
SAA4	-4.00475
RAPGEF5	1.149125
ZCCHC2	0.303583333333333
MGC39372	-0.323
PPP4R2	1.17833333333333
CDCA2	-2.28233333333333
OR4D5	0.374833333333333
PTGFRN	0.15
SIGLEC5	0.245333333333333
C19orf61	-0.370166666666667
NMUR2	-0.3185
KIAA1586	-0.847333333333333
DAGLA	0.122333333333333
CHCHD6	1.1255
GPR32	-0.1655
NEUROD6	-0.1105
SLC2A4RG	0.0781875
CA5B	-0.0705
FBXL3	0.966
MPHOSPH9	-1.32075
HMG2L1	0.0605
HCN4	0.3516
CEACAM19	0.374
SH2D4B	0.816666666666667
HFE2	-0.798
TGM4	0.491666666666667
LYPD2	-0.473666666666667
TBC1D15	0.24775
MRPS21	-0.4156
NONO	0.2719
CLEC5A	2.4725
ITCH	-0.258
MGAT3	-1.29016666666667
MBP	-0.166625
RPP25	-0.3315
SOSTDC1	-5.15333333333333
HRC	-1.6555
TRIM48	-0.194
TMEM133	-1.08025
ECEL1P2	-0.992
HOXC11	-0.7945
DOK5	-0.938
HELZ	-0.198833333333333
LOC348180	-0.57725
MGC33894	0.47525
ADRB3	0.76
DMD	-0.433363636363636
PTRH2	-0.45375
MPEG1	4.00266666666667
NDUFA12	-0.419833333333333
KRTAP2-4	0.08
STAMBPL1	-1.0295
ADCY2	2.83383333333333
UNQ6125	0.5945
KLHL20	-0.1315
SRM	0.35575
OTC	-0.029
TMIE	-0.468
SNX8	-0.0685
LIPK	-0.341
CHURC1	-0.46175
KLC2	0.674333333333333
HDAC1	-0.580166666666667
FAM128A	0.551333333333333
FNDC3B	0.0894
MTCP1	-0.469
WFDC10B	-0.294444444444444
PCDHGB3	-0.338
ATRNL1	0.7555
CAV2	-0.611875
MED26	-0.0498333333333333
DUS1L	0.30375
CHRM3	-1.998125
NEK9	0.55575
WARS2	0.002
TBX22	0.0515
TOMM40	-0.51625
RP6-213H19.1	-1.1975
TUBGCP5	-0.728
IGSF6	5.91575
TPPP	0.941
UNQ6190	0.498
GSTM5	3.649625
BTD	1.11483333333333
PDCD1LG2	1.2355
SNRPB2	-0.904666666666667
ERICH1	-1.071625
APOA4	-1.8085
HOXA11	-2.57933333333333
NARG1	0.042
MKX	5.0525
RAB28	-0.533071428571429
PKP3	1.66775
SH3GL2	-2.81125
CTSO	4.4425
RPN2	0.4728125
IL28RA	-0.081
SFMBT1	0.52825
WDR57	-0.863625
FER1L3	1.10058333333333
HSF5	0.465666666666667
TTC9B	0.63275
C4BPA	-3.9575
ALB	-4.89807692307692
SORBS3	-0.76825
UPF2	0.2405
JPH1	-0.57
AGBL2	-1.16233333333333
DOPEY1	1.6925
TERF1	0.163
KIF22	-0.827833333333333
NINJ1	1.232
SEC61A2	-0.63375
HIST1H1D	0.558666666666667
SFXN4	0.24575
UCP3	0.0194
ZNF703	1.55566666666667
MYL6B	-0.6655
TREM1	2.732
OR52E6	0.461
CKMT2	1.2385
HLA-C	1.4275
SLC13A3	-3.30466666666667
TIMP4	-1.64925
SLIT2	2.206
RSF1	0.226111111111111
LONRF1	-1.28842857142857
MON1A	0.720833333333333
CACNG6	-1.96933333333333
DPPA4	-5.09
ZSWIM3	-0.264
ZNF804A	1.17
CCIN	0.656
SLC25A31	0.847666666666667
KCNMB4	1.11675
RABL5	0.58575
GALNS	-0.3864
STX6	0.393125
HIST1H1C	0.913166666666667
CIDEB	-0.298625
CASP4	-0.523
PDK3	1.4395
KCNJ11	2.3545
TPR	-0.216125
ZSCAN20	-1.552
MTX2	-0.42075
HIST1H2BH	1.32475
LOC283767	-1.0145
LYRM7	-0.879222222222222
BRD3	0.449333333333333
HIST1H2BO	0.9305
MAGEB10	-0.227
SLC45A1	0.7915
SERPINA3	1.954
KIAA0143	1.2955
KCNJ16	-0.67375
KRT79	-0.08625
FABP2	-0.843666666666667
NUT	-0.52275
ZNF57	-0.19425
FBXL4	1.093125
CLEC9A	0.283
UGT8	-1.29583333333333
BMP2K	1.217
MAPK4	-4.34675
SLC25A23	0.6299
HINT1	-0.8054
KRTAP13-1	0.1755
SFXN5	-1.1187
CHCHD2	0.396416666666667
FAM3D	1.743
NDP	1.549875
RHOBTB1	-0.436166666666667
SLC4A4	-1.894
RPL38	-0.315
HTF9C	-0.120666666666667
AP2A2	0.759375
ZBTB46	-0.193
MAP7D1	0.68225
AOX1	-1.162
CYR61	0.134583333333333
DTNA	-0.586230769230769
JRKL	-0.50625
TMOD3	-0.23175
EEA1	0.2992
ADCK5	-0.098
IL1R1	3.82616666666667
KLK3	0.383692307692308
HRSP12	0.65975
KTN1	-0.636
LOH11CR2A	0.695
RELL2	-1.31175
MAB21L1	2.84933333333333
C20orf59	-0.989166666666667
PHKB	0.019
ADAM2	-1.9835
TBC1D8B	0.1655
FAM13A1	-1.358
LAPTM4B	0.177416666666667
LCN8	-0.1475
TMEM147	0.945
SYT4	-0.7842
XPO7	-1.0085
C9orf62	0.99825
GPR75	0.6435
TRIM5	-1.340375
APOC1	0.7465
RNASE4	1.90816666666667
PARD6B	-2.01825
ARID1A	0.296666666666667
TPD52L3	0.113375
RRAGB	1.1175
RCN2	-0.701666666666667
HIST2H2BE	1.2791875
STARD7	-0.5185
SHMT2	-1.215
KIAA1751	1.00533333333333
MLYCD	0.025125
LOC162632	0.0417
UQCRH	-2.103
RP11-217H1.1	2.0519375
SDHA	-0.0666666666666667
NCLN	0.037
ZNF17	0.8865
RCBTB2	-1.455
VEGFB	-0.4024
RP4-747L4.3	0.123
COLQ	0.7012
MPN2	0.2685
DRG2	-0.3795
KLRB1	6.6305
ALPK2	-3.055
DNASE2B	2.351
FLJ23834	0.511666666666667
AXUD1	1.13083333333333
SAFB	-0.0225
NSUN4	-0.396
RFX2	0.114666666666667
MAPK8IP1	0.0686666666666667
FANCD2	-1.00028571428571
ANKZF1	-1.12883333333333
C19orf50	-0.629875
DUSP8	1.947125
SENP5	0.2895
NFKBIL2	0.82175
LBR	-1.859375
IGFL1	-1.344
LZTS2	0.14125
IL2RG	1.115375
CCDC51	0.5015
KLF3	-0.196
ANKRD37	-1.6205
KCTD14	-2.55583333333333
FZR1	0.209
SLC44A4	3.3405
ESPL1	-0.941
GMPR2	-0.0566
TBC1D19	-0.450333333333333
ERGIC1	1.3837037037037
ERBB4	1.3531
TSPAN32	1.07658333333333
MAP4	0.50375
GPHN	0.3465
SLC6A2	0.258875
HIVEP1	0.2705
DFFB	-0.2386
EIF4EBP2	0.857375
DMRT1	0.0855
HSPB6	-0.17175
IER2	-0.8775
AIFM1	0.01675
WWC2	-1.24072727272727
MRPL4	-0.069
FLJ21062	0.623166666666667
EPB41L4A	0.508083333333333
SH2D6	0.237
TAF4B	-0.28275
GAL3ST3	0.2315
MALT1	-0.978333333333333
RTDR1	0.29075
ARVCF	0.327125
MEX3B	-1.66183333333333
FBXO16	0.74225
KIF7	-0.24275
C1QC	4.35616666666667
ZNF783	-0.571833333333333
ZNF85	0.209
MMP13	3.8805
KIAA0329	-0.116
RTP3	-1.1555
ZBED3	-0.00475
CLGN	0.65175
SLC25A37	-1.99360869565217
hCG_18290	0.532
OR5AS1	0.253
SMARCC2	0.327916666666667
FAM109A	0.0433333333333333
CCDC12	0.208
USF2	1.1666
DEPDC7	-2.1515
C20orf24	-0.391333333333333
JMJD3	0.844
DSP	0.178214285714286
SLIC1	1.04875
FAM20A	1.842875
IRF2BP2	0.65925
