Hybridization REF	TCGA-AN-A03X-01A-21R-A00Z-07
LOC158381	0.9045
CDH8	0.0495
AGPS	-1.32433333333333
C4orf18	4.474625
PECI	0.24575
UNG	-0.595
GSTP1	-1.44725
DCUN1D5	-1.40916666666667
DKFZP564J0863	-0.92925
SLC9A3R1	1.32575
BCDO2	-1.316125
CHMP7	0.761
REM2	0.463
DNHD1	-0.523375
FKBP4	0.37975
ZNF350	1.0775
MGC11102	0.371
BST1	1.9075
KISS1R	1.3525
NCR2	0.1975
DEFB125	0.257
UBE2W	1.823375
KRT15	3.486125
C10orf99	-0.081
SCN11A	0.0705
GFI1	-2.46375
RDHE2	1.47716666666667
FHL1	-0.328
OSGEP	-0.125
GATA1	-3.0805
SMC6	-0.9685
TTTY14	-1.02225
LPIN3	-0.43875
RPL4	-0.909
RBPMS	0.5969
PRPF3	-0.813833333333333
EMR1	-1.284
SPATA19	-0.2135
XCR1	1.286
IRX3	1.8071
RBM6	-1.4325
KLF4	-0.983111111111111
UNC5CL	-0.99675
SEBOX	-0.328
BTK	-0.375
KRCC1	1.145
C6orf27	0.4755
SYTL5	-0.3675
PRND	1.85375
LOC653319	-1.7475
PIGL	-0.531375
HUS1	-0.155666666666667
SFRS6	-0.725583333333333
C17orf77	0.372
UIMC1	-0.991
FXYD2	-1.3228
LOC283152	1.4885
ZNF667	-0.80975
ZCCHC12	-1.08975
TFEC	1.4735
ATP7B	-0.273
POLD2	-0.974166666666667
RG9MTD1	0.7465
ACOT2	0.411833333333333
HIST1H4I	-0.099625
PPARGC1A	-1.9471
ETFA	-1.0717
POLRMT	-0.70275
ZNF146	-0.71525
MIA2	-0.79
KLHL6	-1.75383333333333
HOXB5	0.24525
NENF	1.68033333333333
CUGBP1	0.3135
PRSS22	0.974833333333333
CASC4	1.8167
CUL4B	0.4627
CENPJ	-1.717
PITX1	-0.459333333333333
FLJ31033	0.264333333333333
CELSR3	-1.89116666666667
ZNF568	-0.49175
ITSN1	-0.245636363636364
EHBP1L1	-0.999833333333333
C19orf2	-0.68375
DCTN1	0.15275
LIN28B	-3.002
TNKS2	-0.8895
C1QBP	-0.036125
CADPS2	-0.3455
SRMS	-0.071
GJA9	0.292166666666667
MGC24975	-0.8275
TRIM45	-1.179
TSP50	0.0445
TCP1	-1.13575
TMED7	0.8498
CMA1	-0.209
CENPL	-1.08966666666667
PTCRA	0.5235
FST	-1.452
VWCE	-3.2525
PAWR	0.232
ABCC12	0.170166666666667
LDLR	-0.547
ASTN2	1.4387
LOC441212	-0.86325
GPATCH8	-0.32525
TANC2	-0.345416666666667
KIF4A	-2.187
C18orf18	-1.4655
PGM1	-0.97875
KIAA0258	-0.78475
CPD	0.527375
SNCAIP	0.03425
DCT	-3.79666666666667
HLA-DOA	1.81963636363636
OR11L1	0.3745
UPK1B	-0.0771666666666667
DNAJB4	-0.187375
UGT1A8	-0.237666666666667
HIST1H4L	0.231
PECR	-0.0961666666666667
HSPA2	1.133
WFIKKN1	-1.915
SERP1	0.628375
SYDE2	0.6265
TACR2	0.6375
NUP85	-0.94725
CD177	-0.6435
LGR5	-0.7265
PIGG	-0.83175
PTHR1	0.0113333333333333
RAB5A	0.2529
FLJ13224	0.3225
USP9Y	-1.14866666666667
C7orf53	-1.9345
LRP1B	-0.13125
XAF1	2.2234
ABCG8	0.145
ANKDD1A	-1.16516666666667
DAND5	-0.552
SPAG6	0.0183333333333333
LINCR	0.01575
ZDHHC22	-1.32528571428571
CCDC60	1.0535
THOC7	-0.929833333333333
TCTA	1.4524
OR8K3	0.02825
NY-REN-7	-0.263
B2M	1.3625
C6orf141	-2.7005
LPPR4	1.04425
SQLE	-0.856375
SEPHS1	-0.94175
BTBD14B	0.285785714285714
PLRG1	-0.48325
SPG7	-0.972125
ZNF614	-0.435666666666667
PARD6G	0.968333333333333
INPP5B	-1.15322222222222
GRPEL2	0.1285
PPID	-0.7443
TRIM56	-1.0245
UBE2J1	-0.06375
IL20RA	6.01525
LOC387856	0.55375
C1orf107	0.205083333333333
UTS2R	1.20075
C19orf22	-0.14
SAFB2	-0.058
KIAA0652	0.24575
KLRG1	-0.420833333333333
MS4A8B	0.413833333333333
FRAG1	0.24125
KIAA1546	-0.0925
E2F4	-1.6824
CLEC4M	0.522333333333333
BTBD14A	-1.37175
KIAA0999	-0.4341
GYPA	-2.90933333333333
TAC1	0.8968
TRAIP	-1.76733333333333
KIAA0232	0.787
ERCC8	-1.262
GPX4	1.015125
KIAA0368	-1.02625
GPR157	-0.443833333333333
CTAGE4	0.001
C9orf30	-1.23283333333333
OR52A1	0.268
HSP90B3P	-0.4395
ALG9	-0.8993
BTBD10	0.886
SDK2	-0.073
BAIAP3	1.569
RABGGTB	-1.435875
ANKRD40	-0.1335
KRT74	-0.566
CALCOCO2	0.666571428571429
SNCA	-2.7875
TMSL8	-2.357875
C2orf53	0.5165
ESRRB	-0.29075
ARHGAP26	-1.269125
TDRD9	-1.60525
HRAS	-0.168833333333333
KLRC4	-2.4825
JAGN1	-0.106
BSDC1	-0.3895
RNF43	-1.8358
NDUFAF1	-0.0165
PHF12	0.453
OR1L3	0.09075
FOLR2	1.12625
LYZL6	0.354166666666667
tcag7.1260	-1.322
WSB1	-1.31083333333333
PROS1	-0.2305
OSTN	0.484
PSMB8	-0.0385
SOCS4	0.054625
DDIT4L	1.21475
MAS1	1.131
MGC34796	1.438
CSHL1	-0.0581666666666667
TBCCD1	0.1215
ZBTB7C	0.2225
AP2S1	0.267
P15RS	-0.4798
VAT1	0.0888
SHANK3	0.881333333333333
TUFM	0.275833333333333
THEG	-0.34775
KRT34	-0.9235
SGSM3	0.15475
TOMM22	0.5025
SOCS3	0.478
CPO	-0.189
POP4	0.40875
BHLHB3	1.1325
MALL	0.5265
OR1B1	0.058
PARK2	0.153833333333333
GPR124	0.69175
LCE1E	0.086
RUVBL2	-0.58025
CGRRF1	0.8503
ACPL2	-0.00275
WNT10B	-0.8905
BAIAP2L2	-1.794
ISCA1	-0.026
C1orf125	-0.12625
RPAP1	-1.05475
RAI16	0.721333333333333
RPL27	-0.27725
NLRP9	0.185
EPN1	0.387
LOC388610	-0.28
SLC35A1	1.5459
GAL	-3.23025
SLC14A2	0.33325
RDH11	-0.594666666666667
FAM138F	-0.057
AUH	-0.321
FLJ40243	0.099
C14orf129	0.922
MBD2	-0.681666666666667
ABHD14B	0.113875
PIGT	-0.044875
ALS2CR4	-0.404625
ALAS1	-0.0393
FOXO1	1.65433333333333
CRLF3	-0.471625
C20orf107	0.1885
FARS2	0.81575
CCDC28A	0.47725
NPHP3	-0.46125
OR13F1	0.412
TSEN54	-0.71325
DEFB106B	0.2617
OR8B4	0.5595
STH	-0.16225
ZC3H14	-0.416
CBX2	-0.195
TMEM49	-0.7135
C6orf21	0.764
FLJ20920	1.191625
CRTAP	0.226571428571429
DDX50	-0.13125
STYXL1	0.04125
BLVRB	1.0725
LOC147650	0.0691666666666667
MMP24	0.17175
GRID1	1.5625
BANF1	-0.178166666666667
CTAGEP	0.2105
HMBS	-2.25275
SLC25A24	0.152333333333333
C14orf50	-0.2735
MRO	0.687833333333333
SLC25A15	-1.819
FAM84B	1.4312
TDP1	-1.0275
C16orf78	0.103666666666667
C11orf57	-0.3445
RFK	-0.378
ZFYVE9	-0.990571428571428
STCH	-0.1076
WIBG	0.2965
LOC283871	-1.0995
GBA2	-1.0845
NDUFB3	0.25675
HSD17B13	-0.314333333333333
GRIN3A	0.7844
FMNL1	-0.909666666666667
SEPT7	0.1651
GNLY	1.6275
GRAMD1C	0.998
ZNF165	0.475
USP38	0.7475
FAM83A	-2.67533333333333
C14orf24	1.0045
ARMCX3	1.255375
ARHGDIB	0.371833333333333
AK1	0.20725
KIAA1045	-0.11925
DNAJB13	0.122833333333333
NEU2	-0.3165
HIST1H4B	-0.210666666666667
FAM20B	-0.2242
HES2	0.0672142857142857
FAM73B	-0.9344
LOC388381	0.5285
INTS7	0.0135454545454545
AMPH	2.169
ZNF775	0.165125
UCKL1	-0.908666666666667
C10orf97	-0.258
C1orf161	0.25625
ALDH1L1	-0.8725
FLJ39378	0.03225
SLC23A1	0.3655
RBM4B	-0.17325
THAP4	0.0576666666666667
OGFRL1	-0.0215
KIAA0831	0.025125
PPP1R15A	-0.483833333333333
C1orf96	0.2235
C12orf11	-2.2495
BMF	0.487625
MAN1A1	-0.181
KIAA1600	1.23916666666667
NLGN4X	1.66225
ALOX12	-0.608333333333333
RB1CC1	0.4388
NEIL2	1.84
EIF4E	-0.0254545454545454
ABHD5	0.20125
EXOC4	-0.318333333333333
CIP29	-0.337833333333333
BATF2	0.8365
SLC29A4	-0.20325
HTR4	0.538666666666667
EMB	-0.14425
TRAF6	0.6615
LMNB1	-2.9995
FAM19A5	1.30975
SHE	0.819
PIK3C2B	0.36225
C15orf15	-0.5081
USP15	0.3799
TCEAL2	1.2965
C5orf39	-1.3715
PTGER2	0.151
SLC31A1	-0.3056875
IFT172	-0.302
ADAM29	-0.177
GFOD1	-0.55925
ST7L	0.437833333333333
C15orf26	-2.253
PKN3	-1.95525
CNTD1	2.59516666666667
COMMD1	0.536
NTRK2	1.28954545454545
FOXN3	0.427625
MFGE8	-0.2458
PFKFB2	-0.023
TAS2R4	0.2505
ENTHD1	0.684666666666667
PRMT5	-0.938625
MGC16384	-1.281875
LOC442229	-0.4735
TSKU	0.888125
KRTCAP3	3.735875
PDLIM1	0.6499
KCNS2	0.26575
RNF126	-0.903
CEP63	0.2515
CLIC4	0.544
hCG_1990170	-0.9195
ACR	0.1788
KLK7	0.19825
ALOX5AP	3.365625
RIPK3	2.832
TAS2R9	0.3315
C19orf18	0.4335
BIRC6	-0.117
ZNF16	0.9675
RFT1	-0.1365
SLC8A2	-0.5225
TACC1	0.68925
ITGAD	0.30125
SAMHD1	0.56175
SH3PXD2B	1.5145
EPC2	0.49575
C20orf85	0.59775
ATP13A2	-0.571333333333333
KRT4	0.6005
CAPNS1	3.46944695195361e-18
MDM2	0.278
PCDH20	0.177
KCNK9	0.5895
OR2C1	0.1055
KLHDC3	-0.732833333333333
IPPK	0.0085
EFHD2	-0.35825
GALR3	1.215
NBEA	0.8555
ABCA6	2.3345
CLDN3	1.30733333333333
AKT2	-1.16842857142857
EGFR	-1.5789
RBM16	0.325125
ZDHHC3	0.7081
SLC25A4	0.377
CYB5B	-1.379
CPXM1	1.14825
NDRG1	-0.858692307692308
FLJ43826	-0.32025
OR5L2	0.2375
FARP2	0.0306
MRPL46	-0.13075
LDHAL6B	0.00566666666666667
MAPKAPK3	-0.2045
NCAM2	-0.383
PRKD2	-0.0356666666666667
ZFP36L1	1.2984
CYSLTR1	-0.50375
OR4C3	-0.177
HIST1H2AJ	2.2545
CCNB2	-2.31422222222222
ZNF10	-0.016625
TMEM175	0.713
FAM134A	0.906666666666667
TIGD4	-0.1405
PCNP	-0.1915
MGC39715	-0.02575
LQK1	-2.676
CREB1	0.4762
TMPRSS3	-0.789
C4orf32	1.834
LAT	-1.86975
KCNA3	0.5025
SKIV2L2	-0.90575
ROPN1B	-3.367
tcag7.23	-0.567
CDT1	-3.29025
ZHX2	0.8005
CD28	-3.05925
ZNF624	0.7225
SEPT2	0.8745
SOHLH2	-1.13075
MCOLN3	0.1805
UNQ1945	0.592
MASP2	-0.2645
ZNRF3	0.2256
GPATCH3	-0.69575
AGL	-0.063375
QRICH2	-0.3875
PSD4	0.869
CCNB1IP1	-2.651
ENPP7	0.1165
OBFC1	0.17675
KCNG3	-1.10775
C14orf79	0.481333333333333
ENPEP	1.40416666666667
SCT	2.282
SKI	0.78525
SEC61G	-1.298
CAPN11	-0.12625
ATXN7L3	-0.6645
DBNDD1	-0.8995
FAIM	0.25575
ANKRD36	-0.6145
GABRP	-0.5125
TACSTD2	0.707166666666667
EIF3J	-0.428
PPP2R2A	0.20725
TEKT4	-0.4745
PVALB	-0.511333333333333
F10	-1.93616666666667
FAM134C	0.6651
COMP	4.658
EFCBP1	-1.9374375
SCLT1	0.443625
TAL1	-0.8792
ACSL1	0.59875
ABCC5	-0.774166666666667
ABL1	-0.700833333333333
RBBP7	-0.1805
PTPRG	-0.198625
NCOR1	-0.0119
SPINK4	-0.0166666666666667
TXNRD1	-1.536
TNRC15	1.083125
C9orf138	0.029375
UBE2H	1.20916666666667
BRDT	0.4684
C8orf31	0.0375
CCNE2	-0.697454545454545
SLC6A8	-1.5975
CALCR	-3.17475
PPP1CB	0.83825
ABHD8	0.1715
ARF5	0.559
SLC24A4	0.49775
CCT3	-0.11925
ZNF121	0.106625
SLC3A2	-0.7446
OR13A1	0.447
SLC5A10	0.93625
RAD50	-0.064625
IER5	0.687625
MTHFD1L	-1.699
MBTPS2	1.22933333333333
MVK	-0.6185
NCL	-0.3862
PSMD10	-0.14175
MOBP	0.3395
FLJ32894	0.463
HRH1	-0.093
C5orf30	1.48375
NUDT16L1	0.7883
RASGRP3	2.46033333333333
PRKRIP1	-0.6278
CCDC75	0.493
LOC253970	0.3825
KIAA1239	0.24875
MED21	-0.18325
SYT11	0.452083333333333
NTSR2	0.3065
EGFL11	0.957
CXorf59	0.2715
OR2A25	-0.057
SPTBN2	0.93725
LRMP	-1.4485
RNF111	0.391
PTH	-0.289
LOC619208	0.915
KIAA0895	-0.023
RANBP5	-1.270625
P2RY10	1.16366666666667
NME5	3.59583333333333
DDX21	-1.01475
LRSAM1	-0.1845
HDAC11	1.47566666666667
VMO1	2.0025
NOLA2	0.155666666666667
ADAR	0.6045
MTO1	-0.843833333333333
SF4	-0.1615
P2RX1	-0.0373333333333333
HBM	0.0545
EN2	1.4155
C14orf172	-0.23975
TM9SF2	0.0226
INHBE	-1.0925
TCTE3	-0.195666666666667
TOX2	-3.0875
CTAGE3	0.213375
HBB	4.2317
MED15	-0.669833333333333
CASR	0.46375
C6orf66	-0.853333333333333
MTPN	0.356125
UNC50	0.00825
C21orf33	0.221125
IRF2	0.443375
PGR	2.55633333333333
GPR84	1.1135
CROCCL1	-3.82275
SRPX	-0.311
BRE	0.488166666666667
FGF10	1.11925
SDC3	-1.56033333333333
ZRSR1	-0.0668333333333333
DKFZP434P211	-0.462
SOX6	0.5305
RPUSD2	-0.172
C14orf173	-0.481833333333333
MAPK11	-0.0406666666666667
TBC1D22A	0.533
FAM123A	-0.113
COL4A6	-3.23133333333333
TOMM70A	0.354
NAB1	0.00599999999999998
MGC16385	-0.991625
TSPAN18	0.861666666666667
MED31	0.165
PLG	-0.0225
CAPSL	2.721
ZNF532	0.3456
ASB14	0.521
CA8	-2.65175
NUDT16P	0.498
SLFN11	-0.1485
LRRIQ2	0.826
NOL7	-0.227166666666667
BRMS1L	-0.493375
JARID1A	0.271833333333333
PANK2	-0.319
ICAM3	-0.28
MDS1	-0.217
TAF8	-0.564
RNF139	2.13525
ZNF594	-0.358166666666667
ADAM8	0.859625
SFTPC	-0.164625
MAN2B2	0.873
RGS12	0.2899375
EIF1AY	-3.45041666666667
LRRIQ1	-0.901333333333333
GPR150	1.38825
CCDC21	-1.61033333333333
PRRG3	0.55775
SAA4	-3.3755
RAPGEF5	1.597625
ZCCHC2	-0.5265
MGC39372	-0.86
PPP4R2	0.404333333333333
CDCA2	-1.69166666666667
OR4D5	0.442333333333333
PTGFRN	1.6463
SIGLEC5	2.04983333333333
C19orf61	-0.4255
NMUR2	0.663
KIAA1586	-0.7415
DAGLA	-0.691
CHCHD6	0.57575
GPR32	0.8925
NEUROD6	0.228833333333333
SLC2A4RG	-0.00425
CA5B	-0.27
FBXL3	1.6115
MPHOSPH9	-1.52375
HMG2L1	0.07575
HCN4	0.555833333333333
CEACAM19	0.12375
SH2D4B	0.0981666666666667
HFE2	-0.7045
TGM4	0.804666666666667
LYPD2	-0.17
TBC1D15	0.3785
MRPS21	-0.2919
NONO	-0.8562
CLEC5A	1.52825
ITCH	0.0457999999999999
MGAT3	-1.43866666666667
MBP	0.0138749999999999
RPP25	-1.4475
SOSTDC1	-3.2815
HRC	0.327
TRIM48	-0.0815
TMEM133	0.0105
ECEL1P2	-0.823
HOXC11	-0.2775
DOK5	0.3995
HELZ	0.347666666666667
LOC348180	-1.0105
MGC33894	0.05
ADRB3	-0.037
DMD	0.0960833333333333
PTRH2	-0.3575
MPEG1	1.82716666666667
NDUFA12	0.160666666666667
KRTAP2-4	0.165833333333333
STAMBPL1	-1.44466666666667
ADCY2	0.4446
UNQ6125	0.083
KLHL20	0.463833333333333
SRM	-1.3655
OTC	-0.1975
TMIE	0.745
SNX8	0.7155
LIPK	-0.0525
CHURC1	0.150666666666667
KLC2	0.312333333333333
HDAC1	-1.62
FAM128A	0.586
FNDC3B	-0.3098
MTCP1	-0.182333333333333
WFDC10B	0.122
PCDHGB3	0.601
ATRNL1	-0.0415999999999999
CAV2	-0.403
MED26	-0.308166666666667
DUS1L	-0.54875
CHRM3	-1.3925
NEK9	0.23
WARS2	-0.59925
TBX22	0.456
TOMM40	-0.9755
RP6-213H19.1	-0.899666666666667
TUBGCP5	-0.624
IGSF6	4.38275
TPPP	0.485
UNQ6190	-1.0035
GSTM5	-0.592875
BTD	0.456833333333333
PDCD1LG2	0.201333333333333
SNRPB2	0.0135
ERICH1	0.1885
APOA4	-1.3265
HOXA11	-0.83125
NARG1	-0.525625
MKX	-0.41125
RAB28	-0.0552142857142857
PKP3	0.80525
SH3GL2	-1.5225
CTSO	2.98975
RPN2	0.1581875
IL28RA	0.0745
SFMBT1	0.5275
WDR57	-0.537125
FER1L3	0.973083333333333
HSF5	-0.7705
TTC9B	0.2425
C4BPA	-2.88083333333333
ALB	-3.36438461538462
SORBS3	0.4545
UPF2	-0.8485
JPH1	0.3935
AGBL2	-0.666333333333333
DOPEY1	1.5815
TERF1	-0.000583333333333327
KIF22	-0.863
NINJ1	1.03175
SEC61A2	-0.3215
HIST1H1D	-2.29133333333333
SFXN4	0.24975
UCP3	-0.1309
ZNF703	0.828833333333333
MYL6B	-0.13
TREM1	2.673
OR52E6	0.6595
CKMT2	0.672
HLA-C	1.617
SLC13A3	-1.0235
TIMP4	-0.08575
SLIT2	2.7095
RSF1	1.55844444444444
LONRF1	0.334571428571429
MON1A	-0.226
CACNG6	1.90883333333333
DPPA4	-4.22183333333333
ZSWIM3	0.352
ZNF804A	0.170166666666667
CCIN	1.90425
SLC25A31	0.531
KCNMB4	1.0675
RABL5	0.659875
GALNS	-0.9704
STX6	1.426
HIST1H1C	-3.21466666666667
CIDEB	-0.862125
CASP4	-0.429833333333333
PDK3	0.3778
KCNJ11	1.716
TPR	-0.059625
ZSCAN20	-0.779
MTX2	0.20775
HIST1H2BH	-1.76
LOC283767	2.05475
LYRM7	-1.435
BRD3	-0.491833333333333
HIST1H2BO	-1.5525
MAGEB10	-0.0135
SLC45A1	0.044
SERPINA3	2.01445
KIAA0143	1.29125
KCNJ16	0.248833333333333
KRT79	0.30925
FABP2	-0.991
NUT	-0.05075
ZNF57	-0.22625
FBXL4	0.59875
CLEC9A	0.71
UGT8	-0.3965
BMP2K	0.4635
MAPK4	-3.0405
SLC25A23	-0.4626
HINT1	-0.17
KRTAP13-1	-0.0325
SFXN5	-0.507
CHCHD2	0.2055
FAM3D	1.793
NDP	-1.13875
RHOBTB1	0.623833333333333
SLC4A4	-1.193625
RPL38	-0.4405
HTF9C	-0.456166666666667
AP2A2	0.42825
ZBTB46	1.1155
MAP7D1	0.04225
AOX1	-0.878
CYR61	1.74375
DTNA	-1.0705
JRKL	0.0275
TMOD3	0.0955
EEA1	0.3577
ADCK5	-0.33925
IL1R1	1.33283333333333
KLK3	0.720230769230769
HRSP12	0.37125
KTN1	0.58325
LOH11CR2A	0.89
RELL2	-0.8355
MAB21L1	0.50875
C20orf59	-0.829166666666667
PHKB	-0.61325
ADAM2	-1.8298
TBC1D8B	1.323
FAM13A1	-1.1395625
LAPTM4B	0.296833333333333
LCN8	-0.392
TMEM147	0.999
SYT4	0.352
XPO7	-0.317
C9orf62	1.338
GPR75	-0.589
TRIM5	0.122875
APOC1	-0.094
RNASE4	1.3735
PARD6B	-0.72075
ARID1A	-0.285666666666667
TPD52L3	0.207666666666667
RRAGB	1.51233333333333
RCN2	-0.364666666666667
HIST2H2BE	-0.86275
STARD7	-0.29775
SHMT2	-1.46825
KIAA1751	-0.219333333333333
MLYCD	-0.089375
LOC162632	-0.9245
UQCRH	-1.88225
RP11-217H1.1	0.6285
SDHA	-1.10416666666667
NCLN	-0.3978
ZNF17	0.519666666666667
RCBTB2	-1.14175
VEGFB	-0.2229
RP4-747L4.3	0.24725
COLQ	-0.118
MPN2	-0.2254
DRG2	-0.7185
KLRB1	2.01725
ALPK2	-0.314
DNASE2B	0.20825
FLJ23834	-0.1695
AXUD1	1.475
SAFB	-0.2544
NSUN4	-0.3005
RFX2	0.4205
MAPK8IP1	-0.0598333333333333
FANCD2	-1.17614285714286
ANKZF1	-1.79283333333333
C19orf50	-0.74825
DUSP8	0.5
SENP5	-0.0645
NFKBIL2	-0.66675
LBR	-1.63825
IGFL1	0.382
LZTS2	0.261625
IL2RG	-0.879375
CCDC51	0.07425
KLF3	0.103625
ANKRD37	-0.4755
KCTD14	-1.513
FZR1	0.103
SLC44A4	2.9747
ESPL1	-1.318375
GMPR2	-0.3541
TBC1D19	-0.462
ERGIC1	0.298185185185185
ERBB4	1.9992
TSPAN32	0.266416666666667
MAP4	0.318
GPHN	-0.23575
SLC6A2	0.164875
HIVEP1	0.429
DFFB	-1.20655555555556
EIF4EBP2	0.532125
DMRT1	0.9305
HSPB6	0.00825000000000002
IER2	0.475166666666667
AIFM1	-0.678
WWC2	0.354727272727273
MRPL4	-0.436
FLJ21062	0.265333333333333
EPB41L4A	0.111818181818182
SH2D6	0.255
TAF4B	-1.96125
GAL3ST3	-0.3255
MALT1	-1.09616666666667
RTDR1	0.07425
ARVCF	-0.646
MEX3B	-0.935
FBXO16	1.75875
KIF7	-0.596
C1QC	3.47366666666667
ZNF783	-0.999166666666667
ZNF85	-0.143
MMP13	6.3375
KIAA0329	-0.189
RTP3	-0.325
ZBED3	-0.67375
CLGN	-0.28625
SLC25A37	-1.42341666666667
hCG_18290	-0.23125
OR5AS1	0.0175
SMARCC2	0.373833333333333
FAM109A	0.189333333333333
CCDC12	-0.281
USF2	0.0546
DEPDC7	-0.23575
C20orf24	-0.160166666666667
JMJD3	0.2585
DSP	0.967357142857143
SLIC1	-0.14225
FAM20A	1.815875
IRF2BP2	1.203875
ZNF230	-0.996
