Hybridization REF	TCGA-BH-A0E6-01A-11R-A034-07
C19orf2	-0.18725
DCTN1	-0.0835
LIN28B	-1.21183333333333
TNKS2	-0.2645
C1QBP	-0.29225
CADPS2	0.04925
SRMS	0.91525
GJA9	0.156166666666667
MGC24975	-1.1055
TRIM45	0.555833333333333
TSP50	0.414
TCP1	-1.156
TMED7	-0.2741
CMA1	-0.3065
CENPL	-0.0523333333333333
PTCRA	-0.1435
FST	-3.7195
VWCE	-3.90775
PAWR	1.274
ABCC12	-0.3138
LDLR	-1.6667
ASTN2	1.0912
LOC441212	-0.448875
GPATCH8	-0.38425
TANC2	-0.939666666666667
KIF4A	-0.362
C18orf18	-1.45625
PGM1	-0.68725
KIAA0258	0.28375
CPD	-0.558125
SNCAIP	-0.63525
DCT	-3.9145
HLA-DOA	2.25604545454545
OR11L1	0.792
UPK1B	-0.552833333333333
DNAJB4	-1.114875
UGT1A8	-0.43475
HIST1H4L	1.588
PECR	-1.056
HSPA2	0.114
WFIKKN1	-2.6965
SERP1	0.074875
SYDE2	0.96125
TACR2	0.664
NUP85	-0.8575
CD177	-0.2685
LGR5	-1.69733333333333
PIGG	-1.12091666666667
PTHR1	-1.835
RAB5A	-0.1494
FLJ13224	0.104
USP9Y	-2.24766666666667
C7orf53	0.1635
LRP1B	-0.98
XAF1	1.4561
ABCG8	-0.6805
ANKDD1A	-0.1065
DAND5	-1.44
SPAG6	0.357
LINCR	1.7885
ZDHHC22	-1.56
CCDC60	-0.0525
THOC7	-0.871166666666667
TCTA	0.0783
OR8K3	0.4615
NY-REN-7	0.23175
B2M	0.615666666666667
C6orf141	-0.51775
LPPR4	1.666
SQLE	-1.553125
SEPHS1	1.0215
BTBD14B	1.08
PLRG1	0.13275
SPG7	-1.0384375
ZNF614	-0.452333333333333
PARD6G	2.08216666666667
INPP5B	-1.4765
GRPEL2	-0.2245
PPID	-0.5318
TRIM56	-0.13925
UBE2J1	0.29325
IL20RA	2.20275
LOC387856	-0.19575
C1orf107	0.573083333333333
UTS2R	2.0045
C19orf22	-0.16625
SAFB2	0.61575
KIAA0652	-0.995875
KLRG1	-0.744166666666667
MS4A8B	0.048
FRAG1	0.76525
KIAA1546	-0.70875
E2F4	-1.1906
CLEC4M	0.429833333333333
BTBD14A	0.2685
KIAA0999	0.7231
GYPA	-3.55083333333333
TAC1	-0.4128
TRAIP	-0.403333333333333
KIAA0232	-0.4647
ERCC8	-1.434125
GPX4	0.029375
KIAA0368	-0.806
GPR157	0.0446666666666666
CTAGE4	2.0445
C9orf30	-0.943
OR52A1	0.0475
HSP90B3P	0.2645
ALG9	-0.3299
BTBD10	0.68625
SDK2	0.2715
BAIAP3	-2.3715
RABGGTB	-0.44225
ANKRD40	-0.928
KRT74	0.197
CALCOCO2	-0.815357142857143
SNCA	-3.641
TMSL8	-0.1225
C2orf53	-0.35
ESRRB	-0.45225
ARHGAP26	-0.672125
TDRD9	-2.7125
HRAS	0.157333333333333
KLRC4	-2.205
JAGN1	1.02916666666667
BSDC1	-0.09175
RNF43	-1.0013
NDUFAF1	-0.17525
PHF12	0.17575
OR1L3	0.43375
FOLR2	1.164
LYZL6	0.110333333333333
tcag7.1260	-1.0285
WSB1	-1.264
PROS1	-0.2046
OSTN	0.8035
PSMB8	-0.804
SOCS4	-1.06275
DDIT4L	0.485
MAS1	-0.266
MGC34796	1.09775
CSHL1	0.321833333333333
TBCCD1	1.31666666666667
ZBTB7C	0.2515
AP2S1	-0.374
P15RS	0.2847
VAT1	-0.4225
SHANK3	1.64533333333333
TUFM	0.651166666666667
THEG	0.75175
KRT34	-1.769
SGSM3	-0.68875
TOMM22	-0.344
SOCS3	1.04316666666667
CPO	0.955
POP4	-0.564
BHLHB3	2.7045
MALL	2.71075
OR1B1	0.457
PARK2	0.916166666666667
GPR124	0.74675
LCE1E	-0.131
RUVBL2	-0.6725
CGRRF1	-0.8982
ACPL2	-0.117
WNT10B	-1.78825
BAIAP2L2	-1.5335
ISCA1	-0.5575
C1orf125	-0.446625
RPAP1	-0.4165
RAI16	-0.3755
RPL27	-0.382125
NLRP9	0.87
EPN1	0.0555
LOC388610	-0.043375
SLC35A1	0.4829
GAL	-0.6235
SLC14A2	0.51475
RDH11	0.100333333333333
FAM138F	0.3135
AUH	-1.7445
FLJ40243	0.23875
C14orf129	-1.23283333333333
MBD2	0.353833333333333
ABHD14B	-0.601875
PIGT	-1.73575
ALS2CR4	-0.37725
ALAS1	-0.3072
FOXO1	0.888833333333333
CRLF3	-0.23725
C20orf107	-0.573
FARS2	-0.15125
CCDC28A	-0.16525
NPHP3	-0.19175
OR13F1	0.749
TSEN54	-0.19325
DEFB106B	0.119
OR8B4	0.2035
STH	-0.62225
ZC3H14	-0.38925
CBX2	0.027
TMEM49	-2.203
C6orf21	0.5845
FLJ20920	-0.267375
CRTAP	-0.1665
DDX50	0.48375
STYXL1	-0.77825
BLVRB	-0.814166666666667
LOC147650	0.451166666666667
MMP24	0.24275
GRID1	1.70483333333333
BANF1	-0.599333333333333
CTAGEP	0.22975
HMBS	-1.04675
SLC25A24	-0.517666666666667
C14orf50	-0.46925
MRO	-0.149333333333333
SLC25A15	0.001
FAM84B	-0.5074
TDP1	-0.364
C16orf78	-0.172666666666667
C11orf57	1.533375
RFK	-0.68325
ZFYVE9	-0.206285714285714
STCH	-1.081
WIBG	0.259
LOC283871	-0.619666666666667
GBA2	-1.6317
NDUFB3	-0.71925
HSD17B13	-0.8465
GRIN3A	0.506166666666667
FMNL1	-0.370833333333333
SEPT7	-0.4133
GNLY	3.482
GRAMD1C	1.26616666666667
ZNF165	1.53625
USP38	0.31375
FAM83A	-3.08
C14orf24	-0.032
ARMCX3	0.56375
ARHGDIB	-0.351166666666667
AK1	0.25425
KIAA1045	3.3615
DNAJB13	-0.583666666666667
NEU2	0.471
HIST1H4B	0.491666666666667
FAM20B	0.1364
HES2	-0.284785714285714
FAM73B	-0.6937
LOC388381	-0.157
INTS7	0.195363636363636
AMPH	-0.527
ZNF775	0.5875
UCKL1	-0.8285
C10orf97	-0.8265
C1orf161	0.0285
ALDH1L1	-0.1435
FLJ39378	0.25525
SLC23A1	-3.553
RBM4B	-0.647
THAP4	0.676333333333333
OGFRL1	1.417
KIAA0831	-0.579625
PPP1R15A	-0.0568333333333333
C1orf96	1.41457142857143
C12orf11	-1.5335
BMF	0.670625
MAN1A1	-1.7475
KIAA1600	0.261666666666667
NLGN4X	0.309
ALOX12	-1.77516666666667
RB1CC1	0.5977
NEIL2	0.3538
EIF4E	-0.518363636363636
ABHD5	0.0835
EXOC4	0.437166666666667
CIP29	-0.370833333333333
BATF2	0.82075
SLC29A4	-1.00875
HTR4	0.9915
EMB	-0.45175
TRAF6	0.68725
LMNB1	0.0725
FAM19A5	1.561625
SHE	0.986
PIK3C2B	1.885
C15orf15	-0.9253
USP15	-0.0416000000000001
TCEAL2	0.80575
C5orf39	2.12733333333333
PTGER2	-1.9815
SLC31A1	-0.9428125
IFT172	1.19875
ADAM29	0.208
GFOD1	-0.3375
ST7L	0.691166666666667
C15orf26	-2.57775
PKN3	-1.6785
CNTD1	-0.478166666666667
COMMD1	0.361375
NTRK2	2.51241666666667
FOXN3	0.444875
MFGE8	0.273
PFKFB2	0.781833333333333
TAS2R4	0.6895
ENTHD1	-0.516333333333333
PRMT5	-2.167125
MGC16384	-0.341875
LOC442229	-0.68475
TSKU	0.519125
KRTCAP3	4.348125
PDLIM1	0.1746
KCNS2	0.45975
RNF126	0.079
CEP63	-0.1675
CLIC4	0.477375
hCG_1990170	1.7355
ACR	0.5727
KLK7	6.462
ALOX5AP	1.36675
RIPK3	1.84375
TAS2R9	0.605
C19orf18	1.4655
BIRC6	-0.0610714285714286
ZNF16	0.1175
RFT1	-0.51375
SLC8A2	-0.67375
TACC1	1.06875
ITGAD	1.46675
SAMHD1	0.00300000000000002
SH3PXD2B	1.8375
EPC2	1.1605
C20orf85	0.133125
ATP13A2	0.123
KRT4	0.694875
CAPNS1	-1.0095
MDM2	0.267583333333333
PCDH20	0.525
KCNK9	0.2465
OR2C1	-0.8995
KLHDC3	-0.589666666666667
IPPK	-0.5635
EFHD2	-0.29825
GALR3	1.67025
NBEA	-0.209833333333333
ABCA6	1.8804
CLDN3	3.76683333333333
AKT2	-0.713214285714286
EGFR	-0.6315
RBM16	0.643125
ZDHHC3	-0.4049
SLC25A4	-1.264
CYB5B	-2.0645
CPXM1	-0.11325
NDRG1	0.208769230769231
FLJ43826	-0.06875
OR5L2	0.139333333333333
FARP2	-0.7081
MRPL46	-0.5535
LDHAL6B	0.252
MAPKAPK3	0.506666666666667
NCAM2	-3.0835
PRKD2	-0.275166666666667
ZFP36L1	0.1081
CYSLTR1	-0.373
OR4C3	0.123
HIST1H2AJ	0.893
CCNB2	-1.01
ZNF10	-0.471125
TMEM175	1.0425
FAM134A	0.530166666666667
TIGD4	-1.1245
PCNP	-1.508
MGC39715	0.548
LQK1	-1.6885
CREB1	0.00219999999999999
TMPRSS3	2.01375
C4orf32	0.099625
LAT	-1.61325
KCNA3	0.611
SKIV2L2	-1.04325
ROPN1B	3.01225
tcag7.23	-0.4475
CDT1	-2.232625
ZHX2	0.015375
CD28	-3.343
ZNF624	0.7545
SEPT2	0.445416666666667
SOHLH2	-1.344375
MCOLN3	-0.775875
UNQ1945	1.2765
MASP2	-1.155
ZNRF3	0.1149
GPATCH3	-0.79
AGL	-0.158375
QRICH2	-0.2685
PSD4	-0.153
CCNB1IP1	-0.71375
ENPP7	0.2215
OBFC1	-0.07575
KCNG3	-1.176
C14orf79	-1.03233333333333
ENPEP	1.35983333333333
SCT	1.218
SKI	1.823875
SEC61G	-1.34375
CAPN11	0.29275
ATXN7L3	-0.099
DBNDD1	0.729666666666667
FAIM	0.7585
ANKRD36	0.2145
GABRP	5.56616666666667
TACSTD2	2.45783333333333
EIF3J	-0.3225
PPP2R2A	-1.34825
TEKT4	-1.53666666666667
PVALB	-3.4395
F10	-2.40616666666667
FAM134C	0.3249
COMP	4.20525
EFCBP1	-2.748875
SCLT1	2.191375
TAL1	-0.5871
ACSL1	-0.14
ABCC5	0.642416666666667
ABL1	-0.657166666666667
RBBP7	-1.05075
PTPRG	-0.597875
NCOR1	-0.3152
SPINK4	-2.308
TXNRD1	-1.9823
TNRC15	1.60425
C9orf138	0.4915
UBE2H	1.54933333333333
BRDT	0.067
C8orf31	-0.244
CCNE2	-1.22254545454545
SLC6A8	-0.087375
CALCR	-4.42125
PPP1CB	0.393083333333333
ABHD8	-0.8735
ARF5	1.5386
SLC24A4	0.371
CCT3	0.329
ZNF121	0.64075
SLC3A2	-1.7714
OR13A1	0.605
SLC5A10	0.4175
RAD50	-1.063625
IER5	0.951625
MTHFD1L	-0.6325
MBTPS2	0.50975
MVK	-0.585
NCL	0.4535
PSMD10	-1.29325
MOBP	0.198375
FLJ32894	-0.7225
HRH1	0.714833333333333
C5orf30	-0.701
NUDT16L1	0.0762
RASGRP3	3.71216666666667
PRKRIP1	0.1299
CCDC75	1.62975
LOC253970	-0.209
KIAA1239	0.45075
MED21	-1.0325
SYT11	0.681666666666667
NTSR2	-0.1465
EGFL11	0.492
CXorf59	1.5295
OR2A25	0.14
SPTBN2	-0.921
LRMP	-1.22233333333333
RNF111	-0.9885
PTH	-0.033
LOC619208	0.729333333333333
KIAA0895	-1.211
RANBP5	-1.526375
P2RY10	1.2095
NME5	1.95816666666667
DDX21	0.60375
LRSAM1	-0.5945
HDAC11	0.749166666666667
VMO1	2.4005
NOLA2	-0.160666666666667
ADAR	0.217
MTO1	-0.843333333333333
SF4	0.267166666666667
P2RX1	-0.149333333333333
HBM	0.4315
EN2	2.3305
C14orf172	0.6215
TM9SF2	-1.7264
INHBE	-1.265
TCTE3	-0.0348333333333333
TOX2	-2.48925
CTAGE3	-0.204625
HBB	3.5375
MED15	-0.933666666666667
CASR	1.013
C6orf66	0.467
MTPN	1.597125
UNC50	-2.35725
C21orf33	0.739875
IRF2	0.588625
PGR	-2.635
GPR84	2.085
CROCCL1	-2.8755
SRPX	-0.75475
BRE	0.107
FGF10	0.7925
SDC3	0.822333333333333
ZRSR1	-0.597666666666667
DKFZP434P211	0.01825
SOX6	0.502
RPUSD2	0.258
C14orf173	-0.251166666666667
MAPK11	-0.0256666666666666
TBC1D22A	-0.418
FAM123A	-0.2435
COL4A6	-2.63683333333333
TOMM70A	-1.42625
NAB1	1.08175
MGC16385	-0.799875
TSPAN18	0.421833333333333
MED31	-0.77375
PLG	0.098
CAPSL	-0.1645
ZNF532	2.1385
ASB14	-0.469333333333333
CA8	-3.1555
NUDT16P	-0.2245
SLFN11	-1.7295
LRRIQ2	0.19325
NOL7	-0.132833333333333
BRMS1L	-1.40325
JARID1A	0.545
PANK2	-0.206
ICAM3	-0.204
MDS1	-0.13525
TAF8	-0.89775
RNF139	0.48075
ZNF594	0.26
ADAM8	0.788625
SFTPC	0.785375
MAN2B2	0.0925
RGS12	0.4216875
EIF1AY	-4.75166666666667
LRRIQ1	-0.6705
GPR150	1.9825
CCDC21	-2.07983333333333
PRRG3	0.3285
SAA4	-1.88625
RAPGEF5	2.103
ZCCHC2	1.19491666666667
MGC39372	0.186
PPP4R2	0.5315
CDCA2	1.865
OR4D5	1.20533333333333
PTGFRN	2.1286
SIGLEC5	1.1765
C19orf61	-0.8355
NMUR2	0.3985
KIAA1586	-1.64833333333333
DAGLA	-1.594
CHCHD6	-0.6705
GPR32	0.1615
NEUROD6	0.5255
SLC2A4RG	0.75
CA5B	-1.28725
FBXL3	-0.6895
MPHOSPH9	-1.67625
HMG2L1	-0.15925
HCN4	1.22533333333333
CEACAM19	1.92175
SH2D4B	2.6555
HFE2	-1.859
TGM4	0.366
LYPD2	0.07425
TBC1D15	-0.49475
MRPS21	0.9296
NONO	-0.00939999999999999
CLEC5A	1.445
ITCH	-0.0786
MGAT3	-0.264333333333333
MBP	0.115875
RPP25	1.2095
SOSTDC1	4.03825
HRC	-1.5125
TRIM48	0.5535
TMEM133	-0.723
ECEL1P2	-1.56875
HOXC11	0.648
DOK5	-0.348
HELZ	0.473333333333333
LOC348180	-0.40525
MGC33894	0.27575
ADRB3	0.46
DMD	-0.3455
PTRH2	-0.003
MPEG1	3.43583333333333
NDUFA12	0.0155
KRTAP2-4	0.42225
STAMBPL1	-1.4205
ADCY2	-0.570166666666667
UNQ6125	0.3235
KLHL20	1.00433333333333
SRM	-0.8325
OTC	-0.05525
TMIE	1.57783333333333
SNX8	0.3295
LIPK	0.413
CHURC1	0.177833333333333
KLC2	0.473166666666667
HDAC1	-0.350166666666667
FAM128A	0.3625
FNDC3B	0.2508
MTCP1	-0.019
WFDC10B	0.8087
PCDHGB3	1.198
ATRNL1	-2.0642
CAV2	-1.423625
MED26	0.479833333333333
DUS1L	0.6175
CHRM3	-1.040625
NEK9	-1.03775
WARS2	1.05475
TBX22	-0.2235
TOMM40	-0.112
RP6-213H19.1	0.159833333333333
TUBGCP5	-1.713
IGSF6	4.32275
TPPP	-0.303166666666667
UNQ6190	0.1415
GSTM5	-0.366625
BTD	-0.763166666666667
PDCD1LG2	-0.203166666666667
SNRPB2	0.265333333333333
ERICH1	0.365125
APOA4	-1.568875
HOXA11	-0.74525
NARG1	-0.479625
MKX	-1.0895
RAB28	-1.64992857142857
PKP3	2.16125
SH3GL2	-0.3185
CTSO	1.3235
RPN2	0.4428125
IL28RA	0.262666666666667
SFMBT1	1.30675
WDR57	-1.595875
FER1L3	0.259416666666667
HSF5	0.175666666666667
TTC9B	0.8925
C4BPA	-2.28416666666667
ALB	-3.59491666666667
SORBS3	0.47925
UPF2	0.376
JPH1	0.516
AGBL2	-0.5055
DOPEY1	1.8945
TERF1	-0.351083333333333
KIF22	-0.217
NINJ1	-0.22825
SEC61A2	-0.1105
HIST1H1D	0.375
SFXN4	0.73275
UCP3	1.2985
ZNF703	0.707333333333333
MYL6B	0.78675
TREM1	2.4645
OR52E6	-0.1265
CKMT2	2.23325
HLA-C	1.88375
SLC13A3	-0.702666666666667
TIMP4	0.81375
SLIT2	1.9675
RSF1	0.575333333333333
LONRF1	-0.162928571428571
MON1A	0.7805
CACNG6	-0.811
DPPA4	-4.56933333333333
ZSWIM3	-0.70025
ZNF804A	-0.342
CCIN	0.55475
SLC25A31	0.092
KCNMB4	-1.02875
RABL5	0.418875
GALNS	-0.7471
STX6	2.532
HIST1H1C	-2.932
CIDEB	0.281375
CASP4	-0.203
PDK3	-1.2931
KCNJ11	1.0345
TPR	0.94925
ZSCAN20	-1.222
MTX2	-0.277
HIST1H2BH	-0.269
LOC283767	2.1685
LYRM7	-1.7475
BRD3	0.898833333333333
HIST1H2BO	-0.724
MAGEB10	0.3235
SLC45A1	0.26775
SERPINA3	2.4083
KIAA0143	-0.02225
KCNJ16	1.2312
KRT79	0.0955
FABP2	-0.87875
NUT	-0.26425
ZNF57	-1.041
FBXL4	-0.416125
CLEC9A	0.43
UGT8	2.98183333333333
BMP2K	-0.2435
MAPK4	-2.3225
SLC25A23	0.3415
HINT1	-1.1909
KRTAP13-1	0.2225
SFXN5	0.4112
CHCHD2	-0.608583333333333
FAM3D	4.2405
NDP	-1.908375
RHOBTB1	1.32016666666667
SLC4A4	-1.655875
RPL38	0.0585
HTF9C	-0.542333333333333
AP2A2	0.127375
ZBTB46	0.68
MAP7D1	-0.1965
AOX1	-1.28516666666667
CYR61	0.529
DTNA	1.59121428571429
JRKL	0.98725
TMOD3	0.21075
EEA1	0.4724
ADCK5	-0.99575
IL1R1	1.58833333333333
KLK3	0.727785714285714
HRSP12	-0.6945
KTN1	0.352
LOH11CR2A	0.7255
RELL2	-1.20725
MAB21L1	0.511
C20orf59	-1.18983333333333
PHKB	-2.053
ADAM2	-2.47233333333333
TBC1D8B	1.33383333333333
FAM13A1	-0.260875
LAPTM4B	-0.596583333333333
LCN8	0.327
TMEM147	0.829
SYT4	-0.150666666666667
XPO7	-0.3795
C9orf62	2.36825
GPR75	0.9855
TRIM5	-0.07925
APOC1	-0.92
RNASE4	-1.141
PARD6B	-3.224625
ARID1A	-0.00716666666666665
TPD52L3	-0.0765555555555555
RRAGB	-0.451666666666667
RCN2	-0.0516666666666667
HIST2H2BE	-0.9958125
STARD7	-0.376
SHMT2	0.092
KIAA1751	0.275333333333333
MLYCD	-0.759875
LOC162632	-0.4073
UQCRH	-0.87075
RP11-217H1.1	1.061625
SDHA	-2.63733333333333
NCLN	-0.2079
ZNF17	0.000499999999999982
RCBTB2	-2.7265
VEGFB	-0.9278
RP4-747L4.3	0.86825
COLQ	0.9667
MPN2	-0.806
DRG2	-0.73625
KLRB1	5.37275
ALPK2	-2.4245
DNASE2B	0.0065
FLJ23834	-0.9095
AXUD1	-0.375166666666667
SAFB	0.8979
NSUN4	-0.6475
RFX2	-0.391166666666667
MAPK8IP1	-1.1765
FANCD2	0.126714285714286
ANKZF1	-1.943
C19orf50	-0.600375
DUSP8	2.533875
SENP5	1.12575
NFKBIL2	-0.535
LBR	-0.2145
IGFL1	0.03
LZTS2	1.931375
IL2RG	-0.453875
CCDC51	-0.12425
KLF3	-0.3705
ANKRD37	-2.47625
KCTD14	1.647
FZR1	0.245666666666667
SLC44A4	-0.9899
ESPL1	-0.83475
GMPR2	-1.9628
TBC1D19	-1.591
ERGIC1	-0.219074074074074
ERBB4	-0.0627
TSPAN32	0.2455
MAP4	0.461375
GPHN	-1.0685
SLC6A2	0.740625
HIVEP1	0.60475
DFFB	0.1145
EIF4EBP2	1.220875
DMRT1	1.81475
HSPB6	-0.09125
IER2	-0.0858333333333333
AIFM1	1.1475
WWC2	-0.53475
MRPL4	0.0015
FLJ21062	0.079
EPB41L4A	1.11241666666667
SH2D6	0.27575
TAF4B	0.127
GAL3ST3	-0.52
MALT1	-0.312666666666667
RTDR1	0.82275
ARVCF	-0.51775
MEX3B	-0.633166666666667
FBXO16	2.8685
KIF7	-1.7785
C1QC	4.3525
ZNF783	0.872
ZNF85	-1.57975
MMP13	0.24
KIAA0329	0.064625
RTP3	-2.164
ZBED3	0.83525
CLGN	-3.81475
SLC25A37	-0.10675
hCG_18290	1.1025
OR5AS1	0.4345
SMARCC2	0.887
FAM109A	0.325666666666667
CCDC12	0.02875
USF2	-0.0336
DEPDC7	-1.88175
C20orf24	-1.17633333333333
JMJD3	0.954
DSP	1.64242857142857
SLIC1	0.457125
FAM20A	1.17225
IRF2BP2	2.19525
ZNF230	-1.7185
MSN	1.246
SLC9A5	-1.439
EPDR1	-1.5058
