Hybridization REF	TCGA-BH-A0BV-01A-11R-A00Z-07
CENPL	-0.768833333333333
PTCRA	0.6275
FST	-2.8755
VWCE	-4.07975
PAWR	0.00425
ABCC12	0.524833333333333
LDLR	-0.207
ASTN2	0.7224
LOC441212	-0.97725
GPATCH8	0.50375
TANC2	0.462083333333333
KIF4A	-1.2165
C18orf18	-1.01175
PGM1	-1.2105
KIAA0258	0.48375
CPD	1.76875
SNCAIP	-0.877
DCT	-4.08633333333333
HLA-DOA	2.9025
OR11L1	0.3605
UPK1B	-0.1335
DNAJB4	-0.526
UGT1A8	0.0675
HIST1H4L	-1.7415
PECR	-0.505333333333333
HSPA2	1.839
WFIKKN1	-1.3415
SERP1	1.305625
SYDE2	0.92575
TACR2	0.675
NUP85	-0.45775
CD177	0.378166666666667
LGR5	-1.51
PIGG	0.409833333333333
PTHR1	-1.07516666666667
RAB5A	0.6747
FLJ13224	0.3515
USP9Y	-0.673833333333333
C7orf53	-1.761
LRP1B	-0.36075
XAF1	2.8577
ABCG8	0.4905
ANKDD1A	-0.680333333333333
DAND5	-1.2055
SPAG6	4.5225
LINCR	3.106
ZDHHC22	-0.96375
CCDC60	0.2015
THOC7	-1.1895
TCTA	1.4213
OR8K3	0.19775
NY-REN-7	-0.743666666666667
B2M	1.93133333333333
C6orf141	-0.84575
LPPR4	0.84
SQLE	-1.058
SEPHS1	-0.84425
BTBD14B	0.501142857142857
PLRG1	-0.7045
SPG7	-0.1825
ZNF614	-0.399666666666667
PARD6G	0.9375
INPP5B	-0.267
GRPEL2	-0.11625
PPID	-0.7589
TRIM56	-0.47725
UBE2J1	-0.039625
IL20RA	1.357
LOC387856	0.2375
C1orf107	0.83275
UTS2R	1.2425
C19orf22	0.33975
SAFB2	0.140875
KIAA0652	-0.163875
KLRG1	0.218666666666667
MS4A8B	4.561
FRAG1	0.8465
KIAA1546	-0.18125
E2F4	-0.7344
CLEC4M	0.1265
BTBD14A	-1.297
KIAA0999	0.496
GYPA	-3.29883333333333
TAC1	0.6532
TRAIP	-1.2605
KIAA0232	0.5578
ERCC8	-1.18675
GPX4	0.564625
KIAA0368	-0.62525
GPR157	-0.8285
CTAGE4	1.859
C9orf30	-1.0975
OR52A1	0.5235
HSP90B3P	-0.066
ALG9	-0.7992
BTBD10	0.8585
SDK2	0.4185
BAIAP3	0.644
RABGGTB	-0.76525
ANKRD40	0.282
KRT74	0.278
CALCOCO2	0.861357142857143
SNCA	-3.03125
TMSL8	-4.910875
C2orf53	1.508
ESRRB	0.09675
ARHGAP26	0.30075
TDRD9	-2.88775
HRAS	0.703666666666667
KLRC4	-1.333
JAGN1	0.229333333333333
BSDC1	0.44825
RNF43	-0.1422
NDUFAF1	0.74625
PHF12	0.26475
OR1L3	0.30025
FOLR2	1.4095
LYZL6	0.2825
tcag7.1260	-1.3935
WSB1	-1.49316666666667
PROS1	-0.7883
OSTN	0.931
PSMB8	1.3945
SOCS4	-0.0114285714285714
DDIT4L	1.26625
MAS1	0.108
MGC34796	1.44675
CSHL1	0.472333333333333
TBCCD1	0.0761666666666667
ZBTB7C	0.2145
AP2S1	-0.181875
P15RS	0.3525
VAT1	-0.364
SHANK3	0.867
TUFM	0.262166666666667
THEG	-0.1805
KRT34	-1.366
SGSM3	-0.13675
TOMM22	-0.647875
SOCS3	0.534666666666667
CPO	0.2015
POP4	0.5085
BHLHB3	1.00725
MALL	0.82825
OR1B1	0.3195
PARK2	0.320333333333333
GPR124	0.040875
LCE1E	0.32
RUVBL2	-0.4045
CGRRF1	0.9659
ACPL2	0.73875
WNT10B	-2.2655
BAIAP2L2	-1.989125
ISCA1	0.1835
C1orf125	0.1125
RPAP1	0.09725
RAI16	-0.204166666666667
RPL27	-1.556125
NLRP9	-0.639
EPN1	0.5995
LOC388610	-1.634625
SLC35A1	1.5198
GAL	-1.5495
SLC14A2	0.42075
RDH11	-0.495166666666667
FAM138F	-0.7885
AUH	-0.41125
FLJ40243	-0.343
C14orf129	0.608
MBD2	-0.00100000000000004
ABHD14B	0.174
PIGT	1.233625
ALS2CR4	-0.5465
ALAS1	-0.4122
FOXO1	0.672833333333333
CRLF3	-0.165875
C20orf107	-0.7105
FARS2	1.03475
CCDC28A	0.485
NPHP3	-1.11075
OR13F1	0.112
TSEN54	-0.00525
DEFB106B	0.0931
OR8B4	1.937
STH	0.1435
ZC3H14	-0.49275
CBX2	-0.1255
TMEM49	-0.614
C6orf21	0.604
FLJ20920	1.685125
CRTAP	0.306642857142857
DDX50	-0.39125
STYXL1	0.62775
BLVRB	0.0505
LOC147650	-1.2965
MMP24	0.32925
GRID1	1.923
BANF1	-0.376333333333333
CTAGEP	0.995
HMBS	-2.467
SLC25A24	1.52666666666667
C14orf50	0.83825
MRO	0.730833333333333
SLC25A15	-1.25625
FAM84B	0.544
TDP1	-0.5435
C16orf78	0.346333333333333
C11orf57	-0.598
RFK	-0.47075
ZFYVE9	-0.913375
STCH	0.2508
WIBG	0.4265
LOC283871	-0.197166666666667
GBA2	-0.4772
NDUFB3	-0.39875
HSD17B13	0.0395
GRIN3A	0.410666666666667
FMNL1	-0.0401666666666667
SEPT7	-0.2818
GNLY	2.2165
GRAMD1C	0.373333333333333
ZNF165	-0.01525
USP38	0.71425
FAM83A	-2.924
C14orf24	1.07075
ARMCX3	1.54475
ARHGDIB	1.22116666666667
AK1	1.08875
KIAA1045	-0.28775
DNAJB13	-0.3735
NEU2	0.0575
HIST1H4B	-0.885333333333333
FAM20B	0.0818
HES2	-0.351714285714286
FAM73B	-0.2578
LOC388381	-0.433
INTS7	-0.295363636363636
AMPH	3.095
ZNF775	0.301875
UCKL1	-0.0498333333333333
C10orf97	0.49125
C1orf161	-0.094
ALDH1L1	-1.147
FLJ39378	-0.063125
SLC23A1	-1.686
RBM4B	0.09175
THAP4	0.435
OGFRL1	0.34925
KIAA0831	0.436
PPP1R15A	-0.055
C1orf96	0.725071428571429
C12orf11	-1.3485
BMF	0.98875
MAN1A1	-0.318375
KIAA1600	0.2875
NLGN4X	1.1855
ALOX12	-0.5758
RB1CC1	0.0172
NEIL2	0.2427
EIF4E	-0.212590909090909
ABHD5	0.09225
EXOC4	-0.132666666666667
CIP29	-0.1545
BATF2	0.38
SLC29A4	-0.778625
HTR4	0.30075
EMB	-0.768
TRAF6	0.4615
LMNB1	-4.13475
FAM19A5	-0.062625
SHE	1.60425
PIK3C2B	0.22125
C15orf15	-0.631
USP15	0.1303
TCEAL2	0.76925
C5orf39	-0.943666666666667
PTGER2	-0.5895
SLC31A1	-0.6975
IFT172	-0.42575
ADAM29	0.5145
GFOD1	-0.121
ST7L	-0.0896666666666667
C15orf26	-2.1695
PKN3	-0.88325
CNTD1	3.181
COMMD1	-0.242125
NTRK2	1.67108333333333
FOXN3	-0.45325
MFGE8	0.0094
PFKFB2	0.3075
TAS2R4	0.3975
ENTHD1	0.3195
PRMT5	-0.305875
MGC16384	-1.37375
LOC442229	-0.2955
TSKU	0.477125
KRTCAP3	1.589875
PDLIM1	-0.607333333333333
KCNS2	-0.11825
RNF126	-0.428333333333333
CEP63	0.163
CLIC4	-0.4125
hCG_1990170	-0.57975
ACR	0.7752
KLK7	0.0665
ALOX5AP	3.93975
RIPK3	2.30225
TAS2R9	0.307
C19orf18	1.946
BIRC6	-0.195428571428571
ZNF16	0.652
RFT1	0.04025
SLC8A2	-0.174666666666667
TACC1	-0.373
ITGAD	1.01825
SAMHD1	1.47325
SH3PXD2B	0.8614
EPC2	0.518
C20orf85	0.1065
ATP13A2	1.2935
KRT4	0.716125
CAPNS1	0.4955
MDM2	-0.381083333333333
PCDH20	1.9165
KCNK9	0.566
OR2C1	0.165
KLHDC3	-0.447333333333333
IPPK	-0.296
EFHD2	0.915375
GALR3	1.07775
NBEA	0.514166666666667
ABCA6	2.0194
CLDN3	1.71416666666667
AKT2	-0.685357142857143
EGFR	-2.5367
RBM16	0.3605
ZDHHC3	0.3326
SLC25A4	0.546
CYB5B	-0.2475
CPXM1	0.5245
NDRG1	-1.59084615384615
FLJ43826	0.42825
OR5L2	0.218
FARP2	0.5428
MRPL46	-0.503666666666667
LDHAL6B	-0.257666666666667
MAPKAPK3	0.207
NCAM2	-1.46675
PRKD2	0.840333333333333
ZFP36L1	0.7635
CYSLTR1	0.86525
OR4C3	0.04175
HIST1H2AJ	1.2545
CCNB2	-2.02777777777778
ZNF10	-0.19475
TMEM175	0.69
FAM134A	1.2425
TIGD4	0.48
PCNP	-0.07325
MGC39715	0.03875
LQK1	-0.389
CREB1	0.703
TMPRSS3	-0.09675
C4orf32	1.661
LAT	-1.16158333333333
KCNA3	-0.2425
SKIV2L2	-0.6075
ROPN1B	-2.678
tcag7.23	-0.951
CDT1	-2.4095
ZHX2	0.71
CD28	-3.0035
ZNF624	0.63925
SEPT2	0.194416666666667
SOHLH2	-1.4465
MCOLN3	-0.799875
UNQ1945	0.6805
MASP2	-0.8765
ZNRF3	-0.0872
GPATCH3	0.06125
AGL	0.67425
QRICH2	-0.0575
PSD4	0.523333333333333
CCNB1IP1	-2.50825
ENPP7	0.1805
OBFC1	0.3185
KCNG3	-0.72825
C14orf79	1.546
ENPEP	1.58033333333333
SCT	1.5425
SKI	0.6725
SEC61G	-0.782
CAPN11	0.12275
ATXN7L3	-0.14075
DBNDD1	0.7885
FAIM	-0.12775
ANKRD36	-1.2415
GABRP	0.968166666666667
TACSTD2	1.95466666666667
EIF3J	-0.40725
PPP2R2A	-1.064
TEKT4	-0.611666666666667
PVALB	-3.175
F10	-2.64133333333333
FAM134C	1.3743
COMP	4.2535
EFCBP1	-2.903375
SCLT1	-0.238875
TAL1	-1.1732
ACSL1	0.954
ABCC5	0.552333333333333
ABL1	-0.442944444444444
RBBP7	2.72625
PTPRG	-1.263375
NCOR1	0.1424
SPINK4	0.170166666666667
TXNRD1	-1.5961
TNRC15	0.3335
C9orf138	0.383625
UBE2H	1.10083333333333
BRDT	-0.148
C8orf31	0.30175
CCNE2	-2.25272727272727
SLC6A8	-1.00125
CALCR	-2.863
PPP1CB	0.143833333333333
ABHD8	0.77
ARF5	0.687
SLC24A4	0.851
CCT3	0.17125
ZNF121	-0.052625
SLC3A2	-0.5373
OR13A1	0.4265
SLC5A10	0.68975
RAD50	-0.547875
IER5	0.430875
MTHFD1L	-2.171
MBTPS2	0.14325
MVK	-0.392375
NCL	-0.4777
PSMD10	0.596
MOBP	0.558285714285714
FLJ32894	0.5705
HRH1	-1.05383333333333
C5orf30	0.7295
NUDT16L1	0.7989
RASGRP3	3.11566666666667
PRKRIP1	-0.0651
CCDC75	-0.5995
LOC253970	0.34775
KIAA1239	0.3445
MED21	-0.36825
SYT11	0.504333333333333
NTSR2	-0.222
EGFL11	-0.353
CXorf59	0.033
OR2A25	0.271
SPTBN2	-1.47675
LRMP	-1.3726
RNF111	0.1185
PTH	-0.5845
LOC619208	0.595333333333333
KIAA0895	0.41875
RANBP5	-1.6225
P2RY10	0.838
NME5	3.993
DDX21	-1.23775
LRSAM1	0.366
HDAC11	1.53083333333333
VMO1	2.04875
NOLA2	-0.0378333333333333
ADAR	1.44508333333333
MTO1	-1.39483333333333
SF4	0.548833333333333
P2RX1	-0.157833333333333
HBM	0.22275
EN2	1.1505
C14orf172	0.24425
TM9SF2	0.2487
INHBE	-0.796
TCTE3	-0.103833333333333
TOX2	-3.106
CTAGE3	0.859
HBB	3.5576
MED15	-1.15833333333333
CASR	0.387
C6orf66	-1.25016666666667
MTPN	-0.446375
UNC50	-0.16675
C21orf33	0.427625
IRF2	1.059875
PGR	2.6185
GPR84	2.487
CROCCL1	-2.56775
SRPX	-1.20825
BRE	-0.164166666666667
FGF10	0.202
SDC3	0.527333333333333
ZRSR1	0.603
DKFZP434P211	-0.389625
SOX6	-0.1735
RPUSD2	-0.082
C14orf173	-0.1245
MAPK11	-0.529666666666667
TBC1D22A	0.5885
FAM123A	-0.6855
COL4A6	-2.68733333333333
TOMM70A	0.0535
NAB1	-0.0495
MGC16385	0.2185
TSPAN18	0.262
MED31	-0.2615
PLG	0.36275
CAPSL	1.8575
ZNF532	0.3844
ASB14	-0.122
CA8	0.5065
NUDT16P	0.167166666666667
SLFN11	-1.193
LRRIQ2	0.317875
NOL7	-0.0468333333333333
BRMS1L	-0.737
JARID1A	0.0723333333333333
PANK2	-0.315
ICAM3	0.166
MDS1	-0.43225
TAF8	-0.40525
RNF139	0.27025
ZNF594	0.454
ADAM8	2.63325
SFTPC	-0.035
MAN2B2	1.675375
RGS12	0.844125
EIF1AY	-4.52033333333333
LRRIQ1	-0.6905
GPR150	1.36375
CCDC21	-0.750333333333333
PRRG3	0.30825
SAA4	-3.89725
RAPGEF5	1.54925
ZCCHC2	-0.04675
MGC39372	0.534
PPP4R2	0.454333333333333
CDCA2	-2.14116666666667
OR4D5	0.6555
PTGFRN	0.9465
SIGLEC5	0.8435
C19orf61	-0.0176666666666667
NMUR2	0.416
KIAA1586	-0.818333333333333
DAGLA	0.339666666666667
CHCHD6	-0.05975
GPR32	0.76
NEUROD6	0.323666666666667
SLC2A4RG	0.315
CA5B	0.45375
FBXL3	0.7125
MPHOSPH9	-1.3525
HMG2L1	-0.01
HCN4	0.859
CEACAM19	-0.76575
SH2D4B	0.462166666666667
HFE2	-0.113
TGM4	0.147
LYPD2	0.443
TBC1D15	0.01275
MRPS21	-0.2213
NONO	-0.2743
CLEC5A	2.413
ITCH	-0.5064
MGAT3	-1.61316666666667
MBP	0.4775
RPP25	-1.3475
SOSTDC1	-1.34875
HRC	-1.13975
TRIM48	0.5575
TMEM133	-0.533
ECEL1P2	-0.909666666666667
HOXC11	1.518
DOK5	0.53575
HELZ	0.362833333333333
LOC348180	-0.403
MGC33894	0.017
ADRB3	0.367
DMD	-0.175181818181818
PTRH2	-0.89375
MPEG1	2.6355
NDUFA12	0.333
KRTAP2-4	0.19175
STAMBPL1	-1.30466666666667
ADCY2	0.0136
UNQ6125	1.3005
KLHL20	0.704
SRM	-1.27375
OTC	-0.0475
TMIE	0.145833333333333
SNX8	-0.38625
LIPK	-0.068
CHURC1	0.07275
KLC2	0.299666666666667
HDAC1	-0.36
FAM128A	1.23633333333333
FNDC3B	-0.1962
MTCP1	0.453
WFDC10B	0.5197
PCDHGB3	0.0005
ATRNL1	1.8001
CAV2	-0.973375
MED26	-0.1515
DUS1L	0.5005
CHRM3	-1.382
NEK9	0.89625
WARS2	-0.45075
TBX22	0.3095
TOMM40	-0.686
RP6-213H19.1	0.6935
TUBGCP5	-0.15875
IGSF6	4.3825
TPPP	1.81783333333333
UNQ6190	0.2265
GSTM5	0.234625
BTD	1.597
PDCD1LG2	0.114
SNRPB2	-0.536333333333333
ERICH1	-0.716125
APOA4	-0.778875
HOXA11	-1.19275
NARG1	-0.527625
MKX	-0.48625
RAB28	0.1595
PKP3	0.876
SH3GL2	-1.191
CTSO	2.7335
RPN2	0.454
IL28RA	0.68
SFMBT1	0.5475
WDR57	-0.01875
FER1L3	0.62325
HSF5	0.157
TTC9B	0.5455
C4BPA	-3.81366666666667
ALB	-3.77335714285714
SORBS3	-0.171
UPF2	0.0735
JPH1	0.0955
AGBL2	0.3835
DOPEY1	1.016
TERF1	-0.332666666666667
KIF22	-0.979666666666667
NINJ1	0.94125
SEC61A2	-0.2215
HIST1H1D	-0.899833333333333
SFXN4	-0.162625
UCP3	-0.0956
ZNF703	0.6905
MYL6B	-1.221
TREM1	2.1465
OR52E6	0.298
CKMT2	0.03225
HLA-C	2.95825
SLC13A3	-0.1245
TIMP4	-2.46925
SLIT2	2.09575
RSF1	-0.169
LONRF1	-1.06321428571429
MON1A	-0.0801666666666667
CACNG6	-1.1985
DPPA4	-5.22783333333333
ZSWIM3	-0.002
ZNF804A	0.405666666666667
CCIN	0.9565
SLC25A31	0.91225
KCNMB4	-0.386
RABL5	0.83125
GALNS	0.1306
STX6	0.90525
HIST1H1C	-1.29566666666667
CIDEB	-0.639
CASP4	-0.159666666666667
PDK3	0.4734
KCNJ11	2.56
TPR	-0.073125
ZSCAN20	-0.638
MTX2	-0.267
HIST1H2BH	-0.40225
LOC283767	0.6995
LYRM7	-1.13055555555556
BRD3	0.53
HIST1H2BO	-0.61275
MAGEB10	0.043
SLC45A1	2.1445
SERPINA3	4.0814
KIAA0143	1.316
KCNJ16	0.650833333333333
KRT79	-0.15625
FABP2	-0.258
NUT	0.28725
ZNF57	-0.6145
FBXL4	1.383625
CLEC9A	0.3725
UGT8	-1.12133333333333
BMP2K	0.21025
MAPK4	-3.66175
SLC25A23	-0.1455
HINT1	-0.7396
KRTAP13-1	0.891
SFXN5	0.5844
CHCHD2	-0.0658333333333334
FAM3D	0.8965
NDP	-3.02325
RHOBTB1	-0.335833333333333
SLC4A4	-1.11828571428571
RPL38	-0.8875
HTF9C	-0.8185
AP2A2	1.061125
ZBTB46	-0.2675
MAP7D1	0.166375
AOX1	-1.147
CYR61	0.88375
DTNA	-0.791357142857143
JRKL	-1.0185
TMOD3	0.0665
EEA1	0.2673
ADCK5	0.10775
IL1R1	0.783666666666667
KLK3	0.635071428571429
HRSP12	-0.39475
KTN1	0.389
LOH11CR2A	0.3925
RELL2	-1.527
MAB21L1	0.54725
C20orf59	-0.650166666666667
PHKB	0.069
ADAM2	-1.66283333333333
TBC1D8B	1.7825
FAM13A1	-1.0476875
LAPTM4B	-1.55366666666667
LCN8	-0.1105
TMEM147	0.9545
SYT4	0.466666666666667
XPO7	-1.201
C9orf62	1.13725
GPR75	0.837
TRIM5	0.466625
APOC1	1.12533333333333
RNASE4	2.0345
PARD6B	0.15875
ARID1A	0.397916666666667
TPD52L3	0.352666666666667
RRAGB	2.11966666666667
RCN2	-0.302666666666667
HIST2H2BE	0.69025
STARD7	-0.425
SHMT2	-1.26
KIAA1751	0.104166666666667
MLYCD	1.082125
LOC162632	-0.8724
UQCRH	-1.4385
RP11-217H1.1	1.01625
SDHA	-0.747666666666667
NCLN	-0.1794
ZNF17	0.509
RCBTB2	-1.27575
VEGFB	0.0864
RP4-747L4.3	0.567
COLQ	0.123
MPN2	-0.8965
DRG2	0.199
KLRB1	4.229
ALPK2	-2.21425
DNASE2B	3.257
FLJ23834	1.64583333333333
AXUD1	1.03466666666667
SAFB	-0.0937
NSUN4	-0.32325
RFX2	0.2135
MAPK8IP1	-0.2325
FANCD2	-1.34064285714286
ANKZF1	-0.861333333333333
C19orf50	-0.13025
DUSP8	0.72375
SENP5	0.052
NFKBIL2	-0.4975
LBR	-0.372125
IGFL1	0.595
LZTS2	-0.3085
IL2RG	-0.09275
CCDC51	0.208
KLF3	0.582125
ANKRD37	-1.38275
KCTD14	-1.9425
FZR1	0.308
SLC44A4	4.3252
ESPL1	-0.73825
GMPR2	-0.0758
TBC1D19	-0.0318333333333333
ERGIC1	0.681518518518518
ERBB4	-1.1457
TSPAN32	0.542333333333333
MAP4	0.1715
GPHN	-0.805
SLC6A2	0.064875
HIVEP1	0.21
DFFB	-0.5194
EIF4EBP2	0.448375
DMRT1	-0.3315
HSPB6	-0.01775
IER2	1.29683333333333
AIFM1	0.416
WWC2	0.0754166666666667
MRPL4	-0.05
FLJ21062	1.086
EPB41L4A	0.846166666666667
SH2D6	0.43375
TAF4B	-0.56
GAL3ST3	0.5705
MALT1	-0.722666666666667
RTDR1	-0.20475
ARVCF	-0.678625
MEX3B	-0.959666666666667
FBXO16	1.0335
KIF7	-1.39075
C1QC	4.07566666666667
ZNF783	-1.233
ZNF85	0.6195
MMP13	2.8325
KIAA0329	0.62275
RTP3	-0.8485
ZBED3	-1.1275
CLGN	-3.024
SLC25A37	-1.95325
hCG_18290	-0.92075
OR5AS1	-0.3705
SMARCC2	0.799333333333333
FAM109A	0.2605
CCDC12	-0.2285
USF2	0.8492
DEPDC7	-1.8845
C20orf24	-0.344166666666667
JMJD3	0.565
DSP	1.98678571428571
SLIC1	0.591
FAM20A	0.556125
IRF2BP2	0.6505
ZNF230	0.269
MSN	-0.326642857142857
SLC9A5	-1.969
EPDR1	0.0505
MUSK	0.00383333333333332
ZNF434	0.411
SMARCD1	-0.351833333333333
ZFP106	-0.51125
ZNF347	0.4423
GTF2E1	0.00575
RY1	-0.597666666666667
ATAD2B	-0.123125
ARHGAP17	-0.0788
KCNIP3	-0.93525
SFPQ	0.12825
