Hybridization REF	TCGA-A8-A08P-01A-11R-A00Z-07
DCT	-3.94866666666667
HLA-DOA	2.94013636363636
OR11L1	0.2175
UPK1B	-0.464333333333333
DNAJB4	-0.983375
UGT1A8	0.0315
HIST1H4L	-0.519
PECR	-0.533333333333333
HSPA2	2.177
WFIKKN1	-2.083
SERP1	1.542875
SYDE2	1.7605
TACR2	0.3905
NUP85	0.0035
CD177	0.320666666666667
LGR5	-1.59233333333333
PIGG	-0.0185833333333333
PTHR1	-1.3555
RAB5A	-0.00880000000000001
FLJ13224	-0.376
USP9Y	-1.42616666666667
C7orf53	-0.4915
LRP1B	0.72375
XAF1	2.9901
ABCG8	-0.523
ANKDD1A	-0.441166666666667
DAND5	-1.9225
SPAG6	-0.103833333333333
LINCR	1.92825
ZDHHC22	-1.4235
CCDC60	0.385
THOC7	-1.69866666666667
TCTA	1.3504
OR8K3	0.0855
NY-REN-7	-0.438
B2M	2.17233333333333
C6orf141	-0.09275
LPPR4	1.8225
SQLE	0.780375
SEPHS1	0.3295
BTBD14B	0.402285714285714
PLRG1	-0.52125
SPG7	-0.5901875
ZNF614	-0.484
PARD6G	0.398333333333333
INPP5B	-0.3318
GRPEL2	-0.160125
PPID	-0.7434
TRIM56	-0.37125
UBE2J1	-0.0205
IL20RA	3.446
LOC387856	0.22075
C1orf107	1.09983333333333
UTS2R	0.61925
C19orf22	0.27875
SAFB2	0.210625
KIAA0652	0.564
KLRG1	0.2235
MS4A8B	2.28016666666667
FRAG1	0.5055
KIAA1546	-0.04675
E2F4	-1.0441
CLEC4M	0.159666666666667
BTBD14A	-0.45825
KIAA0999	0.391
GYPA	-3.59466666666667
TAC1	-0.243
TRAIP	-1.09083333333333
KIAA0232	0.7971
ERCC8	-1.071375
GPX4	1.184875
KIAA0368	-0.785875
GPR157	-0.366333333333333
CTAGE4	1.058
C9orf30	-1.56066666666667
OR52A1	-0.5425
HSP90B3P	0.8355
ALG9	-0.6785
BTBD10	0.3055
SDK2	0.207
BAIAP3	1.27875
RABGGTB	-1.19675
ANKRD40	0.918833333333333
KRT74	0.6965
CALCOCO2	0.912357142857143
SNCA	-2.7895
TMSL8	-4.4635
C2orf53	-1.16
ESRRB	-0.281
ARHGAP26	-0.7715
TDRD9	-2.064
HRAS	0.0366666666666667
KLRC4	-2.379
JAGN1	-0.188333333333333
BSDC1	0.0585
RNF43	0.2036
NDUFAF1	0.41175
PHF12	1.03975
OR1L3	0.23425
FOLR2	1.45708333333333
LYZL6	0.204666666666667
tcag7.1260	-1.499
WSB1	-1.32816666666667
PROS1	-1.1818
OSTN	0.564
PSMB8	1.0395
SOCS4	-0.401875
DDIT4L	1.63775
MAS1	0.809
MGC34796	1.09725
CSHL1	0.280166666666667
TBCCD1	-0.0533333333333333
ZBTB7C	0.101
AP2S1	-0.202625
P15RS	-0.2478
VAT1	-0.0196
SHANK3	0.995666666666667
TUFM	-0.1035
THEG	0.858
KRT34	-2.25175
SGSM3	0.570625
TOMM22	0.262625
SOCS3	1.2165
CPO	0.2225
POP4	0.32925
BHLHB3	0.627
MALL	1.07225
OR1B1	0.381
PARK2	0.420666666666667
GPR124	0.712375
LCE1E	0.6355
RUVBL2	0.04925
CGRRF1	0.3566
ACPL2	-0.368
WNT10B	-0.470125
BAIAP2L2	-1.392875
ISCA1	-0.309
C1orf125	0.592625
RPAP1	-0.3085
RAI16	0.0521666666666667
RPL27	-0.5375
NLRP9	-0.436
EPN1	0.4165
LOC388610	-1.6315
SLC35A1	0.2187
GAL	-3.48375
SLC14A2	0.1735
RDH11	-0.754666666666667
FAM138F	-0.7835
AUH	-0.76775
FLJ40243	0.1615
C14orf129	0.0106666666666667
MBD2	-0.332666666666667
ABHD14B	0.212375
PIGT	0.785875
ALS2CR4	-0.89625
ALAS1	0.518
FOXO1	0.714166666666667
CRLF3	-0.050375
C20orf107	0.5425
FARS2	0.62975
CCDC28A	-0.11975
NPHP3	-1.2755
OR13F1	0.6725
TSEN54	-0.0135
DEFB106B	-0.0665
OR8B4	0.849
STH	1.19375
ZC3H14	-0.5675
CBX2	0.3185
TMEM49	-0.534
C6orf21	0.305
FLJ20920	0.826875
CRTAP	-0.226714285714286
DDX50	-0.13475
STYXL1	0.50575
BLVRB	0.335166666666667
LOC147650	-0.00466666666666667
MMP24	0.00675000000000001
GRID1	1.60516666666667
BANF1	0.5025
CTAGEP	0.67575
HMBS	-1.772
SLC25A24	0.0108333333333333
C14orf50	1.52675
MRO	2.53233333333333
SLC25A15	-1.43575
FAM84B	3.147
TDP1	-0.599
C16orf78	0.057
C11orf57	-0.5615
RFK	-0.7795
ZFYVE9	-0.361625
STCH	-1.4343
WIBG	0.555
LOC283871	-0.284
GBA2	-0.6158
NDUFB3	-0.62375
HSD17B13	-1.1945
GRIN3A	2.76716666666667
FMNL1	0.456833333333333
SEPT7	-0.1775
GNLY	4.027
GRAMD1C	0.621
ZNF165	-0.3915
USP38	0.54175
FAM83A	-2.0025
C14orf24	1.42966666666667
ARMCX3	0.650125
ARHGDIB	0.782333333333333
AK1	-0.156
KIAA1045	0.09475
DNAJB13	-0.250333333333333
NEU2	-0.082
HIST1H4B	-0.399833333333333
FAM20B	0.1174
HES2	1.15085714285714
FAM73B	-0.6315
LOC388381	0.09275
INTS7	-0.0419090909090909
AMPH	0.9815
ZNF775	0.050125
UCKL1	0.0601666666666667
C10orf97	0.284
C1orf161	0.1115
ALDH1L1	-1.90025
FLJ39378	-0.146125
SLC23A1	-1.4815
RBM4B	0.395
THAP4	0.382666666666667
OGFRL1	0.4085
KIAA0831	-0.2145
PPP1R15A	-0.0166666666666667
C1orf96	-0.1445
C12orf11	-2.15375
BMF	1.60625
MAN1A1	-0.209625
KIAA1600	1.3515
NLGN4X	-1.17675
ALOX12	-1.57266666666667
RB1CC1	0.1885
NEIL2	0.336
EIF4E	-0.222454545454545
ABHD5	-0.20675
EXOC4	-0.350833333333333
CIP29	0.375
BATF2	2.51525
SLC29A4	-0.621375
HTR4	0.68475
EMB	0.34475
TRAF6	0.43925
LMNB1	-1.35575
FAM19A5	-0.50825
SHE	1.561
PIK3C2B	1.42775
C15orf15	-0.8173
USP15	0.1895
TCEAL2	-0.5205
C5orf39	-0.920333333333333
PTGER2	0.05325
SLC31A1	-0.385375
IFT172	0.2755
ADAM29	0.84625
GFOD1	0.4455
ST7L	-0.0906666666666667
C15orf26	-3.22725
PKN3	-1.37325
CNTD1	2.861
COMMD1	0.265
NTRK2	1.55241666666667
FOXN3	-0.046375
MFGE8	-0.1582
PFKFB2	0.9805
TAS2R4	-0.36825
ENTHD1	0.956166666666667
PRMT5	-0.08
MGC16384	-0.4725
LOC442229	-0.14775
TSKU	-0.20675
KRTCAP3	2.90325
PDLIM1	-0.0511
KCNS2	-0.01475
RNF126	-0.421333333333333
CEP63	1.17475
CLIC4	-0.273625
hCG_1990170	-1.01275
ACR	0.4806
KLK7	1.06775
ALOX5AP	3.632125
RIPK3	3.74275
TAS2R9	-0.2165
C19orf18	1.941
BIRC6	-0.0502857142857143
ZNF16	2.266
RFT1	-0.42225
SLC8A2	-0.9585
TACC1	0.475375
ITGAD	1.18375
SAMHD1	2.43625
SH3PXD2B	0.9887
EPC2	0.126
C20orf85	1.055375
ATP13A2	0.300666666666667
KRT4	0.31075
CAPNS1	0.126
MDM2	0.0260833333333333
PCDH20	2.94475
KCNK9	0.618
OR2C1	0.087
KLHDC3	-0.278833333333333
IPPK	0.3785
EFHD2	0.303125
GALR3	0.42575
NBEA	0.800666666666667
ABCA6	3.0231
CLDN3	1.79583333333333
AKT2	-0.488714285714286
EGFR	-2.9682
RBM16	-0.21425
ZDHHC3	0.5629
SLC25A4	-1.02683333333333
CYB5B	-1.21566666666667
CPXM1	-0.244
NDRG1	-0.565076923076923
FLJ43826	0.402
OR5L2	0.2745
FARP2	0.1427
MRPL46	-0.0860833333333333
LDHAL6B	0.396833333333333
MAPKAPK3	-0.0478333333333333
NCAM2	-1.055
PRKD2	0.775666666666667
ZFP36L1	0.9073
CYSLTR1	-0.0625
OR4C3	0.6775
HIST1H2AJ	2.096
CCNB2	-1.36844444444444
ZNF10	-0.4855
TMEM175	0.5295
FAM134A	1.31666666666667
TIGD4	-0.626
PCNP	-0.90875
MGC39715	0.78275
LQK1	0.437
CREB1	0.8045
TMPRSS3	-1.4095
C4orf32	0.236125
LAT	-0.169666666666667
KCNA3	0.5725
SKIV2L2	-0.90425
ROPN1B	-3.079
tcag7.23	-0.7785
CDT1	-2.346875
ZHX2	1.3725
CD28	-1.7375
ZNF624	0.6195
SEPT2	0.48
SOHLH2	-2.49825
MCOLN3	0.264375
UNQ1945	0.691
MASP2	-0.6315
ZNRF3	0.0937
GPATCH3	0.03275
AGL	0.080875
QRICH2	-0.104
PSD4	0.701833333333333
CCNB1IP1	-1.51075
ENPP7	0.1735
OBFC1	0.299
KCNG3	-1.9315
C14orf79	0.530666666666667
ENPEP	1.809
SCT	1.187
SKI	0.857875
SEC61G	-0.4995
CAPN11	0.2975
ATXN7L3	0.36625
DBNDD1	0.594833333333333
FAIM	-0.20225
ANKRD36	0.183
GABRP	0.5935
TACSTD2	1.62833333333333
EIF3J	-0.518
PPP2R2A	-0.24
TEKT4	0.345333333333333
PVALB	-3.72583333333333
F10	-2.70133333333333
FAM134C	1.0825
COMP	4.40375
EFCBP1	-3.294125
SCLT1	0.826875
TAL1	-1.1488
ACSL1	1.882
ABCC5	1.62166666666667
ABL1	-0.440388888888889
RBBP7	0.28775
PTPRG	-0.0485
NCOR1	-0.6323
SPINK4	-0.597666666666667
TXNRD1	-0.026
TNRC15	0.524375
C9orf138	1.12925
UBE2H	0.583833333333333
BRDT	-0.7902
C8orf31	-0.09175
CCNE2	-0.102272727272727
SLC6A8	-1.50625
CALCR	-4.29375
PPP1CB	0.402416666666667
ABHD8	0.089
ARF5	-0.2057
SLC24A4	1.07775
CCT3	0.098
ZNF121	0.693625
SLC3A2	-0.3799
OR13A1	0.468
SLC5A10	-0.3975
RAD50	-0.25025
IER5	0.076625
MTHFD1L	-2.31
MBTPS2	0.72475
MVK	-0.07225
NCL	-0.6303
PSMD10	-0.2335
MOBP	0.257875
FLJ32894	-0.6015
HRH1	-0.3245
C5orf30	0.5425
NUDT16L1	0.5155
RASGRP3	3.96
PRKRIP1	-0.3608
CCDC75	-0.036
LOC253970	-0.19325
KIAA1239	-0.421
MED21	-0.295
SYT11	0.781333333333333
NTSR2	-0.335
EGFL11	-0.714
CXorf59	0.455
OR2A25	0.1395
SPTBN2	0.448
LRMP	-0.977
RNF111	0.02225
PTH	0.083
LOC619208	0.579333333333333
KIAA0895	0.802
RANBP5	-1.198375
P2RY10	1.78516666666667
NME5	3.00316666666667
DDX21	-0.17325
LRSAM1	0.471
HDAC11	1.95666666666667
VMO1	3.0785
NOLA2	-0.096
ADAR	1.15991666666667
MTO1	-1.10466666666667
SF4	0.922166666666667
P2RX1	0.0243333333333333
HBM	0.17175
EN2	0.555
C14orf172	0.22575
TM9SF2	0.534
INHBE	-1.29766666666667
TCTE3	-0.06275
TOX2	-2.564
CTAGE3	0.806875
HBB	2.4649
MED15	-0.485166666666667
CASR	0.51575
C6orf66	-1.0155
MTPN	-0.40225
UNC50	-0.08775
C21orf33	0.006125
IRF2	0.891375
PGR	0.713666666666667
GPR84	3.421
CROCCL1	-3.1355
SRPX	-1.25375
BRE	0.302166666666667
FGF10	0.16475
SDC3	-0.0471666666666667
ZRSR1	0.246666666666667
DKFZP434P211	0.137375
SOX6	0.26
RPUSD2	-0.01875
C14orf173	0.17125
MAPK11	-0.537166666666667
TBC1D22A	1.003
FAM123A	-1.355
COL4A6	-3.43266666666667
TOMM70A	-0.31
NAB1	-0.444875
MGC16385	0.54
TSPAN18	0.0261666666666667
MED31	-0.28125
PLG	-0.702
CAPSL	3.0645
ZNF532	0.6165
ASB14	0.22025
CA8	0.1505
NUDT16P	0.490833333333333
SLFN11	-0.63
LRRIQ2	0.085875
NOL7	0.038
BRMS1L	-0.642125
JARID1A	0.911
PANK2	-0.242
ICAM3	-0.14475
MDS1	0.602
TAF8	-0.5045
RNF139	0.832
ZNF594	-0.171833333333333
ADAM8	3.46375
SFTPC	-0.289375
MAN2B2	0.843125
RGS12	0.398125
EIF1AY	-4.82927272727273
LRRIQ1	0.753333333333333
GPR150	0.67825
CCDC21	-0.964833333333333
PRRG3	0.46925
SAA4	-3.92825
RAPGEF5	1.8445
ZCCHC2	0.7015
MGC39372	1.8225
PPP4R2	0.291166666666667
CDCA2	-1.33416666666667
OR4D5	0.3655
PTGFRN	0.5801
SIGLEC5	2.57383333333333
C19orf61	-0.0745
NMUR2	0.014
KIAA1586	-1.978
DAGLA	0.533833333333333
CHCHD6	-0.58725
GPR32	1.26
NEUROD6	-0.1836
SLC2A4RG	0.864375
CA5B	-0.4875
FBXL3	0.49175
MPHOSPH9	-0.45925
HMG2L1	0.22275
HCN4	0.505333333333333
CEACAM19	0.381
SH2D4B	0.868
HFE2	-0.534
TGM4	0.6664
LYPD2	0.37825
TBC1D15	0.3405
MRPS21	-1.1193
NONO	-1.0509
CLEC5A	2.937125
ITCH	0.2794
MGAT3	-1.33133333333333
MBP	-0.52875
RPP25	-0.4555
SOSTDC1	-2.05475
HRC	-1.264
TRIM48	0.1655
TMEM133	-0.72125
ECEL1P2	-1.3275
HOXC11	1.7445
DOK5	-0.26025
HELZ	0.574833333333333
LOC348180	-0.62
MGC33894	0.5455
ADRB3	-0.0225
DMD	-0.3995
PTRH2	-0.09575
MPEG1	3.67316666666667
NDUFA12	-0.143166666666667
KRTAP2-4	0.0305
STAMBPL1	-0.937
ADCY2	-0.514833333333333
UNQ6125	1.1
KLHL20	0.284333333333333
SRM	-0.8985
OTC	-0.13775
TMIE	0.276666666666667
SNX8	0.85725
LIPK	-0.5765
CHURC1	-0.493583333333333
KLC2	0.273833333333333
HDAC1	-0.327666666666667
FAM128A	0.0991666666666667
FNDC3B	-0.0344
MTCP1	-0.614
WFDC10B	0.1198
PCDHGB3	-0.5315
ATRNL1	1.044
CAV2	-0.91875
MED26	-0.108
DUS1L	0.62575
CHRM3	-0.00837499999999999
NEK9	0.5035
WARS2	0.36775
TBX22	-0.2715
TOMM40	-0.598
RP6-213H19.1	-1.25233333333333
TUBGCP5	-0.17275
IGSF6	5.21575
TPPP	0.3805
UNQ6190	-0.6985
GSTM5	-0.0781249999999999
BTD	0.9455
PDCD1LG2	1.91033333333333
SNRPB2	0.0146666666666667
ERICH1	-0.080625
APOA4	-1.709625
HOXA11	-1.98225
NARG1	-0.604125
MKX	4.16525
RAB28	-0.276
PKP3	1.33725
SH3GL2	-3.6505
CTSO	2.375
RPN2	0.8236875
IL28RA	0.406166666666667
SFMBT1	-0.07725
WDR57	-0.761375
FER1L3	0.4695
HSF5	0.343
TTC9B	0.7985
C4BPA	-4.21
ALB	-4.19892857142857
SORBS3	0.099625
UPF2	1.142
JPH1	1.0085
AGBL2	-0.15925
DOPEY1	1.0795
TERF1	0.517416666666667
KIF22	-0.324333333333333
NINJ1	1.37025
SEC61A2	0.342083333333333
HIST1H1D	0.0528333333333333
SFXN4	0.114375
UCP3	0.4157
ZNF703	0.960333333333333
MYL6B	-0.83425
TREM1	2.841
OR52E6	0.9815
CKMT2	0.55775
HLA-C	2.754
SLC13A3	-2.15216666666667
TIMP4	-2.04775
SLIT2	1.398
RSF1	-0.370222222222222
LONRF1	-0.136214285714286
MON1A	-0.175166666666667
CACNG6	-1.78166666666667
DPPA4	-5.0995
ZSWIM3	-0.05625
ZNF804A	0.771
CCIN	0.98175
SLC25A31	-0.2015
KCNMB4	-0.91625
RABL5	0.178
GALNS	-0.5111
STX6	1.248625
HIST1H1C	-0.130833333333333
CIDEB	-0.63525
CASP4	0.566666666666667
PDK3	0.8663
KCNJ11	1.022
TPR	-0.22375
ZSCAN20	-0.5965
MTX2	-0.29975
HIST1H2BH	0.02175
LOC283767	0.93475
LYRM7	-1.59033333333333
BRD3	0.2555
HIST1H2BO	-0.3355
MAGEB10	-0.17
SLC45A1	1.27025
SERPINA3	2.80795
KIAA0143	1.4295
KCNJ16	-0.206666666666667
KRT79	0.63925
FABP2	-1.18825
NUT	0.064
ZNF57	-0.20175
FBXL4	0.15875
CLEC9A	1.792
UGT8	-1.492
BMP2K	0.45625
MAPK4	-3.666
SLC25A23	-1.1318
HINT1	-0.7391
KRTAP13-1	0.4105
SFXN5	0.1987
CHCHD2	0.568083333333333
FAM3D	0.9465
NDP	-3.651625
RHOBTB1	0.4755
SLC4A4	-1.7895
RPL38	-0.1905
HTF9C	-0.183833333333333
AP2A2	0.354125
ZBTB46	0.58
MAP7D1	0.445375
AOX1	-1.512
CYR61	0.453
DTNA	0.638428571428571
JRKL	-1.2675
TMOD3	0.016
EEA1	-0.764
ADCK5	1.398
IL1R1	2.9205
KLK3	0.381928571428571
HRSP12	0.25025
KTN1	-0.10125
LOH11CR2A	0.5316
RELL2	-1.0075
MAB21L1	0.9025
C20orf59	-0.166333333333333
PHKB	-0.6355
ADAM2	-2.11783333333333
TBC1D8B	0.221333333333333
FAM13A1	-1.3099375
LAPTM4B	1.42608333333333
LCN8	0.045
TMEM147	0.2
SYT4	0.266833333333333
XPO7	-0.526
C9orf62	0.7695
GPR75	0.0645
TRIM5	0.705375
APOC1	1.65133333333333
RNASE4	0.464166666666667
PARD6B	-1.793375
ARID1A	0.147
TPD52L3	0.0778888888888889
RRAGB	1.379
RCN2	-0.812166666666667
HIST2H2BE	-0.2164375
STARD7	0.221
SHMT2	-0.46825
KIAA1751	0.500333333333333
MLYCD	0.07575
LOC162632	-0.0362
UQCRH	-1.54875
RP11-217H1.1	0.357125
SDHA	-0.2765
NCLN	0.3919
ZNF17	0.274666666666667
RCBTB2	-1.80125
VEGFB	-0.0028
RP4-747L4.3	0.4815
COLQ	0.5589
MPN2	-0.9005
DRG2	-0.05725
KLRB1	5.51175
ALPK2	-1.28725
DNASE2B	1.811
FLJ23834	-0.269333333333333
AXUD1	0.378166666666667
SAFB	0.0897
NSUN4	-0.293
RFX2	0.957833333333333
MAPK8IP1	-1.10733333333333
FANCD2	-0.884642857142857
ANKZF1	-1.17883333333333
C19orf50	0.11675
DUSP8	0.560375
SENP5	0.461625
NFKBIL2	0.386
LBR	-1.056375
IGFL1	0.49
LZTS2	0.032625
IL2RG	0.908875
CCDC51	-0.03275
KLF3	0.281375
ANKRD37	-2.28925
KCTD14	-1.618
FZR1	0.609083333333333
SLC44A4	3.738
ESPL1	-0.473875
GMPR2	-0.3407
TBC1D19	-0.536666666666667
ERGIC1	0.954666666666667
ERBB4	1.487
TSPAN32	0.872666666666667
MAP4	0.00762500000000001
GPHN	-0.346
SLC6A2	-0.302
HIVEP1	0.08425
DFFB	-0.5035
EIF4EBP2	0.717625
DMRT1	-0.549
HSPB6	-0.13475
IER2	-0.2555
AIFM1	0.0855
WWC2	-0.683916666666667
MRPL4	-0.07975
FLJ21062	0.477833333333333
EPB41L4A	1.30841666666667
SH2D6	0.64825
TAF4B	-1.4705
GAL3ST3	-1.046
MALT1	-0.894166666666667
RTDR1	0.33925
ARVCF	-0.044125
MEX3B	-0.71
FBXO16	0.5595
KIF7	-0.74125
C1QC	4.04233333333333
ZNF783	-0.621666666666667
ZNF85	0.0485
MMP13	4.7845
KIAA0329	-0.09975
RTP3	-0.648
ZBED3	-0.35875
CLGN	0.76475
SLC25A37	-1.68020833333333
hCG_18290	-0.6185
OR5AS1	-0.1955
SMARCC2	0.2535
FAM109A	0.256833333333333
CCDC12	-0.12025
USF2	0.4823
DEPDC7	-2.0485
C20orf24	0.402666666666667
JMJD3	0.934
DSP	1.02592857142857
SLIC1	1.224625
FAM20A	2.423375
IRF2BP2	0.951375
ZNF230	-0.3705
MSN	-0.0396428571428571
SLC9A5	-1.845
EPDR1	-1.1453
MUSK	0.1475
ZNF434	-0.165333333333333
SMARCD1	-0.4065
