Hybridization REF	TCGA-BH-A0EE-01A-11R-A034-07
C10orf99	0.576
SCN11A	0.575625
GFI1	-1.83225
RDHE2	4.66583333333333
FHL1	-2.99583333333333
OSGEP	0.951166666666667
GATA1	-3.47733333333333
SMC6	-0.80425
TTTY14	-0.4165
LPIN3	-0.24575
RPL4	-0.9407
RBPMS	-0.6363
PRPF3	0.730333333333333
EMR1	-1.9635
SPATA19	0.24275
XCR1	1.152
IRX3	1.3988
RBM6	-0.931
KLF4	0.0239
UNC5CL	-0.234
SEBOX	-0.708
BTK	-1.727
KRCC1	1.3995
C6orf27	0.4225
SYTL5	0.3175
PRND	0.633142857142857
LOC653319	-1.0845
PIGL	-1.5335
HUS1	-0.3645
SFRS6	-0.435
C17orf77	-0.2655
UIMC1	-0.347833333333333
FXYD2	-1.61266666666667
LOC283152	0.6155
ZNF667	-2.923
ZCCHC12	-1.4135
TFEC	2.6412
ATP7B	-0.394833333333333
POLD2	-1.17666666666667
RG9MTD1	-0.081
ACOT2	0.0958333333333334
HIST1H4I	-0.15025
PPARGC1A	-3.35388888888889
ETFA	-0.5643
POLRMT	-0.54825
ZNF146	0.248625
MIA2	-1.4535
KLHL6	-1.349
HOXB5	3.53475
NENF	0.887833333333333
CUGBP1	0.6165
PRSS22	2.783
CASC4	2.3833
CUL4B	0.2204
CENPJ	-0.4549
PITX1	1.0435
FLJ31033	2.01266666666667
CELSR3	0.752333333333333
ZNF568	-0.066
ITSN1	1.309
EHBP1L1	-0.897833333333333
C19orf2	-1.21625
DCTN1	-0.84875
LIN28B	-4.15583333333333
TNKS2	-0.861
C1QBP	-1.792375
CADPS2	2.88675
SRMS	-0.08775
GJA9	0.0506666666666667
MGC24975	0.4965
TRIM45	-0.832166666666667
TSP50	-0.543
TCP1	-1.4165
TMED7	0.6969
CMA1	-0.205
CENPL	0.252166666666667
PTCRA	0.24
FST	-3.9235
VWCE	-3.87675
PAWR	0.70675
ABCC12	0.580666666666667
LDLR	0.1951
ASTN2	0.5386
LOC441212	-0.363
GPATCH8	0.1265
TANC2	-0.6145
KIF4A	-0.4505
C18orf18	0.208
PGM1	-0.10175
KIAA0258	0.966
CPD	1.532875
SNCAIP	-2.21366666666667
DCT	-4.31916666666667
HLA-DOA	2.93963636363636
OR11L1	0.9825
UPK1B	-1.16733333333333
DNAJB4	-1.2665
UGT1A8	-0.03025
HIST1H4L	-0.232
PECR	-2.12666666666667
HSPA2	2.42075
WFIKKN1	-0.7225
SERP1	1.0105
SYDE2	2.741
TACR2	0.9085
NUP85	-0.88325
CD177	-0.587333333333333
LGR5	-1.64216666666667
PIGG	0.323083333333333
PTHR1	-3.01216666666667
RAB5A	0.1617
FLJ13224	-0.3365
USP9Y	-1.71816666666667
C7orf53	0.4135
LRP1B	1.1245
XAF1	3.4258
ABCG8	-1.2855
ANKDD1A	-0.171333333333333
DAND5	-1.672
SPAG6	-0.065
LINCR	0.92225
ZDHHC22	-1.192625
CCDC60	0.977
THOC7	-0.778833333333333
TCTA	0.9767
OR8K3	0.10075
NY-REN-7	-0.09025
B2M	1.85033333333333
C6orf141	-0.652125
LPPR4	1.426
SQLE	-0.616625
SEPHS1	0.328
BTBD14B	0.930071428571429
PLRG1	0.04
SPG7	-0.95425
ZNF614	-0.7215
PARD6G	0.918666666666667
INPP5B	0.8849
GRPEL2	0.04075
PPID	-0.1737
TRIM56	0.06925
UBE2J1	0.330625
IL20RA	2.95525
LOC387856	-0.14
C1orf107	0.921333333333333
UTS2R	0.6195
C19orf22	0.035
SAFB2	0.417375
KIAA0652	-1.0465
KLRG1	-1.23183333333333
MS4A8B	4.5415
FRAG1	-0.37525
KIAA1546	1.1875
E2F4	-1.5186
CLEC4M	0.520333333333333
BTBD14A	-0.503
KIAA0999	0.9351
GYPA	-3.85
TAC1	-0.8818
TRAIP	-0.5645
KIAA0232	0.4645
ERCC8	-1.064125
GPX4	0.398375
KIAA0368	0.458
GPR157	-0.1305
CTAGE4	0.8555
C9orf30	-1.1275
OR52A1	1.101
HSP90B3P	-0.693
ALG9	-0.4279
BTBD10	0.04275
SDK2	0.582333333333333
BAIAP3	-0.63475
RABGGTB	-0.233875
ANKRD40	0.8715
KRT74	-0.029
CALCOCO2	1.29364285714286
SNCA	-4.18925
TMSL8	0.044
C2orf53	-0.7345
ESRRB	-1.15075
ARHGAP26	1.749
TDRD9	-2.8255
HRAS	0.435166666666667
KLRC4	-2.2
JAGN1	0.116166666666667
BSDC1	1.0935
RNF43	-0.7678
NDUFAF1	0.0185
PHF12	0.20825
OR1L3	0.17425
FOLR2	1.59266666666667
LYZL6	-0.254
tcag7.1260	3.425
WSB1	-2.6605
PROS1	-2.35688888888889
OSTN	0.586
PSMB8	2.2835
SOCS4	0.07625
DDIT4L	2.2725
MAS1	-0.4315
MGC34796	0.47575
CSHL1	0.252
TBCCD1	0.260333333333333
ZBTB7C	0.3765
AP2S1	0.078375
P15RS	0.1061
VAT1	-2.0282
SHANK3	0.675333333333333
TUFM	-0.128666666666667
THEG	-0.46225
KRT34	-1.5385
SGSM3	1.607375
TOMM22	-0.48325
SOCS3	-0.095
CPO	2.097
POP4	-0.3465
BHLHB3	0.1565
MALL	3.59025
OR1B1	-0.0615
PARK2	0.4855
GPR124	-0.7775
LCE1E	-1.049
RUVBL2	-1.2775
CGRRF1	-0.00189999999999999
ACPL2	0.46075
WNT10B	-2.343625
BAIAP2L2	-1.2935
ISCA1	-0.207
C1orf125	-0.209125
RPAP1	-0.749
RAI16	-0.642833333333333
RPL27	-1.402625
NLRP9	-0.436
EPN1	-0.1255
LOC388610	2.14725
SLC35A1	-0.1753
GAL	-4.1285
SLC14A2	0.721
RDH11	1.0435
FAM138F	0.0645
AUH	0.119
FLJ40243	0.309
C14orf129	0.315666666666667
MBD2	0.0983333333333333
ABHD14B	0.471125
PIGT	-1.155
ALS2CR4	-0.724125
ALAS1	-0.5426
FOXO1	-0.547166666666667
CRLF3	-1.4645
C20orf107	1.6085
FARS2	0.2275
CCDC28A	-0.40425
NPHP3	-0.96625
OR13F1	0.9525
TSEN54	1.00825
DEFB106B	0.0035
OR8B4	0.9955
STH	-0.1385
ZC3H14	-1.163875
CBX2	-2.564
TMEM49	-2.526
C6orf21	0.87
FLJ20920	-0.064375
CRTAP	-0.826714285714286
DDX50	0.23675
STYXL1	-0.39875
BLVRB	0.855833333333333
LOC147650	0.513166666666667
MMP24	0.0505
GRID1	0.288166666666667
BANF1	-0.655833333333333
CTAGEP	1.4305
HMBS	-1.01725
SLC25A24	-0.170666666666667
C14orf50	0.3165
MRO	-0.181333333333333
SLC25A15	-0.6345
FAM84B	1.6156
TDP1	-0.144
C16orf78	-0.345
C11orf57	0.889
RFK	-0.31775
ZFYVE9	-0.311375
STCH	-0.9363
WIBG	0.66425
LOC283871	0.646
GBA2	-0.1573
NDUFB3	0.23025
HSD17B13	-0.7785
GRIN3A	3.70583333333333
FMNL1	-1.8285
SEPT7	-0.3671
GNLY	5.4345
GRAMD1C	1.2035
ZNF165	1.261
USP38	1.26575
FAM83A	0.7025
C14orf24	1.01333333333333
ARMCX3	0.904625
ARHGDIB	-1.323
AK1	0.06225
KIAA1045	0.26475
DNAJB13	0.0216
NEU2	0.8525
HIST1H4B	-0.0811666666666667
FAM20B	0.4171
HES2	0.666928571428572
FAM73B	-0.3138
LOC388381	-1.3555
INTS7	0.123181818181818
AMPH	0.54625
ZNF775	-0.3765
UCKL1	-0.324666666666667
C10orf97	0.8485
C1orf161	0.6485
ALDH1L1	-2.13325
FLJ39378	-0.470875
SLC23A1	-0.053
RBM4B	-0.35425
THAP4	-0.3215
OGFRL1	1.521
KIAA0831	0.02975
PPP1R15A	-0.4885
C1orf96	0.817785714285714
C12orf11	-3.28625
BMF	0.10175
MAN1A1	-0.52325
KIAA1600	-0.297333333333333
NLGN4X	1.267
ALOX12	-1.205
RB1CC1	-0.8634
NEIL2	-0.3611
EIF4E	-0.197636363636364
ABHD5	0.15875
EXOC4	-0.352166666666667
CIP29	0.323833333333333
BATF2	3.0465
SLC29A4	-0.98675
HTR4	0.7495
EMB	-0.49775
TRAF6	0.3935
LMNB1	1.25975
FAM19A5	-1.258875
SHE	1.33725
PIK3C2B	0.706
C15orf15	-0.3553
USP15	0.1566
TCEAL2	-1.22875
C5orf39	1.13133333333333
PTGER2	-2.055
SLC31A1	0.059
IFT172	1.8625
ADAM29	0.40425
GFOD1	-0.483
ST7L	0.888166666666667
C15orf26	-3.7125
PKN3	-0.44375
CNTD1	-0.629833333333333
COMMD1	-0.474375
NTRK2	0.840333333333333
FOXN3	0.72675
MFGE8	-2.0938
PFKFB2	1.87416666666667
TAS2R4	-0.24925
ENTHD1	0.748166666666667
PRMT5	-1.73475
MGC16384	-0.9475
LOC442229	0.639
TSKU	1.12675
KRTCAP3	3.351375
PDLIM1	0.9605
KCNS2	0.24625
RNF126	0.1065
CEP63	0.69575
CLIC4	-0.922375
hCG_1990170	-2.3215
ACR	0.998
KLK7	2.01325
ALOX5AP	1.527125
RIPK3	1.51075
TAS2R9	0.7615
C19orf18	3.0525
BIRC6	-0.956285714285714
ZNF16	1.357
RFT1	-0.3795
SLC8A2	-1.18425
TACC1	0.08575
ITGAD	-0.2025
SAMHD1	1.978
SH3PXD2B	1.1355
EPC2	0.39975
C20orf85	2.033
ATP13A2	0.470833333333333
KRT4	3.24275
CAPNS1	-0.40825
MDM2	-0.202416666666667
PCDH20	3.82925
KCNK9	0.682
OR2C1	0.407
KLHDC3	-1.06966666666667
IPPK	-0.108
EFHD2	-0.551375
GALR3	0.63325
NBEA	2.068
ABCA6	1.7994
CLDN3	2.47683333333333
AKT2	-0.552357142857143
EGFR	0.877
RBM16	0.570125
ZDHHC3	0.0947
SLC25A4	-0.343
CYB5B	-2.0815
CPXM1	-1.21625
NDRG1	0.295615384615385
FLJ43826	-0.06575
OR5L2	0.407666666666667
FARP2	0.0521
MRPL46	-0.667
LDHAL6B	0.6885
MAPKAPK3	-1.23483333333333
NCAM2	-3.85625
PRKD2	-0.274333333333333
ZFP36L1	1.9585
CYSLTR1	2.33425
OR4C3	-0.908
HIST1H2AJ	1.1105
CCNB2	-1.04211111111111
ZNF10	-0.40975
TMEM175	0.2545
FAM134A	0.272
TIGD4	-0.2375
PCNP	-0.92375
MGC39715	0.89175
LQK1	-0.11525
CREB1	0.2278
TMPRSS3	0.46925
C4orf32	0.364
LAT	-1.3845
KCNA3	-0.4445
SKIV2L2	-0.221
ROPN1B	-3.3665
tcag7.23	-0.9095
CDT1	-1.810375
ZHX2	1.277875
CD28	-3.64425
ZNF624	0.6025
SEPT2	-0.645
SOHLH2	-2.70875
MCOLN3	-1.66428571428571
UNQ1945	0.722
MASP2	-0.536
ZNRF3	0.0623
GPATCH3	-0.2105
AGL	2.462625
QRICH2	0.279
PSD4	0.606333333333333
CCNB1IP1	-1.82025
ENPP7	0.10975
OBFC1	-0.9475
KCNG3	-1.242
C14orf79	1.186
ENPEP	1.1015
SCT	-0.078
SKI	1.456875
SEC61G	0.613
CAPN11	0.285
ATXN7L3	-0.83775
DBNDD1	0.0135
FAIM	0.84825
ANKRD36	0.874
GABRP	1.67933333333333
TACSTD2	2.65483333333333
EIF3J	-0.138
PPP2R2A	-1.7305
TEKT4	-1.863
PVALB	-3.40716666666667
F10	-3.42166666666667
FAM134C	-0.1018
COMP	-1.37525
EFCBP1	-3.8096875
SCLT1	2.079875
TAL1	-1.3817
ACSL1	2.7045
ABCC5	-0.4675
ABL1	-0.355833333333333
RBBP7	0.00925000000000001
PTPRG	-0.13525
NCOR1	-0.5959
SPINK4	-1.622
TXNRD1	-0.9085
TNRC15	1.14125
C9orf138	0.409571428571429
UBE2H	0.5525
BRDT	0.1206
C8orf31	-0.31325
CCNE2	0.476181818181818
SLC6A8	-1.336625
CALCR	-5.739
PPP1CB	0.788666666666667
ABHD8	-1.0715
ARF5	0.3837
SLC24A4	-0.0955
CCT3	-0.0455
ZNF121	0.460875
SLC3A2	-1.6185
OR13A1	1.264
SLC5A10	0.0593333333333333
RAD50	-0.4675
IER5	0.1935
MTHFD1L	-2.1855
MBTPS2	0.519
MVK	-0.773625
NCL	-0.1959
PSMD10	-0.145
MOBP	0.402875
FLJ32894	-4.148
HRH1	2.25866666666667
C5orf30	0.12625
NUDT16L1	-0.1094
RASGRP3	3.24
PRKRIP1	-0.0956
CCDC75	-0.08525
LOC253970	-0.5135
KIAA1239	0.35075
MED21	-1.28425
SYT11	-0.725916666666667
NTSR2	0.0205
EGFL11	0.521
CXorf59	0.703
OR2A25	0.64575
SPTBN2	-0.3315
LRMP	-1.2835
RNF111	-0.07575
PTH	0.86
LOC619208	-1.62766666666667
KIAA0895	0.94025
RANBP5	-1.667
P2RY10	0.882333333333333
NME5	-2.21933333333333
DDX21	-0.63175
LRSAM1	-0.487
HDAC11	-0.433833333333333
VMO1	2.26175
NOLA2	-0.3265
ADAR	0.973333333333333
MTO1	-1.16283333333333
SF4	0.138166666666667
P2RX1	-0.279
HBM	0.662
EN2	1.226
C14orf172	0.74475
TM9SF2	0.226
INHBE	-1.63116666666667
TCTE3	-0.00375000000000005
TOX2	-3.089
CTAGE3	2.497625
HBB	3.3221
MED15	-0.655
CASR	0.4755
C6orf66	-0.917
MTPN	0.04575
UNC50	-1.342
C21orf33	0.448125
IRF2	1.1105
PGR	-4.48383333333333
GPR84	1.64625
CROCCL1	-2.69525
SRPX	-3.10025
BRE	-0.0206666666666666
FGF10	0.788
SDC3	0.533833333333333
ZRSR1	1.37916666666667
DKFZP434P211	-0.4615
SOX6	0.735
RPUSD2	0.2845
C14orf173	0.487666666666667
MAPK11	-0.2095
TBC1D22A	-0.141
FAM123A	-1.1935
COL4A6	-3.80633333333333
TOMM70A	-0.57075
NAB1	-0.27275
MGC16385	0.196375
TSPAN18	-0.459
MED31	0.02725
PLG	-0.4545
CAPSL	1.0635
ZNF532	1.8835
ASB14	-0.181333333333333
CA8	1.236
NUDT16P	-0.442666666666667
SLFN11	1.2765
LRRIQ2	0.278125
NOL7	-0.0566666666666667
BRMS1L	-0.065875
JARID1A	-0.333666666666667
PANK2	-0.93975
ICAM3	-0.08125
MDS1	-0.79075
TAF8	-0.907
RNF139	0.63175
ZNF594	-0.7365
ADAM8	1.062
SFTPC	-0.4875
MAN2B2	0.6675
RGS12	0.1841875
EIF1AY	-4.17691666666667
LRRIQ1	-2.10316666666667
GPR150	0.8565
CCDC21	-1.32766666666667
PRRG3	0.39075
SAA4	-2.186
RAPGEF5	2.154875
ZCCHC2	1.46758333333333
MGC39372	0.294
PPP4R2	0.647666666666667
CDCA2	-1.3545
OR4D5	0.0215
PTGFRN	1.2235
SIGLEC5	1.40366666666667
C19orf61	-0.364
NMUR2	0.9895
KIAA1586	-1.86833333333333
DAGLA	-2.03483333333333
CHCHD6	-0.8705
GPR32	0.8575
NEUROD6	0.707833333333333
SLC2A4RG	0.2279375
CA5B	0.70725
FBXL3	-0.1485
MPHOSPH9	-2.28875
HMG2L1	0.67625
HCN4	0.559333333333333
CEACAM19	0.8055
SH2D4B	0.484
HFE2	-0.089
TGM4	0.590833333333333
LYPD2	-0.244
TBC1D15	-0.05525
MRPS21	0.9168
NONO	-0.4005
CLEC5A	0.33525
ITCH	-0.2625
MGAT3	-1.93333333333333
MBP	0.089125
RPP25	1.3055
SOSTDC1	-2.24725
HRC	-1.75875
TRIM48	0.7245
TMEM133	-0.51225
ECEL1P2	-1.9235
HOXC11	1.46
DOK5	-1.86
HELZ	0.340833333333333
LOC348180	-0.7325
MGC33894	0.469
ADRB3	0.6855
DMD	-0.361166666666667
PTRH2	0.36325
MPEG1	2.93983333333333
NDUFA12	-4.33680868994202e-19
KRTAP2-4	0.0770833333333333
STAMBPL1	-1.10833333333333
ADCY2	2.4052
UNQ6125	0.078
KLHL20	0.871333333333333
SRM	-0.80375
OTC	-0.38875
TMIE	-0.192833333333333
SNX8	0.11875
LIPK	1.1765
CHURC1	0.340833333333333
KLC2	0.436833333333333
HDAC1	0.0981666666666667
FAM128A	0.390833333333333
FNDC3B	-0.1009
MTCP1	0.317833333333333
WFDC10B	0.1954
PCDHGB3	0.84
ATRNL1	-3.57755555555556
CAV2	-2.09425
MED26	0.229166666666667
DUS1L	-0.1025
CHRM3	-1.91975
NEK9	0.445
WARS2	-0.0475
TBX22	1.563
TOMM40	-0.7865
RP6-213H19.1	-1.21583333333333
TUBGCP5	0.58225
IGSF6	5.387
TPPP	0.202166666666667
UNQ6190	1.07
GSTM5	-0.751625
BTD	-1.112
PDCD1LG2	-0.0863333333333333
SNRPB2	-0.109166666666667
ERICH1	-0.811
APOA4	-1.79857142857143
HOXA11	-2.32375
NARG1	-0.304625
MKX	-0.967
RAB28	-0.401785714285714
PKP3	1.179
SH3GL2	-0.82375
CTSO	3.50575
RPN2	0.2981875
IL28RA	-1.58366666666667
SFMBT1	1.1495
WDR57	-0.75925
FER1L3	2.24
HSF5	0.54825
TTC9B	0.27775
C4BPA	1.25566666666667
ALB	-4.24507142857143
SORBS3	-0.984
UPF2	0.644
JPH1	-1.117
AGBL2	-1.92875
DOPEY1	1.493
TERF1	-1.00316666666667
KIF22	0.317
NINJ1	0.103
SEC61A2	-0.442916666666667
HIST1H1D	1.3345
SFXN4	-0.9065
UCP3	1.9143
ZNF703	0.588166666666667
MYL6B	-0.9485
TREM1	1.7
OR52E6	0.453
CKMT2	-0.7615
HLA-C	3.132875
SLC13A3	-0.076
TIMP4	-4.064
SLIT2	1.18
RSF1	0.351111111111111
LONRF1	-1.24528571428571
MON1A	-0.219
CACNG6	-1.54916666666667
DPPA4	-4.9355
ZSWIM3	-0.77575
ZNF804A	0.00233333333333334
CCIN	1.033
SLC25A31	0.86325
KCNMB4	-2.62425
RABL5	0.438125
GALNS	-1.08
STX6	1.673625
HIST1H1C	0.0673333333333333
CIDEB	0.9355
CASP4	1.93433333333333
PDK3	0.3664
KCNJ11	0.2495
TPR	-0.102375
ZSCAN20	-1.2775
MTX2	-0.15925
HIST1H2BH	1.067
LOC283767	3.296
LYRM7	-1.74188888888889
BRD3	0.783666666666667
HIST1H2BO	0.554
MAGEB10	0.2815
SLC45A1	-0.499
SERPINA3	-3.2174
KIAA0143	0.8085
KCNJ16	-0.2815
KRT79	-0.662
FABP2	-0.41
NUT	0.2825
ZNF57	0.17775
FBXL4	0.38625
CLEC9A	2.0015
UGT8	0.130166666666667
BMP2K	0.11225
MAPK4	-3.88125
SLC25A23	-0.1396
HINT1	0.8717
KRTAP13-1	0.36
SFXN5	-0.5423
CHCHD2	0.120666666666667
FAM3D	4.286
NDP	-3.394375
RHOBTB1	-0.499166666666667
SLC4A4	2.2025
RPL38	-1.251
HTF9C	0.141333333333333
AP2A2	0.1885
ZBTB46	-1.0865
MAP7D1	-0.076875
AOX1	-2.56266666666667
CYR61	0.177583333333333
DTNA	1.53392857142857
JRKL	1.20775
TMOD3	0.45125
EEA1	-0.7396
ADCK5	0.855
IL1R1	0.383166666666667
KLK3	0.742428571428571
HRSP12	-0.6275
KTN1	0.93075
LOH11CR2A	0.9424
RELL2	-1.1175
MAB21L1	0.47175
C20orf59	-1.208
PHKB	-0.18625
ADAM2	0.0938333333333333
TBC1D8B	3.13466666666667
FAM13A1	0.2668125
LAPTM4B	0.73475
LCN8	1.144
TMEM147	-0.051
SYT4	-0.3255
XPO7	-0.874
C9orf62	1.24175
GPR75	-0.097
TRIM5	1.247875
APOC1	-0.607666666666667
RNASE4	0.686
PARD6B	-2.949
ARID1A	0.583916666666667
TPD52L3	0.6544
RRAGB	1.1075
RCN2	-0.5385
HIST2H2BE	0.834125
STARD7	-0.41275
SHMT2	-1.4045
KIAA1751	0.6452
MLYCD	-1.1585
LOC162632	-1.0087
UQCRH	-0.50925
RP11-217H1.1	1.2393125
SDHA	-1.2925
NCLN	-0.6357
ZNF17	-0.4195
RCBTB2	-3.67575
VEGFB	-1.0797
RP4-747L4.3	-0.2995
COLQ	0.5796
MPN2	-0.715333333333333
DRG2	-1.55
KLRB1	5.87125
ALPK2	-2.25125
DNASE2B	3.04275
FLJ23834	-0.590666666666667
AXUD1	0.294833333333333
SAFB	0.5176
NSUN4	-0.245
RFX2	-1.31033333333333
MAPK8IP1	-0.297833333333333
FANCD2	-0.3135
ANKZF1	-1.36666666666667
C19orf50	-0.46675
DUSP8	2.077
SENP5	0.33675
NFKBIL2	0.276
LBR	-1.125875
IGFL1	0.1325
LZTS2	-0.212625
IL2RG	-0.275625
CCDC51	-0.18975
KLF3	0.752125
ANKRD37	1.2735
KCTD14	-1.84316666666667
FZR1	0.568583333333333
SLC44A4	4.4599
ESPL1	-0.930625
GMPR2	-0.5939
TBC1D19	-0.853166666666667
ERGIC1	0.804740740740741
ERBB4	1.3125
TSPAN32	0.0633333333333334
MAP4	-0.925625
GPHN	-0.12575
SLC6A2	-0.0835
HIVEP1	1.213
DFFB	-0.4436
EIF4EBP2	1.048375
DMRT1	1.0195
HSPB6	-0.0525
IER2	0.4305
AIFM1	0.80575
WWC2	1.03725
MRPL4	-0.78025
FLJ21062	-0.283166666666667
EPB41L4A	1.987
SH2D6	0.8995
TAF4B	-0.14925
GAL3ST3	-0.2175
MALT1	-0.301
RTDR1	0.84275
ARVCF	0.845375
MEX3B	-0.450166666666667
FBXO16	1.50025
KIF7	-2.51525
C1QC	4.43733333333333
ZNF783	-0.647333333333333
ZNF85	0.54025
MMP13	4.146
KIAA0329	0.3775
RTP3	-0.288
ZBED3	0.20225
CLGN	2.2035
SLC25A37	-0.548708333333333
hCG_18290	-0.315
OR5AS1	-0.4145
SMARCC2	-0.212166666666667
FAM109A	-0.268
CCDC12	-0.14975
USF2	0.3027
DEPDC7	-2.363
C20orf24	-0.410833333333333
JMJD3	0.7015
DSP	0.582928571428571
SLIC1	0.241125
FAM20A	0.45325
IRF2BP2	1.197875
ZNF230	-0.8395
MSN	0.311428571428571
SLC9A5	-0.7765
EPDR1	-3.20811111111111
MUSK	0.560666666666667
