Hybridization REF	TCGA-BH-A0DL-11A-13R-A115-07
FKBP4	-1.010875
ZNF350	1.7165
MGC11102	-0.69125
BST1	2.2075
KISS1R	-1.1155
NCR2	-0.2085
DEFB125	0.5805
UBE2W	0.734625
KRT15	3.91525
C10orf99	-0.0155
SCN11A	1.06275
GFI1	-1.18075
RDHE2	0.994
FHL1	2.8675
OSGEP	0.0773333333333333
GATA1	-3.28883333333333
SMC6	-1.0995
TTTY14	-1.05
LPIN3	-0.3855
RPL4	-0.0666
RBPMS	1.0299
PRPF3	-0.466833333333333
EMR1	-2.259
SPATA19	-0.00425
XCR1	-0.1555
IRX3	1.1171
RBM6	0.27775
KLF4	0.7522
UNC5CL	-0.264
SEBOX	-0.082
BTK	-0.39125
KRCC1	1.62125
C6orf27	-0.1025
SYTL5	-1.1025
PRND	2.5025
LOC653319	-0.9885
PIGL	-1.22375
HUS1	-0.5735
SFRS6	0.627583333333333
C17orf77	0.2245
UIMC1	-0.130833333333333
FXYD2	-1.7628
LOC283152	0.14525
ZNF667	0.9045
ZCCHC12	-0.424
TFEC	3.3945
ATP7B	-0.821666666666667
POLD2	-1.67083333333333
RG9MTD1	-0.486
ACOT2	0.896
HIST1H4I	-1.700375
PPARGC1A	-0.1956
ETFA	-0.6946
POLRMT	-0.88075
ZNF146	0.164625
MIA2	-0.538
KLHL6	-0.7075
HOXB5	-0.234125
NENF	0.2775
CUGBP1	-1.1875
PRSS22	0.434833333333333
CASC4	0.9806
CUL4B	-0.0313
CENPJ	-1.3635
PITX1	-2.3225
FLJ31033	1.1055
CELSR3	-2.43183333333333
ZNF568	1.29
ITSN1	0.721083333333333
EHBP1L1	-0.719
C19orf2	-0.511
DCTN1	-0.47325
LIN28B	-3.9715
TNKS2	0.3635
C1QBP	-0.3195
CADPS2	1.75775
SRMS	0.0145
GJA9	0.186166666666667
MGC24975	-1.182
TRIM45	-0.944666666666667
TSP50	0.87675
TCP1	-0.76325
TMED7	-0.1626
CMA1	2.451
CENPL	-1.92883333333333
PTCRA	-0.041
FST	-2.12725
VWCE	-1.153
PAWR	-0.419
ABCC12	-0.154666666666667
LDLR	-2.3231
ASTN2	0.0685
LOC441212	-0.26375
GPATCH8	0.02075
TANC2	-1.21133333333333
KIF4A	-3.2235
C18orf18	-0.21575
PGM1	-0.012
KIAA0258	-0.1915
CPD	0.50925
SNCAIP	0.991
DCT	-4.1005
HLA-DOA	2.61431818181818
OR11L1	-0.021
UPK1B	-0.535333333333333
DNAJB4	1.42875
UGT1A8	-0.48375
HIST1H4L	-1.507
PECR	-0.7545
HSPA2	1.38625
WFIKKN1	-2.4515
SERP1	0.591875
SYDE2	0.98525
TACR2	0.261
NUP85	-0.698
CD177	-0.517666666666667
LGR5	-1.7555
PIGG	-0.466333333333333
PTHR1	0.3185
RAB5A	0.4517
FLJ13224	-0.651
USP9Y	-1.6282
C7orf53	0.083
LRP1B	1.24725
XAF1	2.9221
ABCG8	-0.67
ANKDD1A	0.726
DAND5	-1.4425
SPAG6	1.5495
LINCR	2.30675
ZDHHC22	-1.588
CCDC60	-0.517
THOC7	-0.903666666666667
TCTA	0.5155
OR8K3	0.00275000000000003
NY-REN-7	-0.3865
B2M	1.84816666666667
C6orf141	-1.72575
LPPR4	4.04325
SQLE	-3.323375
SEPHS1	-0.88875
BTBD14B	-0.296714285714286
PLRG1	0.09525
SPG7	-0.517625
ZNF614	-0.286833333333333
PARD6G	0.479666666666667
INPP5B	-0.6296
GRPEL2	-0.785375
PPID	-0.2626
TRIM56	0.498
UBE2J1	-0.11025
IL20RA	5.2715
LOC387856	0.31075
C1orf107	0.398
UTS2R	-1.2605
C19orf22	-0.34375
SAFB2	-0.0605
KIAA0652	-0.201125
KLRG1	1.1045
MS4A8B	-0.0626666666666667
FRAG1	0.07575
KIAA1546	0.72175
E2F4	-0.7689
CLEC4M	-0.0005
BTBD14A	-1.74225
KIAA0999	1.0612
GYPA	-3.55016666666667
TAC1	1.999
TRAIP	-1.92916666666667
KIAA0232	0.8394
ERCC8	-0.947625
GPX4	0.719875
KIAA0368	0.376125
GPR157	-0.528666666666667
CTAGE4	1.3985
C9orf30	-1.04233333333333
OR52A1	-0.337
HSP90B3P	-0.1735
ALG9	-0.2543
BTBD10	0.5315
SDK2	-0.16825
BAIAP3	-0.70125
RABGGTB	-0.966
ANKRD40	-0.365333333333333
KRT74	0.196
CALCOCO2	0.747571428571429
SNCA	-1.03475
TMSL8	-3.091125
C2orf53	-0.174
ESRRB	-0.69275
ARHGAP26	-0.051375
TDRD9	-2.05425
HRAS	-0.558833333333333
KLRC4	-2.002
JAGN1	-0.371333333333333
BSDC1	0.26875
RNF43	-0.0389
NDUFAF1	0.43125
PHF12	0.50725
OR1L3	0.094
FOLR2	2.65908333333333
LYZL6	0.2858
tcag7.1260	-1.2565
WSB1	0.036
PROS1	1.6475
OSTN	0.1605
PSMB8	1.16825
SOCS4	-0.144375
DDIT4L	2.977
MAS1	0
MGC34796	0.40225
CSHL1	0.0218333333333333
TBCCD1	-0.1575
ZBTB7C	-0.573
AP2S1	-0.948875
P15RS	-0.3224
VAT1	-0.1866
SHANK3	1.00383333333333
TUFM	-0.820666666666667
THEG	-0.72525
KRT34	-2.255
SGSM3	-0.248
TOMM22	-0.42825
SOCS3	0.597333333333333
CPO	0.892
POP4	0.12025
BHLHB3	2.75775
MALL	2.23825
OR1B1	0.075
PARK2	1.036
GPR124	1.999
LCE1E	0.168
RUVBL2	-1.10275
CGRRF1	0.7396
ACPL2	0.2645
WNT10B	-1.186125
BAIAP2L2	-2.0405
ISCA1	0.817
C1orf125	-0.329875
RPAP1	-0.7595
RAI16	0.247166666666667
RPL27	-0.203125
NLRP9	-0.1725
EPN1	-0.1235
LOC388610	-0.20625
SLC35A1	0.955
GAL	-3.24225
SLC14A2	-0.0245
RDH11	-0.598
FAM138F	-0.526
AUH	1.05975
FLJ40243	-0.16125
C14orf129	-0.15
MBD2	-0.27
ABHD14B	0.32525
PIGT	-0.210625
ALS2CR4	0.5705
ALAS1	0.0999
FOXO1	2.46933333333333
CRLF3	-0.114875
C20orf107	0.033
FARS2	0.40125
CCDC28A	1.005
NPHP3	0.6755
OR13F1	-0.075
TSEN54	-1.0835
DEFB106B	0.3023
OR8B4	0.198
STH	0.63525
ZC3H14	-0.315625
CBX2	-1.474
TMEM49	-1.262
C6orf21	-0.0365
FLJ20920	0.3435
CRTAP	0.747142857142857
DDX50	0.2105
STYXL1	-0.5335
BLVRB	-0.243166666666667
LOC147650	-0.069
MMP24	0.2255
GRID1	3.00333333333333
BANF1	-0.396333333333333
CTAGEP	0.167
HMBS	-2.04125
SLC25A24	0.0173333333333333
C14orf50	1.0005
MRO	0.958833333333333
SLC25A15	-1.243
FAM84B	0.5177
TDP1	-1.2485
C16orf78	-0.116166666666667
C11orf57	-0.157625
RFK	-0.6465
ZFYVE9	-0.238625
STCH	-1.1662
WIBG	0.00125
LOC283871	-1.22233333333333
GBA2	-0.5008
NDUFB3	-0.4465
HSD17B13	2.47775
GRIN3A	1.16133333333333
FMNL1	-0.327
SEPT7	0.2779
GNLY	3.3205
GRAMD1C	2.23633333333333
ZNF165	-0.68125
USP38	0.458
FAM83A	-3.392
C14orf24	0.458166666666667
ARMCX3	1.539375
ARHGDIB	0.875166666666667
AK1	0.047375
KIAA1045	1.283
DNAJB13	-0.682666666666667
NEU2	-0.6655
HIST1H4B	-2.06483333333333
FAM20B	-0.7726
HES2	0.267785714285714
FAM73B	-0.5457
LOC388381	-0.12975
INTS7	-1.14972727272727
AMPH	1.4825
ZNF775	-1.002375
UCKL1	-1.2095
C10orf97	0.26675
C1orf161	-0.33725
ALDH1L1	1.99775
FLJ39378	0.0778571428571429
SLC23A1	-3.4975
RBM4B	0.4435
THAP4	-0.301333333333333
OGFRL1	1.437
KIAA0831	0.807125
PPP1R15A	-0.0265
C1orf96	-0.540214285714286
C12orf11	-0.676
BMF	0.051625
MAN1A1	-0.00624999999999998
KIAA1600	1.3425
NLGN4X	1.83275
ALOX12	-1.10566666666667
RB1CC1	-0.194
NEIL2	0.5976
EIF4E	0.00868181818181818
ABHD5	-0.05025
EXOC4	-0.165166666666667
CIP29	0.072
BATF2	1.74875
SLC29A4	0.276375
HTR4	0.88475
EMB	0.0365
TRAF6	0.9435
LMNB1	-3.31875
FAM19A5	-1.3535
SHE	3.3505
PIK3C2B	1.513
C15orf15	0.0802
USP15	0.4092
TCEAL2	3.51325
C5orf39	0.0701666666666667
PTGER2	-0.42825
SLC31A1	-0.5318125
IFT172	0.57925
ADAM29	-0.011
GFOD1	1.2775
ST7L	0.864333333333333
C15orf26	-3.038
PKN3	-0.86725
CNTD1	2.01216666666667
COMMD1	0.0395
NTRK2	4.45091666666667
FOXN3	1.5895
MFGE8	0.8392
PFKFB2	0.372833333333333
TAS2R4	0.49
ENTHD1	0.597833333333333
PRMT5	-0.95275
MGC16384	-0.165
LOC442229	-0.6315
TSKU	0.32225
KRTCAP3	1.903625
PDLIM1	1.4514
KCNS2	-0.10325
RNF126	-0.798333333333333
CEP63	0.394375
CLIC4	0.796875
hCG_1990170	3.6375
ACR	1.6037
KLK7	3.84325
ALOX5AP	3.180125
RIPK3	3.209
TAS2R9	0.3275
C19orf18	1.679
BIRC6	0.244285714285714
ZNF16	0.4595
RFT1	-0.78175
SLC8A2	-0.88175
TACC1	1.4665
ITGAD	0.778
SAMHD1	1.865
SH3PXD2B	0.8649
EPC2	1.3545
C20orf85	0.11425
ATP13A2	-0.360833333333333
KRT4	0.211875
CAPNS1	0.04075
MDM2	-0.702166666666667
PCDH20	2.07575
KCNK9	-0.1475
OR2C1	-0.447
KLHDC3	-0.871166666666667
IPPK	-0.307
EFHD2	-0.265
GALR3	-1.19
NBEA	1.30883333333333
ABCA6	5.7089
CLDN3	0.631166666666667
AKT2	-0.757142857142857
EGFR	0.7935
RBM16	0.351625
ZDHHC3	0.2886
SLC25A4	0.0151666666666667
CYB5B	-0.526166666666667
CPXM1	1.29725
NDRG1	-0.557230769230769
FLJ43826	0.42125
OR5L2	-0.177
FARP2	-0.1293
MRPL46	-0.690916666666667
LDHAL6B	0.158333333333333
MAPKAPK3	-0.751333333333333
NCAM2	-1.56875
PRKD2	0.08
ZFP36L1	1.3614
CYSLTR1	0.64925
OR4C3	0.134
HIST1H2AJ	0.4515
CCNB2	-3.14566666666667
ZNF10	0.64
TMEM175	-0.018
FAM134A	0.0373333333333333
TIGD4	0.3325
PCNP	0.22025
MGC39715	2.49675
LQK1	-1.022
CREB1	1.0834
TMPRSS3	0.14175
C4orf32	1.880375
LAT	-0.83225
KCNA3	0.195
SKIV2L2	-0.5495
ROPN1B	2.893
tcag7.23	0.225
CDT1	-3.257
ZHX2	0.993875
CD28	-1.58475
ZNF624	1.42275
SEPT2	0.339
SOHLH2	-0.496375
MCOLN3	0.22975
UNQ1945	-0.5875
MASP2	-1.765
ZNRF3	0.0723
GPATCH3	-0.44775
AGL	0.733375
QRICH2	-0.5345
PSD4	0.291666666666667
CCNB1IP1	-1.052
ENPP7	-0.02075
OBFC1	0.11475
KCNG3	-2.70475
C14orf79	-0.404
ENPEP	2.37616666666667
SCT	0.321
SKI	0.368875
SEC61G	-1.34675
CAPN11	2.19425
ATXN7L3	-0.4585
DBNDD1	-0.9025
FAIM	0.7695
ANKRD36	-0.4265
GABRP	4.60666666666667
TACSTD2	2.15266666666667
EIF3J	-0.49075
PPP2R2A	-0.23325
TEKT4	0.656166666666667
PVALB	-2.995
F10	-0.213
FAM134C	0.3519
COMP	1.409125
EFCBP1	-0.731
SCLT1	1.070625
TAL1	-0.5221
ACSL1	3.20625
ABCC5	-0.665916666666667
ABL1	-0.761222222222222
RBBP7	-0.412666666666667
PTPRG	0.578
NCOR1	0.13
SPINK4	-2.27616666666667
TXNRD1	-1.8425
TNRC15	0.781625
C9orf138	1.018125
UBE2H	0.1535
BRDT	0.869833333333334
C8orf31	0.11675
CCNE2	-3.07181818181818
SLC6A8	-2.125875
CALCR	-2.59375
PPP1CB	1.3115
ABHD8	-0.4755
ARF5	-0.1528
SLC24A4	1.33675
CCT3	-0.883
ZNF121	0.504625
SLC3A2	-1.2524
OR13A1	-0.219
SLC5A10	-0.656
RAD50	0.169125
IER5	-0.84325
MTHFD1L	-1.720375
MBTPS2	0.04125
MVK	-0.9285
NCL	-0.2925
PSMD10	-0.1475
MOBP	0.076875
FLJ32894	0.6395
HRH1	0.7065
C5orf30	0.42825
NUDT16L1	-0.4654
RASGRP3	4.1275
PRKRIP1	-0.6934
CCDC75	1.283
LOC253970	0.0515
KIAA1239	2.46975
MED21	-0.70525
SYT11	0.4225
NTSR2	-0.346
EGFL11	0.737
CXorf59	0.6715
OR2A25	0.01925
SPTBN2	-1.24975
LRMP	-0.166
RNF111	0.2855
PTH	-0.7495
LOC619208	0.6135
KIAA0895	-0.1205
RANBP5	-0.47275
P2RY10	1.601
NME5	3.46066666666667
DDX21	-0.951
LRSAM1	-0.457
HDAC11	-0.0356666666666667
VMO1	0.55325
NOLA2	-0.418666666666667
ADAR	-0.0404166666666666
MTO1	-0.5385
SF4	-0.229166666666667
P2RX1	0.076
HBM	-0.43525
EN2	-1.2345
C14orf172	-0.5695
TM9SF2	0.3877
INHBE	-1.63683333333333
TCTE3	-0.4005
TOX2	-1.855
CTAGE3	0.274
HBB	3.7028
MED15	-0.653333333333333
CASR	-0.08325
C6orf66	-0.807666666666667
MTPN	0.03675
UNC50	0.33925
C21orf33	0.269875
IRF2	1.362375
PGR	0.000833333333333329
GPR84	1.826
CROCCL1	-1.629
SRPX	1.6975
BRE	0.107833333333333
FGF10	3.38375
SDC3	1.11983333333333
ZRSR1	0.685666666666667
DKFZP434P211	-0.265875
SOX6	0.282
RPUSD2	-0.30975
C14orf173	-0.648583333333333
MAPK11	-0.361166666666667
TBC1D22A	0.2445
FAM123A	-0.772
COL4A6	-0.0578333333333333
TOMM70A	-0.0535
NAB1	0.572375
MGC16385	-0.143
TSPAN18	0.371333333333333
MED31	0.01325
PLG	-0.69625
CAPSL	1.225
ZNF532	1.7923
ASB14	0.39725
CA8	0.65
NUDT16P	1.297
SLFN11	-0.063
LRRIQ2	-0.661
NOL7	-0.670833333333333
BRMS1L	-0.00799999999999999
JARID1A	0.328166666666667
PANK2	-0.45875
ICAM3	-0.548
MDS1	0.60825
TAF8	-0.15125
RNF139	0.511
ZNF594	0.277833333333333
ADAM8	0.727875
SFTPC	-0.3895
MAN2B2	1.041
RGS12	0.246375
EIF1AY	-4.50541666666667
LRRIQ1	1.10666666666667
GPR150	-1.372
CCDC21	-1.86583333333333
PRRG3	1.233
SAA4	0.627
RAPGEF5	0.0255
ZCCHC2	0.19025
MGC39372	1.264
PPP4R2	-0.284166666666667
CDCA2	-2.717
OR4D5	0.1835
PTGFRN	0.1701
SIGLEC5	1.10983333333333
C19orf61	-0.594333333333333
NMUR2	0.5605
KIAA1586	-0.427833333333333
DAGLA	0.322333333333333
CHCHD6	-0.418
GPR32	0.296
NEUROD6	-0.167833333333333
SLC2A4RG	-0.297625
CA5B	0.4125
FBXL3	1.82425
MPHOSPH9	-2.0445
HMG2L1	0.05225
HCN4	-1.40616666666667
CEACAM19	0.3785
SH2D4B	0.4715
HFE2	-1.106
TGM4	-0.4195
LYPD2	-0.17575
TBC1D15	0.21325
MRPS21	-0.5485
NONO	-0.8532
CLEC5A	0.696
ITCH	-0.3496
MGAT3	0.943333333333333
MBP	0.26675
RPP25	-1.221
SOSTDC1	3.3745
HRC	-0.00550000000000001
TRIM48	-0.12
TMEM133	1.117
ECEL1P2	-1.7305
HOXC11	-1.0985
DOK5	0.78325
HELZ	0.625166666666667
LOC348180	-1.2135
MGC33894	-0.049
ADRB3	0.0795
DMD	1.92841666666667
PTRH2	-0.754
MPEG1	3.036
NDUFA12	-0.243833333333333
KRTAP2-4	-0.654416666666667
STAMBPL1	-0.746333333333333
ADCY2	0.448333333333333
UNQ6125	0.109
KLHL20	0.8925
SRM	-1.15325
OTC	-0.013
TMIE	0.631666666666667
SNX8	-0.874
LIPK	-0.9475
CHURC1	1.1865
KLC2	-0.154666666666667
HDAC1	-0.6025
FAM128A	-0.664333333333333
FNDC3B	-0.4853
MTCP1	-0.341
WFDC10B	0.0287
PCDHGB3	0.572
ATRNL1	-0.4023
CAV2	2.4405
MED26	-0.275666666666667
DUS1L	-0.48675
CHRM3	-0.81175
NEK9	0.555
WARS2	-0.201
TBX22	-0.306
TOMM40	-1.254
RP6-213H19.1	-1.32316666666667
TUBGCP5	-0.449
IGSF6	4.642
TPPP	0.812
UNQ6190	0.439
GSTM5	1.988625
BTD	0.831
PDCD1LG2	1.338
SNRPB2	-0.544166666666667
ERICH1	0.498875
APOA4	-1.416125
HOXA11	-1.55375
NARG1	-0.429875
MKX	-0.10875
RAB28	0.118428571428571
PKP3	0.341
SH3GL2	-2.36275
CTSO	4.111
RPN2	-0.255625
IL28RA	1.08383333333333
SFMBT1	-0.3405
WDR57	-0.357625
FER1L3	1.35658333333333
HSF5	0.157166666666667
TTC9B	-0.72475
C4BPA	-0.526666666666667
ALB	-4.16107692307692
SORBS3	0.52025
UPF2	0.3625
JPH1	-0.4605
AGBL2	0.3675
DOPEY1	1.671
TERF1	0.18225
KIF22	-1.75433333333333
NINJ1	0.4275
SEC61A2	-1.14216666666667
HIST1H1D	-2.541
SFXN4	-0.561875
UCP3	0.2048
ZNF703	-0.2495
MYL6B	-0.3895
TREM1	0.84475
OR52E6	-0.2765
CKMT2	3.856
HLA-C	2.206125
SLC13A3	-1.0735
TIMP4	2.29325
SLIT2	3.29825
RSF1	0.420055555555556
LONRF1	-0.397214285714286
MON1A	-0.1605
CACNG6	-1.92783333333333
DPPA4	-5.137
ZSWIM3	0.042
ZNF804A	-0.00433333333333334
CCIN	1.29525
SLC25A31	-0.34525
KCNMB4	-0.345
RABL5	0.177875
GALNS	-0.5932
STX6	0.28975
HIST1H1C	-2.76316666666667
CIDEB	0.308
CASP4	1.19966666666667
PDK3	-0.6013
KCNJ11	0.376
TPR	-0.017375
ZSCAN20	-0.553
MTX2	-0.445
HIST1H2BH	-1.49675
LOC283767	1.43725
LYRM7	-0.478277777777778
BRD3	-0.178666666666667
HIST1H2BO	-1.43275
MAGEB10	0.653
SLC45A1	0.43625
SERPINA3	1.33855
KIAA0143	0.9965
KCNJ16	4.42616666666667
KRT79	-0.4315
FABP2	-1.19125
NUT	-0.171
ZNF57	-0.20425
FBXL4	0.590375
CLEC9A	2.666
UGT8	0.798833333333333
BMP2K	0.38525
MAPK4	-1.4385
SLC25A23	-0.6679
HINT1	-0.6463
KRTAP13-1	0.2445
SFXN5	-0.2081
CHCHD2	-0.59675
FAM3D	3.5635
NDP	-0.643125
RHOBTB1	0.110666666666667
SLC4A4	0.28325
RPL38	0.37175
HTF9C	-0.632833333333333
AP2A2	0.207
ZBTB46	-0.439
MAP7D1	0.479125
AOX1	0.964333333333333
CYR61	0.400666666666667
DTNA	0.00742857142857143
JRKL	1.14625
TMOD3	0.03775
EEA1	0.559
ADCK5	-1.07175
IL1R1	3.10366666666667
KLK3	0.482357142857143
HRSP12	-0.285
KTN1	0.469
LOH11CR2A	1.3259
RELL2	-1.767
MAB21L1	3.89325
C20orf59	-1.42433333333333
PHKB	0.502
ADAM2	-2.1915
TBC1D8B	1.1645
FAM13A1	0.731875
LAPTM4B	-0.659416666666667
LCN8	-0.9095
TMEM147	-0.1565
SYT4	0.391833333333333
XPO7	-0.6545
C9orf62	-1.95775
GPR75	0.9805
TRIM5	0.874875
APOC1	-0.0826666666666667
RNASE4	1.714
PARD6B	-2.793
ARID1A	0.20075
TPD52L3	0.426625
RRAGB	1.12766666666667
RCN2	-0.498166666666667
HIST2H2BE	-1.0944375
STARD7	-0.154
SHMT2	-1.75675
KIAA1751	-0.456333333333333
MLYCD	0.85575
LOC162632	-0.0128
UQCRH	-1.27525
RP11-217H1.1	0.0533125
SDHA	-1.04233333333333
NCLN	-0.9302
ZNF17	0.7865
RCBTB2	-0.10725
VEGFB	0.2993
RP4-747L4.3	0.176
COLQ	0.4608
MPN2	-0.249
DRG2	-0.4115
KLRB1	6.56525
ALPK2	-2.5135
DNASE2B	0.3775
FLJ23834	-0.233333333333333
AXUD1	0.352166666666667
SAFB	-0.1475
NSUN4	-0.71925
RFX2	0.963166666666667
MAPK8IP1	-0.755166666666667
FANCD2	-1.45828571428571
ANKZF1	-1.313
C19orf50	-0.27375
DUSP8	0.566
SENP5	-0.787125
NFKBIL2	-1.2095
LBR	-1.130625
IGFL1	0.5155
LZTS2	0.39075
IL2RG	0.108
CCDC51	-0.5525
KLF3	0.6605
ANKRD37	-1.2655
KCTD14	1.92433333333333
FZR1	-0.502833333333333
SLC44A4	1.2324
ESPL1	-1.70175
GMPR2	0.0308
TBC1D19	-0.3865
ERGIC1	-0.59537037037037
ERBB4	2.4055
TSPAN32	0.40725
MAP4	-0.064875
GPHN	-0.2425
SLC6A2	2.387125
HIVEP1	0.69025
DFFB	-0.4517
EIF4EBP2	0.62375
DMRT1	-0.76225
HSPB6	1.19175
IER2	-0.2495
AIFM1	-0.50675
WWC2	0.0625
MRPL4	-0.86475
FLJ21062	1.84666666666667
EPB41L4A	1.70591666666667
SH2D6	-0.135
TAF4B	-0.22425
GAL3ST3	-0.4005
MALT1	-0.641666666666667
RTDR1	0.08825
ARVCF	0.159875
MEX3B	4.62592926927149e-18
FBXO16	-0.157
KIF7	-0.46
C1QC	3.74666666666667
ZNF783	-0.458166666666667
ZNF85	0.577
MMP13	-0.88
KIAA0329	0.9795
RTP3	-1.1925
ZBED3	0.28875
CLGN	-3.1495
SLC25A37	-0.01625
hCG_18290	0.222
OR5AS1	0.121
SMARCC2	0.0505833333333333
FAM109A	-0.527
CCDC12	0.292
USF2	0.1092
DEPDC7	-2.2925
C20orf24	-1.35483333333333
JMJD3	0.4525
DSP	1.21592857142857
SLIC1	0.490875
FAM20A	2.3305
IRF2BP2	0.36375
ZNF230	0.2165
MSN	0.181214285714286
SLC9A5	-1.715
EPDR1	0.1702
MUSK	0.0168333333333333
ZNF434	0.1675
SMARCD1	-0.365666666666667
ZFP106	0.7905
ZNF347	0.745
