Hybridization REF	TCGA-BH-A0B3-11B-21R-A089-07
OR9G1	0.15
FOXE1	-0.7365
CNGA3	-0.1465
GML	-0.072
CD38	-1.14375
ZDHHC6	0.0885
NEFH	-2.3065
CTDSP2	1.50158333333333
PGBD5	-0.540666666666667
CCNY	0.0775
RMND5B	0.07775
ZNF257	0.0845
FLJ22167	0.38225
EXOSC7	-0.3505
ROR2	1.076625
MAOA	2.566625
TNNT3	1.914
GYPC	0.4245
C7orf33	0.5375
PLIN	4.17033333333333
LOC90826	0.28125
RNF4	0.0393
F8A1	0.715333333333333
PLEKHG4	-0.4795
GRB2	-0.1901
HIST1H2AD	-1.355
DUS3L	-0.717666666666667
EIF1	0.299666666666667
RP5-1077B9.4	-1.3765
FPGT	1.0965
GDF10	3.3485
COQ9	-0.28575
GCC2	0.759857142857143
RARRES3	2.85275
PLXNA1	-0.1606
KIAA0100	0.00489999999999997
PMF1	-0.3
FNDC1	3.2455
HS2ST1	-0.250666666666667
CRELD2	-0.2225
C8G	-2.0505
CD82	1.3475
LIM2	-1.221
UNQ6490	-0.423
MMP16	0.303
DRD3	-0.3835
C5orf26	0.41175
C11orf73	-0.587125
PTP4A2	0.27325
OR4M2	-0.3845
HPCA	-1.315
SEC14L1	-0.186
CHFR	-0.6455
EMILIN1	0.22525
NDUFS4	-0.12475
COL18A1	-0.10075
PDZD3	-0.2839
C9orf16	-0.7335
ERBB2IP	0.168333333333333
EMX2	3.72075
FUS	-0.677
TF	-2.2261
CLCN4	0.729666666666667
CXorf56	0.9125
C11orf72	0.056
ELAC2	-0.542833333333333
NPR1	1.74775
ASS1	-1.10066666666667
USP42	0.092875
POLR2J	-1.197
SEC23IP	0.248166666666667
UQCRC1	-0.4395
LOC729603	-0.1495
C1orf71	-0.73075
POLG	-2.8025
ADAM23	-3.35375
TFR2	-2.04475
RICTOR	0.0234
MGC39606	1.926
C19orf55	-0.504125
SNAPC1	-1.04216666666667
GNA11	1.01675
CCDC52	-0.0738333333333333
FSIP1	1.1745
UPF3A	0.43625
IGSF11	-2.19816666666667
LAGE3	-1.01175
CHST6	-2.602
UNC13B	0.522875
TTLL4	-1.259625
ZNF687	0.067375
SDC2	0.0151
COX7A2	-0.81375
LAMB4	-0.08125
FAM24A	0.529
LRRTM3	-0.924
GPHB5	-0.3675
OR4C13	0.456
EIF3EIP	0.103428571428571
HABP4	0.502
TMEM125	2.68425
CNTN2	0.31375
ASNSD1	0.27575
FUT4	0.22
ACF	-3.96975
LOC158381	0.8485
CDH8	0.61425
AGPS	-1.467
C4orf18	3.235625
PECI	-0.0715
UNG	-0.590875
GSTP1	0.30925
DCUN1D5	-1.7725
DKFZP564J0863	-1.35575
SLC9A3R1	0.521625
BCDO2	0.237875
CHMP7	-0.08
REM2	-0.4655
DNHD1	-0.163375
FKBP4	-1.0505
ZNF350	2.07375
MGC11102	-0.794125
BST1	1.92525
KISS1R	-0.7105
NCR2	0.0355
DEFB125	-0.224
UBE2W	0.443625
KRT15	3.945625
C10orf99	-0.1155
SCN11A	0.377125
GFI1	-1.14225
RDHE2	0.874
FHL1	2.413
OSGEP	0.0345
GATA1	-3.98216666666667
SMC6	-1.61375
TTTY14	-0.91775
LPIN3	-0.22075
RPL4	-0.00860000000000003
RBPMS	0.8478
PRPF3	-0.427166666666667
EMR1	-2.4415
SPATA19	-0.1825
XCR1	-0.2615
IRX3	1.7326
RBM6	0.407
KLF4	0.6803
UNC5CL	0.2465
SEBOX	0.1615
BTK	-0.8245
KRCC1	1.5675
C6orf27	0.072
SYTL5	-0.067
PRND	1.6275
LOC653319	-0.98
PIGL	-0.985625
HUS1	-0.883666666666667
SFRS6	0.0240833333333333
C17orf77	0.0305
UIMC1	-0.0911666666666667
FXYD2	-2.0007
LOC283152	0.1575
ZNF667	1.0385
ZCCHC12	-0.13325
TFEC	2.4508
ATP7B	-0.136166666666667
POLD2	-1.40866666666667
RG9MTD1	-0.26575
ACOT2	-0.2635
HIST1H4I	-1.885125
PPARGC1A	-0.6542
ETFA	-0.8045
POLRMT	-0.717
ZNF146	0.17625
MIA2	2.83
KLHL6	-0.621666666666667
HOXB5	-0.642125
NENF	0.3225
CUGBP1	-1.09325
PRSS22	0.737666666666667
CASC4	1.0464
CUL4B	0.067
CENPJ	-1.2606
PITX1	-1.98316666666667
FLJ31033	1.44716666666667
CELSR3	-2.77333333333333
ZNF568	1.27075
ITSN1	0.333833333333333
EHBP1L1	-0.784666666666667
C19orf2	-0.20925
DCTN1	-0.2085
LIN28B	-3.8025
TNKS2	-0.63075
C1QBP	-1.187
CADPS2	1.31675
SRMS	-0.295
GJA9	0.4015
MGC24975	-1.1795
TRIM45	0.3575
TSP50	0.88125
TCP1	-0.8995
TMED7	-0.1412
CMA1	1.611
CENPL	-1.89366666666667
PTCRA	-0.451
FST	-2.40525
VWCE	-2.1455
PAWR	-0.16825
ABCC12	0.174
LDLR	-1.6474
ASTN2	0.3976
LOC441212	-0.643875
GPATCH8	-0.027
TANC2	-0.9525
KIF4A	-4.233
C18orf18	0.16575
PGM1	-0.02025
KIAA0258	-0.03375
CPD	0.50875
SNCAIP	0.53775
DCT	-4.52183333333333
HLA-DOA	2.29663636363636
OR11L1	-0.164
UPK1B	-0.366
DNAJB4	1.53125
UGT1A8	-0.04
HIST1H4L	-2.179
PECR	-0.6775
HSPA2	1.3045
WFIKKN1	-1.9315
SERP1	1.101625
SYDE2	1.07325
TACR2	0.2135
NUP85	-0.7525
CD177	-0.638
LGR5	-1.33116666666667
PIGG	-0.250833333333333
PTHR1	0.0576666666666667
RAB5A	0.6449
FLJ13224	-0.337
USP9Y	-1.15066666666667
C7orf53	-0.4325
LRP1B	1.021
XAF1	3.4712
ABCG8	-0.175
ANKDD1A	0.552
DAND5	-1.415
SPAG6	1.59233333333333
LINCR	2.44
ZDHHC22	-1.74225
CCDC60	0.172
THOC7	-1.10633333333333
TCTA	0.7945
OR8K3	0.0255
NY-REN-7	0.01675
B2M	1.63966666666667
C6orf141	-0.96975
LPPR4	2.87925
SQLE	-3.009875
SEPHS1	-0.6015
BTBD14B	-0.411
PLRG1	0.1795
SPG7	-0.27275
ZNF614	-0.0383333333333333
PARD6G	1.17366666666667
INPP5B	-0.5873
GRPEL2	-0.751625
PPID	-0.5431
TRIM56	0.74475
UBE2J1	-0.022875
IL20RA	5.74475
LOC387856	0.08475
C1orf107	0.403083333333333
UTS2R	-0.22025
C19orf22	-0.35525
SAFB2	-0.027
KIAA0652	-0.02275
KLRG1	-0.454
MS4A8B	0.413833333333333
FRAG1	0.56725
KIAA1546	0.7205
E2F4	-0.6248
CLEC4M	0.166666666666667
BTBD14A	-2.23
KIAA0999	1.5895
GYPA	-3.2665
TAC1	2.2175
TRAIP	-2.11116666666667
KIAA0232	0.7374
ERCC8	-1.0615
GPX4	0.631375
KIAA0368	0.388125
GPR157	-0.526333333333333
CTAGE4	1.3685
C9orf30	-1.46983333333333
OR52A1	-0.236
HSP90B3P	-0.0785
ALG9	-0.3472
BTBD10	0.29025
SDK2	0.094
BAIAP3	-0.41475
RABGGTB	-1.011375
ANKRD40	-0.217
KRT74	0.0665
CALCOCO2	0.964142857142857
SNCA	-1.7615
TMSL8	-3.379625
C2orf53	0.118
ESRRB	-0.429
ARHGAP26	-0.015375
TDRD9	-2.57325
HRAS	-0.455666666666667
KLRC4	-1.6465
JAGN1	-0.172
BSDC1	0.56125
RNF43	0.7621
NDUFAF1	0.16575
PHF12	0.2345
OR1L3	0.1605
FOLR2	2.27283333333333
LYZL6	0.227333333333333
tcag7.1260	-1.483
WSB1	-0.180833333333333
PROS1	1.1515
OSTN	-0.1065
PSMB8	0.97575
SOCS4	0.131625
DDIT4L	2.85325
MAS1	0.3095
MGC34796	0.21625
CSHL1	0.268
TBCCD1	-0.170833333333333
ZBTB7C	-0.302
AP2S1	-1.37225
P15RS	-0.2322
VAT1	-0.4043
SHANK3	0.991666666666667
TUFM	-0.933166666666667
THEG	-0.44375
KRT34	-1.8695
SGSM3	0.139875
TOMM22	-0.49875
SOCS3	0.985166666666667
CPO	0.73
POP4	0.15225
BHLHB3	2.47825
MALL	1.9625
OR1B1	-0.0075
PARK2	1.43316666666667
GPR124	1.894125
LCE1E	-0.24
RUVBL2	-1.10125
CGRRF1	0.9776
ACPL2	0.237
WNT10B	-1.272375
BAIAP2L2	-1.533375
ISCA1	0.7485
C1orf125	0.477875
RPAP1	-0.54075
RAI16	-0.311666666666667
RPL27	-0.364625
NLRP9	0.17
EPN1	-0.4005
LOC388610	0.049875
SLC35A1	1.2825
GAL	-4.562
SLC14A2	0.222
RDH11	-0.759166666666667
FAM138F	-0.918
AUH	1.16175
FLJ40243	0.054
C14orf129	0.0413333333333333
MBD2	-0.476333333333333
ABHD14B	0.46975
PIGT	0.304
ALS2CR4	0.4725
ALAS1	0.0948
FOXO1	2.3365
CRLF3	0.27125
C20orf107	-0.1975
FARS2	0.354
CCDC28A	1.19725
NPHP3	0.17025
OR13F1	-0.1125
TSEN54	-1.0565
DEFB106B	0.0941
OR8B4	0.169
STH	0.9395
ZC3H14	-0.271875
CBX2	-0.4455
TMEM49	-0.9365
C6orf21	0.136
FLJ20920	0.907125
CRTAP	0.548214285714286
DDX50	0.35325
STYXL1	-0.324
BLVRB	-0.0318333333333333
LOC147650	0.333333333333333
MMP24	0.33275
GRID1	2.40216666666667
BANF1	-0.617833333333333
CTAGEP	0.471
HMBS	-2.47875
SLC25A24	0.211333333333333
C14orf50	1.54075
MRO	0.867333333333333
SLC25A15	-0.7945
FAM84B	0.9053
TDP1	-1.337
C16orf78	-0.0248333333333333
C11orf57	-0.2765
RFK	-0.735375
ZFYVE9	-0.282625
STCH	-1.3224
WIBG	0.0085
LOC283871	-1.22633333333333
GBA2	-0.4854
NDUFB3	-0.8565
HSD17B13	2.55425
GRIN3A	1.5935
FMNL1	-0.605333333333333
SEPT7	0.195
GNLY	2.707
GRAMD1C	2.1445
ZNF165	-0.2965
USP38	0.66575
FAM83A	-3.9935
C14orf24	0.483666666666667
ARMCX3	1.2085
ARHGDIB	1.01833333333333
AK1	-0.33075
KIAA1045	1.584
DNAJB13	-0.2835
NEU2	0.3005
HIST1H4B	-2.40816666666667
FAM20B	-0.6992
HES2	-0.101285714285714
FAM73B	-0.4656
LOC388381	0.122
INTS7	-1.309
AMPH	0.97375
ZNF775	-0.672875
UCKL1	-0.732166666666667
C10orf97	0.40475
C1orf161	-0.306
ALDH1L1	1.8955
FLJ39378	0.06025
SLC23A1	-1.648
RBM4B	0.75275
THAP4	0.00416666666666666
OGFRL1	0.85175
KIAA0831	0.880125
PPP1R15A	0.693333333333333
C1orf96	-0.903142857142857
C12orf11	-1.93425
BMF	0.641625
MAN1A1	0.09125
KIAA1600	1.15516666666667
NLGN4X	1.272
ALOX12	-1.04883333333333
RB1CC1	-0.0464
NEIL2	0.5481
EIF4E	-0.139409090909091
ABHD5	0.073
EXOC4	-0.3735
CIP29	-0.118666666666667
BATF2	1.46025
SLC29A4	0.1165
HTR4	0.96225
EMB	-0.47325
TRAF6	0.8545
LMNB1	-4.10525
FAM19A5	-1.70875
SHE	2.89975
PIK3C2B	1.43475
C15orf15	-0.1691
USP15	0.3894
TCEAL2	2.71775
C5orf39	0.047
PTGER2	0.0195
SLC31A1	-0.2866875
IFT172	0.843
ADAM29	-0.12
GFOD1	1.30875
ST7L	0.813
C15orf26	-2.926
PKN3	-0.87075
CNTD1	3.26166666666667
COMMD1	0.219625
NTRK2	3.91366666666667
FOXN3	1.513
MFGE8	0.6288
PFKFB2	0.257666666666667
TAS2R4	0.43
ENTHD1	-0.380333333333333
PRMT5	-0.62075
MGC16384	-0.3495
LOC442229	-1.012
TSKU	0.241375
KRTCAP3	2.30775
PDLIM1	0.9311
KCNS2	0.097
RNF126	-0.6
CEP63	0.147375
CLIC4	0.489375
hCG_1990170	3.00925
ACR	1.21
KLK7	3.588
ALOX5AP	2.67975
RIPK3	3.13975
TAS2R9	-0.106
C19orf18	1.528
BIRC6	0.126714285714286
ZNF16	0.7285
RFT1	-0.67475
SLC8A2	-0.4365
TACC1	1.013875
ITGAD	0.4555
SAMHD1	1.228
SH3PXD2B	0.6825
EPC2	1.36525
C20orf85	0.040875
ATP13A2	-0.320333333333333
KRT4	1.742125
CAPNS1	0.3145
MDM2	-0.748166666666667
PCDH20	1.91725
KCNK9	-0.0265
OR2C1	0.0395
KLHDC3	-0.627833333333333
IPPK	-0.147
EFHD2	-0.56075
GALR3	-0.189
NBEA	1.02916666666667
ABCA6	4.3007
CLDN3	1.31116666666667
AKT2	-1.0885
EGFR	0.64
RBM16	0.556
ZDHHC3	-0.0209
SLC25A4	0.049
CYB5B	0.0876666666666667
CPXM1	0.53075
NDRG1	-0.527461538461538
FLJ43826	0.214
OR5L2	-0.0678333333333334
FARP2	0.0689
MRPL46	-0.486916666666667
LDHAL6B	-0.0403333333333333
MAPKAPK3	-0.912666666666667
NCAM2	-0.04425
PRKD2	0.296
ZFP36L1	1.7013
CYSLTR1	0.22875
OR4C3	-0.128
HIST1H2AJ	0.9905
CCNB2	-4.43122222222222
ZNF10	0.556625
TMEM175	-0.111
FAM134A	0.7565
TIGD4	0.46
PCNP	0.45875
MGC39715	0.15275
LQK1	-0.5325
CREB1	0.9169
TMPRSS3	0.56775
C4orf32	1.691375
LAT	-0.748083333333333
KCNA3	0.437
SKIV2L2	-0.68775
ROPN1B	2.26575
tcag7.23	0.281
CDT1	-3.97925
ZHX2	0.800875
CD28	-2.2115
ZNF624	1.197
SEPT2	0.148333333333333
SOHLH2	-0.531375
MCOLN3	0.39075
UNQ1945	-0.3185
MASP2	-1.374
ZNRF3	0.4398
GPATCH3	-0.09375
AGL	0.523125
QRICH2	-0.0055
PSD4	1.18233333333333
CCNB1IP1	-0.88725
ENPP7	-0.056
OBFC1	0.11275
KCNG3	-2.805
C14orf79	-0.03025
ENPEP	2.18683333333333
SCT	-0.1865
SKI	-0.4035
SEC61G	-2.2515
CAPN11	1.81275
ATXN7L3	-0.47675
DBNDD1	-0.994833333333333
FAIM	0.43225
ANKRD36	-0.008
GABRP	4.24983333333333
TACSTD2	2.7285
EIF3J	-0.743
PPP2R2A	-0.399
TEKT4	-0.0753333333333333
PVALB	-3.92983333333333
F10	-0.914833333333333
FAM134C	0.5682
COMP	2.60325
EFCBP1	-0.6246875
SCLT1	0.645625
TAL1	-0.5694
ACSL1	2.937
ABCC5	-0.709666666666667
ABL1	-0.662333333333333
RBBP7	-0.387416666666667
PTPRG	-0.462875
NCOR1	0.5039
SPINK4	-2.35283333333333
TXNRD1	-1.7503
TNRC15	0.576375
C9orf138	1.285875
UBE2H	-0.0281666666666667
BRDT	0.394
C8orf31	-0.18725
CCNE2	-3.01654545454545
SLC6A8	-2.261375
CALCR	-2.3315
PPP1CB	1.32933333333333
ABHD8	-0.2275
ARF5	-0.088
SLC24A4	1.07575
CCT3	-1.0625
ZNF121	-0.0045
SLC3A2	-0.9891
OR13A1	-0.2475
SLC5A10	-0.3695
RAD50	-0.50375
IER5	0.024125
MTHFD1L	-2.309125
MBTPS2	0.132
MVK	-0.5715
NCL	-0.487
PSMD10	0.11675
MOBP	-0.1215
FLJ32894	-0.032
HRH1	-0.323166666666667
C5orf30	0.09375
NUDT16L1	0.0558
RASGRP3	3.55916666666667
PRKRIP1	-0.3257
CCDC75	0.29675
LOC253970	0.424
KIAA1239	0.58175
MED21	-0.57425
SYT11	-0.185666666666667
NTSR2	-0.2745
EGFL11	0.2065
CXorf59	0.0805
OR2A25	-0.06
SPTBN2	-1.43975
LRMP	-0.149333333333333
RNF111	0.383
PTH	-0.111
LOC619208	0.173666666666667
KIAA0895	0.47725
RANBP5	-0.97675
P2RY10	1.00066666666667
NME5	3.17666666666667
DDX21	-0.941
LRSAM1	0.0905
HDAC11	0.074
VMO1	1.01525
NOLA2	-0.474
ADAR	0.345
MTO1	-0.394
SF4	0.018
P2RX1	0.521333333333333
HBM	-0.286
EN2	-0.369
C14orf172	-0.49475
TM9SF2	0.6458
INHBE	-1.0925
TCTE3	-0.25525
TOX2	-2.1325
CTAGE3	0.63875
HBB	3.7803
MED15	-0.6475
CASR	0.116
C6orf66	-0.934666666666667
MTPN	-0.725375
UNC50	0.74825
C21orf33	0.05225
IRF2	1.04025
PGR	-0.0103333333333333
GPR84	1.59025
CROCCL1	-0.62925
SRPX	1.37875
BRE	-0.049
FGF10	2.7325
SDC3	0.753833333333333
ZRSR1	0.532
DKFZP434P211	-0.07275
SOX6	1.4715
RPUSD2	-0.10775
C14orf173	-0.910916666666667
MAPK11	-0.543666666666667
TBC1D22A	0.3215
FAM123A	-0.7695
COL4A6	-0.526833333333333
TOMM70A	-0.0175
NAB1	0.308
MGC16385	0.014
TSPAN18	-0.0206666666666667
MED31	-0.59725
PLG	-0.39975
CAPSL	0.109
ZNF532	1.3856
ASB14	0.2795
CA8	1.22
NUDT16P	1.659
SLFN11	-0.5765
LRRIQ2	-0.863
NOL7	-0.705666666666667
BRMS1L	0.0065
JARID1A	0.372
PANK2	-0.4295
ICAM3	-0.67225
MDS1	0.3475
TAF8	-0.22625
RNF139	0.342
ZNF594	0.556666666666667
ADAM8	0.824
SFTPC	-0.38525
MAN2B2	1.11525
RGS12	0.3756875
EIF1AY	-4.97258333333333
LRRIQ1	0.262666666666667
GPR150	-0.15
CCDC21	-1.7215
PRRG3	1.82125
SAA4	-1.18525
RAPGEF5	0.81425
ZCCHC2	0.389666666666667
MGC39372	1.04
PPP4R2	0.0163333333333333
CDCA2	-3.1745
OR4D5	0.4115
PTGFRN	0.0487
SIGLEC5	0.757166666666667
C19orf61	-0.782166666666667
NMUR2	0.137
KIAA1586	-0.347666666666667
DAGLA	0.584333333333333
CHCHD6	-0.46825
GPR32	0.14
NEUROD6	0.127
SLC2A4RG	0.0710625
CA5B	0.70875
FBXL3	2.13275
MPHOSPH9	-1.99625
HMG2L1	0.3475
HCN4	-0.220166666666667
CEACAM19	0.33725
SH2D4B	0.388166666666667
HFE2	-0.4115
TGM4	0.172833333333333
LYPD2	0.13875
TBC1D15	0.27275
MRPS21	-0.4346
NONO	-0.872
CLEC5A	-0.095875
ITCH	-0.3163
MGAT3	0.635333333333333
MBP	0.423375
RPP25	-1.63875
SOSTDC1	3.17275
HRC	-0.103
TRIM48	-0.581
TMEM133	1.00525
ECEL1P2	-1.18425
HOXC11	-0.9575
DOK5	0.5135
HELZ	0.660166666666667
LOC348180	-1.21825
MGC33894	0.0585
ADRB3	-0.1375
DMD	1.40058333333333
PTRH2	-1.01425
MPEG1	2.84783333333333
NDUFA12	-0.420166666666667
KRTAP2-4	-0.32175
STAMBPL1	-0.9875
ADCY2	-0.120833333333333
UNQ6125	0.1005
KLHL20	0.712333333333333
SRM	-1.42075
OTC	1.27625
TMIE	0.923666666666667
SNX8	-0.75675
LIPK	0.08
CHURC1	0.403166666666667
KLC2	-0.203
HDAC1	-0.133666666666667
FAM128A	-0.490833333333333
FNDC3B	-0.3329
MTCP1	-0.2375
WFDC10B	-0.4122
PCDHGB3	-0.293
ATRNL1	-0.4335
CAV2	2.29025
MED26	0.222333333333333
DUS1L	-0.28675
CHRM3	-1.035
NEK9	0.6155
WARS2	-0.46425
TBX22	0.381
TOMM40	-1.3975
RP6-213H19.1	-1.63866666666667
TUBGCP5	-0.32225
IGSF6	4.7745
TPPP	1.01833333333333
UNQ6190	0.051
GSTM5	2.802875
BTD	0.884333333333333
PDCD1LG2	0.884666666666667
SNRPB2	-0.803
ERICH1	0.181875
APOA4	-1.910625
HOXA11	-1.278
NARG1	-0.538125
MKX	0.19875
RAB28	0.213571428571429
PKP3	0.57475
SH3GL2	-2.006
CTSO	3.593
RPN2	-0.9585625
IL28RA	0.959833333333333
SFMBT1	-0.1595
WDR57	-0.255
FER1L3	1.51041666666667
HSF5	0.1525
TTC9B	-0.8095
C4BPA	-0.8485
ALB	1.67764285714286
SORBS3	0.721
UPF2	0.697
JPH1	-0.3675
AGBL2	0.96825
DOPEY1	1.9905
TERF1	0.00825
KIF22	-1.266
NINJ1	0.2705
SEC61A2	-0.911
HIST1H1D	-2.71266666666667
SFXN4	-0.536625
UCP3	0.2124
ZNF703	-0.393
MYL6B	-0.26125
TREM1	-0.22475
OR52E6	0.09
CKMT2	2.95625
HLA-C	1.9015
SLC13A3	-1.43516666666667
TIMP4	1.94775
SLIT2	3.24275
RSF1	0.212388888888889
LONRF1	0.0266428571428571
MON1A	-0.473
CACNG6	-2.33416666666667
DPPA4	-6.11816666666667
ZSWIM3	0.24325
ZNF804A	0.0735
CCIN	0.5765
SLC25A31	0.2675
KCNMB4	0.202
RABL5	0.104125
GALNS	-0.2561
STX6	0.06425
HIST1H1C	-2.97016666666667
CIDEB	0.60725
CASP4	0.676666666666667
PDK3	-0.702
KCNJ11	0.766
TPR	-0.2165
ZSCAN20	-0.681
MTX2	-0.63875
HIST1H2BH	-1.7975
LOC283767	1.15225
LYRM7	-0.547555555555556
BRD3	-0.288166666666667
HIST1H2BO	-1.97525
MAGEB10	0.274
SLC45A1	0.70475
SERPINA3	0.64545
KIAA0143	0.67275
KCNJ16	3.7905
KRT79	0.06825
FABP2	-1.028
NUT	-0.1255
ZNF57	0.018
FBXL4	0.694625
CLEC9A	1.8735
UGT8	0.354
BMP2K	1.42475
MAPK4	-1.5325
SLC25A23	-0.5613
HINT1	-0.9864
KRTAP13-1	0.2745
SFXN5	-0.4798
CHCHD2	-0.545583333333333
FAM3D	3.278
NDP	-0.66825
RHOBTB1	-0.5915
SLC4A4	0.745875
RPL38	0.128
HTF9C	-0.601166666666667
AP2A2	0.2555
ZBTB46	-0.0185
MAP7D1	0.489125
AOX1	0.0378333333333333
CYR61	1.57075
DTNA	0.115071428571429
JRKL	0.80775
TMOD3	0.0425
EEA1	0.0451
ADCK5	-1.0845
IL1R1	2.12783333333333
KLK3	0.0467857142857143
HRSP12	-0.62
KTN1	0.31025
LOH11CR2A	1.1695
RELL2	-1.84075
MAB21L1	2.89625
C20orf59	-1.44066666666667
PHKB	0.3185
ADAM2	-1.80416666666667
TBC1D8B	1.1045
FAM13A1	1.0276875
LAPTM4B	-0.744833333333333
LCN8	-0.383
TMEM147	-0.037
SYT4	0.0896666666666667
XPO7	-0.785
C9orf62	-0.521
GPR75	0.6385
TRIM5	0.83225
APOC1	-0.254166666666667
RNASE4	2.7615
PARD6B	-2.299625
ARID1A	-0.037
TPD52L3	-0.129777777777778
RRAGB	1.1845
RCN2	-0.537333333333333
HIST2H2BE	-1.1900625
STARD7	-0.106
SHMT2	-1.9825
KIAA1751	0.00333333333333333
MLYCD	0.803125
LOC162632	-0.7706
UQCRH	-1.6415
RP11-217H1.1	0.108
SDHA	-0.7885
NCLN	-1.2029
ZNF17	0.904833333333333
RCBTB2	-0.44275
VEGFB	0.3089
RP4-747L4.3	1.07
COLQ	0.3186
MPN2	-0.329333333333333
DRG2	-0.16375
KLRB1	4.89925
ALPK2	-3.69
DNASE2B	0.90025
FLJ23834	-0.0456666666666667
AXUD1	0.756
SAFB	-0.2878
NSUN4	-0.76725
RFX2	0.841
MAPK8IP1	0.302333333333333
FANCD2	-1.63321428571429
ANKZF1	-0.975166666666667
C19orf50	-0.18575
DUSP8	0.962125
SENP5	-0.867125
NFKBIL2	-1.526
LBR	-1.17025
IGFL1	-0.262
LZTS2	0.40725
IL2RG	-0.02175
CCDC51	-0.705
KLF3	0.706
ANKRD37	-0.5415
KCTD14	1.236
FZR1	-0.420666666666667
SLC44A4	1.844
ESPL1	-1.32375
GMPR2	-0.0125
TBC1D19	-0.817333333333333
ERGIC1	-0.552555555555555
ERBB4	3.6846
TSPAN32	0.468416666666667
MAP4	-0.252125
GPHN	-0.1985
SLC6A2	2.176125
HIVEP1	0.124
DFFB	-0.2878
EIF4EBP2	0.64525
DMRT1	-0.0855
HSPB6	0.8535
IER2	0.909666666666667
AIFM1	-0.66725
WWC2	0.12625
MRPL4	-0.957
FLJ21062	1.714
EPB41L4A	1.47925
SH2D6	-0.261
TAF4B	-0.205
GAL3ST3	-0.4885
MALT1	-0.482333333333333
RTDR1	-0.1245
ARVCF	0.49725
MEX3B	-0.325333333333333
FBXO16	0.18925
KIF7	-0.70425
C1QC	3.4965
ZNF783	-0.301
ZNF85	1.07575
MMP13	-1.0535
KIAA0329	0.979875
RTP3	-0.1755
ZBED3	0.2585
CLGN	-2.084
SLC25A37	-0.618041666666667
hCG_18290	0.32275
OR5AS1	-0.1565
SMARCC2	0.6175
FAM109A	-0.414666666666667
CCDC12	0.317
USF2	0.0928
DEPDC7	-2.356
C20orf24	-1.27966666666667
JMJD3	0.3805
DSP	1.47114285714286
SLIC1	0.2535
FAM20A	1.636875
IRF2BP2	0.503375
ZNF230	0.9165
MSN	-0.268571428571429
SLC9A5	-2.0565
EPDR1	-0.0621
MUSK	0.0228333333333333
ZNF434	0.281166666666667
SMARCD1	-0.599333333333333
