Hybridization REF	TCGA-BH-A0WA-01A-11R-A109-07
FST	-3.19
VWCE	-3.4355
PAWR	0.70625
ABCC12	0.0876
LDLR	-1.4798
ASTN2	-0.4137
LOC441212	-0.216375
GPATCH8	-0.11925
TANC2	-0.0564166666666667
KIF4A	-0.386
C18orf18	0.39525
PGM1	0.1035
KIAA0258	1.94525
CPD	-0.226125
SNCAIP	-1.91825
DCT	-4.2685
HLA-DOA	3.23468181818182
OR11L1	0.3385
UPK1B	2.487
DNAJB4	-0.335625
UGT1A8	-0.15725
HIST1H4L	-0.1885
PECR	-1.09683333333333
HSPA2	0.99625
WFIKKN1	-2.348
SERP1	2.696875
SYDE2	0.471
TACR2	0.1195
NUP85	-0.15975
CD177	-0.878333333333333
LGR5	1.0635
PIGG	-0.0469166666666667
PTHR1	-1.79733333333333
RAB5A	0.1145
FLJ13224	0.753
USP9Y	-1.89216666666667
C7orf53	-1.2765
LRP1B	-0.12875
XAF1	2.2857
ABCG8	-0.4465
ANKDD1A	0.42
DAND5	-1.871
SPAG6	-0.095
LINCR	2.154
ZDHHC22	-1.447875
CCDC60	-0.2195
THOC7	-0.760833333333333
TCTA	0.6147
OR8K3	-0.381
NY-REN-7	-0.9915
B2M	1.22033333333333
C6orf141	-0.5095
LPPR4	1.55375
SQLE	0.813375
SEPHS1	0.2135
BTBD14B	0.488285714285714
PLRG1	-0.23375
SPG7	-0.274375
ZNF614	-0.2345
PARD6G	1.02433333333333
INPP5B	0.0183
GRPEL2	0.252125
PPID	-0.4722
TRIM56	-0.5965
UBE2J1	0.25875
IL20RA	0.354
LOC387856	0.796
C1orf107	0.632666666666667
UTS2R	0.613
C19orf22	-0.60425
SAFB2	-0.493
KIAA0652	0.417875
KLRG1	-0.781333333333333
MS4A8B	0.13
FRAG1	0.552
KIAA1546	0.2065
E2F4	-1.0591
CLEC4M	-0.00866666666666666
BTBD14A	0.31525
KIAA0999	0.2472
GYPA	-3.27866666666667
TAC1	-0.3365
TRAIP	-0.787833333333333
KIAA0232	-0.3239
ERCC8	-1.729
GPX4	-0.542125
KIAA0368	-1.0385
GPR157	-1.12216666666667
CTAGE4	-0.385
C9orf30	0.0416666666666667
OR52A1	0.6925
HSP90B3P	0.5955
ALG9	-0.9017
BTBD10	0.91625
SDK2	1.4955
BAIAP3	-1.57775
RABGGTB	-1.559875
ANKRD40	0.0195
KRT74	0.2745
CALCOCO2	-0.152214285714286
SNCA	-3.11675
TMSL8	0.09875
C2orf53	0.1395
ESRRB	-0.27475
ARHGAP26	-1.132
TDRD9	-3.15625
HRAS	0.514666666666667
KLRC4	-2.433
JAGN1	0.0725
BSDC1	0.30575
RNF43	-0.6831
NDUFAF1	-1.09
PHF12	0.3405
OR1L3	0.085
FOLR2	0.9995
LYZL6	0.205666666666667
tcag7.1260	-2.18
WSB1	-1.58066666666667
PROS1	-1.6159
OSTN	0.7045
PSMB8	1.016
SOCS4	-0.174375
DDIT4L	4.35125
MAS1	-0.509
MGC34796	0.221
CSHL1	0.4655
TBCCD1	0.6595
ZBTB7C	0.253
AP2S1	-0.30275
P15RS	0.2823
VAT1	-1.0602
SHANK3	1.4815
TUFM	0.512
THEG	0.14825
KRT34	-1.24125
SGSM3	0.41625
TOMM22	-0.1455
SOCS3	0.648
CPO	0.0895
POP4	0.11125
BHLHB3	1.12425
MALL	3.25175
OR1B1	0.1385
PARK2	0.396
GPR124	0.46875
LCE1E	-0.0535
RUVBL2	-0.703
CGRRF1	0.0017
ACPL2	1.1415
WNT10B	-1.707375
BAIAP2L2	-1.628375
ISCA1	0.1755
C1orf125	0.456375
RPAP1	-1.29375
RAI16	-0.843666666666667
RPL27	-0.7425
NLRP9	0.2575
EPN1	0.2445
LOC388610	0.706875
SLC35A1	0.3987
GAL	-1.73125
SLC14A2	0.3255
RDH11	-0.289666666666667
FAM138F	-0.976
AUH	-0.8
FLJ40243	0.152
C14orf129	-0.326333333333333
MBD2	-1.01533333333333
ABHD14B	-0.221875
PIGT	0.401625
ALS2CR4	-0.210125
ALAS1	0.5351
FOXO1	0.322333333333333
CRLF3	-0.465875
C20orf107	-0.47
FARS2	1.258
CCDC28A	0.38025
NPHP3	-1.44875
OR13F1	0.502
TSEN54	-0.44725
DEFB106B	0.00633333333333335
OR8B4	0.186
STH	-1.086
ZC3H14	-0.332375
CBX2	-0.419
TMEM49	-1.24025
C6orf21	0.2155
FLJ20920	-0.124
CRTAP	-0.506714285714286
DDX50	-0.34
STYXL1	0.42375
BLVRB	-1.13483333333333
LOC147650	-0.145833333333333
MMP24	0.05675
GRID1	1.21566666666667
BANF1	-0.116
CTAGEP	-0.4415
HMBS	-1.6935
SLC25A24	-0.415166666666667
C14orf50	1.28625
MRO	0.179333333333333
SLC25A15	-0.60275
FAM84B	1.4626
TDP1	-0.869
C16orf78	0.122833333333333
C11orf57	-0.6105
RFK	-0.92175
ZFYVE9	-0.1585
STCH	-0.2768
WIBG	-0.1785
LOC283871	-0.486166666666667
GBA2	-0.324
NDUFB3	-0.115
HSD17B13	-0.47175
GRIN3A	0.910333333333333
FMNL1	-0.688
SEPT7	-0.0851
GNLY	3.5785
GRAMD1C	0.4585
ZNF165	0.31125
USP38	0.19025
FAM83A	-3.48016666666667
C14orf24	0.378916666666667
ARMCX3	0.832375
ARHGDIB	-0.238833333333333
AK1	-0.084
KIAA1045	0.31725
DNAJB13	-0.467333333333333
NEU2	0.128
HIST1H4B	-0.3665
FAM20B	0.0385
HES2	1.49492857142857
FAM73B	-0.549
LOC388381	0.4895
INTS7	-0.0360909090909091
AMPH	0.85925
ZNF775	-0.104
UCKL1	-0.429
C10orf97	-0.738
C1orf161	-0.029
ALDH1L1	-0.2605
FLJ39378	0.210625
SLC23A1	-2.6425
RBM4B	0.1325
THAP4	-0.005
OGFRL1	1.29575
KIAA0831	-0.190375
PPP1R15A	-0.654833333333333
C1orf96	0.175357142857143
C12orf11	1.03925
BMF	0.7645
MAN1A1	-1.6315
KIAA1600	0.415
NLGN4X	-1.41225
ALOX12	-1.2055
RB1CC1	0.8154
NEIL2	-0.1782
EIF4E	-0.411136363636364
ABHD5	0.50825
EXOC4	-0.184833333333333
CIP29	-0.35
BATF2	2.80525
SLC29A4	-0.2195
HTR4	0.14
EMB	-2.16975
TRAF6	0.765
LMNB1	-0.861
FAM19A5	0.076
SHE	1.59025
PIK3C2B	0.3855
C15orf15	-1.2601
USP15	-0.5605
TCEAL2	0.76975
C5orf39	-1.24733333333333
PTGER2	0.5825
SLC31A1	0.1835625
IFT172	1.0995
ADAM29	0.1925
GFOD1	1.249
ST7L	0.681
C15orf26	-2.45275
PKN3	-1.4625
CNTD1	0.603833333333333
COMMD1	0.5195
NTRK2	2.345
FOXN3	-0.147875
MFGE8	2.8747
PFKFB2	0.799833333333333
TAS2R4	-0.78925
ENTHD1	2.68333333333333
PRMT5	-0.973125
MGC16384	-1.614375
LOC442229	0.64375
TSKU	-0.72625
KRTCAP3	3.55175
PDLIM1	0.1937
KCNS2	-0.02075
RNF126	-1.221
CEP63	0.135
CLIC4	1.253375
hCG_1990170	3.1695
ACR	1.3641
KLK7	4.8505
ALOX5AP	2.802875
RIPK3	1.90625
TAS2R9	0.2215
C19orf18	0.727
BIRC6	0.246214285714286
ZNF16	0.67
RFT1	0.07675
SLC8A2	-0.28575
TACC1	-0.58275
ITGAD	0.80225
SAMHD1	1.1745
SH3PXD2B	1.4228
EPC2	1.20675
C20orf85	0.4095
ATP13A2	-0.0625
KRT4	3.0025
CAPNS1	-0.26775
MDM2	-0.496416666666667
PCDH20	2.5855
KCNK9	0.7345
OR2C1	0.082
KLHDC3	0.1775
IPPK	0.6415
EFHD2	-0.40525
GALR3	0.51675
NBEA	-0.964166666666667
ABCA6	1.2693
CLDN3	1.67133333333333
AKT2	-0.757285714285714
EGFR	1.6428
RBM16	-0.1825
ZDHHC3	-0.1582
SLC25A4	0.156833333333333
CYB5B	-1.49566666666667
CPXM1	-0.48675
NDRG1	2.73638461538462
FLJ43826	0.09725
OR5L2	-0.178
FARP2	-0.3411
MRPL46	-0.0794166666666667
LDHAL6B	0.375166666666667
MAPKAPK3	-0.748833333333333
NCAM2	-3.48425
PRKD2	-0.215166666666667
ZFP36L1	1.265
CYSLTR1	-1.025
OR4C3	0.13
HIST1H2AJ	-0.0295
CCNB2	-0.511333333333333
ZNF10	0.36375
TMEM175	0.273
FAM134A	0.212833333333333
TIGD4	0.19
PCNP	0.116
MGC39715	-0.40075
LQK1	-0.54325
CREB1	0.2585
TMPRSS3	1.5475
C4orf32	-1.188375
LAT	-1.26083333333333
KCNA3	-0.5155
SKIV2L2	-1.17775
ROPN1B	3.9885
tcag7.23	-0.978
CDT1	-1.6355
ZHX2	1.008875
CD28	-3.34575
ZNF624	-0.2025
SEPT2	0.308583333333333
SOHLH2	-2.833875
MCOLN3	0.54
UNQ1945	0.2995
MASP2	-0.667
ZNRF3	-0.1222
GPATCH3	-0.14625
AGL	0.37075
QRICH2	0.9815
PSD4	0.419666666666667
CCNB1IP1	-1.2385
ENPP7	0.2395
OBFC1	0.109
KCNG3	-1.277
C14orf79	-0.30175
ENPEP	2.242
SCT	0.6135
SKI	1.111125
SEC61G	0.0295
CAPN11	-0.26775
ATXN7L3	-0.06225
DBNDD1	0.335166666666667
FAIM	2.0635
ANKRD36	-1.3
GABRP	5.46333333333333
TACSTD2	1.34183333333333
EIF3J	-0.983
PPP2R2A	-0.91975
TEKT4	-0.827166666666667
PVALB	-4.03683333333333
F10	-2.99866666666667
FAM134C	0.4081
COMP	4.120375
EFCBP1	-2.0075
SCLT1	-0.332125
TAL1	-1.1406
ACSL1	1.30925
ABCC5	0.355
ABL1	-0.617111111111111
RBBP7	-0.255166666666667
PTPRG	-0.626375
NCOR1	-0.4554
SPINK4	-2.2825
TXNRD1	-0.8562
TNRC15	0.654375
C9orf138	0.824125
UBE2H	0.582833333333333
BRDT	0.126666666666667
C8orf31	0.089
CCNE2	0.110636363636364
SLC6A8	-1.461875
CALCR	-4.44675
PPP1CB	1.40466666666667
ABHD8	-0.44175
ARF5	0.2461
SLC24A4	0.73875
CCT3	0.2545
ZNF121	0.494625
SLC3A2	-0.5102
OR13A1	0.205
SLC5A10	0.017
RAD50	-0.808875
IER5	-0.040375
MTHFD1L	-0.6755
MBTPS2	-0.4945
MVK	-0.67225
NCL	0.3615
PSMD10	0.03025
MOBP	0.386
FLJ32894	-0.1185
HRH1	-0.659
C5orf30	-1.33175
NUDT16L1	0.0378
RASGRP3	4.35966666666667
PRKRIP1	-0.4365
CCDC75	0.481
LOC253970	0.095
KIAA1239	-0.092
MED21	2.09925
SYT11	0.718166666666667
NTSR2	-0.3175
EGFL11	0.0355
CXorf59	0.374
OR2A25	0.104
SPTBN2	0.56225
LRMP	-1.656
RNF111	0.43575
PTH	0.095
LOC619208	0.4165
KIAA0895	0.38725
RANBP5	-0.761
P2RY10	0.599166666666667
NME5	1.60133333333333
DDX21	-0.58225
LRSAM1	-0.127
HDAC11	-0.228166666666667
VMO1	1.23075
NOLA2	-0.504
ADAR	1.14191666666667
MTO1	0.0486666666666667
SF4	0.0901666666666667
P2RX1	-0.158666666666667
HBM	0.11975
EN2	0.665
C14orf172	0.025
TM9SF2	0.4345
INHBE	-1.244
TCTE3	0.081
TOX2	-2.7735
CTAGE3	-0.336875
HBB	2.4676
MED15	-0.166333333333333
CASR	-0.74075
C6orf66	-0.131
MTPN	0.2535
UNC50	-0.0635
C21orf33	0.090875
IRF2	0.30625
PGR	-2.47566666666667
GPR84	3.69425
CROCCL1	-2.07575
SRPX	-0.818
BRE	0.654666666666667
FGF10	1.121
SDC3	-0.361
ZRSR1	-0.182666666666667
DKFZP434P211	-0.528625
SOX6	1.5935
RPUSD2	-0.8135
C14orf173	-0.26825
MAPK11	-0.177666666666667
TBC1D22A	0.5285
FAM123A	-0.477
COL4A6	-2.25716666666667
TOMM70A	-0.53825
NAB1	0.247125
MGC16385	0.378
TSPAN18	1.3005
MED31	-0.577
PLG	-0.2635
CAPSL	0.775
ZNF532	1.6639
ASB14	-0.242
CA8	-0.0495
NUDT16P	1.98316666666667
SLFN11	-0.8
LRRIQ2	-0.317
NOL7	0.042
BRMS1L	-0.1085
JARID1A	0.0116666666666667
PANK2	0.3
ICAM3	-1.1105
MDS1	-0.83125
TAF8	-0.1455
RNF139	1.3555
ZNF594	0.2715
ADAM8	2.164875
SFTPC	-0.288125
MAN2B2	0.58275
RGS12	-0.0036875
EIF1AY	-5.073
LRRIQ1	0.186666666666667
GPR150	0.92325
CCDC21	-0.582
PRRG3	0.661
SAA4	-0.6435
RAPGEF5	1.624375
ZCCHC2	-0.331416666666667
MGC39372	0.4495
PPP4R2	0.407833333333333
CDCA2	-0.752
OR4D5	0.716833333333333
PTGFRN	1.0553
SIGLEC5	2.03883333333333
C19orf61	-0.424166666666667
NMUR2	0.3
KIAA1586	-1.08483333333333
DAGLA	0.203
CHCHD6	-0.49875
GPR32	0.5355
NEUROD6	0.298833333333333
SLC2A4RG	0.5305
CA5B	0.00749999999999998
FBXL3	0.67775
MPHOSPH9	-0.67175
HMG2L1	0.17425
HCN4	0.558
CEACAM19	0.63825
SH2D4B	0.3245
HFE2	-0.6825
TGM4	-0.175333333333333
LYPD2	0.138
TBC1D15	-0.1195
MRPS21	-0.1547
NONO	-0.1954
CLEC5A	2.85825
ITCH	0.4805
MGAT3	0.226166666666667
MBP	-0.6665
RPP25	0.27825
SOSTDC1	2.648
HRC	-1.8945
TRIM48	-0.185
TMEM133	-0.2505
ECEL1P2	-1.125
HOXC11	0.754
DOK5	2.474
HELZ	0.0278333333333333
LOC348180	-0.27175
MGC33894	0.4345
ADRB3	0.087
DMD	0.568083333333333
PTRH2	-0.35375
MPEG1	3.247
NDUFA12	0.416666666666667
KRTAP2-4	0.233
STAMBPL1	-1.647
ADCY2	3.29066666666667
UNQ6125	0.49
KLHL20	-0.479333333333333
SRM	-1.2785
OTC	-0.30125
TMIE	1.17583333333333
SNX8	0.24225
LIPK	-0.4485
CHURC1	0.459666666666667
KLC2	0.0718333333333333
HDAC1	-0.221333333333333
FAM128A	-0.036
FNDC3B	1.8494
MTCP1	-0.684
WFDC10B	-0.0295
PCDHGB3	0.115
ATRNL1	0.0113
CAV2	-0.6085
MED26	-0.0801666666666667
DUS1L	0.32025
CHRM3	0.5945
NEK9	-0.22525
WARS2	-0.04925
TBX22	-0.6855
TOMM40	-0.73375
RP6-213H19.1	0.377833333333333
TUBGCP5	-1.08375
IGSF6	5.27775
TPPP	-0.319333333333333
UNQ6190	0.1185
GSTM5	-0.258625
BTD	0.0605
PDCD1LG2	1.07383333333333
SNRPB2	-0.0723333333333333
ERICH1	-1.4055
APOA4	-1.75475
HOXA11	-2.27525
NARG1	-0.60675
MKX	-0.1895
RAB28	-0.341857142857143
PKP3	1.24075
SH3GL2	-2.1195
CTSO	2.7155
RPN2	0.9885
IL28RA	-0.0563333333333333
SFMBT1	1.62125
WDR57	-0.4185
FER1L3	0.627333333333333
HSF5	0.156833333333333
TTC9B	-0.062
C4BPA	-3.67883333333333
ALB	-3.96928571428571
SORBS3	0.032875
UPF2	-0.11
JPH1	0.497
AGBL2	-0.6305
DOPEY1	0.809
TERF1	-0.03225
KIF22	-0.288
NINJ1	0.8275
SEC61A2	-0.308666666666667
HIST1H1D	-1.09916666666667
SFXN4	-0.069125
UCP3	0.2526
ZNF703	0.261166666666667
MYL6B	-0.38275
TREM1	2.69325
OR52E6	0.5595
CKMT2	2.51375
HLA-C	2.57525
SLC13A3	-0.411833333333333
TIMP4	-2.5465
SLIT2	1.614
RSF1	-0.119777777777778
LONRF1	-1.34157142857143
MON1A	0.267833333333333
CACNG6	-1.92416666666667
DPPA4	-5.22766666666667
ZSWIM3	0.4355
ZNF804A	0.109166666666667
CCIN	1.5005
SLC25A31	0.06725
KCNMB4	-0.645
RABL5	-0.611375
GALNS	0.4902
STX6	1.220875
HIST1H1C	-1.858
CIDEB	0.073125
CASP4	-0.208166666666667
PDK3	0.3232
KCNJ11	0.254
TPR	-0.21075
ZSCAN20	0.5585
MTX2	-0.0305
HIST1H2BH	0.62225
LOC283767	0.3635
LYRM7	-1.43988888888889
BRD3	-0.304666666666667
HIST1H2BO	0.35425
MAGEB10	0.502
SLC45A1	0.877
SERPINA3	1.359
KIAA0143	1.6785
KCNJ16	-0.105333333333333
KRT79	0.68775
FABP2	-0.951666666666667
NUT	0.138
ZNF57	-1.064
FBXL4	0.364
CLEC9A	0.9755
UGT8	1.70183333333333
BMP2K	-0.19925
MAPK4	-0.0425
SLC25A23	-0.3843
HINT1	-0.8915
KRTAP13-1	0.5175
SFXN5	-0.6213
CHCHD2	0.657833333333333
FAM3D	3.8945
NDP	-1.788
RHOBTB1	-0.370333333333333
SLC4A4	-0.519
RPL38	0.15125
HTF9C	-0.219
AP2A2	0.761625
ZBTB46	0.28
MAP7D1	0.297375
AOX1	-1.576
CYR61	1.35775
DTNA	1.07035714285714
JRKL	0.80825
TMOD3	-1.067
EEA1	-0.1915
ADCK5	-0.15575
IL1R1	0.556333333333333
KLK3	0.469
HRSP12	0.506
KTN1	0.0065
LOH11CR2A	-0.0918
RELL2	-0.686
MAB21L1	1.17225
C20orf59	-0.981333333333334
PHKB	-0.4315
ADAM2	-2.02766666666667
TBC1D8B	1.73916666666667
FAM13A1	0.0908125
LAPTM4B	1.363
LCN8	-0.179
TMEM147	0.0835
SYT4	0.2292
XPO7	-1.0535
C9orf62	1.077
GPR75	0.4085
TRIM5	0.279125
APOC1	-0.694833333333333
RNASE4	-0.700333333333333
PARD6B	-3.054375
ARID1A	0.2745
TPD52L3	0.3891
RRAGB	0.2335
RCN2	0.471166666666667
HIST2H2BE	0.93475
STARD7	0.27025
SHMT2	-0.31675
KIAA1751	0.0966666666666667
MLYCD	0.3515
LOC162632	-0.1085
UQCRH	-0.00749999999999998
RP11-217H1.1	1.564
SDHA	-0.202666666666667
NCLN	-0.1178
ZNF17	0.705166666666667
RCBTB2	-1.3805
VEGFB	-0.0994
RP4-747L4.3	1.99575
COLQ	-0.2405
MPN2	-0.819
DRG2	-0.6675
KLRB1	4.2135
ALPK2	-2.09
DNASE2B	0.19075
FLJ23834	-0.435
AXUD1	-0.248833333333333
SAFB	-0.2923
NSUN4	0.49425
RFX2	-0.192166666666667
MAPK8IP1	-0.464333333333333
FANCD2	-0.277714285714286
ANKZF1	-1.16383333333333
C19orf50	-0.644375
DUSP8	0.727
SENP5	1.058125
NFKBIL2	-0.4405
LBR	-1.224375
IGFL1	0.317
LZTS2	0.23575
IL2RG	-0.283125
CCDC51	0.222
KLF3	-0.021
ANKRD37	0.2785
KCTD14	1.82066666666667
FZR1	-0.569666666666667
SLC44A4	0.1072
ESPL1	-0.453
GMPR2	-1.2332
TBC1D19	-0.457666666666667
ERGIC1	0.144111111111111
ERBB4	-1.1822
TSPAN32	0.1345
MAP4	0.610875
GPHN	-0.961
SLC6A2	1.02
HIVEP1	0.7675
DFFB	-0.4836
EIF4EBP2	0.484375
DMRT1	3.6995
HSPB6	0.23025
IER2	-0.207166666666667
AIFM1	-0.0675
WWC2	-0.1045
MRPL4	-0.7825
FLJ21062	-1.16783333333333
EPB41L4A	0.0643333333333332
SH2D6	0.37175
TAF4B	0.322
GAL3ST3	-0.238
MALT1	-0.551
RTDR1	0.89825
ARVCF	0.766125
MEX3B	0.263833333333333
FBXO16	0.03725
KIF7	0.18425
C1QC	3.85
ZNF783	-0.616666666666667
ZNF85	-0.75175
MMP13	5.855
KIAA0329	0.286142857142857
RTP3	0.898
ZBED3	-0.89725
CLGN	-3.8165
SLC25A37	-1.38383333333333
hCG_18290	-0.603
OR5AS1	0.5235
SMARCC2	0.03825
FAM109A	0.125833333333333
CCDC12	-0.10525
USF2	0.104
DEPDC7	-0.68675
C20orf24	-0.0471666666666667
JMJD3	0.362
DSP	2.29007142857143
SLIC1	0.735
FAM20A	1.6315
IRF2BP2	0.78575
ZNF230	-0.2025
MSN	1.153
SLC9A5	-1.7895
EPDR1	-1.3398
MUSK	0.659166666666667
ZNF434	-1.17083333333333
SMARCD1	-0.426333333333333
