Hybridization REF	TCGA-B6-A0RT-01A-21R-A084-07
PRPF3	1.02466666666667
EMR1	-1.3795
SPATA19	0.02775
XCR1	0.345
IRX3	1.4868
RBM6	0.134
KLF4	-0.9077
UNC5CL	-0.13575
SEBOX	0.0675
BTK	1.62575
KRCC1	1.4335
C6orf27	0.017
SYTL5	-0.7705
PRND	0.373428571428571
LOC653319	-1.7885
PIGL	-1.499375
HUS1	-0.194333333333333
SFRS6	1.09791666666667
C17orf77	-0.154
UIMC1	-0.0101666666666667
FXYD2	-1.4824
LOC283152	-1.051
ZNF667	-0.83275
ZCCHC12	-0.27975
TFEC	4.5237
ATP7B	-1.65483333333333
POLD2	-0.575333333333333
RG9MTD1	-0.01775
ACOT2	-0.765333333333333
HIST1H4I	-0.993375
PPARGC1A	-2.3161
ETFA	-1.7573
POLRMT	-0.54775
ZNF146	0.579875
MIA2	-0.834
KLHL6	1.95633333333333
HOXB5	-1.671375
NENF	-0.121666666666667
CUGBP1	0.41675
PRSS22	0.161
CASC4	0.2841
CUL4B	1.4349
CENPJ	-0.8538
PITX1	-0.383166666666667
FLJ31033	2.0495
CELSR3	-1.542
ZNF568	0.266
ITSN1	-0.747833333333333
EHBP1L1	0.2155
C19orf2	1.286
DCTN1	-0.18925
LIN28B	-3.51033333333333
TNKS2	-0.04825
C1QBP	-0.838
CADPS2	0.198
SRMS	-0.07575
GJA9	0.128833333333333
MGC24975	-0.727
TRIM45	0.0585
TSP50	0.471
TCP1	-0.901
TMED7	-0.3905
CMA1	0.4525
CENPL	-0.589666666666667
PTCRA	2.293
FST	-3.942
VWCE	-3.7475
PAWR	-1.09075
ABCC12	-0.000799999999999998
LDLR	-2.7364
ASTN2	0.1346
LOC441212	-0.48275
GPATCH8	-0.07475
TANC2	-1.08283333333333
KIF4A	-0.80025
C18orf18	-0.77325
PGM1	-0.61825
KIAA0258	0.48625
CPD	-0.441875
SNCAIP	-0.61875
DCT	-4.33
HLA-DOA	3.50740909090909
OR11L1	0.4995
UPK1B	-0.289666666666667
DNAJB4	-0.0505
UGT1A8	-0.5415
HIST1H4L	-1.3575
PECR	-1.54433333333333
HSPA2	-0.181
WFIKKN1	-2.852
SERP1	0.4615
SYDE2	-1.41925
TACR2	0.627
NUP85	0.2745
CD177	-0.787833333333333
LGR5	-2.082
PIGG	0.00991666666666667
PTHR1	-1.55883333333333
RAB5A	0.252
FLJ13224	-0.153
USP9Y	-1.36033333333333
C7orf53	-1.0525
LRP1B	-1.578
XAF1	4.19
ABCG8	-0.5665
ANKDD1A	-0.145333333333333
DAND5	-1.5845
SPAG6	1.08383333333333
LINCR	2.13625
ZDHHC22	-1.99025
CCDC60	0.291
THOC7	-1.52983333333333
TCTA	0.3965
OR8K3	0.24675
NY-REN-7	0.09825
B2M	2.29116666666667
C6orf141	-3.273375
LPPR4	1.44325
SQLE	-0.52375
SEPHS1	0.88175
BTBD14B	0.323285714285714
PLRG1	0.1175
SPG7	-0.282375
ZNF614	-0.186666666666667
PARD6G	0.403666666666667
INPP5B	0.3619
GRPEL2	0.080625
PPID	-0.4566
TRIM56	0.165
UBE2J1	0.9915
IL20RA	1.50075
LOC387856	-0.1215
C1orf107	0.31225
UTS2R	0.42975
C19orf22	0.14325
SAFB2	-0.3665
KIAA0652	0.35775
KLRG1	2.17583333333333
MS4A8B	0.291666666666667
FRAG1	0.4
KIAA1546	0.27875
E2F4	-0.4363
CLEC4M	0.0338333333333333
BTBD14A	-1.39175
KIAA0999	0.9654
GYPA	-3.70516666666667
TAC1	-0.319555555555556
TRAIP	-0.982
KIAA0232	-0.00290000000000001
ERCC8	-1.157375
GPX4	0.028375
KIAA0368	-0.146125
GPR157	0
CTAGE4	1.153
C9orf30	-0.899833333333333
OR52A1	0.313
HSP90B3P	0.0925
ALG9	-0.5129
BTBD10	0.555
SDK2	-0.2745
BAIAP3	-1.32975
RABGGTB	-0.819375
ANKRD40	-0.175666666666667
KRT74	1.343
CALCOCO2	0.505857142857143
SNCA	-3.51825
TMSL8	-1.38225
C2orf53	-0.449
ESRRB	-0.53325
ARHGAP26	-0.66775
TDRD9	-2.24075
HRAS	-0.439166666666667
KLRC4	-0.4985
JAGN1	-0.0783333333333333
BSDC1	0.60125
RNF43	-0.1715
NDUFAF1	-0.1255
PHF12	-0.01075
OR1L3	0.09725
FOLR2	2.21991666666667
LYZL6	0.303333333333333
tcag7.1260	-0.957
WSB1	-1.05566666666667
PROS1	-0.4808
OSTN	0.279
PSMB8	1.2965
SOCS4	0.024
DDIT4L	1.30475
MAS1	-0.352
MGC34796	0.46625
CSHL1	0.4145
TBCCD1	0.782
ZBTB7C	-0.076
AP2S1	-0.560125
P15RS	-0.6829
VAT1	-1.3346
SHANK3	1.0195
TUFM	-0.435166666666667
THEG	-0.244
KRT34	0.00124999999999999
SGSM3	0.065375
TOMM22	-0.646875
SOCS3	1.38433333333333
CPO	0.606
POP4	0.42925
BHLHB3	1.4915
MALL	3.0555
OR1B1	-0.2525
PARK2	0.807833333333333
GPR124	1.317125
LCE1E	-0.314
RUVBL2	-0.4355
CGRRF1	-0.0142
ACPL2	-0.65475
WNT10B	0.00712499999999999
BAIAP2L2	1.70075
ISCA1	-0.2465
C1orf125	-0.257125
RPAP1	-0.61875
RAI16	-0.141166666666667
RPL27	-0.906625
NLRP9	0.132
EPN1	-0.075
LOC388610	-1.12025
SLC35A1	0.5163
GAL	-1.28825
SLC14A2	0.40775
RDH11	-1.36616666666667
FAM138F	-0.7085
AUH	-0.33025
FLJ40243	0.3955
C14orf129	0.392
MBD2	0.0878333333333334
ABHD14B	-0.059
PIGT	-0.516125
ALS2CR4	-0.627125
ALAS1	0.6467
FOXO1	2.11816666666667
CRLF3	0.888125
C20orf107	0.2175
FARS2	0.43925
CCDC28A	0.706
NPHP3	-0.6405
OR13F1	0.087
TSEN54	0.5705
DEFB106B	0.0564
OR8B4	0.0595
STH	-0.7685
ZC3H14	0.253375
CBX2	-0.6105
TMEM49	-1.079
C6orf21	0.496
FLJ20920	0.078125
CRTAP	-0.635071428571429
DDX50	0.023
STYXL1	0.16375
BLVRB	-0.491833333333333
LOC147650	-0.575833333333333
MMP24	-0.49725
GRID1	1.25666666666667
BANF1	-0.253
CTAGEP	0.17025
HMBS	-2.06525
SLC25A24	0.0133333333333333
C14orf50	-0.3575
MRO	0.0421666666666667
SLC25A15	-0.82525
FAM84B	0.5055
TDP1	0.8775
C16orf78	0.1515
C11orf57	-0.119
RFK	-0.656375
ZFYVE9	0.153125
STCH	-0.7255
WIBG	0.211
LOC283871	-0.854833333333333
GBA2	-0.441
NDUFB3	-1.10275
HSD17B13	-0.25275
GRIN3A	2.833
FMNL1	1.42533333333333
SEPT7	0.3226
GNLY	5.516
GRAMD1C	0.0865
ZNF165	1.6035
USP38	0.6765
FAM83A	-3.5275
C14orf24	-0.0466666666666667
ARMCX3	0.197
ARHGDIB	1.554
AK1	-0.5545
KIAA1045	0.7375
DNAJB13	-0.4705
NEU2	0.193
HIST1H4B	-1.65283333333333
FAM20B	-0.5884
HES2	0.382285714285714
FAM73B	-0.1802
LOC388381	0.1235
INTS7	-0.337181818181818
AMPH	0.804
ZNF775	-0.2965
UCKL1	-0.460333333333333
C10orf97	0.0625
C1orf161	-0.55
ALDH1L1	-0.64325
FLJ39378	-0.525875
SLC23A1	-2.577
RBM4B	0.6035
THAP4	0.342666666666667
OGFRL1	0.99525
KIAA0831	0.436
PPP1R15A	-0.457833333333333
C1orf96	0.489928571428571
C12orf11	-0.9985
BMF	1.40725
MAN1A1	-0.0585
KIAA1600	0.708333333333333
NLGN4X	-0.6625
ALOX12	-1.1395
RB1CC1	0.0261
NEIL2	0.385
EIF4E	-0.222181818181818
ABHD5	0.111
EXOC4	-0.362333333333333
CIP29	-0.229666666666667
BATF2	2.479
SLC29A4	-1.033625
HTR4	0.727
EMB	1.1905
TRAF6	1.10925
LMNB1	-0.4325
FAM19A5	0.00125
SHE	2.3675
PIK3C2B	1.38575
C15orf15	-0.7812
USP15	0.4732
TCEAL2	1.05775
C5orf39	1.374
PTGER2	0.3155
SLC31A1	-0.2125625
IFT172	-0.091
ADAM29	-0.07675
GFOD1	1.3405
ST7L	-0.172333333333333
C15orf26	-2.7695
PKN3	-1.424
CNTD1	0.511833333333333
COMMD1	0.1025
NTRK2	2.78483333333333
FOXN3	1.119625
MFGE8	-0.3468
PFKFB2	1.261
TAS2R4	-0.26575
ENTHD1	3.04816666666667
PRMT5	-0.8335
MGC16384	-0.22625
LOC442229	0.48075
TSKU	-0.193
KRTCAP3	2.3595
PDLIM1	0.1953
KCNS2	0.1125
RNF126	-0.511666666666667
CEP63	-0.3755
CLIC4	0.18075
hCG_1990170	1.55975
ACR	0.4737
KLK7	5.80325
ALOX5AP	4.090875
RIPK3	3.7695
TAS2R9	0.3845
C19orf18	-0.5495
BIRC6	0.520214285714286
ZNF16	1.4575
RFT1	-0.30625
SLC8A2	-0.3165
TACC1	0.695
ITGAD	2.30475
SAMHD1	2.35675
SH3PXD2B	1.3396
EPC2	0.72875
C20orf85	0.191125
ATP13A2	-0.0511666666666667
KRT4	0.40525
CAPNS1	-0.1745
MDM2	-0.646916666666667
PCDH20	1.188
KCNK9	0.2485
OR2C1	-0.072
KLHDC3	-0.251333333333333
IPPK	1.0005
EFHD2	1.109625
GALR3	0.39025
NBEA	-0.803833333333333
ABCA6	3.4272
CLDN3	2.16966666666667
AKT2	0.102214285714286
EGFR	0.2006
RBM16	0.25925
ZDHHC3	-0.2913
SLC25A4	-1.67933333333333
CYB5B	-0.567833333333333
CPXM1	0.07525
NDRG1	-0.474
FLJ43826	0.144
OR5L2	0.0624
FARP2	0.274
MRPL46	-0.947583333333333
LDHAL6B	0.2015
MAPKAPK3	-0.1605
NCAM2	-3.0895
PRKD2	1.03916666666667
ZFP36L1	1.0257
CYSLTR1	0.7935
OR4C3	0.01925
HIST1H2AJ	-1.1605
CCNB2	-0.894666666666667
ZNF10	-0.101375
TMEM175	0.49
FAM134A	0.511666666666667
TIGD4	-0.324
PCNP	-0.3095
MGC39715	-0.032
LQK1	-1.24125
CREB1	0.4059
TMPRSS3	-1.31425
C4orf32	0.156875
LAT	1.35441666666667
KCNA3	1.495
SKIV2L2	-0.599
ROPN1B	2.2485
tcag7.23	-0.208
CDT1	-2.08625
ZHX2	1.15125
CD28	0.431
ZNF624	0.907
SEPT2	0.759666666666667
SOHLH2	-1.609625
MCOLN3	0.24775
UNQ1945	0.6395
MASP2	-1.1455
ZNRF3	-0.414
GPATCH3	0.1735
AGL	-0.492875
QRICH2	0.3165
PSD4	1.4325
CCNB1IP1	-1.543
ENPP7	-0.037
OBFC1	0.13725
KCNG3	-1.0725
C14orf79	-0.306583333333333
ENPEP	0.563166666666667
SCT	2.029
SKI	1.43325
SEC61G	-1.1795
CAPN11	1.03
ATXN7L3	0.11325
DBNDD1	-1.25666666666667
FAIM	-1.1015
ANKRD36	-0.3575
GABRP	5.26633333333333
TACSTD2	1.41433333333333
EIF3J	-0.34875
PPP2R2A	0.30825
TEKT4	0.000666666666666658
PVALB	-3.98533333333333
F10	-1.95633333333333
FAM134C	0.6821
COMP	3.633125
EFCBP1	-1.828125
SCLT1	0.305625
TAL1	-1.1419
ACSL1	1.541
ABCC5	-0.249666666666667
ABL1	-0.748222222222222
RBBP7	0.233166666666667
PTPRG	-1.334125
NCOR1	0.2102
SPINK4	-2.6946
TXNRD1	-1.6307
TNRC15	0.570875
C9orf138	0.85925
UBE2H	0.907166666666667
BRDT	0.2568
C8orf31	0.2945
CCNE2	0.166909090909091
SLC6A8	-1.6815
CALCR	-4.07175
PPP1CB	0.791333333333333
ABHD8	-0.248
ARF5	0.3671
SLC24A4	1.8735
CCT3	0.92075
ZNF121	-0.118375
SLC3A2	-0.619
OR13A1	0.092
SLC5A10	-0.42325
RAD50	-0.00525
IER5	0.24825
MTHFD1L	-0.837125
MBTPS2	0.13325
MVK	-1.15325
NCL	0.9656
PSMD10	0.165
MOBP	-0.0411428571428571
FLJ32894	-0.81
HRH1	-1.37133333333333
C5orf30	-1.29375
NUDT16L1	0.4475
RASGRP3	4.40566666666667
PRKRIP1	-0.391
CCDC75	-0.02225
LOC253970	0.69375
KIAA1239	0.199
MED21	-1.17925
SYT11	1.27125
NTSR2	0.5905
EGFL11	-0.1725
CXorf59	0.9805
OR2A25	-0.088
SPTBN2	0.341
LRMP	1.26783333333333
RNF111	0.13
PTH	-0.1345
LOC619208	-0.0105
KIAA0895	0.98075
RANBP5	-0.65225
P2RY10	3.86283333333333
NME5	0.900833333333333
DDX21	-0.666
LRSAM1	-0.22
HDAC11	1.5955
VMO1	1.1905
NOLA2	0.0945
ADAR	1.30483333333333
MTO1	-0.264833333333333
SF4	0.330833333333333
P2RX1	0.941833333333333
HBM	0.71575
EN2	0.9025
C14orf172	-0.2105
TM9SF2	0.7462
INHBE	-1.222
TCTE3	1.00608333333333
TOX2	-0.3755
CTAGE3	-0.26125
HBB	2.4466
MED15	-0.313666666666667
CASR	0.091
C6orf66	-0.305166666666667
MTPN	-0.47875
UNC50	-0.36375
C21orf33	0.7435
IRF2	1.493
PGR	-1.15333333333333
GPR84	2.6855
CROCCL1	-0.55825
SRPX	-0.87225
BRE	0.633
FGF10	0.42625
SDC3	0.792833333333333
ZRSR1	1.2885
DKFZP434P211	0.110125
SOX6	0.25
RPUSD2	0.09225
C14orf173	-0.4805
MAPK11	-0.00150000000000004
TBC1D22A	0.7795
FAM123A	-1.2065
COL4A6	-2.5455
TOMM70A	0.002
NAB1	0.103375
MGC16385	-0.183375
TSPAN18	-0.653
MED31	-0.88475
PLG	-0.21
CAPSL	0.359
ZNF532	1.5174
ASB14	0.16475
CA8	-1.0585
NUDT16P	0.468666666666667
SLFN11	0.314
LRRIQ2	-0.28225
NOL7	-0.5285
BRMS1L	-0.409375
JARID1A	0.678166666666667
PANK2	-0.05975
ICAM3	1.158
MDS1	-0.52025
TAF8	-0.52925
RNF139	0.6825
ZNF594	-0.227
ADAM8	2.860125
SFTPC	-0.3485
MAN2B2	1.328
RGS12	0.1191875
EIF1AY	-4.78983333333333
LRRIQ1	-1.17633333333333
GPR150	0.70025
CCDC21	-0.410333333333333
PRRG3	0.36475
SAA4	-2.42925
RAPGEF5	1.360875
ZCCHC2	0.7555
MGC39372	0.838
PPP4R2	0.299666666666667
CDCA2	-0.486833333333333
OR4D5	0.774666666666667
PTGFRN	0.9386
SIGLEC5	2.37133333333333
C19orf61	0.236333333333333
NMUR2	0.2615
KIAA1586	-0.784166666666667
DAGLA	0.424166666666667
CHCHD6	-1.0425
GPR32	0.401
NEUROD6	-0.455
SLC2A4RG	0.3040625
CA5B	0.769
FBXL3	1.049
MPHOSPH9	-0.4935
HMG2L1	-0.1545
HCN4	0.332666666666667
CEACAM19	1.94075
SH2D4B	0.338333333333333
HFE2	-1.461
TGM4	-0.2342
LYPD2	-0.282
TBC1D15	0.69975
MRPS21	0.2509
NONO	-0.8639
CLEC5A	0.332625
ITCH	-0.2291
MGAT3	0.603666666666667
MBP	0.99725
RPP25	0.01775
SOSTDC1	2.03775
HRC	-2.1435
TRIM48	0.381
TMEM133	0.004
ECEL1P2	-1.1575
HOXC11	-0.549
DOK5	1.01125
HELZ	0.394666666666667
LOC348180	-0.891
MGC33894	0.17875
ADRB3	0.267
DMD	0.0556666666666667
PTRH2	-0.69525
MPEG1	4.08616666666667
NDUFA12	-0.645166666666667
KRTAP2-4	-0.16325
STAMBPL1	0.344666666666667
ADCY2	1.42516666666667
UNQ6125	0.0675
KLHL20	0.186666666666667
SRM	-0.79
OTC	-0.19625
TMIE	1.48983333333333
SNX8	0.41275
LIPK	-0.304
CHURC1	-0.5515
KLC2	0.00116666666666666
HDAC1	0.276
FAM128A	-0.773666666666667
FNDC3B	-0.7312
MTCP1	0.524666666666667
WFDC10B	0.3707
PCDHGB3	0.178
ATRNL1	-2.1848
CAV2	-0.410375
MED26	0.8845
DUS1L	0.91975
CHRM3	-0.76275
NEK9	0.81425
WARS2	-0.12825
TBX22	0.311
TOMM40	-0.2855
RP6-213H19.1	0.729
TUBGCP5	-0.65625
IGSF6	5.88225
TPPP	0.418166666666667
UNQ6190	-0.1485
GSTM5	0.698875
BTD	0.154666666666667
PDCD1LG2	1.91783333333333
SNRPB2	-0.5755
ERICH1	0.401875
APOA4	-2.22675
HOXA11	-2.35775
NARG1	-0.601375
MKX	0.57225
RAB28	-0.0287857142857143
PKP3	0.792
SH3GL2	-0.99
CTSO	2.56025
RPN2	-0.6379375
IL28RA	0.6375
SFMBT1	0.679
WDR57	-0.146375
FER1L3	-0.0866666666666667
HSF5	0.611666666666667
TTC9B	-0.01375
C4BPA	-2.654
ALB	-4.14271428571429
SORBS3	0.027125
UPF2	0.6935
JPH1	-0.0905
AGBL2	0.08625
DOPEY1	2.027
TERF1	-0.584666666666667
KIF22	-0.302
NINJ1	0.364
SEC61A2	0.362416666666667
HIST1H1D	-1.168
SFXN4	-0.5985
UCP3	0.9688
ZNF703	-0.0201666666666667
MYL6B	-1.12075
TREM1	0.624
OR52E6	0.0835
CKMT2	1.8355
HLA-C	2.747375
SLC13A3	-1.05316666666667
TIMP4	-1.7395
SLIT2	2.33525
RSF1	-0.0334444444444444
LONRF1	0.158071428571429
MON1A	-0.0431666666666667
CACNG6	-0.976
DPPA4	-4.8045
ZSWIM3	0.756
ZNF804A	0.751333333333333
CCIN	1.276
SLC25A31	1.20075
KCNMB4	-0.959
RABL5	-0.812625
GALNS	-0.4269
STX6	0.2715
HIST1H1C	-2.6515
CIDEB	0.41
CASP4	1.28
PDK3	0.2573
KCNJ11	0.097
TPR	-0.356
ZSCAN20	-0.616
MTX2	-0.70225
HIST1H2BH	-0.21525
LOC283767	2.08175
LYRM7	-0.991944444444445
BRD3	0.136166666666667
HIST1H2BO	-0.69
MAGEB10	0.5175
SLC45A1	1.4685
SERPINA3	-1.37935
KIAA0143	1.942
KCNJ16	0.973666666666667
KRT79	0.2865
FABP2	-0.9465
NUT	2.0635
ZNF57	-0.1935
FBXL4	0.781
CLEC9A	2.3995
UGT8	-0.129666666666667
BMP2K	0.53475
MAPK4	-1.986
SLC25A23	-1.6106
HINT1	-0.849
KRTAP13-1	0.194
SFXN5	-0.4735
CHCHD2	-0.277
FAM3D	1.6185
NDP	-3.4285
RHOBTB1	-0.6455
SLC4A4	-0.98875
RPL38	-0.09425
HTF9C	-0.112666666666667
AP2A2	0.37325
ZBTB46	-0.5855
MAP7D1	0.528125
AOX1	-1.26
CYR61	-0.912333333333334
DTNA	-0.545214285714286
JRKL	0.65275
TMOD3	-0.24275
EEA1	0.1777
ADCK5	0.195
IL1R1	2.47616666666667
KLK3	0.461785714285714
HRSP12	-0.7375
KTN1	0.26675
LOH11CR2A	0.3678
RELL2	-0.94625
MAB21L1	1.62725
C20orf59	-1.24716666666667
PHKB	-0.2185
ADAM2	-1.85516666666667
TBC1D8B	0.0543333333333333
FAM13A1	-0.0206875
LAPTM4B	-0.147
LCN8	-0.36
TMEM147	0.3585
SYT4	-0.274333333333333
XPO7	0.046
C9orf62	0.66525
GPR75	0.106
TRIM5	0.882625
APOC1	1.977
RNASE4	-1.15483333333333
PARD6B	-2.25575
ARID1A	0.544083333333333
TPD52L3	0.1834
RRAGB	0.460166666666667
RCN2	-1.09566666666667
HIST2H2BE	-0.81
STARD7	0.7755
SHMT2	-0.52725
KIAA1751	0.301666666666667
MLYCD	0.480125
LOC162632	-0.6664
UQCRH	-1.55575
RP11-217H1.1	-0.16525
SDHA	-0.876666666666667
NCLN	-0.4781
ZNF17	0.271666666666667
RCBTB2	-0.9575
VEGFB	-0.5288
RP4-747L4.3	1.68275
COLQ	0.5858
MPN2	-0.9115
DRG2	-0.44425
KLRB1	6.84525
ALPK2	-2.34475
DNASE2B	1.29875
FLJ23834	-0.0683333333333333
AXUD1	0.669833333333333
SAFB	-0.0783
NSUN4	-0.2085
RFX2	-0.298666666666667
MAPK8IP1	-0.00666666666666667
FANCD2	-0.0773571428571429
ANKZF1	-0.753833333333333
C19orf50	-0.2485
DUSP8	0.005625
SENP5	1.0015
NFKBIL2	-0.02725
LBR	0.083875
IGFL1	0.224
LZTS2	-0.299375
IL2RG	2.271125
CCDC51	-0.35175
KLF3	0.178375
ANKRD37	-2.18025
KCTD14	-0.355666666666667
FZR1	0.255333333333333
SLC44A4	-0.6786
ESPL1	-0.811375
GMPR2	-0.7026
TBC1D19	-0.935666666666667
ERGIC1	-0.514925925925926
ERBB4	-1.4504
TSPAN32	1.736
MAP4	0.1095
GPHN	-0.29475
SLC6A2	2.361875
HIVEP1	0.90625
DFFB	0.9245
EIF4EBP2	0.636375
DMRT1	0.51825
HSPB6	-0.377
IER2	0.357666666666667
AIFM1	0.6475
WWC2	-0.598416666666667
MRPL4	-0.26975
FLJ21062	-0.474
EPB41L4A	0.396583333333333
SH2D6	0.4685
TAF4B	0.708
GAL3ST3	0.148
MALT1	0.766833333333333
RTDR1	0.8325
ARVCF	-0.962875
MEX3B	-1.01516666666667
FBXO16	-0.74625
KIF7	-1.03425
C1QC	4.01283333333333
ZNF783	0.0745
ZNF85	0.2205
MMP13	1.1515
KIAA0329	0.267375
RTP3	-0.1215
ZBED3	-0.767
CLGN	-4.178
SLC25A37	-0.707708333333333
hCG_18290	-0.06825
OR5AS1	0.0255
SMARCC2	0.266666666666667
FAM109A	-0.354833333333333
CCDC12	-0.03825
USF2	0.6997
DEPDC7	-2.0595
C20orf24	-0.232333333333333
JMJD3	0.6265
DSP	1.22671428571429
SLIC1	1.512875
FAM20A	2.622375
IRF2BP2	0.955875
ZNF230	0.2355
MSN	1.03035714285714
SLC9A5	-2.303
EPDR1	-1.5097
