Hybridization REF	TCGA-A8-A09G-01A-21R-A00Z-07
HIGD1B	4.57625
USP6NL	0.2315
ABCD4	0.338666666666667
DIMT1L	-0.674583333333333
TEK	0.93975
SLC25A46	-0.2725
LARP7	-1.9504
CD160	1.09983333333333
MT1JP	-1.18666666666667
PHF20	0.256
CPNE4	-0.72075
GTPBP1	-0.143357142857143
RAB33B	0.307666666666667
ALDOC	-2.912375
ZNF212	-0.42275
NUDT1	-0.507166666666667
RFPL2	-0.5255
ZNF83	-0.6605
GDPD5	0.802625
PDCD4	0.6618
CEP350	0.05925
OR10A2	0.53825
CST7	2.02275
CIAO1	-0.676
SELL	1.897625
OR8J3	0.5875
LTBP4	-0.408
SIRT6	0.18
CCL19	5.23375
PPIL1	-1.018
GBP7	0.273
STK17A	-0.9197
ABR	-0.37175
OR9G1	-0.2235
FOXE1	-1.1625
CNGA3	-0.54
GML	0.4025
CD38	0.247
ZDHHC6	0.1535
NEFH	-2.88625
CTDSP2	0.363083333333333
PGBD5	-0.1245
CCNY	0.504428571428572
RMND5B	0.97425
ZNF257	0.9105
FLJ22167	-1.018125
EXOSC7	-0.486666666666667
ROR2	0.69875
MAOA	-1.231875
TNNT3	0.941833333333333
GYPC	-0.842
C7orf33	-0.792
PLIN	3.69416666666667
LOC90826	-0.4955
RNF4	-0.3914
F8A1	0.0573333333333333
PLEKHG4	-1.2785
GRB2	0.6061
HIST1H2AD	1.2585
DUS3L	-0.431166666666667
EIF1	1.01666666666667
RP5-1077B9.4	-0.5215
FPGT	0.49225
GDF10	1.54233333333333
COQ9	-0.117
GCC2	0.349214285714286
RARRES3	3.585
PLXNA1	-0.6989
KIAA0100	0.1623
PMF1	0.3075
FNDC1	4.85975
HS2ST1	-0.612333333333333
CRELD2	2.4335
C8G	-2.0905
CD82	1.24425
LIM2	-0.6735
UNQ6490	-0.45
MMP16	-0.88075
DRD3	0.02075
C5orf26	-1.39425
C11orf73	-0.900625
PTP4A2	0.619375
OR4M2	0.353
HPCA	-0.742666666666667
SEC14L1	-0.920666666666667
CHFR	0.6995
EMILIN1	0.51425
NDUFS4	-0.13625
COL18A1	-0.511625
PDZD3	-0.113111111111111
C9orf16	0.174166666666667
ERBB2IP	0.223
EMX2	2.534
FUS	-1.05425
TF	-3.4634
CLCN4	-1.5498
CXorf56	-0.12
C11orf72	0.32925
ELAC2	-0.45425
NPR1	-0.10875
ASS1	-0.403166666666667
USP42	0.350625
POLR2J	-0.2125
SEC23IP	1.1665
UQCRC1	0.5505
LOC729603	0.5715
C1orf71	-0.332625
POLG	-1.417
ADAM23	-3.55875
TFR2	-1.22975
RICTOR	-1.5413
MGC39606	0.59475
C19orf55	0.148
SNAPC1	-2.1195
GNA11	0.731375
CCDC52	-0.979833333333333
FSIP1	2.8765
UPF3A	-0.97425
IGSF11	-3.10133333333333
LAGE3	0.76625
CHST6	-3.7455
UNC13B	0.887625
TTLL4	-0.68175
ZNF687	0.59825
SDC2	-1.9311
COX7A2	0.99875
LAMB4	-0.1885
FAM24A	-0.599
LRRTM3	-1.9805
GPHB5	0.361
OR4C13	1.333
EIF3EIP	0.0524285714285715
HABP4	-1.1885
TMEM125	3.86775
CNTN2	0.105125
ASNSD1	-0.62525
FUT4	0.49875
ACF	-3.99325
LOC158381	0.5845
CDH8	-0.22
AGPS	-2.5915
C4orf18	2.9485
PECI	0.50825
UNG	-0.325625
GSTP1	0.8495
DCUN1D5	-0.595666666666667
DKFZP564J0863	0.4085
SLC9A3R1	1.779
BCDO2	-0.688375
CHMP7	0.78075
REM2	0.7545
DNHD1	-0.821857142857143
FKBP4	0.3285
ZNF350	2.029
MGC11102	0.192125
BST1	0.963
KISS1R	0.7405
NCR2	0.033
DEFB125	0.0375
UBE2W	0.9285
KRT15	-0.744
C10orf99	0.373
SCN11A	-0.06075
GFI1	-1.3385
RDHE2	5.837
FHL1	-1.747
OSGEP	-0.848833333333333
GATA1	-3.602
SMC6	-1.21275
TTTY14	-0.706
LPIN3	-0.3545
RPL4	0.1798
RBPMS	-0.4307
PRPF3	-0.176666666666667
EMR1	-1.3935
SPATA19	0.13375
XCR1	0.943
IRX3	1.5921
RBM6	-0.3165
KLF4	0.9195
UNC5CL	-2.076
SEBOX	-0.033
BTK	-0.19175
KRCC1	0.64
C6orf27	0.81
SYTL5	-1.652
PRND	0.870125
LOC653319	-1.3435
PIGL	-0.82625
HUS1	0.225333333333333
SFRS6	-0.84575
C17orf77	2.1055
UIMC1	-0.425333333333333
FXYD2	-1.9192
LOC283152	-0.42175
ZNF667	-0.194
ZCCHC12	-0.6185
TFEC	3.9168
ATP7B	-0.393
POLD2	-0.635833333333333
RG9MTD1	-0.02725
ACOT2	0.719166666666667
HIST1H4I	-0.32775
PPARGC1A	-1.252
ETFA	0.0493
POLRMT	-0.60425
ZNF146	0.30975
MIA2	-2.415
KLHL6	-0.145166666666667
HOXB5	2.715125
NENF	-0.177666666666667
CUGBP1	-0.31275
PRSS22	0.844666666666667
CASC4	0.0379
CUL4B	0.0388
CENPJ	-1.8479
PITX1	0.273166666666667
FLJ31033	0.885666666666667
CELSR3	-0.920166666666667
ZNF568	2.14975
ITSN1	-0.76725
EHBP1L1	-0.4785
C19orf2	0.2285
DCTN1	0.06625
LIN28B	-4.608
TNKS2	0.755
C1QBP	-1.33125
CADPS2	2.9775
SRMS	0.8195
GJA9	0.5845
MGC24975	-0.447666666666667
TRIM45	0.527166666666667
TSP50	-0.317
TCP1	-0.4875
TMED7	0.8851
CMA1	0.246
CENPL	0.0075
PTCRA	0.7525
FST	-4.35825
VWCE	-3.802
PAWR	-0.283
ABCC12	4.28483333333333
LDLR	0.2532
ASTN2	0.8466
LOC441212	-1.59625
GPATCH8	-0.7225
TANC2	-0.333916666666667
KIF4A	-1.03075
C18orf18	-1.75175
PGM1	0.19025
KIAA0258	0.85
CPD	0.990375
SNCAIP	-1.657
DCT	-4.22933333333333
HLA-DOA	3.57013636363636
OR11L1	0.3755
UPK1B	-0.635166666666667
DNAJB4	-1.077125
UGT1A8	-0.23225
HIST1H4L	-0.923
PECR	-1.78016666666667
HSPA2	0.444
WFIKKN1	-2.372
SERP1	1.251875
SYDE2	-1.5695
TACR2	1.58
NUP85	-0.198
CD177	-0.8705
LGR5	-2.42116666666667
PIGG	0.718666666666667
PTHR1	-1.57133333333333
RAB5A	0.4847
FLJ13224	0.443
USP9Y	-1.6368
C7orf53	-0.22
LRP1B	-1.264
XAF1	1.5987
ABCG8	-0.42
ANKDD1A	-0.642
DAND5	-1.9305
SPAG6	0.0416666666666667
LINCR	1.302
ZDHHC22	-1.71
CCDC60	0.702
THOC7	-1.01383333333333
TCTA	1.7774
OR8K3	0.1415
NY-REN-7	-0.499
B2M	2.29933333333333
C6orf141	-2.055875
LPPR4	2.096
SQLE	-0.5855
SEPHS1	0.28175
BTBD14B	0.472642857142857
PLRG1	-1.067
SPG7	-0.7749375
ZNF614	0.264666666666667
PARD6G	-0.158833333333333
INPP5B	-0.6591
GRPEL2	-0.0625
PPID	-1.0617
TRIM56	0.0325
UBE2J1	0.820125
IL20RA	5.42025
LOC387856	-0.05975
C1orf107	-0.0421666666666667
UTS2R	0.699
C19orf22	-0.46325
SAFB2	0.240125
KIAA0652	0.596125
KLRG1	0.977833333333333
MS4A8B	1.25866666666667
FRAG1	0.794
KIAA1546	0.21825
E2F4	-1.117
CLEC4M	0.366666666666667
BTBD14A	-0.632
KIAA0999	1.171
GYPA	-4.46116666666667
TAC1	-0.398111111111111
TRAIP	-0.579166666666667
KIAA0232	0.1512
ERCC8	-0.663875
GPX4	0.25075
KIAA0368	-0.46675
GPR157	0.579833333333333
CTAGE4	1.4705
C9orf30	-1.273
OR52A1	0.84
HSP90B3P	0.82
ALG9	0.0524
BTBD10	0.466
SDK2	0.10425
BAIAP3	-0.20475
RABGGTB	-1.5485
ANKRD40	-0.682333333333333
KRT74	0.124
CALCOCO2	-0.188642857142857
SNCA	-3.43825
TMSL8	-0.456875
C2orf53	0.932
ESRRB	-0.385
ARHGAP26	0.2565
TDRD9	-3.22925
HRAS	0.732666666666667
KLRC4	-2.0775
JAGN1	-0.229333333333333
BSDC1	0.672
RNF43	1.3503
NDUFAF1	0.62525
PHF12	0.81575
OR1L3	0.67975
FOLR2	2.69175
LYZL6	0.4865
tcag7.1260	-0.7515
WSB1	-1.50216666666667
PROS1	-1.6526
OSTN	0.915
PSMB8	1.3985
SOCS4	-0.08475
DDIT4L	0.51625
MAS1	-1.191
MGC34796	0.266
CSHL1	0.212666666666667
TBCCD1	0.146166666666667
ZBTB7C	0.531
AP2S1	-0.231625
P15RS	-1.3044
VAT1	-0.2189
SHANK3	0.9135
TUFM	0.01
THEG	-0.767
KRT34	-2.65625
SGSM3	1.844
TOMM22	-0.348
SOCS3	-0.218166666666667
CPO	0.2125
POP4	0.74325
BHLHB3	0.55325
MALL	2.51575
OR1B1	0.894
PARK2	2.432
GPR124	0.216125
LCE1E	-0.1155
RUVBL2	-0.43125
CGRRF1	-0.4595
ACPL2	1.04825
WNT10B	-1.127
BAIAP2L2	-0.078
ISCA1	0.2585
C1orf125	0.124428571428571
RPAP1	-0.88725
RAI16	0.279
RPL27	0.923125
NLRP9	0.324
EPN1	0.1865
LOC388610	-2.956
SLC35A1	1.9332
GAL	-4.38375
SLC14A2	0.3525
RDH11	-0.114333333333333
FAM138F	-0.364
AUH	-0.0255
FLJ40243	0.305
C14orf129	0.7925
MBD2	-0.539
ABHD14B	0.009
PIGT	0.7675
ALS2CR4	-0.611875
ALAS1	0.241
FOXO1	0.0751666666666667
CRLF3	-0.9525
C20orf107	-0.6295
FARS2	0.75075
CCDC28A	0.12425
NPHP3	-1.16575
OR13F1	0.5675
TSEN54	-0.203
DEFB106B	0.420666666666667
OR8B4	-0.291
STH	1.47075
ZC3H14	-0.25125
CBX2	-0.841
TMEM49	1.83925
C6orf21	0.5635
FLJ20920	0.52775
CRTAP	-0.514857142857143
DDX50	-0.73525
STYXL1	0.2615
BLVRB	0.2195
LOC147650	-1.49083333333333
MMP24	0.72175
GRID1	1.94533333333333
BANF1	-0.520166666666667
CTAGEP	1.3255
HMBS	-1.559
SLC25A24	-0.257
C14orf50	-0.42775
MRO	0.289833333333333
SLC25A15	-1.24625
FAM84B	1.3627
TDP1	0.3095
C16orf78	0.4114
C11orf57	0.03675
RFK	-0.67825
ZFYVE9	-1.76925
STCH	-0.443
WIBG	0.551
LOC283871	-0.299333333333333
GBA2	0.3955
NDUFB3	0.21425
HSD17B13	-0.94225
GRIN3A	1.67516666666667
FMNL1	-0.110833333333333
SEPT7	-0.9043
GNLY	5.077
GRAMD1C	-0.605666666666667
ZNF165	0.19975
USP38	-0.23625
FAM83A	-3.5635
C14orf24	0.634833333333333
ARMCX3	0.93
ARHGDIB	0.108333333333333
AK1	0.066625
KIAA1045	-0.3545
DNAJB13	0.168666666666667
NEU2	0.606
HIST1H4B	-0.2635
FAM20B	0.3138
HES2	2.13042857142857
FAM73B	0.3986
LOC388381	0.6165
INTS7	0.284909090909091
AMPH	3.8415
ZNF775	-0.181
UCKL1	-0.742833333333333
C10orf97	0.3745
C1orf161	0.23125
ALDH1L1	-1.08425
FLJ39378	-0.72425
SLC23A1	-2.5645
RBM4B	0.4245
THAP4	0.2985
OGFRL1	1.2045
KIAA0831	0.221625
PPP1R15A	-1.07
C1orf96	0.0426428571428571
C12orf11	-3.3055
BMF	1.361
MAN1A1	-1.077
KIAA1600	0.9065
NLGN4X	-0.8665
ALOX12	-1.78416666666667
RB1CC1	-0.2206
NEIL2	0.348
EIF4E	-0.550227272727273
ABHD5	0.5055
EXOC4	-0.128666666666667
CIP29	-0.7395
BATF2	1.4705
SLC29A4	-0.575875
HTR4	0.59325
EMB	-0.565
TRAF6	0.84875
LMNB1	-2.6465
FAM19A5	2.05525
SHE	1.874
PIK3C2B	1.35475
C15orf15	0.1009
USP15	-0.3603
TCEAL2	-0.28425
C5orf39	-0.490666666666667
PTGER2	-1.49975
SLC31A1	0.9251875
IFT172	-0.044
ADAM29	0.221
GFOD1	0.32025
ST7L	1.22816666666667
C15orf26	-2.5175
PKN3	-0.5365
CNTD1	4.22066666666667
COMMD1	0.38
NTRK2	1.50283333333333
FOXN3	-0.936
MFGE8	-1.1589
PFKFB2	1.19483333333333
TAS2R4	-0.64025
ENTHD1	0.421666666666667
PRMT5	-0.542875
MGC16384	-0.5985
LOC442229	0.16175
TSKU	0.76625
KRTCAP3	2.6015
PDLIM1	1.1533
KCNS2	0.331
RNF126	-0.675
CEP63	-0.2915
CLIC4	-0.971875
hCG_1990170	-1.9545
ACR	0.5364
KLK7	-0.23975
ALOX5AP	2.875125
RIPK3	3.05725
TAS2R9	0.00650000000000001
C19orf18	0.785
BIRC6	-0.393714285714286
ZNF16	1.0835
RFT1	-0.072
SLC8A2	-0.143
TACC1	0.400125
ITGAD	2.35975
SAMHD1	1.50325
SH3PXD2B	0.4134
EPC2	0.44225
C20orf85	0.2235
ATP13A2	0.699166666666667
KRT4	0.424625
CAPNS1	0.98925
MDM2	-0.353333333333333
PCDH20	1.4455
KCNK9	0.47
OR2C1	0.142
KLHDC3	-0.1445
IPPK	0.548
EFHD2	-0.1555
GALR3	0.72
NBEA	-0.227666666666667
ABCA6	2.9969
CLDN3	2.74183333333333
AKT2	-0.693142857142857
EGFR	-3.0957
RBM16	0.01975
ZDHHC3	0.9542
SLC25A4	-0.574166666666667
CYB5B	-1.81166666666667
CPXM1	-0.3475
NDRG1	-0.521384615384615
FLJ43826	0.67225
OR5L2	0.454833333333333
FARP2	0.506
MRPL46	-0.1135
LDHAL6B	0.0898333333333333
MAPKAPK3	-0.0215
NCAM2	-0.68975
PRKD2	0.245166666666667
ZFP36L1	0.9947
CYSLTR1	2.72175
OR4C3	0.06425
HIST1H2AJ	0.854
CCNB2	-1.36355555555556
ZNF10	0.20925
TMEM175	0.328
FAM134A	0.647166666666667
TIGD4	-0.311
PCNP	-0.65025
MGC39715	-0.317
LQK1	-0.3225
CREB1	0.2691
TMPRSS3	-1.21725
C4orf32	1.927
LAT	-0.78175
KCNA3	-0.0599999999999999
SKIV2L2	-1.02875
ROPN1B	-2.43075
tcag7.23	-0.297
CDT1	-2.440875
ZHX2	1.1865
CD28	-1.7845
ZNF624	0.11975
SEPT2	0.2135
SOHLH2	-3.290125
MCOLN3	-0.74975
UNQ1945	0.5945
MASP2	-0.727
ZNRF3	-0.0375
GPATCH3	-0.1
AGL	-0.461375
QRICH2	-0.242
PSD4	1.3815
CCNB1IP1	-2.6245
ENPP7	0.28525
OBFC1	0.84725
KCNG3	-2.80175
C14orf79	1.04191666666667
ENPEP	2.18666666666667
SCT	1.1485
SKI	0.605375
SEC61G	0.4295
CAPN11	0.266
ATXN7L3	-0.11675
DBNDD1	0.035
FAIM	0.702
ANKRD36	-0.884
GABRP	0.0923333333333333
TACSTD2	3.6145
EIF3J	-0.33425
PPP2R2A	-0.31125
TEKT4	0.413666666666667
PVALB	-3.98816666666667
F10	-3.02566666666667
FAM134C	2.2556
COMP	3.02975
EFCBP1	-3.870125
SCLT1	-0.64125
TAL1	-1.3117
ACSL1	1.8565
ABCC5	0.373416666666667
ABL1	-0.158555555555556
RBBP7	0.0486666666666666
PTPRG	0.288375
NCOR1	-1.416
SPINK4	-2.93166666666667
TXNRD1	-0.7681
TNRC15	0.103625
C9orf138	1.063625
UBE2H	1.1785
BRDT	0.675666666666667
C8orf31	0.09675
CCNE2	-0.805272727272727
SLC6A8	-1.738
CALCR	-4.03075
PPP1CB	0.403583333333333
ABHD8	-0.7375
ARF5	0.2622
SLC24A4	1.6045
CCT3	0.17925
ZNF121	0.176875
SLC3A2	-0.4292
OR13A1	0.381
SLC5A10	-0.339666666666667
RAD50	-0.225875
IER5	0.00249999999999996
MTHFD1L	-2.718125
MBTPS2	0.38025
MVK	0.402625
NCL	-0.22
PSMD10	-0.22075
MOBP	0.46675
FLJ32894	-1.194
HRH1	-0.846333333333333
C5orf30	0.6325
NUDT16L1	1.2336
RASGRP3	3.9135
PRKRIP1	0.3903
CCDC75	-0.155
LOC253970	-0.6275
KIAA1239	0.292
MED21	-0.82175
SYT11	0.36675
NTSR2	0.097
EGFL11	-0.655
CXorf59	1.01
OR2A25	0.2255
SPTBN2	0.71775
LRMP	-0.838833333333333
RNF111	0.076
PTH	-0.2655
LOC619208	0.597666666666667
KIAA0895	0.555
RANBP5	-1.582125
P2RY10	1.6385
NME5	2.9715
DDX21	-1.136
LRSAM1	0.6585
HDAC11	0.7035
VMO1	1.27225
NOLA2	-0.2775
ADAR	1.34216666666667
MTO1	-0.256166666666667
SF4	0.295666666666667
P2RX1	0.696
HBM	0.26375
EN2	0.948
C14orf172	0.31325
TM9SF2	1.3571
INHBE	-1.467
TCTE3	0.496916666666667
TOX2	-2.3875
CTAGE3	1.397625
HBB	3.5578
MED15	-0.508
CASR	0.23975
C6orf66	-0.3435
MTPN	-0.976375
UNC50	-0.203
C21orf33	0.320125
IRF2	0.584625
PGR	-3.0985
GPR84	3.0465
CROCCL1	-1.867
SRPX	-2.44
BRE	0.00466666666666666
FGF10	-0.27225
SDC3	0.0131666666666667
ZRSR1	0.696833333333333
DKFZP434P211	0.017
SOX6	-0.202
RPUSD2	-0.57825
C14orf173	0.499916666666667
MAPK11	0.321833333333333
TBC1D22A	0.8505
FAM123A	-0.4825
COL4A6	-4.58166666666667
TOMM70A	0.0145
NAB1	-1.608625
MGC16385	-0.537375
TSPAN18	-0.1855
MED31	-0.24575
PLG	-0.199
CAPSL	1.819
ZNF532	-0.1058
ASB14	0.00675000000000001
CA8	1.61475
NUDT16P	-0.7395
SLFN11	-0.8505
LRRIQ2	-0.461125
NOL7	-0.528
BRMS1L	-1.016
JARID1A	-0.7865
PANK2	-0.3985
ICAM3	0.46675
MDS1	-0.50875
TAF8	-0.32375
RNF139	0.97675
ZNF594	-0.767833333333333
ADAM8	1.574375
SFTPC	-0.322714285714286
MAN2B2	1.262125
RGS12	-0.07475
EIF1AY	-4.82208333333333
LRRIQ1	-1.67666666666667
GPR150	0.8045
CCDC21	-0.485166666666667
PRRG3	0.2395
SAA4	-3.64575
RAPGEF5	1.638875
ZCCHC2	-0.61375
MGC39372	0.553
PPP4R2	0.239833333333333
CDCA2	-1.481
OR4D5	0.461666666666667
PTGFRN	1.7397
SIGLEC5	2.60016666666667
C19orf61	0.517166666666667
NMUR2	1.031
KIAA1586	-2.11016666666667
DAGLA	-0.270333333333333
CHCHD6	-0.50625
GPR32	0.4275
NEUROD6	0.276
SLC2A4RG	0.41225
CA5B	0.48975
FBXL3	0.668
MPHOSPH9	-0.6205
HMG2L1	0.535
HCN4	0.433666666666667
CEACAM19	0.122
SH2D4B	0.179
HFE2	-1.1755
TGM4	0.4175
LYPD2	-0.035
TBC1D15	0.19225
MRPS21	-0.00379999999999998
NONO	-0.2681
CLEC5A	0.72725
ITCH	0.1037
MGAT3	-0.529333333333333
MBP	-0.7175
RPP25	-0.24125
SOSTDC1	0.895
HRC	-1.125
TRIM48	0.1215
TMEM133	0.9095
ECEL1P2	-1.92675
HOXC11	1.392
DOK5	-1.32475
HELZ	-0.4275
LOC348180	-0.545
MGC33894	0.3135
ADRB3	0.257
DMD	0.767833333333333
PTRH2	2.683
MPEG1	3.62516666666667
NDUFA12	0.522
KRTAP2-4	-0.0215833333333333
STAMBPL1	-1.06866666666667
ADCY2	2.8865
UNQ6125	0.388
KLHL20	0.246833333333333
SRM	-0.44675
OTC	0.158
TMIE	-0.476833333333333
SNX8	0.35875
LIPK	-0.457
CHURC1	-0.120416666666667
KLC2	0.319333333333333
HDAC1	-0.4475
FAM128A	-0.358833333333333
FNDC3B	0.00369999999999999
MTCP1	-0.748166666666667
WFDC10B	1.1724
PCDHGB3	0.2625
ATRNL1	-2.22388888888889
CAV2	-1.0725
MED26	-0.0226666666666667
DUS1L	0.89475
CHRM3	-1.767375
NEK9	0.208
WARS2	0.78775
TBX22	-0.6755
TOMM40	-0.8185
RP6-213H19.1	-0.859666666666667
TUBGCP5	0.222
IGSF6	4.7575
TPPP	0.811833333333333
UNQ6190	1.039
GSTM5	0.493625
BTD	1.96316666666667
PDCD1LG2	0.791
SNRPB2	-0.0198333333333333
ERICH1	-0.419
APOA4	-1.585625
HOXA11	-3.30775
NARG1	-0.829125
MKX	-1.922
RAB28	-1.18521428571429
PKP3	0.148
SH3GL2	-2.9445
CTSO	2.259
RPN2	1.53675
IL28RA	-0.542
SFMBT1	0.961
WDR57	-0.93475
FER1L3	-0.235916666666667
HSF5	0.578333333333333
TTC9B	0.106
C4BPA	-3.88933333333333
ALB	-4.81533333333333
SORBS3	-0.099
UPF2	-0.1205
JPH1	-0.0265
AGBL2	-1.9815
DOPEY1	0.927
TERF1	-0.69525
KIF22	0.00199999999999999
NINJ1	1.1075
SEC61A2	-0.38725
HIST1H1D	-0.77
SFXN4	0.27925
UCP3	2.8482
ZNF703	0.754
MYL6B	-1.49225
TREM1	0.528
OR52E6	0.727
CKMT2	1.63425
HLA-C	3.17875
SLC13A3	1.95966666666667
TIMP4	-1.2175
SLIT2	1.45725
RSF1	0.0347777777777777
LONRF1	-0.869214285714286
MON1A	-0.176333333333333
CACNG6	-0.695
DPPA4	-5.1945
ZSWIM3	0.481
ZNF804A	0.679666666666667
CCIN	0.85225
SLC25A31	-0.2745
KCNMB4	-1.0315
RABL5	0.604375
GALNS	0.0279
STX6	0.93225
HIST1H1C	-0.948166666666667
CIDEB	0.5735
CASP4	0.527833333333333
PDK3	0.3424
KCNJ11	1.682
TPR	-0.410375
ZSCAN20	0.3395
MTX2	-0.0515
HIST1H2BH	0.83875
LOC283767	0.88325
LYRM7	-1.42352941176471
BRD3	0.197333333333333
HIST1H2BO	0.5935
MAGEB10	-0.0765
SLC45A1	1.273
SERPINA3	-1.1526
KIAA0143	1.18725
KCNJ16	-0.266333333333333
KRT79	0.5505
FABP2	-1.19433333333333
NUT	-0.2585
ZNF57	-0.204
FBXL4	-0.039125
CLEC9A	1.418
UGT8	-2.02616666666667
BMP2K	-0.037
MAPK4	-3.7675
SLC25A23	-1.0774
HINT1	0.9497
KRTAP13-1	0.649
SFXN5	-0.2845
CHCHD2	0.44325
FAM3D	3.0105
NDP	-3.880125
RHOBTB1	-0.5695
SLC4A4	1.892375
RPL38	0.0555
HTF9C	-0.0961666666666667
AP2A2	0.982125
ZBTB46	-0.1365
MAP7D1	0.27775
AOX1	-2.14133333333333
CYR61	-1.24925
DTNA	0.160285714285714
JRKL	-0.528
TMOD3	0.11375
EEA1	-0.2146
ADCK5	0.6045
IL1R1	1.36083333333333
KLK3	0.627785714285714
HRSP12	-0.6315
KTN1	0.446
LOH11CR2A	1.4163
RELL2	-0.865
MAB21L1	0.30475
C20orf59	-1.2505
PHKB	-0.0145
ADAM2	-2.46316666666667
TBC1D8B	0.687666666666667
FAM13A1	-0.795
LAPTM4B	-1.2355
LCN8	0.568
TMEM147	1.2105
SYT4	-0.1224
XPO7	-0.4745
C9orf62	1.03075
GPR75	0.275
TRIM5	0.659
APOC1	0.1175
RNASE4	-0.353166666666667
PARD6B	-2.16425
ARID1A	0.455416666666667
TPD52L3	0.264444444444444
RRAGB	0.283666666666667
RCN2	-0.606
HIST2H2BE	0.7314375
STARD7	-0.0415
SHMT2	-1.51975
KIAA1751	-0.0463333333333333
MLYCD	0.436375
LOC162632	1.0902
UQCRH	-0.171
RP11-217H1.1	1.56425
SDHA	0.201333333333333
NCLN	-0.2121
ZNF17	0.603
RCBTB2	-2.07175
VEGFB	-0.5525
RP4-747L4.3	0.06075
COLQ	-0.1832
MPN2	-1.565
DRG2	-0.5
KLRB1	6.432
ALPK2	-2.826
DNASE2B	4.588
FLJ23834	-1.1008
AXUD1	-0.085
SAFB	-0.5944
NSUN4	0.49325
RFX2	-0.597833333333333
MAPK8IP1	-0.401666666666667
FANCD2	0.240571428571429
ANKZF1	-1.03483333333333
C19orf50	-0.279875
DUSP8	1.207875
SENP5	0.10325
NFKBIL2	-0.24275
LBR	-0.452375
IGFL1	0.7895
LZTS2	0.1065
IL2RG	0.388375
CCDC51	0.03925
KLF3	0.366
ANKRD37	-2.03575
KCTD14	-2.32466666666667
FZR1	0.3315
SLC44A4	4.7141
ESPL1	-0.92375
GMPR2	-0.5164
TBC1D19	-0.878833333333333
ERGIC1	1.1637037037037
ERBB4	2.7928
TSPAN32	0.648416666666667
MAP4	-0.013
GPHN	-0.84925
SLC6A2	-0.470375
HIVEP1	0.7165
DFFB	-0.5102
EIF4EBP2	0.779375
DMRT1	-0.805
HSPB6	-0.16375
IER2	-0.314666666666667
AIFM1	0.331
WWC2	0.132916666666667
MRPL4	-0.61175
FLJ21062	0.772666666666667
EPB41L4A	1.97941666666667
SH2D6	0.32525
TAF4B	-1.58225
GAL3ST3	-0.4185
MALT1	-1.76133333333333
RTDR1	0.54025
ARVCF	1.117
MEX3B	1.6895
FBXO16	2.2555
KIF7	-2.34
C1QC	4.36683333333333
ZNF783	-0.262833333333333
ZNF85	-0.19225
MMP13	0.701
KIAA0329	0.280428571428571
RTP3	-1.604
ZBED3	-0.59575
CLGN	1.727
SLC25A37	-0.855291666666667
hCG_18290	-0.2935
OR5AS1	1.3155
SMARCC2	0.263166666666667
FAM109A	0.196
CCDC12	-0.4285
USF2	0.9302
DEPDC7	-2.83375
C20orf24	-0.160833333333333
JMJD3	0.331
DSP	0.956642857142857
SLIC1	1.105375
FAM20A	1.692125
IRF2BP2	0.38
ZNF230	0.378
MSN	-1.03885714285714
SLC9A5	-2.1055
EPDR1	-2.4531
MUSK	0.3815
ZNF434	0.527666666666667
SMARCD1	-0.251333333333333
ZFP106	0.36875
ZNF347	0.7174
GTF2E1	-0.173
