Hybridization REF	TCGA-AN-A04A-01A-21R-A034-07
USP38	1.5065
FAM83A	-2.19633333333333
C14orf24	0.972333333333333
ARMCX3	0.69325
ARHGDIB	-0.887166666666667
AK1	0.296
KIAA1045	0.38025
DNAJB13	-0.514333333333333
NEU2	0.276
HIST1H4B	0.157166666666667
FAM20B	-0.4293
HES2	0.731285714285714
FAM73B	-0.6517
LOC388381	-0.558
INTS7	-0.417272727272727
AMPH	1.21825
ZNF775	0.03025
UCKL1	-0.4
C10orf97	-0.01525
C1orf161	-0.2175
ALDH1L1	-1.01
FLJ39378	0.16875
SLC23A1	-2.057
RBM4B	0.279
THAP4	0.346833333333333
OGFRL1	-0.17775
KIAA0831	0.42325
PPP1R15A	-0.3835
C1orf96	-0.150071428571429
C12orf11	-1.73275
BMF	1.302875
MAN1A1	1.554375
KIAA1600	0.108
NLGN4X	0.338
ALOX12	-0.84975
RB1CC1	-0.3529
NEIL2	0.7671
EIF4E	0.214380952380952
ABHD5	0.53825
EXOC4	-0.251833333333333
CIP29	-0.158333333333333
BATF2	0.71875
SLC29A4	-0.448625
HTR4	0.34
EMB	0.1995
TRAF6	0.2415
LMNB1	-1.8685
FAM19A5	0.806875
SHE	1.323
PIK3C2B	0.99425
C15orf15	-0.3236
USP15	-0.2518
TCEAL2	1.318
C5orf39	-0.322166666666667
PTGER2	-0.02025
SLC31A1	-0.35575
IFT172	-0.289
ADAM29	0.00425000000000001
GFOD1	0.48325
ST7L	0.513833333333333
C15orf26	-1.7965
PKN3	-1.3115
CNTD1	0.278333333333333
COMMD1	0.09575
NTRK2	1.61116666666667
FOXN3	0.490875
MFGE8	0.8263
PFKFB2	0.144
TAS2R4	-0.12275
ENTHD1	1.6545
PRMT5	-0.462875
MGC16384	-1.764
LOC442229	-0.07375
TSKU	0.114375
KRTCAP3	1.434125
PDLIM1	0.5777
KCNS2	0.04
RNF126	-0.876833333333333
CEP63	-0.033625
CLIC4	0.38475
hCG_1990170	0.21475
ACR	0.7113
KLK7	3.44625
ALOX5AP	2.93125
RIPK3	2.75875
TAS2R9	0.6065
C19orf18	0.955
BIRC6	0.224928571428571
ZNF16	1.583
RFT1	-0.08825
SLC8A2	-0.829
TACC1	-0.308375
ITGAD	0.045
SAMHD1	0.73175
SH3PXD2B	1.5644
EPC2	1.16825
C20orf85	0.331625
ATP13A2	0.191666666666667
KRT4	0.3685
CAPNS1	0.4005
MDM2	-0.286
PCDH20	1.3315
KCNK9	0.591
OR2C1	-0.2
KLHDC3	-1.42233333333333
IPPK	0.2835
EFHD2	-0.62825
GALR3	0.9605
NBEA	1.10516666666667
ABCA6	2.2252
CLDN3	1.69833333333333
AKT2	-0.513285714285714
EGFR	-1.2419
RBM16	0.15925
ZDHHC3	0.7173
SLC25A4	-0.206166666666667
CYB5B	-0.418
CPXM1	0.2105
NDRG1	-0.602307692307692
FLJ43826	0.15025
OR5L2	0.3115
FARP2	0.2497
MRPL46	-0.0141666666666667
LDHAL6B	0.242666666666667
MAPKAPK3	0.0256666666666667
NCAM2	-0.4255
PRKD2	-0.0778333333333334
ZFP36L1	0.4946
CYSLTR1	-0.939
OR4C3	0.13
HIST1H2AJ	1.7455
CCNB2	-2.84466666666667
ZNF10	-0.363375
TMEM175	0.332
FAM134A	0.942833333333333
TIGD4	0.543
PCNP	-0.6945
MGC39715	0.51675
LQK1	-0.81775
CREB1	0.7227
TMPRSS3	-0.50025
C4orf32	1.836875
LAT	-2.31316666666667
KCNA3	0.7245
SKIV2L2	-0.946
ROPN1B	-1.3635
tcag7.23	0.2235
CDT1	-2.20125
ZHX2	1.531625
CD28	-4.162
ZNF624	0.82925
SEPT2	0.60675
SOHLH2	-0.740125
MCOLN3	-0.51775
UNQ1945	0.7315
MASP2	-0.044
ZNRF3	0.4734
GPATCH3	-0.55075
AGL	2.2835
QRICH2	-0.4995
PSD4	0.650333333333333
CCNB1IP1	-1.47975
ENPP7	0.0475
OBFC1	0.357
KCNG3	-1.439
C14orf79	0.273416666666667
ENPEP	2.08566666666667
SCT	0.5895
SKI	0.967125
SEC61G	-1.54075
CAPN11	0.289
ATXN7L3	-0.1625
DBNDD1	0.458166666666667
FAIM	0.53975
ANKRD36	-0.18
GABRP	2.8805
TACSTD2	1.50066666666667
EIF3J	0.183
PPP2R2A	-0.48725
TEKT4	-0.714
PVALB	-0.1165
F10	-2.16683333333333
FAM134C	0.549
COMP	4.6125
EFCBP1	-1.896125
SCLT1	0.015125
TAL1	-1.1558
ACSL1	-0.13625
ABCC5	-0.0598333333333333
ABL1	-0.168055555555556
RBBP7	-0.00175000000000002
PTPRG	-0.7015
NCOR1	-0.3371
SPINK4	-1.6335
TXNRD1	-1.712
TNRC15	0.628875
C9orf138	0.62975
UBE2H	0.6245
BRDT	-0.5532
C8orf31	-0.24125
CCNE2	-1.23790909090909
SLC6A8	-0.567375
CALCR	-3.539
PPP1CB	0.504333333333333
ABHD8	-0.01875
ARF5	-0.2819
SLC24A4	0.35625
CCT3	0.202
ZNF121	-0.0945
SLC3A2	-0.5879
OR13A1	0.2975
SLC5A10	0.0715
RAD50	-0.014125
IER5	0.6465
MTHFD1L	-1.584
MBTPS2	0.183
MVK	-0.652125
NCL	-0.1535
PSMD10	0.5195
MOBP	0.372
FLJ32894	-1.178
HRH1	0.448666666666667
C5orf30	0.884
NUDT16L1	0.4473
RASGRP3	2.799
PRKRIP1	-1.2084
CCDC75	-0.29325
LOC253970	-0.538
KIAA1239	-0.13475
MED21	0.142
SYT11	0.923083333333333
NTSR2	0.1925
EGFL11	1.049
CXorf59	1.3165
OR2A25	1.4555
SPTBN2	-1.14625
LRMP	-1.7025
RNF111	-0.01225
PTH	-0.027
LOC619208	0.848666666666667
KIAA0895	0.67525
RANBP5	-0.78675
P2RY10	-0.1538
NME5	2.2935
DDX21	-0.58825
LRSAM1	0.934
HDAC11	1.11283333333333
VMO1	1.4285
NOLA2	-0.303333333333333
ADAR	0.602583333333333
MTO1	-1.38683333333333
SF4	-0.393833333333333
P2RX1	0.305833333333333
HBM	0.14
EN2	0.9915
C14orf172	-0.163
TM9SF2	0.1989
INHBE	-0.927333333333333
TCTE3	-0.0429999999999998
TOX2	-3.01625
CTAGE3	0.261
HBB	3.7207
MED15	-0.688666666666667
CASR	0.17175
C6orf66	-1.13683333333333
MTPN	-0.274875
UNC50	0.084
C21orf33	-0.872875
IRF2	0.584125
PGR	0.164
GPR84	1.9005
CROCCL1	-2.978
SRPX	0.000749999999999997
BRE	0.501666666666667
FGF10	0.50125
SDC3	0.0523333333333333
ZRSR1	-0.132333333333333
DKFZP434P211	-0.9675
SOX6	1.203
RPUSD2	0.746
C14orf173	-0.0635833333333333
MAPK11	-0.577833333333333
TBC1D22A	0.377
FAM123A	-0.943
COL4A6	-1.862
TOMM70A	-0.07775
NAB1	-0.292
MGC16385	-0.18575
TSPAN18	0.0591666666666667
MED31	-0.189
PLG	0.176
CAPSL	0.8305
ZNF532	1.2906
ASB14	0.339
CA8	-1.026
NUDT16P	2.41066666666667
SLFN11	-0.56
LRRIQ2	0.1905
NOL7	-0.0621666666666667
BRMS1L	-0.315
JARID1A	-0.0713333333333333
PANK2	-0.196
ICAM3	-1.243
MDS1	-0.4675
TAF8	-0.47725
RNF139	1.911
ZNF594	0.129166666666667
ADAM8	1.32275
SFTPC	-0.078375
MAN2B2	0.988875
RGS12	0.21125
EIF1AY	-3.94854545454545
LRRIQ1	-1.24183333333333
GPR150	0.8475
CCDC21	-1.42433333333333
PRRG3	0.0755
SAA4	-3.76
RAPGEF5	1.552125
ZCCHC2	0.710833333333333
MGC39372	-1.2295
PPP4R2	0.342
CDCA2	-2.06183333333333
OR4D5	0.173833333333333
PTGFRN	0.9958
SIGLEC5	0.939666666666667
C19orf61	-0.1935
NMUR2	1.1305
KIAA1586	-1.114
DAGLA	-1.354
CHCHD6	-0.212
GPR32	1.33
NEUROD6	-0.0883333333333333
SLC2A4RG	-0.182625
CA5B	-0.97175
FBXL3	1.24725
MPHOSPH9	-0.85325
HMG2L1	0.4395
HCN4	0.699
CEACAM19	-0.44025
SH2D4B	0.681333333333333
HFE2	0.043
TGM4	0.3122
LYPD2	0.25225
TBC1D15	-0.14375
MRPS21	-0.5429
NONO	-0.6562
CLEC5A	2.059
ITCH	-0.5155
MGAT3	-1.39533333333333
MBP	-1.353625
RPP25	1.51225
SOSTDC1	1.3205
HRC	0.68625
TRIM48	-0.4035
TMEM133	-0.0745
ECEL1P2	-1.194
HOXC11	1.8395
DOK5	-0.2955
HELZ	0.746666666666667
LOC348180	-0.5525
MGC33894	0.30125
ADRB3	0.3755
DMD	0.353083333333333
PTRH2	0.376
MPEG1	1.98116666666667
NDUFA12	-0.0203333333333333
KRTAP2-4	0.65125
STAMBPL1	-1.38616666666667
ADCY2	0.2606
UNQ6125	0.2395
KLHL20	0.285833333333333
SRM	-1.1395
OTC	-0.118
TMIE	0.279333333333333
SNX8	0.397
LIPK	1.577
CHURC1	1.08808333333333
KLC2	0.321
HDAC1	-0.1805
FAM128A	0.265333333333333
FNDC3B	-0.1013
MTCP1	-0.146
WFDC10B	0.1616
PCDHGB3	0.6265
ATRNL1	-0.1073
CAV2	0.2415
MED26	-0.314666666666667
DUS1L	-0.2905
CHRM3	-1.62125
NEK9	0.645
WARS2	-0.11975
TBX22	2.1285
TOMM40	-0.6665
RP6-213H19.1	-0.355333333333333
TUBGCP5	-0.50425
IGSF6	3.84625
TPPP	-0.142666666666667
UNQ6190	2.454
GSTM5	1.15275
BTD	0.366666666666667
PDCD1LG2	0.657833333333333
SNRPB2	0.193166666666667
ERICH1	-1.177375
APOA4	-1.44175
HOXA11	-1.27925
NARG1	-0.357125
MKX	-1.4745
RAB28	-0.415214285714286
PKP3	0.5895
SH3GL2	-2.22375
CTSO	3.172
RPN2	0.3299375
IL28RA	0.147833333333333
SFMBT1	0.24575
WDR57	-0.93725
FER1L3	0.919416666666667
HSF5	0.381666666666667
TTC9B	0.618
C4BPA	-2.7014
ALB	-4.40307142857143
SORBS3	0.300125
UPF2	-0.0415
JPH1	-2.153
AGBL2	-0.95175
DOPEY1	0.8845
TERF1	-0.893166666666667
KIF22	-0.786166666666667
NINJ1	0.5955
SEC61A2	-0.432333333333333
HIST1H1D	1.03616666666667
SFXN4	-0.278125
UCP3	-0.3964
ZNF703	1.32066666666667
MYL6B	-0.758
TREM1	2.486
OR52E6	-0.0645
CKMT2	0.064
HLA-C	1.51825
SLC13A3	-0.844166666666667
TIMP4	-2.4795
SLIT2	2.055
RSF1	-0.151111111111111
LONRF1	-1.20021428571429
MON1A	0.187
CACNG6	-1.17466666666667
DPPA4	-5.07316666666667
ZSWIM3	1.2515
ZNF804A	0.0591666666666667
CCIN	1.0865
SLC25A31	2.00275
KCNMB4	-0.4805
RABL5	0.241
GALNS	0.3455
STX6	0.536
HIST1H1C	1.96616666666667
CIDEB	-0.310625
CASP4	-0.5455
PDK3	0.6814
KCNJ11	1.287
TPR	-0.609125
ZSCAN20	0.0435
MTX2	-0.5275
HIST1H2BH	1.3985
LOC283767	0.3735
LYRM7	-1.71405555555556
BRD3	1.307
HIST1H2BO	1.11725
MAGEB10	-0.067
SLC45A1	1.452
SERPINA3	2.74215
KIAA0143	1.22575
KCNJ16	-0.2596
KRT79	-0.106
FABP2	-0.154
NUT	-0.813
ZNF57	-0.372
FBXL4	0.314875
CLEC9A	0.594
UGT8	-0.603
BMP2K	0.0955
MAPK4	-3.09025
SLC25A23	-0.6016
HINT1	-0.8178
KRTAP13-1	-0.1555
SFXN5	0.0157
CHCHD2	0.169083333333333
FAM3D	0.768
NDP	-2.846125
RHOBTB1	-0.0661666666666667
SLC4A4	-1.10214285714286
RPL38	-0.44275
HTF9C	-0.6725
AP2A2	0.609875
ZBTB46	-0.322
MAP7D1	0.125625
AOX1	-0.429166666666667
CYR61	1.01583333333333
DTNA	0.311357142857143
JRKL	-0.63525
TMOD3	-0.52525
EEA1	-0.0765
ADCK5	-0.662
IL1R1	1.12033333333333
KLK3	0.570076923076923
HRSP12	0.01425
KTN1	0.381
LOH11CR2A	0.5812
RELL2	-0.99325
MAB21L1	1.88075
C20orf59	-0.362
PHKB	-0.07925
ADAM2	-0.863
TBC1D8B	1.33516666666667
FAM13A1	-1.37325
LAPTM4B	0.694333333333333
LCN8	-0.053
TMEM147	0.508
SYT4	0.2636
XPO7	-0.9055
C9orf62	1.13275
GPR75	0.255
TRIM5	-0.532125
APOC1	-0.5305
RNASE4	-0.0515
PARD6B	-1.49725
ARID1A	0.0511666666666667
TPD52L3	0.424333333333333
RRAGB	0.7605
RCN2	0.779333333333333
HIST2H2BE	2.4845
STARD7	-0.01625
SHMT2	-0.76675
KIAA1751	-0.00859999999999999
MLYCD	0.825
LOC162632	0.0275
UQCRH	-1.874
RP11-217H1.1	0.0515625
SDHA	-0.8355
NCLN	-0.5447
ZNF17	0.422166666666667
RCBTB2	-1.394
VEGFB	-0.5911
RP4-747L4.3	0.16075
COLQ	-0.107
MPN2	-1.4084
DRG2	-0.52375
KLRB1	4.471
ALPK2	-1.3385
DNASE2B	-0.02625
FLJ23834	0.106
AXUD1	0.982166666666667
SAFB	-0.2053
NSUN4	-0.04725
RFX2	0.581333333333333
MAPK8IP1	-0.1195
FANCD2	-1.74978571428571
ANKZF1	-1.73516666666667
C19orf50	-0.876
DUSP8	1.195875
SENP5	0.123125
NFKBIL2	-0.41375
LBR	-1.781
IGFL1	3.3465
LZTS2	0.185125
IL2RG	-0.516375
CCDC51	-0.10475
KLF3	-0.041
ANKRD37	-0.73775
KCTD14	-1.0765
FZR1	0.109916666666667
SLC44A4	3.5431
ESPL1	-0.366875
GMPR2	-0.08
TBC1D19	-0.5285
ERGIC1	0.735703703703704
ERBB4	2.7627
TSPAN32	0.52625
MAP4	0.263875
GPHN	0.5375
SLC6A2	0.41475
HIVEP1	0.4115
DFFB	-0.8075
EIF4EBP2	0.536125
DMRT1	-0.32875
HSPB6	0.665
IER2	-0.229833333333333
AIFM1	0.45725
WWC2	-0.106333333333333
MRPL4	-0.829
FLJ21062	-0.6365
EPB41L4A	1.08858333333333
SH2D6	-0.31075
TAF4B	-1.142
GAL3ST3	0.065
MALT1	-1.73366666666667
RTDR1	0.699
ARVCF	-0.280375
MEX3B	0.801833333333333
FBXO16	0.26325
KIF7	-0.508
C1QC	3.9755
ZNF783	-0.347833333333333
ZNF85	-0.2805
MMP13	4.715
KIAA0329	0.233375
RTP3	-1.2205
ZBED3	-0.282
CLGN	-2.79925
SLC25A37	-1.5605
hCG_18290	-0.0585
OR5AS1	-0.2675
SMARCC2	0.1665
FAM109A	0.0596666666666667
CCDC12	-0.552
USF2	0.5533
DEPDC7	-1.25125
C20orf24	-0.662833333333333
JMJD3	0.8665
DSP	1.06785714285714
SLIC1	0.03375
FAM20A	1.06325
IRF2BP2	0.595625
ZNF230	-0.1605
MSN	-0.3875
SLC9A5	-1.0755
EPDR1	-0.6181
MUSK	0.2705
ZNF434	0.111166666666667
SMARCD1	-0.422666666666667
ZFP106	-1.10975
