Hybridization REF	TCGA-A2-A0YM-01A-11R-A109-07
SYDE2	0.13075
TACR2	0.985
NUP85	0.4395
CD177	2.7475
LGR5	-1.44933333333333
PIGG	0.0803333333333333
PTHR1	-2.24783333333333
RAB5A	0.2622
FLJ13224	0.5635
USP9Y	-1.506
C7orf53	0.4395
LRP1B	-1.17375
XAF1	3.3112
ABCG8	-0.741
ANKDD1A	-0.689166666666667
DAND5	-0.6415
SPAG6	0.0248333333333333
LINCR	2.34225
ZDHHC22	-1.57025
CCDC60	0.1905
THOC7	-1.18866666666667
TCTA	0.1152
OR8K3	0.33575
NY-REN-7	-0.45475
B2M	1.36816666666667
C6orf141	-1.627125
LPPR4	0.804
SQLE	-0.9725
SEPHS1	0.603
BTBD14B	0.742714285714286
PLRG1	0.33625
SPG7	-1.0189375
ZNF614	-0.770333333333333
PARD6G	1.19716666666667
INPP5B	-0.5002
GRPEL2	-0.7155
PPID	-0.00300000000000001
TRIM56	-0.98875
UBE2J1	0.391
IL20RA	-0.082
LOC387856	-0.197
C1orf107	1.23533333333333
UTS2R	1.061
C19orf22	-0.1655
SAFB2	-0.87375
KIAA0652	0.09425
KLRG1	-0.489666666666667
MS4A8B	0.312666666666667
FRAG1	0.30175
KIAA1546	0.3285
E2F4	-0.9145
CLEC4M	0.694166666666667
BTBD14A	1.13
KIAA0999	0.7505
GYPA	-3.52766666666667
TAC1	-0.6961
TRAIP	-0.468166666666667
KIAA0232	-0.5215
ERCC8	-1.48175
GPX4	0.461875
KIAA0368	-0.7615
GPR157	-0.488333333333333
CTAGE4	-1.0255
C9orf30	0.0826666666666667
OR52A1	0.7565
HSP90B3P	-0.898
ALG9	-0.771
BTBD10	0.267
SDK2	0.41275
BAIAP3	-1.7675
RABGGTB	0.37175
ANKRD40	-0.1245
KRT74	-0.0545
CALCOCO2	-0.566
SNCA	-3.31075
TMSL8	0.12525
C2orf53	0.5375
ESRRB	-0.8065
ARHGAP26	-0.78475
TDRD9	-2.36875
HRAS	-0.396333333333333
KLRC4	-2.865
JAGN1	0.2415
BSDC1	-0.11725
RNF43	0.6101
NDUFAF1	-1.26775
PHF12	0.1685
OR1L3	-0.023
FOLR2	1.60675
LYZL6	0.374333333333333
tcag7.1260	-1.9925
WSB1	-1.61966666666667
PROS1	-0.5781
OSTN	0.486
PSMB8	1.293
SOCS4	-0.02825
DDIT4L	0.12325
MAS1	0.115
MGC34796	-0.12025
CSHL1	0.0283333333333333
TBCCD1	0.0141666666666667
ZBTB7C	-0.2585
AP2S1	-0.227125
P15RS	0.0843
VAT1	-0.4381
SHANK3	1.40033333333333
TUFM	-0.702833333333333
THEG	-0.23375
KRT34	0.49425
SGSM3	0.147125
TOMM22	-0.326125
SOCS3	1.12733333333333
CPO	-0.2755
POP4	0.9995
BHLHB3	2.59575
MALL	1.27675
OR1B1	0.094
PARK2	0.210833333333333
GPR124	0.283125
LCE1E	0.0635
RUVBL2	-0.60475
CGRRF1	-0.1337
ACPL2	1.331
WNT10B	-0.833875
BAIAP2L2	-1.451375
ISCA1	-0.07
C1orf125	0.61175
RPAP1	-0.60725
RAI16	0.119
RPL27	-0.220625
NLRP9	0.162
EPN1	0.156
LOC388610	-1.386
SLC35A1	0.0716
GAL	-0.67475
SLC14A2	0.16525
RDH11	-0.961666666666667
FAM138F	-0.054
AUH	-1.38575
FLJ40243	0.11325
C14orf129	0.636
MBD2	-0.843333333333333
ABHD14B	-0.88675
PIGT	-0.552375
ALS2CR4	0.5115
ALAS1	0.5883
FOXO1	0.104833333333333
CRLF3	0.07975
C20orf107	-0.0895
FARS2	0.6065
CCDC28A	0.09575
NPHP3	-0.758
OR13F1	0.1875
TSEN54	0.17375
DEFB106B	0.0166666666666667
OR8B4	0.5025
STH	-0.50375
ZC3H14	0.008875
CBX2	0.3415
TMEM49	-1.3385
C6orf21	0.288
FLJ20920	0.005125
CRTAP	-0.811428571428571
DDX50	0.0705
STYXL1	-0.57025
BLVRB	-0.586833333333333
LOC147650	-1.9145
MMP24	-0.9525
GRID1	1.00683333333333
BANF1	-0.766
CTAGEP	-1.02475
HMBS	-1.33075
SLC25A24	0.3005
C14orf50	-0.56025
MRO	0.3075
SLC25A15	-0.4695
FAM84B	1.0406
TDP1	0.3415
C16orf78	-0.0646666666666667
C11orf57	-0.95475
RFK	-0.735625
ZFYVE9	-1.250125
STCH	2.5119
WIBG	0.02725
LOC283871	0.0608333333333333
GBA2	-0.3865
NDUFB3	0.021
HSD17B13	-0.96425
GRIN3A	1.45183333333333
FMNL1	0.085
SEPT7	-0.8927
GNLY	4.0975
GRAMD1C	0.149
ZNF165	1.90075
USP38	0.361
FAM83A	-3.3195
C14orf24	-0.1085
ARMCX3	-0.01525
ARHGDIB	1.17266666666667
AK1	-0.263625
KIAA1045	1.08575
DNAJB13	-0.494666666666667
NEU2	0.4095
HIST1H4B	0.243833333333333
FAM20B	0.2876
HES2	1.25971428571429
FAM73B	-0.4755
LOC388381	-0.725
INTS7	0.309818181818182
AMPH	-0.316
ZNF775	-0.011625
UCKL1	-0.818666666666667
C10orf97	0.1515
C1orf161	-0.234
ALDH1L1	-1.36275
FLJ39378	0.03075
SLC23A1	-1.9015
RBM4B	-0.13775
THAP4	0.640166666666667
OGFRL1	1.173
KIAA0831	-0.037125
PPP1R15A	-0.459333333333333
C1orf96	1.536
C12orf11	-0.5785
BMF	0.505
MAN1A1	-1.238375
KIAA1600	-0.1785
NLGN4X	-0.94075
ALOX12	2.76083333333333
RB1CC1	0.5564
NEIL2	0.4482
EIF4E	0.0760909090909091
ABHD5	0.33325
EXOC4	-0.6425
CIP29	-0.3555
BATF2	2.263
SLC29A4	-0.055
HTR4	0.16525
EMB	-0.945
TRAF6	0.744
LMNB1	-0.448
FAM19A5	0.723125
SHE	0.47625
PIK3C2B	0.34725
C15orf15	-0.7782
USP15	-0.4348
TCEAL2	-1.01025
C5orf39	0.267833333333333
PTGER2	-1.0125
SLC31A1	-0.8441875
IFT172	1.65325
ADAM29	-0.00125
GFOD1	1.83975
ST7L	0.500333333333333
C15orf26	-2.333
PKN3	-1.1435
CNTD1	0.55
COMMD1	-0.16375
NTRK2	1.09183333333333
FOXN3	0.085
MFGE8	0.4501
PFKFB2	0.722333333333333
TAS2R4	-0.11225
ENTHD1	0.6465
PRMT5	-1.114
MGC16384	-1.5205
LOC442229	1.1985
TSKU	-0.214
KRTCAP3	2.699875
PDLIM1	0.3411
KCNS2	-0.044
RNF126	0.540333333333333
CEP63	-0.545625
CLIC4	0.23975
hCG_1990170	2.69
ACR	1.3949
KLK7	4.8025
ALOX5AP	4.000375
RIPK3	2.806
TAS2R9	0.577
C19orf18	-0.5875
BIRC6	-0.522357142857143
ZNF16	1.0195
RFT1	0.00250000000000001
SLC8A2	-0.70975
TACC1	-0.77275
ITGAD	0.21625
SAMHD1	1.85325
SH3PXD2B	1.6336
EPC2	1.436
C20orf85	0.277375
ATP13A2	0.140833333333333
KRT4	1.925125
CAPNS1	0.52675
MDM2	-0.459916666666667
PCDH20	0.133
KCNK9	0.6065
OR2C1	0.084
KLHDC3	0.456333333333333
IPPK	-0.341
EFHD2	-0.022875
GALR3	1.00625
NBEA	-2.06666666666667
ABCA6	1.0536
CLDN3	2.47783333333333
AKT2	-0.577142857142857
EGFR	0.7173
RBM16	0.17075
ZDHHC3	0.2077
SLC25A4	0.085
CYB5B	-1.6065
CPXM1	0.592
NDRG1	-0.56
FLJ43826	0.2325
OR5L2	-0.2065
FARP2	0.0864
MRPL46	-0.642666666666667
LDHAL6B	0.177166666666667
MAPKAPK3	0.0856666666666667
NCAM2	-2.75825
PRKD2	-0.2875
ZFP36L1	1.5055
CYSLTR1	-1.06925
OR4C3	0.234
HIST1H2AJ	0.5705
CCNB2	-0.855777777777778
ZNF10	-0.351375
TMEM175	0.447
FAM134A	0.287666666666667
TIGD4	-1.1585
PCNP	-0.14175
MGC39715	-0.30075
LQK1	-2.515
CREB1	0.6316
TMPRSS3	3.124
C4orf32	-1.148125
LAT	-1.22108333333333
KCNA3	-1.386
SKIV2L2	-1.26575
ROPN1B	4.30475
tcag7.23	-0.6085
CDT1	-1.48425
ZHX2	0.998875
CD28	-3.13075
ZNF624	0.2775
SEPT2	0.5705
SOHLH2	-1.700375
MCOLN3	0.463375
UNQ1945	0.624
MASP2	-0.8775
ZNRF3	-0.2859
GPATCH3	-0.19975
AGL	-0.09175
QRICH2	-0.458
PSD4	0.445
CCNB1IP1	-1.42875
ENPP7	-0.056
OBFC1	0.0835
KCNG3	-0.07725
C14orf79	-0.616416666666667
ENPEP	0.6455
SCT	1.0145
SKI	1.064
SEC61G	-0.813
CAPN11	0.1095
ATXN7L3	0.2485
DBNDD1	0.312166666666667
FAIM	1.2905
ANKRD36	-0.703
GABRP	5.733
TACSTD2	2.458
EIF3J	-0.363
PPP2R2A	-0.31875
TEKT4	-0.5835
PVALB	-3.58783333333333
F10	-3.06083333333333
FAM134C	0.3125
COMP	4.455
EFCBP1	-3.3855625
SCLT1	-0.159
TAL1	0.1758
ACSL1	0.84775
ABCC5	0.176166666666667
ABL1	-0.329611111111111
RBBP7	-0.562583333333333
PTPRG	-0.85575
NCOR1	0.0522
SPINK4	-1.9235
TXNRD1	-1.737
TNRC15	0.402
C9orf138	0.680625
UBE2H	2.53716666666667
BRDT	0.153166666666667
C8orf31	0.549
CCNE2	1.13445454545455
SLC6A8	-1.507125
CALCR	-3.89375
PPP1CB	1.05441666666667
ABHD8	0.44875
ARF5	-0.5652
SLC24A4	0.774
CCT3	0.2015
ZNF121	0.249375
SLC3A2	-1.4257
OR13A1	0.605
SLC5A10	1.11175
RAD50	-0.841375
IER5	0.24975
MTHFD1L	0.208375
MBTPS2	-0.14
MVK	-1.511125
NCL	0.1206
PSMD10	-0.30925
MOBP	0.380875
FLJ32894	-0.297
HRH1	-0.5225
C5orf30	-0.46075
NUDT16L1	-0.472
RASGRP3	2.98633333333333
PRKRIP1	-0.9961
CCDC75	-0.77325
LOC253970	-0.14475
KIAA1239	0.2025
MED21	1.55225
SYT11	0.79
NTSR2	-0.0525
EGFL11	-1.4785
CXorf59	0.617
OR2A25	-0.06125
SPTBN2	0.1295
LRMP	-1.52466666666667
RNF111	-0.29275
PTH	0.2565
LOC619208	0.2745
KIAA0895	0.95625
RANBP5	0.30525
P2RY10	0.819
NME5	1.92416666666667
DDX21	-0.48525
LRSAM1	0.0935
HDAC11	0.471833333333333
VMO1	3.1725
NOLA2	-0.202666666666667
ADAR	1.59641666666667
MTO1	-0.381666666666667
SF4	0.4175
P2RX1	-0.2955
HBM	0.18975
EN2	1.3025
C14orf172	0.65
TM9SF2	0.4326
INHBE	-1.26633333333333
TCTE3	-0.0935
TOX2	-3.196
CTAGE3	-0.91825
HBB	2.7522
MED15	-0.2845
CASR	0.8355
C6orf66	-0.0975
MTPN	-1.406
UNC50	-0.03225
C21orf33	1.0595
IRF2	1.288625
PGR	-2.69166666666667
GPR84	4.14225
CROCCL1	-2.27925
SRPX	-1.24575
BRE	-0.0266666666666667
FGF10	0.2975
SDC3	0.701666666666667
ZRSR1	-0.881666666666667
DKFZP434P211	-0.869375
SOX6	0.9335
RPUSD2	-0.0625
C14orf173	0.384083333333333
MAPK11	0.427833333333333
TBC1D22A	0.429
FAM123A	-0.5145
COL4A6	-3.27783333333333
TOMM70A	-0.3295
NAB1	1.188875
MGC16385	-0.17
TSPAN18	1.89533333333333
MED31	-0.4045
PLG	-0.1765
CAPSL	0.6945
ZNF532	1.5859
ASB14	0.198
CA8	3.02775
NUDT16P	1.62216666666667
SLFN11	-1.018
LRRIQ2	0.083
NOL7	0.192333333333333
BRMS1L	-0.45
JARID1A	0.467166666666667
PANK2	-0.50875
ICAM3	-0.812
MDS1	-0.94875
TAF8	-0.432
RNF139	0.40025
ZNF594	-2.56833333333333
ADAM8	3.72125
SFTPC	0.135625
MAN2B2	0.21325
RGS12	-0.1090625
EIF1AY	-4.60616666666667
LRRIQ1	-0.207666666666667
GPR150	1.19225
CCDC21	-0.846166666666667
PRRG3	0.0835
SAA4	-0.57725
RAPGEF5	1.76425
ZCCHC2	0.3145
MGC39372	0.8235
PPP4R2	0.201333333333333
CDCA2	-0.289166666666667
OR4D5	0.68
PTGFRN	2.1436
SIGLEC5	2.14016666666667
C19orf61	0.0908333333333333
NMUR2	-0.2465
KIAA1586	-0.469
DAGLA	-0.215
CHCHD6	-0.10625
GPR32	0.22
NEUROD6	-0.0531666666666667
SLC2A4RG	-0.331
CA5B	0.8735
FBXL3	0.21925
MPHOSPH9	-0.8325
HMG2L1	0.32725
HCN4	0.748
CEACAM19	1.23425
SH2D4B	0.435166666666667
HFE2	-0.595
TGM4	0.205833333333333
LYPD2	-0.0495
TBC1D15	-0.3405
MRPS21	0.2572
NONO	-0.2734
CLEC5A	3.436375
ITCH	-0.2665
MGAT3	-1.18883333333333
MBP	-0.0916250000000002
RPP25	0.6785
SOSTDC1	5.5335
HRC	-1.97675
TRIM48	0.2635
TMEM133	-0.5775
ECEL1P2	-1.116
HOXC11	0.531
DOK5	0.4895
HELZ	0.0685
LOC348180	-0.826
MGC33894	0.17575
ADRB3	0.3315
DMD	-0.5645
PTRH2	0.207
MPEG1	3.61616666666667
NDUFA12	-0.475
KRTAP2-4	0.35375
STAMBPL1	-1.52233333333333
ADCY2	0.402666666666667
UNQ6125	0.7105
KLHL20	-0.967833333333333
SRM	-0.8775
OTC	-0.573
TMIE	1.189
SNX8	0.71275
LIPK	0.3255
CHURC1	-1.19083333333333
KLC2	0.3
HDAC1	-0.759
FAM128A	0.701666666666667
FNDC3B	1.2471
MTCP1	-0.0315
WFDC10B	-0.0618
PCDHGB3	0.198
ATRNL1	-0.6945
CAV2	-0.702
MED26	0.174166666666667
DUS1L	1.06325
CHRM3	-1.570125
NEK9	-0.53675
WARS2	2.604
TBX22	0.674
TOMM40	-0.93675
RP6-213H19.1	0.141666666666667
TUBGCP5	-0.87825
IGSF6	4.78925
TPPP	0.8955
UNQ6190	0.46
GSTM5	-0.545625
BTD	-0.638833333333333
PDCD1LG2	1.06383333333333
SNRPB2	-0.655
ERICH1	-0.365875
APOA4	-1.245625
HOXA11	-2.0235
NARG1	0.357125
MKX	-0.704
RAB28	-0.0570714285714286
PKP3	1.26325
SH3GL2	0.29875
CTSO	2.67375
RPN2	0.3114375
IL28RA	1.367
SFMBT1	1.204
WDR57	0.046
FER1L3	-0.485416666666667
HSF5	0.520833333333333
TTC9B	0.2985
C4BPA	-3.2665
ALB	-3.4075
SORBS3	0.59675
UPF2	0.1535
JPH1	0.798
AGBL2	0.126
DOPEY1	1.0945
TERF1	-0.107916666666667
KIF22	-0.692666666666667
NINJ1	0.42825
SEC61A2	0.01875
HIST1H1D	-0.949833333333333
SFXN4	0.12175
UCP3	0.2983
ZNF703	0.222
MYL6B	-0.031
TREM1	3.312
OR52E6	-0.1835
CKMT2	0.3045
HLA-C	2.353375
SLC13A3	0.157166666666667
TIMP4	-1.70425
SLIT2	-0.536
RSF1	-0.252111111111111
LONRF1	-0.876428571428571
MON1A	-0.1665
CACNG6	2.34483333333333
DPPA4	-5.35233333333333
ZSWIM3	-0.10375
ZNF804A	0.743833333333333
CCIN	1.7285
SLC25A31	-0.66
KCNMB4	-2.519
RABL5	-0.52775
GALNS	-0.5261
STX6	0.167875
HIST1H1C	-1.16816666666667
CIDEB	0.549125
CASP4	-0.108666666666667
PDK3	0.1173
KCNJ11	0.488
TPR	-0.46025
ZSCAN20	0.364
MTX2	-0.36275
HIST1H2BH	0.41575
LOC283767	-0.0745
LYRM7	-1.83577777777778
BRD3	0.660666666666667
HIST1H2BO	0.36775
MAGEB10	0.569
SLC45A1	-0.23475
SERPINA3	1.86365
KIAA0143	0.59675
KCNJ16	-0.148166666666667
KRT79	0.463
FABP2	-0.216
NUT	0.36475
ZNF57	-0.36175
FBXL4	0.808125
CLEC9A	0.437
UGT8	1.6635
BMP2K	0.44125
MAPK4	-1.21075
SLC25A23	-0.8511
HINT1	-0.5865
KRTAP13-1	0.0435
SFXN5	-0.8
CHCHD2	0.125333333333333
FAM3D	1.359
NDP	-2.65375
RHOBTB1	0.0423333333333333
SLC4A4	-1.54675
RPL38	0.73525
HTF9C	-0.387166666666667
AP2A2	0.619125
ZBTB46	-0.831
MAP7D1	0.929375
AOX1	-2.0485
CYR61	1.29908333333333
DTNA	0.503857142857143
JRKL	0.42175
TMOD3	-0.45925
EEA1	0.0246
ADCK5	0.91525
IL1R1	0.454833333333333
KLK3	0.876
HRSP12	0.15775
KTN1	-0.4665
LOH11CR2A	0.8469
RELL2	-1.29425
MAB21L1	-0.189
C20orf59	-1.288
PHKB	-1.15525
ADAM2	-1.09716666666667
TBC1D8B	0.3385
FAM13A1	-0.808
LAPTM4B	0.319
LCN8	-0.238
TMEM147	1.4515
SYT4	0.9705
XPO7	-0.4355
C9orf62	1.6185
GPR75	-0.7835
TRIM5	0.234125
APOC1	0.2115
RNASE4	-1.3435
PARD6B	-3.051125
ARID1A	0.166333333333333
TPD52L3	-0.221333333333333
RRAGB	-0.127833333333333
RCN2	-0.0353333333333333
HIST2H2BE	0.3909375
STARD7	-0.12475
SHMT2	-0.4275
KIAA1751	-0.013
MLYCD	-0.299875
LOC162632	-0.6176
UQCRH	-0.95675
RP11-217H1.1	0.2319375
SDHA	-0.894666666666667
NCLN	0.0647
ZNF17	-0.284
RCBTB2	-2.2355
VEGFB	-0.1878
RP4-747L4.3	2.12325
COLQ	-0.1904
MPN2	-0.576333333333333
DRG2	-0.06
KLRB1	2.53475
ALPK2	-1.58425
DNASE2B	-0.33875
FLJ23834	-0.4425
AXUD1	0.324333333333333
SAFB	-0.2184
NSUN4	0.38125
RFX2	0.687666666666667
MAPK8IP1	-0.008
FANCD2	0.1795
ANKZF1	-0.663833333333333
C19orf50	0.141375
DUSP8	1.09475
SENP5	0.43375
NFKBIL2	0.534
LBR	-0.39025
IGFL1	1.168
LZTS2	0.61775
IL2RG	0.213625
CCDC51	0.05875
KLF3	0.511625
ANKRD37	0.09475
KCTD14	1.47283333333333
FZR1	0.286166666666667
SLC44A4	-1.9185
ESPL1	0.1355
GMPR2	-1.1446
TBC1D19	-0.497
ERGIC1	-0.164333333333333
ERBB4	-1.5125
TSPAN32	0.38325
MAP4	-0.018375
GPHN	1.841
SLC6A2	3.5755
HIVEP1	1.35175
DFFB	-0.5441
EIF4EBP2	0.88525
DMRT1	3.68125
HSPB6	-0.53325
IER2	0.0355
AIFM1	-0.49475
WWC2	-0.453833333333333
MRPL4	-0.14875
FLJ21062	-0.911666666666667
EPB41L4A	0.158666666666667
SH2D6	0.4505
TAF4B	1.58
GAL3ST3	-0.531
MALT1	-0.5055
RTDR1	0.81
ARVCF	-0.153375
MEX3B	0.737166666666667
FBXO16	0.74475
KIF7	-0.905
C1QC	4.1385
ZNF783	-0.208166666666667
ZNF85	-1.05725
MMP13	3.577
KIAA0329	-0.43175
RTP3	-0.6945
ZBED3	-0.145
CLGN	-3.577
SLC25A37	-0.989625
hCG_18290	0.146
OR5AS1	0.2665
SMARCC2	0.06425
FAM109A	0.3625
CCDC12	-0.32275
USF2	0.7477
DEPDC7	-1.8395
C20orf24	-0.453333333333333
JMJD3	-0.072
DSP	2.22585714285714
SLIC1	0.93625
FAM20A	1.17475
IRF2BP2	0.6715
ZNF230	-0.283
MSN	0.1065
SLC9A5	-1.882
EPDR1	-0.2971
MUSK	0.297333333333333
ZNF434	-1.22933333333333
SMARCD1	0.192166666666667
ZFP106	-0.28725
ZNF347	0.4957
