Hybridization REF	TCGA-A8-A09N-01A-11R-A00Z-07
C19orf55	-0.168875
SNAPC1	-0.485333333333333
GNA11	1.142625
CCDC52	0.979
FSIP1	5.35
UPF3A	-0.149375
IGSF11	-2.36333333333333
LAGE3	0.7765
CHST6	-3.4295
UNC13B	-0.21125
TTLL4	-2.148
ZNF687	0.083
SDC2	-0.4494
COX7A2	-0.80525
LAMB4	-0.4135
FAM24A	0.057
LRRTM3	-1.5725
GPHB5	0.09325
OR4C13	0.2765
EIF3EIP	-0.547714285714286
HABP4	-1.412
TMEM125	3.9625
CNTN2	-0.374
ASNSD1	-0.57675
FUT4	0.318
ACF	-3.60775
LOC158381	0.6625
CDH8	-0.424
AGPS	-1.05916666666667
C4orf18	4.0225
PECI	1.23675
UNG	0.15225
GSTP1	0.444875
DCUN1D5	0.340666666666667
DKFZP564J0863	0.413
SLC9A3R1	1.819
BCDO2	0.119625
CHMP7	0.2845
REM2	-1.149
DNHD1	-0.518625
FKBP4	1.07225
ZNF350	1.4805
MGC11102	1.13775
BST1	0.33275
KISS1R	-0.0975
NCR2	-0.0055
DEFB125	0.4495
UBE2W	1.5175
KRT15	0.0315
C10orf99	0.253
SCN11A	-0.13325
GFI1	-2.232
RDHE2	1.892
FHL1	-1.37916666666667
OSGEP	-0.972166666666667
GATA1	-3.50583333333333
SMC6	-1.37475
TTTY14	-1.373
LPIN3	0.11575
RPL4	-0.459
RBPMS	0.2217
PRPF3	-0.751666666666667
EMR1	-2.577
SPATA19	0.22125
XCR1	0.4295
IRX3	2.2175
RBM6	-0.0115
KLF4	0.4947
UNC5CL	0.55
SEBOX	-0.255
BTK	-0.50425
KRCC1	2.291
C6orf27	0.3815
SYTL5	-0.8615
PRND	1.843625
LOC653319	-1.7725
PIGL	-1.20475
HUS1	-0.1685
SFRS6	1.59025
C17orf77	0.096
UIMC1	-0.0625
FXYD2	-1.8177
LOC283152	0.37225
ZNF667	1.425
ZCCHC12	-1.68
TFEC	2.1894
ATP7B	0.394833333333333
POLD2	-0.202333333333333
RG9MTD1	0.4895
ACOT2	1.5505
HIST1H4I	-1.013
PPARGC1A	-2.7338
ETFA	-1.1121
POLRMT	-0.598
ZNF146	0.7195
MIA2	-1.7635
KLHL6	-0.885166666666667
HOXB5	1.790625
NENF	-0.264
CUGBP1	0.72925
PRSS22	1.22833333333333
CASC4	0.4447
CUL4B	0.1559
CENPJ	-1.5045
PITX1	1.25883333333333
FLJ31033	1.593
CELSR3	-3.091
ZNF568	1.01225
ITSN1	-0.565916666666667
EHBP1L1	-1.30483333333333
C19orf2	0.16575
DCTN1	-0.08375
LIN28B	-3.04516666666667
TNKS2	-0.343
C1QBP	-0.421
CADPS2	1.943
SRMS	1.277
GJA9	0.471833333333333
MGC24975	-1.18116666666667
TRIM45	0.4885
TSP50	0.394
TCP1	-1.38275
TMED7	1.0201
CMA1	0.743
CENPL	-0.665166666666667
PTCRA	0.019
FST	-4.02525
VWCE	-3.90425
PAWR	0.19575
ABCC12	0.439
LDLR	-0.3074
ASTN2	0.5623
LOC441212	-1.254875
GPATCH8	-0.55
TANC2	-0.632666666666667
KIF4A	-0.5885
C18orf18	-1.8
PGM1	-1.95175
KIAA0258	1.14725
CPD	0.528125
SNCAIP	-0.4015
DCT	-4.4185
HLA-DOA	2.68166666666667
OR11L1	0.549
UPK1B	-0.7105
DNAJB4	0.4605
UGT1A8	0.09225
HIST1H4L	-2.3165
PECR	-0.899166666666667
HSPA2	1.59025
WFIKKN1	-0.8225
SERP1	1.947875
SYDE2	1.95975
TACR2	0.5405
NUP85	-0.9235
CD177	1.546
LGR5	-1.65183333333333
PIGG	0.196583333333333
PTHR1	-1.07583333333333
RAB5A	1.0003
FLJ13224	-0.2665
USP9Y	-1.257
C7orf53	-1.303
LRP1B	0.90575
XAF1	1.4793
ABCG8	-0.8145
ANKDD1A	-0.741333333333333
DAND5	-1.8105
SPAG6	0.229833333333333
LINCR	1.18275
ZDHHC22	-1.4145
CCDC60	1.352
THOC7	-0.942333333333333
TCTA	1.6412
OR8K3	0.328
NY-REN-7	-0.9005
B2M	1.46466666666667
C6orf141	0.517875
LPPR4	2.15525
SQLE	-0.607875
SEPHS1	0.67325
BTBD14B	-0.0403571428571428
PLRG1	0.03725
SPG7	-0.3908125
ZNF614	0.460666666666667
PARD6G	0.0398333333333333
INPP5B	-0.1911
GRPEL2	0.52875
PPID	-0.4122
TRIM56	-0.23625
UBE2J1	0.80525
IL20RA	2.96675
LOC387856	0.29125
C1orf107	0.343833333333333
UTS2R	-0.08425
C19orf22	0.113
SAFB2	-0.272625
KIAA0652	0.57525
KLRG1	-0.465
MS4A8B	2.08983333333333
FRAG1	1.235
KIAA1546	0.38575
E2F4	-1.0451
CLEC4M	-0.0568333333333333
BTBD14A	-0.48425
KIAA0999	0.5067
GYPA	-3.93666666666667
TAC1	0.9907
TRAIP	-0.857833333333333
KIAA0232	0.771
ERCC8	-0.83575
GPX4	-0.50325
KIAA0368	0.32325
GPR157	-0.634
CTAGE4	2.275
C9orf30	-1.495
OR52A1	-0.0345
HSP90B3P	0.518
ALG9	0.2346
BTBD10	0.908
SDK2	0.2315
BAIAP3	1.06525
RABGGTB	-0.44825
ANKRD40	0.189333333333333
KRT74	0.589
CALCOCO2	0.633
SNCA	-3.186
TMSL8	-0.52225
C2orf53	0.58
ESRRB	-0.552
ARHGAP26	-1.398375
TDRD9	-2.3655
HRAS	0.440333333333333
KLRC4	-2.5985
JAGN1	-0.2255
BSDC1	0.5425
RNF43	-0.2624
NDUFAF1	0.64825
PHF12	0.57675
OR1L3	0.46125
FOLR2	1.88008333333333
LYZL6	0.486333333333333
tcag7.1260	-2.258
WSB1	-2.24616666666667
PROS1	-1.8889
OSTN	0.8325
PSMB8	1.20575
SOCS4	-0.055625
DDIT4L	1.49775
MAS1	-1.22
MGC34796	1.318
CSHL1	0.449666666666667
TBCCD1	0.377
ZBTB7C	0.366
AP2S1	-0.006375
P15RS	-0.4836
VAT1	-1.0907
SHANK3	0.456333333333333
TUFM	0.318166666666667
THEG	-0.803
KRT34	-1.72
SGSM3	0.82475
TOMM22	-0.700375
SOCS3	0.549333333333333
CPO	0.1355
POP4	0.80975
BHLHB3	0.605
MALL	0.74425
OR1B1	0.0715
PARK2	-0.118833333333333
GPR124	0.202625
LCE1E	0.2825
RUVBL2	-0.233
CGRRF1	-0.1302
ACPL2	0.87725
WNT10B	-2.517625
BAIAP2L2	-1.525625
ISCA1	0.915
C1orf125	0.263375
RPAP1	-1.35675
RAI16	-0.663166666666667
RPL27	-1.423875
NLRP9	-0.0685
EPN1	0.8735
LOC388610	-1.590625
SLC35A1	0.2715
GAL	-4.78375
SLC14A2	0.4545
RDH11	-0.761333333333333
FAM138F	-0.282
AUH	1.3555
FLJ40243	0.373
C14orf129	0.0526666666666667
MBD2	-0.7085
ABHD14B	0.42825
PIGT	0.6345
ALS2CR4	-1.03125
ALAS1	0.7311
FOXO1	-0.310166666666667
CRLF3	-1.1785
C20orf107	0.111
FARS2	1.37975
CCDC28A	0.05625
NPHP3	-1.23275
OR13F1	0.5135
TSEN54	-0.98475
DEFB106B	0.1656
OR8B4	1.41
STH	1.30225
ZC3H14	-0.626375
CBX2	-0.407
TMEM49	-0.763
C6orf21	0.683
FLJ20920	-1.174125
CRTAP	0.0707857142857143
DDX50	0.13375
STYXL1	0.8145
BLVRB	1.09166666666667
LOC147650	-1.269
MMP24	-0.00525000000000002
GRID1	1.77083333333333
BANF1	0.297
CTAGEP	0.85975
HMBS	-1.60275
SLC25A24	0.308166666666667
C14orf50	1.15825
MRO	1.02
SLC25A15	-1.2865
FAM84B	2.7524
TDP1	0.2095
C16orf78	-0.126666666666667
C11orf57	0.56275
RFK	0.183875
ZFYVE9	-0.7945
STCH	-0.2838
WIBG	1.146
LOC283871	0.446166666666667
GBA2	-0.2278
NDUFB3	-0.72275
HSD17B13	-0.26825
GRIN3A	1.383
FMNL1	-1.1075
SEPT7	-0.5571
GNLY	4.2455
GRAMD1C	0.272333333333333
ZNF165	1.0535
USP38	1.66175
FAM83A	-3.63633333333333
C14orf24	-0.127583333333333
ARMCX3	1.37125
ARHGDIB	1.967
AK1	0.65675
KIAA1045	0.16575
DNAJB13	-0.541666666666667
NEU2	0.404
HIST1H4B	-1.479
FAM20B	-0.6577
HES2	0.193357142857143
FAM73B	0.1608
LOC388381	-0.214
INTS7	-0.561818181818182
AMPH	1.56375
ZNF775	-0.4965
UCKL1	-0.550666666666667
C10orf97	1.473
C1orf161	0.02525
ALDH1L1	-2.0535
FLJ39378	-0.665875
SLC23A1	-0.0135
RBM4B	0.54825
THAP4	-0.2735
OGFRL1	0.08975
KIAA0831	-0.366875
PPP1R15A	-0.00666666666666667
C1orf96	-0.674928571428572
C12orf11	-1.6325
BMF	1.56825
MAN1A1	-0.681875
KIAA1600	1.30666666666667
NLGN4X	-1.00475
ALOX12	-1.23
RB1CC1	0.1643
NEIL2	0.1731
EIF4E	0.800863636363636
ABHD5	0.503
EXOC4	0.220666666666667
CIP29	0.362666666666667
BATF2	0.777
SLC29A4	-0.94675
HTR4	0.64325
EMB	0.212
TRAF6	0.49325
LMNB1	-3.25975
FAM19A5	-1.135
SHE	1.0735
PIK3C2B	0.328
C15orf15	0.0381
USP15	0.2771
TCEAL2	0.5055
C5orf39	-1.50816666666667
PTGER2	-1.3145
SLC31A1	0.0824375
IFT172	-0.40275
ADAM29	0.617
GFOD1	-0.5765
ST7L	0.932666666666667
C15orf26	-2.535
PKN3	-1.449
CNTD1	2.9865
COMMD1	-0.238625
NTRK2	1.75425
FOXN3	0.088875
MFGE8	-1.2767
PFKFB2	1.319
TAS2R4	-0.09175
ENTHD1	-0.0296666666666667
PRMT5	-0.327
MGC16384	-1.124125
LOC442229	-0.884
TSKU	2.03775
KRTCAP3	1.795375
PDLIM1	-0.3828
KCNS2	0.51925
RNF126	-0.799333333333333
CEP63	0.329875
CLIC4	-0.022875
hCG_1990170	-1.17025
ACR	0.0269
KLK7	-0.0905
ALOX5AP	2.274625
RIPK3	4.076
TAS2R9	0.534
C19orf18	1.629
BIRC6	0.0176428571428571
ZNF16	1.761
RFT1	0.019
SLC8A2	-0.81875
TACC1	-0.861875
ITGAD	1.1385
SAMHD1	1.29
SH3PXD2B	1.2
EPC2	-0.04975
C20orf85	3.87725
ATP13A2	0.6105
KRT4	0.408875
CAPNS1	0.34375
MDM2	-0.33825
PCDH20	3.318
KCNK9	0.961
OR2C1	0.229
KLHDC3	-0.4635
IPPK	2.875
EFHD2	-0.401375
GALR3	-0.199
NBEA	-0.464833333333333
ABCA6	2.5428
CLDN3	0.787166666666667
AKT2	-0.962428571428571
EGFR	-3.0233
RBM16	0.097
ZDHHC3	0.936
SLC25A4	0.375833333333333
CYB5B	-0.751666666666667
CPXM1	-0.144
NDRG1	1.42438461538462
FLJ43826	0.51325
OR5L2	0.241333333333333
FARP2	-0.1179
MRPL46	-0.633916666666667
LDHAL6B	0.4576
MAPKAPK3	0.2175
NCAM2	-0.25675
PRKD2	0.209
ZFP36L1	0.1654
CYSLTR1	0.63775
OR4C3	0.138
HIST1H2AJ	1.5685
CCNB2	-1.19022222222222
ZNF10	0.45875
TMEM175	0.149
FAM134A	0.685
TIGD4	0.5575
PCNP	0.11975
MGC39715	-0.092
LQK1	-0.74375
CREB1	0.3888
TMPRSS3	-0.651
C4orf32	2.31475
LAT	-1.60091666666667
KCNA3	0.3345
SKIV2L2	-0.23475
ROPN1B	-2.27825
tcag7.23	-0.7365
CDT1	-2.0585
ZHX2	1.034
CD28	-3.07
ZNF624	0.259
SEPT2	0.375
SOHLH2	-2.45842857142857
MCOLN3	-0.997571428571429
UNQ1945	0.4975
MASP2	-1.1765
ZNRF3	-0.074
GPATCH3	-0.314
AGL	1.9325
QRICH2	-0.358
PSD4	1.191
CCNB1IP1	-2.52475
ENPP7	0.37625
OBFC1	0.93575
KCNG3	-2.05
C14orf79	0.719416666666667
ENPEP	1.346
SCT	0.489
SKI	1.112875
SEC61G	-0.07375
CAPN11	0.227
ATXN7L3	0.0515
DBNDD1	0.2745
FAIM	0.2025
ANKRD36	-2.465
GABRP	1.74733333333333
TACSTD2	2.76333333333333
EIF3J	-0.7735
PPP2R2A	0.39325
TEKT4	-0.181333333333333
PVALB	-3.9595
F10	-3.40883333333333
FAM134C	0.9
COMP	4.34875
EFCBP1	-3.40893333333333
SCLT1	-0.144375
TAL1	-1.2644
ACSL1	2.48825
ABCC5	1.4805
ABL1	-0.310166666666666
RBBP7	4.65375
PTPRG	-0.800375
NCOR1	0.0671
SPINK4	1.101
TXNRD1	0.4143
TNRC15	-0.248375
C9orf138	1.312375
UBE2H	1.92266666666667
BRDT	-0.107
C8orf31	0.0955
CCNE2	-0.0964545454545454
SLC6A8	-1.075125
CALCR	-4.7025
PPP1CB	0.288916666666667
ABHD8	-0.5305
ARF5	0.4932
SLC24A4	1.27175
CCT3	-0.15125
ZNF121	0.057125
SLC3A2	1.4167
OR13A1	0.3795
SLC5A10	-0.29325
RAD50	0.373375
IER5	-0.692625
MTHFD1L	-2.65725
MBTPS2	0.964333333333333
MVK	0.983875
NCL	-0.2301
PSMD10	0.5265
MOBP	0.0574285714285714
FLJ32894	-0.8525
HRH1	-1.453
C5orf30	0.99975
NUDT16L1	1.0564
RASGRP3	3.15283333333333
PRKRIP1	0.0898
CCDC75	-1.20925
LOC253970	0.413333333333333
KIAA1239	-0.368
MED21	0.04275
SYT11	0.607333333333333
NTSR2	-0.7485
EGFL11	0.262
CXorf59	-0.4245
OR2A25	0.55075
SPTBN2	0.96075
LRMP	-1.69016666666667
RNF111	0.3605
PTH	0.418
LOC619208	0.3095
KIAA0895	0.942
RANBP5	-1.36075
P2RY10	0.385833333333333
NME5	0.198
DDX21	-0.22625
LRSAM1	1.109
HDAC11	1.80033333333333
VMO1	0.52675
NOLA2	0.121833333333333
ADAR	0.86875
MTO1	-1.583
SF4	0.0708333333333333
P2RX1	0.00983333333333333
HBM	-0.06375
EN2	0.052
C14orf172	0.0335
TM9SF2	0.8682
INHBE	-1.15783333333333
TCTE3	-0.137916666666667
TOX2	-3.23525
CTAGE3	0.135
HBB	2.8289
MED15	-0.863166666666667
CASR	0.3085
C6orf66	-1.741
MTPN	-0.545875
UNC50	-0.479
C21orf33	0.55225
IRF2	1.51975
PGR	1.31183333333333
GPR84	1.72875
CROCCL1	-1.1325
SRPX	-2.3715
BRE	0.274333333333333
FGF10	0.127
SDC3	-0.811666666666667
ZRSR1	0.314333333333333
DKFZP434P211	-0.07025
SOX6	-0.328
RPUSD2	-0.84175
C14orf173	-0.642833333333333
MAPK11	-1.33516666666667
TBC1D22A	0.4705
FAM123A	-1.2935
COL4A6	-2.95483333333333
TOMM70A	0.855
NAB1	-1.200375
MGC16385	-0.218125
TSPAN18	-0.9535
MED31	-0.90825
PLG	-0.357
CAPSL	4.2195
ZNF532	0.3639
ASB14	0.0856666666666667
CA8	0.149
NUDT16P	2.68333333333333
SLFN11	0.44
LRRIQ2	-0.171875
NOL7	-0.195666666666667
BRMS1L	-0.83525
JARID1A	0.0593333333333333
PANK2	-0.29075
ICAM3	-0.9055
MDS1	-0.40975
TAF8	-0.56875
RNF139	1.19875
ZNF594	-0.4085
ADAM8	1.70975
SFTPC	-0.01425
MAN2B2	0.86625
RGS12	0.4285625
EIF1AY	-4.77018181818182
LRRIQ1	-0.793833333333333
GPR150	0.1485
CCDC21	-0.121333333333333
PRRG3	0.17625
SAA4	-4.052
RAPGEF5	0.930375
ZCCHC2	-0.77075
MGC39372	0.8145
PPP4R2	0.925333333333333
CDCA2	-1.43583333333333
OR4D5	0.7335
PTGFRN	2.2263
SIGLEC5	1.11383333333333
C19orf61	-0.0573333333333333
NMUR2	0.803
KIAA1586	-1.76383333333333
DAGLA	0.0946666666666667
CHCHD6	-0.21475
GPR32	0.6405
NEUROD6	0.496333333333333
SLC2A4RG	0.905125
CA5B	-0.16725
FBXL3	0.618
MPHOSPH9	-0.38825
HMG2L1	0.637
HCN4	0.00833333333333332
CEACAM19	1.0515
SH2D4B	0.595166666666667
HFE2	-0.388
TGM4	0.2026
LYPD2	0.208
TBC1D15	0.7705
MRPS21	-0.221
NONO	-0.2461
CLEC5A	0.741375
ITCH	0.00270000000000001
MGAT3	-0.773
MBP	-0.946
RPP25	0.234
SOSTDC1	-2.433
HRC	-1.5335
TRIM48	0.1895
TMEM133	0.381
ECEL1P2	-1.55825
HOXC11	2.467
DOK5	-0.862
HELZ	-0.207666666666667
LOC348180	-0.4
MGC33894	0.19575
ADRB3	0.1995
DMD	-0.43575
PTRH2	-1.29325
MPEG1	3.13633333333333
NDUFA12	0.481666666666667
KRTAP2-4	0.138083333333333
STAMBPL1	-0.86
ADCY2	1.0385
UNQ6125	1.26
KLHL20	-0.0575
SRM	-0.4845
OTC	0.0145
TMIE	-0.833833333333334
SNX8	-0.357
LIPK	-0.509
CHURC1	-0.814083333333333
KLC2	0.37
HDAC1	-0.0543333333333333
FAM128A	-0.153333333333333
FNDC3B	0.2872
MTCP1	0.275333333333333
WFDC10B	0.1188
PCDHGB3	-0.06
ATRNL1	2.3279
CAV2	-1.04075
MED26	-0.2065
DUS1L	0.000750000000000008
CHRM3	-1.891125
NEK9	0.93225
WARS2	-0.027
TBX22	-0.1695
TOMM40	-0.51975
RP6-213H19.1	-1.29166666666667
TUBGCP5	-0.66825
IGSF6	4.837
TPPP	1.83833333333333
UNQ6190	0.122
GSTM5	-0.281
BTD	1.04533333333333
PDCD1LG2	0.498333333333333
SNRPB2	0.222166666666667
ERICH1	-1.508875
APOA4	-2.366
HOXA11	-1.9795
NARG1	0.282875
MKX	-0.49525
RAB28	0.3475
PKP3	1.74525
SH3GL2	-2.2725
CTSO	3.707
RPN2	0.4895
IL28RA	-0.191333333333333
SFMBT1	0.80475
WDR57	0.0695
FER1L3	1.49066666666667
HSF5	0.290333333333333
TTC9B	0.1835
C4BPA	-4.02083333333333
ALB	-3.76592857142857
SORBS3	-1.10575
UPF2	0.8405
JPH1	1.154
AGBL2	0.186
DOPEY1	2.1725
TERF1	-0.267833333333333
KIF22	0.232166666666667
NINJ1	2.23325
SEC61A2	-0.302666666666667
HIST1H1D	-1.20166666666667
SFXN4	0.362375
UCP3	0.0776
ZNF703	0.206
MYL6B	0.0295
TREM1	1.53875
OR52E6	0.205
CKMT2	-0.40275
HLA-C	2.337
SLC13A3	0.706166666666667
TIMP4	-2.63
SLIT2	1.9845
RSF1	-0.0383888888888889
LONRF1	-0.449142857142857
MON1A	0.116
CACNG6	-1.82633333333333
DPPA4	-5.38233333333333
ZSWIM3	0.222
ZNF804A	0.387666666666667
CCIN	1.21875
SLC25A31	-0.6325
KCNMB4	-0.609
RABL5	0.738375
GALNS	-0.5231
STX6	0.278375
HIST1H1C	-1.65016666666667
CIDEB	0.8915
CASP4	0.0843333333333333
PDK3	1.0398
KCNJ11	2.276
TPR	-1.012125
ZSCAN20	-0.7115
MTX2	-0.124
HIST1H2BH	-0.67575
LOC283767	0.598
LYRM7	-1.06505555555556
BRD3	0.8885
HIST1H2BO	-0.825
MAGEB10	0.961
SLC45A1	0.3545
SERPINA3	0.36655
KIAA0143	1.51525
KCNJ16	0.0758333333333333
KRT79	1.347
FABP2	-0.84975
NUT	0.10175
ZNF57	-0.6405
FBXL4	0.22675
CLEC9A	1.5485
UGT8	-1.329
BMP2K	0.2105
MAPK4	-3.871
SLC25A23	-1.7767
HINT1	-0.9148
KRTAP13-1	0.325
SFXN5	0.0449
CHCHD2	0.12025
FAM3D	2.842
NDP	-2.6505
RHOBTB1	-0.836666666666667
SLC4A4	-1.913
RPL38	-1.451
HTF9C	-0.913166666666667
AP2A2	0.5845
ZBTB46	-0.522
MAP7D1	0.289
AOX1	-1.9185
CYR61	0.377083333333333
DTNA	-0.471142857142857
JRKL	0.223
TMOD3	-0.01875
EEA1	0.764
ADCK5	1.1885
IL1R1	4.47983333333333
KLK3	0.393357142857143
HRSP12	-0.17425
KTN1	-0.62475
LOH11CR2A	0.8318
RELL2	-2.25925
MAB21L1	1.23575
C20orf59	-1.48883333333333
PHKB	0.20475
ADAM2	-2.2058
TBC1D8B	0.9605
FAM13A1	-0.3836875
LAPTM4B	0.164416666666667
LCN8	-0.3195
TMEM147	0.138
SYT4	0.1295
XPO7	-1.094
C9orf62	-0.21675
GPR75	-0.3215
TRIM5	0.797875
APOC1	-0.243666666666667
RNASE4	0.542333333333333
PARD6B	-0.10325
ARID1A	0.962583333333333
TPD52L3	0.288
RRAGB	2.03183333333333
RCN2	-0.823833333333333
HIST2H2BE	0.066125
STARD7	0.5465
SHMT2	0.4825
KIAA1751	0.793333333333333
MLYCD	-0.035375
LOC162632	-0.4859
UQCRH	-1.65775
RP11-217H1.1	0.72275
SDHA	-0.5245
NCLN	-0.3317
ZNF17	1.15516666666667
RCBTB2	-1.995
VEGFB	0.4612
RP4-747L4.3	-1.31025
COLQ	0.1401
MPN2	-1.15283333333333
DRG2	-0.33875
KLRB1	4.135
ALPK2	-3.5615
DNASE2B	2.03425
FLJ23834	1.61516666666667
AXUD1	1.6235
SAFB	-0.5
NSUN4	0.3355
RFX2	0.804666666666667
MAPK8IP1	-1.211
FANCD2	-0.339857142857143
ANKZF1	-1.32133333333333
C19orf50	-0.936375
DUSP8	1.5275
SENP5	0.473625
NFKBIL2	0.45925
LBR	-1.1745
IGFL1	0.4595
LZTS2	0.871375
IL2RG	-0.704875
CCDC51	0.36225
KLF3	0.969125
ANKRD37	0.43925
KCTD14	-1.64966666666667
FZR1	0.464333333333333
SLC44A4	4.1794
ESPL1	-1.21575
GMPR2	0.7478
TBC1D19	0.6395
ERGIC1	0.986962962962963
ERBB4	3.2065
TSPAN32	0.293666666666667
MAP4	0.662625
GPHN	-0.6015
SLC6A2	0.01525
HIVEP1	1.282
DFFB	-0.3329
EIF4EBP2	1.188
DMRT1	0.08775
HSPB6	-0.36975
IER2	-0.149166666666667
AIFM1	0.5385
WWC2	0.302166666666667
MRPL4	-0.79425
FLJ21062	1.63683333333333
EPB41L4A	1.70375
SH2D6	0.42425
TAF4B	-0.89925
GAL3ST3	-0.1475
MALT1	-1.24716666666667
RTDR1	-0.14775
ARVCF	0.102
MEX3B	-1.1785
FBXO16	1.134
KIF7	-1.539
C1QC	3.87283333333333
ZNF783	-0.228333333333333
ZNF85	-0.5425
MMP13	4.1945
KIAA0329	-0.056
RTP3	-0.962
ZBED3	0.05425
CLGN	1.7815
SLC25A37	-1.83870833333333
hCG_18290	-0.5335
OR5AS1	0.9485
SMARCC2	0.783583333333333
FAM109A	0.344833333333333
CCDC12	0.1895
USF2	1.2063
DEPDC7	-2.076
C20orf24	-0.246
JMJD3	1.326
DSP	0.516428571428571
SLIC1	0.3425
FAM20A	1.486
IRF2BP2	0.634
ZNF230	0.438
MSN	-1.03857142857143
SLC9A5	-2.466
EPDR1	-1.6734
MUSK	0.262666666666667
ZNF434	0.859333333333333
SMARCD1	-0.0111666666666666
ZFP106	-0.79825
ZNF347	0.1676
GTF2E1	0.29875
RY1	-0.401
ATAD2B	-0.25225
