Hybridization REF	TCGA-A2-A0CM-01A-31R-A034-07
LOC158381	0.0355
CDH8	-0.0305
AGPS	-0.0566666666666667
C4orf18	1.61675
PECI	-2.76116666666667
UNG	-0.131125
GSTP1	0.65625
DCUN1D5	-0.414166666666667
DKFZP564J0863	0.21325
SLC9A3R1	0.110625
BCDO2	-0.522125
CHMP7	0.14575
REM2	-0.1725
DNHD1	0.006
FKBP4	-0.136375
ZNF350	0.89425
MGC11102	-0.019625
BST1	1.357
KISS1R	0.5035
NCR2	0.257
DEFB125	0.226
UBE2W	1.141
KRT15	2.799625
C10orf99	0.635
SCN11A	-0.18925
GFI1	-0.626
RDHE2	-0.998833333333333
FHL1	-2.00016666666667
OSGEP	0.826
GATA1	-3.5735
SMC6	-0.24375
TTTY14	-1.112
LPIN3	0.0615
RPL4	0.03
RBPMS	-0.0885
PRPF3	0.545666666666667
EMR1	0.583
SPATA19	0.164
XCR1	0.5165
IRX3	1.2361
RBM6	-0.8185
KLF4	0.1704
UNC5CL	-0.7155
SEBOX	0.373
BTK	0.09775
KRCC1	0.41525
C6orf27	0.367
SYTL5	-1.1745
PRND	1.71471428571429
LOC653319	-0.9025
PIGL	-0.759875
HUS1	-0.114666666666667
SFRS6	0.33775
C17orf77	0.5615
UIMC1	-0.364666666666667
FXYD2	-1.6643
LOC283152	-0.491
ZNF667	-0.3275
ZCCHC12	-0.59125
TFEC	4.5299
ATP7B	-2.28833333333333
POLD2	-1.04066666666667
RG9MTD1	0.77225
ACOT2	-0.504333333333333
HIST1H4I	-0.491125
PPARGC1A	-1.7343
ETFA	-1.0187
POLRMT	-0.265
ZNF146	0.39925
MIA2	-2.7275
KLHL6	0.352666666666667
HOXB5	-1.74875
NENF	0.657666666666667
CUGBP1	0.3375
PRSS22	1.93616666666667
CASC4	0.6683
CUL4B	0.256
CENPJ	-0.2655
PITX1	0.430166666666667
FLJ31033	1.409
CELSR3	0.7015
ZNF568	-0.9525
ITSN1	-1.36975
EHBP1L1	-0.4595
C19orf2	1.9305
DCTN1	-0.02625
LIN28B	-3.609
TNKS2	0.32
C1QBP	-0.172
CADPS2	0.1455
SRMS	0.2345
GJA9	0.332166666666667
MGC24975	-0.327833333333333
TRIM45	-1.02533333333333
TSP50	0.21975
TCP1	0.858
TMED7	-0.1041
CMA1	-1.311
CENPL	0.2735
PTCRA	0.247
FST	-2.872
VWCE	-4.4285
PAWR	0.855
ABCC12	0.382166666666667
LDLR	-0.8779
ASTN2	-1.1223
LOC441212	-0.08575
GPATCH8	-0.30575
TANC2	-1.29675
KIF4A	-0.22875
C18orf18	-3.348
PGM1	-0.938
KIAA0258	0.43025
CPD	-1.3125
SNCAIP	-2.00875
DCT	-4.3335
HLA-DOA	3.35227272727273
OR11L1	0.478
UPK1B	0.440333333333333
DNAJB4	0.69675
UGT1A8	-0.0405
HIST1H4L	-0.264
PECR	-1.50766666666667
HSPA2	-0.66075
WFIKKN1	-2.1605
SERP1	0.815
SYDE2	-1.5385
TACR2	1.079
NUP85	0.10025
CD177	0.00216666666666666
LGR5	-1.357
PIGG	-0.524916666666667
PTHR1	-1.63883333333333
RAB5A	0.7319
FLJ13224	0.411
USP9Y	-1.8285
C7orf53	-0.1135
LRP1B	-1.31875
XAF1	3.4502
ABCG8	-1.0555
ANKDD1A	-0.158166666666667
DAND5	-1.152
SPAG6	0.613166666666667
LINCR	2.6325
ZDHHC22	-2.119875
CCDC60	0.3665
THOC7	-0.9625
TCTA	0.4923
OR8K3	0.396
NY-REN-7	-0.915333333333333
B2M	2.05333333333333
C6orf141	-2.380625
LPPR4	1.653
SQLE	-0.956375
SEPHS1	1.49125
BTBD14B	0.228428571428571
PLRG1	0.284
SPG7	-0.43375
ZNF614	-0.172166666666667
PARD6G	0.1165
INPP5B	0.3769
GRPEL2	0.402
PPID	-0.2621
TRIM56	-0.384
UBE2J1	0.168125
IL20RA	0.97425
LOC387856	-0.11275
C1orf107	1.04475
UTS2R	0.3645
C19orf22	0.0055
SAFB2	-0.5485
KIAA0652	0.004
KLRG1	-0.0751666666666667
MS4A8B	-0.114
FRAG1	0.7895
KIAA1546	0.56775
E2F4	-0.2611
CLEC4M	0.406666666666667
BTBD14A	-0.83875
KIAA0999	0.7346
GYPA	-4.20883333333333
TAC1	0.1984
TRAIP	-0.458333333333333
KIAA0232	-0.3652
ERCC8	-0.525875
GPX4	0.5
KIAA0368	-0.606125
GPR157	-0.287166666666667
CTAGE4	-0.184
C9orf30	-0.1585
OR52A1	1.0185
HSP90B3P	0.335
ALG9	-1.0157
BTBD10	0.9395
SDK2	0.2575
BAIAP3	-2.30775
RABGGTB	-0.347375
ANKRD40	-0.0403333333333333
KRT74	0.767
CALCOCO2	0.144428571428571
SNCA	-3.34775
TMSL8	-1.343875
C2orf53	0.9595
ESRRB	-0.5765
ARHGAP26	-0.914875
TDRD9	-3.209
HRAS	0.544333333333333
KLRC4	-1.889
JAGN1	0.219666666666667
BSDC1	0.2365
RNF43	-0.855
NDUFAF1	-0.09725
PHF12	0.2435
OR1L3	0.157
FOLR2	1.94366666666667
LYZL6	-0.1385
tcag7.1260	-2.012
WSB1	-1.3865
PROS1	0.0996
OSTN	0.5475
PSMB8	1.9235
SOCS4	-0.076625
DDIT4L	0.6875
MAS1	-0.011
MGC34796	0.61225
CSHL1	0.241
TBCCD1	0.872333333333333
ZBTB7C	0.008
AP2S1	-0.4965
P15RS	0.2334
VAT1	-0.7572
SHANK3	0.767166666666667
TUFM	-0.0995
THEG	-0.494
KRT34	-1.54525
SGSM3	-0.595875
TOMM22	0.0075
SOCS3	1.693
CPO	0.098
POP4	3.51725
BHLHB3	0.99625
MALL	2.78175
OR1B1	0.7745
PARK2	0.150166666666667
GPR124	0.069375
LCE1E	0.246
RUVBL2	0.10225
CGRRF1	-0.2082
ACPL2	-0.9195
WNT10B	-1.483625
BAIAP2L2	0.420625
ISCA1	-0.016
C1orf125	0.1935
RPAP1	-0.7315
RAI16	1.65716666666667
RPL27	-1.422
NLRP9	0.1785
EPN1	-0.0655
LOC388610	0.14875
SLC35A1	0.0396
GAL	-1.7835
SLC14A2	0.65
RDH11	-1.24566666666667
FAM138F	-0.2
AUH	-0.552
FLJ40243	0.139
C14orf129	0.00583333333333333
MBD2	-0.0698333333333335
ABHD14B	-0.5985
PIGT	-0.249125
ALS2CR4	-0.382625
ALAS1	0.2256
FOXO1	0.623833333333333
CRLF3	0.17375
C20orf107	0.182
FARS2	0.19125
CCDC28A	0.1475
NPHP3	-0.61175
OR13F1	0.302
TSEN54	-0.133
DEFB106B	-0.0539
OR8B4	0.125
STH	-1.21525
ZC3H14	-0.089
CBX2	-0.00600000000000001
TMEM49	-1.2355
C6orf21	0.559
FLJ20920	-1.250125
CRTAP	-0.814928571428571
DDX50	0.45825
STYXL1	-0.23825
BLVRB	-0.303166666666667
LOC147650	0.0585
MMP24	0.41825
GRID1	1.54383333333333
BANF1	-0.547333333333333
CTAGEP	-0.344
HMBS	-1.35125
SLC25A24	0.576833333333333
C14orf50	-0.136
MRO	1.49983333333333
SLC25A15	-0.15675
FAM84B	1.3965
TDP1	0.1945
C16orf78	0.232833333333333
C11orf57	-0.05
RFK	-0.50625
ZFYVE9	0.1035
STCH	-0.5776
WIBG	-0.2815
LOC283871	-0.336333333333333
GBA2	-0.4016
NDUFB3	0.00449999999999999
HSD17B13	-0.395
GRIN3A	2.5295
FMNL1	-0.0208333333333333
SEPT7	-0.3118
GNLY	4.9055
GRAMD1C	-0.073
ZNF165	1.5575
USP38	0.86075
FAM83A	-3.51416666666667
C14orf24	0.773
ARMCX3	0.928125
ARHGDIB	0.0405
AK1	0.441125
KIAA1045	1.3665
DNAJB13	-0.482
NEU2	0.725
HIST1H4B	-0.261333333333333
FAM20B	0.0288
HES2	0.853785714285714
FAM73B	-0.3816
LOC388381	0.0175
INTS7	0.179818181818182
AMPH	0.17425
ZNF775	-0.4595
UCKL1	0.103666666666667
C10orf97	-1.69925
C1orf161	-0.12075
ALDH1L1	-2.0195
FLJ39378	0.080125
SLC23A1	-3.0315
RBM4B	-0.51775
THAP4	0.436666666666667
OGFRL1	0.92525
KIAA0831	0.207375
PPP1R15A	0.885
C1orf96	0.392642857142857
C12orf11	-0.47225
BMF	0.68475
MAN1A1	-0.41175
KIAA1600	0.706833333333333
NLGN4X	-1.249
ALOX12	3.101
RB1CC1	0.8099
NEIL2	0.6204
EIF4E	0.3105
ABHD5	0.05825
EXOC4	-0.287
CIP29	-0.349833333333333
BATF2	2.831
SLC29A4	-1.340875
HTR4	0.5325
EMB	-0.79175
TRAF6	1.085
LMNB1	0.08475
FAM19A5	-1.068125
SHE	1.60475
PIK3C2B	0.581
C15orf15	-0.2944
USP15	0.0919
TCEAL2	-0.07625
C5orf39	0.560333333333333
PTGER2	-0.33375
SLC31A1	-0.851125
IFT172	1.33475
ADAM29	0.396
GFOD1	1.4595
ST7L	0.792
C15orf26	-2.3205
PKN3	-2.0855
CNTD1	-0.168
COMMD1	0.14225
NTRK2	3.0705
FOXN3	0.066875
MFGE8	0.6633
PFKFB2	0.724
TAS2R4	-0.29575
ENTHD1	0.917333333333333
PRMT5	-0.585625
MGC16384	-0.317125
LOC442229	0.643
TSKU	-1.1265
KRTCAP3	3.05075
PDLIM1	0.1197
KCNS2	0.30375
RNF126	-0.0665
CEP63	0.097375
CLIC4	0.588625
hCG_1990170	0.837
ACR	0.5481
KLK7	1.2205
ALOX5AP	3.38625
RIPK3	3.20475
TAS2R9	0.3315
C19orf18	0.259
BIRC6	0.103357142857143
ZNF16	0.72
RFT1	-0.46275
SLC8A2	-0.71825
TACC1	-0.217125
ITGAD	0.93025
SAMHD1	2.1515
SH3PXD2B	1.3824
EPC2	0.90675
C20orf85	0.42975
ATP13A2	0.107166666666667
KRT4	4.38725
CAPNS1	-0.2365
MDM2	-0.0649166666666666
PCDH20	0.39225
KCNK9	0.552
OR2C1	-0.0705
KLHDC3	-0.277666666666667
IPPK	-0.0205
EFHD2	0.25325
GALR3	0.4085
NBEA	-2.76266666666667
ABCA6	2.0457
CLDN3	1.90783333333333
AKT2	-0.484071428571429
EGFR	-0.0592
RBM16	0.530625
ZDHHC3	-0.1245
SLC25A4	-0.9565
CYB5B	-0.768
CPXM1	-0.05925
NDRG1	-1.46223076923077
FLJ43826	0.292
OR5L2	0.254833333333333
FARP2	-0.1143
MRPL46	-0.365666666666667
LDHAL6B	0.282166666666667
MAPKAPK3	-0.4255
NCAM2	-3.0305
PRKD2	0.390666666666667
ZFP36L1	0.6832
CYSLTR1	-0.584
OR4C3	-0.2635
HIST1H2AJ	0.4115
CCNB2	-0.289555555555556
ZNF10	0.01025
TMEM175	0.2565
FAM134A	0.669333333333333
TIGD4	-0.492
PCNP	-0.1625
MGC39715	-0.05075
LQK1	-0.60875
CREB1	0.702
TMPRSS3	-0.173
C4orf32	-0.287125
LAT	-0.5365
KCNA3	0.568
SKIV2L2	-0.79275
ROPN1B	3.97125
tcag7.23	-0.5425
CDT1	-1.527625
ZHX2	1.51925
CD28	-1.7585
ZNF624	0.382
SEPT2	0.89875
SOHLH2	-2.643125
MCOLN3	-0.938285714285714
UNQ1945	0.7195
MASP2	-1.1155
ZNRF3	-0.4843
GPATCH3	0.26775
AGL	-0.116625
QRICH2	-0.334
PSD4	0.107666666666667
CCNB1IP1	-0.62725
ENPP7	0.20025
OBFC1	0.0645
KCNG3	-2.48
C14orf79	0.163083333333333
ENPEP	1.35066666666667
SCT	1.752
SKI	1.305125
SEC61G	-0.695
CAPN11	-0.05025
ATXN7L3	0.056
DBNDD1	0.4985
FAIM	1.0705
ANKRD36	0.585
GABRP	5.329
TACSTD2	2.34233333333333
EIF3J	0.09675
PPP2R2A	0.37725
TEKT4	-0.8865
PVALB	-3.80233333333333
F10	-3.32466666666667
FAM134C	0.2259
COMP	4.734125
EFCBP1	-3.8114
SCLT1	1.21325
TAL1	-1.3382
ACSL1	2.2555
ABCC5	0.193333333333333
ABL1	-0.553833333333333
RBBP7	-0.441666666666667
PTPRG	-0.832125
NCOR1	-0.202
SPINK4	-1.4945
TXNRD1	-0.259
TNRC15	0.593375
C9orf138	0.918
UBE2H	0.661666666666667
BRDT	0.02
C8orf31	0.1585
CCNE2	-0.544545454545455
SLC6A8	-0.798875
CALCR	-4.55975
PPP1CB	0.994
ABHD8	-1.06725
ARF5	-0.3367
SLC24A4	1.19025
CCT3	1.50775
ZNF121	0.36725
SLC3A2	-0.8351
OR13A1	0.4095
SLC5A10	-0.43175
RAD50	-0.65225
IER5	0.774
MTHFD1L	0.251125
MBTPS2	-0.13925
MVK	-0.0975
NCL	0.8453
PSMD10	0.20875
MOBP	0.49275
FLJ32894	-0.2665
HRH1	-0.3685
C5orf30	-0.63025
NUDT16L1	-0.0876
RASGRP3	4.227
PRKRIP1	-0.4739
CCDC75	-0.0155
LOC253970	-0.00375
KIAA1239	-0.22575
MED21	-0.17725
SYT11	0.637333333333333
NTSR2	-0.384
EGFL11	-0.417
CXorf59	-0.177
OR2A25	-0.18725
SPTBN2	-0.000500000000000003
LRMP	-1.0665
RNF111	0.02225
PTH	-0.044
LOC619208	0.609333333333333
KIAA0895	-0.571
RANBP5	-1.673875
P2RY10	2.08383333333333
NME5	-0.916166666666666
DDX21	0.834
LRSAM1	-0.458
HDAC11	1.2985
VMO1	3.2315
NOLA2	0.278833333333333
ADAR	1.869
MTO1	-0.721666666666667
SF4	0.0341666666666667
P2RX1	0.250166666666667
HBM	0.003
EN2	0.615
C14orf172	1.403
TM9SF2	-0.6921
INHBE	-1.55183333333333
TCTE3	0.759166666666667
TOX2	-2.68575
CTAGE3	-0.22225
HBB	3.733
MED15	-0.710666666666667
CASR	0.0285
C6orf66	0.291833333333333
MTPN	-0.4135
UNC50	-0.4475
C21orf33	0.27175
IRF2	1.719625
PGR	-2.786
GPR84	4.012
CROCCL1	-1.71075
SRPX	-1.329
BRE	-0.114
FGF10	0.5585
SDC3	-0.123833333333333
ZRSR1	0.0531666666666667
DKFZP434P211	-0.62225
SOX6	0.268
RPUSD2	0.43525
C14orf173	0.818583333333333
MAPK11	-0.705333333333333
TBC1D22A	0.156
FAM123A	-1.439
COL4A6	-4.37733333333333
TOMM70A	0.4335
NAB1	-0.131125
MGC16385	0.266625
TSPAN18	0.532666666666667
MED31	-0.2685
PLG	-0.688
CAPSL	0.1215
ZNF532	1.9436
ASB14	0.001
CA8	0.87075
NUDT16P	-0.252
SLFN11	-0.1885
LRRIQ2	0.57025
NOL7	0.1995
BRMS1L	-0.248125
JARID1A	0.3705
PANK2	0.3895
ICAM3	-0.64675
MDS1	-0.8645
TAF8	-0.3465
RNF139	0.3465
ZNF594	0.1245
ADAM8	2.86975
SFTPC	-0.5075
MAN2B2	0.167875
RGS12	0.243375
EIF1AY	-4.92508333333333
LRRIQ1	0.052
GPR150	0.61175
CCDC21	-0.575666666666667
PRRG3	0.22575
SAA4	-3.29925
RAPGEF5	1.81575
ZCCHC2	0.493416666666667
MGC39372	1.0175
PPP4R2	0.434166666666667
CDCA2	1.67183333333333
OR4D5	0.713666666666667
PTGFRN	0.9334
SIGLEC5	1.956
C19orf61	0.227333333333333
NMUR2	0.397
KIAA1586	-1.51833333333333
DAGLA	-1.302
CHCHD6	-0.62375
GPR32	0.5765
NEUROD6	0.00700000000000002
SLC2A4RG	-0.332125
CA5B	-0.264
FBXL3	-0.18525
MPHOSPH9	-0.459
HMG2L1	-0.14625
HCN4	0.1955
CEACAM19	1.031
SH2D4B	0.408333333333333
HFE2	-0.884
TGM4	0.0172
LYPD2	0.42975
TBC1D15	0.2835
MRPS21	0.5464
NONO	-0.0336
CLEC5A	2.836625
ITCH	0.6342
MGAT3	-1.26833333333333
MBP	0.406125
RPP25	1.15575
SOSTDC1	-0.1345
HRC	-2.188
TRIM48	0.3715
TMEM133	-0.40825
ECEL1P2	-1.825
HOXC11	-1.2025
DOK5	-0.17325
HELZ	0.190166666666667
LOC348180	-0.093
MGC33894	0.3095
ADRB3	0.1565
DMD	-0.293833333333333
PTRH2	-0.43725
MPEG1	3.65616666666667
NDUFA12	0.558333333333333
KRTAP2-4	0.104
STAMBPL1	-0.769
ADCY2	0.298
UNQ6125	0.832
KLHL20	0.234166666666667
SRM	-0.42775
OTC	0.01975
TMIE	0.82
SNX8	0.36375
LIPK	0.168
CHURC1	0.603583333333333
KLC2	0.1435
HDAC1	0.127666666666667
FAM128A	-0.139333333333333
FNDC3B	0.491
MTCP1	0.697666666666667
WFDC10B	0.7377
PCDHGB3	0.172
ATRNL1	-3.4169
CAV2	0.005375
MED26	0.287
DUS1L	0.67725
CHRM3	-1.587875
NEK9	-0.0445
WARS2	0.642
TBX22	-0.8845
TOMM40	-0.099
RP6-213H19.1	0.862166666666667
TUBGCP5	-0.4095
IGSF6	5.4005
TPPP	-0.352666666666667
UNQ6190	-0.319
GSTM5	0.468
BTD	-0.344166666666667
PDCD1LG2	1.63333333333333
SNRPB2	0.219833333333333
ERICH1	0.957625
APOA4	-1.41125
HOXA11	-1.574
NARG1	0.181625
MKX	-1.08475
RAB28	-0.4185
PKP3	2.47975
SH3GL2	-2.20975
CTSO	2.68025
RPN2	0.17575
IL28RA	0.2925
SFMBT1	-0.03525
WDR57	0.669875
FER1L3	0.682333333333333
HSF5	-0.122333333333333
TTC9B	-0.021
C4BPA	-4.4415
ALB	-4.67307142857143
SORBS3	0.771375
UPF2	1.671
JPH1	1.302
AGBL2	0.21875
DOPEY1	1.235
TERF1	-0.029
KIF22	-0.248666666666667
NINJ1	0.269
SEC61A2	0.411416666666667
HIST1H1D	-0.353833333333333
SFXN4	0.241
UCP3	0.2974
ZNF703	0.589
MYL6B	-0.834
TREM1	2.79925
OR52E6	0.924
CKMT2	-0.1355
HLA-C	2.805
SLC13A3	0.214833333333333
TIMP4	-2.87575
SLIT2	1.7315
RSF1	-0.389333333333333
LONRF1	0.658642857142857
MON1A	0.0805
CACNG6	-2.14566666666667
DPPA4	-5.18683333333333
ZSWIM3	-0.1475
ZNF804A	0.857666666666667
CCIN	1.50375
SLC25A31	0.5365
KCNMB4	-1.38275
RABL5	-0.398125
GALNS	-0.1035
STX6	0.943
HIST1H1C	-1.2935
CIDEB	0.83
CASP4	0.525333333333333
PDK3	-0.1634
KCNJ11	-0.413
TPR	0.0245
ZSCAN20	0.449
MTX2	-0.113
HIST1H2BH	0.4655
LOC283767	0.38575
LYRM7	-1.44066666666667
BRD3	0.177666666666667
HIST1H2BO	0.10975
MAGEB10	0.1015
SLC45A1	-0.119
SERPINA3	-0.2594
KIAA0143	0.9555
KCNJ16	-0.407833333333333
KRT79	1.782
FABP2	-0.7425
NUT	-0.26525
ZNF57	0.01775
FBXL4	0.214375
CLEC9A	1.7135
UGT8	2.43983333333333
BMP2K	0.44325
MAPK4	-3.23
SLC25A23	-1.8646
HINT1	-0.6646
KRTAP13-1	0.5755
SFXN5	-1.256
CHCHD2	0.113
FAM3D	0.685
NDP	-3.934375
RHOBTB1	0.218666666666667
SLC4A4	-1.327875
RPL38	-0.76375
HTF9C	-0.382333333333333
AP2A2	0.48375
ZBTB46	0.0215
MAP7D1	0.907375
AOX1	-1.91383333333333
CYR61	0.855166666666667
DTNA	0.628142857142857
JRKL	0.85875
TMOD3	0.13225
EEA1	0.2987
ADCK5	0.06925
IL1R1	1.5655
KLK3	0.4625
HRSP12	0.12325
KTN1	0.0905
LOH11CR2A	-0.703
RELL2	-1.24075
MAB21L1	1.248
C20orf59	-1.3985
PHKB	-0.54325
ADAM2	-2.28983333333333
TBC1D8B	1.18333333333333
FAM13A1	-0.308
LAPTM4B	-0.0525
LCN8	0.2705
TMEM147	0.3515
SYT4	0.187333333333333
XPO7	0.1915
C9orf62	0.75025
GPR75	0.7655
TRIM5	1.462625
APOC1	0.618166666666667
RNASE4	-0.5245
PARD6B	-1.151125
ARID1A	0.338166666666667
TPD52L3	0.5233
RRAGB	0.9175
RCN2	-0.497166666666667
HIST2H2BE	0.3910625
STARD7	0.38225
SHMT2	-1.039
KIAA1751	0.516666666666667
MLYCD	-0.165375
LOC162632	-0.4375
UQCRH	-0.222
RP11-217H1.1	0.951125
SDHA	-1.13966666666667
NCLN	-0.5158
ZNF17	0.185166666666667
RCBTB2	-1.80825
VEGFB	-1.1571
RP4-747L4.3	1.823
COLQ	-0.1119
MPN2	-0.874
DRG2	-0.30275
KLRB1	5.3335
ALPK2	-1.87175
DNASE2B	0.508
FLJ23834	-0.4295
AXUD1	1.0515
SAFB	-0.1974
NSUN4	0.628
RFX2	-0.496333333333333
MAPK8IP1	-1.44883333333333
FANCD2	-0.151357142857143
ANKZF1	-0.608666666666667
C19orf50	-0.3995
DUSP8	1.187375
SENP5	0.888875
NFKBIL2	-0.0375
LBR	-0.46975
IGFL1	1.8655
LZTS2	0.749625
IL2RG	0.755875
CCDC51	-0.08175
KLF3	0.472
ANKRD37	-1.26775
KCTD14	-0.6775
FZR1	0.244833333333333
SLC44A4	-2.5621
ESPL1	-0.569625
GMPR2	-0.5832
TBC1D19	-0.147166666666667
ERGIC1	-0.620555555555556
ERBB4	-2.0923
TSPAN32	1.09033333333333
MAP4	0.241625
GPHN	-0.5005
SLC6A2	-0.211625
HIVEP1	1.06375
DFFB	0.6107
EIF4EBP2	1.056625
DMRT1	1.208
HSPB6	-0.306
IER2	0.465666666666667
AIFM1	0.2455
WWC2	-0.348
MRPL4	-0.276
FLJ21062	-0.874833333333333
EPB41L4A	-0.135
SH2D6	0.152
TAF4B	0.79875
GAL3ST3	-0.11
MALT1	-0.392
RTDR1	-0.041
ARVCF	-0.908375
MEX3B	0.614666666666667
FBXO16	0.318
KIF7	-2.13925
C1QC	4.1235
ZNF783	-0.358333333333333
ZNF85	-1.13775
MMP13	6.8155
KIAA0329	-0.09875
RTP3	-0.556
ZBED3	0.22025
CLGN	-4.6425
SLC25A37	0.378416666666667
hCG_18290	-0.51375
OR5AS1	0.4925
SMARCC2	-0.03375
FAM109A	0.154833333333333
CCDC12	-0.293
USF2	0.4248
DEPDC7	-1.63525
C20orf24	0.597833333333333
JMJD3	0.5675
DSP	2.319
SLIC1	1.203
FAM20A	1.88225
IRF2BP2	0.7145
ZNF230	-0.649
MSN	1.38678571428571
SLC9A5	-2.2255
EPDR1	-2.0009
MUSK	0.179666666666667
ZNF434	-0.229166666666667
SMARCD1	-0.632
ZFP106	-0.3045
ZNF347	-0.3102
GTF2E1	0.678
RY1	-0.334666666666667
ATAD2B	0.591875
ARHGAP17	0.1034
KCNIP3	-0.2525
