Hybridization REF	TCGA-AO-A12F-01A-11R-A115-07
DNAJB4	0.114375
UGT1A8	-0.3845
HIST1H4L	1.028
PECR	-1.00733333333333
HSPA2	0.72075
WFIKKN1	-0.9915
SERP1	-0.29475
SYDE2	1.761
TACR2	0.741
NUP85	-0.52475
CD177	-0.3785
LGR5	-2.23466666666667
PIGG	-1.08583333333333
PTHR1	-1.38616666666667
RAB5A	0.4921
FLJ13224	0.3865
USP9Y	-1.4965
C7orf53	0.6455
LRP1B	-1.39
XAF1	0.1378
ABCG8	-0.3665
ANKDD1A	-0.0178333333333333
DAND5	-1.9665
SPAG6	0.315833333333333
LINCR	0.0855
ZDHHC22	-1.08825
CCDC60	-0.676
THOC7	-0.807
TCTA	0.4596
OR8K3	0.72325
NY-REN-7	-0.2465
B2M	-0.3665
C6orf141	-0.50325
LPPR4	1.80775
SQLE	-0.439
SEPHS1	0.9355
BTBD14B	1.09035714285714
PLRG1	-0.633
SPG7	-0.57325
ZNF614	0.0746666666666666
PARD6G	1.28383333333333
INPP5B	-0.5374
GRPEL2	-0.3055
PPID	0.00679999999999993
TRIM56	-0.4835
UBE2J1	0.35875
IL20RA	2.8875
LOC387856	0.3695
C1orf107	0.95725
UTS2R	1.90475
C19orf22	-0.11
SAFB2	0.3165
KIAA0652	-0.570625
KLRG1	0.563666666666667
MS4A8B	0.180166666666667
FRAG1	0.19875
KIAA1546	-0.05675
E2F4	-0.6573
CLEC4M	0.137666666666667
BTBD14A	-0.33425
KIAA0999	0.1001
GYPA	-3.696
TAC1	1.1544
TRAIP	-0.0498333333333333
KIAA0232	-0.373
ERCC8	-1.66625
GPX4	-0.264
KIAA0368	-0.969875
GPR157	-0.869
CTAGE4	1.74
C9orf30	-0.619
OR52A1	0.35
HSP90B3P	0.4475
ALG9	-0.5925
BTBD10	-0.4625
SDK2	0.83475
BAIAP3	-1.48575
RABGGTB	-0.21275
ANKRD40	-0.6205
KRT74	0.2585
CALCOCO2	-0.721642857142857
SNCA	-3.147
TMSL8	-1.12175
C2orf53	0.321
ESRRB	-0.61575
ARHGAP26	-1.685
TDRD9	-1.9725
HRAS	-0.303833333333333
KLRC4	-2.059
JAGN1	-0.351833333333333
BSDC1	0.34475
RNF43	-1.947
NDUFAF1	0.172
PHF12	0.5605
OR1L3	0.00899999999999999
FOLR2	1.61116666666667
LYZL6	0.25
tcag7.1260	-0.6565
WSB1	-0.389833333333333
PROS1	-0.7301
OSTN	0.431
PSMB8	-0.903
SOCS4	-0.355375
DDIT4L	2.841
MAS1	-0.131
MGC34796	-0.24225
CSHL1	0.314666666666667
TBCCD1	0.145166666666667
ZBTB7C	0.591
AP2S1	-0.320375
P15RS	0.0618
VAT1	-0.6318
SHANK3	1.3185
TUFM	-0.468666666666667
THEG	-0.23875
KRT34	-1.944
SGSM3	0.094625
TOMM22	-0.15825
SOCS3	2.1115
CPO	-0.6555
POP4	0.14875
BHLHB3	2.46725
MALL	2.39275
OR1B1	0.748
PARK2	0.4535
GPR124	0.181875
LCE1E	0.214
RUVBL2	-0.23375
CGRRF1	-0.7972
ACPL2	-1.25475
WNT10B	-2.301125
BAIAP2L2	-1.407125
ISCA1	-0.12
C1orf125	-0.32675
RPAP1	0.033
RAI16	0.8625
RPL27	-0.062
NLRP9	0.1215
EPN1	0.5995
LOC388610	-0.20175
SLC35A1	0.4671
GAL	0.21675
SLC14A2	0.277
RDH11	0.3255
FAM138F	0.706
AUH	-0.9025
FLJ40243	0.37325
C14orf129	-0.639
MBD2	-0.495166666666667
ABHD14B	-0.8005
PIGT	0.2125
ALS2CR4	0.32925
ALAS1	0.0374
FOXO1	0.6015
CRLF3	0.25925
C20orf107	-0.35
FARS2	0.116
CCDC28A	0.129
NPHP3	-0.8065
OR13F1	0.7175
TSEN54	0.03175
DEFB106B	0.2246
OR8B4	0.2565
STH	1.67875
ZC3H14	-0.21075
CBX2	-0.347
TMEM49	-1.74475
C6orf21	0.5265
FLJ20920	-0.8575
CRTAP	-1.28778571428571
DDX50	-0.55625
STYXL1	-0.16025
BLVRB	-1.70833333333333
LOC147650	-0.926666666666667
MMP24	0.18825
GRID1	1.53116666666667
BANF1	0.0806666666666667
CTAGEP	-0.15925
HMBS	-1.05275
SLC25A24	-0.8005
C14orf50	-0.363
MRO	1.527
SLC25A15	0.408
FAM84B	0.1377
TDP1	-0.807
C16orf78	0.141
C11orf57	0.152625
RFK	-0.964
ZFYVE9	-0.97475
STCH	-1.0233
WIBG	-0.407
LOC283871	-0.0166666666666667
GBA2	-0.7834
NDUFB3	0.27025
HSD17B13	-0.88475
GRIN3A	0.674333333333333
FMNL1	-1.26416666666667
SEPT7	0.0417
GNLY	0.92
GRAMD1C	1.0485
ZNF165	0.15
USP38	0.5725
FAM83A	-2.17883333333333
C14orf24	0.919666666666667
ARMCX3	0.726625
ARHGDIB	-0.4805
AK1	-0.227
KIAA1045	-0.678
DNAJB13	-0.481
NEU2	0.54
HIST1H4B	0.322666666666667
FAM20B	0.2347
HES2	-0.213642857142857
FAM73B	-0.6001
LOC388381	-0.14825
INTS7	-0.111181818181818
AMPH	0.0585
ZNF775	0.82325
UCKL1	-0.5525
C10orf97	-0.55075
C1orf161	-0.03325
ALDH1L1	-0.739
FLJ39378	-0.269
SLC23A1	-2.3585
RBM4B	-0.00599999999999998
THAP4	0.0851666666666667
OGFRL1	3.75525
KIAA0831	0.207125
PPP1R15A	0.343833333333333
C1orf96	1.48064285714286
C12orf11	0.27125
BMF	-0.15
MAN1A1	-1.141125
KIAA1600	-0.4165
NLGN4X	1.742
ALOX12	-1.70316666666667
RB1CC1	0.6746
NEIL2	1.1208
EIF4E	0.0902727272727273
ABHD5	-0.075
EXOC4	-0.5075
CIP29	-0.0905
BATF2	-1.76275
SLC29A4	-0.11975
HTR4	0.083
EMB	-1.957
TRAF6	-0.3495
LMNB1	-1.00075
FAM19A5	-0.741375
SHE	1.7395
PIK3C2B	0.92375
C15orf15	-1.0189
USP15	-0.0118
TCEAL2	0.15575
C5orf39	-1.31433333333333
PTGER2	-1.86925
SLC31A1	-0.5836875
IFT172	1.05175
ADAM29	0.24975
GFOD1	-0.60075
ST7L	-0.0283333333333333
C15orf26	-1.9905
PKN3	-1.15625
CNTD1	0.3355
COMMD1	0.690875
NTRK2	4.49408333333333
FOXN3	-0.184375
MFGE8	0.6269
PFKFB2	1.2865
TAS2R4	0.3825
ENTHD1	-1.08583333333333
PRMT5	-1.269875
MGC16384	-0.593875
LOC442229	-0.91075
TSKU	-0.166
KRTCAP3	3.064125
PDLIM1	0.2918
KCNS2	0.35475
RNF126	-0.403666666666667
CEP63	-0.07925
CLIC4	-0.161875
hCG_1990170	-1.08925
ACR	0.8365
KLK7	6.3605
ALOX5AP	2.27975
RIPK3	2.01775
TAS2R9	0.451
C19orf18	2.6595
BIRC6	0.826428571428571
ZNF16	0.9555
RFT1	-0.60075
SLC8A2	-0.67175
TACC1	-0.345125
ITGAD	0.53075
SAMHD1	0.37525
SH3PXD2B	1.3831
EPC2	0.8145
C20orf85	0.313625
ATP13A2	-0.100333333333333
KRT4	0.2845
CAPNS1	-0.4065
MDM2	0.273666666666667
PCDH20	1.25475
KCNK9	0.041
OR2C1	-0.211
KLHDC3	-0.094
IPPK	-0.935
EFHD2	-0.891375
GALR3	2.019
NBEA	-1.20833333333333
ABCA6	2.7932
CLDN3	2.08183333333333
AKT2	-0.442071428571429
EGFR	0.0645
RBM16	1.23925
ZDHHC3	0.6139
SLC25A4	-1.05783333333333
CYB5B	-0.725166666666667
CPXM1	-0.7025
NDRG1	-0.59
FLJ43826	0.05425
OR5L2	0.131666666666667
FARP2	-0.3196
MRPL46	-0.861416666666667
LDHAL6B	0.2155
MAPKAPK3	0.1705
NCAM2	-4.0535
PRKD2	0.0691666666666667
ZFP36L1	0.947
CYSLTR1	-1.12125
OR4C3	-0.00549999999999998
HIST1H2AJ	1.057
CCNB2	-1.34555555555556
ZNF10	0.587125
TMEM175	1.092
FAM134A	0.565
TIGD4	0.0455
PCNP	-0.85875
MGC39715	0.384
LQK1	0.0425
CREB1	0.7775
TMPRSS3	-1.452
C4orf32	0.269375
LAT	-1.7065
KCNA3	-0.325
SKIV2L2	-1.65575
ROPN1B	4.07625
tcag7.23	-0.039
CDT1	-1.652375
ZHX2	1.186875
CD28	-3.4755
ZNF624	0.92725
SEPT2	0.395083333333333
SOHLH2	1.179125
MCOLN3	-1.112625
UNQ1945	0.6825
MASP2	-0.962
ZNRF3	1.4219
GPATCH3	-0.62825
AGL	-0.479
QRICH2	0.9585
PSD4	-0.354166666666667
CCNB1IP1	-0.599
ENPP7	-0.00750000000000001
OBFC1	-1.3675
KCNG3	-2.0855
C14orf79	-0.0726666666666667
ENPEP	2.73083333333333
SCT	0.4935
SKI	1.111
SEC61G	-1.0615
CAPN11	0.22325
ATXN7L3	0.0165
DBNDD1	0.928
FAIM	-0.22375
ANKRD36	1.2825
GABRP	5.18266666666667
TACSTD2	3.05666666666667
EIF3J	-0.762
PPP2R2A	-0.679
TEKT4	-0.134333333333333
PVALB	-3.1155
F10	-2.38533333333333
FAM134C	0.2352
COMP	4.077375
EFCBP1	-3.3275625
SCLT1	1.668375
TAL1	-0.9604
ACSL1	1.11075
ABCC5	-0.164083333333333
ABL1	-0.174888888888889
RBBP7	-0.722833333333333
PTPRG	-1.120375
NCOR1	-0.0229
SPINK4	-2.31966666666667
TXNRD1	-1.0497
TNRC15	2
C9orf138	0.86425
UBE2H	0.702166666666666
BRDT	0.0595
C8orf31	0.02775
CCNE2	-0.758909090909091
SLC6A8	-0.97125
CALCR	-4.84525
PPP1CB	1.295
ABHD8	-0.704
ARF5	0.7757
SLC24A4	0.5605
CCT3	0.5835
ZNF121	1.237625
SLC3A2	-1.422
OR13A1	0.5005
SLC5A10	-0.39475
RAD50	-1.6645
IER5	1.38325
MTHFD1L	-0.714875
MBTPS2	-0.191
MVK	-0.642375
NCL	1.2514
PSMD10	-0.677
MOBP	0.55925
FLJ32894	0.2235
HRH1	-1.00083333333333
C5orf30	-1.187
NUDT16L1	0.5938
RASGRP3	4.06583333333333
PRKRIP1	0.0389
CCDC75	1.792
LOC253970	0.91275
KIAA1239	5.20275
MED21	-1.064
SYT11	0.18925
NTSR2	-0.218
EGFL11	0.376
CXorf59	0.6135
OR2A25	-0.02975
SPTBN2	0.22675
LRMP	-1.84433333333333
RNF111	-1.348
PTH	0.487
LOC619208	0.253333333333333
KIAA0895	-0.6695
RANBP5	-0.896875
P2RY10	-0.479833333333333
NME5	1.155
DDX21	-0.40775
LRSAM1	-0.3555
HDAC11	-0.730333333333333
VMO1	3.185
NOLA2	0.666166666666667
ADAR	0.372916666666667
MTO1	-1.11033333333333
SF4	0.186166666666667
P2RX1	-0.1775
HBM	0.3845
EN2	1.7365
C14orf172	0.94075
TM9SF2	-1.6749
INHBE	-1.34566666666667
TCTE3	0.778833333333333
TOX2	-2.93175
CTAGE3	0.19625
HBB	4.8659
MED15	-0.488833333333333
CASR	0.329
C6orf66	0.702666666666667
MTPN	0.4945
UNC50	-1.3315
C21orf33	0.1765
IRF2	2.046875
PGR	-2.61466666666667
GPR84	1.68325
CROCCL1	-2.6875
SRPX	-0.67975
BRE	-0.433666666666667
FGF10	1.30875
SDC3	0.628
ZRSR1	-0.739833333333333
DKFZP434P211	-0.495875
SOX6	0.4885
RPUSD2	0.42025
C14orf173	0.0579166666666667
MAPK11	-0.236666666666667
TBC1D22A	0.2825
FAM123A	-0.499
COL4A6	-3.38416666666667
TOMM70A	-0.021
NAB1	1.8385
MGC16385	-0.14825
TSPAN18	0.5615
MED31	-0.546
PLG	-0.91925
CAPSL	-0.3595
ZNF532	1.6141
ASB14	0.30475
CA8	-3.576
NUDT16P	-0.614
SLFN11	0.063
LRRIQ2	1.58875
NOL7	0.0816666666666667
BRMS1L	-0.60675
JARID1A	1.52083333333333
PANK2	-1.17
ICAM3	-2.0285
MDS1	-0.67675
TAF8	0.26075
RNF139	-0.0755
ZNF594	1.0805
ADAM8	0.445125
SFTPC	-0.188375
MAN2B2	0.3695
RGS12	0.2060625
EIF1AY	-4.26354545454546
LRRIQ1	-1.81266666666667
GPR150	1.84775
CCDC21	-1.7115
PRRG3	0.489
SAA4	-3.12
RAPGEF5	1.56375
ZCCHC2	0.309916666666667
MGC39372	-0.3935
PPP4R2	0.880666666666667
CDCA2	-0.450333333333333
OR4D5	0.636833333333333
PTGFRN	0.2411
SIGLEC5	1.62133333333333
C19orf61	-0.642833333333333
NMUR2	0.301
KIAA1586	0.212166666666667
DAGLA	0.213166666666667
CHCHD6	-0.33175
GPR32	0.6275
NEUROD6	-0.053
SLC2A4RG	0.8534375
CA5B	-0.2945
FBXL3	-0.5135
MPHOSPH9	-1.35275
HMG2L1	0.49075
HCN4	1.095
CEACAM19	0.53925
SH2D4B	0.178833333333333
HFE2	-1.4565
TGM4	0.306166666666667
LYPD2	0.0675
TBC1D15	-0.68
MRPS21	0.7432
NONO	-0.2831
CLEC5A	2.54525
ITCH	0.876
MGAT3	-0.7945
MBP	-1.58125
RPP25	-1.327
SOSTDC1	3.89675
HRC	-1.64625
TRIM48	0.536
TMEM133	0.708
ECEL1P2	-1.2435
HOXC11	0.047
DOK5	-0.7875
HELZ	0.931666666666667
LOC348180	-0.2555
MGC33894	0.086
ADRB3	-0.0285
DMD	2.0125
PTRH2	-0.1765
MPEG1	2.84433333333333
NDUFA12	-0.507666666666667
KRTAP2-4	0.1705
STAMBPL1	-1.99066666666667
ADCY2	-1.1725
UNQ6125	0.5245
KLHL20	1.086
SRM	-0.581
OTC	-0.1245
TMIE	0.0325
SNX8	0.58225
LIPK	0.133
CHURC1	-0.1875
KLC2	0.634333333333333
HDAC1	-0.784666666666667
FAM128A	-0.121333333333333
FNDC3B	0.8718
MTCP1	0.17
WFDC10B	0.1266
PCDHGB3	0.213
ATRNL1	-2.8455
CAV2	0.45075
MED26	0.283833333333333
DUS1L	1.2035
CHRM3	1.44425
NEK9	-0.318
WARS2	0.5445
TBX22	0.0725
TOMM40	0.11775
RP6-213H19.1	-2.10566666666667
TUBGCP5	-0.9625
IGSF6	3.32725
TPPP	0.688166666666667
UNQ6190	0.361
GSTM5	0.195375
BTD	-0.375833333333333
PDCD1LG2	0.084
SNRPB2	-1.02766666666667
ERICH1	1.534
APOA4	-1.25625
HOXA11	-1.70475
NARG1	-0.15975
MKX	-1.84225
RAB28	-0.584714285714286
PKP3	0.3495
SH3GL2	-1.95475
CTSO	2.26125
RPN2	1.9621875
IL28RA	-0.0333333333333333
SFMBT1	1.53925
WDR57	-0.976875
FER1L3	-0.859916666666667
HSF5	-0.0581666666666666
TTC9B	0.24875
C4BPA	-3.8
ALB	-3.81421428571429
SORBS3	0.882625
UPF2	1.576
JPH1	0.974
AGBL2	-0.89175
DOPEY1	1.862
TERF1	-0.0149166666666667
KIF22	-0.8855
NINJ1	-0.953
SEC61A2	-0.255
HIST1H1D	1.50433333333333
SFXN4	-0.857
UCP3	0.4096
ZNF703	0.620833333333333
MYL6B	0.0025
TREM1	2.88725
OR52E6	0.3895
CKMT2	3.30475
HLA-C	1.08475
SLC13A3	-0.426333333333333
TIMP4	-1.4015
SLIT2	2.71975
RSF1	0.00572222222222219
LONRF1	-0.0344285714285714
MON1A	-0.0148333333333333
CACNG6	-1.08966666666667
DPPA4	-4.73266666666667
ZSWIM3	0.387
ZNF804A	0.1215
CCIN	1.971
SLC25A31	0.08675
KCNMB4	0.62375
RABL5	0.325375
GALNS	0.756
STX6	3.068875
HIST1H1C	-1.2515
CIDEB	-0.245625
CASP4	-0.330833333333333
PDK3	-0.5972
KCNJ11	0.003
TPR	1.458125
ZSCAN20	-1.554
MTX2	-0.0135
HIST1H2BH	1.14775
LOC283767	1.2995
LYRM7	-1.63022222222222
BRD3	0.601666666666667
HIST1H2BO	0.44625
MAGEB10	0.585
SLC45A1	0.3895
SERPINA3	-1.0474
KIAA0143	0.49025
KCNJ16	1.10583333333333
KRT79	-0.457
FABP2	-1.395
NUT	3.071
ZNF57	-0.1945
FBXL4	0.019875
CLEC9A	-0.0555
UGT8	3.3685
BMP2K	-0.49025
MAPK4	-2.87575
SLC25A23	0.1636
HINT1	-1.9826
KRTAP13-1	-0.0175
SFXN5	-0.304
CHCHD2	-0.217916666666667
FAM3D	4.625
NDP	-3.221125
RHOBTB1	0.299666666666667
SLC4A4	-1.404875
RPL38	0.7135
HTF9C	0.3885
AP2A2	0.0325
ZBTB46	-0.6405
MAP7D1	-0.58375
AOX1	-0.409833333333333
CYR61	1.11275
DTNA	-1.21285714285714
JRKL	0.72425
TMOD3	-0.3055
EEA1	-0.2068
ADCK5	0.76575
IL1R1	2.40683333333333
KLK3	0.7075
HRSP12	0.27075
KTN1	-0.1815
LOH11CR2A	-0.8778
RELL2	-1.435
MAB21L1	1.103
C20orf59	-1.12516666666667
PHKB	-1.1785
ADAM2	-2.08533333333333
TBC1D8B	0.0811666666666667
FAM13A1	0.185875
LAPTM4B	0.141666666666667
LCN8	0.0725
TMEM147	1.416
SYT4	2.315
XPO7	0.197
C9orf62	1.96775
GPR75	1.314
TRIM5	-1.02275
APOC1	-1.31416666666667
RNASE4	-1.494
PARD6B	-2.16375
ARID1A	-0.152166666666667
TPD52L3	0.337111111111111
RRAGB	-0.199666666666667
RCN2	-0.026
HIST2H2BE	1.289875
STARD7	0.72875
SHMT2	-1.4055
KIAA1751	0.150666666666667
MLYCD	-0.497625
LOC162632	0.3711
UQCRH	0.03225
RP11-217H1.1	0.505125
SDHA	-1.33083333333333
NCLN	-0.026
ZNF17	0.143
RCBTB2	-2.30025
VEGFB	-0.3138
RP4-747L4.3	2.5735
COLQ	0.8272
MPN2	-0.933
DRG2	-0.092
KLRB1	4.1535
ALPK2	-2.30175
DNASE2B	-0.06875
FLJ23834	-0.909333333333333
AXUD1	0.391833333333333
SAFB	0.6935
NSUN4	0.58525
RFX2	0.554833333333333
MAPK8IP1	-1.16066666666667
FANCD2	-0.648857142857143
ANKZF1	-0.6805
C19orf50	-0.427125
DUSP8	2.054875
SENP5	0.29375
NFKBIL2	0.00625000000000001
LBR	0.8205
IGFL1	-0.5105
LZTS2	0.828
IL2RG	-1.753
CCDC51	-0.21875
KLF3	-0.695375
ANKRD37	-1.65725
KCTD14	1.31666666666667
FZR1	-0.487
SLC44A4	-1.2626
ESPL1	-0.899875
GMPR2	-1.7575
TBC1D19	-1.31716666666667
ERGIC1	-0.0377037037037037
ERBB4	-0.8439
TSPAN32	-0.268833333333333
MAP4	0.00399999999999998
GPHN	-0.60775
SLC6A2	0.233125
HIVEP1	0.26825
DFFB	-0.8325
EIF4EBP2	0.192375
DMRT1	0.05275
HSPB6	-0.062
IER2	0.2955
AIFM1	0.2445
WWC2	-0.948833333333333
MRPL4	-0.5075
FLJ21062	0.247666666666667
EPB41L4A	0.734916666666667
SH2D6	0.16575
TAF4B	0.27525
GAL3ST3	-0.6005
MALT1	-1.3625
RTDR1	1.0545
ARVCF	0.64175
MEX3B	0.054
FBXO16	1.18025
KIF7	-0.94075
C1QC	4.4005
ZNF783	-0.2045
ZNF85	0.38275
MMP13	1.791
KIAA0329	0.257125
RTP3	-1.522
ZBED3	0.451
CLGN	-4.39625
SLC25A37	-0.517541666666667
hCG_18290	0.34475
OR5AS1	0.9205
SMARCC2	0.62
FAM109A	-0.1235
CCDC12	0.45275
USF2	0.7646
DEPDC7	-2.682
C20orf24	-1.01866666666667
JMJD3	1.3685
DSP	1.56157142857143
SLIC1	0.12875
FAM20A	1.140625
IRF2BP2	1.801
ZNF230	-0.583
MSN	0.419642857142857
SLC9A5	-1.44
EPDR1	-1.8376
MUSK	-0.382666666666667
ZNF434	0.1635
