Hybridization REF	TCGA-E2-A14T-01A-11R-A115-07
CELSR3	1.247
ZNF568	0.0965
ITSN1	-0.3195
EHBP1L1	-1.31366666666667
C19orf2	-0.2995
DCTN1	0.228
LIN28B	-4.2615
TNKS2	-0.20175
C1QBP	-1.806875
CADPS2	-0.35425
SRMS	0.287
GJA9	0.196833333333333
MGC24975	-0.900833333333333
TRIM45	-1.70316666666667
TSP50	0.4005
TCP1	-1.13525
TMED7	0.5833
CMA1	1.1265
CENPL	-0.809333333333333
PTCRA	0.4095
FST	-3.38875
VWCE	-3.26725
PAWR	0.01425
ABCC12	-0.166666666666667
LDLR	0.1142
ASTN2	1.3175
LOC441212	-1.69575
GPATCH8	0.2615
TANC2	0.188833333333333
KIF4A	-1.28125
C18orf18	-0.98975
PGM1	-1.404
KIAA0258	-0.854
CPD	0.9425
SNCAIP	-1.22375
DCT	-3.84983333333333
HLA-DOA	2.33813636363636
OR11L1	0.4275
UPK1B	-0.704
DNAJB4	-0.707375
UGT1A8	-0.15525
HIST1H4L	-1.348
PECR	-0.894666666666667
HSPA2	-0.3995
WFIKKN1	-1.473
SERP1	0.224625
SYDE2	3.99275
TACR2	0.0235
NUP85	-1.095
CD177	-0.378666666666667
LGR5	-2.34366666666667
PIGG	0.315
PTHR1	-1.527
RAB5A	0.4526
FLJ13224	-0.1235
USP9Y	-2.8044
C7orf53	-1.0265
LRP1B	0.466
XAF1	0.7493
ABCG8	-0.0305
ANKDD1A	-0.417166666666667
DAND5	-1.2155
SPAG6	-0.445166666666667
LINCR	-0.487
ZDHHC22	0.291125
CCDC60	1.116
THOC7	-0.942333333333333
TCTA	1.5443
OR8K3	-0.40825
NY-REN-7	-0.7665
B2M	0.147
C6orf141	-0.98
LPPR4	3.341
SQLE	0.015125
SEPHS1	-1.743
BTBD14B	0.100357142857143
PLRG1	-0.9
SPG7	0.2195625
ZNF614	-0.399333333333333
PARD6G	-0.0568333333333334
INPP5B	-1.3859
GRPEL2	-0.4205
PPID	-0.5984
TRIM56	0.2595
UBE2J1	-0.8615
IL20RA	6.105
LOC387856	0.987
C1orf107	0.90725
UTS2R	0.517
C19orf22	0.82175
SAFB2	0.143875
KIAA0652	0.21525
KLRG1	-0.850666666666667
MS4A8B	3.85766666666667
FRAG1	0.421
KIAA1546	0.77525
E2F4	-0.697
CLEC4M	0.104666666666667
BTBD14A	-1.34525
KIAA0999	0.5413
GYPA	-3.87533333333333
TAC1	0.1878
TRAIP	-0.936166666666666
KIAA0232	1.5637
ERCC8	-1.278375
GPX4	1.462875
KIAA0368	0.715
GPR157	0.134166666666667
CTAGE4	0.95
C9orf30	-1.38516666666667
OR52A1	-0.585
HSP90B3P	-0.0455
ALG9	-0.9047
BTBD10	0.8045
SDK2	-0.76175
BAIAP3	-1.209
RABGGTB	-1.12875
ANKRD40	0.714
KRT74	0.4435
CALCOCO2	1.32592857142857
SNCA	-3.07425
TMSL8	-4.32475
C2orf53	-0.236
ESRRB	-0.52925
ARHGAP26	-1.209375
TDRD9	-2.57875
HRAS	1.12833333333333
KLRC4	-2.5395
JAGN1	0.0515
BSDC1	1.30875
RNF43	0.9983
NDUFAF1	-0.02925
PHF12	0.5155
OR1L3	-0.01
FOLR2	2.14683333333333
LYZL6	0.0781666666666667
tcag7.1260	-2.041
WSB1	-0.8965
PROS1	-0.9604
OSTN	-0.41
PSMB8	0.064
SOCS4	-0.68075
DDIT4L	1.097
MAS1	0.1175
MGC34796	1.66675
CSHL1	0.258333333333333
TBCCD1	-0.246333333333333
ZBTB7C	0.3915
AP2S1	-0.69375
P15RS	0.6412
VAT1	0.4053
SHANK3	0.855166666666667
TUFM	0.642833333333333
THEG	-0.11525
KRT34	-2.14275
SGSM3	0.450125
TOMM22	-0.58125
SOCS3	0.747
CPO	-0.135
POP4	-0.083
BHLHB3	0.851
MALL	0.58975
OR1B1	-0.124
PARK2	0.523
GPR124	0.467625
LCE1E	-0.373
RUVBL2	-0.5805
CGRRF1	-0.436333333333333
ACPL2	-0.297
WNT10B	-2.146875
BAIAP2L2	-2.020625
ISCA1	0.1415
C1orf125	0.01975
RPAP1	-0.77625
RAI16	-0.562166666666667
RPL27	-0.455125
NLRP9	0.0305
EPN1	0.3095
LOC388610	-1.9345
SLC35A1	0.2118
GAL	-3.20625
SLC14A2	0.5295
RDH11	-0.329
FAM138F	-0.623
AUH	-0.0345
FLJ40243	-0.04275
C14orf129	-0.328333333333333
MBD2	0.131166666666667
ABHD14B	0.93675
PIGT	1.89275
ALS2CR4	-0.697125
ALAS1	0.4285
FOXO1	0.331666666666667
CRLF3	-0.41025
C20orf107	1.068
FARS2	0.064
CCDC28A	-0.326
NPHP3	-1.6435
OR13F1	0.2905
TSEN54	-0.40175
DEFB106B	0.1568
OR8B4	0.8745
STH	3.00775
ZC3H14	-1.096125
CBX2	-0.9025
TMEM49	-0.169
C6orf21	0.399
FLJ20920	0.10025
CRTAP	0.0983571428571428
DDX50	-0.79325
STYXL1	0.65675
BLVRB	0.470166666666667
LOC147650	-0.4915
MMP24	0.4045
GRID1	2.08316666666667
BANF1	-0.3695
CTAGEP	0.0965
HMBS	-1.71675
SLC25A24	0.4435
C14orf50	2.24325
MRO	1.542
SLC25A15	0.28225
FAM84B	1.4031
TDP1	-1.2635
C16orf78	-0.0793333333333333
C11orf57	-0.3275
RFK	-0.067
ZFYVE9	-1.695375
STCH	-0.6456
WIBG	-0.36175
LOC283871	-0.373
GBA2	-0.4224
NDUFB3	-0.68
HSD17B13	-0.10575
GRIN3A	1.42133333333333
FMNL1	-0.679833333333333
SEPT7	-0.055
GNLY	1.2085
GRAMD1C	2.9515
ZNF165	0.26925
USP38	1.17125
FAM83A	-2.003
C14orf24	1.08441666666667
ARMCX3	1.09575
ARHGDIB	-0.100333333333333
AK1	0.443
KIAA1045	-0.00525000000000002
DNAJB13	-0.0281666666666667
NEU2	0.3735
HIST1H4B	-0.308
FAM20B	-0.1556
HES2	-0.201692307692308
FAM73B	-0.2775
LOC388381	-0.54675
INTS7	-1.021
AMPH	0.57
ZNF775	0.105375
UCKL1	0.147
C10orf97	-0.40025
C1orf161	-0.3795
ALDH1L1	-0.02225
FLJ39378	-0.66525
SLC23A1	-1.573
RBM4B	-0.0215
THAP4	0.576
OGFRL1	-1.14625
KIAA0831	-0.51425
PPP1R15A	-0.206833333333333
C1orf96	-0.260357142857143
C12orf11	-1.68875
BMF	1.519125
MAN1A1	-0.4585
KIAA1600	-0.027
NLGN4X	-0.788
ALOX12	-1.53833333333333
RB1CC1	0.3481
NEIL2	-0.0943
EIF4E	-0.250863636363636
ABHD5	-0.50475
EXOC4	0.905833333333333
CIP29	-0.809166666666667
BATF2	2.219
SLC29A4	-0.38
HTR4	-0.02275
EMB	-0.5875
TRAF6	-0.2145
LMNB1	-3.62725
FAM19A5	-1.87675
SHE	1.88325
PIK3C2B	1.4525
C15orf15	-1.5993
USP15	-0.3582
TCEAL2	-0.01525
C5orf39	-1.46416666666667
PTGER2	-1.08525
SLC31A1	-0.1155
IFT172	0.95575
ADAM29	0.34125
GFOD1	-0.64625
ST7L	0.324166666666667
C15orf26	-2.80475
PKN3	-0.90175
CNTD1	3.3365
COMMD1	-0.4935
NTRK2	3.00783333333333
FOXN3	-0.31325
MFGE8	-0.3301
PFKFB2	1.1115
TAS2R4	0.0165
ENTHD1	2.19916666666667
PRMT5	-0.639
MGC16384	-1.266625
LOC442229	-1.7505
TSKU	1.4045
KRTCAP3	1.507125
PDLIM1	-0.2806
KCNS2	0.04275
RNF126	0.104833333333333
CEP63	0.236
CLIC4	-1.250375
hCG_1990170	-0.67825
ACR	0.1208
KLK7	4.04025
ALOX5AP	1.44275
RIPK3	3.574
TAS2R9	0.067
C19orf18	2.6175
BIRC6	0.0737142857142857
ZNF16	1.128
RFT1	0.0625
SLC8A2	2.02325
TACC1	0.031875
ITGAD	1.73325
SAMHD1	1.31125
SH3PXD2B	1.0612
EPC2	0.73125
C20orf85	3.830875
ATP13A2	0.628166666666667
KRT4	0.2045
CAPNS1	0.6105
MDM2	0.918333333333333
PCDH20	3.822
KCNK9	0.337
OR2C1	0.1125
KLHDC3	-0.27
IPPK	1.1515
EFHD2	0.363875
GALR3	0.49125
NBEA	3.6105
ABCA6	3.2821
CLDN3	2.65483333333333
AKT2	-0.634428571428571
EGFR	-2.5732
RBM16	0.1505
ZDHHC3	0.0763
SLC25A4	0.529166666666667
CYB5B	-0.620166666666667
CPXM1	-0.036
NDRG1	-0.178153846153846
FLJ43826	0.35275
OR5L2	0.402166666666667
FARP2	1.015
MRPL46	-0.943416666666667
LDHAL6B	0.5475
MAPKAPK3	0.111
NCAM2	0.171
PRKD2	0.427833333333333
ZFP36L1	-0.2164
CYSLTR1	-0.6085
OR4C3	0.49125
HIST1H2AJ	2.5015
CCNB2	-1.743
ZNF10	-0.26075
TMEM175	0.362
FAM134A	1.2505
TIGD4	0.9345
PCNP	-0.0685
MGC39715	-0.3015
LQK1	0.24025
CREB1	0.8441
TMPRSS3	-1.2845
C4orf32	0.48475
LAT	-1.33525
KCNA3	0.0825
SKIV2L2	-0.56175
ROPN1B	-2.08125
tcag7.23	-0.318
CDT1	-2.1395
ZHX2	0.236125
CD28	-2.49275
ZNF624	1.122
SEPT2	0.00524999999999998
SOHLH2	-1.121875
MCOLN3	-0.537375
UNQ1945	0.1425
MASP2	-1.496
ZNRF3	0.2821
GPATCH3	-0.018
AGL	3.815625
QRICH2	-0.326
PSD4	1.25066666666667
CCNB1IP1	-2.00125
ENPP7	-0.00650000000000001
OBFC1	-0.12725
KCNG3	-2.1665
C14orf79	0.968833333333333
ENPEP	2.4925
SCT	0.4305
SKI	0.737375
SEC61G	-1.332
CAPN11	0.91925
ATXN7L3	0.5835
DBNDD1	1.11266666666667
FAIM	-0.388
ANKRD36	0.0575
GABRP	2.51666666666667
TACSTD2	2.22483333333333
EIF3J	-0.79175
PPP2R2A	-1.81625
TEKT4	-0.146166666666667
PVALB	0.00683333333333334
F10	-2.52316666666667
FAM134C	1.2595
COMP	3.78
EFCBP1	2.533375
SCLT1	0.94575
TAL1	-1.1593
ACSL1	1.61725
ABCC5	1.0135
ABL1	-0.355277777777778
RBBP7	0.7525
PTPRG	-1.437375
NCOR1	-0.0605
SPINK4	-0.259333333333333
TXNRD1	-0.9729
TNRC15	1.37425
C9orf138	1.054
UBE2H	1.08066666666667
BRDT	-0.016
C8orf31	0.66725
CCNE2	-0.259545454545455
SLC6A8	-0.931375
CALCR	-4.15275
PPP1CB	0.437916666666667
ABHD8	-0.0315
ARF5	0.3741
SLC24A4	0.2655
CCT3	0.21125
ZNF121	0.26075
SLC3A2	-0.5101
OR13A1	0.1195
SLC5A10	0.65675
RAD50	0.419375
IER5	1.0695
MTHFD1L	-2.623375
MBTPS2	1.445
MVK	-0.3525
NCL	-0.7318
PSMD10	0.18725
MOBP	-0.071875
FLJ32894	0.307
HRH1	0.049
C5orf30	3.166
NUDT16L1	0.9035
RASGRP3	3.46516666666667
PRKRIP1	-0.2123
CCDC75	1.05175
LOC253970	0.30125
KIAA1239	0.9155
MED21	-1.20725
SYT11	0.171833333333333
NTSR2	0.4745
EGFL11	0.194
CXorf59	0.1585
OR2A25	0.23975
SPTBN2	0.053
LRMP	-1.90733333333333
RNF111	0.31125
PTH	0.0215
LOC619208	0.076
KIAA0895	1.4755
RANBP5	-0.636125
P2RY10	0.7175
NME5	4.04983333333333
DDX21	-0.89825
LRSAM1	1.0995
HDAC11	1.99683333333333
VMO1	1.89925
NOLA2	-0.0328333333333333
ADAR	0.8335
MTO1	-1.52783333333333
SF4	0.193833333333333
P2RX1	-0.084
HBM	-0.0905
EN2	0.536
C14orf172	-0.3505
TM9SF2	1.0461
INHBE	-0.658166666666667
TCTE3	-0.495416666666667
TOX2	-2.96675
CTAGE3	0.75375
HBB	3.3114
MED15	-0.829666666666667
CASR	0.9375
C6orf66	-1.7895
MTPN	0.84125
UNC50	-0.19325
C21orf33	-0.151
IRF2	0.9015
PGR	-2.179
GPR84	1.915
CROCCL1	-1.5805
SRPX	-1.877
BRE	0.178166666666667
FGF10	1.04325
SDC3	0.211166666666667
ZRSR1	1.39683333333333
DKFZP434P211	0.374
SOX6	-0.551
RPUSD2	-0.35775
C14orf173	-0.622083333333333
MAPK11	0.985666666666667
TBC1D22A	-0.1855
FAM123A	-0.3395
COL4A6	-0.137666666666667
TOMM70A	0.177
NAB1	-1.27375
MGC16385	0.49775
TSPAN18	0.097
MED31	-0.441
PLG	-0.94375
CAPSL	3.1415
ZNF532	0.1134
ASB14	-0.48775
CA8	-1.97875
NUDT16P	2.311
SLFN11	-1.3275
LRRIQ2	0.570375
NOL7	-0.585166666666667
BRMS1L	-1.14575
JARID1A	0.193833333333333
PANK2	-0.4945
ICAM3	-1.2565
MDS1	-0.17025
TAF8	-0.26775
RNF139	1.107
ZNF594	-0.231333333333333
ADAM8	2.52875
SFTPC	-0.144375
MAN2B2	1.921625
RGS12	0.3936875
EIF1AY	-4.45558333333333
LRRIQ1	1.10433333333333
GPR150	0.763
CCDC21	0.911666666666667
PRRG3	0.15225
SAA4	-2.33975
RAPGEF5	2.1105
ZCCHC2	0.532166666666667
MGC39372	-0.0795
PPP4R2	0.456166666666667
CDCA2	-1.95433333333333
OR4D5	0.515833333333333
PTGFRN	0.8686
SIGLEC5	1.61366666666667
C19orf61	0.0821666666666667
NMUR2	-0.1155
KIAA1586	-0.316333333333333
DAGLA	1.445
CHCHD6	-0.67625
GPR32	0.476
NEUROD6	0.104
SLC2A4RG	0.65925
CA5B	0.26
FBXL3	0.8495
MPHOSPH9	-1.53375
HMG2L1	0.17725
HCN4	0.4
CEACAM19	1.0255
SH2D4B	0.4835
HFE2	-1.4895
TGM4	-0.1328
LYPD2	0.059
TBC1D15	-0.1715
MRPS21	-1.2083
NONO	-0.6021
CLEC5A	0.810375
ITCH	-0.2724
MGAT3	-0.910333333333333
MBP	0.151875
RPP25	-0.04325
SOSTDC1	-0.17275
HRC	1.48525
TRIM48	-0.162
TMEM133	-0.98725
ECEL1P2	-1.24075
HOXC11	1.3055
DOK5	-1.71975
HELZ	0.708333333333333
LOC348180	-0.31625
MGC33894	-0.3075
ADRB3	0.028
DMD	-0.0438333333333333
PTRH2	0.283
MPEG1	2.58916666666667
NDUFA12	-0.981833333333333
KRTAP2-4	0.0350833333333333
STAMBPL1	-2.4735
ADCY2	-1.11766666666667
UNQ6125	0.39
KLHL20	0.898333333333333
SRM	-1.279
OTC	-0.153
TMIE	0.0458333333333333
SNX8	-0.88575
LIPK	-0.853
CHURC1	0.11575
KLC2	0.462
HDAC1	0.509333333333333
FAM128A	1.15516666666667
FNDC3B	-1.3937
MTCP1	-0.2175
WFDC10B	0.4228
PCDHGB3	0.9755
ATRNL1	0.7676
CAV2	-0.71725
MED26	0.157833333333333
DUS1L	-0.17675
CHRM3	-1.242375
NEK9	0.589
WARS2	-0.5775
TBX22	-1.2375
TOMM40	-0.29325
RP6-213H19.1	-1.1565
TUBGCP5	0.01875
IGSF6	4.6535
TPPP	1.59883333333333
UNQ6190	1.2545
GSTM5	0.499125
BTD	0.2575
PDCD1LG2	-0.107166666666667
SNRPB2	-0.505166666666667
ERICH1	-0.898625
APOA4	-1.4885
HOXA11	-1.57375
NARG1	-0.4695
MKX	-0.09625
RAB28	-0.411285714285714
PKP3	1.17525
SH3GL2	-2.652
CTSO	3.0655
RPN2	0.37725
IL28RA	-0.179333333333333
SFMBT1	-0.09275
WDR57	-0.699
FER1L3	0.975583333333333
HSF5	-0.0628333333333333
TTC9B	0.57975
C4BPA	-3.83483333333333
ALB	-5.27735714285714
SORBS3	-0.17775
UPF2	-0.0305
JPH1	-0.987
AGBL2	1.02875
DOPEY1	1.025
TERF1	0.0206666666666667
KIF22	0.111
NINJ1	-0.10025
SEC61A2	-0.43425
HIST1H1D	1.24383333333333
SFXN4	-0.30525
UCP3	-0.0924
ZNF703	1.135
MYL6B	-1.17675
TREM1	1.147
OR52E6	0.515
CKMT2	2.42425
HLA-C	1.010875
SLC13A3	-0.2185
TIMP4	-0.2505
SLIT2	2.25025
RSF1	0.235666666666667
LONRF1	-1.8355
MON1A	-0.186666666666667
CACNG6	0.58
DPPA4	-4.92283333333333
ZSWIM3	0.63425
ZNF804A	0.649333333333333
CCIN	1.76275
SLC25A31	0.238
KCNMB4	-0.9335
RABL5	0.68425
GALNS	0.5219
STX6	1.056125
HIST1H1C	1.74233333333333
CIDEB	0.74725
CASP4	-0.508666666666667
PDK3	0.5802
KCNJ11	1.4145
TPR	-0.1715
ZSCAN20	-0.5045
MTX2	-0.2805
HIST1H2BH	0.666
LOC283767	2.23975
LYRM7	-0.557888888888889
BRD3	0.921666666666667
HIST1H2BO	0.3275
MAGEB10	0.643
SLC45A1	2.05375
SERPINA3	-0.6373
KIAA0143	1.521
KCNJ16	0.3506
KRT79	0.03075
FABP2	-1.4145
NUT	-0.6575
ZNF57	0.213
FBXL4	0.26375
CLEC9A	0.152
UGT8	-1.1875
BMP2K	-0.25525
MAPK4	-3.40525
SLC25A23	-0.3187
HINT1	-0.7766
KRTAP13-1	-0.0575
SFXN5	0.4396
CHCHD2	0.06125
FAM3D	1.128
NDP	-2.971375
RHOBTB1	0.317166666666667
SLC4A4	-1.305
RPL38	1.15175
HTF9C	-0.064
AP2A2	0.76475
ZBTB46	-0.834
MAP7D1	0.639875
AOX1	-0.339833333333333
CYR61	0.494
DTNA	2.46264285714286
JRKL	-0.566
TMOD3	-0.20025
EEA1	-0.3844
ADCK5	0.31325
IL1R1	0.0505
KLK3	0.369142857142857
HRSP12	-0.8685
KTN1	0.56575
LOH11CR2A	0.2515
RELL2	1.4715
MAB21L1	1.349
C20orf59	-0.2485
PHKB	0.41875
ADAM2	-0.9755
TBC1D8B	1.57816666666667
FAM13A1	-0.9746875
LAPTM4B	0.206416666666667
LCN8	0.0325
TMEM147	0.205
SYT4	6.86566666666667
XPO7	-1.1655
C9orf62	0.85175
GPR75	0.06
TRIM5	-0.5075
APOC1	1.11216666666667
RNASE4	-1.63466666666667
PARD6B	-0.667875
ARID1A	0.382083333333333
TPD52L3	0.0712
RRAGB	0.664666666666667
RCN2	-0.5145
HIST2H2BE	1.4889375
STARD7	-0.8035
SHMT2	-1.92375
KIAA1751	0.907
MLYCD	1.282
LOC162632	0.8208
UQCRH	-1.1645
RP11-217H1.1	0.45875
SDHA	-0.3705
NCLN	-0.1716
ZNF17	0.222833333333333
RCBTB2	-2.317
VEGFB	0.438
RP4-747L4.3	-0.125
COLQ	0.3129
MPN2	-1.01816666666667
DRG2	-0.6105
KLRB1	4.9525
ALPK2	-2.93525
DNASE2B	3.13725
FLJ23834	0.940166666666667
AXUD1	1.223
SAFB	0.2822
NSUN4	-0.5975
RFX2	0.239166666666667
MAPK8IP1	1.44216666666667
FANCD2	-1.54964285714286
ANKZF1	-1.02216666666667
C19orf50	-0.208
DUSP8	1.988375
SENP5	-1.072
NFKBIL2	0.3135
LBR	-1.435625
IGFL1	0.278
LZTS2	-0.0485
IL2RG	-0.516625
CCDC51	0.2355
KLF3	-0.167125
ANKRD37	-0.46675
KCTD14	-2.02316666666667
FZR1	0.165
SLC44A4	2.8487
ESPL1	-0.912375
GMPR2	-0.309
TBC1D19	-0.794833333333333
ERGIC1	0.937333333333333
ERBB4	4.233
TSPAN32	-0.303333333333333
MAP4	-0.025
GPHN	-0.534
SLC6A2	0.357375
HIVEP1	-0.45675
DFFB	-0.5479
EIF4EBP2	-0.279375
DMRT1	-0.74525
HSPB6	0.08325
IER2	-0.195333333333333
AIFM1	0.504
WWC2	0.286333333333333
MRPL4	-1.00425
FLJ21062	1.76466666666667
EPB41L4A	1.55633333333333
SH2D6	0.31625
TAF4B	-0.39625
GAL3ST3	-0.1455
MALT1	-1.26433333333333
RTDR1	1.323
ARVCF	0.094625
MEX3B	-1.34033333333333
FBXO16	-0.183
KIF7	-0.99075
C1QC	3.43833333333333
ZNF783	0.124666666666667
ZNF85	0.7135
MMP13	4.0495
KIAA0329	0.071875
RTP3	-1.482
ZBED3	-1.13075
CLGN	-0.3785
SLC25A37	-2.55204166666667
hCG_18290	-0.28675
OR5AS1	0.0445
SMARCC2	0.350333333333333
FAM109A	-0.283333333333333
CCDC12	0.08225
USF2	0.6761
DEPDC7	-3.02725
C20orf24	-0.6465
JMJD3	0.528
DSP	0.549928571428571
SLIC1	0.28025
FAM20A	1.521625
IRF2BP2	0.51275
ZNF230	-0.248
MSN	-0.832214285714286
SLC9A5	-1.2645
EPDR1	-0.4947
MUSK	-0.478333333333333
ZNF434	0.296333333333333
SMARCD1	-0.0645
