Hybridization REF	TCGA-B6-A0RU-01A-11R-A084-07
GRB2	-0.41455
HIST1H2AD	0.58275
DUS3L	-0.742166666666667
EIF1	-1.038
RP5-1077B9.4	-1.22116666666667
FPGT	1.0655
GDF10	1.53433333333333
COQ9	0.767
GCC2	-0.836428571428571
RARRES3	1.787375
PLXNA1	-0.4178
KIAA0100	-0.8885
PMF1	0.233
FNDC1	4.3145
HS2ST1	0.364083333333333
CRELD2	0.7515
C8G	-1.7445
CD82	1.50125
LIM2	-1.444
UNQ6490	-0.1225
MMP16	0.4985
DRD3	-0.06025
C5orf26	-0.73825
C11orf73	-0.512
PTP4A2	-0.17725
OR4M2	0.6565
HPCA	-1.23433333333333
SEC14L1	-0.556333333333333
CHFR	-0.4425
EMILIN1	0.882125
NDUFS4	-0.6295
COL18A1	-0.318
PDZD3	-0.1301
C9orf16	-0.1785
ERBB2IP	-0.5025
EMX2	3.55125
FUS	-0.88125
TF	-3.1095
CLCN4	-0.0743333333333333
CXorf56	0.75225
C11orf72	0.14225
ELAC2	-0.827
NPR1	0.63625
ASS1	-0.363833333333333
USP42	-0.139375
POLR2J	-0.9575
SEC23IP	-0.121166666666667
UQCRC1	0.80525
LOC729603	-0.63175
C1orf71	-0.303
POLG	-1.316
ADAM23	-3.064
TFR2	-1.01925
RICTOR	-1.294
MGC39606	1.7395
C19orf55	-0.343
SNAPC1	-1.19566666666667
GNA11	0.81525
CCDC52	-0.613166666666667
FSIP1	0.056
UPF3A	-0.489125
IGSF11	-2.18233333333333
LAGE3	1.2045
CHST6	-0.9375
UNC13B	0.6095
TTLL4	-0.4825
ZNF687	-0.104625
SDC2	2.3196
COX7A2	-0.83075
LAMB4	0.07925
FAM24A	0.673
LRRTM3	-0.103
GPHB5	0.4085
OR4C13	0.0945
EIF3EIP	0.900857142857143
HABP4	0.32
TMEM125	1.73775
CNTN2	0.121875
ASNSD1	0.1675
FUT4	-0.689875
ACF	-3.363
LOC158381	-0.3415
CDH8	0.56225
AGPS	-1.23116666666667
C4orf18	2.06225
PECI	-0.152
UNG	-0.292625
GSTP1	-0.201125
DCUN1D5	-0.867833333333333
DKFZP564J0863	-0.1175
SLC9A3R1	-0.8225
BCDO2	-0.636
CHMP7	-0.3225
REM2	0.0645
DNHD1	-0.579
FKBP4	-0.844125
ZNF350	1.36325
MGC11102	-0.357875
BST1	0.86925
KISS1R	1.1465
NCR2	0.01
DEFB125	0.3945
UBE2W	1.383125
KRT15	3.89575
C10orf99	0.157
SCN11A	0.386875
GFI1	-2.57275
RDHE2	0.381166666666667
FHL1	0.7235
OSGEP	0.601
GATA1	-3.01366666666667
SMC6	-0.32
TTTY14	-1.32075
LPIN3	0.00475
RPL4	-0.2144
RBPMS	-0.1716
PRPF3	-0.5015
EMR1	-2.5055
SPATA19	-0.064
XCR1	0.5295
IRX3	2.1111
RBM6	-0.98075
KLF4	0.1168
UNC5CL	-1.20125
SEBOX	0.116
BTK	-1.41875
KRCC1	0.5735
C6orf27	0.182
SYTL5	-0.6915
PRND	1.236875
LOC653319	-1.2805
PIGL	-1.30775
HUS1	0.357333333333333
SFRS6	0.0834166666666667
C17orf77	0.5575
UIMC1	0.015
FXYD2	-1.736
LOC283152	-0.15175
ZNF667	1.82275
ZCCHC12	-0.3165
TFEC	1.2788
ATP7B	-0.8625
POLD2	-0.301166666666667
RG9MTD1	0.4415
ACOT2	0.680333333333333
HIST1H4I	-0.021125
PPARGC1A	0.2603
ETFA	-1.5583
POLRMT	-0.50125
ZNF146	0.084625
MIA2	-0.1095
KLHL6	-1.76016666666667
HOXB5	0.427
NENF	0.886833333333333
CUGBP1	-0.16675
PRSS22	1.01233333333333
CASC4	0.5358
CUL4B	0.0826
CENPJ	-1.2181
PITX1	-0.1165
FLJ31033	0.486166666666667
CELSR3	-2.00433333333333
ZNF568	0.3435
ITSN1	-0.14325
EHBP1L1	-1.05316666666667
C19orf2	-0.19075
DCTN1	0.43225
LIN28B	-2.12916666666667
TNKS2	-1.532
C1QBP	-0.565
CADPS2	0.3925
SRMS	0.336
GJA9	0.102
MGC24975	-0.802
TRIM45	-0.149
TSP50	-0.282
TCP1	-1.13775
TMED7	0.2021
CMA1	0.205
CENPL	0.178333333333333
PTCRA	-0.221
FST	-2.5505
VWCE	-2.08275
PAWR	-0.57775
ABCC12	-0.0436666666666667
LDLR	-0.617
ASTN2	1.6534
LOC441212	-0.71025
GPATCH8	-0.42475
TANC2	-1.24325
KIF4A	-0.30175
C18orf18	0.29175
PGM1	0.078
KIAA0258	0.22025
CPD	-0.08075
SNCAIP	-0.81325
DCT	-2.80466666666667
HLA-DOA	1.72481818181818
OR11L1	0.6085
UPK1B	0.075
DNAJB4	0.299875
UGT1A8	-0.066
HIST1H4L	0.468
PECR	-1.49733333333333
HSPA2	0.83925
WFIKKN1	-2.0255
SERP1	0.589375
SYDE2	0.19275
TACR2	0.325
NUP85	-0.4115
CD177	-0.466833333333333
LGR5	-1.077
PIGG	-0.302666666666667
PTHR1	-1.401
RAB5A	0.1472
FLJ13224	-0.2585
USP9Y	-0.6025
C7orf53	-1.179
LRP1B	-0.04525
XAF1	0.4736
ABCG8	-0.0975
ANKDD1A	-0.445666666666667
DAND5	-0.51
SPAG6	-0.106333333333333
LINCR	1.86225
ZDHHC22	-1.015
CCDC60	-0.065
THOC7	-0.978333333333333
TCTA	1.4614
OR8K3	-0.0145
NY-REN-7	-0.406
B2M	0.836833333333333
C6orf141	-1.055375
LPPR4	2.764
SQLE	0.64325
SEPHS1	0.01925
BTBD14B	0.533785714285714
PLRG1	-0.31775
SPG7	-0.571125
ZNF614	0.301166666666667
PARD6G	1.5485
INPP5B	-0.0796
GRPEL2	0.1075
PPID	-0.8168
TRIM56	-0.60775
UBE2J1	-0.05925
IL20RA	3.27825
LOC387856	0.41125
C1orf107	0.613
UTS2R	1.21775
C19orf22	-0.88725
SAFB2	-0.24575
KIAA0652	-0.01275
KLRG1	-0.636166666666667
MS4A8B	0.298333333333333
FRAG1	0.22675
KIAA1546	-0.0375
E2F4	-1.1109
CLEC4M	0.399166666666667
BTBD14A	0.01975
KIAA0999	0.1804
GYPA	-3.046
TAC1	0.8989
TRAIP	-0.379666666666667
KIAA0232	-0.4111
ERCC8	-0.58125
GPX4	-0.04025
KIAA0368	-0.246
GPR157	-0.757333333333333
CTAGE4	0.312
C9orf30	-0.637
OR52A1	0.6355
HSP90B3P	-0.287
ALG9	0.3512
BTBD10	0.57775
SDK2	0.35625
BAIAP3	-1.29125
RABGGTB	-1.247875
ANKRD40	-0.487
KRT74	0.343
CALCOCO2	-0.238285714285714
SNCA	-2.51725
TMSL8	1.382
C2orf53	0.093
ESRRB	-0.212
ARHGAP26	-1.0745
TDRD9	-0.65375
HRAS	0.294666666666667
KLRC4	-2.498
JAGN1	0.4105
BSDC1	-0.0915
RNF43	-0.9137
NDUFAF1	-0.097
PHF12	-0.1365
OR1L3	0.21
FOLR2	1.62283333333333
LYZL6	-0.202666666666667
tcag7.1260	-1.083
WSB1	-2.06833333333333
PROS1	0.5224
OSTN	0.414
PSMB8	1.05925
SOCS4	0.12325
DDIT4L	2.137
MAS1	0.1905
MGC34796	0.61225
CSHL1	-0.00383333333333333
TBCCD1	0.996166666666667
ZBTB7C	-0.102
AP2S1	0.25975
P15RS	0.3786
VAT1	-0.9089
SHANK3	1.1005
TUFM	0.136833333333333
THEG	-0.788
KRT34	-1.9355
SGSM3	0.202875
TOMM22	0.866875
SOCS3	0.940666666666667
CPO	0.843
POP4	0.705
BHLHB3	0.5555
MALL	2.60025
OR1B1	0.013
PARK2	0.239833333333333
GPR124	0.6295
LCE1E	-0.0305
RUVBL2	0.3145
CGRRF1	0.5229
ACPL2	0.0825
WNT10B	-1.307625
BAIAP2L2	-0.38225
ISCA1	0.508
C1orf125	-0.2475
RPAP1	-0.637
RAI16	-0.157
RPL27	-0.539625
NLRP9	-0.0615
EPN1	0.424
LOC388610	0.17575
SLC35A1	0.3348
GAL	-3.393
SLC14A2	0.1555
RDH11	0.3855
FAM138F	-0.165
AUH	0.138
FLJ40243	0.352
C14orf129	0.2405
MBD2	-0.555333333333333
ABHD14B	0.199125
PIGT	0.50875
ALS2CR4	0.48425
ALAS1	0.4886
FOXO1	1.33933333333333
CRLF3	-0.657
C20orf107	0.1405
FARS2	0.81525
CCDC28A	0.31075
NPHP3	-0.676
OR13F1	0.3885
TSEN54	-0.24575
DEFB106B	0.0102
OR8B4	0.2295
STH	-0.68925
ZC3H14	0.15375
CBX2	0.096
TMEM49	-1.7605
C6orf21	0.672
FLJ20920	-0.185375
CRTAP	0.261785714285714
DDX50	-0.27525
STYXL1	-0.1105
BLVRB	-0.580666666666667
LOC147650	0.0381666666666667
MMP24	0.40275
GRID1	0.984
BANF1	-0.435833333333333
CTAGEP	0.324
HMBS	-1.70225
SLC25A24	0.0771666666666667
C14orf50	-0.0175
MRO	0.706833333333333
SLC25A15	-0.90225
FAM84B	0.321
TDP1	0.1165
C16orf78	0.151
C11orf57	0.037875
RFK	-0.780625
ZFYVE9	-0.451375
STCH	0.0813
WIBG	-0.47125
LOC283871	-0.356166666666667
GBA2	-0.6682
NDUFB3	-0.29425
HSD17B13	-0.09425
GRIN3A	0.762666666666667
FMNL1	-1.42433333333333
SEPT7	-0.4409
GNLY	1.7405
GRAMD1C	1.44783333333333
ZNF165	0.11375
USP38	-0.20475
FAM83A	-2.79
C14orf24	0.436333333333333
ARMCX3	0.976125
ARHGDIB	-0.588833333333333
AK1	0.496875
KIAA1045	0.76225
DNAJB13	-0.598
NEU2	0.223
HIST1H4B	0.176833333333333
FAM20B	-0.4355
HES2	0.00899999999999999
FAM73B	-0.5287
LOC388381	0.039
INTS7	0.00409090909090909
AMPH	0.425
ZNF775	0.17575
UCKL1	-0.948333333333333
C10orf97	-0.2345
C1orf161	0.12175
ALDH1L1	0.29475
FLJ39378	-0.243125
SLC23A1	-2.024
RBM4B	0.20875
THAP4	-0.2715
OGFRL1	3.31375
KIAA0831	0.101
PPP1R15A	-0.196333333333333
C1orf96	0.974357142857143
C12orf11	-2.079
BMF	1.10275
MAN1A1	-1.335375
KIAA1600	0.2195
NLGN4X	2.106
ALOX12	-0.785666666666667
RB1CC1	0.3243
NEIL2	-0.00249999999999999
EIF4E	0.043
ABHD5	0.548
EXOC4	-0.0873333333333334
CIP29	0.0521666666666667
BATF2	-0.03225
SLC29A4	-0.25425
HTR4	-0.02725
EMB	-1.388
TRAF6	0.4775
LMNB1	-0.35325
FAM19A5	1.677
SHE	1.6105
PIK3C2B	0.963
C15orf15	-0.4715
USP15	-0.467
TCEAL2	5.20975
C5orf39	-0.1275
PTGER2	-0.76925
SLC31A1	-0.0369375
IFT172	0.23225
ADAM29	0.27
GFOD1	-0.36475
ST7L	0.6205
C15orf26	-2.25775
PKN3	-0.68325
CNTD1	0.995833333333333
COMMD1	0.6735
NTRK2	3.76458333333333
FOXN3	0.587375
MFGE8	1.1063
PFKFB2	0.2115
TAS2R4	-0.27325
ENTHD1	0.0626666666666667
PRMT5	0.01125
MGC16384	-1.605875
LOC442229	-0.15425
TSKU	-0.550125
KRTCAP3	2.579
PDLIM1	0.3181
KCNS2	0.2805
RNF126	-0.826666666666667
CEP63	-0.07025
CLIC4	0.1425
hCG_1990170	4.22425
ACR	1.1018
KLK7	3.13775
ALOX5AP	2.0365
RIPK3	1.71175
TAS2R9	0.3175
C19orf18	1.576
BIRC6	-0.407642857142857
ZNF16	2.122
RFT1	0.291
SLC8A2	-0.58825
TACC1	-0.11775
ITGAD	0.46075
SAMHD1	0.71675
SH3PXD2B	1.5159
EPC2	0.7835
C20orf85	0.04725
ATP13A2	0.161166666666667
KRT4	0.49025
CAPNS1	-0.348
MDM2	-0.333583333333333
PCDH20	2.365
KCNK9	0.0625
OR2C1	-0.0585
KLHDC3	0.324333333333333
IPPK	0.553
EFHD2	-0.775625
GALR3	1.298
NBEA	-0.603833333333333
ABCA6	2.6856
CLDN3	0.187166666666667
AKT2	-0.64
EGFR	-0.2635
RBM16	-0.288
ZDHHC3	0.072
SLC25A4	0.682166666666667
CYB5B	-0.625
CPXM1	1.11375
NDRG1	0.478461538461538
FLJ43826	0.10675
OR5L2	0.193666666666667
FARP2	-0.528
MRPL46	-0.434083333333333
LDHAL6B	0.099
MAPKAPK3	-0.1315
NCAM2	-1.192
PRKD2	-0.131166666666667
ZFP36L1	0.8624
CYSLTR1	-0.36125
OR4C3	0.1035
HIST1H2AJ	0.534
CCNB2	-0.572
ZNF10	-0.111625
TMEM175	0.453
FAM134A	0.302333333333333
TIGD4	0.1835
PCNP	0.05275
MGC39715	0.18925
LQK1	-0.749
CREB1	0.4147
TMPRSS3	-0.229
C4orf32	0.113625
LAT	-1.98683333333333
KCNA3	0.3085
SKIV2L2	-1.31925
ROPN1B	4.7665
tcag7.23	0.6315
CDT1	-1.62225
ZHX2	1.0305
CD28	-2.892
ZNF624	0.00975
SEPT2	-0.356166666666667
SOHLH2	-1.435125
MCOLN3	0.537875
UNQ1945	0.4365
MASP2	-1.0735
ZNRF3	-0.0208
GPATCH3	-0.37725
AGL	0.986625
QRICH2	0.5195
PSD4	-0.474166666666667
CCNB1IP1	-0.9855
ENPP7	-0.29375
OBFC1	-0.4465
KCNG3	-1.96775
C14orf79	-0.299666666666667
ENPEP	2.389
SCT	0.1635
SKI	0.47125
SEC61G	-1.255
CAPN11	0.53375
ATXN7L3	-0.68425
DBNDD1	0.491333333333333
FAIM	0.68275
ANKRD36	-1.1385
GABRP	4.07933333333333
TACSTD2	2.02716666666667
EIF3J	-0.6305
PPP2R2A	-0.47075
TEKT4	-1.43066666666667
PVALB	-3.61566666666667
F10	-2.208
FAM134C	0.3769
COMP	3.160125
EFCBP1	-1.2515
SCLT1	0.608375
TAL1	-1.0297
ACSL1	1.69025
ABCC5	-0.0911666666666666
ABL1	-0.435277777777778
RBBP7	0.535083333333333
PTPRG	-0.3635
NCOR1	-0.5414
SPINK4	-1.72483333333333
TXNRD1	-1.1304
TNRC15	0.39675
C9orf138	0.489
UBE2H	-0.0891666666666666
BRDT	0.0608333333333333
C8orf31	-0.1515
CCNE2	0.523818181818182
SLC6A8	-1.191375
CALCR	-2.9785
PPP1CB	1.488
ABHD8	0.71675
ARF5	0.5199
SLC24A4	0.9985
CCT3	-0.153
ZNF121	0.762
SLC3A2	-0.5169
OR13A1	0.2735
SLC5A10	-0.37875
RAD50	-0.411
IER5	0.28525
MTHFD1L	-1.50275
MBTPS2	0.378
MVK	-0.33275
NCL	0.0734
PSMD10	1.202
MOBP	0.37225
FLJ32894	-0.3725
HRH1	-0.700166666666667
C5orf30	-0.30225
NUDT16L1	0.6714
RASGRP3	3.89483333333333
PRKRIP1	-0.5524
CCDC75	0.416
LOC253970	0.05475
KIAA1239	0.2025
MED21	-0.65075
SYT11	0.0874166666666667
NTSR2	1.7165
EGFL11	0.045
CXorf59	0.495
OR2A25	0.05975
SPTBN2	-0.718
LRMP	-1.1895
RNF111	-0.19425
PTH	0.536
LOC619208	0.5245
KIAA0895	-0.12925
RANBP5	0.128
P2RY10	0.304333333333333
NME5	2.11933333333333
DDX21	-1.3975
LRSAM1	-0.4585
HDAC11	0.2155
VMO1	0.5885
NOLA2	0.304333333333333
ADAR	0.125916666666667
MTO1	-0.408833333333333
SF4	0.335833333333333
P2RX1	-0.4555
HBM	0.17
EN2	1.179
C14orf172	0.42375
TM9SF2	0.9561
INHBE	-1.0655
TCTE3	0.961166666666667
TOX2	-1.4725
CTAGE3	0.59175
HBB	4.0693
MED15	-1.03866666666667
CASR	0.3325
C6orf66	-0.5925
MTPN	-0.1595
UNC50	-0.691
C21orf33	0.11025
IRF2	0.631375
PGR	-0.685166666666667
GPR84	1.34325
CROCCL1	-2.271
SRPX	0.353
BRE	0.158833333333333
FGF10	0.75
SDC3	-0.381666666666667
ZRSR1	-0.202166666666667
DKFZP434P211	-0.681625
SOX6	0.654
RPUSD2	0.08
C14orf173	-0.134
MAPK11	0.0121666666666667
TBC1D22A	0.4125
FAM123A	0.6155
COL4A6	-1.6265
TOMM70A	0.19
NAB1	0.198875
MGC16385	0.740625
TSPAN18	0.255833333333333
MED31	-0.43125
PLG	-0.1945
CAPSL	-0.581
ZNF532	1.1873
ASB14	0.14875
CA8	1.11875
NUDT16P	0.294
SLFN11	-0.702
LRRIQ2	0.372875
NOL7	-0.473166666666667
BRMS1L	0.8905
JARID1A	0.023
PANK2	-0.32525
ICAM3	-0.8395
MDS1	-0.13875
TAF8	-0.54975
RNF139	0.75525
ZNF594	0.123166666666667
ADAM8	0.12825
SFTPC	0.00124999999999999
MAN2B2	0.128125
RGS12	0.216125
EIF1AY	-3.95091666666667
LRRIQ1	-1.04716666666667
GPR150	1.25775
CCDC21	-1.01866666666667
PRRG3	0.87625
SAA4	-2.0515
RAPGEF5	1.115
ZCCHC2	0.329833333333333
MGC39372	-0.108
PPP4R2	0.233
CDCA2	-0.560166666666667
OR4D5	0.513333333333333
PTGFRN	1.0564
SIGLEC5	0.88
C19orf61	-0.102666666666667
NMUR2	0.499
KIAA1586	-0.128666666666667
DAGLA	-0.203833333333333
CHCHD6	0.399
GPR32	0.0275
NEUROD6	0.2695
SLC2A4RG	0.2119375
CA5B	0.0045
FBXL3	0.89425
MPHOSPH9	-1.37425
HMG2L1	0.566
HCN4	0.606333333333333
CEACAM19	0.5275
SH2D4B	0.258833333333333
HFE2	-0.4385
TGM4	0.115333333333333
LYPD2	-0.1615
TBC1D15	0.4725
MRPS21	-0.3054
NONO	-0.1872
CLEC5A	1.362125
ITCH	0.1719
MGAT3	2.14566666666667
MBP	-0.3245
RPP25	0.75725
SOSTDC1	3.118
HRC	-1.46675
TRIM48	-0.28
TMEM133	-0.04875
ECEL1P2	-0.915
HOXC11	0.4115
DOK5	3.63525
HELZ	0.0605
LOC348180	-0.10725
MGC33894	0.19925
ADRB3	0.146
DMD	1.64441666666667
PTRH2	-0.71675
MPEG1	2.268
NDUFA12	-0.180333333333333
KRTAP2-4	0.122666666666667
STAMBPL1	-1.21016666666667
ADCY2	2.18616666666667
UNQ6125	0.174
KLHL20	0.201166666666667
SRM	-1.05375
OTC	-0.239
TMIE	0.0893333333333333
SNX8	0.2705
LIPK	0.2745
CHURC1	-0.359416666666667
KLC2	0.0766666666666667
HDAC1	-0.419833333333333
FAM128A	-0.634
FNDC3B	0.11
MTCP1	0.113166666666667
WFDC10B	0.166
PCDHGB3	0.1455
ATRNL1	-0.4993
CAV2	0.595625
MED26	0.334333333333333
DUS1L	-0.14625
CHRM3	0.361
NEK9	0.3355
WARS2	0.67825
TBX22	0.3115
TOMM40	-0.48375
RP6-213H19.1	0.930666666666667
TUBGCP5	-0.91775
IGSF6	3.55875
TPPP	0.0225
UNQ6190	-0.1035
GSTM5	-0.242375
BTD	0.162333333333333
PDCD1LG2	0.375
SNRPB2	0.0758333333333333
ERICH1	-0.9105
APOA4	-1.589625
HOXA11	-1.3565
NARG1	-0.694375
MKX	-0.71975
RAB28	-0.387714285714286
PKP3	0.19775
SH3GL2	0.826
CTSO	2.069
RPN2	0.664
IL28RA	0.2615
SFMBT1	0.91475
WDR57	0.317875
FER1L3	0.1635
HSF5	0.03
TTC9B	0.191
C4BPA	-1.68233333333333
ALB	-2.57121428571429
SORBS3	0.178
UPF2	-0.1465
JPH1	-0.00649999999999999
AGBL2	-1.31425
DOPEY1	0.668
TERF1	0.678166666666667
KIF22	-0.5005
NINJ1	1.5605
SEC61A2	-0.829583333333333
HIST1H1D	-0.229666666666667
SFXN4	-0.656125
UCP3	0.4033
ZNF703	0.384
MYL6B	-0.25475
TREM1	0.284
OR52E6	-0.3625
CKMT2	1.712
HLA-C	1.944
SLC13A3	-0.887166666666667
TIMP4	-0.8295
SLIT2	2.6705
RSF1	-0.2795
LONRF1	-0.7395
MON1A	0.716
CACNG6	-1.46733333333333
DPPA4	-5.07566666666667
ZSWIM3	0.67175
ZNF804A	-0.125
CCIN	0.67175
SLC25A31	0.27675
KCNMB4	-1.01375
RABL5	-0.023375
GALNS	0.4263
STX6	0.84375
HIST1H1C	-0.5345
CIDEB	0.8015
CASP4	-0.415833333333333
PDK3	2.0316
KCNJ11	0.027
TPR	-0.338625
ZSCAN20	-0.279
MTX2	-1.041
HIST1H2BH	0.59725
LOC283767	-0.00349999999999999
LYRM7	-0.980555555555556
BRD3	-0.1015
HIST1H2BO	0.35925
MAGEB10	0.399
SLC45A1	0.4495
SERPINA3	0.24725
KIAA0143	0.23725
KCNJ16	3.0995
KRT79	-0.295
FABP2	-0.2225
NUT	-0.08525
ZNF57	-0.39825
FBXL4	0.100375
CLEC9A	0.8435
UGT8	2.8225
BMP2K	-0.4445
MAPK4	0.2245
SLC25A23	-0.4638
HINT1	-0.3963
KRTAP13-1	-0.271
SFXN5	-0.1366
CHCHD2	0.182666666666667
FAM3D	2.9515
NDP	0.3805
RHOBTB1	-0.531333333333333
SLC4A4	0.21875
RPL38	-0.313
HTF9C	-0.181666666666667
AP2A2	0.236
ZBTB46	-0.649
MAP7D1	-0.022125
AOX1	-0.463166666666667
CYR61	1.01533333333333
DTNA	0.440857142857143
JRKL	0.109
TMOD3	-0.7485
EEA1	-0.2916
ADCK5	0.30825
IL1R1	1.08333333333333
KLK3	0.466357142857143
HRSP12	0.97275
KTN1	0.0635
LOH11CR2A	0.1634
RELL2	-0.71575
MAB21L1	1.44425
C20orf59	-1.21416666666667
PHKB	-0.1655
ADAM2	-1.30333333333333
TBC1D8B	1.45483333333333
FAM13A1	-0.4265
LAPTM4B	1.47108333333333
LCN8	-0.5825
TMEM147	0.95
SYT4	0.118333333333333
XPO7	-0.467
C9orf62	1.24025
GPR75	-0.013
TRIM5	-0.28575
APOC1	-2.07433333333333
RNASE4	0.425833333333333
PARD6B	-2.62025
ARID1A	-0.196166666666667
TPD52L3	0.0241
RRAGB	1.643
RCN2	-0.2615
HIST2H2BE	0.794625
STARD7	-0.2175
SHMT2	-0.21775
KIAA1751	0.189333333333333
MLYCD	0.36125
LOC162632	-1.0673
UQCRH	-0.329
RP11-217H1.1	0.9961875
SDHA	-1.047
NCLN	-0.4486
ZNF17	1.20633333333333
RCBTB2	-1.1785
VEGFB	-0.482
RP4-747L4.3	1.922
COLQ	0.455
MPN2	-0.6125
DRG2	-0.5525
KLRB1	3.60125
ALPK2	-2.00475
DNASE2B	0.30075
FLJ23834	-0.106
AXUD1	0.870166666666667
SAFB	-0.1046
NSUN4	0.31775
RFX2	-0.0178333333333333
MAPK8IP1	0.246833333333333
FANCD2	-0.731071428571429
ANKZF1	-1.60216666666667
C19orf50	-0.210125
DUSP8	0.022625
SENP5	0.062625
NFKBIL2	-0.23325
LBR	-0.555625
IGFL1	0.432
LZTS2	-0.057125
IL2RG	-0.816
CCDC51	0.31
KLF3	-0.113
ANKRD37	-0.959
KCTD14	0.397
FZR1	-0.280916666666667
SLC44A4	0.1744
ESPL1	-0.632
GMPR2	-0.0692
TBC1D19	-0.613833333333333
ERGIC1	0.288074074074074
ERBB4	0.6897
TSPAN32	-0.0311666666666666
MAP4	-0.104125
GPHN	0.095
SLC6A2	1.797375
HIVEP1	-0.03725
DFFB	-0.3676
EIF4EBP2	0.613375
DMRT1	0.2465
HSPB6	-0.139
IER2	0.691
AIFM1	0.07375
WWC2	0.399916666666667
MRPL4	0.14675
FLJ21062	-0.314
EPB41L4A	0.111083333333333
SH2D6	-0.12625
TAF4B	0.52425
GAL3ST3	0.0095
MALT1	0.0753333333333333
RTDR1	0.7285
ARVCF	-0.15725
MEX3B	1.48966666666667
FBXO16	-1.137
KIF7	-0.619
C1QC	3.65166666666667
ZNF783	-0.352666666666667
ZNF85	-0.57225
MMP13	0.982
KIAA0329	0.527375
RTP3	-0.6315
ZBED3	0.03125
CLGN	-3.44675
SLC25A37	-0.8245
hCG_18290	0.07225
OR5AS1	-0.0605
SMARCC2	0.156166666666667
FAM109A	-0.205
CCDC12	0.01675
USF2	0.2913
DEPDC7	-0.87325
C20orf24	-0.2035
JMJD3	-0.0395
DSP	0.708642857142857
SLIC1	0.279125
FAM20A	1.7935
IRF2BP2	0.27575
ZNF230	0.14
MSN	0.456857142857143
SLC9A5	-1.589
EPDR1	-1.5973
MUSK	0.267
ZNF434	0.0406666666666667
SMARCD1	-0.502833333333333
ZFP106	-0.1255
ZNF347	0.648
GTF2E1	0.34
