Hybridization REF	TCGA-A8-A097-01A-11R-A034-07
RDHE2	2.03383333333333
FHL1	-0.258166666666667
OSGEP	-0.0765
GATA1	-3.66833333333333
SMC6	-0.652
TTTY14	-0.89
LPIN3	-0.3945
RPL4	-0.4976
RBPMS	-0.1473
PRPF3	-0.0466666666666667
EMR1	-1.2565
SPATA19	-0.07625
XCR1	0.235
IRX3	0.6491
RBM6	-0.3525
KLF4	-0.3173
UNC5CL	-0.7525
SEBOX	-0.331
BTK	-0.014
KRCC1	1.52775
C6orf27	0.1095
SYTL5	-0.6345
PRND	1.8745
LOC653319	-1.3555
PIGL	-1.800625
HUS1	-0.620666666666667
SFRS6	-0.00983333333333333
C17orf77	0.1045
UIMC1	0.147
FXYD2	-1.6791
LOC283152	1.75925
ZNF667	-0.41825
ZCCHC12	-0.39575
TFEC	2.966
ATP7B	0.588166666666667
POLD2	-0.858
RG9MTD1	0.49075
ACOT2	0.115666666666667
HIST1H4I	0.322375
PPARGC1A	-2.3971
ETFA	-0.5973
POLRMT	-0.76575
ZNF146	0.605375
MIA2	-0.962
KLHL6	-0.776
HOXB5	0.083125
NENF	0.668
CUGBP1	0.12275
PRSS22	1.26066666666667
CASC4	1.895
CUL4B	0.1196
CENPJ	-1.0661
PITX1	-0.282333333333333
FLJ31033	0.716333333333333
CELSR3	0.7185
ZNF568	0.2955
ITSN1	0.256666666666667
EHBP1L1	-0.934666666666667
C19orf2	-0.452
DCTN1	0.333
LIN28B	-3.6315
TNKS2	0.361
C1QBP	-1.190625
CADPS2	0.9805
SRMS	0.29225
GJA9	0.250333333333333
MGC24975	-1.06866666666667
TRIM45	0.730833333333333
TSP50	-0.37375
TCP1	-1.83475
TMED7	0.4596
CMA1	1.0795
CENPL	-0.117
PTCRA	-0.1555
FST	-3.01675
VWCE	-3.7575
PAWR	-0.18675
ABCC12	0.1238
LDLR	0.0541
ASTN2	0.907
LOC441212	-0.91175
GPATCH8	0.028
TANC2	1.39633333333333
KIF4A	-0.8375
C18orf18	-0.83575
PGM1	-0.3875
KIAA0258	0.01275
CPD	1.156125
SNCAIP	-1.00975
DCT	-4.2835
HLA-DOA	2.37518181818182
OR11L1	0.1405
UPK1B	0.261833333333333
DNAJB4	0.17325
UGT1A8	0.11
HIST1H4L	-0.127
PECR	-0.889833333333333
HSPA2	1.85275
WFIKKN1	-1.4505
SERP1	0.583125
SYDE2	3.686
TACR2	0.5625
NUP85	-0.1585
CD177	-0.193833333333333
LGR5	-1.40166666666667
PIGG	0.157416666666667
PTHR1	-1.19216666666667
RAB5A	0.3191
FLJ13224	0.073
USP9Y	-1.54616666666667
C7orf53	-1.417
LRP1B	4.1785
XAF1	1.6826
ABCG8	-0.4165
ANKDD1A	-0.315333333333333
DAND5	-0.8595
SPAG6	0.338666666666667
LINCR	1.292
ZDHHC22	-1.655625
CCDC60	0.662
THOC7	-0.9875
TCTA	1.2449
OR8K3	-0.265
NY-REN-7	-0.61975
B2M	2.0415
C6orf141	-1.49625
LPPR4	1.671
SQLE	2.406125
SEPHS1	-0.39225
BTBD14B	0.379071428571429
PLRG1	-0.23675
SPG7	-0.6628125
ZNF614	-0.579166666666667
PARD6G	0.879666666666667
INPP5B	-0.4651
GRPEL2	-0.196625
PPID	-0.5529
TRIM56	-0.26775
UBE2J1	-0.41675
IL20RA	3.31475
LOC387856	2.1095
C1orf107	1.17808333333333
UTS2R	0.64
C19orf22	-0.641
SAFB2	0.7285
KIAA0652	-0.141875
KLRG1	-0.4835
MS4A8B	1.5415
FRAG1	0.74575
KIAA1546	0.56875
E2F4	-0.6763
CLEC4M	0.13
BTBD14A	-0.981
KIAA0999	-0.00610000000000001
GYPA	-3.95966666666667
TAC1	1.9907
TRAIP	-0.710833333333333
KIAA0232	0.9077
ERCC8	-1.39675
GPX4	-0.1255
KIAA0368	-0.311
GPR157	-0.5855
CTAGE4	1.3085
C9orf30	-1.8065
OR52A1	0.1215
HSP90B3P	-0.1775
ALG9	-0.8675
BTBD10	0.946
SDK2	0.093
BAIAP3	0.9455
RABGGTB	-0.461625
ANKRD40	0.337166666666667
KRT74	0.479
CALCOCO2	0.3755
SNCA	-2.5745
TMSL8	-2.16175
C2orf53	-0.2825
ESRRB	-0.211
ARHGAP26	-1.679875
TDRD9	-1.894
HRAS	0.106666666666667
KLRC4	-2.357
JAGN1	0.156333333333333
BSDC1	0.1995
RNF43	0.1969
NDUFAF1	0.752
PHF12	0.01475
OR1L3	-0.007
FOLR2	1.40308333333333
LYZL6	0.0683333333333333
tcag7.1260	-1.439
WSB1	-1.21766666666667
PROS1	-0.4242
OSTN	0.514
PSMB8	0.859
SOCS4	0.078125
DDIT4L	0.6475
MAS1	0.7665
MGC34796	1.13575
CSHL1	0.213666666666667
TBCCD1	0.491333333333333
ZBTB7C	0.092
AP2S1	0.12875
P15RS	0.3233
VAT1	-0.2524
SHANK3	0.486333333333333
TUFM	0.217666666666667
THEG	-0.45575
KRT34	-1.47275
SGSM3	-0.140625
TOMM22	-0.36075
SOCS3	0.946666666666667
CPO	0.688
POP4	0.517
BHLHB3	1.56375
MALL	0.95925
OR1B1	-0.006
PARK2	0.491
GPR124	1.021375
LCE1E	0.149
RUVBL2	-0.11775
CGRRF1	0.9181
ACPL2	0.05475
WNT10B	-2.44825
BAIAP2L2	-2.31925
ISCA1	-0.0275
C1orf125	-0.201
RPAP1	-0.1885
RAI16	-0.604333333333333
RPL27	-0.5865
NLRP9	0.175
EPN1	0.373
LOC388610	-0.88675
SLC35A1	0.1595
GAL	-3.44775
SLC14A2	0.20025
RDH11	-0.0513333333333333
FAM138F	-1.071
AUH	-0.757
FLJ40243	0.20825
C14orf129	0.0175
MBD2	-0.371666666666667
ABHD14B	0.767125
PIGT	0.026375
ALS2CR4	-0.523125
ALAS1	0.9862
FOXO1	1.22016666666667
CRLF3	0.361375
C20orf107	-0.5225
FARS2	0.53575
CCDC28A	0.3995
NPHP3	-0.959
OR13F1	0.499
TSEN54	0.3445
DEFB106B	-0.1264
OR8B4	0.657
STH	-0.32575
ZC3H14	-0.9405
CBX2	-0.483
TMEM49	0.466
C6orf21	0.515
FLJ20920	0.751875
CRTAP	0.367428571428571
DDX50	-0.50125
STYXL1	-0.13675
BLVRB	0.0841666666666667
LOC147650	1.436
MMP24	0.04775
GRID1	1.30766666666667
BANF1	0.6535
CTAGEP	0.6345
HMBS	-2.23225
SLC25A24	0.941333333333333
C14orf50	-0.144
MRO	0.9295
SLC25A15	-0.6015
FAM84B	2.7366
TDP1	-1.0405
C16orf78	0.2305
C11orf57	-0.0155
RFK	-0.48925
ZFYVE9	0.109875
STCH	-0.9545
WIBG	0.00725
LOC283871	-0.2235
GBA2	-0.8771
NDUFB3	-0.45375
HSD17B13	-0.505
GRIN3A	0.912166666666667
FMNL1	-0.448166666666667
SEPT7	0.4165
GNLY	2.9865
GRAMD1C	2.01616666666667
ZNF165	0.1965
USP38	0.876
FAM83A	-1.37033333333333
C14orf24	1.06033333333333
ARMCX3	1.14825
ARHGDIB	-0.1285
AK1	0.277
KIAA1045	0.17125
DNAJB13	-0.390333333333333
NEU2	0.1625
HIST1H4B	-0.106833333333333
FAM20B	-0.3122
HES2	-0.384
FAM73B	-0.5585
LOC388381	0.6495
INTS7	-0.436181818181818
AMPH	3.31875
ZNF775	-0.03725
UCKL1	-0.431333333333333
C10orf97	0.1965
C1orf161	-0.42925
ALDH1L1	-0.96925
FLJ39378	-0.17725
SLC23A1	0.8665
RBM4B	0.47475
THAP4	-0.0223333333333333
OGFRL1	0.01525
KIAA0831	-0.162375
PPP1R15A	-0.200333333333333
C1orf96	-0.712714285714286
C12orf11	-2.5855
BMF	1.334625
MAN1A1	-0.182875
KIAA1600	0.337833333333333
NLGN4X	1.01125
ALOX12	-1.3395
RB1CC1	-0.7059
NEIL2	-0.5277
EIF4E	0.373318181818182
ABHD5	-0.01725
EXOC4	0.285
CIP29	-0.608833333333333
BATF2	1.2915
SLC29A4	-1.228625
HTR4	-0.07
EMB	-0.81175
TRAF6	0.25375
LMNB1	-0.35275
FAM19A5	-1.042125
SHE	1.57225
PIK3C2B	0.996
C15orf15	-0.7019
USP15	-0.2879
TCEAL2	0.9255
C5orf39	-0.9375
PTGER2	1.6685
SLC31A1	0.04325
IFT172	0.46075
ADAM29	0.08725
GFOD1	-0.99975
ST7L	1.14833333333333
C15orf26	-3.20225
PKN3	-1.16125
CNTD1	2.99366666666667
COMMD1	0.263
NTRK2	2.38266666666667
FOXN3	0.354
MFGE8	0.6026
PFKFB2	0.983
TAS2R4	0.0435
ENTHD1	1.8875
PRMT5	-0.3665
MGC16384	-1.094375
LOC442229	-0.729
TSKU	0.40275
KRTCAP3	1.846875
PDLIM1	-0.0774
KCNS2	0.30025
RNF126	-1.16566666666667
CEP63	0.3425
CLIC4	0.216375
hCG_1990170	-0.48125
ACR	0.1938
KLK7	2.55
ALOX5AP	3.8755
RIPK3	4.1235
TAS2R9	-0.1565
C19orf18	1.3275
BIRC6	-0.0182857142857143
ZNF16	0.2985
RFT1	0.2685
SLC8A2	-0.29425
TACC1	2.8585
ITGAD	1.5075
SAMHD1	0.9975
SH3PXD2B	1.4118
EPC2	0.3875
C20orf85	-0.082125
ATP13A2	-0.671333333333333
KRT4	0.255625
CAPNS1	0.21975
MDM2	-0.74475
PCDH20	-0.29675
KCNK9	0.327
OR2C1	-0.541
KLHDC3	-0.438333333333333
IPPK	0.5185
EFHD2	-0.171
GALR3	0.59175
NBEA	1.27516666666667
ABCA6	2.8032
CLDN3	1.26216666666667
AKT2	0.058
EGFR	-2.0179
RBM16	-0.493875
ZDHHC3	0.8405
SLC25A4	-0.267833333333333
CYB5B	-0.780166666666667
CPXM1	0.87825
NDRG1	0.301692307692308
FLJ43826	0.1645
OR5L2	0.183166666666667
FARP2	-0.1801
MRPL46	-0.127666666666667
LDHAL6B	-0.2115
MAPKAPK3	-0.0538333333333333
NCAM2	1.703
PRKD2	0.403333333333333
ZFP36L1	1.1474
CYSLTR1	1.08225
OR4C3	0.38175
HIST1H2AJ	1.786
CCNB2	-1.597
ZNF10	-1.857375
TMEM175	0.5215
FAM134A	0.735
TIGD4	0.082
PCNP	-0.4105
MGC39715	4.27175
LQK1	0.9545
CREB1	0.4263
TMPRSS3	-0.377
C4orf32	1.199375
LAT	-1.76958333333333
KCNA3	-0.374
SKIV2L2	-0.915
ROPN1B	-1.54225
tcag7.23	-0.5615
CDT1	-2.701375
ZHX2	2.160875
CD28	-1.87025
ZNF624	0.50175
SEPT2	0.20875
SOHLH2	-1.914125
MCOLN3	-0.596875
UNQ1945	0.121
MASP2	-0.9495
ZNRF3	-0.3349
GPATCH3	-0.42325
AGL	1.660875
QRICH2	-0.2405
PSD4	0.828
CCNB1IP1	-1.3965
ENPP7	0.211
OBFC1	-0.07325
KCNG3	-1.80825
C14orf79	0.185333333333333
ENPEP	1.37716666666667
SCT	1.4255
SKI	0.90675
SEC61G	-0.82625
CAPN11	0.12
ATXN7L3	0.47375
DBNDD1	-0.586
FAIM	-0.11325
ANKRD36	-0.0395
GABRP	2.889
TACSTD2	2.08133333333333
EIF3J	-0.5715
PPP2R2A	-1.55325
TEKT4	-0.628
PVALB	0.192166666666667
F10	-2.96833333333333
FAM134C	1.0969
COMP	4.858625
EFCBP1	-2.738625
SCLT1	1.077875
TAL1	-1.3802
ACSL1	0.17375
ABCC5	1.36341666666667
ABL1	-0.420888888888889
RBBP7	0.26275
PTPRG	-0.314875
NCOR1	-0.0155
SPINK4	-1.89083333333333
TXNRD1	-0.6988
TNRC15	1.08875
C9orf138	0.261625
UBE2H	0.322333333333333
BRDT	3.29033333333333
C8orf31	-0.3325
CCNE2	-0.637636363636364
SLC6A8	-2.411
CALCR	-3.28725
PPP1CB	0.729166666666667
ABHD8	-0.17375
ARF5	-0.0575
SLC24A4	0.6265
CCT3	0.30675
ZNF121	-0.2955
SLC3A2	-1.1463
OR13A1	-0.0885
SLC5A10	0.0145
RAD50	0.89275
IER5	-0.00437499999999999
MTHFD1L	-2.1885
MBTPS2	0.4305
MVK	-0.51975
NCL	-0.2006
PSMD10	0.025
MOBP	0.28375
FLJ32894	-0.562
HRH1	0.368666666666667
C5orf30	0.129
NUDT16L1	0.341
RASGRP3	3.07016666666667
PRKRIP1	-0.7905
CCDC75	0.81225
LOC253970	0.20375
KIAA1239	-0.21175
MED21	-0.95875
SYT11	0.677083333333333
NTSR2	-0.2225
EGFL11	1.963
CXorf59	0.532
OR2A25	0.45
SPTBN2	0.5705
LRMP	-1.473
RNF111	0.11275
PTH	-0.1835
LOC619208	0.381333333333333
KIAA0895	0.71875
RANBP5	-0.774125
P2RY10	0.609166666666667
NME5	3.155
DDX21	-1.0855
LRSAM1	-0.1075
HDAC11	1.00783333333333
VMO1	1.652
NOLA2	0.0231666666666667
ADAR	0.868083333333333
MTO1	-1.637
SF4	0.339666666666667
P2RX1	-0.189333333333333
HBM	0.07825
EN2	0.6935
C14orf172	-0.25075
TM9SF2	1.0656
INHBE	-1.37283333333333
TCTE3	-0.190583333333333
TOX2	-3.37525
CTAGE3	0.932625
HBB	3.5289
MED15	-0.8845
CASR	0.32975
C6orf66	-0.761333333333333
MTPN	0.414375
UNC50	0.28975
C21orf33	-0.181125
IRF2	0.934
PGR	1.5905
GPR84	2.8305
CROCCL1	-2.06275
SRPX	-0.19325
BRE	0.542
FGF10	5.21125
SDC3	-0.2085
ZRSR1	0.863
DKFZP434P211	-0.0935
SOX6	0.079
RPUSD2	0.37975
C14orf173	-0.78025
MAPK11	-0.751333333333334
TBC1D22A	0.5195
FAM123A	-0.7905
COL4A6	-2.09316666666667
TOMM70A	0.6955
NAB1	-0.032875
MGC16385	-0.188
TSPAN18	0.2435
MED31	-0.74875
PLG	-0.30975
CAPSL	1.794
ZNF532	1.6163
ASB14	-0.26375
CA8	-2.87
NUDT16P	-0.341833333333333
SLFN11	-1.214
LRRIQ2	0.736125
NOL7	-0.799333333333333
BRMS1L	-0.615
JARID1A	-0.0385
PANK2	-0.76275
ICAM3	-0.379
MDS1	0.51675
TAF8	-0.00525
RNF139	3.61225
ZNF594	-0.345833333333333
ADAM8	2.600625
SFTPC	-0.373875
MAN2B2	1.201625
RGS12	0.17525
EIF1AY	-4.72766666666667
LRRIQ1	-0.320666666666667
GPR150	0.896
CCDC21	-0.836166666666667
PRRG3	0.31525
SAA4	-3.77425
RAPGEF5	1.63
ZCCHC2	0.276666666666667
MGC39372	1.3765
PPP4R2	-0.296166666666667
CDCA2	-2.1255
OR4D5	0.2265
PTGFRN	1.6493
SIGLEC5	2.04133333333333
C19orf61	-0.219666666666667
NMUR2	0.0725
KIAA1586	-0.663166666666667
DAGLA	0.269
CHCHD6	-0.4375
GPR32	1.2205
NEUROD6	-0.024
SLC2A4RG	-0.22175
CA5B	-0.34475
FBXL3	2.01275
MPHOSPH9	-0.84625
HMG2L1	0.17425
HCN4	0.514166666666667
CEACAM19	0.713
SH2D4B	0.134166666666667
HFE2	-0.6885
TGM4	0.100666666666667
LYPD2	0.2265
TBC1D15	0.06425
MRPS21	0.5814
NONO	-0.5142
CLEC5A	2.456375
ITCH	-0.4699
MGAT3	-1.02016666666667
MBP	-0.560375
RPP25	0.1325
SOSTDC1	1.06325
HRC	-1.824
TRIM48	0.068
TMEM133	-0.558
ECEL1P2	-1.0275
HOXC11	1.525
DOK5	0.01925
HELZ	0.876833333333333
LOC348180	-1.11575
MGC33894	0.16375
ADRB3	0.0345
DMD	-0.03975
PTRH2	0.11675
MPEG1	3.10716666666667
NDUFA12	-0.309
KRTAP2-4	0.0695
STAMBPL1	-1.14116666666667
ADCY2	-0.5455
UNQ6125	0.5875
KLHL20	1.46766666666667
SRM	-1.1125
OTC	-0.2905
TMIE	0.241166666666667
SNX8	0.0555
LIPK	0.3925
CHURC1	0.7025
KLC2	0.082
HDAC1	-0.478833333333333
FAM128A	-0.245833333333333
FNDC3B	-0.3712
MTCP1	-0.137333333333333
WFDC10B	-0.0968
PCDHGB3	0.426
ATRNL1	1.719
CAV2	-0.124125
MED26	-0.4125
DUS1L	0.40625
CHRM3	-0.788375
NEK9	0.522
WARS2	-0.19925
TBX22	0.2625
TOMM40	-0.7355
RP6-213H19.1	-3.53783333333333
TUBGCP5	-0.18075
IGSF6	5.20925
TPPP	-0.211833333333333
UNQ6190	0.215
GSTM5	0.212375
BTD	1.127
PDCD1LG2	0.595833333333333
SNRPB2	-0.263833333333333
ERICH1	-1.129125
APOA4	-1.78575
HOXA11	-1.0255
NARG1	-0.740875
MKX	-0.46575
RAB28	0.0745714285714286
PKP3	0.667
SH3GL2	-1.77225
CTSO	3.32425
RPN2	0.1410625
IL28RA	0.4635
SFMBT1	0.76375
WDR57	-0.75875
FER1L3	1.00608333333333
HSF5	0.068
TTC9B	0.1565
C4BPA	-3.26966666666667
ALB	1.48885714285714
SORBS3	-0.3505
UPF2	0.6145
JPH1	-0.3205
AGBL2	0.55875
DOPEY1	1.1605
TERF1	0.30675
KIF22	-0.721833333333333
NINJ1	1.38425
SEC61A2	-0.07475
HIST1H1D	1.40783333333333
SFXN4	-0.469125
UCP3	0.3288
ZNF703	1.12933333333333
MYL6B	-0.851
TREM1	3.04725
OR52E6	0.5215
CKMT2	0.87825
HLA-C	2.609625
SLC13A3	-1.95066666666667
TIMP4	-1.529
SLIT2	2.467
RSF1	-0.158055555555556
LONRF1	-1.50721428571429
MON1A	-0.0436666666666667
CACNG6	-1.74333333333333
DPPA4	-5.24466666666667
ZSWIM3	0.23675
ZNF804A	0.561
CCIN	1.24775
SLC25A31	0.21575
KCNMB4	-0.45125
RABL5	0.064875
GALNS	-0.5959
STX6	1.0545
HIST1H1C	1.57766666666667
CIDEB	-0.575
CASP4	0.149
PDK3	0.0396
KCNJ11	1.0235
TPR	0.6115
ZSCAN20	-1.101
MTX2	-0.30125
HIST1H2BH	0.54775
LOC283767	1.0665
LYRM7	-1.57177777777778
BRD3	0.8755
HIST1H2BO	0.43925
MAGEB10	-0.0355
SLC45A1	1.48775
SERPINA3	1.6837
KIAA0143	2.83
KCNJ16	0.227666666666667
KRT79	-0.19375
FABP2	-0.44875
NUT	-0.31225
ZNF57	-0.66725
FBXL4	0.065625
CLEC9A	0.5605
UGT8	-0.942333333333333
BMP2K	0.146
MAPK4	-3.34375
SLC25A23	-0.884
HINT1	-0.2709
KRTAP13-1	0.2475
SFXN5	0.1096
CHCHD2	0.336416666666667
FAM3D	1.271
NDP	1.11225
RHOBTB1	0.661833333333333
SLC4A4	-0.952875
RPL38	-0.244
HTF9C	-0.511166666666667
AP2A2	0.550625
ZBTB46	0.1255
MAP7D1	0.156875
AOX1	-0.470666666666667
CYR61	1.35491666666667
DTNA	0.177071428571429
JRKL	-0.29325
TMOD3	0.35325
EEA1	-0.2443
ADCK5	-1.28975
IL1R1	0.808166666666667
KLK3	0.2375
HRSP12	0.3065
KTN1	1.5685
LOH11CR2A	0.8157
RELL2	-0.55225
MAB21L1	1.753
C20orf59	-0.774
PHKB	0.28425
ADAM2	-1.86
TBC1D8B	2.0685
FAM13A1	-0.787625
LAPTM4B	0.653166666666667
LCN8	0.083
TMEM147	0.803
SYT4	0.3705
XPO7	-1.0735
C9orf62	0.97525
GPR75	0.2965
TRIM5	0.5155
APOC1	-0.5435
RNASE4	0.337333333333333
PARD6B	-2.258625
ARID1A	-0.177083333333333
TPD52L3	0.069
RRAGB	1.61883333333333
RCN2	-0.3825
HIST2H2BE	1.2136875
STARD7	-0.54475
SHMT2	-0.90675
KIAA1751	0.292666666666667
MLYCD	0.088125
LOC162632	-0.7693
UQCRH	-2.21775
RP11-217H1.1	0.75375
SDHA	-0.879333333333333
NCLN	-0.6316
ZNF17	0.404166666666667
RCBTB2	-1.4545
VEGFB	-0.0867
RP4-747L4.3	0.83225
COLQ	0.7942
MPN2	-0.914
DRG2	-0.55625
KLRB1	3.944
ALPK2	-2.16725
DNASE2B	0.93175
FLJ23834	0.0138333333333333
AXUD1	0.6505
SAFB	0.309
NSUN4	-0.51725
RFX2	1.08783333333333
MAPK8IP1	-0.2705
FANCD2	-0.635214285714286
ANKZF1	-1.55916666666667
C19orf50	0.16525
DUSP8	1.26
SENP5	0.293125
NFKBIL2	-0.9755
LBR	-0.57
IGFL1	1.188
LZTS2	-0.0125
IL2RG	-0.598625
CCDC51	0.79
KLF3	0.25
ANKRD37	-1.13
KCTD14	0.0533333333333333
FZR1	0.0109166666666667
SLC44A4	2.8974
ESPL1	-0.4495
GMPR2	0.0856
TBC1D19	-0.5815
ERGIC1	0.46162962962963
ERBB4	2.5635
TSPAN32	0.0903333333333333
MAP4	0.415875
GPHN	0.8015
SLC6A2	0.2915
HIVEP1	0.0525
DFFB	-0.5733
EIF4EBP2	-0.178875
DMRT1	-0.13775
HSPB6	-0.0335
IER2	0.824833333333333
AIFM1	0.6915
WWC2	-0.687333333333333
MRPL4	-0.72275
FLJ21062	-0.173666666666667
EPB41L4A	1.1115
SH2D6	0.67525
TAF4B	-1.143
GAL3ST3	-0.366
MALT1	-1.65566666666667
RTDR1	0.493
ARVCF	-0.581125
MEX3B	-1.14183333333333
FBXO16	-0.07125
KIF7	-1.069
C1QC	3.992
ZNF783	-0.318833333333333
ZNF85	-0.65375
MMP13	6.313
KIAA0329	0.664375
RTP3	-0.8825
ZBED3	-0.5225
CLGN	3.54675
SLC25A37	-1.40725
hCG_18290	-0.54275
OR5AS1	-0.0095
SMARCC2	0.613083333333333
FAM109A	-0.0291666666666667
CCDC12	-0.3035
USF2	0.4353
DEPDC7	-1.834
C20orf24	-0.575833333333333
JMJD3	0.58
DSP	0.594714285714286
SLIC1	0.283625
FAM20A	1.410875
IRF2BP2	0.887875
ZNF230	0.3355
MSN	-0.0137142857142857
SLC9A5	-1.4005
EPDR1	-1.3963
MUSK	0.177666666666667
ZNF434	0.546166666666667
SMARCD1	-0.735333333333333
ZFP106	-0.195
ZNF347	-0.2386
