Hybridization REF	TCGA-A8-A06Y-01A-21R-A00Z-07
FSIP1	3.5915
UPF3A	-0.47925
IGSF11	-1.59233333333333
LAGE3	-0.7455
CHST6	-1.863
UNC13B	1.19975
TTLL4	-0.82
ZNF687	0.950125
SDC2	0.4639
COX7A2	0.0295
LAMB4	-0.031
FAM24A	0.267
LRRTM3	-1.10166666666667
GPHB5	0.36
OR4C13	0.229
EIF3EIP	-0.0943571428571428
HABP4	-1.416
TMEM125	4.0935
CNTN2	1.253625
ASNSD1	-0.25175
FUT4	-0.474625
ACF	-3.04875
LOC158381	-0.6655
CDH8	-0.9725
AGPS	0.911166666666667
C4orf18	5.172375
PECI	0.437916666666667
UNG	-0.190375
GSTP1	-0.30725
DCUN1D5	-0.682
DKFZP564J0863	-0.61275
SLC9A3R1	1.801125
BCDO2	-0.82025
CHMP7	0.145
REM2	0.4195
DNHD1	-0.699125
FKBP4	0.2085
ZNF350	1.36925
MGC11102	-0.35675
BST1	-0.583
KISS1R	-0.2965
NCR2	0.4685
DEFB125	0.32
UBE2W	1.74725
KRT15	-1.502375
C10orf99	0.442
SCN11A	0.0901428571428572
GFI1	0.2675
RDHE2	2.59216666666667
FHL1	-2.3255
OSGEP	0.0333333333333333
GATA1	-3.63033333333333
SMC6	-1.574
TTTY14	-1.187
LPIN3	0.0755
RPL4	-1.0974
RBPMS	0.5217
PRPF3	-0.402833333333333
EMR1	-2.8595
SPATA19	0.176
XCR1	-0.2465
IRX3	2.2111
RBM6	-0.49525
KLF4	-2.1396
UNC5CL	-0.832
SEBOX	0.5845
BTK	-1.451
KRCC1	1.14775
C6orf27	0.235
SYTL5	-0.476
PRND	1.295125
LOC653319	-1.163
PIGL	-0.243
HUS1	0.239666666666667
SFRS6	0.743083333333333
C17orf77	-0.063
UIMC1	-0.667
FXYD2	-2.0251
LOC283152	2.877
ZNF667	0.5695
ZCCHC12	-0.2095
TFEC	0.7847
ATP7B	1.41383333333333
POLD2	-1.19966666666667
RG9MTD1	0.767
ACOT2	0.230666666666667
HIST1H4I	-0.372125
PPARGC1A	-2.8106
ETFA	-0.8728
POLRMT	-0.603
ZNF146	-0.077375
MIA2	1.1415
KLHL6	-2.47383333333333
HOXB5	-0.134625
NENF	1.4835
CUGBP1	1.03825
PRSS22	1.40666666666667
CASC4	1.0567
CUL4B	0.1739
CENPJ	-1.7638
PITX1	-0.549333333333333
FLJ31033	0.868166666666667
CELSR3	-1.87
ZNF568	0.42875
ITSN1	-0.40725
EHBP1L1	-1.9
C19orf2	0.1455
DCTN1	-1.02075
LIN28B	-3.76183333333333
TNKS2	0.56425
C1QBP	-0.138
CADPS2	2.53475
SRMS	0.01325
GJA9	0.220833333333333
MGC24975	-0.304166666666667
TRIM45	0.203
TSP50	0.00575000000000001
TCP1	-0.649
TMED7	1.1458
CMA1	-0.734
CENPL	-0.704333333333333
PTCRA	-0.45
FST	-4.4915
VWCE	-4.208
PAWR	1.09375
ABCC12	0.139333333333333
LDLR	-2.37
ASTN2	0.8132
LOC441212	-0.842125
GPATCH8	-0.504
TANC2	-0.0664166666666667
KIF4A	-3.19225
C18orf18	-2.1955
PGM1	-1.28125
KIAA0258	1.421
CPD	1.555
SNCAIP	0.6005
DCT	-4.31183333333333
HLA-DOA	1.39940909090909
OR11L1	0.3575
UPK1B	0.3024
DNAJB4	0.651
UGT1A8	-0.196
HIST1H4L	-1.6815
PECR	-0.484166666666667
HSPA2	2.281
WFIKKN1	-2.8575
SERP1	1.92125
SYDE2	0.76925
TACR2	0.5725
NUP85	-0.565
CD177	-0.812
LGR5	-1.9025
PIGG	0.129083333333333
PTHR1	-2.436
RAB5A	0.8833
FLJ13224	-0.6585
USP9Y	-1.6208
C7orf53	-0.943
LRP1B	-1.14575
XAF1	2.6592
ABCG8	0.427
ANKDD1A	-1.05583333333333
DAND5	-0.7665
SPAG6	3.22283333333333
LINCR	0.965
ZDHHC22	-1.570375
CCDC60	0.6025
THOC7	-0.5785
TCTA	1.2619
OR8K3	0.347
NY-REN-7	0.03525
B2M	1.07183333333333
C6orf141	-0.597125
LPPR4	2.3865
SQLE	2.239125
SEPHS1	-0.65925
BTBD14B	0.275857142857143
PLRG1	-0.0875
SPG7	-0.2014375
ZNF614	-0.4445
PARD6G	-0.4615
INPP5B	-1.2601
GRPEL2	0.4565
PPID	-0.4343
TRIM56	-0.159
UBE2J1	0.100875
IL20RA	4.8435
LOC387856	0.1705
C1orf107	1.3655
UTS2R	-0.596
C19orf22	-0.38375
SAFB2	0.049625
KIAA0652	0.2655
KLRG1	-2.0365
MS4A8B	3.593
FRAG1	1.05
KIAA1546	-0.06175
E2F4	-1.0082
CLEC4M	0.224833333333333
BTBD14A	-0.61825
KIAA0999	1.8998
GYPA	-3.1722
TAC1	0.6303
TRAIP	-1.48766666666667
KIAA0232	1.3101
ERCC8	-0.56075
GPX4	-0.15975
KIAA0368	-0.88
GPR157	-0.344
CTAGE4	1.05
C9orf30	-1.22716666666667
OR52A1	0.605
HSP90B3P	0.733
ALG9	-0.113
BTBD10	0.8095
SDK2	-0.23225
BAIAP3	1.92025
RABGGTB	-0.59775
ANKRD40	-0.0413333333333333
KRT74	-0.083
CALCOCO2	0.748928571428571
SNCA	-3.90675
TMSL8	-3.66
C2orf53	3.71
ESRRB	-0.033
ARHGAP26	-0.395
TDRD9	-2.02125
HRAS	-1.02433333333333
KLRC4	-2.4945
JAGN1	-0.6015
BSDC1	0.36675
RNF43	-0.1479
NDUFAF1	0.26625
PHF12	0.32175
OR1L3	0.55125
FOLR2	1.11216666666667
LYZL6	0.4815
tcag7.1260	-2.683
WSB1	-1.48866666666667
PROS1	-1.0976
OSTN	0.8955
PSMB8	1.066
SOCS4	0.14325
DDIT4L	-0.1345
MAS1	null
MGC34796	1.66075
CSHL1	0.155333333333333
TBCCD1	0.169
ZBTB7C	-0.1905
AP2S1	-0.761875
P15RS	-0.2359
VAT1	-0.7026
SHANK3	0.339666666666667
TUFM	0.1505
THEG	0.45125
KRT34	-1.38125
SGSM3	-0.152125
TOMM22	-0.873875
SOCS3	-0.0931666666666667
CPO	1.1335
POP4	0.776
BHLHB3	0.38225
MALL	1.43025
OR1B1	0.5805
PARK2	0.878833333333333
GPR124	-0.0165
LCE1E	-0.136
RUVBL2	-0.64
CGRRF1	0.403
ACPL2	0.53775
WNT10B	-2.55275
BAIAP2L2	-2.327625
ISCA1	0.757
C1orf125	0.3555
RPAP1	-1.25475
RAI16	0.6235
RPL27	-0.227
NLRP9	0.4745
EPN1	-0.2145
LOC388610	-0.601125
SLC35A1	0.282
GAL	-4.06775
SLC14A2	0.34925
RDH11	0.172333333333333
FAM138F	-0.2895
AUH	-0.0255
FLJ40243	-0.241
C14orf129	-0.0443333333333333
MBD2	-1.01133333333333
ABHD14B	0.11525
PIGT	0.5715
ALS2CR4	-0.7385
ALAS1	-0.5342
FOXO1	0.567166666666667
CRLF3	-0.621875
C20orf107	-0.2535
FARS2	0.92275
CCDC28A	2.03025
NPHP3	-0.60125
OR13F1	0.2035
TSEN54	-0.7815
DEFB106B	0.105
OR8B4	0.1595
STH	2.15275
ZC3H14	-0.306
CBX2	0.0175
TMEM49	-0.7195
C6orf21	1.177
FLJ20920	-0.79125
CRTAP	0.298928571428572
DDX50	0.05475
STYXL1	0.18825
BLVRB	-0.535833333333333
LOC147650	0.1145
MMP24	0.68425
GRID1	1.12433333333333
BANF1	-0.642333333333333
CTAGEP	0.76525
HMBS	-1.493
SLC25A24	-0.377833333333333
C14orf50	2.0525
MRO	-0.221833333333333
SLC25A15	-0.0825
FAM84B	0.826
TDP1	-0.127
C16orf78	-0.1742
C11orf57	1.119
RFK	-1.08325
ZFYVE9	-0.480125
STCH	-0.0941
WIBG	0.874
LOC283871	-0.808666666666667
GBA2	-0.4967
NDUFB3	-0.29375
HSD17B13	-0.476
GRIN3A	0.272166666666667
FMNL1	-1.86783333333333
SEPT7	-0.5044
GNLY	0.746
GRAMD1C	1.047
ZNF165	0.9385
USP38	0.84125
FAM83A	-3.63466666666667
C14orf24	1.144
ARMCX3	3.656625
ARHGDIB	0.703666666666667
AK1	0.4095
KIAA1045	-0.804666666666667
DNAJB13	-0.242166666666667
NEU2	0.079
HIST1H4B	-1.14966666666667
FAM20B	-0.7031
HES2	-0.236214285714286
FAM73B	-0.5961
LOC388381	-0.104
INTS7	0.0509090909090909
AMPH	0.85
ZNF775	-0.497125
UCKL1	-0.911166666666667
C10orf97	-0.16475
C1orf161	-0.114333333333333
ALDH1L1	-0.97725
FLJ39378	-0.593125
SLC23A1	-1.098
RBM4B	-0.17575
THAP4	0.437833333333333
OGFRL1	2.90075
KIAA0831	0.611375
PPP1R15A	-1.0855
C1orf96	0.632785714285714
C12orf11	-1.5265
BMF	0.389375
MAN1A1	-1.90675
KIAA1600	0.699833333333333
NLGN4X	-0.82
ALOX12	-1.27033333333333
RB1CC1	1.2541
NEIL2	1.1425
EIF4E	0.0365238095238095
ABHD5	0.42175
EXOC4	-0.1045
CIP29	-0.651833333333333
BATF2	2.23025
SLC29A4	-0.808125
HTR4	0.084
EMB	2.00625
TRAF6	0.788
LMNB1	-5.2565
FAM19A5	-0.02675
SHE	1.55325
PIK3C2B	1.21725
C15orf15	-1.0889
USP15	-0.3056
TCEAL2	0.02925
C5orf39	-1.89233333333333
PTGER2	-2.59275
SLC31A1	0.0140625
IFT172	0.20175
ADAM29	0.2145
GFOD1	0.13475
ST7L	0.6445
C15orf26	-2.744
PKN3	-1.54525
CNTD1	4.05866666666667
COMMD1	-0.01025
NTRK2	1.84466666666667
FOXN3	-0.73925
MFGE8	-1.5247
PFKFB2	1.374
TAS2R4	-0.717
ENTHD1	-0.314333333333333
PRMT5	-0.890875
MGC16384	-0.636
LOC442229	-0.03125
TSKU	0.591
KRTCAP3	3.550625
PDLIM1	0.8026
KCNS2	0.034
RNF126	-0.468
CEP63	0.08375
CLIC4	-0.976375
hCG_1990170	-1.54475
ACR	0.3846
KLK7	-0.01575
ALOX5AP	1.17175
RIPK3	4.16425
TAS2R9	0.2275
C19orf18	2.1075
BIRC6	-0.156214285714286
ZNF16	1.1695
RFT1	-0.15575
SLC8A2	-0.55375
TACC1	-0.36275
ITGAD	0.722
SAMHD1	0.48175
SH3PXD2B	0.5989
EPC2	0.37175
C20orf85	1.09025
ATP13A2	-0.2
KRT4	0.029625
CAPNS1	-0.561
MDM2	0.819333333333333
PCDH20	1.4005
KCNK9	0.417
OR2C1	0.1765
KLHDC3	-0.763666666666667
IPPK	0.1325
EFHD2	-0.593875
GALR3	-0.22175
NBEA	1.152
ABCA6	0.6959
CLDN3	2.42333333333333
AKT2	-0.5755
EGFR	-2.1765
RBM16	0.370125
ZDHHC3	-0.0241
SLC25A4	0.223333333333333
CYB5B	-0.8415
CPXM1	-1.618
NDRG1	-1.88738461538462
FLJ43826	0.30025
OR5L2	0.0485
FARP2	0.1086
MRPL46	-1.03175
LDHAL6B	-0.0906666666666667
MAPKAPK3	0.244333333333333
NCAM2	-3.717
PRKD2	0.392
ZFP36L1	0.9388
CYSLTR1	2.22875
OR4C3	0.308
HIST1H2AJ	3.2465
CCNB2	-3.47655555555556
ZNF10	-0.026375
TMEM175	0.199
FAM134A	0.6965
TIGD4	0.731
PCNP	-0.3305
MGC39715	-0.32375
LQK1	0.451
CREB1	0.4659
TMPRSS3	-0.04075
C4orf32	1.82525
LAT	-2.79525
KCNA3	-0.513
SKIV2L2	-0.23575
ROPN1B	-1.44
tcag7.23	0.16
CDT1	-3.3625
ZHX2	1.12425
CD28	-4.3475
ZNF624	1.018
SEPT2	0.41475
SOHLH2	-2.44075
MCOLN3	-0.817285714285714
UNQ1945	0.2855
MASP2	-1.2605
ZNRF3	-0.1919
GPATCH3	-0.92325
AGL	-0.361
QRICH2	-0.2305
PSD4	1.24716666666667
CCNB1IP1	-1.21075
ENPP7	0.69525
OBFC1	-0.0215
KCNG3	-2.657
C14orf79	0.701166666666667
ENPEP	2.06133333333333
SCT	0.631
SKI	-0.0984999999999999
SEC61G	0.4855
CAPN11	0.8525
ATXN7L3	-0.1565
DBNDD1	-0.0498333333333333
FAIM	0.81
ANKRD36	-0.72
GABRP	0.478333333333333
TACSTD2	2.087
EIF3J	-0.97375
PPP2R2A	-0.3015
TEKT4	-0.0363333333333333
PVALB	-3.94666666666667
F10	-3.536
FAM134C	0.8862
COMP	3.058
EFCBP1	-3.6071875
SCLT1	0.28975
TAL1	-1.1245
ACSL1	0.2925
ABCC5	0.0614166666666667
ABL1	-0.697611111111111
RBBP7	0.890416666666667
PTPRG	-0.273375
NCOR1	0.1067
SPINK4	-0.0375
TXNRD1	-1.2881
TNRC15	0.931375
C9orf138	2.38
UBE2H	2.08683333333333
BRDT	2.57166666666667
C8orf31	0.272
CCNE2	-2.09909090909091
SLC6A8	-1.36975
CALCR	-2.5625
PPP1CB	0.349083333333333
ABHD8	-0.188
ARF5	0.1385
SLC24A4	0.6885
CCT3	0.98525
ZNF121	0.206125
SLC3A2	-0.9783
OR13A1	0.453
SLC5A10	0.162
RAD50	0.077625
IER5	-0.507125
MTHFD1L	-2.611625
MBTPS2	1.201
MVK	-0.58925
NCL	0.1833
PSMD10	0.26525
MOBP	0.427375
FLJ32894	-0.1305
HRH1	-0.018
C5orf30	0.77275
NUDT16L1	0.2892
RASGRP3	3.48016666666667
PRKRIP1	-0.338
CCDC75	0.21375
LOC253970	0.11575
KIAA1239	-0.094
MED21	0.211
SYT11	-0.170666666666667
NTSR2	0.35
EGFL11	0.32
CXorf59	0.67
OR2A25	0.26875
SPTBN2	-1.94125
LRMP	-2.50683333333333
RNF111	-0.7005
PTH	0.025
LOC619208	0.429666666666667
KIAA0895	0.89375
RANBP5	-0.818875
P2RY10	-1.24283333333333
NME5	4.88466666666667
DDX21	-0.4475
LRSAM1	0.0875
HDAC11	0.724166666666667
VMO1	0.78
NOLA2	0.154333333333333
ADAR	1.06933333333333
MTO1	-1.13916666666667
SF4	0.204
P2RX1	-0.2555
HBM	0.06475
EN2	-0.226
C14orf172	0.26375
TM9SF2	0.9572
INHBE	-0.483166666666667
TCTE3	-0.14075
TOX2	-3.882
CTAGE3	0.9165
HBB	3.6326
MED15	-1.499
CASR	0.1945
C6orf66	-0.614166666666667
MTPN	-0.21825
UNC50	-0.313
C21orf33	0.73375
IRF2	0.973
PGR	-1.53883333333333
GPR84	1.0115
CROCCL1	-2.4655
SRPX	-2.60125
BRE	0.264
FGF10	0.541666666666667
SDC3	-1.73283333333333
ZRSR1	0.495333333333333
DKFZP434P211	-0.189625
SOX6	0.065
RPUSD2	-0.472
C14orf173	-0.366916666666667
MAPK11	-1.02616666666667
TBC1D22A	0.161
FAM123A	0.308
COL4A6	-2.267
TOMM70A	0.4245
NAB1	-0.257
MGC16385	0.779875
TSPAN18	-0.264833333333333
MED31	-0.8055
PLG	-0.0335
CAPSL	4.7795
ZNF532	-0.1282
ASB14	-0.14425
CA8	-2.389
NUDT16P	2.56183333333333
SLFN11	-2.726
LRRIQ2	0.113625
NOL7	-0.179333333333333
BRMS1L	-0.366
JARID1A	0.758166666666667
PANK2	-0.0295
ICAM3	-0.32675
MDS1	0.737
TAF8	-0.92575
RNF139	0.94525
ZNF594	0.197833333333333
ADAM8	1.13425
SFTPC	-0.115125
MAN2B2	1.390625
RGS12	0.0605625
EIF1AY	-4.59783333333333
LRRIQ1	1.33433333333333
GPR150	-1.114
CCDC21	-2.0005
PRRG3	0.2125
SAA4	-4.403
RAPGEF5	0.645375
ZCCHC2	-0.30575
MGC39372	0.6835
PPP4R2	0.0763333333333333
CDCA2	-2.20933333333333
OR4D5	0.582
PTGFRN	0.0288
SIGLEC5	1.17
C19orf61	-0.8455
NMUR2	1.613
KIAA1586	-0.800666666666667
DAGLA	0.829833333333333
CHCHD6	-0.2425
GPR32	0.1585
NEUROD6	0.3105
SLC2A4RG	-0.131
CA5B	0.091
FBXL3	0.80375
MPHOSPH9	-1.31675
HMG2L1	-0.255
HCN4	-0.590666666666667
CEACAM19	0.27025
SH2D4B	-0.232166666666667
HFE2	-1.0095
TGM4	0.300666666666667
LYPD2	0.3255
TBC1D15	0.4255
MRPS21	0.9876
NONO	-0.8123
CLEC5A	0.374125
ITCH	0.4019
MGAT3	-1.52516666666667
MBP	-0.219714285714286
RPP25	-2.45125
SOSTDC1	1.778
HRC	-1.06775
TRIM48	-0.527
TMEM133	-0.79775
ECEL1P2	-0.98325
HOXC11	0.5955
DOK5	-1.7575
HELZ	0.398166666666667
LOC348180	-0.957
MGC33894	0.67675
ADRB3	0.1795
DMD	-0.584545454545454
PTRH2	0.3545
MPEG1	1.52866666666667
NDUFA12	0.204166666666667
KRTAP2-4	-0.0405833333333333
STAMBPL1	-1.075
ADCY2	-1.2845
UNQ6125	1.043
KLHL20	0.933333333333333
SRM	-1.57725
OTC	-0.0325
TMIE	0.2322
SNX8	-0.04825
LIPK	-0.0305
CHURC1	0.484583333333333
KLC2	0.303833333333333
HDAC1	-1.36783333333333
FAM128A	-0.8565
FNDC3B	-0.371
MTCP1	-0.861333333333334
WFDC10B	1.7722
PCDHGB3	1.545
ATRNL1	2.6332
CAV2	-1.455875
MED26	-0.204166666666667
DUS1L	0.383
CHRM3	-0.738
NEK9	0.28925
WARS2	-0.32125
TBX22	1.015
TOMM40	-0.83275
RP6-213H19.1	-0.693
TUBGCP5	-0.835
IGSF6	3.78475
TPPP	0.617
UNQ6190	-0.1695
GSTM5	-0.45225
BTD	0.890166666666667
PDCD1LG2	-0.740166666666667
SNRPB2	-0.104333333333333
ERICH1	0.41125
APOA4	-1.298
HOXA11	-1.7565
NARG1	-0.1515
MKX	1.63375
RAB28	0.0395714285714286
PKP3	1.66025
SH3GL2	-0.71225
CTSO	2.88275
RPN2	1.3944375
IL28RA	0.896166666666667
SFMBT1	0.49375
WDR57	-1.674375
FER1L3	1.30866666666667
HSF5	0.708666666666667
TTC9B	0.455
C4BPA	-3.48483333333333
ALB	-2.91578571428571
SORBS3	0.0945
UPF2	-0.014
JPH1	1.2065
AGBL2	-0.907333333333333
DOPEY1	1.5635
TERF1	-0.0249166666666667
KIF22	-0.72
NINJ1	0.60725
SEC61A2	-0.59325
HIST1H1D	-0.255
SFXN4	0.6345
UCP3	-0.3091
ZNF703	0.806166666666667
MYL6B	-0.54925
TREM1	1.36975
OR52E6	0.607
CKMT2	4.045
HLA-C	2.148625
SLC13A3	-0.123
TIMP4	-2.7575
SLIT2	0.71325
RSF1	0.333666666666667
LONRF1	-0.0025
MON1A	0.254333333333333
CACNG6	-1.97966666666667
DPPA4	-5.2865
ZSWIM3	0.4935
ZNF804A	-0.2525
CCIN	0.3235
SLC25A31	0.275
KCNMB4	-2.42175
RABL5	0.808125
GALNS	-0.5018
STX6	1.485375
HIST1H1C	-0.0608333333333333
CIDEB	0.467
CASP4	-0.684666666666667
PDK3	1.3765
KCNJ11	0.473
TPR	0.460375
ZSCAN20	-0.603
MTX2	0.214
HIST1H2BH	0.13375
LOC283767	-0.431
LYRM7	-1.29982352941176
BRD3	0.266
HIST1H2BO	0.21525
MAGEB10	0.594
SLC45A1	0.51075
SERPINA3	2.45355
KIAA0143	1.18525
KCNJ16	0.1674
KRT79	-1.007
FABP2	-0.699
NUT	-0.143333333333333
ZNF57	0.22275
FBXL4	0.495
CLEC9A	0.2215
UGT8	0.182166666666667
BMP2K	1.71925
MAPK4	-3.995
SLC25A23	-0.2343
HINT1	-1.3341
KRTAP13-1	0.171
SFXN5	-0.352
CHCHD2	0.636416666666667
FAM3D	2.7735
NDP	-1.782125
RHOBTB1	-0.3355
SLC4A4	-1.365875
RPL38	0.0195
HTF9C	-0.6375
AP2A2	0.352125
ZBTB46	-1.2915
MAP7D1	-0.72625
AOX1	-1.33616666666667
CYR61	-0.781666666666667
DTNA	-0.792571428571429
JRKL	0.35875
TMOD3	-1.33725
EEA1	0.7941
ADCK5	0.05025
IL1R1	2.10166666666667
KLK3	0.405571428571429
HRSP12	0.7725
KTN1	1.02525
LOH11CR2A	1.2814
RELL2	-1.21025
MAB21L1	0.16975
C20orf59	-0.8525
PHKB	1.01125
ADAM2	-2.03533333333333
TBC1D8B	2.854
FAM13A1	-0.5873125
LAPTM4B	-0.751583333333333
LCN8	0.408
TMEM147	0.9665
SYT4	0.2835
XPO7	-0.599
C9orf62	-0.89775
GPR75	0.6695
TRIM5	0.841375
APOC1	-1.45033333333333
RNASE4	1.11633333333333
PARD6B	1.208875
ARID1A	-0.376583333333333
TPD52L3	0.2818
RRAGB	1.82766666666667
RCN2	-1.056
HIST2H2BE	0.640375
STARD7	0.0635
SHMT2	-0.3315
KIAA1751	0.459166666666667
MLYCD	1.44175
LOC162632	0.1851
UQCRH	-2.00225
RP11-217H1.1	1.379875
SDHA	-1.16
NCLN	-0.1566
ZNF17	0.487333333333333
RCBTB2	-1.5255
VEGFB	-1.0931
RP4-747L4.3	0.648
COLQ	0.31
MPN2	-0.823
DRG2	-0.06925
KLRB1	1.52175
ALPK2	-4.525
DNASE2B	1.1825
FLJ23834	-0.484833333333333
AXUD1	0.743
SAFB	-0.2255
NSUN4	-0.98625
RFX2	-0.4045
MAPK8IP1	-0.4065
FANCD2	-1.53407142857143
ANKZF1	-1.20966666666667
C19orf50	-0.91025
DUSP8	1.45375
SENP5	0.35375
NFKBIL2	-0.76675
LBR	-1.789625
IGFL1	-0.0635
LZTS2	0.134
IL2RG	-1.522625
CCDC51	-0.1545
KLF3	0.384875
ANKRD37	-0.864
KCTD14	2.381
FZR1	0.173083333333333
SLC44A4	1.8107
ESPL1	-1.301375
GMPR2	-0.0761
TBC1D19	-0.216
ERGIC1	-0.110814814814815
ERBB4	3.5181
TSPAN32	-0.32025
MAP4	-0.380375
GPHN	0.31
SLC6A2	-0.142
HIVEP1	0.16525
DFFB	-0.789
EIF4EBP2	0.367
DMRT1	-0.0685
HSPB6	-0.0135
IER2	-0.0215
AIFM1	0.24825
WWC2	-0.244
MRPL4	-0.37775
FLJ21062	1.521
EPB41L4A	1.59825
SH2D6	1.29675
TAF4B	-1.448
GAL3ST3	-0.068
MALT1	-1.47933333333333
RTDR1	-0.6655
ARVCF	-1.391625
MEX3B	-1.99733333333333
FBXO16	3.133
KIF7	-1.8725
C1QC	3.74616666666667
ZNF783	0.461333333333333
ZNF85	-0.4385
MMP13	2.6965
KIAA0329	0.569125
RTP3	-1.5015
ZBED3	0.933
CLGN	0.48225
SLC25A37	-0.381791666666667
hCG_18290	0.248
OR5AS1	0.4325
SMARCC2	0.0809166666666667
FAM109A	-0.0143333333333333
CCDC12	-0.1795
USF2	-0.0557
DEPDC7	-4.344
C20orf24	-0.451
JMJD3	0.0825
DSP	1.7845
SLIC1	-0.021125
FAM20A	-1.338125
IRF2BP2	0.700375
ZNF230	-0.1295
MSN	-1.33978571428571
SLC9A5	-1.985
EPDR1	-1.7895
MUSK	0.733333333333333
ZNF434	0.338166666666667
