Hybridization REF	TCGA-B6-A0WZ-01A-11R-A109-07
IL20RA	0.895
LOC387856	-0.153666666666667
C1orf107	-0.963916666666667
UTS2R	2.7685
C19orf22	-0.28
SAFB2	0.3865
KIAA0652	-0.25325
KLRG1	-1.56866666666667
MS4A8B	0.629
FRAG1	1.07525
KIAA1546	0.72475
E2F4	-1.9058
CLEC4M	0.611333333333333
BTBD14A	-0.37375
KIAA0999	1.4398
GYPA	-3.53683333333333
TAC1	1.4223
TRAIP	-1.17133333333333
KIAA0232	1.4196
ERCC8	-1.612625
GPX4	0.8065
KIAA0368	0.035375
GPR157	-0.567166666666667
CTAGE4	0.5275
C9orf30	-1.5585
OR52A1	0.1175
HSP90B3P	-1.3915
ALG9	-0.0468
BTBD10	0.0625
SDK2	0.00149999999999997
BAIAP3	0.067
RABGGTB	-1.18275
ANKRD40	-0.642166666666667
KRT74	0.434
CALCOCO2	-0.270071428571429
SNCA	-4.31875
TMSL8	-3.443875
C2orf53	0.3575
ESRRB	-1.05625
ARHGAP26	1.49525
TDRD9	-2.51625
HRAS	0.820833333333333
KLRC4	-3.047
JAGN1	-0.150833333333333
BSDC1	0.37025
RNF43	-0.3527
NDUFAF1	-0.5595
PHF12	0.1475
OR1L3	0.42825
FOLR2	0.990083333333333
LYZL6	0.2464
tcag7.1260	-2.8625
WSB1	-1.34916666666667
PROS1	-1.5967
OSTN	0.5185
PSMB8	1.07725
SOCS4	-0.258375
DDIT4L	-0.2705
MAS1	0.209
MGC34796	2.73175
CSHL1	0.572333333333333
TBCCD1	-0.556
ZBTB7C	0.7075
AP2S1	0.873375
P15RS	-0.9293
VAT1	-1.3047
SHANK3	1.49166666666667
TUFM	-0.0266666666666667
THEG	-0.163
KRT34	-2.47275
SGSM3	0.562375
TOMM22	-0.603
SOCS3	-0.000833333333333371
CPO	1.3195
POP4	-0.07225
BHLHB3	0.2605
MALL	0.8275
OR1B1	0.144
PARK2	1.476
GPR124	-0.597125
LCE1E	0.791
RUVBL2	-0.03825
CGRRF1	0.8084
ACPL2	-0.161
WNT10B	-2.75975
BAIAP2L2	-2.1515
ISCA1	0.0635
C1orf125	1.92475
RPAP1	-1.406
RAI16	0.6285
RPL27	0.113125
NLRP9	-0.422
EPN1	0.37
LOC388610	-1.367375
SLC35A1	0.8224
GAL	-4.19575
SLC14A2	0.41075
RDH11	0.828166666666667
FAM138F	0.1095
AUH	0.35475
FLJ40243	1.03775
C14orf129	0.380166666666667
MBD2	0.3
ABHD14B	-0.04625
PIGT	0.229875
ALS2CR4	-0.06375
ALAS1	0.3029
FOXO1	-0.102666666666667
CRLF3	-1.884875
C20orf107	0.0705
FARS2	0.48275
CCDC28A	-0.022
NPHP3	-0.6915
OR13F1	0.2265
TSEN54	-0.67225
DEFB106B	0.110666666666667
OR8B4	0.852
STH	3.27925
ZC3H14	-0.13825
CBX2	0.076
TMEM49	-1.60675
C6orf21	0.614
FLJ20920	0.96175
CRTAP	-1.10192857142857
DDX50	-0.4705
STYXL1	-0.016
BLVRB	0.953
LOC147650	0.667666666666667
MMP24	0.087
GRID1	1.57916666666667
BANF1	-0.591
CTAGEP	0.45075
HMBS	-1.609
SLC25A24	-0.43
C14orf50	2.937
MRO	-0.676
SLC25A15	-0.134
FAM84B	0.4785
TDP1	-1.0495
C16orf78	0.287
C11orf57	0.166875
RFK	-1.4425
ZFYVE9	-2.2955
STCH	-1.9301
WIBG	0.7525
LOC283871	-0.359833333333333
GBA2	-0.2943
NDUFB3	0.72125
HSD17B13	-1.2275
GRIN3A	-0.1065
FMNL1	-1.49333333333333
SEPT7	-0.7377
GNLY	3.1285
GRAMD1C	1.11283333333333
ZNF165	0.21025
USP38	0.19325
FAM83A	-3.40466666666667
C14orf24	0.632083333333333
ARMCX3	0.836875
ARHGDIB	1.21233333333333
AK1	0.85175
KIAA1045	-0.33475
DNAJB13	-0.73
NEU2	0.344
HIST1H4B	-0.481166666666667
FAM20B	-0.2507
HES2	2.66178571428571
FAM73B	0.0152
LOC388381	0.4785
INTS7	0.306272727272727
AMPH	0.756
ZNF775	0.757875
UCKL1	-0.9955
C10orf97	-0.1015
C1orf161	0.73875
ALDH1L1	-2.376
FLJ39378	-0.335125
SLC23A1	-0.2885
RBM4B	-0.5195
THAP4	0.562333333333333
OGFRL1	0.94625
KIAA0831	0.5675
PPP1R15A	-0.3425
C1orf96	-0.462714285714286
C12orf11	-3.18325
BMF	0.885125
MAN1A1	-2.188375
KIAA1600	0.474166666666667
NLGN4X	-0.09275
ALOX12	-1.68416666666667
RB1CC1	-0.4124
NEIL2	-0.00520000000000006
EIF4E	-0.8005
ABHD5	-0.18675
EXOC4	0.0716666666666667
CIP29	-0.603
BATF2	0.42175
SLC29A4	-0.784375
HTR4	0.263
EMB	-3.14
TRAF6	0.427
LMNB1	-2.20125
FAM19A5	-0.731875
SHE	1.69325
PIK3C2B	1.46175
C15orf15	-1.0476
USP15	-0.3143
TCEAL2	0.229
C5orf39	-0.894166666666667
PTGER2	-2.88475
SLC31A1	0.6728125
IFT172	0.46775
ADAM29	0.4605
GFOD1	1.23075
ST7L	0.412833333333333
C15orf26	-3.43725
PKN3	-1.2685
CNTD1	1.26833333333333
COMMD1	1.43125
NTRK2	3.7035
FOXN3	-1.007875
MFGE8	-0.9426
PFKFB2	0.468
TAS2R4	-0.12625
ENTHD1	-0.279333333333333
PRMT5	-1.1595
MGC16384	-0.99575
LOC442229	0.32325
TSKU	-0.201625
KRTCAP3	1.11375
PDLIM1	1.21
KCNS2	0.17775
RNF126	0.00733333333333332
CEP63	0.128375
CLIC4	-1.912125
hCG_1990170	-1.55675
ACR	0.9857
KLK7	0.145
ALOX5AP	1.708
RIPK3	4.898
TAS2R9	0.423
C19orf18	3.108
BIRC6	-0.175785714285714
ZNF16	1.3245
RFT1	-0.421
SLC8A2	-1.0905
TACC1	0.226875
ITGAD	-0.07925
SAMHD1	-0.04625
SH3PXD2B	0.6862
EPC2	0.62875
C20orf85	0.85925
ATP13A2	0.741
KRT4	4.47425
CAPNS1	0.3765
MDM2	0.1445
PCDH20	1.2455
KCNK9	1.034
OR2C1	0.546
KLHDC3	-1.02066666666667
IPPK	0.63
EFHD2	0.313
GALR3	2.661
NBEA	1.4235
ABCA6	1.9906
CLDN3	2.6005
AKT2	-0.364428571428571
EGFR	-2.3465
RBM16	0.0865
ZDHHC3	0.7974
SLC25A4	-0.570166666666667
CYB5B	-2.32133333333333
CPXM1	0.002
NDRG1	-1.91930769230769
FLJ43826	0.84825
OR5L2	0.106
FARP2	1.3876
MRPL46	-0.512083333333333
LDHAL6B	0.283166666666667
MAPKAPK3	-0.096
NCAM2	1.44825
PRKD2	0.7345
ZFP36L1	2.1909
CYSLTR1	0.00949999999999998
OR4C3	0.101
HIST1H2AJ	2.626
CCNB2	-2.269
ZNF10	0.543875
TMEM175	1.038
FAM134A	0.971666666666667
TIGD4	-0.2085
PCNP	-1.039
MGC39715	0.94125
LQK1	-0.803
CREB1	0.403
TMPRSS3	3.1575
C4orf32	2.710625
LAT	-2.34816666666667
KCNA3	-0.2295
SKIV2L2	-1.29025
ROPN1B	-2.458
tcag7.23	-0.0595
CDT1	-2.64525
ZHX2	0.59025
CD28	-4.7185
ZNF624	0.09575
SEPT2	0.855083333333333
SOHLH2	-1.779
MCOLN3	-1.29
UNQ1945	1.0085
MASP2	-1.065
ZNRF3	-1.5267
GPATCH3	-0.6375
AGL	-0.2165
QRICH2	-0.3755
PSD4	1.469
CCNB1IP1	-1.49
ENPP7	0.20375
OBFC1	0.29475
KCNG3	-2.40675
C14orf79	1.62816666666667
ENPEP	1.42733333333333
SCT	2.5565
SKI	1.327625
SEC61G	-0.46125
CAPN11	-0.1025
ATXN7L3	-0.69725
DBNDD1	-0.691
FAIM	-0.11925
ANKRD36	0.894
GABRP	0.0381666666666666
TACSTD2	2.41566666666667
EIF3J	-1.04725
PPP2R2A	-0.73525
TEKT4	0.876
PVALB	-2.941
F10	-2.33983333333333
FAM134C	0.4232
COMP	5.096875
EFCBP1	-3.27025
SCLT1	0.38875
TAL1	-1.2798
ACSL1	-0.54425
ABCC5	-0.148666666666667
ABL1	0.0567222222222222
RBBP7	-0.730083333333333
PTPRG	-0.661
NCOR1	-0.9701
SPINK4	3.63716666666667
TXNRD1	-2.4557
TNRC15	1.519375
C9orf138	0.00437500000000002
UBE2H	1.62183333333333
BRDT	0.379333333333333
C8orf31	-0.06125
CCNE2	-1.23209090909091
SLC6A8	-1.933375
CALCR	-4.20375
PPP1CB	0.11725
ABHD8	0.88325
ARF5	1.0468
SLC24A4	-0.146
CCT3	-0.61675
ZNF121	1.21425
SLC3A2	-0.9032
OR13A1	0.639
SLC5A10	-0.54
RAD50	-0.25125
IER5	1.159625
MTHFD1L	-2.71975
MBTPS2	0.164
MVK	-0.50525
NCL	-0.2446
PSMD10	-1.07375
MOBP	0.424625
FLJ32894	0.32
HRH1	-0.420833333333333
C5orf30	1.55125
NUDT16L1	1.5263
RASGRP3	3.4245
PRKRIP1	0.2856
CCDC75	0.805
LOC253970	0.19
KIAA1239	-0.3345
MED21	0.03
SYT11	-0.216
NTSR2	-0.06
EGFL11	1.258
CXorf59	0.664
OR2A25	0.2285
SPTBN2	0.53875
LRMP	-1.967
RNF111	-0.2945
PTH	-0.1935
LOC619208	1.318
KIAA0895	1.1475
RANBP5	-1.199875
P2RY10	-0.988333333333333
NME5	4.42966666666667
DDX21	-1.9645
LRSAM1	0.703
HDAC11	2.13116666666667
VMO1	2.679
NOLA2	-0.608333333333333
ADAR	0.34775
MTO1	-1.1745
SF4	0.966333333333333
P2RX1	-0.162166666666667
HBM	0.287
EN2	2.5725
C14orf172	0.3365
TM9SF2	-0.4629
INHBE	-2.08016666666667
TCTE3	-0.0759166666666667
TOX2	-3.77525
CTAGE3	0.851
HBB	3.8378
MED15	-0.172833333333333
CASR	0.61625
C6orf66	-1.85333333333333
MTPN	0.57425
UNC50	-0.2275
C21orf33	-0.07475
IRF2	0.687
PGR	4.2435
GPR84	1.87725
CROCCL1	-2.4315
SRPX	-2.1885
BRE	0.746166666666667
FGF10	1.053
SDC3	0.739333333333333
ZRSR1	0.0503333333333333
DKFZP434P211	0.0385
SOX6	-0.1275
RPUSD2	-0.4365
C14orf173	0.195083333333333
MAPK11	0.646666666666667
TBC1D22A	0.396
FAM123A	-1.042
COL4A6	-1.2835
TOMM70A	-0.7675
NAB1	-0.329
MGC16385	-1.062625
TSPAN18	0.629666666666667
MED31	-0.4235
PLG	-0.4655
CAPSL	4.276
ZNF532	0.3843
ASB14	0.2825
CA8	0.69675
NUDT16P	1.5315
SLFN11	-2.1325
LRRIQ2	0.6865
NOL7	-0.3685
BRMS1L	-1.377875
JARID1A	0.5
PANK2	-0.23975
ICAM3	0.132
MDS1	-0.80475
TAF8	-0.59525
RNF139	1.02875
ZNF594	-0.959333333333333
ADAM8	1.35775
SFTPC	-0.175375
MAN2B2	1.60275
RGS12	0.77925
EIF1AY	-5.00383333333333
LRRIQ1	0.315
GPR150	3.118
CCDC21	-1.89383333333333
PRRG3	0.62825
SAA4	-3.937
RAPGEF5	2.9805
ZCCHC2	0.629583333333333
MGC39372	1.1625
PPP4R2	-0.524166666666667
CDCA2	-1.90516666666667
OR4D5	0.291333333333333
PTGFRN	1.2845
SIGLEC5	1.1
C19orf61	-0.155166666666667
NMUR2	0.512
KIAA1586	-2.33283333333333
DAGLA	0.79
CHCHD6	-0.36875
GPR32	0.223
NEUROD6	0.279833333333333
SLC2A4RG	0.7750625
CA5B	-0.0725
FBXL3	1.44
MPHOSPH9	-1.12625
HMG2L1	0.11775
HCN4	1.88466666666667
CEACAM19	-0.29375
SH2D4B	-0.3015
HFE2	-0.812
TGM4	0.1668
LYPD2	0.17925
TBC1D15	-0.04275
MRPS21	-0.1106
NONO	-1.1528
CLEC5A	2.299375
ITCH	0.1969
MGAT3	-1.3485
MBP	-1.00325
RPP25	-1.55925
SOSTDC1	-2.37625
HRC	-1.8285
TRIM48	0.141
TMEM133	-0.62675
ECEL1P2	-1.22725
HOXC11	-0.027
DOK5	-1.50625
HELZ	0.327166666666667
LOC348180	-1.3
MGC33894	0.57025
ADRB3	0.0225
DMD	-0.565833333333333
PTRH2	-0.57225
MPEG1	2.041
NDUFA12	0.216666666666667
KRTAP2-4	0.428833333333333
STAMBPL1	-1.668
ADCY2	-0.912333333333333
UNQ6125	0.035
KLHL20	-0.120166666666667
SRM	-1.1935
OTC	-0.3725
TMIE	0.126666666666667
SNX8	0.91425
LIPK	-0.325
CHURC1	0.191666666666667
KLC2	0.325
HDAC1	-0.623666666666667
FAM128A	1.912
FNDC3B	-0.4689
MTCP1	-0.360166666666667
WFDC10B	0.1289
PCDHGB3	0.417
ATRNL1	-3.0601
CAV2	-2.129
MED26	0.537
DUS1L	0.2455
CHRM3	-1.371625
NEK9	-0.0465
WARS2	0.17275
TBX22	0.888
TOMM40	-0.66925
RP6-213H19.1	-3.02016666666667
TUBGCP5	-1.78125
IGSF6	3.40175
TPPP	-0.217166666666667
UNQ6190	0.1345
GSTM5	2.626
BTD	0.859833333333333
PDCD1LG2	-0.8855
SNRPB2	-0.381
ERICH1	-0.798625
APOA4	-1.860875
HOXA11	-2.152
NARG1	-0.51275
MKX	3.843
RAB28	-0.905
PKP3	1.216
SH3GL2	-2.95525
CTSO	2.0715
RPN2	0.492125
IL28RA	0.0773333333333333
SFMBT1	1.52375
WDR57	-1.421875
FER1L3	0.851583333333333
HSF5	0.1556
TTC9B	1.0175
C4BPA	-3.99983333333333
ALB	-4.33385714285714
SORBS3	0.771875
UPF2	-1.349
JPH1	-1.8845
AGBL2	0.63075
DOPEY1	1.7535
TERF1	-0.916583333333333
KIF22	-0.153333333333333
NINJ1	2.81725
SEC61A2	0.033
HIST1H1D	0.1005
SFXN4	-0.207375
UCP3	0.9789
ZNF703	2.18283333333333
MYL6B	-0.34675
TREM1	2.19925
OR52E6	0.421
CKMT2	0.12575
HLA-C	2.39925
SLC13A3	-1.75283333333333
TIMP4	1.05775
SLIT2	2.34025
RSF1	0.209444444444444
LONRF1	-1.27
MON1A	0.2525
CACNG6	-1.075
DPPA4	-5.3115
ZSWIM3	-0.45425
ZNF804A	-0.3764
CCIN	2.62025
SLC25A31	-0.323666666666667
KCNMB4	-0.454
RABL5	1.424375
GALNS	-0.7792
STX6	1.08525
HIST1H1C	-0.397666666666667
CIDEB	-0.348
CASP4	0.361666666666667
PDK3	0.8031
KCNJ11	1.852
TPR	-0.213625
ZSCAN20	0.186
MTX2	0.42775
HIST1H2BH	0.58375
LOC283767	1.71575
LYRM7	-1.64877777777778
BRD3	-0.429833333333333
HIST1H2BO	-0.41325
MAGEB10	-0.2845
SLC45A1	0.06
SERPINA3	3.5176
KIAA0143	1.344
KCNJ16	0.0463333333333333
KRT79	0.49225
FABP2	-0.62325
NUT	-0.5735
ZNF57	0.0435
FBXL4	-1.24875
CLEC9A	0.377
UGT8	-2.1785
BMP2K	-0.095
MAPK4	-3.72225
SLC25A23	0.2969
HINT1	-0.1314
KRTAP13-1	-0.224
SFXN5	1.5615
CHCHD2	0.382333333333333
FAM3D	1.2035
NDP	-0.88725
RHOBTB1	-0.0663333333333333
SLC4A4	3.225375
RPL38	0.1205
HTF9C	-0.5205
AP2A2	0.54175
ZBTB46	-0.5115
MAP7D1	-0.266875
AOX1	-2.67066666666667
CYR61	0.678583333333333
DTNA	-1.88214285714286
JRKL	-0.7125
TMOD3	-0.403
EEA1	-0.38
ADCK5	0.281
IL1R1	-0.199833333333333
KLK3	1.01678571428571
HRSP12	-1.00375
KTN1	1.93225
LOH11CR2A	0.3743
RELL2	-0.9685
MAB21L1	0.156
C20orf59	-1.617
PHKB	0.03
ADAM2	-2.31683333333333
TBC1D8B	1.013
FAM13A1	-0.7409375
LAPTM4B	-2.23841666666667
LCN8	0.1005
TMEM147	1.082
SYT4	-0.163333333333333
XPO7	-0.686
C9orf62	3.126
GPR75	0.0105
TRIM5	0.614625
APOC1	-1.56016666666667
RNASE4	0.692166666666667
PARD6B	-0.478875
ARID1A	0.16425
TPD52L3	-0.0428
RRAGB	0.6315
RCN2	-1.34716666666667
HIST2H2BE	0.773125
STARD7	0.417
SHMT2	-1.7295
KIAA1751	-0.282166666666667
MLYCD	-1.460375
LOC162632	-0.7816
UQCRH	-1.38425
RP11-217H1.1	0.603625
SDHA	-1.4065
NCLN	-0.1793
ZNF17	1.38516666666667
RCBTB2	-2.13725
VEGFB	-0.1818
RP4-747L4.3	-0.45775
COLQ	0.7172
MPN2	-0.622833333333333
DRG2	-0.774
KLRB1	2.28525
ALPK2	-1.46475
DNASE2B	0.5455
FLJ23834	1.83816666666667
AXUD1	0.180666666666667
SAFB	-0.2214
NSUN4	0.38825
RFX2	-0.564833333333333
MAPK8IP1	-0.908166666666667
FANCD2	-0.783928571428571
ANKZF1	-1.51533333333333
C19orf50	-0.522
DUSP8	1.265875
SENP5	0.092375
NFKBIL2	-0.71675
LBR	-1.682
IGFL1	2.0835
LZTS2	0.549375
IL2RG	-1.71
CCDC51	-0.50475
KLF3	0.037875
ANKRD37	-0.79475
KCTD14	0.887
FZR1	1.04675
SLC44A4	4.0677
ESPL1	-0.947625
GMPR2	0.182
TBC1D19	-0.351333333333333
ERGIC1	0.671148148148148
ERBB4	4.1565
TSPAN32	-0.206833333333333
MAP4	-0.024375
GPHN	-1.581
SLC6A2	-0.548
HIVEP1	0.69875
DFFB	-0.5958
EIF4EBP2	0.43175
DMRT1	-0.44075
HSPB6	-0.12
IER2	0.292166666666667
AIFM1	-0.604
WWC2	0.9625
MRPL4	-0.3275
FLJ21062	3.552
EPB41L4A	2.16866666666667
SH2D6	0.1455
TAF4B	-2.44475
GAL3ST3	-0.452
MALT1	-1.31416666666667
RTDR1	0.8325
ARVCF	0.868625
MEX3B	-1.72316666666667
FBXO16	0.973
KIF7	-1.0845
C1QC	4.056
ZNF783	-0.528
ZNF85	0.23375
MMP13	4.965
KIAA0329	0.4085
RTP3	-0.595
ZBED3	-0.30525
CLGN	-0.384
SLC25A37	-0.873416666666667
hCG_18290	0.244
OR5AS1	-0.3015
SMARCC2	0.6945
FAM109A	-0.296666666666667
CCDC12	0.04825
USF2	0.7161
DEPDC7	-2.31475
C20orf24	-0.922166666666667
JMJD3	-0.0805
DSP	1.10121428571429
SLIC1	0.2105
FAM20A	-0.016625
IRF2BP2	0.551875
ZNF230	-0.162
MSN	-1.34935714285714
SLC9A5	-1.1075
EPDR1	-3.41
MUSK	0.19
ZNF434	0.848666666666667
SMARCD1	-0.363166666666667
