Hybridization REF	TCGA-E2-A10C-01A-21R-A10J-07
SLC25A46	-1.5415
LARP7	-1.2375
CD160	0.330666666666667
MT1JP	-1.32383333333333
PHF20	0.1945
CPNE4	2.6555
GTPBP1	-0.408714285714286
RAB33B	0.672666666666667
ALDOC	-2.88625
ZNF212	0.19075
NUDT1	-1.01433333333333
RFPL2	-0.10325
ZNF83	0.289666666666667
GDPD5	-0.696
PDCD4	1.21885
CEP350	-0.20325
OR10A2	0.2255
CST7	0.8895
CIAO1	-1.02275
SELL	1.5225
OR8J3	0.1315
LTBP4	-0.320166666666667
SIRT6	0.467
CCL19	4.8085
PPIL1	-1.3275
GBP7	0.557333333333333
STK17A	-0.6463
ABR	0.647
OR9G1	0.145
FOXE1	-0.573125
CNGA3	2.149
GML	0.4805
CD38	-1.61075
ZDHHC6	-0.2385
NEFH	-2.886
CTDSP2	0.756166666666667
PGBD5	-2.37966666666667
CCNY	0.670214285714286
RMND5B	0.116083333333333
ZNF257	0.11125
FLJ22167	-0.298125
EXOSC7	-0.681333333333333
ROR2	0.267
MAOA	0.083625
TNNT3	0.304166666666667
GYPC	-1.1535
C7orf33	0.088
PLIN	2.716
LOC90826	-0.49175
RNF4	0.2546
F8A1	0.267666666666667
PLEKHG4	-3.5705
GRB2	0.27075
HIST1H2AD	1.09975
DUS3L	-1.30633333333333
EIF1	-0.460166666666667
RP5-1077B9.4	-0.834
FPGT	0.17775
GDF10	1.60283333333333
COQ9	-0.06975
GCC2	-0.325214285714286
RARRES3	3.133375
PLXNA1	-0.424
KIAA0100	0.6744
PMF1	-0.30925
FNDC1	5.0835
HS2ST1	0.404833333333333
CRELD2	1.12725
C8G	-0.8165
CD82	1.19825
LIM2	-1.1775
UNQ6490	0.085
MMP16	-0.09725
DRD3	0.0175
C5orf26	-1.04775
C11orf73	-1.405875
PTP4A2	-0.556125
OR4M2	0.417
HPCA	-0.681833333333333
SEC14L1	-1.023
CHFR	0.204875
EMILIN1	0.859625
NDUFS4	-1.763
COL18A1	-0.509
PDZD3	0.2554
C9orf16	0.343833333333333
ERBB2IP	0.138333333333333
EMX2	3.0215
FUS	-0.328
TF	-3.6898
CLCN4	-0.699
CXorf56	0.44775
C11orf72	0.4345
ELAC2	-0.51525
NPR1	-1.1225
ASS1	-0.973
USP42	0.37375
POLR2J	0.5885
SEC23IP	0.344666666666667
UQCRC1	-0.83575
LOC729603	-0.495
C1orf71	-0.30075
POLG	-1.19
ADAM23	-3.5375
TFR2	-1.27925
RICTOR	-1.3224
MGC39606	0.16725
C19orf55	0.2115
SNAPC1	-0.0386666666666666
GNA11	1.062375
CCDC52	-0.377666666666667
FSIP1	1.427
UPF3A	-0.284125
IGSF11	-2.158
LAGE3	1.46525
CHST6	-0.524
UNC13B	0.099625
TTLL4	-0.667625
ZNF687	0.00137500000000001
SDC2	-0.0571
COX7A2	0.646
LAMB4	-0.177
FAM24A	0.2095
LRRTM3	-0.558
GPHB5	-0.11425
OR4C13	-0.1525
EIF3EIP	-0.683357142857143
HABP4	-1.8335
TMEM125	3.69375
CNTN2	0.404625
ASNSD1	-0.461
FUT4	-0.76625
ACF	-3.63775
LOC158381	-0.7515
CDH8	-0.062
AGPS	0.181833333333333
C4orf18	3.28125
PECI	-0.405583333333333
UNG	-0.649625
GSTP1	-2.6015
DCUN1D5	-1.36483333333333
DKFZP564J0863	-1.38625
SLC9A3R1	1.382
BCDO2	2.487125
CHMP7	-0.70825
REM2	2.1515
DNHD1	0.2115
FKBP4	0.127875
ZNF350	2.005
MGC11102	0.368875
BST1	0.369
KISS1R	1.552
NCR2	0.491
DEFB125	-0.4335
UBE2W	0.791375
KRT15	-0.26725
C10orf99	0.4955
SCN11A	0.116125
GFI1	-0.81375
RDHE2	-0.702333333333333
FHL1	-1.4775
OSGEP	0.611833333333333
GATA1	-3.3925
SMC6	-1.02625
TTTY14	-0.42125
LPIN3	-0.141
RPL4	-1.3871
RBPMS	0.6531
PRPF3	-0.0883333333333333
EMR1	-1.9725
SPATA19	-0.149
XCR1	0.4975
IRX3	1.0172
RBM6	0.01175
KLF4	-0.9382
UNC5CL	-1.1065
SEBOX	-0.1045
BTK	-0.6705
KRCC1	1.65025
C6orf27	0.3695
SYTL5	-0.6995
PRND	3.0565
LOC653319	-0.35
PIGL	-0.49375
HUS1	-0.715333333333333
SFRS6	0.41975
C17orf77	0.3805
UIMC1	-0.490166666666667
FXYD2	-1.6509
LOC283152	1.848
ZNF667	-1.4875
ZCCHC12	-0.49925
TFEC	2.2412
ATP7B	0.648
POLD2	-1.608
RG9MTD1	-1.0145
ACOT2	1.017
HIST1H4I	0.090625
PPARGC1A	-1.7603
ETFA	-1.5255
POLRMT	-0.0545
ZNF146	-0.00649999999999998
MIA2	-0.7755
KLHL6	-0.0181666666666667
HOXB5	2.94975
NENF	0.7625
CUGBP1	-0.00699999999999998
PRSS22	2.562
CASC4	1.1602
CUL4B	-0.1267
CENPJ	-2.0113
PITX1	0.853833333333333
FLJ31033	1.48616666666667
CELSR3	-1.883
ZNF568	0.65475
ITSN1	-0.582666666666667
EHBP1L1	-1.053
C19orf2	-0.5165
DCTN1	-0.41675
LIN28B	-2.76766666666667
TNKS2	-0.204
C1QBP	-0.268875
CADPS2	2.4525
SRMS	0.50025
GJA9	0.2765
MGC24975	0.71
TRIM45	-0.369333333333333
TSP50	-0.2645
TCP1	-1.42425
TMED7	-0.5762
CMA1	0.4835
CENPL	-0.690833333333333
PTCRA	0.1815
FST	-3.9435
VWCE	-2.62725
PAWR	-0.0725
ABCC12	3.12416666666667
LDLR	-2.4559
ASTN2	0.9427
LOC441212	-0.39275
GPATCH8	-0.307
TANC2	0.338583333333333
KIF4A	-1.08325
C18orf18	-1.45725
PGM1	-1.6875
KIAA0258	-0.718
CPD	0.175375
SNCAIP	-1.31
DCT	-4.28883333333333
HLA-DOA	2.64404545454545
OR11L1	0.5975
UPK1B	0.404166666666667
DNAJB4	-2.240125
UGT1A8	0.17875
HIST1H4L	-0.1085
PECR	-0.980333333333333
HSPA2	0.964
WFIKKN1	0.753
SERP1	0.43825
SYDE2	1.111
TACR2	0.782
NUP85	-0.525
CD177	1.45433333333333
LGR5	-1.614
PIGG	-0.2275
PTHR1	-1.60633333333333
RAB5A	-0.371
FLJ13224	0.1205
USP9Y	-1.21483333333333
C7orf53	0.833
LRP1B	3.05825
XAF1	3.8298
ABCG8	-0.2405
ANKDD1A	-0.336833333333333
DAND5	-1.5645
SPAG6	0.220166666666667
LINCR	1.48625
ZDHHC22	-1.583
CCDC60	-0.1975
THOC7	-1.5365
TCTA	0.5038
OR8K3	0.37775
NY-REN-7	0.0335
B2M	1.1575
C6orf141	0.762125
LPPR4	0.9825
SQLE	0.08925
SEPHS1	-0.3675
BTBD14B	1.05635714285714
PLRG1	-1.03075
SPG7	-0.520125
ZNF614	-0.2135
PARD6G	1.099
INPP5B	-1.5288
GRPEL2	-1.160625
PPID	-1.054
TRIM56	0.72875
UBE2J1	-1.05975
IL20RA	3.77625
LOC387856	0.42375
C1orf107	-0.142833333333333
UTS2R	1.61775
C19orf22	0.53225
SAFB2	0.198125
KIAA0652	-1.132875
KLRG1	-0.0691666666666667
MS4A8B	4.36866666666667
FRAG1	0.6055
KIAA1546	0.09575
E2F4	-1.0335
CLEC4M	0.405
BTBD14A	-1.30525
KIAA0999	-0.2757
GYPA	-3.44216666666667
TAC1	-0.2082
TRAIP	-1.57533333333333
KIAA0232	1.2673
ERCC8	-1.564625
GPX4	0.93775
KIAA0368	0.2055
GPR157	-0.383833333333333
CTAGE4	0.2345
C9orf30	-1.34083333333333
OR52A1	0.261
HSP90B3P	-0.814
ALG9	-0.4523
BTBD10	-0.33825
SDK2	0.2735
BAIAP3	2.21725
RABGGTB	-1.152
ANKRD40	-0.538333333333333
KRT74	0.173
CALCOCO2	0.447142857142857
SNCA	-3.70075
TMSL8	0.4145
C2orf53	-0.013
ESRRB	-0.4525
ARHGAP26	-1.37125
TDRD9	-2.549
HRAS	-0.0661666666666667
KLRC4	-1.9945
JAGN1	-0.555
BSDC1	0.75275
RNF43	0.2163
NDUFAF1	0.37575
PHF12	0.269
OR1L3	-0.07125
FOLR2	1.5545
LYZL6	0.156666666666667
tcag7.1260	-2.2535
WSB1	-1.11783333333333
PROS1	-1.3159
OSTN	0.5285
PSMB8	1.58325
SOCS4	-0.44175
DDIT4L	-0.67425
MAS1	0.199
MGC34796	0.8355
CSHL1	0.374
TBCCD1	-0.431166666666667
ZBTB7C	0.417
AP2S1	0.147375
P15RS	-0.9743
VAT1	-0.1644
SHANK3	1.258
TUFM	0.9405
THEG	-0.07475
KRT34	-1.4415
SGSM3	0.94125
TOMM22	-0.511125
SOCS3	1.03233333333333
CPO	0.221
POP4	0.248
BHLHB3	2.98975
MALL	0.233
OR1B1	0.3575
PARK2	0.063
GPR124	0.503625
LCE1E	0.0145
RUVBL2	-0.587
CGRRF1	-0.4252
ACPL2	-0.5755
WNT10B	-0.968125
BAIAP2L2	-2.243625
ISCA1	-0.2945
C1orf125	0.44025
RPAP1	-0.82075
RAI16	0.340833333333333
RPL27	-0.73925
NLRP9	0.2275
EPN1	0.211
LOC388610	-0.9005
SLC35A1	1.4214
GAL	-3.7925
SLC14A2	0.3195
RDH11	1.03966666666667
FAM138F	-0.073
AUH	-0.65525
FLJ40243	0.1155
C14orf129	0.188833333333333
MBD2	-0.528166666666667
ABHD14B	-0.111
PIGT	0.37575
ALS2CR4	0.016125
ALAS1	0.1632
FOXO1	-0.0388333333333333
CRLF3	-0.583
C20orf107	-0.3085
FARS2	-0.275
CCDC28A	0.4335
NPHP3	-1.144
OR13F1	0.2875
TSEN54	-0.04575
DEFB106B	0.1567
OR8B4	0.167
STH	2.24075
ZC3H14	-0.366125
CBX2	0.5025
TMEM49	-0.8535
C6orf21	0.299
FLJ20920	0.58575
CRTAP	-0.954571428571429
DDX50	-0.664
STYXL1	0.40075
BLVRB	0.640166666666667
LOC147650	0.755666666666667
MMP24	0.42
GRID1	2.81266666666667
BANF1	0.187333333333333
CTAGEP	0.059
HMBS	-1.689
SLC25A24	-0.872666666666667
C14orf50	0.80875
MRO	0.6645
SLC25A15	-0.8325
FAM84B	0.2398
TDP1	-0.543
C16orf78	0.0363333333333333
C11orf57	0.96475
RFK	-0.67975
ZFYVE9	-1.09325
STCH	-2.3969
WIBG	1.49625
LOC283871	0.362333333333333
GBA2	-0.8702
NDUFB3	-0.2785
HSD17B13	-0.353
GRIN3A	0.975166666666667
FMNL1	-0.187666666666667
SEPT7	-0.2314
GNLY	2.3285
GRAMD1C	0.1935
ZNF165	0.28725
USP38	0.4555
FAM83A	-0.492333333333333
C14orf24	0.5345
ARMCX3	0.94175
ARHGDIB	0.8425
AK1	0.533125
KIAA1045	0.05375
DNAJB13	-0.2485
NEU2	0.2725
HIST1H4B	-0.0735
FAM20B	-0.4869
HES2	1.72485714285714
FAM73B	0.0451
LOC388381	0.07775
INTS7	-0.342
AMPH	0.06525
ZNF775	0.557125
UCKL1	-0.904
C10orf97	-0.3655
C1orf161	0.21075
ALDH1L1	-1.37925
FLJ39378	-0.323375
SLC23A1	-0.954
RBM4B	-0.46
THAP4	0.338
OGFRL1	1.03
KIAA0831	0.609125
PPP1R15A	0.2545
C1orf96	-0.130285714285714
C12orf11	-1.2505
BMF	1.065875
MAN1A1	0.809375
KIAA1600	0.1545
NLGN4X	-1.66925
ALOX12	-0.84
RB1CC1	0.4154
NEIL2	-0.3602
EIF4E	-0.567136363636364
ABHD5	-0.96275
EXOC4	-0.255833333333333
CIP29	0.262333333333333
BATF2	0.84675
SLC29A4	-0.375875
HTR4	0.16275
EMB	-0.611
TRAF6	-0.547
LMNB1	-1.417
FAM19A5	-0.79225
SHE	0.95875
PIK3C2B	1.46725
C15orf15	-1.1
USP15	1.064
TCEAL2	-0.542
C5orf39	-0.122
PTGER2	-2.11925
SLC31A1	0.1450625
IFT172	1.07675
ADAM29	0.2895
GFOD1	1.39475
ST7L	-0.3705
C15orf26	-2.4045
PKN3	-1.58075
CNTD1	2.612
COMMD1	0.189625
NTRK2	1.95416666666667
FOXN3	-0.3305
MFGE8	-1.6497
PFKFB2	1.35833333333333
TAS2R4	0.04475
ENTHD1	0.3795
PRMT5	-1.49
MGC16384	-1.029
LOC442229	-1.00475
TSKU	0.498125
KRTCAP3	2.540125
PDLIM1	0.3897
KCNS2	-0.09925
RNF126	-0.152333333333333
CEP63	-0.40475
CLIC4	-1.029875
hCG_1990170	-0.90575
ACR	2.5182
KLK7	-0.04025
ALOX5AP	1.916
RIPK3	3.57675
TAS2R9	0.2
C19orf18	3.6015
BIRC6	0.210642857142857
ZNF16	1.229
RFT1	-0.42075
SLC8A2	-0.45375
TACC1	2.002125
ITGAD	0.95925
SAMHD1	1.11125
SH3PXD2B	0.6667
EPC2	0.20725
C20orf85	3.57875
ATP13A2	0.024
KRT4	2.15875
CAPNS1	0.1125
MDM2	2.15333333333333
PCDH20	1.01175
KCNK9	0.5435
OR2C1	0.39
KLHDC3	-1.28066666666667
IPPK	1.113
EFHD2	0.096625
GALR3	1.5035
NBEA	1.84583333333333
ABCA6	2.1429
CLDN3	3.49383333333333
AKT2	0.129857142857143
EGFR	-3.0698
RBM16	0.4985
ZDHHC3	0.675
SLC25A4	-1.06766666666667
CYB5B	-1.81066666666667
CPXM1	-1.12475
NDRG1	-2.14476923076923
FLJ43826	0.54225
OR5L2	0.263333333333333
FARP2	0.8689
MRPL46	-0.912083333333333
LDHAL6B	0.4416
MAPKAPK3	-0.693833333333333
NCAM2	1.52975
PRKD2	0.1985
ZFP36L1	1.6006
CYSLTR1	1.073
OR4C3	0.04525
HIST1H2AJ	1.8655
CCNB2	-2.23322222222222
ZNF10	0.165
TMEM175	0.838
FAM134A	0.470333333333333
TIGD4	-0.3235
PCNP	-1.02275
MGC39715	1.07325
LQK1	-1.0435
CREB1	0.4891
TMPRSS3	0.72
C4orf32	1.427375
LAT	-0.377333333333333
KCNA3	0.205
SKIV2L2	-1.44375
ROPN1B	-3.31
tcag7.23	-0.3995
CDT1	-2.74525
ZHX2	1.221625
CD28	-1.7695
ZNF624	0.807
SEPT2	0.299583333333333
SOHLH2	-2.37675
MCOLN3	-0.384375
UNQ1945	0.941
MASP2	-0.453
ZNRF3	0.044
GPATCH3	-0.58475
AGL	1.948125
QRICH2	-0.5755
PSD4	1.208
CCNB1IP1	-0.68875
ENPP7	0.01475
OBFC1	-0.59925
KCNG3	-1.21125
C14orf79	0.740583333333333
ENPEP	0.5685
SCT	1.037
SKI	1.109
SEC61G	0.50325
CAPN11	-0.095
ATXN7L3	0.548
DBNDD1	0.423166666666667
FAIM	-0.6045
ANKRD36	0.036
GABRP	-0.0655
TACSTD2	2.06933333333333
EIF3J	-1.10675
PPP2R2A	-1.8235
TEKT4	0.555333333333333
PVALB	-2.422
F10	-2.91833333333333
FAM134C	0.6915
COMP	5.075
EFCBP1	-3.2083125
SCLT1	0.7685
TAL1	-0.9193
ACSL1	1.38225
ABCC5	0.843833333333333
ABL1	-0.225277777777778
RBBP7	0.273833333333333
PTPRG	0.205625
NCOR1	-0.3566
SPINK4	2.35
TXNRD1	-1.355
TNRC15	1.63075
C9orf138	0.819875
UBE2H	1.20933333333333
BRDT	1.0565
C8orf31	-0.25175
CCNE2	-0.411909090909091
SLC6A8	-0.758625
CALCR	3.80925
PPP1CB	0.312833333333333
ABHD8	0.27075
ARF5	1.462
SLC24A4	0.287
CCT3	0.03
ZNF121	0.313125
SLC3A2	-1.2447
OR13A1	0.4545
SLC5A10	-0.00349999999999998
RAD50	-0.827375
IER5	0.54575
MTHFD1L	-2.83225
MBTPS2	-0.22225
MVK	-0.931125
NCL	-0.0977
PSMD10	-0.712
MOBP	0.335375
FLJ32894	-0.365
HRH1	-0.4965
C5orf30	0.52425
NUDT16L1	1.59
RASGRP3	3.1055
PRKRIP1	0.652
CCDC75	0.538
LOC253970	-0.127
KIAA1239	0.13825
MED21	-0.36425
SYT11	-0.0849166666666667
NTSR2	1.853
EGFL11	-0.7615
CXorf59	0.5915
OR2A25	0.2805
SPTBN2	0.70375
LRMP	-1.06766666666667
RNF111	-0.99475
PTH	0.3105
LOC619208	0.3275
KIAA0895	0.299
RANBP5	-1.7485
P2RY10	1.58766666666667
NME5	3.58583333333333
DDX21	-1.37125
LRSAM1	-0.0785
HDAC11	0.783166666666667
VMO1	3.19075
NOLA2	-0.301833333333333
ADAR	0.393166666666667
MTO1	-0.531166666666667
SF4	0.666833333333333
P2RX1	0.228
HBM	0.094
EN2	1.651
C14orf172	0.584
TM9SF2	-0.9965
INHBE	-1.16483333333333
TCTE3	0.201583333333333
TOX2	-2.5745
CTAGE3	0.640625
HBB	2.9246
MED15	-0.703166666666667
CASR	0.11575
C6orf66	-1.35166666666667
MTPN	0.831625
UNC50	-0.97875
C21orf33	-0.311875
IRF2	1.34175
PGR	-2.16416666666667
GPR84	2.1555
CROCCL1	-1.9345
SRPX	-1.44975
BRE	-0.122333333333333
FGF10	0.1045
SDC3	0.0783333333333333
ZRSR1	0.644333333333333
DKFZP434P211	-0.143375
SOX6	-0.3285
RPUSD2	0.07875
C14orf173	0.0363333333333333
MAPK11	-0.491833333333333
TBC1D22A	0.4095
FAM123A	-0.3575
COL4A6	-3.831
TOMM70A	-1.06475
NAB1	-1.736875
MGC16385	-0.2075
TSPAN18	0.495333333333333
MED31	0.04925
PLG	-0.23725
CAPSL	3.128
ZNF532	-0.0279
ASB14	-0.00950000000000001
CA8	-3.41775
NUDT16P	-0.171333333333333
SLFN11	-1.5525
LRRIQ2	0.1295
NOL7	0.0785
BRMS1L	-1.332625
JARID1A	0.932166666666667
PANK2	-0.19325
ICAM3	-0.07775
MDS1	-0.02775
TAF8	-0.742
RNF139	1.24075
ZNF594	0.679
ADAM8	1.837
SFTPC	-0.323125
MAN2B2	1.625125
RGS12	0.527
EIF1AY	-4.62008333333333
LRRIQ1	-0.711166666666667
GPR150	1.9185
CCDC21	-1.56383333333333
PRRG3	0.208
SAA4	-4.46825
RAPGEF5	0.8825
ZCCHC2	0.3695
MGC39372	0.3325
PPP4R2	-0.3545
CDCA2	-1.71166666666667
OR4D5	0.509
PTGFRN	0.3887
SIGLEC5	1.52483333333333
C19orf61	-0.164833333333333
NMUR2	0.159
KIAA1586	-1.73166666666667
DAGLA	0.772333333333333
CHCHD6	-1.242
GPR32	0.424
NEUROD6	0.17
SLC2A4RG	1.4224375
CA5B	1.2845
FBXL3	-0.2435
MPHOSPH9	-1.92275
HMG2L1	0.726
HCN4	1.2565
CEACAM19	0.675
SH2D4B	1.15616666666667
HFE2	-0.633
TGM4	0.1635
LYPD2	-0.1305
TBC1D15	0.29875
MRPS21	0.2249
NONO	-0.6718
CLEC5A	0.93475
ITCH	0.2966
MGAT3	-1.0075
MBP	-0.361625
RPP25	0.02025
SOSTDC1	1.6035
HRC	-1.68825
TRIM48	-0.059
TMEM133	-1.49925
ECEL1P2	-0.700666666666667
HOXC11	-0.025
DOK5	-0.12475
HELZ	0.634833333333333
LOC348180	-1.1195
MGC33894	0.337
ADRB3	0.298
DMD	-0.251083333333333
PTRH2	0.15325
MPEG1	2.7875
NDUFA12	-0.258166666666667
KRTAP2-4	0.249583333333333
STAMBPL1	-1.80433333333333
ADCY2	1.2115
UNQ6125	0.229
KLHL20	0.613666666666667
SRM	-1.35775
OTC	-0.24125
TMIE	0.073
SNX8	-0.052
LIPK	0.262
CHURC1	0.07675
KLC2	0.323
HDAC1	-0.173833333333333
FAM128A	1.564
FNDC3B	-1.4292
MTCP1	-0.149666666666667
WFDC10B	0.356
PCDHGB3	0.2125
ATRNL1	-1.1973
CAV2	-2.12525
MED26	0.380666666666667
DUS1L	1.694
CHRM3	-1.256
NEK9	0.403
WARS2	-1.20975
TBX22	0.357
TOMM40	-0.45425
RP6-213H19.1	-3.6655
TUBGCP5	-0.929
IGSF6	4.901
TPPP	1.01516666666667
UNQ6190	-0.39
GSTM5	1.432625
BTD	-0.845166666666667
PDCD1LG2	0.00299999999999998
SNRPB2	-0.0676666666666667
ERICH1	-0.64225
APOA4	-1.47975
HOXA11	-1.7685
NARG1	-0.94375
MKX	-0.805
RAB28	-0.942785714285714
PKP3	0.52775
SH3GL2	-1.85025
CTSO	1.38475
RPN2	0.2835
IL28RA	1.23633333333333
SFMBT1	0.17275
WDR57	-1.81325
FER1L3	0.47425
HSF5	0.211833333333333
TTC9B	0.8995
C4BPA	-3.69616666666667
ALB	-3.73
SORBS3	0.02225
UPF2	-0.43
JPH1	0.0405
AGBL2	-0.24125
DOPEY1	2.6565
TERF1	-0.0599166666666667
KIF22	0.5485
NINJ1	1.93975
SEC61A2	0.1405
HIST1H1D	1.72666666666667
SFXN4	-0.118
UCP3	0.6944
ZNF703	0.873
MYL6B	-0.32
TREM1	0.572
OR52E6	0.668
CKMT2	-0.3955
HLA-C	3.14125
SLC13A3	0.245666666666667
TIMP4	-2.44675
SLIT2	2.7035
RSF1	0.2145
LONRF1	-1.41207142857143
MON1A	-0.848333333333333
CACNG6	-1.0475
DPPA4	-4.8755
ZSWIM3	0.55725
ZNF804A	0.281166666666667
CCIN	0.636
SLC25A31	0.174
KCNMB4	-0.2555
RABL5	0.63025
GALNS	-0.1696
STX6	1.60425
HIST1H1C	1.82816666666667
CIDEB	-0.996
CASP4	1.31783333333333
PDK3	-0.5715
KCNJ11	0.327
TPR	0.219625
ZSCAN20	-0.708
MTX2	0.411
HIST1H2BH	0.84575
LOC283767	0.10025
LYRM7	-1.85044444444444
BRD3	1.11333333333333
HIST1H2BO	0.881
MAGEB10	1.212
SLC45A1	-0.14425
SERPINA3	2.3426
KIAA0143	0.99925
KCNJ16	-0.0716666666666667
KRT79	-0.1395
FABP2	-0.609
NUT	-0.36975
ZNF57	-0.1775
FBXL4	-0.5315
CLEC9A	0.269
UGT8	-1.31666666666667
BMP2K	0.18725
MAPK4	-3.58725
SLC25A23	-0.4455
HINT1	0.00139999999999998
KRTAP13-1	-0.0925
SFXN5	0.0527
CHCHD2	0.566166666666667
FAM3D	2.7195
NDP	-2.534
RHOBTB1	1.826
SLC4A4	-1.028625
RPL38	0.19
HTF9C	-0.4695
AP2A2	-0.226
ZBTB46	-0.0255
MAP7D1	-0.479375
AOX1	1.45733333333333
CYR61	0.0813333333333334
DTNA	-1.041
JRKL	-1.366
TMOD3	-0.28725
EEA1	-0.5374
ADCK5	0.557
IL1R1	0.538166666666667
KLK3	0.632928571428572
HRSP12	0.89625
KTN1	1.27825
LOH11CR2A	-0.8298
RELL2	-1.5345
MAB21L1	1.36025
C20orf59	-1.36866666666667
PHKB	-0.2845
ADAM2	-1.65433333333333
TBC1D8B	0.845166666666667
FAM13A1	-0.8885625
LAPTM4B	1.01166666666667
LCN8	0.2985
TMEM147	0.892
SYT4	0.0588333333333333
XPO7	-1.0945
C9orf62	2.06125
GPR75	0.491
TRIM5	0.645625
APOC1	0.951833333333333
RNASE4	0.256166666666667
PARD6B	-2.320625
ARID1A	0.0495
TPD52L3	-0.1254
RRAGB	0.561333333333333
RCN2	-0.941833333333333
HIST2H2BE	1.25725
STARD7	-0.2765
SHMT2	-1.8965
KIAA1751	0.132833333333333
MLYCD	-0.49925
LOC162632	-0.7372
UQCRH	-1.407
RP11-217H1.1	0.837125
SDHA	-1.76966666666667
NCLN	-0.2429
ZNF17	0.373666666666667
RCBTB2	-2.05525
VEGFB	-0.3206
RP4-747L4.3	0.04475
COLQ	0.3685
MPN2	-0.587333333333333
DRG2	-0.4645
KLRB1	5.1555
ALPK2	-2.673
DNASE2B	3.25625
FLJ23834	0.672166666666667
AXUD1	0.467333333333333
SAFB	0.3844
NSUN4	-0.64125
RFX2	0.762833333333333
MAPK8IP1	-0.844833333333333
FANCD2	-1.13592857142857
ANKZF1	-1.28366666666667
C19orf50	-0.708125
DUSP8	1.302375
SENP5	-0.399375
NFKBIL2	-0.3575
LBR	-1.241
IGFL1	0.1545
LZTS2	0.485875
IL2RG	0.127625
CCDC51	-0.297
KLF3	-0.080625
ANKRD37	-1.5125
KCTD14	-2.403
FZR1	-0.0926666666666667
SLC44A4	4.1399
ESPL1	-0.4365
GMPR2	-0.4883
TBC1D19	-1.04516666666667
ERGIC1	0.395740740740741
ERBB4	3.1321
TSPAN32	0.334666666666667
MAP4	-0.43275
GPHN	-1.47025
SLC6A2	-0.1585
HIVEP1	0.59775
DFFB	-0.3935
EIF4EBP2	1.443875
DMRT1	-0.106
HSPB6	-0.083
IER2	0.325666666666667
AIFM1	1.14
WWC2	0.41725
MRPL4	-0.61425
FLJ21062	1.8725
EPB41L4A	1.42825
SH2D6	0.70125
TAF4B	-1.406
GAL3ST3	-0.491
MALT1	-1.12233333333333
RTDR1	0.848
ARVCF	0.3985
MEX3B	-1.498
FBXO16	1.323
KIF7	-0.29475
C1QC	3.9305
ZNF783	-0.0395
ZNF85	-0.151
MMP13	5.4325
KIAA0329	1.077375
RTP3	-0.3385
ZBED3	0.35075
CLGN	0.57925
SLC25A37	-0.597958333333333
hCG_18290	-1.083
OR5AS1	0.265
SMARCC2	1.11875
FAM109A	0.0693333333333333
CCDC12	0.025
USF2	0.689
DEPDC7	-2.7575
C20orf24	-0.507166666666667
JMJD3	0.924
DSP	0.0382857142857143
SLIC1	0.243125
FAM20A	0.907875
IRF2BP2	0.184125
ZNF230	-0.8105
MSN	-0.832642857142857
SLC9A5	-1.2415
EPDR1	-2.5386
MUSK	0.164666666666667
ZNF434	1.0855
SMARCD1	-0.218333333333333
ZFP106	-0.74675
ZNF347	-0.158
GTF2E1	0.25975
