Hybridization REF	TCGA-A8-A07F-01A-11R-A00Z-07
FNDC1	5.25275
HS2ST1	-0.0535
CRELD2	0.44525
C8G	-1.6645
CD82	2.09925
LIM2	-0.7605
UNQ6490	0.087
MMP16	0.0185
DRD3	-0.2465
C5orf26	-0.541
C11orf73	0.547375
PTP4A2	0.597125
OR4M2	0.662
HPCA	-1.23233333333333
SEC14L1	-0.814166666666667
CHFR	0.0485
EMILIN1	0.623875
NDUFS4	-0.54225
COL18A1	0.179875
PDZD3	-0.3712
C9orf16	0.166
ERBB2IP	0.228166666666667
EMX2	4.61375
FUS	-0.54225
TF	-3.7456
CLCN4	-0.496833333333333
CXorf56	0.586
C11orf72	-0.318
ELAC2	0.12025
NPR1	-0.39425
ASS1	-2.664
USP42	0.54175
POLR2J	-0.1675
SEC23IP	0.6345
UQCRC1	-0.43325
LOC729603	-0.27025
C1orf71	0.198875
POLG	-2.4525
ADAM23	-2.9315
TFR2	-1.58075
RICTOR	-0.7864
MGC39606	-0.26775
C19orf55	-0.11525
SNAPC1	-1.64216666666667
GNA11	0.68075
CCDC52	-0.343
FSIP1	5.9975
UPF3A	-0.62
IGSF11	-3.52816666666667
LAGE3	0.83975
CHST6	-3.116
UNC13B	1.376125
TTLL4	-1.156125
ZNF687	0.454375
SDC2	0.6531
COX7A2	0.35675
LAMB4	-0.6255
FAM24A	0.08
LRRTM3	-1.29366666666667
GPHB5	-0.20425
OR4C13	-0.243
EIF3EIP	-0.629571428571429
HABP4	-0.8235
TMEM125	3.252
CNTN2	0.0755
ASNSD1	-0.21375
FUT4	-0.038625
ACF	-3.431
LOC158381	0.4595
CDH8	-1.021
AGPS	2.2115
C4orf18	2.09725
PECI	1.15366666666667
UNG	-0.289375
GSTP1	-2.151
DCUN1D5	-0.596
DKFZP564J0863	-0.1045
SLC9A3R1	2.059
BCDO2	-0.706375
CHMP7	0.94775
REM2	0.549
DNHD1	0.19825
FKBP4	0.254
ZNF350	2.804
MGC11102	0.396625
BST1	1.077
KISS1R	0.475
NCR2	0.4085
DEFB125	-0.0845
UBE2W	1.204
KRT15	0.71925
C10orf99	0.4585
SCN11A	-0.300125
GFI1	-2.44975
RDHE2	2.776
FHL1	-1.74383333333333
OSGEP	-0.4075
GATA1	-3.235
SMC6	-1.17
TTTY14	-0.9085
LPIN3	0.14625
RPL4	-0.7405
RBPMS	0.4851
PRPF3	-0.228333333333333
EMR1	-1.8245
SPATA19	0.09025
XCR1	0.247
IRX3	2.1029
RBM6	-0.77875
KLF4	-0.8604
UNC5CL	0.42125
SEBOX	0.1435
BTK	-0.30125
KRCC1	1.7095
C6orf27	0.24
SYTL5	-2.0285
PRND	3.46625
LOC653319	-1.4005
PIGL	0.270875
HUS1	-0.0985
SFRS6	-0.3745
C17orf77	-0.3375
UIMC1	-0.248166666666667
FXYD2	-1.787
LOC283152	0.049
ZNF667	-0.0005
ZCCHC12	-1.12975
TFEC	3.9452
ATP7B	0.883666666666667
POLD2	-0.820166666666667
RG9MTD1	0.11275
ACOT2	1.30433333333333
HIST1H4I	-1.4865
PPARGC1A	-0.6042
ETFA	-0.9169
POLRMT	-0.03
ZNF146	0.372625
MIA2	-1.1055
KLHL6	-0.278
HOXB5	-0.70075
NENF	1.05383333333333
CUGBP1	1.2445
PRSS22	1.5365
CASC4	0.7172
CUL4B	0.55
CENPJ	-1.8927
PITX1	0.541666666666667
FLJ31033	0.932333333333333
CELSR3	-1.33966666666667
ZNF568	1.34275
ITSN1	-0.406416666666667
EHBP1L1	-0.592
C19orf2	-0.60275
DCTN1	-0.30825
LIN28B	-4.38383333333333
TNKS2	0.667
C1QBP	-0.100625
CADPS2	1.3355
SRMS	0.03175
GJA9	0.329666666666667
MGC24975	-0.741833333333333
TRIM45	-0.054
TSP50	-0.08275
TCP1	-0.78425
TMED7	0.503
CMA1	1.5055
CENPL	-0.464
PTCRA	0.1915
FST	-3.91575
VWCE	-3.4845
PAWR	0.00425
ABCC12	1.6655
LDLR	-2.1525
ASTN2	1.2393
LOC441212	-0.466125
GPATCH8	0.01925
TANC2	-0.236666666666667
KIF4A	-1.38075
C18orf18	-1.1125
PGM1	-1.2525
KIAA0258	0.965
CPD	0.929
SNCAIP	-0.644
DCT	-4.03333333333333
HLA-DOA	2.97168181818182
OR11L1	0.332
UPK1B	-0.818
DNAJB4	-0.231
UGT1A8	-0.32875
HIST1H4L	-1.041
PECR	-1.71683333333333
HSPA2	2.3495
WFIKKN1	-0.9995
SERP1	0.1935
SYDE2	0.70025
TACR2	0.4405
NUP85	-0.1185
CD177	-0.623166666666667
LGR5	-2.4635
PIGG	0.2525
PTHR1	-1.48566666666667
RAB5A	-0.0736
FLJ13224	-0.567
USP9Y	-1.51833333333333
C7orf53	-0.6425
LRP1B	-1.22025
XAF1	2.1084
ABCG8	-0.071
ANKDD1A	-0.709166666666667
DAND5	-1.093
SPAG6	0.498666666666667
LINCR	1.43975
ZDHHC22	-1.457375
CCDC60	-0.674
THOC7	-1.34366666666667
TCTA	1.4409
OR8K3	-0.04
NY-REN-7	-1.7075
B2M	1.806
C6orf141	1.04275
LPPR4	1.939
SQLE	-1.596625
SEPHS1	-0.16675
BTBD14B	0.457357142857143
PLRG1	-0.26375
SPG7	-0.6735625
ZNF614	0.2825
PARD6G	0.951333333333333
INPP5B	-1.1253
GRPEL2	-0.130875
PPID	-0.6188
TRIM56	0.1025
UBE2J1	-0.11575
IL20RA	4.8625
LOC387856	-0.10175
C1orf107	1.59941666666667
UTS2R	0.59725
C19orf22	0.2055
SAFB2	-0.447125
KIAA0652	0.3615
KLRG1	0.4255
MS4A8B	2.989
FRAG1	1.145
KIAA1546	1.12425
E2F4	-1.2268
CLEC4M	-0.1745
BTBD14A	-0.06775
KIAA0999	0.5147
GYPA	-4.40066666666667
TAC1	2.9316
TRAIP	-1.43816666666667
KIAA0232	0.611
ERCC8	-0.808
GPX4	0.25425
KIAA0368	0.013875
GPR157	-1.1195
CTAGE4	2.095
C9orf30	-0.646166666666667
OR52A1	1.807
HSP90B3P	-0.4615
ALG9	0.3422
BTBD10	1.12225
SDK2	-0.46125
BAIAP3	2.12825
RABGGTB	-1.280875
ANKRD40	-0.4675
KRT74	0.567
CALCOCO2	0.116928571428571
SNCA	-2.912
TMSL8	-2.826625
C2orf53	-0.013
ESRRB	-0.244
ARHGAP26	-1.319875
TDRD9	-2.758
HRAS	-0.00483333333333334
KLRC4	-2.146
JAGN1	-0.8625
BSDC1	-0.00299999999999999
RNF43	0.235
NDUFAF1	0.8435
PHF12	0.41775
OR1L3	0.315
FOLR2	1.89191666666667
LYZL6	0.142333333333333
tcag7.1260	-1.7465
WSB1	-1.95
PROS1	-0.9564
OSTN	0.67
PSMB8	1.23725
SOCS4	-0.5075
DDIT4L	0.65075
MAS1	0.32
MGC34796	0.685
CSHL1	0.462166666666667
TBCCD1	0.073
ZBTB7C	0.6225
AP2S1	-0.058625
P15RS	0.351
VAT1	-0.0703
SHANK3	0.543833333333333
TUFM	0.385166666666667
THEG	-0.71075
KRT34	-2.01475
SGSM3	0.85475
TOMM22	-0.546375
SOCS3	0.931833333333333
CPO	2.154
POP4	0.768
BHLHB3	0.8
MALL	0.4
OR1B1	-0.206
PARK2	0.600833333333333
GPR124	0.824375
LCE1E	0.174
RUVBL2	-0.8555
CGRRF1	0.0944
ACPL2	0.7085
WNT10B	-2.703375
BAIAP2L2	-1.897625
ISCA1	0.698
C1orf125	3.69925
RPAP1	-0.54025
RAI16	0.298333333333333
RPL27	-0.5225
NLRP9	0.323
EPN1	0.2665
LOC388610	-0.3675
SLC35A1	1.3395
GAL	-4.13275
SLC14A2	0.09825
RDH11	-1.22383333333333
FAM138F	-0.5185
AUH	0.82425
FLJ40243	0.42425
C14orf129	0.809833333333333
MBD2	-0.388333333333333
ABHD14B	0.052
PIGT	0.028375
ALS2CR4	-0.470375
ALAS1	-0.0726
FOXO1	0.566333333333333
CRLF3	-0.385875
C20orf107	-1.024
FARS2	1.69275
CCDC28A	0.92925
NPHP3	-1.00575
OR13F1	0.321
TSEN54	-0.48575
DEFB106B	0.2012
OR8B4	0.4465
STH	2.46775
ZC3H14	-0.71925
CBX2	0.1195
TMEM49	-0.8255
C6orf21	0.503
FLJ20920	-0.359
CRTAP	-0.298357142857143
DDX50	0.02775
STYXL1	0.52425
BLVRB	0.167833333333333
LOC147650	1.72433333333333
MMP24	0.45775
GRID1	1.901
BANF1	-0.160333333333333
CTAGEP	0.555
HMBS	-0.738
SLC25A24	0.461833333333333
C14orf50	1.071
MRO	1.47416666666667
SLC25A15	-0.86775
FAM84B	1.4744
TDP1	-0.314
C16orf78	0.0291666666666667
C11orf57	0.4175
RFK	-0.437625
ZFYVE9	-0.069625
STCH	-0.8046
WIBG	0.78675
LOC283871	-0.123333333333333
GBA2	-0.3311
NDUFB3	-0.46725
HSD17B13	-0.65875
GRIN3A	1.58616666666667
FMNL1	-0.667833333333333
SEPT7	-0.4006
GNLY	3.79
GRAMD1C	0.0768333333333333
ZNF165	-0.14225
USP38	0.77175
FAM83A	-3.43916666666667
C14orf24	0.537083333333333
ARMCX3	1.75825
ARHGDIB	0.997166666666667
AK1	-0.0405
KIAA1045	-0.21125
DNAJB13	-0.540666666666667
NEU2	-0.0985
HIST1H4B	-1.02916666666667
FAM20B	0.8865
HES2	2.07692857142857
FAM73B	-0.2007
LOC388381	-0.3885
INTS7	0.506818181818182
AMPH	1.9405
ZNF775	0.3475
UCKL1	-0.882166666666667
C10orf97	0.521
C1orf161	0.18425
ALDH1L1	-1.89325
FLJ39378	-0.081125
SLC23A1	-0.8805
RBM4B	0.6475
THAP4	-0.0518333333333333
OGFRL1	0.74825
KIAA0831	0.403125
PPP1R15A	-0.522333333333333
C1orf96	0.0766428571428571
C12orf11	-1.856
BMF	1.087625
MAN1A1	0.616625
KIAA1600	0.9135
NLGN4X	-0.815
ALOX12	-1.42716666666667
RB1CC1	0.5539
NEIL2	0.818
EIF4E	0.153681818181818
ABHD5	0.09025
EXOC4	-0.0448333333333334
CIP29	-0.195833333333333
BATF2	-0.03425
SLC29A4	-0.169875
HTR4	0.4495
EMB	-1.355
TRAF6	0.929
LMNB1	-3.072
FAM19A5	-1.302375
SHE	1.41875
PIK3C2B	1.0085
C15orf15	-0.7799
USP15	-0.0278
TCEAL2	1.26625
C5orf39	-0.644666666666667
PTGER2	-0.81725
SLC31A1	0.344375
IFT172	0.109
ADAM29	-0.18125
GFOD1	-0.638
ST7L	0.0481666666666667
C15orf26	-1.1105
PKN3	-1.3965
CNTD1	2.90716666666667
COMMD1	0.248125
NTRK2	2.02558333333333
FOXN3	0.449375
MFGE8	-0.7039
PFKFB2	1.49666666666667
TAS2R4	-0.36625
ENTHD1	0.836833333333333
PRMT5	-0.88925
MGC16384	-0.904375
LOC442229	0.8995
TSKU	0.0475
KRTCAP3	1.792125
PDLIM1	0.8904
KCNS2	0.698
RNF126	-0.849666666666667
CEP63	-0.43175
CLIC4	-0.626125
hCG_1990170	-1.052
ACR	0.1388
KLK7	0.81575
ALOX5AP	3.030375
RIPK3	3.80925
TAS2R9	0.3195
C19orf18	2.677
BIRC6	-0.598285714285714
ZNF16	1.136
RFT1	-0.8245
SLC8A2	-0.61275
TACC1	-0.322625
ITGAD	1.92975
SAMHD1	1.17325
SH3PXD2B	1.0641
EPC2	0.46
C20orf85	1.9075
ATP13A2	0.6675
KRT4	0.247625
CAPNS1	-0.000999999999999997
MDM2	-0.705333333333333
PCDH20	1.924
KCNK9	0.7915
OR2C1	0.378
KLHDC3	-0.2215
IPPK	1.07
EFHD2	-0.801875
GALR3	0.5415
NBEA	0.910166666666667
ABCA6	3.4645
CLDN3	2.59883333333333
AKT2	0.0197857142857143
EGFR	-1.8412
RBM16	0.135
ZDHHC3	0.1416
SLC25A4	0.0176666666666667
CYB5B	-1.076
CPXM1	0.26225
NDRG1	-1.71638461538461
FLJ43826	0.38525
OR5L2	0.183333333333333
FARP2	0.00510000000000003
MRPL46	-0.054
LDHAL6B	0.436166666666667
MAPKAPK3	-0.524666666666667
NCAM2	1.25575
PRKD2	0.676166666666667
ZFP36L1	2.3653
CYSLTR1	1.98125
OR4C3	0.4815
HIST1H2AJ	2.1885
CCNB2	-2.63144444444444
ZNF10	0.007625
TMEM175	0.2705
FAM134A	0.853
TIGD4	-0.045
PCNP	-0.472
MGC39715	0.0695
LQK1	-1.263
CREB1	0.73
TMPRSS3	0.38425
C4orf32	0.980125
LAT	-1.28175
KCNA3	-0.4145
SKIV2L2	-0.55425
ROPN1B	-4.4075
tcag7.23	-0.5575
CDT1	-2.876875
ZHX2	1.21875
CD28	-2.545
ZNF624	1.2925
SEPT2	-0.04725
SOHLH2	0.45975
MCOLN3	-0.6815
UNQ1945	0.48
MASP2	-0.808
ZNRF3	-0.2134
GPATCH3	-0.1355
AGL	0.88875
QRICH2	-0.2625
PSD4	0.992
CCNB1IP1	-2.07
ENPP7	-0.13075
OBFC1	0.42975
KCNG3	-2.58366666666667
C14orf79	0.804083333333333
ENPEP	1.79016666666667
SCT	1.0535
SKI	0.44
SEC61G	-0.554
CAPN11	0.26
ATXN7L3	0.3405
DBNDD1	-0.318833333333333
FAIM	-0.1475
ANKRD36	-1.576
GABRP	1.51683333333333
TACSTD2	1.47483333333333
EIF3J	-0.52825
PPP2R2A	-0.19925
TEKT4	-0.662166666666667
PVALB	-2.59166666666667
F10	-2.06666666666667
FAM134C	1.0925
COMP	4.422
EFCBP1	-2.435
SCLT1	0.052625
TAL1	-1.1936
ACSL1	1.19275
ABCC5	0.521333333333333
ABL1	-0.150555555555556
RBBP7	0.52175
PTPRG	-0.50775
NCOR1	0.3897
SPINK4	2.6375
TXNRD1	-1.8077
TNRC15	0.103
C9orf138	2.809375
UBE2H	1.41266666666667
BRDT	0.282166666666667
C8orf31	-0.03625
CCNE2	-1.78863636363636
SLC6A8	-1.715125
CALCR	-1.1205
PPP1CB	0.181583333333333
ABHD8	-0.2205
ARF5	0.7141
SLC24A4	0.8975
CCT3	0.46075
ZNF121	0.38825
SLC3A2	-0.8952
OR13A1	0.405
SLC5A10	-0.22675
RAD50	0.47875
IER5	-0.198125
MTHFD1L	-2.6105
MBTPS2	1.14675
MVK	-0.285875
NCL	-0.2869
PSMD10	0.317
MOBP	0.326125
FLJ32894	0.024
HRH1	-0.786
C5orf30	1.96675
NUDT16L1	0.5044
RASGRP3	3.87366666666667
PRKRIP1	0.1849
CCDC75	-0.873
LOC253970	0.23525
KIAA1239	0.26025
MED21	-0.076
SYT11	0.526416666666667
NTSR2	-0.647
EGFL11	0.057
CXorf59	0.8365
OR2A25	-0.02925
SPTBN2	-0.143
LRMP	-1.60383333333333
RNF111	-0.07825
PTH	0.0315
LOC619208	1.06766666666667
KIAA0895	1.41225
RANBP5	-0.872125
P2RY10	1.60666666666667
NME5	4.95116666666667
DDX21	-0.66725
LRSAM1	0.2545
HDAC11	1.09783333333333
VMO1	1.38175
NOLA2	-0.0866666666666667
ADAR	1.7985
MTO1	-0.1795
SF4	0.1865
P2RX1	-0.3405
HBM	0.07475
EN2	0.693
C14orf172	-0.251
TM9SF2	0.2991
INHBE	-1.60733333333333
TCTE3	1.637
TOX2	-3.64525
CTAGE3	-0.12575
HBB	2.4812
MED15	-0.878166666666667
CASR	0.5105
C6orf66	0.0833333333333334
MTPN	-0.49325
UNC50	0.007
C21orf33	0.304875
IRF2	0.993625
PGR	5.44016666666667
GPR84	2.46475
CROCCL1	-1.8
SRPX	-1.96
BRE	-0.00683333333333334
FGF10	0.42325
SDC3	0.503166666666667
ZRSR1	0.810833333333333
DKFZP434P211	-0.406
SOX6	0.382
RPUSD2	0.3415
C14orf173	-0.279333333333333
MAPK11	-0.533833333333333
TBC1D22A	0.2965
FAM123A	-0.7375
COL4A6	-1.80083333333333
TOMM70A	-0.08275
NAB1	-0.765875
MGC16385	0.107
TSPAN18	-0.601666666666667
MED31	0.25125
PLG	-0.68825
CAPSL	1.6295
ZNF532	1.0101
ASB14	-0.38175
CA8	-3.62625
NUDT16P	-0.0725
SLFN11	-1.3725
LRRIQ2	-0.274875
NOL7	-0.410666666666667
BRMS1L	-0.571125
JARID1A	0.191
PANK2	-0.68175
ICAM3	0.166
MDS1	-0.1075
TAF8	-0.6075
RNF139	1.15175
ZNF594	0.0856666666666667
ADAM8	1.693375
SFTPC	-0.664142857142857
MAN2B2	1.4675
RGS12	0.73425
EIF1AY	-4.70508333333333
LRRIQ1	1.185
GPR150	0.66875
CCDC21	-1.17933333333333
PRRG3	0.4515
SAA4	-4.32825
RAPGEF5	1.072
ZCCHC2	0.3125
MGC39372	0.7515
PPP4R2	0.0405
CDCA2	-1.8065
OR4D5	0.733
PTGFRN	1.2168
SIGLEC5	2.35816666666667
C19orf61	0.00933333333333333
NMUR2	0.252
KIAA1586	-0.438
DAGLA	-0.0493333333333333
CHCHD6	-0.74275
GPR32	0.8485
NEUROD6	0.3245
SLC2A4RG	0.1305
CA5B	0.5655
FBXL3	1.0355
MPHOSPH9	-1.05475
HMG2L1	0.14975
HCN4	0.357333333333333
CEACAM19	0.52875
SH2D4B	0.654
HFE2	-1.504
TGM4	0.2
LYPD2	0.0205
TBC1D15	0.1495
MRPS21	0.8053
NONO	-0.3257
CLEC5A	2.042
ITCH	-0.6434
MGAT3	-1.271
MBP	0.0905000000000001
RPP25	-1.08775
SOSTDC1	0.161
HRC	-1.7105
TRIM48	-0.644
TMEM133	0.5655
ECEL1P2	-1.4865
HOXC11	2.471
DOK5	-0.96875
HELZ	-0.174
LOC348180	-0.622
MGC33894	0.44625
ADRB3	0.362
DMD	-0.301
PTRH2	-0.24525
MPEG1	3.382
NDUFA12	0.265
KRTAP2-4	0.280583333333333
STAMBPL1	-0.623666666666667
ADCY2	3.044
UNQ6125	0.4445
KLHL20	0.449333333333333
SRM	-0.91975
OTC	-0.10975
TMIE	-0.123833333333333
SNX8	0.2565
LIPK	0.049
CHURC1	0.293416666666667
KLC2	0.185333333333333
HDAC1	-1.4095
FAM128A	0.0773333333333333
FNDC3B	-0.3586
MTCP1	0.0556666666666667
WFDC10B	0.0395
PCDHGB3	-0.003
ATRNL1	-0.5303
CAV2	-0.133375
MED26	0.110666666666667
DUS1L	0.544
CHRM3	-1.866125
NEK9	0.1725
WARS2	-0.604
TBX22	0.693
TOMM40	-0.9855
RP6-213H19.1	-0.796
TUBGCP5	-0.73225
IGSF6	5.5
TPPP	0.198
UNQ6190	-0.5155
GSTM5	2.479
BTD	0.7895
PDCD1LG2	0.837166666666667
SNRPB2	-0.167666666666667
ERICH1	0.291375
APOA4	-1.765
HOXA11	-1.71075
NARG1	-0.010625
MKX	5.1315
RAB28	-0.0597142857142857
PKP3	1.3925
SH3GL2	-2.43525
CTSO	3.538
RPN2	0.0711875
IL28RA	-0.0758333333333333
SFMBT1	-0.4265
WDR57	-1.114125
FER1L3	1.02191666666667
HSF5	0.190833333333333
TTC9B	0.15875
C4BPA	-4.00516666666667
ALB	-3.5605
SORBS3	-0.277
UPF2	-0.3425
JPH1	2.318
AGBL2	1.11175
DOPEY1	1.548
TERF1	0.00533333333333333
KIF22	-0.708
NINJ1	2.297
SEC61A2	-0.3895
HIST1H1D	-2.36233333333333
SFXN4	0.089
UCP3	0.5745
ZNF703	1.00133333333333
MYL6B	-1.16125
TREM1	2.29575
OR52E6	0.5495
CKMT2	1.2745
HLA-C	2.469625
SLC13A3	0.041
TIMP4	-3.15275
SLIT2	1.7855
RSF1	0.271777777777778
LONRF1	-0.390285714285714
MON1A	-0.2745
CACNG6	-1.9545
DPPA4	-5.315
ZSWIM3	0.089
ZNF804A	0.442666666666667
CCIN	1.022
SLC25A31	0.17325
KCNMB4	-0.641
RABL5	0.8605
GALNS	-0.9136
STX6	0.927
HIST1H1C	-2.68866666666667
CIDEB	-0.8915
CASP4	0.947833333333333
PDK3	0.4579
KCNJ11	2.1855
TPR	0.231875
ZSCAN20	-1.039
MTX2	-0.2405
HIST1H2BH	-1.25125
LOC283767	1.38875
LYRM7	-0.731
BRD3	1.24116666666667
HIST1H2BO	-1.28825
MAGEB10	0.267
SLC45A1	0.138
SERPINA3	0.18435
KIAA0143	1.0345
KCNJ16	0.09
KRT79	0.6285
FABP2	-0.99925
NUT	-0.055
ZNF57	0.1625
FBXL4	0.49125
CLEC9A	1.36
UGT8	-1.59366666666667
BMP2K	0.49675
MAPK4	-3.60375
SLC25A23	-0.4446
HINT1	0.2893
KRTAP13-1	-0.008
SFXN5	-1.0118
CHCHD2	0.367166666666667
FAM3D	0.6155
NDP	1.490125
RHOBTB1	0.845666666666667
SLC4A4	-1.21075
RPL38	-0.27675
HTF9C	-1.31816666666667
AP2A2	0.88475
ZBTB46	-0.378
MAP7D1	-0.013125
AOX1	-0.5505
CYR61	0.100166666666667
DTNA	0.172928571428571
JRKL	0.03575
TMOD3	-0.5075
EEA1	0.4196
ADCK5	0.46725
IL1R1	3.08616666666667
KLK3	0.361571428571429
HRSP12	0.29125
KTN1	0.1395
LOH11CR2A	1.6625
RELL2	-1.284
MAB21L1	1.431
C20orf59	-1.2695
PHKB	-0.29375
ADAM2	-2.3255
TBC1D8B	2.05316666666667
FAM13A1	-0.8325
LAPTM4B	0.751083333333333
LCN8	-0.0405
TMEM147	0.614
SYT4	-0.03
XPO7	-0.047
C9orf62	0.772
GPR75	-0.1825
TRIM5	1.066375
APOC1	0.663166666666667
RNASE4	-0.0346666666666667
PARD6B	-1.608375
ARID1A	0.22625
TPD52L3	0.1039
RRAGB	1.69283333333333
RCN2	-1.13783333333333
HIST2H2BE	-1.35625
STARD7	-0.62525
SHMT2	-1.291
KIAA1751	-0.4945
MLYCD	0.82475
LOC162632	-0.5719
UQCRH	-1.34525
RP11-217H1.1	0.9375625
SDHA	-0.0635
NCLN	-0.2233
ZNF17	0.937666666666667
RCBTB2	-1.762
VEGFB	0.0058
RP4-747L4.3	1.50075
COLQ	0.5279
MPN2	-0.980666666666667
DRG2	0.16175
KLRB1	5.7405
ALPK2	-4.06025
DNASE2B	2.7735
FLJ23834	-0.572166666666667
AXUD1	0.350666666666667
SAFB	-0.346
NSUN4	-0.3605
RFX2	-0.2525
MAPK8IP1	-0.286666666666667
FANCD2	-0.7805
ANKZF1	-1.62516666666667
C19orf50	-0.245375
DUSP8	1.532
SENP5	-0.257375
NFKBIL2	-0.28475
LBR	-0.95125
IGFL1	0.8915
LZTS2	0.516875
IL2RG	-0.2835
CCDC51	0.0515
KLF3	0.5125
ANKRD37	-1.35175
KCTD14	-1.48133333333333
FZR1	0.44075
SLC44A4	4.3161
ESPL1	-1.29175
GMPR2	-0.1606
TBC1D19	-0.0166666666666667
ERGIC1	0.732851851851852
ERBB4	2.2878
TSPAN32	-0.0209166666666666
MAP4	-0.06675
GPHN	-1.25625
SLC6A2	-0.04825
HIVEP1	1.8945
DFFB	-0.1846
EIF4EBP2	0.37875
DMRT1	-0.65225
HSPB6	-0.14775
IER2	-0.112833333333333
AIFM1	0.73475
WWC2	0.27725
MRPL4	-0.2465
FLJ21062	1.20416666666667
EPB41L4A	1.60958333333333
SH2D6	0.17775
TAF4B	-0.551
GAL3ST3	-0.004
MALT1	-0.3255
RTDR1	-0.151
ARVCF	0.394875
MEX3B	-0.232833333333333
FBXO16	1.87425
KIF7	-1.33975
C1QC	4.3895
ZNF783	-0.0651666666666667
ZNF85	-0.12
MMP13	2.8755
KIAA0329	0.228375
RTP3	-0.8785
ZBED3	0.84725
CLGN	0.41
SLC25A37	-1.3175
hCG_18290	-0.8455
OR5AS1	0.0245
SMARCC2	0.307583333333333
FAM109A	0.681
CCDC12	-0.6505
USF2	0.5267
DEPDC7	-1.9745
C20orf24	-0.302833333333333
JMJD3	0.9825
DSP	2.09392857142857
SLIC1	0.676
FAM20A	1.545
IRF2BP2	0.4975
ZNF230	0.219
MSN	-0.886214285714286
SLC9A5	-1.8855
EPDR1	-2.2881
MUSK	0.280166666666667
ZNF434	0.401833333333333
