Hybridization REF	TCGA-AN-A0XT-01A-11R-A109-07
CCL19	5.234
PPIL1	-1.12666666666667
GBP7	-0.423833333333333
STK17A	-0.9538
ABR	-0.0435
OR9G1	0.277
FOXE1	-0.306875
CNGA3	1.5885
GML	0.4295
CD38	-2.4785
ZDHHC6	0.146166666666667
NEFH	-2.2635
CTDSP2	1.14933333333333
PGBD5	-1.46933333333333
CCNY	0.0219285714285714
RMND5B	0.66325
ZNF257	0.35575
FLJ22167	-1.2375
EXOSC7	-1.31316666666667
ROR2	-0.48775
MAOA	3.116
TNNT3	1.12133333333333
GYPC	-1.4715
C7orf33	0.768
PLIN	3.31966666666667
LOC90826	-0.84075
RNF4	-0.3966
F8A1	0.127333333333333
PLEKHG4	0.164
GRB2	1.0892
HIST1H2AD	0.8845
DUS3L	-1.2355
EIF1	-1.03466666666667
RP5-1077B9.4	-1.25066666666667
FPGT	1.16475
GDF10	1.19833333333333
COQ9	-0.5075
GCC2	0.318642857142857
RARRES3	3.0075
PLXNA1	-0.1329
KIAA0100	0.1061
PMF1	-0.058
FNDC1	4.243
HS2ST1	-0.489333333333333
CRELD2	-0.5185
C8G	-1.0905
CD82	-0.8475
LIM2	-0.567
UNQ6490	-0.2655
MMP16	-0.48325
DRD3	-0.047
C5orf26	0.20325
C11orf73	-1.10225
PTP4A2	2.04925
OR4M2	0.1385
HPCA	-1.10716666666667
SEC14L1	-0.268666666666667
CHFR	-0.402125
EMILIN1	0.4115
NDUFS4	0.03225
COL18A1	0.389375
PDZD3	-0.1026
C9orf16	-0.495333333333333
ERBB2IP	0.893
EMX2	2.998
FUS	-0.945
TF	-3.5161
CLCN4	-0.545166666666667
CXorf56	-0.35
C11orf72	0.1345
ELAC2	-1.07
NPR1	-0.27825
ASS1	-2.48666666666667
USP42	-0.356375
POLR2J	-0.8825
SEC23IP	0.620833333333333
UQCRC1	-0.97825
LOC729603	-0.39925
C1orf71	-0.21125
POLG	-2.2015
ADAM23	-3.562
TFR2	-1.618
RICTOR	-0.1795
MGC39606	0.75575
C19orf55	-0.214
SNAPC1	-1.543
GNA11	0.504
CCDC52	1.62116666666667
FSIP1	5.608
UPF3A	0.54925
IGSF11	-2.08733333333333
LAGE3	-0.842
CHST6	-3.1485
UNC13B	1.20425
TTLL4	-1.379875
ZNF687	0.687625
SDC2	-1.3071
COX7A2	0.1695
LAMB4	-0.29925
FAM24A	0.19
LRRTM3	-1.41433333333333
GPHB5	0.5465
OR4C13	0.248
EIF3EIP	-0.179571428571429
HABP4	-1.11
TMEM125	3.40575
CNTN2	0.21175
ASNSD1	-0.104
FUT4	-0.463625
ACF	-3.63175
LOC158381	0.6555
CDH8	0.52675
AGPS	-2.23416666666667
C4orf18	2.340125
PECI	0.91425
UNG	0.374875
GSTP1	-2.10775
DCUN1D5	-2.1265
DKFZP564J0863	-1.03725
SLC9A3R1	1.435625
BCDO2	-0.05675
CHMP7	-0.515
REM2	0.242
DNHD1	-0.321
FKBP4	0.070375
ZNF350	2.533
MGC11102	0.08275
BST1	-0.1245
KISS1R	0.065
NCR2	0.4065
DEFB125	-0.191
UBE2W	0.795
KRT15	0.326125
C10orf99	0.067
SCN11A	0.33975
GFI1	-2.407
RDHE2	3.62916666666667
FHL1	-0.585333333333333
OSGEP	-0.0523333333333333
GATA1	-3.11666666666667
SMC6	-1.37075
TTTY14	-0.39375
LPIN3	0.237
RPL4	-0.9261
RBPMS	0.1255
PRPF3	-0.0566666666666667
EMR1	-1.6755
SPATA19	0.26575
XCR1	0.4475
IRX3	2.9781
RBM6	-0.5175
KLF4	-0.6278
UNC5CL	1.02125
SEBOX	0.2675
BTK	-1.2415
KRCC1	1.55275
C6orf27	0.209
SYTL5	0.8215
PRND	1.617125
LOC653319	-1.585
PIGL	-0.766625
HUS1	-0.373
SFRS6	0.47875
C17orf77	0.28
UIMC1	0.0156666666666667
FXYD2	-1.3207
LOC283152	-0.62275
ZNF667	0.23575
ZCCHC12	-0.73675
TFEC	1.8927
ATP7B	1.32966666666667
POLD2	-1.38516666666667
RG9MTD1	-0.08575
ACOT2	0.0593333333333333
HIST1H4I	-1.079625
PPARGC1A	-1.9339
ETFA	-1.39
POLRMT	-0.71925
ZNF146	0.01775
MIA2	-0.225
KLHL6	-1.261
HOXB5	3.13725
NENF	0.716
CUGBP1	0.46
PRSS22	0.246
CASC4	1.5966
CUL4B	-0.1447
CENPJ	-1.6697
PITX1	-1.96466666666667
FLJ31033	0.343833333333333
CELSR3	-2.20716666666667
ZNF568	1.0045
ITSN1	-0.372416666666667
EHBP1L1	-0.722333333333333
C19orf2	-0.12225
DCTN1	0.042
LIN28B	-3.8195
TNKS2	-0.47675
C1QBP	-0.928625
CADPS2	2.065
SRMS	0.4665
GJA9	0.385333333333333
MGC24975	-0.570666666666667
TRIM45	1.31833333333333
TSP50	-0.12
TCP1	-0.998
TMED7	0.3105
CMA1	0.731
CENPL	-1.2105
PTCRA	-0.1075
FST	-4.1415
VWCE	-3.72125
PAWR	1.47525
ABCC12	0.17
LDLR	-0.9567
ASTN2	1.1767
LOC441212	-0.220375
GPATCH8	-0.3705
TANC2	-1.04883333333333
KIF4A	-2.6115
C18orf18	-1.25725
PGM1	-1.01575
KIAA0258	1.38075
CPD	1.40125
SNCAIP	-0.9045
DCT	-3.98283333333333
HLA-DOA	1.74618181818182
OR11L1	0.2095
UPK1B	-0.011
DNAJB4	-0.41925
UGT1A8	0.014
HIST1H4L	-1.2075
PECR	-1.58283333333333
HSPA2	2.3895
WFIKKN1	-1.1815
SERP1	1.29725
SYDE2	2.809
TACR2	0.8135
NUP85	-0.63325
CD177	0.5855
LGR5	-2.05683333333333
PIGG	-0.492416666666667
PTHR1	-1.76766666666667
RAB5A	0.3907
FLJ13224	-0.319
USP9Y	-1.5895
C7orf53	-0.1295
LRP1B	-0.4625
XAF1	0.8987
ABCG8	-1.54
ANKDD1A	-0.285666666666667
DAND5	-1.258
SPAG6	0.140333333333333
LINCR	2.7935
ZDHHC22	-1.22875
CCDC60	0.311
THOC7	-0.856833333333333
TCTA	0.2122
OR8K3	0.258
NY-REN-7	-0.83925
B2M	0.6675
C6orf141	0.75875
LPPR4	1.7155
SQLE	-1.533125
SEPHS1	-0.13975
BTBD14B	0.252142857142857
PLRG1	-0.8955
SPG7	-0.788
ZNF614	0.106166666666667
PARD6G	1.0105
INPP5B	-0.4294
GRPEL2	0.04125
PPID	-0.588
TRIM56	0.121
UBE2J1	-0.134625
IL20RA	2.3995
LOC387856	0.2045
C1orf107	0.323166666666667
UTS2R	0.546
C19orf22	-1.021
SAFB2	-0.337125
KIAA0652	0.380125
KLRG1	-0.782
MS4A8B	5.04483333333333
FRAG1	0.166
KIAA1546	-0.12225
E2F4	-1.4006
CLEC4M	0.0376666666666667
BTBD14A	-1.36425
KIAA0999	1.7556
GYPA	-3.4135
TAC1	1.3647
TRAIP	-1.9995
KIAA0232	0.0661
ERCC8	-1.49075
GPX4	-0.26925
KIAA0368	0.630125
GPR157	-0.866
CTAGE4	1.0935
C9orf30	-1.4025
OR52A1	0.2745
HSP90B3P	-0.514
ALG9	-0.7647
BTBD10	0.17425
SDK2	-0.33
BAIAP3	0.3065
RABGGTB	-0.577625
ANKRD40	-0.157666666666667
KRT74	0.7885
CALCOCO2	0.380714285714286
SNCA	-3.3895
TMSL8	-4.899125
C2orf53	-0.0205
ESRRB	-0.24025
ARHGAP26	-1.13225
TDRD9	-2.4245
HRAS	-1.2625
KLRC4	-1.9095
JAGN1	0.4305
BSDC1	1.33225
RNF43	0.1096
NDUFAF1	0.35
PHF12	0.3255
OR1L3	0.43725
FOLR2	0.736416666666667
LYZL6	0.151166666666667
tcag7.1260	-2.553
WSB1	0.352333333333333
PROS1	-0.7605
OSTN	0.282
PSMB8	-0.36725
SOCS4	-0.171125
DDIT4L	1.53175
MAS1	-0.2705
MGC34796	1.45225
CSHL1	0.115333333333333
TBCCD1	0.490166666666667
ZBTB7C	-0.1105
AP2S1	-1.000625
P15RS	-0.5257
VAT1	-0.2583
SHANK3	1.1395
TUFM	-0.104666666666667
THEG	-0.65225
KRT34	-1.2045
SGSM3	-0.7215
TOMM22	-0.9755
SOCS3	1.29416666666667
CPO	0.9195
POP4	-0.075
BHLHB3	0.0975
MALL	1.5325
OR1B1	0.3355
PARK2	0.4405
GPR124	0.618875
LCE1E	0.3105
RUVBL2	-0.78025
CGRRF1	0.8942
ACPL2	0.849
WNT10B	-2.37475
BAIAP2L2	-2.0715
ISCA1	0.854
C1orf125	0.2095
RPAP1	-0.64
RAI16	0.219
RPL27	-0.55775
NLRP9	-0.0845
EPN1	-0.091
LOC388610	-1.56525
SLC35A1	0.945
GAL	-4.1275
SLC14A2	0.1405
RDH11	-1.43966666666667
FAM138F	-0.2465
AUH	0.92225
FLJ40243	0.2985
C14orf129	-0.731166666666667
MBD2	1.64183333333333
ABHD14B	-0.57225
PIGT	1.109125
ALS2CR4	0.0415
ALAS1	-0.3686
FOXO1	1.3575
CRLF3	-0.773375
C20orf107	-0.384
FARS2	0.65
CCDC28A	1.24675
NPHP3	-0.47075
OR13F1	0.417
TSEN54	0.158
DEFB106B	0.0611
OR8B4	0.7305
STH	2.24375
ZC3H14	-0.719
CBX2	-0.2755
TMEM49	-1.773
C6orf21	0.3335
FLJ20920	1.35175
CRTAP	0.119285714285714
DDX50	0.085
STYXL1	0.169
BLVRB	0.332166666666667
LOC147650	0.299666666666667
MMP24	0.294
GRID1	1.50183333333333
BANF1	-0.619166666666667
CTAGEP	0.53825
HMBS	-3.067
SLC25A24	0.289666666666667
C14orf50	0.7765
MRO	-0.326
SLC25A15	-0.35925
FAM84B	1.2792
TDP1	-1.3495
C16orf78	-0.1275
C11orf57	-0.746375
RFK	0.3255
ZFYVE9	0.106
STCH	-1.9806
WIBG	0.69675
LOC283871	-0.356333333333333
GBA2	-0.2724
NDUFB3	-0.59525
HSD17B13	-0.59825
GRIN3A	0.410333333333333
FMNL1	-2.0225
SEPT7	-0.2707
GNLY	2.139
GRAMD1C	2.2695
ZNF165	0.62675
USP38	0.43375
FAM83A	-3.25383333333333
C14orf24	0.937333333333333
ARMCX3	0.800875
ARHGDIB	0.0215
AK1	-0.171
KIAA1045	2.77555756156289e-17
DNAJB13	-0.451
NEU2	0.1295
HIST1H4B	-1.20516666666667
FAM20B	-0.0116
HES2	-0.436428571428571
FAM73B	0.1738
LOC388381	-0.1715
INTS7	0.233818181818182
AMPH	0.56925
ZNF775	-0.23425
UCKL1	-0.166833333333333
C10orf97	0.04575
C1orf161	0.04825
ALDH1L1	-0.495
FLJ39378	0.1685
SLC23A1	-1.6285
RBM4B	0.15875
THAP4	-0.124166666666667
OGFRL1	0.71525
KIAA0831	0.4
PPP1R15A	-0.0501666666666667
C1orf96	-0.171642857142857
C12orf11	-1.19425
BMF	1.0595
MAN1A1	-0.931125
KIAA1600	0.972666666666667
NLGN4X	1.014
ALOX12	-1.092
RB1CC1	0.7977
NEIL2	0.1124
EIF4E	-0.597
ABHD5	-0.58525
EXOC4	-0.215666666666667
CIP29	-0.274666666666667
BATF2	-0.29575
SLC29A4	-1.1145
HTR4	0.56075
EMB	-2.04725
TRAF6	1.51725
LMNB1	-2.2595
FAM19A5	-0.93725
SHE	2.4735
PIK3C2B	1.80775
C15orf15	-0.5031
USP15	-0.2006
TCEAL2	0.42725
C5orf39	-0.8235
PTGER2	-1.937
SLC31A1	-0.269125
IFT172	0.3735
ADAM29	0.425
GFOD1	2.22875
ST7L	1.4695
C15orf26	-2.09975
PKN3	-0.738
CNTD1	1.95183333333333
COMMD1	-0.28425
NTRK2	2.9565
FOXN3	0.3435
MFGE8	-0.9098
PFKFB2	-0.678833333333333
TAS2R4	0.47625
ENTHD1	-0.0803333333333333
PRMT5	-1.078125
MGC16384	-0.347
LOC442229	-1.1655
TSKU	2.148625
KRTCAP3	3.187375
PDLIM1	0.5628
KCNS2	0.1645
RNF126	-0.7905
CEP63	0.151875
CLIC4	-0.48175
hCG_1990170	0.1615
ACR	0.5837
KLK7	0.917
ALOX5AP	2.2675
RIPK3	2.522
TAS2R9	0.52
C19orf18	0.967
BIRC6	0.512785714285714
ZNF16	1.336
RFT1	-0.99275
SLC8A2	-0.78275
TACC1	1.569
ITGAD	1.063
SAMHD1	0.257
SH3PXD2B	0.5473
EPC2	1.34425
C20orf85	0.124875
ATP13A2	0.5415
KRT4	0.411625
CAPNS1	-0.18375
MDM2	-0.645916666666667
PCDH20	3.0925
KCNK9	0.4295
OR2C1	-0.1035
KLHDC3	-1.23766666666667
IPPK	0.793
EFHD2	-0.46425
GALR3	0.42
NBEA	0.413333333333333
ABCA6	2.7348
CLDN3	1.88633333333333
AKT2	-0.461285714285714
EGFR	-2.2426
RBM16	0.879625
ZDHHC3	-0.477
SLC25A4	-1.44333333333333
CYB5B	-1.23233333333333
CPXM1	-1.2515
NDRG1	-0.0908461538461539
FLJ43826	0.38375
OR5L2	0.0748333333333333
FARP2	0.609
MRPL46	-0.660166666666667
LDHAL6B	0.234
MAPKAPK3	-1.29833333333333
NCAM2	-2.33175
PRKD2	0.274333333333333
ZFP36L1	0.7186
CYSLTR1	0.07675
OR4C3	0.5205
HIST1H2AJ	2.9725
CCNB2	-3.11511111111111
ZNF10	0.737375
TMEM175	0.2395
FAM134A	0.914333333333333
TIGD4	-0.3205
PCNP	0.0655
MGC39715	1.26625
LQK1	-0.3725
CREB1	0.8463
TMPRSS3	1.076
C4orf32	1.51525
LAT	-1.40725
KCNA3	0.1445
SKIV2L2	-0.89075
ROPN1B	-2.624
tcag7.23	0.6115
CDT1	-3.266875
ZHX2	1.773375
CD28	-4.58475
ZNF624	1.1955
SEPT2	-0.205083333333333
SOHLH2	-1.217125
MCOLN3	1.06575
UNQ1945	0.221
MASP2	-0.5265
ZNRF3	0.4314
GPATCH3	-0.7875
AGL	2.48375
QRICH2	0.4195
PSD4	1.11516666666667
CCNB1IP1	-1.4195
ENPP7	0.000999999999999999
OBFC1	-0.03825
KCNG3	-0.6395
C14orf79	0.252583333333333
ENPEP	1.67
SCT	0.47
SKI	0.388
SEC61G	-1.338
CAPN11	0.3535
ATXN7L3	-0.47825
DBNDD1	-0.9335
FAIM	1.654
ANKRD36	0.554
GABRP	2.42483333333333
TACSTD2	2.148
EIF3J	-0.07375
PPP2R2A	-0.6225
TEKT4	-0.424333333333333
PVALB	-2.36416666666667
F10	-2.38766666666667
FAM134C	0.4413
COMP	4.56925
EFCBP1	-2.415875
SCLT1	-0.238
TAL1	-0.4698
ACSL1	0.2845
ABCC5	0.829166666666667
ABL1	-0.533333333333333
RBBP7	0.995666666666667
PTPRG	0.0425
NCOR1	-0.1755
SPINK4	0.5785
TXNRD1	-2.1354
TNRC15	1.0995
C9orf138	0.87675
UBE2H	1.874
BRDT	5.28766666666667
C8orf31	-0.216
CCNE2	-2.67072727272727
SLC6A8	-0.79175
CALCR	-4.05425
PPP1CB	0.843666666666667
ABHD8	0.127
ARF5	-0.000699999999999998
SLC24A4	0.19075
CCT3	-0.491
ZNF121	0.24625
SLC3A2	-1.1875
OR13A1	0.0855
SLC5A10	0.3535
RAD50	0.2295
IER5	-0.00525000000000001
MTHFD1L	-2.78725
MBTPS2	-0.11325
MVK	-0.359375
NCL	-0.4422
PSMD10	-0.108
MOBP	0.093875
FLJ32894	0.072
HRH1	-1.12483333333333
C5orf30	1.82675
NUDT16L1	0.777
RASGRP3	3.84716666666667
PRKRIP1	-0.6763
CCDC75	-0.26925
LOC253970	0.1825
KIAA1239	0.897
MED21	-0.1235
SYT11	0.503083333333333
NTSR2	0.0105
EGFL11	-0.991
CXorf59	0.3525
OR2A25	-0.13725
SPTBN2	-1.084
LRMP	-1.43516666666667
RNF111	0.63275
PTH	0.218
LOC619208	-0.441
KIAA0895	1.23075
RANBP5	-0.415
P2RY10	0.2505
NME5	0.675833333333333
DDX21	-0.6735
LRSAM1	0.444
HDAC11	1.10283333333333
VMO1	0.2665
NOLA2	-0.188333333333333
ADAR	0.0350833333333333
MTO1	-0.767833333333333
SF4	0.169666666666667
P2RX1	0.191333333333333
HBM	0.0685
EN2	0.0935
C14orf172	0.03575
TM9SF2	1.219
INHBE	-1.21433333333333
TCTE3	-0.0569166666666667
TOX2	-2.37875
CTAGE3	0.744375
HBB	3.5404
MED15	-1.12616666666667
CASR	0.33375
C6orf66	-0.417833333333333
MTPN	-0.308125
UNC50	0.075
C21orf33	0.651625
IRF2	1.028625
PGR	-0.744333333333333
GPR84	1.6275
CROCCL1	-1.79525
SRPX	1.7655
BRE	0.00966666666666667
FGF10	0.64125
SDC3	0.715333333333333
ZRSR1	0.0836666666666667
DKFZP434P211	0.146125
SOX6	0.5345
RPUSD2	-0.148
C14orf173	-0.42875
MAPK11	-0.342
TBC1D22A	-0.116
FAM123A	-0.6765
COL4A6	-2.8835
TOMM70A	0.098
NAB1	-0.84675
MGC16385	-0.711
TSPAN18	0.238166666666667
MED31	-0.8025
PLG	-0.49525
CAPSL	-0.109
ZNF532	1.9148
ASB14	0.01325
CA8	0.442
NUDT16P	2.4995
SLFN11	-1.129
LRRIQ2	-0.972
NOL7	-0.193333333333333
BRMS1L	-0.73425
JARID1A	0.8645
PANK2	-0.45175
ICAM3	-0.64475
MDS1	0.14125
TAF8	-0.4715
RNF139	1.13125
ZNF594	0.116833333333333
ADAM8	0.707
SFTPC	-0.273
MAN2B2	0.7225
RGS12	0.328125
EIF1AY	-4.22666666666667
LRRIQ1	-1.505
GPR150	0.598
CCDC21	-1.584
PRRG3	0.13175
SAA4	-3.696
RAPGEF5	1.705875
ZCCHC2	1.56116666666667
MGC39372	-0.106
PPP4R2	-0.586166666666667
CDCA2	-3.15316666666667
OR4D5	0.195666666666667
PTGFRN	0.489
SIGLEC5	1.18416666666667
C19orf61	-0.8365
NMUR2	0.274
KIAA1586	-1.78016666666667
DAGLA	-1.69783333333333
CHCHD6	-0.18325
GPR32	0.4755
NEUROD6	0.192666666666667
SLC2A4RG	0.39725
CA5B	0.78175
FBXL3	1.6495
MPHOSPH9	-1.68575
HMG2L1	0.34425
HCN4	0.0585
CEACAM19	0.09025
SH2D4B	0.2995
HFE2	-0.6575
TGM4	0.0136666666666667
LYPD2	0.106
TBC1D15	0.04975
MRPS21	-0.5517
NONO	-0.8777
CLEC5A	0.8465
ITCH	0.4743
MGAT3	-0.529333333333333
MBP	0.689875
RPP25	0.1775
SOSTDC1	-1.08575
HRC	1.252
TRIM48	-0.0255
TMEM133	0.22275
ECEL1P2	-1.48875
HOXC11	-0.8895
DOK5	-0.982
HELZ	0.211833333333333
LOC348180	-1.379
MGC33894	0.3175
ADRB3	0.0455
DMD	0.02475
PTRH2	-1.21425
MPEG1	2.31916666666667
NDUFA12	-0.271333333333333
KRTAP2-4	0.0375833333333333
STAMBPL1	-2.05233333333333
ADCY2	-0.527666666666667
UNQ6125	0.3425
KLHL20	0.255666666666667
SRM	-2.096
OTC	0.55775
TMIE	0.103166666666667
SNX8	-0.21525
LIPK	0.0455
CHURC1	-0.671083333333333
KLC2	0.313
HDAC1	0.29
FAM128A	0.494
FNDC3B	-0.5866
MTCP1	-0.551833333333333
WFDC10B	-0.1126
PCDHGB3	0.0575
ATRNL1	-1.4672
CAV2	-0.290125
MED26	0.750166666666667
DUS1L	0.24625
CHRM3	-0.41975
NEK9	-0.507
WARS2	0.8305
TBX22	-0.386
TOMM40	-1.002
RP6-213H19.1	-0.5625
TUBGCP5	-1.3095
IGSF6	3.397
TPPP	2.15366666666667
UNQ6190	0.1705
GSTM5	0.022875
BTD	-0.108333333333333
PDCD1LG2	-0.230666666666667
SNRPB2	-0.139166666666667
ERICH1	-0.21525
APOA4	-1.5305
HOXA11	-2.464
NARG1	-0.523125
MKX	-0.42675
RAB28	-0.481357142857143
PKP3	0.16675
SH3GL2	-2.73575
CTSO	1.871
RPN2	-0.1205
IL28RA	1.033
SFMBT1	-0.30275
WDR57	0.137625
FER1L3	1.90583333333333
HSF5	0.249166666666667
TTC9B	-0.104
C4BPA	-3.38216666666667
ALB	-3.41685714285714
SORBS3	0.575875
UPF2	0.0355
JPH1	-0.436
AGBL2	-0.32875
DOPEY1	2.192
TERF1	-0.0918333333333333
KIF22	0.130333333333333
NINJ1	0.97925
SEC61A2	0.123833333333333
HIST1H1D	-1.519
SFXN4	0.12525
UCP3	0.7717
ZNF703	1.858
MYL6B	-0.20975
TREM1	-0.259
OR52E6	0.657
CKMT2	1.69975
HLA-C	1.490375
SLC13A3	-0.832833333333333
TIMP4	3.04725
SLIT2	2.8285
RSF1	0.520444444444445
LONRF1	-1.16471428571429
MON1A	-0.979166666666667
CACNG6	-0.957166666666667
DPPA4	-5.1465
ZSWIM3	0.8855
ZNF804A	-0.0296666666666667
CCIN	0.7345
SLC25A31	0.12725
KCNMB4	-1.10075
RABL5	0.85325
GALNS	-0.9888
STX6	0.574375
HIST1H1C	-0.187666666666667
CIDEB	0.673125
CASP4	-0.104833333333333
PDK3	-0.1744
KCNJ11	0.4685
TPR	-0.40825
ZSCAN20	-1.037
MTX2	-0.28525
HIST1H2BH	-0.1395
LOC283767	1.23175
LYRM7	-1.01438888888889
BRD3	0.146
HIST1H2BO	0.153
MAGEB10	-0.1385
SLC45A1	0.4105
SERPINA3	1.70945
KIAA0143	0.99425
KCNJ16	0.931666666666667
KRT79	-0.099
FABP2	-0.3505
NUT	-0.19025
ZNF57	-0.41
FBXL4	0.93275
CLEC9A	0.534
UGT8	-1.17416666666667
BMP2K	-0.13425
MAPK4	-3.182
SLC25A23	-1.1756
HINT1	0.3529
KRTAP13-1	0.317
SFXN5	0.7406
CHCHD2	0.0464166666666667
FAM3D	0.9045
NDP	0.967125
RHOBTB1	-0.054
SLC4A4	-0.746
RPL38	-0.0425
HTF9C	-0.950666666666667
AP2A2	0.093625
ZBTB46	-0.274
MAP7D1	-0.04725
AOX1	-1.06383333333333
CYR61	0.729666666666667
DTNA	0.845714285714286
JRKL	-0.30275
TMOD3	0.09625
EEA1	-0.131
ADCK5	-0.173
IL1R1	0.625166666666667
KLK3	0.243642857142857
HRSP12	-1.03775
KTN1	0.596
LOH11CR2A	-0.2442
RELL2	-1.813
MAB21L1	0.91625
C20orf59	-0.659833333333333
PHKB	-0.88575
ADAM2	0.697833333333333
TBC1D8B	0.972
FAM13A1	-1.0409375
LAPTM4B	0.0558333333333333
LCN8	0.1255
TMEM147	0.7135
SYT4	0.195
XPO7	-1.41
C9orf62	0.475
GPR75	0.6825
TRIM5	-0.272625
APOC1	-2.03266666666667
RNASE4	1.93916666666667
PARD6B	1.19225
ARID1A	0.197583333333333
TPD52L3	-0.00989999999999999
RRAGB	1.63083333333333
RCN2	-0.486
HIST2H2BE	1.003
STARD7	0.5295
SHMT2	-1.512
KIAA1751	0.2375
MLYCD	-0.18525
LOC162632	0.1884
UQCRH	-0.955
RP11-217H1.1	0.1465
SDHA	-1.477
NCLN	-1.007
ZNF17	0.903333333333333
RCBTB2	-1.19
VEGFB	-0.3739
RP4-747L4.3	0.29
COLQ	0.542
MPN2	-0.612333333333333
DRG2	-0.55225
KLRB1	3.58325
ALPK2	-3.52475
DNASE2B	1.12225
FLJ23834	0.201166666666667
AXUD1	0.5885
SAFB	-0.4717
NSUN4	-0.062
RFX2	-0.700666666666667
MAPK8IP1	-0.368666666666667
FANCD2	-1.04628571428571
ANKZF1	-1.08216666666667
C19orf50	-0.706875
DUSP8	1.555
SENP5	0.699375
NFKBIL2	-0.30225
LBR	-1.649375
IGFL1	0.417
LZTS2	0.2525
IL2RG	-1.024375
CCDC51	-1.19325
KLF3	0.124375
ANKRD37	-1.308
KCTD14	0.00183333333333333
FZR1	-0.689583333333333
SLC44A4	3.676
ESPL1	-1.402875
GMPR2	-0.5656
TBC1D19	-0.8955
ERGIC1	1.04574074074074
ERBB4	0.8758
TSPAN32	-0.0559166666666667
MAP4	-0.651
GPHN	-1.62725
SLC6A2	0.149375
HIVEP1	0.748
DFFB	-0.4876
EIF4EBP2	0.437875
DMRT1	-0.521
HSPB6	0.129
IER2	0.698
AIFM1	-0.41075
WWC2	-0.0266666666666667
MRPL4	-0.887
FLJ21062	1.60033333333333
EPB41L4A	1.90925
SH2D6	0.26375
TAF4B	-1.4665
GAL3ST3	-0.069
MALT1	-0.826666666666667
RTDR1	-0.1995
ARVCF	-0.280625
MEX3B	-1.57733333333333
FBXO16	-2.6345
KIF7	-0.545
C1QC	3.09416666666667
ZNF783	0.263833333333333
ZNF85	0.771
MMP13	-0.563
KIAA0329	0.657875
RTP3	-0.8195
ZBED3	0.071
CLGN	-5.17975
SLC25A37	-1.60875
hCG_18290	0.94375
OR5AS1	-0.044
SMARCC2	0.396583333333333
FAM109A	0.1645
CCDC12	-0.29475
USF2	0.6954
DEPDC7	-3.31175
C20orf24	-0.592833333333333
JMJD3	-0.009
DSP	2.37714285714286
SLIC1	0.12575
FAM20A	-0.580625
IRF2BP2	1.27825
ZNF230	0.3945
MSN	-0.869857142857143
SLC9A5	-1.4495
EPDR1	-2.4115
MUSK	0.298
