Hybridization REF	TCGA-BH-A0B2-11A-11R-A10J-07
PARK2	0.951666666666667
GPR124	2.899875
LCE1E	-0.216
RUVBL2	-0.6915
CGRRF1	0.2672
ACPL2	1.60525
WNT10B	-0.98925
BAIAP2L2	-1.9815
ISCA1	0.4485
C1orf125	-0.09075
RPAP1	-0.934
RAI16	0.199666666666667
RPL27	-0.052
NLRP9	0.0475
EPN1	0.123
LOC388610	1.100625
SLC35A1	0.6446
GAL	-3.5955
SLC14A2	-0.216
RDH11	-0.804
FAM138F	-0.3625
AUH	0.501
FLJ40243	0.29625
C14orf129	-0.1065
MBD2	-0.671
ABHD14B	0.582125
PIGT	-0.05925
ALS2CR4	0.28625
ALAS1	0.3253
FOXO1	1.7785
CRLF3	-0.53075
C20orf107	-0.2875
FARS2	0.7515
CCDC28A	0.6365
NPHP3	-0.42825
OR13F1	0.3265
TSEN54	-0.89375
DEFB106B	0.0122
OR8B4	0.301
STH	1.03475
ZC3H14	-0.280125
CBX2	-0.4085
TMEM49	-1.50675
C6orf21	0.326
FLJ20920	0.428
CRTAP	0.0995
DDX50	0.0645
STYXL1	0.1845
BLVRB	-0.438666666666667
LOC147650	-0.341166666666667
MMP24	-0.0305
GRID1	2.26783333333333
BANF1	-0.759833333333333
CTAGEP	0.02725
HMBS	-2.3435
SLC25A24	0.0148333333333333
C14orf50	0.9385
MRO	0.7805
SLC25A15	-1.09125
FAM84B	0.5844
TDP1	-1.138
C16orf78	-0.0893333333333333
C11orf57	0.274125
RFK	-0.531625
ZFYVE9	0.302
STCH	-1.212
WIBG	0.0905
LOC283871	-1.08133333333333
GBA2	-0.4805
NDUFB3	-0.7075
HSD17B13	0.54775
GRIN3A	0.843666666666667
FMNL1	-0.619833333333333
SEPT7	0.0511
GNLY	2.3805
GRAMD1C	0.893166666666667
ZNF165	-0.52925
USP38	0.258
FAM83A	-3.22716666666667
C14orf24	0.281833333333333
ARMCX3	1.426
ARHGDIB	0.219166666666667
AK1	-0.183625
KIAA1045	0.8595
DNAJB13	-0.3365
NEU2	0.125
HIST1H4B	-1.21516666666667
FAM20B	-0.7056
HES2	-0.00635714285714285
FAM73B	-0.5509
LOC388381	0.15375
INTS7	-1.40972727272727
AMPH	1.41825
ZNF775	0.139625
UCKL1	-0.958166666666667
C10orf97	0.06325
C1orf161	-0.037
ALDH1L1	3.0675
FLJ39378	0.234875
SLC23A1	-1.8885
RBM4B	0.0985
THAP4	0.3485
OGFRL1	0.93725
KIAA0831	0.100125
PPP1R15A	0.2125
C1orf96	-0.480714285714286
C12orf11	-1.7095
BMF	0.188
MAN1A1	-0.117
KIAA1600	0.950833333333333
NLGN4X	1.085
ALOX12	-0.984333333333333
RB1CC1	0.0332
NEIL2	0.7557
EIF4E	0.290363636363636
ABHD5	0.49725
EXOC4	-0.226
CIP29	-0.238333333333333
BATF2	0.77525
SLC29A4	0.208375
HTR4	0.1665
EMB	-0.548
TRAF6	0.38075
LMNB1	-2.794
FAM19A5	-0.682125
SHE	2.59275
PIK3C2B	1.0655
C15orf15	-0.1326
USP15	-0.0372
TCEAL2	1.617
C5orf39	-0.4195
PTGER2	-0.8895
SLC31A1	-0.224
IFT172	0.54125
ADAM29	0.054
GFOD1	0.44475
ST7L	0.704833333333333
C15orf26	-2.288
PKN3	-0.678
CNTD1	3.0345
COMMD1	0.4595
NTRK2	3.95125
FOXN3	1.195125
MFGE8	1.9343
PFKFB2	-0.0101666666666667
TAS2R4	0.14575
ENTHD1	0.106
PRMT5	-0.621875
MGC16384	-0.926125
LOC442229	-0.76125
TSKU	0.71575
KRTCAP3	2.123625
PDLIM1	0.91
KCNS2	0.333
RNF126	-0.605166666666667
CEP63	0.124875
CLIC4	0.111625
hCG_1990170	1.94325
ACR	0.4051
KLK7	3.4375
ALOX5AP	2.72875
RIPK3	2.61675
TAS2R9	0.4835
C19orf18	1.176
BIRC6	-0.1445
ZNF16	0.8905
RFT1	-0.773
SLC8A2	-0.70625
TACC1	1.415625
ITGAD	0.15425
SAMHD1	1.31925
SH3PXD2B	2.1521
EPC2	1.1295
C20orf85	0.137
ATP13A2	-0.255
KRT4	0.08075
CAPNS1	0.07275
MDM2	-0.595416666666667
PCDH20	1.7865
KCNK9	0.5165
OR2C1	0.076
KLHDC3	-0.354166666666667
IPPK	-0.3225
EFHD2	-0.30025
GALR3	1.19525
NBEA	1.443
ABCA6	3.8031
CLDN3	1.00783333333333
AKT2	-0.490642857142857
EGFR	0.423
RBM16	0.207875
ZDHHC3	0.2932
SLC25A4	-0.168833333333333
CYB5B	-0.569166666666667
CPXM1	3.01225
NDRG1	-0.582538461538462
FLJ43826	0.5
OR5L2	-0.2865
FARP2	0.0073
MRPL46	-0.293
LDHAL6B	0.0205
MAPKAPK3	-0.399333333333333
NCAM2	-1.834
PRKD2	0.195166666666667
ZFP36L1	1.1043
CYSLTR1	-0.0915
OR4C3	0.06675
HIST1H2AJ	0.657
CCNB2	-3.60766666666667
ZNF10	-0.046875
TMEM175	0.5525
FAM134A	0.550833333333333
TIGD4	0.08
PCNP	-0.002
MGC39715	0.1165
LQK1	-1.71175
CREB1	1.1287
TMPRSS3	0.96225
C4orf32	1.298625
LAT	-1.68883333333333
KCNA3	0.1525
SKIV2L2	-0.896
ROPN1B	3.859
tcag7.23	0.1635
CDT1	-2.990875
ZHX2	1.079375
CD28	-2.024
ZNF624	0.4655
SEPT2	0.0248333333333333
SOHLH2	-0.83425
MCOLN3	0.335625
UNQ1945	0.4155
MASP2	-1.177
ZNRF3	0.4422
GPATCH3	-0.19975
AGL	0.1695
QRICH2	-0.0885
PSD4	0.400333333333333
CCNB1IP1	-0.60025
ENPP7	0.00425
OBFC1	0.0345
KCNG3	-2.01525
C14orf79	-0.255416666666667
ENPEP	2.8835
SCT	0.046
SKI	1.095
SEC61G	-1.688
CAPN11	1.7705
ATXN7L3	-0.214
DBNDD1	-0.541333333333333
FAIM	0.34775
ANKRD36	-0.196
GABRP	4.507
TACSTD2	1.77
EIF3J	-0.4015
PPP2R2A	-0.62275
TEKT4	-0.454166666666667
PVALB	-3.4855
F10	-0.501166666666667
FAM134C	0.6776
COMP	1.472
EFCBP1	-0.36625
SCLT1	0.9865
TAL1	-0.9553
ACSL1	2.61225
ABCC5	-0.6375
ABL1	-0.132333333333333
RBBP7	-0.463666666666667
PTPRG	0.547875
NCOR1	0.1116
SPINK4	-1.731
TXNRD1	-1.6258
TNRC15	0.89225
C9orf138	0.31875
UBE2H	0.222333333333333
BRDT	0.275833333333333
C8orf31	0.061
CCNE2	-3.26054545454545
SLC6A8	-1.82125
CALCR	-2.89275
PPP1CB	1.399
ABHD8	0.33025
ARF5	0.2312
SLC24A4	0.9345
CCT3	-0.67475
ZNF121	0.236625
SLC3A2	-1.37
OR13A1	0.039
SLC5A10	-0.24075
RAD50	-0.28925
IER5	0.63075
MTHFD1L	-1.97275
MBTPS2	-0.64825
MVK	-0.70325
NCL	-0.094
PSMD10	-0.51925
MOBP	0.139125
FLJ32894	0.148
HRH1	0.345166666666667
C5orf30	0.35925
NUDT16L1	0.2534
RASGRP3	3.37216666666667
PRKRIP1	-0.8482
CCDC75	0.401
LOC253970	-0.28325
KIAA1239	2.93775
MED21	-0.661
SYT11	0.441416666666667
NTSR2	0.127
EGFL11	-0.239
CXorf59	0.1625
OR2A25	-0.32375
SPTBN2	-0.7335
LRMP	-0.530833333333333
RNF111	-0.1295
PTH	0.084
LOC619208	0.579833333333333
KIAA0895	-0.14525
RANBP5	-0.467875
P2RY10	0.595666666666667
NME5	3.11283333333333
DDX21	-0.26475
LRSAM1	-0.484
HDAC11	0.0855
VMO1	0.7155
NOLA2	-0.579
ADAR	0.121916666666667
MTO1	-1.16716666666667
SF4	0.0976666666666667
P2RX1	-0.134166666666667
HBM	-0.1105
EN2	1.1665
C14orf172	-0.02125
TM9SF2	0.2555
INHBE	-1.173
TCTE3	0.117416666666667
TOX2	-2.26625
CTAGE3	0.3345
HBB	3.8835
MED15	-0.939166666666667
CASR	0.18125
C6orf66	-0.7805
MTPN	-0.144125
UNC50	-0.086
C21orf33	0.439
IRF2	1.006375
PGR	1.19433333333333
GPR84	1.1815
CROCCL1	-2.08
SRPX	2.121
BRE	0.1585
FGF10	2.119
SDC3	1.80883333333333
ZRSR1	0.324166666666667
DKFZP434P211	-0.067625
SOX6	-0.313
RPUSD2	0.021
C14orf173	-0.401416666666667
MAPK11	-0.611666666666667
TBC1D22A	0.352
FAM123A	-0.3465
COL4A6	-0.4625
TOMM70A	-0.1285
NAB1	0.481375
MGC16385	0.090375
TSPAN18	1.00433333333333
MED31	-0.31025
PLG	-0.398
CAPSL	0.4535
ZNF532	0.9855
ASB14	0.19475
CA8	0.5285
NUDT16P	0.757166666666667
SLFN11	0.238
LRRIQ2	-0.480625
NOL7	-0.599166666666667
BRMS1L	-0.20725
JARID1A	0.361666666666667
PANK2	-0.55025
ICAM3	-0.53775
MDS1	-0.05125
TAF8	-0.4555
RNF139	0.34075
ZNF594	0.209
ADAM8	0.214125
SFTPC	-0.10625
MAN2B2	1.268625
RGS12	0.563625
EIF1AY	-4.28025
LRRIQ1	0.0236666666666667
GPR150	1.4175
CCDC21	-1.77233333333333
PRRG3	2.591
SAA4	-2.39675
RAPGEF5	1.131125
ZCCHC2	0.0838333333333333
MGC39372	1.1725
PPP4R2	0.0691666666666666
CDCA2	-2.59866666666667
OR4D5	0.417666666666667
PTGFRN	1.0646
SIGLEC5	1.29933333333333
C19orf61	-0.382166666666667
NMUR2	0.5145
KIAA1586	-0.593833333333333
DAGLA	0.532166666666667
CHCHD6	-0.029
GPR32	0.7105
NEUROD6	-0.193333333333333
SLC2A4RG	0.0601875000000001
CA5B	0.00700000000000001
FBXL3	1.3645
MPHOSPH9	-1.91675
HMG2L1	-0.29825
HCN4	0.873
CEACAM19	0.25525
SH2D4B	0.1315
HFE2	-0.6725
TGM4	-0.114666666666667
LYPD2	-0.12725
TBC1D15	-0.00275
MRPS21	-0.474
NONO	-0.4561
CLEC5A	0.540625
ITCH	0.0265
MGAT3	0.471666666666667
MBP	0.45175
RPP25	-0.33425
SOSTDC1	3.098
HRC	-0.91675
TRIM48	0.116
TMEM133	1.021
ECEL1P2	-1.2215
HOXC11	-0.3985
DOK5	-0.034
HELZ	0.669
LOC348180	-0.59575
MGC33894	0.221
ADRB3	0.0605
DMD	1.57916666666667
PTRH2	-0.72725
MPEG1	3.186
NDUFA12	-0.349333333333333
KRTAP2-4	0.0105833333333334
STAMBPL1	-0.937833333333333
ADCY2	0.910833333333333
UNQ6125	0.2555
KLHL20	0.656666666666667
SRM	-0.3515
OTC	-0.20825
TMIE	0.527666666666667
SNX8	-0.1045
LIPK	-0.261
CHURC1	-0.167833333333333
KLC2	-0.00266666666666667
HDAC1	-0.646333333333333
FAM128A	-0.511666666666667
FNDC3B	0.1125
MTCP1	-0.512
WFDC10B	0.0556
PCDHGB3	0.287
ATRNL1	-0.4974
CAV2	1.386875
MED26	-0.140333333333333
DUS1L	0.03525
CHRM3	-0.579375
NEK9	0.3335
WARS2	0.225
TBX22	0.0645
TOMM40	-1.22625
RP6-213H19.1	-1.57266666666667
TUBGCP5	-0.855
IGSF6	4.812
TPPP	0.757166666666667
UNQ6190	0.1395
GSTM5	2.425625
BTD	0.623833333333333
PDCD1LG2	0.437166666666667
SNRPB2	-0.758666666666667
ERICH1	-0.245
APOA4	-1.5945
HOXA11	-1.4315
NARG1	-0.60475
MKX	0.13025
RAB28	-0.176785714285714
PKP3	0.5535
SH3GL2	-1.445
CTSO	3.34
RPN2	-0.2575625
IL28RA	0.319666666666667
SFMBT1	0.10825
WDR57	-0.459
FER1L3	1.40666666666667
HSF5	-0.0873333333333333
TTC9B	-0.12775
C4BPA	-0.808666666666667
ALB	0.496357142857143
SORBS3	0.38975
UPF2	-0.1255
JPH1	-0.067
AGBL2	-0.29275
DOPEY1	1.5655
TERF1	-0.178333333333333
KIF22	-1.64083333333333
NINJ1	0.49
SEC61A2	-1.30333333333333
HIST1H1D	-2.08316666666667
SFXN4	-0.29125
UCP3	0.194
ZNF703	0.672833333333333
MYL6B	-0.25475
TREM1	0.96
OR52E6	0.362
CKMT2	3.401
HLA-C	1.74125
SLC13A3	-0.450333333333333
TIMP4	2.104
SLIT2	3.80175
RSF1	0.211333333333333
LONRF1	-0.196928571428571
MON1A	-0.119333333333333
CACNG6	-1.55883333333333
DPPA4	-5.16966666666667
ZSWIM3	0.11075
ZNF804A	-0.157833333333333
CCIN	1.558
SLC25A31	0.01375
KCNMB4	0.60375
RABL5	0.17025
GALNS	-0.3974
STX6	0.1665
HIST1H1C	-2.929
CIDEB	-0.130625
CASP4	0.716833333333333
PDK3	-0.5666
KCNJ11	0.563
TPR	-0.1075
ZSCAN20	-0.967
MTX2	-0.6745
HIST1H2BH	-1.32025
LOC283767	0.768
LYRM7	-0.964777777777778
BRD3	0.734166666666667
HIST1H2BO	-1.31775
MAGEB10	0.242
SLC45A1	1.35475
SERPINA3	2.2531
KIAA0143	0.64925
KCNJ16	3.0105
KRT79	-0.162
FABP2	-0.138
NUT	0.10725
ZNF57	-0.405
FBXL4	0.2885
CLEC9A	1.4905
UGT8	1.16266666666667
BMP2K	0.061
MAPK4	-1.34775
SLC25A23	-0.4141
HINT1	-0.7091
KRTAP13-1	-0.0165
SFXN5	0.0355
CHCHD2	-0.49425
FAM3D	3.7385
NDP	-1.37175
RHOBTB1	0.0115
SLC4A4	0.327125
RPL38	0.14275
HTF9C	-0.613166666666667
AP2A2	0.90825
ZBTB46	0.1045
MAP7D1	0.609
AOX1	-0.570166666666667
CYR61	0.444833333333333
DTNA	0.180214285714286
JRKL	0.54125
TMOD3	0.31725
EEA1	0.2912
ADCK5	-1.111
IL1R1	1.5255
KLK3	1.40971428571429
HRSP12	-0.65375
KTN1	-0.061
LOH11CR2A	0.9039
RELL2	-1.93
MAB21L1	3.6
C20orf59	-1.5395
PHKB	0.01625
ADAM2	-1.4595
TBC1D8B	0.959
FAM13A1	0.276625
LAPTM4B	-1.01716666666667
LCN8	-0.1405
TMEM147	0.0155
SYT4	0.389666666666667
XPO7	-0.8265
C9orf62	1.6115
GPR75	0.509
TRIM5	0.795
APOC1	0.4365
RNASE4	1.55783333333333
PARD6B	-2.3995
ARID1A	-0.09575
TPD52L3	0.1128
RRAGB	0.8335
RCN2	-0.534666666666667
HIST2H2BE	-0.8755
STARD7	-0.1475
SHMT2	-0.98775
KIAA1751	-0.115666666666667
MLYCD	0.87575
LOC162632	-0.9081
UQCRH	-1.3035
RP11-217H1.1	0.4310625
SDHA	-0.8895
NCLN	-0.8087
ZNF17	0.304
RCBTB2	0.01025
VEGFB	0.0271
RP4-747L4.3	1.402
COLQ	-0.0339
MPN2	-0.545333333333333
DRG2	-0.3615
KLRB1	4.14475
ALPK2	-0.723
DNASE2B	0.85775
FLJ23834	0.173666666666667
AXUD1	1.00916666666667
SAFB	-0.074
NSUN4	-0.302
RFX2	1.794
MAPK8IP1	-0.158
FANCD2	-1.54707142857143
ANKZF1	-1.623
C19orf50	-0.3345
DUSP8	0.894375
SENP5	-0.735625
NFKBIL2	-1.05475
LBR	-1.098375
IGFL1	0.3
LZTS2	0.504375
IL2RG	-0.63975
CCDC51	-0.47275
KLF3	0.5095
ANKRD37	-1.42275
KCTD14	2.23233333333333
FZR1	-0.00416666666666667
SLC44A4	2.2638
ESPL1	-1.3935
GMPR2	-1.1438
TBC1D19	-0.687333333333333
ERGIC1	-0.00125925925925926
ERBB4	2.5165
TSPAN32	0.311333333333333
MAP4	0.057875
GPHN	-0.0915
SLC6A2	0.9505
HIVEP1	0.40575
DFFB	-0.3352
EIF4EBP2	0.820625
DMRT1	-0.05075
HSPB6	1.02825
IER2	0.300666666666667
AIFM1	-0.42725
WWC2	-0.1015
MRPL4	-0.6325
FLJ21062	0.829166666666667
EPB41L4A	0.990916666666667
SH2D6	0.088
TAF4B	-0.21625
GAL3ST3	-0.3045
MALT1	-1.1855
RTDR1	0.58025
ARVCF	0.273
MEX3B	0.571166666666667
FBXO16	-0.3855
KIF7	-0.32375
C1QC	3.7825
ZNF783	-0.530333333333333
ZNF85	-0.16975
MMP13	0.853
KIAA0329	1.093125
RTP3	-0.6425
ZBED3	0.5185
CLGN	-3.02575
SLC25A37	-0.745791666666667
hCG_18290	0.50675
OR5AS1	0.156
SMARCC2	0.886416666666666
FAM109A	-0.0668333333333333
CCDC12	-0.114
USF2	0.2689
DEPDC7	-2.51725
C20orf24	-1.2605
JMJD3	0.4345
DSP	0.689285714285714
SLIC1	0.45325
FAM20A	2.996625
IRF2BP2	0.239375
ZNF230	-0.2885
MSN	-0.244285714285714
SLC9A5	-1.4935
EPDR1	-0.6232
MUSK	-0.1255
ZNF434	-0.134833333333333
SMARCD1	-0.428833333333333
