Hybridization REF	TCGA-E2-A159-01A-11R-A115-07
ZNF83	0.808
GDPD5	0.397625
PDCD4	-0.14775
CEP350	0.5495
OR10A2	-0.13625
CST7	2.76125
CIAO1	0.30675
SELL	2.503125
OR8J3	-0.478
LTBP4	-0.4055
SIRT6	-0.13075
CCL19	4.1225
PPIL1	-0.831166666666667
GBP7	0.784
STK17A	0.0602
ABR	-0.07225
OR9G1	0.01
FOXE1	-0.156375
CNGA3	-2.3715
GML	0.9915
CD38	1.481
ZDHHC6	0.0798333333333333
NEFH	-2.837
CTDSP2	-0.01025
PGBD5	2.88683333333333
CCNY	1.17785714285714
RMND5B	0.696416666666667
ZNF257	0.005
FLJ22167	-1.1635
EXOSC7	-1.0155
ROR2	0.509625
MAOA	-0.995125
TNNT3	0.364
GYPC	-0.9585
C7orf33	1.4195
PLIN	0.8685
LOC90826	-0.0295
RNF4	0.4816
F8A1	0.336333333333333
PLEKHG4	-0.61825
GRB2	0.1085
HIST1H2AD	-0.42425
DUS3L	-1.059
EIF1	-0.297666666666667
RP5-1077B9.4	-0.1695
FPGT	1.516
GDF10	-1.48466666666667
COQ9	-0.45675
GCC2	0.0247857142857143
RARRES3	2.1945
PLXNA1	0.4113
KIAA0100	0.0162
PMF1	0.62325
FNDC1	5.54725
HS2ST1	-0.0976666666666667
CRELD2	1.03525
C8G	-1.5655
CD82	1.82075
LIM2	-1.0235
UNQ6490	-1.2845
MMP16	-0.81125
DRD3	0.20825
C5orf26	-2.23325
C11orf73	0.295625
PTP4A2	0.431
OR4M2	-0.247
HPCA	0.009
SEC14L1	0.546
CHFR	0.498375
EMILIN1	1.10675
NDUFS4	-0.42925
COL18A1	-0.124375
PDZD3	0.0635
C9orf16	0.435666666666667
ERBB2IP	-0.418
EMX2	3.358
FUS	-1.10575
TF	-3.8932
CLCN4	0.944333333333333
CXorf56	0.43
C11orf72	0.43925
ELAC2	-0.680333333333333
NPR1	-1.34875
ASS1	-0.933833333333333
USP42	0.31325
POLR2J	0.3405
SEC23IP	0.515666666666667
UQCRC1	0.18425
LOC729603	0.3275
C1orf71	-0.686125
POLG	-0.817
ADAM23	-3.8485
TFR2	-1.1415
RICTOR	-2.1826
MGC39606	1.624
C19orf55	-0.4065
SNAPC1	-0.8555
GNA11	0.643125
CCDC52	0.205833333333333
FSIP1	-0.5835
UPF3A	-0.835875
IGSF11	-2.22633333333333
LAGE3	0.78225
CHST6	1.124
UNC13B	0.15875
TTLL4	0.203875
ZNF687	0.36275
SDC2	-0.7915
COX7A2	0.87875
LAMB4	0.2385
FAM24A	0.9345
LRRTM3	-1.93033333333333
GPHB5	-0.01125
OR4C13	-0.8365
EIF3EIP	-0.743214285714286
HABP4	-0.615
TMEM125	2.467
CNTN2	0.28375
ASNSD1	-0.665
FUT4	0.685875
ACF	-3.87675
LOC158381	-0.1365
CDH8	1.44566666666667
AGPS	-1.113
C4orf18	1.1505
PECI	-2.40441666666667
UNG	-1.218
GSTP1	1.0335
DCUN1D5	-0.667333333333333
DKFZP564J0863	0.636
SLC9A3R1	0.490375
BCDO2	-0.700625
CHMP7	0.755375
REM2	-0.6245
DNHD1	-0.696375
FKBP4	0.0285
ZNF350	1.51625
MGC11102	0.19225
BST1	1.60133333333333
KISS1R	-0.027
NCR2	-0.046
DEFB125	0.499
UBE2W	1.024625
KRT15	1.1165
C10orf99	0.9545
SCN11A	0.622166666666667
GFI1	-0.64
RDHE2	4.7795
FHL1	-1.77283333333333
OSGEP	-0.308833333333333
GATA1	-3.9205
SMC6	0.442
TTTY14	-1.62275
LPIN3	-0.25375
RPL4	-1.2746
RBPMS	0.6473
PRPF3	0.253
EMR1	-2.034
SPATA19	0.0935
XCR1	0.129
IRX3	1.0642
RBM6	-0.9815
KLF4	0.0142
UNC5CL	-0.466
SEBOX	0.1925
BTK	0
KRCC1	1.403
C6orf27	0.118
SYTL5	-2.1995
PRND	0.746666666666667
LOC653319	-0.959
PIGL	-1.576125
HUS1	1.80783333333333
SFRS6	-1.30733333333333
C17orf77	0.4865
UIMC1	-0.0676666666666667
FXYD2	-1.6581
LOC283152	0.72625
ZNF667	0.6575
ZCCHC12	-0.74025
TFEC	5.5262
ATP7B	-1.31883333333333
POLD2	-0.0185
RG9MTD1	0.1415
ACOT2	-1.142
HIST1H4I	-1.025625
PPARGC1A	-0.7157
ETFA	-0.5562
POLRMT	-0.752
ZNF146	-0.555
MIA2	-2.5245
KLHL6	1.2955
HOXB5	2.375625
NENF	1.734
CUGBP1	-1.269
PRSS22	1.9625
CASC4	0.5571
CUL4B	0.2704
CENPJ	-1.372
PITX1	1.73683333333333
FLJ31033	0.453
CELSR3	-2.59633333333333
ZNF568	0.06125
ITSN1	0.314833333333333
EHBP1L1	0.144
C19orf2	-0.32025
DCTN1	0.5475
LIN28B	-4.3625
TNKS2	0.2835
C1QBP	-1.232375
CADPS2	1.06425
SRMS	0.35425
GJA9	0.397166666666667
MGC24975	-1.57516666666667
TRIM45	-0.0243333333333333
TSP50	1.0665
TCP1	0.565
TMED7	0.2991
CMA1	-1.4685
CENPL	-0.102
PTCRA	0.494
FST	-4.36325
VWCE	-4.1815
PAWR	-0.537
ABCC12	0.1384
LDLR	-1.275
ASTN2	-0.1188
LOC441212	0.070625
GPATCH8	0.1225
TANC2	-0.404416666666667
KIF4A	-0.575
C18orf18	-1.36225
PGM1	0.1155
KIAA0258	2.008
CPD	0.1895
SNCAIP	-1.5235
DCT	-4.5405
HLA-DOA	3.51981818181818
OR11L1	0.79
UPK1B	0.4655
DNAJB4	0.270125
UGT1A8	-0.7815
HIST1H4L	-1.291
PECR	-1.20133333333333
HSPA2	0.01875
WFIKKN1	-2.24
SERP1	0.857875
SYDE2	-0.704
TACR2	-0.445
NUP85	-0.1255
CD177	0.0541666666666667
LGR5	-2.0775
PIGG	-0.213416666666667
PTHR1	-3.013
RAB5A	-0.076
FLJ13224	0.448
USP9Y	-2.3622
C7orf53	-0.313
LRP1B	-1.60166666666667
XAF1	2.2387
ABCG8	-0.891
ANKDD1A	-0.971166666666667
DAND5	-0.586
SPAG6	0.829666666666667
LINCR	0.39425
ZDHHC22	-1.788875
CCDC60	1.0885
THOC7	-0.567
TCTA	0.8134
OR8K3	-0.17675
NY-REN-7	-0.97425
B2M	1.49916666666667
C6orf141	-0.5965
LPPR4	3.0925
SQLE	-1.52125
SEPHS1	1.28575
BTBD14B	0.225285714285714
PLRG1	-0.33525
SPG7	-1.0965
ZNF614	-0.0525
PARD6G	0.885
INPP5B	0.3434
GRPEL2	0.299625
PPID	-1.004
TRIM56	-0.102
UBE2J1	1.562625
IL20RA	3.475
LOC387856	0.58425
C1orf107	0.68475
UTS2R	0.2055
C19orf22	-0.123
SAFB2	-0.8355
KIAA0652	0.160625
KLRG1	0.6185
MS4A8B	0.272333333333333
FRAG1	0.66
KIAA1546	0.56625
E2F4	-0.9615
CLEC4M	-0.217
BTBD14A	-0.82625
KIAA0999	0.4379
GYPA	-4.902
TAC1	-0.3584
TRAIP	-1.224
KIAA0232	0.2765
ERCC8	-1.07875
GPX4	0.132625
KIAA0368	-0.00350000000000002
GPR157	-0.737666666666667
CTAGE4	3.557
C9orf30	0.252833333333333
OR52A1	0.239
HSP90B3P	-0.409
ALG9	0.0713
BTBD10	0.43275
SDK2	-0.592
BAIAP3	-1.75175
RABGGTB	-0.806875
ANKRD40	-0.0688333333333334
KRT74	0.818
CALCOCO2	-0.110857142857143
SNCA	-3.418
TMSL8	0.426125
C2orf53	0.7515
ESRRB	-0.461
ARHGAP26	-0.229125
TDRD9	-3.33025
HRAS	0.523166666666667
KLRC4	-1.032
JAGN1	-0.2965
BSDC1	0.1785
RNF43	-0.1148
NDUFAF1	-0.5665
PHF12	0.6755
OR1L3	0.4095
FOLR2	2.38775
LYZL6	0.028
tcag7.1260	2.4165
WSB1	-1.256
PROS1	-1.026
OSTN	0.2725
PSMB8	0.18525
SOCS4	-0.67475
DDIT4L	0.51975
MAS1	-0.891
MGC34796	-0.447
CSHL1	0.178166666666667
TBCCD1	0.293333333333333
ZBTB7C	0.2705
AP2S1	0.27375
P15RS	-0.3974
VAT1	-0.0749
SHANK3	1.07566666666667
TUFM	-1.1755
THEG	0.3905
KRT34	-0.52675
SGSM3	0.26675
TOMM22	-1.0885
SOCS3	0.644833333333333
CPO	-0.0905
POP4	-0.12825
BHLHB3	-0.00575
MALL	3.8755
OR1B1	-0.0255
PARK2	1.24516666666667
GPR124	0.035
LCE1E	2.2045
RUVBL2	-0.87675
CGRRF1	0.0287
ACPL2	0.355
WNT10B	-2.390625
BAIAP2L2	-0.184625
ISCA1	-0.638
C1orf125	-0.5715
RPAP1	-1.15425
RAI16	0.392333333333333
RPL27	-0.913125
NLRP9	0.7895
EPN1	0.6025
LOC388610	-1.366625
SLC35A1	-0.069
GAL	-3.588
SLC14A2	0.12625
RDH11	-1.0465
FAM138F	-0.5555
AUH	-0.53925
FLJ40243	0.5025
C14orf129	0.443166666666667
MBD2	0.161333333333333
ABHD14B	-0.44525
PIGT	0.4455
ALS2CR4	0.011875
ALAS1	0.8396
FOXO1	0.937333333333333
CRLF3	-0.3685
C20orf107	0.0865
FARS2	0.0905
CCDC28A	0.08025
NPHP3	-0.73875
OR13F1	0.5795
TSEN54	-0.30525
DEFB106B	-0.2463
OR8B4	0.2305
STH	1.09725
ZC3H14	-0.42925
CBX2	-0.158
TMEM49	-1.6785
C6orf21	0.381
FLJ20920	0.821
CRTAP	-0.487142857142857
DDX50	-0.60825
STYXL1	-0.1405
BLVRB	-0.9385
LOC147650	0.0351666666666667
MMP24	0.59025
GRID1	1.61983333333333
BANF1	0.482666666666667
CTAGEP	1.25
HMBS	-1.833
SLC25A24	0.748833333333333
C14orf50	-0.1255
MRO	0.991333333333333
SLC25A15	-0.66275
FAM84B	0.5258
TDP1	0.0995
C16orf78	-0.870666666666667
C11orf57	0.143125
RFK	-0.7755
ZFYVE9	-0.071125
STCH	-0.2637
WIBG	-0.1695
LOC283871	-0.871166666666667
GBA2	0.5443
NDUFB3	0.024
HSD17B13	-0.52975
GRIN3A	2.99366666666667
FMNL1	0.872833333333333
SEPT7	-0.2802
GNLY	5.202
GRAMD1C	-0.712333333333333
ZNF165	0.581
USP38	1.07725
FAM83A	-0.562166666666667
C14orf24	-0.0325833333333333
ARMCX3	0.806875
ARHGDIB	0.863
AK1	0.106125
KIAA1045	0.0225
DNAJB13	-0.0298333333333333
NEU2	0.913
HIST1H4B	-1.3755
FAM20B	-0.0716
HES2	2.0315
FAM73B	-0.7169
LOC388381	-0.31
INTS7	0.524363636363636
AMPH	1.316
ZNF775	-0.44725
UCKL1	0.0568333333333333
C10orf97	1.08325
C1orf161	0.19975
ALDH1L1	-1.04875
FLJ39378	-0.095
SLC23A1	-1.707
RBM4B	0.1555
THAP4	0.028
OGFRL1	1.63125
KIAA0831	0.026
PPP1R15A	-0.1825
C1orf96	0.273428571428571
C12orf11	-2.51975
BMF	0.382
MAN1A1	-0.209375
KIAA1600	0.490333333333333
NLGN4X	-0.05425
ALOX12	-1.5896
RB1CC1	0.6286
NEIL2	0.2763
EIF4E	-0.573909090909091
ABHD5	0.439
EXOC4	-0.443666666666667
CIP29	-0.408166666666667
BATF2	1.275
SLC29A4	0.23175
HTR4	0.83425
EMB	-0.33675
TRAF6	1.34975
LMNB1	-2.19575
FAM19A5	-1.75775
SHE	1.65775
PIK3C2B	0.6885
C15orf15	-1.3827
USP15	-0.4517
TCEAL2	-0.43975
C5orf39	0.0106666666666667
PTGER2	-0.216
SLC31A1	0.1774375
IFT172	1.11025
ADAM29	0.35275
GFOD1	-0.03775
ST7L	0.5765
C15orf26	-2.94775
PKN3	0.0895
CNTD1	0.7285
COMMD1	0.851625
NTRK2	1.37858333333333
FOXN3	0.03475
MFGE8	0.8638
PFKFB2	0.917166666666667
TAS2R4	-1.0175
ENTHD1	1.86133333333333
PRMT5	-1.488125
MGC16384	-1.538625
LOC442229	0.89975
TSKU	1.324125
KRTCAP3	3.0355
PDLIM1	0.2739
KCNS2	-0.17475
RNF126	-0.598833333333333
CEP63	0.28625
CLIC4	0.85725
hCG_1990170	1.06325
ACR	0.4467
KLK7	5.75225
ALOX5AP	3.412
RIPK3	3.53875
TAS2R9	0.173
C19orf18	1.665
BIRC6	0.2075
ZNF16	0.577
RFT1	-0.51
SLC8A2	0.0265
TACC1	0.298
ITGAD	1.97125
SAMHD1	2.56225
SH3PXD2B	1.8191
EPC2	-0.243
C20orf85	0.172625
ATP13A2	1.66033333333333
KRT4	0.770875
CAPNS1	0.4405
MDM2	-0.30275
PCDH20	3.04925
KCNK9	0.524
OR2C1	-0.601
KLHDC3	0.669833333333333
IPPK	-0.223
EFHD2	0.625125
GALR3	0.28775
NBEA	-1.5555
ABCA6	2.9143
CLDN3	1.3675
AKT2	-0.454
EGFR	1.1128
RBM16	0.14675
ZDHHC3	0.0744
SLC25A4	-0.398333333333333
CYB5B	-1.41533333333333
CPXM1	-0.14
NDRG1	1.34169230769231
FLJ43826	0.62475
OR5L2	0.20225
FARP2	-0.1953
MRPL46	-1.209
LDHAL6B	0.3888
MAPKAPK3	0.2035
NCAM2	-2.66725
PRKD2	0.308166666666667
ZFP36L1	0.6239
CYSLTR1	0.77475
OR4C3	0.21875
HIST1H2AJ	-0.3055
CCNB2	-1.30911111111111
ZNF10	-0.35275
TMEM175	0.2375
FAM134A	-0.0318333333333333
TIGD4	0.1035
PCNP	-0.241
MGC39715	1.05125
LQK1	-0.36075
CREB1	0.2897
TMPRSS3	-1.1795
C4orf32	-0.640125
LAT	-0.638166666666667
KCNA3	2.039
SKIV2L2	-1.054
ROPN1B	0.74675
tcag7.23	-0.93
CDT1	-1.87325
ZHX2	1.04725
CD28	-2.013
ZNF624	1.10725
SEPT2	-0.101
SOHLH2	-1.54214285714286
MCOLN3	-0.256
UNQ1945	0.478
MASP2	-0.8665
ZNRF3	0.0545
GPATCH3	-0.01325
AGL	0.307875
QRICH2	-0.0875
PSD4	0.601333333333333
CCNB1IP1	-1.4
ENPP7	0.1305
OBFC1	-0.21125
KCNG3	-1.86075
C14orf79	-0.14925
ENPEP	3.27933333333333
SCT	0.903
SKI	0.407375
SEC61G	0.7815
CAPN11	1.4955
ATXN7L3	0.22375
DBNDD1	0.234
FAIM	1.16275
ANKRD36	-1.0375
GABRP	1.2995
TACSTD2	2.472
EIF3J	-0.67425
PPP2R2A	0.76
TEKT4	-0.328333333333333
PVALB	-3.8875
F10	-3.23016666666667
FAM134C	0.4149
COMP	4.131875
EFCBP1	-4.203
SCLT1	-0.169125
TAL1	-1.597
ACSL1	2.3495
ABCC5	-0.188166666666667
ABL1	0.0927777777777778
RBBP7	0.584083333333333
PTPRG	-1.268125
NCOR1	-0.3626
SPINK4	-2.68483333333333
TXNRD1	-1.1635
TNRC15	-0.333875
C9orf138	1.647
UBE2H	1.01883333333333
BRDT	0.350666666666667
C8orf31	-0.17125
CCNE2	1.14136363636364
SLC6A8	-0.69175
CALCR	-3.7125
PPP1CB	1.31383333333333
ABHD8	0.00875
ARF5	0.8082
SLC24A4	1.445
CCT3	0.1845
ZNF121	0.05625
SLC3A2	-1.2247
OR13A1	0.5655
SLC5A10	-0.36025
RAD50	0.2745
IER5	0.250125
MTHFD1L	-0.729875
MBTPS2	0.7805
MVK	-0.7055
NCL	-1.1862
PSMD10	0.37925
MOBP	0.389875
FLJ32894	-0.074
HRH1	0.00566666666666667
C5orf30	-0.758
NUDT16L1	-0.2716
RASGRP3	4.607
PRKRIP1	-0.1564
CCDC75	0.39425
LOC253970	1.06925
KIAA1239	0.20175
MED21	-0.656
SYT11	0.8375
NTSR2	0.248
EGFL11	0.276
CXorf59	-0.2225
OR2A25	0.312
SPTBN2	0.046
LRMP	-0.3285
RNF111	0.41975
PTH	1.287
LOC619208	0.397333333333333
KIAA0895	2.173
RANBP5	-1.448625
P2RY10	2.67116666666667
NME5	3.67583333333333
DDX21	-1.587
LRSAM1	0.0085
HDAC11	0.1735
VMO1	2.68525
NOLA2	0.1995
ADAR	1.03208333333333
MTO1	0.0455
SF4	-0.2185
P2RX1	0.590833333333333
HBM	0.604
EN2	0.3155
C14orf172	-0.2495
TM9SF2	0.2363
INHBE	-1.02283333333333
TCTE3	1.40366666666667
TOX2	-1.54325
CTAGE3	0.18825
HBB	3.6082
MED15	-0.085
CASR	0.503
C6orf66	0.216166666666667
MTPN	0.422625
UNC50	-0.0965
C21orf33	-0.341875
IRF2	1.120625
PGR	-2.3235
GPR84	2.63925
CROCCL1	-1.71425
SRPX	-1.659
BRE	0.719833333333333
FGF10	0.7825
SDC3	-0.631666666666667
ZRSR1	0.200166666666667
DKFZP434P211	-0.7895
SOX6	0.359
RPUSD2	-0.94825
C14orf173	-0.0186666666666667
MAPK11	0.0656666666666667
TBC1D22A	-0.2765
FAM123A	0.173
COL4A6	-1.65816666666667
TOMM70A	0.07375
NAB1	0.150875
MGC16385	-0.3015
TSPAN18	-0.2815
MED31	0.14125
PLG	-0.06575
CAPSL	0.687
ZNF532	0.7883
ASB14	-0.495
CA8	-1.0195
NUDT16P	1.012
SLFN11	0.883
LRRIQ2	0.21475
NOL7	-0.356
BRMS1L	-0.358875
JARID1A	-0.331833333333333
PANK2	0.009
ICAM3	-0.40475
MDS1	-0.574
TAF8	-0.2765
RNF139	0.12725
ZNF594	-0.828666666666667
ADAM8	2.42925
SFTPC	0.40925
MAN2B2	0.266875
RGS12	0.2035
EIF1AY	-4.77025
LRRIQ1	-0.767
GPR150	0.5095
CCDC21	-0.162333333333333
PRRG3	0.3555
SAA4	-2.66175
RAPGEF5	2.833
ZCCHC2	-0.659
MGC39372	0.71
PPP4R2	-0.162666666666667
CDCA2	-0.384
OR4D5	0.5985
PTGFRN	1.7618
SIGLEC5	1.76933333333333
C19orf61	-0.0851666666666667
NMUR2	0.3945
KIAA1586	-0.598
DAGLA	-1.7455
CHCHD6	0.1255
GPR32	0.354
NEUROD6	0.00816666666666666
SLC2A4RG	0.61675
CA5B	0.24475
FBXL3	0.5975
MPHOSPH9	-0.6045
HMG2L1	0.35525
HCN4	-0.0315
CEACAM19	0.69575
SH2D4B	0.845833333333333
HFE2	-0.4775
TGM4	1.1935
LYPD2	-0.7625
TBC1D15	-0.0385
MRPS21	-1.4278
NONO	-0.6103
CLEC5A	2.64
ITCH	-0.5309
MGAT3	-1.60916666666667
MBP	-0.40475
RPP25	0.069
SOSTDC1	1.61525
HRC	-2.17175
TRIM48	0.8675
TMEM133	0.77825
ECEL1P2	-0.16575
HOXC11	1.359
DOK5	-0.96275
HELZ	-0.657166666666667
LOC348180	-1.008
MGC33894	0.53975
ADRB3	-0.347
DMD	-0.431916666666667
PTRH2	-1.28575
MPEG1	3.535
NDUFA12	-0.166666666666667
KRTAP2-4	0.202833333333333
STAMBPL1	-0.832
ADCY2	-1.2522
UNQ6125	-0.5525
KLHL20	-0.5765
SRM	-0.61
OTC	-0.18625
TMIE	0.749666666666667
SNX8	0.26925
LIPK	0.7535
CHURC1	-0.675333333333333
KLC2	0.312666666666667
HDAC1	0.900333333333333
FAM128A	0.0155
FNDC3B	0.3108
MTCP1	0.687
WFDC10B	-0.2354
PCDHGB3	0.846
ATRNL1	-3.4844
CAV2	0.63525
MED26	-0.0255
DUS1L	0.09425
CHRM3	-1.495875
NEK9	-0.19525
WARS2	-0.13775
TBX22	-0.2055
TOMM40	-0.78275
RP6-213H19.1	-0.426833333333333
TUBGCP5	-0.2865
IGSF6	5.4975
TPPP	0.3235
UNQ6190	-0.5805
GSTM5	0.10025
BTD	-0.66
PDCD1LG2	2.08083333333333
SNRPB2	0.0868333333333333
ERICH1	-0.417375
APOA4	-1.76075
HOXA11	-2.26725
NARG1	-0.981125
MKX	0.1655
RAB28	-0.616642857142857
PKP3	0.91025
SH3GL2	1.743
CTSO	2.4205
RPN2	0.5190625
IL28RA	1.18283333333333
SFMBT1	0.4255
WDR57	-1.26475
FER1L3	0.5355
HSF5	2.067
TTC9B	-0.36625
C4BPA	-4.01933333333333
ALB	-5.95335714285714
SORBS3	0.9115
UPF2	1.075
JPH1	-0.816
AGBL2	-1.778
DOPEY1	1.6465
TERF1	-0.31025
KIF22	-1.05216666666667
NINJ1	0.0735
SEC61A2	0.900416666666667
HIST1H1D	-1.6255
SFXN4	-0.916125
UCP3	0.2457
ZNF703	0.382
MYL6B	-0.505
TREM1	3.266
OR52E6	0.207
CKMT2	2.9175
HLA-C	2.13675
SLC13A3	-1.868
TIMP4	-3.268
SLIT2	0.8655
RSF1	-0.132777777777778
LONRF1	0.352857142857143
MON1A	0.184166666666667
CACNG6	-1.859
DPPA4	-6.156
ZSWIM3	0.64575
ZNF804A	0.805
CCIN	2.66875
SLC25A31	0.8155
KCNMB4	-0.84175
RABL5	0.51475
GALNS	-0.7723
STX6	1.020625
HIST1H1C	-2.19533333333333
CIDEB	1.138375
CASP4	1.041
PDK3	1.07
KCNJ11	0.2975
TPR	-0.4375
ZSCAN20	-0.202
MTX2	-0.3495
HIST1H2BH	-0.24175
LOC283767	0.4095
LYRM7	-1.35338888888889
BRD3	0.177166666666667
HIST1H2BO	-0.72075
MAGEB10	-0.264
SLC45A1	0.0305
SERPINA3	-1.88395
KIAA0143	0.9135
KCNJ16	-0.00580000000000001
KRT79	1.04175
FABP2	-0.75125
NUT	-0.84225
ZNF57	0.11125
FBXL4	0.266875
CLEC9A	2.035
UGT8	-0.805
BMP2K	0.939
MAPK4	-2.57925
SLC25A23	-1.6451
HINT1	0.9073
KRTAP13-1	0.3425
SFXN5	0.1236
CHCHD2	0.3185
FAM3D	3.4245
NDP	-2.491125
RHOBTB1	-0.423
SLC4A4	-1.314
RPL38	-0.53825
HTF9C	-0.871833333333333
AP2A2	0.4865
ZBTB46	0.6375
MAP7D1	0.885125
AOX1	-1.83016666666667
CYR61	0.52225
DTNA	0.257785714285714
JRKL	0.20975
TMOD3	0.34525
EEA1	0.1018
ADCK5	-0.189
IL1R1	2.1395
KLK3	-0.0298571428571429
HRSP12	-0.08475
KTN1	0.14
LOH11CR2A	1.6312
RELL2	0.615
MAB21L1	0.7475
C20orf59	-0.9205
PHKB	-0.24225
ADAM2	-2.50216666666667
TBC1D8B	0.654166666666667
FAM13A1	-0.2365625
LAPTM4B	0.00691666666666666
LCN8	0.213
TMEM147	0.1745
SYT4	0.0438333333333333
XPO7	0.777
C9orf62	0.529
GPR75	0.214
TRIM5	0.3745
APOC1	1.66633333333333
RNASE4	-1.0285
PARD6B	-3.178125
ARID1A	0.720166666666667
TPD52L3	-0.633333333333333
RRAGB	-0.0345
RCN2	-0.448333333333333
HIST2H2BE	-0.87375
STARD7	-0.20475
SHMT2	-1.11725
KIAA1751	0.1874
MLYCD	-0.17775
LOC162632	-1.1543
UQCRH	0.16925
RP11-217H1.1	0.5905
SDHA	-1.44
NCLN	-0.3965
ZNF17	1.00533333333333
RCBTB2	-1.56875
VEGFB	-0.3129
RP4-747L4.3	0.757
COLQ	-0.1264
MPN2	-1.05816666666667
DRG2	-0.14725
KLRB1	6.708
ALPK2	-1.332
DNASE2B	2.72975
FLJ23834	-1.1755
AXUD1	0.0148333333333333
SAFB	-0.6499
NSUN4	0.2855
RFX2	-0.7475
MAPK8IP1	-0.21
FANCD2	-0.366642857142857
ANKZF1	-1.67366666666667
C19orf50	-0.440375
DUSP8	1.145875
SENP5	0.715875
NFKBIL2	-0.2965
LBR	-0.017125
IGFL1	4.053
LZTS2	0.616375
IL2RG	1.86975
CCDC51	-0.666
KLF3	1.04325
ANKRD37	-0.6005
KCTD14	-1.3095
FZR1	-0.188916666666667
SLC44A4	3.4776
ESPL1	-0.454
GMPR2	-0.986
TBC1D19	0.0561666666666667
ERGIC1	0.713814814814815
ERBB4	-1.06877777777778
TSPAN32	0.39375
MAP4	-0.003875
GPHN	-1.29425
SLC6A2	2.565
HIVEP1	1.11925
DFFB	-0.171
EIF4EBP2	0.97325
DMRT1	3.50575
HSPB6	-0.624
IER2	-0.597333333333333
AIFM1	0.043
WWC2	-0.989833333333333
MRPL4	-0.47125
FLJ21062	-0.58
EPB41L4A	1.20075
SH2D6	0.324
TAF4B	-1.27425
GAL3ST3	0.17
MALT1	0.334166666666667
RTDR1	0.90525
ARVCF	0.17375
MEX3B	0.574333333333333
FBXO16	1.591
KIF7	-1.9755
C1QC	4.004
ZNF783	0.166833333333333
ZNF85	0.4085
MMP13	3.271
KIAA0329	-0.0115
RTP3	-1.897
ZBED3	-0.41525
CLGN	0.40025
SLC25A37	-0.427125
hCG_18290	-1.068
OR5AS1	0.2175
SMARCC2	0.146833333333333
FAM109A	0.0483333333333333
CCDC12	-0.76325
USF2	0.3346
DEPDC7	-1.78825
C20orf24	0.774833333333333
JMJD3	1.1345
DSP	2.30121428571429
SLIC1	1.35075
FAM20A	2.108375
IRF2BP2	1.124375
ZNF230	-0.557
MSN	0.699071428571428
SLC9A5	-1.9735
EPDR1	-1.84
MUSK	-0.0155
ZNF434	-1.15866666666667
SMARCD1	-0.442666666666667
ZFP106	0.06625
ZNF347	1.9659
GTF2E1	0.13175
RY1	0.570666666666667
ATAD2B	0.286375
ARHGAP17	0.0925
KCNIP3	-0.93775
SFPQ	0.030625
GFRA4	-0.252
AKR1B10	3.398
TIGD6	1.08133333333333
RGS16	1.0515
