Hybridization REF	TCGA-AO-A12G-01A-11R-A10J-07
HSPA2	1.59925
WFIKKN1	-2.1085
SERP1	1.052875
SYDE2	0.84075
TACR2	0.444
NUP85	-1.54625
CD177	-0.3915
LGR5	-1.446
PIGG	-0.636333333333334
PTHR1	-1.62183333333333
RAB5A	0.747
FLJ13224	-0.0435
USP9Y	-0.753
C7orf53	-1.5765
LRP1B	0.5405
XAF1	0.4108
ABCG8	-0.251
ANKDD1A	-0.729
DAND5	0.249
SPAG6	0.1005
LINCR	0.453
ZDHHC22	-1.387875
CCDC60	0.388
THOC7	-1.80466666666667
TCTA	1.0801
OR8K3	0.69325
NY-REN-7	-0.253
B2M	0.991666666666667
C6orf141	-3.048875
LPPR4	2.77425
SQLE	0.455
SEPHS1	0.79325
BTBD14B	0.286428571428571
PLRG1	-0.92075
SPG7	-0.995125
ZNF614	0.6125
PARD6G	0.444833333333333
INPP5B	-1.1671
GRPEL2	0.308625
PPID	-0.9118
TRIM56	-0.1155
UBE2J1	0.5355
IL20RA	1.0715
LOC387856	0.19625
C1orf107	0.568666666666667
UTS2R	-0.21925
C19orf22	-0.3525
SAFB2	-0.14425
KIAA0652	0.187125
KLRG1	-0.543
MS4A8B	0.3935
FRAG1	0.3545
KIAA1546	-0.247
E2F4	-1.2958
CLEC4M	-0.0296666666666667
BTBD14A	-1.3215
KIAA0999	0.6562
GYPA	-2.84533333333333
TAC1	1.5157
TRAIP	-1.71766666666667
KIAA0232	0.6632
ERCC8	-0.602375
GPX4	0.241
KIAA0368	-0.137625
GPR157	-1.84983333333333
CTAGE4	0.8805
C9orf30	-0.619
OR52A1	0.7385
HSP90B3P	-0.331
ALG9	-1.3095
BTBD10	-0.08125
SDK2	0.22275
BAIAP3	0.7065
RABGGTB	-1.586125
ANKRD40	-0.024
KRT74	0.4115
CALCOCO2	0.285071428571429
SNCA	-2.52975
TMSL8	-2.93075
C2orf53	0.4805
ESRRB	-0.2755
ARHGAP26	-1.298875
TDRD9	-3.26325
HRAS	-0.307333333333333
KLRC4	-2.1065
JAGN1	-0.0395
BSDC1	1.126
RNF43	0.3682
NDUFAF1	0.798
PHF12	0.052
OR1L3	-0.1395
FOLR2	1.48575
LYZL6	0.208833333333333
tcag7.1260	-1.572
WSB1	-2.025
PROS1	-0.5318
OSTN	0.9285
PSMB8	-0.84125
SOCS4	0.053125
DDIT4L	0.755
MAS1	0.1415
MGC34796	1.1045
CSHL1	0.411166666666667
TBCCD1	0.834
ZBTB7C	-0.0465
AP2S1	0.046375
P15RS	0.1203
VAT1	-0.1164
SHANK3	0.740833333333333
TUFM	0.431666666666667
THEG	-0.1795
KRT34	-1.58725
SGSM3	0.59225
TOMM22	1.564375
SOCS3	0.626
CPO	-0.267
POP4	0.42375
BHLHB3	2.61375
MALL	1.72325
OR1B1	0.555
PARK2	0.0358333333333333
GPR124	1.1285
LCE1E	-0.069
RUVBL2	0.572
CGRRF1	0.2841
ACPL2	0.6895
WNT10B	-2.692125
BAIAP2L2	-2.1465
ISCA1	1.132
C1orf125	0.056875
RPAP1	-0.75
RAI16	-0.153333333333333
RPL27	0.0140000000000001
NLRP9	0.0925
EPN1	0.877
LOC388610	-0.127125
SLC35A1	0.7175
GAL	-4.39675
SLC14A2	0.41425
RDH11	-0.335
FAM138F	0.1965
AUH	0.124
FLJ40243	0.32475
C14orf129	0.348166666666667
MBD2	-0.3605
ABHD14B	-0.3605
PIGT	0.495
ALS2CR4	-0.02575
ALAS1	-0.2934
FOXO1	0.947
CRLF3	-0.31525
C20orf107	0.054
FARS2	0.76975
CCDC28A	1.1805
NPHP3	-1.529
OR13F1	0.592
TSEN54	-0.8435
DEFB106B	0.1498
OR8B4	0.569
STH	0.04175
ZC3H14	-0.09775
CBX2	-0.789
TMEM49	-0.627
C6orf21	0.457
FLJ20920	0.7105
CRTAP	-0.445571428571429
DDX50	-0.9895
STYXL1	0.89775
BLVRB	0.689166666666667
LOC147650	0.623166666666667
MMP24	0.21975
GRID1	1.709
BANF1	-0.126166666666667
CTAGEP	0.06575
HMBS	-2.41175
SLC25A24	0.462333333333333
C14orf50	0.1905
MRO	1.63033333333333
SLC25A15	-0.14525
FAM84B	2.1802
TDP1	-1.238
C16orf78	0.0384
C11orf57	-0.625625
RFK	-0.061375
ZFYVE9	-0.58625
STCH	-0.6786
WIBG	1.073
LOC283871	-0.465166666666667
GBA2	-0.7782
NDUFB3	-0.08425
HSD17B13	-0.1555
GRIN3A	0.75
FMNL1	-1.87583333333333
SEPT7	0.4307
GNLY	1.699
GRAMD1C	0.546666666666667
ZNF165	-0.04325
USP38	0.17275
FAM83A	-2.87583333333333
C14orf24	0.757583333333333
ARMCX3	1.160625
ARHGDIB	0.027
AK1	1.759875
KIAA1045	0.418
DNAJB13	-0.368666666666667
NEU2	0.399
HIST1H4B	-1.4415
FAM20B	-0.067
HES2	0.071
FAM73B	-0.6969
LOC388381	0.11925
INTS7	-0.399909090909091
AMPH	0.8455
ZNF775	-0.175625
UCKL1	-1.29383333333333
C10orf97	0.3065
C1orf161	0.1885
ALDH1L1	-1.228
FLJ39378	0.044625
SLC23A1	0.0385
RBM4B	-0.45675
THAP4	0.432
OGFRL1	1.1525
KIAA0831	-0.32225
PPP1R15A	0.123666666666667
C1orf96	-0.571857142857143
C12orf11	-1.33825
BMF	0.5275
MAN1A1	1.239
KIAA1600	0.375333333333333
NLGN4X	-0.0705
ALOX12	-0.827
RB1CC1	0.3128
NEIL2	0.7949
EIF4E	1.15904545454545
ABHD5	-0.05475
EXOC4	-1.17133333333333
CIP29	-0.563833333333333
BATF2	-0.39025
SLC29A4	-0.848
HTR4	0.22025
EMB	-0.72525
TRAF6	0.53775
LMNB1	-1.6685
FAM19A5	0.19975
SHE	1.7785
PIK3C2B	1.44175
C15orf15	-0.2471
USP15	-0.5131
TCEAL2	1.791
C5orf39	-0.913166666666667
PTGER2	-0.93875
SLC31A1	0.6093125
IFT172	0.61525
ADAM29	0.50725
GFOD1	1.0565
ST7L	0.341833333333333
C15orf26	-1.02475
PKN3	-1.50625
CNTD1	4.31416666666667
COMMD1	0.61075
NTRK2	1.94958333333333
FOXN3	0.33125
MFGE8	-0.9794
PFKFB2	0.589333333333333
TAS2R4	-0.339
ENTHD1	0.884333333333333
PRMT5	-0.87525
MGC16384	-2.47625
LOC442229	-0.27575
TSKU	2.164375
KRTCAP3	2.855625
PDLIM1	-0.039
KCNS2	0.46825
RNF126	-0.618166666666667
CEP63	-0.06225
CLIC4	-0.59525
hCG_1990170	-0.1615
ACR	1.5751
KLK7	0.10875
ALOX5AP	2.964125
RIPK3	3.6025
TAS2R9	0.788
C19orf18	2.069
BIRC6	0.676285714285714
ZNF16	1.7205
RFT1	-0.64
SLC8A2	-0.61825
TACC1	-0.53075
ITGAD	0.4555
SAMHD1	0.205
SH3PXD2B	1.1668
EPC2	0.921
C20orf85	0.163
ATP13A2	0.0625
KRT4	0.4665
CAPNS1	-0.85175
MDM2	-0.993583333333333
PCDH20	1.67125
KCNK9	0.8495
OR2C1	0.193
KLHDC3	-1.05233333333333
IPPK	0.541
EFHD2	0.039125
GALR3	-0.42825
NBEA	0.760166666666667
ABCA6	2.0172
CLDN3	1.66466666666667
AKT2	1.1925
EGFR	-1.7879
RBM16	0.620375
ZDHHC3	0.2214
SLC25A4	-0.938333333333333
CYB5B	-0.473666666666667
CPXM1	-0.10025
NDRG1	-1.30176923076923
FLJ43826	0.289
OR5L2	0.355666666666667
FARP2	0.6677
MRPL46	-0.657166666666667
LDHAL6B	0.0643333333333333
MAPKAPK3	-0.581666666666667
NCAM2	-0.33875
PRKD2	0.2135
ZFP36L1	1.1847
CYSLTR1	-0.96775
OR4C3	0.40925
HIST1H2AJ	1.1815
CCNB2	-2.83155555555556
ZNF10	-0.3265
TMEM175	-0.0725
FAM134A	0.970666666666667
TIGD4	-0.3
PCNP	-0.18225
MGC39715	-0.0635
LQK1	0.69225
CREB1	0.2351
TMPRSS3	1.70075
C4orf32	0.0905
LAT	-1.77908333333333
KCNA3	0.00899999999999998
SKIV2L2	-0.91825
ROPN1B	-1.5335
tcag7.23	0.979
CDT1	-3.451
ZHX2	1.204625
CD28	-2.61625
ZNF624	0.72675
SEPT2	0.517666666666667
SOHLH2	-1.80025
MCOLN3	-0.71025
UNQ1945	0.2245
MASP2	-0.9985
ZNRF3	0.9679
GPATCH3	-0.08175
AGL	0.6705
QRICH2	-0.999
PSD4	0.855166666666667
CCNB1IP1	-1.51425
ENPP7	0.19975
OBFC1	-0.1595
KCNG3	-2.16125
C14orf79	0.865166666666667
ENPEP	1.598
SCT	2.0645
SKI	0.371375
SEC61G	-1.77425
CAPN11	0.3665
ATXN7L3	-0.423
DBNDD1	0.0545
FAIM	0.326
ANKRD36	-1.572
GABRP	1.68183333333333
TACSTD2	1.678
EIF3J	-0.76775
PPP2R2A	-0.8455
TEKT4	-0.443333333333333
PVALB	-1.059
F10	-1.77733333333333
FAM134C	0.8077
COMP	4.840625
EFCBP1	-2.021375
SCLT1	-0.984875
TAL1	-0.249
ACSL1	0.00799999999999999
ABCC5	-1.12966666666667
ABL1	-0.654222222222222
RBBP7	0.5105
PTPRG	-1.271125
NCOR1	-0.5025
SPINK4	-1.31916666666667
TXNRD1	-1.0787
TNRC15	0.48525
C9orf138	0.692625
UBE2H	1.00333333333333
BRDT	2.94766666666667
C8orf31	0.03975
CCNE2	-0.206454545454545
SLC6A8	-1.435875
CALCR	-3.49925
PPP1CB	1.52
ABHD8	0.4305
ARF5	0.5863
SLC24A4	0.375
CCT3	0.50975
ZNF121	-0.22325
SLC3A2	-0.8848
OR13A1	0.337
SLC5A10	1.12325
RAD50	-0.30275
IER5	-0.8735
MTHFD1L	-2.000125
MBTPS2	0.37625
MVK	-0.20175
NCL	0.3396
PSMD10	0.11
MOBP	0.3765
FLJ32894	-0.0055
HRH1	-0.786166666666667
C5orf30	0.498
NUDT16L1	1.506
RASGRP3	3.12783333333333
PRKRIP1	-0.3072
CCDC75	-1.061
LOC253970	-0.108
KIAA1239	0.0425
MED21	-1.029
SYT11	0.625916666666667
NTSR2	0.286
EGFL11	0.1575
CXorf59	0.4955
OR2A25	0.288
SPTBN2	0.511
LRMP	-1.05766666666667
RNF111	-0.5955
PTH	0.1545
LOC619208	1.74383333333333
KIAA0895	1.679
RANBP5	-0.92525
P2RY10	0.296166666666667
NME5	3.568
DDX21	-1.32075
LRSAM1	2.5585
HDAC11	0.849333333333333
VMO1	2.51775
NOLA2	0.1815
ADAR	0.1425
MTO1	-1.14116666666667
SF4	0.717
P2RX1	-0.0156666666666667
HBM	0.2305
EN2	-0.5525
C14orf172	0.68775
TM9SF2	0.8298
INHBE	-0.813333333333333
TCTE3	0.468333333333333
TOX2	-2.487
CTAGE3	-0.0757142857142857
HBB	3.9696
MED15	-1.136
CASR	0.07725
C6orf66	-1.0315
MTPN	-0.678875
UNC50	0.26975
C21orf33	0.930875
IRF2	0.551625
PGR	0.428333333333333
GPR84	1.1385
CROCCL1	-2.83025
SRPX	-1.4095
BRE	0.469333333333333
FGF10	0.27525
SDC3	1.933
ZRSR1	-0.286166666666667
DKFZP434P211	-0.5705
SOX6	0.272
RPUSD2	-0.311
C14orf173	-0.15125
MAPK11	-0.291666666666667
TBC1D22A	0.845
FAM123A	-0.0485
COL4A6	-2.062
TOMM70A	0.48575
NAB1	-1.35425
MGC16385	-0.146125
TSPAN18	-0.157833333333333
MED31	-0.94325
PLG	-0.12225
CAPSL	3.0655
ZNF532	1.5922
ASB14	0.183333333333333
CA8	2.38075
NUDT16P	1.98666666666667
SLFN11	-1.3065
LRRIQ2	-0.75075
NOL7	-0.262833333333333
BRMS1L	0.127875
JARID1A	0.3355
PANK2	-0.28925
ICAM3	0.31125
MDS1	-0.1945
TAF8	-0.53
RNF139	0.971
ZNF594	-0.938166666666667
ADAM8	1.122125
SFTPC	0.0595
MAN2B2	1.26675
RGS12	0.10225
EIF1AY	-4.16158333333333
LRRIQ1	-1.2855
GPR150	-0.5885
CCDC21	-1.60416666666667
PRRG3	0.2715
SAA4	-3.6325
RAPGEF5	1.662375
ZCCHC2	-0.597333333333333
MGC39372	0.499
PPP4R2	-0.0911666666666667
CDCA2	-2.47966666666667
OR4D5	0.904333333333333
PTGFRN	0.7904
SIGLEC5	1.1115
C19orf61	-0.5855
NMUR2	0.688
KIAA1586	-0.593833333333333
DAGLA	0.897166666666667
CHCHD6	0.41025
GPR32	0.971
NEUROD6	-0.0924
SLC2A4RG	0.0704375
CA5B	0.493
FBXL3	0.9555
MPHOSPH9	-0.56575
HMG2L1	0.55725
HCN4	-0.629333333333333
CEACAM19	0.50925
SH2D4B	0.304333333333333
HFE2	-0.7185
TGM4	-0.219666666666667
LYPD2	-0.0575
TBC1D15	0.27425
MRPS21	0.3003
NONO	-0.5228
CLEC5A	1.10325
ITCH	0.264
MGAT3	-0.369333333333333
MBP	-0.59375
RPP25	-1.87
SOSTDC1	-0.01925
HRC	-0.76475
TRIM48	-0.333
TMEM133	-0.33925
ECEL1P2	-1.00525
HOXC11	0.25
DOK5	-0.222
HELZ	0.248333333333333
LOC348180	-1.3425
MGC33894	0.3455
ADRB3	0.642
DMD	-0.0259166666666667
PTRH2	-0.235
MPEG1	2.594
NDUFA12	-0.2935
KRTAP2-4	0.02225
STAMBPL1	-1.2415
ADCY2	0.983333333333333
UNQ6125	0.06
KLHL20	0.462666666666667
SRM	-0.843
OTC	0.20325
TMIE	0.231666666666667
SNX8	-0.45425
LIPK	0.1755
CHURC1	-0.533916666666667
KLC2	0.46
HDAC1	-0.301833333333333
FAM128A	0.7595
FNDC3B	-0.4467
MTCP1	-0.0988333333333333
WFDC10B	0.2059
PCDHGB3	-0.28
ATRNL1	-1.5436
CAV2	-0.06625
MED26	0.349
DUS1L	0.48375
CHRM3	-1.7705
NEK9	0.694
WARS2	0.29075
TBX22	0.2555
TOMM40	-0.52375
RP6-213H19.1	-1.89616666666667
TUBGCP5	-0.806
IGSF6	4.6895
TPPP	1.468
UNQ6190	0.1565
GSTM5	1.35975
BTD	1.54933333333333
PDCD1LG2	0.137166666666667
SNRPB2	-0.795833333333333
ERICH1	-0.295125
APOA4	-1.35075
HOXA11	-1.423
NARG1	-0.497125
MKX	0.21825
RAB28	-0.0757857142857143
PKP3	0.22025
SH3GL2	-1.9615
CTSO	2.82
RPN2	0.234
IL28RA	-0.323
SFMBT1	-0.04725
WDR57	0.88025
FER1L3	-0.169416666666667
HSF5	0.2195
TTC9B	1.0585
C4BPA	-3.33416666666667
ALB	2.87921428571428
SORBS3	-0.215125
UPF2	1.0745
JPH1	-0.3955
AGBL2	-1.03625
DOPEY1	1.855
TERF1	0.11025
KIF22	-0.335666666666667
NINJ1	1.49366666666667
SEC61A2	0.110833333333333
HIST1H1D	-3.3805
SFXN4	0.217
UCP3	-0.0048
ZNF703	0.886833333333333
MYL6B	0.2435
TREM1	1.547
OR52E6	0.418
CKMT2	1.2945
HLA-C	1.3925
SLC13A3	-1.52333333333333
TIMP4	-1.4315
SLIT2	3.19525
RSF1	1.29911111111111
LONRF1	-1.15892857142857
MON1A	-0.795333333333333
CACNG6	-1.24966666666667
DPPA4	-5.14933333333333
ZSWIM3	0.62875
ZNF804A	0.156666666666667
CCIN	1.26225
SLC25A31	-0.21425
KCNMB4	-0.3255
RABL5	0.745
GALNS	-0.1363
STX6	0.48525
HIST1H1C	-5.11283333333333
CIDEB	0.155
CASP4	-0.835
PDK3	-0.5305
KCNJ11	1.0225
TPR	-0.371375
ZSCAN20	0.1335
MTX2	-0.33025
HIST1H2BH	-0.2405
LOC283767	1.121
LYRM7	-0.512388888888889
BRD3	-2.02416666666667
HIST1H2BO	-1.46775
MAGEB10	0.232
SLC45A1	0.36925
SERPINA3	3.86785
KIAA0143	1.528
KCNJ16	1.10783333333333
KRT79	0.04025
FABP2	-0.499
NUT	-0.183
ZNF57	-0.33025
FBXL4	0.232625
CLEC9A	0.8845
UGT8	-1.1345
BMP2K	1.277
MAPK4	-3.3725
SLC25A23	-0.8423
HINT1	-0.1609
KRTAP13-1	0.3095
SFXN5	-0.079
CHCHD2	0.502416666666667
FAM3D	2.19
NDP	-1.639625
RHOBTB1	1.17033333333333
SLC4A4	-1.07875
RPL38	0.052
HTF9C	0.2215
AP2A2	-0.38125
ZBTB46	-0.638
MAP7D1	0.13675
AOX1	-1.49616666666667
CYR61	-0.269083333333333
DTNA	-0.5115
JRKL	0.11525
TMOD3	-0.21125
EEA1	0.1154
ADCK5	0.31475
IL1R1	1.57216666666667
KLK3	2.31771428571429
HRSP12	0.94025
KTN1	-0.425
LOH11CR2A	0.3736
RELL2	-1.6535
MAB21L1	1.3595
C20orf59	-1.19866666666667
PHKB	-0.2385
ADAM2	-1.13833333333333
TBC1D8B	0.81
FAM13A1	-0.5126875
LAPTM4B	-1.83141666666667
LCN8	0.09
TMEM147	1.1405
SYT4	-0.1465
XPO7	-1.9065
C9orf62	-0.91875
GPR75	0.15
TRIM5	-0.4615
APOC1	-0.572
RNASE4	1.561
PARD6B	-2.409375
ARID1A	-0.114916666666667
TPD52L3	-0.0102
RRAGB	0.716833333333333
RCN2	-0.578666666666667
HIST2H2BE	-1.296625
STARD7	0.05075
SHMT2	-0.768
KIAA1751	0.187333333333333
MLYCD	-0.26975
LOC162632	-1.0182
UQCRH	-1.00625
RP11-217H1.1	0.313875
SDHA	-1.17333333333333
NCLN	-0.0142
ZNF17	0.919166666666667
RCBTB2	-1.382
VEGFB	0.0101
RP4-747L4.3	-0.44825
COLQ	-0.3375
MPN2	-0.608166666666667
DRG2	-0.22725
KLRB1	3.2625
ALPK2	-3.117
DNASE2B	0.00725000000000001
FLJ23834	0.956333333333333
AXUD1	0.178666666666667
SAFB	-0.51
NSUN4	-0.71075
RFX2	0.575166666666667
MAPK8IP1	-0.0213333333333333
FANCD2	-0.702642857142857
ANKZF1	-1.45533333333333
C19orf50	-0.27025
DUSP8	0.256
SENP5	-0.26675
NFKBIL2	-0.276
LBR	-1.80875
IGFL1	0.192
LZTS2	-0.40275
IL2RG	-1.152125
CCDC51	-0.0625
KLF3	0.157375
ANKRD37	-2.183
KCTD14	-0.9685
FZR1	0.219083333333333
SLC44A4	3.8364
ESPL1	-1.256
GMPR2	-0.6436
TBC1D19	-0.980666666666667
ERGIC1	1.20362962962963
ERBB4	4.2165
TSPAN32	0.3145
MAP4	-0.609375
GPHN	-0.8955
SLC6A2	0.411
HIVEP1	0.16825
DFFB	-0.4392
EIF4EBP2	0.069
DMRT1	-0.06375
HSPB6	-0.00650000000000001
IER2	-0.0206666666666667
AIFM1	0.2235
WWC2	-0.937083333333333
MRPL4	-0.71475
FLJ21062	0.294666666666667
EPB41L4A	0.914583333333333
SH2D6	0.43525
TAF4B	-0.58675
GAL3ST3	0.3585
MALT1	-1.85366666666667
RTDR1	0.84875
ARVCF	0.5385
MEX3B	-0.910666666666667
FBXO16	0.077
KIF7	-1.43925
C1QC	4.307
ZNF783	-1.0635
ZNF85	-0.455
MMP13	1.807
KIAA0329	0.567125
RTP3	0.18
ZBED3	0.6345
CLGN	0.7775
SLC25A37	-1.68533333333333
hCG_18290	-0.01225
OR5AS1	0.1825
SMARCC2	0.033
FAM109A	-0.129333333333333
CCDC12	-0.05125
USF2	0.4435
DEPDC7	-2.2955
C20orf24	-0.3745
JMJD3	-0.00549999999999999
DSP	1.32371428571429
SLIC1	0.171625
FAM20A	0.762
IRF2BP2	0.244375
ZNF230	0.2185
MSN	-0.525357142857143
SLC9A5	-1.7205
EPDR1	-1.5982
MUSK	0.3185
ZNF434	0.4555
SMARCD1	-0.436
