Hybridization REF	TCGA-AN-A0AK-01A-21R-A00Z-07
LARP7	-2.3648
CD160	0.671
MT1JP	-1.8335
PHF20	0.2220625
CPNE4	2.0315
GTPBP1	-0.240785714285714
RAB33B	1.08116666666667
ALDOC	-1.810875
ZNF212	-0.448
NUDT1	-0.554333333333333
RFPL2	0.408
ZNF83	0.235666666666667
GDPD5	-0.55475
PDCD4	0.6407
CEP350	0.27625
OR10A2	0.1415
CST7	0.7495
CIAO1	-0.88875
SELL	1.638
OR8J3	2.731
LTBP4	-0.311666666666667
SIRT6	0.15625
CCL19	3.53975
PPIL1	0.0558333333333333
GBP7	0.8106
STK17A	-1.4212
ABR	1.454
OR9G1	-0.447
FOXE1	-0.80225
CNGA3	2.6895
GML	0.9835
CD38	-0.777
ZDHHC6	0.345
NEFH	-3.271
CTDSP2	1.15333333333333
PGBD5	-1.78
CCNY	0.517285714285714
RMND5B	0.388916666666667
ZNF257	-1.419
FLJ22167	-0.244375
EXOSC7	-0.621833333333333
ROR2	1.683125
MAOA	-2.57975
TNNT3	0.198666666666667
GYPC	-1.88725
C7orf33	0.6545
PLIN	1.59716666666667
LOC90826	0.64425
RNF4	-0.1529
F8A1	-0.748333333333333
PLEKHG4	-0.87175
GRB2	0.70655
HIST1H2AD	-1.764
DUS3L	-0.0475
EIF1	-0.2575
RP5-1077B9.4	-1.18816666666667
FPGT	1.91175
GDF10	-0.8815
COQ9	-0.13775
GCC2	-0.374
RARRES3	0.202625
PLXNA1	-0.00429999999999999
KIAA0100	0.7072
PMF1	0.39925
FNDC1	5.21175
HS2ST1	-0.421833333333333
CRELD2	2.2955
C8G	-1.077
CD82	-0.52725
LIM2	-0.636
UNQ6490	0.129
MMP16	1.311
DRD3	0.298
C5orf26	-1.944
C11orf73	0.150375
PTP4A2	-0.163
OR4M2	0.936
HPCA	0.2935
SEC14L1	-1.33833333333333
CHFR	0.636125
EMILIN1	0.505
NDUFS4	-0.7725
COL18A1	-0.435
PDZD3	0.4289
C9orf16	-0.0216666666666667
ERBB2IP	-0.1015
EMX2	1.56625
FUS	-0.63075
TF	-4.0083
CLCN4	-0.929833333333333
CXorf56	-0.25725
C11orf72	1.143
ELAC2	0.17725
NPR1	-1.17725
ASS1	-2.54416666666667
USP42	-0.205125
POLR2J	-1.0285
SEC23IP	1.46533333333333
UQCRC1	0.272
LOC729603	-0.5525
C1orf71	0.032
POLG	-0.4645
ADAM23	-4.10575
TFR2	-0.25025
RICTOR	-1.1806
MGC39606	-0.09975
C19orf55	0.02025
SNAPC1	-2.13033333333333
GNA11	1.244
CCDC52	0.4875
FSIP1	5.307
UPF3A	-0.1265
IGSF11	-2.51183333333333
LAGE3	-0.18525
CHST6	-3.385
UNC13B	0.266375
TTLL4	-0.149125
ZNF687	0.299625
SDC2	1.1909
COX7A2	0.1745
LAMB4	-0.5825
FAM24A	0.3895
LRRTM3	-1.67683333333333
GPHB5	0.43425
OR4C13	0.4275
EIF3EIP	0.165928571428571
HABP4	-1.7705
TMEM125	3.554
CNTN2	-0.36575
ASNSD1	-0.46675
FUT4	-0.3375
ACF	-3.99225
LOC158381	0.247
CDH8	0.17125
AGPS	-2.643
C4orf18	1.10525
PECI	-0.509416666666667
UNG	1.037375
GSTP1	-3.5255
DCUN1D5	-0.3925
DKFZP564J0863	-1.26775
SLC9A3R1	2.383125
BCDO2	-0.93775
CHMP7	1.575625
REM2	1.249
DNHD1	-1.299
FKBP4	0.799625
ZNF350	1.10225
MGC11102	0.8115
BST1	0.72825
KISS1R	0.978
NCR2	0.3835
DEFB125	0.6235
UBE2W	1.549875
KRT15	-2.477375
C10orf99	0.326
SCN11A	-0.01175
GFI1	-2.055
RDHE2	2.664
FHL1	-1.52583333333333
OSGEP	-0.4595
GATA1	-3.763
SMC6	-1.16275
TTTY14	-2.27725
LPIN3	0.1045
RPL4	-0.0311
RBPMS	-0.5507
PRPF3	-0.433666666666667
EMR1	-2.5135
SPATA19	0.15125
XCR1	0.487
IRX3	1.8036
RBM6	-0.98975
KLF4	-1.5021
UNC5CL	-2.20275
SEBOX	1.1075
BTK	-0.0105
KRCC1	1.23675
C6orf27	0.4905
SYTL5	1.97
PRND	2.0245
LOC653319	-1.527
PIGL	-2.459625
HUS1	-0.0893333333333333
SFRS6	2.12208333333333
C17orf77	0.4
UIMC1	-0.746
FXYD2	-2.0344
LOC283152	-0.95475
ZNF667	-2.57525
ZCCHC12	-1.40525
TFEC	2.9292
ATP7B	1.2525
POLD2	0.109666666666667
RG9MTD1	0.69975
ACOT2	-2.54916666666667
HIST1H4I	-1.61375
PPARGC1A	-2.1008
ETFA	-0.6473
POLRMT	0.06075
ZNF146	1.407875
MIA2	-2.4
KLHL6	-0.691166666666667
HOXB5	-1.8205
NENF	-0.2955
CUGBP1	-0.25225
PRSS22	0.857333333333333
CASC4	0.3232
CUL4B	-0.8094
CENPJ	-0.9634
PITX1	-1.05466666666667
FLJ31033	-0.417833333333333
CELSR3	-1.94333333333333
ZNF568	1.00325
ITSN1	-0.869833333333333
EHBP1L1	-0.838333333333333
C19orf2	0.54525
DCTN1	0.97275
LIN28B	-3.47683333333333
TNKS2	1.0395
C1QBP	0.79175
CADPS2	1.08625
SRMS	1.461
GJA9	0.609833333333333
MGC24975	-0.555833333333333
TRIM45	-1.768
TSP50	-0.51425
TCP1	-0.02925
TMED7	-0.1785
CMA1	0.025
CENPL	0.764166666666667
PTCRA	-0.0825
FST	-4.7795
VWCE	-4.49
PAWR	-0.3925
ABCC12	0.812833333333333
LDLR	-0.9083
ASTN2	1.3362
LOC441212	-1.95175
GPATCH8	0.63025
TANC2	-1.19533333333333
KIF4A	-0.6375
C18orf18	-3.7595
PGM1	-0.7165
KIAA0258	0.64375
CPD	1.071
SNCAIP	-1.53825
DCT	-4.42583333333333
HLA-DOA	3.34304545454545
OR11L1	0.744
UPK1B	-0.689
DNAJB4	0.141875
UGT1A8	-0.35975
HIST1H4L	-2.43
PECR	-0.589
HSPA2	0.3255
WFIKKN1	-1.0185
SERP1	1.256375
SYDE2	0.81075
TACR2	1.4935
NUP85	-0.30275
CD177	0.6875
LGR5	-2.274
PIGG	-0.325083333333333
PTHR1	-2.89033333333333
RAB5A	0.8678
FLJ13224	-0.3
USP9Y	-1.93116666666667
C7orf53	-1.884
LRP1B	-1.246
XAF1	0.6149
ABCG8	-0.6165
ANKDD1A	-0.82
DAND5	-1.3215
SPAG6	0.346
LINCR	-0.569
ZDHHC22	-1.6705
CCDC60	0.7025
THOC7	-1.98833333333333
TCTA	1.2455
OR8K3	0.53525
NY-REN-7	-0.57675
B2M	1.0105
C6orf141	-3.391375
LPPR4	2.994
SQLE	-0.4695
SEPHS1	0.23325
BTBD14B	0.392357142857143
PLRG1	-0.8095
SPG7	-0.2851875
ZNF614	0.387
PARD6G	0.0758333333333333
INPP5B	-0.3279
GRPEL2	0.034875
PPID	-0.5489
TRIM56	-0.979
UBE2J1	0.3515
IL20RA	6.38275
LOC387856	-0.717
C1orf107	1.40891666666667
UTS2R	0.35375
C19orf22	2.0365
SAFB2	-0.398
KIAA0652	1.211875
KLRG1	-0.976666666666667
MS4A8B	0.147
FRAG1	1.4595
KIAA1546	0.79825
E2F4	-1.03
CLEC4M	-0.032
BTBD14A	-0.6355
KIAA0999	0.347
GYPA	-3.71933333333333
TAC1	-0.212
TRAIP	-1.29616666666667
KIAA0232	0.4316
ERCC8	-0.9705
GPX4	1.126
KIAA0368	0.629875
GPR157	-1.49133333333333
CTAGE4	2.3325
C9orf30	-1.22983333333333
OR52A1	0.223
HSP90B3P	1.8125
ALG9	-0.2817
BTBD10	1.37775
SDK2	-0.02025
BAIAP3	0.000750000000000003
RABGGTB	-0.546375
ANKRD40	1.01883333333333
KRT74	0.467
CALCOCO2	0.838571428571429
SNCA	-3.43775
TMSL8	-6.039125
C2orf53	-0.309
ESRRB	-0.079
ARHGAP26	-1.493
TDRD9	-2.7895
HRAS	0.8715
KLRC4	-2.6495
JAGN1	0.516333333333333
BSDC1	0.56975
RNF43	-0.9938
NDUFAF1	0.89925
PHF12	0.4545
OR1L3	0.32975
FOLR2	2.2335
LYZL6	0.882166666666667
tcag7.1260	-1.831
WSB1	-2.374
PROS1	-2.39244444444444
OSTN	0.875
PSMB8	-1.792
SOCS4	0.45975
DDIT4L	-0.2525
MAS1	1.0385
MGC34796	1.61125
CSHL1	0.344
TBCCD1	1.39466666666667
ZBTB7C	0.3755
AP2S1	0.88275
P15RS	0.8298
VAT1	0.6787
SHANK3	1.01666666666667
TUFM	0.374833333333333
THEG	0.55
KRT34	-1.836
SGSM3	0.438875
TOMM22	0.146125
SOCS3	0.352
CPO	0.0525
POP4	0.56075
BHLHB3	-0.456
MALL	0.8595
OR1B1	0.4445
PARK2	-0.189833333333333
GPR124	0.46575
LCE1E	0.751
RUVBL2	0.58625
CGRRF1	-0.3513
ACPL2	1.216
WNT10B	2.1295
BAIAP2L2	-1.652625
ISCA1	0.7035
C1orf125	0.02025
RPAP1	-0.341
RAI16	0.389666666666667
RPL27	-0.606375
NLRP9	-0.087
EPN1	0.888
LOC388610	-2.717875
SLC35A1	1.2012
GAL	-1.862
SLC14A2	0.644
RDH11	0.224333333333333
FAM138F	0.1465
AUH	0.1455
FLJ40243	0.465
C14orf129	0.4665
MBD2	0.0035000000000001
ABHD14B	0.15925
PIGT	0.138875
ALS2CR4	0.406
ALAS1	0.6144
FOXO1	0.0588333333333334
CRLF3	0.048875
C20orf107	-0.1515
FARS2	0.783
CCDC28A	-0.88025
NPHP3	-2.828
OR13F1	0.6485
TSEN54	-0.31475
DEFB106B	0.0981
OR8B4	0.0445
STH	-0.7455
ZC3H14	-0.3275
CBX2	0.001
TMEM49	-0.13375
C6orf21	1.228
FLJ20920	-0.638625
CRTAP	-0.3575
DDX50	-0.40475
STYXL1	-0.04375
BLVRB	1.49
LOC147650	-0.460666666666667
MMP24	0.53975
GRID1	0.821
BANF1	0.924166666666667
CTAGEP	1.3735
HMBS	-2.50475
SLC25A24	0.430166666666667
C14orf50	0.2945
MRO	0.748666666666667
SLC25A15	0.1435
FAM84B	2.4631
TDP1	-0.475
C16orf78	-0.219
C11orf57	-0.814875
RFK	-0.124125
ZFYVE9	-0.969625
STCH	0.0949
WIBG	1.6275
LOC283871	0.934166666666667
GBA2	0.0311
NDUFB3	-0.69
HSD17B13	-0.834
GRIN3A	2.20116666666667
FMNL1	0.335666666666667
SEPT7	-1.0475
GNLY	3.5495
GRAMD1C	2.08633333333333
ZNF165	0.8355
USP38	2.04875
FAM83A	-2.80616666666667
C14orf24	0.5775
ARMCX3	-0.427875
ARHGDIB	-0.777833333333333
AK1	0.656125
KIAA1045	-0.021
DNAJB13	-0.157
NEU2	0.3735
HIST1H4B	-2.02516666666667
FAM20B	-0.0438
HES2	0.729785714285714
FAM73B	-0.1121
LOC388381	-0.36975
INTS7	0.709636363636364
AMPH	0.187
ZNF775	-0.80475
UCKL1	-0.0636666666666667
C10orf97	0.15425
C1orf161	-0.1035
ALDH1L1	-1.21975
FLJ39378	0.0945
SLC23A1	-1.766
RBM4B	0.1325
THAP4	0.958666666666667
OGFRL1	-0.482
KIAA0831	-0.628625
PPP1R15A	-0.291
C1orf96	4.75809867696496e-17
C12orf11	-0.53025
BMF	1.46
MAN1A1	0.106875
KIAA1600	0.0545
NLGN4X	-1.76
ALOX12	-1.1672
RB1CC1	-0.644
NEIL2	0.1631
EIF4E	1.12013636363636
ABHD5	-0.811
EXOC4	0.585666666666667
CIP29	0.373333333333333
BATF2	0.64375
SLC29A4	0.144875
HTR4	0.2785
EMB	-2.062
TRAF6	0.40925
LMNB1	-2.928
FAM19A5	-1.84025
SHE	0.5595
PIK3C2B	1.89975
C15orf15	-0.663
USP15	-0.3743
TCEAL2	-1.37875
C5orf39	-2.3975
PTGER2	-1.19725
SLC31A1	-0.4819375
IFT172	-0.3945
ADAM29	0.7135
GFOD1	-0.9385
ST7L	1.08933333333333
C15orf26	-2.06325
PKN3	-0.037
CNTD1	3.301
COMMD1	-0.402375
NTRK2	1.39108333333333
FOXN3	-0.997875
MFGE8	-0.8332
PFKFB2	-0.150666666666667
TAS2R4	0.5935
ENTHD1	1.26183333333333
PRMT5	-0.034625
MGC16384	-2.432125
LOC442229	-0.96625
TSKU	2.50575
KRTCAP3	3.11475
PDLIM1	-0.7125
KCNS2	0.66925
RNF126	-0.0603333333333333
CEP63	-0.508375
CLIC4	-1.02325
hCG_1990170	-1.784
ACR	0.4527
KLK7	-0.60075
ALOX5AP	1.01875
RIPK3	2.84325
TAS2R9	0.846
C19orf18	0.3745
BIRC6	1.34085714285714
ZNF16	1.3305
RFT1	-0.56075
SLC8A2	-0.639
TACC1	-1.625375
ITGAD	2.12
SAMHD1	1.24675
SH3PXD2B	0.678
EPC2	0.327
C20orf85	0.4445
ATP13A2	0.7755
KRT4	0.697625
CAPNS1	0.957
MDM2	-0.143666666666667
PCDH20	4.991
KCNK9	1.0635
OR2C1	0.5535
KLHDC3	0.318
IPPK	2.744
EFHD2	-0.28175
GALR3	-0.05025
NBEA	0.110333333333333
ABCA6	1.5175
CLDN3	0.592333333333333
AKT2	0.854785714285714
EGFR	-0.9575
RBM16	0.617875
ZDHHC3	-0.2311
SLC25A4	1.8405
CYB5B	-0.416666666666667
CPXM1	-1.51975
NDRG1	-0.990076923076923
FLJ43826	1.31575
OR5L2	0.3815
FARP2	0.9611
MRPL46	-0.896833333333333
LDHAL6B	-0.137333333333333
MAPKAPK3	-0.0635
NCAM2	-1.6775
PRKD2	0.683166666666667
ZFP36L1	-0.3829
CYSLTR1	-1.53325
OR4C3	0.67275
HIST1H2AJ	-2.6945
CCNB2	-0.872888888888889
ZNF10	-0.361625
TMEM175	0.1985
FAM134A	1.17966666666667
TIGD4	1.656
PCNP	-0.181
MGC39715	-0.0933333333333333
LQK1	-0.238
CREB1	0.1704
TMPRSS3	-1.9265
C4orf32	-0.929375
LAT	-2.3625
KCNA3	0.0945
SKIV2L2	-0.61325
ROPN1B	-2.503
tcag7.23	-0.148
CDT1	-2.56175
ZHX2	1.031
CD28	-3.52075
ZNF624	1.5115
SEPT2	1.05416666666667
SOHLH2	-2.2015
MCOLN3	-0.28575
UNQ1945	0.7525
MASP2	0.7855
ZNRF3	0.2527
GPATCH3	-0.4655
AGL	1.092125
QRICH2	0.2815
PSD4	0.662
CCNB1IP1	-0.7595
ENPP7	0.41275
OBFC1	-0.12375
KCNG3	-1.528
C14orf79	1.326
ENPEP	2.84816666666667
SCT	1.29
SKI	0.9205
SEC61G	0.806
CAPN11	-0.509
ATXN7L3	1.12725
DBNDD1	1.43883333333333
FAIM	0.154
ANKRD36	-1.946
GABRP	0.291166666666667
TACSTD2	1.39516666666667
EIF3J	0.19475
PPP2R2A	0.8625
TEKT4	0.118833333333333
PVALB	-2.9775
F10	-3.59566666666667
FAM134C	1.5635
COMP	3.93525
EFCBP1	-1.5870625
SCLT1	-1.21625
TAL1	-1.5427
ACSL1	-0.0585
ABCC5	-1.11325
ABL1	0.05
RBBP7	1.39558333333333
PTPRG	-1.82714285714286
NCOR1	0.3826
SPINK4	3.47416666666667
TXNRD1	-0.7272
TNRC15	-0.213
C9orf138	0.1435
UBE2H	0.593833333333333
BRDT	0.0663333333333333
C8orf31	0.12675
CCNE2	0.688454545454546
SLC6A8	-2.459
CALCR	-3.7115
PPP1CB	1.53191666666667
ABHD8	1.0205
ARF5	0.8041
SLC24A4	0.73225
CCT3	0.7245
ZNF121	0.398375
SLC3A2	-0.3238
OR13A1	0.3625
SLC5A10	0.63
RAD50	-0.092125
IER5	0.98825
MTHFD1L	-1.9275
MBTPS2	0.80725
MVK	0.779625
NCL	0.4655
PSMD10	-0.89575
MOBP	0.187625
FLJ32894	0.2705
HRH1	-1.66316666666667
C5orf30	0.64075
NUDT16L1	1.498
RASGRP3	3.29316666666667
PRKRIP1	-0.569
CCDC75	-0.78775
LOC253970	1.058
KIAA1239	-0.48025
MED21	-1.1995
SYT11	-0.19225
NTSR2	0.2825
EGFL11	0.414
CXorf59	0.7
OR2A25	0.54775
SPTBN2	0.60425
LRMP	-1.9265
RNF111	0.619
PTH	0.206
LOC619208	0.134833333333333
KIAA0895	1.968
RANBP5	0.099375
P2RY10	1.26816666666667
NME5	1.88166666666667
DDX21	-0.1265
LRSAM1	0.783
HDAC11	1.75316666666667
VMO1	0.8585
NOLA2	-0.233833333333333
ADAR	0.926583333333333
MTO1	-0.6165
SF4	0.0393333333333333
P2RX1	0.393333333333333
HBM	0.14925
EN2	0.656
C14orf172	0.178
TM9SF2	1.8091
INHBE	-0.1565
TCTE3	0.284833333333333
TOX2	-3.10575
CTAGE3	0.588375
HBB	3.8605
MED15	-0.909833333333333
CASR	0.4925
C6orf66	-0.892333333333334
MTPN	-0.986125
UNC50	-0.211
C21orf33	0.575625
IRF2	0.405125
PGR	-2.51583333333333
GPR84	2.47025
CROCCL1	-3.1615
SRPX	-2.65425
BRE	1.036
FGF10	0.28125
SDC3	1.4435
ZRSR1	0.603
DKFZP434P211	-0.727
SOX6	0.033
RPUSD2	-0.4975
C14orf173	0.676333333333333
MAPK11	-0.656833333333333
TBC1D22A	0.559
FAM123A	-0.5325
COL4A6	-4.32916666666667
TOMM70A	1.16825
NAB1	-1.055
MGC16385	-0.552625
TSPAN18	-2.18083333333333
MED31	-0.53025
PLG	-0.3155
CAPSL	0.103
ZNF532	0.651
ASB14	0.024
CA8	-0.17475
NUDT16P	-0.400166666666667
SLFN11	-1.5445
LRRIQ2	0.3635
NOL7	-0.446166666666667
BRMS1L	-0.32875
JARID1A	-0.745333333333333
PANK2	-0.208
ICAM3	-0.3465
MDS1	-1.4615
TAF8	-0.5235
RNF139	1.4775
ZNF594	-2.605
ADAM8	2.791125
SFTPC	0.00475000000000002
MAN2B2	1.781
RGS12	0.1975625
EIF1AY	-5.39075
LRRIQ1	-0.598166666666667
GPR150	0.44125
CCDC21	-0.000666666666666666
PRRG3	0.5135
SAA4	-4.37475
RAPGEF5	0.24875
ZCCHC2	-0.558916666666667
MGC39372	-0.9995
PPP4R2	0.228
CDCA2	-0.1075
OR4D5	0.922666666666667
PTGFRN	0.5326
SIGLEC5	2.348
C19orf61	0.550833333333333
NMUR2	0.6685
KIAA1586	-0.895833333333333
DAGLA	-0.078
CHCHD6	0.30425
GPR32	0.3735
NEUROD6	-0.000833333333333343
SLC2A4RG	1.0009375
CA5B	0.13925
FBXL3	0.77225
MPHOSPH9	0.29925
HMG2L1	1.1275
HCN4	0.389666666666667
CEACAM19	1.06425
SH2D4B	0.5442
HFE2	-1.9815
TGM4	0.150666666666667
LYPD2	0.0995
TBC1D15	0.011
MRPS21	-0.1553
NONO	-1.4306
CLEC5A	1.07814285714286
ITCH	-0.2982
MGAT3	-1.65466666666667
MBP	-0.497375
RPP25	-0.47325
SOSTDC1	-4.294
HRC	1.573
TRIM48	-0.2435
TMEM133	-0.11975
ECEL1P2	-1.51875
HOXC11	2.3855
DOK5	-1.9115
HELZ	-0.427333333333333
LOC348180	-0.8185
MGC33894	0.0805
ADRB3	0.691
DMD	-0.45475
PTRH2	-0.728
MPEG1	3.93083333333333
NDUFA12	-0.1645
KRTAP2-4	0.0414166666666667
STAMBPL1	-1.97583333333333
ADCY2	-1.8196
UNQ6125	0.0955
KLHL20	-0.539166666666667
SRM	-1.0095
OTC	-0.03325
TMIE	-0.240333333333333
SNX8	0.577
LIPK	0.3105
CHURC1	0.0824166666666668
KLC2	0.93
HDAC1	0.563333333333333
FAM128A	0.260666666666667
FNDC3B	-0.6812
MTCP1	-0.6035
WFDC10B	0.0267
PCDHGB3	1.154
ATRNL1	0.0521111111111112
CAV2	-1.282
MED26	-0.00700000000000001
DUS1L	1.0265
CHRM3	-1.10675
NEK9	1.443
WARS2	-1.1605
TBX22	-0.0155
TOMM40	0.462
RP6-213H19.1	-1.802
TUBGCP5	0.5005
IGSF6	5.32275
TPPP	0.885833333333333
UNQ6190	0.324
GSTM5	0.730125
BTD	1.294
PDCD1LG2	1.27666666666667
SNRPB2	-0.316333333333333
ERICH1	-1.3895
APOA4	-1.6155
HOXA11	-1.098
NARG1	0.54525
MKX	-1.2585
RAB28	0.152071428571429
PKP3	2.51725
SH3GL2	-3.72675
CTSO	2.858
RPN2	0.6406875
IL28RA	-0.2265
SFMBT1	-0.403
WDR57	0.9905
FER1L3	-0.962333333333333
HSF5	0.4358
TTC9B	1.301
C4BPA	-5.209
ALB	-4.93678571428571
SORBS3	0.393625
UPF2	1.0185
JPH1	0.413
AGBL2	-0.82675
DOPEY1	1.3055
TERF1	-0.13725
KIF22	0.1365
NINJ1	0.1715
SEC61A2	-0.146083333333333
HIST1H1D	-3.1705
SFXN4	0.26925
UCP3	-0.2708
ZNF703	1.79533333333333
MYL6B	-0.377
TREM1	2.316
OR52E6	1.8875
CKMT2	0.67725
HLA-C	1.146
SLC13A3	0.625
TIMP4	-3.7185
SLIT2	1.56525
RSF1	-0.196722222222222
LONRF1	0.119214285714286
MON1A	-0.388333333333333
CACNG6	-1.6815
DPPA4	-5.786
ZSWIM3	-0.4585
ZNF804A	1.90683333333333
CCIN	0.9775
SLC25A31	0.7485
KCNMB4	-0.65175
RABL5	0.625125
GALNS	-0.0144
STX6	0.539375
HIST1H1C	-2.9725
CIDEB	-1.705
CASP4	-1.585
PDK3	0.1
KCNJ11	2.917
TPR	-0.291625
ZSCAN20	-2.368
MTX2	0.16125
HIST1H2BH	-0.66825
LOC283767	-0.86175
LYRM7	-1.07727777777778
BRD3	0.474
HIST1H2BO	-0.386
MAGEB10	-0.261
SLC45A1	-0.217
SERPINA3	-1.9164
KIAA0143	1.06375
KCNJ16	-0.539333333333333
KRT79	0.50425
FABP2	-0.504
NUT	-0.42275
ZNF57	-1.64675
FBXL4	0.210125
CLEC9A	-0.1615
UGT8	-0.6975
BMP2K	-0.05525
MAPK4	-4.087
SLC25A23	-0.9567
HINT1	-0.9237
KRTAP13-1	0.549
SFXN5	0.8452
CHCHD2	0.611333333333333
FAM3D	2.305
NDP	-4.855375
RHOBTB1	-1.7685
SLC4A4	-1.605125
RPL38	-0.14925
HTF9C	-0.356333333333333
AP2A2	1.420625
ZBTB46	0.335
MAP7D1	-0.357375
AOX1	-2.42216666666667
CYR61	-0.808333333333333
DTNA	0.706785714285714
JRKL	-0.376
TMOD3	-0.5875
EEA1	0.4871
ADCK5	0.2725
IL1R1	-0.389166666666667
KLK3	0.398230769230769
HRSP12	0.317
KTN1	-1.081
LOH11CR2A	-0.9961
RELL2	-0.851
MAB21L1	0.227
C20orf59	0.435666666666667
PHKB	1.13325
ADAM2	1.69133333333333
TBC1D8B	-0.346333333333333
FAM13A1	-1.1135
LAPTM4B	1.94983333333333
LCN8	0.4295
TMEM147	1.216
SYT4	0.148
XPO7	0.3635
C9orf62	0.30575
GPR75	-0.0725
TRIM5	1.54
APOC1	0.942333333333333
RNASE4	-0.108
PARD6B	-3.0685
ARID1A	-0.77575
TPD52L3	0.2554
RRAGB	0.5575
RCN2	-1.12033333333333
HIST2H2BE	-0.52175
STARD7	0.95175
SHMT2	0.743
KIAA1751	-0.236
MLYCD	0.496
LOC162632	-1.1424
UQCRH	-1.2515
RP11-217H1.1	-0.304875
SDHA	0.0706666666666667
NCLN	0.4436
ZNF17	0.989
RCBTB2	-2.852
VEGFB	0.3652
RP4-747L4.3	-1.08125
COLQ	-0.2625
MPN2	-0.677833333333333
DRG2	0.3555
KLRB1	5.05275
ALPK2	-3.39175
DNASE2B	3.06975
FLJ23834	0.385
AXUD1	0.3775
SAFB	0.0348999999999999
NSUN4	0.647
RFX2	-0.574333333333333
MAPK8IP1	-0.368666666666667
FANCD2	0.152071428571429
ANKZF1	-1.00083333333333
C19orf50	-0.097375
DUSP8	1.916375
SENP5	-0.562125
NFKBIL2	0.30075
LBR	-0.958125
IGFL1	-0.24
LZTS2	-0.1785
IL2RG	-0.453875
CCDC51	-0.552
KLF3	0.498
ANKRD37	0.31275
KCTD14	-2.50216666666667
FZR1	0.857333333333333
SLC44A4	4.1504
ESPL1	-0.350125
GMPR2	-0.3907
TBC1D19	0.0493333333333333
ERGIC1	1.90181481481481
ERBB4	2.4756
TSPAN32	0.248583333333333
MAP4	0.483875
GPHN	0.45925
SLC6A2	-0.1675
HIVEP1	0.64025
DFFB	0.2663
EIF4EBP2	0.3495
DMRT1	0.601
HSPB6	0.974
IER2	0.0436666666666667
AIFM1	0.28725
WWC2	-0.435833333333333
MRPL4	-0.1995
FLJ21062	1.15516666666667
EPB41L4A	1.14241666666667
SH2D6	0.46525
TAF4B	-0.0595
GAL3ST3	1.116
MALT1	-1.14583333333333
RTDR1	0.15975
ARVCF	-0.0655
MEX3B	-1.08833333333333
FBXO16	1.44825
KIF7	-1.62025
C1QC	3.91066666666667
ZNF783	-0.708
ZNF85	-0.35525
MMP13	2.9385
KIAA0329	-0.151125
RTP3	-0.9515
ZBED3	-0.38725
CLGN	-1.18625
SLC25A37	-1.45025
hCG_18290	-0.2735
OR5AS1	1.609
SMARCC2	0.02225
FAM109A	0.7585
CCDC12	-0.51
USF2	1.3499
DEPDC7	-3.6155
C20orf24	-0.704333333333333
JMJD3	1.7835
DSP	1.05328571428571
SLIC1	0.409875
FAM20A	1.0315
IRF2BP2	0.31
ZNF230	0.521
MSN	-1.173
SLC9A5	-2.2705
EPDR1	-2.1725
MUSK	0.634166666666667
ZNF434	0.787666666666667
SMARCD1	0.103833333333333
ZFP106	-0.2435
ZNF347	0.3543
GTF2E1	0.0405
RY1	0.192
