Hybridization REF	TCGA-A1-A0SM-01A-11R-A084-07
XAF1	1.3925
ABCG8	-0.875
ANKDD1A	-0.571
DAND5	-1.4
SPAG6	0.0113333333333333
LINCR	-0.092
ZDHHC22	-1.824875
CCDC60	0.053
THOC7	-1.1815
TCTA	0.9917
OR8K3	0.3075
NY-REN-7	-0.813
B2M	1.19866666666667
C6orf141	-3.091625
LPPR4	2.6785
SQLE	-0.299875
SEPHS1	-0.99275
BTBD14B	0.348714285714286
PLRG1	-0.28
SPG7	-0.845875
ZNF614	-0.2035
PARD6G	0.96
INPP5B	-0.7526
GRPEL2	-0.32525
PPID	-0.9382
TRIM56	-0.847
UBE2J1	0.29975
IL20RA	2.53625
LOC387856	0.78675
C1orf107	0.660666666666667
UTS2R	0.149
C19orf22	0.4705
SAFB2	0.03725
KIAA0652	0.507125
KLRG1	-1.31483333333333
MS4A8B	0.293
FRAG1	0.31275
KIAA1546	0.21575
E2F4	-0.7906
CLEC4M	0.162
BTBD14A	-0.624
KIAA0999	0.3298
GYPA	-2.92
TAC1	0.3456
TRAIP	-1.63016666666667
KIAA0232	1.2396
ERCC8	-1.470875
GPX4	-0.213375
KIAA0368	-0.669375
GPR157	-1.421
CTAGE4	1.1715
C9orf30	-1.00033333333333
OR52A1	-0.097
HSP90B3P	0.6985
ALG9	-1.0009
BTBD10	1.2575
SDK2	0.09075
BAIAP3	0.33575
RABGGTB	0.390625
ANKRD40	0.126666666666667
KRT74	0.517
CALCOCO2	0.318928571428571
SNCA	-2.82175
TMSL8	-3.713125
C2orf53	-0.371
ESRRB	-0.29425
ARHGAP26	-0.5415
TDRD9	-3.056
HRAS	0.389166666666667
KLRC4	-2.134
JAGN1	-0.366166666666667
BSDC1	1.35475
RNF43	-0.6274
NDUFAF1	0.7185
PHF12	0.52975
OR1L3	0.13975
FOLR2	1.07583333333333
LYZL6	0.254333333333333
tcag7.1260	-0.6185
WSB1	-1.696
PROS1	-0.4397
OSTN	0.4645
PSMB8	-0.60325
SOCS4	0.016
DDIT4L	0.016
MAS1	0.039
MGC34796	0.96775
CSHL1	0.524333333333333
TBCCD1	0.6375
ZBTB7C	0.1935
AP2S1	-0.418625
P15RS	0.4624
VAT1	-0.818
SHANK3	0.761333333333333
TUFM	-0.548166666666667
THEG	0.71475
KRT34	-1.7955
SGSM3	0.233375
TOMM22	-0.711125
SOCS3	1.684
CPO	0.5835
POP4	0.1255
BHLHB3	1.18875
MALL	1.19125
OR1B1	-0.132
PARK2	0.837666666666667
GPR124	0.65625
LCE1E	-0.246
RUVBL2	-0.77825
CGRRF1	0.5453
ACPL2	1.13875
WNT10B	-2.640125
BAIAP2L2	-2.675375
ISCA1	0.3775
C1orf125	0.4495
RPAP1	-0.7125
RAI16	-0.406166666666667
RPL27	-1.8185
NLRP9	-0.23
EPN1	0.332
LOC388610	-0.662375
SLC35A1	1.771
GAL	-3.6605
SLC14A2	0.3435
RDH11	-0.079
FAM138F	-0.711
AUH	-0.64525
FLJ40243	-0.1415
C14orf129	1.11716666666667
MBD2	-0.301333333333333
ABHD14B	0.0925
PIGT	1.462375
ALS2CR4	-0.467
ALAS1	0.5824
FOXO1	1.60583333333333
CRLF3	-1.0415
C20orf107	1.085
FARS2	0.43075
CCDC28A	-0.04025
NPHP3	-0.96575
OR13F1	0.28
TSEN54	-0.0535
DEFB106B	0.1152
OR8B4	1.0805
STH	-0.421
ZC3H14	0.274
CBX2	-0.2985
TMEM49	0.83075
C6orf21	0.2025
FLJ20920	0.251
CRTAP	0.206785714285714
DDX50	-0.33525
STYXL1	-0.2185
BLVRB	-0.190333333333333
LOC147650	-0.478166666666667
MMP24	0.44925
GRID1	1.69983333333333
BANF1	-0.272666666666667
CTAGEP	0.68775
HMBS	-2.2945
SLC25A24	0.512666666666667
C14orf50	0.03975
MRO	1.49466666666667
SLC25A15	-0.176
FAM84B	1.2153
TDP1	-0.876
C16orf78	-0.450333333333333
C11orf57	-1.001625
RFK	-0.630375
ZFYVE9	0.796875
STCH	0.059
WIBG	0.596
LOC283871	0.393
GBA2	-0.176
NDUFB3	-0.64125
HSD17B13	0.16625
GRIN3A	0.2845
FMNL1	0.039
SEPT7	-0.1276
GNLY	2.0105
GRAMD1C	-0.440166666666667
ZNF165	0.33525
USP38	1.52
FAM83A	-3.405
C14orf24	0.713916666666667
ARMCX3	1.330375
ARHGDIB	0.522166666666667
AK1	-0.047
KIAA1045	-0.628
DNAJB13	-0.164333333333333
NEU2	0.3405
HIST1H4B	-2.24966666666667
FAM20B	0.0828
HES2	-0.000642857142857141
FAM73B	-0.7872
LOC388381	0.109
INTS7	0.592636363636364
AMPH	2.52725
ZNF775	-0.807625
UCKL1	-0.800666666666667
C10orf97	0.6835
C1orf161	-0.032
ALDH1L1	-1.715
FLJ39378	0.05925
SLC23A1	-1.5645
RBM4B	0.1605
THAP4	0.228166666666667
OGFRL1	0.73525
KIAA0831	-0.240875
PPP1R15A	-0.0905
C1orf96	0.389714285714286
C12orf11	-2.05725
BMF	0.416125
MAN1A1	-0.803625
KIAA1600	1.13183333333333
NLGN4X	1.6025
ALOX12	-1.00416666666667
RB1CC1	-0.3943
NEIL2	0.58
EIF4E	0.169681818181818
ABHD5	0.58975
EXOC4	-0.00266666666666665
CIP29	0.387666666666667
BATF2	-1.5875
SLC29A4	-0.302375
HTR4	0.5605
EMB	1.5135
TRAF6	0.7465
LMNB1	-1.3585
FAM19A5	1.29925
SHE	1.23825
PIK3C2B	1.30175
C15orf15	-0.2146
USP15	-0.1776
TCEAL2	2.6415
C5orf39	-1.03883333333333
PTGER2	0.24775
SLC31A1	-0.7765625
IFT172	-0.4105
ADAM29	0.5425
GFOD1	0.67925
ST7L	0.955333333333333
C15orf26	-3.229
PKN3	-1.78025
CNTD1	2.5435
COMMD1	-0.118125
NTRK2	1.00116666666667
FOXN3	0.410125
MFGE8	0.7362
PFKFB2	2.001
TAS2R4	-0.50725
ENTHD1	-0.432
PRMT5	-0.677625
MGC16384	-2.0835
LOC442229	-0.81325
TSKU	2.90625
KRTCAP3	2.995625
PDLIM1	0.8682
KCNS2	-0.00499999999999999
RNF126	-1.09366666666667
CEP63	-0.26
CLIC4	0.037375
hCG_1990170	-0.773
ACR	0.6419
KLK7	2.06975
ALOX5AP	3.4845
RIPK3	3.5005
TAS2R9	0.157
C19orf18	-0.6945
BIRC6	0.63
ZNF16	1.2885
RFT1	-0.927
SLC8A2	-0.3845
TACC1	-0.39625
ITGAD	0.064
SAMHD1	0.996
SH3PXD2B	1.4756
EPC2	0.51
C20orf85	0.73625
ATP13A2	0.0601666666666667
KRT4	0.372625
CAPNS1	0.23125
MDM2	-0.482666666666667
PCDH20	1.60525
KCNK9	0.7565
OR2C1	0.095
KLHDC3	-0.636166666666667
IPPK	0.404
EFHD2	-0.846625
GALR3	-0.012
NBEA	0.8805
ABCA6	2.3487
CLDN3	0.403666666666667
AKT2	-0.670142857142857
EGFR	-1.3409
RBM16	0.436125
ZDHHC3	0.7157
SLC25A4	-0.3965
CYB5B	-0.491166666666667
CPXM1	0.679
NDRG1	-1.65607692307692
FLJ43826	1.00675
OR5L2	0.0131666666666666
FARP2	0.5846
MRPL46	-1.04983333333333
LDHAL6B	0.0813333333333333
MAPKAPK3	0.485333333333333
NCAM2	-1.3635
PRKD2	0.011
ZFP36L1	0.9608
CYSLTR1	-1.15675
OR4C3	0.23025
HIST1H2AJ	0.8895
CCNB2	-2.49311111111111
ZNF10	-0.8935
TMEM175	0.3675
FAM134A	1.15816666666667
TIGD4	-0.046
PCNP	-0.7395
MGC39715	-0.016
LQK1	-0.47175
CREB1	0.4665
TMPRSS3	2.2385
C4orf32	0.481375
LAT	-2.7815
KCNA3	0.0505
SKIV2L2	-0.633
ROPN1B	-2.8865
tcag7.23	-0.7025
CDT1	-3.27125
ZHX2	0.94825
CD28	-3.048
ZNF624	1.385
SEPT2	0.458916666666667
SOHLH2	-0.842125
MCOLN3	-0.34825
UNQ1945	0.366
MASP2	-1.3355
ZNRF3	0.0323000000000001
GPATCH3	-0.84925
AGL	0.509
QRICH2	0.083
PSD4	0.431833333333333
CCNB1IP1	-2.262
ENPP7	0.2595
OBFC1	0.47575
KCNG3	-2.105
C14orf79	0.520666666666667
ENPEP	2.0995
SCT	0.6425
SKI	0.588625
SEC61G	-1.112
CAPN11	0.34625
ATXN7L3	0.0285
DBNDD1	0.8685
FAIM	0.21525
ANKRD36	-2.0955
GABRP	1.49283333333333
TACSTD2	2.89566666666667
EIF3J	-0.5355
PPP2R2A	0.1265
TEKT4	-1.33033333333333
PVALB	-2.50966666666667
F10	-2.9005
FAM134C	0.5209
COMP	3.91925
EFCBP1	-2.352125
SCLT1	-0.05975
TAL1	-1.2446
ACSL1	3.0135
ABCC5	-0.089
ABL1	-0.575055555555556
RBBP7	0.098
PTPRG	-0.115
NCOR1	0.2185
SPINK4	-0.629833333333333
TXNRD1	-1.3682
TNRC15	0.606
C9orf138	0.52825
UBE2H	0.4865
BRDT	0.413333333333333
C8orf31	0.35175
CCNE2	-0.908909090909091
SLC6A8	-0.99225
CALCR	-3.4315
PPP1CB	0.650916666666667
ABHD8	0.18025
ARF5	0.419
SLC24A4	0.672
CCT3	0.3505
ZNF121	-0.287375
SLC3A2	-0.3293
OR13A1	0.2985
SLC5A10	0.45825
RAD50	-0.255875
IER5	-0.145125
MTHFD1L	-1.852125
MBTPS2	0.15325
MVK	0.196375
NCL	-0.3146
PSMD10	-0.12675
MOBP	0.382375
FLJ32894	-0.262
HRH1	0.264
C5orf30	0.49175
NUDT16L1	0.5927
RASGRP3	2.92716666666667
PRKRIP1	-0.7604
CCDC75	-0.6965
LOC253970	-0.04675
KIAA1239	0.05225
MED21	-0.727
SYT11	0.567416666666667
NTSR2	-0.1135
EGFL11	0.523
CXorf59	0.132
OR2A25	0.097
SPTBN2	0.2665
LRMP	-1.62716666666667
RNF111	-0.06225
PTH	-0.109
LOC619208	0.6845
KIAA0895	1.03225
RANBP5	-0.71825
P2RY10	-0.298333333333333
NME5	3.54383333333333
DDX21	-0.37775
LRSAM1	-0.475
HDAC11	0.836166666666667
VMO1	2.40725
NOLA2	-0.484833333333333
ADAR	1.40166666666667
MTO1	-0.724333333333333
SF4	0.012
P2RX1	-0.0981666666666667
HBM	0.07425
EN2	0.529
C14orf172	-0.22925
TM9SF2	1.0024
INHBE	-1.044
TCTE3	-0.33375
TOX2	-2.704
CTAGE3	0.585875
HBB	2.2249
MED15	-0.35
CASR	0.25425
C6orf66	-1.65616666666667
MTPN	-0.4305
UNC50	-0.732
C21orf33	-0.6025
IRF2	0.129
PGR	-2.18733333333333
GPR84	2.09875
CROCCL1	-2.8475
SRPX	-0.17175
BRE	0.0886666666666667
FGF10	1.478
SDC3	0.290833333333333
ZRSR1	0.883166666666667
DKFZP434P211	-0.8115
SOX6	-0.224
RPUSD2	-0.89875
C14orf173	0.281833333333333
MAPK11	-0.821333333333333
TBC1D22A	0.7515
FAM123A	-0.3975
COL4A6	-3.0745
TOMM70A	0.417
NAB1	-0.12025
MGC16385	-0.3695
TSPAN18	-0.157833333333333
MED31	-0.77075
PLG	-0.28125
CAPSL	1.765
ZNF532	1.0229
ASB14	-0.66275
CA8	-3.02975
NUDT16P	1.409
SLFN11	-1.033
LRRIQ2	-0.06575
NOL7	-0.522666666666667
BRMS1L	-0.569875
JARID1A	0.1475
PANK2	-0.74725
ICAM3	-0.428
MDS1	-0.48975
TAF8	-0.70725
RNF139	0.36875
ZNF594	0.165166666666667
ADAM8	2.025625
SFTPC	-0.1545
MAN2B2	1.565875
RGS12	0.5935
EIF1AY	-0.201083333333333
LRRIQ1	-1.04516666666667
GPR150	0.357
CCDC21	-1.34166666666667
PRRG3	1.11675
SAA4	-4.19175
RAPGEF5	0.63575
ZCCHC2	0.0605833333333333
MGC39372	-1.0105
PPP4R2	0.8535
CDCA2	-1.374
OR4D5	0.484666666666667
PTGFRN	1.6345
SIGLEC5	2.201
C19orf61	-0.487833333333333
NMUR2	0.375
KIAA1586	-0.9465
DAGLA	-0.0396666666666667
CHCHD6	-0.51875
GPR32	1.564
NEUROD6	0.0348333333333333
SLC2A4RG	0.29375
CA5B	0.39
FBXL3	1.865
MPHOSPH9	-1.37425
HMG2L1	0.40575
HCN4	0.2145
CEACAM19	0.994
SH2D4B	0.579
HFE2	-0.8135
TGM4	-0.0166666666666666
LYPD2	-0.46975
TBC1D15	-0.09575
MRPS21	0.38
NONO	-0.813
CLEC5A	2.7115
ITCH	-0.0401
MGAT3	-1.50166666666667
MBP	-0.379125
RPP25	-1.6525
SOSTDC1	-1.13225
HRC	-1.67975
TRIM48	0.718
TMEM133	0.7195
ECEL1P2	-1.0825
HOXC11	0.849
DOK5	0.18825
HELZ	0.959833333333333
LOC348180	-0.93125
MGC33894	-0.01475
ADRB3	0.1315
DMD	-0.0809166666666667
PTRH2	-0.04575
MPEG1	2.6985
NDUFA12	-0.489333333333333
KRTAP2-4	0.1115
STAMBPL1	-1.1955
ADCY2	1.70933333333333
UNQ6125	-0.064
KLHL20	0.823333333333333
SRM	-1.478
OTC	-0.34475
TMIE	0.402
SNX8	0.5185
LIPK	0.4815
CHURC1	-0.21075
KLC2	0.236166666666667
HDAC1	-0.7345
FAM128A	-0.0401666666666667
FNDC3B	-0.328
MTCP1	-0.3985
WFDC10B	-0.1538
PCDHGB3	0.588
ATRNL1	-0.4768
CAV2	-0.28125
MED26	0.4225
DUS1L	0.59775
CHRM3	-1.2025
NEK9	0.64225
WARS2	0.525
TBX22	1.3135
TOMM40	-0.6065
RP6-213H19.1	-0.629166666666667
TUBGCP5	-0.37875
IGSF6	4.21125
TPPP	1.751
UNQ6190	0.467
GSTM5	0.31225
BTD	0.583
PDCD1LG2	0.5475
SNRPB2	-0.614
ERICH1	-0.58075
APOA4	-1.828
HOXA11	-0.50175
NARG1	-0.525875
MKX	-0.248
RAB28	0.033
PKP3	1.64325
SH3GL2	0.78225
CTSO	3.5275
RPN2	0.3031875
IL28RA	-0.0421666666666667
SFMBT1	0.3875
WDR57	0.52975
FER1L3	0.508916666666667
HSF5	0.137
TTC9B	-0.00775
C4BPA	-4.09383333333333
ALB	-4.52571428571429
SORBS3	-0.374
UPF2	0.3305
JPH1	-0.1675
AGBL2	-0.567
DOPEY1	1.3265
TERF1	-0.229916666666667
KIF22	-0.823833333333333
NINJ1	0.44375
SEC61A2	0.117916666666667
HIST1H1D	-3.01916666666667
SFXN4	-0.695375
UCP3	0.1001
ZNF703	0.256833333333333
MYL6B	-0.69825
TREM1	2.49475
OR52E6	0.8755
CKMT2	1.40675
HLA-C	1.76675
SLC13A3	-0.8885
TIMP4	0.81825
SLIT2	2.236
RSF1	2.22477777777778
LONRF1	-0.110928571428571
MON1A	0.1285
CACNG6	-0.713166666666667
DPPA4	-5.72383333333333
ZSWIM3	-0.24175
ZNF804A	0.500666666666667
CCIN	1.612
SLC25A31	-0.6085
KCNMB4	0.77575
RABL5	0.82675
GALNS	-0.4204
STX6	1.10875
HIST1H1C	-3.0715
CIDEB	-0.02375
CASP4	-1.0065
PDK3	-0.8502
KCNJ11	2.6795
TPR	-0.008125
ZSCAN20	-1.0125
MTX2	-0.31675
HIST1H2BH	-2.367
LOC283767	0.8785
LYRM7	-1.82572222222222
BRD3	-0.421
HIST1H2BO	-2.25525
MAGEB10	0.406
SLC45A1	1.3815
SERPINA3	1.73885
KIAA0143	1.181
KCNJ16	0.507833333333333
KRT79	0.9415
FABP2	-0.81575
NUT	-0.469
ZNF57	-0.076
FBXL4	0.72925
CLEC9A	0.457
UGT8	-0.987166666666667
BMP2K	0.341
MAPK4	-3.9525
SLC25A23	-0.1056
HINT1	-0.5391
KRTAP13-1	0.366
SFXN5	0.1494
CHCHD2	-0.182416666666667
FAM3D	0.349
NDP	-4.228625
RHOBTB1	-0.418666666666667
SLC4A4	-1.23625
RPL38	-0.00675000000000001
HTF9C	-0.504666666666667
AP2A2	0.905625
ZBTB46	0.3695
MAP7D1	1.072875
AOX1	0.724166666666667
CYR61	2.3205
DTNA	0.771428571428571
JRKL	0.1645
TMOD3	0.142
EEA1	0.6839
ADCK5	-0.61675
IL1R1	2.16133333333333
KLK3	0.270857142857143
HRSP12	-1.33925
KTN1	0.53675
LOH11CR2A	1.1514
RELL2	-0.72775
MAB21L1	1.6815
C20orf59	-0.838333333333333
PHKB	-0.4575
ADAM2	-1.68166666666667
TBC1D8B	2.2035
FAM13A1	-1.01646666666667
LAPTM4B	-0.963
LCN8	0.3515
TMEM147	0.5685
SYT4	-0.0745
XPO7	-0.454
C9orf62	0.071
GPR75	1.244
TRIM5	0.303875
APOC1	0.591833333333333
RNASE4	1.39816666666667
PARD6B	-3.267875
ARID1A	0.00483333333333333
TPD52L3	0.098
RRAGB	0.902166666666667
RCN2	-0.1945
HIST2H2BE	-1.5781875
STARD7	-0.3085
SHMT2	-0.82775
KIAA1751	0.439
MLYCD	-0.468125
LOC162632	0.5366
UQCRH	-1.15925
RP11-217H1.1	0.1026875
SDHA	-0.706333333333333
NCLN	-0.4324
ZNF17	0.520833333333333
RCBTB2	-1.29575
VEGFB	-0.2496
RP4-747L4.3	-0.0555
COLQ	0.8846
MPN2	-0.753666666666667
DRG2	-0.7445
KLRB1	2.42275
ALPK2	-0.499
DNASE2B	4.9525
FLJ23834	0.0245
AXUD1	1.58583333333333
SAFB	0.0804999999999999
NSUN4	0.20675
RFX2	0.2135
MAPK8IP1	1.19933333333333
FANCD2	-0.735071428571428
ANKZF1	-1.5325
C19orf50	-0.2505
DUSP8	1.91275
SENP5	-0.507875
NFKBIL2	-0.873
LBR	-1.675
IGFL1	0.261
LZTS2	0.58725
IL2RG	-1.492875
CCDC51	-0.4455
KLF3	1.0715
ANKRD37	-1.8305
KCTD14	-0.725666666666667
FZR1	-0.0225
SLC44A4	3.9005
ESPL1	-1.222875
GMPR2	-0.082
TBC1D19	-0.309666666666667
ERGIC1	1.12562962962963
ERBB4	3.5386
TSPAN32	0.193083333333333
MAP4	0.875
GPHN	-0.361
SLC6A2	-0.02975
HIVEP1	0.6865
DFFB	-0.4517
EIF4EBP2	0.27025
DMRT1	0.54075
HSPB6	0.031
IER2	0.058
AIFM1	-0.40325
WWC2	0.504583333333333
MRPL4	-0.836
FLJ21062	-0.349
EPB41L4A	0.677083333333333
SH2D6	0.14375
TAF4B	-0.87625
GAL3ST3	-0.0785
MALT1	0.721
RTDR1	-0.2635
ARVCF	1.308625
MEX3B	-0.450833333333333
FBXO16	1.21475
KIF7	-0.33825
C1QC	3.30433333333333
ZNF783	-0.931166666666667
ZNF85	1.15625
MMP13	6.3565
KIAA0329	0.361875
RTP3	-0.7135
ZBED3	-0.4975
CLGN	-0.89975
SLC25A37	-1.30154166666667
hCG_18290	-0.828
OR5AS1	0.3665
SMARCC2	0.286416666666667
FAM109A	0.702333333333333
CCDC12	-0.32525
USF2	0.6936
DEPDC7	-0.93075
C20orf24	-0.61
JMJD3	1.105
DSP	1.88085714285714
SLIC1	0.11875
FAM20A	1.533625
IRF2BP2	1.40125
ZNF230	-0.0345
MSN	-0.100857142857143
SLC9A5	-1.9975
EPDR1	-0.527
MUSK	0.2925
ZNF434	-0.193833333333333
SMARCD1	-0.695
ZFP106	-0.33
ZNF347	0.815
