Hybridization REF	TCGA-BH-A0HQ-01A-11R-A034-07
LRRTM3	-1.6535
GPHB5	0.99725
OR4C13	0.104
EIF3EIP	0.3965
HABP4	-1.7215
TMEM125	3.889
CNTN2	-0.49675
ASNSD1	-0.133
FUT4	-0.80575
ACF	-5.02125
LOC158381	0.8455
CDH8	0.702333333333333
AGPS	-1.50133333333333
C4orf18	3.61975
PECI	0.767833333333333
UNG	-0.876375
GSTP1	-1.579125
DCUN1D5	-1.15916666666667
DKFZP564J0863	-0.81175
SLC9A3R1	1.362375
BCDO2	-0.561125
CHMP7	-0.399875
REM2	1.01
DNHD1	-1.06514285714286
FKBP4	-0.697375
ZNF350	2.36975
MGC11102	-0.095625
BST1	1.2585
KISS1R	0.35
NCR2	-1.458
DEFB125	0.935
UBE2W	1.178
KRT15	2.595125
C10orf99	0.496
SCN11A	0.189428571428571
GFI1	-2.929
RDHE2	3.76616666666667
FHL1	-1.837
OSGEP	0.178166666666667
GATA1	-3.705
SMC6	-1.361
TTTY14	-0.5615
LPIN3	-0.6525
RPL4	-0.6826
RBPMS	0.8963
PRPF3	-0.432
EMR1	-2.074
SPATA19	-0.543333333333333
XCR1	0.536
IRX3	1.8527
RBM6	-1.309
KLF4	-1.2879
UNC5CL	0.22575
SEBOX	0.8385
BTK	-0.4815
KRCC1	1.687
C6orf27	0.942
SYTL5	-0.6525
PRND	3.0885
LOC653319	-1.359
PIGL	-0.649375
HUS1	0.218833333333333
SFRS6	-0.40825
C17orf77	0.5185
UIMC1	-0.584
FXYD2	-1.8867
LOC283152	1.0005
ZNF667	-1.1845
ZCCHC12	-0.760666666666667
TFEC	2.368
ATP7B	1.818
POLD2	-1.56983333333333
RG9MTD1	0.3555
ACOT2	-0.044
HIST1H4I	-1.221625
PPARGC1A	-1.5384
ETFA	-1.1385
POLRMT	-0.12225
ZNF146	-0.013375
MIA2	-1.6745
KLHL6	-0.965833333333333
HOXB5	-0.943
NENF	1.49016666666667
CUGBP1	0.4095
PRSS22	2.098
CASC4	1.3923
CUL4B	0.2584
CENPJ	-1.7508
PITX1	0.424333333333333
FLJ31033	0.938333333333333
CELSR3	-1.90233333333333
ZNF568	1.275
ITSN1	-0.14175
EHBP1L1	-1.32183333333333
C19orf2	-0.31425
DCTN1	-0.53825
LIN28B	-3.1948
TNKS2	0.20175
C1QBP	0.55525
CADPS2	2.64475
SRMS	0.254666666666667
GJA9	1.06766666666667
MGC24975	-0.0936666666666667
TRIM45	0.276
TSP50	0.132333333333333
TCP1	-1.16375
TMED7	0.7384
CMA1	2.485
CENPL	-1.44083333333333
PTCRA	0.108
FST	-1.9575
VWCE	-4.3395
PAWR	-0.34475
ABCC12	2.017
LDLR	-1.4699
ASTN2	0.2861
LOC441212	-0.838
GPATCH8	-0.349
TANC2	-1.722
KIF4A	-2.58875
C18orf18	-1.161
PGM1	-1.40275
KIAA0258	1.03875
CPD	1.24825
SNCAIP	-0.446
DCT	-4.39233333333333
HLA-DOA	2.97459090909091
OR11L1	0.6815
UPK1B	-0.152
DNAJB4	-0.342
UGT1A8	-0.684
HIST1H4L	-1.37
PECR	-1.83
HSPA2	1.62675
WFIKKN1	-2.027
SERP1	0.448125
SYDE2	1.28125
TACR2	0.667
NUP85	-0.679
CD177	-0.975833333333333
LGR5	-2.03166666666667
PIGG	-0.0198333333333334
PTHR1	-0.5655
RAB5A	0.045
FLJ13224	-0.2175
USP9Y	-1.70166666666667
C7orf53	-0.6245
LRP1B	-0.45275
XAF1	0.1944
ABCG8	0.3255
ANKDD1A	-0.591333333333333
DAND5	-1.543
SPAG6	-0.1022
LINCR	1.177
ZDHHC22	-1.854875
CCDC60	-1.429
THOC7	-0.825
TCTA	1.1528
OR8K3	1.0435
NY-REN-7	-1.46166666666667
B2M	1.57216666666667
C6orf141	-2.7795
LPPR4	1.44975
SQLE	-0.59325
SEPHS1	-0.55825
BTBD14B	0.537571428571429
PLRG1	-0.346
SPG7	-1.2825
ZNF614	-0.192833333333333
PARD6G	1.05766666666667
INPP5B	-1.0255
GRPEL2	-0.229375
PPID	-0.7346
TRIM56	-0.34275
UBE2J1	-0.3135
IL20RA	6.8475
LOC387856	-0.179333333333333
C1orf107	1.33583333333333
UTS2R	0.456
C19orf22	-0.55825
SAFB2	-0.447125
KIAA0652	-0.72375
KLRG1	-0.2792
MS4A8B	4.35283333333333
FRAG1	0.44925
KIAA1546	-0.1385
E2F4	-1.7688
CLEC4M	0.8786
BTBD14A	-1.22275
KIAA0999	1.3579
GYPA	-3.53833333333333
TAC1	1.73644444444444
TRAIP	-1.79383333333333
KIAA0232	0.9468
ERCC8	-1.15175
GPX4	0.516375
KIAA0368	0.047875
GPR157	-0.518333333333333
CTAGE4	0.7175
C9orf30	-1.347
OR52A1	-0.2635
HSP90B3P	-1.0125
ALG9	0.1268
BTBD10	0.32525
SDK2	-0.142
BAIAP3	1.95925
RABGGTB	-0.66775
ANKRD40	-0.2415
KRT74	0.61
CALCOCO2	0.504857142857143
SNCA	-2.70325
TMSL8	-3.133125
C2orf53	-0.41
ESRRB	-0.4365
ARHGAP26	-1.289
TDRD9	-2.33125
HRAS	-0.5835
KLRC4	-2.531
JAGN1	-0.289666666666667
BSDC1	0.47625
RNF43	-0.2848
NDUFAF1	0.6545
PHF12	0.381333333333333
OR1L3	-1.036
FOLR2	1.67675
LYZL6	0.0252
tcag7.1260	-1.138
WSB1	-1.48533333333333
PROS1	-0.3323
OSTN	0.745
PSMB8	0.947
SOCS4	-0.64525
DDIT4L	2.33925
MAS1	1.103
MGC34796	1.90425
CSHL1	0.250833333333333
TBCCD1	-0.155666666666667
ZBTB7C	0.1225
AP2S1	0.002875
P15RS	-0.444
VAT1	-0.878
SHANK3	0.3
TUFM	-0.0628333333333333
THEG	1.09475
KRT34	-1.53625
SGSM3	-0.204625
TOMM22	-0.8085
SOCS3	0.456333333333333
CPO	1.333
POP4	0.56425
BHLHB3	2.64275
MALL	0.206
OR1B1	0.168
PARK2	0.703166666666667
GPR124	0.691125
LCE1E	0.992
RUVBL2	-0.922
CGRRF1	0.2315
ACPL2	1.11575
WNT10B	-2.560125
BAIAP2L2	-2.296625
ISCA1	0.3615
C1orf125	1.09525
RPAP1	-0.61575
RAI16	0.226666666666667
RPL27	0.285
NLRP9	-1.2345
EPN1	0.0595
LOC388610	-0.670875
SLC35A1	1.3993
GAL	-4.493
SLC14A2	0.173
RDH11	-0.142833333333333
FAM138F	0.54
AUH	0.36
FLJ40243	-0.60675
C14orf129	0.277
MBD2	-0.412
ABHD14B	-0.041125
PIGT	0.378125
ALS2CR4	-0.13275
ALAS1	-0.0908
FOXO1	1.37466666666667
CRLF3	-0.42875
C20orf107	-1.332
FARS2	0.98375
CCDC28A	0.94025
NPHP3	-1.04775
OR13F1	0.0505
TSEN54	-0.675
DEFB106B	-0.446142857142857
OR8B4	null
STH	2.71875
ZC3H14	-0.756
CBX2	1.557
TMEM49	-1.78725
C6orf21	0.231
FLJ20920	0.208625
CRTAP	-0.0085
DDX50	0.037
STYXL1	0.24825
BLVRB	0.617
LOC147650	-0.021
MMP24	0.62
GRID1	1.5685
BANF1	-1.2565
CTAGEP	0.33025
HMBS	-2.2385
SLC25A24	0.777
C14orf50	0.99125
MRO	-0.290333333333333
SLC25A15	-0.11425
FAM84B	1.528
TDP1	-0.476
C16orf78	-0.7466
C11orf57	0.88125
RFK	-0.5445
ZFYVE9	0.097875
STCH	-0.6524
WIBG	0.234
LOC283871	-0.607
GBA2	-1.0687
NDUFB3	0.567
HSD17B13	-2.312
GRIN3A	0.815666666666667
FMNL1	-1.89416666666667
SEPT7	-0.4943
GNLY	1.2255
GRAMD1C	0.576333333333333
ZNF165	0.14375
USP38	0.51375
FAM83A	-3.86833333333333
C14orf24	0.472416666666667
ARMCX3	1.545625
ARHGDIB	1.00916666666667
AK1	0.13325
KIAA1045	0.2865
DNAJB13	-0.0121666666666667
NEU2	-0.42
HIST1H4B	-1.56083333333333
FAM20B	0.4021
HES2	0.571454545454545
FAM73B	-0.8106
LOC388381	1.2435
INTS7	-0.00127272727272727
AMPH	1.20625
ZNF775	-0.186125
UCKL1	-1.24916666666667
C10orf97	0.06225
C1orf161	-0.5365
ALDH1L1	-1.82575
FLJ39378	-0.262125
SLC23A1	0.385
RBM4B	-0.08875
THAP4	-0.163833333333333
OGFRL1	1.33725
KIAA0831	0.3465
PPP1R15A	-0.834833333333333
C1orf96	-0.171785714285714
C12orf11	-1.515
BMF	0.329125
MAN1A1	-0.612375
KIAA1600	0.7115
NLGN4X	-0.13075
ALOX12	-2.083
RB1CC1	0.5245
NEIL2	0.8334
EIF4E	0.0141363636363636
ABHD5	0.23125
EXOC4	-0.459666666666667
CIP29	-0.325333333333333
BATF2	-0.1555
SLC29A4	-1.345875
HTR4	0.7965
EMB	-1.4085
TRAF6	1.01475
LMNB1	-1.71825
FAM19A5	-0.579
SHE	1.4695
PIK3C2B	1.709
C15orf15	-0.3965
USP15	-0.06
TCEAL2	2.5755
C5orf39	-0.767166666666667
PTGER2	-1.99325
SLC31A1	-0.6509375
IFT172	0.86425
ADAM29	-0.274
GFOD1	-0.276
ST7L	1.27183333333333
C15orf26	-1.5585
PKN3	-1.746
CNTD1	3.75083333333333
COMMD1	0.2915
NTRK2	3.4885
FOXN3	-0.620125
MFGE8	-0.8461
PFKFB2	1.87633333333333
TAS2R4	-0.0316666666666667
ENTHD1	1.65616666666667
PRMT5	-1.50825
MGC16384	-1.326625
LOC442229	0.27425
TSKU	-0.323875
KRTCAP3	2.998
PDLIM1	0.6536
KCNS2	0.56975
RNF126	-0.432
CEP63	-0.13275
CLIC4	-1.005875
hCG_1990170	-0.0465
ACR	0.4455
KLK7	4.54675
ALOX5AP	3.767375
RIPK3	4.15025
TAS2R9	0.9725
C19orf18	2.9235
BIRC6	0.0242142857142857
ZNF16	0.66
RFT1	-0.76375
SLC8A2	-1.2785
TACC1	-0.784875
ITGAD	0.764
SAMHD1	0.53275
SH3PXD2B	0.8352
EPC2	1.06925
C20orf85	6.256625
ATP13A2	0.790333333333333
KRT4	0.42925
CAPNS1	-0.53375
MDM2	-0.83025
PCDH20	3.818
KCNK9	1.137
OR2C1	-0.545
KLHDC3	-1.12466666666667
IPPK	0.044
EFHD2	-0.655625
GALR3	0.3
NBEA	2.577
ABCA6	2.7923
CLDN3	2.6135
AKT2	-0.151571428571429
EGFR	-1.2488
RBM16	0.916375
ZDHHC3	0.1009
SLC25A4	0.146833333333333
CYB5B	-1.62083333333333
CPXM1	0.20825
NDRG1	-2.06423076923077
FLJ43826	0.976
OR5L2	-0.192166666666667
FARP2	0.2039
MRPL46	-0.384
LDHAL6B	-0.2475
MAPKAPK3	-0.0315
NCAM2	1.4445
PRKD2	0.00749999999999998
ZFP36L1	1.5026
CYSLTR1	1.106
OR4C3	1.875
HIST1H2AJ	1.4305
CCNB2	-2.96833333333333
ZNF10	-0.413
TMEM175	-0.1095
FAM134A	0.671666666666667
TIGD4	-1.8585
PCNP	-0.6085
MGC39715	1.47275
LQK1	-1.52775
CREB1	0.442
TMPRSS3	1.74475
C4orf32	1.03625
LAT	-1.89516666666667
KCNA3	0.147
SKIV2L2	-0.404
ROPN1B	-0.21625
tcag7.23	0.0045
CDT1	-3.178625
ZHX2	0.96975
CD28	-3.16925
ZNF624	1.8595
SEPT2	-0.08475
SOHLH2	-1.48683333333333
MCOLN3	-1.868
UNQ1945	0.526
MASP2	-1.161
ZNRF3	-1.0351
GPATCH3	-0.78875
AGL	0.8855
QRICH2	-0.232
PSD4	0.745666666666667
CCNB1IP1	-1.618
ENPP7	0.70625
OBFC1	-0.34225
KCNG3	-3.4175
C14orf79	0.350833333333333
ENPEP	1.33733333333333
SCT	1.5115
SKI	0.165125
SEC61G	-0.47075
CAPN11	-1.28425
ATXN7L3	-0.7605
DBNDD1	-0.5335
FAIM	0.32425
ANKRD36	-1.4505
GABRP	4.37916666666667
TACSTD2	2.99633333333333
EIF3J	-0.27425
PPP2R2A	-0.06725
TEKT4	-0.0845
PVALB	-1.77683333333333
F10	-2.30566666666667
FAM134C	0.6851
COMP	5.19625
EFCBP1	-2.2823125
SCLT1	0.378875
TAL1	-1.0679
ACSL1	1.6435
ABCC5	-0.0804166666666667
ABL1	-1.15377777777778
RBBP7	0.664833333333333
PTPRG	-0.853875
NCOR1	-0.1473
SPINK4	1.04066666666667
TXNRD1	-2.1675
TNRC15	0.564
C9orf138	1.646
UBE2H	0.8215
BRDT	1.428
C8orf31	-0.35875
CCNE2	-1.787
SLC6A8	-2.42825
CALCR	-3.87725
PPP1CB	1.02041666666667
ABHD8	-0.35075
ARF5	0.1554
SLC24A4	0.17725
CCT3	0.1165
ZNF121	0.571875
SLC3A2	-2.0612
OR13A1	0.7325
SLC5A10	0.52875
RAD50	0.119375
IER5	-0.227875
MTHFD1L	-2.7145
MBTPS2	-0.0195
MVK	-0.9185
NCL	0.0335
PSMD10	-0.28925
MOBP	0.404285714285714
FLJ32894	-0.245
HRH1	-0.216166666666667
C5orf30	1.87
NUDT16L1	1.1723
RASGRP3	4.0655
PRKRIP1	-0.4356
CCDC75	-0.3545
LOC253970	-3.56
KIAA1239	1.08333333333333
MED21	0.06725
SYT11	0.0881666666666667
NTSR2	-0.896
EGFL11	0.058
CXorf59	-0.802
OR2A25	0.59525
SPTBN2	-0.8085
LRMP	-1.546
RNF111	0.093
PTH	-0.306
LOC619208	1.423
KIAA0895	0.97375
RANBP5	-0.4715
P2RY10	-0.450333333333333
NME5	5.53016666666667
DDX21	-1.50575
LRSAM1	-0.577
HDAC11	0.984333333333333
VMO1	1.4595
NOLA2	-0.260833333333333
ADAR	0.559916666666667
MTO1	-0.327
SF4	-0.174666666666667
P2RX1	0.292833333333333
HBM	0.056
EN2	0.3755
C14orf172	0.39025
TM9SF2	1.0524
INHBE	-1.8165
TCTE3	-0.113666666666667
TOX2	-3.4325
CTAGE3	0.17325
HBB	3.7252
MED15	-1.429
CASR	2.9935
C6orf66	-0.3435
MTPN	-0.403125
UNC50	0.05575
C21orf33	0.569875
IRF2	1.282875
PGR	3.3285
GPR84	2.8555
CROCCL1	-2.16925
SRPX	-0.9385
BRE	-0.0275
FGF10	0
SDC3	-0.0396666666666667
ZRSR1	0.0236666666666667
DKFZP434P211	-1.021625
SOX6	-0.4335
RPUSD2	0.02575
C14orf173	-0.225583333333333
MAPK11	-0.0858333333333333
TBC1D22A	-0.1475
FAM123A	-3.455
COL4A6	-2.04733333333333
TOMM70A	-0.117
NAB1	-0.329
MGC16385	-0.31875
TSPAN18	0.0983333333333333
MED31	0.7775
PLG	-0.7405
CAPSL	4.5325
ZNF532	1.0787
ASB14	-0.2125
CA8	-1.80775
NUDT16P	-0.5405
SLFN11	-1.7015
LRRIQ2	-0.39
NOL7	-0.3825
BRMS1L	-0.518125
JARID1A	0.0435
PANK2	-0.95425
ICAM3	-0.07375
MDS1	-1.015
TAF8	-1.14075
RNF139	1.39825
ZNF594	0.356666666666667
ADAM8	1.432875
SFTPC	-1.295
MAN2B2	1.291875
RGS12	0.029125
EIF1AY	-4.39808333333333
LRRIQ1	1.13166666666667
GPR150	0.12575
CCDC21	-2.20116666666667
PRRG3	0.46775
SAA4	-2.851
RAPGEF5	1.259
ZCCHC2	0.649333333333333
MGC39372	-0.051
PPP4R2	-0.296333333333333
CDCA2	-2.47816666666667
OR4D5	0.5986
PTGFRN	0.808
SIGLEC5	2.56933333333333
C19orf61	-0.594333333333333
NMUR2	0.915
KIAA1586	-0.719833333333333
DAGLA	0.9715
CHCHD6	-0.318
GPR32	0.2635
NEUROD6	-0.7272
SLC2A4RG	-0.1985
CA5B	0.775
FBXL3	1.71125
MPHOSPH9	-1.65075
HMG2L1	-0.187
HCN4	0.202833333333333
CEACAM19	0.3375
SH2D4B	0.3088
HFE2	-1.3105
TGM4	1.619
LYPD2	-2.46233333333333
TBC1D15	0.04225
MRPS21	0.8947
NONO	-0.7031
CLEC5A	2.806
ITCH	0.2692
MGAT3	-2.16433333333333
MBP	-0.60625
RPP25	-2.0495
SOSTDC1	1.7225
HRC	-1.76875
TRIM48	-0.414
TMEM133	-0.20325
ECEL1P2	-1.6935
HOXC11	0.4265
DOK5	0.0425
HELZ	0.535666666666667
LOC348180	-1.48
MGC33894	0.4635
ADRB3	0.28
DMD	0.1632
PTRH2	-0.12775
MPEG1	3.04333333333333
NDUFA12	-0.0888333333333333
KRTAP2-4	0.129916666666667
STAMBPL1	-1.5294
ADCY2	2.4614
UNQ6125	0.319
KLHL20	0.498833333333333
SRM	-1.444
OTC	-0.04425
TMIE	0.232
SNX8	-0.163
LIPK	0.245
CHURC1	-0.56425
KLC2	0.0878333333333333
HDAC1	-0.728333333333333
FAM128A	0.4875
FNDC3B	0.0167
MTCP1	-0.5415
WFDC10B	-0.1768
PCDHGB3	-0.092
ATRNL1	-2.1875
CAV2	-0.508125
MED26	0.133666666666667
DUS1L	0.02125
CHRM3	-2.256125
NEK9	-0.99775
WARS2	0.4415
TBX22	-1.433
TOMM40	-1.366
RP6-213H19.1	-1.61583333333333
TUBGCP5	-0.5085
IGSF6	6.206
TPPP	-0.287666666666667
UNQ6190	1.6275
GSTM5	0.714428571428571
BTD	0.837833333333333
PDCD1LG2	-0.8564
SNRPB2	0.227
ERICH1	0.31575
APOA4	-1.9555
HOXA11	-2.22966666666667
NARG1	0.092
MKX	-1.8525
RAB28	-0.377785714285714
PKP3	0.90725
SH3GL2	-1.57575
CTSO	2.7935
RPN2	0.4825625
IL28RA	0.0733333333333334
SFMBT1	0.845
WDR57	-0.76175
FER1L3	0.703
HSF5	0.6185
TTC9B	0.499
C4BPA	-3.80566666666667
ALB	-4.87653846153846
SORBS3	0.844
UPF2	-0.503
JPH1	-0.9965
AGBL2	0.35875
DOPEY1	2.059
TERF1	0.39425
KIF22	-0.72
NINJ1	0.93175
SEC61A2	-1.03375
HIST1H1D	-1.6445
SFXN4	0.013625
UCP3	-0.4108
ZNF703	1.31466666666667
MYL6B	-0.88775
TREM1	2.64225
OR52E6	0.206
CKMT2	2.03025
HLA-C	2.272875
SLC13A3	-1.95983333333333
TIMP4	-1.40775
SLIT2	2.28725
RSF1	-0.0655555555555555
LONRF1	-0.729214285714286
MON1A	-0.161666666666667
CACNG6	-1.33266666666667
DPPA4	-5.68533333333333
ZSWIM3	0.59825
ZNF804A	-0.757
CCIN	1.3875
SLC25A31	0.3695
KCNMB4	-0.13025
RABL5	1.1695
GALNS	-0.9229
STX6	0.307375
HIST1H1C	-1.22516666666667
CIDEB	-0.342375
CASP4	0.2585
PDK3	0.2322
KCNJ11	1.1925
TPR	0.121375
ZSCAN20	-0.393
MTX2	-0.10375
HIST1H2BH	-0.59325
LOC283767	0.813
LYRM7	-0.631777777777778
BRD3	-0.1835
HIST1H2BO	-0.52375
MAGEB10	-0.779
SLC45A1	0.205
SERPINA3	1.84335
KIAA0143	1.886
KCNJ16	3.3106
KRT79	-0.0595
FABP2	-0.16725
NUT	0.538333333333333
ZNF57	0.10575
FBXL4	0.264875
CLEC9A	1.3355
UGT8	-1.029
BMP2K	-0.10675
MAPK4	-3.437
SLC25A23	0.1119
HINT1	0.2203
KRTAP13-1	-0.1895
SFXN5	-0.3491
CHCHD2	0.307333333333333
FAM3D	1.948
NDP	0.00299999999999999
RHOBTB1	-0.2745
SLC4A4	-2.04325
RPL38	0.58375
HTF9C	-1.17966666666667
AP2A2	0.316
ZBTB46	-1.343
MAP7D1	-0.4185
AOX1	-1.82416666666667
CYR61	0.15425
DTNA	-0.192142857142857
JRKL	0.32875
TMOD3	-0.576
EEA1	0.3918
ADCK5	-0.10825
IL1R1	2.25533333333333
KLK3	0.644833333333333
HRSP12	0.557
KTN1	0.51325
LOH11CR2A	0.9855
RELL2	-1.66875
MAB21L1	2.1325
C20orf59	-1.78883333333333
PHKB	-0.059
ADAM2	-3.2338
TBC1D8B	2.4545
FAM13A1	-1.7440625
LAPTM4B	-2.04425
LCN8	0.1335
TMEM147	0.9645
SYT4	0.7775
XPO7	-0.624
C9orf62	0.556
GPR75	-1.1095
TRIM5	-0.427875
APOC1	0.0868333333333333
RNASE4	1.007
PARD6B	-0.707625
ARID1A	0.17675
TPD52L3	1.08228571428571
RRAGB	1.0705
RCN2	-0.304666666666667
HIST2H2BE	-0.2310625
STARD7	-0.64425
SHMT2	-1.626
KIAA1751	-0.555
MLYCD	0.185125
LOC162632	-0.4058
UQCRH	-1.177
RP11-217H1.1	0.6726875
SDHA	-1.9115
NCLN	-0.6205
ZNF17	0.967166666666667
RCBTB2	-0.88275
VEGFB	-0.556
RP4-747L4.3	0.806
COLQ	-0.0975
MPN2	-0.549
DRG2	-0.221
KLRB1	5.29625
ALPK2	-2.475
DNASE2B	3.3045
FLJ23834	1.56416666666667
AXUD1	-0.371833333333333
SAFB	-0.7021
NSUN4	-0.379
RFX2	0.132166666666667
MAPK8IP1	-1.69266666666667
FANCD2	-0.886142857142857
ANKZF1	-1.70733333333333
C19orf50	-0.970375
DUSP8	1.031
SENP5	-0.503125
NFKBIL2	-0.6215
LBR	-1.330125
IGFL1	1.234
LZTS2	-0.317625
IL2RG	-1.405125
CCDC51	-0.14425
KLF3	0.39925
ANKRD37	-0.91
KCTD14	-0.518333333333333
FZR1	0.0988333333333333
SLC44A4	4.048
ESPL1	-1.517125
GMPR2	-0.2979
TBC1D19	-0.00650000000000001
ERGIC1	0.627037037037037
ERBB4	4.4389
TSPAN32	0.00349999999999998
MAP4	-0.687
GPHN	-0.42025
SLC6A2	0.117375
HIVEP1	0.99075
DFFB	-0.9895
EIF4EBP2	0.297
DMRT1	0.25575
HSPB6	-0.14875
IER2	0.109833333333333
AIFM1	0.31125
WWC2	-0.229416666666667
MRPL4	-0.607
FLJ21062	1.758
EPB41L4A	1.19941666666667
SH2D6	-0.00775000000000003
TAF4B	-1.81275
GAL3ST3	-0.605
MALT1	-0.815166666666667
RTDR1	0.23325
ARVCF	0.0932857142857143
MEX3B	-0.6155
FBXO16	2.74125
KIF7	-2.28
C1QC	4.49633333333333
ZNF783	-0.883666666666667
ZNF85	-0.15575
MMP13	4.7665
KIAA0329	0.669875
RTP3	-0.128
ZBED3	-0.129
CLGN	-0.42325
SLC25A37	-1.47808333333333
hCG_18290	0.54725
OR5AS1	0.768
SMARCC2	-0.247916666666667
FAM109A	-0.305333333333333
CCDC12	-0.29875
USF2	0.1562
DEPDC7	-1.32725
C20orf24	-0.790166666666667
JMJD3	0.263
DSP	2.29314285714286
SLIC1	0.274625
FAM20A	1.045
IRF2BP2	0.481875
ZNF230	-0.193
MSN	-0.967142857142857
SLC9A5	-1.729
EPDR1	-2.5773
MUSK	-0.908
ZNF434	0.593666666666667
SMARCD1	-0.611
