Hybridization REF	TCGA-A2-A0YE-01A-11R-A109-07
PTCRA	-0.246
FST	-3.48975
VWCE	-4.51525
PAWR	-0.596
ABCC12	0.268333333333333
LDLR	-1.8572
ASTN2	-0.9379
LOC441212	0.3725
GPATCH8	-0.0425
TANC2	-0.4565
KIF4A	0.05225
C18orf18	-0.3155
PGM1	0.0995
KIAA0258	1.79225
CPD	1.70925
SNCAIP	2.85425
DCT	-4.506
HLA-DOA	2.02427272727273
OR11L1	0.617
UPK1B	2.01683333333333
DNAJB4	0.207625
UGT1A8	-0.042
HIST1H4L	-0.1695
PECR	-0.4825
HSPA2	-0.4835
WFIKKN1	-2.0805
SERP1	1.27325
SYDE2	-0.61725
TACR2	0.2815
NUP85	-0.41675
CD177	-0.710166666666667
LGR5	0.639333333333333
PIGG	-0.339833333333333
PTHR1	-1.62
RAB5A	0.0558
FLJ13224	0.313
USP9Y	-1.91033333333333
C7orf53	-1.2285
LRP1B	2.74425
XAF1	2.4427
ABCG8	-1.0295
ANKDD1A	1.18916666666667
DAND5	-1.605
SPAG6	-0.0351666666666666
LINCR	2.403
ZDHHC22	-1.592125
CCDC60	0.0515
THOC7	-1.631
TCTA	1.6654
OR8K3	0.41175
NY-REN-7	-0.2275
B2M	1.205
C6orf141	-2.29775
LPPR4	1.81925
SQLE	-2.09125
SEPHS1	-0.3575
BTBD14B	0.9115
PLRG1	-0.458
SPG7	-0.0530625
ZNF614	-0.2855
PARD6G	1.211
INPP5B	-0.1257
GRPEL2	-1.02975
PPID	-0.8717
TRIM56	-0.78025
UBE2J1	0.9035
IL20RA	0.4875
LOC387856	0.12575
C1orf107	-0.3875
UTS2R	1.23225
C19orf22	-1.4675
SAFB2	-0.493
KIAA0652	0.433125
KLRG1	-0.407333333333333
MS4A8B	0.152
FRAG1	0.7235
KIAA1546	0.6175
E2F4	-1.1188
CLEC4M	0.573833333333333
BTBD14A	-0.188
KIAA0999	0.0277
GYPA	-2.831
TAC1	-0.439
TRAIP	-0.0376666666666667
KIAA0232	0.017
ERCC8	-0.37725
GPX4	-1.18475
KIAA0368	-1.386875
GPR157	-1.5335
CTAGE4	0.422
C9orf30	-1.20233333333333
OR52A1	0.2175
HSP90B3P	-0.535
ALG9	-0.8442
BTBD10	1.10275
SDK2	1.51775
BAIAP3	-0.19475
RABGGTB	-1.160125
ANKRD40	-0.197333333333333
KRT74	0.3205
CALCOCO2	-0.686071428571429
SNCA	-4.06725
TMSL8	1.925
C2orf53	0.1065
ESRRB	-0.661
ARHGAP26	-0.969625
TDRD9	-3.394
HRAS	0.103166666666667
KLRC4	-2.8745
JAGN1	0.00133333333333334
BSDC1	-0.302
RNF43	-1.4204
NDUFAF1	-0.78925
PHF12	0.61925
OR1L3	0.03025
FOLR2	1.5005
LYZL6	0.192166666666667
tcag7.1260	-2.818
WSB1	-1.88233333333333
PROS1	0.776
OSTN	0.387
PSMB8	1.0405
SOCS4	-0.531125
DDIT4L	5.3985
MAS1	0.324
MGC34796	0.38575
CSHL1	0.139333333333333
TBCCD1	0.725833333333333
ZBTB7C	0.2405
AP2S1	0.58725
P15RS	0.2261
VAT1	-0.802
SHANK3	1.234
TUFM	-0.06
THEG	0.32875
KRT34	-1.78575
SGSM3	0.762125
TOMM22	-0.951375
SOCS3	1.0755
CPO	-0.1665
POP4	0.23875
BHLHB3	3.4195
MALL	3.12975
OR1B1	0.238
PARK2	0.114166666666667
GPR124	-0.5465
LCE1E	0.3415
RUVBL2	-0.614
CGRRF1	-0.9611
ACPL2	1.0385
WNT10B	-1.017
BAIAP2L2	-2.23625
ISCA1	-0.4555
C1orf125	-0.4185
RPAP1	-0.765
RAI16	0.233
RPL27	-0.704125
NLRP9	0.051
EPN1	0.4235
LOC388610	-0.253875
SLC35A1	1.0784
GAL	-2.629
SLC14A2	0.41
RDH11	-1.20716666666667
FAM138F	-0.1525
AUH	-1.3015
FLJ40243	0.4555
C14orf129	0.834666666666667
MBD2	-0.648166666666667
ABHD14B	-1.052
PIGT	1.3535
ALS2CR4	1.0195
ALAS1	-0.2539
FOXO1	1.1205
CRLF3	-0.687125
C20orf107	-0.1045
FARS2	0.46125
CCDC28A	0.21425
NPHP3	-0.5015
OR13F1	0.475
TSEN54	-0.02875
DEFB106B	0.1854
OR8B4	0.49
STH	-1.304
ZC3H14	-0.1625
CBX2	-1.001
TMEM49	-1.628
C6orf21	0.749
FLJ20920	0.467875
CRTAP	-0.686071428571429
DDX50	-0.69575
STYXL1	0.15275
BLVRB	-0.655666666666667
LOC147650	-0.219833333333333
MMP24	0.56625
GRID1	1.3405
BANF1	0.0188333333333333
CTAGEP	0.06975
HMBS	-1.74625
SLC25A24	-0.3445
C14orf50	0.158
MRO	1.21433333333333
SLC25A15	-0.24
FAM84B	0.1609
TDP1	0.402
C16orf78	0.156333333333333
C11orf57	-0.404625
RFK	-1.716
ZFYVE9	-0.233875
STCH	0.1265
WIBG	-0.244
LOC283871	0.344
GBA2	-1.0584
NDUFB3	0.931
HSD17B13	-0.25375
GRIN3A	0.8415
FMNL1	-0.532833333333333
SEPT7	-0.2607
GNLY	3.705
GRAMD1C	-0.740666666666667
ZNF165	0.52425
USP38	0.19925
FAM83A	-3.62816666666667
C14orf24	-0.23575
ARMCX3	1.542
ARHGDIB	-1.415
AK1	-0.09375
KIAA1045	0.225
DNAJB13	-0.855833333333333
NEU2	0.03
HIST1H4B	0.235166666666667
FAM20B	0.239
HES2	-0.188571428571429
FAM73B	-1.4593
LOC388381	0.29875
INTS7	-0.313090909090909
AMPH	1.82
ZNF775	0.051125
UCKL1	-0.463666666666667
C10orf97	-0.23
C1orf161	-0.2225
ALDH1L1	-0.999
FLJ39378	-0.187625
SLC23A1	-2.549
RBM4B	0.4985
THAP4	0.263666666666667
OGFRL1	2.51875
KIAA0831	-0.453125
PPP1R15A	-1.29516666666667
C1orf96	0.564714285714286
C12orf11	-1.703
BMF	1.65775
MAN1A1	-0.327625
KIAA1600	-0.777833333333333
NLGN4X	-1.713
ALOX12	-1.38283333333333
RB1CC1	0.0588
NEIL2	0.445
EIF4E	-0.406772727272727
ABHD5	-0.34325
EXOC4	0.0541666666666667
CIP29	-0.175833333333333
BATF2	0.6785
SLC29A4	1.602625
HTR4	0.49
EMB	-0.12225
TRAF6	0.878
LMNB1	-1.03425
FAM19A5	1.48025
SHE	0.71675
PIK3C2B	0.538
C15orf15	-1.1341
USP15	-0.3883
TCEAL2	4.60825
C5orf39	0.0438333333333333
PTGER2	-1.5895
SLC31A1	-0.6165625
IFT172	0.93475
ADAM29	-0.05
GFOD1	-0.174
ST7L	0.4825
C15orf26	-2.8085
PKN3	-1.52975
CNTD1	-0.232
COMMD1	0.681625
NTRK2	1.29491666666667
FOXN3	0.719125
MFGE8	0.7912
PFKFB2	0.429833333333333
TAS2R4	-0.24875
ENTHD1	-0.3905
PRMT5	-1.14375
MGC16384	-1.53375
LOC442229	-0.89775
TSKU	1.59025
KRTCAP3	4.082625
PDLIM1	-0.1319
KCNS2	-0.00324999999999995
RNF126	-1.64333333333333
CEP63	-0.724375
CLIC4	0.189125
hCG_1990170	-0.28575
ACR	1.0836
KLK7	3.804
ALOX5AP	1.720125
RIPK3	2.6285
TAS2R9	0.1405
C19orf18	1.369
BIRC6	-0.044
ZNF16	0.567
RFT1	-1.00175
SLC8A2	-0.33
TACC1	-0.877625
ITGAD	0.37475
SAMHD1	2.52475
SH3PXD2B	2.1844
EPC2	0.9445
C20orf85	0.332625
ATP13A2	0.358666666666667
KRT4	2.21375
CAPNS1	-0.0785
MDM2	-1.03083333333333
PCDH20	4.3665
KCNK9	0.6
OR2C1	0.087
KLHDC3	0.659666666666667
IPPK	-0.6135
EFHD2	-0.988625
GALR3	1.1395
NBEA	0.548
ABCA6	0.8132
CLDN3	0.597833333333333
AKT2	-0.476214285714286
EGFR	3.0186
RBM16	0.84675
ZDHHC3	0.1282
SLC25A4	-0.951
CYB5B	-1.8015
CPXM1	0.09575
NDRG1	-0.686307692307692
FLJ43826	0.085
OR5L2	0.155333333333333
FARP2	0.0588
MRPL46	0.212166666666667
LDHAL6B	0.218333333333333
MAPKAPK3	0.022
NCAM2	-2.73075
PRKD2	0.471
ZFP36L1	1.1497
CYSLTR1	-1.52175
OR4C3	0.0515
HIST1H2AJ	1.8335
CCNB2	-0.208555555555556
ZNF10	-0.631875
TMEM175	0.457
FAM134A	0.846666666666667
TIGD4	-0.0295
PCNP	-0.46
MGC39715	-0.3035
LQK1	-0.173
CREB1	0.9139
TMPRSS3	0.98875
C4orf32	-1.79075
LAT	-2.15866666666667
KCNA3	-0.3805
SKIV2L2	-1.116
ROPN1B	2.27425
tcag7.23	-0.6745
CDT1	-1.296375
ZHX2	0.61175
CD28	-3.7025
ZNF624	0.41175
SEPT2	1.37575
SOHLH2	-1.51975
MCOLN3	-0.04625
UNQ1945	0.519
MASP2	-0.6615
ZNRF3	0.2024
GPATCH3	-0.661
AGL	0.075
QRICH2	0.161
PSD4	1.355
CCNB1IP1	-1.54625
ENPP7	0.07025
OBFC1	-0.56625
KCNG3	-0.94975
C14orf79	-0.163666666666667
ENPEP	1.20833333333333
SCT	2.134
SKI	1.088125
SEC61G	1.42425
CAPN11	0.11575
ATXN7L3	0.30575
DBNDD1	-0.389333333333333
FAIM	0.34025
ANKRD36	-1.0185
GABRP	1.75633333333333
TACSTD2	2.00366666666667
EIF3J	-0.503
PPP2R2A	-0.6305
TEKT4	0.500166666666667
PVALB	-3.9105
F10	-3.26733333333333
FAM134C	0.4385
COMP	4.562125
EFCBP1	-2.4873125
SCLT1	0.119375
TAL1	-1.6912
ACSL1	0.577
ABCC5	0.334416666666667
ABL1	-0.822944444444444
RBBP7	0.381166666666667
PTPRG	-1.175625
NCOR1	-0.4396
SPINK4	-2.168
TXNRD1	-1.3037
TNRC15	1.075125
C9orf138	0.208375
UBE2H	0.681666666666667
BRDT	-0.0533333333333333
C8orf31	2.212
CCNE2	-0.640545454545455
SLC6A8	-0.9005
CALCR	-4.214
PPP1CB	0.819833333333333
ABHD8	0.4235
ARF5	0.8956
SLC24A4	0.54975
CCT3	0.13425
ZNF121	0.127375
SLC3A2	-0.3893
OR13A1	0.7355
SLC5A10	-0.1165
RAD50	-0.3795
IER5	-0.389125
MTHFD1L	-0.3685
MBTPS2	0.449
MVK	-1.35475
NCL	0.2464
PSMD10	0.3325
MOBP	0.36275
FLJ32894	-0.856
HRH1	-0.618666666666667
C5orf30	-1.1885
NUDT16L1	1.2624
RASGRP3	5.38083333333333
PRKRIP1	-0.3666
CCDC75	0.32675
LOC253970	0.32175
KIAA1239	-0.1305
MED21	-0.08225
SYT11	0.06525
NTSR2	-0.715
EGFL11	0.203
CXorf59	0.358
OR2A25	0.0945
SPTBN2	0.75775
LRMP	-1.84183333333333
RNF111	0.1515
PTH	0.735
LOC619208	1.14566666666667
KIAA0895	0.32325
RANBP5	-1.23825
P2RY10	-0.183166666666667
NME5	-0.0806666666666667
DDX21	-1.476
LRSAM1	-1.219
HDAC11	-0.551166666666667
VMO1	2.06375
NOLA2	-0.662833333333333
ADAR	1.05175
MTO1	-0.223166666666667
SF4	0.266166666666667
P2RX1	0.171833333333333
HBM	0.0295
EN2	1.419
C14orf172	0.17525
TM9SF2	-0.2988
INHBE	-1.46166666666667
TCTE3	0.580416666666667
TOX2	-3.16275
CTAGE3	0.011875
HBB	2.5465
MED15	-0.699333333333333
CASR	0.52575
C6orf66	-0.425
MTPN	0.066625
UNC50	0.43975
C21orf33	0.409875
IRF2	0.51175
PGR	-2.27266666666667
GPR84	2.2685
CROCCL1	-2.1715
SRPX	-2.35325
BRE	0.469
FGF10	0.81275
SDC3	0.359333333333333
ZRSR1	-0.130833333333333
DKFZP434P211	-0.861375
SOX6	1.902
RPUSD2	-0.67525
C14orf173	0.434
MAPK11	-0.559
TBC1D22A	0.07
FAM123A	-0.6995
COL4A6	-3.29116666666667
TOMM70A	-0.456
NAB1	1.42075
MGC16385	1.059375
TSPAN18	-0.0721666666666667
MED31	-0.174
PLG	-0.45625
CAPSL	0.592
ZNF532	0.4798
ASB14	0.03225
CA8	-1.94225
NUDT16P	1.23666666666667
SLFN11	0.286
LRRIQ2	-0.020625
NOL7	-0.162
BRMS1L	-0.669375
JARID1A	1.20133333333333
PANK2	-0.472
ICAM3	-1.691
MDS1	-0.253
TAF8	-0.5565
RNF139	0.133
ZNF594	0.432833333333333
ADAM8	1.812875
SFTPC	-0.169375
MAN2B2	0.866375
RGS12	0.3780625
EIF1AY	-4.279
LRRIQ1	-1.87316666666667
GPR150	1.3725
CCDC21	-1.3085
PRRG3	0.617
SAA4	2.038
RAPGEF5	2.917125
ZCCHC2	-0.310083333333333
MGC39372	-0.168
PPP4R2	0.1655
CDCA2	-0.579666666666667
OR4D5	0.714833333333333
PTGFRN	1.5003
SIGLEC5	0.155
C19orf61	-1.01083333333333
NMUR2	0.3715
KIAA1586	-0.589
DAGLA	1.70133333333333
CHCHD6	-0.3565
GPR32	0.2645
NEUROD6	0.00416666666666665
SLC2A4RG	0.87975
CA5B	-0.3415
FBXL3	0.101
MPHOSPH9	-1.2405
HMG2L1	-0.0685
HCN4	0.801166666666667
CEACAM19	0.44375
SH2D4B	0.7965
HFE2	-0.459
TGM4	-0.186833333333333
LYPD2	0.37275
TBC1D15	-0.71125
MRPS21	0.3507
NONO	-0.0955
CLEC5A	1.8745
ITCH	0.958
MGAT3	0.0868333333333333
MBP	-0.498125
RPP25	-1.47625
SOSTDC1	1.11125
HRC	-1.96725
TRIM48	0.04
TMEM133	0.18775
ECEL1P2	-1.017
HOXC11	0.334
DOK5	1.031
HELZ	-0.481333333333333
LOC348180	0.057
MGC33894	0.4315
ADRB3	0.401
DMD	0.182416666666667
PTRH2	-0.66825
MPEG1	2.63933333333333
NDUFA12	-0.328833333333333
KRTAP2-4	0.621166666666667
STAMBPL1	-2.23333333333333
ADCY2	2.72833333333333
UNQ6125	0.232
KLHL20	-0.473833333333333
SRM	-1.18725
OTC	0.12375
TMIE	1.483
SNX8	1.9725
LIPK	0.3115
CHURC1	-0.864583333333333
KLC2	0.315666666666667
HDAC1	-0.3455
FAM128A	0.567166666666667
FNDC3B	1.665
MTCP1	0.538833333333333
WFDC10B	0.2979
PCDHGB3	-0.224
ATRNL1	-0.797
CAV2	1.004
MED26	-0.0458333333333333
DUS1L	0.45875
CHRM3	0.175
NEK9	0.1615
WARS2	0.387
TBX22	-0.698
TOMM40	-0.5945
RP6-213H19.1	2.3975
TUBGCP5	-0.42
IGSF6	3.13925
TPPP	0.016
UNQ6190	0.1015
GSTM5	-0.0553750000000001
BTD	-0.733
PDCD1LG2	-0.0915
SNRPB2	-0.2805
ERICH1	-0.36
APOA4	-1.45675
HOXA11	-1.639
NARG1	-0.089
MKX	-0.41225
RAB28	-0.1085
PKP3	1.1015
SH3GL2	-1.206
CTSO	2.039
RPN2	1.609875
IL28RA	1.405
SFMBT1	1.33225
WDR57	-1.004125
FER1L3	-0.344
HSF5	0.377833333333333
TTC9B	-0.03475
C4BPA	-3.78466666666667
ALB	-3.94514285714286
SORBS3	1.046375
UPF2	-0.8735
JPH1	0.237
AGBL2	1.25825
DOPEY1	1.7535
TERF1	-0.722
KIF22	-0.348833333333333
NINJ1	0.777
SEC61A2	0.169833333333333
HIST1H1D	0.158166666666667
SFXN4	-0.902375
UCP3	0.7426
ZNF703	0.781166666666667
MYL6B	0.069
TREM1	2.476
OR52E6	0.5715
CKMT2	2.012
HLA-C	2.56975
SLC13A3	-1.73483333333333
TIMP4	-3.442
SLIT2	3.07275
RSF1	1.176
LONRF1	0.0730714285714286
MON1A	0.0975
CACNG6	-1.521
DPPA4	-5.10916666666667
ZSWIM3	0.364
ZNF804A	0.255666666666667
CCIN	0.4975
SLC25A31	-0.4675
KCNMB4	2.22075
RABL5	0.6095
GALNS	1.2401
STX6	0.920625
HIST1H1C	-1.3365
CIDEB	0.035625
CASP4	-0.115
PDK3	2.0047
KCNJ11	0.1305
TPR	-0.172
ZSCAN20	-0.368
MTX2	-0.13575
HIST1H2BH	-0.062
LOC283767	-0.56075
LYRM7	-1.04066666666667
BRD3	-0.621666666666667
HIST1H2BO	0.12225
MAGEB10	0.3705
SLC45A1	2.1355
SERPINA3	1.03805
KIAA0143	0.6455
KCNJ16	-0.419166666666667
KRT79	0.32375
FABP2	-0.914
NUT	0.0005
ZNF57	-2.837
FBXL4	0.183125
CLEC9A	0.1085
UGT8	0.724166666666667
BMP2K	-0.31375
MAPK4	1.093
SLC25A23	-0.1428
HINT1	-0.2986
KRTAP13-1	-0.334
SFXN5	0.3113
CHCHD2	1.43325
FAM3D	3.9165
NDP	-3.05875
RHOBTB1	-0.579333333333333
SLC4A4	-0.676875
RPL38	0.1245
HTF9C	-0.789
AP2A2	1.067625
ZBTB46	0.0195
MAP7D1	-0.55325
AOX1	-0.411166666666667
CYR61	0.385166666666667
DTNA	-0.317142857142857
JRKL	0.93775
TMOD3	-0.76875
EEA1	-0.1844
ADCK5	0.10425
IL1R1	1.60666666666667
KLK3	0.640142857142857
HRSP12	-0.02725
KTN1	-0.9355
LOH11CR2A	-0.0423
RELL2	-1.29475
MAB21L1	0.594
C20orf59	-0.5605
PHKB	-0.30475
ADAM2	-1.90133333333333
TBC1D8B	2.37483333333333
FAM13A1	-0.8105
LAPTM4B	0.360083333333333
LCN8	-0.1835
TMEM147	0.517
SYT4	0.373833333333333
XPO7	0.249
C9orf62	1.5755
GPR75	2.677
TRIM5	0.971125
APOC1	-1.43216666666667
RNASE4	-1.32083333333333
PARD6B	-2.5245
ARID1A	0.773416666666667
TPD52L3	0.0888
RRAGB	1.92683333333333
RCN2	0.406833333333333
HIST2H2BE	-0.07225
STARD7	0.4695
SHMT2	-1.1895
KIAA1751	0.0865
MLYCD	-0.387875
LOC162632	0.3638
UQCRH	-1.1135
RP11-217H1.1	1.7345625
SDHA	-0.827833333333333
NCLN	-0.9065
ZNF17	0.580666666666667
RCBTB2	-1.781
VEGFB	0.3117
RP4-747L4.3	1.87
COLQ	0.2415
MPN2	-0.659833333333333
DRG2	-0.4505
KLRB1	3.98175
ALPK2	-1.05025
DNASE2B	0.11225
FLJ23834	-0.134833333333333
AXUD1	-0.150333333333333
SAFB	-0.3956
NSUN4	-0.49125
RFX2	-0.5635
MAPK8IP1	-0.803166666666667
FANCD2	-0.700857142857143
ANKZF1	-1.3075
C19orf50	-0.205875
DUSP8	1.47325
SENP5	1.06825
NFKBIL2	-0.4455
LBR	-0.567875
IGFL1	4.219
LZTS2	0.0635
IL2RG	-1.025
CCDC51	0.10425
KLF3	0.02325
ANKRD37	-1.9645
KCTD14	3.01033333333333
FZR1	-1.05133333333333
SLC44A4	-1.5605
ESPL1	-1.0715
GMPR2	-1.183
TBC1D19	0.131
ERGIC1	0.0796296296296296
ERBB4	-0.0822
TSPAN32	0.16075
MAP4	0.7475
GPHN	-1.12475
SLC6A2	0.513875
HIVEP1	1.2525
DFFB	-0.7194
EIF4EBP2	0.10925
DMRT1	-0.50275
HSPB6	-0.37225
IER2	-0.0118333333333333
AIFM1	-0.71025
WWC2	-0.0660833333333333
MRPL4	-0.3585
FLJ21062	-1.051
EPB41L4A	0.789083333333334
SH2D6	0.52075
TAF4B	-0.8735
GAL3ST3	-0.1
MALT1	-0.173666666666667
RTDR1	0.68325
ARVCF	-0.12525
MEX3B	1.6095
FBXO16	1.07225
KIF7	1.16475
C1QC	3.71733333333333
ZNF783	-0.0798333333333333
ZNF85	0.106
MMP13	3.2175
KIAA0329	1.0725
RTP3	-0.8055
ZBED3	-0.5095
CLGN	-3.42275
SLC25A37	-0.409375
hCG_18290	-0.929
OR5AS1	0.4045
SMARCC2	0.442333333333333
FAM109A	-0.1675
CCDC12	0.453
USF2	0.1953
DEPDC7	-2.62825
C20orf24	0.518166666666667
JMJD3	0.7135
DSP	1.45864285714286
SLIC1	0.3895
FAM20A	3.119
IRF2BP2	0.857
ZNF230	0.297
MSN	-0.240857142857143
SLC9A5	-2.122
EPDR1	-0.1279
MUSK	-0.309333333333333
ZNF434	-0.316833333333333
SMARCD1	-0.542
ZFP106	0.0095
ZNF347	0.7439
