Hybridization REF	TCGA-BH-A0BJ-11A-23R-A089-07
RMND5B	-0.147333333333333
ZNF257	-1.12875
FLJ22167	0.469625
EXOSC7	-0.0256666666666667
ROR2	1.642125
MAOA	0.809625
TNNT3	2.2525
GYPC	-0.03975
C7orf33	1.325
PLIN	3.60116666666667
LOC90826	0.49175
RNF4	0.0362
F8A1	0.391333333333333
PLEKHG4	0.184
GRB2	-0.44725
HIST1H2AD	-1.40025
DUS3L	-0.824833333333333
EIF1	0.0595
RP5-1077B9.4	-1.50716666666667
FPGT	0.945
GDF10	3.879
COQ9	-0.187
GCC2	0.592428571428571
RARRES3	2.351375
PLXNA1	0.005
KIAA0100	-0.3256
PMF1	-0.39575
FNDC1	4.4215
HS2ST1	-0.0256666666666667
CRELD2	-0.1545
C8G	-2.066
CD82	1.3175
LIM2	-0.97
UNQ6490	-0.3055
MMP16	0.5645
DRD3	-0.40525
C5orf26	0.99275
C11orf73	-0.258
PTP4A2	-0.3675
OR4M2	-0.001
HPCA	-1.10716666666667
SEC14L1	-0.652833333333333
CHFR	-0.52625
EMILIN1	0.82725
NDUFS4	0.00375
COL18A1	0.326625
PDZD3	0.2475
C9orf16	-0.2995
ERBB2IP	-0.0340000000000001
EMX2	3.39175
FUS	-1.1655
TF	-1.9593
CLCN4	0.521833333333333
CXorf56	0.388
C11orf72	0.14775
ELAC2	-0.639416666666667
NPR1	0.87325
ASS1	-0.7095
USP42	0.085
POLR2J	-0.9285
SEC23IP	0.299666666666667
UQCRC1	-0.343
LOC729603	-0.607
C1orf71	-0.659875
POLG	-2.808
ADAM23	-3.555
TFR2	-1.626
RICTOR	-0.4764
MGC39606	2.37825
C19orf55	-0.81475
SNAPC1	-0.955166666666667
GNA11	0.92775
CCDC52	-0.34
FSIP1	1.7685
UPF3A	0.26925
IGSF11	-2.10866666666667
LAGE3	-1.0835
CHST6	-2.648
UNC13B	0.45125
TTLL4	-0.529
ZNF687	0.055625
SDC2	0.29
COX7A2	-1
LAMB4	-0.571
FAM24A	0.3545
LRRTM3	-1.5868
GPHB5	0.28175
OR4C13	-0.108
EIF3EIP	0.663785714285714
HABP4	0.0315
TMEM125	3.10175
CNTN2	0.785625
ASNSD1	0.2315
FUT4	0.281625
ACF	-4.05975
LOC158381	0.647
CDH8	1.95
AGPS	-1.54866666666667
C4orf18	3.255
PECI	-0.452583333333333
UNG	-0.44925
GSTP1	-0.201125
DCUN1D5	-1.47
DKFZP564J0863	-1.55575
SLC9A3R1	0.248625
BCDO2	0.559125
CHMP7	0.008125
REM2	0.401
DNHD1	-0.38225
FKBP4	-0.786
ZNF350	1.546
MGC11102	-0.754
BST1	2.0435
KISS1R	-0.123
NCR2	0.12
DEFB125	0.5935
UBE2W	0.40875
KRT15	4.079875
C10orf99	-0.0765
SCN11A	0.616875
GFI1	-2.31625
RDHE2	2.0335
FHL1	1.5375
OSGEP	0.0181666666666667
GATA1	-3.75483333333333
SMC6	-1.74675
TTTY14	-1.49475
LPIN3	-0.3455
RPL4	0.6438
RBPMS	0.6731
PRPF3	-0.737833333333333
EMR1	-2.2465
SPATA19	0.2365
XCR1	-0.231
IRX3	1.9633
RBM6	-0.25175
KLF4	1.1545
UNC5CL	-0.3235
SEBOX	-0.0995
BTK	-1.3015
KRCC1	1.727
C6orf27	0.2405
SYTL5	-0.343
PRND	2.699375
LOC653319	-1.06
PIGL	-1.32625
HUS1	-0.798666666666667
SFRS6	-0.12475
C17orf77	0.4215
UIMC1	0.0705
FXYD2	-1.8952
LOC283152	-0.1595
ZNF667	1.23125
ZCCHC12	0.71225
TFEC	2.0656
ATP7B	-0.3745
POLD2	-1.1865
RG9MTD1	0.111
ACOT2	-0.259166666666667
HIST1H4I	-2.002375
PPARGC1A	-0.1741
ETFA	-1.1821
POLRMT	-0.841
ZNF146	0.58925
MIA2	-0.7645
KLHL6	-1.71516666666667
HOXB5	-1.156125
NENF	0.482833333333333
CUGBP1	-0.99025
PRSS22	0.997666666666667
CASC4	0.9571
CUL4B	0.1003
CENPJ	-1.3445
PITX1	-1.9735
FLJ31033	0.921833333333333
CELSR3	-2.39633333333333
ZNF568	1.6655
ITSN1	-0.466833333333333
EHBP1L1	-1.01
C19orf2	-0.33875
DCTN1	-0.13775
LIN28B	-3.53266666666667
TNKS2	-0.52975
C1QBP	-0.539125
CADPS2	1.42675
SRMS	0.0915
GJA9	0.279833333333333
MGC24975	-0.827333333333333
TRIM45	-0.764333333333333
TSP50	0.7165
TCP1	-0.67725
TMED7	-0.0355
CMA1	2.7475
CENPL	-1.94716666666667
PTCRA	-0.6905
FST	-2.7795
VWCE	-0.83875
PAWR	-0.56725
ABCC12	0.528666666666667
LDLR	-2.4852
ASTN2	0.8794
LOC441212	-0.455
GPATCH8	0.29425
TANC2	-1.03825
KIF4A	-3.835
C18orf18	-0.0355
PGM1	-0.3345
KIAA0258	0.4355
CPD	0.6785
SNCAIP	0.94225
DCT	-4.44183333333333
HLA-DOA	2.44677272727273
OR11L1	-0.1485
UPK1B	-0.364333333333333
DNAJB4	1.7545
UGT1A8	-0.784
HIST1H4L	-2.9215
PECR	-1.52533333333333
HSPA2	1.095
WFIKKN1	-1.479
SERP1	0.968875
SYDE2	0.742
TACR2	0.147
NUP85	-0.91025
CD177	-0.899166666666667
LGR5	-1.428
PIGG	-0.102666666666667
PTHR1	-0.092
RAB5A	0.8246
FLJ13224	-0.108
USP9Y	-1.809
C7orf53	-0.486
LRP1B	1.428
XAF1	1.4813
ABCG8	-0.1525
ANKDD1A	0.0305
DAND5	-1.5725
SPAG6	2.17216666666667
LINCR	3.367
ZDHHC22	-1.715125
CCDC60	-0.544
THOC7	-0.969166666666667
TCTA	0.5356
OR8K3	0.2775
NY-REN-7	-0.16225
B2M	0.898166666666667
C6orf141	-1.538125
LPPR4	3.6275
SQLE	-2.79425
SEPHS1	-0.69775
BTBD14B	-0.314928571428571
PLRG1	0.2865
SPG7	-0.438875
ZNF614	0.314
PARD6G	1.46916666666667
INPP5B	-0.5983
GRPEL2	-0.542125
PPID	-0.7107
TRIM56	0.11925
UBE2J1	0.126375
IL20RA	5.52475
LOC387856	0.81225
C1orf107	0.972666666666667
UTS2R	-0.1085
C19orf22	-0.215
SAFB2	-0.249
KIAA0652	-0.024125
KLRG1	-1.03183333333333
MS4A8B	0.226833333333333
FRAG1	0.7445
KIAA1546	1.10425
E2F4	-0.8042
CLEC4M	1.04833333333333
BTBD14A	-1.885
KIAA0999	1.3844
GYPA	-3.30133333333333
TAC1	4.562
TRAIP	-2.09883333333333
KIAA0232	0.7031
ERCC8	-0.859
GPX4	0.251625
KIAA0368	0.591125
GPR157	-1.23783333333333
CTAGE4	1.441
C9orf30	-1.27783333333333
OR52A1	0.016
HSP90B3P	-0.121
ALG9	-0.3464
BTBD10	0.64625
SDK2	0.1895
BAIAP3	-0.105
RABGGTB	-0.985
ANKRD40	-0.364666666666667
KRT74	0.5415
CALCOCO2	0.609214285714286
SNCA	-1.00525
TMSL8	-2.5545
C2orf53	0.0365
ESRRB	-0.5825
ARHGAP26	-0.026375
TDRD9	-2.6035
HRAS	-0.433666666666667
KLRC4	-2.1205
JAGN1	-0.204333333333333
BSDC1	0.4365
RNF43	0.4945
NDUFAF1	-0.03975
PHF12	0.3165
OR1L3	-0.00299999999999999
FOLR2	2.01566666666667
LYZL6	0.0455
tcag7.1260	-1.3735
WSB1	-0.8745
PROS1	1.2947
OSTN	0.0595
PSMB8	0.77825
SOCS4	0.30775
DDIT4L	2.80675
MAS1	0.983
MGC34796	0.25675
CSHL1	0.155333333333333
TBCCD1	0.389666666666667
ZBTB7C	-0.0355
AP2S1	-1.15175
P15RS	0.0567
VAT1	-0.4337
SHANK3	1.048
TUFM	-0.797333333333333
THEG	-0.0295
KRT34	-1.83375
SGSM3	0.1145
TOMM22	-0.70225
SOCS3	2.081
CPO	1.221
POP4	0.0255
BHLHB3	3.055
MALL	2.2295
OR1B1	0.168
PARK2	1.52116666666667
GPR124	1.86125
LCE1E	-0.231
RUVBL2	-1.02225
CGRRF1	0.9444
ACPL2	0.7255
WNT10B	-1.75275
BAIAP2L2	-2.216
ISCA1	0.761
C1orf125	-0.41525
RPAP1	-0.44775
RAI16	-0.2225
RPL27	-0.110875
NLRP9	0.03
EPN1	-0.0315
LOC388610	0.828
SLC35A1	1.3695
GAL	-4.16475
SLC14A2	0.09625
RDH11	-0.837166666666667
FAM138F	-0.3935
AUH	0.83575
FLJ40243	0.1155
C14orf129	0.358166666666667
MBD2	-0.792666666666667
ABHD14B	0.792875
PIGT	0.15725
ALS2CR4	0.676375
ALAS1	0.2534
FOXO1	1.88516666666667
CRLF3	0.141
C20orf107	-0.0115
FARS2	0.59025
CCDC28A	1.06225
NPHP3	0.169
OR13F1	0.037
TSEN54	-1.0705
DEFB106B	0.0918
OR8B4	0.0835
STH	-0.016
ZC3H14	-0.26775
CBX2	-0.348
TMEM49	-0.517
C6orf21	0.207
FLJ20920	0.32275
CRTAP	0.745357142857143
DDX50	0.311
STYXL1	-0.31275
BLVRB	-0.686833333333333
LOC147650	-0.0441666666666667
MMP24	0.13125
GRID1	3.10516666666667
BANF1	-0.667166666666667
CTAGEP	0.23475
HMBS	-2.294
SLC25A24	0.277
C14orf50	1.12275
MRO	0.4005
SLC25A15	-0.7915
FAM84B	1.2421
TDP1	-1.163
C16orf78	-0.0488333333333333
C11orf57	-0.421375
RFK	-0.5715
ZFYVE9	-0.327125
STCH	-0.9538
WIBG	0.08775
LOC283871	-1.02483333333333
GBA2	-0.2555
NDUFB3	-0.84625
HSD17B13	0.09425
GRIN3A	2.009
FMNL1	-0.682333333333333
SEPT7	0.00740000000000002
GNLY	2.937
GRAMD1C	2.06633333333333
ZNF165	0.18325
USP38	0.8435
FAM83A	-3.46066666666667
C14orf24	0.507166666666667
ARMCX3	1.151625
ARHGDIB	0.393666666666667
AK1	-0.395375
KIAA1045	2.50125
DNAJB13	-0.105166666666667
NEU2	0.1915
HIST1H4B	-2.05216666666667
FAM20B	-0.86
HES2	0.000999999999999997
FAM73B	-0.5152
LOC388381	0.69575
INTS7	-0.997545454545454
AMPH	1.5235
ZNF775	-0.4505
UCKL1	-0.859833333333333
C10orf97	0.391
C1orf161	-0.37075
ALDH1L1	0.22075
FLJ39378	0.3525
SLC23A1	-1.873
RBM4B	0.55725
THAP4	-0.0143333333333333
OGFRL1	1.345
KIAA0831	0.763375
PPP1R15A	1.1125
C1orf96	-0.752
C12orf11	-1.55925
BMF	0.108625
MAN1A1	-0.09325
KIAA1600	0.973833333333333
NLGN4X	2.51175
ALOX12	-1.58966666666667
RB1CC1	-0.2424
NEIL2	0.7086
EIF4E	0.0169545454545454
ABHD5	-0.00525
EXOC4	-0.223166666666667
CIP29	0.307666666666667
BATF2	0.47525
SLC29A4	-0.75675
HTR4	0.668
EMB	-1.298
TRAF6	1.1445
LMNB1	-3.53925
FAM19A5	-0.665
SHE	3.052
PIK3C2B	1.54
C15orf15	0.0863
USP15	0.3703
TCEAL2	2.9655
C5orf39	-0.602166666666667
PTGER2	0.19925
SLC31A1	-0.8586875
IFT172	0.91825
ADAM29	-0.221
GFOD1	0.372
ST7L	0.985333333333333
C15orf26	-2.7405
PKN3	-0.755
CNTD1	2.321
COMMD1	0.150625
NTRK2	4.97983333333333
FOXN3	0.873
MFGE8	1.8445
PFKFB2	0.347
TAS2R4	0.06475
ENTHD1	-0.421166666666667
PRMT5	-0.471
MGC16384	-1.830375
LOC442229	-1.208
TSKU	0.092375
KRTCAP3	2.6465
PDLIM1	1.1167
KCNS2	0.2195
RNF126	-0.312166666666667
CEP63	-0.058375
CLIC4	0.385625
hCG_1990170	4.749
ACR	1.1673
KLK7	4.60225
ALOX5AP	2.521625
RIPK3	3.4315
TAS2R9	0.295
C19orf18	2.137
BIRC6	0.315
ZNF16	0.8815
RFT1	-0.666
SLC8A2	-0.36275
TACC1	-0.058125
ITGAD	0.966
SAMHD1	0.5925
SH3PXD2B	1.5735
EPC2	1.273
C20orf85	-0.14975
ATP13A2	-0.150833333333333
KRT4	0.06225
CAPNS1	0.2025
MDM2	-0.793833333333334
PCDH20	2.58675
KCNK9	0.2345
OR2C1	-0.2645
KLHDC3	-0.770666666666667
IPPK	0.219
EFHD2	-0.739375
GALR3	-0.05275
NBEA	0.949166666666667
ABCA6	4.5432
CLDN3	1.39483333333333
AKT2	-1.23021428571429
EGFR	1.0447
RBM16	0.822375
ZDHHC3	0.0461
SLC25A4	0.065
CYB5B	0.0901666666666667
CPXM1	2.2305
NDRG1	-0.690923076923077
FLJ43826	0.328
OR5L2	0.0338
FARP2	0.0151
MRPL46	-0.580083333333333
LDHAL6B	0.00616666666666665
MAPKAPK3	-0.765333333333333
NCAM2	-0.7275
PRKD2	0.121166666666667
ZFP36L1	1.8188
CYSLTR1	-0.25225
OR4C3	0.0195
HIST1H2AJ	-0.0815
CCNB2	-3.98777777777778
ZNF10	0.749625
TMEM175	0.021
FAM134A	0.424166666666667
TIGD4	0.2305
PCNP	0.388
MGC39715	1.445
LQK1	-1.5685
CREB1	0.8367
TMPRSS3	1.017
C4orf32	1.23775
LAT	-1.73066666666667
KCNA3	0.5705
SKIV2L2	-0.43525
ROPN1B	4.20975
tcag7.23	0.643
CDT1	-3.2245
ZHX2	0.9825
CD28	-3.27675
ZNF624	1.4495
SEPT2	-0.05025
SOHLH2	-0.79875
MCOLN3	0.437125
UNQ1945	-0.1845
MASP2	-1.338
ZNRF3	0.3379
GPATCH3	-0.17475
AGL	0.68375
QRICH2	0.2675
PSD4	0.615166666666667
CCNB1IP1	0.00375
ENPP7	0.09225
OBFC1	0.29275
KCNG3	-2.3925
C14orf79	0.3625
ENPEP	2.61516666666667
SCT	-0.312
SKI	0.304375
SEC61G	-2.003
CAPN11	2.488
ATXN7L3	-0.32
DBNDD1	-0.698333333333333
FAIM	0.35925
ANKRD36	-0.933
GABRP	4.96483333333333
TACSTD2	3.3285
EIF3J	-0.50225
PPP2R2A	-0.03825
TEKT4	0.05
PVALB	-3.0335
F10	-0.917833333333333
FAM134C	0.5372
COMP	1.914625
EFCBP1	-0.5741875
SCLT1	0.286
TAL1	-0.7471
ACSL1	1.06975
ABCC5	-0.644916666666667
ABL1	-0.446
RBBP7	-0.24575
PTPRG	-0.448625
NCOR1	0.0968
SPINK4	-2.37733333333333
TXNRD1	-1.9039
TNRC15	0.440125
C9orf138	0.681
UBE2H	-0.331666666666667
BRDT	2.41333333333333
C8orf31	0.05475
CCNE2	-2.93845454545454
SLC6A8	-2.070375
CALCR	-2.89525
PPP1CB	2.13191666666667
ABHD8	-0.015
ARF5	-0.0062
SLC24A4	0.426
CCT3	-1.1315
ZNF121	0.394
SLC3A2	-1.0238
OR13A1	-0.2365
SLC5A10	-0.62675
RAD50	-0.115375
IER5	0.293625
MTHFD1L	-2.00125
MBTPS2	0.33225
MVK	-0.5085
NCL	-0.2243
PSMD10	0.14525
MOBP	-0.081
FLJ32894	-0.3695
HRH1	-0.0836666666666667
C5orf30	0.1165
NUDT16L1	0.0299
RASGRP3	3.7005
PRKRIP1	-0.7118
CCDC75	-0.97775
LOC253970	0.63425
KIAA1239	1.134
MED21	-0.5005
SYT11	-0.06475
NTSR2	-0.0235
EGFL11	2.055
CXorf59	-0.635
OR2A25	0.32825
SPTBN2	-0.52625
LRMP	-0.785333333333333
RNF111	0.54925
PTH	0.115
LOC619208	0.365
KIAA0895	0.347
RANBP5	-0.564125
P2RY10	0.478833333333333
NME5	3.7405
DDX21	-0.72325
LRSAM1	0.0315
HDAC11	0.268333333333333
VMO1	0.7525
NOLA2	-0.397333333333333
ADAR	-0.106166666666667
MTO1	-0.485
SF4	-0.162
P2RX1	-0.0376666666666667
HBM	0.01075
EN2	-0.1405
C14orf172	-0.356
TM9SF2	0.5334
INHBE	-1.2705
TCTE3	-0.1255
TOX2	-2.5525
CTAGE3	0.13
HBB	4.2679
MED15	-0.5125
CASR	-0.307
C6orf66	-0.478
MTPN	-1.12025
UNC50	0.3635
C21orf33	0.28375
IRF2	1.248875
PGR	1.0365
GPR84	1.4835
CROCCL1	-1.04925
SRPX	1.6185
BRE	0.0723333333333333
FGF10	2.67325
SDC3	2.12683333333333
ZRSR1	0.2555
DKFZP434P211	-0.97575
SOX6	-0.445
RPUSD2	-0.03125
C14orf173	-0.717416666666667
MAPK11	-0.446666666666667
TBC1D22A	0.285
FAM123A	-0.4975
COL4A6	0.500333333333333
TOMM70A	0.0795
NAB1	0.446
MGC16385	0.141875
TSPAN18	-0.523
MED31	-0.5435
PLG	-0.1875
CAPSL	0.669
ZNF532	1.4371
ASB14	-0.02
CA8	0.921
NUDT16P	1.66
SLFN11	-0.579
LRRIQ2	-0.75425
NOL7	-0.723833333333333
BRMS1L	0.239
JARID1A	0.0773333333333334
PANK2	-0.45075
ICAM3	-1.117
MDS1	-0.108
TAF8	-0.495
RNF139	0.6495
ZNF594	1.07833333333333
ADAM8	0.01675
SFTPC	-0.53825
MAN2B2	1.010375
RGS12	0.254875
EIF1AY	-4.9085
LRRIQ1	0.246666666666667
GPR150	0.01725
CCDC21	-1.5145
PRRG3	2.42075
SAA4	-0.21675
RAPGEF5	1.349375
ZCCHC2	0.0485833333333333
MGC39372	-0.0665
PPP4R2	0.000666666666666667
CDCA2	-3.27533333333333
OR4D5	0.418666666666667
PTGFRN	0.6979
SIGLEC5	0.744
C19orf61	-0.297166666666667
NMUR2	0.446
KIAA1586	-0.372833333333333
DAGLA	1.19833333333333
CHCHD6	-0.1785
GPR32	0.7515
NEUROD6	0.110333333333333
SLC2A4RG	-0.01925
CA5B	0.467
FBXL3	1.95775
MPHOSPH9	-2.15125
HMG2L1	0.074
HCN4	-0.125
CEACAM19	0.61275
SH2D4B	0.3575
HFE2	-0.981
TGM4	0.571333333333333
LYPD2	0.65225
TBC1D15	-0.00975
MRPS21	-0.346
NONO	-0.4981
CLEC5A	0.318875
ITCH	-0.4472
MGAT3	0.338666666666667
MBP	0.273375
RPP25	-1.273
SOSTDC1	4.91775
HRC	-0.7185
TRIM48	-0.0835
TMEM133	1.0695
ECEL1P2	-1.44
HOXC11	-0.989
DOK5	0.45825
HELZ	0.5665
LOC348180	-1.0455
MGC33894	-0.087
ADRB3	-0.172
DMD	1.61883333333333
PTRH2	-0.7685
MPEG1	2.72833333333333
NDUFA12	-0.695
KRTAP2-4	-0.105416666666667
STAMBPL1	-0.7485
ADCY2	0.9086
UNQ6125	0.046
KLHL20	0.0915
SRM	-1.1395
OTC	0.32975
TMIE	0.66
SNX8	-0.7905
LIPK	0.9755
CHURC1	-0.122416666666667
KLC2	-0.0598333333333333
HDAC1	-0.351333333333333
FAM128A	-0.633333333333333
FNDC3B	0.2339
MTCP1	-0.2125
WFDC10B	0.0348
PCDHGB3	0.5645
ATRNL1	0.4956
CAV2	1.738125
MED26	0.312833333333333
DUS1L	-0.42025
CHRM3	-1.14725
NEK9	0.893
WARS2	0.2875
TBX22	0.8895
TOMM40	-1.23975
RP6-213H19.1	-0.878333333333333
TUBGCP5	-0.229
IGSF6	4.3735
TPPP	1.04633333333333
UNQ6190	-0.499
GSTM5	2.00225
BTD	0.376166666666667
PDCD1LG2	1.07383333333333
SNRPB2	-0.487
ERICH1	-0.042875
APOA4	-1.788375
HOXA11	-1.873
NARG1	-0.23025
MKX	0.00749999999999999
RAB28	0.314285714285714
PKP3	1.07125
SH3GL2	-2.3095
CTSO	4.3465
RPN2	-0.8230625
IL28RA	0.879
SFMBT1	-0.117
WDR57	0.03725
FER1L3	1.39208333333333
HSF5	-0.227333333333333
TTC9B	-0.54375
C4BPA	0.0168333333333333
ALB	-4.09635714285714
SORBS3	0.496
UPF2	0.3945
JPH1	-0.092
AGBL2	0.91
DOPEY1	2.063
TERF1	0.18275
KIF22	-1.55833333333333
NINJ1	0.94425
SEC61A2	-0.837
HIST1H1D	-2.56733333333333
SFXN4	-0.443125
UCP3	0.0174
ZNF703	0.0936666666666667
MYL6B	0.0005
TREM1	0.06975
OR52E6	0.2095
CKMT2	2.667
HLA-C	1.308625
SLC13A3	-0.974166666666667
TIMP4	-0.76925
SLIT2	3.40925
RSF1	0.118166666666667
LONRF1	0.118714285714286
MON1A	-0.239333333333333
CACNG6	-0.822833333333333
DPPA4	-5.68816666666667
ZSWIM3	0.328
ZNF804A	-0.272333333333333
CCIN	1.391
SLC25A31	-0.18175
KCNMB4	0.89
RABL5	0.2225
GALNS	-0.7174
STX6	0.041
HIST1H1C	-4.17666666666667
CIDEB	0.323125
CASP4	0.7665
PDK3	-0.4048
KCNJ11	0.793
TPR	-0.576625
ZSCAN20	-0.5985
MTX2	-0.464
HIST1H2BH	-1.47575
LOC283767	1.0925
LYRM7	-0.718888888888889
BRD3	-0.3275
HIST1H2BO	-1.5625
MAGEB10	-0.0045
SLC45A1	1.1375
SERPINA3	0.8781
KIAA0143	0.867
KCNJ16	3.92266666666667
KRT79	0.41775
FABP2	-1.19866666666667
NUT	-0.1995
ZNF57	0.298
FBXL4	0.86775
CLEC9A	1.9915
UGT8	1.62116666666667
BMP2K	0.4235
MAPK4	-1.3325
SLC25A23	-0.6108
HINT1	-0.7436
KRTAP13-1	0.1945
SFXN5	0.1481
CHCHD2	-0.524833333333333
FAM3D	3.762
NDP	-0.73325
RHOBTB1	-0.7375
SLC4A4	-1.273125
RPL38	0.14475
HTF9C	-0.246333333333333
AP2A2	0.588
ZBTB46	-0.3545
MAP7D1	-0.109625
AOX1	0.141166666666667
CYR61	2.8585
DTNA	0.350571428571429
JRKL	1.3465
TMOD3	-0.3055
EEA1	0.289
ADCK5	-0.99425
IL1R1	2.018
KLK3	0.767928571428571
HRSP12	-0.879
KTN1	0.14125
LOH11CR2A	1.6351
RELL2	-1.45675
MAB21L1	3.959
C20orf59	-1.2655
PHKB	0.319
ADAM2	-1.4935
TBC1D8B	1.171
FAM13A1	0.54075
LAPTM4B	-0.294083333333333
LCN8	-0.386
TMEM147	-0.153
SYT4	-0.042
XPO7	-1.031
C9orf62	-0.33
GPR75	0.8845
TRIM5	0.70725
APOC1	-0.834833333333333
RNASE4	1.96583333333333
PARD6B	-2.723875
ARID1A	0.21025
TPD52L3	-0.0287777777777778
RRAGB	1.0195
RCN2	-0.495833333333333
HIST2H2BE	-0.938875
STARD7	-0.46
SHMT2	-1.33775
KIAA1751	-0.283333333333333
MLYCD	0.831
LOC162632	-0.6925
UQCRH	-1.4095
RP11-217H1.1	-0.1394375
SDHA	-0.9425
NCLN	-1.0965
ZNF17	1.26333333333333
RCBTB2	-0.2765
VEGFB	-0.7389
RP4-747L4.3	1.3245
COLQ	0.5181
MPN2	-0.2735
DRG2	-0.14225
KLRB1	6.14875
ALPK2	0.67375
DNASE2B	0.76825
FLJ23834	-0.0168333333333333
AXUD1	2.47383333333333
SAFB	-0.3315
NSUN4	-0.4095
RFX2	0.910833333333333
MAPK8IP1	-0.243833333333333
FANCD2	-1.24435714285714
ANKZF1	-1.222
C19orf50	-0.18475
DUSP8	1.612875
SENP5	-0.7975
NFKBIL2	-1.26875
LBR	-1.48025
IGFL1	-0.00299999999999999
LZTS2	0.099625
IL2RG	-0.85475
CCDC51	-0.6385
KLF3	0.787
ANKRD37	-0.12
KCTD14	2.72983333333333
FZR1	-0.389583333333333
SLC44A4	1.7774
ESPL1	-1.276
GMPR2	0.1053
TBC1D19	-0.592666666666667
ERGIC1	-0.390555555555556
ERBB4	2.8333
TSPAN32	0.18925
MAP4	-0.228125
GPHN	0.15675
SLC6A2	1.65475
HIVEP1	0.78575
DFFB	-0.2306
EIF4EBP2	0.483625
DMRT1	-0.34775
HSPB6	0.555
IER2	1.84233333333333
AIFM1	-0.81525
WWC2	0.252833333333333
MRPL4	-0.748
FLJ21062	1.2115
EPB41L4A	1.36116666666667
SH2D6	-0.0765
TAF4B	0.24875
GAL3ST3	-0.187
MALT1	-0.651
RTDR1	0.73075
ARVCF	0.582125
MEX3B	0.791666666666667
FBXO16	0.47925
KIF7	0.16325
C1QC	3.50333333333333
ZNF783	-0.206333333333333
ZNF85	1.0955
MMP13	-0.2945
KIAA0329	1.421875
RTP3	-1.387
ZBED3	0.279
CLGN	-3.361
SLC25A37	0.2015
hCG_18290	0.59325
OR5AS1	0.079
SMARCC2	0.34925
FAM109A	-0.207
CCDC12	-0.18825
USF2	-0.0396
DEPDC7	-2.21075
C20orf24	-1.31266666666667
JMJD3	0.718
DSP	1.25878571428571
SLIC1	0.09925
FAM20A	2.585125
IRF2BP2	0.81275
ZNF230	0.6755
MSN	-0.2495
SLC9A5	-1.681
EPDR1	-0.049
MUSK	0.230666666666667
ZNF434	0.259166666666667
SMARCD1	-0.3885
ZFP106	0.3495
