Hybridization REF	TCGA-A1-A0SH-01A-11R-A084-07
ASNSD1	-0.0545
FUT4	0.131
ACF	-3.778
LOC158381	0.8315
CDH8	0.033
AGPS	-1.25316666666667
C4orf18	3.57625
PECI	0.38775
UNG	-0.4985
GSTP1	-0.962875
DCUN1D5	-1.20283333333333
DKFZP564J0863	-0.909
SLC9A3R1	1.781625
BCDO2	-1.22775
CHMP7	0.5185
REM2	0.589
DNHD1	-0.6475
FKBP4	-0.784625
ZNF350	1.267
MGC11102	0.0755
BST1	2.24625
KISS1R	0.6645
NCR2	0.1745
DEFB125	-0.0495
UBE2W	0.390125
KRT15	1.9025
C10orf99	0.3125
SCN11A	0.182125
GFI1	-2.70225
RDHE2	3.49266666666667
FHL1	-0.258
OSGEP	-0.403666666666667
GATA1	-3.19366666666667
SMC6	-0.9965
TTTY14	-1.4505
LPIN3	-0.01325
RPL4	-0.0752
RBPMS	0.1852
PRPF3	-1.1345
EMR1	-1.4405
SPATA19	0.0405
XCR1	0.337
IRX3	2.0866
RBM6	-1.2325
KLF4	-0.4178
UNC5CL	-1.54625
SEBOX	0.3795
BTK	-0.08575
KRCC1	1.15675
C6orf27	0.497
SYTL5	0.072
PRND	2.564875
LOC653319	-1.913
PIGL	-1.818875
HUS1	-0.2065
SFRS6	0.224833333333333
C17orf77	0.0715
UIMC1	-0.540833333333333
FXYD2	-1.7649
LOC283152	0.01875
ZNF667	-0.53475
ZCCHC12	-0.1765
TFEC	2.413
ATP7B	1.95683333333333
POLD2	-1.212
RG9MTD1	-0.444
ACOT2	0.801333333333333
HIST1H4I	-1.459875
PPARGC1A	-1.2446
ETFA	-0.7411
POLRMT	-0.60375
ZNF146	0.161375
MIA2	-1.4365
KLHL6	-1.24733333333333
HOXB5	2.319625
NENF	1.357
CUGBP1	-0.16675
PRSS22	1.12616666666667
CASC4	1.754
CUL4B	0.4298
CENPJ	-1.4841
PITX1	0.189666666666667
FLJ31033	0.374333333333333
CELSR3	-2.30766666666667
ZNF568	0.516
ITSN1	0.02525
EHBP1L1	-0.871833333333333
C19orf2	-0.50175
DCTN1	0.47675
LIN28B	-3.59133333333333
TNKS2	0.021
C1QBP	-1.259125
CADPS2	2.03275
SRMS	0.57875
GJA9	0.3045
MGC24975	-1.2105
TRIM45	-0.416
TSP50	0.09425
TCP1	-1.58675
TMED7	0.7731
CMA1	1.14
CENPL	-1.33983333333333
PTCRA	0.104
FST	-0.14625
VWCE	-3.72325
PAWR	0.218
ABCC12	2.61816666666667
LDLR	0.351
ASTN2	1.7093
LOC441212	-0.7085
GPATCH8	0.08425
TANC2	0.0994166666666667
KIF4A	-2.63475
C18orf18	-0.5615
PGM1	-0.26575
KIAA0258	1.01325
CPD	0.8485
SNCAIP	-0.3665
DCT	-4.079
HLA-DOA	2.59459090909091
OR11L1	0.353
UPK1B	1.33733333333333
DNAJB4	0.288125
UGT1A8	-0.5245
HIST1H4L	-2.3055
PECR	-1.131
HSPA2	2.2305
WFIKKN1	-2.5835
SERP1	1.408625
SYDE2	0.45825
TACR2	1.03
NUP85	-0.359
CD177	-0.1405
LGR5	-0.871333333333333
PIGG	0.281333333333333
PTHR1	1.50716666666667
RAB5A	0.6269
FLJ13224	-0.25
USP9Y	-0.905333333333333
C7orf53	-1.636
LRP1B	-0.00375
XAF1	1.2718
ABCG8	0.2135
ANKDD1A	-0.555166666666667
DAND5	-2.258
SPAG6	0.2375
LINCR	0.44375
ZDHHC22	-1.576625
CCDC60	-0.1155
THOC7	-1.7185
TCTA	0.9183
OR8K3	0.3855
NY-REN-7	-0.18175
B2M	1.11
C6orf141	-2.757875
LPPR4	1.558
SQLE	0.4425
SEPHS1	-0.2945
BTBD14B	0.332357142857143
PLRG1	-0.28075
SPG7	-0.678875
ZNF614	-0.227166666666667
PARD6G	1.19916666666667
INPP5B	-0.7254
GRPEL2	-1.08175
PPID	-0.7755
TRIM56	-0.4065
UBE2J1	0.317
IL20RA	4.55775
LOC387856	0.81175
C1orf107	0.3435
UTS2R	0.7625
C19orf22	0.34375
SAFB2	-0.307125
KIAA0652	0.29425
KLRG1	-0.5045
MS4A8B	0.554833333333333
FRAG1	0.74125
KIAA1546	-0.041
E2F4	-1.0858
CLEC4M	0.181833333333333
BTBD14A	-0.499
KIAA0999	0.6257
GYPA	-3.378
TAC1	1.3594
TRAIP	-2.43183333333333
KIAA0232	0.9131
ERCC8	-1.341375
GPX4	0.500125
KIAA0368	-0.279875
GPR157	-1.74983333333333
CTAGE4	0.0105
C9orf30	-0.641333333333333
OR52A1	0.179
HSP90B3P	-0.365
ALG9	-0.7061
BTBD10	0.525
SDK2	0.03075
BAIAP3	-1.24525
RABGGTB	-1.791875
ANKRD40	0.0856666666666667
KRT74	0.391
CALCOCO2	0.788071428571429
SNCA	-2.11125
TMSL8	-4.713625
C2orf53	0.0625
ESRRB	0.02
ARHGAP26	-1.8355
TDRD9	-0.0125
HRAS	-0.167833333333333
KLRC4	-2.2825
JAGN1	0.00666666666666667
BSDC1	0.3035
RNF43	-0.4331
NDUFAF1	0.3355
PHF12	0.4455
OR1L3	0.35375
FOLR2	1.988
LYZL6	0.3085
tcag7.1260	-0.7775
WSB1	-2.388
PROS1	-0.1706
OSTN	0.5815
PSMB8	0.16
SOCS4	-0.1035
DDIT4L	1.95625
MAS1	0.2325
MGC34796	1.58225
CSHL1	0.4695
TBCCD1	1.04716666666667
ZBTB7C	0.1585
AP2S1	-0.050875
P15RS	-0.3265
VAT1	0.209
SHANK3	0.394666666666667
TUFM	-0.454166666666667
THEG	-0.35575
KRT34	-1.405
SGSM3	0.399875
TOMM22	-0.34325
SOCS3	1.12483333333333
CPO	0.94
POP4	0.4745
BHLHB3	2.259
MALL	1.53725
OR1B1	0.397
PARK2	0.452666666666667
GPR124	1.41025
LCE1E	0.055
RUVBL2	-0.8415
CGRRF1	0.4255
ACPL2	0.98075
WNT10B	-1.75025
BAIAP2L2	-2.280625
ISCA1	0.475
C1orf125	-0.03225
RPAP1	-0.54775
RAI16	0.522666666666667
RPL27	-0.521
NLRP9	-0.2625
EPN1	1.081
LOC388610	-0.4795
SLC35A1	1.0932
GAL	-4.75525
SLC14A2	0.289
RDH11	-0.322333333333333
FAM138F	-0.516
AUH	-0.6395
FLJ40243	-0.108
C14orf129	0.691333333333333
MBD2	-0.166666666666667
ABHD14B	0.089625
PIGT	0.855625
ALS2CR4	-0.19875
ALAS1	-0.3664
FOXO1	1.51633333333333
CRLF3	-0.222
C20orf107	0.1685
FARS2	0.77825
CCDC28A	0.9375
NPHP3	-1.105
OR13F1	0.346
TSEN54	-0.60975
DEFB106B	0.2073
OR8B4	0.6985
STH	-0.4765
ZC3H14	-0.33125
CBX2	-0.144
TMEM49	-0.32325
C6orf21	0.4715
FLJ20920	0.693625
CRTAP	0.586928571428571
DDX50	-0.2575
STYXL1	0.31675
BLVRB	0.372
LOC147650	-0.0755
MMP24	0.34725
GRID1	2.2565
BANF1	-0.148666666666667
CTAGEP	0.23525
HMBS	-2.037
SLC25A24	0.295833333333333
C14orf50	1.82525
MRO	0.718166666666667
SLC25A15	-1.12375
FAM84B	1.5465
TDP1	-0.975
C16orf78	0.205166666666667
C11orf57	-0.667875
RFK	-0.164
ZFYVE9	0.48775
STCH	-0.7595
WIBG	0.51275
LOC283871	-0.258666666666667
GBA2	-0.5281
NDUFB3	-0.77
HSD17B13	-0.51225
GRIN3A	0.195333333333333
FMNL1	-0.289666666666667
SEPT7	0.0499
GNLY	1.5305
GRAMD1C	0.557666666666667
ZNF165	-0.48525
USP38	1.08025
FAM83A	-2.6065
C14orf24	0.8415
ARMCX3	1.105375
ARHGDIB	0.623
AK1	0.346625
KIAA1045	0.432
DNAJB13	-0.373833333333333
NEU2	1.1105
HIST1H4B	-2.0755
FAM20B	-0.2862
HES2	0.0673571428571429
FAM73B	-0.5714
LOC388381	-0.10125
INTS7	-0.256727272727273
AMPH	2.9905
ZNF775	-0.000625000000000001
UCKL1	-1.30433333333333
C10orf97	0.228
C1orf161	-0.21525
ALDH1L1	-1.3035
FLJ39378	0.27175
SLC23A1	-2.217
RBM4B	-0.00375
THAP4	-0.200166666666667
OGFRL1	0.459
KIAA0831	-0.221375
PPP1R15A	-0.205666666666667
C1orf96	-0.7915
C12orf11	-1.78825
BMF	0.447375
MAN1A1	0.87025
KIAA1600	0.942333333333333
NLGN4X	1.294
ALOX12	-1.33566666666667
RB1CC1	-0.4797
NEIL2	0.6732
EIF4E	0.210545454545455
ABHD5	0.69975
EXOC4	-0.156333333333333
CIP29	0.056
BATF2	-1.1875
SLC29A4	-0.842125
HTR4	0.195
EMB	-0.62875
TRAF6	0.802
LMNB1	-2.84
FAM19A5	0.525125
SHE	1.58575
PIK3C2B	1.4125
C15orf15	-0.4473
USP15	-0.1012
TCEAL2	2.3005
C5orf39	-0.487
PTGER2	-0.0835
SLC31A1	-0.1221875
IFT172	0.071
ADAM29	0.2865
GFOD1	-1.0975
ST7L	1.81583333333333
C15orf26	-2.199
PKN3	-1.59425
CNTD1	2.46716666666667
COMMD1	0.69725
NTRK2	2.69958333333333
FOXN3	1.255125
MFGE8	0.7089
PFKFB2	0.292833333333333
TAS2R4	0.04875
ENTHD1	-0.1095
PRMT5	-0.825375
MGC16384	-1.7705
LOC442229	-0.58725
TSKU	0.751125
KRTCAP3	2.368375
PDLIM1	0.8834
KCNS2	0.572
RNF126	-0.578833333333333
CEP63	0.1035
CLIC4	0.5185
hCG_1990170	-0.1615
ACR	0.4809
KLK7	3.3725
ALOX5AP	3.76675
RIPK3	3.54175
TAS2R9	0.337
C19orf18	1.156
BIRC6	0.0261428571428571
ZNF16	1.1705
RFT1	-0.82
SLC8A2	-0.6935
TACC1	0.127125
ITGAD	1.4205
SAMHD1	0.69575
SH3PXD2B	2.2386
EPC2	0.61475
C20orf85	0.100875
ATP13A2	-0.0148333333333333
KRT4	0.51
CAPNS1	0.40875
MDM2	-0.603666666666667
PCDH20	1.2355
KCNK9	0.964
OR2C1	0.254
KLHDC3	-0.437
IPPK	0.6795
EFHD2	-0.546125
GALR3	0.7315
NBEA	0.895833333333333
ABCA6	3.2738
CLDN3	1.01066666666667
AKT2	-0.176642857142857
EGFR	-0.883
RBM16	0.132375
ZDHHC3	1.1619
SLC25A4	-0.313833333333333
CYB5B	-0.635
CPXM1	2.084
NDRG1	-1.05569230769231
FLJ43826	0.62275
OR5L2	-0.268833333333333
FARP2	-0.1433
MRPL46	-0.6425
LDHAL6B	0.2462
MAPKAPK3	-0.5515
NCAM2	0.00825
PRKD2	0.205
ZFP36L1	1.2493
CYSLTR1	-0.9945
OR4C3	0.1095
HIST1H2AJ	0.8095
CCNB2	-3.04833333333333
ZNF10	-0.806375
TMEM175	0.6125
FAM134A	0.956166666666667
TIGD4	0.3445
PCNP	-0.20725
MGC39715	0.86025
LQK1	-0.8515
CREB1	0.6522
TMPRSS3	-2.084
C4orf32	1.323625
LAT	-1.87108333333333
KCNA3	-0.012
SKIV2L2	-0.917
ROPN1B	-0.492
tcag7.23	-0.477
CDT1	-3.57925
ZHX2	1.1935
CD28	-2.2455
ZNF624	1.11725
SEPT2	0.331833333333333
SOHLH2	0.57
MCOLN3	-0.0105
UNQ1945	0.6285
MASP2	-0.815
ZNRF3	-0.6356
GPATCH3	-0.46
AGL	0.903625
QRICH2	-0.125
PSD4	1.529
CCNB1IP1	-1.53025
ENPP7	0.35
OBFC1	0.76125
KCNG3	-2.68625
C14orf79	0.7325
ENPEP	1.74183333333333
SCT	2.8745
SKI	0.820375
SEC61G	-1.40775
CAPN11	0.1165
ATXN7L3	0.40975
DBNDD1	-0.377666666666667
FAIM	-0.075
ANKRD36	-1.906
GABRP	3.36183333333333
TACSTD2	2.46183333333333
EIF3J	-0.86825
PPP2R2A	-0.40275
TEKT4	-0.1315
PVALB	-1.9825
F10	-2.21566666666667
FAM134C	1.4084
COMP	4.563625
EFCBP1	-1.931375
SCLT1	-0.057125
TAL1	-1.048
ACSL1	1.195
ABCC5	0.1265
ABL1	-0.244055555555556
RBBP7	-0.297083333333333
PTPRG	-0.6335
NCOR1	-0.2536
SPINK4	-2.06683333333333
TXNRD1	-1.8834
TNRC15	0.107125
C9orf138	0.722625
UBE2H	0.469833333333333
BRDT	3.94766666666667
C8orf31	0.00275
CCNE2	-1.95945454545455
SLC6A8	-1.853625
CALCR	-3.3685
PPP1CB	0.965333333333333
ABHD8	0.396
ARF5	0.7974
SLC24A4	0.4735
CCT3	-0.72875
ZNF121	-0.380375
SLC3A2	-0.5625
OR13A1	0.271
SLC5A10	-0.187
RAD50	-0.322375
IER5	0.510125
MTHFD1L	-1.576375
MBTPS2	0.3395
MVK	-0.165625
NCL	-0.6149
PSMD10	-0.0695
MOBP	0.00974999999999999
FLJ32894	0.087
HRH1	-0.7155
C5orf30	1.25575
NUDT16L1	0.5993
RASGRP3	2.76516666666667
PRKRIP1	-0.4388
CCDC75	-0.8145
LOC253970	0.4495
KIAA1239	-0.29
MED21	-0.65275
SYT11	0.67525
NTSR2	0.2645
EGFL11	0.114
CXorf59	-0.0245
OR2A25	0.4785
SPTBN2	-1.90825
LRMP	-1.2555
RNF111	0.0595
PTH	-0.1345
LOC619208	0.989666666666667
KIAA0895	0.4145
RANBP5	-0.69025
P2RY10	-0.0231666666666667
NME5	2.955
DDX21	-1.61925
LRSAM1	-0.616
HDAC11	0.896666666666667
VMO1	2.22775
NOLA2	-0.4445
ADAR	0.468416666666667
MTO1	-1.06266666666667
SF4	0.0431666666666667
P2RX1	0.562666666666667
HBM	0.39025
EN2	0.8585
C14orf172	-0.025
TM9SF2	0.9744
INHBE	-0.867
TCTE3	0.19225
TOX2	-3.23
CTAGE3	0.279875
HBB	3.1839
MED15	-0.667666666666667
CASR	0.04675
C6orf66	-1.28633333333333
MTPN	-0.393125
UNC50	0.22975
C21orf33	0.057625
IRF2	0.70575
PGR	2.774
GPR84	2.33175
CROCCL1	-3.016
SRPX	0.00025
BRE	0.515166666666667
FGF10	2.5865
SDC3	0.754833333333333
ZRSR1	0.268166666666667
DKFZP434P211	-0.62675
SOX6	0.519
RPUSD2	0.00925
C14orf173	-0.130583333333333
MAPK11	-0.3685
TBC1D22A	0.594
FAM123A	-0.93
COL4A6	-1.63483333333333
TOMM70A	-0.07475
NAB1	-0.334625
MGC16385	-0.2635
TSPAN18	0.3945
MED31	-0.82875
PLG	-0.023
CAPSL	2.488
ZNF532	1.5785
ASB14	0.25025
CA8	-2.291
NUDT16P	1.44
SLFN11	-0.095
LRRIQ2	-0.6455
NOL7	-0.670166666666667
BRMS1L	-0.37125
JARID1A	0.306333333333333
PANK2	-0.596
ICAM3	-0.209
MDS1	-0.52
TAF8	-0.76275
RNF139	1.59975
ZNF594	-0.3905
ADAM8	0.446125
SFTPC	-0.123125
MAN2B2	2.32725
RGS12	0.50975
EIF1AY	-5.06083333333333
LRRIQ1	-1.0255
GPR150	0.8715
CCDC21	-2.02933333333333
PRRG3	0.884
SAA4	-3.578
RAPGEF5	0.050625
ZCCHC2	-0.18725
MGC39372	0.9405
PPP4R2	0.463333333333333
CDCA2	-2.657
OR4D5	0.504333333333333
PTGFRN	1.9235
SIGLEC5	2.023
C19orf61	0.197
NMUR2	0.5095
KIAA1586	-0.544666666666667
DAGLA	0.8355
CHCHD6	-0.2065
GPR32	2.2725
NEUROD6	0.0915
SLC2A4RG	0.210625
CA5B	0.113
FBXL3	1.81875
MPHOSPH9	-1.418
HMG2L1	-0.01375
HCN4	0.777333333333333
CEACAM19	0.32725
SH2D4B	0.382166666666667
HFE2	-0.4095
TGM4	0.258166666666667
LYPD2	-0.00875000000000001
TBC1D15	-0.14725
MRPS21	-0.5738
NONO	-0.8974
CLEC5A	2.877625
ITCH	-0.0829
MGAT3	-0.980333333333333
MBP	-0.0392500000000001
RPP25	-1.402
SOSTDC1	2.17625
HRC	-1.188
TRIM48	0.307
TMEM133	0.5395
ECEL1P2	-0.8705
HOXC11	0.000999999999999999
DOK5	0.608
HELZ	0.479333333333333
LOC348180	-0.823
MGC33894	0.19975
ADRB3	0.182
DMD	0.295333333333333
PTRH2	-0.397
MPEG1	2.95366666666667
NDUFA12	-0.31
KRTAP2-4	0.2805
STAMBPL1	-1.251
ADCY2	0.584666666666667
UNQ6125	0.1645
KLHL20	0.358666666666667
SRM	-1.049
OTC	0.041
TMIE	0.129166666666667
SNX8	-0.012
LIPK	0.4005
CHURC1	0.442083333333333
KLC2	0.2135
HDAC1	-0.864833333333333
FAM128A	0.5085
FNDC3B	0.1483
MTCP1	0.733
WFDC10B	-0.0423
PCDHGB3	0.425
ATRNL1	0.6414
CAV2	0.408625
MED26	-0.067
DUS1L	0.556
CHRM3	-1.943
NEK9	0.915
WARS2	0.026
TBX22	0.00600000000000001
TOMM40	-1.16675
RP6-213H19.1	-1.54883333333333
TUBGCP5	-0.51675
IGSF6	4.84275
TPPP	0.669833333333333
UNQ6190	0.0745
GSTM5	1.689625
BTD	1.22483333333333
PDCD1LG2	0.407166666666667
SNRPB2	-0.6995
ERICH1	-0.54475
APOA4	-1.602125
HOXA11	-0.224
NARG1	-0.68725
MKX	-0.667
RAB28	0.204928571428571
PKP3	1.34025
SH3GL2	-2.149
CTSO	4.19525
RPN2	0.0466875
IL28RA	0.00999999999999999
SFMBT1	-0.16425
WDR57	0.112875
FER1L3	1.41066666666667
HSF5	0.0193333333333334
TTC9B	-0.0885
C4BPA	-3.577
ALB	-3.69978571428571
SORBS3	1.137125
UPF2	-0.1535
JPH1	-0.4385
AGBL2	0.184
DOPEY1	1.4675
TERF1	-0.30425
KIF22	-1.78316666666667
NINJ1	2.06375
SEC61A2	-0.705666666666667
HIST1H1D	-3.411
SFXN4	-0.342375
UCP3	-0.1107
ZNF703	0.8065
MYL6B	-0.56775
TREM1	2.09675
OR52E6	0.479
CKMT2	1.833
HLA-C	1.7115
SLC13A3	-0.507
TIMP4	-2.11225
SLIT2	3.13375
RSF1	0.0462222222222222
LONRF1	-0.723857142857143
MON1A	0.125
CACNG6	-1.79633333333333
DPPA4	-5.194
ZSWIM3	-0.34075
ZNF804A	0.500166666666667
CCIN	2.26825
SLC25A31	0.284333333333333
KCNMB4	2.2785
RABL5	0.43025
GALNS	-0.3602
STX6	0.69725
HIST1H1C	-3.90816666666667
CIDEB	-0.25475
CASP4	-0.248
PDK3	-0.3792
KCNJ11	2.45
TPR	-0.253125
ZSCAN20	-0.354
MTX2	-0.8245
HIST1H2BH	-1.8445
LOC283767	2.7275
LYRM7	-1.49961111111111
BRD3	0.254833333333333
HIST1H2BO	-1.66775
MAGEB10	0.829
SLC45A1	0.6355
SERPINA3	2.36275
KIAA0143	1.45275
KCNJ16	1.05783333333333
KRT79	0.89025
FABP2	-0.18225
NUT	-0.3255
ZNF57	-0.41075
FBXL4	0.58725
CLEC9A	1.9405
UGT8	0.298
BMP2K	0.40075
MAPK4	-3.03525
SLC25A23	-0.0939
HINT1	-0.5247
KRTAP13-1	0.0715
SFXN5	-0.0061
CHCHD2	-0.1825
FAM3D	1.121
NDP	-2.447375
RHOBTB1	0.637833333333333
SLC4A4	-1.246875
RPL38	-0.17675
HTF9C	-0.968
AP2A2	0.782375
ZBTB46	-0.6475
MAP7D1	0.958375
AOX1	-0.848666666666667
CYR61	1.70716666666667
DTNA	-0.634714285714286
JRKL	0.59825
TMOD3	0.23475
EEA1	0.1242
ADCK5	-0.45525
IL1R1	2.43216666666667
KLK3	0.618071428571428
HRSP12	0.10225
KTN1	0.29375
LOH11CR2A	0.9974
RELL2	-1.66775
MAB21L1	2.60625
C20orf59	-1.36866666666667
PHKB	0.65825
ADAM2	-1.85283333333333
TBC1D8B	1.804
FAM13A1	-0.84325
LAPTM4B	-1.54275
LCN8	-0.0285
TMEM147	0.691
SYT4	0.0111666666666667
XPO7	-0.535
C9orf62	0.7395
GPR75	0.598
TRIM5	0.679375
APOC1	-0.3835
RNASE4	1.10716666666667
PARD6B	-3.41025
ARID1A	-0.2175
TPD52L3	0.1801
RRAGB	1.713
RCN2	-0.668
HIST2H2BE	-0.9325625
STARD7	-0.3085
SHMT2	-1.2515
KIAA1751	-0.131166666666667
MLYCD	0.074
LOC162632	-0.4044
UQCRH	-1.811
RP11-217H1.1	0.557875
SDHA	-0.816666666666667
NCLN	-0.0756
ZNF17	0.396666666666667
RCBTB2	-0.6445
VEGFB	0.2081
RP4-747L4.3	0.831
COLQ	0.0873
MPN2	-0.892833333333333
DRG2	-0.45175
KLRB1	3.90875
ALPK2	-0.1345
DNASE2B	1.11
FLJ23834	-0.304
AXUD1	1.02866666666667
SAFB	-0.2398
NSUN4	-0.19725
RFX2	0.847666666666667
MAPK8IP1	-0.3315
FANCD2	-0.891071428571429
ANKZF1	-1.6805
C19orf50	-0.0875
DUSP8	0.718375
SENP5	0.044
NFKBIL2	-0.92925
LBR	-1.50575
IGFL1	0.754
LZTS2	0.023
IL2RG	-0.8905
CCDC51	-0.8385
KLF3	0.36275
ANKRD37	-1.95275
KCTD14	-0.0585
FZR1	0.27925
SLC44A4	3.3977
ESPL1	-1.051125
GMPR2	-0.2125
TBC1D19	0.0205
ERGIC1	0.392222222222222
ERBB4	2.6073
TSPAN32	0.307083333333333
MAP4	0.46025
GPHN	-0.527
SLC6A2	0.28925
HIVEP1	0.58475
DFFB	-0.7521
EIF4EBP2	0.76925
DMRT1	-0.76075
HSPB6	0.06425
IER2	0.067
AIFM1	0.27225
WWC2	0.327083333333333
MRPL4	-0.5705
FLJ21062	-0.383333333333333
EPB41L4A	0.956083333333333
SH2D6	0.227
TAF4B	-0.95325
GAL3ST3	-0.051
MALT1	-0.516333333333333
RTDR1	0.07725
ARVCF	-0.008875
MEX3B	-0.272833333333333
FBXO16	0.178
KIF7	-0.36975
C1QC	3.841
ZNF783	-0.555
ZNF85	-0.36225
MMP13	5.2955
KIAA0329	0.859375
RTP3	-1.0875
ZBED3	-0.0685
CLGN	1.28725
SLC25A37	-1.45675
hCG_18290	-0.3095
OR5AS1	0.2515
SMARCC2	0.45475
FAM109A	0.545333333333333
CCDC12	-0.7635
USF2	0.4016
DEPDC7	0.41925
C20orf24	-0.605833333333333
JMJD3	0.192
DSP	0.997642857142857
SLIC1	0.193
FAM20A	2.776
IRF2BP2	0.1465
ZNF230	-0.0345
MSN	0.137857142857143
SLC9A5	-2.0575
EPDR1	-1.0462
MUSK	0.135333333333333
ZNF434	-0.0635
SMARCD1	-0.583666666666667
ZFP106	-0.2875
ZNF347	-0.5314
GTF2E1	0.081
RY1	-0.324333333333333
ATAD2B	-0.27325
ARHGAP17	-0.1794
KCNIP3	-0.5535
