Hybridization REF	TCGA-B6-A0RH-01A-21R-A115-07
OR4M2	0.0465
HPCA	-0.174166666666667
SEC14L1	-1.03716666666667
CHFR	-0.244125
EMILIN1	1.332875
NDUFS4	-0.56725
COL18A1	1.131375
PDZD3	-0.0876
C9orf16	0.349833333333333
ERBB2IP	0.334
EMX2	3.8035
FUS	-0.1885
TF	-3.8519
CLCN4	0.0495
CXorf56	-0.637
C11orf72	0.65175
ELAC2	-0.671833333333333
NPR1	-0.79325
ASS1	0.999833333333333
USP42	0.12025
POLR2J	-0.2725
SEC23IP	0.773166666666667
UQCRC1	0.1315
LOC729603	-0.2945
C1orf71	-0.3925
POLG	-1.8235
ADAM23	-3.47125
TFR2	-0.26775
RICTOR	-1.89511111111111
MGC39606	0.996
C19orf55	0.0225
SNAPC1	-0.808333333333333
GNA11	1.33825
CCDC52	-1.10366666666667
FSIP1	4.9535
UPF3A	-0.4665
IGSF11	-2.565
LAGE3	0.793
CHST6	-2.3135
UNC13B	0.1995
TTLL4	-1.2695
ZNF687	0.862375
SDC2	0.7453
COX7A2	0.3475
LAMB4	-0.06325
FAM24A	0.3685
LRRTM3	-1.12866666666667
GPHB5	0.34225
OR4C13	0.69
EIF3EIP	-0.114928571428571
HABP4	-0.856
TMEM125	3.40125
CNTN2	1.001
ASNSD1	-0.35775
FUT4	-0.026
ACF	-3.216
LOC158381	-0.341
CDH8	0.51275
AGPS	-0.418166666666667
C4orf18	2.03925
PECI	-0.171666666666667
UNG	-0.565375
GSTP1	-0.463875
DCUN1D5	-1.05566666666667
DKFZP564J0863	-0.071
SLC9A3R1	0.2135
BCDO2	-0.68275
CHMP7	-0.598625
REM2	0.151
DNHD1	0.210875
FKBP4	-0.56725
ZNF350	2.016
MGC11102	0.387625
BST1	1.5525
KISS1R	1.9405
NCR2	0.2035
DEFB125	1.314
UBE2W	0.560125
KRT15	2.98225
C10orf99	0.6315
SCN11A	0.286125
GFI1	-2.8105
RDHE2	2.609
FHL1	-1.35966666666667
OSGEP	0.0886666666666667
GATA1	-3.41666666666667
SMC6	-0.89175
TTTY14	-0.92625
LPIN3	0.4185
RPL4	-0.6062
RBPMS	0.1499
PRPF3	0.516
EMR1	-1.6735
SPATA19	-0.149
XCR1	0.2925
IRX3	2.4918
RBM6	-0.796
KLF4	-1.252
UNC5CL	2.591
SEBOX	0.0105
BTK	-1.484
KRCC1	-0.5115
C6orf27	0.851
SYTL5	-0.563
PRND	0.967125
LOC653319	-1.7965
PIGL	-2.045875
HUS1	-0.3425
SFRS6	0.1845
C17orf77	0.1985
UIMC1	-0.8615
FXYD2	-1.5881
LOC283152	0.688
ZNF667	-1.2485
ZCCHC12	-0.53625
TFEC	2.0647
ATP7B	-0.8235
POLD2	-0.5445
RG9MTD1	-0.25675
ACOT2	0.700833333333333
HIST1H4I	-1.400625
PPARGC1A	-1.7296
ETFA	-2.1559
POLRMT	-0.11375
ZNF146	0.184375
MIA2	-1.2245
KLHL6	-1.35733333333333
HOXB5	-0.805625
NENF	1.46666666666667
CUGBP1	0.183
PRSS22	1.30483333333333
CASC4	1.3941
CUL4B	-0.1584
CENPJ	-1.0505
PITX1	1.62716666666667
FLJ31033	1.72816666666667
CELSR3	-1.573
ZNF568	0.3445
ITSN1	0.335916666666667
EHBP1L1	-1.01516666666667
C19orf2	0.25825
DCTN1	0.29575
LIN28B	-3.75666666666667
TNKS2	-0.23425
C1QBP	-1.427125
CADPS2	2.63125
SRMS	0.4205
GJA9	0.399333333333333
MGC24975	-0.188833333333333
TRIM45	-0.839
TSP50	-0.11425
TCP1	-0.91975
TMED7	-0.2773
CMA1	0.6725
CENPL	-0.271666666666667
PTCRA	0.2425
FST	-2.80575
VWCE	-3.36375
PAWR	0.41125
ABCC12	1.6565
LDLR	-1.0973
ASTN2	1.6999
LOC441212	-0.6545
GPATCH8	-0.3265
TANC2	-0.43325
KIF4A	-1.67425
C18orf18	-2.136
PGM1	-0.7235
KIAA0258	0.62025
CPD	-0.000750000000000042
SNCAIP	-1.10975
DCT	-4.252
HLA-DOA	1.53145454545455
OR11L1	0.4425
UPK1B	-0.2608
DNAJB4	-0.7085
UGT1A8	0.4915
HIST1H4L	-1.516
PECR	-2.22933333333333
HSPA2	2.7515
WFIKKN1	-2.421
SERP1	-0.577375
SYDE2	1.4995
TACR2	0.266
NUP85	-1.5095
CD177	-0.560833333333333
LGR5	-1.639
PIGG	-0.695916666666667
PTHR1	-1.03883333333333
RAB5A	-0.0644
FLJ13224	0.586
USP9Y	-2.28633333333333
C7orf53	-0.3325
LRP1B	2.84225
XAF1	3.7739
ABCG8	-0.045
ANKDD1A	-0.821
DAND5	-1.802
SPAG6	0.429666666666667
LINCR	1.02125
ZDHHC22	-1.279
CCDC60	0.4695
THOC7	-0.458666666666667
TCTA	1.2633
OR8K3	0.29175
NY-REN-7	-0.515666666666667
B2M	1.78833333333333
C6orf141	0.421125
LPPR4	3.146
SQLE	-1.046625
SEPHS1	-0.30075
BTBD14B	1.09928571428571
PLRG1	-0.91875
SPG7	-0.8691875
ZNF614	-0.1725
PARD6G	1.30716666666667
INPP5B	-0.1705
GRPEL2	-0.336875
PPID	-1.085
TRIM56	0.415
UBE2J1	-0.082875
IL20RA	1.369
LOC387856	0.6755
C1orf107	0.6215
UTS2R	2.02575
C19orf22	1.43175
SAFB2	0.348875
KIAA0652	0.169
KLRG1	-1.6598
MS4A8B	0.837166666666667
FRAG1	1.2035
KIAA1546	-0.09225
E2F4	-1.2699
CLEC4M	-0.00849999999999998
BTBD14A	-0.629
KIAA0999	0.8609
GYPA	-3.48383333333333
TAC1	0.0857
TRAIP	-1.0675
KIAA0232	-0.0579
ERCC8	-2.02825
GPX4	1.08675
KIAA0368	-0.260125
GPR157	-0.406666666666667
CTAGE4	0.413
C9orf30	-0.560333333333333
OR52A1	0.181
HSP90B3P	-0.6775
ALG9	-0.5018
BTBD10	0.11125
SDK2	0.75025
BAIAP3	-0.52425
RABGGTB	-1.33825
ANKRD40	-0.447166666666667
KRT74	-0.032
CALCOCO2	-0.500642857142857
SNCA	-4.615
TMSL8	-3.97625
C2orf53	0.0475
ESRRB	-0.1235
ARHGAP26	-0.482375
TDRD9	-2.81575
HRAS	1.183
KLRC4	-1.7225
JAGN1	-0.773333333333333
BSDC1	0.52825
RNF43	-0.4012
NDUFAF1	0.51725
PHF12	0.08625
OR1L3	0.52
FOLR2	0.645
LYZL6	-0.491666666666667
tcag7.1260	-0.4575
WSB1	-1.5885
PROS1	-1.7751
OSTN	0.62
PSMB8	1.75875
SOCS4	-1.246125
DDIT4L	1.15575
MAS1	-0.1505
MGC34796	1.04225
CSHL1	0.0233333333333333
TBCCD1	1.2875
ZBTB7C	0.3655
AP2S1	0.0695
P15RS	-0.9466
VAT1	-1.0977
SHANK3	0.847333333333333
TUFM	-0.6075
THEG	0.8945
KRT34	-1.6605
SGSM3	0.35075
TOMM22	-0.3895
SOCS3	0.475833333333333
CPO	2.0425
POP4	0.0855
BHLHB3	-0.20225
MALL	0.7305
OR1B1	0.431
PARK2	0.135833333333333
GPR124	1.228375
LCE1E	-1.213
RUVBL2	0.022
CGRRF1	-0.1871
ACPL2	0.391
WNT10B	-2.38325
BAIAP2L2	-2.40275
ISCA1	-0.0385
C1orf125	2.0215
RPAP1	-0.99225
RAI16	-0.539
RPL27	-1.005625
NLRP9	0.429
EPN1	0.7155
LOC388610	0.575875
SLC35A1	0.4506
GAL	-3.5545
SLC14A2	0.4215
RDH11	-0.312833333333333
FAM138F	0.1165
AUH	-0.0205
FLJ40243	0.50575
C14orf129	-0.237166666666667
MBD2	-0.924833333333333
ABHD14B	0.403625
PIGT	0.446625
ALS2CR4	0.230625
ALAS1	0.1866
FOXO1	0.5055
CRLF3	-1.071875
C20orf107	0.489
FARS2	0.17
CCDC28A	-0.63725
NPHP3	-1.03475
OR13F1	0.363
TSEN54	-1.13875
DEFB106B	0.359777777777778
OR8B4	0.7125
STH	0.373
ZC3H14	-0.558125
CBX2	-0.166
TMEM49	-1.633
C6orf21	0.563
FLJ20920	0.744
CRTAP	-0.111214285714286
DDX50	-0.35575
STYXL1	-0.31725
BLVRB	-0.3575
LOC147650	0.783833333333333
MMP24	0.45575
GRID1	1.922
BANF1	0.329166666666667
CTAGEP	0.17525
HMBS	-1.57975
SLC25A24	-1.2095
C14orf50	1.23725
MRO	0.2285
SLC25A15	-0.7215
FAM84B	0.9012
TDP1	-0.283
C16orf78	0.0628333333333333
C11orf57	0.5085
RFK	-0.739125
ZFYVE9	-0.102125
STCH	-2.0441
WIBG	0.83325
LOC283871	-0.549666666666667
GBA2	-0.5362
NDUFB3	0.34475
HSD17B13	-0.937
GRIN3A	3.186
FMNL1	-0.532333333333333
SEPT7	-0.8006
GNLY	3.6455
GRAMD1C	-0.995666666666667
ZNF165	0.4365
USP38	0.24225
FAM83A	-2.79166666666667
C14orf24	0.449583333333333
ARMCX3	0.881125
ARHGDIB	-0.762
AK1	0.851125
KIAA1045	0.51325
DNAJB13	-0.017
NEU2	0.9525
HIST1H4B	-0.666333333333333
FAM20B	0.2784
HES2	1.27471428571429
FAM73B	-0.3755
LOC388381	-0.03325
INTS7	0.725090909090909
AMPH	1.4155
ZNF775	0.371125
UCKL1	-0.408
C10orf97	-0.39925
C1orf161	0.21375
ALDH1L1	-1.56725
FLJ39378	0.244
SLC23A1	0.419
RBM4B	0.5065
THAP4	-0.0503333333333333
OGFRL1	0.80625
KIAA0831	-0.177875
PPP1R15A	0.172166666666667
C1orf96	0.467071428571429
C12orf11	-1.45925
BMF	0.906375
MAN1A1	-1.954375
KIAA1600	0.587666666666667
NLGN4X	0.6945
ALOX12	-0.953
RB1CC1	0.0391
NEIL2	-0.0936
EIF4E	-0.863409090909091
ABHD5	0.0105
EXOC4	-0.0685
CIP29	-0.2575
BATF2	3.30825
SLC29A4	0.166125
HTR4	0.2645
EMB	-1.81125
TRAF6	0.6445
LMNB1	-2.4945
FAM19A5	-0.684
SHE	1.909
PIK3C2B	1.457
C15orf15	-1.2109
USP15	-0.5596
TCEAL2	-0.123
C5orf39	-1.89483333333333
PTGER2	-1.1305
SLC31A1	-0.9285
IFT172	0.91925
ADAM29	0.394
GFOD1	-0.31
ST7L	1.02383333333333
C15orf26	-3.265
PKN3	0.62875
CNTD1	1.03683333333333
COMMD1	0.309
NTRK2	3.09433333333333
FOXN3	-0.068875
MFGE8	0.323
PFKFB2	1.16316666666667
TAS2R4	-0.91875
ENTHD1	-0.5305
PRMT5	-1.010625
MGC16384	-2.38525
LOC442229	-0.84275
TSKU	1.63875
KRTCAP3	2.977625
PDLIM1	0.4549
KCNS2	0.277
RNF126	-0.114333333333333
CEP63	0.024125
CLIC4	0.166125
hCG_1990170	-0.89675
ACR	1.6246
KLK7	0.08925
ALOX5AP	1.21075
RIPK3	3.692
TAS2R9	0.4265
C19orf18	2.6095
BIRC6	0.064
ZNF16	1.937
RFT1	-0.19825
SLC8A2	-0.97825
TACC1	-0.54475
ITGAD	0.62875
SAMHD1	1.71725
SH3PXD2B	1.5739
EPC2	0.98575
C20orf85	5.008
ATP13A2	1.0595
KRT4	1.459
CAPNS1	0.64375
MDM2	-0.218166666666667
PCDH20	2.55925
KCNK9	1.6095
OR2C1	-0.288
KLHDC3	-0.424
IPPK	0.2385
EFHD2	-0.432125
GALR3	1.813
NBEA	-1.0915
ABCA6	2.1187
CLDN3	1.54916666666667
AKT2	-0.146214285714286
EGFR	-1.4041
RBM16	0.61325
ZDHHC3	0.4691
SLC25A4	-0.913666666666667
CYB5B	-1.99716666666667
CPXM1	0.063
NDRG1	0.838538461538462
FLJ43826	0.20375
OR5L2	0.204
FARP2	-0.1202
MRPL46	-1.14916666666667
LDHAL6B	0.503166666666667
MAPKAPK3	-0.223333333333333
NCAM2	0.23125
PRKD2	1.076
ZFP36L1	1.4296
CYSLTR1	0.3215
OR4C3	0.388
HIST1H2AJ	0.7935
CCNB2	-2.54622222222222
ZNF10	-0.81875
TMEM175	1.1745
FAM134A	0.497
TIGD4	-1.413
PCNP	-1.22575
MGC39715	1.03725
LQK1	-2.69425
CREB1	0.5805
TMPRSS3	1.07575
C4orf32	-0.473125
LAT	-2.0255
KCNA3	-0.448
SKIV2L2	-0.683
ROPN1B	-2.0415
tcag7.23	-0.2235
CDT1	-2.641625
ZHX2	0.797125
CD28	-3.80775
ZNF624	1.0355
SEPT2	-0.6635
SOHLH2	-1.44975
MCOLN3	-0.965875
UNQ1945	1.1385
MASP2	-1.17
ZNRF3	0.1091
GPATCH3	0.3655
AGL	2.87125
QRICH2	0.219
PSD4	0.431333333333333
CCNB1IP1	-2.02275
ENPP7	0.41875
OBFC1	0.3725
KCNG3	-2.4625
C14orf79	1.39541666666667
ENPEP	2.4775
SCT	2.4915
SKI	1.31975
SEC61G	0.0965
CAPN11	0.24625
ATXN7L3	0.36675
DBNDD1	0.890666666666667
FAIM	0.27
ANKRD36	-0.6845
GABRP	-0.621666666666667
TACSTD2	1.6765
EIF3J	-0.542
PPP2R2A	-0.7505
TEKT4	0.696666666666667
PVALB	-3.23383333333333
F10	-2.57083333333333
FAM134C	0.5051
COMP	5.044875
EFCBP1	-3.536875
SCLT1	0.213625
TAL1	-1.2823
ACSL1	1.5225
ABCC5	1.103
ABL1	0.0198888888888888
RBBP7	-0.121
PTPRG	-0.46175
NCOR1	-0.775
SPINK4	0.435666666666667
TXNRD1	-2.0635
TNRC15	0.03575
C9orf138	0.288375
UBE2H	0.896666666666667
BRDT	1.16366666666667
C8orf31	0.166
CCNE2	-0.760727272727273
SLC6A8	-0.866125
CALCR	-5.26725
PPP1CB	-0.334083333333333
ABHD8	0.4455
ARF5	0.6222
SLC24A4	0.2265
CCT3	0.5545
ZNF121	1.316375
SLC3A2	-0.6548
OR13A1	0.9445
SLC5A10	-0.0615
RAD50	-1.219
IER5	1.22475
MTHFD1L	-1.947125
MBTPS2	-0.286
MVK	0.04275
NCL	-0.7716
PSMD10	-0.66975
MOBP	0.30275
FLJ32894	0.6425
HRH1	0.3905
C5orf30	1.20625
NUDT16L1	0.9489
RASGRP3	3.43733333333333
PRKRIP1	-0.1942
CCDC75	0.193
LOC253970	0.194
KIAA1239	0.51325
MED21	-0.974
SYT11	0.36825
NTSR2	0.2245
EGFL11	-1.8085
CXorf59	0.5315
OR2A25	0.71025
SPTBN2	0.32
LRMP	-2.3485
RNF111	-0.647
PTH	0.6945
LOC619208	0.945833333333333
KIAA0895	0.3175
RANBP5	-1.201375
P2RY10	-0.448
NME5	-0.0286666666666667
DDX21	-0.4335
LRSAM1	1.0855
HDAC11	0.940833333333333
VMO1	2.02575
NOLA2	0.0206666666666667
ADAR	1.8665
MTO1	-1.23583333333333
SF4	0.721833333333333
P2RX1	-0.0331666666666667
HBM	0.25825
EN2	2.0835
C14orf172	0.67
TM9SF2	-0.4206
INHBE	-0.3825
TCTE3	0.200916666666667
TOX2	-3.8505
CTAGE3	0.272
HBB	3.5303
MED15	0.0731666666666666
CASR	0.15475
C6orf66	-0.323
MTPN	-0.14575
UNC50	-1.1525
C21orf33	0.07875
IRF2	0.57725
PGR	1.9955
GPR84	2.3785
CROCCL1	-1.779
SRPX	-2.03475
BRE	0.5005
FGF10	0.961
SDC3	1.14066666666667
ZRSR1	0.577166666666667
DKFZP434P211	-0.63775
SOX6	0.541
RPUSD2	-0.53925
C14orf173	-0.15725
MAPK11	0.377666666666667
TBC1D22A	0.378
FAM123A	-0.1805
COL4A6	0.0706666666666667
TOMM70A	-0.617
NAB1	0.1575
MGC16385	-0.306875
TSPAN18	-0.559666666666667
MED31	-0.81375
PLG	0.224
CAPSL	4.7735
ZNF532	0.88
ASB14	-0.117
CA8	1.06225
NUDT16P	2.02116666666667
SLFN11	-0.292
LRRIQ2	-0.2
NOL7	-0.352666666666667
BRMS1L	-1.278625
JARID1A	-0.458
PANK2	0.32925
ICAM3	-0.51375
MDS1	-0.844
TAF8	-0.437
RNF139	0.87825
ZNF594	-0.9515
ADAM8	0.83825
SFTPC	-0.152125
MAN2B2	1.01625
RGS12	-0.0138125
EIF1AY	-4.5725
LRRIQ1	-0.6255
GPR150	2.2395
CCDC21	-0.916
PRRG3	0.52375
SAA4	-2.863
RAPGEF5	0.922875
ZCCHC2	0.839
MGC39372	0.06
PPP4R2	0.501666666666667
CDCA2	-2.089
OR4D5	0.612
PTGFRN	1.4984
SIGLEC5	0.522333333333333
C19orf61	-0.2855
NMUR2	0.815
KIAA1586	-1.744
DAGLA	-0.707166666666667
CHCHD6	-0.22525
GPR32	0.7345
NEUROD6	0.163833333333333
SLC2A4RG	0.86975
CA5B	-0.4855
FBXL3	0.9765
MPHOSPH9	-1.4615
HMG2L1	0.30075
HCN4	1.48266666666667
CEACAM19	1.29875
SH2D4B	0.404333333333333
HFE2	-1.0445
TGM4	0.726
LYPD2	-0.24425
TBC1D15	-0.592
MRPS21	0.7323
NONO	-0.8164
CLEC5A	1.271
ITCH	-0.3414
MGAT3	-1.8925
MBP	-0.260625
RPP25	0.52125
SOSTDC1	-1.7975
HRC	-1.024
TRIM48	0.3845
TMEM133	0.26275
ECEL1P2	-1.20775
HOXC11	1.799
DOK5	-0.46275
HELZ	0.406333333333333
LOC348180	-0.724
MGC33894	0.3275
ADRB3	-0.0455
DMD	-0.17825
PTRH2	-0.10275
MPEG1	2.052
NDUFA12	-0.0465
KRTAP2-4	0.2905
STAMBPL1	-1.75266666666667
ADCY2	1.652
UNQ6125	0.0165
KLHL20	0.338
SRM	-0.2765
OTC	-0.0065
TMIE	-0.097
SNX8	-0.05475
LIPK	0.2375
CHURC1	0.840416666666667
KLC2	0.352333333333333
HDAC1	-0.605666666666667
FAM128A	0.2485
FNDC3B	0.7379
MTCP1	-0.572333333333333
WFDC10B	0.9716
PCDHGB3	-0.2605
ATRNL1	-2.3323
CAV2	-0.900875
MED26	0.526333333333333
DUS1L	1.012
CHRM3	-1.33775
NEK9	0.2005
WARS2	-0.3305
TBX22	-0.119
TOMM40	-0.2465
RP6-213H19.1	-1.96166666666667
TUBGCP5	-0.23675
IGSF6	3.605
TPPP	0.748333333333333
UNQ6190	0.286
GSTM5	2.561125
BTD	0.4325
PDCD1LG2	0.179333333333333
SNRPB2	0.136
ERICH1	-1.52
APOA4	-1.619625
HOXA11	-1.23275
NARG1	-1.25075
MKX	-0.10125
RAB28	-1.68764285714286
PKP3	1.78375
SH3GL2	-1.18225
CTSO	2.47725
RPN2	1.1638125
IL28RA	-0.507833333333333
SFMBT1	0.6965
WDR57	-1.193125
FER1L3	0.454583333333333
HSF5	0.275166666666667
TTC9B	0.23825
C4BPA	-2.52416666666667
ALB	-4.73992857142857
SORBS3	0.29425
UPF2	0.1185
JPH1	0.05
AGBL2	0.39575
DOPEY1	1.391
TERF1	0.2175
KIF22	-0.338666666666667
NINJ1	1.54675
SEC61A2	0.08775
HIST1H1D	-1.09916666666667
SFXN4	-0.548875
UCP3	0.6461
ZNF703	1.383
MYL6B	-0.54925
TREM1	1.58925
OR52E6	0.5785
CKMT2	1.695
HLA-C	2.923375
SLC13A3	-0.464
TIMP4	-1.5985
SLIT2	1.6705
RSF1	0.158611111111111
LONRF1	-1.65485714285714
MON1A	0.2845
CACNG6	-1.1395
DPPA4	-5.56583333333333
ZSWIM3	0.761
ZNF804A	-0.534333333333333
CCIN	1.70725
SLC25A31	0.702
KCNMB4	-0.3315
RABL5	0.521
GALNS	0.0274999999999999
STX6	1.57875
HIST1H1C	-1.37733333333333
CIDEB	1.470125
CASP4	0.260333333333333
PDK3	0.1348
KCNJ11	0.566
TPR	0.374
ZSCAN20	-1.401
MTX2	0.317
HIST1H2BH	0.059
LOC283767	2.45725
LYRM7	-1.26705555555556
BRD3	0.595
HIST1H2BO	-0.06625
MAGEB10	1.993
SLC45A1	1.108
SERPINA3	0.2468
KIAA0143	1.04025
KCNJ16	-0.367
KRT79	1.4095
FABP2	-1.6645
NUT	0.054
ZNF57	-0.28625
FBXL4	0.04525
CLEC9A	0.435
UGT8	-1.6355
BMP2K	-0.74125
MAPK4	-3.23275
SLC25A23	-0.2155
HINT1	-0.6209
KRTAP13-1	0.299
SFXN5	0.5941
CHCHD2	-0.0605833333333333
FAM3D	0.5435
NDP	-1.051625
RHOBTB1	1.18316666666667
SLC4A4	-1.663625
RPL38	-1.4975
HTF9C	0.405
AP2A2	0.578125
ZBTB46	-0.53
MAP7D1	0.302625
AOX1	-0.7605
CYR61	0.787916666666667
DTNA	-1.61076923076923
JRKL	-0.01025
TMOD3	-0.1135
EEA1	0.0225
ADCK5	0.6435
IL1R1	1.26783333333333
KLK3	0.699571428571429
HRSP12	-0.7585
KTN1	1.02025
LOH11CR2A	1.5006
RELL2	-1.47375
MAB21L1	1.415
C20orf59	-0.491666666666667
PHKB	-1.12125
ADAM2	-2.58616666666667
TBC1D8B	0.640833333333333
FAM13A1	-0.907
LAPTM4B	-0.19375
LCN8	0.4505
TMEM147	0.4785
SYT4	-0.396
XPO7	-0.8355
C9orf62	2.44275
GPR75	0.1195
TRIM5	1.564375
APOC1	-1.168
RNASE4	-0.7525
PARD6B	-2.33825
ARID1A	0.821083333333333
TPD52L3	0.121444444444444
RRAGB	-0.0208333333333333
RCN2	-0.282666666666667
HIST2H2BE	0.0708125
STARD7	-0.10675
SHMT2	-0.977
KIAA1751	-0.0706666666666667
MLYCD	-0.8915
LOC162632	-1.3947
UQCRH	-0.697
RP11-217H1.1	0.4465625
SDHA	-1.39716666666667
NCLN	-0.0271
ZNF17	0.108
RCBTB2	-1.871
VEGFB	-0.5058
RP4-747L4.3	-0.28725
COLQ	0.954555555555556
MPN2	-1.23316666666667
DRG2	-0.308
KLRB1	1.87425
ALPK2	-0.82675
DNASE2B	0.13825
FLJ23834	-0.194
AXUD1	0.896333333333333
SAFB	0.3207
NSUN4	-0.133
RFX2	0.642
MAPK8IP1	0.1665
FANCD2	0.138357142857143
ANKZF1	-1.9665
C19orf50	-0.231875
DUSP8	1.698875
SENP5	0.0805
NFKBIL2	0.0625
LBR	-2.303125
IGFL1	0.919
LZTS2	1.448125
IL2RG	-0.6515
CCDC51	0.08875
KLF3	-0.263375
ANKRD37	-1.659
KCTD14	0.5625
FZR1	0.686916666666667
SLC44A4	3.5376
ESPL1	-0.79325
GMPR2	-0.653
TBC1D19	-1.229
ERGIC1	0.739037037037037
ERBB4	2.7489
TSPAN32	-0.07925
MAP4	0.358375
GPHN	-1.23575
SLC6A2	-0.29275
HIVEP1	1.07525
DFFB	-0.3201
EIF4EBP2	0.57125
DMRT1	-0.10525
HSPB6	0.0695
IER2	0.484
AIFM1	0.036
WWC2	-0.0278333333333334
MRPL4	-0.48025
FLJ21062	0.149
EPB41L4A	0.86375
SH2D6	0.43275
TAF4B	-1.68725
GAL3ST3	0.283
MALT1	-1.51516666666667
RTDR1	1.24
ARVCF	1.124
MEX3B	-0.631333333333333
FBXO16	0.80725
KIF7	-0.53675
C1QC	3.99233333333333
ZNF783	0.0165
ZNF85	-0.1005
MMP13	5.792
KIAA0329	0.05825
RTP3	-0.773
ZBED3	0.03375
CLGN	-3.49525
SLC25A37	-1.83583333333333
hCG_18290	0.09175
OR5AS1	0.447
SMARCC2	0.7255
FAM109A	0.0728333333333333
CCDC12	-0.1875
USF2	1.0635
DEPDC7	-1.8695
C20orf24	-0.285333333333333
JMJD3	0.795
DSP	1.59685714285714
SLIC1	0.229625
FAM20A	1.261375
IRF2BP2	0.8165
ZNF230	-0.5195
MSN	0.249928571428571
SLC9A5	-1.759
EPDR1	-0.6612
MUSK	-0.4015
ZNF434	0.1545
SMARCD1	-0.443166666666667
ZFP106	-0.62
ZNF347	0.9001
GTF2E1	-0.00324999999999999
RY1	-0.566833333333333
ATAD2B	0.306875
ARHGAP17	-0.0272
KCNIP3	0.19125
