Hybridization REF	TCGA-BH-A0DH-11A-31R-A089-07
ZNF350	2.09425
MGC11102	-0.397125
BST1	1.9605
KISS1R	0.102
NCR2	0.8895
DEFB125	0.154
UBE2W	0.772375
KRT15	3.939375
C10orf99	0.0445
SCN11A	0.505875
GFI1	-2.09825
RDHE2	1.341
FHL1	2.32516666666667
OSGEP	0.451333333333333
GATA1	-3.4085
SMC6	-1.64025
TTTY14	-0.61475
LPIN3	-0.6355
RPL4	-0.2734
RBPMS	0.4761
PRPF3	-0.9315
EMR1	-2.0415
SPATA19	-0.17675
XCR1	0.383
IRX3	1.5719
RBM6	-0.98925
KLF4	-0.395
UNC5CL	-0.64325
SEBOX	-0.174
BTK	-1.31125
KRCC1	1.6875
C6orf27	-0.1185
SYTL5	-1.898
PRND	2.426125
LOC653319	-1.341
PIGL	-1.056
HUS1	-0.0693333333333333
SFRS6	-1.23983333333333
C17orf77	-0.5525
UIMC1	-0.324666666666667
FXYD2	-1.3588
LOC283152	1.4925
ZNF667	0.2595
ZCCHC12	-0.38675
TFEC	1.299
ATP7B	-0.8605
POLD2	-2.3175
RG9MTD1	-0.18225
ACOT2	1.17916666666667
HIST1H4I	-0.606375
PPARGC1A	0.1668
ETFA	-0.6926
POLRMT	-1.11475
ZNF146	-1.015375
MIA2	-0.6185
KLHL6	-1.56
HOXB5	-0.116
NENF	1.10816666666667
CUGBP1	-0.3105
PRSS22	0.566666666666667
CASC4	0.7329
CUL4B	0.381
CENPJ	-2.1904
PITX1	-2.2975
FLJ31033	0.042
CELSR3	-2.58583333333333
ZNF568	1.50875
ITSN1	0.470166666666667
EHBP1L1	-1.48233333333333
C19orf2	-0.8265
DCTN1	-1.5675
LIN28B	-3.22433333333333
TNKS2	-0.425
C1QBP	-0.564875
CADPS2	1.833
SRMS	-0.1195
GJA9	-0.404333333333333
MGC24975	-1.5965
TRIM45	-0.775166666666667
TSP50	0.52275
TCP1	-1.37825
TMED7	0.3125
CMA1	1.971
CENPL	-2.47616666666667
PTCRA	0.04
FST	-2.391
VWCE	-1.83725
PAWR	-0.1175
ABCC12	0.233
LDLR	-2.0994
ASTN2	0.8571
LOC441212	-0.195125
GPATCH8	-1.017
TANC2	-1.00766666666667
KIF4A	-3.69025
C18orf18	0.31075
PGM1	-0.17475
KIAA0258	0.578
CPD	0.62975
SNCAIP	0.664
DCT	-4.37283333333333
HLA-DOA	1.99186363636364
OR11L1	0.3495
UPK1B	0.423
DNAJB4	0.906571428571429
UGT1A8	-0.448
HIST1H4L	0.955
PECR	0.107166666666667
HSPA2	0.9975
WFIKKN1	-1.664
SERP1	0.457125
SYDE2	1.268
TACR2	0.8205
NUP85	-0.97975
CD177	-0.896
LGR5	-2.49283333333333
PIGG	-0.563416666666667
PTHR1	0.6995
RAB5A	-0.3983
FLJ13224	-0.1955
USP9Y	-2.19516666666667
C7orf53	-0.0755
LRP1B	1.141
XAF1	1.6095
ABCG8	-0.2855
ANKDD1A	0.0143333333333333
DAND5	-1.6055
SPAG6	2.00266666666667
LINCR	2.013
ZDHHC22	-1.093125
CCDC60	0.4135
THOC7	-0.838166666666667
TCTA	0.4481
OR8K3	0.429
NY-REN-7	-0.0785
B2M	2.07583333333333
C6orf141	-1.702625
LPPR4	3.61875
SQLE	-2.678125
SEPHS1	-1.0065
BTBD14B	0.120142857142857
PLRG1	0.355
SPG7	-1.470625
ZNF614	-0.280166666666667
PARD6G	1.8695
INPP5B	-1.1664
GRPEL2	-0.2825
PPID	-0.4198
TRIM56	-0.29975
UBE2J1	-0.575125
IL20RA	6.3025
LOC387856	0.8445
C1orf107	-0.025
UTS2R	0.339
C19orf22	-2.244
SAFB2	-0.38225
KIAA0652	-1.122875
KLRG1	0.324333333333333
MS4A8B	0.352833333333333
FRAG1	-0.14
KIAA1546	0.558
E2F4	-1.8448
CLEC4M	0.436833333333333
BTBD14A	-1.57275
KIAA0999	1.293
GYPA	-2.8705
TAC1	1.7517
TRAIP	-2.21083333333333
KIAA0232	0.6487
ERCC8	-1.001125
GPX4	1.20075
KIAA0368	0.48675
GPR157	-0.610833333333333
CTAGE4	-0.3375
C9orf30	-1.40616666666667
OR52A1	0.409
HSP90B3P	-1.2755
ALG9	0.2823
BTBD10	0.3905
SDK2	-0.15625
BAIAP3	-0.5985
RABGGTB	-0.381875
ANKRD40	-0.550666666666667
KRT74	0.8855
CALCOCO2	0.353642857142857
SNCA	-0.92875
TMSL8	-2.71075
C2orf53	-0.0765
ESRRB	-1.3505
ARHGAP26	-0.39325
TDRD9	-1.05825
HRAS	-0.273666666666667
KLRC4	-1.9145
JAGN1	0.285
BSDC1	0.398
RNF43	-0.076
NDUFAF1	0.16625
PHF12	0.15025
OR1L3	0.381
FOLR2	2.95191666666667
LYZL6	0.536
tcag7.1260	-1.532
WSB1	-0.464333333333333
PROS1	1.6086
OSTN	0.2365
PSMB8	0.9785
SOCS4	-0.54
DDIT4L	3.6265
MAS1	-0.593
MGC34796	0.57225
CSHL1	-0.358333333333333
TBCCD1	-0.303833333333333
ZBTB7C	-0.962
AP2S1	-0.548375
P15RS	-0.6123
VAT1	-0.9224
SHANK3	0.726333333333333
TUFM	-1.45766666666667
THEG	-0.70825
KRT34	-1.806
SGSM3	-0.76525
TOMM22	-0.149875
SOCS3	-0.4475
CPO	1.4975
POP4	0.04025
BHLHB3	3.2095
MALL	1.18275
OR1B1	-0.5165
PARK2	0.5385
GPR124	0.9885
LCE1E	0.8025
RUVBL2	-1.73025
CGRRF1	1.3137
ACPL2	0.5555
WNT10B	-2.085875
BAIAP2L2	-1.791
ISCA1	1.044
C1orf125	-0.060375
RPAP1	-0.63675
RAI16	0.208
RPL27	0.844375
NLRP9	0.1245
EPN1	-0.764
LOC388610	-0.10775
SLC35A1	0.9078
GAL	-3.90925
SLC14A2	0.35775
RDH11	-0.614666666666667
FAM138F	-0.154
AUH	0.8325
FLJ40243	0.34925
C14orf129	-0.0493333333333333
MBD2	-0.661833333333333
ABHD14B	-0.7015
PIGT	-0.665125
ALS2CR4	0.844
ALAS1	-0.7314
FOXO1	3.21883333333333
CRLF3	-0.780625
C20orf107	-0.128
FARS2	0.7075
CCDC28A	1.28775
NPHP3	0.4295
OR13F1	-0.6425
TSEN54	-1.83575
DEFB106B	0.489444444444444
OR8B4	0.504
STH	0.178
ZC3H14	-0.757125
CBX2	-0.654
TMEM49	-2.339
C6orf21	0.0495
FLJ20920	0.383625
CRTAP	0.490857142857143
DDX50	0.46775
STYXL1	-0.4085
BLVRB	0.722
LOC147650	0.168166666666667
MMP24	0.18825
GRID1	2.55583333333333
BANF1	-1.49566666666667
CTAGEP	-0.504
HMBS	-2.39375
SLC25A24	-0.308333333333333
C14orf50	1.88925
MRO	1.5005
SLC25A15	-1.26675
FAM84B	0.2136
TDP1	-1.522
C16orf78	0.0042
C11orf57	0.592625
RFK	-0.40525
ZFYVE9	-0.083125
STCH	-1.3304
WIBG	-0.297
LOC283871	-1.5745
GBA2	-1.266
NDUFB3	1.284
HSD17B13	2.719
GRIN3A	1.01666666666667
FMNL1	-2.16133333333333
SEPT7	-0.0224
GNLY	4.5115
GRAMD1C	2.4325
ZNF165	-0.45775
USP38	0.18025
FAM83A	-3.54233333333333
C14orf24	0.825833333333333
ARMCX3	1.290625
ARHGDIB	-0.0538333333333333
AK1	0.43
KIAA1045	0.79
DNAJB13	-0.743
NEU2	-0.329
HIST1H4B	-0.624833333333333
FAM20B	-0.3066
HES2	0.382923076923077
FAM73B	-1.318
LOC388381	0.33125
INTS7	-1.25618181818182
AMPH	0.27225
ZNF775	-0.508375
UCKL1	-1.26333333333333
C10orf97	0.509
C1orf161	-0.43375
ALDH1L1	3.52875
FLJ39378	-0.23125
SLC23A1	-1.4215
RBM4B	0.1625
THAP4	-0.570833333333333
OGFRL1	1.2805
KIAA0831	0.920875
PPP1R15A	-0.942
C1orf96	-0.162642857142857
C12orf11	-2.20625
BMF	-0.442875
MAN1A1	-1.07625
KIAA1600	0.8785
NLGN4X	0.461
ALOX12	-1.2438
RB1CC1	-0.0799
NEIL2	0.6256
EIF4E	-0.505045454545455
ABHD5	0.1805
EXOC4	-0.335
CIP29	-1.18166666666667
BATF2	1.0305
SLC29A4	-0.08275
HTR4	0.34475
EMB	-0.62
TRAF6	1.223
LMNB1	-3.9075
FAM19A5	-1.362
SHE	2.646
PIK3C2B	1.653
C15orf15	0.2035
USP15	-0.1024
TCEAL2	3.4675
C5orf39	0.887833333333333
PTGER2	-1.27075
SLC31A1	-0.617875
IFT172	0.62725
ADAM29	0.35025
GFOD1	1.894
ST7L	0.209666666666667
C15orf26	-2.36825
PKN3	-1.85925
CNTD1	3.5515
COMMD1	0.956375
NTRK2	4.79733333333333
FOXN3	1.577375
MFGE8	-0.7312
PFKFB2	0.807666666666667
TAS2R4	-0.24075
ENTHD1	-0.352333333333333
PRMT5	-1.813625
MGC16384	-0.177625
LOC442229	0.581
TSKU	0.400125
KRTCAP3	2.551375
PDLIM1	1.3335
KCNS2	0.443
RNF126	-0.659
CEP63	0.651
CLIC4	-0.350625
hCG_1990170	3.19725
ACR	0.9964
KLK7	4.82275
ALOX5AP	3.135
RIPK3	2.7275
TAS2R9	0.263
C19orf18	1.9235
BIRC6	-0.325071428571429
ZNF16	0.4875
RFT1	-0.88675
SLC8A2	-0.8585
TACC1	1.4375
ITGAD	0.27025
SAMHD1	0.92625
SH3PXD2B	0.3076
EPC2	1.5155
C20orf85	-0.132375
ATP13A2	-0.591666666666667
KRT4	1.331375
CAPNS1	-1.09125
MDM2	-0.23275
PCDH20	1.97625
KCNK9	0.169
OR2C1	-0.7605
KLHDC3	-1.582
IPPK	-1.088
EFHD2	-0.962625
GALR3	0.3405
NBEA	1.439
ABCA6	5.3845
CLDN3	0.0873333333333333
AKT2	-0.425214285714286
EGFR	0.8134
RBM16	0.201625
ZDHHC3	0.0322999999999999
SLC25A4	0.604166666666667
CYB5B	-1.25433333333333
CPXM1	0.30675
NDRG1	-1.36530769230769
FLJ43826	0.5045
OR5L2	0.300833333333333
FARP2	-0.7079
MRPL46	0.248833333333333
LDHAL6B	0.163166666666667
MAPKAPK3	-1.29216666666667
NCAM2	-1.44675
PRKD2	-0.874833333333333
ZFP36L1	1.2721
CYSLTR1	0.52325
OR4C3	0.56675
HIST1H2AJ	1.3815
CCNB2	-4.13666666666667
ZNF10	1.011625
TMEM175	-0.064
FAM134A	-0.0915
TIGD4	-0.473
PCNP	-0.40075
MGC39715	1.00325
LQK1	-0.91175
CREB1	1.0298
TMPRSS3	-0.31825
C4orf32	2.217625
LAT	-1.80483333333333
KCNA3	-0.057
SKIV2L2	-0.9925
ROPN1B	1.886
tcag7.23	0.513
CDT1	-4.07225
ZHX2	1.064125
CD28	-2.0105
ZNF624	1.20025
SEPT2	-0.241
SOHLH2	-1.601875
MCOLN3	-0.331428571428571
UNQ1945	0.2845
MASP2	-1.1795
ZNRF3	0.2898
GPATCH3	-0.89925
AGL	0.7005
QRICH2	-0.168
PSD4	-0.557833333333333
CCNB1IP1	-0.95125
ENPP7	-0.127
OBFC1	0.20475
KCNG3	-2.78633333333333
C14orf79	-1.32033333333333
ENPEP	2.24083333333333
SCT	0.559
SKI	0.56275
SEC61G	-0.51375
CAPN11	2.237
ATXN7L3	-1.9285
DBNDD1	-1.595
FAIM	1.22425
ANKRD36	-0.01
GABRP	4.78
TACSTD2	2.0655
EIF3J	-0.88575
PPP2R2A	-0.83275
TEKT4	-0.0818333333333333
PVALB	-3.15916666666667
F10	-0.3495
FAM134C	0.0172
COMP	3.241375
EFCBP1	-0.169375
SCLT1	1.13275
TAL1	-0.1239
ACSL1	3.75925
ABCC5	-0.747833333333333
ABL1	-1.31522222222222
RBBP7	-0.210083333333333
PTPRG	0.613125
NCOR1	-0.4551
SPINK4	-0.1705
TXNRD1	-1.4835
TNRC15	1.115125
C9orf138	0.963125
UBE2H	0.216666666666667
BRDT	0.036
C8orf31	-0.4125
CCNE2	-3.46018181818182
SLC6A8	-2.2295
CALCR	-1.10375
PPP1CB	0.50725
ABHD8	-1.12875
ARF5	-0.0292
SLC24A4	0.467
CCT3	-1.31925
ZNF121	0.141375
SLC3A2	-2.3447
OR13A1	0.266
SLC5A10	-0.2105
RAD50	-0.5955
IER5	-0.401625
MTHFD1L	-1.792125
MBTPS2	0.027
MVK	-1.259875
NCL	-0.4039
PSMD10	-0.61575
MOBP	0.456428571428571
FLJ32894	-1.031
HRH1	0.445666666666667
C5orf30	0.60625
NUDT16L1	-0.1675
RASGRP3	4.12133333333333
PRKRIP1	-0.8575
CCDC75	2.232
LOC253970	-0.0253333333333333
KIAA1239	2.3645
MED21	0.52325
SYT11	0.0215833333333334
NTSR2	-0.205
EGFL11	0.7615
CXorf59	0.459
OR2A25	0.3405
SPTBN2	-1.8035
LRMP	0.387333333333333
RNF111	0.5435
PTH	0.4985
LOC619208	1.28083333333333
KIAA0895	0.19475
RANBP5	-0.357125
P2RY10	0.029
NME5	4.22516666666667
DDX21	-1.64525
LRSAM1	-1.018
HDAC11	-0.218166666666667
VMO1	1.65525
NOLA2	-0.6725
ADAR	-1.008
MTO1	-0.374
SF4	-0.545333333333333
P2RX1	-0.4085
HBM	1.54925
EN2	0.6135
C14orf172	-0.52625
TM9SF2	0.3981
INHBE	-2.169
TCTE3	-0.349083333333333
TOX2	-2.46275
CTAGE3	-0.16475
HBB	5.2912
MED15	-1.57316666666667
CASR	-0.07825
C6orf66	-0.0665
MTPN	0.59275
UNC50	0.182
C21orf33	1.218375
IRF2	1.4065
PGR	1.79133333333333
GPR84	1.08175
CROCCL1	-2.558
SRPX	1.4165
BRE	0.000833333333333334
FGF10	2.9335
SDC3	-1.13716666666667
ZRSR1	-0.4415
DKFZP434P211	-0.990625
SOX6	0.1595
RPUSD2	0.00925
C14orf173	-0.193666666666667
MAPK11	0.4075
TBC1D22A	0.072
FAM123A	-0.4835
COL4A6	-0.0106666666666667
TOMM70A	-0.045
NAB1	0.776875
MGC16385	-0.516125
TSPAN18	0.877666666666666
MED31	1.24275
PLG	-0.39075
CAPSL	-0.131
ZNF532	0.8966
ASB14	0.281
CA8	1.487
NUDT16P	1.6315
SLFN11	-0.1255
LRRIQ2	-0.144875
NOL7	-0.7815
BRMS1L	-0.29825
JARID1A	0.7805
PANK2	-0.4575
ICAM3	-0.116
MDS1	0.77925
TAF8	-1.15025
RNF139	1.06875
ZNF594	-0.085
ADAM8	-0.37025
SFTPC	-0.3685
MAN2B2	0.422
RGS12	-0.01975
EIF1AY	-3.99158333333333
LRRIQ1	0.927
GPR150	0.1635
CCDC21	-2.551
PRRG3	0.9115
SAA4	0.6555
RAPGEF5	1.696
ZCCHC2	-0.109583333333333
MGC39372	0.2235
PPP4R2	-1.001
CDCA2	-3.3905
OR4D5	-0.248333333333333
PTGFRN	-0.3147
SIGLEC5	1.0185
C19orf61	-1.385
NMUR2	-0.183
KIAA1586	-0.6155
DAGLA	0.5945
CHCHD6	0.39875
GPR32	-0.1435
NEUROD6	0.256666666666667
SLC2A4RG	-0.483625
CA5B	0.6505
FBXL3	1.7755
MPHOSPH9	-2.33
HMG2L1	-0.15025
HCN4	-0.267666666666667
CEACAM19	0.34525
SH2D4B	-0.3434
HFE2	-1.436
TGM4	0.3954
LYPD2	-0.204
TBC1D15	0.7725
MRPS21	0.3425
NONO	-0.9934
CLEC5A	0.78725
ITCH	-0.023
MGAT3	0.814166666666667
MBP	0.18925
RPP25	-1.90975
SOSTDC1	3.046
HRC	-0.40475
TRIM48	0.269
TMEM133	1.683
ECEL1P2	-0.955
HOXC11	-1.358
DOK5	0.511
HELZ	0.942333333333333
LOC348180	-2.00375
MGC33894	0.60925
ADRB3	0.0125
DMD	1.57558333333333
PTRH2	-0.621
MPEG1	2.6355
NDUFA12	0.531333333333333
KRTAP2-4	0.0199166666666667
STAMBPL1	-1.04466666666667
ADCY2	0.91325
UNQ6125	0.1735
KLHL20	0.4025
SRM	-1.652
OTC	0.70475
TMIE	0.6695
SNX8	-0.361
LIPK	0.158
CHURC1	0.986583333333333
KLC2	0.033
HDAC1	-0.834833333333333
FAM128A	-0.222666666666667
FNDC3B	-0.5147
MTCP1	-0.65
WFDC10B	0.174
PCDHGB3	0.3025
ATRNL1	0.2576
CAV2	1.919875
MED26	-0.7345
DUS1L	-1.222
CHRM3	-1.7445
NEK9	-1.04275
WARS2	1.58475
TBX22	1.144
TOMM40	-2.3195
RP6-213H19.1	-1.10383333333333
TUBGCP5	-0.4685
IGSF6	5.34775
TPPP	0.499833333333333
UNQ6190	0.153
GSTM5	0.4975
BTD	0.954833333333334
PDCD1LG2	0.4265
SNRPB2	0.127833333333333
ERICH1	0.96275
APOA4	-1.1195
HOXA11	-1.87275
NARG1	-0.375875
MKX	0.3945
RAB28	-0.138
PKP3	0.000500000000000001
SH3GL2	-2.216
CTSO	2.68625
RPN2	-0.071875
IL28RA	1.163
SFMBT1	0.42475
WDR57	-1.001125
FER1L3	1.06891666666667
HSF5	0.2535
TTC9B	-0.076
C4BPA	-1.916
ALB	-0.544785714285714
SORBS3	0.475375
UPF2	-0.1785
JPH1	-0.876
AGBL2	0.43275
DOPEY1	2.457
TERF1	0.3655
KIF22	-1.867
NINJ1	1.0945
SEC61A2	-1.08025
HIST1H1D	-1.71683333333333
SFXN4	-0.041875
UCP3	0.0965
ZNF703	0.14
MYL6B	-0.03775
TREM1	-0.81125
OR52E6	-0.2175
CKMT2	5.25225
HLA-C	1.906375
SLC13A3	-1.0125
TIMP4	3.88025
SLIT2	4.31325
RSF1	0.247611111111111
LONRF1	-0.501071428571429
MON1A	-0.251166666666667
CACNG6	-1.77866666666667
DPPA4	-5.206
ZSWIM3	0.00874999999999999
ZNF804A	-0.298
CCIN	1.02625
SLC25A31	0.11225
KCNMB4	0.3235
RABL5	0.66475
GALNS	-1.258
STX6	0.425375
HIST1H1C	-2.23366666666667
CIDEB	-0.034625
CASP4	0.983166666666667
PDK3	-0.4262
KCNJ11	-0.783
TPR	-0.905875
ZSCAN20	-0.43
MTX2	-0.29375
HIST1H2BH	-1.03825
LOC283767	1.38825
LYRM7	-0.764333333333333
BRD3	-2.0245
HIST1H2BO	-1.09825
MAGEB10	0.4065
SLC45A1	-0.49575
SERPINA3	0.85385
KIAA0143	0.89925
KCNJ16	5.93283333333333
KRT79	-0.3205
FABP2	-0.111333333333333
NUT	0.063
ZNF57	-0.14325
FBXL4	0.326
CLEC9A	1.706
UGT8	0.2805
BMP2K	0.31425
MAPK4	-2.1885
SLC25A23	-0.8445
HINT1	0.1444
KRTAP13-1	0.863
SFXN5	-1.279
CHCHD2	0.0339166666666667
FAM3D	3.46
NDP	-0.98375
RHOBTB1	-0.231666666666667
SLC4A4	1.4195
RPL38	0.714
HTF9C	-0.952
AP2A2	-0.120375
ZBTB46	-0.259
MAP7D1	-0.293
AOX1	-0.614833333333333
CYR61	2.5085
DTNA	-0.219571428571429
JRKL	0.86575
TMOD3	-0.8245
EEA1	-0.1128
ADCK5	-1.01125
IL1R1	3.18033333333333
KLK3	0.348428571428571
HRSP12	0.3555
KTN1	0.11075
LOH11CR2A	1.1684
RELL2	-2.29625
MAB21L1	3.19775
C20orf59	-1.65666666666667
PHKB	0.46325
ADAM2	-2.02116666666667
TBC1D8B	1.81066666666667
FAM13A1	0.77775
LAPTM4B	-1.50116666666667
LCN8	-0.0275
TMEM147	0.288
SYT4	0.326833333333333
XPO7	-1.5495
C9orf62	-0.25375
GPR75	0.6195
TRIM5	0.127125
APOC1	0.0585
RNASE4	2.351
PARD6B	-1.244875
ARID1A	-0.746333333333333
TPD52L3	0.421444444444444
RRAGB	1.346
RCN2	-0.435
HIST2H2BE	-0.8091875
STARD7	-0.26875
SHMT2	-2.253
KIAA1751	-0.1835
MLYCD	0.4205
LOC162632	-0.4371
UQCRH	-0.93975
RP11-217H1.1	0.0661875000000001
SDHA	-2.2305
NCLN	-1.2468
ZNF17	0.848333333333333
RCBTB2	0.32575
VEGFB	0.08
RP4-747L4.3	0.0675
COLQ	-0.4104
MPN2	-0.0485
DRG2	-0.60325
KLRB1	5.86725
ALPK2	-2.52725
DNASE2B	0.2565
FLJ23834	0.527
AXUD1	-0.108666666666667
SAFB	-0.8847
NSUN4	-0.85175
RFX2	1.40483333333333
MAPK8IP1	-0.481333333333333
FANCD2	-1.64028571428571
ANKZF1	-1.79933333333333
C19orf50	-1.105625
DUSP8	-0.196375
SENP5	-0.64525
NFKBIL2	-1.25825
LBR	-1.051875
IGFL1	1.3905
LZTS2	-0.32275
IL2RG	-0.87325
CCDC51	-0.54575
KLF3	-0.0891250000000001
ANKRD37	-0.61925
KCTD14	1.14683333333333
FZR1	-0.828916666666667
SLC44A4	0.7583
ESPL1	-1.954375
GMPR2	-0.4023
TBC1D19	-0.552333333333333
ERGIC1	0.238481481481481
ERBB4	2.6986
TSPAN32	0.0995
MAP4	-1.546125
GPHN	-0.6595
SLC6A2	1.30025
HIVEP1	0.74725
DFFB	-0.5735
EIF4EBP2	0.76825
DMRT1	-0.92475
HSPB6	1.60975
IER2	-0.134166666666667
AIFM1	-0.6435
WWC2	0.539363636363636
MRPL4	-1.02925
FLJ21062	1.90866666666667
EPB41L4A	1.684
SH2D6	0.15575
TAF4B	-1.407
GAL3ST3	-0.852
MALT1	-0.836333333333333
RTDR1	0.3165
ARVCF	-0.145125
MEX3B	-0.521833333333333
FBXO16	0.57975
KIF7	-2.20775
C1QC	4.67216666666667
ZNF783	-0.610166666666667
ZNF85	-0.3285
MMP13	-0.886
KIAA0329	0.863
RTP3	-0.689
ZBED3	0.3655
CLGN	-1.19075
SLC25A37	-1.4715652173913
hCG_18290	1.304
OR5AS1	-0.35
SMARCC2	0.0569166666666667
FAM109A	-1.31666666666667
CCDC12	-0.12525
USF2	-0.6748
DEPDC7	-2.299
C20orf24	-1.0905
JMJD3	-0.8235
DSP	0.867571428571429
SLIC1	0.163625
FAM20A	1.2745
IRF2BP2	-0.707125
ZNF230	0.209
MSN	-0.754214285714286
SLC9A5	-1.4035
EPDR1	-0.319
MUSK	-0.158333333333333
ZNF434	0.00949999999999997
