Hybridization REF	TCGA-A2-A0CQ-01A-21R-A034-07
CMA1	0.319
CENPL	-0.764333333333333
PTCRA	0.4725
FST	-4.404
VWCE	-3.82325
PAWR	-0.5645
ABCC12	1.19116666666667
LDLR	-1.4001
ASTN2	2.5718
LOC441212	-1.8035
GPATCH8	-0.105
TANC2	-0.0821666666666667
KIF4A	-2.1475
C18orf18	-2.32675
PGM1	-1.1655
KIAA0258	-0.27975
CPD	0.142625
SNCAIP	-1.48575
DCT	-4.074
HLA-DOA	3.25609090909091
OR11L1	0.571
UPK1B	-0.9475
DNAJB4	-2.16975
UGT1A8	-0.4135
HIST1H4L	-1.156
PECR	-1.1185
HSPA2	2.57525
WFIKKN1	-1.8615
SERP1	0.27475
SYDE2	1.548
TACR2	0.89
NUP85	-0.9055
CD177	-0.738666666666667
LGR5	-2.086
PIGG	0.19625
PTHR1	-2.24733333333333
RAB5A	0.0476
FLJ13224	-0.2625
USP9Y	-1.61883333333333
C7orf53	-1.509
LRP1B	3.53975
XAF1	1.6067
ABCG8	-0.355
ANKDD1A	-0.448333333333333
DAND5	-1.5505
SPAG6	4.76466666666667
LINCR	1.47525
ZDHHC22	-1.192875
CCDC60	0.3915
THOC7	-1.38116666666667
TCTA	1.941
OR8K3	0.48275
NY-REN-7	-0.3665
B2M	1.12966666666667
C6orf141	-0.79675
LPPR4	0.3455
SQLE	-1.401
SEPHS1	-0.64075
BTBD14B	0.8415
PLRG1	-0.2515
SPG7	-0.7385625
ZNF614	-0.257333333333333
PARD6G	0.445166666666667
INPP5B	-0.6766
GRPEL2	-0.480875
PPID	-0.7507
TRIM56	0.39925
UBE2J1	-0.95325
IL20RA	0.4555
LOC387856	-0.287333333333333
C1orf107	0.5325
UTS2R	1.637
C19orf22	0.53875
SAFB2	0.791
KIAA0652	-0.342125
KLRG1	-0.8005
MS4A8B	0.908166666666667
FRAG1	0.562
KIAA1546	0.8735
E2F4	-1.2594
CLEC4M	0.390333333333333
BTBD14A	-0.7755
KIAA0999	1.0607
GYPA	-4.20566666666667
TAC1	0.7455
TRAIP	-1.67083333333333
KIAA0232	1.0412
ERCC8	-1.732
GPX4	0.758625
KIAA0368	0.34425
GPR157	-0.439833333333333
CTAGE4	1.146
C9orf30	-2.06466666666667
OR52A1	0.1425
HSP90B3P	-0.84
ALG9	-0.4032
BTBD10	0.09075
SDK2	-0.02275
BAIAP3	-0.864
RABGGTB	-0.759875
ANKRD40	-0.4305
KRT74	0.394
CALCOCO2	0.426357142857143
SNCA	-2.95075
TMSL8	-4.672
C2orf53	0.7045
ESRRB	-0.23175
ARHGAP26	0.961125
TDRD9	-2.76425
HRAS	0.283
KLRC4	-1.983
JAGN1	-0.373333333333333
BSDC1	1.05825
RNF43	-0.909
NDUFAF1	0.20875
PHF12	0.236
OR1L3	0.17025
FOLR2	0.986666666666667
LYZL6	0.0133333333333333
tcag7.1260	-2.2805
WSB1	-0.970833333333333
PROS1	-1.8953
OSTN	0.7865
PSMB8	0.97025
SOCS4	-0.836
DDIT4L	-0.5795
MAS1	0.0785
MGC34796	2.491
CSHL1	0.0901666666666666
TBCCD1	0.1215
ZBTB7C	-0.07
AP2S1	-0.565875
P15RS	-0.4257
VAT1	-0.7087
SHANK3	1.12666666666667
TUFM	0.4275
THEG	-0.3745
KRT34	-2.0795
SGSM3	0.268625
TOMM22	-0.48375
SOCS3	1.78333333333333
CPO	0.8325
POP4	-0.20175
BHLHB3	0.4045
MALL	0.77475
OR1B1	0.1385
PARK2	0.1955
GPR124	-0.212
LCE1E	0.7445
RUVBL2	-0.436
CGRRF1	0.5862
ACPL2	0.54075
WNT10B	-2.566625
BAIAP2L2	-1.42075
ISCA1	-0.114
C1orf125	1.850875
RPAP1	-0.48425
RAI16	-0.0138333333333333
RPL27	-0.617
NLRP9	0.376
EPN1	0.118
LOC388610	-0.9105
SLC35A1	-0.6964
GAL	-3.6755
SLC14A2	0.4395
RDH11	0.0998333333333333
FAM138F	-0.2155
AUH	0.4525
FLJ40243	0.11125
C14orf129	-0.551833333333333
MBD2	-0.374
ABHD14B	0.49225
PIGT	-0.129375
ALS2CR4	-1.408375
ALAS1	-0.2824
FOXO1	0.291
CRLF3	-0.096125
C20orf107	-0.4895
FARS2	-0.078
CCDC28A	0.49525
NPHP3	-0.62525
OR13F1	0.8415
TSEN54	-0.32975
DEFB106B	0.1358
OR8B4	0.55
STH	2.86725
ZC3H14	-0.3245
CBX2	0.1945
TMEM49	-1.355
C6orf21	0.636
FLJ20920	0.606
CRTAP	-0.314285714285714
DDX50	-0.0595
STYXL1	-0.72175
BLVRB	0.285666666666667
LOC147650	0.8505
MMP24	0.67725
GRID1	0.7055
BANF1	-0.193
CTAGEP	0.3275
HMBS	-1.2185
SLC25A24	-1.1275
C14orf50	2.58225
MRO	-0.479666666666667
SLC25A15	-0.59425
FAM84B	0.9587
TDP1	-1.2495
C16orf78	0.0181666666666666
C11orf57	0.68475
RFK	-0.857125
ZFYVE9	-1.96675
STCH	-1.5639
WIBG	0.78125
LOC283871	-0.485166666666667
GBA2	-0.5315
NDUFB3	-0.26675
HSD17B13	-0.46775
GRIN3A	0.364
FMNL1	-0.314
SEPT7	-0.5956
GNLY	1.006
GRAMD1C	1.17533333333333
ZNF165	-0.41625
USP38	0.8515
FAM83A	-3.19666666666667
C14orf24	0.32325
ARMCX3	0.802
ARHGDIB	1.063
AK1	0.6325
KIAA1045	-0.311
DNAJB13	-0.499833333333333
NEU2	0.084
HIST1H4B	-0.816833333333333
FAM20B	0.0919
HES2	-0.667928571428572
FAM73B	-0.1666
LOC388381	0.64525
INTS7	0.361818181818182
AMPH	0.15
ZNF775	0.0656249999999999
UCKL1	-1.14016666666667
C10orf97	-0.589
C1orf161	0.8835
ALDH1L1	-1.773
FLJ39378	-0.344125
SLC23A1	-2.8685
RBM4B	0.29225
THAP4	0.493666666666667
OGFRL1	1.18975
KIAA0831	0.2865
PPP1R15A	0.2195
C1orf96	0.328571428571429
C12orf11	-2.099
BMF	0.923
MAN1A1	-1.132625
KIAA1600	0.691166666666667
NLGN4X	0.48125
ALOX12	-1.71466666666667
RB1CC1	-0.1149
NEIL2	0.7102
EIF4E	-0.292090909090909
ABHD5	-0.2645
EXOC4	-0.266
CIP29	0.222
BATF2	1.359
SLC29A4	-1.033625
HTR4	1.36175
EMB	0.163
TRAF6	0.1735
LMNB1	-1.72425
FAM19A5	-0.91725
SHE	1.2725
PIK3C2B	2.3965
C15orf15	-1.5365
USP15	-0.3446
TCEAL2	0.64125
C5orf39	-1.35183333333333
PTGER2	-2.046
SLC31A1	-0.9370625
IFT172	0.60125
ADAM29	0.40525
GFOD1	0.397
ST7L	1.18483333333333
C15orf26	-3.436
PKN3	-1.955
CNTD1	3.97616666666667
COMMD1	0.289625
NTRK2	2.10341666666667
FOXN3	-0.81275
MFGE8	-1.8136
PFKFB2	1.11366666666667
TAS2R4	-0.12
ENTHD1	-0.422333333333333
PRMT5	-1.446125
MGC16384	-0.9445
LOC442229	-1.142
TSKU	0.635625
KRTCAP3	2.88125
PDLIM1	1.7263
KCNS2	0.41825
RNF126	-0.2975
CEP63	0.578125
CLIC4	-0.736
hCG_1990170	-1.20525
ACR	0.3899
KLK7	0.1125
ALOX5AP	3.212375
RIPK3	4.20525
TAS2R9	-0.1235
C19orf18	1.241
BIRC6	0.176071428571429
ZNF16	1.072
RFT1	-0.02075
SLC8A2	-1.4945
TACC1	-0.449375
ITGAD	0.3015
SAMHD1	1.26325
SH3PXD2B	0.8466
EPC2	0.94075
C20orf85	0.498875
ATP13A2	0.00333333333333335
KRT4	0.428375
CAPNS1	-0.04825
MDM2	-0.10375
PCDH20	3.474
KCNK9	0.3215
OR2C1	-0.8205
KLHDC3	-1.4355
IPPK	0.6565
EFHD2	0.7265
GALR3	1.528
NBEA	1.63366666666667
ABCA6	1.8715
CLDN3	1.07533333333333
AKT2	-0.546785714285714
EGFR	-3.3975
RBM16	0.099625
ZDHHC3	0.2638
SLC25A4	-1.36616666666667
CYB5B	-1.94916666666667
CPXM1	-1.274
NDRG1	-2.02546153846154
FLJ43826	-0.14525
OR5L2	0.1544
FARP2	0.7002
MRPL46	-1.058
LDHAL6B	0.0218333333333333
MAPKAPK3	-0.0523333333333333
NCAM2	-2.07625
PRKD2	0.509
ZFP36L1	1.8829
CYSLTR1	1.44925
OR4C3	0.60675
HIST1H2AJ	1.853
CCNB2	-2.60588888888889
ZNF10	0.05275
TMEM175	0.8615
FAM134A	1.01116666666667
TIGD4	0.3505
PCNP	-0.9395
MGC39715	0.301
LQK1	-1.537
CREB1	0.00209999999999999
TMPRSS3	2.3305
C4orf32	2.295
LAT	-1.93966666666667
KCNA3	0.2065
SKIV2L2	-0.745
ROPN1B	-3.71275
tcag7.23	-0.486
CDT1	-3.0145
ZHX2	0.879375
CD28	-4.06175
ZNF624	1.34875
SEPT2	-0.219166666666667
SOHLH2	-0.719375
MCOLN3	-0.185875
UNQ1945	0.894
MASP2	-0.9
ZNRF3	-0.0285
GPATCH3	-0.3475
AGL	-0.279375
QRICH2	-0.2015
PSD4	1.24083333333333
CCNB1IP1	-1.7915
ENPP7	0.00475
OBFC1	0.39125
KCNG3	-2.16425
C14orf79	1.66266666666667
ENPEP	0.781333333333333
SCT	0.8115
SKI	1.062625
SEC61G	-1.7965
CAPN11	0.06325
ATXN7L3	0.0425
DBNDD1	-0.361
FAIM	-0.19275
ANKRD36	0.1085
GABRP	-0.365333333333333
TACSTD2	1.803
EIF3J	-0.7615
PPP2R2A	-1.18725
TEKT4	-0.0501666666666667
PVALB	-3.77133333333333
F10	-2.6605
FAM134C	0.8357
COMP	3.551
EFCBP1	-3.89946666666667
SCLT1	1.024875
TAL1	-1.156
ACSL1	-0.1945
ABCC5	0.324333333333333
ABL1	-0.3855
RBBP7	0.341166666666667
PTPRG	-0.116125
NCOR1	0.2734
SPINK4	1.70933333333333
TXNRD1	-2.3455
TNRC15	1.931125
C9orf138	0.97225
UBE2H	1.06883333333333
BRDT	1.79316666666667
C8orf31	0.0235
CCNE2	-1.42627272727273
SLC6A8	-1.97025
CALCR	-4.9645
PPP1CB	0.3685
ABHD8	0.96275
ARF5	0.526
SLC24A4	0.058
CCT3	0.32675
ZNF121	-0.149
SLC3A2	-0.7732
OR13A1	0.517
SLC5A10	0.76125
RAD50	-0.185875
IER5	1.210375
MTHFD1L	-2.6285
MBTPS2	-0.796
MVK	-0.8635
NCL	-0.1418
PSMD10	-1.406
MOBP	0.647
FLJ32894	0.261
HRH1	-1.422
C5orf30	1.13225
NUDT16L1	1.2208
RASGRP3	3.44316666666667
PRKRIP1	-0.0312
CCDC75	0.686
LOC253970	0.300666666666667
KIAA1239	0.087
MED21	-0.697
SYT11	0.356
NTSR2	-0.5575
EGFL11	0.3655
CXorf59	1.1675
OR2A25	0.54475
SPTBN2	-1.0335
LRMP	-1.4115
RNF111	-0.469
PTH	-0.561
LOC619208	0.319
KIAA0895	0.56175
RANBP5	-0.760875
P2RY10	-0.4585
NME5	4.4585
DDX21	-1.53475
LRSAM1	0.7015
HDAC11	1.97766666666667
VMO1	2.99075
NOLA2	-0.363
ADAR	1.05566666666667
MTO1	-1.993
SF4	0.602
P2RX1	-0.120166666666667
HBM	0.25375
EN2	1.961
C14orf172	0.1405
TM9SF2	-0.8944
INHBE	-1.632
TCTE3	-0.0556666666666666
TOX2	-3.3365
CTAGE3	0.594375
HBB	4.4112
MED15	-0.522333333333333
CASR	0.264
C6orf66	-2.33533333333333
MTPN	-0.2415
UNC50	-0.887
C21orf33	0.0945
IRF2	1.195875
PGR	3.30516666666667
GPR84	3.73275
CROCCL1	-1.52625
SRPX	-3.18575
BRE	0.1905
FGF10	5.45225
SDC3	1.45083333333333
ZRSR1	0.746666666666667
DKFZP434P211	0.23775
SOX6	-0.51
RPUSD2	0.00425
C14orf173	-0.0645833333333333
MAPK11	0.068
TBC1D22A	0.515
FAM123A	-1.957
COL4A6	0.845166666666667
TOMM70A	-0.927
NAB1	0.5175
MGC16385	-0.674125
TSPAN18	-0.363333333333333
MED31	-0.3445
PLG	-0.399
CAPSL	4.4535
ZNF532	0.7188
ASB14	-0.291
CA8	1.57075
NUDT16P	3.37166666666667
SLFN11	-1.869
LRRIQ2	0.4535
NOL7	-0.5275
BRMS1L	-1.45975
JARID1A	0.590166666666667
PANK2	-0.77125
ICAM3	-0.64725
MDS1	-0.908
TAF8	-0.922
RNF139	0.39775
ZNF594	0.222833333333333
ADAM8	1.762625
SFTPC	-0.253
MAN2B2	1.15275
RGS12	0.9374375
EIF1AY	-4.79545454545454
LRRIQ1	-2.33683333333333
GPR150	1.74325
CCDC21	-1.513
PRRG3	0.55275
SAA4	-3.8945
RAPGEF5	2.165875
ZCCHC2	-0.02875
MGC39372	0.195
PPP4R2	-0.0193333333333334
CDCA2	-1.89233333333333
OR4D5	0.621833333333333
PTGFRN	0.9382
SIGLEC5	2.314
C19orf61	0.1495
NMUR2	0.037
KIAA1586	-2.178
DAGLA	0.963333333333333
CHCHD6	-1.05275
GPR32	-0.1155
NEUROD6	0.199
SLC2A4RG	0.63275
CA5B	-0.089
FBXL3	0.2215
MPHOSPH9	-1.4375
HMG2L1	0.8485
HCN4	1.176
CEACAM19	0.574
SH2D4B	0.481333333333333
HFE2	-1.1685
TGM4	0.423333333333333
LYPD2	-0.228
TBC1D15	-0.09775
MRPS21	1.0699
NONO	-1.1257
CLEC5A	3.1035
ITCH	0.1651
MGAT3	-1.32
MBP	-1.108625
RPP25	-0.383
SOSTDC1	-2.94975
HRC	-1.449
TRIM48	0.3935
TMEM133	0.069
ECEL1P2	-1.26133333333333
HOXC11	0.881
DOK5	-1.229
HELZ	0.567833333333333
LOC348180	-1.00275
MGC33894	0.30175
ADRB3	0.126
DMD	-0.429416666666667
PTRH2	-0.6965
MPEG1	3.37383333333333
NDUFA12	-0.195166666666667
KRTAP2-4	0.201916666666667
STAMBPL1	-1.53516666666667
ADCY2	-1.21016666666667
UNQ6125	0.292
KLHL20	0.858
SRM	-1.1515
OTC	-0.02975
TMIE	0.966166666666667
SNX8	0.18375
LIPK	0.952
CHURC1	0.880916666666667
KLC2	0.2965
HDAC1	-0.206
FAM128A	0.6475
FNDC3B	-0.421
MTCP1	-0.528166666666667
WFDC10B	-0.1429
PCDHGB3	-0.0005
ATRNL1	-1.2831
CAV2	-2.319375
MED26	0.347833333333333
DUS1L	0.80775
CHRM3	-1.43325
NEK9	0.5465
WARS2	1.1695
TBX22	0.361
TOMM40	-0.73875
RP6-213H19.1	-1.01283333333333
TUBGCP5	-0.5705
IGSF6	5.46575
TPPP	-0.3125
UNQ6190	0.5775
GSTM5	2.053875
BTD	0.762
PDCD1LG2	-0.954666666666666
SNRPB2	-0.551333333333333
ERICH1	-0.322875
APOA4	-1.621625
HOXA11	-2.35925
NARG1	-0.5835
MKX	1.9405
RAB28	-1.17885714285714
PKP3	1.36075
SH3GL2	2.722
CTSO	2.3925
RPN2	0.170875
IL28RA	1.0475
SFMBT1	1.9265
WDR57	-0.77725
FER1L3	1.4155
HSF5	0.438
TTC9B	1.04825
C4BPA	-3.63566666666667
ALB	-4.10578571428571
SORBS3	0.660625
UPF2	-0.2605
JPH1	0.11
AGBL2	1.902
DOPEY1	1.0965
TERF1	-0.382916666666667
KIF22	-0.251833333333333
NINJ1	1.772
SEC61A2	-0.370833333333333
HIST1H1D	0.573
SFXN4	0.07925
UCP3	1.1919
ZNF703	1.551
MYL6B	-0.2925
TREM1	2.5085
OR52E6	0.862
CKMT2	0.3855
HLA-C	1.55625
SLC13A3	-1.5365
TIMP4	-1.8185
SLIT2	1.54925
RSF1	0.142166666666667
LONRF1	-1.05521428571429
MON1A	0.0241666666666667
CACNG6	-1.50733333333333
DPPA4	-4.9105
ZSWIM3	0.157
ZNF804A	0.359666666666667
CCIN	0.67625
SLC25A31	0.37775
KCNMB4	-1.73975
RABL5	0.52825
GALNS	-0.4613
STX6	1.865875
HIST1H1C	1.47483333333333
CIDEB	0.56325
CASP4	0.5975
PDK3	0.2122
KCNJ11	1.9295
TPR	0.565
ZSCAN20	-0.7785
MTX2	-0.143
HIST1H2BH	1.2435
LOC283767	-1.9105
LYRM7	-1.58077777777778
BRD3	1.04416666666667
HIST1H2BO	0.76825
MAGEB10	-0.2045
SLC45A1	1.499
SERPINA3	3.85265
KIAA0143	0.51575
KCNJ16	0.0486666666666667
KRT79	-0.3145
FABP2	-1.00133333333333
NUT	0.56925
ZNF57	-0.78625
FBXL4	-1.347875
CLEC9A	2.636
UGT8	-1.76266666666667
BMP2K	-0.182
MAPK4	-3.56725
SLC25A23	-0.207
HINT1	-0.9914
KRTAP13-1	0.6925
SFXN5	1.2717
CHCHD2	-0.57875
FAM3D	1.9945
NDP	-0.233625
RHOBTB1	-0.0993333333333333
SLC4A4	-1.67575
RPL38	-0.20475
HTF9C	0.443666666666667
AP2A2	0.35325
ZBTB46	-0.00399999999999999
MAP7D1	-0.2415
AOX1	0.8655
CYR61	0.55725
DTNA	-1.70792307692308
JRKL	-1.693
TMOD3	-0.5655
EEA1	-0.4085
ADCK5	0.02625
IL1R1	-0.366666666666667
KLK3	0.659285714285714
HRSP12	-0.64325
KTN1	1.589
LOH11CR2A	1.4236
RELL2	-0.904
MAB21L1	1.0665
C20orf59	-1.20933333333333
PHKB	-0.73575
ADAM2	-2.2698
TBC1D8B	1.95983333333333
FAM13A1	-0.6915625
LAPTM4B	-2.15125
LCN8	0.2325
TMEM147	0.39
SYT4	-0.209166666666667
XPO7	-0.563
C9orf62	1.662
GPR75	-0.1145
TRIM5	0.440625
APOC1	1.12433333333333
RNASE4	0.906333333333333
PARD6B	-0.625
ARID1A	0.314416666666667
TPD52L3	0.1018
RRAGB	0.502333333333333
RCN2	-1.02233333333333
HIST2H2BE	2.043625
STARD7	-0.074
SHMT2	-1.219
KIAA1751	0.886333333333333
MLYCD	-0.92975
LOC162632	-0.7085
UQCRH	-1.46225
RP11-217H1.1	0.18925
SDHA	-1.69983333333333
NCLN	-0.4407
ZNF17	0.504166666666667
RCBTB2	-2.015
VEGFB	0.1261
RP4-747L4.3	-0.65575
COLQ	0.5536
MPN2	-0.787666666666667
DRG2	-0.13425
KLRB1	3.8325
ALPK2	-3.8135
DNASE2B	-0.433
FLJ23834	1.14783333333333
AXUD1	1.076
SAFB	0.2681
NSUN4	-0.03675
RFX2	0.180666666666667
MAPK8IP1	-0.875166666666667
FANCD2	-0.661
ANKZF1	-1.3645
C19orf50	-0.494125
DUSP8	1.271875
SENP5	-0.61
NFKBIL2	-0.3395
LBR	-2.007
IGFL1	0.088
LZTS2	0.910625
IL2RG	-1.2345
CCDC51	-0.042
KLF3	0.332875
ANKRD37	-1.8985
KCTD14	-1.8655
FZR1	0.626166666666667
SLC44A4	3.6673
ESPL1	-1.083
GMPR2	-0.0393
TBC1D19	-0.839333333333333
ERGIC1	0.43362962962963
ERBB4	3.9737
TSPAN32	0.5625
MAP4	0.101
GPHN	-1.3555
SLC6A2	0.017625
HIVEP1	-0.10725
DFFB	-0.2136
EIF4EBP2	0.2505
DMRT1	-1.22475
HSPB6	-0.01925
IER2	1.08483333333333
AIFM1	0.12175
WWC2	0.22575
MRPL4	-0.55875
FLJ21062	2.1535
EPB41L4A	1.72975
SH2D6	0.46475
TAF4B	-1.68675
GAL3ST3	0.106
MALT1	-1.05133333333333
RTDR1	0.46575
ARVCF	0.391
MEX3B	-3.06283333333333
FBXO16	2.18525
KIF7	-2.12925
C1QC	4.31516666666667
ZNF783	-0.81
ZNF85	-0.3795
MMP13	-0.04
KIAA0329	0.766375
RTP3	0.317
ZBED3	-0.62675
CLGN	-0.03175
SLC25A37	-0.678583333333333
hCG_18290	-0.1115
OR5AS1	0.498
SMARCC2	1.244
FAM109A	-0.266
CCDC12	0.5035
USF2	0.8174
DEPDC7	-2.4465
C20orf24	-1.31583333333333
JMJD3	0.9505
DSP	0.831285714285714
SLIC1	0.667125
FAM20A	0.084125
IRF2BP2	1.05625
ZNF230	-0.228
MSN	-0.529285714285714
SLC9A5	-0.494
EPDR1	-1.8639
MUSK	0.2145
ZNF434	0.450833333333333
SMARCD1	-0.3765
ZFP106	-0.07375
ZNF347	0.2285
GTF2E1	-0.0505
RY1	-0.8225
