Hybridization REF	TCGA-AR-A0U1-01A-11R-A115-07
USP9Y	-2.1986
C7orf53	0.051
LRP1B	-0.7935
XAF1	2.5291
ABCG8	-0.564
ANKDD1A	-0.3405
DAND5	-1.6345
SPAG6	-0.0616666666666667
LINCR	1.6965
ZDHHC22	-1.447375
CCDC60	0.136
THOC7	-0.920833333333333
TCTA	0.6285
OR8K3	0.47825
NY-REN-7	-0.73575
B2M	0.88
C6orf141	-0.558875
LPPR4	2.62725
SQLE	-1.213375
SEPHS1	-0.0625
BTBD14B	1.044
PLRG1	-0.18925
SPG7	-0.3675
ZNF614	-0.733833333333333
PARD6G	0.4765
INPP5B	-0.5797
GRPEL2	-0.160125
PPID	-0.5049
TRIM56	0.19775
UBE2J1	0.348375
IL20RA	5.154
LOC387856	0.13225
C1orf107	-0.00849999999999999
UTS2R	1.592
C19orf22	1.02775
SAFB2	0.22625
KIAA0652	0.125375
KLRG1	-0.523833333333333
MS4A8B	3.83083333333333
FRAG1	0.5135
KIAA1546	0.072
E2F4	-0.7993
CLEC4M	0.184333333333333
BTBD14A	-0.147
KIAA0999	0.8632
GYPA	-4.46325
TAC1	0.9501
TRAIP	-0.892333333333333
KIAA0232	0.7827
ERCC8	-1.493625
GPX4	0.770125
KIAA0368	-0.45925
GPR157	-0.281
CTAGE4	1.6045
C9orf30	-0.865
OR52A1	0.2655
HSP90B3P	-0.2195
ALG9	-0.6795
BTBD10	0.11525
SDK2	0.046
BAIAP3	1.613
RABGGTB	-0.888
ANKRD40	-0.414833333333333
KRT74	-0.0835
CALCOCO2	-0.554214285714286
SNCA	-3.3765
TMSL8	-3.066625
C2orf53	0.4135
ESRRB	-0.588
ARHGAP26	1.628125
TDRD9	-2.77575
HRAS	0.128166666666667
KLRC4	-1.928
JAGN1	-0.131666666666667
BSDC1	0.36125
RNF43	-0.4753
NDUFAF1	-0.3425
PHF12	-0.03125
OR1L3	0.5025
FOLR2	1.71475
LYZL6	0.173666666666667
tcag7.1260	-1.6655
WSB1	-0.583166666666667
PROS1	-0.548
OSTN	0.718
PSMB8	0.33425
SOCS4	-0.879625
DDIT4L	3.8265
MAS1	-0.607
MGC34796	0.39775
CSHL1	0.2825
TBCCD1	0.244166666666667
ZBTB7C	0.082
AP2S1	-0.406875
P15RS	-0.7729
VAT1	-0.879
SHANK3	1.072
TUFM	-0.519
THEG	-0.8365
KRT34	-1.774
SGSM3	1.1115
TOMM22	0.333375
SOCS3	1.10966666666667
CPO	0.656
POP4	-0.20225
BHLHB3	2.339
MALL	3.85925
OR1B1	0.4125
PARK2	0.3975
GPR124	0.2785
LCE1E	-0.0985
RUVBL2	-0.274
CGRRF1	-0.2851
ACPL2	0.058
WNT10B	-1.66325
BAIAP2L2	1.707875
ISCA1	-0.68
C1orf125	1.217875
RPAP1	-0.907
RAI16	0.268
RPL27	-0.52
NLRP9	0.00449999999999999
EPN1	0.1655
LOC388610	0.967625
SLC35A1	0.2005
GAL	-3.3305
SLC14A2	0.307
RDH11	-0.3225
FAM138F	-0.1735
AUH	-0.40475
FLJ40243	0.09675
C14orf129	-0.073
MBD2	0.0928333333333333
ABHD14B	0.2395
PIGT	-0.124125
ALS2CR4	-0.52225
ALAS1	0.5961
FOXO1	1.82516666666667
CRLF3	-1.183375
C20orf107	-0.7735
FARS2	-0.1035
CCDC28A	0.62475
NPHP3	-0.818
OR13F1	0.4535
TSEN54	-0.19075
DEFB106B	0.1933
OR8B4	0.2185
STH	-0.70475
ZC3H14	-0.4745
CBX2	-0.9785
TMEM49	-1.92125
C6orf21	0.443
FLJ20920	0.742125
CRTAP	-0.517357142857143
DDX50	0.048
STYXL1	0.2135
BLVRB	-1.12133333333333
LOC147650	-0.0171666666666667
MMP24	0.09925
GRID1	1.14416666666667
BANF1	-0.206
CTAGEP	0.71525
HMBS	-1.65325
SLC25A24	-0.244666666666667
C14orf50	2.44175
MRO	0.199333333333333
SLC25A15	-0.18975
FAM84B	0.4319
TDP1	-0.2715
C16orf78	-0.1715
C11orf57	0.91
RFK	-0.521625
ZFYVE9	-0.651375
STCH	-1.4103
WIBG	1.27375
LOC283871	-0.8935
GBA2	-0.7014
NDUFB3	0.2155
HSD17B13	-2.223
GRIN3A	1.7225
FMNL1	-0.597333333333333
SEPT7	-0.3253
GNLY	3.188
GRAMD1C	2.258
ZNF165	0.1545
USP38	0.2725
FAM83A	-1.1015
C14orf24	0.545
ARMCX3	0.862125
ARHGDIB	0.227
AK1	0.65525
KIAA1045	0.5645
DNAJB13	1.5455
NEU2	0.8675
HIST1H4B	-0.107333333333333
FAM20B	-0.3926
HES2	1.98221428571429
FAM73B	-0.2637
LOC388381	0.59475
INTS7	-0.617363636363636
AMPH	3.36975
ZNF775	0.22
UCKL1	-0.6875
C10orf97	-0.54875
C1orf161	0.1645
ALDH1L1	0.794
FLJ39378	0.156875
SLC23A1	-0.0185
RBM4B	-0.64475
THAP4	0.519333333333333
OGFRL1	1.6215
KIAA0831	-0.2245
PPP1R15A	0.589166666666667
C1orf96	-0.299857142857143
C12orf11	-1.09225
BMF	0.628625
MAN1A1	-1.376125
KIAA1600	0.838833333333334
NLGN4X	-0.389
ALOX12	0.430333333333333
RB1CC1	-0.1884
NEIL2	0.3408
EIF4E	-0.467954545454545
ABHD5	-0.281
EXOC4	0.041
CIP29	-0.193166666666667
BATF2	1.80525
SLC29A4	-0.08525
HTR4	0.069
EMB	-1.54975
TRAF6	0.46025
LMNB1	-2.5075
FAM19A5	1.15925
SHE	1.738
PIK3C2B	1.34425
C15orf15	-0.9914
USP15	-0.2976
TCEAL2	-0.228
C5orf39	-0.108
PTGER2	-0.991
SLC31A1	-0.129625
IFT172	2.1965
ADAM29	0.11225
GFOD1	-0.12325
ST7L	0.227833333333333
C15orf26	1.93475
PKN3	-0.206
CNTD1	2.2885
COMMD1	0.55325
NTRK2	2.47125
FOXN3	-0.54375
MFGE8	2.3391
PFKFB2	1.52716666666667
TAS2R4	-0.05025
ENTHD1	-0.236
PRMT5	-1.37225
MGC16384	-0.771375
LOC442229	-1.0075
TSKU	0.90825
KRTCAP3	3.749875
PDLIM1	1.5234
KCNS2	0.2245
RNF126	-0.465833333333333
CEP63	-0.025375
CLIC4	0.310125
hCG_1990170	3.22425
ACR	1.375
KLK7	4.626
ALOX5AP	3.227125
RIPK3	3.682
TAS2R9	-0.325
C19orf18	1.7675
BIRC6	0.0782857142857143
ZNF16	0.61
RFT1	-0.521
SLC8A2	-0.844
TACC1	1.03975
ITGAD	1.08675
SAMHD1	1.586
SH3PXD2B	1.0586
EPC2	1.22575
C20orf85	5.834875
ATP13A2	0.242666666666667
KRT4	4.63375
CAPNS1	0.88275
MDM2	1.76733333333333
PCDH20	2.3085
KCNK9	0.527
OR2C1	-0.3835
KLHDC3	-0.138666666666667
IPPK	-0.034
EFHD2	1.041125
GALR3	1.46175
NBEA	-1.45683333333333
ABCA6	2.7773
CLDN3	3.44116666666667
AKT2	-0.363071428571429
EGFR	-0.0919
RBM16	-0.01475
ZDHHC3	0.5478
SLC25A4	-0.7135
CYB5B	-1.414
CPXM1	0.739
NDRG1	-0.483846153846154
FLJ43826	0.4215
OR5L2	0.359833333333333
FARP2	0.3277
MRPL46	-0.544333333333333
LDHAL6B	-0.152
MAPKAPK3	0.0323333333333333
NCAM2	-3.83075
PRKD2	0.445
ZFP36L1	1.086
CYSLTR1	-0.51325
OR4C3	-0.0235
HIST1H2AJ	1.0295
CCNB2	-1.77644444444444
ZNF10	0.107875
TMEM175	0.6145
FAM134A	0.714
TIGD4	0.693
PCNP	-1.00625
MGC39715	0.25575
LQK1	-1.9035
CREB1	0.4506
TMPRSS3	2.6115
C4orf32	0.241
LAT	-1.09583333333333
KCNA3	0.7655
SKIV2L2	-1.39075
ROPN1B	3.686
tcag7.23	0.177
CDT1	-1.797375
ZHX2	0.467625
CD28	-3.0085
ZNF624	0.86325
SEPT2	0.0896666666666667
SOHLH2	-2.068625
MCOLN3	-1.128125
UNQ1945	0.3335
MASP2	-1.276
ZNRF3	0.4275
GPATCH3	-0.3065
AGL	0.052375
QRICH2	0.3775
PSD4	1.34983333333333
CCNB1IP1	-0.73
ENPP7	0.1885
OBFC1	0.6865
KCNG3	-0.39875
C14orf79	0.8315
ENPEP	1.48766666666667
SCT	0.1855
SKI	1.021875
SEC61G	0.25275
CAPN11	-0.368
ATXN7L3	0.17825
DBNDD1	1.3525
FAIM	0.96525
ANKRD36	0.2905
GABRP	5.49983333333333
TACSTD2	2.86433333333333
EIF3J	-0.65225
PPP2R2A	-1.20775
TEKT4	1.4415
PVALB	-3.47016666666667
F10	-2.18583333333333
FAM134C	0.401
COMP	3.88575
EFCBP1	-3.131125
SCLT1	1.94825
TAL1	-1.1491
ACSL1	0.815
ABCC5	-0.27625
ABL1	-0.533166666666667
RBBP7	0.726583333333333
PTPRG	-0.53325
NCOR1	0.0145
SPINK4	1.65016666666667
TXNRD1	-1.3906
TNRC15	1.570375
C9orf138	0.9935
UBE2H	2.1185
BRDT	0.0241666666666667
C8orf31	0.22725
CCNE2	-1.81909090909091
SLC6A8	-1.665
CALCR	-4.669
PPP1CB	0.909166666666667
ABHD8	0.1445
ARF5	0.4839
SLC24A4	0.19875
CCT3	-0.62425
ZNF121	0.908125
SLC3A2	-1.1324
OR13A1	0.512
SLC5A10	-0.24825
RAD50	-1.234125
IER5	0.7315
MTHFD1L	-0.720875
MBTPS2	-1.0535
MVK	-0.48075
NCL	-0.2302
PSMD10	-1.001
MOBP	0.355125
FLJ32894	0.195
HRH1	1.2025
C5orf30	-1.488
NUDT16L1	-0.0584
RASGRP3	3.7955
PRKRIP1	0.0832
CCDC75	1.99975
LOC253970	0.93
KIAA1239	0.431
MED21	-0.0045
SYT11	0.547
NTSR2	-0.746
EGFL11	-0.255
CXorf59	2.3755
OR2A25	0.15225
SPTBN2	0.749
LRMP	-0.618
RNF111	-0.61925
PTH	0.582
LOC619208	1.08066666666667
KIAA0895	1.007
RANBP5	-0.459
P2RY10	1.70983333333333
NME5	5.1895
DDX21	-0.50825
LRSAM1	-0.183
HDAC11	0.4145
VMO1	1.15025
NOLA2	-0.466333333333333
ADAR	-0.03825
MTO1	-0.791333333333333
SF4	0.183
P2RX1	0.0198333333333333
HBM	-0.11975
EN2	1.3945
C14orf172	0.0195
TM9SF2	-0.4498
INHBE	0.0558333333333333
TCTE3	-0.00474999999999998
TOX2	-2.50675
CTAGE3	1.475625
HBB	3.4451
MED15	-0.2305
CASR	-0.142
C6orf66	-0.488166666666667
MTPN	1.084625
UNC50	-0.71375
C21orf33	-0.516125
IRF2	1.290875
PGR	3.22066666666667
GPR84	2.88525
CROCCL1	-1.72675
SRPX	-1.7455
BRE	0.391666666666667
FGF10	0.724
SDC3	-0.401
ZRSR1	0.642166666666667
DKFZP434P211	0.0355
SOX6	-0.2345
RPUSD2	-0.1325
C14orf173	-0.165083333333333
MAPK11	0.3025
TBC1D22A	0.9695
FAM123A	-0.7805
COL4A6	-3.06566666666667
TOMM70A	-0.94675
NAB1	0.65475
MGC16385	-0.556125
TSPAN18	0.0796666666666666
MED31	0.177
PLG	1.137
CAPSL	6.4645
ZNF532	0.8711
ASB14	0.23375
CA8	0.83
NUDT16P	1.93383333333333
SLFN11	-1.001
LRRIQ2	0.191875
NOL7	-0.489333333333333
BRMS1L	-1.303375
JARID1A	0.948333333333333
PANK2	0.01475
ICAM3	-0.415
MDS1	2.0925
TAF8	-0.149
RNF139	-0.29475
ZNF594	-0.235666666666667
ADAM8	1.279125
SFTPC	-0.11675
MAN2B2	0.506375
RGS12	0.7684375
EIF1AY	-4.45925
LRRIQ1	2.14066666666667
GPR150	1.7155
CCDC21	-1.2655
PRRG3	0.645
SAA4	-0.298
RAPGEF5	0.854375
ZCCHC2	-0.0436666666666667
MGC39372	0.348
PPP4R2	-0.331166666666667
CDCA2	-1.099
OR4D5	0.195833333333333
PTGFRN	1.1251
SIGLEC5	2.01816666666667
C19orf61	-0.0341666666666667
NMUR2	0.814
KIAA1586	-1.6215
DAGLA	0.032
CHCHD6	-0.644
GPR32	-0.159
NEUROD6	0.349
SLC2A4RG	-0.1690625
CA5B	0.444
FBXL3	-0.214
MPHOSPH9	-0.76175
HMG2L1	0.119
HCN4	0.7425
CEACAM19	0.78975
SH2D4B	-0.124166666666667
HFE2	-1.83
TGM4	0.337
LYPD2	0.43175
TBC1D15	-0.49075
MRPS21	-0.9108
NONO	-0.3347
CLEC5A	2.028875
ITCH	0.5393
MGAT3	2.39083333333333
MBP	0.582
RPP25	0.9105
SOSTDC1	2.81475
HRC	-1.1115
TRIM48	-0.621
TMEM133	0.5765
ECEL1P2	3.72975
HOXC11	-0.257
DOK5	1.252
HELZ	-0.205
LOC348180	-0.25925
MGC33894	0.77475
ADRB3	-0.127
DMD	0.230833333333333
PTRH2	-0.45325
MPEG1	3.25983333333333
NDUFA12	0.401833333333333
KRTAP2-4	0.1825
STAMBPL1	-1.5715
ADCY2	1.58366666666667
UNQ6125	-0.0945
KLHL20	0.0295
SRM	-0.937
OTC	0.08775
TMIE	1.42633333333333
SNX8	0.46275
LIPK	0.8805
CHURC1	-0.45175
KLC2	0.286
HDAC1	0.0521666666666667
FAM128A	0.824666666666667
FNDC3B	0.3566
MTCP1	-0.633
WFDC10B	0.5052
PCDHGB3	0.2645
ATRNL1	-2.6332
CAV2	0.330125
MED26	-0.038
DUS1L	0.9665
CHRM3	-0.96125
NEK9	-0.414
WARS2	0.8475
TBX22	-0.092
TOMM40	-0.587
RP6-213H19.1	-1.3805
TUBGCP5	-0.909
IGSF6	5.06375
TPPP	0.772166666666667
UNQ6190	-0.0315
GSTM5	1.0525
BTD	-0.525666666666667
PDCD1LG2	-0.250166666666667
SNRPB2	-0.505166666666667
ERICH1	0.19275
APOA4	-0.852
HOXA11	0.74
NARG1	-1.24025
MKX	0.2545
RAB28	-1.22838461538462
PKP3	1.682
SH3GL2	-2.9675
CTSO	1.48675
RPN2	0.2745625
IL28RA	0.878833333333333
SFMBT1	0.12625
WDR57	-2.035625
FER1L3	2.03075
HSF5	0.5926
TTC9B	0.37225
C4BPA	0.8715
ALB	-4.57261538461538
SORBS3	-0.098125
UPF2	0.326
JPH1	-0.803
AGBL2	1.8955
DOPEY1	1.5535
TERF1	-0.818833333333333
KIF22	-0.828666666666667
NINJ1	-0.21375
SEC61A2	0.0530833333333334
HIST1H1D	0.2865
SFXN4	0.102625
UCP3	0.9156
ZNF703	0.0045
MYL6B	0.6675
TREM1	2.02875
OR52E6	-0.095
CKMT2	2.98325
HLA-C	1.79475
SLC13A3	-0.9915
TIMP4	-1.61425
SLIT2	1.8365
RSF1	0.117722222222222
LONRF1	-0.786857142857143
MON1A	0.190333333333333
CACNG6	-0.117166666666667
DPPA4	-4.8115
ZSWIM3	-0.13775
ZNF804A	0.365333333333333
CCIN	0.9965
SLC25A31	0.01525
KCNMB4	-1.84525
RABL5	1.311375
GALNS	-0.3881
STX6	2.3065
HIST1H1C	-1.818
CIDEB	-0.299125
CASP4	0.394
PDK3	-0.3766
KCNJ11	-0.0235
TPR	0.301625
ZSCAN20	-0.508
MTX2	0.3515
HIST1H2BH	0.38975
LOC283767	1.574
LYRM7	-1.6555
BRD3	0.7015
HIST1H2BO	-0.6085
MAGEB10	-0.24
SLC45A1	-0.58475
SERPINA3	1.24945
KIAA0143	0.22025
KCNJ16	1.15383333333333
KRT79	0.375
FABP2	-1.02725
NUT	-0.177
ZNF57	-0.39325
FBXL4	-0.248125
CLEC9A	1.223
UGT8	1.89833333333333
BMP2K	0.44375
MAPK4	-2.7135
SLC25A23	-0.2391
HINT1	-0.6306
KRTAP13-1	0.00349999999999998
SFXN5	0.1256
CHCHD2	-0.0480833333333334
FAM3D	4.1615
NDP	-0.0105
RHOBTB1	1.44783333333333
SLC4A4	-1.317375
RPL38	0.5265
HTF9C	0.249833333333333
AP2A2	0.71075
ZBTB46	-1.5295
MAP7D1	0.24075
AOX1	-0.887666666666667
CYR61	-0.12875
DTNA	-1.41753846153846
JRKL	0.34825
TMOD3	-0.15325
EEA1	-0.1692
ADCK5	0.2435
IL1R1	2.273
KLK3	0.735857142857143
HRSP12	0.0295
KTN1	0.02625
LOH11CR2A	0.6994
RELL2	-1.41
MAB21L1	0.765
C20orf59	-0.718333333333333
PHKB	0.02425
ADAM2	-2.4845
TBC1D8B	-0.231333333333333
FAM13A1	-0.0655625
LAPTM4B	-0.141583333333333
LCN8	-0.0305
TMEM147	0.4
SYT4	-0.1232
XPO7	-0.829
C9orf62	2.17475
GPR75	0.1545
TRIM5	0.55525
APOC1	-1.70016666666667
RNASE4	-1.03716666666667
PARD6B	-2.961375
ARID1A	0.517
TPD52L3	0.744777777777778
RRAGB	-0.273666666666667
RCN2	-0.494833333333333
HIST2H2BE	-0.569875
STARD7	-0.094
SHMT2	0.10525
KIAA1751	0.673333333333333
MLYCD	0.3695
LOC162632	-0.6669
UQCRH	-0.12975
RP11-217H1.1	0.4554375
SDHA	-0.909666666666667
NCLN	0.2999
ZNF17	-0.138833333333333
RCBTB2	-2.171
VEGFB	-0.1876
RP4-747L4.3	-0.886
COLQ	0.2232
MPN2	-1.04416666666667
DRG2	-0.09175
KLRB1	5.1515
ALPK2	-1.967
DNASE2B	0.11125
FLJ23834	3.60833333333333
AXUD1	0.681166666666667
SAFB	0.2713
NSUN4	0.21625
RFX2	1.19633333333333
MAPK8IP1	-0.302833333333333
FANCD2	-0.4605
ANKZF1	-0.813166666666667
C19orf50	-0.315875
DUSP8	1.237875
SENP5	-0.065375
NFKBIL2	-0.413
LBR	-1.463125
IGFL1	0.241
LZTS2	1.48
IL2RG	-0.313625
CCDC51	-0.52675
KLF3	0.693625
ANKRD37	-0.517
KCTD14	1.874
FZR1	0.288666666666667
SLC44A4	3.515
ESPL1	-0.737375
GMPR2	-0.7955
TBC1D19	-0.7875
ERGIC1	0.971888888888889
ERBB4	3.3576
TSPAN32	0.371
MAP4	-0.045625
GPHN	-1.28575
SLC6A2	0.723
HIVEP1	0.5345
DFFB	-0.1158
EIF4EBP2	1.04925
DMRT1	2.01425
HSPB6	0.01275
IER2	0.615833333333333
AIFM1	0.55975
WWC2	0.22925
MRPL4	-0.484
FLJ21062	2.99683333333333
EPB41L4A	1.34583333333333
SH2D6	0.39175
TAF4B	-1.14525
GAL3ST3	0.1205
MALT1	-0.762333333333333
RTDR1	2.4685
ARVCF	0.4915
MEX3B	-1.0965
FBXO16	1.5345
KIF7	-1.01075
C1QC	4.274
ZNF783	-0.376666666666667
ZNF85	-0.79025
MMP13	-1.204
KIAA0329	0.02325
RTP3	-0.8455
ZBED3	1.509
CLGN	1.324
SLC25A37	-1.14708333333333
hCG_18290	0.1665
OR5AS1	0.6295
SMARCC2	0.681083333333333
FAM109A	0.194333333333333
CCDC12	0.4005
USF2	0.7703
DEPDC7	-2.5125
C20orf24	-0.337166666666667
JMJD3	0.8245
DSP	1.12007142857143
SLIC1	0.482
FAM20A	2.487875
IRF2BP2	0.628375
ZNF230	-0.6145
MSN	-0.0875
SLC9A5	-1.372
EPDR1	-1.8911
MUSK	0.00266666666666667
ZNF434	-0.900666666666667
SMARCD1	-0.201333333333333
ZFP106	-0.19625
ZNF347	-0.1331
GTF2E1	-0.22725
RY1	-0.565333333333333
ATAD2B	0.973625
