Hybridization REF	TCGA-BH-A0BQ-01A-21R-A115-07
HIST1H4I	-1.232
PPARGC1A	-1.0099
ETFA	-0.7401
POLRMT	-0.46575
ZNF146	0.574625
MIA2	-1.6315
KLHL6	-0.5215
HOXB5	-0.44025
NENF	0.5995
CUGBP1	-0.32375
PRSS22	0.598
CASC4	1.0671
CUL4B	-0.0539
CENPJ	-1.1103
PITX1	-0.7305
FLJ31033	1.47516666666667
CELSR3	-0.709333333333333
ZNF568	1.101
ITSN1	-0.25975
EHBP1L1	-0.581
C19orf2	-0.3795
DCTN1	0.68625
LIN28B	-4.1985
TNKS2	-0.00275
C1QBP	-1.0265
CADPS2	2.115
SRMS	0.2825
GJA9	0.419166666666667
MGC24975	-1.00483333333333
TRIM45	-0.316333333333333
TSP50	-0.119
TCP1	-1.5535
TMED7	0.0748
CMA1	1.3
CENPL	-0.751
PTCRA	0.0645
FST	-2.301
VWCE	-3.84275
PAWR	0.021
ABCC12	1.57433333333333
LDLR	-0.7433
ASTN2	0.3763
LOC441212	-1.23775
GPATCH8	0.26075
TANC2	-0.655583333333333
KIF4A	-2.61675
C18orf18	-1.81925
PGM1	-0.607
KIAA0258	0.0205
CPD	0.637375
SNCAIP	2.75225
DCT	-4.15283333333333
HLA-DOA	2.51263636363636
OR11L1	0.0405
UPK1B	-0.149
DNAJB4	0.225375
UGT1A8	0.183
HIST1H4L	-3.1925
PECR	-1.14666666666667
HSPA2	0.51025
WFIKKN1	-2.039
SERP1	0.967375
SYDE2	1.12375
TACR2	-0.1385
NUP85	-0.972
CD177	-0.0493333333333333
LGR5	-2.06483333333333
PIGG	0.100333333333333
PTHR1	-0.387833333333333
RAB5A	0.5288
FLJ13224	0.098
USP9Y	-2.1655
C7orf53	-2.024
LRP1B	-0.02075
XAF1	2.5324
ABCG8	-0.742
ANKDD1A	-0.525833333333333
DAND5	-1.768
SPAG6	0.351166666666667
LINCR	1.11
ZDHHC22	-1.5075
CCDC60	0.1565
THOC7	-0.6415
TCTA	0.8097
OR8K3	0.29175
NY-REN-7	-0.70275
B2M	1.4175
C6orf141	-0.570375
LPPR4	2.18325
SQLE	-1.35675
SEPHS1	-0.715
BTBD14B	0.0882857142857143
PLRG1	-0.0855
SPG7	-0.678125
ZNF614	-0.1615
PARD6G	0.201666666666667
INPP5B	-0.0251
GRPEL2	-0.318875
PPID	-0.5776
TRIM56	0.031
UBE2J1	-0.131
IL20RA	5.214
LOC387856	0.87225
C1orf107	1.03841666666667
UTS2R	-0.1125
C19orf22	0.89675
SAFB2	-0.326125
KIAA0652	0.414875
KLRG1	0.382
MS4A8B	2.14833333333333
FRAG1	0.81825
KIAA1546	0.23775
E2F4	-0.8721
CLEC4M	-0.170333333333333
BTBD14A	-0.90125
KIAA0999	1.4232
GYPA	-3.44466666666667
TAC1	2.6063
TRAIP	-1.51133333333333
KIAA0232	0.8519
ERCC8	-0.8325
GPX4	0.50325
KIAA0368	-0.455
GPR157	-1.44683333333333
CTAGE4	1.337
C9orf30	-0.638333333333333
OR52A1	0.0085
HSP90B3P	0.1425
ALG9	-0.4521
BTBD10	0.454
SDK2	0.4105
BAIAP3	0.858
RABGGTB	-1.3695
ANKRD40	0.0821666666666667
KRT74	0.751
CALCOCO2	0.434357142857143
SNCA	-3.0265
TMSL8	-4.767625
C2orf53	-0.31
ESRRB	-0.36425
ARHGAP26	0.993875
TDRD9	-2.8155
HRAS	-0.516
KLRC4	-1.414
JAGN1	-0.565166666666667
BSDC1	0.32125
RNF43	-0.4842
NDUFAF1	0.6905
PHF12	0.5405
OR1L3	0.401
FOLR2	1.48675
LYZL6	0.356
tcag7.1260	-1.5985
WSB1	-2.26566666666667
PROS1	0.4086
OSTN	0.267
PSMB8	0.9685
SOCS4	-0.2165
DDIT4L	0.74525
MAS1	-0.3715
MGC34796	0.8695
CSHL1	0.183333333333333
TBCCD1	0.273166666666667
ZBTB7C	0.4375
AP2S1	-0.470625
P15RS	0.0703
VAT1	-0.467
SHANK3	0.965
TUFM	-0.152833333333333
THEG	-0.34275
KRT34	-2.03275
SGSM3	0.0225
TOMM22	-0.124
SOCS3	1.488
CPO	0.7145
POP4	0.20825
BHLHB3	2.27275
MALL	1.4725
OR1B1	0.4485
PARK2	0.627833333333333
GPR124	1.54
LCE1E	0.563
RUVBL2	-0.31825
CGRRF1	0.7889
ACPL2	1.20975
WNT10B	-2.664875
BAIAP2L2	-2.34425
ISCA1	0.341
C1orf125	0.416375
RPAP1	-0.5685
RAI16	0.418333333333333
RPL27	-0.372875
NLRP9	0.139
EPN1	0.6075
LOC388610	-0.451
SLC35A1	0.0853
GAL	-2.998
SLC14A2	0.34325
RDH11	-0.5905
FAM138F	-0.025
AUH	0.4715
FLJ40243	0.542
C14orf129	0.392333333333333
MBD2	-0.0795000000000001
ABHD14B	0.779875
PIGT	0.85025
ALS2CR4	-0.286375
ALAS1	-0.0189
FOXO1	2.14716666666667
CRLF3	-0.374
C20orf107	-0.275
FARS2	0.92975
CCDC28A	0.45975
NPHP3	-0.609
OR13F1	0.203
TSEN54	-0.5415
DEFB106B	-0.00559999999999999
OR8B4	0.586
STH	1.23775
ZC3H14	-0.204875
CBX2	-0.244
TMEM49	-0.90425
C6orf21	0.4055
FLJ20920	1.621875
CRTAP	0.4345
DDX50	-0.036
STYXL1	0.40175
BLVRB	-1.15933333333333
LOC147650	-0.685166666666667
MMP24	0.10875
GRID1	2.43783333333333
BANF1	-0.0291666666666667
CTAGEP	0.30775
HMBS	-1.8935
SLC25A24	0.577666666666667
C14orf50	0.91325
MRO	0.435833333333333
SLC25A15	-0.7615
FAM84B	1.3375
TDP1	-0.435
C16orf78	-0.1715
C11orf57	0.114625
RFK	-0.783625
ZFYVE9	-0.546875
STCH	-0.4242
WIBG	0.74825
LOC283871	-0.633166666666667
GBA2	-0.5243
NDUFB3	-0.87475
HSD17B13	0.2845
GRIN3A	0.895166666666667
FMNL1	0.0561666666666667
SEPT7	-0.4745
GNLY	2.4825
GRAMD1C	0.769
ZNF165	-0.2565
USP38	0.595
FAM83A	-3.51166666666667
C14orf24	0.425916666666667
ARMCX3	1.36775
ARHGDIB	1.103
AK1	-0.118625
KIAA1045	0.4225
DNAJB13	-0.2465
NEU2	0.693
HIST1H4B	-1.892
FAM20B	0.1375
HES2	0.861142857142857
FAM73B	-0.5496
LOC388381	0.282
INTS7	0.174636363636364
AMPH	2.12075
ZNF775	-0.57225
UCKL1	-1.08933333333333
C10orf97	0.06375
C1orf161	0.41575
ALDH1L1	0.115
FLJ39378	0.11925
SLC23A1	-1.046
RBM4B	0.27675
THAP4	0.481166666666667
OGFRL1	0.589
KIAA0831	0.126375
PPP1R15A	0.682166666666667
C1orf96	-0.825785714285714
C12orf11	-0.89325
BMF	0.57325
MAN1A1	-0.524
KIAA1600	1.01666666666667
NLGN4X	0.797
ALOX12	-0.960166666666667
RB1CC1	-0.3277
NEIL2	0.495
EIF4E	0.0685
ABHD5	0.233
EXOC4	0.0915
CIP29	0.063
BATF2	1.30625
SLC29A4	-0.578
HTR4	0.36175
EMB	0.4665
TRAF6	0.53075
LMNB1	-3.699
FAM19A5	-0.319875
SHE	1.845
PIK3C2B	1.0165
C15orf15	-0.2968
USP15	-0.397
TCEAL2	1.2025
C5orf39	-0.824833333333333
PTGER2	0.89975
SLC31A1	-0.3439375
IFT172	0.7925
ADAM29	0.4865
GFOD1	-0.7075
ST7L	0.8145
C15orf26	-0.728
PKN3	-0.26425
CNTD1	2.1185
COMMD1	0.082125
NTRK2	3.6435
FOXN3	0.559625
MFGE8	1.2104
PFKFB2	0.0645
TAS2R4	-0.4155
ENTHD1	1.09083333333333
PRMT5	-0.34925
MGC16384	-1.99475
LOC442229	-1.006
TSKU	0.4445
KRTCAP3	2.434375
PDLIM1	1.4314
KCNS2	0.115
RNF126	-0.572
CEP63	0.016875
CLIC4	0.774
hCG_1990170	2.31325
ACR	0.6179
KLK7	2.239
ALOX5AP	3.455
RIPK3	3.65925
TAS2R9	0.286
C19orf18	1.826
BIRC6	0.0148571428571429
ZNF16	1.058
RFT1	0.03475
SLC8A2	-0.53625
TACC1	0.075125
ITGAD	1.422
SAMHD1	1.51625
SH3PXD2B	1.6991
EPC2	0.9635
C20orf85	5.069125
ATP13A2	0.4845
KRT4	0.28625
CAPNS1	0.5315
MDM2	-1.01775
PCDH20	3.0695
KCNK9	0.7225
OR2C1	0.00549999999999999
KLHDC3	-0.525166666666667
IPPK	1.3145
EFHD2	-0.464
GALR3	-0.482
NBEA	0.162333333333333
ABCA6	4.4041
CLDN3	0.411333333333333
AKT2	-0.547714285714286
EGFR	-0.8211
RBM16	0.11025
ZDHHC3	0.3973
SLC25A4	-0.702833333333333
CYB5B	-0.957833333333333
CPXM1	1.479
NDRG1	-1.42730769230769
FLJ43826	0.7545
OR5L2	-0.0378333333333333
FARP2	0.2152
MRPL46	-0.722
LDHAL6B	-0.0445
MAPKAPK3	0.00133333333333333
NCAM2	2.82275
PRKD2	0.6055
ZFP36L1	1.7207
CYSLTR1	-0.14125
OR4C3	0.281
HIST1H2AJ	0.093
CCNB2	-2.96033333333333
ZNF10	-0.3165
TMEM175	-0.039
FAM134A	1.05666666666667
TIGD4	0.275
PCNP	0.0145
MGC39715	0.362
LQK1	-0.59975
CREB1	0.7885
TMPRSS3	2.5455
C4orf32	1.424
LAT	-1.27491666666667
KCNA3	-0.009
SKIV2L2	-0.338
ROPN1B	0.23125
tcag7.23	-0.045
CDT1	-3.15925
ZHX2	1.427
CD28	-2.79975
ZNF624	0.7865
SEPT2	0.4025
SOHLH2	-1.33175
MCOLN3	-0.82875
UNQ1945	-0.062
MASP2	-1.4645
ZNRF3	-0.4638
GPATCH3	-0.08375
AGL	0.486
QRICH2	-0.0435
PSD4	1.06816666666667
CCNB1IP1	-1.51675
ENPP7	0.27675
OBFC1	0.4925
KCNG3	-2.2395
C14orf79	1.29241666666667
ENPEP	2.563
SCT	1.868
SKI	0.42425
SEC61G	-1.7025
CAPN11	1.0995
ATXN7L3	0.421
DBNDD1	0.182166666666667
FAIM	0.10725
ANKRD36	-1.6945
GABRP	3.864
TACSTD2	2.19983333333333
EIF3J	-0.49075
PPP2R2A	-0.4205
TEKT4	0.021
PVALB	-3.5535
F10	-1.88016666666667
FAM134C	1.1816
COMP	4.452875
EFCBP1	-1.8909375
SCLT1	0.1195
TAL1	-1.0142
ACSL1	0.6405
ABCC5	-1.03783333333333
ABL1	-0.171833333333333
RBBP7	-0.00266666666666667
PTPRG	-0.7355
NCOR1	-0.225
SPINK4	0.111
TXNRD1	-1.9229
TNRC15	0.208
C9orf138	1.2845
UBE2H	1.064
BRDT	0.0631666666666667
C8orf31	-0.051
CCNE2	-2.31263636363636
SLC6A8	-1.536875
CALCR	-4.172
PPP1CB	1.17825
ABHD8	0.02425
ARF5	0.0167
SLC24A4	0.72
CCT3	0.1535
ZNF121	0.501125
SLC3A2	-0.6432
OR13A1	0.062
SLC5A10	-0.63625
RAD50	0.293625
IER5	-0.09825
MTHFD1L	-2.394625
MBTPS2	-0.3605
MVK	-0.38225
NCL	-0.4082
PSMD10	-0.31925
MOBP	0.106125
FLJ32894	0.7385
HRH1	-0.239833333333333
C5orf30	0.3395
NUDT16L1	0.9524
RASGRP3	3.513
PRKRIP1	-0.4363
CCDC75	-0.657
LOC253970	0.071
KIAA1239	0.58325
MED21	-0.42375
SYT11	0.66975
NTSR2	-0.0115
EGFL11	0.081
CXorf59	0.575
OR2A25	0.191
SPTBN2	-1.17125
LRMP	-1.29283333333333
RNF111	0.24375
PTH	0.6795
LOC619208	0.453166666666667
KIAA0895	0.5595
RANBP5	-0.658
P2RY10	1.288
NME5	4.623
DDX21	-0.658
LRSAM1	0.4815
HDAC11	1.572
VMO1	0.61975
NOLA2	-0.3355
ADAR	1.25066666666667
MTO1	-1.28333333333333
SF4	0.410333333333333
P2RX1	0.207333333333333
HBM	-0.1805
EN2	-0.4365
C14orf172	-0.35275
TM9SF2	0.6321
INHBE	-0.744166666666667
TCTE3	-0.554416666666667
TOX2	-2.406
CTAGE3	0.121625
HBB	3.2917
MED15	-0.266333333333333
CASR	0.29175
C6orf66	-2.03716666666667
MTPN	-0.812375
UNC50	-0.00425
C21orf33	-0.056
IRF2	0.949875
PGR	2.15866666666667
GPR84	1.98025
CROCCL1	-2.8355
SRPX	0.29025
BRE	0.479666666666667
FGF10	4.737
SDC3	0.655833333333333
ZRSR1	0.8035
DKFZP434P211	-0.024
SOX6	0.718
RPUSD2	-0.36325
C14orf173	-0.212833333333333
MAPK11	-0.0845
TBC1D22A	0.6915
FAM123A	-0.2945
COL4A6	1.63383333333333
TOMM70A	-0.1395
NAB1	0.039
MGC16385	-0.588625
TSPAN18	-0.236833333333333
MED31	-0.90625
PLG	-0.34525
CAPSL	4.359
ZNF532	1.3293
ASB14	0.19175
CA8	1.3315
NUDT16P	1.5325
SLFN11	-0.355
LRRIQ2	-0.181875
NOL7	-0.653166666666667
BRMS1L	-0.462
JARID1A	-0.0161666666666667
PANK2	-0.4415
ICAM3	-0.37475
MDS1	-0.53025
TAF8	0.32525
RNF139	0.7155
ZNF594	-0.417666666666667
ADAM8	1.95825
SFTPC	-0.06375
MAN2B2	1.76675
RGS12	0.412625
EIF1AY	-4.8755
LRRIQ1	1.44
GPR150	-0.15825
CCDC21	-1.18766666666667
PRRG3	0.62925
SAA4	-3.15225
RAPGEF5	0.634875
ZCCHC2	0.173083333333333
MGC39372	2.833
PPP4R2	0.315333333333333
CDCA2	-2.26166666666667
OR4D5	0.370666666666667
PTGFRN	1.4348
SIGLEC5	1.44216666666667
C19orf61	0.0971666666666667
NMUR2	0.5955
KIAA1586	-0.463333333333333
DAGLA	0.188666666666667
CHCHD6	-0.7365
GPR32	1.047
NEUROD6	0.170833333333333
SLC2A4RG	0.229125
CA5B	-0.40175
FBXL3	1.788
MPHOSPH9	-1.25525
HMG2L1	0.22325
HCN4	-0.182666666666667
CEACAM19	0.2485
SH2D4B	0.417833333333333
HFE2	-0.6235
TGM4	0.0595
LYPD2	0.02475
TBC1D15	0.09375
MRPS21	-0.3549
NONO	-0.6706
CLEC5A	2.31725
ITCH	-0.5169
MGAT3	-0.7235
MBP	-0.385625
RPP25	-1.95025
SOSTDC1	1.20225
HRC	-1.00725
TRIM48	0.4575
TMEM133	0.40075
ECEL1P2	-1.26925
HOXC11	-0.776
DOK5	-0.0305
HELZ	0.0573333333333333
LOC348180	-0.85925
MGC33894	0.18775
ADRB3	0.1605
DMD	0.173
PTRH2	-0.51
MPEG1	3.04183333333333
NDUFA12	-0.585
KRTAP2-4	-0.181333333333333
STAMBPL1	-1.05583333333333
ADCY2	0.0752
UNQ6125	0.228
KLHL20	0.236833333333333
SRM	-0.98775
OTC	0.12225
TMIE	0.223666666666667
SNX8	-0.64825
LIPK	0.402
CHURC1	0.813
KLC2	0.126333333333333
HDAC1	-0.643166666666667
FAM128A	-0.1955
FNDC3B	-0.0357
MTCP1	-0.4385
WFDC10B	0.0533
PCDHGB3	-0.031
ATRNL1	-2.4675
CAV2	0.628875
MED26	0.299333333333333
DUS1L	0.32275
CHRM3	-1.509625
NEK9	1.35425
WARS2	0.3935
TBX22	-0.6625
TOMM40	-0.79675
RP6-213H19.1	-1.9775
TUBGCP5	-0.32925
IGSF6	4.159
TPPP	0.706166666666667
UNQ6190	-0.042
GSTM5	1.51325
BTD	1.647
PDCD1LG2	0.962333333333333
SNRPB2	-1.11033333333333
ERICH1	-0.377
APOA4	-1.532
HOXA11	-0.7655
NARG1	-0.688375
MKX	0.73775
RAB28	-0.0382142857142857
PKP3	1.31725
SH3GL2	-1.48275
CTSO	3.759
RPN2	-0.3695625
IL28RA	-0.178333333333333
SFMBT1	0.003
WDR57	-0.668
FER1L3	1.20641666666667
HSF5	0.2325
TTC9B	0.179
C4BPA	-2.92166666666667
ALB	-4.60271428571429
SORBS3	0.486625
UPF2	-0.806
JPH1	-0.1395
AGBL2	1.01975
DOPEY1	0.9745
TERF1	-0.331333333333333
KIF22	-0.7085
NINJ1	1.3855
SEC61A2	-0.93825
HIST1H1D	-0.4855
SFXN4	-0.206625
UCP3	-0.5512
ZNF703	0.925
MYL6B	-0.72225
TREM1	2.44475
OR52E6	0.293
CKMT2	1.6115
HLA-C	1.7905
SLC13A3	-1.58216666666667
TIMP4	-0.73075
SLIT2	2.85725
RSF1	0.327055555555556
LONRF1	-0.654428571428571
MON1A	-0.191333333333333
CACNG6	-1.93433333333333
DPPA4	-5.626
ZSWIM3	-0.52425
ZNF804A	0.754333333333333
CCIN	1.62125
SLC25A31	0.4085
KCNMB4	0.18725
RABL5	0.798625
GALNS	-0.4215
STX6	0.530625
HIST1H1C	0.491833333333333
CIDEB	0.69125
CASP4	-0.149166666666667
PDK3	-0.2252
KCNJ11	1.652
TPR	0.18475
ZSCAN20	-0.394
MTX2	-0.43925
HIST1H2BH	0.872
LOC283767	-1.04025
LYRM7	-1.11505555555556
BRD3	-0.1635
HIST1H2BO	0.8255
MAGEB10	-0.3175
SLC45A1	1.72875
SERPINA3	2.2893
KIAA0143	0.80475
KCNJ16	0.837666666666667
KRT79	0.653
FABP2	-0.75375
NUT	-0.196
ZNF57	-0.261
FBXL4	0.216375
CLEC9A	2.268
UGT8	-0.777833333333333
BMP2K	1.26375
MAPK4	-3.191
SLC25A23	-0.1962
HINT1	-0.5558
KRTAP13-1	0.3655
SFXN5	-0.4382
CHCHD2	-0.600583333333333
FAM3D	2.086
NDP	1.835875
RHOBTB1	-0.527333333333333
SLC4A4	-1.377375
RPL38	-0.00900000000000001
HTF9C	-0.471166666666667
AP2A2	0.622125
ZBTB46	0.0185
MAP7D1	0.212875
AOX1	-1.0085
CYR61	1.80116666666667
DTNA	0.275071428571429
JRKL	-0.2855
TMOD3	-0.052
EEA1	0.1501
ADCK5	-1.1075
IL1R1	2.903
KLK3	0.192642857142857
HRSP12	-0.313
KTN1	0.44375
LOH11CR2A	1.6339
RELL2	-1.4635
MAB21L1	2.79725
C20orf59	-0.856333333333333
PHKB	-0.304
ADAM2	-2.18966666666667
TBC1D8B	1.48566666666667
FAM13A1	-0.7075625
LAPTM4B	-1.3355
LCN8	0.104
TMEM147	0.2085
SYT4	-0.307833333333333
XPO7	-0.418
C9orf62	-0.38975
GPR75	0.5935
TRIM5	0.9395
APOC1	-0.610166666666667
RNASE4	1.163
PARD6B	-1.533375
ARID1A	0.581583333333333
TPD52L3	0.1939
RRAGB	1.44933333333333
RCN2	-0.5885
HIST2H2BE	0.6953125
STARD7	-0.4525
SHMT2	-1.00975
KIAA1751	-0.752166666666667
MLYCD	0.274625
LOC162632	-0.9147
UQCRH	-1.55025
RP11-217H1.1	0.1475
SDHA	-0.623833333333333
NCLN	-0.5073
ZNF17	0.720666666666667
RCBTB2	-1.0735
VEGFB	0.1213
RP4-747L4.3	0.00825
COLQ	0.6085
MPN2	-0.939
DRG2	-0.7475
KLRB1	5.13025
ALPK2	-2.47275
DNASE2B	0.25325
FLJ23834	2.4655
AXUD1	2.07533333333333
SAFB	-0.4551
NSUN4	0.19975
RFX2	0.762333333333333
MAPK8IP1	0.118833333333333
FANCD2	-1.02828571428571
ANKZF1	-1.39866666666667
C19orf50	-0.180625
DUSP8	1.2645
SENP5	-0.750125
NFKBIL2	-0.73975
LBR	-2.075375
IGFL1	2.3685
LZTS2	0.64275
IL2RG	0.163875
CCDC51	-0.0825
KLF3	0.927
ANKRD37	-1.5365
KCTD14	-0.114666666666667
FZR1	0.2505
SLC44A4	3.7173
ESPL1	-1.31725
GMPR2	0.4373
TBC1D19	-0.174666666666667
ERGIC1	0.315555555555556
ERBB4	3.3879
TSPAN32	0.353916666666667
MAP4	0.9995
GPHN	-0.465
SLC6A2	0.25575
HIVEP1	1.08975
DFFB	-0.6451
EIF4EBP2	0.729
DMRT1	-0.44425
HSPB6	-0.0485
IER2	0.62
AIFM1	-0.29225
WWC2	0.34925
MRPL4	-0.5125
FLJ21062	1.475
EPB41L4A	1.07058333333333
SH2D6	0.16425
TAF4B	-0.5215
GAL3ST3	0.001
MALT1	-0.402333333333333
RTDR1	-0.13575
ARVCF	0.871625
MEX3B	-0.6895
FBXO16	1.4685
KIF7	-0.41
C1QC	3.69083333333333
ZNF783	-0.559166666666667
ZNF85	0.27525
MMP13	6.1305
KIAA0329	0.3505
RTP3	-0.7745
ZBED3	-0.4855
CLGN	1.3915
SLC25A37	-1.022125
hCG_18290	-0.13975
OR5AS1	-0.041
SMARCC2	0.408416666666667
FAM109A	0.211166666666667
CCDC12	-0.2925
USF2	0.5454
DEPDC7	-1.45275
C20orf24	-1.12483333333333
JMJD3	0.5375
DSP	1.64028571428571
SLIC1	0.442375
FAM20A	1.782
IRF2BP2	1.263125
ZNF230	0.26
MSN	0.0835714285714285
SLC9A5	-2.276
EPDR1	-0.5949
MUSK	0.0995
ZNF434	0.671833333333333
SMARCD1	-0.389166666666667
ZFP106	-0.234
ZNF347	0.6943
GTF2E1	-0.1715
RY1	-0.426833333333333
ATAD2B	-0.266375
