Hybridization REF	TCGA-AR-A0TY-01A-12R-A115-07
CIAO1	-0.127
SELL	1.233125
OR8J3	0.3275
LTBP4	0.0865
SIRT6	0.15375
CCL19	4.33325
PPIL1	0.284833333333333
GBP7	-0.18
STK17A	-0.8482
ABR	-0.70625
OR9G1	-0.129
FOXE1	-0.9485
CNGA3	-0.649
GML	0.375
CD38	-2.56225
ZDHHC6	-0.833333333333333
NEFH	-1.92175
CTDSP2	-0.346416666666667
PGBD5	-1.63216666666667
CCNY	0.187428571428571
RMND5B	-0.0561666666666667
ZNF257	2.0435
FLJ22167	0.017
EXOSC7	0.326833333333333
ROR2	0.14275
MAOA	0.138
TNNT3	0.082
GYPC	-1.28775
C7orf33	1.259
PLIN	2.28916666666667
LOC90826	-0.41125
RNF4	-0.6053
F8A1	0.122666666666667
PLEKHG4	0.1605
GRB2	-0.49425
HIST1H2AD	0.023
DUS3L	0.248833333333333
EIF1	-0.839333333333333
RP5-1077B9.4	-0.620166666666667
FPGT	2.067
GDF10	-0.0543333333333333
COQ9	0.0195
GCC2	0.0378571428571429
RARRES3	0.786125
PLXNA1	-0.9283
KIAA0100	-1.5913
PMF1	0.0865
FNDC1	4.95075
HS2ST1	0.642
CRELD2	0.54825
C8G	-0.734
CD82	-0.2295
LIM2	-1.3325
UNQ6490	0.7355
MMP16	3.6365
DRD3	-0.08025
C5orf26	-0.87775
C11orf73	-0.3215
PTP4A2	0.293625
OR4M2	0.3515
HPCA	-0.258166666666667
SEC14L1	0.4145
CHFR	-0.22025
EMILIN1	1.02175
NDUFS4	-0.1365
COL18A1	-0.14175
PDZD3	-0.3893
C9orf16	-0.2055
ERBB2IP	0.536666666666667
EMX2	2.46825
FUS	-0.65075
TF	-3.0749
CLCN4	-1.11083333333333
CXorf56	1.03975
C11orf72	0.62575
ELAC2	-0.617
NPR1	-0.278
ASS1	-2.73916666666667
USP42	0.49625
POLR2J	-0.0525
SEC23IP	0.9715
UQCRC1	-0.49675
LOC729603	-0.5305
C1orf71	0.0100000000000001
POLG	-0.916
ADAM23	-3.002
TFR2	-0.57925
RICTOR	-1.0204
MGC39606	-0.34825
C19orf55	0.12125
SNAPC1	-0.902
GNA11	0.7485
CCDC52	0.617666666666667
FSIP1	4.118
UPF3A	0.5015
IGSF11	-2.56266666666667
LAGE3	0.8895
CHST6	-1.753
UNC13B	-1.26375
TTLL4	-1.718
ZNF687	0.139125
SDC2	-1.6866
COX7A2	0.397
LAMB4	0.175
FAM24A	0.1955
LRRTM3	-1.24233333333333
GPHB5	0.623
OR4C13	-0.534
EIF3EIP	-0.301642857142857
HABP4	-1.6985
TMEM125	2.36575
CNTN2	0.73775
ASNSD1	-0.63825
FUT4	0.217875
ACF	-3.38025
LOC158381	1.1285
CDH8	0.92675
AGPS	-0.7595
C4orf18	2.362625
PECI	-0.409666666666667
UNG	0.067125
GSTP1	-2.63625
DCUN1D5	-1.04633333333333
DKFZP564J0863	-0.07825
SLC9A3R1	1.4415
BCDO2	-1.670875
CHMP7	0.023875
REM2	0.823
DNHD1	-0.712375
FKBP4	0.46175
ZNF350	4.09625
MGC11102	0.74425
BST1	-0.3475
KISS1R	1.136
NCR2	0.593
DEFB125	0.53
UBE2W	1.390625
KRT15	-0.38525
C10orf99	0.3245
SCN11A	-0.12525
GFI1	-2.8805
RDHE2	6.1845
FHL1	-2.02733333333333
OSGEP	-0.399333333333333
GATA1	-2.61433333333333
SMC6	-0.48875
TTTY14	-1.3325
LPIN3	0.926
RPL4	0.1182
RBPMS	0.792
PRPF3	-0.517666666666667
EMR1	-2.6115
SPATA19	-0.81725
XCR1	0.357
IRX3	1.5765
RBM6	-1.58275
KLF4	-0.1071
UNC5CL	-1.058
SEBOX	-0.0965
BTK	-1.14675
KRCC1	0.26575
C6orf27	0.562
SYTL5	0.696
PRND	3.5255
LOC653319	-1.2715
PIGL	-1.129125
HUS1	0.244
SFRS6	0.863166666666667
C17orf77	0.8285
UIMC1	-1.0005
FXYD2	-1.6206
LOC283152	0.38575
ZNF667	-1.3335
ZCCHC12	-0.143
TFEC	2.6107
ATP7B	-1.46083333333333
POLD2	-0.601333333333333
RG9MTD1	-0.02375
ACOT2	1.60833333333333
HIST1H4I	0.033
PPARGC1A	-2.8129
ETFA	1.2829
POLRMT	-0.04125
ZNF146	0.561
MIA2	-2.255
KLHL6	-1.45333333333333
HOXB5	-1.22075
NENF	-0.340166666666667
CUGBP1	0.72125
PRSS22	2.0955
CASC4	2.3477
CUL4B	-0.1071
CENPJ	-0.7807
PITX1	-0.207333333333333
FLJ31033	0.506
CELSR3	-2.08366666666667
ZNF568	0.78625
ITSN1	0.861666666666667
EHBP1L1	-0.549666666666667
C19orf2	-0.00375
DCTN1	-0.16975
LIN28B	-3.8255
TNKS2	0.86575
C1QBP	-0.082375
CADPS2	-0.12175
SRMS	1.40575
GJA9	0.443833333333333
MGC24975	-0.0153333333333333
TRIM45	-0.522333333333333
TSP50	0.33475
TCP1	-0.5395
TMED7	0.4904
CMA1	1.058
CENPL	0.325166666666667
PTCRA	0.2695
FST	-3.6775
VWCE	-3.2385
PAWR	0.8385
ABCC12	2.46716666666667
LDLR	-0.2582
ASTN2	-0.185
LOC441212	-0.979875
GPATCH8	-0.54525
TANC2	0.1465
KIF4A	-0.68125
C18orf18	-0.259
PGM1	-0.39125
KIAA0258	0.211
CPD	-0.471125
SNCAIP	-1.62
DCT	-3.9055
HLA-DOA	2.66436363636364
OR11L1	0.4475
UPK1B	-0.851166666666667
DNAJB4	0.342375
UGT1A8	-0.45075
HIST1H4L	0.1495
PECR	-2.5185
HSPA2	-0.6895
WFIKKN1	-1.3305
SERP1	1.67075
SYDE2	4.8165
TACR2	1.3955
NUP85	-1.32575
CD177	-0.729833333333333
LGR5	-2.65183333333333
PIGG	-0.20325
PTHR1	-1.72316666666667
RAB5A	0.7663
FLJ13224	-0.07
USP9Y	-2.15383333333333
C7orf53	-0.9835
LRP1B	-0.85375
XAF1	0.134
ABCG8	-2.06
ANKDD1A	-0.757166666666667
DAND5	-0.982
SPAG6	4.3865
LINCR	-0.5315
ZDHHC22	-0.282
CCDC60	0.677
THOC7	-1.4105
TCTA	1.1819
OR8K3	0.372
NY-REN-7	-1.05325
B2M	0.126333333333333
C6orf141	0.717625
LPPR4	2.16675
SQLE	0.128375
SEPHS1	0.399
BTBD14B	0.896
PLRG1	-0.79125
SPG7	-0.97375
ZNF614	1.47316666666667
PARD6G	1.43966666666667
INPP5B	-0.0847
GRPEL2	0.24975
PPID	-0.7176
TRIM56	-1.4945
UBE2J1	-0.33025
IL20RA	1.213
LOC387856	-0.13625
C1orf107	0.188583333333333
UTS2R	1.1035
C19orf22	-0.38625
SAFB2	0.41825
KIAA0652	0.21675
KLRG1	-0.637666666666667
MS4A8B	-0.2642
FRAG1	0.674
KIAA1546	-0.235
E2F4	-0.614
CLEC4M	0.364833333333333
BTBD14A	-0.6635
KIAA0999	-0.5065
GYPA	-4.00466666666667
TAC1	0.2823
TRAIP	-0.843833333333333
KIAA0232	-0.2529
ERCC8	-0.3435
GPX4	0.612375
KIAA0368	-1.39125
GPR157	-1.04716666666667
CTAGE4	0.984
C9orf30	-1.92266666666667
OR52A1	0.6475
HSP90B3P	0.458
ALG9	-0.3196
BTBD10	0.79625
SDK2	-0.568
BAIAP3	1.03775
RABGGTB	-0.06625
ANKRD40	1.59416666666667
KRT74	0.291
CALCOCO2	-0.570714285714286
SNCA	-3.45525
TMSL8	-4.733
C2orf53	0.4235
ESRRB	-0.57325
ARHGAP26	-2.03325
TDRD9	-3.0385
HRAS	1.35416666666667
KLRC4	-1.568
JAGN1	0.0978333333333333
BSDC1	-0.11475
RNF43	-0.476
NDUFAF1	0.9215
PHF12	0.16425
OR1L3	0.47475
FOLR2	2.89883333333333
LYZL6	0.113
tcag7.1260	-2.115
WSB1	-2.2325
PROS1	-0.3351
OSTN	0.2275
PSMB8	-0.6285
SOCS4	1.00225
DDIT4L	0.11675
MAS1	0.0425
MGC34796	1.46625
CSHL1	0.2915
TBCCD1	0.133833333333333
ZBTB7C	0.653
AP2S1	0.032375
P15RS	0.6769
VAT1	-1.2688
SHANK3	1.12633333333333
TUFM	-0.101666666666667
THEG	-0.676
KRT34	-2.2475
SGSM3	-0.48125
TOMM22	0.133125
SOCS3	1.12683333333333
CPO	-0.7435
POP4	0.69075
BHLHB3	-0.618
MALL	0.98175
OR1B1	0.7035
PARK2	0.201333333333333
GPR124	-0.042875
LCE1E	0.867
RUVBL2	-0.14925
CGRRF1	-0.047
ACPL2	-0.247
WNT10B	-0.91175
BAIAP2L2	-1.65725
ISCA1	-0.09
C1orf125	-1.067625
RPAP1	-0.80525
RAI16	-0.277666666666667
RPL27	-0.916125
NLRP9	0.1005
EPN1	0.432
LOC388610	-1.759375
SLC35A1	0.8291
GAL	-3.0425
SLC14A2	0.33225
RDH11	-0.8155
FAM138F	0.314
AUH	-1.36125
FLJ40243	0.2035
C14orf129	0.957833333333333
MBD2	-0.163166666666667
ABHD14B	0.071625
PIGT	0.30625
ALS2CR4	-1.503125
ALAS1	-0.4753
FOXO1	0.295166666666667
CRLF3	-0.577875
C20orf107	1.224
FARS2	0.8705
CCDC28A	0.2045
NPHP3	-1.4775
OR13F1	0.503
TSEN54	-0.5415
DEFB106B	0.5844
OR8B4	0.2195
STH	-1.25625
ZC3H14	0.00362499999999999
CBX2	-0.7795
TMEM49	1.4655
C6orf21	0.089
FLJ20920	-0.05525
CRTAP	-0.7825
DDX50	-0.36975
STYXL1	0.35175
BLVRB	1.10083333333333
LOC147650	-0.500666666666667
MMP24	0.17075
GRID1	2.3685
BANF1	0.0085
CTAGEP	0.509
HMBS	-1.09625
SLC25A24	0.825
C14orf50	-0.74825
MRO	1.39983333333333
SLC25A15	0.0075
FAM84B	2.0649
TDP1	0.242
C16orf78	-0.2206
C11orf57	0.536625
RFK	0.08575
ZFYVE9	-0.28025
STCH	-0.3639
WIBG	0.8235
LOC283871	-0.279666666666667
GBA2	-1.3511
NDUFB3	-0.5475
HSD17B13	-1.11575
GRIN3A	1.16033333333333
FMNL1	-1.414
SEPT7	0.2749
GNLY	2.22
GRAMD1C	2.11366666666667
ZNF165	0.5565
USP38	0.6655
FAM83A	1.1695
C14orf24	1.83158333333333
ARMCX3	1.0465
ARHGDIB	-1.18216666666667
AK1	-0.32625
KIAA1045	-0.156
DNAJB13	-0.8975
NEU2	0.587
HIST1H4B	-0.223
FAM20B	0.062
HES2	0.385071428571429
FAM73B	-0.9957
LOC388381	0.075
INTS7	-0.0283636363636364
AMPH	0.72025
ZNF775	0.577
UCKL1	-0.233166666666667
C10orf97	0.7815
C1orf161	-0.12375
ALDH1L1	-0.89125
FLJ39378	0.13825
SLC23A1	-1.796
RBM4B	0.534
THAP4	-0.1055
OGFRL1	0.13925
KIAA0831	-0.50925
PPP1R15A	0.0995
C1orf96	0.848142857142857
C12orf11	-1.902
BMF	0.5415
MAN1A1	-1.63625
KIAA1600	0.594166666666667
NLGN4X	4.54525
ALOX12	-1.3395
RB1CC1	0.5528
NEIL2	-0.1617
EIF4E	-0.208954545454545
ABHD5	1.01975
EXOC4	-0.546666666666667
CIP29	-0.484333333333333
BATF2	1.40075
SLC29A4	-0.6875
HTR4	0.27675
EMB	0.65875
TRAF6	0.69375
LMNB1	-0.3555
FAM19A5	-1.6365
SHE	2.33025
PIK3C2B	0.7755
C15orf15	-0.2502
USP15	0.3154
TCEAL2	0.3925
C5orf39	-0.218
PTGER2	-2.138
SLC31A1	-0.4639375
IFT172	-0.493
ADAM29	1.12675
GFOD1	-0.671
ST7L	1.21016666666667
C15orf26	-1.47525
PKN3	-0.76
CNTD1	2.4835
COMMD1	0.614
NTRK2	2.47933333333333
FOXN3	0.385
MFGE8	-1.3038
PFKFB2	0.381
TAS2R4	-0.3955
ENTHD1	0.585
PRMT5	-0.6325
MGC16384	-1.661875
LOC442229	-1.4085
TSKU	1.716875
KRTCAP3	3.025875
PDLIM1	1.0952
KCNS2	0.149
RNF126	0.0561666666666667
CEP63	0.28875
CLIC4	-0.6805
hCG_1990170	-0.13
ACR	0.1656
KLK7	0.34775
ALOX5AP	1.403875
RIPK3	4.0645
TAS2R9	0.4105
C19orf18	2.7605
BIRC6	0.0783571428571429
ZNF16	0.4215
RFT1	-0.63975
SLC8A2	-0.2585
TACC1	-0.599
ITGAD	1.111
SAMHD1	0.93325
SH3PXD2B	0.5517
EPC2	0.897
C20orf85	0.255857142857143
ATP13A2	-0.2495
KRT4	0.31175
CAPNS1	0.361
MDM2	0.76625
PCDH20	0.0865
KCNK9	0.719
OR2C1	0.202
KLHDC3	-0.835
IPPK	0.651
EFHD2	0.4915
GALR3	1.195
NBEA	-0.336333333333333
ABCA6	2.493
CLDN3	2.62983333333333
AKT2	-0.00257142857142857
EGFR	-2.2141
RBM16	0.51
ZDHHC3	1.1002
SLC25A4	-0.483166666666667
CYB5B	0.0911666666666667
CPXM1	0.287
NDRG1	-1.58969230769231
FLJ43826	0.16825
OR5L2	0.3175
FARP2	-0.0934
MRPL46	0.505083333333333
LDHAL6B	0.313333333333333
MAPKAPK3	-0.7395
NCAM2	-3.4375
PRKD2	-0.3145
ZFP36L1	0.4794
CYSLTR1	-0.53325
OR4C3	-0.4055
HIST1H2AJ	1.424
CCNB2	-0.708333333333333
ZNF10	-0.472875
TMEM175	0.813
FAM134A	0.0255
TIGD4	-1.286
PCNP	-0.56025
MGC39715	0.42025
LQK1	-0.44525
CREB1	0.7717
TMPRSS3	-2.224
C4orf32	1.249375
LAT	-2.06033333333333
KCNA3	-0.7125
SKIV2L2	-0.857
ROPN1B	-2.76725
tcag7.23	-0.011
CDT1	-2.0375
ZHX2	2.1145
CD28	-1.675
ZNF624	0.9185
SEPT2	-0.312333333333333
SOHLH2	-1.87525
MCOLN3	-1.89242857142857
UNQ1945	0.7295
MASP2	-1.2135
ZNRF3	0.1253
GPATCH3	-0.77625
AGL	2.29675
QRICH2	0.0495
PSD4	0.820833333333333
CCNB1IP1	-1.68075
ENPP7	1.05925
OBFC1	0.21975
KCNG3	-0.8785
C14orf79	-0.394666666666667
ENPEP	2.56516666666667
SCT	0.347
SKI	0.734375
SEC61G	-0.2215
CAPN11	0.31
ATXN7L3	-1.30075
DBNDD1	0.4325
FAIM	1.3725
ANKRD36	0.359
GABRP	1.66583333333333
TACSTD2	2.51683333333333
EIF3J	0.47675
PPP2R2A	-1.129
TEKT4	-0.657666666666667
PVALB	-3.212
F10	-2.08033333333333
FAM134C	0.3213
COMP	1.453125
EFCBP1	-2.7091875
SCLT1	1.006625
TAL1	-0.8744
ACSL1	-0.66675
ABCC5	1.85191666666667
ABL1	-1.03316666666667
RBBP7	-0.132583333333333
PTPRG	-1.2885
NCOR1	0.2073
SPINK4	-0.833666666666667
TXNRD1	-0.1551
TNRC15	1.091125
C9orf138	-0.205875
UBE2H	1.31116666666667
BRDT	2.7385
C8orf31	-0.3075
CCNE2	0.583272727272727
SLC6A8	-1.671875
CALCR	-4.69175
PPP1CB	0.976666666666667
ABHD8	-0.118
ARF5	-0.1309
SLC24A4	0.6395
CCT3	-0.1345
ZNF121	1.64125
SLC3A2	-0.8817
OR13A1	0.5915
SLC5A10	0.97975
RAD50	-0.957625
IER5	0.701125
MTHFD1L	-2.197875
MBTPS2	0.605
MVK	0.688625
NCL	0.0616
PSMD10	0.20225
MOBP	0.122125
FLJ32894	1.7535
HRH1	-0.214166666666667
C5orf30	0.34975
NUDT16L1	0.8278
RASGRP3	3.87216666666667
PRKRIP1	-0.3605
CCDC75	0.93425
LOC253970	0.3455
KIAA1239	-0.15775
MED21	-0.72075
SYT11	0.0718333333333333
NTSR2	-0.396
EGFL11	1.148
CXorf59	0.3795
OR2A25	0.676
SPTBN2	-0.806
LRMP	-1.33016666666667
RNF111	0.32125
PTH	0.674
LOC619208	0.167
KIAA0895	1.2315
RANBP5	-1.29625
P2RY10	0.163333333333333
NME5	-0.2445
DDX21	-0.19575
LRSAM1	-0.041
HDAC11	1.34316666666667
VMO1	0.98875
NOLA2	-0.562666666666667
ADAR	0.17275
MTO1	-1.14516666666667
SF4	0.139833333333333
P2RX1	-0.129
HBM	0.663
EN2	0.966
C14orf172	0.7685
TM9SF2	1.1942
INHBE	-1.60933333333333
TCTE3	0.721416666666667
TOX2	-2.9565
CTAGE3	1.15025
HBB	4.1889
MED15	-1.1695
CASR	0.42075
C6orf66	-0.5495
MTPN	0.01075
UNC50	-0.49825
C21orf33	1.38925
IRF2	0.792875
PGR	-2.39166666666667
GPR84	0.73825
CROCCL1	-3.08875
SRPX	-1.83325
BRE	-0.28
FGF10	1.092
SDC3	-0.65
ZRSR1	0.247333333333333
DKFZP434P211	-0.398125
SOX6	-0.852
RPUSD2	0.058
C14orf173	0.031
MAPK11	-0.5675
TBC1D22A	0.4655
FAM123A	-1.0905
COL4A6	-3.41466666666667
TOMM70A	0.6525
NAB1	-1.952625
MGC16385	-0.074375
TSPAN18	1.02533333333333
MED31	-0.544
PLG	-0.64825
CAPSL	-0.9395
ZNF532	1.3062
ASB14	-0.22825
CA8	-3.801
NUDT16P	2.9165
SLFN11	-1.7715
LRRIQ2	0.668375
NOL7	0.0745
BRMS1L	-0.030375
JARID1A	0.327666666666667
PANK2	-1.45375
ICAM3	0.41925
MDS1	-0.3545
TAF8	0.00549999999999999
RNF139	2.73425
ZNF594	0.0266666666666667
ADAM8	-0.096375
SFTPC	-0.505
MAN2B2	0.665875
RGS12	0.2270625
EIF1AY	-4.7795
LRRIQ1	-2.041
GPR150	1.0505
CCDC21	-1.37466666666667
PRRG3	0.75275
SAA4	-3.6585
RAPGEF5	1.3005
ZCCHC2	1.11608333333333
MGC39372	-0.483
PPP4R2	0.279
CDCA2	-0.6035
OR4D5	0.157166666666667
PTGFRN	0.9003
SIGLEC5	1.53416666666667
C19orf61	-0.104833333333333
NMUR2	-0.0115
KIAA1586	-2.5895
DAGLA	1.093
CHCHD6	0.0465
GPR32	0.674
NEUROD6	0.118
SLC2A4RG	0.3405
CA5B	1.39125
FBXL3	1.40775
MPHOSPH9	-0.2115
HMG2L1	0.1855
HCN4	0.566166666666667
CEACAM19	-0.03
SH2D4B	0.365333333333333
HFE2	-0.942
TGM4	0.0188333333333333
LYPD2	0.24525
TBC1D15	0.3405
MRPS21	-0.189
NONO	-0.2804
CLEC5A	0.84325
ITCH	0.1208
MGAT3	-0.701833333333333
MBP	-1.4225
RPP25	1.537
SOSTDC1	-1.322
HRC	-1.2665
TRIM48	0.195
TMEM133	-0.909
ECEL1P2	-1.443
HOXC11	-0.409
DOK5	-1.66775
HELZ	2.13866666666667
LOC348180	-0.673
MGC33894	0.34475
ADRB3	0.1695
DMD	0.466666666666667
PTRH2	1.9605
MPEG1	3.30866666666667
NDUFA12	0.454333333333333
KRTAP2-4	-0.00274999999999997
STAMBPL1	-2.27366666666667
ADCY2	-1.4906
UNQ6125	-0.0055
KLHL20	0.8025
SRM	-0.38675
OTC	-0.07225
TMIE	0.871833333333333
SNX8	0.88675
LIPK	0.664
CHURC1	0.467833333333333
KLC2	0.405166666666667
HDAC1	-0.613333333333333
FAM128A	0.369
FNDC3B	-0.3711
MTCP1	-0.205333333333333
WFDC10B	-0.6542
PCDHGB3	0.752
ATRNL1	-3.6398
CAV2	-1.201375
MED26	0.390833333333333
DUS1L	-0.53525
CHRM3	-0.85425
NEK9	0.26525
WARS2	0.787
TBX22	0.056
TOMM40	-0.131
RP6-213H19.1	3.2725
TUBGCP5	-0.05775
IGSF6	5.3815
TPPP	0.972166666666667
UNQ6190	-0.0715
GSTM5	1.6815
BTD	0.977166666666667
PDCD1LG2	-0.742166666666667
SNRPB2	0.134333333333333
ERICH1	-0.42225
APOA4	-1.233125
HOXA11	-2.25025
NARG1	-0.30025
MKX	-2.22866666666667
RAB28	-0.418714285714286
PKP3	1.63625
SH3GL2	-3.1185
CTSO	4.1125
RPN2	1.7223125
IL28RA	-0.9855
SFMBT1	-0.29525
WDR57	-0.780625
FER1L3	1.71408333333333
HSF5	0.620333333333333
TTC9B	1.11025
C4BPA	-3.40333333333333
ALB	0.128714285714286
SORBS3	0.426375
UPF2	0.606
JPH1	-0.6455
AGBL2	-0.9045
DOPEY1	1.49
TERF1	-0.195416666666667
KIF22	-0.0693333333333333
NINJ1	0.67275
SEC61A2	0.0641666666666667
HIST1H1D	0.974166666666667
SFXN4	0.080125
UCP3	0.0243
ZNF703	1.94283333333333
MYL6B	-0.851
TREM1	1.36375
OR52E6	1.0005
CKMT2	0.0825
HLA-C	0.59925
SLC13A3	-0.300666666666667
TIMP4	-2.64225
SLIT2	2.14975
RSF1	0.577555555555555
LONRF1	-0.836714285714286
MON1A	-0.566333333333333
CACNG6	2.9755
DPPA4	-4.70966666666667
ZSWIM3	1.03175
ZNF804A	0.133833333333333
CCIN	1.304
SLC25A31	0.4985
KCNMB4	-1.12875
RABL5	0.121625
GALNS	-0.6782
STX6	0.750875
HIST1H1C	-0.824166666666667
CIDEB	0.940625
CASP4	0.188833333333333
PDK3	-0.15
KCNJ11	1.765
TPR	-0.537625
ZSCAN20	-1.1715
MTX2	-0.67875
HIST1H2BH	0.697
LOC283767	0.451
LYRM7	-1.75794444444444
BRD3	-0.900333333333333
HIST1H2BO	0.15375
MAGEB10	0.742
SLC45A1	-0.01475
SERPINA3	-0.49785
KIAA0143	0.411
KCNJ16	-1.11783333333333
KRT79	0.255
FABP2	-2.16033333333333
NUT	-1.29075
ZNF57	0.967
FBXL4	0.00275
CLEC9A	1.131
UGT8	-1.80666666666667
BMP2K	-0.088
MAPK4	-3.1895
SLC25A23	-0.0393
HINT1	-1.26
KRTAP13-1	-0.419
SFXN5	0.3234
CHCHD2	1.04766666666667
FAM3D	1.633
NDP	-3.306125
RHOBTB1	0.659333333333333
SLC4A4	-2.116625
RPL38	-0.06125
HTF9C	-0.783666666666667
AP2A2	0.505375
ZBTB46	0.3165
MAP7D1	-0.824875
AOX1	-2.33816666666667
CYR61	0.68425
DTNA	-0.484571428571429
JRKL	0.356
TMOD3	0.6865
EEA1	0.1879
ADCK5	-0.72525
IL1R1	0.0798333333333333
KLK3	0.399714285714286
HRSP12	-0.4875
KTN1	-0.21425
LOH11CR2A	0.4209
RELL2	-0.20075
MAB21L1	0.699
C20orf59	0.248333333333333
PHKB	-0.3315
ADAM2	5.56716666666667
TBC1D8B	1.61833333333333
FAM13A1	-2.169875
LAPTM4B	0.6975
LCN8	0.5025
TMEM147	0.6955
SYT4	-0.2828
XPO7	-1.3345
C9orf62	1.1125
GPR75	0.1705
TRIM5	1.23425
APOC1	-1.63316666666667
RNASE4	-0.761
PARD6B	-0.212875
ARID1A	-0.16325
TPD52L3	0.1743
RRAGB	0.655833333333333
RCN2	-0.106666666666667
HIST2H2BE	-0.36925
STARD7	-0.1975
SHMT2	-1.01875
KIAA1751	-0.138
MLYCD	0.777
LOC162632	1.377
UQCRH	-0.9345
RP11-217H1.1	1.6395625
SDHA	-0.690333333333333
NCLN	0.1179
ZNF17	0.761333333333333
RCBTB2	-1.8345
VEGFB	-0.8127
RP4-747L4.3	-0.04825
COLQ	0.1862
MPN2	0.415166666666667
DRG2	-0.3055
KLRB1	5.178
ALPK2	-4.00875
DNASE2B	1.179
FLJ23834	-1.38483333333333
AXUD1	1.136
SAFB	0.4624
NSUN4	-0.349
RFX2	0.784166666666667
MAPK8IP1	-0.2825
FANCD2	-0.137285714285714
ANKZF1	-1.86416666666667
C19orf50	-0.25
DUSP8	0.1475
SENP5	0.803875
NFKBIL2	-0.4515
LBR	-0.687125
IGFL1	0.088
LZTS2	0.568
IL2RG	-1.29225
CCDC51	-0.72625
KLF3	-0.15825
ANKRD37	-2.662
KCTD14	-2.12566666666667
FZR1	0.791333333333333
SLC44A4	3.6154
ESPL1	-0.461125
GMPR2	-0.6209
TBC1D19	-1.6755
ERGIC1	-0.382037037037037
ERBB4	3.5504
TSPAN32	-0.00491666666666666
MAP4	-0.65075
GPHN	-1.576
SLC6A2	-0.596125
HIVEP1	0.75725
DFFB	-0.9454
EIF4EBP2	0.4425
DMRT1	-1.16825
HSPB6	0.14875
IER2	0.937833333333333
AIFM1	0.33575
WWC2	-0.0416666666666667
MRPL4	-0.0305
FLJ21062	-0.921
EPB41L4A	-0.0615833333333333
SH2D6	0.2405
TAF4B	0.00875
GAL3ST3	-0.4595
MALT1	-1.5275
RTDR1	-0.32775
ARVCF	-0.225
MEX3B	-0.7445
FBXO16	2.74875
KIF7	-1.62675
C1QC	4.14966666666667
ZNF783	-0.652
ZNF85	1.601
MMP13	5.3405
KIAA0329	-0.172375
RTP3	-1.264
ZBED3	-1.0775
CLGN	-4.28875
SLC25A37	-2.099
hCG_18290	0.24575
OR5AS1	0.765
SMARCC2	0.251666666666667
FAM109A	0.349
CCDC12	0.1895
USF2	0.7285
DEPDC7	-3.89675
C20orf24	-0.0238333333333333
JMJD3	0.46
DSP	-2.32471428571429
SLIC1	0.274
FAM20A	1.010875
IRF2BP2	0.4025
ZNF230	0.088
MSN	-1.08035714285714
SLC9A5	-0.6445
EPDR1	-2.0101
MUSK	0.635333333333333
ZNF434	0.321666666666667
