Hybridization REF	TCGA-B6-A0WS-01A-11R-A115-07
CENPL	-1.45933333333333
PTCRA	0.776
FST	-2.7315
VWCE	-3.5295
PAWR	-0.72275
ABCC12	-0.159666666666667
LDLR	-0.9058
ASTN2	1.328
LOC441212	-0.904125
GPATCH8	-0.00575000000000002
TANC2	-0.263916666666667
KIF4A	-2.27675
C18orf18	-0.2565
PGM1	-0.384
KIAA0258	0.51875
CPD	0.95025
SNCAIP	-0.1925
DCT	-4.70516666666667
HLA-DOA	3.02518181818182
OR11L1	0.5075
UPK1B	-0.4735
DNAJB4	-0.205625
UGT1A8	-0.02725
HIST1H4L	-2.057
PECR	-2.01966666666667
HSPA2	2.90575
WFIKKN1	0.4
SERP1	0.4265
SYDE2	2.72725
TACR2	0.3075
NUP85	-0.8875
CD177	0.8835
LGR5	-2.42466666666667
PIGG	-0.18225
PTHR1	-0.333166666666667
RAB5A	-0.3963
FLJ13224	0.3595
USP9Y	-2.1684
C7orf53	-1.146
LRP1B	-0.1095
XAF1	3.0585
ABCG8	-0.4345
ANKDD1A	-0.800333333333333
DAND5	-1.475
SPAG6	0.148166666666667
LINCR	1.4525
ZDHHC22	-1.353625
CCDC60	-0.4295
THOC7	-1.45466666666667
TCTA	1.4827
OR8K3	-0.07575
NY-REN-7	-0.52975
B2M	1.92116666666667
C6orf141	-0.2505
LPPR4	2.60725
SQLE	0.30975
SEPHS1	-0.54375
BTBD14B	0.987357142857143
PLRG1	-0.54025
SPG7	-0.6728125
ZNF614	-1.00483333333333
PARD6G	1.25816666666667
INPP5B	-1.0321
GRPEL2	-0.709125
PPID	-0.9255
TRIM56	0.10275
UBE2J1	-0.119875
IL20RA	2.3445
LOC387856	0.3
C1orf107	0.214416666666667
UTS2R	1.5065
C19orf22	0.8435
SAFB2	-0.673375
KIAA0652	0.580125
KLRG1	0.409333333333333
MS4A8B	0.3445
FRAG1	0.48575
KIAA1546	0.0705
E2F4	-1.1369
CLEC4M	-0.107833333333333
BTBD14A	-0.72825
KIAA0999	0.6029
GYPA	-4.397
TAC1	0.4702
TRAIP	-1.9325
KIAA0232	1.0766
ERCC8	-1.346625
GPX4	1.519625
KIAA0368	-0.109
GPR157	-0.294666666666667
CTAGE4	-0.503
C9orf30	-1.24716666666667
OR52A1	0.5065
HSP90B3P	-0.941
ALG9	-1.1505
BTBD10	0.1865
SDK2	1.594
BAIAP3	0.85125
RABGGTB	-0.297375
ANKRD40	-0.348666666666667
KRT74	0.3745
CALCOCO2	0.2585
SNCA	-3.7045
TMSL8	-3.53575
C2orf53	0.109
ESRRB	-0.281
ARHGAP26	0.047
TDRD9	-3.39325
HRAS	0.434166666666667
KLRC4	-1.4695
JAGN1	2.77383333333333
BSDC1	0.97525
RNF43	-0.272
NDUFAF1	0.1865
PHF12	0.53875
OR1L3	0.36675
FOLR2	1.90266666666667
LYZL6	0.0418333333333334
tcag7.1260	-2.0395
WSB1	-1.614
PROS1	-0.8027
OSTN	0.6415
PSMB8	0.6755
SOCS4	-0.60875
DDIT4L	3.04175
MAS1	-0.3995
MGC34796	1.819
CSHL1	0.101166666666667
TBCCD1	-0.5625
ZBTB7C	0.523
AP2S1	0.138875
P15RS	0.3885
VAT1	-0.134
SHANK3	1.49316666666667
TUFM	-0.338333333333333
THEG	-0.78925
KRT34	-2.37625
SGSM3	0.694875
TOMM22	-0.00912500000000003
SOCS3	0.67
CPO	0.616
POP4	0.14625
BHLHB3	1.3105
MALL	1.7005
OR1B1	0.8725
PARK2	1.217
GPR124	0.9245
LCE1E	-0.109
RUVBL2	-0.488
CGRRF1	0.1189
ACPL2	0.523
WNT10B	-2.186375
BAIAP2L2	-1.68625
ISCA1	0.202
C1orf125	0.6505
RPAP1	-0.6545
RAI16	-0.5125
RPL27	-0.6825
NLRP9	-0.0995
EPN1	0.582
LOC388610	-1.52325
SLC35A1	0.8553
GAL	-4.53575
SLC14A2	0.21225
RDH11	-0.471666666666667
FAM138F	0.011
AUH	0.57875
FLJ40243	0.2355
C14orf129	0.143333333333333
MBD2	0.395166666666667
ABHD14B	0.05325
PIGT	1.160875
ALS2CR4	-0.4385
ALAS1	-0.3528
FOXO1	1.281
CRLF3	-0.7105
C20orf107	0.0985
FARS2	0.45
CCDC28A	0.9005
NPHP3	-1.3115
OR13F1	0.5875
TSEN54	-0.60225
DEFB106B	0.0758888888888889
OR8B4	-0.0075
STH	2.178
ZC3H14	-1.407875
CBX2	0.037
TMEM49	-1.163
C6orf21	0.276
FLJ20920	1.55975
CRTAP	-0.648857142857143
DDX50	-0.266
STYXL1	-0.27625
BLVRB	0.319333333333333
LOC147650	-0.536166666666667
MMP24	0.096
GRID1	2.37516666666667
BANF1	-0.525166666666667
CTAGEP	-0.4005
HMBS	-2.29275
SLC25A24	0.975666666666667
C14orf50	1.49125
MRO	0.624166666666667
SLC25A15	-1.122
FAM84B	1.6975
TDP1	-1.53
C16orf78	-0.4495
C11orf57	-0.205125
RFK	-0.680375
ZFYVE9	-0.07975
STCH	-0.9578
WIBG	0.82975
LOC283871	0.00633333333333334
GBA2	-0.3174
NDUFB3	0.4905
HSD17B13	-0.53825
GRIN3A	0.723666666666667
FMNL1	0.514166666666667
SEPT7	-0.8534
GNLY	4.146
GRAMD1C	1.55683333333333
ZNF165	-0.6095
USP38	0.8215
FAM83A	-4.1245
C14orf24	0.121666666666667
ARMCX3	0.901
ARHGDIB	3.60383333333333
AK1	0.538125
KIAA1045	0.55825
DNAJB13	-0.495
NEU2	0.449
HIST1H4B	-1.179
FAM20B	-0.2398
HES2	2.07035714285714
FAM73B	-0.1469
LOC388381	0.33925
INTS7	-0.978636363636364
AMPH	2.44975
ZNF775	0.391
UCKL1	-0.763
C10orf97	0.20275
C1orf161	-0.04725
ALDH1L1	-1.43525
FLJ39378	-0.037875
SLC23A1	-1.5725
RBM4B	0.09725
THAP4	0.5745
OGFRL1	0.39575
KIAA0831	-0.369
PPP1R15A	-0.356333333333333
C1orf96	-0.618
C12orf11	-1.6805
BMF	0.980375
MAN1A1	0.761125
KIAA1600	0.525833333333333
NLGN4X	-1.00975
ALOX12	-1.30916666666667
RB1CC1	0.0482
NEIL2	0.2351
EIF4E	-0.135409090909091
ABHD5	-0.654
EXOC4	-0.2165
CIP29	-0.349833333333333
BATF2	1.118
SLC29A4	-0.37225
HTR4	0.791
EMB	0.841
TRAF6	0.624
LMNB1	-2.82975
FAM19A5	1.4755
SHE	1.814
PIK3C2B	1.06275
C15orf15	-1.1178
USP15	-0.0531
TCEAL2	0.251
C5orf39	-0.2135
PTGER2	-1.1965
SLC31A1	-0.57275
IFT172	0.51825
ADAM29	0.60975
GFOD1	0.899
ST7L	-0.0946666666666667
C15orf26	-3.088
PKN3	-1.24675
CNTD1	1.5275
COMMD1	0.8735
NTRK2	2.52916666666667
FOXN3	0.23025
MFGE8	0.4408
PFKFB2	0.966666666666667
TAS2R4	-0.51225
ENTHD1	1.74983333333333
PRMT5	-1.612375
MGC16384	-1.125125
LOC442229	-0.57725
TSKU	0.256375
KRTCAP3	2.604875
PDLIM1	-0.6202
KCNS2	0.27725
RNF126	-0.289833333333333
CEP63	0.070875
CLIC4	0.180125
hCG_1990170	-1.01575
ACR	1.932
KLK7	0.546
ALOX5AP	3.3455
RIPK3	3.823
TAS2R9	0.277
C19orf18	1.1955
BIRC6	-0.123071428571429
ZNF16	0.772
RFT1	-0.757
SLC8A2	-0.3055
TACC1	0.223125
ITGAD	1.4725
SAMHD1	1.04125
SH3PXD2B	1.2124
EPC2	1.1335
C20orf85	3.15325
ATP13A2	1.06066666666667
KRT4	0.510625
CAPNS1	0.9135
MDM2	0.277083333333333
PCDH20	1.289
KCNK9	0.747
OR2C1	0.048
KLHDC3	-0.526666666666667
IPPK	0.4605
EFHD2	0.063
GALR3	1.45325
NBEA	0.461166666666667
ABCA6	3.3372
CLDN3	1.32783333333333
AKT2	0.368571428571429
EGFR	-1.954
RBM16	0.371625
ZDHHC3	-0.2884
SLC25A4	-0.965666666666667
CYB5B	-1.128
CPXM1	1.06375
NDRG1	-1.27238461538462
FLJ43826	0.44525
OR5L2	0.228
FARP2	0.5709
MRPL46	-0.271166666666667
LDHAL6B	0.155666666666667
MAPKAPK3	-0.757166666666667
NCAM2	-2.36225
PRKD2	0.717833333333333
ZFP36L1	1.0369
CYSLTR1	-0.1875
OR4C3	0.30075
HIST1H2AJ	3.659
CCNB2	-2.24322222222222
ZNF10	-1.101375
TMEM175	0.556
FAM134A	1.2975
TIGD4	0.145
PCNP	0.0435
MGC39715	1.10225
LQK1	-1.391
CREB1	0.5235
TMPRSS3	0.6665
C4orf32	0.455
LAT	-0.226
KCNA3	0.584
SKIV2L2	-0.9775
ROPN1B	-3.54375
tcag7.23	-0.3715
CDT1	-2.747625
ZHX2	0.918625
CD28	-1.77675
ZNF624	0.78025
SEPT2	0.175
SOHLH2	-1.479125
MCOLN3	0.0925
UNQ1945	0.554
MASP2	-1.0015
ZNRF3	-0.3509
GPATCH3	0.05425
AGL	0.209375
QRICH2	0.1375
PSD4	1.31
CCNB1IP1	-3.01425
ENPP7	0.08925
OBFC1	0.345
KCNG3	-0.16475
C14orf79	0.426916666666667
ENPEP	1.746
SCT	2.6345
SKI	0.622625
SEC61G	-0.722
CAPN11	0.294
ATXN7L3	0.06875
DBNDD1	-0.413333333333333
FAIM	0.849
ANKRD36	0.1625
GABRP	0.407833333333333
TACSTD2	1.15366666666667
EIF3J	-0.49475
PPP2R2A	-1.16625
TEKT4	-0.751333333333333
PVALB	-3.80366666666667
F10	-2.44
FAM134C	1.0256
COMP	4.670125
EFCBP1	-3.1460625
SCLT1	0.271875
TAL1	-1.3083
ACSL1	0.5965
ABCC5	0.270666666666667
ABL1	-0.460777777777778
RBBP7	-0.892166666666667
PTPRG	-1.316
NCOR1	-0.4869
SPINK4	-0.394333333333333
TXNRD1	-0.7215
TNRC15	0.3955
C9orf138	0.749875
UBE2H	0.869333333333333
BRDT	0.274666666666667
C8orf31	-0.16725
CCNE2	-1.73290909090909
SLC6A8	-2.066875
CALCR	-3.97825
PPP1CB	0.0678333333333333
ABHD8	0.27525
ARF5	-0.0002
SLC24A4	1.16225
CCT3	-0.603
ZNF121	0.82825
SLC3A2	-1.6134
OR13A1	0.469
SLC5A10	1.28125
RAD50	-0.21825
IER5	0.967125
MTHFD1L	-2.032125
MBTPS2	0.347
MVK	0.3115
NCL	-0.5755
PSMD10	-0.293
MOBP	0.470625
FLJ32894	0.997
HRH1	-0.365
C5orf30	0.32275
NUDT16L1	1.2572
RASGRP3	3.8835
PRKRIP1	-0.3157
CCDC75	-0.72475
LOC253970	0.398
KIAA1239	0.53625
MED21	-0.31425
SYT11	0.55775
NTSR2	0.00600000000000001
EGFL11	-0.3195
CXorf59	0.1705
OR2A25	0.56775
SPTBN2	0.47875
LRMP	-0.545333333333333
RNF111	0.019
PTH	0.5935
LOC619208	0.986166666666667
KIAA0895	0.68025
RANBP5	-1.47225
P2RY10	2.31233333333333
NME5	3.99233333333333
DDX21	-1.3255
LRSAM1	0.718
HDAC11	0.930833333333333
VMO1	2.012
NOLA2	-0.0316666666666667
ADAR	1.17183333333333
MTO1	-0.774
SF4	0.341833333333333
P2RX1	-0.273833333333333
HBM	-0.0475
EN2	1.2105
C14orf172	-0.156
TM9SF2	-0.2269
INHBE	-1.18083333333333
TCTE3	0.0989166666666667
TOX2	-2.28075
CTAGE3	-0.33425
HBB	3.4708
MED15	-0.283833333333333
CASR	-0.24225
C6orf66	-0.893666666666667
MTPN	-0.395
UNC50	0.3375
C21orf33	-0.119
IRF2	0.954625
PGR	1.724
GPR84	2.221
CROCCL1	-1.44375
SRPX	-1.56475
BRE	0.371
FGF10	1.7255
SDC3	0.487666666666667
ZRSR1	0.732166666666667
DKFZP434P211	-0.388125
SOX6	-0.7755
RPUSD2	-0.37075
C14orf173	-0.376666666666667
MAPK11	0.654333333333333
TBC1D22A	0.7445
FAM123A	-0.4495
COL4A6	-3.189
TOMM70A	-0.09475
NAB1	-0.3795
MGC16385	-0.005625
TSPAN18	-0.473666666666667
MED31	-0.402
PLG	-0.434
CAPSL	3.565
ZNF532	0.6512
ASB14	0.12825
CA8	1.7385
NUDT16P	2.74083333333333
SLFN11	-0.399
LRRIQ2	0.16475
NOL7	-0.296
BRMS1L	-1.464
JARID1A	0.3715
PANK2	-0.45625
ICAM3	0.0275
MDS1	-0.219
TAF8	-0.96375
RNF139	1.088
ZNF594	-0.27
ADAM8	2.235375
SFTPC	-0.011125
MAN2B2	1.75925
RGS12	0.811375
EIF1AY	-5.16383333333333
LRRIQ1	-1.323
GPR150	2.0275
CCDC21	-1.386
PRRG3	0.129
SAA4	-2.582
RAPGEF5	2.310375
ZCCHC2	0.944666666666667
MGC39372	1.963
PPP4R2	-0.448333333333333
CDCA2	-2.60966666666667
OR4D5	0.394833333333333
PTGFRN	0.9495
SIGLEC5	2.41316666666667
C19orf61	-0.275166666666667
NMUR2	-0.018
KIAA1586	-1.12166666666667
DAGLA	0.755166666666667
CHCHD6	-0.293
GPR32	0.9
NEUROD6	-0.247666666666667
SLC2A4RG	0.501125
CA5B	0.883
FBXL3	0.5375
MPHOSPH9	-1.79925
HMG2L1	0.1045
HCN4	1.1925
CEACAM19	0.522
SH2D4B	0.481666666666667
HFE2	-0.902
TGM4	0.6582
LYPD2	0.131
TBC1D15	-0.11675
MRPS21	-0.5786
NONO	-0.8572
CLEC5A	1.803375
ITCH	-0.2832
MGAT3	-0.511
MBP	0.704
RPP25	-0.97675
SOSTDC1	-1.68525
HRC	-1.2935
TRIM48	-0.091
TMEM133	0.58925
ECEL1P2	-1.57225
HOXC11	-0.256
DOK5	-0.22425
HELZ	0.437833333333333
LOC348180	-0.86575
MGC33894	0.3455
ADRB3	-0.247
DMD	-0.53475
PTRH2	-0.73025
MPEG1	3.30483333333333
NDUFA12	-0.0108333333333333
KRTAP2-4	0.35075
STAMBPL1	-1.23416666666667
ADCY2	1.31
UNQ6125	-0.047
KLHL20	-0.217666666666667
SRM	-0.93275
OTC	0.4155
TMIE	0.0486666666666667
SNX8	-0.10075
LIPK	-0.2885
CHURC1	0.441916666666667
KLC2	0.441833333333333
HDAC1	-0.316
FAM128A	0.7715
FNDC3B	0.1892
MTCP1	-0.0115
WFDC10B	-0.0234
PCDHGB3	0.195
ATRNL1	-2.7893
CAV2	-0.534625
MED26	0.364833333333333
DUS1L	0.08675
CHRM3	-2.139
NEK9	0.21775
WARS2	-0.19875
TBX22	0.342
TOMM40	-0.5265
RP6-213H19.1	1.6475
TUBGCP5	-0.72775
IGSF6	4.8235
TPPP	0.947666666666667
UNQ6190	0.061
GSTM5	3.433125
BTD	-0.346333333333333
PDCD1LG2	0.501
SNRPB2	-0.582833333333333
ERICH1	-0.27875
APOA4	-1.785375
HOXA11	-1.535
NARG1	-0.564125
MKX	-0.55025
RAB28	-0.589285714285714
PKP3	1.5215
SH3GL2	0.04425
CTSO	4.157
RPN2	-0.17075
IL28RA	0.459833333333333
SFMBT1	-0.27475
WDR57	-0.565875
FER1L3	1.6365
HSF5	-0.105
TTC9B	0.5445
C4BPA	-2.4415
ALB	-5.12761538461539
SORBS3	0.849625
UPF2	-0.2155
JPH1	-0.261
AGBL2	0.45775
DOPEY1	1.2015
TERF1	0.0409166666666667
KIF22	-0.4645
NINJ1	2.11025
SEC61A2	-0.257666666666667
HIST1H1D	-1.06033333333333
SFXN4	-0.368125
UCP3	0.255
ZNF703	1.35766666666667
MYL6B	-0.33475
TREM1	0.762
OR52E6	1.049
CKMT2	1.22075
HLA-C	2.670125
SLC13A3	-0.958
TIMP4	-1.70125
SLIT2	2.751
RSF1	0.0956666666666667
LONRF1	-1.51564285714286
MON1A	-0.224
CACNG6	-1.3325
DPPA4	-5.88283333333333
ZSWIM3	-0.15
ZNF804A	0.4028
CCIN	1.89375
SLC25A31	0.25425
KCNMB4	0.3655
RABL5	1.034625
GALNS	0.5318
STX6	0.158875
HIST1H1C	-0.1245
CIDEB	0.16325
CASP4	-0.236666666666667
PDK3	0.3534
KCNJ11	1.898
TPR	-0.55525
ZSCAN20	-0.5645
MTX2	-0.442
HIST1H2BH	-0.1485
LOC283767	1.878
LYRM7	-1.54322222222222
BRD3	0.197333333333333
HIST1H2BO	0.0665
MAGEB10	0.866
SLC45A1	0.77425
SERPINA3	-1.35935
KIAA0143	1.37
KCNJ16	-0.122
KRT79	-0.14825
FABP2	-1.00366666666667
NUT	-0.61375
ZNF57	-0.279
FBXL4	0.46075
CLEC9A	2.43
UGT8	-1.476
BMP2K	0.103
MAPK4	-4.1985
SLC25A23	-0.5421
HINT1	-0.1787
KRTAP13-1	0.0895
SFXN5	-0.376
CHCHD2	0.075
FAM3D	0.3695
NDP	-3.6255
RHOBTB1	-0.156333333333333
SLC4A4	-1.59225
RPL38	-0.47525
HTF9C	-0.2835
AP2A2	1.107125
ZBTB46	-0.157
MAP7D1	0.820875
AOX1	-1.54016666666667
CYR61	0.414666666666667
DTNA	-0.707928571428571
JRKL	-1.06475
TMOD3	0.78525
EEA1	-0.2278
ADCK5	0.08125
IL1R1	1.00566666666667
KLK3	0.742357142857143
HRSP12	0.6165
KTN1	-0.3525
LOH11CR2A	-0.2061
RELL2	-0.60575
MAB21L1	1.32875
C20orf59	-1.0365
PHKB	-0.1915
ADAM2	-2.76183333333333
TBC1D8B	1.40483333333333
FAM13A1	-0.9665625
LAPTM4B	-1.51733333333333
LCN8	0.197
TMEM147	0.4195
SYT4	0.233333333333333
XPO7	-1.187
C9orf62	2.4295
GPR75	0.9
TRIM5	-0.233
APOC1	0.358833333333333
RNASE4	0.634
PARD6B	1.080125
ARID1A	0.0469166666666667
TPD52L3	0.0684
RRAGB	0.447666666666667
RCN2	-0.564833333333333
HIST2H2BE	0.288
STARD7	-0.19675
SHMT2	-1.74925
KIAA1751	-0.433
MLYCD	0.0725
LOC162632	-0.9728
UQCRH	-1.042
RP11-217H1.1	0.0354375
SDHA	-1.36516666666667
NCLN	-0.1449
ZNF17	-0.207
RCBTB2	-1.21475
VEGFB	0.4482
RP4-747L4.3	1.11325
COLQ	0.022
MPN2	-1.05033333333333
DRG2	-0.531
KLRB1	6.03275
ALPK2	-1.41275
DNASE2B	1.29975
FLJ23834	-0.401333333333333
AXUD1	0.0898333333333333
SAFB	-0.5469
NSUN4	-0.591
RFX2	0.2525
MAPK8IP1	-0.0773333333333333
FANCD2	1.76807142857143
ANKZF1	-1.55166666666667
C19orf50	-0.10125
DUSP8	1.315875
SENP5	-0.17
NFKBIL2	-0.30175
LBR	-2.183125
IGFL1	1.7105
LZTS2	0.464375
IL2RG	1.11175
CCDC51	-0.762
KLF3	0.608375
ANKRD37	-1.5985
KCTD14	-1.0965
FZR1	0.244666666666667
SLC44A4	3.8964
ESPL1	-0.933125
GMPR2	-0.5558
TBC1D19	-0.3835
ERGIC1	1.11948148148148
ERBB4	1.9554
TSPAN32	0.51825
MAP4	-0.250625
GPHN	-1.28975
SLC6A2	-0.03525
HIVEP1	0.64275
DFFB	-0.6178
EIF4EBP2	0.813625
DMRT1	-0.447
HSPB6	-0.32975
IER2	-0.145666666666667
AIFM1	-0.279
WWC2	-0.577416666666667
MRPL4	-0.43325
FLJ21062	0.0225
EPB41L4A	1.78116666666667
SH2D6	0.3605
TAF4B	-1.21875
GAL3ST3	-0.0885
MALT1	-0.729333333333333
RTDR1	0.726
ARVCF	0.48325
MEX3B	-0.3745
FBXO16	-1.02025
KIF7	0.0505
C1QC	4.0205
ZNF783	-0.665166666666667
ZNF85	0.14475
MMP13	4.1405
KIAA0329	0.492875
RTP3	-1.0545
ZBED3	-0.0245
CLGN	-4.06825
SLC25A37	-2.21241666666667
hCG_18290	-0.865
OR5AS1	0.2025
SMARCC2	0.756416666666667
FAM109A	-0.196333333333333
CCDC12	-0.40625
USF2	0.9188
DEPDC7	-1.631
C20orf24	-0.235833333333333
JMJD3	0.088
DSP	1.46478571428571
SLIC1	0.908625
FAM20A	1.8475
IRF2BP2	0.39275
ZNF230	-1.0045
MSN	-0.649928571428571
SLC9A5	-2.2925
EPDR1	-1.1771
MUSK	0.077
ZNF434	-0.3365
SMARCD1	-0.597
