Hybridization REF	TCGA-A2-A0YL-01A-21R-A109-07
C1orf71	0.33075
POLG	-1.74
ADAM23	-3.01225
TFR2	-1.79
RICTOR	-0.5142
MGC39606	1.6085
C19orf55	-0.499375
SNAPC1	-1.45533333333333
GNA11	0.233
CCDC52	0.0065
FSIP1	3.4455
UPF3A	-0.717375
IGSF11	-2.50816666666667
LAGE3	0.11075
CHST6	-2.132
UNC13B	0.06075
TTLL4	-0.5025
ZNF687	0.194125
SDC2	-0.1643
COX7A2	-0.4295
LAMB4	-0.0755
FAM24A	-0.1975
LRRTM3	-0.3375
GPHB5	0.33325
OR4C13	-0.317
EIF3EIP	0.801
HABP4	-0.684
TMEM125	2.995
CNTN2	0.550125
ASNSD1	0.38975
FUT4	0.019375
ACF	-4.2
LOC158381	1.0355
CDH8	0.023
AGPS	-1.11233333333333
C4orf18	3.747
PECI	-0.35475
UNG	-0.793625
GSTP1	-0.945
DCUN1D5	-1.10116666666667
DKFZP564J0863	-0.5225
SLC9A3R1	0.25275
BCDO2	-0.305875
CHMP7	0.220625
REM2	1.4775
DNHD1	-0.631375
FKBP4	-0.713375
ZNF350	1.57425
MGC11102	-0.05875
BST1	1.237
KISS1R	0.048
NCR2	0.1475
DEFB125	0.427
UBE2W	0.818
KRT15	3.405375
C10orf99	-0.1385
SCN11A	0.516625
GFI1	-1.22125
RDHE2	3.53266666666667
FHL1	-0.23
OSGEP	-0.6
GATA1	-3.9085
SMC6	-0.36425
TTTY14	-1.7175
LPIN3	-0.3195
RPL4	0.3748
RBPMS	0.8541
PRPF3	-0.4645
EMR1	-2.2185
SPATA19	-0.11225
XCR1	-0.048
IRX3	1.7869
RBM6	-1.0725
KLF4	0.2478
UNC5CL	0.85075
SEBOX	0.261
BTK	-1.32675
KRCC1	1.06625
C6orf27	-0.0065
SYTL5	-0.3315
PRND	2.5915
LOC653319	-1.56
PIGL	-1.867625
HUS1	-0.100166666666667
SFRS6	-0.359833333333333
C17orf77	0.263
UIMC1	-0.470333333333333
FXYD2	-2.0691
LOC283152	2.3225
ZNF667	0.58875
ZCCHC12	-0.226
TFEC	2.515
ATP7B	0.518333333333333
POLD2	-1.01366666666667
RG9MTD1	-0.06225
ACOT2	0.243833333333333
HIST1H4I	-1.632875
PPARGC1A	-1.275
ETFA	-1.814
POLRMT	-0.85325
ZNF146	0.496
MIA2	-1.046
KLHL6	-0.568833333333333
HOXB5	-0.308
NENF	0.9655
CUGBP1	-0.50275
PRSS22	1.0625
CASC4	1.2349
CUL4B	0.3345
CENPJ	-1.3419
PITX1	0.0281666666666667
FLJ31033	1.33983333333333
CELSR3	-2.35966666666667
ZNF568	1.3305
ITSN1	-0.30375
EHBP1L1	-1.103
C19orf2	-0.15
DCTN1	-0.00775
LIN28B	-3.82166666666667
TNKS2	-0.404
C1QBP	-0.931875
CADPS2	1.64675
SRMS	-0.102
GJA9	0.436833333333333
MGC24975	-0.858333333333333
TRIM45	-0.282166666666667
TSP50	0.11425
TCP1	-1.0545
TMED7	0.4328
CMA1	2.1045
CENPL	-0.510166666666667
PTCRA	-0.334
FST	-3.1775
VWCE	-3.63225
PAWR	0.15575
ABCC12	0.472
LDLR	-2.3007
ASTN2	0.4368
LOC441212	-0.928625
GPATCH8	0.10175
TANC2	-0.729083333333333
KIF4A	-2.03375
C18orf18	-0.77275
PGM1	-1.2815
KIAA0258	0.60975
CPD	0.65325
SNCAIP	0.747
DCT	-4.874
HLA-DOA	2.49722727272727
OR11L1	0.0815
UPK1B	-0.071
DNAJB4	0.956375
UGT1A8	-0.14425
HIST1H4L	-1.676
PECR	-1.55966666666667
HSPA2	1.27725
WFIKKN1	-1.189
SERP1	0.364875
SYDE2	1.67625
TACR2	0.449
NUP85	-0.9105
CD177	-0.286
LGR5	-1.57466666666667
PIGG	0.00066666666666667
PTHR1	-1.57966666666667
RAB5A	0.4352
FLJ13224	0.0055
USP9Y	-1.75783333333333
C7orf53	-1.5935
LRP1B	3.16975
XAF1	2.1615
ABCG8	-0.187
ANKDD1A	-0.4725
DAND5	-0.981
SPAG6	1.254
LINCR	1.3505
ZDHHC22	-1.79525
CCDC60	0.558
THOC7	-0.978166666666667
TCTA	0.6899
OR8K3	0.30925
NY-REN-7	-0.675
B2M	1.088
C6orf141	-1.276375
LPPR4	2.7425
SQLE	-1.781875
SEPHS1	-0.21675
BTBD14B	0.117071428571429
PLRG1	-0.01375
SPG7	-1.2191875
ZNF614	0.136
PARD6G	1.22633333333333
INPP5B	-0.4282
GRPEL2	0.252875
PPID	-0.4288
TRIM56	-0.212
UBE2J1	0.3295
IL20RA	4.74675
LOC387856	0.18175
C1orf107	0.879333333333333
UTS2R	-0.11275
C19orf22	-0.48425
SAFB2	-0.550625
KIAA0652	0.094875
KLRG1	-0.189333333333333
MS4A8B	2.50766666666667
FRAG1	0.52175
KIAA1546	1.03375
E2F4	-1.4392
CLEC4M	-0.110166666666667
BTBD14A	-1.575
KIAA0999	1.8773
GYPA	-3.558
TAC1	2.4337
TRAIP	-1.88116666666667
KIAA0232	0.8494
ERCC8	-0.44125
GPX4	0.602875
KIAA0368	0.35625
GPR157	-1.48416666666667
CTAGE4	1.052
C9orf30	-1.16633333333333
OR52A1	-0.01
HSP90B3P	-0.72
ALG9	0.1619
BTBD10	1.02275
SDK2	-0.15125
BAIAP3	-0.8285
RABGGTB	-1.217375
ANKRD40	-0.273833333333333
KRT74	0.2595
CALCOCO2	0.440857142857143
SNCA	-2.22025
TMSL8	-4.18275
C2orf53	0.176
ESRRB	-0.56
ARHGAP26	-0.908125
TDRD9	0.0705
HRAS	-0.455
KLRC4	-2.562
JAGN1	-0.158166666666667
BSDC1	0.2935
RNF43	1.1806
NDUFAF1	-0.2835
PHF12	0.34
OR1L3	0.31125
FOLR2	2.19566666666667
LYZL6	0.2055
tcag7.1260	-1.6465
WSB1	-1.67666666666667
PROS1	0.7602
OSTN	0.2675
PSMB8	1.04675
SOCS4	0.306
DDIT4L	1.67925
MAS1	-0.2105
MGC34796	-0.14575
CSHL1	0.3395
TBCCD1	0.161666666666667
ZBTB7C	-0.184
AP2S1	-0.246625
P15RS	0.1818
VAT1	-0.7254
SHANK3	1.15133333333333
TUFM	-0.799166666666666
THEG	-0.2465
KRT34	-2.125
SGSM3	-0.43625
TOMM22	-0.72775
SOCS3	0.842666666666667
CPO	0.6335
POP4	0.02375
BHLHB3	2.82525
MALL	1.861
OR1B1	0.106
PARK2	1.04083333333333
GPR124	0.972
LCE1E	0.171
RUVBL2	-0.79025
CGRRF1	0.7757
ACPL2	0.742
WNT10B	-2.406625
BAIAP2L2	-2.203875
ISCA1	0.958
C1orf125	-0.078625
RPAP1	-0.82075
RAI16	-0.3755
RPL27	-0.5305
NLRP9	-0.2845
EPN1	0.0675
LOC388610	0.19725
SLC35A1	0.9426
GAL	-4.0565
SLC14A2	0.20025
RDH11	-0.999666666666667
FAM138F	0.1565
AUH	0.48225
FLJ40243	0.4455
C14orf129	0.449333333333333
MBD2	-0.514166666666667
ABHD14B	0.093875
PIGT	0.5055
ALS2CR4	0.63825
ALAS1	-0.639
FOXO1	2.01533333333333
CRLF3	-0.38575
C20orf107	-0.462
FARS2	0.7085
CCDC28A	0.499
NPHP3	0.00275000000000001
OR13F1	0.127
TSEN54	-1.20125
DEFB106B	0.1252
OR8B4	-0.0875
STH	0.0475
ZC3H14	-0.12375
CBX2	-0.1795
TMEM49	-0.047
C6orf21	-0.0555
FLJ20920	0.97625
CRTAP	0.336571428571429
DDX50	0.22875
STYXL1	0.19325
BLVRB	-0.656666666666667
LOC147650	-0.3575
MMP24	0.3915
GRID1	2.00416666666667
BANF1	-0.409833333333333
CTAGEP	0.27025
HMBS	-1.8615
SLC25A24	0.4515
C14orf50	1.222
MRO	0.684833333333333
SLC25A15	-1.41425
FAM84B	1.0806
TDP1	-0.775
C16orf78	0.0846666666666667
C11orf57	-0.165
RFK	-0.557
ZFYVE9	-0.888
STCH	0.1506
WIBG	0.1525
LOC283871	-0.715333333333333
GBA2	-0.5445
NDUFB3	-0.2525
HSD17B13	0.1495
GRIN3A	0.5885
FMNL1	-0.8475
SEPT7	0.062
GNLY	2.941
GRAMD1C	1.74783333333333
ZNF165	0.6995
USP38	1.028
FAM83A	-3.89283333333333
C14orf24	0.471166666666667
ARMCX3	1.454125
ARHGDIB	0.973833333333333
AK1	-0.42925
KIAA1045	0.913
DNAJB13	-0.414333333333333
NEU2	0.3195
HIST1H4B	-1.72483333333333
FAM20B	-0.2589
HES2	0.857785714285714
FAM73B	-0.613
LOC388381	-0.1635
INTS7	0.367363636363636
AMPH	2.07675
ZNF775	-0.38475
UCKL1	-0.773666666666667
C10orf97	0.636
C1orf161	-0.4205
ALDH1L1	-0.38625
FLJ39378	-0.18925
SLC23A1	-2.317
RBM4B	0.52375
THAP4	-0.029
OGFRL1	0.86875
KIAA0831	0.665375
PPP1R15A	-0.301
C1orf96	-0.572214285714286
C12orf11	-1.34
BMF	0.827
MAN1A1	-0.192625
KIAA1600	0.86
NLGN4X	0.872
ALOX12	-1.41483333333333
RB1CC1	-0.0332
NEIL2	0.1623
EIF4E	-0.322863636363636
ABHD5	-0.48175
EXOC4	-0.109166666666667
CIP29	-0.263833333333333
BATF2	0.854
SLC29A4	-0.823
HTR4	0.193
EMB	-0.20175
TRAF6	1.218
LMNB1	-1.948
FAM19A5	-1.720375
SHE	2.3195
PIK3C2B	1.06075
C15orf15	-0.2937
USP15	0.2884
TCEAL2	1.99275
C5orf39	-0.8285
PTGER2	-0.4815
SLC31A1	-1.2318125
IFT172	0.674
ADAM29	0.3535
GFOD1	-0.021
ST7L	1.13316666666667
C15orf26	-2.09775
PKN3	-1.2165
CNTD1	1.6895
COMMD1	0.25225
NTRK2	3.35716666666667
FOXN3	0.345375
MFGE8	0.3475
PFKFB2	0.526833333333333
TAS2R4	-0.2535
ENTHD1	0.585166666666667
PRMT5	-0.540125
MGC16384	-1.616375
LOC442229	-0.635
TSKU	-0.091875
KRTCAP3	2.33975
PDLIM1	0.5276
KCNS2	0.64425
RNF126	-0.739833333333333
CEP63	-0.081
CLIC4	0.012375
hCG_1990170	1.81375
ACR	0.6403
KLK7	3
ALOX5AP	2.906625
RIPK3	3.459
TAS2R9	0.426
C19orf18	1.4945
BIRC6	0.131428571428571
ZNF16	1.0365
RFT1	-0.447
SLC8A2	-0.60825
TACC1	-0.347375
ITGAD	1.03375
SAMHD1	1.59425
SH3PXD2B	1.3752
EPC2	1.0575
C20orf85	0.805375
ATP13A2	0.511333333333333
KRT4	0.296875
CAPNS1	0.077
MDM2	-0.960916666666667
PCDH20	2.23225
KCNK9	0.259
OR2C1	-0.1785
KLHDC3	-0.769666666666667
IPPK	0.2485
EFHD2	-0.661375
GALR3	0.02525
NBEA	0.452333333333333
ABCA6	3.4824
CLDN3	1.439
AKT2	-1.19742857142857
EGFR	0.1217
RBM16	0.680625
ZDHHC3	-0.4856
SLC25A4	-0.788
CYB5B	-1.02183333333333
CPXM1	1.11475
NDRG1	-1.51807692307692
FLJ43826	0.90175
OR5L2	0.186
FARP2	0.5431
MRPL46	-0.70025
LDHAL6B	0.5205
MAPKAPK3	-1.06433333333333
NCAM2	1.978
PRKD2	-0.00633333333333333
ZFP36L1	1.3137
CYSLTR1	1.24675
OR4C3	-0.05975
HIST1H2AJ	0.1145
CCNB2	-2.397
ZNF10	0.529375
TMEM175	0.029
FAM134A	0.473333333333333
TIGD4	0.252
PCNP	-0.22525
MGC39715	1.21075
LQK1	-0.511
CREB1	1.264
TMPRSS3	2.6695
C4orf32	1.67925
LAT	-1.57183333333333
KCNA3	0.6215
SKIV2L2	-0.20525
ROPN1B	1.412
tcag7.23	0.6555
CDT1	-3.166375
ZHX2	1.2265
CD28	-2.34525
ZNF624	0.797
SEPT2	0.744333333333333
SOHLH2	-1.397625
MCOLN3	0.34975
UNQ1945	-0.117
MASP2	-1.4865
ZNRF3	-0.1512
GPATCH3	-0.243
AGL	2.685625
QRICH2	-0.4065
PSD4	0.633166666666667
CCNB1IP1	-0.73025
ENPP7	-0.32275
OBFC1	0.59525
KCNG3	-1.55325
C14orf79	0.429333333333333
ENPEP	2.0305
SCT	1.16
SKI	0.33775
SEC61G	-1.75175
CAPN11	1.98375
ATXN7L3	-0.98075
DBNDD1	-0.901666666666667
FAIM	0.58375
ANKRD36	-0.8005
GABRP	4.288
TACSTD2	1.906
EIF3J	-0.37825
PPP2R2A	0.653
TEKT4	0.189666666666667
PVALB	-4.06716666666667
F10	-2.20233333333333
FAM134C	0.2384
COMP	3.9435
EFCBP1	-1.256875
SCLT1	0.113125
TAL1	-0.8523
ACSL1	1.421
ABCC5	-0.107833333333333
ABL1	-0.535333333333333
RBBP7	-0.31325
PTPRG	-0.602125
NCOR1	-0.5977
SPINK4	-0.967
TXNRD1	-1.3396
TNRC15	0.52475
C9orf138	0.612375
UBE2H	1.229
BRDT	0.2835
C8orf31	-0.2955
CCNE2	-1.24063636363636
SLC6A8	-2.265
CALCR	-3.55025
PPP1CB	0.965583333333333
ABHD8	-0.106
ARF5	-0.1789
SLC24A4	1.333
CCT3	-0.0725
ZNF121	0.754875
SLC3A2	-0.9786
OR13A1	0.1375
SLC5A10	0.19575
RAD50	0.438125
IER5	0.032
MTHFD1L	-2.114375
MBTPS2	0.51325
MVK	-0.88475
NCL	-0.5341
PSMD10	-0.325
MOBP	0.220125
FLJ32894	-0.507
HRH1	0.360666666666667
C5orf30	1.15675
NUDT16L1	0.2345
RASGRP3	3.52833333333333
PRKRIP1	-0.5018
CCDC75	-0.329
LOC253970	0.26775
KIAA1239	-0.0645
MED21	0.142
SYT11	0.539083333333333
NTSR2	-0.256
EGFL11	-0.3395
CXorf59	0.3385
OR2A25	-0.1255
SPTBN2	-0.5575
LRMP	-1.0355
RNF111	1.00325
PTH	0.1355
LOC619208	0.983333333333333
KIAA0895	1.197
RANBP5	-0.687375
P2RY10	0.856833333333333
NME5	3.96016666666667
DDX21	-1.099
LRSAM1	0.216
HDAC11	1.12483333333333
VMO1	0.8125
NOLA2	-0.0516666666666667
ADAR	0.773166666666667
MTO1	0.120666666666667
SF4	-0.305
P2RX1	-0.0636666666666667
HBM	-0.16
EN2	0.256
C14orf172	-0.3165
TM9SF2	0.2609
INHBE	-1.5745
TCTE3	0.177916666666667
TOX2	-2.83725
CTAGE3	0.11025
HBB	2.9695
MED15	-0.403
CASR	-0.2075
C6orf66	-1.10516666666667
MTPN	-0.975
UNC50	-0.1465
C21orf33	0.03975
IRF2	1.011875
PGR	3.53183333333333
GPR84	1.17925
CROCCL1	-1.37775
SRPX	-0.50325
BRE	0.509333333333333
FGF10	0.76225
SDC3	0.407
ZRSR1	0.449666666666667
DKFZP434P211	-0.401875
SOX6	0.0905
RPUSD2	-0.315
C14orf173	-0.541083333333333
MAPK11	-0.488833333333333
TBC1D22A	0.004
FAM123A	0.058
COL4A6	1.25766666666667
TOMM70A	-0.0275
NAB1	0.777625
MGC16385	-0.633
TSPAN18	-0.415
MED31	-0.18175
PLG	-0.3005
CAPSL	4.0185
ZNF532	1.2077
ASB14	0.3825
CA8	1.23775
NUDT16P	1.48966666666667
SLFN11	-0.24
LRRIQ2	0.04025
NOL7	-0.793166666666667
BRMS1L	-0.11725
JARID1A	0.222
PANK2	-0.23075
ICAM3	-0.49775
MDS1	-0.55075
TAF8	-0.65825
RNF139	0.6725
ZNF594	0.4195
ADAM8	0.440875
SFTPC	-0.619875
MAN2B2	0.642875
RGS12	0.3610625
EIF1AY	-5.06208333333333
LRRIQ1	-0.510166666666667
GPR150	0.125
CCDC21	-1.47183333333333
PRRG3	0.419
SAA4	-1.65575
RAPGEF5	1.62025
ZCCHC2	-0.26225
MGC39372	-0.6675
PPP4R2	0.3715
CDCA2	-1.9285
OR4D5	0.2905
PTGFRN	0.8593
SIGLEC5	1.37966666666667
C19orf61	-0.6705
NMUR2	0.6015
KIAA1586	-1.1805
DAGLA	0.279333333333333
CHCHD6	-0.73625
GPR32	0.858
NEUROD6	0.156333333333333
SLC2A4RG	-0.044625
CA5B	0.089
FBXL3	1.972
MPHOSPH9	-1.0035
HMG2L1	0.682
HCN4	-0.0485
CEACAM19	-0.356
SH2D4B	0.549666666666667
HFE2	-0.721
TGM4	0.00266666666666667
LYPD2	-0.17275
TBC1D15	0.06475
MRPS21	0.0592
NONO	-0.7253
CLEC5A	0.668875
ITCH	-0.6841
MGAT3	-0.694833333333333
MBP	-0.03275
RPP25	-1.61675
SOSTDC1	2.172
HRC	-1.2495
TRIM48	-0.0595
TMEM133	1.40925
ECEL1P2	-1.15525
HOXC11	1.4195
DOK5	0.303
HELZ	0.0858333333333333
LOC348180	-1.6475
MGC33894	0.3105
ADRB3	-0.004
DMD	0.681
PTRH2	-0.14325
MPEG1	2.7785
NDUFA12	-0.362666666666667
KRTAP2-4	-0.1025
STAMBPL1	-0.764833333333333
ADCY2	0.592333333333333
UNQ6125	1.2175
KLHL20	0.197
SRM	-1.3265
OTC	0.323
TMIE	0.381666666666667
SNX8	-0.49775
LIPK	0.266
CHURC1	0.979333333333333
KLC2	-0.27
HDAC1	-0.352166666666667
FAM128A	0.4415
FNDC3B	-0.0619
MTCP1	-0.0743333333333333
WFDC10B	0.0618
PCDHGB3	-0.4855
ATRNL1	-1.0188
CAV2	0.6705
MED26	-0.0675
DUS1L	-0.47675
CHRM3	-1.621375
NEK9	0.814
WARS2	0.69975
TBX22	1.37
TOMM40	-1.3865
RP6-213H19.1	-0.71
TUBGCP5	-0.33575
IGSF6	4.4265
TPPP	0.447333333333333
UNQ6190	0.3485
GSTM5	1.783875
BTD	0.814166666666667
PDCD1LG2	0.598333333333333
SNRPB2	-0.742833333333333
ERICH1	-0.243375
APOA4	-1.672
HOXA11	-1.6395
NARG1	-0.00075
MKX	1.21425
RAB28	-0.0192857142857143
PKP3	0.6135
SH3GL2	-1.943
CTSO	3.999
RPN2	-0.499625
IL28RA	0.4615
SFMBT1	0.47425
WDR57	-0.07375
FER1L3	0.974333333333333
HSF5	0.242333333333333
TTC9B	-0.29275
C4BPA	-2.56
ALB	-3.222
SORBS3	0.528625
UPF2	0.4825
JPH1	-1.1285
AGBL2	0.26375
DOPEY1	1.217
TERF1	-0.07375
KIF22	-1.05316666666667
NINJ1	1.979
SEC61A2	-0.453
HIST1H1D	-1.947
SFXN4	-0.207
UCP3	0.0707
ZNF703	0.5295
MYL6B	-0.2205
TREM1	0.822
OR52E6	0.3585
CKMT2	2.111
HLA-C	1.661875
SLC13A3	-1.75233333333333
TIMP4	-1.041
SLIT2	2.777
RSF1	0.0688333333333334
LONRF1	-0.552071428571429
MON1A	-0.0978333333333333
CACNG6	-2.38216666666667
DPPA4	-5.95316666666667
ZSWIM3	0.0695
ZNF804A	0.298833333333333
CCIN	1.10975
SLC25A31	0.2535
KCNMB4	-0.03725
RABL5	0.7685
GALNS	-0.7711
STX6	0.587
HIST1H1C	-4.18566666666667
CIDEB	0.200875
CASP4	0.431166666666667
PDK3	0.4235
KCNJ11	1.702
TPR	-0.63625
ZSCAN20	-0.433
MTX2	-0.482
HIST1H2BH	-1.0345
LOC283767	0.42125
LYRM7	-0.933611111111111
BRD3	-1.56883333333333
HIST1H2BO	-1.681
MAGEB10	-0.441
SLC45A1	0.5895
SERPINA3	1.69445
KIAA0143	1.149
KCNJ16	3.31016666666667
KRT79	0.21575
FABP2	-1.16775
NUT	0.03175
ZNF57	0.10475
FBXL4	0.652125
CLEC9A	2.1235
UGT8	1.12766666666667
BMP2K	1.0235
MAPK4	-3.225
SLC25A23	-0.723
HINT1	-0.2024
KRTAP13-1	-0.23
SFXN5	-0.0619
CHCHD2	-0.364
FAM3D	1.3515
NDP	-0.895125
RHOBTB1	-0.0746666666666667
SLC4A4	-0.811875
RPL38	-0.6695
HTF9C	-0.775166666666667
AP2A2	0.3755
ZBTB46	-0.3535
MAP7D1	-0.305
AOX1	-0.5945
CYR61	1.404
DTNA	-0.683642857142857
JRKL	0.26425
TMOD3	-0.18775
EEA1	0.3889
ADCK5	-0.41175
IL1R1	1.72116666666667
KLK3	0.526428571428571
HRSP12	-0.4635
KTN1	0.731
LOH11CR2A	1.0054
RELL2	-1.872
MAB21L1	2.828
C20orf59	-2.06366666666667
PHKB	-0.00975000000000001
ADAM2	-2.01866666666667
TBC1D8B	1.02716666666667
FAM13A1	0.288
LAPTM4B	-0.544916666666667
LCN8	-0.033
TMEM147	0.1065
SYT4	-0.0623333333333334
XPO7	-0.6985
C9orf62	0.19975
GPR75	0.4335
TRIM5	0.6365
APOC1	0.296
RNASE4	0.453166666666667
PARD6B	-1.288875
ARID1A	0.647583333333333
TPD52L3	0.1129
RRAGB	0.9665
RCN2	-0.366166666666667
HIST2H2BE	-0.912375
STARD7	-0.176
SHMT2	-1.38275
KIAA1751	-0.242
MLYCD	-0.2885
LOC162632	0.3389
UQCRH	-1.62725
RP11-217H1.1	-0.363625
SDHA	-1.37516666666667
NCLN	-0.9848
ZNF17	1.09333333333333
RCBTB2	-0.565
VEGFB	-0.3991
RP4-747L4.3	0.595
COLQ	0.3547
MPN2	-0.9065
DRG2	-0.39825
KLRB1	5.48875
ALPK2	-1.8205
DNASE2B	1.18
FLJ23834	-0.2085
AXUD1	1.16616666666667
SAFB	-0.3804
NSUN4	-0.08175
RFX2	0.525166666666667
MAPK8IP1	-0.1215
FANCD2	-0.886714285714286
ANKZF1	-1.4465
C19orf50	-0.557125
DUSP8	0.49575
SENP5	-0.294375
NFKBIL2	-1.103
LBR	-1.618625
IGFL1	-0.0305
LZTS2	-0.01575
IL2RG	0.016125
CCDC51	-0.73075
KLF3	0.49225
ANKRD37	-1.64
KCTD14	1.73416666666667
FZR1	-0.307583333333333
SLC44A4	3.3549
ESPL1	-1.128125
GMPR2	0.0942
TBC1D19	0.527833333333333
ERGIC1	0.174074074074074
ERBB4	3.0886
TSPAN32	0.0688333333333333
MAP4	-0.348375
GPHN	-0.969
SLC6A2	0.266375
HIVEP1	1.235
DFFB	-0.2818
EIF4EBP2	0.517
DMRT1	-0.3225
HSPB6	-0.026
IER2	0.324833333333333
AIFM1	-0.97725
WWC2	-0.332
MRPL4	-0.609
FLJ21062	1.92166666666667
EPB41L4A	1.22025
SH2D6	-0.40325
TAF4B	-0.7665
GAL3ST3	-0.97
MALT1	-0.0565
RTDR1	0.874
ARVCF	-0.07775
MEX3B	0.689666666666667
FBXO16	-1.328
KIF7	-1.241
C1QC	3.30266666666667
ZNF783	-0.701666666666667
ZNF85	0.95375
MMP13	1.7875
KIAA0329	0.5225
RTP3	-0.202
ZBED3	-0.14625
CLGN	0.84125
SLC25A37	-0.900083333333333
hCG_18290	0.4725
OR5AS1	-0.157
SMARCC2	0.169916666666667
FAM109A	-0.341
CCDC12	-0.4355
USF2	-0.0849
DEPDC7	-2.13825
C20orf24	-1.01516666666667
JMJD3	0.3345
DSP	2.03092857142857
SLIC1	0.123375
FAM20A	1.597
IRF2BP2	1.011625
ZNF230	0.4395
MSN	-0.575714285714286
SLC9A5	-1.95
EPDR1	-0.7702
MUSK	-0.0606666666666667
ZNF434	0.265
SMARCD1	-0.212
ZFP106	0.33625
ZNF347	0.9072
GTF2E1	-0.01525
RY1	-0.071
ATAD2B	-0.086125
