Hybridization REF	TCGA-AO-A12C-01A-11R-A10J-07
RABGGTB	-0.248875
ANKRD40	0.823333333333333
KRT74	0.367
CALCOCO2	1.61828571428571
SNCA	-3.012
TMSL8	-4.3745
C2orf53	-0.225
ESRRB	-0.05
ARHGAP26	-1.734625
TDRD9	-2.40625
HRAS	0.719333333333333
KLRC4	-0.6975
JAGN1	0.0118333333333333
BSDC1	0.00325
RNF43	0.5299
NDUFAF1	-0.11325
PHF12	0.26325
OR1L3	0.146
FOLR2	1.29316666666667
LYZL6	0.24
tcag7.1260	-1.468
WSB1	-1.94283333333333
PROS1	-0.4205
OSTN	0.6945
PSMB8	0.08575
SOCS4	-0.31075
DDIT4L	0.66425
MAS1	-0.389
MGC34796	0.95775
CSHL1	0.347166666666667
TBCCD1	0.239666666666667
ZBTB7C	-0.036
AP2S1	-1.1415
P15RS	-0.8132
VAT1	-0.5337
SHANK3	1.11466666666667
TUFM	0.2875
THEG	-0.06
KRT34	-1.35875
SGSM3	-0.331375
TOMM22	-0.675625
SOCS3	0.5955
CPO	0.155
POP4	-0.12
BHLHB3	1.90075
MALL	1.268
OR1B1	0.421
PARK2	0.376833333333333
GPR124	1.369375
LCE1E	-0.1745
RUVBL2	-0.27925
CGRRF1	0.2673
ACPL2	0.58225
WNT10B	-2.26075
BAIAP2L2	-2.42525
ISCA1	0.604
C1orf125	0.251625
RPAP1	-0.93075
RAI16	0.625
RPL27	-0.90325
NLRP9	-0.2575
EPN1	1.4685
LOC388610	-2.52825
SLC35A1	-0.107
GAL	-4.19275
SLC14A2	0.349
RDH11	-0.612166666666667
FAM138F	0.823
AUH	0.44425
FLJ40243	0.203
C14orf129	-0.079
MBD2	-1.03316666666667
ABHD14B	0.025125
PIGT	-0.145625
ALS2CR4	-0.77225
ALAS1	-0.1272
FOXO1	1.249
CRLF3	-1.219375
C20orf107	0.215
FARS2	1.017
CCDC28A	0.022
NPHP3	-0.73525
OR13F1	0.397
TSEN54	-0.5095
DEFB106B	0.2498
OR8B4	0.3795
STH	0.7985
ZC3H14	-0.400125
CBX2	0.0585
TMEM49	0.0085
C6orf21	0.7165
FLJ20920	-1.494625
CRTAP	0.517785714285714
DDX50	-0.247
STYXL1	0.59325
BLVRB	-0.647666666666667
LOC147650	-0.013
MMP24	0.38
GRID1	1.5785
BANF1	-0.460833333333333
CTAGEP	0.26625
HMBS	-2.71425
SLC25A24	0.584166666666667
C14orf50	2.25575
MRO	0.684833333333333
SLC25A15	-0.25525
FAM84B	1.4388
TDP1	-0.0785
C16orf78	0.358666666666667
C11orf57	-0.555625
RFK	-0.6595
ZFYVE9	-0.28375
STCH	-0.9737
WIBG	0.21225
LOC283871	-0.7025
GBA2	-0.6206
NDUFB3	-0.58225
HSD17B13	-0.10075
GRIN3A	0.561166666666667
FMNL1	-1.21883333333333
SEPT7	-0.4598
GNLY	0.8245
GRAMD1C	1.44433333333333
ZNF165	0.09975
USP38	0.75075
FAM83A	-3.32966666666667
C14orf24	0.75025
ARMCX3	1.03975
ARHGDIB	0.517333333333333
AK1	-0.14475
KIAA1045	-0.264
DNAJB13	-0.171166666666667
NEU2	0.3355
HIST1H4B	-0.196666666666667
FAM20B	-0.34
HES2	0.302071428571429
FAM73B	-0.2832
LOC388381	0.13825
INTS7	-0.473272727272727
AMPH	1.822
ZNF775	0.05425
UCKL1	0.384333333333333
C10orf97	-0.00725
C1orf161	-0.385
ALDH1L1	-1.08575
FLJ39378	0.222125
SLC23A1	-1.7085
RBM4B	0.381
THAP4	0.875666666666667
OGFRL1	-0.146
KIAA0831	0.38975
PPP1R15A	0.827166666666667
C1orf96	-0.569642857142857
C12orf11	-1.51625
BMF	1.22925
MAN1A1	0.080625
KIAA1600	0.459833333333333
NLGN4X	-0.21225
ALOX12	-0.575
RB1CC1	0.1001
NEIL2	0.6291
EIF4E	0.0805909090909091
ABHD5	-0.013
EXOC4	-0.320166666666667
CIP29	0.139333333333333
BATF2	-0.59
SLC29A4	-0.797875
HTR4	0.16925
EMB	-1.92925
TRAF6	0.17375
LMNB1	-3.36525
FAM19A5	-0.2055
SHE	1.138
PIK3C2B	0.201
C15orf15	-0.6368
USP15	-0.5035
TCEAL2	1.16875
C5orf39	-0.855166666666667
PTGER2	-0.52525
SLC31A1	-0.4236875
IFT172	0.16475
ADAM29	0.8805
GFOD1	-0.66225
ST7L	0.4115
C15orf26	-2.3565
PKN3	-1.43425
CNTD1	2.2315
COMMD1	0.052125
NTRK2	2.14033333333333
FOXN3	0.016625
MFGE8	0.6255
PFKFB2	0.177333333333333
TAS2R4	0.2815
ENTHD1	0.538666666666667
PRMT5	-0.421625
MGC16384	-1.312875
LOC442229	-0.8395
TSKU	1.2635
KRTCAP3	2.38775
PDLIM1	-0.1804
KCNS2	0.45625
RNF126	-0.102
CEP63	-0.005
CLIC4	-0.4625
hCG_1990170	0.74875
ACR	0.4788
KLK7	1.5575
ALOX5AP	3.1815
RIPK3	2.70375
TAS2R9	0.884
C19orf18	3.309
BIRC6	0.270571428571429
ZNF16	1.4025
RFT1	-0.28
SLC8A2	0.0985
TACC1	0.242
ITGAD	1.0805
SAMHD1	0.207
SH3PXD2B	1.6095
EPC2	1.07375
C20orf85	0.197
ATP13A2	-0.455833333333333
KRT4	0.29725
CAPNS1	0.96775
MDM2	-0.4445
PCDH20	3.022
KCNK9	0.7005
OR2C1	0.5415
KLHDC3	-0.6905
IPPK	0.7975
EFHD2	-1.4075
GALR3	0.89525
NBEA	1.4855
ABCA6	2.8393
CLDN3	2.424
AKT2	-0.125
EGFR	-1.5676
RBM16	0.075
ZDHHC3	0.3253
SLC25A4	-0.0203333333333333
CYB5B	-1.46533333333333
CPXM1	1.0905
NDRG1	-1.463
FLJ43826	0.61125
OR5L2	-0.0243333333333333
FARP2	0.8185
MRPL46	-0.555416666666667
LDHAL6B	0.342833333333333
MAPKAPK3	0.0156666666666667
NCAM2	-0.69775
PRKD2	-0.0838333333333333
ZFP36L1	0.7322
CYSLTR1	-1.01025
OR4C3	0.1925
HIST1H2AJ	2.181
CCNB2	-3.12366666666667
ZNF10	0.081375
TMEM175	0.61
FAM134A	1.238
TIGD4	-0.4925
PCNP	-0.3295
MGC39715	0.0285
LQK1	-1.696
CREB1	0.7632
TMPRSS3	-2.0095
C4orf32	0.82425
LAT	-2.19058333333333
KCNA3	-0.6465
SKIV2L2	-0.94925
ROPN1B	-1.033
tcag7.23	0.3375
CDT1	-3.786
ZHX2	1.23475
CD28	-4.0125
ZNF624	0.3395
SEPT2	0.332083333333333
SOHLH2	-0.27575
MCOLN3	0.902
UNQ1945	0.674
MASP2	-0.8555
ZNRF3	-0.6743
GPATCH3	-0.67125
AGL	1.45075
QRICH2	-0.0315
PSD4	0.883333333333333
CCNB1IP1	-0.8465
ENPP7	0.27225
OBFC1	0.52025
KCNG3	-1.74375
C14orf79	1.522
ENPEP	2.0385
SCT	1.314
SKI	1.278
SEC61G	-1.487
CAPN11	0.04775
ATXN7L3	-0.1335
DBNDD1	-0.0721666666666667
FAIM	-0.32325
ANKRD36	-0.4755
GABRP	3.07133333333333
TACSTD2	2.17766666666667
EIF3J	-1.13725
PPP2R2A	-0.6725
TEKT4	-0.245
PVALB	-4.16383333333333
F10	-2.63016666666667
FAM134C	0.8726
COMP	4.943
EFCBP1	-1.9320625
SCLT1	0.058375
TAL1	-0.9973
ACSL1	0.4185
ABCC5	0.59575
ABL1	-0.0844444444444444
RBBP7	-0.391
PTPRG	-0.454625
NCOR1	-0.2123
SPINK4	-1.11433333333333
TXNRD1	-1.7617
TNRC15	0.820375
C9orf138	1.026625
UBE2H	1.07716666666667
BRDT	-0.209166666666667
C8orf31	0.746
CCNE2	-2.38890909090909
SLC6A8	-1.24975
CALCR	-4.31225
PPP1CB	0.155333333333333
ABHD8	0.07075
ARF5	0.3518
SLC24A4	0.72375
CCT3	0.25225
ZNF121	0.205875
SLC3A2	-0.4418
OR13A1	0.3585
SLC5A10	-0.0295
RAD50	-0.70375
IER5	0.16825
MTHFD1L	-2.576
MBTPS2	0.2865
MVK	-1.07825
NCL	-0.1014
PSMD10	-0.34725
MOBP	0.264
FLJ32894	0.2025
HRH1	-0.574666666666667
C5orf30	1.2845
NUDT16L1	1.3582
RASGRP3	3.07283333333333
PRKRIP1	-0.5095
CCDC75	-0.57975
LOC253970	0.13225
KIAA1239	-0.12525
MED21	-0.6005
SYT11	0.348666666666667
NTSR2	-0.43
EGFL11	-0.384
CXorf59	-0.2465
OR2A25	0.454
SPTBN2	-1.0835
LRMP	-1.25116666666667
RNF111	-0.08225
PTH	0.2395
LOC619208	0.5695
KIAA0895	0.31675
RANBP5	-0.898125
P2RY10	-0.305333333333333
NME5	2.768
DDX21	-0.83375
LRSAM1	0.412
HDAC11	1.776
VMO1	1.28075
NOLA2	-0.1585
ADAR	0.61425
MTO1	-1.08216666666667
SF4	0.4075
P2RX1	0.0915
HBM	0.12275
EN2	0.9585
C14orf172	-0.284
TM9SF2	0.6606
INHBE	-1.0695
TCTE3	0.0814166666666667
TOX2	-2.6155
CTAGE3	0.19725
HBB	2.6144
MED15	-1.08
CASR	0.03525
C6orf66	-1.86683333333333
MTPN	-0.516625
UNC50	0.091
C21orf33	-0.664625
IRF2	0.8995
PGR	0.284333333333333
GPR84	1.14625
CROCCL1	-2.3935
SRPX	-0.29875
BRE	0.237666666666667
FGF10	0.7405
SDC3	-1.4025
ZRSR1	0.569333333333333
DKFZP434P211	0.152
SOX6	-0.409
RPUSD2	-0.47375
C14orf173	-0.0370833333333333
MAPK11	-0.696333333333333
TBC1D22A	0.4655
FAM123A	-0.4795
COL4A6	-1.961
TOMM70A	0.1285
NAB1	-0.92075
MGC16385	-1.016125
TSPAN18	0.8815
MED31	-0.91275
PLG	-0.1855
CAPSL	1
ZNF532	0.7937
ASB14	0.159
CA8	0.96725
NUDT16P	0.770833333333333
SLFN11	-1.12
LRRIQ2	-0.047625
NOL7	-0.452666666666667
BRMS1L	-1.021625
JARID1A	0.257166666666667
PANK2	-1.08975
ICAM3	-0.57125
MDS1	-0.46925
TAF8	-0.46475
RNF139	0.6205
ZNF594	-0.144833333333333
ADAM8	1.520625
SFTPC	0.04725
MAN2B2	1.729375
RGS12	0.511125
EIF1AY	-5.01291666666667
LRRIQ1	-1.52083333333333
GPR150	1.1645
CCDC21	-1.65116666666667
PRRG3	0.461
SAA4	-3.66325
RAPGEF5	1.263375
ZCCHC2	-0.491916666666667
MGC39372	-0.478
PPP4R2	0.012
CDCA2	-2.417
OR4D5	0.421
PTGFRN	1.441
SIGLEC5	1.19866666666667
C19orf61	-0.519
NMUR2	0.437
KIAA1586	-0.717666666666667
DAGLA	-0.673666666666667
CHCHD6	-0.01275
GPR32	0.8585
NEUROD6	-0.0438333333333333
SLC2A4RG	0.0924375
CA5B	-0.07725
FBXL3	1.137
MPHOSPH9	-1.178
HMG2L1	-0.48575
HCN4	0.678666666666667
CEACAM19	0.269
SH2D4B	0.124
HFE2	-0.491
TGM4	0.0285
LYPD2	0.12325
TBC1D15	0.2025
MRPS21	0.3508
NONO	-0.178
CLEC5A	1.146125
ITCH	-0.346
MGAT3	-1.49133333333333
MBP	-0.2825
RPP25	-1.91675
SOSTDC1	0.9915
HRC	0.82575
TRIM48	-0.0855
TMEM133	0.3245
ECEL1P2	-0.8505
HOXC11	1.8255
DOK5	-0.69325
HELZ	0.683333333333333
LOC348180	-1.01825
MGC33894	0.621
ADRB3	0.507
DMD	0.25625
PTRH2	-0.03825
MPEG1	1.817
NDUFA12	-0.4135
KRTAP2-4	0.192833333333333
STAMBPL1	-1.23633333333333
ADCY2	0.365666666666667
UNQ6125	0.312
KLHL20	0.511
SRM	-0.89
OTC	-0.11
TMIE	-0.029
SNX8	0.1685
LIPK	-0.171
CHURC1	0.824666666666667
KLC2	0.522166666666667
HDAC1	-0.833333333333333
FAM128A	0.413166666666667
FNDC3B	-0.5853
MTCP1	-0.556166666666667
WFDC10B	0.3239
PCDHGB3	0.8245
ATRNL1	-0.6394
CAV2	-0.05425
MED26	0.1435
DUS1L	0.9035
CHRM3	-0.861
NEK9	-0.20025
WARS2	0.3285
TBX22	0.053
TOMM40	-1.6875
RP6-213H19.1	-1.84166666666667
TUBGCP5	-0.05825
IGSF6	4.113
TPPP	0.580333333333333
UNQ6190	0.1965
GSTM5	0.440375
BTD	1.212
PDCD1LG2	0.189666666666667
SNRPB2	-0.6465
ERICH1	-0.6675
APOA4	-1.47475
HOXA11	-1.09275
NARG1	-0.63825
MKX	-0.65675
RAB28	-0.168
PKP3	1.1895
SH3GL2	-1.806
CTSO	3.441
RPN2	0.00337500000000001
IL28RA	-0.130333333333333
SFMBT1	-0.6105
WDR57	-1.203125
FER1L3	1.50208333333333
HSF5	0.140333333333333
TTC9B	0.41075
C4BPA	-3.5805
ALB	-4.14035714285714
SORBS3	0.831625
UPF2	0.2825
JPH1	-0.1485
AGBL2	0.3065
DOPEY1	0.4825
TERF1	-0.777583333333333
KIF22	-0.299833333333333
NINJ1	1.48
SEC61A2	-0.4595
HIST1H1D	1.31833333333333
SFXN4	0.01
UCP3	0.0693
ZNF703	1.91016666666667
MYL6B	-0.5165
TREM1	2.3945
OR52E6	0.4085
CKMT2	1.12775
HLA-C	1.06275
SLC13A3	-1.83766666666667
TIMP4	-2.06775
SLIT2	2.497
RSF1	0.389777777777778
LONRF1	-0.269571428571429
MON1A	-0.442833333333333
CACNG6	2.54116666666667
DPPA4	-5.5435
ZSWIM3	-0.5175
ZNF804A	0.233666666666667
CCIN	1.1315
SLC25A31	0.3945
KCNMB4	0.21425
RABL5	1.039
GALNS	-0.1633
STX6	0.107125
HIST1H1C	2.19566666666667
CIDEB	-1.018375
CASP4	-0.204166666666667
PDK3	-0.77
KCNJ11	1.8275
TPR	-0.25625
ZSCAN20	-0.6025
MTX2	-0.38375
HIST1H2BH	2.14325
LOC283767	1.33
LYRM7	-1.71555555555556
BRD3	0.9325
HIST1H2BO	1.86325
MAGEB10	0.359
SLC45A1	1.75175
SERPINA3	3.2995
KIAA0143	0.52275
KCNJ16	0.309
KRT79	-0.282
FABP2	-0.023
NUT	-0.0756666666666667
ZNF57	-0.259
FBXL4	0.888125
CLEC9A	0.0035
UGT8	-0.853833333333333
BMP2K	-0.03775
MAPK4	-3.8195
SLC25A23	0.0188
HINT1	-1.5022
KRTAP13-1	0.1405
SFXN5	-0.1937
CHCHD2	0.0493333333333334
FAM3D	1.3025
NDP	-3.191375
RHOBTB1	0.5975
SLC4A4	-1.19775
RPL38	0.30525
HTF9C	-0.738666666666667
AP2A2	0.555375
ZBTB46	0.0325
MAP7D1	0.240375
AOX1	-1.72466666666667
CYR61	0.633666666666667
DTNA	-0.140357142857143
JRKL	-0.4795
TMOD3	-0.98775
EEA1	0.0939
ADCK5	-0.35025
IL1R1	0.6495
KLK3	0.875142857142857
HRSP12	-0.9235
KTN1	0.23675
LOH11CR2A	0.9111
RELL2	-2.24
MAB21L1	1.78425
C20orf59	-0.421
PHKB	-0.168
ADAM2	-1.282
TBC1D8B	0.996833333333333
FAM13A1	-0.8814375
LAPTM4B	-1.25775
LCN8	0.4685
TMEM147	1.1065
SYT4	0.222
XPO7	-0.589
C9orf62	1.36475
GPR75	-0.225
TRIM5	0.120125
APOC1	-1.02466666666667
RNASE4	1.33833333333333
PARD6B	-1.692875
ARID1A	-0.07325
TPD52L3	0.1678
RRAGB	1.02866666666667
RCN2	-0.6265
HIST2H2BE	2.465
STARD7	-0.63725
SHMT2	-1.12625
KIAA1751	0.539166666666667
MLYCD	0.1225
LOC162632	0.9379
UQCRH	-1.26025
RP11-217H1.1	0.3648125
SDHA	-1.234
NCLN	-0.3804
ZNF17	1.749
RCBTB2	-1.25025
VEGFB	0.7425
RP4-747L4.3	-0.126
COLQ	0.8585
MPN2	-0.471666666666667
DRG2	1.32775
KLRB1	1.838
ALPK2	-3.3025
DNASE2B	1.14175
FLJ23834	0.502666666666667
AXUD1	1.00883333333333
SAFB	-0.2317
NSUN4	-0.15575
RFX2	0.0998333333333333
MAPK8IP1	-0.1905
FANCD2	-1.88592857142857
ANKZF1	-0.618833333333333
C19orf50	-0.439125
DUSP8	0.835875
SENP5	-0.550375
NFKBIL2	-0.95675
LBR	-1.743625
IGFL1	-0.0925
LZTS2	0.699375
IL2RG	-1.468875
CCDC51	-0.047
KLF3	0.62375
ANKRD37	-1.2475
KCTD14	-0.7615
FZR1	0.462416666666667
SLC44A4	3.6428
ESPL1	-1.21725
GMPR2	0.2843
TBC1D19	-0.430166666666667
ERGIC1	1.23622222222222
ERBB4	1.8791
TSPAN32	-0.0685
MAP4	0.461
GPHN	-0.4515
SLC6A2	0.0785
HIVEP1	0.6585
DFFB	-0.1065
EIF4EBP2	0.3965
DMRT1	-0.06875
HSPB6	-0.20275
IER2	0.544
AIFM1	-0.697
WWC2	-0.606636363636364
MRPL4	-0.41275
FLJ21062	0.799166666666667
EPB41L4A	1.0625
SH2D6	0.596
TAF4B	-0.69725
GAL3ST3	-0.194
MALT1	-1.9125
RTDR1	-0.37875
ARVCF	-0.644875
MEX3B	0.139666666666667
FBXO16	0.6425
KIF7	-1.02225
C1QC	3.51833333333333
ZNF783	-0.444666666666667
ZNF85	-0.33475
MMP13	4.8745
KIAA0329	0.357625
RTP3	-0.7405
ZBED3	-0.29225
CLGN	0.96275
SLC25A37	-1.36170833333333
hCG_18290	0.37925
OR5AS1	0.2025
SMARCC2	0.574416666666667
FAM109A	0.0618333333333333
CCDC12	0.085
USF2	1.1627
DEPDC7	-1.738
C20orf24	-0.998666666666667
JMJD3	0.46
DSP	1.03035714285714
SLIC1	0.25375
FAM20A	1.281375
IRF2BP2	1.0585
ZNF230	-0.7635
MSN	-0.683571428571428
SLC9A5	-1.652
EPDR1	-1.4045
MUSK	0.0768333333333333
ZNF434	0.721
SMARCD1	-0.561833333333333
ZFP106	-0.34525
ZNF347	-1.144
GTF2E1	0.0645
RY1	-0.533333333333333
ATAD2B	-0.0085
