Hybridization REF	TCGA-BH-A0HW-01A-11R-A034-07
ERCC8	-0.666
GPX4	0.417375
KIAA0368	0.712375
GPR157	-0.9465
CTAGE4	0.5815
C9orf30	-1.40233333333333
OR52A1	0.895
HSP90B3P	-0.7645
ALG9	-0.5196
BTBD10	0.932
SDK2	-0.75475
BAIAP3	-1.80825
RABGGTB	-0.80275
ANKRD40	1.37866666666667
KRT74	0.06
CALCOCO2	1.6445
SNCA	-4.45125
TMSL8	-3.184875
C2orf53	0.1685
ESRRB	-0.8245
ARHGAP26	-1.890625
TDRD9	-3.36575
HRAS	0.949
KLRC4	-2.74
JAGN1	-0.683666666666667
BSDC1	0.8035
RNF43	1.8105
NDUFAF1	0.942
PHF12	0.60825
OR1L3	0.12525
FOLR2	1.20908333333333
LYZL6	0.233
tcag7.1260	-1.8275
WSB1	-0.422666666666667
PROS1	-2.0308
OSTN	0.676
PSMB8	-0.47475
SOCS4	-0.173875
DDIT4L	2.072
MAS1	-0.4005
MGC34796	1.21075
CSHL1	0.160333333333333
TBCCD1	0.0168333333333333
ZBTB7C	0.001
AP2S1	-0.513625
P15RS	0.6616
VAT1	0.2339
SHANK3	0.211333333333333
TUFM	-0.286833333333333
THEG	0.319
KRT34	-0.13525
SGSM3	0.168625
TOMM22	0.033875
SOCS3	0.916833333333333
CPO	0.3375
POP4	0.58625
BHLHB3	-2.84275
MALL	0.296
OR1B1	0.5885
PARK2	0.3548
GPR124	-0.172125
LCE1E	0.61
RUVBL2	-0.28925
CGRRF1	0.8358
ACPL2	0.7315
WNT10B	-3.245625
BAIAP2L2	-1.61875
ISCA1	0.854
C1orf125	0.88525
RPAP1	-0.21175
RAI16	-1.374
RPL27	0.392875
NLRP9	0.211
EPN1	0.396
LOC388610	-1.790375
SLC35A1	0.9562
GAL	-4.6555
SLC14A2	0.2155
RDH11	0.106333333333333
FAM138F	-0.4325
AUH	0.5135
FLJ40243	-0.60025
C14orf129	1.292
MBD2	-0.7995
ABHD14B	0.16
PIGT	0.182
ALS2CR4	-0.3585
ALAS1	-0.5269
FOXO1	0.413666666666667
CRLF3	0.656
C20orf107	1.6055
FARS2	1.031
CCDC28A	0.076
NPHP3	-1.1815
OR13F1	0.8505
TSEN54	0.384
DEFB106B	0.7185
OR8B4	0.023
STH	2.872
ZC3H14	-0.534875
CBX2	-0.06
TMEM49	0.0075
C6orf21	0.779
FLJ20920	1.888375
CRTAP	-0.835428571428572
DDX50	-0.371
STYXL1	0.3625
BLVRB	0.0196666666666667
LOC147650	1.27233333333333
MMP24	0.523
GRID1	0.928166666666667
BANF1	-0.661833333333333
CTAGEP	0.4725
HMBS	-1.9815
SLC25A24	0.0605
C14orf50	2.96925
MRO	0.0685
SLC25A15	1.12375
FAM84B	1.8635
TDP1	-1.05
C16orf78	-0.0966666666666666
C11orf57	0.00425
RFK	-0.0695
ZFYVE9	-0.166125
STCH	-1.1488
WIBG	-0.10475
LOC283871	-0.3145
GBA2	0.262
NDUFB3	0.2035
HSD17B13	-0.40075
GRIN3A	0.114666666666667
FMNL1	-2.69516666666667
SEPT7	-0.6259
GNLY	1
GRAMD1C	1.58916666666667
ZNF165	1.057
USP38	0.72675
FAM83A	-4.20966666666667
C14orf24	1.26358333333333
ARMCX3	1.075625
ARHGDIB	-0.452333333333333
AK1	0.315875
KIAA1045	-1.84025
DNAJB13	-0.631666666666667
NEU2	-0.129
HIST1H4B	-0.805166666666667
FAM20B	-0.5987
HES2	-0.2155
FAM73B	-0.5986
LOC388381	2.064
INTS7	-1.49863636363636
AMPH	-0.3335
ZNF775	-0.460625
UCKL1	-0.621166666666667
C10orf97	0.6505
C1orf161	-0.64925
ALDH1L1	-1.79975
FLJ39378	0.39075
SLC23A1	0.0875
RBM4B	0.19525
THAP4	-0.352333333333333
OGFRL1	-0.4145
KIAA0831	0.412625
PPP1R15A	-0.3355
C1orf96	-0.845714285714286
C12orf11	-1.5965
BMF	1.113125
MAN1A1	1.002875
KIAA1600	-0.153833333333333
NLGN4X	-1.81525
ALOX12	-0.921166666666667
RB1CC1	-0.0921
NEIL2	0.2165
EIF4E	0.989136363636364
ABHD5	-0.2285
EXOC4	-0.523666666666667
CIP29	0.635166666666667
BATF2	-0.34325
SLC29A4	-0.3445
HTR4	-0.27675
EMB	-0.245
TRAF6	0.6545
LMNB1	-1.5265
FAM19A5	-1.791125
SHE	0.029
PIK3C2B	0.625
C15orf15	-0.5772
USP15	-0.00540000000000001
TCEAL2	1.42125
C5orf39	-1.21966666666667
PTGER2	3.2495
SLC31A1	-0.95525
IFT172	0.32875
ADAM29	0.72725
GFOD1	-0.90875
ST7L	0.432833333333333
C15orf26	-2.964
PKN3	-1.30275
CNTD1	4.34183333333333
COMMD1	0.15175
NTRK2	2.07891666666667
FOXN3	0.0115
MFGE8	-1.9167
PFKFB2	0.6825
TAS2R4	0.0355
ENTHD1	-1.78716666666667
PRMT5	-0.889125
MGC16384	-1.089
LOC442229	-0.363
TSKU	2.854625
KRTCAP3	2.997875
PDLIM1	-0.127444444444444
KCNS2	-1.532
RNF126	-0.929666666666667
CEP63	0.329625
CLIC4	-0.9985
hCG_1990170	-1.976
ACR	0.4499
KLK7	-2.2685
ALOX5AP	0.90725
RIPK3	3.7065
TAS2R9	0.765
C19orf18	3.2485
BIRC6	0.107785714285714
ZNF16	1.591
RFT1	-0.703
SLC8A2	-0.78425
TACC1	-2.478125
ITGAD	-1.191
SAMHD1	-0.70375
SH3PXD2B	0.2329
EPC2	0.692
C20orf85	0.745625
ATP13A2	-0.248666666666667
KRT4	0.457714285714286
CAPNS1	-0.0485
MDM2	0.604833333333333
PCDH20	2.68833333333333
KCNK9	2.4305
OR2C1	-0.5045
KLHDC3	-1.141
IPPK	0.6325
EFHD2	-1.265625
GALR3	-0.27225
NBEA	2.45683333333333
ABCA6	0.0629
CLDN3	2.58066666666667
AKT2	-0.993642857142857
EGFR	-3.041
RBM16	0.185
ZDHHC3	0.1328
SLC25A4	0.126333333333333
CYB5B	-0.904666666666667
CPXM1	-2.409
NDRG1	-0.174230769230769
FLJ43826	0.13475
OR5L2	-0.0618
FARP2	0.0163
MRPL46	-0.14775
LDHAL6B	-0.3615
MAPKAPK3	-0.230333333333333
NCAM2	1.6565
PRKD2	-0.452833333333333
ZFP36L1	0.3327
CYSLTR1	-1.91025
OR4C3	0.33275
HIST1H2AJ	3.573
CCNB2	-2.32166666666667
ZNF10	0.603875
TMEM175	0.072
FAM134A	1.16533333333333
TIGD4	1.2285
PCNP	-0.30525
MGC39715	-0.4015
LQK1	0.28275
CREB1	0.0772
TMPRSS3	-3.285
C4orf32	2.70875
LAT	-2.61266666666667
KCNA3	0.51
SKIV2L2	-0.582
ROPN1B	-3.78433333333333
tcag7.23	-0.3725
CDT1	-3.118125
ZHX2	1.695875
CD28	-4.88475
ZNF624	0.8855
SEPT2	-0.777583333333333
SOHLH2	-2.06575
MCOLN3	2.307875
UNQ1945	0.286
MASP2	-1.049
ZNRF3	-0.1513
GPATCH3	-0.742
AGL	0.222625
QRICH2	0.6255
PSD4	0.0413333333333333
CCNB1IP1	-1.5415
ENPP7	0.092
OBFC1	0.2555
KCNG3	-1.7935
C14orf79	0.953916666666667
ENPEP	1.79366666666667
SCT	-0.3195
SKI	0.070125
SEC61G	-0.56375
CAPN11	-1.679
ATXN7L3	0.4725
DBNDD1	-0.181333333333333
FAIM	-0.64025
ANKRD36	-0.9075
GABRP	-0.734166666666667
TACSTD2	0.462333333333333
EIF3J	-0.22575
PPP2R2A	-1.7505
TEKT4	0.0368333333333333
PVALB	-0.894666666666667
F10	-3.62183333333333
FAM134C	1.2786
COMP	2.601375
EFCBP1	-3.04766666666667
SCLT1	0.126
TAL1	-1.3168
ACSL1	0.05125
ABCC5	-0.293
ABL1	-0.648611111111111
RBBP7	0.13675
PTPRG	-0.37925
NCOR1	-0.47
SPINK4	4.01416666666667
TXNRD1	-0.9395
TNRC15	0.466375
C9orf138	0.78275
UBE2H	0.943833333333333
BRDT	-0.245666666666667
C8orf31	0.004
CCNE2	0.188454545454545
SLC6A8	-1.979375
CALCR	-3.781
PPP1CB	0.860166666666667
ABHD8	-0.00599999999999999
ARF5	0.2403
SLC24A4	-0.48725
CCT3	-0.57925
ZNF121	0.356875
SLC3A2	-0.6842
OR13A1	0.2955
SLC5A10	1.1145
RAD50	0.298625
IER5	-0.7205
MTHFD1L	-1.493625
MBTPS2	-0.395
MVK	-0.47925
NCL	-0.1986
PSMD10	0.53325
MOBP	-0.368
FLJ32894	-0.055
HRH1	-2.059
C5orf30	0.854
NUDT16L1	1.1304
RASGRP3	3.44283333333333
PRKRIP1	-0.0339
CCDC75	-0.7345
LOC253970	0.85175
KIAA1239	0.9935
MED21	-0.6745
SYT11	-0.740909090909091
NTSR2	-0.681
EGFL11	0.815
CXorf59	0.36
OR2A25	0.322
SPTBN2	-1.05275
LRMP	-2.037
RNF111	0.27625
PTH	-0.228
LOC619208	-0.202
KIAA0895	1.773
RANBP5	-0.82275
P2RY10	-1.60166666666667
NME5	4.91583333333333
DDX21	-0.631
LRSAM1	-0.0005
HDAC11	1.22033333333333
VMO1	1.164
NOLA2	0.461666666666667
ADAR	0.102416666666667
MTO1	-1.361
SF4	0.1345
P2RX1	-0.406333333333333
HBM	0.9565
EN2	0.2535
C14orf172	0.5035
TM9SF2	0.8884
INHBE	-1.86783333333333
TCTE3	-0.444333333333333
TOX2	-3.79025
CTAGE3	0.189125
HBB	4.3001
MED15	0.243166666666667
CASR	-0.27775
C6orf66	-1.29766666666667
MTPN	-0.23075
UNC50	0.5115
C21orf33	1.033125
IRF2	0.788625
PGR	-3.6515
GPR84	0.73325
CROCCL1	-1.40425
SRPX	-3.855
BRE	-0.147666666666667
FGF10	6.76275
SDC3	-0.774
ZRSR1	0.451
DKFZP434P211	-1.1575
SOX6	-1.057
RPUSD2	0.1655
C14orf173	-0.478666666666667
MAPK11	-0.594333333333333
TBC1D22A	0.4145
FAM123A	-0.227
COL4A6	-3.57433333333333
TOMM70A	-0.00425
NAB1	-0.912375
MGC16385	-0.673875
TSPAN18	-1.74166666666667
MED31	-0.24325
PLG	0.01675
CAPSL	0.3275
ZNF532	-0.1045
ASB14	0.23375
CA8	1.54375
NUDT16P	2.74916666666667
SLFN11	-2.672
LRRIQ2	-0.034875
NOL7	-0.066
BRMS1L	-0.7445
JARID1A	0.478166666666667
PANK2	-0.187
ICAM3	-0.26475
MDS1	-1.33175
TAF8	-1.05475
RNF139	0.954
ZNF594	0.736333333333333
ADAM8	0.382625
SFTPC	-0.34375
MAN2B2	0.88725
RGS12	0.0389375
EIF1AY	-4.46675
LRRIQ1	0.758
GPR150	-0.2975
CCDC21	-1.73316666666667
PRRG3	0.384
SAA4	-3.9615
RAPGEF5	1.7785
ZCCHC2	0.884083333333333
MGC39372	0.138
PPP4R2	0.567166666666667
CDCA2	-3.12333333333333
OR4D5	0.0726
PTGFRN	-0.896
SIGLEC5	1.23466666666667
C19orf61	-0.422166666666667
NMUR2	0.8525
KIAA1586	-0.683333333333333
DAGLA	-0.27
CHCHD6	-0.49725
GPR32	0.217
NEUROD6	-0.5456
SLC2A4RG	-0.00393749999999998
CA5B	0.83375
FBXL3	1.02675
MPHOSPH9	-1.50025
HMG2L1	0.42675
HCN4	-0.2976
CEACAM19	1.29325
SH2D4B	-1.13
HFE2	-1.039
TGM4	-0.215
LYPD2	0.0875
TBC1D15	0.11875
MRPS21	-0.5371
NONO	-0.6115
CLEC5A	1.136625
ITCH	0.2999
MGAT3	-1.00133333333333
MBP	-0.0871250000000001
RPP25	-1.87775
SOSTDC1	-1.8845
HRC	-1.45375
TRIM48	0.927
TMEM133	-0.01175
ECEL1P2	-2.2395
HOXC11	-2.232
DOK5	-1.5495
HELZ	1.479
LOC348180	-1.2895
MGC33894	0.857
ADRB3	0.4575
DMD	-0.638
PTRH2	0.97
MPEG1	2.15716666666667
NDUFA12	0.3255
KRTAP2-4	0.0836363636363637
STAMBPL1	-1.68116666666667
ADCY2	-0.8185
UNQ6125	0.582
KLHL20	-0.0840000000000001
SRM	-1.7275
OTC	-0.197
TMIE	-0.389833333333333
SNX8	0.07875
LIPK	-0.5465
CHURC1	-0.37225
KLC2	0.468
HDAC1	0.0131666666666667
FAM128A	-0.0243333333333333
FNDC3B	-2.0073
MTCP1	-0.107833333333333
WFDC10B	0.5184
PCDHGB3	0.796
ATRNL1	0.1877
CAV2	-1.204375
MED26	0.0435
DUS1L	1.282
CHRM3	-2.032375
NEK9	0.2895
WARS2	-0.8845
TBX22	0.1625
TOMM40	-1.00675
RP6-213H19.1	-2.653
TUBGCP5	-0.05275
IGSF6	3.48775
TPPP	0.829833333333333
UNQ6190	-0.146
GSTM5	-0.504375
BTD	-0.785333333333333
PDCD1LG2	-0.7154
SNRPB2	0.171166666666667
ERICH1	-0.614625
APOA4	-1.424875
HOXA11	-1.48275
NARG1	0.59525
MKX	-0.90825
RAB28	0.0737142857142857
PKP3	0.997
SH3GL2	3.28725
CTSO	3.86675
RPN2	0.2141875
IL28RA	0.3765
SFMBT1	0.6405
WDR57	0.022375
FER1L3	0.922
HSF5	0.1884
TTC9B	0.23175
C4BPA	-3.50716666666667
ALB	-4.37646153846154
SORBS3	0.786
UPF2	0.376
JPH1	0.8985
AGBL2	2.7065
DOPEY1	0.6985
TERF1	0.770333333333333
KIF22	-0.945333333333333
NINJ1	0.17975
SEC61A2	-0.881666666666667
HIST1H1D	-0.778166666666667
SFXN4	0.51125
UCP3	-0.0245
ZNF703	2.99333333333333
MYL6B	0.2025
TREM1	1.75125
OR52E6	0.0375
CKMT2	0.418
HLA-C	0.58275
SLC13A3	-2.84116666666667
TIMP4	-2.7325
SLIT2	0.46875
RSF1	0.341666666666667
LONRF1	-1.01321428571429
MON1A	-0.170333333333333
CACNG6	-2.30833333333333
DPPA4	-5.47566666666667
ZSWIM3	-0.323
ZNF804A	-0.293333333333333
CCIN	0.7595
SLC25A31	0.4985
KCNMB4	3.21625
RABL5	0.93725
GALNS	-0.3853
STX6	-0.599875
HIST1H1C	0.303333333333333
CIDEB	0.546875
CASP4	-1.11766666666667
PDK3	-0.3989
KCNJ11	0.7665
TPR	-0.520875
ZSCAN20	-1.037
MTX2	-0.28575
HIST1H2BH	1.84525
LOC283767	2.1805
LYRM7	-0.828222222222222
BRD3	-0.0335
HIST1H2BO	1.2665
MAGEB10	-0.3165
SLC45A1	1.196
SERPINA3	-1.2557
KIAA0143	0.84025
KCNJ16	-0.2255
KRT79	-0.52175
FABP2	-0.14275
NUT	-0.9465
ZNF57	-0.26375
FBXL4	-0.3185
CLEC9A	0.1705
UGT8	-1.40533333333333
BMP2K	-0.17875
MAPK4	-3.74525
SLC25A23	0.1256
HINT1	-0.8929
KRTAP13-1	0.5485
SFXN5	-0.000300000000000067
CHCHD2	0.435916666666667
FAM3D	1.2365
NDP	4.692125
RHOBTB1	0.2605
SLC4A4	-1.359875
RPL38	0.8145
HTF9C	1.43466666666667
AP2A2	0.296625
ZBTB46	-1.3355
MAP7D1	-0.770625
AOX1	-2.70116666666667
CYR61	-0.634583333333333
DTNA	0.220642857142857
JRKL	0.32325
TMOD3	0.12
EEA1	-0.4649
ADCK5	-0.22675
IL1R1	1.6915
KLK3	0.398357142857143
HRSP12	-0.09375
KTN1	0.77575
LOH11CR2A	-0.7901
RELL2	-0.64275
MAB21L1	-0.1715
C20orf59	-1.39533333333333
PHKB	0.29725
ADAM2	-1.341
TBC1D8B	1.71833333333333
FAM13A1	-1.298125
LAPTM4B	4.62716666666667
LCN8	0.023
TMEM147	0.868
SYT4	-0.415833333333333
XPO7	-1.5595
C9orf62	0.21
GPR75	0.2515
TRIM5	0.147875
APOC1	-0.79
RNASE4	1.6965
PARD6B	0.981
ARID1A	-0.65075
TPD52L3	0.5635
RRAGB	1.573
RCN2	0.108333333333333
HIST2H2BE	2.6151875
STARD7	-0.17875
SHMT2	-1.5905
KIAA1751	-0.0331666666666666
MLYCD	-0.188875
LOC162632	0.9684
UQCRH	-1.43825
RP11-217H1.1	0.13175
SDHA	-2.05333333333333
NCLN	-0.448
ZNF17	0.783166666666667
RCBTB2	-2.428
VEGFB	-0.441
RP4-747L4.3	-0.01275
COLQ	0.6729
MPN2	-0.5254
DRG2	-0.46675
KLRB1	2.698
ALPK2	-3.50425
DNASE2B	0.762
FLJ23834	-0.0806666666666667
AXUD1	-0.201166666666667
SAFB	-0.4764
NSUN4	-0.93425
RFX2	0.449333333333333
MAPK8IP1	-1.0095
FANCD2	-1.144
ANKZF1	-1.75233333333333
C19orf50	-0.570375
DUSP8	1.1385
SENP5	-0.382125
NFKBIL2	0.0669999999999999
LBR	-2.625125
IGFL1	2.3635
LZTS2	-0.368
IL2RG	-1.92525
CCDC51	0.04925
KLF3	0.00175000000000004
ANKRD37	-0.70975
KCTD14	0.526
FZR1	-0.328416666666667
SLC44A4	3.4486
ESPL1	-1.31575
GMPR2	-0.158
TBC1D19	-0.269666666666667
ERGIC1	1.01055555555556
ERBB4	4.0796
TSPAN32	-0.143333333333333
MAP4	-0.86225
GPHN	0.9065
SLC6A2	0.120625
HIVEP1	0.08325
DFFB	-0.138888888888889
EIF4EBP2	-0.456875
DMRT1	-0.605
HSPB6	-0.3825
IER2	0.472833333333333
AIFM1	-0.13425
WWC2	-0.521416666666667
MRPL4	-0.75975
FLJ21062	0.656
EPB41L4A	1.38675
SH2D6	0.0677499999999999
TAF4B	-0.77475
GAL3ST3	0.2525
MALT1	-0.994666666666667
RTDR1	-0.01225
ARVCF	0.924375
MEX3B	-1.13716666666667
FBXO16	0.6995
KIF7	-0.66525
C1QC	3.86166666666667
ZNF783	0.225
ZNF85	0.63325
MMP13	1.4675
KIAA0329	0.472625
RTP3	-0.6555
ZBED3	0.48625
CLGN	1.01425
SLC25A37	-1.96041666666667
hCG_18290	0.00899999999999999
OR5AS1	0.199
SMARCC2	-0.259
FAM109A	-0.214666666666667
CCDC12	0.753
USF2	0.3726
DEPDC7	-3.21775
C20orf24	-0.409166666666667
JMJD3	0.104
DSP	2.51164285714286
SLIC1	-0.269875
FAM20A	-1.45525
IRF2BP2	-0.2785
ZNF230	0.821
MSN	-1.90285714285714
