Hybridization REF	TCGA-B6-A0RS-01A-11R-A084-07
DCTN1	-0.0995
LIN28B	-4.22083333333333
TNKS2	-0.5895
C1QBP	-0.871125
CADPS2	2.20375
SRMS	0.37325
GJA9	0.136833333333333
MGC24975	-1.41483333333333
TRIM45	-1.37316666666667
TSP50	-0.40225
TCP1	-1.35875
TMED7	-0.2429
CMA1	0.277
CENPL	0.519833333333333
PTCRA	0.6455
FST	-4.53575
VWCE	-3.76225
PAWR	0.965
ABCC12	3.4485
LDLR	-0.6062
ASTN2	-0.3084
LOC441212	-0.65225
GPATCH8	0.157
TANC2	-0.05375
KIF4A	-1.23725
C18orf18	-2.04575
PGM1	-0.16875
KIAA0258	0.962
CPD	0.717
SNCAIP	-0.78875
DCT	-4.7935
HLA-DOA	3.15754545454545
OR11L1	0.3065
UPK1B	-0.448333333333333
DNAJB4	0.889625
UGT1A8	-0.39925
HIST1H4L	-1.36
PECR	-0.513333333333333
HSPA2	0.5695
WFIKKN1	-3.203
SERP1	1.197
SYDE2	2.87625
TACR2	0.564
NUP85	-0.01325
CD177	-0.843
LGR5	-2.14233333333333
PIGG	-0.665916666666667
PTHR1	-2.16366666666667
RAB5A	0.7598
FLJ13224	-0.4895
USP9Y	-1.2555
C7orf53	0.041
LRP1B	-0.9185
XAF1	2.0971
ABCG8	-0.4105
ANKDD1A	-0.581333333333333
DAND5	-1.138
SPAG6	6.37033333333333
LINCR	1.862
ZDHHC22	-1.856
CCDC60	0.459
THOC7	-1.3735
TCTA	0.7457
OR8K3	-0.25425
NY-REN-7	-2.14
B2M	1.71566666666667
C6orf141	-0.5895
LPPR4	3.23875
SQLE	-0.620875
SEPHS1	0.53375
BTBD14B	-0.101285714285714
PLRG1	-0.408
SPG7	-0.9193125
ZNF614	0.840833333333333
PARD6G	-0.340666666666667
INPP5B	-0.8864
GRPEL2	-0.476625
PPID	-0.7034
TRIM56	-0.83075
UBE2J1	0.582625
IL20RA	1.0965
LOC387856	0.04975
C1orf107	1.04316666666667
UTS2R	0.30325
C19orf22	1.4895
SAFB2	-0.312125
KIAA0652	0.247625
KLRG1	-0.840333333333333
MS4A8B	0.0673999999999999
FRAG1	1.03875
KIAA1546	0.1845
E2F4	-1.018
CLEC4M	0.318833333333333
BTBD14A	0.61975
KIAA0999	0.2429
GYPA	-3.23783333333333
TAC1	0.2614
TRAIP	-1.8395
KIAA0232	-0.0591
ERCC8	-1.064
GPX4	0.456375
KIAA0368	-0.918125
GPR157	0.869
CTAGE4	1.595
C9orf30	-0.5155
OR52A1	0.8345
HSP90B3P	0.1145
ALG9	0.243
BTBD10	0.2775
SDK2	0.00299999999999999
BAIAP3	-1.10925
RABGGTB	-1.06275
ANKRD40	0.2265
KRT74	0.611
CALCOCO2	0.200428571428571
SNCA	-2.436
TMSL8	-2.514
C2orf53	0.733
ESRRB	-0.85225
ARHGAP26	-0.61075
TDRD9	-0.92925
HRAS	-0.403833333333333
KLRC4	-2.265
JAGN1	-0.0311666666666667
BSDC1	0.26975
RNF43	-0.4995
NDUFAF1	0.30325
PHF12	0.31975
OR1L3	0.18375
FOLR2	1.58533333333333
LYZL6	0.176166666666667
tcag7.1260	-1.383
WSB1	-1.43133333333333
PROS1	-0.7235
OSTN	0.3895
PSMB8	0.0725
SOCS4	-0.149
DDIT4L	0.23725
MAS1	0.293
MGC34796	0.435
CSHL1	0.3425
TBCCD1	1.09483333333333
ZBTB7C	-0.1635
AP2S1	-0.245625
P15RS	-0.00739999999999998
VAT1	1.269
SHANK3	0.662666666666667
TUFM	-0.309833333333333
THEG	-1.0175
KRT34	-2.38575
SGSM3	0.038625
TOMM22	0.333
SOCS3	2.18983333333333
CPO	1.039
POP4	0.482
BHLHB3	0.0885
MALL	1.95025
OR1B1	0.228
PARK2	0.4495
GPR124	0.2505
LCE1E	0.048
RUVBL2	-0.207
CGRRF1	0.5617
ACPL2	0.4015
WNT10B	-2.479875
BAIAP2L2	-1.872125
ISCA1	-0.226
C1orf125	0.4895
RPAP1	-0.31625
RAI16	-0.8555
RPL27	0.085375
NLRP9	0.5765
EPN1	0
LOC388610	-1.183875
SLC35A1	1.1807
GAL	-3.19175
SLC14A2	0.2455
RDH11	-0.876166666666667
FAM138F	-0.1905
AUH	0.0155
FLJ40243	0.0755
C14orf129	1.01933333333333
MBD2	-0.690166666666666
ABHD14B	0.04525
PIGT	0.127125
ALS2CR4	0.096625
ALAS1	0.3088
FOXO1	0.457333333333333
CRLF3	0.496625
C20orf107	0.3615
FARS2	1.0315
CCDC28A	0.06175
NPHP3	-0.05875
OR13F1	0.12
TSEN54	-0.4065
DEFB106B	0.4096
OR8B4	0.607
STH	-0.3975
ZC3H14	0.266375
CBX2	-0.432
TMEM49	-0.26275
C6orf21	0.5955
FLJ20920	-0.2955
CRTAP	-0.166785714285714
DDX50	0.3415
STYXL1	0.2795
BLVRB	0.383666666666667
LOC147650	-0.947333333333333
MMP24	-0.04125
GRID1	1.84833333333333
BANF1	0.282833333333333
CTAGEP	0.49825
HMBS	-1.4075
SLC25A24	0.3035
C14orf50	0.03325
MRO	1.37733333333333
SLC25A15	-0.63775
FAM84B	0.6433
TDP1	-0.0015
C16orf78	-0.358333333333333
C11orf57	0.1625
RFK	-1.139125
ZFYVE9	-0.52325
STCH	-0.6891
WIBG	0.479
LOC283871	-0.311
GBA2	-0.2591
NDUFB3	0.0725
HSD17B13	-0.33025
GRIN3A	1.96433333333333
FMNL1	-0.212666666666667
SEPT7	0.0244
GNLY	4.2615
GRAMD1C	0.7155
ZNF165	0.791
USP38	1.75575
FAM83A	-0.560333333333333
C14orf24	1.17341666666667
ARMCX3	1.33175
ARHGDIB	0.641666666666667
AK1	0.446375
KIAA1045	0.3465
DNAJB13	-0.432833333333333
NEU2	0.4385
HIST1H4B	-1.0535
FAM20B	0.0574
HES2	0.411857142857143
FAM73B	-0.2114
LOC388381	-0.269
INTS7	-0.380545454545455
AMPH	0.304
ZNF775	-1.0855
UCKL1	-1.40683333333333
C10orf97	0.15675
C1orf161	-0.36375
ALDH1L1	-1.70125
FLJ39378	0.120375
SLC23A1	-1.591
RBM4B	0.766
THAP4	-0.0898333333333333
OGFRL1	1.094
KIAA0831	0.477375
PPP1R15A	0.726833333333333
C1orf96	0.121785714285714
C12orf11	-1.1785
BMF	0.1565
MAN1A1	-1.060125
KIAA1600	0.6755
NLGN4X	-1.3345
ALOX12	-1.5225
RB1CC1	-0.2101
NEIL2	-0.0912
EIF4E	-0.329409090909091
ABHD5	0.52975
EXOC4	0.365333333333333
CIP29	0.1595
BATF2	1.44675
SLC29A4	-0.0175
HTR4	0.043
EMB	-1.2665
TRAF6	1.1535
LMNB1	-1.0565
FAM19A5	0.0135
SHE	1.6505
PIK3C2B	1.537
C15orf15	-0.3188
USP15	0.2091
TCEAL2	-0.0665
C5orf39	-0.5725
PTGER2	-0.51725
SLC31A1	0.187875
IFT172	0.137
ADAM29	0.28475
GFOD1	2.67075
ST7L	0.3965
C15orf26	-2.2895
PKN3	0.49775
CNTD1	3.79383333333333
COMMD1	0.229375
NTRK2	1.74041666666667
FOXN3	0.641625
MFGE8	-0.0217
PFKFB2	0.651
TAS2R4	-0.26025
ENTHD1	1.65916666666667
PRMT5	-0.755375
MGC16384	-1.2185
LOC442229	-0.80325
TSKU	1.18925
KRTCAP3	2.71675
PDLIM1	-0.0516
KCNS2	-0.006
RNF126	-0.798666666666667
CEP63	-0.223625
CLIC4	-0.050875
hCG_1990170	-1.266
ACR	0.5082
KLK7	2.82675
ALOX5AP	2.886875
RIPK3	3.04025
TAS2R9	0.169
C19orf18	1.074
BIRC6	0.330142857142857
ZNF16	1.212
RFT1	-0.75075
SLC8A2	-0.828
TACC1	0.080625
ITGAD	1.85875
SAMHD1	1.69875
SH3PXD2B	1.3248
EPC2	0.53975
C20orf85	-0.130125
ATP13A2	-0.0533333333333333
KRT4	3.6755
CAPNS1	0.722
MDM2	-0.252666666666667
PCDH20	4.00425
KCNK9	0.4685
OR2C1	-0.7125
KLHDC3	-0.622333333333333
IPPK	0.507
EFHD2	-0.404625
GALR3	0.347
NBEA	0.607666666666667
ABCA6	2.213
CLDN3	2.06266666666667
AKT2	0.113642857142857
EGFR	-1.1969
RBM16	0.3345
ZDHHC3	0.4399
SLC25A4	-0.817166666666667
CYB5B	-0.7445
CPXM1	-0.656
NDRG1	-0.326923076923077
FLJ43826	0.66
OR5L2	0.165666666666667
FARP2	-0.0824000000000001
MRPL46	-0.911333333333333
LDHAL6B	0.0201666666666667
MAPKAPK3	-0.678166666666667
NCAM2	-1.475
PRKD2	0.5745
ZFP36L1	2.6092
CYSLTR1	1.60375
OR4C3	0.05675
HIST1H2AJ	1.2395
CCNB2	-1.65144444444444
ZNF10	-0.025875
TMEM175	0.009
FAM134A	0.937833333333333
TIGD4	-0.7465
PCNP	-0.8865
MGC39715	1.5745
LQK1	-2.7495
CREB1	0.529
TMPRSS3	-1.11825
C4orf32	1.43275
LAT	-1.59225
KCNA3	0.4715
SKIV2L2	-1.1175
ROPN1B	-4.6645
tcag7.23	0.704
CDT1	-2.638875
ZHX2	0.304875
CD28	-2.289
ZNF624	0.98475
SEPT2	0.624083333333333
SOHLH2	-1.514875
MCOLN3	1.772125
UNQ1945	0.5585
MASP2	-1.161
ZNRF3	-0.6798
GPATCH3	-0.555
AGL	-0.30625
QRICH2	-0.244
PSD4	0.521333333333333
CCNB1IP1	-0.87975
ENPP7	0.18275
OBFC1	0.3315
KCNG3	-0.79175
C14orf79	-0.602916666666667
ENPEP	2.131
SCT	1.101
SKI	0.439
SEC61G	-0.64375
CAPN11	-0.1465
ATXN7L3	0.34875
DBNDD1	0.172
FAIM	0.0285
ANKRD36	-0.4625
GABRP	0.104333333333333
TACSTD2	-0.359166666666667
EIF3J	0.056
PPP2R2A	-1.10375
TEKT4	-0.249833333333333
PVALB	-3.80416666666667
F10	-2.93433333333333
FAM134C	1.2
COMP	3.972125
EFCBP1	-2.44946666666667
SCLT1	0.284
TAL1	-0.9944
ACSL1	1.9635
ABCC5	0.31475
ABL1	0.00822222222222219
RBBP7	-1.05408333333333
PTPRG	-1.242875
NCOR1	-0.2264
SPINK4	-2.34433333333333
TXNRD1	-0.9291
TNRC15	0.146125
C9orf138	2.02475
UBE2H	0.102
BRDT	-0.0333333333333333
C8orf31	-0.1555
CCNE2	0.0765454545454545
SLC6A8	-2.001625
CALCR	-3.7825
PPP1CB	0.624916666666667
ABHD8	-0.22875
ARF5	0.5751
SLC24A4	1.0725
CCT3	0.151
ZNF121	0.194
SLC3A2	-0.4956
OR13A1	0.1555
SLC5A10	-0.3985
RAD50	-0.613625
IER5	1.399
MTHFD1L	-2.273375
MBTPS2	0.14025
MVK	0.921375
NCL	-0.378
PSMD10	-0.16425
MOBP	0.351125
FLJ32894	-0.651
HRH1	0.535833333333333
C5orf30	0.20875
NUDT16L1	0.0165
RASGRP3	3.99433333333333
PRKRIP1	-0.2235
CCDC75	0.32875
LOC253970	0.57625
KIAA1239	0.2165
MED21	-0.73475
SYT11	0.237
NTSR2	-0.4805
EGFL11	1.158
CXorf59	0.97
OR2A25	0.613333333333333
SPTBN2	-0.123
LRMP	-1.02916666666667
RNF111	0.27075
PTH	0.0725
LOC619208	0.586166666666667
KIAA0895	1.12075
RANBP5	-0.078125
P2RY10	1.95433333333333
NME5	0.735333333333333
DDX21	-0.01975
LRSAM1	0.143
HDAC11	1.21783333333333
VMO1	1.822
NOLA2	0.0418333333333333
ADAR	0.549333333333333
MTO1	-0.6575
SF4	-0.071
P2RX1	-0.255166666666667
HBM	-0.1585
EN2	0.5515
C14orf172	-0.765
TM9SF2	1.5289
INHBE	-1.19366666666667
TCTE3	-0.217333333333333
TOX2	1.609
CTAGE3	0.499
HBB	3.5558
MED15	-0.326166666666667
CASR	0.09475
C6orf66	-0.6195
MTPN	-0.21975
UNC50	-0.1725
C21orf33	-0.110375
IRF2	0.198
PGR	-2.089
GPR84	2.738
CROCCL1	-2.31325
SRPX	-1.2805
BRE	-0.2725
FGF10	-0.276
SDC3	0.277166666666667
ZRSR1	0.110166666666667
DKFZP434P211	-0.75525
SOX6	0.4495
RPUSD2	0.2625
C14orf173	-0.668583333333333
MAPK11	-0.520166666666667
TBC1D22A	0.0465
FAM123A	-0.983
COL4A6	-2.54783333333333
TOMM70A	0.60225
NAB1	0.42625
MGC16385	-0.465375
TSPAN18	-1.22733333333333
MED31	-1.08175
PLG	-0.29975
CAPSL	0.2605
ZNF532	1.2265
ASB14	-0.6395
CA8	0.87675
NUDT16P	0.379833333333333
SLFN11	-0.562
LRRIQ2	0.115875
NOL7	-0.305166666666667
BRMS1L	-0.06325
JARID1A	0.468333333333333
PANK2	-0.36675
ICAM3	-0.4885
MDS1	-0.8615
TAF8	-0.18825
RNF139	0.90225
ZNF594	0.0995
ADAM8	1.96125
SFTPC	1.39625
MAN2B2	0.44825
RGS12	-0.00637500000000003
EIF1AY	-4.4805
LRRIQ1	-1.81366666666667
GPR150	0.23925
CCDC21	-1.46333333333333
PRRG3	2.061
SAA4	-3.98125
RAPGEF5	1.27325
ZCCHC2	-0.453916666666667
MGC39372	0.9375
PPP4R2	0.200333333333333
CDCA2	-2.16666666666667
OR4D5	0.780333333333333
PTGFRN	1.485
SIGLEC5	1.64183333333333
C19orf61	-0.106
NMUR2	0.6835
KIAA1586	-0.7355
DAGLA	0.8965
CHCHD6	-0.59925
GPR32	0.7605
NEUROD6	0.462833333333333
SLC2A4RG	-0.157375
CA5B	0.77775
FBXL3	1.71425
MPHOSPH9	-0.66825
HMG2L1	0.5825
HCN4	0.0128333333333333
CEACAM19	0.465
SH2D4B	0.631333333333333
HFE2	-0.842
TGM4	0.526166666666667
LYPD2	-0.18875
TBC1D15	0.09925
MRPS21	-0.2119
NONO	-0.4196
CLEC5A	1.94075
ITCH	0.0415
MGAT3	-1.292
MBP	-0.1905
RPP25	0.39075
SOSTDC1	6.631
HRC	-2.2235
TRIM48	-0.045
TMEM133	0.229
ECEL1P2	-1.26566666666667
HOXC11	1.659
DOK5	-0.94675
HELZ	0.507166666666667
LOC348180	-0.7075
MGC33894	0.011
ADRB3	0.2025
DMD	-0.1015
PTRH2	0.05725
MPEG1	3.293
NDUFA12	-0.0421666666666667
KRTAP2-4	-0.0185833333333333
STAMBPL1	-2.079
ADCY2	2.72483333333333
UNQ6125	0.1355
KLHL20	0.3875
SRM	-1.3185
OTC	0.03125
TMIE	0.617
SNX8	-0.0195
LIPK	-0.449
CHURC1	-0.93275
KLC2	0.109666666666667
HDAC1	-1.26683333333333
FAM128A	-0.8715
FNDC3B	0.5875
MTCP1	-0.402666666666667
WFDC10B	-0.2944
PCDHGB3	0.3935
ATRNL1	-2.7747
CAV2	0.729875
MED26	0.087
DUS1L	0.23275
CHRM3	-1.929875
NEK9	1.0935
WARS2	0.37675
TBX22	-0.4335
TOMM40	0.18825
RP6-213H19.1	-0.936333333333333
TUBGCP5	-0.53225
IGSF6	5.72975
TPPP	0.438333333333333
UNQ6190	0.1385
GSTM5	0.04975
BTD	0.683666666666667
PDCD1LG2	1.1555
SNRPB2	-0.218833333333333
ERICH1	-1.187375
APOA4	-1.775625
HOXA11	-1.2575
NARG1	-0.1935
MKX	-1.5415
RAB28	-0.0705
PKP3	1.0455
SH3GL2	-3.148
CTSO	2.56225
RPN2	-0.31475
IL28RA	0.230166666666667
SFMBT1	-0.076
WDR57	-0.688375
FER1L3	0.848333333333333
HSF5	0.488
TTC9B	-0.078
C4BPA	-4.2505
ALB	-4.47157142857143
SORBS3	0.095375
UPF2	0.9335
JPH1	0.4515
AGBL2	-1.96225
DOPEY1	2.082
TERF1	0.18775
KIF22	-0.839666666666667
NINJ1	0.53575
SEC61A2	0.806333333333333
HIST1H1D	-0.5285
SFXN4	-0.018375
UCP3	0.0309
ZNF703	0.572833333333333
MYL6B	-1.017
TREM1	2.4545
OR52E6	-0.16
CKMT2	1.46425
HLA-C	1.84325
SLC13A3	-1.0775
TIMP4	-1.32575
SLIT2	1.325
RSF1	0.0893333333333333
LONRF1	-2.3125
MON1A	-0.170333333333333
CACNG6	-2.0145
DPPA4	-5.70066666666667
ZSWIM3	0.21075
ZNF804A	0.755166666666667
CCIN	0.5545
SLC25A31	-0.312
KCNMB4	-1.863
RABL5	0.357125
GALNS	-0.6364
STX6	1.6545
HIST1H1C	-1.7075
CIDEB	-0.430375
CASP4	0.307166666666667
PDK3	-1.1497
KCNJ11	0.973
TPR	0.204125
ZSCAN20	-1.6365
MTX2	-0.01625
HIST1H2BH	-0.3205
LOC283767	0.5975
LYRM7	-1.39166666666667
BRD3	0.693833333333333
HIST1H2BO	-0.73175
MAGEB10	-0.1495
SLC45A1	-0.1315
SERPINA3	-3.0229
KIAA0143	1.0435
KCNJ16	-0.818833333333333
KRT79	0.866
FABP2	-0.937
NUT	-0.4075
ZNF57	0.0855
FBXL4	-0.306
CLEC9A	0.889
UGT8	-1.38
BMP2K	0.1795
MAPK4	-3.35925
SLC25A23	-0.6949
HINT1	-1.5472
KRTAP13-1	0.3255
SFXN5	-0.853
CHCHD2	0.166833333333333
FAM3D	1.338
NDP	-1.54575
RHOBTB1	0.14
SLC4A4	2.258375
RPL38	0.1745
HTF9C	-0.686166666666667
AP2A2	0.036625
ZBTB46	-0.41
MAP7D1	-0.623125
AOX1	-1.494
CYR61	2.15583333333333
DTNA	-1.398
JRKL	1.51
TMOD3	0.5365
EEA1	0.9333
ADCK5	-0.209
IL1R1	1.7915
KLK3	0.404857142857143
HRSP12	0.50675
KTN1	0.9505
LOH11CR2A	-0.4822
RELL2	-2.50675
MAB21L1	0.46675
C20orf59	-1.15283333333333
PHKB	1.235
ADAM2	-1.7984
TBC1D8B	1.61066666666667
FAM13A1	-0.4215
LAPTM4B	0.822166666666667
LCN8	0.009
TMEM147	1.254
SYT4	0.6452
XPO7	-0.147
C9orf62	0.15
GPR75	0.474
TRIM5	0.3655
APOC1	1.955
RNASE4	0.796833333333333
PARD6B	-3.24
ARID1A	-0.177
TPD52L3	0.1201
RRAGB	1.80583333333333
RCN2	-0.502833333333333
HIST2H2BE	-0.695625
STARD7	-0.0245
SHMT2	-0.82075
KIAA1751	0.0223333333333333
MLYCD	-0.62525
LOC162632	-0.3726
UQCRH	-1.01875
RP11-217H1.1	0.628125
SDHA	-0.614166666666667
NCLN	0.0264
ZNF17	0.622
RCBTB2	-2.2895
VEGFB	0.0298
RP4-747L4.3	0.427
COLQ	0.3946
MPN2	-0.930166666666667
DRG2	-0.956
KLRB1	5.11825
ALPK2	-2.58425
DNASE2B	3.0605
FLJ23834	-0.308666666666667
AXUD1	1.468
SAFB	-0.0281
NSUN4	0.124
RFX2	-0.3945
MAPK8IP1	-1.262
FANCD2	0.362357142857143
ANKZF1	-1.66216666666667
C19orf50	-0.643625
DUSP8	1.384625
SENP5	1.078875
NFKBIL2	-0.7575
LBR	-0.926375
IGFL1	0.9725
LZTS2	-0.04175
IL2RG	0.152625
CCDC51	-0.503
KLF3	0.265625
ANKRD37	0.06175
KCTD14	-1.9155
FZR1	-0.396583333333333
SLC44A4	3.3778
ESPL1	-0.892125
GMPR2	-0.5459
TBC1D19	-0.642666666666667
ERGIC1	0.378518518518518
ERBB4	3.3391
TSPAN32	0.181916666666667
MAP4	0.17725
GPHN	-1.5975
SLC6A2	0.029
HIVEP1	1.73375
DFFB	-0.574
EIF4EBP2	1.20775
DMRT1	-0.158
HSPB6	-0.35825
IER2	1.016
AIFM1	-0.23225
WWC2	0.361916666666667
MRPL4	-0.447
FLJ21062	0.297666666666667
EPB41L4A	-0.85075
SH2D6	0.32475
TAF4B	-1.3955
GAL3ST3	-0.375
MALT1	-0.730666666666667
RTDR1	0.8705
ARVCF	0.57675
MEX3B	-0.364333333333333
FBXO16	-0.153
KIF7	-1.228
C1QC	3.7405
ZNF783	-0.779666666666667
ZNF85	0.967
MMP13	3.799
KIAA0329	-0.264875
RTP3	-1.3995
ZBED3	0.3225
CLGN	-2.07225
SLC25A37	-1.90479166666667
hCG_18290	0.08025
OR5AS1	-0.0835
SMARCC2	0.0635833333333333
FAM109A	0.607166666666667
CCDC12	-0.539
USF2	0.8277
DEPDC7	-1.78975
C20orf24	-0.218
JMJD3	0.495
DSP	3.00264285714286
SLIC1	0.704375
FAM20A	1.2165
IRF2BP2	1.90425
ZNF230	0.6635
MSN	0.0242142857142857
SLC9A5	-1.8805
EPDR1	-1.5338
MUSK	0.229166666666667
ZNF434	-0.272166666666667
SMARCD1	-0.735666666666667
ZFP106	-0.3985
ZNF347	0.6872
