Hybridization REF	TCGA-A1-A0SO-01A-22R-A084-07
OR8J3	-0.0445
LTBP4	0.313833333333333
SIRT6	0.28225
CCL19	4.32675
PPIL1	0.183833333333333
GBP7	0.166666666666667
STK17A	-0.9092
ABR	-2.075
OR9G1	0.7755
FOXE1	1.62725
CNGA3	-0.142
GML	0.637
CD38	-1.8485
ZDHHC6	0.922833333333333
NEFH	2.601
CTDSP2	-0.448833333333333
PGBD5	-1.61733333333333
CCNY	1.20614285714286
RMND5B	-0.32325
ZNF257	-3.322
FLJ22167	-0.096625
EXOSC7	0.907166666666667
ROR2	-0.554125
MAOA	0.86725
TNNT3	-0.183166666666667
GYPC	-2.309
C7orf33	1.197
PLIN	1.59833333333333
LOC90826	0.3935
RNF4	-0.3143
F8A1	1.385
PLEKHG4	-0.022
GRB2	0.1362
HIST1H2AD	-1.54475
DUS3L	0.5075
EIF1	-0.6515
RP5-1077B9.4	-1.12066666666667
FPGT	1.428
GDF10	-0.456666666666667
COQ9	-0.465
GCC2	-0.425714285714286
RARRES3	-0.45475
PLXNA1	-1.1001
KIAA0100	0.0182
PMF1	0.6055
FNDC1	3.99575
HS2ST1	0.1855
CRELD2	-0.251
C8G	-2.0965
CD82	1.2055
LIM2	-0.884
UNQ6490	0.8895
MMP16	1.08675
DRD3	0.07275
C5orf26	-2.0035
C11orf73	0.474
PTP4A2	-0.022875
OR4M2	0.948
HPCA	0.623666666666667
SEC14L1	0.0408333333333333
CHFR	0.36825
EMILIN1	0.786125
NDUFS4	-0.46575
COL18A1	-1.448125
PDZD3	0.0411
C9orf16	-0.136333333333333
ERBB2IP	-0.858666666666667
EMX2	0.2225
FUS	-0.369
TF	-3.539
CLCN4	0.378333333333333
CXorf56	-0.0365
C11orf72	0.434
ELAC2	-0.481916666666667
NPR1	-1.227
ASS1	-3.9705
USP42	-0.047875
POLR2J	-0.865
SEC23IP	1.11516666666667
UQCRC1	0.76325
LOC729603	-0.69425
C1orf71	-0.259375
POLG	-0.3825
ADAM23	-3.89425
TFR2	-1.3545
RICTOR	-1.1967
MGC39606	2.239
C19orf55	-0.17025
SNAPC1	-1.01616666666667
GNA11	0.9105
CCDC52	0.301166666666667
FSIP1	-0.72
UPF3A	-0.048875
IGSF11	-2.48783333333333
LAGE3	1.744
CHST6	1.8405
UNC13B	0.455375
TTLL4	0.736875
ZNF687	0.599625
SDC2	-2.5642
COX7A2	0.8525
LAMB4	0.2025
FAM24A	0.168
LRRTM3	-0.5106
GPHB5	0.62575
OR4C13	0.0685
EIF3EIP	0.172928571428571
HABP4	0.183
TMEM125	3.572
CNTN2	0.469
ASNSD1	0.54375
FUT4	0.898875
ACF	-4.2385
LOC158381	0.093
CDH8	-1.70333333333333
AGPS	0.826333333333333
C4orf18	-0.106
PECI	1.01683333333333
UNG	1.16
GSTP1	0.495125
DCUN1D5	-0.193833333333333
DKFZP564J0863	1.36675
SLC9A3R1	0.58425
BCDO2	-1.521
CHMP7	-0.05475
REM2	-0.3675
DNHD1	-0.774375
FKBP4	0.08425
ZNF350	1.5355
MGC11102	0.4705
BST1	0.709
KISS1R	0.714
NCR2	0.222
DEFB125	-0.1125
UBE2W	1.01425
KRT15	2.942375
C10orf99	0.345
SCN11A	0.10125
GFI1	-2.95
RDHE2	0.5195
FHL1	-1.79433333333333
OSGEP	-1.01816666666667
GATA1	-3.788
SMC6	0.92325
TTTY14	-1.639
LPIN3	-0.05475
RPL4	-0.1182
RBPMS	0.3449
PRPF3	0.127666666666667
EMR1	-3.305
SPATA19	0.0835
XCR1	0.4915
IRX3	0.6492
RBM6	-1.2425
KLF4	-1.7365
UNC5CL	-0.541
SEBOX	-0.399
BTK	-2.07475
KRCC1	0.65125
C6orf27	0.254
SYTL5	-0.391
PRND	1.641
LOC653319	-0.849
PIGL	-1.0345
HUS1	0.124166666666667
SFRS6	-0.589416666666667
C17orf77	0.56
UIMC1	-1.2385
FXYD2	-2.025
LOC283152	-0.142
ZNF667	2.238
ZCCHC12	-0.382
TFEC	1.7509
ATP7B	-0.769333333333333
POLD2	0.126
RG9MTD1	0.6475
ACOT2	-0.454
HIST1H4I	0.612
PPARGC1A	-2.1374
ETFA	-0.5557
POLRMT	-0.01825
ZNF146	0.303625
MIA2	-1.5805
KLHL6	-1.68733333333333
HOXB5	-2.379375
NENF	0.617833333333333
CUGBP1	-0.431
PRSS22	-0.4985
CASC4	0.2168
CUL4B	-0.7074
CENPJ	0.3461
PITX1	-1.6095
FLJ31033	-0.558833333333333
CELSR3	-0.4855
ZNF568	2.863
ITSN1	-1.47116666666667
EHBP1L1	-1.84416666666667
C19orf2	-0.387
DCTN1	0.69625
LIN28B	-4.62316666666667
TNKS2	-0.62
C1QBP	-0.6825
CADPS2	-1.80775
SRMS	0.19
GJA9	0.447166666666667
MGC24975	-0.606666666666667
TRIM45	0.0265
TSP50	1.976
TCP1	-2.01925
TMED7	-0.5267
CMA1	0.5585
CENPL	-0.026
PTCRA	-0.076
FST	-5.181
VWCE	-4.43775
PAWR	-0.6645
ABCC12	0.1665
LDLR	-1.4816
ASTN2	0.4271
LOC441212	0.11625
GPATCH8	0.36625
TANC2	-0.906916666666667
KIF4A	0.3715
C18orf18	1.0515
PGM1	-1.206
KIAA0258	0.965
CPD	1.29225
SNCAIP	-1.85025
DCT	-4.54733333333333
HLA-DOA	2.04745454545455
OR11L1	0.4725
UPK1B	-0.275
DNAJB4	-1.55525
UGT1A8	-0.38325
HIST1H4L	0.726
PECR	0.218833333333333
HSPA2	0.74525
WFIKKN1	-3.029
SERP1	1.39175
SYDE2	-1.564
TACR2	1.126
NUP85	0.49925
CD177	-0.642666666666667
LGR5	-2.08283333333333
PIGG	-0.7475
PTHR1	-2.85116666666667
RAB5A	0.6454
FLJ13224	1.309
USP9Y	-1.3775
C7orf53	-2.008
LRP1B	-1.29825
XAF1	-0.1646
ABCG8	-0.147
ANKDD1A	0.151333333333333
DAND5	-0.561
SPAG6	3.96666666666667
LINCR	3.828
ZDHHC22	-1.98
CCDC60	0.2205
THOC7	-0.652
TCTA	0.5447
OR8K3	0.25825
NY-REN-7	-0.515333333333333
B2M	-0.258166666666667
C6orf141	0.14725
LPPR4	1.36025
SQLE	-2.289
SEPHS1	1.1765
BTBD14B	0.389142857142857
PLRG1	-0.43125
SPG7	-0.954625
ZNF614	1.10333333333333
PARD6G	0.6245
INPP5B	1.4743
GRPEL2	0.268625
PPID	-0.8304
TRIM56	-1.465
UBE2J1	1.313375
IL20RA	-0.90075
LOC387856	-0.35425
C1orf107	0.254833333333333
UTS2R	0.6465
C19orf22	-0.26475
SAFB2	0.369
KIAA0652	0.528125
KLRG1	-0.606166666666667
MS4A8B	-0.042
FRAG1	0.3875
KIAA1546	1.97375
E2F4	-1.3579
CLEC4M	0.192
BTBD14A	-1.37475
KIAA0999	0.0806
GYPA	-3.55266666666667
TAC1	-0.2433
TRAIP	-0.639
KIAA0232	-0.3371
ERCC8	-0.355125
GPX4	0.553125
KIAA0368	-2.1235
GPR157	-1.3805
CTAGE4	0.194
C9orf30	-0.7135
OR52A1	0.295
HSP90B3P	-0.7365
ALG9	0.8169
BTBD10	0.2425
SDK2	1.55225
BAIAP3	-0.09375
RABGGTB	-1.8135
ANKRD40	1.60033333333333
KRT74	0.2305
CALCOCO2	0.134785714285714
SNCA	-3.6945
TMSL8	2.469375
C2orf53	-0.178
ESRRB	-0.50425
ARHGAP26	-1.701125
TDRD9	2.05375
HRAS	-0.724666666666666
KLRC4	-2.891
JAGN1	1.754
BSDC1	0.2775
RNF43	-1.5347
NDUFAF1	-0.5105
PHF12	0.14425
OR1L3	-0.08225
FOLR2	1.73566666666667
LYZL6	0.162666666666667
tcag7.1260	-0.402
WSB1	-1.13033333333333
PROS1	-1.9374
OSTN	0.9585
PSMB8	-1.989
SOCS4	0.568375
DDIT4L	4.34875
MAS1	-0.4475
MGC34796	0.017
CSHL1	0.376
TBCCD1	1.22
ZBTB7C	0.7555
AP2S1	-0.275
P15RS	0.5968
VAT1	-0.3859
SHANK3	0.948333333333333
TUFM	0.243666666666667
THEG	-0.55825
KRT34	-2.07725
SGSM3	0.234875
TOMM22	0.23675
SOCS3	0.619333333333333
CPO	0.0395
POP4	-0.108
BHLHB3	-2.21575
MALL	0.3125
OR1B1	0.211
PARK2	0.0376666666666667
GPR124	-1.065875
LCE1E	0.6415
RUVBL2	-0.58375
CGRRF1	0.0742
ACPL2	1.94225
WNT10B	-2.745
BAIAP2L2	-1.443
ISCA1	-0.388
C1orf125	-0.26575
RPAP1	0.089
RAI16	-0.968166666666667
RPL27	-0.403375
NLRP9	-0.0995
EPN1	1.1025
LOC388610	-0.287625
SLC35A1	1.849
GAL	-2.293
SLC14A2	0.33375
RDH11	-0.518166666666667
FAM138F	-0.4035
AUH	-2.432
FLJ40243	0.00499999999999999
C14orf129	0.2295
MBD2	-0.411
ABHD14B	-0.912
PIGT	-0.331625
ALS2CR4	0.694375
ALAS1	-0.3346
FOXO1	-1.01916666666667
CRLF3	0.503625
C20orf107	-0.0445
FARS2	1.928
CCDC28A	0.00575
NPHP3	-1.02275
OR13F1	0.4345
TSEN54	0.353
DEFB106B	0.4447
OR8B4	-0.1835
STH	-1.212
ZC3H14	-0.352375
CBX2	-0.3445
TMEM49	-0.9105
C6orf21	0.439
FLJ20920	-0.647125
CRTAP	-0.938642857142857
DDX50	-0.57125
STYXL1	-0.8105
BLVRB	-0.110833333333333
LOC147650	-0.2995
MMP24	0.0115
GRID1	0.461
BANF1	-0.367833333333333
CTAGEP	0.53675
HMBS	-1.6855
SLC25A24	0.293833333333333
C14orf50	-1.073
MRO	1.61566666666667
SLC25A15	0.1285
FAM84B	0.6207
TDP1	-0.2535
C16orf78	0.469833333333333
C11orf57	-0.141375
RFK	-0.676125
ZFYVE9	1.20575
STCH	-0.0182
WIBG	-0.69
LOC283871	-0.465833333333333
GBA2	-0.8345
NDUFB3	0.1615
HSD17B13	-0.111
GRIN3A	0.920333333333333
FMNL1	-1.114
SEPT7	-0.2079
GNLY	2.2955
GRAMD1C	-0.455333333333333
ZNF165	0.9425
USP38	0.10225
FAM83A	-1.61816666666667
C14orf24	0.612333333333333
ARMCX3	-0.474375
ARHGDIB	-1.01
AK1	-0.086375
KIAA1045	1.373
DNAJB13	-0.240166666666667
NEU2	0.433
HIST1H4B	0.284666666666667
FAM20B	0.2843
HES2	-0.425285714285714
FAM73B	-1.1569
LOC388381	0.57525
INTS7	0.665909090909091
AMPH	0.57175
ZNF775	0.534625
UCKL1	-0.568
C10orf97	0.67825
C1orf161	0.21775
ALDH1L1	-1.5075
FLJ39378	0.44925
SLC23A1	-3.307
RBM4B	0.11675
THAP4	-0.205833333333333
OGFRL1	2.67225
KIAA0831	0.174875
PPP1R15A	-1.08816666666667
C1orf96	0.492428571428571
C12orf11	-0.072
BMF	1.43025
MAN1A1	-1.849125
KIAA1600	0.961833333333333
NLGN4X	1.0595
ALOX12	-1.44466666666667
RB1CC1	1.1621
NEIL2	-1.0529
EIF4E	0.220227272727273
ABHD5	1.85575
EXOC4	-0.0373333333333333
CIP29	-0.0848333333333333
BATF2	-0.26575
SLC29A4	0.49675
HTR4	0.6
EMB	-2.89175
TRAF6	1.469
LMNB1	-0.10775
FAM19A5	-2.373
SHE	1.63275
PIK3C2B	-0.32225
C15orf15	-0.9325
USP15	-0.729
TCEAL2	4.97025
C5orf39	2.119
PTGER2	-2.3665
SLC31A1	-0.107875
IFT172	0.7615
ADAM29	0.3635
GFOD1	0.0685
ST7L	0.808833333333333
C15orf26	-3.2495
PKN3	-0.66075
CNTD1	1.78
COMMD1	1.1235
NTRK2	1.39858333333333
FOXN3	-0.90775
MFGE8	0.3373
PFKFB2	0.313833333333333
TAS2R4	-0.6255
ENTHD1	0.0601666666666667
PRMT5	0.68325
MGC16384	-1.70875
LOC442229	0.21575
TSKU	0.208125
KRTCAP3	3.7765
PDLIM1	-0.0483
KCNS2	0.197
RNF126	-0.1945
CEP63	-0.095375
CLIC4	-0.750625
hCG_1990170	-0.58525
ACR	0.8881
KLK7	-0.462
ALOX5AP	0.73225
RIPK3	1.767
TAS2R9	0.346
C19orf18	1.0855
BIRC6	-0.183214285714286
ZNF16	-0.244
RFT1	-0.319
SLC8A2	-0.42775
TACC1	-1.91475
ITGAD	0.40025
SAMHD1	0.48375
SH3PXD2B	1.8189
EPC2	0.84675
C20orf85	0.651625
ATP13A2	-0.173333333333333
KRT4	0.284125
CAPNS1	-0.27775
MDM2	-0.9575
PCDH20	2.40875
KCNK9	0.3825
OR2C1	-0.066
KLHDC3	0.926833333333333
IPPK	-0.9235
EFHD2	-1.2535
GALR3	0.664
NBEA	1.0065
ABCA6	1.5867
CLDN3	1.4405
AKT2	0.0779285714285714
EGFR	0.4282
RBM16	-0.8205
ZDHHC3	1.1625
SLC25A4	-1.11933333333333
CYB5B	-0.6795
CPXM1	-1.62425
NDRG1	-1.92953846153846
FLJ43826	0.80925
OR5L2	0.895166666666667
FARP2	0.0281
MRPL46	0.514
LDHAL6B	0.452333333333333
MAPKAPK3	-0.511333333333333
NCAM2	-3.8505
PRKD2	0.290666666666667
ZFP36L1	0.9794
CYSLTR1	-2.049
OR4C3	0.921
HIST1H2AJ	0.5265
CCNB2	-0.735333333333333
ZNF10	0.45425
TMEM175	0.3455
FAM134A	0.203
TIGD4	0.357
PCNP	-0.24275
MGC39715	-0.3125
LQK1	1.08575
CREB1	1.1304
TMPRSS3	-2.968
C4orf32	-0.218
LAT	-2.74116666666667
KCNA3	0.737
SKIV2L2	-1.12175
ROPN1B	3.3995
tcag7.23	-1.2475
CDT1	-1.447625
ZHX2	0.8495
CD28	-3.397
ZNF624	0.25025
SEPT2	0.155
SOHLH2	-3.247
MCOLN3	-1
UNQ1945	0.26
MASP2	-0.739
ZNRF3	-0.1938
GPATCH3	-0.129
AGL	-0.82025
QRICH2	-0.292
PSD4	1.0865
CCNB1IP1	0.61375
ENPP7	0.1285
OBFC1	0.70725
KCNG3	-1.7245
C14orf79	0.557666666666667
ENPEP	-0.0356666666666667
SCT	0.178
SKI	1.182875
SEC61G	-0.5775
CAPN11	0.135
ATXN7L3	0.158
DBNDD1	0.467833333333333
FAIM	1.34325
ANKRD36	-0.7895
GABRP	5.20133333333333
TACSTD2	-2.46183333333333
EIF3J	-0.968
PPP2R2A	-0.26725
TEKT4	-1.67816666666667
PVALB	-3.87683333333333
F10	-3.3755
FAM134C	0.9849
COMP	3.566875
EFCBP1	-2.045125
SCLT1	-0.585375
TAL1	-1.5814
ACSL1	-1.01725
ABCC5	-0.0923333333333333
ABL1	-0.0552222222222222
RBBP7	1.81641666666667
PTPRG	-2.170625
NCOR1	0.0487
SPINK4	-2.61483333333333
TXNRD1	-0.5267
TNRC15	0.50175
C9orf138	0.552625
UBE2H	0.171166666666667
BRDT	-0.101833333333333
C8orf31	-0.04975
CCNE2	0.585454545454545
SLC6A8	-1.226375
CALCR	-5.344
PPP1CB	0.940333333333333
ABHD8	0.17775
ARF5	0.3444
SLC24A4	0.7745
CCT3	0.65225
ZNF121	1.219625
SLC3A2	-1.7677
OR13A1	0.3055
SLC5A10	-0.00874999999999999
RAD50	-0.556375
IER5	-0.786375
MTHFD1L	-1.332875
MBTPS2	1.15925
MVK	-0.055375
NCL	0.0188
PSMD10	-0.586
MOBP	0.563875
FLJ32894	-0.7705
HRH1	-2.66016666666667
C5orf30	-0.47
NUDT16L1	0.7534
RASGRP3	2.354
PRKRIP1	-0.7559
CCDC75	0.35375
LOC253970	5.2425
KIAA1239	5.78875
MED21	1.3365
SYT11	-1.02258333333333
NTSR2	2.167
EGFL11	-0.792
CXorf59	0.9735
OR2A25	-0.015
SPTBN2	0.08775
LRMP	-1.83733333333333
RNF111	-1.2155
PTH	0.464
LOC619208	1.69166666666667
KIAA0895	1.76775
RANBP5	-0.412
P2RY10	0.367833333333333
NME5	-1.6435
DDX21	-1.4
LRSAM1	-0.831
HDAC11	1.18233333333333
VMO1	1.522
NOLA2	-0.6335
ADAR	0.979333333333333
MTO1	0.2875
SF4	0.1745
P2RX1	-0.190333333333333
HBM	1.10825
EN2	1.017
C14orf172	0.24125
TM9SF2	0.6885
INHBE	-1.01333333333333
TCTE3	-0.239916666666667
TOX2	-1.70125
CTAGE3	0.736125
HBB	3.0245
MED15	-0.731
CASR	-0.1365
C6orf66	0.8675
MTPN	-0.71175
UNC50	-0.2115
C21orf33	0.242125
IRF2	-0.197875
PGR	-2.78866666666667
GPR84	1.77075
CROCCL1	-2.85675
SRPX	-2.5565
BRE	0.292166666666667
FGF10	0.16375
SDC3	0.160666666666667
ZRSR1	0.837333333333333
DKFZP434P211	-0.794625
SOX6	0.7815
RPUSD2	0.3375
C14orf173	-0.0904166666666667
MAPK11	-1.29383333333333
TBC1D22A	0.5575
FAM123A	-0.72
COL4A6	-4.2445
TOMM70A	0.26
NAB1	-0.16425
MGC16385	0.2775
TSPAN18	-1.00033333333333
MED31	-0.037
PLG	-0.407
CAPSL	2.461
ZNF532	0.8568
ASB14	-0.11625
CA8	-4.513
NUDT16P	2.60183333333333
SLFN11	1.0545
LRRIQ2	1.2825
NOL7	0.517833333333333
BRMS1L	0.97025
JARID1A	1.52283333333333
PANK2	-0.6605
ICAM3	-0.42475
MDS1	-0.5055
TAF8	-0.3775
RNF139	-0.39125
ZNF594	0.794
ADAM8	0.636875
SFTPC	-0.560625
MAN2B2	0.508875
RGS12	0.1575625
EIF1AY	-4.67041666666667
LRRIQ1	1.04433333333333
GPR150	0.8805
CCDC21	-0.913666666666667
PRRG3	2.65475
SAA4	-4.49
RAPGEF5	2.1365
ZCCHC2	-0.00533333333333337
MGC39372	-0.473
PPP4R2	0.796333333333333
CDCA2	-0.289666666666667
OR4D5	1.56083333333333
PTGFRN	0.4353
SIGLEC5	-0.395666666666667
C19orf61	0.0808333333333333
NMUR2	0.563
KIAA1586	1.13533333333333
DAGLA	0.549666666666667
CHCHD6	0.5505
GPR32	0.49
NEUROD6	0.201166666666667
SLC2A4RG	-0.1474375
CA5B	0.7325
FBXL3	-0.11725
MPHOSPH9	-0.11925
HMG2L1	-0.00449999999999999
HCN4	0.433166666666667
CEACAM19	0.724
SH2D4B	0.171666666666667
HFE2	-0.883
TGM4	0.03
LYPD2	0.01925
TBC1D15	-0.0605
MRPS21	0.036
NONO	0.1154
CLEC5A	0.5895
ITCH	0.8545
MGAT3	-2.341
MBP	-1.26775
RPP25	0.69525
SOSTDC1	4.53675
HRC	-2.3015
TRIM48	-1.048
TMEM133	1.1495
ECEL1P2	-1.36966666666667
HOXC11	-1.237
DOK5	-1.77025
HELZ	0.285666666666667
LOC348180	-0.0495
MGC33894	0.43925
ADRB3	0.1795
DMD	0.927333333333333
PTRH2	-0.067
MPEG1	2.85733333333333
NDUFA12	-0.104833333333333
KRTAP2-4	-0.0275833333333333
STAMBPL1	-2.88666666666667
ADCY2	0.8354
UNQ6125	0.227
KLHL20	-0.485666666666667
SRM	-1.30475
OTC	0.22225
TMIE	1.80083333333333
SNX8	0.48375
LIPK	0.167
CHURC1	-1.21433333333333
KLC2	0.0526666666666667
HDAC1	-0.00649999999999999
FAM128A	0.165333333333333
FNDC3B	-0.0858
MTCP1	1.1985
WFDC10B	-0.2149
PCDHGB3	0.5095
ATRNL1	0.7057
CAV2	-1.784625
MED26	-0.174166666666667
DUS1L	0.32725
CHRM3	0.334875
NEK9	-0.2255
WARS2	-0.29275
TBX22	0.02
TOMM40	0.042
RP6-213H19.1	-0.00566666666666667
TUBGCP5	-0.5445
IGSF6	4.3845
TPPP	0.2585
UNQ6190	-0.0385
GSTM5	-0.030375
BTD	0.170833333333333
PDCD1LG2	0.0335
SNRPB2	1.07316666666667
ERICH1	-1.5035
APOA4	-1.798125
HOXA11	-2.3545
NARG1	-0.49625
MKX	-0.328
RAB28	-0.257642857142857
PKP3	-0.0655
SH3GL2	0.504
CTSO	1.29575
RPN2	0.6934375
IL28RA	0.328666666666667
SFMBT1	0.63025
WDR57	0.452875
FER1L3	-2.0295
HSF5	-0.222
TTC9B	0.60375
C4BPA	-4.07616666666667
ALB	-4.27135714285714
SORBS3	0.00675
UPF2	0.3085
JPH1	1.2405
AGBL2	-1.74025
DOPEY1	2.7855
TERF1	0.43975
KIF22	-0.133166666666667
NINJ1	-0.59325
SEC61A2	0.79025
HIST1H1D	0.47
SFXN4	1.084875
UCP3	0.1639
ZNF703	0.288833333333333
MYL6B	0.1725
TREM1	2.12575
OR52E6	0.101
CKMT2	0.75325
HLA-C	0.99775
SLC13A3	-0.338166666666667
TIMP4	-3.27875
SLIT2	-0.0415
RSF1	1.38011111111111
LONRF1	-1.06728571428571
MON1A	0.339666666666667
CACNG6	-1.86583333333333
DPPA4	-5.75916666666667
ZSWIM3	0.75025
ZNF804A	-0.069
CCIN	0.7245
SLC25A31	0.06025
KCNMB4	0.55575
RABL5	0.229875
GALNS	-0.0824
STX6	0.423875
HIST1H1C	-3.344
CIDEB	0.927625
CASP4	-1.146
PDK3	0.8938
KCNJ11	1.9125
TPR	-0.378
ZSCAN20	0.7785
MTX2	0.16575
HIST1H2BH	-0.00825000000000006
LOC283767	-0.571
LYRM7	-1.16661111111111
BRD3	0.485833333333333
HIST1H2BO	-1.31725
MAGEB10	0.627
SLC45A1	2.0025
SERPINA3	-2.086
KIAA0143	-1.08775
KCNJ16	2.90933333333333
KRT79	0.10825
FABP2	-0.347666666666667
NUT	-0.2605
ZNF57	0.73325
FBXL4	1.279125
CLEC9A	0.5505
UGT8	0.213
BMP2K	-0.097
MAPK4	-2.0445
SLC25A23	0.4854
HINT1	-1.2546
KRTAP13-1	0.2765
SFXN5	-0.5428
CHCHD2	0.551666666666667
FAM3D	3.8995
NDP	-4.018
RHOBTB1	0.713666666666667
SLC4A4	-0.583125
RPL38	0.24
HTF9C	-0.5675
AP2A2	0.1945
ZBTB46	-1.1915
MAP7D1	-0.178875
AOX1	-1.03316666666667
CYR61	-0.123666666666667
DTNA	-0.450142857142857
JRKL	0.89225
TMOD3	-0.89675
EEA1	-0.5004
ADCK5	-0.966
IL1R1	0.440333333333333
KLK3	0.610642857142857
HRSP12	-0.28
KTN1	-0.41175
LOH11CR2A	-0.6465
RELL2	-1.187
MAB21L1	0.251666666666667
C20orf59	-1.6075
PHKB	-0.65625
ADAM2	-2.09266666666667
TBC1D8B	-0.105
FAM13A1	-0.6313125
LAPTM4B	1.54466666666667
LCN8	-0.00199999999999999
TMEM147	0.3515
SYT4	0.0555
XPO7	-0.331
C9orf62	0.9195
GPR75	0.5495
TRIM5	-0.182
APOC1	-1.22633333333333
RNASE4	0.174666666666667
PARD6B	-3.86525
ARID1A	0.162
TPD52L3	0.227888888888889
RRAGB	0.9655
RCN2	-0.6435
HIST2H2BE	-1.469625
STARD7	0.1095
SHMT2	-0.8345
KIAA1751	-0.120166666666667
MLYCD	0.4025
LOC162632	-0.6695
UQCRH	0.21025
RP11-217H1.1	0.0770625000000001
SDHA	-0.536833333333333
NCLN	0.3516
ZNF17	1.649
RCBTB2	-1.67325
VEGFB	-1.0207
RP4-747L4.3	1.32625
COLQ	-0.234
MPN2	-0.697333333333333
DRG2	-0.7035
KLRB1	3.603
ALPK2	-4.675
DNASE2B	-0.49725
FLJ23834	-0.320666666666667
AXUD1	0.8485
SAFB	-0.1691
NSUN4	0.77325
RFX2	1.17083333333333
MAPK8IP1	0.6435
FANCD2	0.783785714285714
ANKZF1	-2.7405
C19orf50	-0.5155
DUSP8	-0.26
SENP5	1.233125
NFKBIL2	-0.44975
LBR	-0.0555
IGFL1	-0.2695
LZTS2	0.567125
IL2RG	-1.124625
CCDC51	0.4015
KLF3	-0.369625
ANKRD37	-2.882
KCTD14	2.97016666666667
FZR1	0.426083333333333
SLC44A4	-1.508
ESPL1	-0.364625
GMPR2	-0.1243
TBC1D19	-0.487833333333333
ERGIC1	-0.169888888888889
ERBB4	-0.8494
TSPAN32	-0.2575
MAP4	0.381375
GPHN	0.2705
SLC6A2	-0.191375
HIVEP1	0.96825
DFFB	0.0416
EIF4EBP2	0.694
DMRT1	0.07325
HSPB6	-0.5255
IER2	-0.0143333333333333
AIFM1	-1.23375
WWC2	-0.85675
MRPL4	0.29975
FLJ21062	-1.02733333333333
EPB41L4A	-1.50416666666667
SH2D6	0.05525
TAF4B	0.52125
GAL3ST3	-0.246
MALT1	-0.732833333333333
RTDR1	1.40725
ARVCF	0.5915
MEX3B	1.4985
FBXO16	1.56525
KIF7	0.3585
C1QC	3.821
ZNF783	0.459833333333333
ZNF85	0.557
MMP13	3.059
KIAA0329	-0.32925
RTP3	-0.3115
ZBED3	1.318
CLGN	-1.865
SLC25A37	-1.94129166666667
hCG_18290	0.46775
OR5AS1	0.7925
SMARCC2	0.0263333333333334
FAM109A	0.579833333333333
CCDC12	0.44725
USF2	-0.2117
DEPDC7	0.373
C20orf24	0.113833333333333
JMJD3	0.3595
DSP	-1.62242857142857
SLIC1	0.192
FAM20A	0.42825
IRF2BP2	1.216125
ZNF230	0.9485
MSN	-0.532571428571429
SLC9A5	-1.3205
EPDR1	-0.6236
MUSK	0.484
ZNF434	-0.7135
