Hybridization REF	TCGA-BH-A0BL-01A-11R-A115-07
CNTN2	0.507
ASNSD1	-0.0155
FUT4	0.242125
ACF	-3.20975
LOC158381	0.245
CDH8	0.1395
AGPS	0.1285
C4orf18	2.3055
PECI	0.0646666666666667
UNG	-0.677875
GSTP1	0.251625
DCUN1D5	-1.033
DKFZP564J0863	-0.29125
SLC9A3R1	-0.949125
BCDO2	-0.485
CHMP7	-0.111375
REM2	0.5585
DNHD1	-0.92525
FKBP4	-0.160625
ZNF350	1.25625
MGC11102	-0.471125
BST1	1.51525
KISS1R	0.0545
NCR2	0.4455
DEFB125	0.1485
UBE2W	1.29375
KRT15	2.007
C10orf99	0.14
SCN11A	3.14475
GFI1	-0.9265
RDHE2	-0.872333333333333
FHL1	0.718
OSGEP	0.391666666666667
GATA1	-2.77416666666667
SMC6	-0.15025
TTTY14	-1.12475
LPIN3	-0.1455
RPL4	-0.7214
RBPMS	0.2992
PRPF3	-0.185666666666667
EMR1	-1.3655
SPATA19	-0.172
XCR1	0.0275
IRX3	1.4249
RBM6	-0.71025
KLF4	-0.6402
UNC5CL	0.865
SEBOX	0.159
BTK	0.0395
KRCC1	1.27025
C6orf27	0.1515
SYTL5	-0.9945
PRND	2.05075
LOC653319	-0.825
PIGL	-1.16
HUS1	-0.264
SFRS6	-0.35975
C17orf77	0.38
UIMC1	-0.523166666666667
FXYD2	-1.5737
LOC283152	-0.05025
ZNF667	1.238
ZCCHC12	-0.14275
TFEC	4.2358
ATP7B	-0.6755
POLD2	-1.10416666666667
RG9MTD1	-0.1025
ACOT2	0.0191666666666666
HIST1H4I	-0.97
PPARGC1A	-1.7072
ETFA	-0.6179
POLRMT	-0.71125
ZNF146	0.2695
MIA2	-1.368
KLHL6	0.6425
HOXB5	-0.7605
NENF	0.707333333333333
CUGBP1	0.49
PRSS22	0.7225
CASC4	1.517
CUL4B	0.4165
CENPJ	-0.9621
PITX1	-0.196666666666667
FLJ31033	0.931333333333333
CELSR3	-1.71683333333333
ZNF568	0.337
ITSN1	0.88325
EHBP1L1	-0.502333333333333
C19orf2	-0.263
DCTN1	-0.0335
LIN28B	-2.98716666666667
TNKS2	-0.53325
C1QBP	-0.814875
CADPS2	0.2045
SRMS	-0.0445
GJA9	-0.0853333333333334
MGC24975	-1.17016666666667
TRIM45	-0.793
TSP50	0.92475
TCP1	-0.178
TMED7	0.4478
CMA1	1.1605
CENPL	-0.258166666666667
PTCRA	0.9585
FST	-2.184
VWCE	-3.41075
PAWR	0.9165
ABCC12	0.171333333333333
LDLR	-0.7735
ASTN2	-0.2148
LOC441212	-0.65175
GPATCH8	-0.21575
TANC2	-0.17475
KIF4A	-1.004
C18orf18	0.24925
PGM1	-0.087
KIAA0258	-0.0285
CPD	-0.076875
SNCAIP	0.303
DCT	-3.52433333333333
HLA-DOA	2.80513636363636
OR11L1	0.0815
UPK1B	1.76083333333333
DNAJB4	0.40225
UGT1A8	-0.18175
HIST1H4L	0.4825
PECR	-0.586166666666667
HSPA2	0.70575
WFIKKN1	-2.3265
SERP1	0.4115
SYDE2	0.82125
TACR2	0.569
NUP85	-0.68475
CD177	0.344666666666667
LGR5	-0.519666666666667
PIGG	-0.759333333333333
PTHR1	-0.2245
RAB5A	0.9858
FLJ13224	0.174
USP9Y	-2.0175
C7orf53	-0.159
LRP1B	-0.9185
XAF1	2.6442
ABCG8	-0.658
ANKDD1A	0.0636666666666667
DAND5	-0.769
SPAG6	-0.0513333333333333
LINCR	1.22425
ZDHHC22	-1.4785
CCDC60	0.018
THOC7	-1.0685
TCTA	0.2921
OR8K3	0.09775
NY-REN-7	-0.81275
B2M	1.85616666666667
C6orf141	-0.782125
LPPR4	2.6345
SQLE	-0.943625
SEPHS1	1.256
BTBD14B	0.181142857142857
PLRG1	0.4665
SPG7	-0.3415625
ZNF614	-0.256
PARD6G	1.72866666666667
INPP5B	-0.2613
GRPEL2	0.071375
PPID	-0.1625
TRIM56	-0.07775
UBE2J1	0.85325
IL20RA	3.9355
LOC387856	0.0675
C1orf107	0.1025
UTS2R	0.34275
C19orf22	-0.74875
SAFB2	0.0191250000000001
KIAA0652	-0.37975
KLRG1	0.346
MS4A8B	-0.117166666666667
FRAG1	-0.28775
KIAA1546	0.596
E2F4	-0.683
CLEC4M	-0.115666666666667
BTBD14A	-0.4075
KIAA0999	0.503
GYPA	-3.73816666666667
TAC1	-0.48
TRAIP	-1.039
KIAA0232	0.2372
ERCC8	-0.982125
GPX4	-0.156375
KIAA0368	-0.839375
GPR157	-1.05283333333333
CTAGE4	1.665
C9orf30	-0.2305
OR52A1	0.4075
HSP90B3P	-0.198
ALG9	-0.6738
BTBD10	0.2985
SDK2	-0.2485
BAIAP3	-0.4545
RABGGTB	-1.1815
ANKRD40	-0.280166666666667
KRT74	0.626
CALCOCO2	-0.167214285714286
SNCA	-2.8055
TMSL8	1.633
C2orf53	0.095
ESRRB	-0.44825
ARHGAP26	-0.607
TDRD9	-1.894
HRAS	-0.0131666666666667
KLRC4	-1.5835
JAGN1	0.1715
BSDC1	0.006
RNF43	-1.0726
NDUFAF1	-0.1805
PHF12	0.111
OR1L3	0.219
FOLR2	2.21433333333333
LYZL6	0.012
tcag7.1260	-0.37
WSB1	-0.688333333333333
PROS1	0.2246
OSTN	0.6025
PSMB8	1.05525
SOCS4	0.197375
DDIT4L	2.3535
MAS1	0.167
MGC34796	-0.037
CSHL1	0.106333333333333
TBCCD1	0.331666666666667
ZBTB7C	0.244
AP2S1	-0.101625
P15RS	0.519
VAT1	-0.2475
SHANK3	0.7655
TUFM	-0.428333333333333
THEG	1.16925
KRT34	-1.85275
SGSM3	-0.286
TOMM22	-0.503875
SOCS3	1.61166666666667
CPO	0.479
POP4	0.024
BHLHB3	1.41475
MALL	2.241
OR1B1	0.106
PARK2	0.26
GPR124	0.77025
LCE1E	0.2385
RUVBL2	-0.881
CGRRF1	0.4553
ACPL2	0.6685
WNT10B	-2.119
BAIAP2L2	-1.659625
ISCA1	-0.03
C1orf125	-0.05875
RPAP1	-0.8685
RAI16	0.109166666666667
RPL27	-0.587875
NLRP9	0.1465
EPN1	0.2795
LOC388610	-0.769875
SLC35A1	0.5375
GAL	-1.6175
SLC14A2	0.308
RDH11	-0.53
FAM138F	-0.5775
AUH	-0.467
FLJ40243	0.32475
C14orf129	-0.2395
MBD2	0.0316666666666667
ABHD14B	-0.57825
PIGT	-0.505
ALS2CR4	0.550625
ALAS1	-0.1599
FOXO1	1.613
CRLF3	-0.182
C20orf107	-0.928
FARS2	0.90375
CCDC28A	0.68925
NPHP3	-0.274
OR13F1	0.167
TSEN54	-0.75825
DEFB106B	0.0617
OR8B4	0.668
STH	-0.78875
ZC3H14	0.04525
CBX2	-0.0715
TMEM49	-1.0695
C6orf21	0.105
FLJ20920	0.10825
CRTAP	-0.292642857142857
DDX50	0.39075
STYXL1	-0.188
BLVRB	-0.2445
LOC147650	-0.251333333333333
MMP24	0.04325
GRID1	1.78683333333333
BANF1	-0.722333333333333
CTAGEP	0.24925
HMBS	-2.10775
SLC25A24	0.620333333333333
C14orf50	0.26975
MRO	1.20033333333333
SLC25A15	-0.57025
FAM84B	0.7056
TDP1	0.49
C16orf78	0.0238333333333333
C11orf57	-0.23875
RFK	-0.878
ZFYVE9	-0.606625
STCH	-0.6479
WIBG	-0.1105
LOC283871	-1.32433333333333
GBA2	-0.7895
NDUFB3	0.1575
HSD17B13	-0.342
GRIN3A	2.379
FMNL1	-0.141333333333333
SEPT7	0.2668
GNLY	3.5475
GRAMD1C	1.10866666666667
ZNF165	-0.22075
USP38	1.13
FAM83A	-2.152
C14orf24	0.962833333333333
ARMCX3	1.319125
ARHGDIB	0.675833333333333
AK1	0.009375
KIAA1045	0.4335
DNAJB13	-0.7195
NEU2	0.207
HIST1H4B	-0.6765
FAM20B	0.134
HES2	0.308714285714286
FAM73B	-0.7345
LOC388381	-0.52175
INTS7	-0.285727272727273
AMPH	1.195
ZNF775	0.000625000000000014
UCKL1	-0.582666666666667
C10orf97	0.16925
C1orf161	-0.05675
ALDH1L1	1.49275
FLJ39378	-0.202
SLC23A1	-1.707
RBM4B	-0.22275
THAP4	0.000666666666666665
OGFRL1	2.15625
KIAA0831	0.605625
PPP1R15A	0.153833333333333
C1orf96	0.769285714285714
C12orf11	-1.588
BMF	1.088875
MAN1A1	-0.210625
KIAA1600	1.34783333333333
NLGN4X	0.3855
ALOX12	-1.60016666666667
RB1CC1	0.4298
NEIL2	0.1793
EIF4E	-0.179636363636364
ABHD5	0.5345
EXOC4	0.164666666666667
CIP29	-0.056
BATF2	2.24425
SLC29A4	-0.10025
HTR4	0.152
EMB	0.047
TRAF6	0.63275
LMNB1	-1.232
FAM19A5	0.487375
SHE	1.794
PIK3C2B	0.48575
C15orf15	-0.9206
USP15	-0.1687
TCEAL2	3.144
C5orf39	0.414666666666667
PTGER2	-0.7965
SLC31A1	0.0379375
IFT172	0.2315
ADAM29	0.17075
GFOD1	1.5885
ST7L	-0.346166666666667
C15orf26	-3.5695
PKN3	-1.086
CNTD1	0.533333333333333
COMMD1	0.884375
NTRK2	2.92258333333333
FOXN3	1.311125
MFGE8	-0.0137
PFKFB2	0.450666666666667
TAS2R4	0.0185
ENTHD1	4.07666666666667
PRMT5	-1.007125
MGC16384	-0.8395
LOC442229	-0.3165
TSKU	0.390125
KRTCAP3	1.33125
PDLIM1	0.4553
KCNS2	0.43075
RNF126	-0.612166666666667
CEP63	0.70625
CLIC4	0.661
hCG_1990170	1.425
ACR	0.5659
KLK7	4.87975
ALOX5AP	3.26925
RIPK3	2.726
TAS2R9	0.061
C19orf18	0.516
BIRC6	-0.205071428571429
ZNF16	0.696
RFT1	-0.56825
SLC8A2	-0.58025
TACC1	0.53425
ITGAD	1.151
SAMHD1	1.9005
SH3PXD2B	1.3139
EPC2	1.4675
C20orf85	0.289625
ATP13A2	0.122666666666667
KRT4	1.2165
CAPNS1	-0.2455
MDM2	-0.587083333333333
PCDH20	0.2755
KCNK9	0.2535
OR2C1	0.017
KLHDC3	0.00683333333333333
IPPK	-0.899
EFHD2	0.263625
GALR3	0.3975
NBEA	-0.738
ABCA6	3.8791
CLDN3	1.05116666666667
AKT2	-0.759285714285714
EGFR	0.1434
RBM16	0.534875
ZDHHC3	-0.2401
SLC25A4	0.0591666666666667
CYB5B	-0.525833333333333
CPXM1	1.4495
NDRG1	0.274769230769231
FLJ43826	0.126
OR5L2	0.026
FARP2	-0.7066
MRPL46	-0.604916666666667
LDHAL6B	0.0745
MAPKAPK3	-0.3625
NCAM2	-2.596
PRKD2	-0.0785
ZFP36L1	1.4556
CYSLTR1	0.22975
OR4C3	0.087
HIST1H2AJ	0.621
CCNB2	-1.06344444444444
ZNF10	-0.274625
TMEM175	0.259
FAM134A	0.511166666666667
TIGD4	-0.2965
PCNP	-0.15725
MGC39715	0.7335
LQK1	-2.155
CREB1	1.1578
TMPRSS3	0.41925
C4orf32	0.81725
LAT	-0.43825
KCNA3	0.747
SKIV2L2	-1.1795
ROPN1B	1.0025
tcag7.23	-0.685
CDT1	-1.919
ZHX2	0.6605
CD28	-1.95775
ZNF624	1.343
SEPT2	0.32075
SOHLH2	-1.090125
MCOLN3	-0.416375
UNQ1945	-0.0505
MASP2	-1.6165
ZNRF3	0.0382
GPATCH3	-0.5355
AGL	0.159625
QRICH2	-0.048
PSD4	0.548666666666667
CCNB1IP1	-1.572
ENPP7	-0.1275
OBFC1	-0.32975
KCNG3	-2.139
C14orf79	-1.19366666666667
ENPEP	2.50366666666667
SCT	2.0515
SKI	0.99825
SEC61G	-1.0835
CAPN11	0.68575
ATXN7L3	-0.42425
DBNDD1	0.1975
FAIM	2.04875
ANKRD36	0.2475
GABRP	3.97583333333333
TACSTD2	1.70783333333333
EIF3J	-0.63225
PPP2R2A	-0.112
TEKT4	-0.8105
PVALB	-2.7895
F10	-2.136
FAM134C	0.2726
COMP	3.305
EFCBP1	-2.4066875
SCLT1	2.448125
TAL1	-1.3771
ACSL1	1.82675
ABCC5	-0.0135
ABL1	-0.545555555555556
RBBP7	-0.1895
PTPRG	-0.358875
NCOR1	0.1762
SPINK4	-2.34933333333333
TXNRD1	-1.1342
TNRC15	0.96275
C9orf138	0.901625
UBE2H	1.15316666666667
BRDT	-0.107666666666667
C8orf31	0.09525
CCNE2	-0.380363636363636
SLC6A8	-1.017375
CALCR	-3.9405
PPP1CB	0.846416666666667
ABHD8	-0.223
ARF5	0.6725
SLC24A4	1.26625
CCT3	0.38025
ZNF121	0.6795
SLC3A2	-1.2372
OR13A1	0.1855
SLC5A10	-0.5555
RAD50	-0.307125
IER5	0.20875
MTHFD1L	-0.88175
MBTPS2	0.11675
MVK	-0.824875
NCL	-0.0398
PSMD10	0.314
MOBP	0.054625
FLJ32894	0.00900000000000001
HRH1	1.02583333333333
C5orf30	-0.6025
NUDT16L1	-0.6771
RASGRP3	3.73416666666667
PRKRIP1	-0.1505
CCDC75	1.001
LOC253970	-0.18025
KIAA1239	2.959
MED21	-0.136
SYT11	1.504
NTSR2	-0.4695
EGFL11	0.1725
CXorf59	0.684
OR2A25	0.25375
SPTBN2	-0.68075
LRMP	0.1915
RNF111	-0.417
PTH	0.1945
LOC619208	1.40683333333333
KIAA0895	0.21675
RANBP5	-0.859125
P2RY10	2.44483333333333
NME5	1.98683333333333
DDX21	-0.1705
LRSAM1	-0.4325
HDAC11	0.264166666666667
VMO1	1.18775
NOLA2	-0.4685
ADAR	1.197
MTO1	-1.133
SF4	0.293
P2RX1	-0.219
HBM	-0.093
EN2	-0.1165
C14orf172	-0.36225
TM9SF2	-0.054
INHBE	-1.493
TCTE3	0.231333333333333
TOX2	-1.7585
CTAGE3	0.669125
HBB	2.7451
MED15	-0.775
CASR	0.12275
C6orf66	-0.392833333333333
MTPN	0.588
UNC50	0.251
C21orf33	-0.38125
IRF2	1.349125
PGR	-1.7095
GPR84	2.86875
CROCCL1	-1.94275
SRPX	0.1965
BRE	-0.1565
FGF10	1.929
SDC3	0.6785
ZRSR1	0.0326666666666667
DKFZP434P211	0.0525
SOX6	-0.2635
RPUSD2	-0.0545
C14orf173	-0.2515
MAPK11	-0.766333333333333
TBC1D22A	0.0435
FAM123A	-0.9585
COL4A6	-0.785
TOMM70A	0.0385
NAB1	0.843
MGC16385	0.4575
TSPAN18	1.617
MED31	-0.75775
PLG	-0.4475
CAPSL	0.316
ZNF532	2.1603
ASB14	-0.1685
CA8	-1.4665
NUDT16P	0.981833333333333
SLFN11	-0.0495
LRRIQ2	0.4715
NOL7	0.205833333333333
BRMS1L	0.63925
JARID1A	1.37316666666667
PANK2	-0.0695
ICAM3	-0.36325
MDS1	-0.67725
TAF8	-0.0825
RNF139	0.31375
ZNF594	-0.0253333333333333
ADAM8	2.32275
SFTPC	0.206375
MAN2B2	0.216875
RGS12	0.3805625
EIF1AY	-4.34108333333333
LRRIQ1	-0.145166666666667
GPR150	0.304
CCDC21	-1.48066666666667
PRRG3	2.523
SAA4	-1.352
RAPGEF5	1.027
ZCCHC2	0.843166666666667
MGC39372	1.9205
PPP4R2	0.3565
CDCA2	-0.0906666666666667
OR4D5	0.4945
PTGFRN	1.4619
SIGLEC5	1.9775
C19orf61	-0.6305
NMUR2	-0.003
KIAA1586	0.167166666666667
DAGLA	0.0136666666666667
CHCHD6	1.03175
GPR32	0.5005
NEUROD6	0.161
SLC2A4RG	0.474
CA5B	0.10075
FBXL3	0.40825
MPHOSPH9	-1.40325
HMG2L1	-0.08
HCN4	0.0658333333333333
CEACAM19	0.03
SH2D4B	0.795333333333333
HFE2	-1.0695
TGM4	-0.0604
LYPD2	0.0335
TBC1D15	-0.24775
MRPS21	0.2887
NONO	-0.2477
CLEC5A	2.7795
ITCH	-0.1201
MGAT3	0.290166666666667
MBP	0.12375
RPP25	-1.21425
SOSTDC1	4.537
HRC	-1.5435
TRIM48	0.0325
TMEM133	1.296
ECEL1P2	-1.535
HOXC11	-0.813
DOK5	0.58275
HELZ	0.317166666666667
LOC348180	-0.25325
MGC33894	0.2655
ADRB3	-0.111
DMD	0.976916666666667
PTRH2	-0.46675
MPEG1	2.7835
NDUFA12	-0.1985
KRTAP2-4	-0.130916666666667
STAMBPL1	-0.8755
ADCY2	-0.822166666666667
UNQ6125	-0.0145
KLHL20	1.007
SRM	-0.8295
OTC	-0.2125
TMIE	1.3305
SNX8	0.25025
LIPK	-0.0725
CHURC1	-0.291833333333333
KLC2	-0.00433333333333332
HDAC1	-0.7895
FAM128A	0.213333333333333
FNDC3B	0.6995
MTCP1	0.0708333333333333
WFDC10B	0.3071
PCDHGB3	0.7815
ATRNL1	-2.3412
CAV2	0.970375
MED26	-0.399333333333333
DUS1L	0.05025
CHRM3	-0.785875
NEK9	-0.1555
WARS2	-0.2125
TBX22	-1.461
TOMM40	-0.68525
RP6-213H19.1	-0.6685
TUBGCP5	-0.3375
IGSF6	4.387
TPPP	0.970333333333333
UNQ6190	0.061
GSTM5	0.45975
BTD	-0.122833333333333
PDCD1LG2	1.32483333333333
SNRPB2	0.484666666666667
ERICH1	1.155625
APOA4	-1.501875
HOXA11	-1.4595
NARG1	0.019375
MKX	-0.1615
RAB28	-0.431285714285714
PKP3	0.90275
SH3GL2	0.197
CTSO	3.80825
RPN2	-0.00375000000000001
IL28RA	1.35883333333333
SFMBT1	0.16475
WDR57	-1.05725
FER1L3	1.07075
HSF5	0.227
TTC9B	-0.33625
C4BPA	-3.47333333333333
ALB	-3.98571428571429
SORBS3	0.795875
UPF2	0.759
JPH1	0.325
AGBL2	-1.7165
DOPEY1	1.6015
TERF1	0.000750000000000005
KIF22	-0.791666666666667
NINJ1	0.487
SEC61A2	0.214333333333333
HIST1H1D	-0.8955
SFXN4	-0.293375
UCP3	-0.0349
ZNF703	-0.0668333333333333
MYL6B	-0.11375
TREM1	2.381
OR52E6	0.2275
CKMT2	2.80925
HLA-C	2.40125
SLC13A3	-0.655
TIMP4	0.23525
SLIT2	1.683
RSF1	0.481055555555556
LONRF1	0.367071428571428
MON1A	-0.4075
CACNG6	-1.69666666666667
DPPA4	-4.49733333333333
ZSWIM3	0.05875
ZNF804A	0.636833333333333
CCIN	1.7555
SLC25A31	0.2965
KCNMB4	0.32725
RABL5	0.217625
GALNS	-0.3662
STX6	1.460625
HIST1H1C	-2.38783333333333
CIDEB	-0.193875
CASP4	0.814
PDK3	1.2144
KCNJ11	-0.0025
TPR	0.580875
ZSCAN20	-0.1525
MTX2	0.1065
HIST1H2BH	-0.6145
LOC283767	2.6185
LYRM7	-1.67044444444444
BRD3	0.385833333333333
HIST1H2BO	-1.20325
MAGEB10	0.2795
SLC45A1	0.28175
SERPINA3	-0.4529
KIAA0143	1.145
KCNJ16	1.3445
KRT79	0.84275
FABP2	-1.14575
NUT	2.481
ZNF57	-0.70725
FBXL4	0.1495
CLEC9A	2.0115
UGT8	0.553166666666667
BMP2K	0.579
MAPK4	-0.556
SLC25A23	-0.8127
HINT1	-0.4096
KRTAP13-1	-0.022
SFXN5	0.3699
CHCHD2	-0.340583333333333
FAM3D	3.197
NDP	-0.84225
RHOBTB1	1.58683333333333
SLC4A4	-0.507125
RPL38	-0.132
HTF9C	-0.876833333333333
AP2A2	0.071625
ZBTB46	0.292
MAP7D1	0.5395
AOX1	-0.507666666666667
CYR61	1.75466666666667
DTNA	0.309285714285714
JRKL	0.89525
TMOD3	0.4165
EEA1	0.279
ADCK5	-0.063
IL1R1	2.4255
KLK3	0.179285714285714
HRSP12	0.36475
KTN1	1.48975
LOH11CR2A	0.8363
RELL2	-1.17975
MAB21L1	2.0315
C20orf59	-1.2875
PHKB	0.085
ADAM2	-2.55733333333333
TBC1D8B	1.31733333333333
FAM13A1	-0.330375
LAPTM4B	0.45425
LCN8	-0.395
TMEM147	0.6235
SYT4	0.201666666666667
XPO7	0.3615
C9orf62	0.18
GPR75	0.56
TRIM5	0.1435
APOC1	0.612333333333333
RNASE4	0.153333333333333
PARD6B	-2.62825
ARID1A	-0.135
TPD52L3	0.2265
RRAGB	1.24783333333333
RCN2	0.16
HIST2H2BE	-0.00468749999999998
STARD7	-0.204
SHMT2	-0.98475
KIAA1751	0.0261666666666667
MLYCD	0.694375
LOC162632	-0.2577
UQCRH	-0.7795
RP11-217H1.1	1.10275
SDHA	-0.978166666666667
NCLN	-0.3815
ZNF17	0.521833333333333
RCBTB2	-0.942
VEGFB	-0.1605
RP4-747L4.3	2.58975
COLQ	0.0203
MPN2	-0.2515
DRG2	-0.755
KLRB1	5.95475
ALPK2	-0.5635
DNASE2B	-0.02225
FLJ23834	-0.572166666666667
AXUD1	0.320166666666667
SAFB	0.0577
NSUN4	-0.68
RFX2	-0.0876666666666667
MAPK8IP1	-1.00066666666667
FANCD2	-0.084642857142857
ANKZF1	-0.887666666666667
C19orf50	-0.4385
DUSP8	1.019
SENP5	1.45
NFKBIL2	-0.32675
LBR	0.111625
IGFL1	1.0335
LZTS2	0.62
IL2RG	0.39025
CCDC51	-0.601
KLF3	0.190875
ANKRD37	-0.3155
KCTD14	0.406833333333333
FZR1	0.0163333333333333
SLC44A4	-1.2299
ESPL1	-0.80625
GMPR2	-0.8005
TBC1D19	-0.319333333333333
ERGIC1	-0.583518518518518
ERBB4	-0.6823
TSPAN32	0.477666666666667
MAP4	0.030875
GPHN	-1.07125
SLC6A2	3.97675
HIVEP1	1.7415
DFFB	-0.4825
EIF4EBP2	1.228625
DMRT1	1.111
HSPB6	0.16825
IER2	0.212666666666667
AIFM1	-0.172
WWC2	0.343166666666667
MRPL4	-0.691
FLJ21062	0.156
EPB41L4A	0.58875
SH2D6	0.05675
TAF4B	-0.50775
GAL3ST3	-0.199
MALT1	-0.388
RTDR1	0.28675
ARVCF	0.02525
MEX3B	0.4575
FBXO16	-0.16275
KIF7	-0.45075
C1QC	3.134
ZNF783	-0.162833333333333
ZNF85	-0.48475
MMP13	4.77
KIAA0329	-0.092
RTP3	-0.9585
ZBED3	-0.01325
CLGN	-2.58675
SLC25A37	-0.142833333333333
hCG_18290	-0.091
OR5AS1	0.094
SMARCC2	0.147666666666667
FAM109A	-0.186833333333333
CCDC12	-0.34325
USF2	0.325
DEPDC7	-1.07125
C20orf24	-0.649666666666667
JMJD3	0.2775
DSP	2.65607142857143
SLIC1	1.051
FAM20A	2.3955
IRF2BP2	0.550125
ZNF230	0.1655
MSN	0.880714285714286
SLC9A5	-1.8275
EPDR1	-1.1594
MUSK	0.344
ZNF434	-1.00866666666667
SMARCD1	-0.483
ZFP106	0.07525
ZNF347	-0.0417
GTF2E1	0.37575
RY1	-0.133
ATAD2B	0.622
