Hybridization REF	TCGA-AO-A03M-01B-11R-A10J-07
KIAA0999	1.0847
GYPA	-2.64366666666667
TAC1	0.3613
TRAIP	-1.45683333333333
KIAA0232	0.9495
ERCC8	-0.94275
GPX4	0.99025
KIAA0368	0.141875
GPR157	-0.182666666666667
CTAGE4	0.3225
C9orf30	-1.15816666666667
OR52A1	0.3145
HSP90B3P	-0.108
ALG9	-0.6559
BTBD10	0.66225
SDK2	0.27525
BAIAP3	1.96425
RABGGTB	-1.393875
ANKRD40	0.398333333333333
KRT74	0.163
CALCOCO2	0.575857142857143
SNCA	-3.41375
TMSL8	-2.959875
C2orf53	-0.132
ESRRB	-0.11
ARHGAP26	-0.867375
TDRD9	-0.20075
HRAS	1.18633333333333
KLRC4	-2.0125
JAGN1	-0.584833333333333
BSDC1	0.79325
RNF43	-0.1166
NDUFAF1	-0.69125
PHF12	0.653
OR1L3	0.149
FOLR2	2.04916666666667
LYZL6	0.0281666666666667
tcag7.1260	-1.8885
WSB1	-2.28033333333333
PROS1	-0.7814
OSTN	0.542
PSMB8	1.96025
SOCS4	-0.18975
DDIT4L	-0.09175
MAS1	0.1595
MGC34796	0.50725
CSHL1	0.238166666666667
TBCCD1	0.415833333333333
ZBTB7C	0.343
AP2S1	-0.22825
P15RS	-2.1481
VAT1	-1.0568
SHANK3	0.515833333333333
TUFM	0.00383333333333333
THEG	-0.3955
KRT34	-1.30875
SGSM3	0.72025
TOMM22	0.226375
SOCS3	0.841
CPO	-0.202
POP4	0.868
BHLHB3	0.82
MALL	0.84525
OR1B1	0.0365
PARK2	0.382666666666667
GPR124	0.079125
LCE1E	-0.255
RUVBL2	0.362
CGRRF1	-0.9029
ACPL2	-0.47075
WNT10B	-1.814875
BAIAP2L2	-0.533125
ISCA1	0.8315
C1orf125	0.092375
RPAP1	-1.337
RAI16	0.277333333333333
RPL27	-1.239625
NLRP9	0.2155
EPN1	0.4125
LOC388610	0.473625
SLC35A1	0.6698
GAL	-4.4475
SLC14A2	0.3335
RDH11	-0.4255
FAM138F	-0.2525
AUH	-0.123
FLJ40243	0.25975
C14orf129	0.3505
MBD2	1.0605
ABHD14B	-0.801875
PIGT	1.170125
ALS2CR4	-0.183375
ALAS1	0.0862
FOXO1	0.533666666666667
CRLF3	-0.45775
C20orf107	0.183
FARS2	0.5575
CCDC28A	-0.1115
NPHP3	-1.22825
OR13F1	0.235
TSEN54	1.28
DEFB106B	0.1124
OR8B4	0.83
STH	0.30825
ZC3H14	-0.205125
CBX2	-0.3735
TMEM49	-1.57475
C6orf21	0.24
FLJ20920	0.9205
CRTAP	-0.799571428571429
DDX50	-0.485
STYXL1	-0.2145
BLVRB	0.0161666666666667
LOC147650	1.11966666666667
MMP24	0.6815
GRID1	0.2855
BANF1	-0.156833333333333
CTAGEP	-0.409
HMBS	-1.37175
SLC25A24	0.468666666666667
C14orf50	-0.45375
MRO	1.022
SLC25A15	-0.3755
FAM84B	1.2495
TDP1	-0.457
C16orf78	0.0633333333333334
C11orf57	0.014
RFK	-0.201125
ZFYVE9	-0.406375
STCH	-0.0478
WIBG	0.95175
LOC283871	-0.0405
GBA2	-0.5422
NDUFB3	-0.82075
HSD17B13	-0.4785
GRIN3A	1.37533333333333
FMNL1	-0.356666666666667
SEPT7	-0.155
GNLY	3.429
GRAMD1C	-0.347166666666667
ZNF165	-0.4135
USP38	0.54575
FAM83A	-2.31083333333333
C14orf24	1.00733333333333
ARMCX3	-1.075375
ARHGDIB	0.912
AK1	1.045875
KIAA1045	0.2195
DNAJB13	-0.0388333333333334
NEU2	0.1805
HIST1H4B	0.021
FAM20B	-0.304
HES2	1.70207142857143
FAM73B	0.0799
LOC388381	-0.398
INTS7	-0.519727272727273
AMPH	3.878
ZNF775	0.532125
UCKL1	-0.196333333333333
C10orf97	-0.331
C1orf161	-0.0115
ALDH1L1	-0.69325
FLJ39378	0.15525
SLC23A1	-1.4665
RBM4B	-0.2055
THAP4	0.316833333333333
OGFRL1	-0.05525
KIAA0831	-0.12975
PPP1R15A	0.254166666666667
C1orf96	-0.0939285714285714
C12orf11	-1.8965
BMF	0.749125
MAN1A1	-0.383875
KIAA1600	0.1605
NLGN4X	-0.815
ALOX12	-0.708666666666667
RB1CC1	-0.2601
NEIL2	0.9249
EIF4E	0.357363636363636
ABHD5	-0.5915
EXOC4	-0.199333333333333
CIP29	0.4165
BATF2	2.78375
SLC29A4	0.57175
HTR4	0.588
EMB	-0.549
TRAF6	-0.163
LMNB1	-1.5895
FAM19A5	-1.201625
SHE	1.06175
PIK3C2B	1.22275
C15orf15	-1.0376
USP15	-0.1559
TCEAL2	1.45125
C5orf39	-0.442
PTGER2	-0.35725
SLC31A1	-0.0578125
IFT172	0.2425
ADAM29	0.42475
GFOD1	-0.0135
ST7L	-0.1595
C15orf26	-2.7065
PKN3	-1.54275
CNTD1	1.08766666666667
COMMD1	-0.04025
NTRK2	2.11633333333333
FOXN3	-0.091375
MFGE8	-0.5801
PFKFB2	0.588333333333333
TAS2R4	0.08925
ENTHD1	0.736
PRMT5	-0.11475
MGC16384	-1.350375
LOC442229	0.01775
TSKU	1.004625
KRTCAP3	1.683
PDLIM1	0.3344
KCNS2	-0.05725
RNF126	-0.632333333333333
CEP63	-0.05625
CLIC4	-0.585
hCG_1990170	-0.01075
ACR	0.3494
KLK7	0.86375
ALOX5AP	2.706125
RIPK3	2.3065
TAS2R9	0.316
C19orf18	0.376
BIRC6	-0.223357142857143
ZNF16	1.6455
RFT1	-0.95425
SLC8A2	-0.22375
TACC1	0.021375
ITGAD	1.4815
SAMHD1	1.96725
SH3PXD2B	0.7599
EPC2	0.44625
C20orf85	0.647
ATP13A2	1.829
KRT4	1.575375
CAPNS1	1.0875
MDM2	-0.757083333333333
PCDH20	0.56775
KCNK9	0.5945
OR2C1	-0.122
KLHDC3	-0.862166666666667
IPPK	1.627
EFHD2	0.247625
GALR3	0.7705
NBEA	1.672
ABCA6	1.932
CLDN3	2.401
AKT2	-0.302357142857143
EGFR	-1.9006
RBM16	0.265125
ZDHHC3	0.0729
SLC25A4	0.235166666666667
CYB5B	-0.589833333333333
CPXM1	0.322
NDRG1	-1.00361538461538
FLJ43826	0.315
OR5L2	-0.00300000000000001
FARP2	0.7371
MRPL46	-1.01266666666667
LDHAL6B	0.2335
MAPKAPK3	-0.479333333333333
NCAM2	-1.00775
PRKD2	1.04133333333333
ZFP36L1	1.024
CYSLTR1	-0.27975
OR4C3	0.33075
HIST1H2AJ	3.6545
CCNB2	-2.49144444444444
ZNF10	-0.435
TMEM175	0.64
FAM134A	0.949166666666667
TIGD4	-0.268
PCNP	-0.27425
MGC39715	-0.1065
LQK1	-2.557
CREB1	0.5175
TMPRSS3	0.86025
C4orf32	1.22125
LAT	-0.747166666666667
KCNA3	0.4535
SKIV2L2	-1.3855
ROPN1B	-0.69325
tcag7.23	-0.3155
CDT1	-1.74475
ZHX2	1.197125
CD28	-1.551
ZNF624	0.41225
SEPT2	0.304666666666667
SOHLH2	-1.607875
MCOLN3	-0.625375
UNQ1945	0.668
MASP2	-0.9505
ZNRF3	-0.3456
GPATCH3	0.12675
AGL	0.1335
QRICH2	-0.108
PSD4	0.671166666666667
CCNB1IP1	-2.14175
ENPP7	0.25775
OBFC1	-0.152
KCNG3	-2.0385
C14orf79	1.26075
ENPEP	1.00616666666667
SCT	0.799
SKI	0.882875
SEC61G	-1.39925
CAPN11	0.0365
ATXN7L3	-0.0305
DBNDD1	1.34083333333333
FAIM	-0.13075
ANKRD36	-1.2115
GABRP	2.88783333333333
TACSTD2	1.79383333333333
EIF3J	-0.9175
PPP2R2A	-0.057
TEKT4	0.389666666666667
PVALB	-3.62516666666667
F10	-3.1875
FAM134C	0.4981
COMP	2.8065
EFCBP1	-2.3173125
SCLT1	0.33475
TAL1	-1.3048
ACSL1	1.06475
ABCC5	0.8215
ABL1	-0.161555555555556
RBBP7	0.0941666666666667
PTPRG	-1.116375
NCOR1	-0.221
SPINK4	0.531333333333333
TXNRD1	-0.6083
TNRC15	0.829
C9orf138	0.596375
UBE2H	0.996166666666667
BRDT	0.195
C8orf31	-0.11975
CCNE2	-0.372818181818182
SLC6A8	-0.773875
CALCR	-3.28825
PPP1CB	0.539583333333333
ABHD8	-0.763
ARF5	0.8995
SLC24A4	0.86525
CCT3	0.06825
ZNF121	-0.078625
SLC3A2	-0.7671
OR13A1	0.648
SLC5A10	-0.11275
RAD50	-0.139625
IER5	-0.23575
MTHFD1L	-2.2475
MBTPS2	0.09525
MVK	0.58275
NCL	-0.1617
PSMD10	0.0385
MOBP	0.297625
FLJ32894	-0.7475
HRH1	-1.108
C5orf30	0.0715
NUDT16L1	1.9187
RASGRP3	2.553
PRKRIP1	-0.3773
CCDC75	0.28175
LOC253970	1.11475
KIAA1239	0.17325
MED21	-0.545
SYT11	0.429166666666667
NTSR2	0.1765
EGFL11	-0.114
CXorf59	0.392
OR2A25	0.15875
SPTBN2	0.078
LRMP	-0.439833333333333
RNF111	-0.746
PTH	-0.45
LOC619208	0.0243333333333333
KIAA0895	-0.6485
RANBP5	-1.19075
P2RY10	1.6
NME5	0.551833333333333
DDX21	-0.87225
LRSAM1	1.1425
HDAC11	0.980833333333333
VMO1	1.71925
NOLA2	-0.0441666666666667
ADAR	0.7285
MTO1	-1.20383333333333
SF4	0.024
P2RX1	0.124833333333333
HBM	0.44525
EN2	0.576
C14orf172	0.43
TM9SF2	0.4874
INHBE	-1.0225
TCTE3	0.0353333333333333
TOX2	-1.8275
CTAGE3	-0.0145
HBB	3.7375
MED15	-0.498666666666667
CASR	0.14775
C6orf66	-1.003
MTPN	0.685125
UNC50	-0.54375
C21orf33	0.363375
IRF2	1.06225
PGR	0.9065
GPR84	1.94625
CROCCL1	-2.03875
SRPX	-1.3105
BRE	0.5555
FGF10	0.25225
SDC3	0.149333333333333
ZRSR1	0.3065
DKFZP434P211	-0.152125
SOX6	-1.647
RPUSD2	-0.50975
C14orf173	0.683583333333333
MAPK11	-0.6055
TBC1D22A	0.927
FAM123A	-0.2735
COL4A6	-2.24866666666667
TOMM70A	0.085
NAB1	-0.826375
MGC16385	0.61925
TSPAN18	-0.0155
MED31	-0.887
PLG	-0.2655
CAPSL	0.5845
ZNF532	0.3766
ASB14	0.02575
CA8	-0.49575
NUDT16P	0.1125
SLFN11	-0.838
LRRIQ2	-0.0345
NOL7	0.502833333333333
BRMS1L	-0.665875
JARID1A	0.181833333333333
PANK2	0.86975
ICAM3	-0.189
MDS1	0.09525
TAF8	-0.68425
RNF139	0.27725
ZNF594	-0.273666666666667
ADAM8	0.87
SFTPC	0.129375
MAN2B2	1.298875
RGS12	0.988875
EIF1AY	-4.2535
LRRIQ1	-0.3125
GPR150	0.90575
CCDC21	-0.557
PRRG3	0.43325
SAA4	-2.29225
RAPGEF5	0.20075
ZCCHC2	0.386416666666667
MGC39372	0.1865
PPP4R2	-0.176666666666667
CDCA2	-0.845666666666667
OR4D5	0.3965
PTGFRN	0.7282
SIGLEC5	1.77883333333333
C19orf61	0.236333333333333
NMUR2	0.007
KIAA1586	-1.15
DAGLA	0.0941666666666667
CHCHD6	0.26775
GPR32	0.511
NEUROD6	0.120666666666667
SLC2A4RG	1.54125
CA5B	0.3715
FBXL3	0.7485
MPHOSPH9	-0.651
HMG2L1	0.1205
HCN4	0.5295
CEACAM19	-0.19275
SH2D4B	0.274666666666667
HFE2	1.0435
TGM4	0.2935
LYPD2	-0.0605
TBC1D15	-0.45
MRPS21	0.0534
NONO	-0.442
CLEC5A	0.3995
ITCH	-0.3097
MGAT3	-0.927666666666667
MBP	0.16625
RPP25	-1.4715
SOSTDC1	0.00174999999999999
HRC	-1.36925
TRIM48	-0.228
TMEM133	-0.60825
ECEL1P2	-0.80375
HOXC11	0.079
DOK5	-0.76525
HELZ	1.09933333333333
LOC348180	0.032
MGC33894	0.40825
ADRB3	0.186
DMD	0.0448333333333333
PTRH2	-0.5945
MPEG1	3.0755
NDUFA12	-0.105
KRTAP2-4	0.0138333333333333
STAMBPL1	-0.891166666666667
ADCY2	1.12716666666667
UNQ6125	0.315
KLHL20	0.202333333333333
SRM	-0.72375
OTC	-0.01875
TMIE	-0.0713333333333333
SNX8	0.28275
LIPK	0.253
CHURC1	-0.414583333333333
KLC2	0.2495
HDAC1	0.225333333333333
FAM128A	0.0291666666666667
FNDC3B	-0.7299
MTCP1	-0.042
WFDC10B	0.5324
PCDHGB3	0.354
ATRNL1	-0.819
CAV2	-0.440625
MED26	-0.3275
DUS1L	0.86825
CHRM3	-1.214375
NEK9	0.28
WARS2	-0.71975
TBX22	0.53
TOMM40	-0.492
RP6-213H19.1	-0.724833333333333
TUBGCP5	-1.42275
IGSF6	4.553
TPPP	2.9875
UNQ6190	-0.227
GSTM5	0.307375
BTD	-0.037
PDCD1LG2	0.887666666666667
SNRPB2	3.0325
ERICH1	-0.2605
APOA4	-1.367375
HOXA11	-1.248
NARG1	-0.153875
MKX	-0.62325
RAB28	0.0396428571428571
PKP3	1.56025
SH3GL2	-1.9495
CTSO	2.1845
RPN2	2.8303125
IL28RA	-0.0455
SFMBT1	0.1365
WDR57	-0.381875
FER1L3	1.45975
HSF5	0.212166666666667
TTC9B	0.14925
C4BPA	-1.84833333333333
ALB	-3.86328571428571
SORBS3	0.140375
UPF2	-0.3385
JPH1	-0.422
AGBL2	-0.14725
DOPEY1	1.3715
TERF1	-0.735916666666667
KIF22	-0.444833333333333
NINJ1	1.682
SEC61A2	0.427
HIST1H1D	1.46133333333333
SFXN4	-0.797875
UCP3	0.2807
ZNF703	1.24783333333333
MYL6B	-1.106
TREM1	0.40725
OR52E6	0.2115
CKMT2	0.35175
HLA-C	2.764125
SLC13A3	-1.54766666666667
TIMP4	-1.71775
SLIT2	1.7115
RSF1	-0.0205
LONRF1	-0.987071428571429
MON1A	-0.558166666666667
CACNG6	-1.785
DPPA4	-5.66633333333333
ZSWIM3	1.069
ZNF804A	0.205
CCIN	0.4045
SLC25A31	0.12
KCNMB4	-0.6775
RABL5	0.296625
GALNS	0.5809
STX6	0.982625
HIST1H1C	2.56933333333333
CIDEB	-0.7775
CASP4	0.0248333333333333
PDK3	-0.4211
KCNJ11	0.793
TPR	-0.599
ZSCAN20	-0.339
MTX2	-0.30225
HIST1H2BH	2.0315
LOC283767	-0.24075
LYRM7	-1.39438888888889
BRD3	1.23416666666667
HIST1H2BO	1.516
MAGEB10	0.2815
SLC45A1	0.3055
SERPINA3	1.1721
KIAA0143	1.4545
KCNJ16	0.283833333333333
KRT79	0.494
FABP2	-0.33875
NUT	-0.26575
ZNF57	-0.03425
FBXL4	-0.02325
CLEC9A	0.8065
UGT8	-0.808666666666667
BMP2K	0.724
MAPK4	-3.473
SLC25A23	-1.5102
HINT1	-1.1541
KRTAP13-1	-0.1465
SFXN5	0.9298
CHCHD2	-0.0540833333333334
FAM3D	1.1385
NDP	1.1225
RHOBTB1	0.170166666666667
SLC4A4	-1.269375
RPL38	-0.27625
HTF9C	-0.0608333333333333
AP2A2	0.636
ZBTB46	0.0205
MAP7D1	0.792
AOX1	-1.40533333333333
CYR61	0.163333333333333
DTNA	0.404214285714286
JRKL	-1.09075
TMOD3	-0.63025
EEA1	0.1347
ADCK5	0.7215
IL1R1	1.29466666666667
KLK3	0.598142857142857
HRSP12	-0.83525
KTN1	-0.2205
LOH11CR2A	-0.2357
RELL2	-1.26175
MAB21L1	1.453
C20orf59	-1.1135
PHKB	0.08675
ADAM2	-0.951833333333333
TBC1D8B	-0.042
FAM13A1	-0.9393125
LAPTM4B	1.25366666666667
LCN8	0.082
TMEM147	0.5415
SYT4	0.138
XPO7	-0.1525
C9orf62	0.74
GPR75	0.1765
TRIM5	0.66875
APOC1	0.890166666666667
RNASE4	-1.45466666666667
PARD6B	1.011125
ARID1A	0.7895
TPD52L3	0.0168
RRAGB	0.425333333333333
RCN2	-1.28083333333333
HIST2H2BE	1.121875
STARD7	-0.31925
SHMT2	-0.665
KIAA1751	0.0765
MLYCD	1.127
LOC162632	-0.6886
UQCRH	-1.07825
RP11-217H1.1	0.771375
SDHA	-0.466666666666667
NCLN	-0.3649
ZNF17	0.907
RCBTB2	-2.0265
VEGFB	0.4694
RP4-747L4.3	0.124
COLQ	0.2911
MPN2	-0.532
DRG2	-0.49125
KLRB1	3.953
ALPK2	-3.27775
DNASE2B	1.493
FLJ23834	0.198833333333333
AXUD1	0.847666666666667
SAFB	-0.1812
NSUN4	0.1035
RFX2	0.462833333333333
MAPK8IP1	-0.508666666666667
FANCD2	-1.31228571428571
ANKZF1	-1.33333333333333
C19orf50	-0.762875
DUSP8	0.677
SENP5	-0.09575
NFKBIL2	-0.27425
LBR	-1.456625
IGFL1	0.416
LZTS2	0.7905
IL2RG	0.643875
CCDC51	-0.435
KLF3	0.154375
ANKRD37	-1.00975
KCTD14	-0.251666666666667
FZR1	0.474083333333333
SLC44A4	0.7591
ESPL1	-0.44025
GMPR2	-0.4299
TBC1D19	-0.537
ERGIC1	-0.043037037037037
ERBB4	0.3055
TSPAN32	0.525333333333333
MAP4	-0.0795
GPHN	-0.34525
SLC6A2	0.00125
HIVEP1	1.08075
DFFB	-0.0373
EIF4EBP2	0.187625
DMRT1	-0.15925
HSPB6	-0.233
IER2	-0.0435
AIFM1	0.06975
WWC2	0.02175
MRPL4	-0.5325
FLJ21062	0.174833333333333
EPB41L4A	0.463916666666667
SH2D6	0.40225
TAF4B	-0.83375
GAL3ST3	-0.1725
MALT1	-0.805666666666667
RTDR1	0.572
ARVCF	0.720125
MEX3B	-0.587333333333333
FBXO16	0.83975
KIF7	-1.00275
C1QC	3.66183333333333
ZNF783	0.264166666666667
ZNF85	-0.64925
MMP13	-0.3035
KIAA0329	0.596125
RTP3	-0.257
ZBED3	-0.5635
CLGN	-0.571
SLC25A37	-1.081625
hCG_18290	-1.1635
OR5AS1	1.6965
SMARCC2	0.51625
FAM109A	0.191333333333333
CCDC12	-0.357
USF2	1.0505
DEPDC7	-2.313
C20orf24	-0.681666666666667
JMJD3	1.0885
DSP	2.103
SLIC1	0.598375
FAM20A	1.9495
IRF2BP2	0.706125
ZNF230	-0.1155
MSN	-0.812214285714286
SLC9A5	-1.734
EPDR1	-2.42
MUSK	0.3565
