Hybridization REF	TCGA-B6-A0RQ-01A-11R-A115-07
COMMD1	0.387625
NTRK2	5.5035
FOXN3	0.212375
MFGE8	0.5686
PFKFB2	1.07266666666667
TAS2R4	0.51525
ENTHD1	-0.844166666666667
PRMT5	-1.235125
MGC16384	-0.22025
LOC442229	-1.01275
TSKU	0.89425
KRTCAP3	2.843625
PDLIM1	1.1541
KCNS2	0.0895
RNF126	-0.947666666666667
CEP63	0.180375
CLIC4	0.153125
hCG_1990170	1.1535
ACR	0.745
KLK7	6.1425
ALOX5AP	2.213625
RIPK3	2.84625
TAS2R9	0.9675
C19orf18	2.229
BIRC6	-0.4045
ZNF16	0.4715
RFT1	-1.006
SLC8A2	-1.40925
TACC1	0.788
ITGAD	0.516
SAMHD1	-0.1265
SH3PXD2B	1.0559
EPC2	1.43875
C20orf85	0.02
ATP13A2	-0.215833333333333
KRT4	0.39375
CAPNS1	-0.0285
MDM2	-0.404833333333333
PCDH20	1.52225
KCNK9	0.2485
OR2C1	0.071
KLHDC3	-0.888333333333333
IPPK	-0.399
EFHD2	-1.359875
GALR3	0.0895
NBEA	0.699
ABCA6	3.3547
CLDN3	0.948
AKT2	-0.981
EGFR	0.2332
RBM16	0.462875
ZDHHC3	-0.0146
SLC25A4	-0.2905
CYB5B	-1.52366666666667
CPXM1	-0.27525
NDRG1	-1.04138461538462
FLJ43826	0.49225
OR5L2	0.5818
FARP2	-0.3463
MRPL46	-0.695
LDHAL6B	0.418333333333333
MAPKAPK3	-0.395
NCAM2	0.24325
PRKD2	0.0795
ZFP36L1	1.4905
CYSLTR1	0.00650000000000001
OR4C3	0.118
HIST1H2AJ	0.512
CCNB2	-4.28777777777778
ZNF10	0.818375
TMEM175	-0.0415
FAM134A	0.854333333333333
TIGD4	0.783
PCNP	0.032
MGC39715	0.51275
LQK1	-1.22475
CREB1	0.596
TMPRSS3	0.6105
C4orf32	1.345875
LAT	-2.34791666666667
KCNA3	0.8585
SKIV2L2	-0.7225
ROPN1B	3.7625
tcag7.23	0.3365
CDT1	-4.115875
ZHX2	1.45075
CD28	-5.3485
ZNF624	0.5855
SEPT2	-0.36625
SOHLH2	-0.679
MCOLN3	-0.491125
UNQ1945	1.4985
MASP2	-1.6435
ZNRF3	-0.0453
GPATCH3	-0.572
AGL	1.01925
QRICH2	0.4865
PSD4	0.606166666666667
CCNB1IP1	-0.785
ENPP7	0.419
OBFC1	-0.00575000000000001
KCNG3	-2.21333333333333
C14orf79	-0.0215
ENPEP	0.796833333333333
SCT	0.3525
SKI	0.431375
SEC61G	-1.161
CAPN11	1.74525
ATXN7L3	-0.51925
DBNDD1	-0.826666666666667
FAIM	1.09225
ANKRD36	0.3815
GABRP	5.38016666666667
TACSTD2	2.86866666666667
EIF3J	-0.42875
PPP2R2A	-0.308
TEKT4	0.214
PVALB	-0.646333333333333
F10	-2.6715
FAM134C	0.3479
COMP	5.174375
EFCBP1	-1.428875
SCLT1	1.531625
TAL1	-1.0445
ACSL1	1.41625
ABCC5	-0.896916666666667
ABL1	-0.821833333333333
RBBP7	-0.540333333333333
PTPRG	0.354625
NCOR1	0.0972
SPINK4	-2.1785
TXNRD1	-1.8279
TNRC15	1.27975
C9orf138	0.782
UBE2H	0.262
BRDT	1.64883333333333
C8orf31	-0.524
CCNE2	-3.51018181818182
SLC6A8	-1.81675
CALCR	-1.34025
PPP1CB	0.693166666666667
ABHD8	-0.1995
ARF5	-0.2369
SLC24A4	0.63025
CCT3	-0.92675
ZNF121	0.646
SLC3A2	-1.1859
OR13A1	0.015
SLC5A10	-0.6185
RAD50	-0.241125
IER5	-0.067125
MTHFD1L	-2.612625
MBTPS2	0.1895
MVK	-0.897875
NCL	-0.4261
PSMD10	-0.469
MOBP	0.25375
FLJ32894	0.076
HRH1	-1.2315
C5orf30	0.44925
NUDT16L1	0.1922
RASGRP3	3.21683333333333
PRKRIP1	-0.6958
CCDC75	0.9095
LOC253970	-0.45725
KIAA1239	-0.202666666666667
MED21	0.071
SYT11	-0.3615
NTSR2	-0.3685
EGFL11	-0.444
CXorf59	-0.0125
OR2A25	0.2495
SPTBN2	-1.25075
LRMP	-1.02566666666667
RNF111	0.552
PTH	0.392
LOC619208	0.209166666666667
KIAA0895	1.14225
RANBP5	-0.59375
P2RY10	-0.0671666666666667
NME5	4.67033333333333
DDX21	-0.80975
LRSAM1	-0.154
HDAC11	0.5905
VMO1	1.087
NOLA2	-0.570833333333333
ADAR	-0.01275
MTO1	-0.681333333333333
SF4	0.0638333333333333
P2RX1	-0.6395
HBM	-0.014
EN2	0.1885
C14orf172	-0.11175
TM9SF2	0.4231
INHBE	-0.369833333333333
TCTE3	-0.34675
TOX2	-3.017
CTAGE3	0.402625
HBB	4.5534
MED15	-0.785666666666667
CASR	0.4485
C6orf66	-0.844333333333333
MTPN	0.083
UNC50	0.28225
C21orf33	0.13525
IRF2	0.98275
PGR	2.63933333333333
GPR84	1.38425
CROCCL1	-1.9945
SRPX	-1.73225
BRE	0.0863333333333333
FGF10	1.62725
SDC3	0.667666666666667
ZRSR1	0.2175
DKFZP434P211	-0.534375
SOX6	-0.325
RPUSD2	-0.2465
C14orf173	-0.455416666666667
MAPK11	-0.0383333333333334
TBC1D22A	0.1985
FAM123A	-0.657
COL4A6	0.029
TOMM70A	-0.04375
NAB1	0.507625
MGC16385	-0.17675
TSPAN18	-0.149333333333333
MED31	0.538
PLG	0.2095
CAPSL	0.4705
ZNF532	0.6699
ASB14	0.14425
CA8	1.49975
NUDT16P	0.443166666666667
SLFN11	-1.1655
LRRIQ2	0.651875
NOL7	-0.619166666666667
BRMS1L	-0.6775
JARID1A	0.271
PANK2	-0.4955
ICAM3	-0.922
MDS1	0.44075
TAF8	-0.331
RNF139	0.588
ZNF594	0.5345
ADAM8	-1.006875
SFTPC	-0.462625
MAN2B2	0.853625
RGS12	0.790125
EIF1AY	-4.34883333333333
LRRIQ1	1.72616666666667
GPR150	0.10625
CCDC21	-1.83383333333333
PRRG3	0.526
SAA4	-0.37425
RAPGEF5	0.794875
ZCCHC2	0.605166666666667
MGC39372	0.552
PPP4R2	-0.391166666666667
CDCA2	-3.15133333333333
OR4D5	0.277166666666667
PTGFRN	0.00799999999999993
SIGLEC5	-0.0295
C19orf61	-0.984666666666667
NMUR2	0.5935
KIAA1586	-0.653
DAGLA	1.1005
CHCHD6	-0.3885
GPR32	0.1825
NEUROD6	0.436333333333333
SLC2A4RG	-0.4199375
CA5B	0.36225
FBXL3	1.77425
MPHOSPH9	-2.3145
HMG2L1	0.18225
HCN4	-0.1855
CEACAM19	0.33625
SH2D4B	0.3696
HFE2	-0.1135
TGM4	0.193
LYPD2	-0.63475
TBC1D15	0.069
MRPS21	-0.0143
NONO	-0.8667
CLEC5A	1.47875
ITCH	-0.1923
MGAT3	-0.038
MBP	0.846833333333333
RPP25	-1.2205
SOSTDC1	3.36425
HRC	-1.2375
TRIM48	0.5515
TMEM133	0.46125
ECEL1P2	-1.971
HOXC11	-0.121
DOK5	0.194
HELZ	0.031
LOC348180	-1.27175
MGC33894	0.21875
ADRB3	-0.131
DMD	1.99525
PTRH2	-0.49975
MPEG1	1.96683333333333
NDUFA12	-0.00133333333333333
KRTAP2-4	-0.26725
STAMBPL1	-1.95266666666667
ADCY2	0.8255
UNQ6125	0.2445
KLHL20	0.3295
SRM	-1.10675
OTC	-0.18
TMIE	0.539666666666667
SNX8	-0.9535
LIPK	0.2695
CHURC1	0.221916666666667
KLC2	-0.0306666666666667
HDAC1	-0.685166666666667
FAM128A	-0.127
FNDC3B	-0.3168
MTCP1	-0.392833333333333
WFDC10B	-0.1233
PCDHGB3	0.00650000000000001
ATRNL1	-1.2576
CAV2	1.041
MED26	-0.112
DUS1L	-0.38175
CHRM3	-1.09475
NEK9	-0.2855
WARS2	-0.00375
TBX22	-1.183
TOMM40	-1.35725
RP6-213H19.1	-1.1225
TUBGCP5	-0.4405
IGSF6	4.88625
TPPP	0.474666666666667
UNQ6190	0.3755
GSTM5	3.2465
BTD	0.193666666666667
PDCD1LG2	0.2152
SNRPB2	-0.3995
ERICH1	0.33925
APOA4	-1.500875
HOXA11	-0.953666666666667
NARG1	-0.5495
MKX	-0.90825
RAB28	-0.601142857142857
PKP3	1.0745
SH3GL2	-2.23875
CTSO	3.02575
RPN2	-0.334875
IL28RA	0.845333333333333
SFMBT1	0.1375
WDR57	-1.85625
FER1L3	1.67508333333333
HSF5	-0.3042
TTC9B	-0.22925
C4BPA	-0.802666666666667
ALB	-3.74578571428571
SORBS3	0.229125
UPF2	0.072
JPH1	-0.7595
AGBL2	0.51
DOPEY1	2.112
TERF1	0.185666666666667
KIF22	-1.184
NINJ1	0.99525
SEC61A2	-1.04966666666667
HIST1H1D	-1.79266666666667
SFXN4	-0.54
UCP3	0.2086
ZNF703	0.0686666666666667
MYL6B	-0.57775
TREM1	0.0645
OR52E6	0.3675
CKMT2	3.04525
HLA-C	1.21925
SLC13A3	-0.735833333333333
TIMP4	0.1065
SLIT2	2.441
RSF1	0.354777777777778
LONRF1	-0.335571428571429
MON1A	-0.280833333333333
CACNG6	-1.90283333333333
DPPA4	-6.19116666666667
ZSWIM3	0.058
ZNF804A	-0.147833333333333
CCIN	0.6445
SLC25A31	0.717666666666667
KCNMB4	0.218
RABL5	0.586375
GALNS	-0.8852
STX6	0.39025
HIST1H1C	-1.8805
CIDEB	-0.0465
CASP4	0.702833333333333
PDK3	-0.3776
KCNJ11	-0.042
TPR	-0.146
ZSCAN20	-1.0985
MTX2	-0.32875
HIST1H2BH	-0.72
LOC283767	3.789
LYRM7	-0.938444444444445
BRD3	-0.303666666666667
HIST1H2BO	-0.94575
MAGEB10	1.217
SLC45A1	0.1335
SERPINA3	1.90855
KIAA0143	0.86725
KCNJ16	4.8845
KRT79	-0.2965
FABP2	-0.58425
NUT	-0.83275
ZNF57	-0.0445
FBXL4	0.183875
CLEC9A	2.4245
UGT8	0.802333333333333
BMP2K	0.98275
MAPK4	-2.707
SLC25A23	-0.543
HINT1	-0.1845
KRTAP13-1	0.6945
SFXN5	-0.1998
CHCHD2	-0.642916666666667
FAM3D	4.115
NDP	-1.729375
RHOBTB1	-0.347833333333333
SLC4A4	-0.0951428571428572
RPL38	0.62325
HTF9C	-0.25
AP2A2	0.31625
ZBTB46	-0.076
MAP7D1	-0.204625
AOX1	-1.31233333333333
CYR61	-0.05925
DTNA	-0.304
JRKL	0.62075
TMOD3	-0.848
EEA1	-0.1109
ADCK5	-1.2145
IL1R1	2.21466666666667
KLK3	1.77821428571429
HRSP12	-0.358
KTN1	0.7695
LOH11CR2A	1.3499
RELL2	-1.90425
MAB21L1	1.3575
C20orf59	-0.580333333333333
PHKB	0.25025
ADAM2	-2.53066666666667
TBC1D8B	1.8575
FAM13A1	0.7993125
LAPTM4B	-1.3725
LCN8	0.2075
TMEM147	0.1945
SYT4	-0.657333333333333
XPO7	-0.789
C9orf62	-0.06075
GPR75	1.501
TRIM5	0.677
APOC1	-1.0305
RNASE4	1.544
PARD6B	-1.801
ARID1A	0.04775
TPD52L3	0.209888888888889
RRAGB	1.36016666666667
RCN2	-0.421
HIST2H2BE	-0.6105625
STARD7	-0.305
SHMT2	-1.772
KIAA1751	-0.6695
MLYCD	0.265125
LOC162632	-0.0726
UQCRH	-1.45125
RP11-217H1.1	0.2701875
SDHA	-1.77683333333333
NCLN	-1.2056
ZNF17	0.809666666666667
RCBTB2	-0.296
VEGFB	-0.6281
RP4-747L4.3	0.10525
COLQ	0.0245
MPN2	-1.07266666666667
DRG2	-0.4495
KLRB1	2.51075
ALPK2	-2.75025
DNASE2B	1.18425
FLJ23834	-0.377
AXUD1	0.428666666666667
SAFB	-0.4809
NSUN4	-0.5165
RFX2	0.7075
MAPK8IP1	-0.321833333333333
FANCD2	-1.27928571428571
ANKZF1	-1.78283333333333
C19orf50	-0.86775
DUSP8	1.383
SENP5	-0.84975
NFKBIL2	-1.26475
LBR	-2.154875
IGFL1	1.344
LZTS2	0.650625
IL2RG	-1.312
CCDC51	-0.77925
KLF3	-0.237
ANKRD37	-1.12775
KCTD14	3.33566666666667
FZR1	-0.361
SLC44A4	1.8115
ESPL1	-1.67475
GMPR2	-0.108
TBC1D19	-0.556166666666667
ERGIC1	-0.220074074074074
ERBB4	3.2884
TSPAN32	0.115
MAP4	-0.480875
GPHN	-0.46025
SLC6A2	0.721
HIVEP1	0.81775
DFFB	-0.4677
EIF4EBP2	0.430375
DMRT1	-0.33075
HSPB6	-0.2275
IER2	0.0466666666666667
AIFM1	-0.834
WWC2	0.418916666666667
MRPL4	-1.0785
FLJ21062	1.6285
EPB41L4A	2.01583333333333
SH2D6	0.0165
TAF4B	-0.7475
GAL3ST3	0.0485
MALT1	-0.702833333333333
RTDR1	-0.12125
ARVCF	0.178375
MEX3B	-1.25533333333333
FBXO16	0.785
KIF7	-1.06825
C1QC	4.18966666666667
ZNF783	-0.286333333333333
ZNF85	0.393
MMP13	-1.45
KIAA0329	0.89075
RTP3	-1.692
ZBED3	-0.4175
CLGN	-0.271
SLC25A37	-0.156291666666667
hCG_18290	0.55825
OR5AS1	-0.4745
SMARCC2	0.3265
FAM109A	-0.371
CCDC12	-0.16875
USF2	0.0494
DEPDC7	-2.5185
C20orf24	-1.24933333333333
JMJD3	0.5535
DSP	1.79678571428571
SLIC1	-0.04075
FAM20A	0.8715
IRF2BP2	-0.2265
ZNF230	0.3785
MSN	-0.308571428571429
SLC9A5	-1.463
EPDR1	-1.6409
