Hybridization REF	TCGA-C8-A12P-01A-11R-A115-07
LTBP4	-0.3595
SIRT6	0.41025
CCL19	3.634
PPIL1	-0.805333333333333
GBP7	0.0856666666666667
STK17A	-0.379
ABR	-0.02375
OR9G1	0.579
FOXE1	-0.398125
CNGA3	-0.1395
GML	0.936
CD38	-0.44375
ZDHHC6	0.429833333333333
NEFH	-2.66775
CTDSP2	-0.136333333333333
PGBD5	0.059
CCNY	0.0841428571428572
RMND5B	0.275833333333333
ZNF257	-5.475
FLJ22167	-1.074875
EXOSC7	0.283166666666667
ROR2	1.0825
MAOA	1.497625
TNNT3	-0.143166666666667
GYPC	-1.16075
C7orf33	1.0925
PLIN	0.563333333333333
LOC90826	-0.23825
RNF4	-0.8137
F8A1	1.24933333333333
PLEKHG4	-2.85525
GRB2	-0.73215
HIST1H2AD	0.897
DUS3L	0.6385
EIF1	0.141166666666667
RP5-1077B9.4	-0.742833333333333
FPGT	0.9695
GDF10	-1.5465
COQ9	0.42575
GCC2	0.0357142857142857
RARRES3	2.374375
PLXNA1	-0.8726
KIAA0100	-0.7305
PMF1	-0.02825
FNDC1	5.2625
HS2ST1	-0.582916666666667
CRELD2	1.288
C8G	-1.818
CD82	1.6645
LIM2	-0.8315
UNQ6490	-0.2745
MMP16	-0.42275
DRD3	0.44625
C5orf26	-1.91675
C11orf73	0.948875
PTP4A2	0.179125
OR4M2	0.318
HPCA	-0.2145
SEC14L1	0.0785
CHFR	0.532375
EMILIN1	1.3545
NDUFS4	0.09
COL18A1	0.307625
PDZD3	-0.018
C9orf16	0.07
ERBB2IP	0.3135
EMX2	4.473
FUS	-1.085
TF	-3.4908
CLCN4	1.466
CXorf56	1.53725
C11orf72	0.43425
ELAC2	-0.262666666666667
NPR1	-0.97825
ASS1	-0.2045
USP42	-0.19
POLR2J	0.3985
SEC23IP	0.277833333333333
UQCRC1	0.48675
LOC729603	-0.86975
C1orf71	-0.2655
POLG	-0.855
ADAM23	-3.43925
TFR2	-1.02975
RICTOR	-1.1505
MGC39606	0.91025
C19orf55	-0.1805
SNAPC1	0.5315
GNA11	0.890375
CCDC52	-0.2115
FSIP1	2.1555
UPF3A	-1.00875
IGSF11	-2.21233333333333
LAGE3	1.31325
CHST6	-2.0625
UNC13B	1.089
TTLL4	-0.159875
ZNF687	0.611875
SDC2	-0.0141
COX7A2	-1.2825
LAMB4	-0.29125
FAM24A	0.342
LRRTM3	-1.12033333333333
GPHB5	0.122
OR4C13	0.406
EIF3EIP	0.277071428571429
HABP4	-0.782
TMEM125	3.3065
CNTN2	0.7615
ASNSD1	0.562
FUT4	1.083875
ACF	-3.38125
LOC158381	0.6075
CDH8	-0.82575
AGPS	-1.55066666666667
C4orf18	2.269625
PECI	0.173333333333333
UNG	0.097125
GSTP1	-1.9405
DCUN1D5	0.256
DKFZP564J0863	0.23875
SLC9A3R1	1.04725
BCDO2	-1.797625
CHMP7	-0.27575
REM2	0.946
DNHD1	-0.4505
FKBP4	-0.232625
ZNF350	1.561
MGC11102	1.513125
BST1	1.81525
KISS1R	0.0635
NCR2	0.209
DEFB125	0.0025
UBE2W	-0.103
KRT15	2.188125
C10orf99	0.4805
SCN11A	0.06325
GFI1	-2.0475
RDHE2	4.77116666666667
FHL1	2.26383333333333
OSGEP	-0.0875
GATA1	-3.56166666666667
SMC6	0.333
TTTY14	-1.319
LPIN3	-0.31275
RPL4	0.8267
RBPMS	0.0315
PRPF3	-0.0838333333333333
EMR1	-1.589
SPATA19	0.305
XCR1	0.5275
IRX3	0.809
RBM6	-1.257
KLF4	-1.187
UNC5CL	-1.60625
SEBOX	0.2895
BTK	-0.2325
KRCC1	0.3645
C6orf27	0.46
SYTL5	-0.4475
PRND	2.443625
LOC653319	-1.491
PIGL	-1.32625
HUS1	0.118166666666667
SFRS6	-1.17291666666667
C17orf77	0.3565
UIMC1	-0.718333333333333
FXYD2	-1.6588
LOC283152	1.24525
ZNF667	-2.06225
ZCCHC12	-0.18725
TFEC	4.2007
ATP7B	-1.19266666666667
POLD2	-0.143166666666667
RG9MTD1	-0.21
ACOT2	1.3655
HIST1H4I	0.00325000000000003
PPARGC1A	0.6591
ETFA	1.3114
POLRMT	0.14075
ZNF146	0.454125
MIA2	-3.168
KLHL6	0.646333333333333
HOXB5	0.178125
NENF	0.853
CUGBP1	-0.06875
PRSS22	1.98283333333333
CASC4	0.6869
CUL4B	0.3682
CENPJ	-1.8056
PITX1	2.26083333333333
FLJ31033	0.853
CELSR3	0.248
ZNF568	0.9685
ITSN1	-0.353916666666667
EHBP1L1	-0.668333333333333
C19orf2	-0.88325
DCTN1	-0.31475
LIN28B	-4.34216666666667
TNKS2	-0.3545
C1QBP	-0.1235
CADPS2	2.01475
SRMS	0.60225
GJA9	0.3335
MGC24975	-0.789666666666667
TRIM45	-0.596
TSP50	-0.0615
TCP1	-0.77625
TMED7	0.228
CMA1	0.8605
CENPL	-0.686
PTCRA	0.6735
FST	-3.436
VWCE	-3.77375
PAWR	0.34775
ABCC12	2.943
LDLR	-0.8316
ASTN2	-0.8197
LOC441212	0.272625
GPATCH8	-0.09375
TANC2	0.766166666666667
KIF4A	-0.90525
C18orf18	-0.48175
PGM1	-0.5115
KIAA0258	0.33675
CPD	1.18125
SNCAIP	-1.531
DCT	-4.0455
HLA-DOA	2.68245454545455
OR11L1	0.7565
UPK1B	-0.0788333333333333
DNAJB4	0.7465
UGT1A8	-0.164
HIST1H4L	-3.288
PECR	-0.333666666666667
HSPA2	1.4995
WFIKKN1	-2.922
SERP1	0.42575
SYDE2	0.7055
TACR2	0.6245
NUP85	-0.73725
CD177	0.638333333333333
LGR5	-1.32833333333333
PIGG	-0.7915
PTHR1	-1.18216666666667
RAB5A	0.2135
FLJ13224	0.2845
USP9Y	-1.2882
C7orf53	0.5515
LRP1B	-0.66725
XAF1	1.8759
ABCG8	0.0495
ANKDD1A	-0.608833333333333
DAND5	-1.3305
SPAG6	0.144166666666667
LINCR	0.9265
ZDHHC22	-1.32925
CCDC60	0.4635
THOC7	-0.973166666666667
TCTA	1.2878
OR8K3	0.42375
NY-REN-7	-0.9865
B2M	2.09783333333333
C6orf141	-1.056125
LPPR4	2.58175
SQLE	-1.945625
SEPHS1	-0.46575
BTBD14B	0.3575
PLRG1	-0.1225
SPG7	-0.918
ZNF614	0.4435
PARD6G	0.275166666666667
INPP5B	0.0748
GRPEL2	0.949625
PPID	-0.752
TRIM56	-0.72175
UBE2J1	-0.007875
IL20RA	2.89
LOC387856	0.17975
C1orf107	0.601083333333333
UTS2R	-0.002
C19orf22	0.5075
SAFB2	-0.65025
KIAA0652	-0.067375
KLRG1	-0.811
MS4A8B	0.406166666666667
FRAG1	1.14925
KIAA1546	-0.445
E2F4	-0.9013
CLEC4M	0.142833333333333
BTBD14A	-0.2945
KIAA0999	0.5636
GYPA	-4.10133333333333
TAC1	-0.1113
TRAIP	-0.8195
KIAA0232	-0.32
ERCC8	-0.364625
GPX4	0.282125
KIAA0368	-0.752125
GPR157	-0.918666666666667
CTAGE4	2.2155
C9orf30	-0.260166666666667
OR52A1	0.43
HSP90B3P	-0.259
ALG9	0.5623
BTBD10	0.21625
SDK2	-0.16525
BAIAP3	-1.6035
RABGGTB	-0.580375
ANKRD40	0.244833333333333
KRT74	0.6
CALCOCO2	0.245928571428571
SNCA	-2.8725
TMSL8	-2.304125
C2orf53	-0.0155
ESRRB	-0.12675
ARHGAP26	-0.950625
TDRD9	-2.67325
HRAS	0.445333333333333
KLRC4	-1.844
JAGN1	-0.947833333333333
BSDC1	0.16
RNF43	0.5794
NDUFAF1	0.24675
PHF12	0.1595
OR1L3	0.18675
FOLR2	1.507
LYZL6	0.201
tcag7.1260	1.917
WSB1	-2.113
PROS1	-1.2073
OSTN	0.9075
PSMB8	0.547
SOCS4	0.405625
DDIT4L	1.98075
MAS1	0.0325
MGC34796	1.90475
CSHL1	0.493166666666667
TBCCD1	0.589333333333333
ZBTB7C	0.0775
AP2S1	0.2
P15RS	-0.9108
VAT1	-0.3161
SHANK3	1.08416666666667
TUFM	0.264333333333333
THEG	-0.685
KRT34	-1.03825
SGSM3	0.327625
TOMM22	-0.289875
SOCS3	0.212666666666667
CPO	0.9845
POP4	0.42825
BHLHB3	0.80525
MALL	3.4275
OR1B1	0.7655
PARK2	0.179833333333333
GPR124	0.436
LCE1E	-0.155
RUVBL2	-0.667
CGRRF1	0.6799
ACPL2	0.25225
WNT10B	-2.610875
BAIAP2L2	-1.31075
ISCA1	0.343
C1orf125	0.6975
RPAP1	-0.6135
RAI16	-0.837
RPL27	-0.769
NLRP9	0.155
EPN1	0.596
LOC388610	-1.7095
SLC35A1	-0.2573
GAL	-3.15025
SLC14A2	0.5745
RDH11	-0.4725
FAM138F	0.1815
AUH	-0.1025
FLJ40243	0.1505
C14orf129	0.748166666666667
MBD2	-0.932833333333333
ABHD14B	0.19225
PIGT	0.13675
ALS2CR4	-0.482875
ALAS1	0.4555
FOXO1	1.29766666666667
CRLF3	-0.518625
C20orf107	0.704
FARS2	0.288
CCDC28A	0.1775
NPHP3	-1.66325
OR13F1	0.8335
TSEN54	-0.5255
DEFB106B	0.1828
OR8B4	0.1755
STH	0.5505
ZC3H14	0.106125
CBX2	0.2345
TMEM49	1.58975
C6orf21	0.6225
FLJ20920	0.731125
CRTAP	-0.0528571428571428
DDX50	-0.319
STYXL1	-0.09
BLVRB	1.141
LOC147650	-1.48083333333333
MMP24	0.56625
GRID1	1.8
BANF1	-0.165666666666667
CTAGEP	0.962
HMBS	-0.62975
SLC25A24	-0.368166666666667
C14orf50	0.27525
MRO	2.21366666666667
SLC25A15	-0.24575
FAM84B	-0.4693
TDP1	-0.0905
C16orf78	-0.0255
C11orf57	-0.506875
RFK	-0.44075
ZFYVE9	-0.00987499999999999
STCH	-0.5371
WIBG	-0.007
LOC283871	0.1385
GBA2	0.2867
NDUFB3	0.215
HSD17B13	-0.739
GRIN3A	1.66133333333333
FMNL1	-0.664666666666667
SEPT7	-0.5448
GNLY	3.946
GRAMD1C	0.418
ZNF165	-0.3985
USP38	0.934
FAM83A	-3.20083333333333
C14orf24	0.985
ARMCX3	0.778875
ARHGDIB	1.67733333333333
AK1	0.49425
KIAA1045	0.14675
DNAJB13	0.4615
NEU2	0.6145
HIST1H4B	-0.991833333333333
FAM20B	0.0676
HES2	0.556923076923077
FAM73B	-0.3458
LOC388381	0.0415
INTS7	0.0352727272727273
AMPH	1.1845
ZNF775	-0.63975
UCKL1	0.04
C10orf97	2.378
C1orf161	0.016
ALDH1L1	-1.45575
FLJ39378	0.132625
SLC23A1	-3.3645
RBM4B	0.5035
THAP4	0.746
OGFRL1	-0.14225
KIAA0831	0.270375
PPP1R15A	-0.374
C1orf96	-0.0320714285714285
C12orf11	-1.4065
BMF	0.8695
MAN1A1	-0.13025
KIAA1600	0.307666666666667
NLGN4X	-0.93925
ALOX12	-0.885833333333333
RB1CC1	0.3487
NEIL2	-0.8156
EIF4E	0.102681818181818
ABHD5	1.12175
EXOC4	-0.666333333333333
CIP29	0.1275
BATF2	0.9235
SLC29A4	0.0355
HTR4	0.00950000000000001
EMB	-1.77775
TRAF6	0.9275
LMNB1	-2.612
FAM19A5	-0.59175
SHE	1.71875
PIK3C2B	1.3435
C15orf15	0.1917
USP15	0.0311
TCEAL2	-0.02475
C5orf39	-0.414833333333333
PTGER2	-0.825
SLC31A1	-0.1110625
IFT172	0.778
ADAM29	0.57025
GFOD1	-0.20675
ST7L	0.210833333333333
C15orf26	-2.95475
PKN3	-0.10475
CNTD1	0.407833333333333
COMMD1	0.45975
NTRK2	1.33308333333333
FOXN3	0.972125
MFGE8	0.0894
PFKFB2	1.5315
TAS2R4	-0.51325
ENTHD1	0.638
PRMT5	0.098875
MGC16384	-2.205625
LOC442229	0.2555
TSKU	-0.104
KRTCAP3	1.816875
PDLIM1	0.3611
KCNS2	0.04425
RNF126	0.299333333333333
CEP63	-1.038125
CLIC4	-0.108625
hCG_1990170	-1.029
ACR	3.2097
KLK7	-0.13425
ALOX5AP	3.079625
RIPK3	3.2965
TAS2R9	-0.038
C19orf18	0.628
BIRC6	0.407142857142857
ZNF16	1.4415
RFT1	0.12625
SLC8A2	0.0305
TACC1	0.91375
ITGAD	2.0665
SAMHD1	1.5615
SH3PXD2B	1.6394
EPC2	-0.0895
C20orf85	0.45
ATP13A2	0.420333333333333
KRT4	3.0605
CAPNS1	0.10025
MDM2	-0.927166666666667
PCDH20	0.50325
KCNK9	1.0075
OR2C1	0.2285
KLHDC3	-0.555833333333333
IPPK	0.598
EFHD2	-0.315
GALR3	-0.03025
NBEA	-1.83283333333333
ABCA6	2.757
CLDN3	2.98866666666667
AKT2	-0.688428571428572
EGFR	0.3119
RBM16	-0.391125
ZDHHC3	1.5002
SLC25A4	0.609833333333333
CYB5B	-0.406166666666667
CPXM1	0.244
NDRG1	-1.83569230769231
FLJ43826	0.38475
OR5L2	0.0316666666666667
FARP2	0.047
MRPL46	-0.6855
LDHAL6B	0.469833333333333
MAPKAPK3	0.301
NCAM2	-2.28525
PRKD2	-0.199666666666667
ZFP36L1	1.3167
CYSLTR1	-0.1015
OR4C3	0.68675
HIST1H2AJ	1.8825
CCNB2	-1.56755555555556
ZNF10	-0.244125
TMEM175	0.0785
FAM134A	0.340333333333333
TIGD4	-0.236
PCNP	-1.02175
MGC39715	0.50475
LQK1	-1.79575
CREB1	0.3712
TMPRSS3	-0.67075
C4orf32	0.196625
LAT	-1.99291666666667
KCNA3	-0.9365
SKIV2L2	-0.6525
ROPN1B	-4.54875
tcag7.23	-0.5835
CDT1	-1.956125
ZHX2	-0.332
CD28	-3.4815
ZNF624	0.308
SEPT2	0.19375
SOHLH2	-1.652875
MCOLN3	2.61957142857143
UNQ1945	0.6475
MASP2	-1.0825
ZNRF3	-0.6427
GPATCH3	-0.2485
AGL	0.112625
QRICH2	0.147
PSD4	0.7115
CCNB1IP1	-1.60125
ENPP7	0.42325
OBFC1	0.6505
KCNG3	-0.54
C14orf79	-0.949666666666667
ENPEP	2.58916666666667
SCT	2.107
SKI	-0.02575
SEC61G	-0.5295
CAPN11	-0.10375
ATXN7L3	-0.6265
DBNDD1	1.0315
FAIM	0.71725
ANKRD36	-1.6575
GABRP	4.92183333333333
TACSTD2	1.75266666666667
EIF3J	-0.26575
PPP2R2A	-1.438
TEKT4	-0.253166666666667
PVALB	-3.55666666666667
F10	-2.9975
FAM134C	0.9487
COMP	4.211
EFCBP1	-3.7093125
SCLT1	-0.87725
TAL1	-1.3195
ACSL1	2.2345
ABCC5	0.45125
ABL1	-0.777777777777778
RBBP7	1.51925
PTPRG	-1.571625
NCOR1	-0.5421
SPINK4	-2.29716666666667
TXNRD1	0.0184
TNRC15	-0.737625
C9orf138	-0.183
UBE2H	1.27216666666667
BRDT	0.0492
C8orf31	0.27475
CCNE2	0.208818181818182
SLC6A8	-1.62125
CALCR	-4.297
PPP1CB	0.7195
ABHD8	0.02725
ARF5	0.5862
SLC24A4	1.14825
CCT3	0.211
ZNF121	0.16975
SLC3A2	0.4288
OR13A1	0.5865
SLC5A10	0.1085
RAD50	-0.265875
IER5	0.271375
MTHFD1L	-1.322625
MBTPS2	0.132
MVK	0.128875
NCL	0.2366
PSMD10	0.1845
MOBP	0.8115
FLJ32894	0.5705
HRH1	0.347666666666667
C5orf30	-2.22775
NUDT16L1	0.2273
RASGRP3	4.42366666666667
PRKRIP1	-0.595
CCDC75	-0.6015
LOC253970	0.48375
KIAA1239	0.40375
MED21	-0.38125
SYT11	0.17875
NTSR2	0.3605
EGFL11	0.153
CXorf59	0.475
OR2A25	0.2995
SPTBN2	0.99025
LRMP	-1.60233333333333
RNF111	-0.4785
PTH	0.469
LOC619208	0.360833333333333
KIAA0895	2.11775
RANBP5	-2.039875
P2RY10	0.733
NME5	-0.304333333333333
DDX21	-0.192
LRSAM1	-0.602
HDAC11	0.694333333333333
VMO1	1.668
NOLA2	-0.032
ADAR	1.08983333333333
MTO1	-1.5205
SF4	0.2895
P2RX1	-0.0365
HBM	0.48675
EN2	0.063
C14orf172	1.01925
TM9SF2	0.0028
INHBE	-1.08216666666667
TCTE3	0.04825
TOX2	-1.76375
CTAGE3	0.288
HBB	3.1288
MED15	0.00666666666666667
CASR	0.24725
C6orf66	-0.472833333333333
MTPN	-1.408875
UNC50	0.38725
C21orf33	0.6245
IRF2	0.45625
PGR	-1.71366666666667
GPR84	2.3635
CROCCL1	-3.15225
SRPX	-1.53675
BRE	0.122
FGF10	1.7745
SDC3	0.166666666666667
ZRSR1	0.522166666666667
DKFZP434P211	-0.9075
SOX6	1.225
RPUSD2	0
C14orf173	0.4685
MAPK11	-0.419333333333333
TBC1D22A	0.5345
FAM123A	-0.9035
COL4A6	-4.17116666666667
TOMM70A	0.065
NAB1	0.7235
MGC16385	-0.14675
TSPAN18	-0.872833333333333
MED31	-0.10175
PLG	-0.25
CAPSL	0.8575
ZNF532	1.7007
ASB14	-0.218
CA8	-3.8735
NUDT16P	0.235666666666667
SLFN11	-0.844
LRRIQ2	-1.009375
NOL7	0.0901666666666667
BRMS1L	0.434125
JARID1A	-0.203166666666667
PANK2	-0.04
ICAM3	-0.43725
MDS1	-0.97025
TAF8	-1.0845
RNF139	-0.6605
ZNF594	0.214333333333333
ADAM8	2.02975
SFTPC	0.509125
MAN2B2	0.384875
RGS12	-0.448875
EIF1AY	-4.55908333333333
LRRIQ1	-2.2165
GPR150	-0.05275
CCDC21	-1.37466666666667
PRRG3	0.4985
SAA4	-4.09175
RAPGEF5	2.798625
ZCCHC2	-0.816416666666667
MGC39372	-0.141
PPP4R2	0.232666666666667
CDCA2	-2.0665
OR4D5	0.5385
PTGFRN	1.8818
SIGLEC5	2.34166666666667
C19orf61	-0.605833333333333
NMUR2	0.2215
KIAA1586	-1.43983333333333
DAGLA	1.46966666666667
CHCHD6	0.127
GPR32	1.269
NEUROD6	0.437833333333333
SLC2A4RG	0.1123125
CA5B	0.2755
FBXL3	-0.29175
MPHOSPH9	-1.0605
HMG2L1	-0.118
HCN4	-0.115833333333333
CEACAM19	0.891
SH2D4B	0.688166666666667
HFE2	-0.279
TGM4	0.064
LYPD2	-0.4395
TBC1D15	-0.08475
MRPS21	1.3345
NONO	-0.3318
CLEC5A	1.992625
ITCH	0.5182
MGAT3	-1.54883333333333
MBP	-0.482375
RPP25	1.35125
SOSTDC1	1.46225
HRC	-1.74175
TRIM48	-0.1005
TMEM133	-0.2295
ECEL1P2	-1.17275
HOXC11	0.4715
DOK5	-0.4125
HELZ	-0.279
LOC348180	-0.4665
MGC33894	0.56375
ADRB3	0.1275
DMD	0.783333333333333
PTRH2	1.16375
MPEG1	2.91016666666667
NDUFA12	0.0721666666666667
KRTAP2-4	0.446166666666667
STAMBPL1	-1.376
ADCY2	-0.6785
UNQ6125	0.5845
KLHL20	-0.00133333333333332
SRM	0.01175
OTC	0.06425
TMIE	0.0323333333333333
SNX8	0.47
LIPK	0.4395
CHURC1	-0.60025
KLC2	0.397333333333333
HDAC1	-0.800666666666667
FAM128A	-0.0911666666666667
FNDC3B	0.419
MTCP1	0.843666666666667
WFDC10B	-0.2307
PCDHGB3	-0.1355
ATRNL1	-3.2038
CAV2	1.001625
MED26	0.0458333333333333
DUS1L	0.6135
CHRM3	-2.2285
NEK9	0.577
WARS2	-0.47125
TBX22	-1.138
TOMM40	-0.353
RP6-213H19.1	0.621666666666667
TUBGCP5	-0.058
IGSF6	5.1565
TPPP	-0.0706666666666667
UNQ6190	-0.3285
GSTM5	0.3045
BTD	0.7075
PDCD1LG2	1.18916666666667
SNRPB2	0.378
ERICH1	-1.101625
APOA4	-1.50425
HOXA11	-1.8035
NARG1	0.229125
MKX	-0.4555
RAB28	-0.06
PKP3	0.64075
SH3GL2	-2.297
CTSO	3.816
RPN2	0.908
IL28RA	0.209833333333333
SFMBT1	0.4985
WDR57	-0.53625
FER1L3	0.278416666666667
HSF5	0.846166666666667
TTC9B	0.38325
C4BPA	-3.78816666666667
ALB	-4.62464285714286
SORBS3	0.359125
UPF2	0.81
JPH1	-0.6625
AGBL2	-2.16175
DOPEY1	0.579
TERF1	-0.392
KIF22	-0.649833333333333
NINJ1	0.98325
SEC61A2	-0.442833333333333
HIST1H1D	-1.37566666666667
SFXN4	0.551125
UCP3	1.0575
ZNF703	0.363833333333333
MYL6B	-1.0925
TREM1	2.4775
OR52E6	0.676
CKMT2	3.005
HLA-C	1.886
SLC13A3	1.12116666666667
TIMP4	-3.51675
SLIT2	1.967
RSF1	0.128166666666667
LONRF1	-2.47285714285714
MON1A	0.563333333333333
CACNG6	-0.565666666666667
DPPA4	-5.59633333333333
ZSWIM3	1.16125
ZNF804A	0.8865
CCIN	1.9105
SLC25A31	0.5725
KCNMB4	-0.56625
RABL5	0.797875
GALNS	-0.4636
STX6	0.330875
HIST1H1C	0.0855
CIDEB	0.323625
CASP4	0.444166666666667
PDK3	1.4227
KCNJ11	0.6725
TPR	-0.59725
ZSCAN20	-0.425
MTX2	-0.0085
HIST1H2BH	1.39525
LOC283767	1.51625
LYRM7	-1.3435
BRD3	-0.592166666666667
HIST1H2BO	0.929
MAGEB10	0.002
SLC45A1	0.73925
SERPINA3	-2.8703
KIAA0143	0.618
KCNJ16	-0.267666666666667
KRT79	1.6485
FABP2	-1.5725
NUT	-0.69825
ZNF57	1.133
FBXL4	-0.35275
CLEC9A	0.2575
UGT8	-1.60666666666667
BMP2K	0.66075
MAPK4	-3.4525
SLC25A23	-0.1086
HINT1	0.3609
KRTAP13-1	0.116
SFXN5	-0.2691
CHCHD2	1.31383333333333
FAM3D	1.4035
NDP	-3.899
RHOBTB1	-0.4395
SLC4A4	0.598375
RPL38	-0.78625
HTF9C	-0.1145
AP2A2	0.484625
ZBTB46	-0.8705
MAP7D1	0.4005
AOX1	-1.641
CYR61	0.9345
DTNA	-0.327
JRKL	0.36075
TMOD3	1.2515
EEA1	-0.3335
ADCK5	0.33075
IL1R1	2.28166666666667
KLK3	0.278285714285714
HRSP12	-0.4915
KTN1	0.82625
LOH11CR2A	-0.3022
RELL2	1.2995
MAB21L1	1.041
C20orf59	-0.884
PHKB	0.42925
ADAM2	-2.55283333333333
TBC1D8B	0.962833333333334
FAM13A1	0.4195625
LAPTM4B	0.226416666666667
LCN8	0.2595
TMEM147	1.456
SYT4	0.0251666666666667
XPO7	-1.068
C9orf62	0.02275
GPR75	-0.0165
TRIM5	-0.122875
APOC1	1.16566666666667
RNASE4	0.508333333333333
PARD6B	-2.35775
ARID1A	-0.551916666666667
TPD52L3	0.3046
RRAGB	0.473166666666667
RCN2	0.454666666666667
HIST2H2BE	0.996
STARD7	0.31175
SHMT2	-0.5895
KIAA1751	-0.0291666666666667
MLYCD	0.03725
LOC162632	-0.5469
UQCRH	-0.01625
RP11-217H1.1	1.179625
SDHA	0.163333333333333
NCLN	0.1433
ZNF17	-0.0978333333333333
RCBTB2	-1.682
VEGFB	-0.384
RP4-747L4.3	1.1825
COLQ	-0.0166
MPN2	-0.9455
DRG2	-0.137
KLRB1	3.26625
ALPK2	-0.34575
DNASE2B	0.87775
FLJ23834	-0.711833333333333
AXUD1	-0.179333333333333
SAFB	-0.3213
NSUN4	0.31725
RFX2	-0.458
MAPK8IP1	0.201166666666667
FANCD2	-0.717428571428571
ANKZF1	-1.3155
C19orf50	-0.031
DUSP8	0.626
SENP5	1.296875
NFKBIL2	-0.1805
LBR	-0.579125
IGFL1	0.9745
LZTS2	-0.3205
IL2RG	-0.373375
CCDC51	0.05475
KLF3	0.222
ANKRD37	-0.298
KCTD14	-1.59383333333333
FZR1	0.175416666666667
SLC44A4	-1.6323
ESPL1	-0.515875
GMPR2	-0.3345
TBC1D19	-1.04016666666667
ERGIC1	1.19355555555556
ERBB4	-2.0791
TSPAN32	0.590833333333333
MAP4	-0.07925
GPHN	-1.08075
SLC6A2	0.13
HIVEP1	0.96225
DFFB	-0.2913
EIF4EBP2	1.341375
DMRT1	3.21025
HSPB6	-0.27625
IER2	0.1145
AIFM1	0.59575
WWC2	0.651333333333333
MRPL4	0.54925
FLJ21062	-1.44633333333333
EPB41L4A	-0.445583333333333
SH2D6	0.539
TAF4B	-0.93875
GAL3ST3	0.267
MALT1	-1.2475
RTDR1	1.7995
ARVCF	0.81675
MEX3B	-0.985
FBXO16	0.658
KIF7	-0.42975
C1QC	3.8135
ZNF783	-1.41233333333333
ZNF85	-0.67275
MMP13	6.038
KIAA0329	0.263875
RTP3	-1.84
ZBED3	0.483
CLGN	-1.8555
SLC25A37	-2.04170833333333
hCG_18290	-0.844
OR5AS1	0.5265
SMARCC2	-0.2145
FAM109A	0.462666666666667
CCDC12	-0.39525
USF2	0.2503
DEPDC7	1.778
C20orf24	0.570166666666667
JMJD3	0.098
DSP	0.724214285714286
SLIC1	0.619
FAM20A	1.215375
IRF2BP2	-0.10725
ZNF230	-0.3055
MSN	-0.536428571428571
SLC9A5	-1.1595
EPDR1	-1.0024
MUSK	0.360166666666667
ZNF434	0.0361666666666667
SMARCD1	-0.217166666666667
ZFP106	-0.34625
ZNF347	0.2008
GTF2E1	0.075
