Hybridization REF	TCGA-A2-A0ET-01A-31R-A034-07
CRELD2	-0.04025
C8G	-1.4205
CD82	0.67875
LIM2	-0.11
UNQ6490	0.0635
MMP16	-0.00425000000000001
DRD3	-0.324
C5orf26	1.0205
C11orf73	0.221875
PTP4A2	0.9845
OR4M2	0.482
HPCA	-2.0825
SEC14L1	-1.13716666666667
CHFR	-0.630875
EMILIN1	-0.313625
NDUFS4	0.3605
COL18A1	-1.497125
PDZD3	-0.3951
C9orf16	-0.9625
ERBB2IP	0.688333333333333
EMX2	0.65725
FUS	-0.6515
TF	-3.8506
CLCN4	-1.71883333333333
CXorf56	1.174
C11orf72	0.297
ELAC2	0.26
NPR1	-0.895
ASS1	-3.70383333333333
USP42	-0.158
POLR2J	-0.7905
SEC23IP	0.685666666666667
UQCRC1	-0.34325
LOC729603	-0.667
C1orf71	0.326875
POLG	-1.9465
ADAM23	-3.76525
TFR2	-1.453
RICTOR	-0.6554
MGC39606	-1.03175
C19orf55	-0.243875
SNAPC1	-1.52966666666667
GNA11	0.278375
CCDC52	0.535333333333333
FSIP1	3.02
UPF3A	0.282625
IGSF11	-2.0015
LAGE3	0.94525
CHST6	-3.357
UNC13B	-0.626125
TTLL4	-1.222
ZNF687	0.228875
SDC2	-2.7443
COX7A2	-0.04675
LAMB4	-0.903333333333333
FAM24A	0.214
LRRTM3	-0.3742
GPHB5	-0.312
OR4C13	-1.5015
EIF3EIP	-0.334642857142857
HABP4	-1.5405
TMEM125	4.0555
CNTN2	0.00625000000000005
ASNSD1	0.36175
FUT4	-1.065
ACF	-3.24325
LOC158381	0.9735
CDH8	0.03175
AGPS	-0.8815
C4orf18	4.43325
PECI	0.783166666666667
UNG	0.4445
GSTP1	-3.544625
DCUN1D5	-1.10666666666667
DKFZP564J0863	-2.04075
SLC9A3R1	1.258875
BCDO2	-0.707875
CHMP7	0.07275
REM2	0.7335
DNHD1	-0.65725
FKBP4	0.34425
ZNF350	1.8455
MGC11102	-0.105125
BST1	0.271
KISS1R	-0.1105
NCR2	-0.2765
DEFB125	-1.077
UBE2W	0.562
KRT15	-0.97125
C10orf99	0.163
SCN11A	0.20875
GFI1	-1.6895
RDHE2	-0.323833333333333
FHL1	-0.8785
OSGEP	0.0648333333333333
GATA1	-3.29633333333333
SMC6	-1.52
TTTY14	-0.67525
LPIN3	-0.15125
RPL4	-0.5936
RBPMS	-1.5501
PRPF3	-0.400833333333333
EMR1	-1.9635
SPATA19	-0.58375
XCR1	0.4245
IRX3	-0.0387
RBM6	-0.65025
KLF4	-1.1527
UNC5CL	0.07975
SEBOX	-0.268
BTK	-0.5945
KRCC1	0.8465
C6orf27	-0.0245
SYTL5	-1.089
PRND	0.804875
LOC653319	-0.1945
PIGL	-0.58125
HUS1	-0.614666666666667
SFRS6	-0.0131666666666667
C17orf77	0.321
UIMC1	0.754666666666667
FXYD2	-1.6802
LOC283152	1.10225
ZNF667	-0.333
ZCCHC12	-0.9285
TFEC	2.3577
ATP7B	0.846333333333333
POLD2	-1.041
RG9MTD1	0.31475
ACOT2	-0.584
HIST1H4I	-0.815625
PPARGC1A	-2.578
ETFA	-1.4274
POLRMT	0.1435
ZNF146	0.465625
MIA2	-1.445
KLHL6	-1.17566666666667
HOXB5	2.339375
NENF	0.607666666666667
CUGBP1	0.3285
PRSS22	1.37816666666667
CASC4	1.7022
CUL4B	0.1974
CENPJ	-1.0112
PITX1	-1.2245
FLJ31033	1.59933333333333
CELSR3	-0.6555
ZNF568	0.925
ITSN1	-0.535
EHBP1L1	-1.10233333333333
C19orf2	-0.052
DCTN1	-0.32925
LIN28B	-2.69933333333333
TNKS2	-0.0645
C1QBP	-0.060875
CADPS2	-0.24525
SRMS	0.344
GJA9	-0.0501666666666667
MGC24975	-0.847166666666667
TRIM45	-0.866666666666667
TSP50	0.2065
TCP1	-1.41175
TMED7	1.3358
CMA1	2.0335
CENPL	-0.739333333333333
PTCRA	0.3305
FST	-5.02375
VWCE	-4.21
PAWR	-0.38625
ABCC12	2.97783333333333
LDLR	-1.9358
ASTN2	1.383
LOC441212	-0.43925
GPATCH8	0.34925
TANC2	-1.99683333333333
KIF4A	-2.50375
C18orf18	0.4055
PGM1	-1.66275
KIAA0258	0.4605
CPD	1.570625
SNCAIP	-2.59775
DCT	-4.1145
HLA-DOA	1.82859090909091
OR11L1	0.3925
UPK1B	-0.652833333333333
DNAJB4	-0.41225
UGT1A8	-1.245
HIST1H4L	-1.489
PECR	-0.763833333333333
HSPA2	1.6055
WFIKKN1	-0.809
SERP1	1.68825
SYDE2	0.83975
TACR2	0.3215
NUP85	-0.41075
CD177	-0.275
LGR5	-1.2046
PIGG	0.600083333333333
PTHR1	-2.335
RAB5A	0.7918
FLJ13224	0.216
USP9Y	-0.796333333333333
C7orf53	-0.4485
LRP1B	-0.20625
XAF1	2.886
ABCG8	0.4855
ANKDD1A	-0.769833333333333
DAND5	-1.813
SPAG6	5.23066666666667
LINCR	2.336
ZDHHC22	-0.864625
CCDC60	0.376
THOC7	-1.2175
TCTA	1.2071
OR8K3	0.13825
NY-REN-7	-0.301666666666667
B2M	1.63866666666667
C6orf141	1.576375
LPPR4	1.0915
SQLE	-2.071
SEPHS1	-0.7935
BTBD14B	0.348571428571429
PLRG1	-0.411
SPG7	0.019625
ZNF614	-0.177
PARD6G	-0.231333333333333
INPP5B	-0.6749
GRPEL2	0.77175
PPID	-0.3745
TRIM56	-0.12675
UBE2J1	-0.71525
IL20RA	-0.29
LOC387856	1.511
C1orf107	1.23908333333333
UTS2R	-0.1945
C19orf22	-0.475
SAFB2	-0.01575
KIAA0652	-0.538625
KLRG1	-0.978833333333333
MS4A8B	0.998833333333333
FRAG1	-0.147
KIAA1546	-0.32575
E2F4	-0.6816
CLEC4M	-0.0518333333333333
BTBD14A	-1.42175
KIAA0999	1.5729
GYPA	-3.34833333333333
TAC1	-0.2933
TRAIP	-1.58116666666667
KIAA0232	1.7009
ERCC8	-1.141625
GPX4	0.62075
KIAA0368	0.74975
GPR157	-1.15516666666667
CTAGE4	0.6505
C9orf30	-2.12466666666667
OR52A1	0.726
HSP90B3P	-0.5205
ALG9	-0.3514
BTBD10	0.209
SDK2	-0.40525
BAIAP3	-0.695
RABGGTB	0.012875
ANKRD40	0.657
KRT74	0.256
CALCOCO2	1.1575
SNCA	-3.1675
TMSL8	-5.9225
C2orf53	0.8045
ESRRB	-0.40825
ARHGAP26	-1.546375
TDRD9	-2.57725
HRAS	-0.4975
KLRC4	-0.8305
JAGN1	0.639166666666667
BSDC1	0.99925
RNF43	-0.0767
NDUFAF1	0.12525
PHF12	0.99075
OR1L3	-0.39825
FOLR2	0.947166666666667
LYZL6	-0.112833333333333
tcag7.1260	-2.697
WSB1	-0.955666666666667
PROS1	-1.6674
OSTN	0.265
PSMB8	1.3275
SOCS4	0.53625
DDIT4L	4.9835
MAS1	0.059
MGC34796	1.408
CSHL1	-0.0473333333333333
TBCCD1	-0.5195
ZBTB7C	0.1385
AP2S1	-0.8945
P15RS	0.6363
VAT1	-0.6822
SHANK3	0.224
TUFM	-0.0418333333333333
THEG	-0.1495
KRT34	-1.0775
SGSM3	0.33125
TOMM22	-0.483875
SOCS3	0.0966666666666667
CPO	1.6195
POP4	0.463
BHLHB3	1.344
MALL	-0.21
OR1B1	-0.1945
PARK2	0.711833333333333
GPR124	-0.685
LCE1E	0.096
RUVBL2	-0.735
CGRRF1	1.0773
ACPL2	0.7205
WNT10B	-1.64075
BAIAP2L2	-2.011375
ISCA1	0.524
C1orf125	0.2415
RPAP1	-0.053
RAI16	0.175
RPL27	-0.35975
NLRP9	-0.6005
EPN1	-0.206
LOC388610	-2.74375
SLC35A1	1.0307
GAL	-4.52275
SLC14A2	0.11675
RDH11	-0.941
FAM138F	-0.409
AUH	0.567
FLJ40243	0.288
C14orf129	0.126333333333333
MBD2	-0.5915
ABHD14B	0.57475
PIGT	1.638375
ALS2CR4	-0.360375
ALAS1	0.0357
FOXO1	0.7395
CRLF3	0.112625
C20orf107	-0.209
FARS2	1.227
CCDC28A	1.0155
NPHP3	-0.77075
OR13F1	0.3795
TSEN54	-0.035
DEFB106B	0.13
OR8B4	0.5475
STH	-1.0905
ZC3H14	-0.63275
CBX2	-0.0035
TMEM49	-0.616
C6orf21	0.2575
FLJ20920	1.242625
CRTAP	0.252714285714286
DDX50	0.33975
STYXL1	-2.53375
BLVRB	0.364333333333333
LOC147650	1.11116666666667
MMP24	0.55475
GRID1	0.625
BANF1	-1.39466666666667
CTAGEP	-0.11625
HMBS	-2.164
SLC25A24	1.07116666666667
C14orf50	0.3755
MRO	-0.373666666666667
SLC25A15	-0.69225
FAM84B	1.1722
TDP1	-0.8255
C16orf78	0.133
C11orf57	-0.101125
RFK	0.228125
ZFYVE9	0.8085
STCH	0.3198
WIBG	0.271
LOC283871	-0.135
GBA2	-0.5964
NDUFB3	0.108
HSD17B13	-0.42225
GRIN3A	0.914833333333333
FMNL1	-1.24033333333333
SEPT7	-0.4432
GNLY	2.9145
GRAMD1C	1.42833333333333
ZNF165	1.663
USP38	0.8275
FAM83A	-2.82483333333333
C14orf24	0.947416666666667
ARMCX3	0.668875
ARHGDIB	-0.819166666666667
AK1	0.47275
KIAA1045	-0.836
DNAJB13	-0.245666666666667
NEU2	-0.0875
HIST1H4B	-0.9555
FAM20B	0.1334
HES2	-0.142
FAM73B	-0.2318
LOC388381	0.56175
INTS7	-0.536181818181818
AMPH	-0.05675
ZNF775	-0.50525
UCKL1	0.142
C10orf97	0.07925
C1orf161	-0.49075
ALDH1L1	-1.08625
FLJ39378	0.456125
SLC23A1	-2.372
RBM4B	0.09875
THAP4	0.229166666666667
OGFRL1	0.0615
KIAA0831	0.00699999999999999
PPP1R15A	-1.00433333333333
C1orf96	0.505714285714286
C12orf11	-1.32525
BMF	0.3085
MAN1A1	-0.331125
KIAA1600	0.786333333333333
NLGN4X	-1.78775
ALOX12	-0.736
RB1CC1	0.0709
NEIL2	0.9165
EIF4E	0.133772727272727
ABHD5	-0.307
EXOC4	-0.644666666666667
CIP29	0.659
BATF2	1.39925
SLC29A4	-1.1875
HTR4	0.284
EMB	-0.64475
TRAF6	0.5465
LMNB1	-1.023
FAM19A5	-1.887
SHE	0.457
PIK3C2B	0.63275
C15orf15	-0.3945
USP15	0.5507
TCEAL2	0.5365
C5orf39	0.0206666666666667
PTGER2	-1.796
SLC31A1	-1.4556875
IFT172	0.901
ADAM29	-0.08025
GFOD1	1.522
ST7L	0.178
C15orf26	-2.111
PKN3	-1.9015
CNTD1	2.55016666666667
COMMD1	-0.542375
NTRK2	1.64041666666667
FOXN3	-1.28125
MFGE8	-2.2232
PFKFB2	0.223666666666667
TAS2R4	-0.678
ENTHD1	-0.544833333333333
PRMT5	-0.87725
MGC16384	-0.77
LOC442229	1.21525
TSKU	0.811
KRTCAP3	2.699625
PDLIM1	-1.6746
KCNS2	-0.25
RNF126	-0.330166666666667
CEP63	-0.099375
CLIC4	-1.473125
hCG_1990170	-0.692
ACR	0.4679
KLK7	0.18625
ALOX5AP	3.30175
RIPK3	1.95925
TAS2R9	0.428
C19orf18	2.3175
BIRC6	-0.121571428571429
ZNF16	0.975
RFT1	-0.48925
SLC8A2	-0.6135
TACC1	-1.312875
ITGAD	0.34
SAMHD1	0.71125
SH3PXD2B	-0.6215
EPC2	0.81275
C20orf85	1.788125
ATP13A2	0.933333333333333
KRT4	0.2395
CAPNS1	-0.367
MDM2	-0.359166666666667
PCDH20	5.23675
KCNK9	0.3325
OR2C1	0.022
KLHDC3	-0.275666666666667
IPPK	-0.401
EFHD2	-0.219125
GALR3	-0.13025
NBEA	2.17416666666667
ABCA6	0.99
CLDN3	0.405333333333333
AKT2	0.853857142857143
EGFR	-2.96
RBM16	0.30825
ZDHHC3	-0.1178
SLC25A4	0.985333333333333
CYB5B	0.303166666666667
CPXM1	-2.1805
NDRG1	-1.00538461538462
FLJ43826	-0.241
OR5L2	-0.0366666666666667
FARP2	0.4676
MRPL46	-0.3605
LDHAL6B	0.206333333333333
MAPKAPK3	-0.608333333333333
NCAM2	-0.94975
PRKD2	0.438333333333333
ZFP36L1	0.4729
CYSLTR1	-0.912
OR4C3	0.04625
HIST1H2AJ	1.8625
CCNB2	-2.57055555555556
ZNF10	0.839
TMEM175	-0.0825
FAM134A	1.19216666666667
TIGD4	0.77
PCNP	0.09625
MGC39715	0.30475
LQK1	-0.8615
CREB1	0.7325
TMPRSS3	-1.7745
C4orf32	1.8985
LAT	-1.50191666666667
KCNA3	0.1105
SKIV2L2	-0.28825
ROPN1B	-3.79575
tcag7.23	-0.556
CDT1	-2.334
ZHX2	0.557625
CD28	-3.39725
ZNF624	1.04975
SEPT2	-0.71225
SOHLH2	-1.191
MCOLN3	1.453
UNQ1945	0.2715
MASP2	-0.672
ZNRF3	-0.4374
GPATCH3	-0.26075
AGL	-0.093375
QRICH2	-2.3475
PSD4	0.811333333333333
CCNB1IP1	-1.649
ENPP7	-0.363
OBFC1	-0.1815
KCNG3	-0.584
C14orf79	0.991166666666667
ENPEP	0.775833333333333
SCT	-0.0895
SKI	-0.187
SEC61G	-1.033
CAPN11	0.31325
ATXN7L3	-0.11925
DBNDD1	-0.578166666666667
FAIM	0.45525
ANKRD36	-0.036
GABRP	-0.503833333333333
TACSTD2	0.6955
EIF3J	-0.59775
PPP2R2A	-0.79975
TEKT4	-0.6275
PVALB	-0.810333333333333
F10	-3.19766666666667
FAM134C	0.8467
COMP	3.445
EFCBP1	-3.387
SCLT1	0.42
TAL1	-1.3434
ACSL1	0.48725
ABCC5	1.67875
ABL1	-0.923333333333333
RBBP7	1.38983333333333
PTPRG	-1.123
NCOR1	1.4516
SPINK4	0.502
TXNRD1	-0.00450000000000002
TNRC15	0.70025
C9orf138	0.083625
UBE2H	0.441
BRDT	0.734333333333333
C8orf31	0.5485
CCNE2	-1.25018181818182
SLC6A8	-2.276125
CALCR	-3.56725
PPP1CB	0.314916666666667
ABHD8	-0.06475
ARF5	-0.5029
SLC24A4	0.19775
CCT3	-0.077
ZNF121	0.831875
SLC3A2	-1.0255
OR13A1	0.279
SLC5A10	2.2755
RAD50	0.49725
IER5	-0.081875
MTHFD1L	-2.3075
MBTPS2	1.2235
MVK	-0.393625
NCL	0.1165
PSMD10	0.728
MOBP	-0.048875
FLJ32894	0.2405
HRH1	-2.121
C5orf30	2.04075
NUDT16L1	0.6503
RASGRP3	2.69
PRKRIP1	-0.5227
CCDC75	-0.7025
LOC253970	-0.27075
KIAA1239	0.08
MED21	0.23775
SYT11	-0.205083333333333
NTSR2	0.0175
EGFL11	0.146
CXorf59	0.8705
OR2A25	-0.32175
SPTBN2	-2.10975
LRMP	-0.798
RNF111	-0.24925
PTH	0.1025
LOC619208	0.845833333333333
KIAA0895	1.00425
RANBP5	-0.69375
P2RY10	0.942
NME5	3.828
DDX21	-0.5625
LRSAM1	-0.175
HDAC11	1.42216666666667
VMO1	1.82425
NOLA2	0.471333333333333
ADAR	1.47483333333333
MTO1	-1.19416666666667
SF4	0.139833333333333
P2RX1	-0.0821666666666667
HBM	0.1085
EN2	0.437
C14orf172	-0.175
TM9SF2	0.968
INHBE	-1.12766666666667
TCTE3	-0.182416666666667
TOX2	-3.49925
CTAGE3	-0.16875
HBB	3.2304
MED15	-1.58866666666667
CASR	-0.11275
C6orf66	-0.755333333333334
MTPN	-1.20075
UNC50	0.556
C21orf33	0.344375
IRF2	1.297625
PGR	0.966
GPR84	2.3055
CROCCL1	-1.3375
SRPX	-3.482
BRE	-0.595
FGF10	3.51825
SDC3	-1.24366666666667
ZRSR1	0.911166666666667
DKFZP434P211	-0.179
SOX6	0.107
RPUSD2	0.63925
C14orf173	-1.15991666666667
MAPK11	-0.831166666666667
TBC1D22A	-0.1405
FAM123A	-0.01
COL4A6	-1.59733333333333
TOMM70A	0.2485
NAB1	-0.572625
MGC16385	0.102875
TSPAN18	-0.873833333333333
MED31	0.3995
PLG	-0.320666666666667
CAPSL	4.652
ZNF532	-0.3565
ASB14	0.404
CA8	-3.794
NUDT16P	1.05216666666667
SLFN11	-1.6095
LRRIQ2	0.953
NOL7	0.0815
BRMS1L	-0.298
JARID1A	0.6925
PANK2	-0.367
ICAM3	-0.19225
MDS1	-0.659
TAF8	-0.50475
RNF139	0.192
ZNF594	1.73083333333333
ADAM8	0.74975
SFTPC	-0.25175
MAN2B2	1.38675
RGS12	0.424625
EIF1AY	-3.968
LRRIQ1	3.002
GPR150	0.08225
CCDC21	-1.25333333333333
PRRG3	0.04925
SAA4	-3.95875
RAPGEF5	1.3265
ZCCHC2	0.641833333333333
MGC39372	-0.22
PPP4R2	0.484833333333333
CDCA2	-2.40216666666667
OR4D5	0.117666666666667
PTGFRN	-0.1128
SIGLEC5	1.7385
C19orf61	-0.497666666666667
NMUR2	-0.2515
KIAA1586	-0.180666666666667
DAGLA	-1.21716666666667
CHCHD6	0.24225
GPR32	-0.8545
NEUROD6	0.0336666666666667
SLC2A4RG	0.0463125
CA5B	-0.1085
FBXL3	1.478
MPHOSPH9	-1.27675
HMG2L1	0.13475
HCN4	0.170166666666667
CEACAM19	-0.654
SH2D4B	0.476333333333333
HFE2	-0.0215
TGM4	0.318
LYPD2	0.219
TBC1D15	0.047
MRPS21	0.6366
NONO	-0.1697
CLEC5A	1.7495
ITCH	0.1796
MGAT3	-1.1065
MBP	-0.121875
RPP25	-0.468
SOSTDC1	-2.40175
HRC	-1.24875
TRIM48	0.214
TMEM133	-0.32825
ECEL1P2	-0.6045
HOXC11	-1.5925
DOK5	-1.33375
HELZ	1.12366666666667
LOC348180	-0.58575
MGC33894	0.20425
ADRB3	0.3305
DMD	-0.4745
PTRH2	0.1175
MPEG1	2.86283333333333
NDUFA12	-0.00900000000000001
KRTAP2-4	-0.02025
STAMBPL1	-1.02866666666667
ADCY2	-1.40016666666667
UNQ6125	-0.4395
KLHL20	0.732666666666667
SRM	-1.76825
OTC	-0.2325
TMIE	-0.209333333333333
SNX8	-1.415
LIPK	0.957
CHURC1	-0.000833333333333353
KLC2	0.0878333333333333
HDAC1	-0.390833333333333
FAM128A	0.7775
FNDC3B	-1.188
MTCP1	-0.0321666666666667
WFDC10B	0.2452
PCDHGB3	0.153
ATRNL1	3.8494
CAV2	-1.343625
MED26	0.175
DUS1L	-0.109
CHRM3	-1.73825
NEK9	0.1765
WARS2	-0.2065
TBX22	0.089
TOMM40	-1.15375
RP6-213H19.1	1.14266666666667
TUBGCP5	-0.56775
IGSF6	4.41125
TPPP	2.22066666666667
UNQ6190	0.721
GSTM5	-0.676625
BTD	0.275333333333333
PDCD1LG2	0.252333333333333
SNRPB2	-0.1175
ERICH1	0.23675
APOA4	-1.05685714285714
HOXA11	-3.80466666666667
NARG1	0.27325
MKX	-0.482
RAB28	1.00192857142857
PKP3	0.828
SH3GL2	-0.6655
CTSO	3.7955
RPN2	0.4825625
IL28RA	0.569333333333333
SFMBT1	0.446
WDR57	-0.526625
FER1L3	1.45958333333333
HSF5	0.155666666666667
TTC9B	1.52025
C4BPA	-1.98316666666667
ALB	-1.61185714285714
SORBS3	0.419625
UPF2	0.512
JPH1	-0.254
AGBL2	-0.764
DOPEY1	1.43
TERF1	0.128583333333333
KIF22	-1.04116666666667
NINJ1	1.24275
SEC61A2	-0.154
HIST1H1D	-1.20233333333333
SFXN4	0.17225
UCP3	-0.073
ZNF703	0.502333333333333
MYL6B	-0.463
TREM1	0.969
OR52E6	0.4105
CKMT2	0.3035
HLA-C	2.357125
SLC13A3	-2.34933333333333
TIMP4	-1.75625
SLIT2	0.459
RSF1	-0.289222222222222
LONRF1	-0.136428571428571
MON1A	-0.426666666666667
CACNG6	-1.87583333333333
DPPA4	-4.9355
ZSWIM3	-0.00949999999999999
ZNF804A	0.1835
CCIN	0.826
SLC25A31	1.01275
KCNMB4	-2.777
RABL5	0.287125
GALNS	0.1027
STX6	0.559625
HIST1H1C	0.0151666666666667
CIDEB	-0.3915
CASP4	0.290166666666667
PDK3	-0.4244
KCNJ11	1.084
TPR	-0.092
ZSCAN20	-0.4135
MTX2	-0.4525
HIST1H2BH	0.44325
LOC283767	1.637
LYRM7	-0.386888888888889
BRD3	0.168333333333333
HIST1H2BO	-0.15925
MAGEB10	0.541
SLC45A1	1.366
SERPINA3	0.78175
KIAA0143	0.56375
KCNJ16	-0.1535
KRT79	-0.67925
FABP2	-0.396
NUT	-0.0945
ZNF57	0.5215
FBXL4	0.779
CLEC9A	0.7985
UGT8	-0.599666666666667
BMP2K	0.0185
MAPK4	-2.98575
SLC25A23	-0.3597
HINT1	0.3372
KRTAP13-1	0.6365
SFXN5	0.4845
CHCHD2	-0.0480833333333333
FAM3D	0.2195
NDP	-0.77725
RHOBTB1	-0.301166666666667
SLC4A4	-1.225875
RPL38	-0.3175
HTF9C	-0.736333333333333
AP2A2	-0.221
ZBTB46	0.2055
MAP7D1	-0.616625
AOX1	-1.51583333333333
CYR61	-0.775833333333333
DTNA	0.439285714285714
JRKL	-1.70275
TMOD3	-0.59525
EEA1	0.2781
ADCK5	-0.8705
IL1R1	-1.25766666666667
KLK3	-0.267928571428571
HRSP12	-0.38675
KTN1	0.62325
LOH11CR2A	-0.999
RELL2	-0.75325
MAB21L1	1.09175
C20orf59	-1.073
PHKB	0.558
ADAM2	-1.765
TBC1D8B	2.18633333333333
FAM13A1	0.1814375
LAPTM4B	-0.709166666666667
LCN8	0.0375
TMEM147	0.7485
SYT4	0.429
XPO7	-0.4845
C9orf62	0.55125
GPR75	0.8745
TRIM5	-0.460625
APOC1	-0.672166666666667
RNASE4	0.570333333333333
PARD6B	1.22675
ARID1A	-0.344
TPD52L3	0.5997
RRAGB	2.1405
RCN2	-0.333166666666667
HIST2H2BE	1.179375
STARD7	-1.057
SHMT2	-1.488
KIAA1751	0.213
MLYCD	1.3785
LOC162632	0.2373
UQCRH	-1.3335
RP11-217H1.1	0.3870625
SDHA	-1.12633333333333
NCLN	-0.5162
ZNF17	0.8535
RCBTB2	-0.79775
VEGFB	-0.3825
RP4-747L4.3	1.40175
COLQ	0.3946
MPN2	-0.514166666666667
DRG2	-0.23625
KLRB1	2.8895
ALPK2	-3.372
DNASE2B	5.24275
FLJ23834	0.735833333333333
AXUD1	0.8025
SAFB	-0.1186
NSUN4	-0.90575
RFX2	1.27466666666667
MAPK8IP1	-0.2745
FANCD2	-1.47221428571429
ANKZF1	-1.134
C19orf50	-0.556625
DUSP8	1.943625
SENP5	-0.77325
NFKBIL2	-0.96275
LBR	-0.813
IGFL1	0.7845
LZTS2	0.066125
IL2RG	-0.51175
CCDC51	0.11675
KLF3	0.648375
ANKRD37	-0.35525
KCTD14	-2.064
FZR1	0.353583333333333
SLC44A4	3.5959
ESPL1	-0.795375
GMPR2	-0.6812
TBC1D19	-0.269666666666667
ERGIC1	0.672851851851852
ERBB4	2.3264
TSPAN32	-0.0979166666666667
MAP4	-0.779
GPHN	-0.85425
SLC6A2	0.218125
HIVEP1	0.55125
DFFB	0.2093
EIF4EBP2	-0.159625
DMRT1	-0.287
HSPB6	0.000250000000000028
IER2	0.4565
AIFM1	0.36025
WWC2	-0.088
MRPL4	-0.39975
FLJ21062	0.887
EPB41L4A	0.286583333333333
SH2D6	-0.1455
TAF4B	-0.473
GAL3ST3	-0.2545
MALT1	-0.532
RTDR1	-0.1495
ARVCF	-0.547375
MEX3B	-1.74133333333333
FBXO16	2.067
KIF7	-1.42975
C1QC	3.6745
ZNF783	-1.14916666666667
ZNF85	0.5475
MMP13	-1.18
KIAA0329	0.688625
RTP3	-0.4995
ZBED3	-0.44875
CLGN	0.435
SLC25A37	-1.34083333333333
hCG_18290	-0.54325
OR5AS1	-0.0265
SMARCC2	0.2485
FAM109A	-0.5215
CCDC12	-0.1625
USF2	0.4904
DEPDC7	-3.0055
C20orf24	-0.146
JMJD3	0.992
DSP	1.16978571428571
SLIC1	0.1755
FAM20A	-1.043375
IRF2BP2	1.1075
ZNF230	1.232
MSN	-1.60421428571429
