Hybridization REF	TCGA-A8-A09I-01A-22R-A034-07
ITSN1	-0.605181818181818
EHBP1L1	-0.163166666666667
C19orf2	-0.3635
DCTN1	0.257
LIN28B	-3.70466666666667
TNKS2	-0.496
C1QBP	-1.0785
CADPS2	0.32225
SRMS	1.8585
GJA9	0.273666666666667
MGC24975	0.108
TRIM45	-1.27683333333333
TSP50	-0.29325
TCP1	-0.628
TMED7	0.2628
CMA1	0.252
CENPL	0.398166666666667
PTCRA	0.4995
FST	-4.107
VWCE	-4.2135
PAWR	0.44925
ABCC12	4.64883333333333
LDLR	-0.4965
ASTN2	0.2437
LOC441212	-1.065125
GPATCH8	-0.44075
TANC2	0.58725
KIF4A	-0.66425
C18orf18	-1.73625
PGM1	-1.05775
KIAA0258	0.9275
CPD	-0.29775
SNCAIP	-1.336
DCT	-4.27533333333333
HLA-DOA	3.43713636363636
OR11L1	0.4915
UPK1B	-0.8125
DNAJB4	-1.363375
UGT1A8	-0.37725
HIST1H4L	-0.7815
PECR	0.176333333333333
HSPA2	0.97075
WFIKKN1	-1.4925
SERP1	0.177375
SYDE2	0.68525
TACR2	0.5375
NUP85	-0.31275
CD177	-0.475333333333333
LGR5	-2.55116666666667
PIGG	-0.308416666666667
PTHR1	-1.647
RAB5A	0.5238
FLJ13224	-0.0815
USP9Y	-2.3536
C7orf53	-1.027
LRP1B	4.16
XAF1	3.5015
ABCG8	-0.712
ANKDD1A	-0.1865
DAND5	-1.162
SPAG6	6.3335
LINCR	1.427
ZDHHC22	-2.08925
CCDC60	-0.144
THOC7	-2.0645
TCTA	1.7165
OR8K3	0.5115
NY-REN-7	-0.965
B2M	2.218
C6orf141	-0.71325
LPPR4	0.6595
SQLE	-0.41425
SEPHS1	0.609
BTBD14B	0.840928571428571
PLRG1	-0.7805
SPG7	-0.074125
ZNF614	-0.253166666666667
PARD6G	0.564833333333333
INPP5B	-0.706
GRPEL2	0.351625
PPID	-0.4838
TRIM56	-0.56425
UBE2J1	-0.211375
IL20RA	5.27375
LOC387856	0.21675
C1orf107	0.619
UTS2R	0.64175
C19orf22	0.38525
SAFB2	-0.040125
KIAA0652	0.26625
KLRG1	-1.55216666666667
MS4A8B	-0.0458333333333334
FRAG1	-0.115
KIAA1546	0.47475
E2F4	-0.5295
CLEC4M	0.0671666666666667
BTBD14A	0.14625
KIAA0999	0.0319
GYPA	-4.22533333333333
TAC1	-0.2077
TRAIP	-1.04
KIAA0232	1.1529
ERCC8	-1.813375
GPX4	0.923
KIAA0368	-0.30225
GPR157	-0.370333333333333
CTAGE4	1.8165
C9orf30	-1.09466666666667
OR52A1	-0.0025
HSP90B3P	-0.2625
ALG9	-0.8181
BTBD10	0.358
SDK2	0.0825
BAIAP3	-0.41175
RABGGTB	-1.127625
ANKRD40	1.3835
KRT74	0.426
CALCOCO2	0.563357142857143
SNCA	-3.2805
TMSL8	-3.949125
C2orf53	0.7395
ESRRB	-0.55125
ARHGAP26	-0.37775
TDRD9	-2.28575
HRAS	0.7145
KLRC4	-2.514
JAGN1	0.184166666666667
BSDC1	-0.04225
RNF43	-0.3645
NDUFAF1	0.909
PHF12	0.252
OR1L3	0.4225
FOLR2	2.05016666666667
LYZL6	0.893333333333333
tcag7.1260	-2.1945
WSB1	-1.564
PROS1	-1.5832
OSTN	0.665
PSMB8	2.1085
SOCS4	0.012875
DDIT4L	0.15025
MAS1	0.2325
MGC34796	1.42125
CSHL1	0.494
TBCCD1	0.252166666666667
ZBTB7C	0.367
AP2S1	-0.21625
P15RS	0.7772
VAT1	-1.4807
SHANK3	1.04133333333333
TUFM	-0.154
THEG	0.3575
KRT34	-2.80375
SGSM3	0.48475
TOMM22	0.292375
SOCS3	0.607333333333333
CPO	1.477
POP4	0.24525
BHLHB3	-0.125
MALL	0.95125
OR1B1	0.8335
PARK2	0.168333333333333
GPR124	0.051875
LCE1E	0.0585
RUVBL2	-0.306
CGRRF1	0.2956
ACPL2	0.451
WNT10B	1.803375
BAIAP2L2	-2.077
ISCA1	-0.1775
C1orf125	0.41425
RPAP1	-0.4995
RAI16	-0.0241666666666667
RPL27	-1.322
NLRP9	-0.1955
EPN1	0.4525
LOC388610	-2.855
SLC35A1	0.9236
GAL	-3.32775
SLC14A2	0.52375
RDH11	-0.8775
FAM138F	0.496
AUH	-0.77125
FLJ40243	-0.39375
C14orf129	0.649833333333333
MBD2	0.347
ABHD14B	-0.272125
PIGT	0.765875
ALS2CR4	-0.2955
ALAS1	0.0013
FOXO1	-0.083
CRLF3	-0.398375
C20orf107	1.576
FARS2	0.6165
CCDC28A	-0.3885
NPHP3	-1.248
OR13F1	0.5755
TSEN54	-0.64475
DEFB106B	0.0178
OR8B4	0.3955
STH	-0.42175
ZC3H14	-0.366125
CBX2	-0.359
TMEM49	2.40775
C6orf21	0.5265
FLJ20920	1.5655
CRTAP	0.0529285714285714
DDX50	-0.54
STYXL1	0.39575
BLVRB	0.484666666666667
LOC147650	-0.0781666666666667
MMP24	0.48475
GRID1	1.12766666666667
BANF1	-0.0721666666666667
CTAGEP	0.897
HMBS	-1.19875
SLC25A24	0.626666666666667
C14orf50	0.18475
MRO	2.17633333333333
SLC25A15	-0.15475
FAM84B	2.3692
TDP1	0.057
C16orf78	-0.1446
C11orf57	-0.79375
RFK	-0.92625
ZFYVE9	-0.669875
STCH	-0.8334
WIBG	0.86125
LOC283871	1.16183333333333
GBA2	-0.5414
NDUFB3	-0.13275
HSD17B13	-0.7235
GRIN3A	2.4085
FMNL1	-0.380666666666667
SEPT7	-0.348
GNLY	5.2115
GRAMD1C	0.158
ZNF165	-0.53725
USP38	0.68425
FAM83A	-3.43483333333333
C14orf24	0.78975
ARMCX3	1.013625
ARHGDIB	2.505
AK1	0.573125
KIAA1045	-0.1335
DNAJB13	-0.199666666666667
NEU2	1.0225
HIST1H4B	-0.0218333333333333
FAM20B	0.4164
HES2	0.918642857142857
FAM73B	-0.4339
LOC388381	-0.4145
INTS7	0.532363636363636
AMPH	1.01825
ZNF775	-0.00437499999999999
UCKL1	-0.0553333333333333
C10orf97	-0.5595
C1orf161	-0.14725
ALDH1L1	-2.21
FLJ39378	0.158125
SLC23A1	-2.503
RBM4B	0.18875
THAP4	0.264666666666667
OGFRL1	0.4705
KIAA0831	-0.7165
PPP1R15A	-0.622166666666667
C1orf96	0.843357142857143
C12orf11	-1.75925
BMF	0.470125
MAN1A1	-0.921625
KIAA1600	0.408166666666667
NLGN4X	2.9055
ALOX12	-1.73433333333333
RB1CC1	-0.4484
NEIL2	0.072
EIF4E	0.378227272727273
ABHD5	-0.20325
EXOC4	-0.812833333333333
CIP29	0.950666666666667
BATF2	3.7775
SLC29A4	-0.232375
HTR4	0.48325
EMB	1.563
TRAF6	0.5685
LMNB1	-0.5635
FAM19A5	-0.99
SHE	0.8385
PIK3C2B	1.128
C15orf15	-0.1105
USP15	0.2973
TCEAL2	-0.369
C5orf39	-1.01916666666667
PTGER2	-1.81525
SLC31A1	-0.252625
IFT172	0.33575
ADAM29	0.742
GFOD1	0.993
ST7L	0.0528333333333333
C15orf26	-2.696
PKN3	-1.64475
CNTD1	2.22833333333333
COMMD1	0.491125
NTRK2	1.52733333333333
FOXN3	-0.726375
MFGE8	-0.643
PFKFB2	0.1455
TAS2R4	-0.2325
ENTHD1	-0.033
PRMT5	0.331
MGC16384	-0.6855
LOC442229	-0.1775
TSKU	-0.30325
KRTCAP3	2.91325
PDLIM1	0.7412
KCNS2	0.48425
RNF126	-0.236833333333333
CEP63	-0.139375
CLIC4	-1.463625
hCG_1990170	-1.4655
ACR	1.2999
KLK7	0.51975
ALOX5AP	3.314625
RIPK3	4.0195
TAS2R9	0.306
C19orf18	2.464
BIRC6	0.182357142857143
ZNF16	1.585
RFT1	-0.802
SLC8A2	-0.90425
TACC1	-0.368375
ITGAD	0.27675
SAMHD1	1.97975
SH3PXD2B	0.5443
EPC2	0.36175
C20orf85	0.1565
ATP13A2	-0.057
KRT4	0.572625
CAPNS1	0.2975
MDM2	-0.0418333333333333
PCDH20	4.482
KCNK9	0.681
OR2C1	-0.4105
KLHDC3	-0.761333333333333
IPPK	0.601
EFHD2	0.606125
GALR3	0.67825
NBEA	-0.8775
ABCA6	1.6515
CLDN3	1.824
AKT2	-0.6225
EGFR	-3.3683
RBM16	-0.205375
ZDHHC3	0.2141
SLC25A4	0.151666666666667
CYB5B	-0.106
CPXM1	-0.59725
NDRG1	-2.20253846153846
FLJ43826	3.15025
OR5L2	0.384
FARP2	1.151
MRPL46	-0.08725
LDHAL6B	0.127666666666667
MAPKAPK3	-0.0605
NCAM2	1.18675
PRKD2	0.480166666666667
ZFP36L1	0.4836
CYSLTR1	0.317
OR4C3	0.40925
HIST1H2AJ	2.4645
CCNB2	-0.644111111111111
ZNF10	-0.2325
TMEM175	0.497
FAM134A	0.600166666666667
TIGD4	-0.1715
PCNP	-0.4795
MGC39715	0.106
LQK1	0.1525
CREB1	0.9206
TMPRSS3	-2.064
C4orf32	3.15275
LAT	-1.73416666666667
KCNA3	-0.149
SKIV2L2	-0.86825
ROPN1B	-3.85975
tcag7.23	-0.9225
CDT1	-1.45575
ZHX2	0.872
CD28	-3.42675
ZNF624	0.69425
SEPT2	0.07975
SOHLH2	-2.345
MCOLN3	0.861375
UNQ1945	0.656
MASP2	-1.2985
ZNRF3	-0.7993
GPATCH3	-0.71225
AGL	0.005625
QRICH2	-0.389
PSD4	0.527666666666667
CCNB1IP1	-1.717
ENPP7	-0.03975
OBFC1	0.4905
KCNG3	-3.072
C14orf79	0.936333333333333
ENPEP	1.44516666666667
SCT	2.529
SKI	0.999375
SEC61G	-0.50025
CAPN11	0.18675
ATXN7L3	-0.1975
DBNDD1	0.521333333333333
FAIM	1.237
ANKRD36	0.059
GABRP	0.276833333333333
TACSTD2	1.3975
EIF3J	-0.17875
PPP2R2A	-0.7765
TEKT4	-0.827833333333333
PVALB	-0.4375
F10	-2.90833333333333
FAM134C	0.5653
COMP	4.642
EFCBP1	-3.310875
SCLT1	0.95375
TAL1	-1.5622
ACSL1	0.21025
ABCC5	0.55175
ABL1	-0.301111111111111
RBBP7	0.941083333333333
PTPRG	-1.38425
NCOR1	-1.2101
SPINK4	3.787
TXNRD1	-0.6091
TNRC15	0.615875
C9orf138	0.680375
UBE2H	0.812166666666667
BRDT	-0.0836666666666667
C8orf31	0.203
CCNE2	0.119090909090909
SLC6A8	-0.854375
CALCR	-4.91625
PPP1CB	0.09675
ABHD8	-0.35825
ARF5	-0.0249
SLC24A4	1.335
CCT3	0.7045
ZNF121	0.516
SLC3A2	-0.6787
OR13A1	0.6545
SLC5A10	0.854
RAD50	-0.082375
IER5	0.388375
MTHFD1L	-1.77975
MBTPS2	0.909
MVK	0.233
NCL	-0.2597
PSMD10	-0.27475
MOBP	0.51225
FLJ32894	0.0255
HRH1	-0.699333333333333
C5orf30	0.73425
NUDT16L1	1.346
RASGRP3	3.709
PRKRIP1	-1.0279
CCDC75	0.04475
LOC253970	0.771666666666667
KIAA1239	-0.031
MED21	-0.66075
SYT11	0.224833333333333
NTSR2	-0.8375
EGFL11	0.2825
CXorf59	0.375
OR2A25	-0.00975000000000001
SPTBN2	0.1045
LRMP	-1.628
RNF111	0.03475
PTH	0.5435
LOC619208	0.166833333333333
KIAA0895	0.596
RANBP5	-1.81225
P2RY10	3.41916666666667
NME5	1.73966666666667
DDX21	-1.0865
LRSAM1	0.1255
HDAC11	2.03
VMO1	2.85275
NOLA2	-0.355166666666667
ADAR	2.19241666666667
MTO1	-0.950833333333333
SF4	0.241666666666667
P2RX1	0.127166666666667
HBM	-0.1625
EN2	0.9445
C14orf172	0.68675
TM9SF2	-0.1041
INHBE	-1.61466666666667
TCTE3	-0.336833333333333
TOX2	-3.31875
CTAGE3	0.893625
HBB	3.3635
MED15	-0.922166666666667
CASR	0.3735
C6orf66	-0.733666666666667
MTPN	-0.755625
UNC50	0.1825
C21orf33	-0.62525
IRF2	0.762
PGR	-2.90433333333333
GPR84	3.5835
CROCCL1	-2.095
SRPX	-1.42775
BRE	0.161333333333333
FGF10	-0.11075
SDC3	-0.678333333333333
ZRSR1	0.486333333333333
DKFZP434P211	-0.155125
SOX6	-0.3985
RPUSD2	-0.183
C14orf173	0.543666666666667
MAPK11	-0.571666666666667
TBC1D22A	0.87
FAM123A	-0.91
COL4A6	-1.44183333333333
TOMM70A	-0.11375
NAB1	-1.129
MGC16385	0.346375
TSPAN18	-0.158833333333333
MED31	-0.826
PLG	-0.6165
CAPSL	2.7635
ZNF532	1.0515
ASB14	-0.10775
CA8	3.025
NUDT16P	-0.00316666666666666
SLFN11	-0.8255
LRRIQ2	0.818625
NOL7	-0.0368333333333333
BRMS1L	-0.822875
JARID1A	0.0471666666666667
PANK2	0.02375
ICAM3	0.27825
MDS1	0.47925
TAF8	-0.271
RNF139	1.0535
ZNF594	-0.660166666666667
ADAM8	4.214875
SFTPC	-0.3615
MAN2B2	1.211375
RGS12	0.6293125
EIF1AY	-5.45366666666667
LRRIQ1	-0.942333333333333
GPR150	0.8
CCDC21	-0.8855
PRRG3	0.02825
SAA4	-4.04775
RAPGEF5	1.075
ZCCHC2	1.73116666666667
MGC39372	1.682
PPP4R2	0.4465
CDCA2	-1.09483333333333
OR4D5	0.5755
PTGFRN	0.4988
SIGLEC5	2.646
C19orf61	-0.488833333333333
NMUR2	0.2865
KIAA1586	-1.19166666666667
DAGLA	-0.424333333333333
CHCHD6	0.28425
GPR32	0.924
NEUROD6	0.627
SLC2A4RG	0.81575
CA5B	-0.7065
FBXL3	0.19325
MPHOSPH9	-0.4205
HMG2L1	0.9255
HCN4	0.575166666666667
CEACAM19	0.5355
SH2D4B	0.0631666666666667
HFE2	-1.0965
TGM4	-0.1688
LYPD2	0.10475
TBC1D15	-0.24475
MRPS21	-0.6061
NONO	-0.3802
CLEC5A	2.787875
ITCH	0.2264
MGAT3	-2.08716666666667
MBP	-1.38875
RPP25	-2.516
SOSTDC1	-2.76975
HRC	-2.31825
TRIM48	0.444
TMEM133	-1.54725
ECEL1P2	-0.98775
HOXC11	1.8755
DOK5	-1.04575
HELZ	0.8635
LOC348180	-0.47075
MGC33894	0.0405
ADRB3	0.3835
DMD	-0.761166666666667
PTRH2	2.64725
MPEG1	3.5985
NDUFA12	0.6115
KRTAP2-4	-0.013
STAMBPL1	-1.3675
ADCY2	-0.966
UNQ6125	0.2025
KLHL20	0.5015
SRM	-1.2265
OTC	0.09925
TMIE	-0.4915
SNX8	0.889
LIPK	0.451
CHURC1	-0.218333333333333
KLC2	0.6715
HDAC1	-0.6675
FAM128A	0.927833333333333
FNDC3B	-0.2189
MTCP1	-0.686666666666667
WFDC10B	0.5059
PCDHGB3	0.305
ATRNL1	-1.4205
CAV2	-1.386375
MED26	-0.0583333333333333
DUS1L	0.4215
CHRM3	-1.98275
NEK9	0.03375
WARS2	-0.83525
TBX22	-0.21
TOMM40	-0.7145
RP6-213H19.1	-1.2885
TUBGCP5	0.16825
IGSF6	5.37575
TPPP	0.9075
UNQ6190	-0.4005
GSTM5	-0.19375
BTD	0.4055
PDCD1LG2	1.3025
SNRPB2	-0.0308333333333333
ERICH1	-0.066875
APOA4	-1.79875
HOXA11	-2.10725
NARG1	0.084375
MKX	-1.416
RAB28	-0.426357142857143
PKP3	1.73625
SH3GL2	-3.432
CTSO	2.858
RPN2	1.2675625
IL28RA	0.306166666666667
SFMBT1	-0.05325
WDR57	-0.712625
FER1L3	0.435083333333333
HSF5	0.283166666666667
TTC9B	1.14425
C4BPA	-4.65383333333333
ALB	-4.9055
SORBS3	-0.0455
UPF2	0.5825
JPH1	0.6115
AGBL2	0.35575
DOPEY1	1.21
TERF1	-0.277416666666667
KIF22	0.1305
NINJ1	1.194
SEC61A2	0.686083333333333
HIST1H1D	-0.186833333333333
SFXN4	0.207375
UCP3	0.162
ZNF703	1.51416666666667
MYL6B	-0.61475
TREM1	3.21775
OR52E6	0.3475
CKMT2	0.27025
HLA-C	3.1695
SLC13A3	0.605333333333333
TIMP4	-2.14875
SLIT2	0.4195
RSF1	0.254444444444444
LONRF1	-1.14707142857143
MON1A	-0.321833333333333
CACNG6	-1.77583333333333
DPPA4	-5.39266666666667
ZSWIM3	0.60425
ZNF804A	0.394
CCIN	1.669
SLC25A31	-0.13125
KCNMB4	-0.731
RABL5	0.021875
GALNS	0.726
STX6	1.250125
HIST1H1C	-1.10233333333333
CIDEB	-1.133875
CASP4	-0.0358333333333333
PDK3	0.0397
KCNJ11	1.569
TPR	0.037375
ZSCAN20	-1.0765
MTX2	-0.3225
HIST1H2BH	-0.26575
LOC283767	-0.20875
LYRM7	-1.86133333333333
BRD3	0.540833333333333
HIST1H2BO	-0.72475
MAGEB10	0.346
SLC45A1	0.99375
SERPINA3	2.17565
KIAA0143	1.39675
KCNJ16	-0.424666666666667
KRT79	0.5945
FABP2	-0.9535
NUT	0.115
ZNF57	-0.1625
FBXL4	-0.158
CLEC9A	0.088
UGT8	-2.2195
BMP2K	0.28175
MAPK4	-4.3375
SLC25A23	-0.8425
HINT1	-0.0994
KRTAP13-1	0.0445
SFXN5	0.3967
CHCHD2	0.539833333333333
FAM3D	0.8905
NDP	-3.4365
RHOBTB1	0.498333333333333
SLC4A4	-2.181375
RPL38	-0.16725
HTF9C	0.00600000000000001
AP2A2	0.029125
ZBTB46	0.1645
MAP7D1	0.16075
AOX1	-0.8515
CYR61	0.1295
DTNA	1.29921428571429
JRKL	-1.5465
TMOD3	0.2985
EEA1	0.4184
ADCK5	0.3705
IL1R1	1.0405
KLK3	0.390928571428571
HRSP12	0.443
KTN1	-0.652
LOH11CR2A	-0.6398
RELL2	-0.4895
MAB21L1	1.0855
C20orf59	-1.15116666666667
PHKB	-0.013
ADAM2	-2.4725
TBC1D8B	1.17316666666667
FAM13A1	-1.2550625
LAPTM4B	0.134666666666667
LCN8	0.5015
TMEM147	0.666
SYT4	0.732166666666667
XPO7	-1.0875
C9orf62	0.9755
GPR75	0.241
TRIM5	0.274875
APOC1	0.371
RNASE4	-0.106333333333333
PARD6B	-1.40025
ARID1A	-0.254833333333333
TPD52L3	0.1651
RRAGB	0.317333333333333
RCN2	-0.188666666666667
HIST2H2BE	-0.4728125
STARD7	-0.3805
SHMT2	-0.82
KIAA1751	0.00649999999999999
MLYCD	0.273625
LOC162632	3.0852
UQCRH	-1.68825
RP11-217H1.1	0.8820625
SDHA	-0.6215
NCLN	-0.089
ZNF17	0.0878333333333333
RCBTB2	-1.73825
VEGFB	-0.748
RP4-747L4.3	0.246
COLQ	1.0543
MPN2	-1.0605
DRG2	-0.51425
KLRB1	3.8195
ALPK2	-1.192
DNASE2B	2.80225
FLJ23834	-1.5715
AXUD1	0.940666666666667
SAFB	0.0607
NSUN4	-0.33725
RFX2	-0.315833333333333
MAPK8IP1	-1.19416666666667
FANCD2	-0.680857142857143
ANKZF1	-1.50433333333333
C19orf50	-0.519875
DUSP8	0.826625
SENP5	0.191125
NFKBIL2	0.206
LBR	-1.525625
IGFL1	0.2765
LZTS2	0.881375
IL2RG	-0.27675
CCDC51	-0.19675
KLF3	0.5075
ANKRD37	-1.9935
KCTD14	-1.54516666666667
FZR1	0.16475
SLC44A4	4.2299
ESPL1	-0.129875
GMPR2	-0.7395
TBC1D19	-0.598166666666667
ERGIC1	0.952444444444444
ERBB4	-0.1784
TSPAN32	0.569166666666667
MAP4	-0.229875
GPHN	-1.28
SLC6A2	-0.303
HIVEP1	0.73875
DFFB	-0.4248
EIF4EBP2	0.42125
DMRT1	-0.14075
HSPB6	-0.473
IER2	0.776
AIFM1	0.1585
WWC2	0.0793333333333333
MRPL4	-0.37275
FLJ21062	-0.862166666666667
EPB41L4A	1.71683333333333
SH2D6	0.37725
TAF4B	-1.65275
GAL3ST3	-0.3535
MALT1	-1.0085
RTDR1	0.35975
ARVCF	0.2935
MEX3B	0.291166666666667
FBXO16	0.97875
KIF7	-1.4585
C1QC	4.14883333333333
ZNF783	-1.22466666666667
ZNF85	-0.34825
MMP13	5.039
KIAA0329	0.120875
RTP3	-1.168
ZBED3	-0.82675
CLGN	-2.84725
SLC25A37	-1.62795833333333
hCG_18290	-0.13975
OR5AS1	0.3525
SMARCC2	0.3675
FAM109A	0.248333333333333
CCDC12	-0.738
USF2	0.6972
DEPDC7	-2.419
C20orf24	0.386166666666667
JMJD3	0.409
DSP	1.17842857142857
SLIC1	0.9465
FAM20A	1.8425
IRF2BP2	1.098875
ZNF230	-0.002
MSN	-1.051
SLC9A5	-1.1695
EPDR1	-1.1563
MUSK	0.175833333333333
ZNF434	-0.456
