Hybridization REF	TCGA-E2-A14X-01A-11R-A115-07
LAGE3	0.2405
CHST6	-1.5945
UNC13B	0.785125
TTLL4	0.476125
ZNF687	0.489125
SDC2	-0.8419
COX7A2	0.467
LAMB4	-0.025
FAM24A	0.464
LRRTM3	-1.12066666666667
GPHB5	0.02875
OR4C13	0.221
EIF3EIP	0.1965
HABP4	-0.0395
TMEM125	3.9045
CNTN2	-0.22025
ASNSD1	-0.77675
FUT4	0.31075
ACF	-3.50575
LOC158381	-0.3705
CDH8	-0.13375
AGPS	-2.51033333333333
C4orf18	0.981375
PECI	-2.55341666666667
UNG	0.332125
GSTP1	0.566875
DCUN1D5	-0.590666666666667
DKFZP564J0863	0.24625
SLC9A3R1	-0.106875
BCDO2	-0.657375
CHMP7	-0.3855
REM2	0.62
DNHD1	-0.565625
FKBP4	-1.047
ZNF350	1.35625
MGC11102	-0.2285
BST1	1.09675
KISS1R	0.226
NCR2	-0.1605
DEFB125	-0.2205
UBE2W	1.55
KRT15	4.136875
C10orf99	0.2425
SCN11A	0.44525
GFI1	-0.8315
RDHE2	1.71416666666667
FHL1	-0.84
OSGEP	0.174666666666667
GATA1	-3.78133333333333
SMC6	-0.41125
TTTY14	-1.06475
LPIN3	0.269
RPL4	0.2662
RBPMS	-0.2751
PRPF3	1.0665
EMR1	-2.2245
SPATA19	-0.0815
XCR1	-0.046
IRX3	2.3869
RBM6	-0.369
KLF4	-0.7551
UNC5CL	1.35225
SEBOX	0.242
BTK	0.09775
KRCC1	0.9225
C6orf27	0.5905
SYTL5	-0.975
PRND	3.8915
LOC653319	-0.858
PIGL	-1.495375
HUS1	-0.377
SFRS6	-0.267666666666667
C17orf77	0.142
UIMC1	-0.575666666666667
FXYD2	-1.9627
LOC283152	0.349
ZNF667	-1.464
ZCCHC12	-0.73425
TFEC	3.5552
ATP7B	-1.81683333333333
POLD2	-1.03766666666667
RG9MTD1	0.169
ACOT2	-0.442166666666667
HIST1H4I	-0.979
PPARGC1A	-0.1377
ETFA	-1.5462
POLRMT	-0.33
ZNF146	0.587625
MIA2	-1.5625
KLHL6	0.7975
HOXB5	-1.822125
NENF	0.102833333333333
CUGBP1	-0.78575
PRSS22	1.48683333333333
CASC4	1.195
CUL4B	0.6796
CENPJ	-1.1252
PITX1	1.50916666666667
FLJ31033	0.0986666666666667
CELSR3	-0.5485
ZNF568	1.16025
ITSN1	-0.0361666666666667
EHBP1L1	-0.317166666666667
C19orf2	0.18475
DCTN1	0.19175
LIN28B	-3.67066666666667
TNKS2	0.125
C1QBP	-1.030375
CADPS2	-0.83625
SRMS	0.3755
GJA9	0.444
MGC24975	0.2775
TRIM45	-0.934333333333333
TSP50	0.2145
TCP1	0.471
TMED7	-0.2232
CMA1	0.8785
CENPL	0.139833333333333
PTCRA	-0.259
FST	-4.19075
VWCE	-2.20925
PAWR	-0.23725
ABCC12	0.4695
LDLR	-1.9561
ASTN2	-1.1383
LOC441212	-0.887625
GPATCH8	0.12125
TANC2	-1.9055
KIF4A	-1.07825
C18orf18	-2.778
PGM1	-1.3995
KIAA0258	1.13075
CPD	-0.90525
SNCAIP	-1.1165
DCT	-4.5505
HLA-DOA	2.99663636363636
OR11L1	0.7775
UPK1B	-0.192833333333333
DNAJB4	0.9465
UGT1A8	-0.37475
HIST1H4L	-0.7985
PECR	-2.76466666666667
HSPA2	2.13675
WFIKKN1	-2.6025
SERP1	0.455875
SYDE2	-0.644
TACR2	0.723
NUP85	-1.131
CD177	-0.329
LGR5	-2.32983333333333
PIGG	-0.354166666666667
PTHR1	-2.125
RAB5A	0.5579
FLJ13224	0.3145
USP9Y	-1.99783333333333
C7orf53	-0.194
LRP1B	-1.6305
XAF1	1.5761
ABCG8	-0.221
ANKDD1A	0.647666666666667
DAND5	-1.705
SPAG6	0.141833333333333
LINCR	2.55325
ZDHHC22	-1.519
CCDC60	-0.118
THOC7	-0.568666666666667
TCTA	1.6626
OR8K3	0.369
NY-REN-7	-0.03975
B2M	1.36033333333333
C6orf141	-0.47
LPPR4	2.11325
SQLE	0.502875
SEPHS1	-0.07975
BTBD14B	0.214928571428571
PLRG1	0.53325
SPG7	-0.0955
ZNF614	0.0566666666666667
PARD6G	0.3095
INPP5B	-0.5544
GRPEL2	-0.2345
PPID	-0.9613
TRIM56	-0.13175
UBE2J1	1.399375
IL20RA	2.85875
LOC387856	0.056
C1orf107	1.44233333333333
UTS2R	0.34525
C19orf22	1.464
SAFB2	-0.622875
KIAA0652	0.08925
KLRG1	0.1005
MS4A8B	0.134666666666667
FRAG1	0.62825
KIAA1546	0.18975
E2F4	-0.6536
CLEC4M	0.217833333333333
BTBD14A	-1.6355
KIAA0999	0.63
GYPA	-3.849
TAC1	0.5678
TRAIP	-2.129
KIAA0232	-0.0424
ERCC8	-1.408875
GPX4	0.0155
KIAA0368	-0.062875
GPR157	-0.233833333333333
CTAGE4	0.521
C9orf30	-1.55933333333333
OR52A1	0.305
HSP90B3P	0.2875
ALG9	-0.3983
BTBD10	0.01775
SDK2	1.18075
BAIAP3	0.09475
RABGGTB	-0.570875
ANKRD40	-0.558666666666667
KRT74	0.575
CALCOCO2	-0.164214285714286
SNCA	-3.75425
TMSL8	-2.48425
C2orf53	-0.2945
ESRRB	-0.3075
ARHGAP26	-1.61725
TDRD9	-3.3175
HRAS	-0.3885
KLRC4	-1.5935
JAGN1	-0.834
BSDC1	0.06225
RNF43	-0.4887
NDUFAF1	0.72725
PHF12	0.37475
OR1L3	0.09175
FOLR2	1.95475
LYZL6	0.257666666666667
tcag7.1260	-1.7675
WSB1	-1.3915
PROS1	-0.5469
OSTN	0.544
PSMB8	1.02925
SOCS4	-0.099125
DDIT4L	3.42375
MAS1	-0.1805
MGC34796	-0.0945
CSHL1	0.599166666666667
TBCCD1	0.474666666666667
ZBTB7C	0.349
AP2S1	-0.598375
P15RS	0.2654
VAT1	-0.7736
SHANK3	1.63083333333333
TUFM	-0.155333333333333
THEG	-0.54375
KRT34	-2.194
SGSM3	0.86275
TOMM22	0.21275
SOCS3	1.23433333333333
CPO	0.6425
POP4	0.237
BHLHB3	1.255
MALL	3.354
OR1B1	0.457
PARK2	1.66883333333333
GPR124	0.33625
LCE1E	0.206
RUVBL2	-0.085
CGRRF1	-0.1144
ACPL2	-0.6065
WNT10B	-1.412375
BAIAP2L2	1.898375
ISCA1	-0.416
C1orf125	0.67225
RPAP1	-1.21875
RAI16	-1.4665
RPL27	-0.892875
NLRP9	-0.2295
EPN1	0.2765
LOC388610	-1.7405
SLC35A1	1.5781
GAL	-2.63875
SLC14A2	0.26
RDH11	-0.853
FAM138F	-0.1305
AUH	-0.52375
FLJ40243	0.12675
C14orf129	0.3205
MBD2	0.312833333333334
ABHD14B	-0.017625
PIGT	0.54675
ALS2CR4	0.12775
ALAS1	0.8075
FOXO1	0.902333333333333
CRLF3	-0.147125
C20orf107	0.606
FARS2	0.75675
CCDC28A	0.94425
NPHP3	-0.9105
OR13F1	0.5285
TSEN54	-1.11175
DEFB106B	-0.2649
OR8B4	0.676
STH	-0.95325
ZC3H14	-0.315125
CBX2	0.124
TMEM49	-1.7575
C6orf21	0.535
FLJ20920	-1.662125
CRTAP	-0.482357142857143
DDX50	-0.16475
STYXL1	-0.701
BLVRB	-1.35133333333333
LOC147650	0.4805
MMP24	0.13575
GRID1	2.3855
BANF1	0.0971666666666667
CTAGEP	0.262
HMBS	-1.7745
SLC25A24	-0.542833333333333
C14orf50	1.50275
MRO	0.751333333333333
SLC25A15	0.04275
FAM84B	1.7703
TDP1	0.0445
C16orf78	0.2785
C11orf57	0.8565
RFK	-1.057375
ZFYVE9	0.218125
STCH	0.3447
WIBG	0.506
LOC283871	-0.553166666666667
GBA2	-0.0966
NDUFB3	-0.863
HSD17B13	-0.72775
GRIN3A	1.62483333333333
FMNL1	-0.0816666666666667
SEPT7	-0.5905
GNLY	3.547
GRAMD1C	1.06666666666667
ZNF165	0.43325
USP38	0.4605
FAM83A	-3.7855
C14orf24	0.72925
ARMCX3	0.363625
ARHGDIB	0.290166666666667
AK1	0.076375
KIAA1045	3.6275
DNAJB13	0.0838333333333333
NEU2	1.0245
HIST1H4B	-0.221833333333333
FAM20B	-0.2323
HES2	-0.064
FAM73B	-0.3936
LOC388381	-0.24275
INTS7	0.159727272727273
AMPH	0.02475
ZNF775	-0.608375
UCKL1	-0.4845
C10orf97	-0.8
C1orf161	-0.116
ALDH1L1	-1.08725
FLJ39378	-0.116125
SLC23A1	-1.9445
RBM4B	0.302
THAP4	-0.308166666666667
OGFRL1	2.06025
KIAA0831	0.238375
PPP1R15A	0.7365
C1orf96	0.241785714285714
C12orf11	-1.135
BMF	0.78025
MAN1A1	0.308125
KIAA1600	0.992
NLGN4X	-1.78225
ALOX12	-0.912666666666667
RB1CC1	1.9148
NEIL2	-0.9658
EIF4E	-0.116090909090909
ABHD5	0.07325
EXOC4	-0.1595
CIP29	0.0355
BATF2	1.42875
SLC29A4	-0.88275
HTR4	0.42225
EMB	-0.525
TRAF6	0.40325
LMNB1	-2.66075
FAM19A5	-0.013125
SHE	2.03775
PIK3C2B	1.8625
C15orf15	-0.5697
USP15	0.1531
TCEAL2	0.1885
C5orf39	1.3045
PTGER2	-1.0475
SLC31A1	-0.8816875
IFT172	0.1945
ADAM29	0.23725
GFOD1	0.40525
ST7L	1.0015
C15orf26	-3.139
PKN3	-1.238
CNTD1	1.1905
COMMD1	0.062125
NTRK2	1.581
FOXN3	0.67025
MFGE8	3.7076
PFKFB2	1.65266666666667
TAS2R4	0.0535
ENTHD1	1.36233333333333
PRMT5	-0.374375
MGC16384	-1.1645
LOC442229	0.77175
TSKU	0.21025
KRTCAP3	2.553
PDLIM1	-0.4344
KCNS2	0.26475
RNF126	0.0321666666666667
CEP63	-0.26925
CLIC4	1.817125
hCG_1990170	0.34975
ACR	2.339
KLK7	4.8
ALOX5AP	2.632125
RIPK3	2.76775
TAS2R9	0.2165
C19orf18	1.3575
BIRC6	0.108357142857143
ZNF16	2.1965
RFT1	-0.61225
SLC8A2	-0.232
TACC1	0.4365
ITGAD	1.3945
SAMHD1	0.60475
SH3PXD2B	1.6139
EPC2	1.1245
C20orf85	0.509875
ATP13A2	0.9715
KRT4	4.15975
CAPNS1	0.69925
MDM2	-0.62475
PCDH20	2.35025
KCNK9	0.6705
OR2C1	-0.2525
KLHDC3	0.9925
IPPK	0.1935
EFHD2	-0.35875
GALR3	0.239
NBEA	-1.8455
ABCA6	3.2052
CLDN3	2.34166666666667
AKT2	-0.220571428571429
EGFR	-0.1714
RBM16	0.968125
ZDHHC3	-0.6525
SLC25A4	-0.239833333333333
CYB5B	-0.742333333333333
CPXM1	-0.02675
NDRG1	1.21846153846154
FLJ43826	0.1965
OR5L2	0.431333333333333
FARP2	-0.4501
MRPL46	-0.983916666666667
LDHAL6B	0.208333333333333
MAPKAPK3	-0.041
NCAM2	-3.313
PRKD2	0.739333333333333
ZFP36L1	1.2981
CYSLTR1	-0.0015
OR4C3	0.3495
HIST1H2AJ	0.14
CCNB2	-1.56033333333333
ZNF10	0.411625
TMEM175	0.576
FAM134A	0.601166666666667
TIGD4	0.6345
PCNP	0.05675
MGC39715	0.68025
LQK1	-2.56425
CREB1	0.4707
TMPRSS3	3.34275
C4orf32	-0.71575
LAT	-0.558
KCNA3	1.1695
SKIV2L2	-0.746
ROPN1B	5.39975
tcag7.23	0.416
CDT1	-1.806625
ZHX2	1.56325
CD28	-1.455
ZNF624	0.5065
SEPT2	-0.129416666666667
SOHLH2	-2.6515
MCOLN3	-1.197625
UNQ1945	0.4175
MASP2	-1.384
ZNRF3	-0.069
GPATCH3	0.20425
AGL	1.359125
QRICH2	0.1125
PSD4	0.437
CCNB1IP1	-1.4925
ENPP7	0.05725
OBFC1	0.25375
KCNG3	-2.40475
C14orf79	0.536666666666667
ENPEP	1.71883333333333
SCT	0.695
SKI	0.782625
SEC61G	-0.7365
CAPN11	0.647
ATXN7L3	0.18025
DBNDD1	0.315166666666667
FAIM	0.85875
ANKRD36	0.1095
GABRP	5.436
TACSTD2	3.424
EIF3J	0.14525
PPP2R2A	-0.76725
TEKT4	-1.18233333333333
PVALB	-3.64566666666667
F10	-2.16716666666667
FAM134C	0.5066
COMP	3.86125
EFCBP1	-3.1775
SCLT1	0.51725
TAL1	-1.2651
ACSL1	2.9685
ABCC5	-0.490833333333333
ABL1	-0.852277777777778
RBBP7	0.318583333333333
PTPRG	-1.469375
NCOR1	-0.2977
SPINK4	-2.35933333333333
TXNRD1	-0.0958
TNRC15	-0.084
C9orf138	0.410875
UBE2H	0.318833333333333
BRDT	0.0891666666666667
C8orf31	-0.31975
CCNE2	1.29054545454545
SLC6A8	-1.421375
CALCR	-4.5965
PPP1CB	1.26891666666667
ABHD8	-0.67025
ARF5	0.0159
SLC24A4	0.5295
CCT3	0.09475
ZNF121	0.79825
SLC3A2	-0.1432
OR13A1	0.663
SLC5A10	-0.67725
RAD50	-0.479625
IER5	-0.10125
MTHFD1L	-0.328875
MBTPS2	-0.45275
MVK	0.127125
NCL	-0.4367
PSMD10	0.142
MOBP	-0.101125
FLJ32894	0.2385
HRH1	-0.763333333333333
C5orf30	-1.13575
NUDT16L1	0.4985
RASGRP3	3.9265
PRKRIP1	-0.6355
CCDC75	-0.29125
LOC253970	0.304
KIAA1239	0.328
MED21	-1.35325
SYT11	0.05425
NTSR2	0.174
EGFL11	0.0645
CXorf59	0.5965
OR2A25	0.181
SPTBN2	1.00575
LRMP	0.250833333333333
RNF111	0.1115
PTH	0.0975
LOC619208	0.4465
KIAA0895	1.72175
RANBP5	-0.288375
P2RY10	2.64833333333333
NME5	1.44633333333333
DDX21	-0.20875
LRSAM1	-0.227
HDAC11	1.52883333333333
VMO1	1.371
NOLA2	-0.134
ADAR	0.57775
MTO1	0.2665
SF4	0.470666666666667
P2RX1	0.641
HBM	0.08
EN2	0.5665
C14orf172	0.58725
TM9SF2	1.5286
INHBE	-0.858833333333333
TCTE3	1.02258333333333
TOX2	-1.90175
CTAGE3	0.481
HBB	3.9214
MED15	-0.0453333333333333
CASR	0.098
C6orf66	0.577166666666667
MTPN	-0.399375
UNC50	-0.15225
C21orf33	0.406625
IRF2	1.266625
PGR	-2.75916666666667
GPR84	2.01175
CROCCL1	-0.06575
SRPX	-2.08775
BRE	0.2765
FGF10	0.53375
SDC3	0.337166666666667
ZRSR1	1.04483333333333
DKFZP434P211	-0.51675
SOX6	0.9055
RPUSD2	-0.113
C14orf173	-0.214166666666667
MAPK11	-0.0546666666666667
TBC1D22A	1.066
FAM123A	5.231
COL4A6	-3.523
TOMM70A	0.2055
NAB1	-0.0345
MGC16385	0.33775
TSPAN18	-0.2625
MED31	-1.109
PLG	-0.29525
CAPSL	1.1525
ZNF532	0.9855
ASB14	0.288
CA8	2.75775
NUDT16P	-0.2335
SLFN11	-0.7695
LRRIQ2	-0.311875
NOL7	0.0273333333333333
BRMS1L	-0.15925
JARID1A	-0.239333333333333
PANK2	-0.88225
ICAM3	-0.156
MDS1	-0.52225
TAF8	-0.09875
RNF139	1.8855
ZNF594	-0.507
ADAM8	1.06475
SFTPC	-0.319
MAN2B2	0.790625
RGS12	0.248125
EIF1AY	-4.85733333333333
LRRIQ1	-2.15883333333333
GPR150	0.33275
CCDC21	-0.317666666666667
PRRG3	0.48175
SAA4	-3.066
RAPGEF5	2.3625
ZCCHC2	0.171666666666667
MGC39372	-0.021
PPP4R2	0.1195
CDCA2	-1.85433333333333
OR4D5	0.4955
PTGFRN	0.9495
SIGLEC5	1.663
C19orf61	0.513
NMUR2	0.5105
KIAA1586	-0.686833333333333
DAGLA	-0.0801666666666666
CHCHD6	-0.8295
GPR32	0.2285
NEUROD6	0.368666666666667
SLC2A4RG	-0.0388749999999999
CA5B	1.51775
FBXL3	1.683
MPHOSPH9	-1.544
HMG2L1	0.63325
HCN4	0.222
CEACAM19	0.95025
SH2D4B	1.20816666666667
HFE2	-0.477
TGM4	0.556333333333333
LYPD2	0.22775
TBC1D15	0.086
MRPS21	-0.8077
NONO	-0.2914
CLEC5A	1.09325
ITCH	0.1881
MGAT3	-0.0973333333333333
MBP	2.106375
RPP25	0.843
SOSTDC1	2.608
HRC	-1.9785
TRIM48	0.3235
TMEM133	0.12275
ECEL1P2	-1.70275
HOXC11	0.5645
DOK5	0.92225
HELZ	-0.276
LOC348180	-0.526
MGC33894	0.287
ADRB3	0.2455
DMD	0.000333333333333315
PTRH2	-0.89275
MPEG1	3.23066666666667
NDUFA12	-0.635333333333333
KRTAP2-4	-0.03925
STAMBPL1	-1.12133333333333
ADCY2	1.04433333333333
UNQ6125	0.348
KLHL20	0.208166666666667
SRM	-0.40575
OTC	0.04675
TMIE	0.2785
SNX8	-0.0665
LIPK	-0.0165
CHURC1	0.33225
KLC2	0.215166666666667
HDAC1	-0.280666666666667
FAM128A	-1.41633333333333
FNDC3B	-0.2494
MTCP1	-0.480833333333333
WFDC10B	0.3239
PCDHGB3	0.2685
ATRNL1	-3.1667
CAV2	0.459875
MED26	1.0275
DUS1L	-0.4675
CHRM3	-0.51275
NEK9	0.2825
WARS2	0.37
TBX22	-0.815
TOMM40	-0.0845
RP6-213H19.1	0.236333333333333
TUBGCP5	-0.099
IGSF6	4.6895
TPPP	1.1145
UNQ6190	0.252
GSTM5	0.229125
BTD	-0.225166666666667
PDCD1LG2	0.563833333333333
SNRPB2	-0.3355
ERICH1	0.9665
APOA4	-1.48825
HOXA11	-1.38425
NARG1	-0.75325
MKX	-1.478
RAB28	-0.0749285714285714
PKP3	1.16025
SH3GL2	-3.04175
CTSO	2.71025
RPN2	-0.1565
IL28RA	0.813666666666667
SFMBT1	-0.05725
WDR57	-1.028375
FER1L3	0.198833333333333
HSF5	0.309666666666667
TTC9B	-0.172
C4BPA	-3.33416666666667
ALB	-5.13571428571429
SORBS3	-0.6285
UPF2	0.4945
JPH1	0.7395
AGBL2	-1.48875
DOPEY1	2.239
TERF1	0.476666666666667
KIF22	-0.8145
NINJ1	-0.28375
SEC61A2	-0.429916666666667
HIST1H1D	-0.977
SFXN4	-1.629375
UCP3	0.5456
ZNF703	-0.303666666666667
MYL6B	-0.385
TREM1	1.35475
OR52E6	0.3915
CKMT2	0.8545
HLA-C	2.33575
SLC13A3	-1.24033333333333
TIMP4	-1.72375
SLIT2	1.51
RSF1	0.277666666666667
LONRF1	-1.26307142857143
MON1A	0.384833333333333
CACNG6	-1.927
DPPA4	-5.80683333333333
ZSWIM3	0.6255
ZNF804A	0.594666666666667
CCIN	1.30025
SLC25A31	-0.062
KCNMB4	-1.36975
RABL5	-0.529375
GALNS	-0.6854
STX6	1.263625
HIST1H1C	-0.837166666666667
CIDEB	1.702875
CASP4	0.0438333333333333
PDK3	-1.1252
KCNJ11	-0.109
TPR	0.255
ZSCAN20	0.467
MTX2	-0.92475
HIST1H2BH	-0.0245
LOC283767	1.0055
LYRM7	-0.783722222222222
BRD3	-0.0715
HIST1H2BO	-0.03075
MAGEB10	0.058
SLC45A1	0.15275
SERPINA3	-1.9996
KIAA0143	2.0035
KCNJ16	-0.229
KRT79	1.033
FABP2	-0.4715
NUT	-0.485
ZNF57	0.59525
FBXL4	1.3925
CLEC9A	1.702
UGT8	3.19783333333333
BMP2K	0.2905
MAPK4	-2.5115
SLC25A23	-1.3968
HINT1	-0.5436
KRTAP13-1	0.8035
SFXN5	-0.4802
CHCHD2	-0.45275
FAM3D	4.1775
NDP	-2.83225
RHOBTB1	-0.6425
SLC4A4	-1.353875
RPL38	-0.24525
HTF9C	0.440333333333333
AP2A2	0.0285
ZBTB46	0.6105
MAP7D1	0.867
AOX1	-1.68283333333333
CYR61	0.967083333333333
DTNA	1.42571428571429
JRKL	0.9485
TMOD3	-0.538
EEA1	0.3176
ADCK5	0.67775
IL1R1	0.580666666666667
KLK3	0.0646428571428571
HRSP12	0.603
KTN1	-0.416
LOH11CR2A	-0.4816
RELL2	-0.139
MAB21L1	0.8885
C20orf59	-0.8215
PHKB	0.49375
ADAM2	-2.22883333333333
TBC1D8B	1.00866666666667
FAM13A1	0.226625
LAPTM4B	1.748
LCN8	0.254
TMEM147	0.762
SYT4	0.154833333333333
XPO7	-1.061
C9orf62	0.33025
GPR75	-0.1425
TRIM5	-1.082375
APOC1	-0.222333333333333
RNASE4	-0.0223333333333333
PARD6B	-2.41275
ARID1A	0.386583333333333
TPD52L3	0.5712
RRAGB	0.7965
RCN2	-0.3525
HIST2H2BE	-0.1183125
STARD7	0.0395
SHMT2	-0.729
KIAA1751	0.0918333333333333
MLYCD	0.782125
LOC162632	-1.6122
UQCRH	-0.18075
RP11-217H1.1	0.9630625
SDHA	-0.291166666666667
NCLN	-0.0768
ZNF17	0.709166666666667
RCBTB2	-1.919
VEGFB	-0.2415
RP4-747L4.3	2.24025
COLQ	0.1011
MPN2	-0.828833333333333
DRG2	-1.031
KLRB1	5.8675
ALPK2	-4.1555
DNASE2B	1.68125
FLJ23834	-0.858
AXUD1	1.05166666666667
SAFB	-0.0579
NSUN4	0.1
RFX2	0.359
MAPK8IP1	-0.4915
FANCD2	0.0795714285714285
ANKZF1	-1.55216666666667
C19orf50	-0.18175
DUSP8	1.3515
SENP5	-0.5355
NFKBIL2	0.18375
LBR	-0.278125
IGFL1	0.276
LZTS2	0.530125
IL2RG	0.42625
CCDC51	0.11925
KLF3	1.30425
ANKRD37	-1.33475
KCTD14	0.388666666666667
FZR1	0.488583333333333
SLC44A4	-1.4065
ESPL1	-0.827875
GMPR2	-0.4339
TBC1D19	-0.819333333333333
ERGIC1	-0.338851851851852
ERBB4	-0.7935
TSPAN32	0.368916666666667
MAP4	0.366
GPHN	0.205
SLC6A2	1.1395
HIVEP1	1.17075
DFFB	0.1227
EIF4EBP2	0.763375
DMRT1	0.34375
HSPB6	-0.5565
IER2	0.705166666666667
AIFM1	0.3305
WWC2	-1.223
MRPL4	-0.54075
FLJ21062	-0.779666666666667
EPB41L4A	0.693583333333333
SH2D6	0.39525
TAF4B	0.1045
GAL3ST3	-0.0975
MALT1	-0.0668333333333333
RTDR1	0.72425
ARVCF	0.40975
MEX3B	-0.694166666666667
FBXO16	0.114
KIF7	-0.427
C1QC	3.92283333333333
ZNF783	0.230333333333333
ZNF85	-0.106
MMP13	2.4115
KIAA0329	0.56075
RTP3	-2.029
ZBED3	-1.03725
CLGN	-3.61475
SLC25A37	-0.5615
hCG_18290	-0.36075
OR5AS1	0.0275
SMARCC2	0.276166666666667
FAM109A	0.0511666666666667
CCDC12	-0.08
USF2	0.8058
DEPDC7	-2.28425
C20orf24	-0.5325
JMJD3	0.721
DSP	2.90735714285714
SLIC1	1.015
FAM20A	1.13225
IRF2BP2	1.41975
ZNF230	-0.617
MSN	-0.613142857142857
SLC9A5	-2.281
EPDR1	-2.449
MUSK	-0.00950000000000001
ZNF434	-0.16
SMARCD1	-0.398666666666667
ZFP106	0.065
ZNF347	0.8004
GTF2E1	-0.0595
