Hybridization REF	TCGA-A2-A0SW-01A-11R-A084-07
ZNF350	1.03675
MGC11102	0.695125
BST1	1.943
KISS1R	0.9115
NCR2	0.1255
DEFB125	0.2305
UBE2W	0.47475
KRT15	-3.00175
C10orf99	0.5655
SCN11A	0.232625
GFI1	-0.4175
RDHE2	5.581
FHL1	-0.031
OSGEP	-0.0155
GATA1	-3.30883333333333
SMC6	-0.22325
TTTY14	-0.92375
LPIN3	0.16675
RPL4	-1.248
RBPMS	0.4634
PRPF3	0.00416666666666667
EMR1	-1.686
SPATA19	-0.05625
XCR1	0.9695
IRX3	1.6
RBM6	-0.8865
KLF4	0.7995
UNC5CL	-1.75425
SEBOX	0.0495
BTK	0.6285
KRCC1	0.639
C6orf27	0.187
SYTL5	-0.065
PRND	2.1045
LOC653319	-0.8755
PIGL	-0.65025
HUS1	0.367166666666667
SFRS6	-0.135833333333333
C17orf77	0.3305
UIMC1	-0.0361666666666667
FXYD2	-1.5347
LOC283152	0.9605
ZNF667	-1.9145
ZCCHC12	-0.777
TFEC	3.6389
ATP7B	0.236333333333333
POLD2	-0.605833333333333
RG9MTD1	-0.07
ACOT2	-0.362833333333333
HIST1H4I	-0.82325
PPARGC1A	-1.3081
ETFA	-1.1255
POLRMT	-0.45425
ZNF146	-0.1925
MIA2	-0.7875
KLHL6	1.68516666666667
HOXB5	0.328625
NENF	1.06866666666667
CUGBP1	-0.42875
PRSS22	1.10383333333333
CASC4	0.1983
CUL4B	0.3483
CENPJ	-1.6924
PITX1	0.384333333333333
FLJ31033	1.40916666666667
CELSR3	-2.7555
ZNF568	0.30725
ITSN1	-0.14125
EHBP1L1	-0.487833333333333
C19orf2	-0.694
DCTN1	0.1645
LIN28B	-3.09666666666667
TNKS2	-0.1825
C1QBP	-1.353375
CADPS2	2.5125
SRMS	0.74725
GJA9	0.187166666666667
MGC24975	-0.745666666666667
TRIM45	0.137666666666667
TSP50	-0.0325
TCP1	-0.95075
TMED7	0.156
CMA1	1.001
CENPL	0.213166666666667
PTCRA	0.6015
FST	-3.25875
VWCE	-2.8825
PAWR	0.198
ABCC12	3.0158
LDLR	-1.876
ASTN2	0.325
LOC441212	-0.417
GPATCH8	-0.50675
TANC2	-0.205416666666667
KIF4A	-0.81275
C18orf18	-0.96475
PGM1	-0.08425
KIAA0258	-0.13975
CPD	-1.293125
SNCAIP	-0.90875
DCT	-3.87183333333333
HLA-DOA	2.9145
OR11L1	0.9815
UPK1B	-0.114666666666667
DNAJB4	-0.353
UGT1A8	0.11425
HIST1H4L	-2.1585
PECR	-0.759166666666667
HSPA2	2.593
WFIKKN1	-0.826
SERP1	0.788625
SYDE2	0.94125
TACR2	0.8355
NUP85	0.197
CD177	-0.122833333333333
LGR5	-1.66166666666667
PIGG	0.4555
PTHR1	-1.71266666666667
RAB5A	0.215
FLJ13224	-0.2625
USP9Y	-1.25666666666667
C7orf53	0.0735
LRP1B	1.9745
XAF1	2.3771
ABCG8	-0.3375
ANKDD1A	-0.888333333333333
DAND5	-1.9695
SPAG6	4.84216666666667
LINCR	1.159
ZDHHC22	-1.514125
CCDC60	-1.947
THOC7	-0.959333333333333
TCTA	0.9811
OR8K3	0.30925
NY-REN-7	-0.1595
B2M	1.94333333333333
C6orf141	0.00949999999999995
LPPR4	1.51025
SQLE	-0.2125
SEPHS1	0.22725
BTBD14B	0.218857142857143
PLRG1	-0.458
SPG7	-0.4515
ZNF614	-0.598666666666667
PARD6G	0.707166666666667
INPP5B	-0.3124
GRPEL2	-0.08925
PPID	-0.7986
TRIM56	-0.288
UBE2J1	1.07225
IL20RA	3.1605
LOC387856	-0.094
C1orf107	0.330833333333333
UTS2R	0.72125
C19orf22	0.1605
SAFB2	0.05175
KIAA0652	0.128375
KLRG1	0.348
MS4A8B	3.295
FRAG1	0.47775
KIAA1546	0.5875
E2F4	-0.5319
CLEC4M	0.61
BTBD14A	-1.599
KIAA0999	-0.1074
GYPA	-3.24433333333333
TAC1	-0.1969
TRAIP	-1.3685
KIAA0232	0.2791
ERCC8	-0.174125
GPX4	0.392375
KIAA0368	-0.1495
GPR157	-0.102166666666667
CTAGE4	0.801
C9orf30	-1.7075
OR52A1	0.2775
HSP90B3P	0.2995
ALG9	-0.3661
BTBD10	0.99825
SDK2	0.23425
BAIAP3	-0.62925
RABGGTB	-0.849
ANKRD40	-0.0588333333333333
KRT74	0.161
CALCOCO2	1.35128571428571
SNCA	-2.9365
TMSL8	0.6635
C2orf53	-0.322
ESRRB	-0.504
ARHGAP26	0.470625
TDRD9	-2.85825
HRAS	-0.0806666666666667
KLRC4	-1.844
JAGN1	-0.413666666666667
BSDC1	0.8815
RNF43	0.6186
NDUFAF1	-0.163
PHF12	0.604
OR1L3	0.43575
FOLR2	2.11616666666667
LYZL6	-0.232166666666667
tcag7.1260	-1.123
WSB1	-2.19633333333333
PROS1	-1.1537
OSTN	0.616
PSMB8	1.65825
SOCS4	-0.1965
DDIT4L	2.257
MAS1	0.7485
MGC34796	1.28975
CSHL1	0.374
TBCCD1	0.178833333333333
ZBTB7C	0.079
AP2S1	-0.1725
P15RS	-0.113
VAT1	-0.4532
SHANK3	0.735833333333333
TUFM	0.216
THEG	-0.205
KRT34	-1.802
SGSM3	0.554375
TOMM22	-0.1565
SOCS3	0.496333333333333
CPO	-0.234
POP4	0.6025
BHLHB3	1.0355
MALL	0.9655
OR1B1	0.471
PARK2	0.226666666666667
GPR124	0.315125
LCE1E	0.462
RUVBL2	-0.5955
CGRRF1	0.0157
ACPL2	-0.08825
WNT10B	-1.393625
BAIAP2L2	-2.193875
ISCA1	0.5275
C1orf125	-0.271125
RPAP1	-1.027
RAI16	0.2915
RPL27	-1.372
NLRP9	0.3765
EPN1	0.497
LOC388610	-2.628
SLC35A1	1.1546
GAL	-3.88625
SLC14A2	0.3895
RDH11	-0.405333333333333
FAM138F	-0.2645
AUH	0.253
FLJ40243	-0.19225
C14orf129	-0.00733333333333333
MBD2	0.165833333333333
ABHD14B	-0.11025
PIGT	1.6295
ALS2CR4	-0.386375
ALAS1	-0.0162
FOXO1	0.863166666666667
CRLF3	-0.604125
C20orf107	0.364
FARS2	0.66775
CCDC28A	-0.261
NPHP3	-1.19925
OR13F1	0.5485
TSEN54	0.44625
DEFB106B	-0.2758
OR8B4	0.6075
STH	0.6115
ZC3H14	-0.99225
CBX2	0.402
TMEM49	-0.67075
C6orf21	0.5905
FLJ20920	1.0495
CRTAP	-0.564428571428571
DDX50	-0.43175
STYXL1	0.85125
BLVRB	1.2145
LOC147650	-1.429
MMP24	0.7865
GRID1	0.6055
BANF1	-0.187
CTAGEP	0.75125
HMBS	-1.73425
SLC25A24	0.393166666666667
C14orf50	0.45525
MRO	1.472
SLC25A15	-1.44975
FAM84B	0.8972
TDP1	-0.891
C16orf78	0.502166666666667
C11orf57	-0.178
RFK	-0.34025
ZFYVE9	-0.3215
STCH	-0.1397
WIBG	0.85875
LOC283871	-0.0473333333333333
GBA2	-0.5823
NDUFB3	0.07075
HSD17B13	0.19
GRIN3A	1.53866666666667
FMNL1	-0.037
SEPT7	-0.414
GNLY	3.777
GRAMD1C	1
ZNF165	0.2065
USP38	0.72075
FAM83A	-3.14866666666667
C14orf24	0.821333333333333
ARMCX3	1.354125
ARHGDIB	0.679833333333333
AK1	0.41875
KIAA1045	-0.3235
DNAJB13	0.330833333333333
NEU2	0.5325
HIST1H4B	-1.19783333333333
FAM20B	-0.0211
HES2	0.833714285714286
FAM73B	-0.3086
LOC388381	-0.061
INTS7	0.180363636363636
AMPH	0.18675
ZNF775	-0.149875
UCKL1	-0.4605
C10orf97	0.38175
C1orf161	0.18775
ALDH1L1	-0.86425
FLJ39378	-0.4465
SLC23A1	-2.351
RBM4B	-0.0145
THAP4	0.0923333333333333
OGFRL1	0.9665
KIAA0831	0.48275
PPP1R15A	-0.619833333333333
C1orf96	0.390428571428571
C12orf11	-1.56575
BMF	0.75225
MAN1A1	0.40825
KIAA1600	0.435333333333333
NLGN4X	-1.127
ALOX12	-1.0775
RB1CC1	0.1225
NEIL2	0.4127
EIF4E	-0.0819545454545455
ABHD5	-0.5145
EXOC4	0.00266666666666667
CIP29	0.047
BATF2	1.51825
SLC29A4	-0.864375
HTR4	0.32225
EMB	-0.18425
TRAF6	0.56
LMNB1	-0.32075
FAM19A5	-0.835875
SHE	1.7225
PIK3C2B	1.63025
C15orf15	-1.2239
USP15	0.7017
TCEAL2	-0.14475
C5orf39	1.043
PTGER2	-0.35525
SLC31A1	-0.0945
IFT172	0.3925
ADAM29	0.39475
GFOD1	0.4625
ST7L	0.588333333333333
C15orf26	-1.7745
PKN3	-1.49
CNTD1	2.25416666666667
COMMD1	0.3425
NTRK2	2.42741666666667
FOXN3	0.2075
MFGE8	-0.1901
PFKFB2	0.981833333333333
TAS2R4	0.02025
ENTHD1	0.44
PRMT5	-0.312125
MGC16384	-0.95425
LOC442229	-0.01375
TSKU	0.855
KRTCAP3	1.290125
PDLIM1	0.019
KCNS2	0.50175
RNF126	0.000999999999999992
CEP63	-0.560875
CLIC4	0.314125
hCG_1990170	-1.008
ACR	0.54
KLK7	0.13575
ALOX5AP	3.3965
RIPK3	3.3365
TAS2R9	-0.1665
C19orf18	-0.1725
BIRC6	0.0565
ZNF16	0.869
RFT1	-0.68325
SLC8A2	-0.47225
TACC1	0.63525
ITGAD	1.435
SAMHD1	2.0595
SH3PXD2B	1.1719
EPC2	0.6175
C20orf85	0.323
ATP13A2	0.166833333333333
KRT4	0.521875
CAPNS1	0.1785
MDM2	-0.0348333333333333
PCDH20	4.1265
KCNK9	0.6105
OR2C1	-0.1235
KLHDC3	-0.9305
IPPK	0.849
EFHD2	0.837125
GALR3	0.71925
NBEA	-1.26083333333333
ABCA6	2.8202
CLDN3	1.04416666666667
AKT2	-0.145928571428571
EGFR	-2.5945
RBM16	-0.00275
ZDHHC3	0.2234
SLC25A4	-1.01616666666667
CYB5B	-0.794333333333333
CPXM1	-0.141
NDRG1	-1.02815384615385
FLJ43826	0.1655
OR5L2	-0.072
FARP2	0.6618
MRPL46	-0.8915
LDHAL6B	0.0641666666666667
MAPKAPK3	-0.409833333333333
NCAM2	-0.0595
PRKD2	0.280833333333333
ZFP36L1	0.6388
CYSLTR1	1.11225
OR4C3	0.1125
HIST1H2AJ	1.681
CCNB2	-2.19055555555556
ZNF10	-0.48775
TMEM175	0.9305
FAM134A	0.809333333333333
TIGD4	0.364
PCNP	-0.728
MGC39715	-0.1625
LQK1	0.525
CREB1	0.4231
TMPRSS3	2.6915
C4orf32	3.43875
LAT	-0.451416666666667
KCNA3	1.695
SKIV2L2	-0.755
ROPN1B	-4.17975
tcag7.23	-0.514
CDT1	-1.929375
ZHX2	1.20775
CD28	-1.4745
ZNF624	0.21125
SEPT2	-0.12325
SOHLH2	-1.646125
MCOLN3	-0.574428571428571
UNQ1945	1.169
MASP2	-0.606
ZNRF3	-0.0457
GPATCH3	0.04725
AGL	-1.783375
QRICH2	-0.3815
PSD4	0.667666666666667
CCNB1IP1	-1.54575
ENPP7	0.36475
OBFC1	0.516
KCNG3	-0.92925
C14orf79	0.325
ENPEP	1.90516666666667
SCT	0.674
SKI	0.611125
SEC61G	0.07775
CAPN11	0.18
ATXN7L3	-0.5335
DBNDD1	0.306166666666667
FAIM	0.343
ANKRD36	-0.7425
GABRP	-0.208833333333333
TACSTD2	2.28283333333333
EIF3J	-1.19325
PPP2R2A	-0.2285
TEKT4	-0.218
PVALB	-3.78383333333333
F10	-2.92916666666667
FAM134C	0.5598
COMP	4.50525
EFCBP1	-3.29825
SCLT1	-0.131
TAL1	-1.0084
ACSL1	1.03175
ABCC5	-0.989416666666667
ABL1	-0.680666666666667
RBBP7	0.397916666666667
PTPRG	-1.63175
NCOR1	-0.7065
SPINK4	0.543
TXNRD1	-0.8762
TNRC15	0.336125
C9orf138	0.224571428571429
UBE2H	0.866333333333333
BRDT	1.55366666666667
C8orf31	0.135
CCNE2	-0.174909090909091
SLC6A8	-1.8675
CALCR	3.11875
PPP1CB	0.41725
ABHD8	-0.214
ARF5	0.5345
SLC24A4	0.8235
CCT3	0.3725
ZNF121	-0.403375
SLC3A2	-0.5461
OR13A1	0.668
SLC5A10	-0.00800000000000001
RAD50	-0.2535
IER5	0.253375
MTHFD1L	-2.17475
MBTPS2	-0.2345
MVK	0.25825
NCL	-0.2979
PSMD10	0.55875
MOBP	-0.049375
FLJ32894	-0.22
HRH1	-0.756166666666667
C5orf30	0.3165
NUDT16L1	0.7577
RASGRP3	3.8075
PRKRIP1	0.1751
CCDC75	-0.2185
LOC253970	0.684
KIAA1239	0.87925
MED21	-0.47875
SYT11	0.498833333333333
NTSR2	0.091
EGFL11	-0.345
CXorf59	0.9175
OR2A25	0.33075
SPTBN2	-0.123
LRMP	-0.273166666666667
RNF111	-0.58325
PTH	1.0275
LOC619208	0.626166666666667
KIAA0895	0.987
RANBP5	-1.723625
P2RY10	1.96866666666667
NME5	-0.3165
DDX21	-1.05275
LRSAM1	0.1125
HDAC11	0.851833333333333
VMO1	1.8125
NOLA2	0.486333333333333
ADAR	0.675916666666667
MTO1	-0.0783333333333333
SF4	0.0565
P2RX1	1.19383333333333
HBM	0.441
EN2	1.097
C14orf172	0.35975
TM9SF2	0.083
INHBE	-1.04383333333333
TCTE3	-0.0143333333333333
TOX2	-2.0775
CTAGE3	0.567
HBB	3.0769
MED15	-0.9995
CASR	0.56675
C6orf66	-0.4295
MTPN	-0.469
UNC50	-0.5565
C21orf33	-0.200875
IRF2	1.083375
PGR	0.817666666666667
GPR84	2.12275
CROCCL1	-1.67725
SRPX	-0.63625
BRE	-0.1295
FGF10	0.5395
SDC3	0.127166666666667
ZRSR1	0.937166666666667
DKFZP434P211	-0.542125
SOX6	0.4375
RPUSD2	-0.6855
C14orf173	0.214083333333333
MAPK11	-0.473833333333333
TBC1D22A	0.5665
FAM123A	-0.155
COL4A6	-3.4855
TOMM70A	0.285
NAB1	-1.340375
MGC16385	0.564375
TSPAN18	-1.01233333333333
MED31	-0.45375
PLG	0.06025
CAPSL	2.584
ZNF532	0.3268
ASB14	-0.18525
CA8	1.11275
NUDT16P	0.280833333333333
SLFN11	-0.029
LRRIQ2	-0.234125
NOL7	-0.452166666666667
BRMS1L	-0.242625
JARID1A	-0.153166666666667
PANK2	-0.082
ICAM3	0.8855
MDS1	-0.6595
TAF8	-0.51875
RNF139	0.78475
ZNF594	-0.987333333333333
ADAM8	1.97275
SFTPC	-0.1035
MAN2B2	1.234375
RGS12	0.5046875
EIF1AY	-4.557
LRRIQ1	-1.44483333333333
GPR150	0.8755
CCDC21	-0.511666666666667
PRRG3	0.268
SAA4	-3.532
RAPGEF5	0.897625
ZCCHC2	0.111083333333333
MGC39372	0.5185
PPP4R2	-0.0141666666666667
CDCA2	-0.689333333333333
OR4D5	0.4845
PTGFRN	1.0263
SIGLEC5	2.33516666666667
C19orf61	0.153333333333333
NMUR2	0.267
KIAA1586	-2.22533333333333
DAGLA	-1.65033333333333
CHCHD6	-0.5455
GPR32	0.453
NEUROD6	0.180333333333333
SLC2A4RG	0.43425
CA5B	0.786
FBXL3	0.3455
MPHOSPH9	-0.97
HMG2L1	0.35575
HCN4	0.325833333333333
CEACAM19	-0.7025
SH2D4B	0.691166666666667
HFE2	-0.327
TGM4	0.388166666666667
LYPD2	-0.21825
TBC1D15	0.452
MRPS21	-0.1242
NONO	-1.1902
CLEC5A	1.32825
ITCH	0.045
MGAT3	-0.234833333333333
MBP	-0.04225
RPP25	0.131
SOSTDC1	1.17625
HRC	-1.39425
TRIM48	-0.0295
TMEM133	1.0265
ECEL1P2	-0.7395
HOXC11	2.1475
DOK5	-0.29625
HELZ	0.400666666666667
LOC348180	-0.1425
MGC33894	0.04125
ADRB3	0.316
DMD	-0.270166666666667
PTRH2	-0.25775
MPEG1	3.1525
NDUFA12	0.747166666666667
KRTAP2-4	0.3735
STAMBPL1	-0.405
ADCY2	0.341166666666667
UNQ6125	0.1855
KLHL20	0.274833333333333
SRM	-0.59375
OTC	-0.43675
TMIE	-0.185666666666667
SNX8	0.7195
LIPK	0.9245
CHURC1	0.595916666666667
KLC2	0.484666666666667
HDAC1	0.357833333333333
FAM128A	0.735166666666667
FNDC3B	-0.0713
MTCP1	0.6595
WFDC10B	0.3312
PCDHGB3	0.2975
ATRNL1	-0.256
CAV2	-0.538625
MED26	0.404
DUS1L	0.93075
CHRM3	-1.6315
NEK9	-0.18225
WARS2	-0.52775
TBX22	0.0114999999999998
TOMM40	-0.7085
RP6-213H19.1	0.839
TUBGCP5	-0.19875
IGSF6	5.43875
TPPP	-0.4985
UNQ6190	-0.552
GSTM5	0.60175
BTD	0.4585
PDCD1LG2	0.857333333333333
SNRPB2	0.177333333333333
ERICH1	0.172
APOA4	-1.31175
HOXA11	-1.4975
NARG1	-0.447375
MKX	-0.67525
RAB28	-0.237571428571429
PKP3	0.11475
SH3GL2	-2.901
CTSO	1.93675
RPN2	0.826125
IL28RA	0.310833333333333
SFMBT1	0.088
WDR57	-0.55275
FER1L3	0.306083333333333
HSF5	0.696833333333333
TTC9B	0.28
C4BPA	-3.188
ALB	1.32185714285714
SORBS3	0.013625
UPF2	0.214
JPH1	-0.301
AGBL2	-1.75725
DOPEY1	1.6135
TERF1	-0.335333333333333
KIF22	0.159833333333333
NINJ1	1.102
SEC61A2	0.35975
HIST1H1D	-0.0708333333333333
SFXN4	-0.234625
UCP3	0.335
ZNF703	1.01983333333333
MYL6B	-0.3665
TREM1	1.7575
OR52E6	0.5565
CKMT2	1.177
HLA-C	2.365375
SLC13A3	-0.698833333333333
TIMP4	-0.73225
SLIT2	2.11275
RSF1	-0.0107222222222222
LONRF1	-0.614071428571428
MON1A	-0.381833333333333
CACNG6	-0.978
DPPA4	-5.07883333333333
ZSWIM3	0.138
ZNF804A	0.853333333333333
CCIN	1.83825
SLC25A31	0.4745
KCNMB4	-1.18375
RABL5	0.210375
GALNS	-0.3363
STX6	0.8495
HIST1H1C	-1.32333333333333
CIDEB	0.73575
CASP4	1.68033333333333
PDK3	-0.1452
KCNJ11	1.0775
TPR	-0.27725
ZSCAN20	0.149
MTX2	-0.06675
HIST1H2BH	0.1285
LOC283767	0.30825
LYRM7	-1.22305555555556
BRD3	0.346166666666667
HIST1H2BO	-0.0555
MAGEB10	0.434
SLC45A1	0.24275
SERPINA3	-1.45865
KIAA0143	1.31225
KCNJ16	0.1125
KRT79	0.716
FABP2	-0.287666666666667
NUT	-0.01575
ZNF57	0.06075
FBXL4	0.02
CLEC9A	1.1475
UGT8	1.208
BMP2K	0.67425
MAPK4	-3.74975
SLC25A23	-0.4723
HINT1	0.2042
KRTAP13-1	-0.1195
SFXN5	-0.2782
CHCHD2	0.595916666666667
FAM3D	3.6595
NDP	-3.330875
RHOBTB1	-0.509
SLC4A4	-1.234625
RPL38	0.062
HTF9C	-1.124
AP2A2	0.40075
ZBTB46	-1.1225
MAP7D1	0.261125
AOX1	-1.39566666666667
CYR61	0.468666666666667
DTNA	0.954357142857143
JRKL	-0.40275
TMOD3	-0.9035
EEA1	-0.115
ADCK5	0.373
IL1R1	1.01083333333333
KLK3	0.287642857142857
HRSP12	-0.238
KTN1	-0.70675
LOH11CR2A	0.6843
RELL2	-1.34725
MAB21L1	1.10275
C20orf59	-0.599333333333333
PHKB	0.24775
ADAM2	-1.726
TBC1D8B	1.64183333333333
FAM13A1	-0.4500625
LAPTM4B	0.938
LCN8	0.45
TMEM147	0.478
SYT4	-0.265666666666667
XPO7	-0.404
C9orf62	0.8915
GPR75	0.1745
TRIM5	0.514125
APOC1	2.22033333333333
RNASE4	2.13083333333333
PARD6B	-2.03725
ARID1A	0.329
TPD52L3	-0.4466
RRAGB	-0.207166666666667
RCN2	-2.09333333333333
HIST2H2BE	-0.651875
STARD7	-0.067
SHMT2	-0.60675
KIAA1751	0.766166666666667
MLYCD	0.665625
LOC162632	-0.7688
UQCRH	-0.405
RP11-217H1.1	0.7608125
SDHA	0.149666666666667
NCLN	0.1041
ZNF17	0.735666666666667
RCBTB2	-1.84525
VEGFB	0.00279999999999998
RP4-747L4.3	0.278
COLQ	-0.271
MPN2	-0.6845
DRG2	-0.57525
KLRB1	5.53975
ALPK2	-0.8205
DNASE2B	1.99425
FLJ23834	0.193666666666667
AXUD1	-0.202833333333333
SAFB	-0.0772
NSUN4	0.3
RFX2	0.255833333333333
MAPK8IP1	-0.394333333333333
FANCD2	-1.23507142857143
ANKZF1	-0.95
C19orf50	-0.44975
DUSP8	0.691125
SENP5	0.200375
NFKBIL2	-0.05975
LBR	-1.993
IGFL1	0.2155
LZTS2	-0.4585
IL2RG	1.003125
CCDC51	-0.584
KLF3	0.355625
ANKRD37	-1.5655
KCTD14	-1.9765
FZR1	0.777916666666667
SLC44A4	4.0763
ESPL1	-0.257875
GMPR2	-0.1654
TBC1D19	-0.63
ERGIC1	0.894148148148148
ERBB4	3.0588
TSPAN32	0.74125
MAP4	-0.3895
GPHN	0.11825
SLC6A2	0.153125
HIVEP1	0.47025
DFFB	0.0101
EIF4EBP2	0.54675
DMRT1	-0.30525
HSPB6	-0.000499999999999994
IER2	-0.2395
AIFM1	1.13125
WWC2	0.392833333333333
MRPL4	-0.40625
FLJ21062	0.462166666666667
EPB41L4A	1.3485
SH2D6	0.245
TAF4B	-0.95925
GAL3ST3	-0.0985
MALT1	-0.340333333333333
RTDR1	-0.37875
ARVCF	-0.797
MEX3B	-0.881166666666667
FBXO16	-0.83725
KIF7	-1.417
C1QC	4.07066666666667
ZNF783	-0.0816666666666667
ZNF85	-0.508
MMP13	3.0755
KIAA0329	0.5065
RTP3	-0.72
ZBED3	0.11825
CLGN	1.73025
SLC25A37	-0.796041666666667
hCG_18290	-0.86475
OR5AS1	0.487
SMARCC2	0.704
FAM109A	0.1505
CCDC12	-0.78325
USF2	0.3051
DEPDC7	-2.0005
C20orf24	0.733
JMJD3	0.2315
DSP	0.650142857142857
SLIC1	1.013375
FAM20A	1.856
IRF2BP2	0.352125
ZNF230	0.1305
MSN	-0.549142857142857
SLC9A5	-1.443
EPDR1	-0.8286
MUSK	-0.0865
ZNF434	-3.23815048849004e-17
SMARCD1	-0.289
