Hybridization REF	TCGA-A8-A06T-01A-11R-A00Z-07
CD38	-1.12725
ZDHHC6	0.376166666666667
NEFH	-3.42925
CTDSP2	0.261166666666667
PGBD5	-2.34216666666667
CCNY	0.3715
RMND5B	0.797
ZNF257	-2.72175
FLJ22167	0.899875
EXOSC7	-0.744333333333333
ROR2	1.128375
MAOA	-1.73425
TNNT3	0.350333333333333
GYPC	-1.529
C7orf33	0.261
PLIN	3.04916666666667
LOC90826	0.18425
RNF4	0.0038
F8A1	0.715166666666667
PLEKHG4	-2.44825
GRB2	0.2817
HIST1H2AD	0.549
DUS3L	-1.4285
EIF1	-0.109833333333333
RP5-1077B9.4	-0.3495
FPGT	1.7925
GDF10	0.00866666666666665
COQ9	-0.09925
GCC2	-0.595285714285714
RARRES3	3.824375
PLXNA1	-0.5
KIAA0100	0.2393
PMF1	-0.0805
FNDC1	5.1495
HS2ST1	-0.6235
CRELD2	-0.101
C8G	-1.3635
CD82	0.15575
LIM2	-0.441
UNQ6490	0.1045
MMP16	-0.711
DRD3	0.09475
C5orf26	-0.59975
C11orf73	-0.841375
PTP4A2	0.0855
OR4M2	0.8495
HPCA	-0.5175
SEC14L1	-1.30033333333333
CHFR	0.068875
EMILIN1	1.016125
NDUFS4	0.59575
COL18A1	-0.314125
PDZD3	0.2442
C9orf16	-0.541166666666667
ERBB2IP	0.844333333333333
EMX2	3.54275
FUS	-0.72075
TF	-3.7329
CLCN4	-0.8525
CXorf56	0.686
C11orf72	0.26625
ELAC2	0.19925
NPR1	-0.8295
ASS1	-3.363
USP42	0.684125
POLR2J	0.1255
SEC23IP	0.872
UQCRC1	0.4505
LOC729603	-0.4415
C1orf71	0.399
POLG	-1.5625
ADAM23	-3.4235
TFR2	-1.22375
RICTOR	-1.012
MGC39606	1.583
C19orf55	-0.022
SNAPC1	-2.2155
GNA11	0.715375
CCDC52	0.5725
FSIP1	4.988
UPF3A	-0.971125
IGSF11	-2.40666666666667
LAGE3	0.7185
CHST6	-2.9205
UNC13B	0.994
TTLL4	-1.56075
ZNF687	0.3885
SDC2	-0.0746
COX7A2	0.106
LAMB4	0.022
FAM24A	0.402
LRRTM3	-0.882666666666667
GPHB5	-0.033
OR4C13	0.034
EIF3EIP	-0.610714285714286
HABP4	-1.253
TMEM125	3.58525
CNTN2	-0.089125
ASNSD1	-0.71825
FUT4	-0.577625
ACF	-3.414
LOC158381	0.801
CDH8	-0.3305
AGPS	-1.5655
C4orf18	1.91975
PECI	1.41991666666667
UNG	-0.48725
GSTP1	-2.7465
DCUN1D5	-1.23
DKFZP564J0863	-0.694
SLC9A3R1	1.72725
BCDO2	-1.2405
CHMP7	-0.851
REM2	0.3125
DNHD1	-0.00150000000000002
FKBP4	-0.18475
ZNF350	1.00075
MGC11102	0.252125
BST1	0.53725
KISS1R	0.401
NCR2	-0.0935
DEFB125	0.2145
UBE2W	1.552875
KRT15	4.7355
C10orf99	0.633
SCN11A	0.058875
GFI1	-2.00425
RDHE2	2.95616666666667
FHL1	-1.53266666666667
OSGEP	0.1845
GATA1	-3.2365
SMC6	-1.73525
TTTY14	-0.906
LPIN3	0.0565
RPL4	-0.6604
RBPMS	-1.9639
PRPF3	-0.553833333333333
EMR1	-2.3595
SPATA19	0.1775
XCR1	0.8855
IRX3	2.3089
RBM6	-0.454
KLF4	-0.9479
UNC5CL	0.81175
SEBOX	-0.7805
BTK	-0.95325
KRCC1	1.12075
C6orf27	1.086
SYTL5	-0.8805
PRND	0.384375
LOC653319	-1.1865
PIGL	0.2165
HUS1	0.0178333333333333
SFRS6	-0.240666666666667
C17orf77	0.7155
UIMC1	-0.343
FXYD2	-1.7752
LOC283152	1.881
ZNF667	-2.0255
ZCCHC12	-0.747333333333333
TFEC	3.0648
ATP7B	-0.6635
POLD2	-0.478
RG9MTD1	0.301
ACOT2	1.228
HIST1H4I	-0.823
PPARGC1A	-2.8947
ETFA	-0.7578
POLRMT	-0.10875
ZNF146	-0.20125
MIA2	-1.2035
KLHL6	-0.983
HOXB5	-0.957875
NENF	0.505833333333333
CUGBP1	0.11825
PRSS22	1.244
CASC4	1.3298
CUL4B	0.2565
CENPJ	-1.7462
PITX1	1.09866666666667
FLJ31033	0.4735
CELSR3	-1.63483333333333
ZNF568	0.46825
ITSN1	-0.450083333333333
EHBP1L1	-0.864666666666667
C19orf2	-0.3195
DCTN1	-0.28175
LIN28B	-3.5835
TNKS2	0.8325
C1QBP	-0.198
CADPS2	-0.74975
SRMS	0.2095
GJA9	-0.00466666666666666
MGC24975	-0.0345
TRIM45	-0.0375
TSP50	1.48125
TCP1	-1.17125
TMED7	0.6965
CMA1	0.2675
CENPL	-1.1125
PTCRA	0.1355
FST	-3.8885
VWCE	-3.84775
PAWR	-0.77825
ABCC12	-0.0733333333333333
LDLR	-0.8726
ASTN2	-1.0974
LOC441212	-0.75325
GPATCH8	0.05275
TANC2	-0.85525
KIF4A	-2.00975
C18orf18	-0.04525
PGM1	-0.801
KIAA0258	1.879
CPD	0.9525
SNCAIP	-1.975
DCT	-4.01883333333333
HLA-DOA	2.61040909090909
OR11L1	0.43
UPK1B	-0.378166666666667
DNAJB4	-0.3465
UGT1A8	-0.29675
HIST1H4L	-2.035
PECR	-1.327
HSPA2	-0.30075
WFIKKN1	-1.6785
SERP1	1.765375
SYDE2	2.10325
TACR2	1.321
NUP85	-0.45825
CD177	1.48816666666667
LGR5	-1.9065
PIGG	0.265583333333333
PTHR1	-1.256
RAB5A	0.6122
FLJ13224	-0.2745
USP9Y	-1.65533333333333
C7orf53	-0.3845
LRP1B	-1.00425
XAF1	3.6002
ABCG8	0.2895
ANKDD1A	-0.757166666666667
DAND5	-1.366
SPAG6	-0.0571666666666667
LINCR	1.0155
ZDHHC22	-1.47325
CCDC60	0.35
THOC7	-0.6105
TCTA	1.7887
OR8K3	-0.3265
NY-REN-7	-0.87375
B2M	2.07416666666667
C6orf141	0.69
LPPR4	1.6915
SQLE	-0.24825
SEPHS1	-0.185
BTBD14B	0.114857142857143
PLRG1	-0.74475
SPG7	-0.4351875
ZNF614	-0.854166666666667
PARD6G	0.3035
INPP5B	-0.4457
GRPEL2	0.27825
PPID	-0.6498
TRIM56	-0.198
UBE2J1	-0.16325
IL20RA	5.7655
LOC387856	-0.24375
C1orf107	0.538083333333333
UTS2R	0.3355
C19orf22	-0.047
SAFB2	-0.12425
KIAA0652	0.256625
KLRG1	-0.116833333333333
MS4A8B	1.648
FRAG1	0.91275
KIAA1546	0.12875
E2F4	-1.557
CLEC4M	0.4095
BTBD14A	-1.1625
KIAA0999	-0.2776
GYPA	-3.2975
TAC1	-0.286
TRAIP	-0.8275
KIAA0232	0.7518
ERCC8	-1.10775
GPX4	0.8125
KIAA0368	-0.467
GPR157	-0.226666666666667
CTAGE4	1.7335
C9orf30	-2.13583333333333
OR52A1	0.633
HSP90B3P	-0.1595
ALG9	-0.4936
BTBD10	0.475
SDK2	0.0745
BAIAP3	1.80125
RABGGTB	-0.236125
ANKRD40	0.357166666666667
KRT74	0.6785
CALCOCO2	0.8715
SNCA	-3.77225
TMSL8	-2.784625
C2orf53	-0.239
ESRRB	-0.442
ARHGAP26	-1.61175
TDRD9	-3.0095
HRAS	0.106166666666667
KLRC4	-1.8495
JAGN1	-0.627333333333333
BSDC1	0.995
RNF43	-0.4388
NDUFAF1	1.5525
PHF12	0.63325
OR1L3	-0.08325
FOLR2	1.79041666666667
LYZL6	0.251
tcag7.1260	-2.4435
WSB1	-1.48933333333333
PROS1	-1.9113
OSTN	0.7105
PSMB8	1.9315
SOCS4	-0.564125
DDIT4L	0.6485
MAS1	0.293
MGC34796	1.97025
CSHL1	0.150166666666667
TBCCD1	0.501666666666667
ZBTB7C	0.2825
AP2S1	-0.273625
P15RS	0.7215
VAT1	-0.3023
SHANK3	0.7905
TUFM	0.3205
THEG	-0.42425
KRT34	-0.93425
SGSM3	0.117125
TOMM22	-0.94525
SOCS3	0.271333333333333
CPO	1.4485
POP4	0.275
BHLHB3	-0.0405
MALL	0.469666666666667
OR1B1	-0.266
PARK2	0.565833333333333
GPR124	0.564625
LCE1E	0.7725
RUVBL2	-0.53125
CGRRF1	0.0981
ACPL2	0.67925
WNT10B	-2.335875
BAIAP2L2	-2.12675
ISCA1	-0.3655
C1orf125	0.186
RPAP1	-0.23075
RAI16	-0.222166666666667
RPL27	-0.37075
NLRP9	0.3765
EPN1	0.1305
LOC388610	-0.349
SLC35A1	1.2465
GAL	-4.43925
SLC14A2	0.28225
RDH11	-0.346
FAM138F	-0.8065
AUH	0.49525
FLJ40243	0.37725
C14orf129	0.0568333333333333
MBD2	-0.690166666666666
ABHD14B	1.164625
PIGT	1.075625
ALS2CR4	-1.35525
ALAS1	0.5493
FOXO1	0.137166666666667
CRLF3	-0.7005
C20orf107	0.7665
FARS2	1.28875
CCDC28A	0.67275
NPHP3	-1.00375
OR13F1	0.616
TSEN54	-0.34575
DEFB106B	-0.0423
OR8B4	0.427
STH	1.0555
ZC3H14	-1.025
CBX2	0.1545
TMEM49	-0.68675
C6orf21	0.6855
FLJ20920	1.255
CRTAP	0.139428571428571
DDX50	-0.023
STYXL1	0.783
BLVRB	1.21016666666667
LOC147650	-0.138666666666667
MMP24	0.94325
GRID1	0.842
BANF1	-0.284666666666667
CTAGEP	1.10025
HMBS	-1.896
SLC25A24	0.676
C14orf50	-0.44225
MRO	-0.332666666666667
SLC25A15	-0.71775
FAM84B	2.2293
TDP1	-0.74
C16orf78	0.285
C11orf57	-0.11775
RFK	-0.94275
ZFYVE9	0.323375
STCH	-0.9861
WIBG	0.95325
LOC283871	0.2765
GBA2	0.5304
NDUFB3	-0.15475
HSD17B13	-0.51125
GRIN3A	1.6425
FMNL1	-0.97
SEPT7	-0.859
GNLY	3.791
GRAMD1C	1.34116666666667
ZNF165	1.07225
USP38	0.94175
FAM83A	-3.12866666666667
C14orf24	1.20633333333333
ARMCX3	0.196875
ARHGDIB	2.24583333333333
AK1	0.330125
KIAA1045	0.48125
DNAJB13	-0.107
NEU2	-0.2185
HIST1H4B	-1.5835
FAM20B	-0.2901
HES2	-0.579428571428571
FAM73B	-0.481
LOC388381	-0.875666666666667
INTS7	-0.852363636363636
AMPH	1.0255
ZNF775	0.06275
UCKL1	-0.44
C10orf97	0.31525
C1orf161	-0.1985
ALDH1L1	-1.412
FLJ39378	0.244125
SLC23A1	1.218
RBM4B	0.0795
THAP4	0.0598333333333333
OGFRL1	1.52275
KIAA0831	-0.325375
PPP1R15A	-0.77
C1orf96	-0.0397857142857143
C12orf11	-2.6185
BMF	0.214625
MAN1A1	-1.81375
KIAA1600	1.05533333333333
NLGN4X	-0.971
ALOX12	-0.7965
RB1CC1	1.1399
NEIL2	-0.6942
EIF4E	-0.100045454545455
ABHD5	0.89725
EXOC4	-0.0293333333333333
CIP29	-0.382333333333333
BATF2	2.0985
SLC29A4	-0.654875
HTR4	0.4135
EMB	-1.5995
TRAF6	0.41775
LMNB1	-3.37975
FAM19A5	-0.68225
SHE	1.14675
PIK3C2B	0.25575
C15orf15	-0.7613
USP15	-9.99999999999918e-05
TCEAL2	-0.29075
C5orf39	-0.158333333333333
PTGER2	-1.34025
SLC31A1	-1.1093125
IFT172	0.1105
ADAM29	0.34025
GFOD1	-1.04525
ST7L	0.814333333333333
C15orf26	-3.1555
PKN3	0.063
CNTD1	3.56516666666667
COMMD1	0.921125
NTRK2	1.83125
FOXN3	-0.638125
MFGE8	-1.4526
PFKFB2	1.42966666666667
TAS2R4	-0.4495
ENTHD1	0.569166666666667
PRMT5	-0.1905
MGC16384	-1.033875
LOC442229	-0.0845
TSKU	0.075
KRTCAP3	2.84275
PDLIM1	-0.1423
KCNS2	0.3455
RNF126	-0.510666666666667
CEP63	0.281125
CLIC4	-0.948375
hCG_1990170	-1.3505
ACR	0.8391
KLK7	-0.619
ALOX5AP	2.31825
RIPK3	4.68925
TAS2R9	-0.2925
C19orf18	0.3175
BIRC6	-0.094
ZNF16	1.5655
RFT1	-0.25525
SLC8A2	0.13225
TACC1	-1.067875
ITGAD	0.881
SAMHD1	0.8675
SH3PXD2B	0.6224
EPC2	0.10975
C20orf85	1.383375
ATP13A2	1.00666666666667
KRT4	0.531
CAPNS1	0.18925
MDM2	0.836416666666667
PCDH20	0.279333333333333
KCNK9	1.3455
OR2C1	0.419
KLHDC3	-0.391666666666667
IPPK	0.676
EFHD2	-0.23725
GALR3	0.408
NBEA	-0.266166666666667
ABCA6	2.802
CLDN3	1.453
AKT2	0.501928571428572
EGFR	-2.841
RBM16	-0.4185
ZDHHC3	-0.1484
SLC25A4	0.840166666666667
CYB5B	-1.36933333333333
CPXM1	0.135
NDRG1	-1.56053846153846
FLJ43826	0.0295
OR5L2	0.276833333333333
FARP2	0.5188
MRPL46	0.0585833333333333
LDHAL6B	-0.173666666666667
MAPKAPK3	0.2865
NCAM2	-2.98025
PRKD2	0.4975
ZFP36L1	0.1055
CYSLTR1	0.05
OR4C3	0.3325
HIST1H2AJ	4.5325
CCNB2	-2.51111111111111
ZNF10	-0.167375
TMEM175	0.234
FAM134A	0.756166666666667
TIGD4	-0.471
PCNP	0.04275
MGC39715	0.243
LQK1	-2.45525
CREB1	-0.155
TMPRSS3	-1.18925
C4orf32	2.253875
LAT	-1.396
KCNA3	0.3195
SKIV2L2	-0.7355
ROPN1B	-4.421
tcag7.23	-0.968
CDT1	-2.748875
ZHX2	1.051125
CD28	-3.29125
ZNF624	1.2975
SEPT2	-0.406583333333333
SOHLH2	-1.3675
MCOLN3	-1.33375
UNQ1945	0.4305
MASP2	-0.7755
ZNRF3	0.5432
GPATCH3	0.09925
AGL	-0.029125
QRICH2	-0.1225
PSD4	0.8535
CCNB1IP1	-1.884
ENPP7	0.16
OBFC1	1.02
KCNG3	-1.43575
C14orf79	1.77091666666667
ENPEP	0.712666666666667
SCT	1.6795
SKI	0.307125
SEC61G	-0.36875
CAPN11	0.12725
ATXN7L3	0.075
DBNDD1	-0.366166666666667
FAIM	0.6205
ANKRD36	-1.1635
GABRP	-0.272166666666667
TACSTD2	1.3875
EIF3J	0.3215
PPP2R2A	-1.63875
TEKT4	-0.401333333333333
PVALB	-1.78416666666667
F10	-2.9835
FAM134C	1.3728
COMP	4.503125
EFCBP1	-3.497375
SCLT1	-0.119625
TAL1	-1.3971
ACSL1	1.11425
ABCC5	0.85425
ABL1	-0.880555555555556
RBBP7	0.292666666666667
PTPRG	-0.169875
NCOR1	1.0982
SPINK4	-1.49533333333333
TXNRD1	-0.5673
TNRC15	0.205125
C9orf138	2.486125
UBE2H	1.604
BRDT	0.843333333333333
C8orf31	0.04375
CCNE2	-0.659181818181818
SLC6A8	-1.215625
CALCR	-4.302
PPP1CB	-0.330916666666667
ABHD8	-0.33075
ARF5	0.4609
SLC24A4	0.527
CCT3	0.2395
ZNF121	-0.12425
SLC3A2	-0.8258
OR13A1	0.3995
SLC5A10	1.136
RAD50	0.491125
IER5	-0.464
MTHFD1L	-3.027875
MBTPS2	0.2905
MVK	0.39025
NCL	-0.5891
PSMD10	0.26975
MOBP	0.077375
FLJ32894	0.0755
HRH1	-1.96466666666667
C5orf30	1.456
NUDT16L1	1.0057
RASGRP3	3.14633333333333
PRKRIP1	-0.0797
CCDC75	-0.46425
LOC253970	0.27975
KIAA1239	0.69975
MED21	-0.9565
SYT11	-0.04475
NTSR2	-0.431
EGFL11	0.69
CXorf59	0.0935
OR2A25	0.2805
SPTBN2	-2.126
LRMP	-1.46533333333333
RNF111	0.255
PTH	0.3555
LOC619208	0.582833333333333
KIAA0895	0.7505
RANBP5	-2.09025
P2RY10	0.858666666666667
NME5	5.3375
DDX21	-0.7015
LRSAM1	-0.1455
HDAC11	2.12033333333333
VMO1	1.83
NOLA2	0.389333333333333
ADAR	1.36675
MTO1	-1.57316666666667
SF4	0.191833333333333
P2RX1	0.0171666666666667
HBM	0.09525
EN2	0.679
C14orf172	0.2835
TM9SF2	-0.6097
INHBE	-1.07383333333333
TCTE3	-0.168
TOX2	-3.334
CTAGE3	1.092
HBB	3.7749
MED15	-1.03516666666667
CASR	0.826333333333333
C6orf66	-1.03066666666667
MTPN	-0.571375
UNC50	0.61325
C21orf33	0.5455
IRF2	1.37825
PGR	3.38633333333333
GPR84	2.1565
CROCCL1	-1.1115
SRPX	-2.451
BRE	-0.0515
FGF10	3.19625
SDC3	-0.732666666666667
ZRSR1	0.562333333333333
DKFZP434P211	-0.257125
SOX6	0.4075
RPUSD2	0.36625
C14orf173	0.130333333333333
MAPK11	-0.617166666666667
TBC1D22A	0.2855
FAM123A	-1.451
COL4A6	-4.192
TOMM70A	0.36975
NAB1	-0.7585
MGC16385	-0.610625
TSPAN18	-0.536666666666667
MED31	0.49275
PLG	-1.01525
CAPSL	2.892
ZNF532	0.5874
ASB14	0.0965
CA8	-3.29
NUDT16P	2.78783333333333
SLFN11	-1.5605
LRRIQ2	0.85425
NOL7	0.118666666666667
BRMS1L	-0.4765
JARID1A	-0.283
PANK2	-0.3065
ICAM3	-0.0125
MDS1	-0.8605
TAF8	-0.258
RNF139	1.38
ZNF594	0.439833333333333
ADAM8	0.908
SFTPC	-0.316625
MAN2B2	1.096125
RGS12	0.49125
EIF1AY	-4.65091666666667
LRRIQ1	0.205333333333333
GPR150	0.51275
CCDC21	-0.835
PRRG3	0.19125
SAA4	-4.31925
RAPGEF5	2.346625
ZCCHC2	0.446833333333333
MGC39372	-0.29
PPP4R2	0.159666666666667
CDCA2	-3.129
OR4D5	0.618833333333333
PTGFRN	0.4946
SIGLEC5	1.36866666666667
C19orf61	-0.145
NMUR2	-0.3415
KIAA1586	-0.8675
DAGLA	1.1725
CHCHD6	0.2625
GPR32	0.642
NEUROD6	0.2735
SLC2A4RG	0.2353125
CA5B	-0.18525
FBXL3	-0.013
MPHOSPH9	-0.70525
HMG2L1	-0.00375
HCN4	0.354
CEACAM19	1.0735
SH2D4B	0.263166666666667
HFE2	-1.1765
TGM4	-0.0146666666666667
LYPD2	0.111
TBC1D15	0.4025
MRPS21	-0.6568
NONO	-0.4368
CLEC5A	0.998375
ITCH	-0.0688
MGAT3	-1.0765
MBP	-0.29925
RPP25	-1.13175
SOSTDC1	-3.58575
HRC	-1.3715
TRIM48	0.229
TMEM133	-0.57225
ECEL1P2	-1.73525
HOXC11	-0.717
DOK5	-0.69325
HELZ	0.249333333333333
LOC348180	-0.8725
MGC33894	0.414
ADRB3	0.3885
DMD	-0.34975
PTRH2	-0.1915
MPEG1	3.005
NDUFA12	0.403666666666667
KRTAP2-4	0.1935
STAMBPL1	-1.12733333333333
ADCY2	-0.102333333333333
UNQ6125	0.018
KLHL20	-0.1035
SRM	-0.5705
OTC	-0.13475
TMIE	0.117833333333333
SNX8	-0.08475
LIPK	0.2645
CHURC1	-0.3415
KLC2	0.370833333333333
HDAC1	-0.825833333333333
FAM128A	0.744
FNDC3B	-1.2384
MTCP1	0.0168333333333333
WFDC10B	1.4471
PCDHGB3	-0.052
ATRNL1	-2.4338
CAV2	-1.339875
MED26	-0.157333333333333
DUS1L	0.93125
CHRM3	-1.806125
NEK9	0.3555
WARS2	1.17675
TBX22	-0.423
TOMM40	-1.0065
RP6-213H19.1	-1.45983333333333
TUBGCP5	0.60825
IGSF6	4.93925
TPPP	1.07433333333333
UNQ6190	-0.199
GSTM5	0.533125
BTD	0.32
PDCD1LG2	0.265666666666667
SNRPB2	-0.353666666666667
ERICH1	-0.164
APOA4	-1.891625
HOXA11	-1.876
NARG1	-0.3765
MKX	0.3145
RAB28	-0.2405
PKP3	2.08025
SH3GL2	-0.21775
CTSO	3.531
RPN2	0.5911875
IL28RA	-1.02233333333333
SFMBT1	0.9835
WDR57	-0.88825
FER1L3	1.83241666666667
HSF5	0.258
TTC9B	0.9815
C4BPA	-4.0415
ALB	-3.854
SORBS3	-0.41825
UPF2	0.35
JPH1	0.9565
AGBL2	0.715
DOPEY1	0.93
TERF1	0.412166666666667
KIF22	-0.368333333333333
NINJ1	1.537
SEC61A2	-0.100333333333333
HIST1H1D	-1.49066666666667
SFXN4	0.2725
UCP3	0.0466
ZNF703	1.36383333333333
MYL6B	-0.2525
TREM1	1.3295
OR52E6	0.546
CKMT2	0.1255
HLA-C	2.77925
SLC13A3	-2.13
TIMP4	-1.23475
SLIT2	2.1635
RSF1	0.329444444444445
LONRF1	-1.50085714285714
MON1A	0.834333333333333
CACNG6	-1.67566666666667
DPPA4	-5.1025
ZSWIM3	-0.02
ZNF804A	-0.145833333333333
CCIN	0.8265
SLC25A31	0.169
KCNMB4	-1.3825
RABL5	1.031
GALNS	-0.2757
STX6	0.402125
HIST1H1C	-1.62516666666667
CIDEB	1.08875
CASP4	-0.8065
PDK3	0.1558
KCNJ11	2.0055
TPR	-0.427
ZSCAN20	-0.887
MTX2	0.02125
HIST1H2BH	0.16475
LOC283767	1.7855
LYRM7	-0.857111111111111
BRD3	-0.2535
HIST1H2BO	0.25275
MAGEB10	0.038
SLC45A1	2.0875
SERPINA3	2.0883
KIAA0143	1.15125
KCNJ16	-0.363
KRT79	-0.44025
FABP2	-0.44675
NUT	0.00650000000000001
ZNF57	-0.19475
FBXL4	-0.241125
CLEC9A	0.874
UGT8	-1.52116666666667
BMP2K	-0.60275
MAPK4	-3.616
SLC25A23	-0.3153
HINT1	-0.026
KRTAP13-1	-0.086
SFXN5	0.029
CHCHD2	0.59475
FAM3D	1.0045
NDP	-3.926125
RHOBTB1	-1.18233333333333
SLC4A4	-1.644
RPL38	-0.0855
HTF9C	-0.219333333333333
AP2A2	0.82725
ZBTB46	-0.175
MAP7D1	0.467375
AOX1	-1.74166666666667
CYR61	0.419916666666667
DTNA	-1.83971428571429
JRKL	-1.73225
TMOD3	-0.291
EEA1	0.4649
ADCK5	0.56575
IL1R1	0.306666666666667
KLK3	0.177357142857143
HRSP12	0.7525
KTN1	-0.337
LOH11CR2A	0.5562
RELL2	-0.23225
MAB21L1	2.978
C20orf59	-1.38333333333333
PHKB	-0.28225
ADAM2	-2.05566666666667
TBC1D8B	0.773
FAM13A1	-1.294375
LAPTM4B	0.17975
LCN8	0.1855
TMEM147	0.8945
SYT4	0.139
XPO7	-1.3845
C9orf62	0.6885
GPR75	0.521
TRIM5	-0.029875
APOC1	-0.538166666666667
RNASE4	1.536
PARD6B	1.19125
ARID1A	0.373583333333333
TPD52L3	0.288
RRAGB	2.25666666666667
RCN2	-0.0996666666666667
HIST2H2BE	0.2835
STARD7	-0.24375
SHMT2	-0.89225
KIAA1751	1.5375
MLYCD	0.493125
LOC162632	0.7384
UQCRH	-1.46525
RP11-217H1.1	0.8598125
SDHA	-0.461166666666667
NCLN	-0.0942
ZNF17	0.231833333333333
RCBTB2	-2.3385
VEGFB	-1.4874
RP4-747L4.3	-0.2405
COLQ	0.5614
MPN2	-0.264333333333333
DRG2	0.40475
KLRB1	4.75975
ALPK2	-2.03525
DNASE2B	0.7065
FLJ23834	-0.693333333333333
AXUD1	1.2355
SAFB	-0.3621
NSUN4	0.1285
RFX2	-0.465333333333333
MAPK8IP1	-0.284
FANCD2	-1.10414285714286
ANKZF1	-1.47766666666667
C19orf50	-0.85825
DUSP8	2.365125
SENP5	0.065875
NFKBIL2	-0.09525
LBR	-1.40825
IGFL1	0.0875
LZTS2	0.799
IL2RG	-0.2475
CCDC51	0.5555
KLF3	0.0365
ANKRD37	0.0845
KCTD14	-2.195
FZR1	0.242666666666667
SLC44A4	3.7524
ESPL1	-0.912375
GMPR2	0.5862
TBC1D19	-0.335666666666667
ERGIC1	1.13096296296296
ERBB4	0.0417
TSPAN32	0.854833333333333
MAP4	0.034375
GPHN	0.50825
SLC6A2	-0.146875
HIVEP1	0.58625
DFFB	-0.5793
EIF4EBP2	0.811875
DMRT1	0.1295
HSPB6	0.1795
IER2	-0.297833333333333
AIFM1	0.603
WWC2	-1.11533333333333
MRPL4	-0.553
FLJ21062	0.726333333333333
EPB41L4A	0.394666666666667
SH2D6	0.19575
TAF4B	0.1695
GAL3ST3	0.011
MALT1	-1.16883333333333
RTDR1	0.9415
ARVCF	-0.033625
MEX3B	-1.589
FBXO16	0.65375
KIF7	-1.30275
C1QC	4.17866666666667
ZNF783	-0.206166666666667
ZNF85	-0.48525
MMP13	2.6045
KIAA0329	0.8675
RTP3	-0.382
ZBED3	0.9065
CLGN	-4.798
SLC25A37	-2.35220833333333
hCG_18290	-0.2665
OR5AS1	0.2025
SMARCC2	0.426666666666667
FAM109A	0.124666666666667
CCDC12	-0.01
USF2	0.3202
DEPDC7	-2.36825
C20orf24	-0.0621666666666667
JMJD3	0.4715
DSP	-3.46428571428572
SLIC1	0.419
FAM20A	0.78025
IRF2BP2	-0.111125
ZNF230	-0.02
MSN	-1.082
SLC9A5	-1.685
EPDR1	-1.1107
MUSK	0.0151666666666667
ZNF434	0.576166666666667
SMARCD1	-0.297166666666667
ZFP106	0.207
