Hybridization REF	TCGA-BH-A0DK-11A-13R-A089-07
SLC25A24	0.883666666666667
C14orf50	1.7245
MRO	0.0591666666666667
SLC25A15	-0.19325
FAM84B	0.7771
TDP1	-0.6285
C16orf78	0.146333333333333
C11orf57	-0.2935
RFK	-0.133375
ZFYVE9	0.592625
STCH	-0.6026
WIBG	0.30525
LOC283871	-0.547333333333333
GBA2	-0.3685
NDUFB3	0.09025
HSD17B13	1.00725
GRIN3A	1.01716666666667
FMNL1	-1.325
SEPT7	-0.0049
GNLY	1.589
GRAMD1C	2.02316666666667
ZNF165	0.6615
USP38	1.22325
FAM83A	-3.0055
C14orf24	1.19966666666667
ARMCX3	1.625
ARHGDIB	0.747833333333333
AK1	-0.000125000000000002
KIAA1045	0.44575
DNAJB13	-0.4745
NEU2	0.4695
HIST1H4B	-1.43916666666667
FAM20B	-0.5995
HES2	0.682
FAM73B	-0.5554
LOC388381	0.11975
INTS7	-0.551818181818182
AMPH	1.6575
ZNF775	-1.547125
UCKL1	-1.326
C10orf97	1.2095
C1orf161	1.03225
ALDH1L1	-0.12575
FLJ39378	-0.213625
SLC23A1	-2.017
RBM4B	0.39175
THAP4	-0.1525
OGFRL1	1.23525
KIAA0831	0.456125
PPP1R15A	0.603166666666667
C1orf96	-0.583071428571429
C12orf11	-1.3355
BMF	-0.448875
MAN1A1	0.04475
KIAA1600	0.947
NLGN4X	1.68725
ALOX12	-0.9635
RB1CC1	-0.324
NEIL2	0.1721
EIF4E	0.326727272727273
ABHD5	0.6645
EXOC4	-0.374333333333333
CIP29	-0.081
BATF2	-0.2235
SLC29A4	-1.189
HTR4	0.444
EMB	-0.525
TRAF6	0.8905
LMNB1	-2.7215
FAM19A5	-1.308875
SHE	1.58625
PIK3C2B	1.59025
C15orf15	-0.0345
USP15	0.3799
TCEAL2	1.86575
C5orf39	-1.43416666666667
PTGER2	-1.193
SLC31A1	0.2913125
IFT172	0.579
ADAM29	-0.04175
GFOD1	0.21525
ST7L	1.18716666666667
C15orf26	-2.74975
PKN3	-1.06
CNTD1	3.115
COMMD1	0.599875
NTRK2	4.80491666666667
FOXN3	0.45075
MFGE8	0.7491
PFKFB2	1.5805
TAS2R4	-0.4695
ENTHD1	-0.4235
PRMT5	-0.898
MGC16384	-1.776625
LOC442229	-0.75325
TSKU	2.488375
KRTCAP3	1.79275
PDLIM1	1.1107
KCNS2	0.04475
RNF126	-0.558166666666667
CEP63	0.26375
CLIC4	0.30725
hCG_1990170	2.514
ACR	0.5925
KLK7	4.88875
ALOX5AP	2.236
RIPK3	2.32725
TAS2R9	0.04
C19orf18	2.205
BIRC6	0.588142857142857
ZNF16	0.495
RFT1	-0.758
SLC8A2	-0.332
TACC1	0.0705
ITGAD	1.1475
SAMHD1	0.6625
SH3PXD2B	0.9501
EPC2	0.8995
C20orf85	0.611125
ATP13A2	0.1815
KRT4	0.262625
CAPNS1	0.30525
MDM2	-0.942583333333333
PCDH20	2.3885
KCNK9	0.1225
OR2C1	-0.2145
KLHDC3	-1.09966666666667
IPPK	0.899
EFHD2	-0.744125
GALR3	-1.7595
NBEA	1.25233333333333
ABCA6	3.7562
CLDN3	2.06583333333333
AKT2	-0.453214285714286
EGFR	0.8124
RBM16	0.731
ZDHHC3	0.3117
SLC25A4	0.515166666666667
CYB5B	0.231666666666667
CPXM1	-0.38175
NDRG1	-1.23930769230769
FLJ43826	0.931
OR5L2	-0.379
FARP2	0.0846
MRPL46	-0.557666666666667
LDHAL6B	0.179833333333333
MAPKAPK3	-0.649666666666667
NCAM2	-0.25825
PRKD2	-0.559166666666667
ZFP36L1	1.3897
CYSLTR1	0.014
OR4C3	0.46675
HIST1H2AJ	1.357
CCNB2	-3.91666666666667
ZNF10	0.449875
TMEM175	-0.1955
FAM134A	0.318833333333333
TIGD4	0.5965
PCNP	0.0135
MGC39715	0.62125
LQK1	-0.09475
CREB1	0.8104
TMPRSS3	0.07175
C4orf32	1.672875
LAT	-2.3665
KCNA3	-0.342
SKIV2L2	-0.393
ROPN1B	1.967
tcag7.23	0.123
CDT1	-4.10575
ZHX2	0.697625
CD28	-4.017
ZNF624	0.9495
SEPT2	0.51525
SOHLH2	0.88325
MCOLN3	0.244625
UNQ1945	-0.1155
MASP2	-0.408
ZNRF3	0.0663
GPATCH3	-0.441
AGL	0.606375
QRICH2	0.0115
PSD4	0.682
CCNB1IP1	-0.8415
ENPP7	0.19525
OBFC1	0.33225
KCNG3	-2.118
C14orf79	0.394583333333333
ENPEP	1.63383333333333
SCT	-0.4235
SKI	-0.20625
SEC61G	-1.1815
CAPN11	2.04625
ATXN7L3	-0.4955
DBNDD1	0.401666666666667
FAIM	0.82125
ANKRD36	-1.278
GABRP	4.18966666666667
TACSTD2	2.895
EIF3J	-0.434
PPP2R2A	0.17875
TEKT4	-0.898166666666667
PVALB	-2.90683333333333
F10	-2.23533333333333
FAM134C	0.5051
COMP	3.07525
EFCBP1	-0.863
SCLT1	0.20175
TAL1	-0.9413
ACSL1	4.14775
ABCC5	-1.18116666666667
ABL1	-0.736444444444444
RBBP7	-0.276583333333333
PTPRG	-0.28175
NCOR1	0.2895
SPINK4	-1.51783333333333
TXNRD1	-1.5545
TNRC15	0.394875
C9orf138	1.378125
UBE2H	1.191
BRDT	0.684666666666667
C8orf31	-0.1125
CCNE2	-2.23072727272727
SLC6A8	-2.32125
CALCR	-2.81275
PPP1CB	1.46908333333333
ABHD8	-0.82925
ARF5	-0.0597
SLC24A4	0.51675
CCT3	-0.6355
ZNF121	0.193
SLC3A2	-0.832
OR13A1	-0.062
SLC5A10	-0.15
RAD50	0.113375
IER5	-1.124375
MTHFD1L	-2.721
MBTPS2	-0.079
MVK	1.7005
NCL	-0.3589
PSMD10	0.56375
MOBP	-0.183875
FLJ32894	-0.2535
HRH1	-1.044
C5orf30	0.63275
NUDT16L1	0.2792
RASGRP3	2.935
PRKRIP1	-0.5575
CCDC75	-0.3645
LOC253970	0.04325
KIAA1239	0.29
MED21	-0.03275
SYT11	-0.532
NTSR2	0.0205
EGFL11	-0.328
CXorf59	0.4225
OR2A25	-0.16975
SPTBN2	-0.16375
LRMP	-0.998166666666667
RNF111	0.3565
PTH	-0.6705
LOC619208	0.039
KIAA0895	1.13225
RANBP5	-0.78275
P2RY10	0.0345
NME5	4.04383333333333
DDX21	-0.501
LRSAM1	-0.106
HDAC11	0.6595
VMO1	0.83725
NOLA2	-0.246666666666667
ADAR	-0.4565
MTO1	-0.347666666666667
SF4	-0.319166666666667
P2RX1	0.489166666666667
HBM	-0.0215
EN2	-1.513
C14orf172	-0.3775
TM9SF2	1.2818
INHBE	-0.769
TCTE3	-0.223416666666667
TOX2	-3.099
CTAGE3	0.89025
HBB	3.6789
MED15	-0.990166666666667
CASR	0.594
C6orf66	-0.4765
MTPN	-0.47975
UNC50	0.75325
C21orf33	0.319375
IRF2	1.341625
PGR	3.357
GPR84	1.16025
CROCCL1	-1.86375
SRPX	0.24375
BRE	0.204
FGF10	2.3655
SDC3	1.224
ZRSR1	0.117
DKFZP434P211	-0.81825
SOX6	-0.2865
RPUSD2	-0.49425
C14orf173	-0.540666666666667
MAPK11	-1.02266666666667
TBC1D22A	-0.1175
FAM123A	-0.317
COL4A6	0.526333333333333
TOMM70A	0.6035
NAB1	0.28975
MGC16385	-0.066375
TSPAN18	-1.18316666666667
MED31	0.259
PLG	-0.517
CAPSL	1.592
ZNF532	0.9242
ASB14	0.189
CA8	1.01525
NUDT16P	0.851
SLFN11	-0.4955
LRRIQ2	-0.068
NOL7	-0.854666666666667
BRMS1L	0.284625
JARID1A	-0.0411666666666667
PANK2	-0.3105
ICAM3	-0.97
MDS1	-0.53875
TAF8	-0.5325
RNF139	0.557
ZNF594	0.319833333333333
ADAM8	0.41825
SFTPC	-0.54775
MAN2B2	1.44825
RGS12	0.2346875
EIF1AY	-4.66408333333333
LRRIQ1	0.687833333333333
GPR150	-1.72025
CCDC21	-1.53116666666667
PRRG3	1.036
SAA4	-1.31575
RAPGEF5	0.3845
ZCCHC2	0.03
MGC39372	0.826
PPP4R2	0.546333333333333
CDCA2	-3.1665
OR4D5	0.336666666666667
PTGFRN	0.3722
SIGLEC5	0.9125
C19orf61	-0.8925
NMUR2	0.23
KIAA1586	-0.3055
DAGLA	0.729666666666667
CHCHD6	-0.5635
GPR32	0.377
NEUROD6	0.112333333333333
SLC2A4RG	-0.3399375
CA5B	0.524
FBXL3	1.61975
MPHOSPH9	-1.8045
HMG2L1	0.57875
HCN4	-1.38533333333333
CEACAM19	0.072
SH2D4B	0.569833333333333
HFE2	-0.508
TGM4	0.0626666666666667
LYPD2	0.003
TBC1D15	0.1345
MRPS21	-0.6301
NONO	-0.7808
CLEC5A	0.87175
ITCH	-0.2025
MGAT3	-0.803333333333333
MBP	0.17825
RPP25	-1.4265
SOSTDC1	3.21675
HRC	-1.3955
TRIM48	0.217
TMEM133	0.57525
ECEL1P2	-1.339
HOXC11	0.387
DOK5	0.588
HELZ	0.124333333333333
LOC348180	-1.45725
MGC33894	0.2015
ADRB3	0.0525
DMD	0.937083333333333
PTRH2	-0.33075
MPEG1	2.13283333333333
NDUFA12	-0.317333333333333
KRTAP2-4	-0.35625
STAMBPL1	-1.08266666666667
ADCY2	0.977666666666667
UNQ6125	0.1785
KLHL20	0.354166666666667
SRM	-0.97925
OTC	0.16
TMIE	0.6175
SNX8	-1.23
LIPK	1.2415
CHURC1	0.122
KLC2	-0.197333333333333
HDAC1	0.340166666666667
FAM128A	-0.267166666666667
FNDC3B	-0.4923
MTCP1	0.00183333333333333
WFDC10B	0.0728
PCDHGB3	0.4055
ATRNL1	-0.8076
CAV2	1.4145
MED26	-0.0526666666666667
DUS1L	0.1655
CHRM3	-1.291625
NEK9	0.521
WARS2	-0.272
TBX22	-0.2105
TOMM40	-1.2205
RP6-213H19.1	-1.26966666666667
TUBGCP5	0.077
IGSF6	4.30575
TPPP	0.973166666666667
UNQ6190	-0.453
GSTM5	4.159125
BTD	1.2305
PDCD1LG2	0.626333333333333
SNRPB2	-0.699666666666667
ERICH1	-0.187625
APOA4	-1.42857142857143
HOXA11	-2.2275
NARG1	-0.3215
MKX	-0.667
RAB28	0.4525
PKP3	0.82825
SH3GL2	-1.15525
CTSO	4.34775
RPN2	-0.0938125
IL28RA	0.5735
SFMBT1	0.62675
WDR57	-0.138625
FER1L3	1.5025
HSF5	0.0296666666666667
TTC9B	-0.29025
C4BPA	-1.866
ALB	-3.21357142857143
SORBS3	0.426875
UPF2	0.445
JPH1	-0.5595
AGBL2	0.7605
DOPEY1	2.0025
TERF1	0.113
KIF22	-1.65016666666667
NINJ1	0.88625
SEC61A2	-0.250666666666667
HIST1H1D	-0.169
SFXN4	-0.2165
UCP3	-0.1097
ZNF703	-0.278
MYL6B	-0.753
TREM1	1.134
OR52E6	0.5275
CKMT2	2.85775
HLA-C	0.730125
SLC13A3	-0.632166666666667
TIMP4	-0.6765
SLIT2	3.2635
RSF1	0.183166666666667
LONRF1	0.162428571428571
MON1A	-0.0255
CACNG6	-2.90466666666667
DPPA4	-5.7615
ZSWIM3	-0.43775
ZNF804A	-0.0503333333333333
CCIN	0.677
SLC25A31	-0.33025
KCNMB4	0.00675
RABL5	0.369375
GALNS	-0.4697
STX6	-0.032
HIST1H1C	1.47966666666667
CIDEB	-0.083875
CASP4	0.337166666666667
PDK3	-0.5671
KCNJ11	0.9805
TPR	-0.546125
ZSCAN20	-0.8265
MTX2	-0.09725
HIST1H2BH	0.637
LOC283767	0.33175
LYRM7	-0.657277777777778
BRD3	-0.6045
HIST1H2BO	0.4235
MAGEB10	0.713
SLC45A1	0.83625
SERPINA3	2.22665
KIAA0143	1.374
KCNJ16	4.03533333333333
KRT79	0.727
FABP2	-0.88225
NUT	0.3305
ZNF57	1.0055
FBXL4	0.693
CLEC9A	1.803
UGT8	0.3985
BMP2K	0.8545
MAPK4	-2.26725
SLC25A23	-0.4352
HINT1	-0.5451
KRTAP13-1	0.9655
SFXN5	-0.0822
CHCHD2	-0.0221666666666667
FAM3D	3.526
NDP	-2.3245
RHOBTB1	-0.909
SLC4A4	-0.522625
RPL38	-0.1285
HTF9C	-0.971333333333333
AP2A2	0.201625
ZBTB46	-0.22
MAP7D1	-0.02825
AOX1	-0.496
CYR61	2.36333333333333
DTNA	0.343785714285714
JRKL	0.488
TMOD3	0.30375
EEA1	0.3623
ADCK5	-1.00225
IL1R1	2.04983333333333
KLK3	0.997642857142857
HRSP12	0.0945
KTN1	0.3835
LOH11CR2A	1.5712
RELL2	-1.64525
MAB21L1	3.14925
C20orf59	-1.161
PHKB	1.2675
ADAM2	-0.446666666666667
TBC1D8B	1.744
FAM13A1	0.3145625
LAPTM4B	-0.9485
LCN8	-0.1095
TMEM147	0.585
SYT4	0.035
XPO7	-1.2045
C9orf62	-2.26275
GPR75	0.7225
TRIM5	1.2675
APOC1	0.653666666666667
RNASE4	2.10816666666667
PARD6B	-1.762625
ARID1A	0.0413333333333333
TPD52L3	0.1196
RRAGB	0.959
RCN2	-0.148833333333333
HIST2H2BE	0.5545
STARD7	-0.71075
SHMT2	-1.624
KIAA1751	1.40816666666667
MLYCD	0.655125
LOC162632	-0.0698
UQCRH	-1.657
RP11-217H1.1	0.8620625
SDHA	-1.22016666666667
NCLN	-0.7393
ZNF17	0.533833333333333
RCBTB2	-0.8895
VEGFB	-0.2944
RP4-747L4.3	0.24975
COLQ	0.2681
MPN2	-0.4935
DRG2	-0.07675
KLRB1	4.83175
ALPK2	0.1835
DNASE2B	4.8055
FLJ23834	0.923833333333333
AXUD1	2.71133333333333
SAFB	-0.5789
NSUN4	-0.634
RFX2	0.942833333333333
MAPK8IP1	-0.133
FANCD2	-1.27257142857143
ANKZF1	-1.5945
C19orf50	-0.220125
DUSP8	1.54325
SENP5	-0.33575
NFKBIL2	-1.38375
LBR	-1.93475
IGFL1	0.204
LZTS2	-0.57025
IL2RG	-0.95175
CCDC51	-0.34575
KLF3	0.45275
ANKRD37	0.33725
KCTD14	2.087
FZR1	-0.318083333333333
SLC44A4	2.2909
ESPL1	-1.684375
GMPR2	0.1825
TBC1D19	0.00233333333333334
ERGIC1	0.581185185185185
ERBB4	2.6591
TSPAN32	0.411916666666667
MAP4	-0.335125
GPHN	0.29175
SLC6A2	0.87225
HIVEP1	0.421
DFFB	-0.4816
EIF4EBP2	0.274125
DMRT1	-0.5405
HSPB6	0.4615
IER2	1.17466666666667
AIFM1	0.61675
WWC2	0.636083333333333
MRPL4	-1.0465
FLJ21062	1.66333333333333
EPB41L4A	1.25691666666667
SH2D6	-0.01225
TAF4B	0.26825
GAL3ST3	-0.29
MALT1	-0.555333333333333
RTDR1	-0.08825
ARVCF	0.25225
MEX3B	-0.866833333333333
FBXO16	1.078
KIF7	-1.1925
C1QC	3.15483333333333
ZNF783	-0.6495
ZNF85	1.5095
MMP13	-0.8125
KIAA0329	0.971875
RTP3	-1.4585
ZBED3	-0.19425
CLGN	-0.80625
SLC25A37	-1.20704166666667
hCG_18290	0.0435
OR5AS1	0.276
SMARCC2	-0.268
FAM109A	-0.343
CCDC12	0.05575
USF2	0.0188
DEPDC7	-3.19575
C20orf24	-0.682666666666667
JMJD3	0.6685
DSP	1.41828571428571
SLIC1	-0.162375
FAM20A	1.3285
IRF2BP2	0.807625
ZNF230	0.2295
MSN	-0.789785714285714
SLC9A5	-1.8925
EPDR1	-0.7989
MUSK	-0.255333333333333
ZNF434	-0.084
SMARCD1	-0.677166666666667
ZFP106	0.00425
ZNF347	0.4979
GTF2E1	0.19825
