Hybridization REF	TCGA-AN-A0AJ-01A-11R-A00Z-07
GPHB5	0.27625
OR4C13	0.379
EIF3EIP	-0.0594285714285715
HABP4	-1.0565
TMEM125	2.55975
CNTN2	-0.03275
ASNSD1	0.51025
FUT4	-0.117625
ACF	-3.5135
LOC158381	-0.134
CDH8	0.031
AGPS	-1.42033333333333
C4orf18	1.645875
PECI	0.427166666666667
UNG	0.077125
GSTP1	-2.367625
DCUN1D5	-1.122
DKFZP564J0863	-0.49675
SLC9A3R1	1.523625
BCDO2	-1.396375
CHMP7	-0.472375
REM2	0.223
DNHD1	-0.172125
FKBP4	0.155125
ZNF350	2.29175
MGC11102	1.046
BST1	1.32425
KISS1R	0.727
NCR2	0.678
DEFB125	0.055
UBE2W	1.67675
KRT15	2.25975
C10orf99	0.4025
SCN11A	0.301625
GFI1	-1.73325
RDHE2	-0.5965
FHL1	-1.81166666666667
OSGEP	0.0596666666666667
GATA1	-3.21866666666667
SMC6	-0.78775
TTTY14	-1.103
LPIN3	0.031
RPL4	-0.3646
RBPMS	-1.507
PRPF3	1.95216666666667
EMR1	-2.3815
SPATA19	-0.12775
XCR1	0.4385
IRX3	1.3479
RBM6	-0.36425
KLF4	-0.4951
UNC5CL	0.9085
SEBOX	0.316
BTK	0.1085
KRCC1	0.077
C6orf27	0.409
SYTL5	-1.0095
PRND	0.38
LOC653319	-1.4445
PIGL	-2.123375
HUS1	-0.794833333333333
SFRS6	-0.0501666666666667
C17orf77	0.011
UIMC1	-0.1605
FXYD2	-1.3911
LOC283152	0.22475
ZNF667	-1.7285
ZCCHC12	-0.10325
TFEC	3.9112
ATP7B	-0.291833333333333
POLD2	-1.02733333333333
RG9MTD1	0.671
ACOT2	0.593333333333333
HIST1H4I	-0.895
PPARGC1A	-2.493
ETFA	-1.0842
POLRMT	-0.28
ZNF146	0.20225
MIA2	-1.7255
KLHL6	0.640833333333333
HOXB5	-1.1185
NENF	0.343333333333333
CUGBP1	0.03175
PRSS22	1.21783333333333
CASC4	0.6578
CUL4B	-0.0707
CENPJ	-1.3261
PITX1	1.55166666666667
FLJ31033	1.38783333333333
CELSR3	-0.520166666666667
ZNF568	0.899
ITSN1	-0.252333333333333
EHBP1L1	-0.484666666666667
C19orf2	0.15875
DCTN1	0.575
LIN28B	-3.76833333333333
TNKS2	0.3085
C1QBP	0.939375
CADPS2	0.697
SRMS	0.59125
GJA9	0.183833333333333
MGC24975	0.0841666666666667
TRIM45	-1.2155
TSP50	-0.16725
TCP1	-0.77725
TMED7	0.0946
CMA1	0.674
CENPL	0.0916666666666667
PTCRA	0.3025
FST	-4.03125
VWCE	-3.90625
PAWR	-0.055
ABCC12	0.951333333333333
LDLR	-0.3731
ASTN2	1.6394
LOC441212	0.70575
GPATCH8	-0.11975
TANC2	0.0913333333333334
KIF4A	-0.57075
C18orf18	-1.44725
PGM1	-1.307
KIAA0258	-0.7535
CPD	0.580375
SNCAIP	-1.17075
DCT	-4.011
HLA-DOA	3.14477272727273
OR11L1	0.4305
UPK1B	-0.503833333333333
DNAJB4	-1.1015
UGT1A8	-0.2945
HIST1H4L	-0.333
PECR	-1.30316666666667
HSPA2	1.3575
WFIKKN1	-3.166
SERP1	0.764375
SYDE2	-0.31625
TACR2	0.571
NUP85	0.239
CD177	0.022
LGR5	-1.925
PIGG	-0.0406666666666667
PTHR1	-1.7175
RAB5A	-0.0381
FLJ13224	-0.2395
USP9Y	-1.38416666666667
C7orf53	-0.9575
LRP1B	-0.874
XAF1	1.8055
ABCG8	-0.2705
ANKDD1A	-0.8615
DAND5	-2.392
SPAG6	0.172666666666667
LINCR	1.1355
ZDHHC22	-1.433625
CCDC60	-0.1125
THOC7	-0.497333333333333
TCTA	0.6927
OR8K3	0.37775
NY-REN-7	-0.6875
B2M	1.9475
C6orf141	2.02325
LPPR4	1.839
SQLE	0.41775
SEPHS1	2.2095
BTBD14B	0.118357142857143
PLRG1	0.92425
SPG7	-1.002125
ZNF614	0.47
PARD6G	0.604666666666667
INPP5B	-0.635
GRPEL2	0.99675
PPID	0.0566
TRIM56	-0.93275
UBE2J1	-0.19525
IL20RA	3.05825
LOC387856	0.3035
C1orf107	0.66525
UTS2R	0.5165
C19orf22	-0.19275
SAFB2	-0.33775
KIAA0652	0.270625
KLRG1	-0.0765
MS4A8B	1.14483333333333
FRAG1	0.12625
KIAA1546	0.526
E2F4	-0.9717
CLEC4M	0.0601666666666667
BTBD14A	-0.13075
KIAA0999	0.0932
GYPA	-3.42266666666667
TAC1	-0.7301
TRAIP	-0.0718333333333333
KIAA0232	1.1985
ERCC8	-1.025375
GPX4	0.08575
KIAA0368	-0.017375
GPR157	-0.340666666666667
CTAGE4	-0.305
C9orf30	-0.859166666666667
OR52A1	0.145
HSP90B3P	-0.4355
ALG9	-0.6198
BTBD10	0.845
SDK2	-0.086
BAIAP3	1.89525
RABGGTB	-0.58575
ANKRD40	1.645
KRT74	-0.315
CALCOCO2	1.11721428571429
SNCA	-3.50025
TMSL8	-0.174
C2orf53	0.0655
ESRRB	-0.11275
ARHGAP26	-1.25725
TDRD9	-2.47125
HRAS	0.913166666666667
KLRC4	-1.9075
JAGN1	-0.441
BSDC1	-0.0865
RNF43	-0.473
NDUFAF1	0.48225
PHF12	0.859
OR1L3	0.6125
FOLR2	2.1595
LYZL6	0.241
tcag7.1260	-1.5425
WSB1	-1.2935
PROS1	-1.6854
OSTN	0.6635
PSMB8	0.6745
SOCS4	-0.317
DDIT4L	2.36825
MAS1	0.5525
MGC34796	0.76975
CSHL1	-0.0798333333333334
TBCCD1	0.353166666666667
ZBTB7C	0.2575
AP2S1	-0.2655
P15RS	0.3599
VAT1	-1.0069
SHANK3	0.194166666666667
TUFM	0.087
THEG	0.0805
KRT34	-2.04975
SGSM3	-0.045875
TOMM22	-0.623375
SOCS3	0.744166666666667
CPO	0.225
POP4	0.411
BHLHB3	0.25425
MALL	0.70475
OR1B1	0.198
PARK2	0.2245
GPR124	0.126875
LCE1E	0.443
RUVBL2	0.191
CGRRF1	0.3658
ACPL2	1.434
WNT10B	0.28125
BAIAP2L2	-2.2695
ISCA1	0.1405
C1orf125	2.25925
RPAP1	-0.48075
RAI16	-0.589166666666667
RPL27	-0.518375
NLRP9	0.136
EPN1	0.4915
LOC388610	-2.32075
SLC35A1	0.4535
GAL	-4.3225
SLC14A2	0.60475
RDH11	-0.831
FAM138F	-0.091
AUH	-0.42525
FLJ40243	-0.39925
C14orf129	0.367666666666667
MBD2	-0.4795
ABHD14B	0.044625
PIGT	0.519
ALS2CR4	-0.961
ALAS1	1.1192
FOXO1	0.726166666666667
CRLF3	-0.37975
C20orf107	0.422
FARS2	0.79925
CCDC28A	0.48025
NPHP3	-0.994
OR13F1	0.626
TSEN54	-0.09975
DEFB106B	-0.2383
OR8B4	0.869
STH	1.46
ZC3H14	-0.346375
CBX2	-0.7805
TMEM49	-1.3705
C6orf21	0.7945
FLJ20920	0.32875
CRTAP	-0.544071428571429
DDX50	-0.55125
STYXL1	0.43525
BLVRB	-0.037
LOC147650	-1.31416666666667
MMP24	0.30325
GRID1	1.32683333333333
BANF1	0.3995
CTAGEP	-0.0025
HMBS	-2.391
SLC25A24	-0.241
C14orf50	-0.8275
MRO	-0.572166666666667
SLC25A15	-1.3155
FAM84B	2.4234
TDP1	0.0965
C16orf78	-0.00949999999999999
C11orf57	0.248625
RFK	-0.48425
ZFYVE9	-0.4445
STCH	-0.471
WIBG	0.799
LOC283871	0.2205
GBA2	-0.7318
NDUFB3	-1.288
HSD17B13	-0.7195
GRIN3A	2.00083333333333
FMNL1	0.00583333333333333
SEPT7	-0.597
GNLY	4.222
GRAMD1C	-0.0743333333333333
ZNF165	1.741
USP38	1.4525
FAM83A	-2.84666666666667
C14orf24	0.166083333333333
ARMCX3	0.236
ARHGDIB	0.349666666666667
AK1	0.2765
KIAA1045	-0.6845
DNAJB13	0.622
NEU2	0.4235
HIST1H4B	0.0175
FAM20B	0.1332
HES2	0.994571428571429
FAM73B	-0.3304
LOC388381	-0.217
INTS7	-0.396909090909091
AMPH	1.8005
ZNF775	-0.012125
UCKL1	-0.160666666666667
C10orf97	1.15225
C1orf161	0.125
ALDH1L1	-1.6135
FLJ39378	-0.607
SLC23A1	0.185
RBM4B	0.11225
THAP4	0.0631666666666667
OGFRL1	0.8265
KIAA0831	0.218
PPP1R15A	0.457166666666667
C1orf96	0.643285714285714
C12orf11	-0.809
BMF	1.368125
MAN1A1	0.52125
KIAA1600	-0.0111666666666666
NLGN4X	-1.5385
ALOX12	-1.27566666666667
RB1CC1	1.1652
NEIL2	-0.8464
EIF4E	-0.0613636363636364
ABHD5	0.0075
EXOC4	-0.593
CIP29	-0.496
BATF2	1.4795
SLC29A4	0.0605
HTR4	0.46575
EMB	-1.21775
TRAF6	0.9795
LMNB1	-1.471
FAM19A5	-0.729125
SHE	0.5405
PIK3C2B	-0.088
C15orf15	-0.3001
USP15	-0.3125
TCEAL2	0.57975
C5orf39	-0.109166666666667
PTGER2	-0.2315
SLC31A1	-0.3986875
IFT172	0.25725
ADAM29	0.0905
GFOD1	-1.31975
ST7L	0.414666666666667
C15orf26	-3.0375
PKN3	-1.267
CNTD1	3.76066666666667
COMMD1	0.26925
NTRK2	1.29675
FOXN3	0.27325
MFGE8	-1.0015
PFKFB2	1.26433333333333
TAS2R4	0.03175
ENTHD1	1.55466666666667
PRMT5	-0.263125
MGC16384	-1.7945
LOC442229	0.585
TSKU	-0.1535
KRTCAP3	2.046625
PDLIM1	0.7568
KCNS2	0.501
RNF126	-0.835
CEP63	-0.0395
CLIC4	-0.677875
hCG_1990170	-1.30475
ACR	0.5034
KLK7	0.8185
ALOX5AP	2.865625
RIPK3	2.95625
TAS2R9	0.3485
C19orf18	1.4785
BIRC6	-0.192785714285714
ZNF16	2.399
RFT1	-0.52575
SLC8A2	0.4105
TACC1	-0.2575
ITGAD	1.49475
SAMHD1	1.80375
SH3PXD2B	0.8399
EPC2	0.0215
C20orf85	1.940125
ATP13A2	0.576833333333333
KRT4	0.5615
CAPNS1	0.01425
MDM2	-0.183
PCDH20	1.473
KCNK9	0.6475
OR2C1	0.0465
KLHDC3	0.233333333333333
IPPK	0.488
EFHD2	-0.08775
GALR3	0.46375
NBEA	-0.509
ABCA6	2.5998
CLDN3	1.62666666666667
AKT2	0.301785714285714
EGFR	-2.7068
RBM16	0.376
ZDHHC3	0.3436
SLC25A4	-0.844833333333333
CYB5B	-1.0995
CPXM1	0.29375
NDRG1	1.92569230769231
FLJ43826	0.31525
OR5L2	0.0568333333333334
FARP2	0.1253
MRPL46	-0.38125
LDHAL6B	0.351333333333333
MAPKAPK3	-0.0878333333333333
NCAM2	0.97275
PRKD2	0.639666666666667
ZFP36L1	0.4633
CYSLTR1	-0.70675
OR4C3	0.7395
HIST1H2AJ	1.241
CCNB2	-0.891777777777778
ZNF10	-2.292625
TMEM175	0.3845
FAM134A	0.923166666666667
TIGD4	-0.358
PCNP	-0.065
MGC39715	0.054
LQK1	-1.072
CREB1	0.2124
TMPRSS3	-1.57725
C4orf32	1.307625
LAT	-0.68
KCNA3	0.18
SKIV2L2	-0.4515
ROPN1B	-1.1725
tcag7.23	-0.61
CDT1	-1.324875
ZHX2	1.207125
CD28	-1.993
ZNF624	0.5385
SEPT2	-0.281666666666667
SOHLH2	-2.162125
MCOLN3	0.016625
UNQ1945	0.602
MASP2	-0.5765
ZNRF3	0.1111
GPATCH3	-0.0655
AGL	0.691375
QRICH2	-0.016
PSD4	0.242666666666667
CCNB1IP1	-1.49875
ENPP7	0.3435
OBFC1	0.000499999999999997
KCNG3	-1.6225
C14orf79	0.602083333333333
ENPEP	1.51566666666667
SCT	2.3875
SKI	0.496875
SEC61G	-1.0945
CAPN11	0.17625
ATXN7L3	0.0145
DBNDD1	-0.084
FAIM	0.1325
ANKRD36	-1.383
GABRP	-0.954
TACSTD2	1.8985
EIF3J	-0.488
PPP2R2A	-1.131
TEKT4	1.06983333333333
PVALB	-0.443166666666667
F10	-3.01533333333333
FAM134C	0.8406
COMP	3.78325
EFCBP1	-3.0956875
SCLT1	-0.24225
TAL1	-1.6666
ACSL1	0.80275
ABCC5	1.79316666666667
ABL1	0.271944444444444
RBBP7	0.461416666666667
PTPRG	-0.30475
NCOR1	-0.2915
SPINK4	-0.984833333333333
TXNRD1	-0.1153
TNRC15	0.0835
C9orf138	0.422
UBE2H	0.2835
BRDT	0.176833333333333
C8orf31	-0.076
CCNE2	1.28445454545455
SLC6A8	-1.534
CALCR	-3.96875
PPP1CB	0.422916666666667
ABHD8	-0.55925
ARF5	-0.3246
SLC24A4	1.17425
CCT3	0.3585
ZNF121	1.581375
SLC3A2	0.0709
OR13A1	0.572
SLC5A10	-0.16175
RAD50	-0.493125
IER5	-0.131
MTHFD1L	-2.7985
MBTPS2	0.549
MVK	0.004125
NCL	0.1496
PSMD10	0.41825
MOBP	0.37175
FLJ32894	-0.2145
HRH1	-0.848666666666667
C5orf30	0.623
NUDT16L1	0.6972
RASGRP3	3.36983333333333
PRKRIP1	-0.646
CCDC75	-0.36625
LOC253970	-0.203
KIAA1239	-0.10425
MED21	0.41425
SYT11	0.53175
NTSR2	-0.711
EGFL11	-0.6185
CXorf59	1.1205
OR2A25	0.2305
SPTBN2	1.8975
LRMP	-1.28933333333333
RNF111	-0.17075
PTH	0.11
LOC619208	0.443666666666667
KIAA0895	1.56725
RANBP5	-1.35375
P2RY10	1.53816666666667
NME5	4.02216666666667
DDX21	-1.311
LRSAM1	-0.0605
HDAC11	1.98833333333333
VMO1	2.39575
NOLA2	-0.065
ADAR	1.7915
MTO1	-0.818333333333333
SF4	0.1945
P2RX1	-0.129833333333333
HBM	0.22
EN2	0.72
C14orf172	0.454
TM9SF2	0.102
INHBE	-0.996333333333333
TCTE3	-0.0435
TOX2	-2.6095
CTAGE3	-0.165
HBB	3.209
MED15	-0.984333333333333
CASR	0.11575
C6orf66	-0.245166666666667
MTPN	-1.063
UNC50	-0.45375
C21orf33	0.270375
IRF2	0.789625
PGR	4.1615
GPR84	2.63625
CROCCL1	-2.64675
SRPX	-2.5845
BRE	0.276833333333333
FGF10	0.5275
SDC3	-0.315
ZRSR1	0.335
DKFZP434P211	-0.384875
SOX6	-0.204
RPUSD2	0.13625
C14orf173	-0.256583333333333
MAPK11	-0.6395
TBC1D22A	0.167
FAM123A	-1.089
COL4A6	-3.53133333333333
TOMM70A	0.75825
NAB1	-0.483375
MGC16385	-1.142625
TSPAN18	-1.09166666666667
MED31	-0.3085
PLG	-0.39
CAPSL	5.774
ZNF532	-0.2589
ASB14	0.20275
CA8	-0.19225
NUDT16P	-0.206
SLFN11	-0.4155
LRRIQ2	0.280875
NOL7	0.149166666666667
BRMS1L	-0.178
JARID1A	0.144833333333333
PANK2	-0.574
ICAM3	-0.64125
MDS1	-0.6515
TAF8	0.4145
RNF139	1.809
ZNF594	0.6945
ADAM8	2.57725
SFTPC	-0.059125
MAN2B2	1.0465
RGS12	0.9055625
EIF1AY	-4.7805
LRRIQ1	2.03916666666667
GPR150	0.63525
CCDC21	-0.591166666666667
PRRG3	0.0825
SAA4	-3.10325
RAPGEF5	1.647125
ZCCHC2	0.697333333333333
MGC39372	-0.0425
PPP4R2	0.391833333333333
CDCA2	-1.78333333333333
OR4D5	0.618833333333333
PTGFRN	0.5785
SIGLEC5	2.37866666666667
C19orf61	-0.184
NMUR2	0.6645
KIAA1586	-0.663166666666667
DAGLA	0.260166666666667
CHCHD6	0.84975
GPR32	0.956
NEUROD6	0.349666666666667
SLC2A4RG	0.684125
CA5B	0.16625
FBXL3	0.823
MPHOSPH9	-1.0585
HMG2L1	0.368
HCN4	0.503
CEACAM19	0.49725
SH2D4B	0.246666666666667
HFE2	-0.878
TGM4	0.370166666666667
LYPD2	0.16775
TBC1D15	0.796
MRPS21	0.7879
NONO	-0.0336
CLEC5A	1.881625
ITCH	0.2407
MGAT3	-1.77833333333333
MBP	-0.0976249999999999
RPP25	-1.00075
SOSTDC1	-1.56925
HRC	-1.9985
TRIM48	0.4605
TMEM133	-0.90025
ECEL1P2	-1.45925
HOXC11	2.157
DOK5	-0.95175
HELZ	0.240166666666667
LOC348180	-0.428
MGC33894	0.63325
ADRB3	0.254
DMD	-0.580333333333333
PTRH2	-0.486
MPEG1	3.49066666666667
NDUFA12	0.3985
KRTAP2-4	0.17825
STAMBPL1	-0.7035
ADCY2	0.187333333333333
UNQ6125	0.5755
KLHL20	-0.133166666666667
SRM	-0.877
OTC	0.01275
TMIE	0.0963333333333333
SNX8	0.696
LIPK	0.1865
CHURC1	-0.821083333333333
KLC2	0.3915
HDAC1	-0.515333333333333
FAM128A	0.243
FNDC3B	-0.3439
MTCP1	-0.616
WFDC10B	0.2778
PCDHGB3	0.0665
ATRNL1	-0.6275
CAV2	-1.36325
MED26	-0.0606666666666667
DUS1L	0.48325
CHRM3	-1.936
NEK9	0.27475
WARS2	-0.14
TBX22	0.3755
TOMM40	-0.3895
RP6-213H19.1	-1.41533333333333
TUBGCP5	-0.46025
IGSF6	5.4835
TPPP	2.34483333333333
UNQ6190	0.4125
GSTM5	-0.348875
BTD	0.738333333333333
PDCD1LG2	1.45533333333333
SNRPB2	0.279666666666667
ERICH1	-1.438
APOA4	-1.519125
HOXA11	-1.861
NARG1	-0.395
MKX	3.887
RAB28	-0.0877142857142857
PKP3	1.70525
SH3GL2	-2.7275
CTSO	3.83825
RPN2	0.786875
IL28RA	-0.293833333333333
SFMBT1	1.03025
WDR57	-1.07875
FER1L3	-0.163166666666667
HSF5	0.237666666666667
TTC9B	0.83625
C4BPA	-3.83183333333333
ALB	-3.83564285714286
SORBS3	-0.23125
UPF2	2.95
JPH1	0.7275
AGBL2	-0.96125
DOPEY1	1.812
TERF1	0.453
KIF22	0.318
NINJ1	0.8365
SEC61A2	2.3415
HIST1H1D	-0.117166666666667
SFXN4	-0.694875
UCP3	0.3526
ZNF703	0.445666666666667
MYL6B	-1.75275
TREM1	2.767
OR52E6	0.6385
CKMT2	0.5165
HLA-C	2.272625
SLC13A3	-1.12416666666667
TIMP4	-3.56425
SLIT2	2.29025
RSF1	-0.237666666666667
LONRF1	-1.37692857142857
MON1A	-0.305666666666667
CACNG6	-1.96066666666667
DPPA4	-5.29516666666667
ZSWIM3	0.694
ZNF804A	0.6725
CCIN	0.38325
SLC25A31	0.11825
KCNMB4	-0.5865
RABL5	0.487625
GALNS	-0.6424
STX6	0.434125
HIST1H1C	-1.72566666666667
CIDEB	-0.293125
CASP4	-0.3585
PDK3	0.6282
KCNJ11	1.5655
TPR	-0.553125
ZSCAN20	-1.018
MTX2	-0.759
HIST1H2BH	-0.21625
LOC283767	-0.59875
LYRM7	-0.980388888888889
BRD3	0.037
HIST1H2BO	-0.5185
MAGEB10	0.392
SLC45A1	0.286
SERPINA3	1.03635
KIAA0143	1.56575
KCNJ16	-0.287
KRT79	-0.24075
FABP2	-0.57
NUT	-0.56975
ZNF57	0.783
FBXL4	0.20575
CLEC9A	0.8825
UGT8	-1.267
BMP2K	-0.031
MAPK4	-3.639
SLC25A23	-0.2148
HINT1	0.3079
KRTAP13-1	0.677
SFXN5	0.0142
CHCHD2	-0.0694166666666667
FAM3D	1.089
NDP	-2.89875
RHOBTB1	-0.260166666666667
SLC4A4	-1.0515
RPL38	0.16025
HTF9C	-0.696666666666667
AP2A2	0.64975
ZBTB46	0.1145
MAP7D1	0.078375
AOX1	-1.6085
CYR61	0.231083333333333
DTNA	0.834
JRKL	-1.52975
TMOD3	-0.59425
EEA1	0.7263
ADCK5	0.24775
IL1R1	3.83883333333333
KLK3	0.272285714285714
HRSP12	0.636
KTN1	0.34275
LOH11CR2A	0.7475
RELL2	-1.409
MAB21L1	1.0385
C20orf59	-1.13366666666667
PHKB	-1.176
ADAM2	-2.00733333333333
TBC1D8B	0.555166666666667
FAM13A1	-1.2075
LAPTM4B	0.992416666666667
LCN8	0.0675
TMEM147	0.2275
SYT4	0.224333333333333
XPO7	-0.7625
C9orf62	0.82925
GPR75	-0.0585
TRIM5	-0.562
APOC1	1.7655
RNASE4	0.534
PARD6B	-0.708
ARID1A	0.0805
TPD52L3	0.2577
RRAGB	0.322166666666667
RCN2	-1.18766666666667
HIST2H2BE	-0.921125
STARD7	-0.12625
SHMT2	0.20225
KIAA1751	0.281833333333333
MLYCD	-0.048875
LOC162632	-0.8696
UQCRH	-2.07325
RP11-217H1.1	0.3901875
SDHA	-0.2395
NCLN	0.2317
ZNF17	0.3865
RCBTB2	-2.25825
VEGFB	0.1527
RP4-747L4.3	0.13825
COLQ	0.3816
MPN2	-0.486166666666667
DRG2	-0.15625
KLRB1	5.19075
ALPK2	-2.2885
DNASE2B	1.6415
FLJ23834	1.20116666666667
AXUD1	0.483333333333333
SAFB	0.0953
NSUN4	-0.418
RFX2	1.64616666666667
MAPK8IP1	0.156
FANCD2	-0.5915
ANKZF1	-0.76
C19orf50	-0.963125
DUSP8	0.84675
SENP5	0.797
NFKBIL2	0.6885
LBR	-0.0605
IGFL1	0.893
LZTS2	0.617375
IL2RG	0.933625
CCDC51	0.0765
KLF3	0.313
ANKRD37	-0.2245
KCTD14	-2.0875
FZR1	0.8005
SLC44A4	3.2193
ESPL1	0.342125
GMPR2	-0.8653
TBC1D19	-0.210833333333333
ERGIC1	1.22981481481481
ERBB4	1.3839
TSPAN32	0.76775
MAP4	0.0395
GPHN	0.01625
SLC6A2	-0.101375
HIVEP1	1.16225
DFFB	-0.2065
EIF4EBP2	0.149375
DMRT1	-0.07275
HSPB6	-0.09975
IER2	-0.513333333333333
AIFM1	0.55975
WWC2	1.92216666666667
MRPL4	-0.6625
FLJ21062	0.329166666666667
EPB41L4A	0.939833333333333
SH2D6	0.4315
TAF4B	-0.03925
GAL3ST3	-0.1825
MALT1	-0.7825
RTDR1	1.50825
ARVCF	-0.46025
MEX3B	0.147166666666667
FBXO16	-0.7285
KIF7	-0.6735
C1QC	4.08983333333333
ZNF783	-1.319
ZNF85	-0.64475
MMP13	1.247
KIAA0329	-0.30575
RTP3	-1.0405
ZBED3	-0.51325
CLGN	0.8115
SLC25A37	-2.47404166666667
hCG_18290	-0.37375
OR5AS1	0.265
SMARCC2	0.445083333333333
FAM109A	0.636666666666667
CCDC12	-0.313
USF2	0.6088
DEPDC7	-1.096
C20orf24	0.278166666666667
JMJD3	0.92
DSP	1.71678571428571
SLIC1	1.100125
FAM20A	1.625375
IRF2BP2	0.155375
ZNF230	0.285
MSN	-0.842214285714286
SLC9A5	-2.002
EPDR1	-1.8742
MUSK	0.412666666666667
ZNF434	0.4845
SMARCD1	0.0195
ZFP106	-0.63
ZNF347	0.2932
