Hybridization REF	TCGA-AR-A0U4-01A-11R-A109-07
CNGA3	0.238
GML	-0.2815
CD38	0.393
ZDHHC6	0.4125
NEFH	-1.70475
CTDSP2	-0.0209166666666667
PGBD5	1.39316666666667
CCNY	0.870071428571429
RMND5B	-0.07575
ZNF257	-0.144
FLJ22167	-0.361125
EXOSC7	-0.344833333333333
ROR2	2.5025
MAOA	1.4145
TNNT3	0.3905
GYPC	0.08675
C7orf33	0.934
PLIN	2.9535
LOC90826	-0.53525
RNF4	-0.5824
F8A1	1.00533333333333
PLEKHG4	0.21675
GRB2	0.41795
HIST1H2AD	0.24725
DUS3L	0.0216666666666667
EIF1	-0.468666666666667
RP5-1077B9.4	-0.331166666666667
FPGT	0.646
GDF10	-0.756666666666667
COQ9	0.2285
GCC2	-0.711857142857143
RARRES3	1.981
PLXNA1	0.00710000000000003
KIAA0100	-0.8846
PMF1	-0.011
FNDC1	5.43275
HS2ST1	0.0382500000000001
CRELD2	1.23575
C8G	1.3105
CD82	2.0855
LIM2	-0.642
UNQ6490	0.4335
MMP16	-0.577
DRD3	0.013
C5orf26	-1.52875
C11orf73	-0.567375
PTP4A2	0.7515
OR4M2	0.5525
HPCA	-0.398666666666667
SEC14L1	0.530333333333333
CHFR	0.074875
EMILIN1	0.9665
NDUFS4	-0.98675
COL18A1	-0.72725
PDZD3	-0.014
C9orf16	-0.0698333333333333
ERBB2IP	-0.879666666666667
EMX2	1.36975
FUS	-0.644
TF	-2.7978
CLCN4	1.59983333333333
CXorf56	0.1945
C11orf72	0.212
ELAC2	-0.5955
NPR1	-0.24325
ASS1	-0.904166666666667
USP42	-0.41325
POLR2J	-1.4715
SEC23IP	0.174
UQCRC1	-0.45075
LOC729603	-0.16925
C1orf71	0.597125
POLG	-0.9035
ADAM23	-2.9125
TFR2	-0.46375
RICTOR	-1.0696
MGC39606	-0.0475
C19orf55	0.00149999999999997
SNAPC1	-0.356833333333333
GNA11	0.716875
CCDC52	-0.5525
FSIP1	-0.864
UPF3A	-1.594375
IGSF11	-2.2925
LAGE3	1.046
CHST6	-1.1675
UNC13B	-0.647125
TTLL4	0.327
ZNF687	0.58675
SDC2	0.3256
COX7A2	-0.79975
LAMB4	0.374
FAM24A	0.7495
LRRTM3	-0.353
GPHB5	0.27075
OR4C13	0.0765
EIF3EIP	0.219142857142857
HABP4	0.046
TMEM125	2.767
CNTN2	1.627375
ASNSD1	-0.696
FUT4	0.72375
ACF	-3.5275
LOC158381	0.4705
CDH8	-0.71675
AGPS	-0.507666666666667
C4orf18	1.910875
PECI	-0.851666666666667
UNG	-0.295125
GSTP1	0.539375
DCUN1D5	-0.112833333333333
DKFZP564J0863	0.41975
SLC9A3R1	-1.118
BCDO2	-0.48175
CHMP7	-0.497875
REM2	0.238
DNHD1	-0.566875
FKBP4	-0.201125
ZNF350	0.53
MGC11102	0.9085
BST1	2.28825
KISS1R	1.6555
NCR2	0.173
DEFB125	0.14
UBE2W	1.464125
KRT15	1.30225
C10orf99	0.3415
SCN11A	0.594875
GFI1	-1.325
RDHE2	0.905166666666667
FHL1	-0.690333333333333
OSGEP	-0.212333333333333
GATA1	-2.89866666666667
SMC6	-0.42875
TTTY14	-1.1985
LPIN3	-0.36575
RPL4	-0.0911
RBPMS	0.2465
PRPF3	-0.549166666666667
EMR1	0.633
SPATA19	0.28375
XCR1	0.3775
IRX3	2.1697
RBM6	-1.72375
KLF4	-0.8729
UNC5CL	-1.88825
SEBOX	-0.117
BTK	0.85525
KRCC1	0.16975
C6orf27	0.2365
SYTL5	-1.039
PRND	0.88375
LOC653319	-1.192
PIGL	-0.690125
HUS1	-0.387
SFRS6	0.462833333333333
C17orf77	0.3785
UIMC1	-0.822166666666667
FXYD2	-1.1732
LOC283152	-0.9655
ZNF667	0.23075
ZCCHC12	-0.61975
TFEC	3.8032
ATP7B	-1.39583333333333
POLD2	-1.13733333333333
RG9MTD1	0.58075
ACOT2	-0.175
HIST1H4I	-0.34425
PPARGC1A	-2.592
ETFA	-0.797
POLRMT	0.21
ZNF146	-0.355875
MIA2	-0.702
KLHL6	0.250666666666667
HOXB5	-1.684875
NENF	0.727166666666667
CUGBP1	-0.8005
PRSS22	-0.335833333333333
CASC4	0.2619
CUL4B	-0.3419
CENPJ	-1.5347
PITX1	-0.235833333333333
FLJ31033	0.832
CELSR3	-1.00633333333333
ZNF568	0.81075
ITSN1	-0.8105
EHBP1L1	0.539
C19orf2	-0.332
DCTN1	-0.393
LIN28B	-2.401
TNKS2	-0.657
C1QBP	-0.461375
CADPS2	0.854
SRMS	0.68475
GJA9	0.125166666666667
MGC24975	-0.0435
TRIM45	-0.648166666666667
TSP50	0.21575
TCP1	-0.31
TMED7	0.4359
CMA1	-0.4795
CENPL	-0.5785
PTCRA	0.483
FST	-4.02375
VWCE	-3.93
PAWR	-0.04875
ABCC12	-0.242
LDLR	-2.8973
ASTN2	-0.9039
LOC441212	-0.354375
GPATCH8	-0.13075
TANC2	-1.0035
KIF4A	-1.26125
C18orf18	-0.07525
PGM1	-0.64375
KIAA0258	0.57125
CPD	-0.16
SNCAIP	-1.11125
DCT	-4.18833333333333
HLA-DOA	2.80404545454545
OR11L1	0.518
UPK1B	-0.0196666666666667
DNAJB4	-0.941875
UGT1A8	0.122
HIST1H4L	-0.3705
PECR	-0.928666666666667
HSPA2	-1.094
WFIKKN1	-2.5055
SERP1	0.92
SYDE2	-0.6915
TACR2	0.774
NUP85	-0.14825
CD177	-0.408666666666667
LGR5	-1.05216666666667
PIGG	-0.246416666666667
PTHR1	-1.57416666666667
RAB5A	0.2284
FLJ13224	0.3925
USP9Y	-0.729833333333333
C7orf53	-0.7475
LRP1B	-0.6075
XAF1	1.5442
ABCG8	-1.379
ANKDD1A	-0.525166666666667
DAND5	-1.184
SPAG6	0.197333333333333
LINCR	3.099
ZDHHC22	-1.595625
CCDC60	0.4785
THOC7	-1.83566666666667
TCTA	0.4339
OR8K3	0.29025
NY-REN-7	-0.857
B2M	1.79933333333333
C6orf141	-1.752875
LPPR4	0.162
SQLE	-0.751625
SEPHS1	0.874
BTBD14B	1.016
PLRG1	-0.33125
SPG7	-0.7885625
ZNF614	0.130333333333333
PARD6G	1.444
INPP5B	0.2632
GRPEL2	-0.643875
PPID	-0.4116
TRIM56	-1.40725
UBE2J1	0.122875
IL20RA	0.471
LOC387856	0.2465
C1orf107	0.632416666666667
UTS2R	1.664
C19orf22	0.0035
SAFB2	-0.496
KIAA0652	-0.046125
KLRG1	-0.34
MS4A8B	0.376833333333333
FRAG1	-1.12625
KIAA1546	0.4055
E2F4	-0.0726
CLEC4M	0.559166666666667
BTBD14A	0.67925
KIAA0999	0.8789
GYPA	-2.71383333333333
TAC1	-0.1575
TRAIP	-1.45033333333333
KIAA0232	-0.6493
ERCC8	-0.97075
GPX4	1.80375
KIAA0368	-1.238375
GPR157	-0.131833333333333
CTAGE4	-0.392
C9orf30	0.0433333333333333
OR52A1	0.6395
HSP90B3P	-0.2755
ALG9	-0.375
BTBD10	-0.144
SDK2	0.21575
BAIAP3	-1.4795
RABGGTB	-0.253
ANKRD40	0.420166666666667
KRT74	0.033
CALCOCO2	-0.344357142857143
SNCA	-2.46075
TMSL8	1.656125
C2orf53	0.176
ESRRB	0.1895
ARHGAP26	0.764375
TDRD9	-3.2145
HRAS	0.505166666666667
KLRC4	-2.881
JAGN1	0.981333333333333
BSDC1	0.90675
RNF43	0.00309999999999998
NDUFAF1	-0.77675
PHF12	0.03525
OR1L3	0.21425
FOLR2	1.76625
LYZL6	-0.045
tcag7.1260	0.052
WSB1	-2.01266666666667
PROS1	-1.1135
OSTN	0.42
PSMB8	1.489
SOCS4	-0.250625
DDIT4L	0.337
MAS1	0.4315
MGC34796	0.393
CSHL1	0.184666666666667
TBCCD1	0.238666666666667
ZBTB7C	-0.3745
AP2S1	-0.30625
P15RS	-0.034
VAT1	-1.4146
SHANK3	1.458
TUFM	-0.115666666666667
THEG	-0.444
KRT34	-2.13825
SGSM3	0.3625
TOMM22	0.1065
SOCS3	1.35216666666667
CPO	0.4485
POP4	0.398
BHLHB3	2.41675
MALL	2.161
OR1B1	0.2825
PARK2	0.501833333333333
GPR124	-0.792875
LCE1E	0.572
RUVBL2	-0.79125
CGRRF1	0.1192
ACPL2	0.3185
WNT10B	-2.135
BAIAP2L2	-0.740625
ISCA1	0.108
C1orf125	0.249125
RPAP1	-1.0715
RAI16	-0.0771666666666667
RPL27	-0.86925
NLRP9	-0.0005
EPN1	0.3555
LOC388610	-1.912375
SLC35A1	-0.5994
GAL	-0.23175
SLC14A2	0.0395
RDH11	-0.572
FAM138F	-0.04
AUH	0.305
FLJ40243	-0.04525
C14orf129	-0.116166666666667
MBD2	-0.377166666666667
ABHD14B	-0.549
PIGT	-0.26425
ALS2CR4	-0.9785
ALAS1	0.6229
FOXO1	1.32016666666667
CRLF3	-0.494125
C20orf107	0.3205
FARS2	1.1475
CCDC28A	0.7365
NPHP3	-1.108
OR13F1	0.617
TSEN54	-0.2325
DEFB106B	0.1084
OR8B4	0.4975
STH	-1.1765
ZC3H14	-0.66625
CBX2	0.238
TMEM49	-1.893
C6orf21	0.7405
FLJ20920	-0.56625
CRTAP	-0.406428571428571
DDX50	-0.547
STYXL1	0.53675
BLVRB	-1.146
LOC147650	-0.6825
MMP24	0.514
GRID1	0.6305
BANF1	-0.0211666666666667
CTAGEP	0.20075
HMBS	-1.52825
SLC25A24	-0.384833333333333
C14orf50	-0.45975
MRO	1.464
SLC25A15	-0.98775
FAM84B	0.6038
TDP1	-0.4695
C16orf78	-0.0326666666666667
C11orf57	-0.096
RFK	-0.420375
ZFYVE9	-0.106375
STCH	-0.0238
WIBG	-0.4595
LOC283871	-0.037
GBA2	-1.2481
NDUFB3	-0.1255
HSD17B13	-0.10125
GRIN3A	1.10366666666667
FMNL1	0.822666666666667
SEPT7	-1.1535
GNLY	4.2305
GRAMD1C	-0.221666666666667
ZNF165	-0.1675
USP38	0.07
FAM83A	-2.87916666666667
C14orf24	0.137583333333333
ARMCX3	-0.01375
ARHGDIB	0.885833333333333
AK1	-0.51975
KIAA1045	0.8885
DNAJB13	-0.335166666666667
NEU2	-0.2635
HIST1H4B	-0.109
FAM20B	-0.1784
HES2	-0.237428571428571
FAM73B	-1.0136
LOC388381	-0.1965
INTS7	0.0271818181818182
AMPH	-0.241
ZNF775	0.3095
UCKL1	-0.467
C10orf97	0.85625
C1orf161	0.05025
ALDH1L1	-1.65925
FLJ39378	0.012875
SLC23A1	-2.0875
RBM4B	-0.22375
THAP4	0.4335
OGFRL1	2.75425
KIAA0831	-0.2815
PPP1R15A	-0.167833333333333
C1orf96	-0.0279285714285714
C12orf11	-1.76825
BMF	0.852875
MAN1A1	-1.095125
KIAA1600	0.378833333333333
NLGN4X	-1.28775
ALOX12	-1.041
RB1CC1	-0.1237
NEIL2	2.0032
EIF4E	0.000818181818181824
ABHD5	-0.173
EXOC4	-0.0223333333333333
CIP29	-0.481666666666667
BATF2	1.91175
SLC29A4	-0.554625
HTR4	0.3365
EMB	-0.26275
TRAF6	0.37275
LMNB1	-1.784
FAM19A5	-0.197625
SHE	0.8165
PIK3C2B	1.267
C15orf15	-0.971
USP15	-0.4155
TCEAL2	3.98925
C5orf39	-0.5885
PTGER2	0.12325
SLC31A1	-0.1813125
IFT172	0.2545
ADAM29	0.04925
GFOD1	0.15725
ST7L	0.244
C15orf26	-2.1365
PKN3	-1.957
CNTD1	-0.172166666666667
COMMD1	0.308375
NTRK2	2.82375
FOXN3	-0.28375
MFGE8	1.2125
PFKFB2	1.24916666666667
TAS2R4	-0.6155
ENTHD1	1.65216666666667
PRMT5	0.22175
MGC16384	-0.877
LOC442229	0.34925
TSKU	-0.9015
KRTCAP3	3.85925
PDLIM1	0.2236
KCNS2	0.1395
RNF126	0.618666666666667
CEP63	-0.322875
CLIC4	-0.127
hCG_1990170	1.048
ACR	2.07
KLK7	-0.024
ALOX5AP	4.49925
RIPK3	2.70225
TAS2R9	-0.191
C19orf18	1.7335
BIRC6	-0.685428571428571
ZNF16	1.5
RFT1	-0.34225
SLC8A2	-0.2935
TACC1	0.676
ITGAD	0.9425
SAMHD1	2.027
SH3PXD2B	1.6456
EPC2	-0.19975
C20orf85	0.231375
ATP13A2	-0.0295
KRT4	0.20975
CAPNS1	-0.0505
MDM2	-0.550666666666667
PCDH20	0.35875
KCNK9	-0.175
OR2C1	-0.267
KLHDC3	0.0648333333333333
IPPK	0.014
EFHD2	1.004375
GALR3	1.66275
NBEA	-0.2315
ABCA6	1.2725
CLDN3	3.54066666666667
AKT2	-0.586928571428571
EGFR	3.8876
RBM16	-0.330875
ZDHHC3	-0.0242
SLC25A4	-0.619333333333333
CYB5B	-1.10816666666667
CPXM1	0.06675
NDRG1	0.537538461538462
FLJ43826	-0.0865
OR5L2	-0.119
FARP2	-0.3071
MRPL46	0.141583333333333
LDHAL6B	0.119666666666667
MAPKAPK3	-0.261833333333333
NCAM2	-0.94525
PRKD2	-0.176333333333333
ZFP36L1	1.2963
CYSLTR1	0.46225
OR4C3	0.185
HIST1H2AJ	0.3165
CCNB2	-0.903
ZNF10	-0.067625
TMEM175	0.7685
FAM134A	0.482833333333333
TIGD4	-0.4985
PCNP	0.1935
MGC39715	0.208
LQK1	-0.54925
CREB1	0.3618
TMPRSS3	1.8385
C4orf32	0.05025
LAT	-1.02416666666667
KCNA3	0.579
SKIV2L2	-1.393
ROPN1B	1.2685
tcag7.23	-1.0705
CDT1	-2.133375
ZHX2	1.526375
CD28	-2.327
ZNF624	-0.162
SEPT2	0.17975
SOHLH2	-0.283
MCOLN3	-0.271
UNQ1945	0.862
MASP2	-0.923
ZNRF3	-0.6051
GPATCH3	0.0195
AGL	-0.0485
QRICH2	-0.36
PSD4	-0.0253333333333333
CCNB1IP1	0.068
ENPP7	-0.23775
OBFC1	0.4675
KCNG3	-1.62775
C14orf79	0.61025
ENPEP	0.335333333333333
SCT	0.3745
SKI	1.52125
SEC61G	-0.6225
CAPN11	0.04075
ATXN7L3	-0.4735
DBNDD1	-0.556666666666667
FAIM	0.968
ANKRD36	-1.6375
GABRP	5.17766666666667
TACSTD2	2.46633333333333
EIF3J	-0.698
PPP2R2A	-0.7115
TEKT4	-1.52033333333333
PVALB	-3.278
F10	-2.95033333333333
FAM134C	0.000999999999999997
COMP	4.309375
EFCBP1	-2.074375
SCLT1	0.013125
TAL1	-1.2762
ACSL1	1.91425
ABCC5	0.465916666666667
ABL1	-0.894944444444445
RBBP7	-0.152166666666667
PTPRG	-1.641125
NCOR1	-0.5832
SPINK4	-1.63116666666667
TXNRD1	-0.8114
TNRC15	0.3115
C9orf138	0.0445
UBE2H	1.71083333333333
BRDT	-0.2085
C8orf31	-0.28025
CCNE2	-1.20745454545455
SLC6A8	-1.345625
CALCR	-3.9655
PPP1CB	0.429416666666667
ABHD8	0.12275
ARF5	0.0544
SLC24A4	1.02975
CCT3	0.24825
ZNF121	0.102875
SLC3A2	-0.9132
OR13A1	0.357
SLC5A10	-0.36425
RAD50	-1.024125
IER5	0.689375
MTHFD1L	-0.494625
MBTPS2	0.4275
MVK	-0.66825
NCL	0.0542
PSMD10	-0.37975
MOBP	-0.410125
FLJ32894	-0.298
HRH1	-0.977833333333333
C5orf30	-1.18525
NUDT16L1	0.7512
RASGRP3	3.8585
PRKRIP1	-0.9946
CCDC75	0.00175
LOC253970	0.2825
KIAA1239	1.033
MED21	-0.0525
SYT11	0.528
NTSR2	0.1425
EGFL11	0.323
CXorf59	0.4535
OR2A25	0.7235
SPTBN2	-0.0665
LRMP	-0.500833333333333
RNF111	0.53425
PTH	0.136
LOC619208	1.02366666666667
KIAA0895	-1.4025
RANBP5	-1.56625
P2RY10	0.843666666666667
NME5	1.69783333333333
DDX21	-0.533
LRSAM1	-0.161
HDAC11	-0.198
VMO1	2.54375
NOLA2	-0.0283333333333333
ADAR	0.781333333333333
MTO1	-1.21066666666667
SF4	-0.0281666666666667
P2RX1	-0.0858333333333333
HBM	0.115
EN2	1.8225
C14orf172	0.3395
TM9SF2	-0.743
INHBE	-1.33383333333333
TCTE3	-0.00491666666666666
TOX2	-2.74725
CTAGE3	0.0375
HBB	3.5788
MED15	-0.129
CASR	0.74325
C6orf66	-0.778666666666667
MTPN	0.309375
UNC50	-0.33075
C21orf33	0.706875
IRF2	1.336375
PGR	-2.525
GPR84	4.7805
CROCCL1	-1.25675
SRPX	-2.2575
BRE	0.310666666666667
FGF10	0.81425
SDC3	-0.6425
ZRSR1	-0.204333333333333
DKFZP434P211	-0.74675
SOX6	0.2695
RPUSD2	-0.332
C14orf173	0.487583333333333
MAPK11	0.520666666666667
TBC1D22A	1.3495
FAM123A	-0.228
COL4A6	-3.3715
TOMM70A	0.381
NAB1	0.949125
MGC16385	0.141625
TSPAN18	-0.204333333333333
MED31	-0.0995
PLG	0.026
CAPSL	0.89
ZNF532	0.4056
ASB14	0.4255
CA8	-1.21725
NUDT16P	0.720166666666667
SLFN11	0.2225
LRRIQ2	0.60525
NOL7	-0.208166666666667
BRMS1L	0.105
JARID1A	0.745166666666667
PANK2	0.073
ICAM3	-0.48775
MDS1	0.6795
TAF8	-0.29575
RNF139	0.54975
ZNF594	-0.629833333333333
ADAM8	4.562
SFTPC	-0.13275
MAN2B2	0.434
RGS12	-0.0030625
EIF1AY	-4.53691666666667
LRRIQ1	0.4225
GPR150	1.75275
CCDC21	-0.818166666666667
PRRG3	-0.22275
SAA4	-1.326
RAPGEF5	1.841625
ZCCHC2	0.386
MGC39372	0.209
PPP4R2	-0.2315
CDCA2	-0.546833333333333
OR4D5	1.20733333333333
PTGFRN	0.3583
SIGLEC5	2.84866666666667
C19orf61	0.339333333333333
NMUR2	-0.046
KIAA1586	-0.334166666666667
DAGLA	0.116333333333333
CHCHD6	-0.00975
GPR32	0.194
NEUROD6	0.3945
SLC2A4RG	0.301625
CA5B	-0.653
FBXL3	0.72125
MPHOSPH9	-0.60175
HMG2L1	0.02425
HCN4	1.16416666666667
CEACAM19	1.35125
SH2D4B	0.853833333333333
HFE2	0.2465
TGM4	-0.0768333333333333
LYPD2	-0.6245
TBC1D15	-0.127
MRPS21	0.5748
NONO	-0.9195
CLEC5A	3.16125
ITCH	0.1902
MGAT3	1.60383333333333
MBP	0.664625
RPP25	0.6685
SOSTDC1	-1.57575
HRC	-1.99625
TRIM48	0.4175
TMEM133	1.104
ECEL1P2	-0.6545
HOXC11	-1.795
DOK5	0.41075
HELZ	-0.123
LOC348180	-0.0255
MGC33894	-0.049
ADRB3	0.2955
DMD	0.258416666666667
PTRH2	-0.1185
MPEG1	3.69833333333333
NDUFA12	0.042
KRTAP2-4	0.269583333333333
STAMBPL1	-1.0735
ADCY2	1.17383333333333
UNQ6125	0.926
KLHL20	-0.509
SRM	-0.68625
OTC	-0.44725
TMIE	1.06416666666667
SNX8	1.06925
LIPK	0.3265
CHURC1	-1.039
KLC2	0.5345
HDAC1	-0.2315
FAM128A	-0.513
FNDC3B	2.1183
MTCP1	0.321666666666667
WFDC10B	0.9132
PCDHGB3	0.442
ATRNL1	-1.8923
CAV2	-1.494875
MED26	0.432333333333333
DUS1L	1.3515
CHRM3	-2.279625
NEK9	-0.53525
WARS2	-0.03525
TBX22	-0.3835
TOMM40	-0.05725
RP6-213H19.1	-0.220833333333333
TUBGCP5	-0.66525
IGSF6	5.333
TPPP	-0.307666666666667
UNQ6190	0.2085
GSTM5	0.49275
BTD	0.535666666666667
PDCD1LG2	1.2415
SNRPB2	-0.182
ERICH1	1.261
APOA4	-1.489125
HOXA11	-1.62325
NARG1	-0.232875
MKX	-0.2775
RAB28	-0.527928571428571
PKP3	1.2505
SH3GL2	-2.75375
CTSO	1.86725
RPN2	0.533375
IL28RA	-0.304166666666667
SFMBT1	0.09175
WDR57	-0.68575
FER1L3	0.17775
HSF5	-0.336833333333333
TTC9B	0.78075
C4BPA	-1.73016666666667
ALB	-3.30371428571429
SORBS3	0.002875
UPF2	-0.787
JPH1	-0.539
AGBL2	-1.244
DOPEY1	-0.352
TERF1	-0.913
KIF22	-0.637166666666667
NINJ1	1.88975
SEC61A2	0.2555
HIST1H1D	-0.271166666666667
SFXN4	0.13275
UCP3	0.2373
ZNF703	0.355333333333333
MYL6B	-0.746
TREM1	2.93275
OR52E6	0.044
CKMT2	0.702
HLA-C	2.568625
SLC13A3	-0.568
TIMP4	-0.51125
SLIT2	0.64575
RSF1	-0.630166666666667
LONRF1	-0.584785714285714
MON1A	-0.338666666666667
CACNG6	0.0685
DPPA4	-5.12666666666667
ZSWIM3	0.32125
ZNF804A	1.23466666666667
CCIN	0.87175
SLC25A31	-0.422
KCNMB4	-2.5045
RABL5	-0.483875
GALNS	-0.7102
STX6	0.842
HIST1H1C	-2.24316666666667
CIDEB	1.203625
CASP4	0.707333333333333
PDK3	2.5142
KCNJ11	0.0155
TPR	-1.11975
ZSCAN20	0.606
MTX2	-0.51325
HIST1H2BH	0.139
LOC283767	0.02225
LYRM7	-1.4615
BRD3	-0.410666666666667
HIST1H2BO	0.0215
MAGEB10	0.132
SLC45A1	0.07225
SERPINA3	3.14135
KIAA0143	1.60175
KCNJ16	0.633
KRT79	-0.2155
FABP2	-0.2
NUT	-0.50075
ZNF57	-0.5525
FBXL4	-0.132
CLEC9A	1.011
UGT8	1.51516666666667
BMP2K	1.7105
MAPK4	-3.48
SLC25A23	-0.3342
HINT1	-0.4649
KRTAP13-1	0.2735
SFXN5	-0.7555
CHCHD2	1.96066666666667
FAM3D	1.558
NDP	-0.14925
RHOBTB1	-0.982666666666666
SLC4A4	-1.648625
RPL38	0.462
HTF9C	-0.667833333333333
AP2A2	0.945
ZBTB46	0.1555
MAP7D1	1.06825
AOX1	-2.07816666666667
CYR61	0.239833333333333
DTNA	0.165428571428571
JRKL	0.264
TMOD3	-0.76425
EEA1	0.00690000000000001
ADCK5	0.40525
IL1R1	1.128
KLK3	0.684142857142857
HRSP12	0.9525
KTN1	-0.839
LOH11CR2A	-0.4288
RELL2	-1.00175
MAB21L1	0.4815
C20orf59	-0.662166666666667
PHKB	-0.137
ADAM2	-1.38933333333333
TBC1D8B	1.25633333333333
FAM13A1	-0.26175
LAPTM4B	1.01525
LCN8	-0.566
TMEM147	0.77
SYT4	0.2495
XPO7	-0.5475
C9orf62	1.79675
GPR75	0.4835
TRIM5	-0.88175
APOC1	1.54583333333333
RNASE4	-0.253333333333333
PARD6B	-2.94
ARID1A	0.294083333333333
TPD52L3	0.3179
RRAGB	0.709166666666667
RCN2	0.0366666666666667
HIST2H2BE	0.114875
STARD7	0.117
SHMT2	-1.13325
KIAA1751	-0.324
MLYCD	-0.584625
LOC162632	-0.7938
UQCRH	-0.4705
RP11-217H1.1	0.73625
SDHA	-1.1455
NCLN	0.3842
ZNF17	-0.121666666666667
RCBTB2	-1.1755
VEGFB	-0.6786
RP4-747L4.3	1.454
COLQ	-0.0226
MPN2	-0.6094
DRG2	-0.42575
KLRB1	3.68675
ALPK2	0.628
DNASE2B	0.80825
FLJ23834	-0.0585
AXUD1	0.547666666666667
SAFB	-0.444
NSUN4	0.42525
RFX2	0.402166666666667
MAPK8IP1	-1.01916666666667
FANCD2	-0.340285714285714
ANKZF1	-1.34716666666667
C19orf50	-0.17125
DUSP8	-0.46975
SENP5	1.013875
NFKBIL2	0.171
LBR	-1.094625
IGFL1	0.229
LZTS2	-0.006125
IL2RG	0.99675
CCDC51	-0.57875
KLF3	-0.215
ANKRD37	0.258
KCTD14	-0.258833333333333
FZR1	0.645416666666667
SLC44A4	1.2069
ESPL1	-0.863625
GMPR2	0.3627
TBC1D19	-0.9495
ERGIC1	-0.649074074074074
ERBB4	-0.9818
TSPAN32	0.451
MAP4	-0.617
GPHN	-0.79375
SLC6A2	-0.309
HIVEP1	0.99575
DFFB	-0.0112
EIF4EBP2	0.473375
DMRT1	-0.2185
HSPB6	-0.61825
IER2	-0.092
AIFM1	-0.34175
WWC2	-0.224333333333333
MRPL4	0.10225
FLJ21062	0.107833333333333
EPB41L4A	-0.753
SH2D6	0.06275
TAF4B	0.7545
GAL3ST3	-0.7255
MALT1	0.501166666666667
RTDR1	-0.22
ARVCF	-1.151
MEX3B	-0.645666666666667
FBXO16	-2.08275
KIF7	-0.719
C1QC	3.77183333333333
ZNF783	-0.675333333333333
ZNF85	-0.792
MMP13	2.8145
KIAA0329	-0.066125
RTP3	0.173
ZBED3	-0.41425
CLGN	-2.30275
SLC25A37	-0.649791666666667
hCG_18290	-0.207
OR5AS1	-0.1645
SMARCC2	-0.2215
FAM109A	0.14
CCDC12	-0.892
USF2	0.6342
DEPDC7	-1.00425
C20orf24	0.3825
JMJD3	-0.189
DSP	1.01
SLIC1	1.64475
FAM20A	3.848375
IRF2BP2	1.031875
ZNF230	-0.251
MSN	0.864
SLC9A5	-1.0285
EPDR1	-1.1813
MUSK	0.5155
