Hybridization REF	TCGA-AN-A0XL-01A-11R-A10J-07
SEC23IP	0.905666666666667
UQCRC1	-0.2785
LOC729603	-0.35975
C1orf71	0.26325
POLG	-2.2265
ADAM23	-3.3335
TFR2	-2.10225
RICTOR	0.1188
MGC39606	0.345
C19orf55	-0.209625
SNAPC1	-1.05633333333333
GNA11	0.8255
CCDC52	0.5265
FSIP1	3.972
UPF3A	-0.713875
IGSF11	-2.1325
LAGE3	0.57725
CHST6	-1.038
UNC13B	-0.045
TTLL4	-0.999125
ZNF687	0.43725
SDC2	-0.1441
COX7A2	-0.29025
LAMB4	0.0445
FAM24A	-0.1475
LRRTM3	-0.898666666666667
GPHB5	-0.21525
OR4C13	0.0275
EIF3EIP	-0.0812857142857143
HABP4	-0.1065
TMEM125	2.80675
CNTN2	0.11125
ASNSD1	-0.0135
FUT4	-0.29375
ACF	-4.0845
LOC158381	0.377
CDH8	0.25575
AGPS	-0.299833333333333
C4orf18	2.923625
PECI	0.084
UNG	-0.717875
GSTP1	-0.860875
DCUN1D5	-1.498
DKFZP564J0863	-0.81875
SLC9A3R1	1.841625
BCDO2	-0.123
CHMP7	-0.39025
REM2	0.3
DNHD1	0.091375
FKBP4	-0.541375
ZNF350	1.15825
MGC11102	0.108625
BST1	1.7895
KISS1R	-0.1095
NCR2	0.1375
DEFB125	0.4525
UBE2W	1.790375
KRT15	3.097125
C10orf99	-0.037
SCN11A	0.7965
GFI1	-2.87625
RDHE2	-0.7635
FHL1	2.53483333333333
OSGEP	-0.5785
GATA1	-3.63583333333333
SMC6	-0.74375
TTTY14	-1.21075
LPIN3	-0.14675
RPL4	-0.3386
RBPMS	0.539
PRPF3	-0.1985
EMR1	-2.358
SPATA19	-0.3025
XCR1	-0.005
IRX3	1.2508
RBM6	0.13125
KLF4	1.3829
UNC5CL	-1.04225
SEBOX	0.147
BTK	-1.076
KRCC1	1.076
C6orf27	0.117
SYTL5	-0.58
PRND	2.955375
LOC653319	-1.762
PIGL	-0.938875
HUS1	-0.499
SFRS6	0.190833333333333
C17orf77	0.302
UIMC1	-0.397
FXYD2	-1.8883
LOC283152	0.866
ZNF667	0.3065
ZCCHC12	-0.6315
TFEC	1.7987
ATP7B	1.04316666666667
POLD2	-1.109
RG9MTD1	0.10575
ACOT2	1.16633333333333
HIST1H4I	-1.22725
PPARGC1A	-1.7379
ETFA	-1.277
POLRMT	-0.343
ZNF146	0.351875
MIA2	-0.772
KLHL6	-1.0385
HOXB5	-1.274125
NENF	0.6735
CUGBP1	-0.5325
PRSS22	1.37466666666667
CASC4	1.2493
CUL4B	-0.1166
CENPJ	-1.786
PITX1	0.252166666666667
FLJ31033	0.571
CELSR3	-1.85883333333333
ZNF568	1.1445
ITSN1	0.685833333333333
EHBP1L1	-0.433666666666667
C19orf2	-0.625
DCTN1	0.23275
LIN28B	-3.31766666666667
TNKS2	0.132
C1QBP	-1.30025
CADPS2	2.227
SRMS	0.57125
GJA9	0.1345
MGC24975	-2.06966666666667
TRIM45	0.0913333333333333
TSP50	1.02475
TCP1	-1.13275
TMED7	0.1858
CMA1	1.1885
CENPL	-0.221833333333333
PTCRA	-0.584
FST	-3.14675
VWCE	-3.5605
PAWR	-0.3515
ABCC12	0.7055
LDLR	-0.4716
ASTN2	0.4624
LOC441212	-1.09725
GPATCH8	-0.19375
TANC2	0.431833333333333
KIF4A	-1.99025
C18orf18	-0.969
PGM1	-0.53375
KIAA0258	-0.075
CPD	1.0065
SNCAIP	0.42925
DCT	-4.327
HLA-DOA	1.99354545454545
OR11L1	0.085
UPK1B	-0.3135
DNAJB4	0.838375
UGT1A8	-0.30375
HIST1H4L	-0.123
PECR	-1.369
HSPA2	1.935
WFIKKN1	-2.9075
SERP1	1.001
SYDE2	1.78375
TACR2	0.532
NUP85	-0.3175
CD177	-0.057
LGR5	-1.689
PIGG	0.46675
PTHR1	-0.657166666666667
RAB5A	0.0513
FLJ13224	-0.3285
USP9Y	-1.67483333333333
C7orf53	-0.414
LRP1B	2.6175
XAF1	0.9675
ABCG8	-0.9255
ANKDD1A	-0.0741666666666667
DAND5	-1.5465
SPAG6	4.41016666666667
LINCR	-0.2715
ZDHHC22	-1.82625
CCDC60	0.4935
THOC7	-1.14566666666667
TCTA	0.9361
OR8K3	0.07225
NY-REN-7	-0.5495
B2M	0.770333333333333
C6orf141	-1.930875
LPPR4	3.839
SQLE	-0.46875
SEPHS1	-1.116
BTBD14B	0.100785714285714
PLRG1	-0.24
SPG7	-0.54775
ZNF614	-0.221666666666667
PARD6G	0.704333333333333
INPP5B	-0.7193
GRPEL2	-0.59575
PPID	-0.7865
TRIM56	0.137
UBE2J1	-0.196125
IL20RA	2.37675
LOC387856	0.336
C1orf107	0.519333333333333
UTS2R	0.1855
C19orf22	-0.155
SAFB2	0.824375
KIAA0652	0.661
KLRG1	-0.2265
MS4A8B	3.8665
FRAG1	1.19425
KIAA1546	0.7085
E2F4	-1.3168
CLEC4M	0.0601666666666667
BTBD14A	-1.476
KIAA0999	0.2496
GYPA	-2.99866666666667
TAC1	2.3488
TRAIP	-1.12366666666667
KIAA0232	0.8304
ERCC8	-0.840875
GPX4	0.88525
KIAA0368	-0.14
GPR157	-0.691166666666667
CTAGE4	0.7085
C9orf30	-2.34766666666667
OR52A1	-0.0865
HSP90B3P	-0.2065
ALG9	-0.7354
BTBD10	0.99475
SDK2	-0.29625
BAIAP3	1.18975
RABGGTB	-0.435
ANKRD40	0.480333333333333
KRT74	0.5265
CALCOCO2	0.578285714285714
SNCA	-2.4825
TMSL8	-5.389125
C2orf53	-0.1585
ESRRB	-0.37825
ARHGAP26	-1.67225
TDRD9	-3.0185
HRAS	0.0293333333333333
KLRC4	-2.506
JAGN1	-0.13
BSDC1	0.411
RNF43	0.1405
NDUFAF1	0.20425
PHF12	0.2965
OR1L3	0.129
FOLR2	2.28841666666667
LYZL6	0.332
tcag7.1260	-1.9735
WSB1	-0.920833333333333
PROS1	0.5596
OSTN	0.338
PSMB8	-0.41525
SOCS4	0.01925
DDIT4L	1.9145
MAS1	-0.687
MGC34796	0.569
CSHL1	0.2095
TBCCD1	0.246333333333333
ZBTB7C	0.246
AP2S1	-0.56125
P15RS	-0.2679
VAT1	-0.2309
SHANK3	1.283
TUFM	0.0506666666666667
THEG	-0.696
KRT34	-1.666
SGSM3	0.197625
TOMM22	-0.5315
SOCS3	3.442
CPO	0.0115
POP4	0.46325
BHLHB3	1.55975
MALL	1.9695
OR1B1	0.0385
PARK2	0.602333333333333
GPR124	1.100375
LCE1E	-0.242
RUVBL2	-0.899
CGRRF1	0.7557
ACPL2	0.5005
WNT10B	-1.89925
BAIAP2L2	-2.552625
ISCA1	0.5915
C1orf125	0.512625
RPAP1	-0.52325
RAI16	-0.488333333333333
RPL27	-0.255
NLRP9	0.036
EPN1	0.038
LOC388610	-1.543625
SLC35A1	1.3034
GAL	-4.75175
SLC14A2	0.0315
RDH11	-0.5925
FAM138F	-1.043
AUH	0.13125
FLJ40243	0.264
C14orf129	0.3915
MBD2	-0.374666666666667
ABHD14B	0.08075
PIGT	1.8125
ALS2CR4	-0.2245
ALAS1	0.1581
FOXO1	1.72733333333333
CRLF3	-0.71825
C20orf107	-0.3235
FARS2	0.6595
CCDC28A	0.52275
NPHP3	-0.08625
OR13F1	0.4
TSEN54	-0.1225
DEFB106B	0.2138
OR8B4	0.4985
STH	2.23575
ZC3H14	-0.31175
CBX2	-0.528
TMEM49	0.0895
C6orf21	0.222
FLJ20920	1.644625
CRTAP	0.665214285714286
DDX50	-0.21325
STYXL1	0.8225
BLVRB	0.0801666666666667
LOC147650	-0.824166666666667
MMP24	0.12275
GRID1	1.595
BANF1	0.302
CTAGEP	0.275
HMBS	-2.29625
SLC25A24	0.59
C14orf50	2.011
MRO	1.1075
SLC25A15	-1.5255
FAM84B	1.5104
TDP1	-0.562
C16orf78	0.0555
C11orf57	-0.4325
RFK	-0.725625
ZFYVE9	-0.843125
STCH	-0.331
WIBG	0.5325
LOC283871	-0.594833333333333
GBA2	-0.3668
NDUFB3	-0.391
HSD17B13	0.615
GRIN3A	0.592166666666667
FMNL1	-1.00433333333333
SEPT7	0.1679
GNLY	2.9755
GRAMD1C	1.02616666666667
ZNF165	-0.73625
USP38	0.67425
FAM83A	-2.10133333333333
C14orf24	0.3625
ARMCX3	1.380625
ARHGDIB	0.899833333333333
AK1	0.203875
KIAA1045	0.54675
DNAJB13	-0.1965
NEU2	0.181
HIST1H4B	-1.1705
FAM20B	0.2322
HES2	1.86571428571429
FAM73B	-0.4576
LOC388381	-0.15725
INTS7	-0.5
AMPH	3.48775
ZNF775	-0.09575
UCKL1	-0.395166666666667
C10orf97	0.14925
C1orf161	-0.004
ALDH1L1	1.63675
FLJ39378	-0.18475
SLC23A1	-1.3855
RBM4B	0.432
THAP4	0.1395
OGFRL1	-0.555
KIAA0831	0.717625
PPP1R15A	0.8435
C1orf96	-0.777785714285714
C12orf11	-2.371
BMF	0.958625
MAN1A1	-0.178375
KIAA1600	1.05216666666667
NLGN4X	1.4415
ALOX12	-1.2545
RB1CC1	0.9308
NEIL2	-0.0379
EIF4E	-0.361136363636364
ABHD5	-0.21025
EXOC4	0.544333333333333
CIP29	-0.7055
BATF2	-0.81275
SLC29A4	-0.245625
HTR4	0.68525
EMB	-0.592
TRAF6	0.8125
LMNB1	-1.32825
FAM19A5	-1.896
SHE	2.57825
PIK3C2B	1.61375
C15orf15	-0.2678
USP15	-0.2486
TCEAL2	1.396
C5orf39	-0.4855
PTGER2	-0.30225
SLC31A1	0.32925
IFT172	0.60575
ADAM29	0.0135
GFOD1	0.79925
ST7L	0.372
C15orf26	-1.54725
PKN3	-0.821
CNTD1	3.9515
COMMD1	0.185125
NTRK2	3.53191666666667
FOXN3	1.092125
MFGE8	0.1209
PFKFB2	0.306
TAS2R4	-0.1475
ENTHD1	0.509833333333333
PRMT5	-0.843
MGC16384	-1.187875
LOC442229	-0.513
TSKU	0.353625
KRTCAP3	1.350125
PDLIM1	0.5885
KCNS2	0.3695
RNF126	-0.7115
CEP63	0.330375
CLIC4	0.393
hCG_1990170	1.43825
ACR	0.8338
KLK7	1.422
ALOX5AP	1.860125
RIPK3	2.7695
TAS2R9	-0.0125
C19orf18	1.053
BIRC6	-0.106714285714286
ZNF16	1.393
RFT1	-0.3915
SLC8A2	-0.66425
TACC1	1.481875
ITGAD	0.644
SAMHD1	0.95
SH3PXD2B	1.1404
EPC2	0.6575
C20orf85	3.385125
ATP13A2	-0.1235
KRT4	0.238125
CAPNS1	-0.0175
MDM2	-0.602916666666667
PCDH20	3.53875
KCNK9	0.5965
OR2C1	-0.00649999999999999
KLHDC3	-0.6915
IPPK	0.309
EFHD2	-0.680875
GALR3	0.05675
NBEA	0.784166666666667
ABCA6	4.2217
CLDN3	0.574333333333333
AKT2	-0.3105
EGFR	-1.0377
RBM16	0.313875
ZDHHC3	0.511
SLC25A4	-1.66116666666667
CYB5B	-1.45583333333333
CPXM1	0.07375
NDRG1	0.0204615384615385
FLJ43826	1.146
OR5L2	-0.192
FARP2	0.3535
MRPL46	-0.56475
LDHAL6B	0.109833333333333
MAPKAPK3	-0.769
NCAM2	0.08975
PRKD2	0.448166666666667
ZFP36L1	1.4079
CYSLTR1	0.43925
OR4C3	0.24875
HIST1H2AJ	1.5545
CCNB2	-2.41444444444444
ZNF10	-0.15875
TMEM175	0.4125
FAM134A	1.091
TIGD4	0.4085
PCNP	-0.014
MGC39715	1.23575
LQK1	-1.26425
CREB1	0.9509
TMPRSS3	0.83525
C4orf32	1.43425
LAT	-1.847
KCNA3	0.0805
SKIV2L2	-0.524
ROPN1B	-1.1465
tcag7.23	-0.628
CDT1	-3.30575
ZHX2	1.53825
CD28	-3.9065
ZNF624	0.551
SEPT2	0.314916666666667
SOHLH2	-1.86325
MCOLN3	-0.7215
UNQ1945	-0.005
MASP2	-1.072
ZNRF3	0.9914
GPATCH3	0.00975
AGL	0.7035
QRICH2	-0.3675
PSD4	0.743666666666667
CCNB1IP1	-1.85975
ENPP7	-0.10375
OBFC1	0.12125
KCNG3	-1.77075
C14orf79	0.77475
ENPEP	2.25266666666667
SCT	0.138
SKI	0.78425
SEC61G	-1.4515
CAPN11	0.95875
ATXN7L3	-0.119
DBNDD1	-1.1555
FAIM	-0.00775
ANKRD36	-0.0595
GABRP	1.64933333333333
TACSTD2	1.96383333333333
EIF3J	-0.8705
PPP2R2A	-0.7265
TEKT4	0.102833333333333
PVALB	-4.168
F10	-1.434
FAM134C	1.0925
COMP	5.09825
EFCBP1	-1.6003125
SCLT1	1.310375
TAL1	-0.474
ACSL1	1.87
ABCC5	1.74225
ABL1	-0.383055555555556
RBBP7	0.129916666666667
PTPRG	-0.53125
NCOR1	-0.2432
SPINK4	-1.7385
TXNRD1	-1.3548
TNRC15	1.24575
C9orf138	0.892
UBE2H	1.05566666666667
BRDT	0.143
C8orf31	-0.0755
CCNE2	-0.559090909090909
SLC6A8	-2.193375
CALCR	-3.459
PPP1CB	-0.0299166666666667
ABHD8	-0.29175
ARF5	0.5025
SLC24A4	0.6195
CCT3	0.0715
ZNF121	0.5805
SLC3A2	-0.6468
OR13A1	-0.23
SLC5A10	-0.1705
RAD50	0.590375
IER5	-0.473875
MTHFD1L	-2.406375
MBTPS2	0.267
MVK	-0.87475
NCL	-0.7173
PSMD10	-0.39475
MOBP	0.23175
FLJ32894	-0.123
HRH1	0.200166666666667
C5orf30	0.263
NUDT16L1	0.7652
RASGRP3	3.22233333333333
PRKRIP1	-0.0097
CCDC75	0.82175
LOC253970	0.165
KIAA1239	0.96575
MED21	-0.32325
SYT11	0.630666666666667
NTSR2	-0.444
EGFL11	0.307
CXorf59	0.0595
OR2A25	0.083
SPTBN2	0.721
LRMP	-0.7595
RNF111	0.55725
PTH	0.4055
LOC619208	0.394
KIAA0895	0.60075
RANBP5	-1.268875
P2RY10	0.409166666666667
NME5	2.4105
DDX21	-0.61125
LRSAM1	0.2005
HDAC11	0.885666666666667
VMO1	1.9575
NOLA2	-0.0848333333333333
ADAR	0.652416666666667
MTO1	-0.4625
SF4	0.149166666666667
P2RX1	1.73766666666667
HBM	-0.2895
EN2	-0.173
C14orf172	-0.25025
TM9SF2	0.4064
INHBE	-1.38166666666667
TCTE3	-0.294
TOX2	-2.3315
CTAGE3	0.9865
HBB	3.7929
MED15	-0.7135
CASR	-0.05275
C6orf66	-1.37866666666667
MTPN	0.19225
UNC50	0.191
C21orf33	-0.0655
IRF2	0.95875
PGR	1.422
GPR84	0.91325
CROCCL1	-2.1365
SRPX	0.39275
BRE	0.025
FGF10	1.4865
SDC3	-0.678166666666667
ZRSR1	0.311333333333333
DKFZP434P211	0.17125
SOX6	-0.265
RPUSD2	-0.05025
C14orf173	-0.2185
MAPK11	-0.538
TBC1D22A	0.4815
FAM123A	-0.3315
COL4A6	-1.893
TOMM70A	-0.1875
NAB1	0.23425
MGC16385	-0.51675
TSPAN18	1.5115
MED31	-0.67625
PLG	-0.4485
CAPSL	2.285
ZNF532	0.4913
ASB14	0.44175
CA8	2.62875
NUDT16P	1.29016666666667
SLFN11	-0.639
LRRIQ2	1.14375
NOL7	-0.791333333333333
BRMS1L	-0.933
JARID1A	0.411666666666667
PANK2	0.2095
ICAM3	-0.43575
MDS1	1.6355
TAF8	-0.34175
RNF139	1.4135
ZNF594	-0.584666666666667
ADAM8	0.384
SFTPC	-0.299125
MAN2B2	1.740625
RGS12	0.67525
EIF1AY	-4.88025
LRRIQ1	-0.5585
GPR150	0.2755
CCDC21	-0.999
PRRG3	1.055
SAA4	-2.40925
RAPGEF5	2.018
ZCCHC2	-0.352333333333333
MGC39372	1.083
PPP4R2	0.242666666666667
CDCA2	-2.29766666666667
OR4D5	0.3085
PTGFRN	0.5826
SIGLEC5	1.08883333333333
C19orf61	-0.644666666666667
NMUR2	0.201
KIAA1586	-1.32883333333333
DAGLA	0.471833333333333
CHCHD6	-0.98
GPR32	0.7065
NEUROD6	0.128166666666667
SLC2A4RG	0.1270625
CA5B	0.26225
FBXL3	1.191
MPHOSPH9	-1.41075
HMG2L1	0.59975
HCN4	-0.125666666666667
CEACAM19	-0.51025
SH2D4B	0.107333333333333
HFE2	-0.577
TGM4	-0.0513333333333333
LYPD2	-0.02275
TBC1D15	0.25675
MRPS21	0.0885
NONO	-0.7645
CLEC5A	1.5915
ITCH	0.0556
MGAT3	-0.304166666666667
MBP	-0.1315
RPP25	-1.21225
SOSTDC1	0.29375
HRC	-0.28725
TRIM48	0.0225
TMEM133	0.4195
ECEL1P2	-1.32966666666667
HOXC11	1.4195
DOK5	0.113
HELZ	0.436333333333333
LOC348180	-1.05825
MGC33894	0.29
ADRB3	-0.056
DMD	0.734666666666667
PTRH2	-0.32675
MPEG1	2.49566666666667
NDUFA12	-0.173166666666667
KRTAP2-4	-0.194666666666667
STAMBPL1	-1.02316666666667
ADCY2	1.3975
UNQ6125	0.1605
KLHL20	1.04266666666667
SRM	-1.216
OTC	0.966
TMIE	0.694333333333333
SNX8	-0.44125
LIPK	0.0065
CHURC1	0.247833333333333
KLC2	-0.0075
HDAC1	-0.446
FAM128A	0.128666666666667
FNDC3B	0.6792
MTCP1	-0.629333333333333
WFDC10B	-0.0927
PCDHGB3	0.0855
ATRNL1	-0.2437
CAV2	1.3905
MED26	0.0238333333333333
DUS1L	0.61425
CHRM3	-0.729375
NEK9	0.716
WARS2	-0.02875
TBX22	0.691
TOMM40	-1.06325
RP6-213H19.1	-1.64
TUBGCP5	-0.448
IGSF6	4.11775
TPPP	0.3195
UNQ6190	0.0205
GSTM5	1.092125
BTD	1.33316666666667
PDCD1LG2	0.270833333333333
SNRPB2	-0.305333333333333
ERICH1	-0.274125
APOA4	-1.9225
HOXA11	-1.3795
NARG1	-0.914625
MKX	0.5615
RAB28	-0.473357142857143
PKP3	0.432
SH3GL2	-2.2735
CTSO	3.06
RPN2	0.2770625
IL28RA	0.432166666666667
SFMBT1	0.27825
WDR57	-1.0525
FER1L3	1.07758333333333
HSF5	0.162833333333333
TTC9B	0.2645
C4BPA	-3.62483333333333
ALB	-3.87792857142857
SORBS3	0.22075
UPF2	0.0685
JPH1	0.5935
AGBL2	1.87975
DOPEY1	1.9145
TERF1	0.0815833333333333
KIF22	-0.571666666666667
NINJ1	0.99925
SEC61A2	-0.316916666666667
HIST1H1D	-0.746
SFXN4	-0.477875
UCP3	-0.1116
ZNF703	0.440833333333333
MYL6B	0.10125
TREM1	1.743
OR52E6	0.384
CKMT2	3.29725
HLA-C	1.224125
SLC13A3	-1.8595
TIMP4	1.63375
SLIT2	3.27325
RSF1	0.0572777777777778
LONRF1	-1.06764285714286
MON1A	-0.261666666666667
CACNG6	-2.02683333333333
DPPA4	-5.64116666666667
ZSWIM3	0.0285
ZNF804A	0.428166666666667
CCIN	1.2025
SLC25A31	0.136
KCNMB4	-0.387
RABL5	0.207625
GALNS	-0.5566
STX6	0.8685
HIST1H1C	-1.18
CIDEB	-0.080875
CASP4	0.557
PDK3	-0.7791
KCNJ11	1.3885
TPR	0.645375
ZSCAN20	-0.615
MTX2	-0.04075
HIST1H2BH	-0.524
LOC283767	1.27975
LYRM7	-1.0095
BRD3	0.377166666666667
HIST1H2BO	-0.7175
MAGEB10	0.449
SLC45A1	1.532
SERPINA3	0.8985
KIAA0143	1.25875
KCNJ16	1.8015
KRT79	-0.06
FABP2	-0.498
NUT	-0.04725
ZNF57	-0.64725
FBXL4	0.645
CLEC9A	1.173
UGT8	-1.19083333333333
BMP2K	0.377
MAPK4	-2.561
SLC25A23	-0.252
HINT1	-0.4743
KRTAP13-1	0.31
SFXN5	-0.2193
CHCHD2	0.0224166666666667
FAM3D	1.659
NDP	-3.431
RHOBTB1	0.859166666666667
SLC4A4	-0.17275
RPL38	0.054
HTF9C	-0.388166666666667
AP2A2	0.755375
ZBTB46	-0.277
MAP7D1	0.327125
AOX1	-0.160166666666667
CYR61	2.2145
DTNA	0.607428571428571
JRKL	-0.3535
TMOD3	0.01775
EEA1	0.1449
ADCK5	0.5015
IL1R1	2.06566666666667
KLK3	0.317285714285714
HRSP12	-0.34325
KTN1	0.59
LOH11CR2A	0.2215
RELL2	-2.061
MAB21L1	1.86925
C20orf59	-0.485666666666667
PHKB	-0.38625
ADAM2	-1.47183333333333
TBC1D8B	1.664
FAM13A1	0.43925
LAPTM4B	-0.650166666666667
LCN8	0.0335
TMEM147	0.317
SYT4	-0.0298333333333333
XPO7	-1.085
C9orf62	-0.02125
GPR75	0.036
TRIM5	0.359875
APOC1	-0.844333333333333
RNASE4	1.35683333333333
PARD6B	-0.577375
ARID1A	0.669333333333333
TPD52L3	0.1267
RRAGB	0.8085
RCN2	-0.695833333333333
HIST2H2BE	-0.3689375
STARD7	-0.469
SHMT2	-1.6395
KIAA1751	-0.183666666666667
MLYCD	0.18325
LOC162632	-0.7152
UQCRH	-1.388
RP11-217H1.1	0.4726875
SDHA	-0.319666666666667
NCLN	-0.476
ZNF17	0.7605
RCBTB2	-1.2185
VEGFB	0.708
RP4-747L4.3	0.61125
COLQ	0.2129
MPN2	-0.503666666666667
DRG2	-0.7915
KLRB1	3.45425
ALPK2	-2.41825
DNASE2B	0.84725
FLJ23834	0.477333333333333
AXUD1	2.1545
SAFB	-0.1736
NSUN4	-0.1535
RFX2	0.199333333333333
MAPK8IP1	-0.419833333333333
FANCD2	-1.40092857142857
ANKZF1	-1.144
C19orf50	-0.30725
DUSP8	1.774875
SENP5	0.4275
NFKBIL2	-0.6525
LBR	-0.69025
IGFL1	-0.118
LZTS2	0.084125
IL2RG	-1.247375
CCDC51	0.0165
KLF3	0.5315
ANKRD37	-0.91325
KCTD14	-0.4105
FZR1	-0.452333333333333
SLC44A4	3.6594
ESPL1	-0.794125
GMPR2	0.0254
TBC1D19	-0.771666666666667
ERGIC1	1.14322222222222
ERBB4	2.4784
TSPAN32	-0.045
MAP4	0.011125
GPHN	-0.2965
SLC6A2	0.227875
HIVEP1	0.72475
DFFB	-0.5585
EIF4EBP2	0.4155
DMRT1	-0.30625
HSPB6	0.61075
IER2	0.791833333333333
AIFM1	-0.336
WWC2	-0.676333333333333
MRPL4	-0.9315
FLJ21062	2.39116666666667
EPB41L4A	1.49516666666667
SH2D6	0.147
TAF4B	-1.27875
GAL3ST3	-0.245
MALT1	-0.7875
RTDR1	0.11425
ARVCF	0.061
MEX3B	-0.73
FBXO16	0.53125
KIF7	-0.51325
C1QC	3.57333333333333
ZNF783	-0.458833333333333
ZNF85	0.4995
MMP13	1.704
KIAA0329	0.58925
RTP3	-0.741
ZBED3	0.1725
CLGN	2.34
SLC25A37	-1.63208333333333
hCG_18290	-0.1855
OR5AS1	0.223
SMARCC2	0.873916666666667
FAM109A	-0.3935
CCDC12	-0.001
USF2	0.1241
DEPDC7	-2.7945
C20orf24	-0.447
JMJD3	0.6755
DSP	1.10042857142857
SLIC1	-0.20325
FAM20A	0.801875
IRF2BP2	1.922
ZNF230	0.126
MSN	-0.182428571428571
SLC9A5	-2.0325
EPDR1	-0.7792
MUSK	0.0976666666666667
ZNF434	0.383166666666667
SMARCD1	-0.491
ZFP106	0.22575
ZNF347	0.2641
GTF2E1	0.03475
RY1	-0.480333333333333
ATAD2B	-0.048375
ARHGAP17	0.0835
KCNIP3	-0.88825
SFPQ	0.15875
