Hybridization REF	TCGA-A8-A06U-01A-11R-A00Z-07
C10orf99	-0.07
SCN11A	0.561875
GFI1	-1.89475
RDHE2	1.18216666666667
FHL1	-2.34116666666667
OSGEP	0.0585
GATA1	-3.1815
SMC6	-1.21525
TTTY14	-0.70025
LPIN3	-0.260666666666667
RPL4	-1.0398
RBPMS	-0.3587
PRPF3	-0.0756666666666667
EMR1	-2.245
SPATA19	0.39075
XCR1	0.506
IRX3	1.2949
RBM6	-1.22425
KLF4	0.5107
UNC5CL	-1.3555
SEBOX	0.236
BTK	-1.01325
KRCC1	0.48025
C6orf27	0.7075
SYTL5	-0.6255
PRND	0.885714285714286
LOC653319	-0.939
PIGL	-0.0465
HUS1	0.234833333333333
SFRS6	0.477333333333333
C17orf77	0.547
UIMC1	-0.4615
FXYD2	-1.7244
LOC283152	1.0385
ZNF667	-1.59475
ZCCHC12	-0.8455
TFEC	2.7922
ATP7B	-1.5225
POLD2	-0.457333333333333
RG9MTD1	1.23225
ACOT2	-0.00233333333333335
HIST1H4I	-0.397
PPARGC1A	-2.6877
ETFA	-1.8028
POLRMT	-0.35625
ZNF146	0.080875
MIA2	-1.522
KLHL6	-0.571666666666667
HOXB5	-0.442125
NENF	0.477333333333333
CUGBP1	0.79025
PRSS22	1.52333333333333
CASC4	0.8273
CUL4B	0.8158
CENPJ	-2.0075
PITX1	1.85416666666667
FLJ31033	0.766166666666667
CELSR3	-2.486
ZNF568	-0.09225
ITSN1	-0.1535
EHBP1L1	-0.343333333333333
C19orf2	0.27
DCTN1	-0.213
LIN28B	-3.4588
TNKS2	-0.24225
C1QBP	-1.175125
CADPS2	-0.16625
SRMS	0.7655
GJA9	0.0571666666666667
MGC24975	-0.634333333333333
TRIM45	0.271166666666667
TSP50	0.812
TCP1	-0.58275
TMED7	0.6123
CMA1	0.7515
CENPL	-0.427166666666667
PTCRA	0.039
FST	-3.54675
VWCE	-3.6825
PAWR	0.05325
ABCC12	1.812
LDLR	-1.6748
ASTN2	0.9764
LOC441212	-1.40675
GPATCH8	0.2025
TANC2	0.515166666666667
KIF4A	-0.58625
C18orf18	-1.00675
PGM1	-1.11925
KIAA0258	1.9855
CPD	0.352875
SNCAIP	-0.084
DCT	-4.08633333333333
HLA-DOA	2.90118181818182
OR11L1	0.718
UPK1B	-0.6026
DNAJB4	-0.19175
UGT1A8	-0.43475
HIST1H4L	-0.62
PECR	-0.701833333333333
HSPA2	1.46
WFIKKN1	-1.778
SERP1	1.650875
SYDE2	-0.221
TACR2	0.739
NUP85	0.37675
CD177	-0.630166666666667
LGR5	-1.8368
PIGG	-0.298916666666667
PTHR1	-1.95183333333333
RAB5A	0.3617
FLJ13224	-0.088
USP9Y	-2.2672
C7orf53	0.236
LRP1B	-0.3015
XAF1	3.3946
ABCG8	-0.588
ANKDD1A	-0.646833333333333
DAND5	-1.341
SPAG6	0.0365
LINCR	0.8255
ZDHHC22	-1.11425
CCDC60	null
THOC7	-2.27183333333333
TCTA	1.054
OR8K3	-0.131
NY-REN-7	-0.40825
B2M	1.82983333333333
C6orf141	-2.909375
LPPR4	0.0165
SQLE	-0.964
SEPHS1	0.465
BTBD14B	0.550428571428571
PLRG1	0.03325
SPG7	-0.4451875
ZNF614	-0.426833333333333
PARD6G	-0.145833333333333
INPP5B	-0.329
GRPEL2	0.589
PPID	-0.5725
TRIM56	-0.601
UBE2J1	-0.188875
IL20RA	4.92025
LOC387856	0.075
C1orf107	0.346833333333333
UTS2R	0.57725
C19orf22	0.068
SAFB2	0.160125
KIAA0652	0.486875
KLRG1	-0.564666666666667
MS4A8B	0.0748333333333334
FRAG1	0.24525
KIAA1546	-0.185
E2F4	-1.1887
CLEC4M	0.3772
BTBD14A	1.17775
KIAA0999	0.9734
GYPA	-3.64233333333333
TAC1	-0.0334444444444445
TRAIP	-1.72966666666667
KIAA0232	0.8969
ERCC8	-0.96325
GPX4	0.885
KIAA0368	-1.034375
GPR157	-0.227833333333333
CTAGE4	0.5655
C9orf30	-0.653666666666667
OR52A1	0.1915
HSP90B3P	0.193
ALG9	-0.803
BTBD10	1.72
SDK2	0.5705
BAIAP3	-0.795
RABGGTB	-0.544875
ANKRD40	1.242
KRT74	0.863
CALCOCO2	1.36278571428571
SNCA	-3.1685
TMSL8	-3.436875
C2orf53	0.792
ESRRB	-0.51675
ARHGAP26	-0.311625
TDRD9	1.05025
HRAS	-0.1475
KLRC4	-2.0515
JAGN1	0.586666666666667
BSDC1	0.96625
RNF43	-1.338
NDUFAF1	-0.72425
PHF12	0.67125
OR1L3	0.8145
FOLR2	2.00433333333333
LYZL6	-0.283166666666667
tcag7.1260	-2.08
WSB1	-1.01833333333333
PROS1	-1.7958
OSTN	0.8325
PSMB8	1.09675
SOCS4	-0.445125
DDIT4L	0.321
MAS1	0.744
MGC34796	1.636
CSHL1	0.0795
TBCCD1	-0.547666666666667
ZBTB7C	-0.197
AP2S1	-0.139375
P15RS	-0.000599999999999978
VAT1	0.244
SHANK3	0.525666666666667
TUFM	0.3855
THEG	-0.536
KRT34	-1.6245
SGSM3	-0.15875
TOMM22	-0.0825
SOCS3	-0.0385
CPO	1.1325
POP4	1.009
BHLHB3	0.41575
MALL	0.3675
OR1B1	-0.8245
PARK2	0.285833333333333
GPR124	-0.186875
LCE1E	-0.062
RUVBL2	-0.39025
CGRRF1	0.7347
ACPL2	1.0405
WNT10B	0.11625
BAIAP2L2	-2.134
ISCA1	0.3455
C1orf125	-0.0585
RPAP1	-1.61425
RAI16	-0.902666666666667
RPL27	-0.72875
NLRP9	-1.257
EPN1	0.02
LOC388610	-0.94925
SLC35A1	1.2162
GAL	-3.80825
SLC14A2	0.3725
RDH11	-0.592166666666667
FAM138F	-0.541
AUH	-0.0105
FLJ40243	-0.059
C14orf129	0.965666666666667
MBD2	-1.32383333333333
ABHD14B	0.00649999999999999
PIGT	1.337
ALS2CR4	-0.680375
ALAS1	-0.0118
FOXO1	0.5395
CRLF3	-0.333125
C20orf107	0.1405
FARS2	0.7075
CCDC28A	0.46825
NPHP3	-0.48225
OR13F1	0.567
TSEN54	-0.247
DEFB106B	0.535222222222222
OR8B4	0.7015
STH	1.94
ZC3H14	-0.654875
CBX2	-0.3165
TMEM49	-0.45575
C6orf21	0.6305
FLJ20920	0.808125
CRTAP	-1.30035714285714
DDX50	-0.71625
STYXL1	-0.437
BLVRB	1.454
LOC147650	-0.941
MMP24	0.54625
GRID1	0.257333333333333
BANF1	0.0406666666666667
CTAGEP	0.44525
HMBS	-1.10425
SLC25A24	0.0233333333333333
C14orf50	0.071
MRO	0.332333333333333
SLC25A15	-1.50275
FAM84B	2.0026
TDP1	-0.95
C16orf78	0.439166666666667
C11orf57	-0.042
RFK	-0.86125
ZFYVE9	0.1545
STCH	-1.0803
WIBG	0.689
LOC283871	-0.044
GBA2	-0.3172
NDUFB3	0.01875
HSD17B13	-0.94075
GRIN3A	1.89183333333333
FMNL1	-1.12266666666667
SEPT7	-0.7199
GNLY	4.4655
GRAMD1C	0.815
ZNF165	0.92775
USP38	1.19575
FAM83A	-3.039
C14orf24	0.817166666666667
ARMCX3	2.242
ARHGDIB	0.785333333333333
AK1	0.51475
KIAA1045	-0.1185
DNAJB13	-0.639166666666667
NEU2	0.3855
HIST1H4B	-0.097
FAM20B	0.8779
HES2	0.266
FAM73B	-0.1874
LOC388381	0.86825
INTS7	0.108909090909091
AMPH	3.3775
ZNF775	-0.6445
UCKL1	0.382166666666667
C10orf97	0.30375
C1orf161	-0.18875
ALDH1L1	-1.727
FLJ39378	0.051875
SLC23A1	-1.816
RBM4B	1.07275
THAP4	0.241833333333333
OGFRL1	0.9825
KIAA0831	0.0985
PPP1R15A	-0.723333333333333
C1orf96	0.420571428571429
C12orf11	-2.15175
BMF	0.21725
MAN1A1	-1.334875
KIAA1600	0.338166666666667
NLGN4X	-1.03975
ALOX12	-0.892333333333333
RB1CC1	0.0527000000000001
NEIL2	0.408
EIF4E	0.205
ABHD5	-0.46875
EXOC4	-0.461833333333333
CIP29	-0.00483333333333333
BATF2	2.95975
SLC29A4	-0.003375
HTR4	0.646333333333333
EMB	-0.593
TRAF6	0.8495
LMNB1	-1.345
FAM19A5	-0.621625
SHE	1.2415
PIK3C2B	0.3535
C15orf15	-0.7846
USP15	0.1157
TCEAL2	1.15825
C5orf39	-0.146666666666667
PTGER2	-0.6845
SLC31A1	-0.213
IFT172	0.46925
ADAM29	0.34525
GFOD1	0.60025
ST7L	0.352166666666667
C15orf26	-2.317
PKN3	-1.75375
CNTD1	3.07666666666667
COMMD1	0.50375
NTRK2	2.11458333333333
FOXN3	-0.536625
MFGE8	-0.6747
PFKFB2	0.466333333333333
TAS2R4	-0.25175
ENTHD1	0.402
PRMT5	-0.4975
MGC16384	-1.11225
LOC442229	1.85
TSKU	2.592
KRTCAP3	1.9225
PDLIM1	0.0981
KCNS2	0.5
RNF126	-0.4645
CEP63	0.487125
CLIC4	-0.4685
hCG_1990170	-1.6425
ACR	1.3571
KLK7	2.9765
ALOX5AP	2.69025
RIPK3	3.56125
TAS2R9	-0.0205
C19orf18	1.2215
BIRC6	-0.150857142857143
ZNF16	1.329
RFT1	-0.72225
SLC8A2	-0.532
TACC1	-0.69475
ITGAD	1.66425
SAMHD1	1.9195
SH3PXD2B	1.6953
EPC2	0.5695
C20orf85	0.232125
ATP13A2	1.03066666666667
KRT4	0.373125
CAPNS1	0.282
MDM2	-0.0585
PCDH20	2.1225
KCNK9	1.424
OR2C1	-0.254
KLHDC3	-0.6865
IPPK	1.549
EFHD2	0.343125
GALR3	0.679
NBEA	0.0648333333333333
ABCA6	1.4822
CLDN3	1.82083333333333
AKT2	-0.321357142857143
EGFR	-2.8292
RBM16	0.224125
ZDHHC3	-0.2223
SLC25A4	0.883666666666667
CYB5B	-1.3115
CPXM1	-0.79375
NDRG1	-0.494076923076923
FLJ43826	0.1855
OR5L2	0.590166666666667
FARP2	1.0191
MRPL46	-1.0685
LDHAL6B	0.363
MAPKAPK3	-0.615833333333333
NCAM2	-3.86175
PRKD2	0.437833333333333
ZFP36L1	0.432
CYSLTR1	-1.008
OR4C3	-0.0595
HIST1H2AJ	4.2935
CCNB2	-2.15044444444445
ZNF10	-0.625875
TMEM175	0.494
FAM134A	1.14466666666667
TIGD4	0.288
PCNP	0.5075
MGC39715	-0.3415
LQK1	-0.1485
CREB1	0.0387
TMPRSS3	-2.0205
C4orf32	1.102125
LAT	-1.57458333333333
KCNA3	-0.397
SKIV2L2	-0.77575
ROPN1B	-1.17725
tcag7.23	-0.864
CDT1	-2.225875
ZHX2	1.074625
CD28	-3.129
ZNF624	0.275
SEPT2	0.947083333333333
SOHLH2	-1.871875
MCOLN3	0.48875
UNQ1945	0.6915
MASP2	-0.929
ZNRF3	0.266
GPATCH3	-0.3325
AGL	-0.649125
QRICH2	-0.2245
PSD4	1.3535
CCNB1IP1	-2.0355
ENPP7	0.27375
OBFC1	-0.2485
KCNG3	-0.04875
C14orf79	0.865
ENPEP	1.71816666666667
SCT	1.2565
SKI	0.678875
SEC61G	-1.47975
CAPN11	-0.437
ATXN7L3	-0.0665
DBNDD1	-0.132166666666667
FAIM	0.9775
ANKRD36	0.5745
GABRP	3.73916666666667
TACSTD2	2.0542
EIF3J	-1.02425
PPP2R2A	-0.446
TEKT4	-0.188333333333333
PVALB	-3.7675
F10	-3.095
FAM134C	0.9649
COMP	4.046125
EFCBP1	-3.5988
SCLT1	0.213375
TAL1	-0.9264
ACSL1	1.623
ABCC5	1.96508333333333
ABL1	-0.0358333333333333
RBBP7	1.48466666666667
PTPRG	-1.230375
NCOR1	0.1479
SPINK4	-1.18633333333333
TXNRD1	0.6168
TNRC15	0.9675
C9orf138	0.655428571428571
UBE2H	1.1545
BRDT	0.6262
C8orf31	0.1825
CCNE2	-0.271
SLC6A8	-1.222875
CALCR	-4.07425
PPP1CB	-0.314333333333333
ABHD8	-0.04575
ARF5	-1.2968
SLC24A4	0.1365
CCT3	0.04675
ZNF121	0.35225
SLC3A2	-0.6788
OR13A1	0.446
SLC5A10	0.258
RAD50	0.078375
IER5	-0.06675
MTHFD1L	-2.145125
MBTPS2	0.214
MVK	-0.904125
NCL	-0.1779
PSMD10	0.70925
MOBP	0.319125
FLJ32894	0.386
HRH1	-1.3125
C5orf30	0.78425
NUDT16L1	1.0846
RASGRP3	3.03883333333333
PRKRIP1	-0.946
CCDC75	0.70325
LOC253970	1.0745
KIAA1239	0.589
MED21	0.13725
SYT11	-0.172833333333333
NTSR2	0.293
EGFL11	1.14
CXorf59	-0.271
OR2A25	-0.01375
SPTBN2	-0.4215
LRMP	-1.396
RNF111	0.11225
PTH	-1.088
LOC619208	1.29366666666667
KIAA0895	0.386
RANBP5	-1.738625
P2RY10	1.03833333333333
NME5	-0.6715
DDX21	-1.477
LRSAM1	-0.0155
HDAC11	1.273
VMO1	0.96475
NOLA2	-0.238333333333333
ADAR	1.37283333333333
MTO1	-0.6235
SF4	0.168833333333333
P2RX1	-0.137166666666667
HBM	0.48925
EN2	0.801
C14orf172	0.80175
TM9SF2	-0.4772
INHBE	-1.60816666666667
TCTE3	-0.1635
TOX2	-1.20325
CTAGE3	0.75175
HBB	2.9777
MED15	-0.512333333333333
CASR	0.735333333333333
C6orf66	-0.0578333333333333
MTPN	0.055125
UNC50	-0.05925
C21orf33	-0.479125
IRF2	0.684625
PGR	2.10166666666667
GPR84	1.9035
CROCCL1	-2.36375
SRPX	-2.38275
BRE	0.6935
FGF10	-0.34575
SDC3	-0.3665
ZRSR1	0.473666666666667
DKFZP434P211	-0.2345
SOX6	1.108
RPUSD2	-1.017
C14orf173	-0.359833333333333
MAPK11	-0.730333333333333
TBC1D22A	1.068
FAM123A	-1.6145
COL4A6	-2.43983333333333
TOMM70A	1.603
NAB1	0.396375
MGC16385	0.07825
TSPAN18	-0.443833333333333
MED31	0.43525
PLG	-0.45625
CAPSL	3.822
ZNF532	-0.1974
ASB14	0.4345
CA8	-0.78775
NUDT16P	2.858
SLFN11	-1.727
LRRIQ2	2.29375
NOL7	-0.118833333333333
BRMS1L	-0.721
JARID1A	0.582166666666667
PANK2	0.52425
ICAM3	-0.66225
MDS1	-1.25533333333333
TAF8	-0.04225
RNF139	1.38775
ZNF594	-0.0276666666666667
ADAM8	1.2925
SFTPC	0.154571428571429
MAN2B2	1.4825
RGS12	0.7056875
EIF1AY	-4.1025
LRRIQ1	-0.294333333333333
GPR150	0.77175
CCDC21	-0.6795
PRRG3	0.21375
SAA4	-2.83475
RAPGEF5	1.503875
ZCCHC2	0.190333333333333
MGC39372	-0.6695
PPP4R2	-0.4475
CDCA2	-1.86533333333333
OR4D5	0.608
PTGFRN	1.4936
SIGLEC5	2.16883333333333
C19orf61	-0.260166666666667
NMUR2	-0.4205
KIAA1586	-1.30916666666667
DAGLA	0.8145
CHCHD6	-0.61475
GPR32	0.1675
NEUROD6	-0.0715
SLC2A4RG	0.5569375
CA5B	-0.8825
FBXL3	0.52225
MPHOSPH9	-0.17325
HMG2L1	0.07325
HCN4	0.625166666666667
CEACAM19	0.7655
SH2D4B	0.338
HFE2	-0.1995
TGM4	0.487166666666667
LYPD2	-0.20325
TBC1D15	0.09975
MRPS21	-0.2036
NONO	0.5111
CLEC5A	0.38525
ITCH	0.6222
MGAT3	-1.52733333333333
MBP	-0.85875
RPP25	-0.8115
SOSTDC1	0.1465
HRC	-1.7025
TRIM48	0.292
TMEM133	-0.89175
ECEL1P2	-1.60066666666667
HOXC11	1.4805
DOK5	-1.0655
HELZ	0.1305
LOC348180	-0.284
MGC33894	0.31575
ADRB3	0.4025
DMD	-0.261416666666667
PTRH2	0.1135
MPEG1	2.9825
NDUFA12	0.444833333333333
KRTAP2-4	-0.01225
STAMBPL1	-1.20816666666667
ADCY2	-0.679166666666667
UNQ6125	0.234
KLHL20	0.0565
SRM	-1.65225
OTC	-0.66925
TMIE	-0.0778333333333333
SNX8	1.1095
LIPK	1.118
CHURC1	0.167583333333333
KLC2	0.596666666666667
HDAC1	0.574833333333333
FAM128A	0.924333333333333
FNDC3B	-0.0919
MTCP1	0.297833333333333
WFDC10B	0.3942
PCDHGB3	0.682
ATRNL1	0.806555555555556
CAV2	-1.616625
MED26	0.0805
DUS1L	1.01225
CHRM3	0.299125
NEK9	0.17025
WARS2	-0.19275
TBX22	null
TOMM40	-0.4925
RP6-213H19.1	0.584166666666667
TUBGCP5	-0.43075
IGSF6	4.9935
TPPP	0.870833333333333
UNQ6190	-0.168
GSTM5	-0.474857142857143
BTD	0.443
PDCD1LG2	0.310166666666667
SNRPB2	0.389333333333333
ERICH1	-1.45475
APOA4	-1.408125
HOXA11	-2.38733333333333
NARG1	-0.04475
MKX	-0.656
RAB28	-0.355214285714286
PKP3	0.67825
SH3GL2	-2.77075
CTSO	2.28325
RPN2	1.412
IL28RA	0.323833333333333
SFMBT1	-0.0435
WDR57	-0.973125
FER1L3	0.948833333333333
HSF5	0.4138
TTC9B	0.2155
C4BPA	-3.82816666666667
ALB	-4.37741666666667
SORBS3	-0.264
UPF2	0.0685
JPH1	0.387
AGBL2	0.53
DOPEY1	2.183
TERF1	-0.40825
KIF22	-0.393833333333333
NINJ1	0.96975
SEC61A2	-0.1275
HIST1H1D	0.5305
SFXN4	-0.074875
UCP3	0.6992
ZNF703	1.29983333333333
MYL6B	-1.289
TREM1	1.85525
OR52E6	0.31
CKMT2	1.365
HLA-C	3.10375
SLC13A3	-1.57583333333333
TIMP4	-2.165
SLIT2	0.9755
RSF1	0.1485
LONRF1	-1.23371428571429
MON1A	-0.577666666666667
CACNG6	-1.51866666666667
DPPA4	-4.73916666666667
ZSWIM3	0.40575
ZNF804A	-0.255833333333333
CCIN	1.09175
SLC25A31	-0.17175
KCNMB4	-0.607
RABL5	0.0905
GALNS	0.0543
STX6	1.085125
HIST1H1C	0.2865
CIDEB	-0.649875
CASP4	-0.233
PDK3	2.091
KCNJ11	0.9765
TPR	-0.60575
ZSCAN20	-0.3905
MTX2	0.31375
HIST1H2BH	1.32825
LOC283767	0.154
LYRM7	-1.14805555555556
BRD3	0.562166666666667
HIST1H2BO	0.92825
MAGEB10	0.0245
SLC45A1	0.377
SERPINA3	3.0241
KIAA0143	2.0655
KCNJ16	0.7535
KRT79	-0.744
FABP2	-0.51175
NUT	-0.34725
ZNF57	1.4555
FBXL4	0.7175
CLEC9A	0.508
UGT8	-1.62616666666667
BMP2K	0.83475
MAPK4	-3.36975
SLC25A23	-0.453
HINT1	-0.6801
KRTAP13-1	0.482
SFXN5	0.7645
CHCHD2	0.454
FAM3D	2.4395
NDP	-2.977625
RHOBTB1	-0.845833333333333
SLC4A4	-1.015375
RPL38	0.24175
HTF9C	-0.938833333333333
AP2A2	-0.197875
ZBTB46	-0.1455
MAP7D1	0.131125
AOX1	-2.00933333333333
CYR61	-1.00608333333333
DTNA	-1.13735714285714
JRKL	0.026
TMOD3	0.52375
EEA1	0.6526
ADCK5	0.04425
IL1R1	0.827166666666667
KLK3	0.544571428571429
HRSP12	0.3385
KTN1	-0.1125
LOH11CR2A	-0.0432
RELL2	-1.5455
MAB21L1	0.8195
C20orf59	-1.11516666666667
PHKB	0.35625
ADAM2	-2.83233333333333
TBC1D8B	1.71466666666667
FAM13A1	-0.8821875
LAPTM4B	1.08941666666667
LCN8	0.0155
TMEM147	-0.146
SYT4	0.263166666666667
XPO7	-0.4315
C9orf62	1.22575
GPR75	0.355
TRIM5	0.7955
APOC1	0.740833333333333
RNASE4	2.06983333333333
PARD6B	2.12625
ARID1A	-0.3
TPD52L3	-0.1341
RRAGB	1.822
RCN2	-0.7715
HIST2H2BE	1.2665625
STARD7	0.19525
SHMT2	-0.9405
KIAA1751	0.5066
MLYCD	0.123125
LOC162632	-0.4842
UQCRH	-1.36625
RP11-217H1.1	1.343375
SDHA	-1.0665
NCLN	1.2088
ZNF17	0.726833333333333
RCBTB2	-2.25075
VEGFB	-0.4814
RP4-747L4.3	-0.36675
COLQ	0.0811
MPN2	-1.28883333333333
DRG2	0.03875
KLRB1	4.10325
ALPK2	-2.68825
DNASE2B	0.616
FLJ23834	-1.017
AXUD1	0.154
SAFB	-0.1538
NSUN4	-0.0755
RFX2	1.22416666666667
MAPK8IP1	-0.498666666666667
FANCD2	-0.635714285714286
ANKZF1	-1.66783333333333
C19orf50	-0.405875
DUSP8	0.23
SENP5	1.71475
NFKBIL2	-0.43025
LBR	-1.17525
IGFL1	-0.0495
LZTS2	-0.304875
IL2RG	-0.081
CCDC51	-0.959
KLF3	0.194875
ANKRD37	-0.85675
KCTD14	-1.1365
FZR1	0.750916666666667
SLC44A4	0.5537
ESPL1	-0.52375
GMPR2	-0.2663
TBC1D19	0.407833333333333
ERGIC1	1.2787037037037
ERBB4	2.835
TSPAN32	0.381666666666667
MAP4	-0.0095
GPHN	0.44225
SLC6A2	0.36875
HIVEP1	0.37775
DFFB	-0.8896
EIF4EBP2	0.5025
DMRT1	-0.2185
HSPB6	-0.304
IER2	0.00516666666666667
AIFM1	0.48475
WWC2	-0.937363636363636
MRPL4	-0.2635
FLJ21062	0.877166666666667
EPB41L4A	1.12833333333333
SH2D6	0.325
TAF4B	-1.69575
GAL3ST3	-1.3265
MALT1	-1.699
RTDR1	0.5875
ARVCF	-0.196625
MEX3B	-1.30966666666667
FBXO16	2.51475
KIF7	-0.74625
C1QC	3.738
ZNF783	-1.16633333333333
ZNF85	0.15625
MMP13	2.3045
KIAA0329	0.486428571428571
RTP3	-0.028
ZBED3	-0.3285
CLGN	-0.63325
SLC25A37	-1.51425
hCG_18290	-1.56875
OR5AS1	0.476
SMARCC2	0.2485
FAM109A	0.0878333333333333
CCDC12	-0.69625
USF2	0.7844
DEPDC7	-2.15025
C20orf24	0.958333333333333
JMJD3	0.927
DSP	1.21492857142857
SLIC1	0.567375
FAM20A	1.062125
IRF2BP2	0.415625
ZNF230	-0.1985
MSN	0.258
SLC9A5	-1.9
EPDR1	-0.6902
MUSK	0.400666666666667
ZNF434	0.75
