Hybridization REF	TCGA-AN-A0FG-01A-11R-A00Z-07
PLXNA1	-0.3315
KIAA0100	0.394
PMF1	-0.45075
FNDC1	5.37525
HS2ST1	0.368
CRELD2	0.96075
C8G	-1.215
CD82	0.18725
LIM2	-0.2525
UNQ6490	0.296
MMP16	0.37
DRD3	-0.638
C5orf26	-1.18875
C11orf73	-0.911625
PTP4A2	1.1845
OR4M2	0.9985
HPCA	-1.10033333333333
SEC14L1	0.305333333333333
CHFR	0.407375
EMILIN1	1.373125
NDUFS4	-0.88725
COL18A1	0.7505
PDZD3	0.159
C9orf16	-0.213166666666667
ERBB2IP	0.6175
EMX2	3.11875
FUS	-1.724
TF	-2.8947
CLCN4	-0.246333333333333
CXorf56	-0.0225
C11orf72	0.46325
ELAC2	-0.656416666666667
NPR1	-1.1375
ASS1	-2.94933333333333
USP42	0.266125
POLR2J	-0.441
SEC23IP	0.5175
UQCRC1	-0.56675
LOC729603	-0.79575
C1orf71	-0.014
POLG	-1.646
ADAM23	-2.81975
TFR2	-0.901
RICTOR	-1.4817
MGC39606	0.25575
C19orf55	-0.225375
SNAPC1	-0.751666666666667
GNA11	0.863625
CCDC52	0.342333333333333
FSIP1	5.195
UPF3A	-0.8385
IGSF11	-2.686
LAGE3	-0.30325
CHST6	-2.0105
UNC13B	0.817875
TTLL4	-1.357875
ZNF687	0.069
SDC2	-0.3715
COX7A2	0.23
LAMB4	0.859333333333333
FAM24A	0.464
LRRTM3	-1.5045
GPHB5	0.259
OR4C13	-0.142
EIF3EIP	-0.195785714285714
HABP4	-1.0325
TMEM125	3.79975
CNTN2	0.59
ASNSD1	-0.73725
FUT4	-0.173
ACF	-3.3055
LOC158381	-0.138
CDH8	0.14
AGPS	-0.934166666666667
C4orf18	2.597
PECI	-0.749
UNG	-0.2345
GSTP1	-1.602125
DCUN1D5	-2.06166666666667
DKFZP564J0863	-0.79825
SLC9A3R1	1.972875
BCDO2	0.392625
CHMP7	-0.781375
REM2	0.512
DNHD1	-0.08575
FKBP4	-0.994
ZNF350	0.653
MGC11102	0.51075
BST1	1.08425
KISS1R	1.2595
NCR2	-0.4915
DEFB125	0.486
UBE2W	1.654875
KRT15	1.619875
C10orf99	0.4505
SCN11A	0.128714285714286
GFI1	0.169
RDHE2	-0.3095
FHL1	-1.35983333333333
OSGEP	0.292833333333333
GATA1	-3.56733333333333
SMC6	-0.93375
TTTY14	-0.953
LPIN3	0.1425
RPL4	-1.2731
RBPMS	-0.7139
PRPF3	-1.166
EMR1	-1.579
SPATA19	-0.05925
XCR1	0.431
IRX3	1.3331
RBM6	-0.96225
KLF4	-1.4053
UNC5CL	-0.79675
SEBOX	0.567
BTK	0.0795
KRCC1	1.182
C6orf27	0.622
SYTL5	-0.8855
PRND	1.71775
LOC653319	-1.27
PIGL	-0.563875
HUS1	-0.229833333333333
SFRS6	0.8875
C17orf77	-0.061
UIMC1	-0.464666666666667
FXYD2	-1.3088
LOC283152	1.78225
ZNF667	-1.41475
ZCCHC12	-0.62625
TFEC	2.8961
ATP7B	-0.36
POLD2	-1.79233333333333
RG9MTD1	-0.7885
ACOT2	0.310333333333333
HIST1H4I	-0.583125
PPARGC1A	-0.9226
ETFA	-2.2073
POLRMT	-0.215
ZNF146	0.151625
MIA2	-0.836
KLHL6	0.7565
HOXB5	-0.744125
NENF	0.990333333333333
CUGBP1	0.517
PRSS22	1.27533333333333
CASC4	1.9503
CUL4B	-0.3376
CENPJ	-1.3365
PITX1	-0.748833333333333
FLJ31033	1.61633333333333
CELSR3	0.185333333333333
ZNF568	0.253
ITSN1	-0.671583333333333
EHBP1L1	-1.11966666666667
C19orf2	-1.08825
DCTN1	-0.53625
LIN28B	-4.0295
TNKS2	0.47
C1QBP	-1.305625
CADPS2	1.11275
SRMS	0.48725
GJA9	0.0438
MGC24975	0.304333333333333
TRIM45	-0.404666666666667
TSP50	0.40175
TCP1	-1.73825
TMED7	0.1437
CMA1	-0.2105
CENPL	-0.4815
PTCRA	0.539
FST	-2.7565
VWCE	-3.8615
PAWR	0.2895
ABCC12	0.174
LDLR	-0.0656
ASTN2	0.1799
LOC441212	-1.111
GPATCH8	-0.04325
TANC2	0.184333333333333
KIF4A	-1.55225
C18orf18	-0.90425
PGM1	-1.948
KIAA0258	0.20425
CPD	1.161125
SNCAIP	-0.5355
DCT	-4.26416666666667
HLA-DOA	2.88322727272727
OR11L1	0.9765
UPK1B	0.3225
DNAJB4	-0.997875
UGT1A8	0.199666666666667
HIST1H4L	-1.0225
PECR	-0.947
HSPA2	3.3365
WFIKKN1	-0.86
SERP1	-0.36375
SYDE2	1.671
TACR2	0.6835
NUP85	-0.30925
CD177	0.225833333333333
LGR5	-1.33066666666667
PIGG	-0.250166666666667
PTHR1	-2.10783333333333
RAB5A	-0.00899999999999995
FLJ13224	-0.148
USP9Y	-1.468
C7orf53	-0.8865
LRP1B	3.17475
XAF1	2.8415
ABCG8	-0.596
ANKDD1A	0.0666666666666667
DAND5	-2.3045
SPAG6	0.733333333333333
LINCR	0.99575
ZDHHC22	-1.436625
CCDC60	2.638
THOC7	-1.62233333333333
TCTA	0.8665
OR8K3	0.64825
NY-REN-7	-0.250666666666667
B2M	1.98366666666667
C6orf141	0.127125
LPPR4	2.64525
SQLE	1.193
SEPHS1	-0.62925
BTBD14B	0.717357142857143
PLRG1	-0.1795
SPG7	-1.16025
ZNF614	-0.642
PARD6G	1.313
INPP5B	-1.4381
GRPEL2	-0.178125
PPID	-0.6123
TRIM56	-0.50025
UBE2J1	0.144125
IL20RA	2.56625
LOC387856	1.3415
C1orf107	0.417166666666667
UTS2R	1.265
C19orf22	1.00075
SAFB2	0.243625
KIAA0652	-0.408125
KLRG1	0.658333333333333
MS4A8B	3.61016666666667
FRAG1	0.17575
KIAA1546	0.20475
E2F4	-1.3588
CLEC4M	0.164666666666667
BTBD14A	-0.09125
KIAA0999	0.2121
GYPA	-3.12833333333333
TAC1	1.8511
TRAIP	-0.937
KIAA0232	1.1861
ERCC8	-1.085
GPX4	0.77425
KIAA0368	0.081125
GPR157	-0.329166666666667
CTAGE4	-0.496
C9orf30	-2.217
OR52A1	0.0515
HSP90B3P	-0.2525
ALG9	-0.7969
BTBD10	0.26675
SDK2	0.73075
BAIAP3	1.787
RABGGTB	-0.253
ANKRD40	-0.260166666666667
KRT74	0.00999999999999998
CALCOCO2	0.566214285714286
SNCA	-2.45625
TMSL8	-2.5125
C2orf53	1.0235
ESRRB	0.01375
ARHGAP26	0.059875
TDRD9	-1.68725
HRAS	0.0348333333333333
KLRC4	-2.011
JAGN1	-0.270333333333333
BSDC1	1.15675
RNF43	0.8847
NDUFAF1	0.49675
PHF12	0.217
OR1L3	0.699
FOLR2	1.36066666666667
LYZL6	0.0288333333333334
tcag7.1260	-2.11
WSB1	-0.580333333333333
PROS1	-0.503555555555556
OSTN	1.0105
PSMB8	1.02125
SOCS4	-0.804375
DDIT4L	1.40175
MAS1	0.1995
MGC34796	1.134
CSHL1	0.546333333333333
TBCCD1	0.1125
ZBTB7C	-0.136
AP2S1	-0.72025
P15RS	-0.4874
VAT1	0.2176
SHANK3	1.45883333333333
TUFM	-0.0815
THEG	0.55475
KRT34	-1.5865
SGSM3	0.2735
TOMM22	-0.472625
SOCS3	1.37583333333333
CPO	0.6195
POP4	0.262
BHLHB3	1.48075
MALL	1.573
OR1B1	0.407
PARK2	0.681833333333333
GPR124	1.245875
LCE1E	0.583
RUVBL2	-0.64675
CGRRF1	0.0751
ACPL2	-0.5105
WNT10B	-1.444125
BAIAP2L2	-1.869375
ISCA1	0.1725
C1orf125	-0.190875
RPAP1	-0.6325
RAI16	-1.20866666666667
RPL27	-0.3335
NLRP9	0.944
EPN1	-0.132
LOC388610	-0.829
SLC35A1	0.3824
GAL	-3.68225
SLC14A2	0.9345
RDH11	0.557333333333333
FAM138F	-0.5245
AUH	-0.224
FLJ40243	0.23825
C14orf129	-0.507166666666667
MBD2	-0.448166666666667
ABHD14B	-0.11725
PIGT	-0.288625
ALS2CR4	-0.18075
ALAS1	-0.3249
FOXO1	0.732833333333333
CRLF3	0.60825
C20orf107	0.118
FARS2	-0.16475
CCDC28A	0.264
NPHP3	-1.55275
OR13F1	0.75
TSEN54	0.15225
DEFB106B	-0.1517
OR8B4	0.6395
STH	1.15425
ZC3H14	-0.571
CBX2	-0.27
TMEM49	-0.35925
C6orf21	0.6775
FLJ20920	0.086375
CRTAP	-0.753285714285714
DDX50	-0.0915
STYXL1	-0.129
BLVRB	0.902166666666667
LOC147650	0.429833333333333
MMP24	-0.3165
GRID1	1.9534
BANF1	-0.4255
CTAGEP	0.03875
HMBS	-1.99225
SLC25A24	-1.024
C14orf50	1.9625
MRO	0.665
SLC25A15	-1.2275
FAM84B	1.3519
TDP1	-1.1135
C16orf78	0.2452
C11orf57	0.451875
RFK	-0.197375
ZFYVE9	-0.695625
STCH	-1.2399
WIBG	1.25725
LOC283871	-0.0116666666666667
GBA2	-1.381
NDUFB3	0.0175
HSD17B13	0.0513333333333333
GRIN3A	1.17783333333333
FMNL1	-0.0838333333333334
SEPT7	-0.089
GNLY	5.5175
GRAMD1C	1.12733333333333
ZNF165	0.9605
USP38	1.0055
FAM83A	-0.984333333333333
C14orf24	0.752
ARMCX3	1.08725
ARHGDIB	0.207333333333333
AK1	-0.000499999999999983
KIAA1045	0.103
DNAJB13	0.167666666666667
NEU2	-0.423
HIST1H4B	-0.575
FAM20B	-0.4596
HES2	1.359
FAM73B	-0.3855
LOC388381	0.7945
INTS7	-0.244727272727273
AMPH	0.739
ZNF775	0.306
UCKL1	-1.10716666666667
C10orf97	-0.6295
C1orf161	0.75025
ALDH1L1	-1.49225
FLJ39378	-0.4185
SLC23A1	-1.4305
RBM4B	-0.05625
THAP4	-0.216333333333333
OGFRL1	1.4555
KIAA0831	0.083875
PPP1R15A	-0.0236666666666667
C1orf96	-0.119142857142857
C12orf11	-1.8715
BMF	0.58375
MAN1A1	0.9305
KIAA1600	0.431
NLGN4X	-0.226
ALOX12	-1.39416666666667
RB1CC1	1.4337
NEIL2	-0.2089
EIF4E	-0.0782272727272727
ABHD5	-0.31525
EXOC4	-0.439166666666667
CIP29	-0.555333333333333
BATF2	3.477
SLC29A4	-0.68275
HTR4	1.14325
EMB	0.2485
TRAF6	0.64025
LMNB1	-2.615
FAM19A5	-0.3005
SHE	1.29525
PIK3C2B	1.383
C15orf15	-1.3448
USP15	-0.0357
TCEAL2	0.758
C5orf39	-0.107666666666667
PTGER2	1.059
SLC31A1	-1.3955625
IFT172	-0.2625
ADAM29	0.48775
GFOD1	0.38425
ST7L	0.3595
C15orf26	-2.3585
PKN3	-1.282
CNTD1	3.51216666666667
COMMD1	-0.0705
NTRK2	3.01966666666667
FOXN3	0.262625
MFGE8	-0.4485
PFKFB2	0.972833333333333
TAS2R4	0.3265
ENTHD1	1.69183333333333
PRMT5	-1.717625
MGC16384	-1.840375
LOC442229	-0.58425
TSKU	0.40275
KRTCAP3	1.928625
PDLIM1	0.8119
KCNS2	0.12825
RNF126	-0.145333333333333
CEP63	0.069125
CLIC4	-0.3745
hCG_1990170	-1.024
ACR	1.6854
KLK7	3.4035
ALOX5AP	2.5585
RIPK3	3.526
TAS2R9	0.121
C19orf18	1.7035
BIRC6	-0.2445
ZNF16	1.264
RFT1	-0.3485
SLC8A2	-0.39
TACC1	1.080875
ITGAD	0.41025
SAMHD1	2.03225
SH3PXD2B	1.2429
EPC2	0.70325
C20orf85	0.4455
ATP13A2	-0.00833333333333332
KRT4	0.747625
CAPNS1	-0.562
MDM2	0.00558333333333335
PCDH20	2.03925
KCNK9	1.341
OR2C1	-0.287
KLHDC3	-1.55333333333333
IPPK	-0.076
EFHD2	0.375625
GALR3	1.09125
NBEA	0.451833333333333
ABCA6	2.6062
CLDN3	2.8335
AKT2	-0.491142857142857
EGFR	-2.1977
RBM16	0.48425
ZDHHC3	0.3666
SLC25A4	-1.0015
CYB5B	-1.4715
CPXM1	-0.463
NDRG1	0.381307692307692
FLJ43826	0.26
OR5L2	0.9115
FARP2	-0.056
MRPL46	-0.833416666666667
LDHAL6B	0.242333333333333
MAPKAPK3	-0.359
NCAM2	-1.2225
PRKD2	-0.21
ZFP36L1	1.0184
CYSLTR1	0.95325
OR4C3	0.842
HIST1H2AJ	1.1595
CCNB2	-1.85711111111111
ZNF10	-0.7885
TMEM175	0.871
FAM134A	0.626833333333333
TIGD4	-0.473
PCNP	-1.319
MGC39715	-0.42825
LQK1	-2.09925
CREB1	0.2049
TMPRSS3	0.94825
C4orf32	1.557125
LAT	-0.31775
KCNA3	1.5815
SKIV2L2	-0.96275
ROPN1B	-2.92925
tcag7.23	-0.922
CDT1	-2.852
ZHX2	2.083
CD28	-1.457
ZNF624	1.20375
SEPT2	-0.684166666666667
SOHLH2	-1.813875
MCOLN3	-0.104285714285714
UNQ1945	1.06
MASP2	-0.926
ZNRF3	0.6476
GPATCH3	-0.41775
AGL	1.151
QRICH2	-0.5745
PSD4	0.301666666666667
CCNB1IP1	-1.657
ENPP7	0.5035
OBFC1	0.168
KCNG3	-0.99325
C14orf79	-0.292583333333333
ENPEP	1.787
SCT	1.211
SKI	0.96
SEC61G	-0.6185
CAPN11	-0.16625
ATXN7L3	0.043
DBNDD1	0.069
FAIM	-0.212
ANKRD36	-0.3325
GABRP	2.34333333333333
TACSTD2	2.784
EIF3J	-0.71975
PPP2R2A	-2.01825
TEKT4	0.181
PVALB	0.0868333333333333
F10	-2.32216666666667
FAM134C	1.1865
COMP	5.007375
EFCBP1	-2.4935625
SCLT1	1.537875
TAL1	-0.5449
ACSL1	-0.1895
ABCC5	0.106083333333333
ABL1	-0.371166666666667
RBBP7	-0.152666666666667
PTPRG	-0.326875
NCOR1	-0.6195
SPINK4	2.18683333333333
TXNRD1	-1.2267
TNRC15	1.100875
C9orf138	0.893375
UBE2H	0.7395
BRDT	2.49433333333333
C8orf31	0.33025
CCNE2	0.288727272727273
SLC6A8	-1.5565
CALCR	-3.8905
PPP1CB	0.0805
ABHD8	0.2315
ARF5	0.2259
SLC24A4	1.4365
CCT3	0.18725
ZNF121	-0.187125
SLC3A2	-0.9589
OR13A1	0.8635
SLC5A10	0.28875
RAD50	-1.079
IER5	1.115
MTHFD1L	-2.250125
MBTPS2	-0.300666666666667
MVK	-0.131625
NCL	-0.0662
PSMD10	-1.08725
MOBP	0.603285714285714
FLJ32894	-0.134
HRH1	0.397
C5orf30	0.79875
NUDT16L1	0.5655
RASGRP3	3.70683333333333
PRKRIP1	-0.4853
CCDC75	1.093
LOC253970	-0.049
KIAA1239	0.12325
MED21	-1.441
SYT11	0.7705
NTSR2	0.5695
EGFL11	-0.571
CXorf59	0.524
OR2A25	0.29775
SPTBN2	-1.2565
LRMP	-0.312666666666667
RNF111	-0.91375
PTH	-0.4435
LOC619208	0.597333333333333
KIAA0895	0.3155
RANBP5	-1.795375
P2RY10	2.67466666666667
NME5	3.91883333333333
DDX21	-0.559
LRSAM1	-0.199
HDAC11	0.4335
VMO1	1.4195
NOLA2	-0.330333333333333
ADAR	0.303583333333333
MTO1	-1.21883333333333
SF4	-0.1955
P2RX1	0.532
HBM	0.2315
EN2	1.5855
C14orf172	0.771
TM9SF2	-1.0012
INHBE	-0.772333333333333
TCTE3	0.104
TOX2	-1.7755
CTAGE3	0.4715
HBB	3.9598
MED15	-0.619666666666667
CASR	0.56675
C6orf66	-1.02983333333333
MTPN	-0.07375
UNC50	-1.23175
C21orf33	-0.10775
IRF2	1.10325
PGR	-0.904666666666667
GPR84	3.06
CROCCL1	-2.2915
SRPX	-1.52825
BRE	-0.6345
FGF10	1.03475
SDC3	0.844666666666667
ZRSR1	-0.0691666666666667
DKFZP434P211	-0.492375
SOX6	0.106
RPUSD2	-0.19
C14orf173	-0.2815
MAPK11	-0.383333333333333
TBC1D22A	0.2345
FAM123A	-2.0355
COL4A6	-1.77883333333333
TOMM70A	-0.571
NAB1	-0.36275
MGC16385	-0.304625
TSPAN18	-0.468833333333333
MED31	-0.362
PLG	-0.504
CAPSL	4.886
ZNF532	1.0889
ASB14	0.019
CA8	1.867
NUDT16P	0.279
SLFN11	-0.611
LRRIQ2	0.119875
NOL7	-0.1095
BRMS1L	-1.04775
JARID1A	0.135166666666667
PANK2	-0.45975
ICAM3	-0.04075
MDS1	-0.46475
TAF8	-0.21825
RNF139	1.729
ZNF594	-0.5805
ADAM8	2.445125
SFTPC	-0.313125
MAN2B2	1.373125
RGS12	0.593875
EIF1AY	-4.64475
LRRIQ1	0.0773333333333333
GPR150	1.5655
CCDC21	-1.574
PRRG3	-0.2195
SAA4	-3.14125
RAPGEF5	1.68175
ZCCHC2	0.425333333333333
MGC39372	0.3935
PPP4R2	0.0935
CDCA2	-2.53383333333333
OR4D5	0.770833333333333
PTGFRN	0.2626
SIGLEC5	0.384166666666667
C19orf61	-0.6105
NMUR2	-0.7565
KIAA1586	-1.4415
DAGLA	1.37866666666667
CHCHD6	-0.46375
GPR32	0.488
NEUROD6	0.0756666666666667
SLC2A4RG	0.28275
CA5B	0.31875
FBXL3	0.06525
MPHOSPH9	-1.575
HMG2L1	0.773
HCN4	0.573166666666667
CEACAM19	0.17625
SH2D4B	0.308166666666667
HFE2	-0.928
TGM4	-0.2935
LYPD2	0.06625
TBC1D15	-0.115
MRPS21	-0.0352
NONO	-1.1149
CLEC5A	1.201625
ITCH	0.407
MGAT3	-0.734
MBP	-0.247
RPP25	0.1175
SOSTDC1	1.33625
HRC	-0.89225
TRIM48	0.1705
TMEM133	-0.4435
ECEL1P2	-1.771
HOXC11	0.4065
DOK5	-0.0695
HELZ	0.888833333333333
LOC348180	-1.079
MGC33894	0.48475
ADRB3	0.313
DMD	0.0655
PTRH2	0.3315
MPEG1	3.72366666666667
NDUFA12	-0.0166666666666667
KRTAP2-4	0.553583333333333
STAMBPL1	-0.802666666666667
ADCY2	-0.331
UNQ6125	1.012
KLHL20	1.10583333333333
SRM	-1.524
OTC	0.343
TMIE	0.881333333333333
SNX8	0.37675
LIPK	0.7805
CHURC1	-0.04475
KLC2	0.699166666666667
HDAC1	-0.309833333333333
FAM128A	0.0316666666666667
FNDC3B	-0.3614
MTCP1	-0.4745
WFDC10B	1.4354
PCDHGB3	-0.8615
ATRNL1	-0.8164
CAV2	-0.687
MED26	0.136333333333333
DUS1L	0.63175
CHRM3	-1.444125
NEK9	0.14725
WARS2	-0.33825
TBX22	-0.4225
TOMM40	-0.5205
RP6-213H19.1	-1.3155
TUBGCP5	-0.66925
IGSF6	5.54
TPPP	0.993166666666667
UNQ6190	-0.214
GSTM5	0.851875
BTD	-0.6595
PDCD1LG2	0.924666666666667
SNRPB2	-0.169833333333333
ERICH1	-0.64825
APOA4	-1.34175
HOXA11	-1.99625
NARG1	-0.2985
MKX	1.0855
RAB28	-0.702857142857143
PKP3	0.76325
SH3GL2	-2.593
CTSO	1.86575
RPN2	0.6791875
IL28RA	0.1692
SFMBT1	0.96475
WDR57	-0.8185
FER1L3	0.899166666666667
HSF5	0.488
TTC9B	0.684
C4BPA	-3.46366666666667
ALB	-3.8755
SORBS3	-0.027
UPF2	0.5575
JPH1	1.123
AGBL2	0.14575
DOPEY1	1.898
TERF1	0.742583333333333
KIF22	0.057
NINJ1	1.1855
SEC61A2	-0.522666666666667
HIST1H1D	0.8105
SFXN4	0.320375
UCP3	0.488
ZNF703	1.95333333333333
MYL6B	0.00975
TREM1	1.50875
OR52E6	0.682
CKMT2	-0.15825
HLA-C	2.949375
SLC13A3	-0.2185
TIMP4	-2.3505
SLIT2	3.24125
RSF1	-0.269888888888889
LONRF1	-1.48764285714286
MON1A	-0.251333333333333
CACNG6	-1.07383333333333
DPPA4	-4.901
ZSWIM3	0.58275
ZNF804A	0.949
CCIN	1.1345
SLC25A31	0.6375
KCNMB4	-0.84825
RABL5	0.144
GALNS	-0.5788
STX6	1.4315
HIST1H1C	-0.3175
CIDEB	-0.837125
CASP4	0.434833333333333
PDK3	-0.0534
KCNJ11	0.8285
TPR	0.486875
ZSCAN20	-1.0035
MTX2	-0.22225
HIST1H2BH	-0.316
LOC283767	0.62475
LYRM7	-1.24716666666667
BRD3	-0.448
HIST1H2BO	-0.4
MAGEB10	1.735
SLC45A1	0.31025
SERPINA3	2.95535
KIAA0143	1.6725
KCNJ16	0.669333333333333
KRT79	0.15325
FABP2	-1.24825
NUT	-0.2375
ZNF57	-0.9015
FBXL4	-0.16825
CLEC9A	0.5575
UGT8	-0.963333333333333
BMP2K	0.39075
MAPK4	-3.1525
SLC25A23	-0.4778
HINT1	-0.4461
KRTAP13-1	0.1455
SFXN5	0.6723
CHCHD2	0.1455
FAM3D	2.179
NDP	-0.908375
RHOBTB1	-0.253666666666667
SLC4A4	-1.018375
RPL38	0.36275
HTF9C	-0.194666666666667
AP2A2	-0.03425
ZBTB46	-0.4945
MAP7D1	-0.13675
AOX1	-0.579333333333333
CYR61	0.703666666666667
DTNA	1.06942857142857
JRKL	-0.45325
TMOD3	0.58675
EEA1	-1.006
ADCK5	0.89275
IL1R1	1.379
KLK3	0.868142857142857
HRSP12	1.01475
KTN1	1.056
LOH11CR2A	0.3546
RELL2	-1.05475
MAB21L1	0.31375
C20orf59	-0.438
PHKB	-0.90375
ADAM2	-0.475
TBC1D8B	0.782333333333333
FAM13A1	-0.7725
LAPTM4B	0.621416666666667
LCN8	0.494
TMEM147	0.081
SYT4	0.688833333333333
XPO7	-1.5595
C9orf62	1.6145
GPR75	0.9705
TRIM5	0.1815
APOC1	1.74316666666667
RNASE4	-0.255166666666667
PARD6B	-1.995
ARID1A	-0.0790833333333333
TPD52L3	0.0691111111111111
RRAGB	0.0151666666666667
RCN2	-0.818666666666667
HIST2H2BE	0.186875
STARD7	0.2755
SHMT2	-1.159
KIAA1751	0.2478
MLYCD	-0.78325
LOC162632	-0.3523
UQCRH	-1.687
RP11-217H1.1	0.343875
SDHA	-1.6985
NCLN	-0.0475
ZNF17	-0.313666666666667
RCBTB2	-1.72075
VEGFB	-1.092
RP4-747L4.3	0.13625
COLQ	0.0371
MPN2	-0.952833333333333
DRG2	-0.51175
KLRB1	6.178
ALPK2	-1.6135
DNASE2B	0.266
FLJ23834	1.03033333333333
AXUD1	0.423166666666667
SAFB	0.3883
NSUN4	-0.41975
RFX2	0.8195
MAPK8IP1	0.0233333333333333
FANCD2	-1.06935714285714
ANKZF1	-1.94
C19orf50	-0.817375
DUSP8	0.849
SENP5	0.230375
NFKBIL2	-0.4045
LBR	-0.849
IGFL1	1.267
LZTS2	0.35875
IL2RG	0.74875
CCDC51	-0.331
KLF3	-0.362
ANKRD37	-1.54725
KCTD14	-0.0451666666666667
FZR1	0.194916666666667
SLC44A4	2.7115
ESPL1	-0.369375
GMPR2	-1.0822
TBC1D19	-1.253
ERGIC1	0.319185185185185
ERBB4	3.4622
TSPAN32	0.723916666666667
MAP4	-0.168625
GPHN	-0.61425
SLC6A2	0.36975
HIVEP1	0.0575
DFFB	-0.8748
EIF4EBP2	-0.114
DMRT1	0.14475
HSPB6	-0.01725
IER2	0.2
AIFM1	0.257
WWC2	-0.921
MRPL4	-1.1425
FLJ21062	0.317
EPB41L4A	1.19558333333333
SH2D6	0.6495
TAF4B	-0.8175
GAL3ST3	0.1705
MALT1	-1.17066666666667
RTDR1	2.296
ARVCF	-0.12975
MEX3B	-1.29483333333333
FBXO16	2.2195
KIF7	-1.82925
C1QC	4.46833333333333
ZNF783	-1.4525
ZNF85	-0.80425
MMP13	5.281
KIAA0329	0.851
RTP3	-0.1055
ZBED3	0.10175
CLGN	0.62825
SLC25A37	-1.736125
hCG_18290	-0.4445
OR5AS1	0.173
SMARCC2	0.808
FAM109A	0.0823333333333333
CCDC12	0.059
USF2	0.4608
DEPDC7	-1.97975
C20orf24	-0.766666666666667
JMJD3	0.662
DSP	1.68764285714286
SLIC1	0.75875
FAM20A	1.787875
IRF2BP2	1.067875
ZNF230	-0.3985
MSN	0.1445
SLC9A5	-1.533
EPDR1	-2.0462
MUSK	0.309166666666667
ZNF434	-0.0443333333333333
SMARCD1	-0.5685
