Hybridization REF	TCGA-C8-A12K-01A-21R-A115-07
CCDC95	-0.5815
HIGD1B	1.76325
USP6NL	1.13725
ABCD4	-1.11616666666667
DIMT1L	-0.494916666666667
TEK	1.212375
SLC25A46	-0.555
LARP7	-1.0604
CD160	1.80533333333333
MT1JP	1.3385
PHF20	-0.430375
CPNE4	-0.17375
GTPBP1	-0.0883571428571428
RAB33B	1.07883333333333
ALDOC	-2.345375
ZNF212	-0.55825
NUDT1	0.173833333333333
RFPL2	-0.39075
ZNF83	-0.0283333333333333
GDPD5	-1.3635
PDCD4	1.0847
CEP350	0.34225
OR10A2	0.94425
CST7	1.89975
CIAO1	-0.86375
SELL	2.082625
OR8J3	0.121
LTBP4	-0.7805
SIRT6	-0.86925
CCL19	4.1205
PPIL1	-0.404833333333333
GBP7	2.58166666666667
STK17A	-0.4835
ABR	-0.38425
OR9G1	0.0025
FOXE1	-0.189875
CNGA3	1.869
GML	0.489
CD38	1.73425
ZDHHC6	0.844
NEFH	-2.616
CTDSP2	0.599166666666667
PGBD5	1.31983333333333
CCNY	0.640428571428571
RMND5B	-0.946583333333333
ZNF257	-0.5005
FLJ22167	0.56475
EXOSC7	-0.893666666666667
ROR2	1.417625
MAOA	-0.751875
TNNT3	-0.313166666666667
GYPC	-0.91525
C7orf33	0.557
PLIN	-0.07
LOC90826	0.09825
RNF4	0.6334
F8A1	-0.0788333333333333
PLEKHG4	0.02075
GRB2	0.03135
HIST1H2AD	0.892
DUS3L	-1.11583333333333
EIF1	-0.5575
RP5-1077B9.4	-0.828666666666667
FPGT	1.30475
GDF10	-1.3
COQ9	0.33825
GCC2	0.397857142857143
RARRES3	2.349
PLXNA1	-0.0335
KIAA0100	0.2421
PMF1	-0.43975
FNDC1	5.475
HS2ST1	-1.05341666666667
CRELD2	1.44175
C8G	-1.584
CD82	1.19175
LIM2	-0.732
UNQ6490	-0.7735
MMP16	-0.4385
DRD3	-0.08525
C5orf26	-1.48375
C11orf73	0.3765
PTP4A2	0.786
OR4M2	0.036
HPCA	-1.36366666666667
SEC14L1	0.027
CHFR	0.17875
EMILIN1	0.1045
NDUFS4	-0.718
COL18A1	-1.134125
PDZD3	0.0109
C9orf16	-0.889666666666667
ERBB2IP	-0.504
EMX2	0.29575
FUS	-1.1065
TF	-3.6099
CLCN4	2.20116666666667
CXorf56	0.52625
C11orf72	0.44275
ELAC2	-1.47308333333333
NPR1	-1.546
ASS1	-0.6615
USP42	0.229875
POLR2J	-0.456
SEC23IP	0.144833333333333
UQCRC1	-1.02925
LOC729603	-0.63525
C1orf71	-0.71875
POLG	-0.2935
ADAM23	-2.3355
TFR2	-0.566
RICTOR	-1.3119
MGC39606	0.3455
C19orf55	-0.305125
SNAPC1	-0.501666666666667
GNA11	-0.86825
CCDC52	-0.511666666666667
FSIP1	0.2715
UPF3A	-0.0355
IGSF11	-1.86616666666667
LAGE3	0.19075
CHST6	-0.1435
UNC13B	0.029875
TTLL4	0.727625
ZNF687	-0.022875
SDC2	0.5143
COX7A2	-0.57675
LAMB4	-0.086
FAM24A	-0.024
LRRTM3	-1.19566666666667
GPHB5	0.20675
OR4C13	0.322
EIF3EIP	0.591428571428571
HABP4	-0.425
TMEM125	3.79025
CNTN2	2.37025
ASNSD1	0.20875
FUT4	1.168625
ACF	-3.1635
LOC158381	0.979
CDH8	0.02325
AGPS	-0.654333333333333
C4orf18	0.928125
PECI	-2.07791666666667
UNG	-0.14675
GSTP1	0.808875
DCUN1D5	-0.499833333333333
DKFZP564J0863	0.26375
SLC9A3R1	-1.3255
BCDO2	-0.154125
CHMP7	-0.402625
REM2	-0.1645
DNHD1	-0.322625
FKBP4	-0.202625
ZNF350	1.51025
MGC11102	0.121625
BST1	2.0695
KISS1R	-0.854
NCR2	0.459
DEFB125	-0.3415
UBE2W	1.523875
KRT15	2.807375
C10orf99	0.177
SCN11A	-0.214375
GFI1	-0.293
RDHE2	3.4915
FHL1	-1.5515
OSGEP	0.0408333333333333
GATA1	-3.35583333333333
SMC6	-0.2795
TTTY14	-1.31975
LPIN3	-0.10125
RPL4	-0.7807
RBPMS	-0.6145
PRPF3	0.120666666666667
EMR1	-0.8495
SPATA19	-0.29025
XCR1	0.0335
IRX3	0.2009
RBM6	-1.23325
KLF4	-0.8918
UNC5CL	-1.5345
SEBOX	0.126
BTK	0.2895
KRCC1	1.31775
C6orf27	-0.1615
SYTL5	-0.5695
PRND	1.155125
LOC653319	-1.2265
PIGL	-0.626625
HUS1	0.2015
SFRS6	-0.98425
C17orf77	0.601
UIMC1	-0.154833333333333
FXYD2	-1.4373
LOC283152	-0.38875
ZNF667	0.46325
ZCCHC12	-0.6595
TFEC	5.8833
ATP7B	-1.34133333333333
POLD2	-1.62783333333333
RG9MTD1	-0.109
ACOT2	-1.681
HIST1H4I	-0.374125
PPARGC1A	-1.3467
ETFA	-1.539
POLRMT	-1.2905
ZNF146	0.72875
MIA2	-2.3485
KLHL6	1.478
HOXB5	-1.4145
NENF	0.852166666666667
CUGBP1	0.037
PRSS22	-0.69
CASC4	1.0263
CUL4B	0.1506
CENPJ	-0.136
PITX1	-0.505
FLJ31033	1.81483333333333
CELSR3	-2.3425
ZNF568	0.9535
ITSN1	-1.15216666666667
EHBP1L1	-0.590833333333333
C19orf2	0.20175
DCTN1	-0.69825
LIN28B	-4.25083333333333
TNKS2	1.117
C1QBP	-0.608125
CADPS2	1.62225
SRMS	0.0415
GJA9	0.65
MGC24975	-1.27
TRIM45	-1.56483333333333
TSP50	-0.17375
TCP1	0.16825
TMED7	0.086
CMA1	0.433
CENPL	-0.0611666666666667
PTCRA	0.598
FST	-4.5255
VWCE	-4.02775
PAWR	0.325
ABCC12	-0.288833333333333
LDLR	-2.023
ASTN2	-0.4909
LOC441212	-1.026
GPATCH8	-0.356
TANC2	-0.887666666666667
KIF4A	-1.146
C18orf18	0.81825
PGM1	-0.30475
KIAA0258	0.16125
CPD	0.68325
SNCAIP	-1.411
DCT	-4.11883333333333
HLA-DOA	2.99345454545455
OR11L1	0.33
UPK1B	0.0176666666666666
DNAJB4	0.86875
UGT1A8	-0.71425
HIST1H4L	-1.084
PECR	-0.913166666666667
HSPA2	2.042
WFIKKN1	-2.0635
SERP1	1.290375
SYDE2	0.18275
TACR2	0.2165
NUP85	-0.282
CD177	0.0166666666666667
LGR5	0.174333333333333
PIGG	-0.162833333333333
PTHR1	-2.22733333333333
RAB5A	0.1282
FLJ13224	0.4425
USP9Y	-1.902
C7orf53	-0.1605
LRP1B	1.09425
XAF1	3.7303
ABCG8	-0.18
ANKDD1A	-0.405166666666667
DAND5	0.1135
SPAG6	1.14466666666667
LINCR	3.029
ZDHHC22	-1.419375
CCDC60	-0.89
THOC7	-0.616
TCTA	0.4215
OR8K3	0.41025
NY-REN-7	-0.56225
B2M	2.247
C6orf141	-2.396125
LPPR4	2.22025
SQLE	-0.5645
SEPHS1	0.4545
BTBD14B	-0.0819285714285714
PLRG1	-0.486
SPG7	-1.3078125
ZNF614	-0.2815
PARD6G	-0.0751666666666667
INPP5B	-0.3173
GRPEL2	0.714
PPID	-0.6072
TRIM56	-0.39525
UBE2J1	0.652125
IL20RA	1.25225
LOC387856	0.259
C1orf107	1.3375
UTS2R	-2.05575
C19orf22	-0.53325
SAFB2	-0.541375
KIAA0652	-0.6605
KLRG1	0.538166666666667
MS4A8B	0.0503333333333333
FRAG1	0.6095
KIAA1546	-0.35125
E2F4	-1.1847
CLEC4M	0.0878333333333333
BTBD14A	-1.18675
KIAA0999	0.7833
GYPA	-3.70666666666667
TAC1	1.919
TRAIP	-1.22
KIAA0232	0.9766
ERCC8	-0.762875
GPX4	-0.203625
KIAA0368	0.625625
GPR157	-1.95116666666667
CTAGE4	2.5805
C9orf30	0.486333333333333
OR52A1	1.107
HSP90B3P	-0.5125
ALG9	-1.2174
BTBD10	0.85725
SDK2	0.03625
BAIAP3	-1.4385
RABGGTB	-0.4075
ANKRD40	-0.176
KRT74	0.7545
CALCOCO2	0.580785714285714
SNCA	-2.72525
TMSL8	0.13925
C2orf53	0.089
ESRRB	-0.04575
ARHGAP26	0.727625
TDRD9	-2.3555
HRAS	-0.253166666666667
KLRC4	-0.459
JAGN1	-0.752166666666667
BSDC1	0.578
RNF43	-0.5429
NDUFAF1	-0.2645
PHF12	0.3745
OR1L3	0.386
FOLR2	1.17008333333333
LYZL6	0.3
tcag7.1260	-0.8295
WSB1	-0.898666666666667
PROS1	-0.0835
OSTN	0.5865
PSMB8	2.31375
SOCS4	-0.350125
DDIT4L	1.52825
MAS1	-0.247
MGC34796	0.84675
CSHL1	0.4775
TBCCD1	0.209666666666667
ZBTB7C	-0.3685
AP2S1	-0.222625
P15RS	0.963
VAT1	-1.6412
SHANK3	1.37633333333333
TUFM	-1.10716666666667
THEG	-0.57875
KRT34	-1.34825
SGSM3	-0.566125
TOMM22	0.123625
SOCS3	1.09483333333333
CPO	1.047
POP4	0.476
BHLHB3	1.71425
MALL	1.404
OR1B1	0.143
PARK2	0.440166666666667
GPR124	-0.151875
LCE1E	0.491
RUVBL2	-1.07125
CGRRF1	0.5376
ACPL2	1.66625
WNT10B	-1.67075
BAIAP2L2	0.0355
ISCA1	0.4045
C1orf125	0.100125
RPAP1	-1.374
RAI16	-0.432833333333333
RPL27	-0.800375
NLRP9	0.412
EPN1	0.213
LOC388610	-0.945125
SLC35A1	0.3046
GAL	-0.7395
SLC14A2	0.26625
RDH11	-1.15733333333333
FAM138F	-0.0065
AUH	0.49475
FLJ40243	0.0945
C14orf129	-0.157
MBD2	0.684333333333333
ABHD14B	-0.264875
PIGT	-0.13475
ALS2CR4	-0.532125
ALAS1	0.0926
FOXO1	0.663
CRLF3	0.157125
C20orf107	-0.0915
FARS2	-0.29375
CCDC28A	0.3025
NPHP3	-0.932
OR13F1	0.2505
TSEN54	-1.0635
DEFB106B	0.1994
OR8B4	0.8765
STH	-0.1815
ZC3H14	-0.4525
CBX2	-0.988
TMEM49	-1.30825
C6orf21	0.4095
FLJ20920	-0.84675
CRTAP	-0.622857142857143
DDX50	0.0835
STYXL1	-0.16625
BLVRB	-0.632666666666667
LOC147650	0.9775
MMP24	-0.05675
GRID1	1.40633333333333
BANF1	-0.1905
CTAGEP	0.9395
HMBS	-2.056
SLC25A24	0.580666666666667
C14orf50	0.3575
MRO	1.35033333333333
SLC25A15	-0.31075
FAM84B	0.9046
TDP1	-0.3995
C16orf78	0.445166666666667
C11orf57	0.12
RFK	0.500875
ZFYVE9	-1.098625
STCH	-0.5946
WIBG	-0.49625
LOC283871	-0.6335
GBA2	-1.028
NDUFB3	0.43975
HSD17B13	-0.3225
GRIN3A	3.45866666666667
FMNL1	-0.4405
SEPT7	-0.6642
GNLY	5.218
GRAMD1C	-0.229666666666667
ZNF165	0.48325
USP38	0.6965
FAM83A	-3.4565
C14orf24	0.126333333333333
ARMCX3	1.31225
ARHGDIB	0.606666666666667
AK1	-0.927125
KIAA1045	0.747
DNAJB13	0.00283333333333333
NEU2	0.211
HIST1H4B	0.294833333333333
FAM20B	-0.1431
HES2	0.425571428571429
FAM73B	-1.165
LOC388381	0.3935
INTS7	0.288363636363636
AMPH	0.2375
ZNF775	-0.873125
UCKL1	-1.53733333333333
C10orf97	0.3145
C1orf161	0.43625
ALDH1L1	-1.2745
FLJ39378	-0.24575
SLC23A1	-1.7515
RBM4B	0.39825
THAP4	-0.624
OGFRL1	2.64475
KIAA0831	-0.786875
PPP1R15A	-0.5895
C1orf96	0.622571428571429
C12orf11	0.24975
BMF	0.755
MAN1A1	-0.782125
KIAA1600	0.967333333333333
NLGN4X	-0.03125
ALOX12	-0.709666666666667
RB1CC1	0.098
NEIL2	0.6395
EIF4E	-0.388636363636364
ABHD5	-0.0615
EXOC4	-0.636333333333333
CIP29	-0.127666666666667
BATF2	2.9685
SLC29A4	-0.48325
HTR4	1.62375
EMB	0.2545
TRAF6	1.11875
LMNB1	-2.48125
FAM19A5	-2.105125
SHE	1.025
PIK3C2B	0.80525
C15orf15	-0.8875
USP15	0.1039
TCEAL2	2.734
C5orf39	-0.051
PTGER2	0.06675
SLC31A1	0.2335625
IFT172	0.592
ADAM29	0.38125
GFOD1	1.03425
ST7L	0.879
C15orf26	-1.95275
PKN3	-1.1555
CNTD1	-0.07
COMMD1	0.30275
NTRK2	4.68791666666667
FOXN3	0.024375
MFGE8	0.4911
PFKFB2	1.544
TAS2R4	-0.52875
ENTHD1	0.753
PRMT5	-1.06975
MGC16384	-1.796875
LOC442229	0.27325
TSKU	-0.52075
KRTCAP3	3.692875
PDLIM1	-0.0072
KCNS2	-0.08575
RNF126	-1.36383333333333
CEP63	0.370625
CLIC4	0.938375
hCG_1990170	5.1725
ACR	2.5858
KLK7	-0.638
ALOX5AP	4.186375
RIPK3	2.89175
TAS2R9	0.686
C19orf18	0.311
BIRC6	-0.188142857142857
ZNF16	0.8565
RFT1	-0.61725
SLC8A2	-0.572
TACC1	0.4945
ITGAD	1.6215
SAMHD1	2.785
SH3PXD2B	1.11
EPC2	1.11025
C20orf85	0.48225
ATP13A2	0.162333333333333
KRT4	0.0275
CAPNS1	-0.56125
MDM2	0.05275
PCDH20	1.38025
KCNK9	0.2665
OR2C1	0.276
KLHDC3	-1.14066666666667
IPPK	0.5515
EFHD2	0.23575
GALR3	-1.82025
NBEA	1.36183333333333
ABCA6	1.6667
CLDN3	2.04333333333333
AKT2	-0.8045
EGFR	0.1033
RBM16	0.60275
ZDHHC3	-0.3745
SLC25A4	-1.2705
CYB5B	-0.278
CPXM1	-1.23125
NDRG1	-0.943307692307692
FLJ43826	0.2605
OR5L2	0.394
FARP2	-0.5298
MRPL46	-0.54975
LDHAL6B	0.470666666666667
MAPKAPK3	-0.977166666666667
NCAM2	-2.2535
PRKD2	-0.627666666666667
ZFP36L1	1.1465
CYSLTR1	0.13575
OR4C3	0.30675
HIST1H2AJ	-0.466
CCNB2	-1.08611111111111
ZNF10	0.169375
TMEM175	-0.3795
FAM134A	0.0326666666666667
TIGD4	-0.239
PCNP	-0.1625
MGC39715	1.2615
LQK1	0.03525
CREB1	1.0524
TMPRSS3	2.17225
C4orf32	-0.666875
LAT	-0.703833333333333
KCNA3	0.552
SKIV2L2	-1.2525
ROPN1B	3.8925
tcag7.23	-0.3545
CDT1	-1.291
ZHX2	1.754
CD28	-1.82375
ZNF624	1.08625
SEPT2	-0.18925
SOHLH2	-1.840625
MCOLN3	0.133625
UNQ1945	0.3855
MASP2	-0.9915
ZNRF3	0.058
GPATCH3	-0.712
AGL	0.07575
QRICH2	-0.09
PSD4	-0.1975
CCNB1IP1	-1.8045
ENPP7	0.153
OBFC1	-0.2265
KCNG3	-1.06075
C14orf79	-1.25375
ENPEP	2.1895
SCT	1.4945
SKI	0.209625
SEC61G	0.03375
CAPN11	-0.59775
ATXN7L3	-0.857
DBNDD1	-0.418
FAIM	1.298
ANKRD36	0.309
GABRP	5.30883333333333
TACSTD2	0.680666666666667
EIF3J	-0.523
PPP2R2A	-0.38175
TEKT4	-0.688166666666667
PVALB	-3.393
F10	-3.40616666666667
FAM134C	-0.1169
COMP	3.112125
EFCBP1	-0.93425
SCLT1	1.352
TAL1	-1.1388
ACSL1	0.92825
ABCC5	-0.154666666666667
ABL1	-1.17211111111111
RBBP7	0.00624999999999999
PTPRG	-1.749
NCOR1	0.2803
SPINK4	-2.19033333333333
TXNRD1	-0.3048
TNRC15	-0.141875
C9orf138	0.823375
UBE2H	0.776666666666667
BRDT	-0.0198333333333333
C8orf31	-0.00675
CCNE2	1.06254545454545
SLC6A8	-1.818125
CALCR	-3.9195
PPP1CB	0.1225
ABHD8	-0.85725
ARF5	-0.4584
SLC24A4	1.421
CCT3	-0.831
ZNF121	1.053875
SLC3A2	-1.5972
OR13A1	0.0745
SLC5A10	-0.4395
RAD50	-0.715
IER5	-1.77625
MTHFD1L	-0.983875
MBTPS2	-0.04
MVK	-1.4935
NCL	-0.131
PSMD10	0.50275
MOBP	-0.065875
FLJ32894	1.6025
HRH1	-0.9345
C5orf30	-0.1755
NUDT16L1	-0.2299
RASGRP3	4.487
PRKRIP1	-0.8415
CCDC75	0.18875
LOC253970	-0.09075
KIAA1239	1.22975
MED21	0.26975
SYT11	1.33258333333333
NTSR2	0.2385
EGFL11	0.5505
CXorf59	0.631
OR2A25	0.3455
SPTBN2	-0.3575
LRMP	-0.51
RNF111	-0.3275
PTH	-0.2145
LOC619208	0.7645
KIAA0895	0.176
RANBP5	-0.89675
P2RY10	2.50833333333333
NME5	3.84866666666667
DDX21	0.3795
LRSAM1	-0.7935
HDAC11	-0.7695
VMO1	1.35375
NOLA2	-0.2955
ADAR	0.717583333333333
MTO1	-0.6755
SF4	-0.319333333333333
P2RX1	0.0716666666666667
HBM	0.01125
EN2	-2.4495
C14orf172	-0.49
TM9SF2	-0.1345
INHBE	-0.514
TCTE3	0.87075
TOX2	-2.59
CTAGE3	0.725375
HBB	2.7211
MED15	-1.01266666666667
CASR	0.5245
C6orf66	-0.102833333333333
MTPN	-0.002125
UNC50	0.44675
C21orf33	-0.371875
IRF2	2.128875
PGR	-2.24366666666667
GPR84	3.7985
CROCCL1	-1.76925
SRPX	-1.06575
BRE	-0.299833333333333
FGF10	0.18325
SDC3	0.206
ZRSR1	-0.00883333333333333
DKFZP434P211	-0.829375
SOX6	0.921
RPUSD2	-0.89025
C14orf173	-0.530666666666667
MAPK11	-0.113333333333333
TBC1D22A	0.042
FAM123A	-0.4895
COL4A6	-3.8335
TOMM70A	0.70325
NAB1	1.203625
MGC16385	0.06525
TSPAN18	-0.996166666666667
MED31	-0.07625
PLG	-0.06375
CAPSL	0.686
ZNF532	2.0715
ASB14	-0.39625
CA8	0.402
NUDT16P	1.3945
SLFN11	1.371
LRRIQ2	0.056875
NOL7	0.109666666666667
BRMS1L	0.161
JARID1A	0.727
PANK2	0.39725
ICAM3	-0.57675
MDS1	0.27075
TAF8	-0.54175
RNF139	0.373
ZNF594	-0.7935
ADAM8	3.353625
SFTPC	-0.486875
MAN2B2	0.480875
RGS12	-0.316875
EIF1AY	-4.29791666666667
LRRIQ1	1.29266666666667
GPR150	-3.061
CCDC21	-0.9645
PRRG3	0.5175
SAA4	-1.0515
RAPGEF5	1.161875
ZCCHC2	1.45091666666667
MGC39372	0.3435
PPP4R2	0.0911666666666667
CDCA2	-0.160333333333333
OR4D5	0.508166666666667
PTGFRN	0.5876
SIGLEC5	3.15383333333333
C19orf61	-0.67
NMUR2	0.41
KIAA1586	-1.017
DAGLA	1.12183333333333
CHCHD6	-0.22925
GPR32	0.584
NEUROD6	0.3965
SLC2A4RG	-0.3564375
CA5B	0.22575
FBXL3	0.40525
MPHOSPH9	-0.2435
HMG2L1	1.06425
HCN4	-2.26816666666667
CEACAM19	0.47725
SH2D4B	0.847333333333333
HFE2	-0.4565
TGM4	0.0233333333333333
LYPD2	-0.0655
TBC1D15	-0.5275
MRPS21	0.043
NONO	-0.4089
CLEC5A	3.510125
ITCH	0.1849
MGAT3	2.34216666666667
MBP	0.640625
RPP25	-0.71775
SOSTDC1	-1.9195
HRC	-1.98975
TRIM48	0.367
TMEM133	1.72175
ECEL1P2	-1.01475
HOXC11	-1.2185
DOK5	1.833
HELZ	0.167333333333333
LOC348180	-1.15525
MGC33894	0.1615
ADRB3	0.197
DMD	0.400666666666667
PTRH2	-0.2135
MPEG1	3.35166666666667
NDUFA12	-0.0995
KRTAP2-4	-0.0320833333333333
STAMBPL1	-0.1435
ADCY2	2.19
UNQ6125	0.8255
KLHL20	-0.355666666666667
SRM	-0.9025
OTC	0.31325
TMIE	0.453166666666667
SNX8	0.25575
LIPK	0.2135
CHURC1	-0.42675
KLC2	0.0673333333333333
HDAC1	-0.2905
FAM128A	-0.269333333333333
FNDC3B	1.6953
MTCP1	0.255666666666667
WFDC10B	0.1145
PCDHGB3	0.4845
ATRNL1	-1.1308
CAV2	-0.560875
MED26	0.435
DUS1L	0.01475
CHRM3	-1.685875
NEK9	-0.57825
WARS2	0.4815
TBX22	-0.676
TOMM40	-0.49475
RP6-213H19.1	-0.3195
TUBGCP5	-0.8095
IGSF6	5.435
TPPP	-0.185166666666667
UNQ6190	-0.521
GSTM5	0.117375
BTD	-0.541333333333333
PDCD1LG2	2.26433333333333
SNRPB2	0.0313333333333333
ERICH1	0.345375
APOA4	-1.316
HOXA11	-1.4325
NARG1	-0.556375
MKX	1.01825
RAB28	0.0911428571428572
PKP3	0.9755
SH3GL2	2.49975
CTSO	2.6155
RPN2	-0.1310625
IL28RA	-0.193333333333333
SFMBT1	0.7165
WDR57	-0.70975
FER1L3	0.155833333333333
HSF5	0.125666666666667
TTC9B	-0.00875000000000004
C4BPA	-0.516666666666667
ALB	-5.09792857142857
SORBS3	0.10025
UPF2	1.334
JPH1	0.9045
AGBL2	0.149
DOPEY1	0.789
TERF1	0.692416666666667
KIF22	-0.929
NINJ1	0.67225
SEC61A2	0.381083333333333
HIST1H1D	-0.465333333333333
SFXN4	-0.675625
UCP3	0.3061
ZNF703	-0.318333333333333
MYL6B	-0.69325
TREM1	2.81875
OR52E6	0.628
CKMT2	2.119
HLA-C	2.6735
SLC13A3	-0.995833333333333
TIMP4	-2.83425
SLIT2	1.62275
RSF1	0.374111111111111
LONRF1	0.0880714285714286
MON1A	-0.347833333333333
CACNG6	-2.88216666666667
DPPA4	-5.7025
ZSWIM3	0.1535
ZNF804A	0.9165
CCIN	1.4065
SLC25A31	0.5165
KCNMB4	-1.18625
RABL5	0.236375
GALNS	-0.0904
STX6	0.577125
HIST1H1C	-0.168333333333333
CIDEB	0.9135
CASP4	0.647333333333333
PDK3	0.9893
KCNJ11	-0.292
TPR	-0.379375
ZSCAN20	-0.0545
MTX2	-0.3595
HIST1H2BH	1.08325
LOC283767	0.536
LYRM7	-1.30516666666667
BRD3	-1.5375
HIST1H2BO	0.74725
MAGEB10	0.13
SLC45A1	0.0805
SERPINA3	1.91985
KIAA0143	1.7785
KCNJ16	0.483833333333333
KRT79	-0.07
FABP2	-0.631
NUT	-0.4965
ZNF57	-0.0255
FBXL4	0.50775
CLEC9A	1.608
UGT8	1.894
BMP2K	1.6
MAPK4	-1.73925
SLC25A23	-1.175
HINT1	-0.6939
KRTAP13-1	0.27
SFXN5	-0.5685
CHCHD2	-0.17675
FAM3D	0.756
NDP	-2.421625
RHOBTB1	-0.513166666666667
SLC4A4	-0.09575
RPL38	0.24475
HTF9C	-0.819666666666667
AP2A2	0.0185
ZBTB46	-0.713
MAP7D1	-0.42925
AOX1	-1.733
CYR61	0.257
DTNA	0.549571428571429
JRKL	1.37425
TMOD3	0.4055
EEA1	-0.2047
ADCK5	-1.10275
IL1R1	1.72666666666667
KLK3	-0.342357142857143
HRSP12	1.09275
KTN1	-0.11625
LOH11CR2A	0.5175
RELL2	-1.023
MAB21L1	0.042
C20orf59	-0.578833333333333
PHKB	-0.197
ADAM2	-1.94933333333333
TBC1D8B	1.45083333333333
FAM13A1	-0.5838125
LAPTM4B	0.273416666666667
LCN8	0.2375
TMEM147	0.2245
SYT4	0.208666666666667
XPO7	0.3415
C9orf62	-3.3235
GPR75	0.825
TRIM5	0.75875
APOC1	2.46583333333333
RNASE4	-0.932166666666666
PARD6B	-2.969125
ARID1A	-0.202583333333333
TPD52L3	0.3154
RRAGB	0.172
RCN2	-0.347666666666667
HIST2H2BE	0.3636875
STARD7	0.6805
SHMT2	-0.333
KIAA1751	-0.00133333333333333
MLYCD	-0.087
LOC162632	-0.5539
UQCRH	0.29775
RP11-217H1.1	0.8695625
SDHA	-2.32233333333333
NCLN	-1.2101
ZNF17	0.211833333333333
RCBTB2	0.57025
VEGFB	-0.6285
RP4-747L4.3	1.553
COLQ	0.0078
MPN2	-0.770833333333333
DRG2	-0.60375
KLRB1	3.69925
ALPK2	-0.84825
DNASE2B	1.60275
FLJ23834	0.236666666666667
AXUD1	-0.3545
SAFB	-0.7688
NSUN4	0.098
RFX2	-0.531833333333333
MAPK8IP1	-0.308833333333333
FANCD2	-1.19014285714286
ANKZF1	-1.65416666666667
C19orf50	-0.455
DUSP8	0.350875
SENP5	0.791375
NFKBIL2	-0.84575
LBR	-1.032875
IGFL1	1.4965
LZTS2	0.236
IL2RG	1.529375
CCDC51	-0.612
KLF3	0.772875
ANKRD37	-1.386
KCTD14	0.935333333333333
FZR1	-0.392083333333333
SLC44A4	-1.9176
ESPL1	-1.063875
GMPR2	-1.0585
TBC1D19	-0.4595
ERGIC1	-0.187037037037037
ERBB4	-0.5658
TSPAN32	0.86725
MAP4	-0.805125
GPHN	-0.574
SLC6A2	0.143625
HIVEP1	1.89275
DFFB	0.4659
EIF4EBP2	0.59925
DMRT1	3.2855
HSPB6	-0.06825
IER2	0.0991666666666667
AIFM1	-0.00525
WWC2	-0.212333333333333
MRPL4	0.316
FLJ21062	-0.107833333333333
EPB41L4A	-0.000166666666666648
SH2D6	0.49675
TAF4B	1.173
GAL3ST3	-0.0965
MALT1	0.945
RTDR1	1.67225
ARVCF	-0.639625
MEX3B	1.27133333333333
FBXO16	0.893
KIF7	-2.55775
C1QC	4.26966666666667
ZNF783	0.0668333333333333
ZNF85	-0.118
MMP13	4.626
KIAA0329	-0.219875
RTP3	0.2425
ZBED3	-0.85375
CLGN	-3.1225
SLC25A37	-0.701291666666667
hCG_18290	-1.7875
OR5AS1	0.1855
SMARCC2	-0.872083333333333
FAM109A	-0.881666666666667
CCDC12	-0.44275
USF2	-0.078
DEPDC7	-0.3635
C20orf24	0.193166666666667
JMJD3	-0.345
DSP	0.740642857142857
SLIC1	0.811625
FAM20A	2.455
IRF2BP2	0.71725
ZNF230	0.1825
MSN	0.528642857142857
SLC9A5	-1.916
EPDR1	-1.2142
MUSK	0.0945
ZNF434	-1.17616666666667
