Hybridization REF	TCGA-A2-A0EY-01A-11R-A034-07
TEK	1.05928571428571
SLC25A46	-1.215
LARP7	-1.6889
CD160	0.496166666666667
MT1JP	-0.968333333333333
PHF20	0.105375
CPNE4	-0.4105
GTPBP1	-0.168642857142857
RAB33B	-0.3792
ALDOC	-2.487
ZNF212	-0.23675
NUDT1	-0.537666666666667
RFPL2	0.237
ZNF83	0.583833333333333
GDPD5	0.03525
PDCD4	1.34305
CEP350	-0.54075
OR10A2	0.527
CST7	1.011
CIAO1	-1.70425
SELL	1.183
OR8J3	0.853
LTBP4	-1.41716666666667
SIRT6	0.3405
CCL19	4.4685
PPIL1	-0.346166666666667
GBP7	-0.8065
STK17A	-0.8313
ABR	-0.24875
OR9G1	0.345
FOXE1	-1.551375
CNGA3	2.848
GML	0.5505
CD38	-1.46225
ZDHHC6	0.487333333333333
NEFH	-2.3435
CTDSP2	0.512666666666667
PGBD5	-2.603
CCNY	-0.246785714285714
RMND5B	0.284583333333333
ZNF257	0.3985
FLJ22167	-1.195875
EXOSC7	-0.4515
ROR2	-0.0179999999999999
MAOA	0.17125
TNNT3	0.33
GYPC	-1.30625
C7orf33	0.266
PLIN	2.89233333333333
LOC90826	-0.98425
RNF4	0.0673
F8A1	1.114
PLEKHG4	-1.49025
GRB2	-0.2473
HIST1H2AD	-1.7605
DUS3L	-0.763333333333333
EIF1	-0.5935
RP5-1077B9.4	-1.084
FPGT	0.38025
GDF10	0.144666666666667
COQ9	-0.31775
GCC2	-0.0730714285714286
RARRES3	2.43625
PLXNA1	-0.4157
KIAA0100	-0.2886
PMF1	0.24225
FNDC1	5.389
HS2ST1	-0.465333333333333
CRELD2	0.34075
C8G	-1.3355
CD82	1.20425
LIM2	-1.187
UNQ6490	-0.0685
MMP16	-0.57725
DRD3	-0.072
C5orf26	-2.14025
C11orf73	-0.060875
PTP4A2	0.786625
OR4M2	0.136
HPCA	-0.93
SEC14L1	-0.473166666666667
CHFR	0.39125
EMILIN1	0.589
NDUFS4	-1.16325
COL18A1	-0.33225
PDZD3	0.211444444444444
C9orf16	0.628166666666667
ERBB2IP	-0.337833333333333
EMX2	2.0065
FUS	-0.809
TF	-3.6202
CLCN4	0.1895
CXorf56	0.3105
C11orf72	0.13575
ELAC2	-0.711083333333333
NPR1	-1.26575
ASS1	-0.3785
USP42	0.723625
POLR2J	0.284
SEC23IP	0.881666666666667
UQCRC1	-0.0145
LOC729603	-0.3025
C1orf71	0.277
POLG	-2.677
ADAM23	-2.8045
TFR2	-1.633
RICTOR	-1.5608
MGC39606	0.728
C19orf55	-0.229875
SNAPC1	-1.5075
GNA11	1.593625
CCDC52	0.991166666666667
FSIP1	4.661
UPF3A	-1.061875
IGSF11	-1.9355
LAGE3	1.41275
CHST6	-1.582
UNC13B	0.269625
TTLL4	-0.96325
ZNF687	0.440625
SDC2	-1.5632
COX7A2	0.157
LAMB4	-0.4905
FAM24A	-0.712
LRRTM3	-1.5226
GPHB5	-0.30725
OR4C13	null
EIF3EIP	-0.216857142857143
HABP4	-1.124
TMEM125	3.055
CNTN2	0.304
ASNSD1	0.17225
FUT4	-0.136375
ACF	-3.20633333333333
LOC158381	0.451
CDH8	0.085
AGPS	-2.5115
C4orf18	2.466
PECI	0.669333333333333
UNG	-1.107875
GSTP1	-0.537875
DCUN1D5	0.000999999999999982
DKFZP564J0863	-0.687
SLC9A3R1	1.528875
BCDO2	0.0495
CHMP7	-0.1685
REM2	1.667
DNHD1	0.105125
FKBP4	0.537
ZNF350	2.866
MGC11102	-0.32
BST1	1.405
KISS1R	0.104
NCR2	-0.2465
DEFB125	null
UBE2W	1.48875
KRT15	-1.74725
C10orf99	0.214
SCN11A	0.105
GFI1	-1.53325
RDHE2	5.004
FHL1	-1.12466666666667
OSGEP	-0.714333333333333
GATA1	-3.387
SMC6	-1.59525
TTTY14	-0.92175
LPIN3	-1.018
RPL4	-0.8187
RBPMS	-0.3605
PRPF3	-0.43
EMR1	-2.301
SPATA19	-0.0313333333333334
XCR1	0.082
IRX3	0.8766
RBM6	-1.14225
KLF4	-2.1017
UNC5CL	-0.06825
SEBOX	0.7395
BTK	-0.8455
KRCC1	0.7585
C6orf27	-0.117
SYTL5	-0.7185
PRND	1.37885714285714
LOC653319	-1.272
PIGL	-1.385625
HUS1	-0.0913333333333333
SFRS6	0.421583333333333
C17orf77	0.372
UIMC1	-1.00966666666667
FXYD2	-1.8594
LOC283152	-0.21175
ZNF667	0.12325
ZCCHC12	-2.46666666666667
TFEC	3.4126
ATP7B	1.661
POLD2	-0.879166666666667
RG9MTD1	0.181
ACOT2	-0.464833333333333
HIST1H4I	-1.41214285714286
PPARGC1A	-1.8278
ETFA	-0.8432
POLRMT	-0.70925
ZNF146	0.385
MIA2	-4.572
KLHL6	-0.254333333333333
HOXB5	0.65575
NENF	1.02633333333333
CUGBP1	-0.127
PRSS22	2.0285
CASC4	1.4241
CUL4B	1.1294
CENPJ	-0.9068
PITX1	0.1935
FLJ31033	0.107
CELSR3	0.0218333333333334
ZNF568	0.71175
ITSN1	-0.0409090909090909
EHBP1L1	-0.539833333333333
C19orf2	-0.678
DCTN1	-0.52975
LIN28B	-4.1265
TNKS2	0.112
C1QBP	-1.021875
CADPS2	2.113
SRMS	-0.042
GJA9	0.09
MGC24975	0.733666666666667
TRIM45	-1.69133333333333
TSP50	-1.075
TCP1	-0.3625
TMED7	-0.568
CMA1	0.401
CENPL	-1.01066666666667
PTCRA	0.614
FST	-4.1725
VWCE	-3.52025
PAWR	0.01875
ABCC12	3.73566666666667
LDLR	-1.2299
ASTN2	-0.1863
LOC441212	-1.4435
GPATCH8	-0.109
TANC2	-0.323416666666667
KIF4A	-2.27625
C18orf18	-1.364
PGM1	-1.3845
KIAA0258	2.47775
CPD	1.517
SNCAIP	-1.8755
DCT	-4.543
HLA-DOA	3.01604545454545
OR11L1	0.514
UPK1B	-0.374666666666667
DNAJB4	-0.742625
UGT1A8	0.912
HIST1H4L	-0.365
PECR	-1.2365
HSPA2	0.45
WFIKKN1	-1.933
SERP1	1.648125
SYDE2	2.015
TACR2	-0.5445
NUP85	-0.6615
CD177	0.2135
LGR5	-2.33175
PIGG	0.454083333333333
PTHR1	-1.748
RAB5A	0.4588
FLJ13224	-0.799
USP9Y	-2.0302
C7orf53	0.3695
LRP1B	1.64025
XAF1	0.5739
ABCG8	-0.121
ANKDD1A	-0.447166666666667
DAND5	-3.615
SPAG6	0.456
LINCR	1.0255
ZDHHC22	-1.719125
CCDC60	-0.497
THOC7	-1.63983333333333
TCTA	1.6819
OR8K3	-0.0107499999999999
NY-REN-7	-0.9775
B2M	0.844
C6orf141	-0.405625
LPPR4	1.119
SQLE	-1.814875
SEPHS1	-0.40125
BTBD14B	0.724071428571428
PLRG1	-0.86825
SPG7	-0.8835
ZNF614	0.125833333333333
PARD6G	0.389
INPP5B	-1.30444444444444
GRPEL2	-0.763375
PPID	-0.8312
TRIM56	-0.27425
UBE2J1	-0.00874999999999999
IL20RA	5.8235
LOC387856	-0.687
C1orf107	0.824083333333333
UTS2R	0.252
C19orf22	-0.31425
SAFB2	-0.471125
KIAA0652	-0.121875
KLRG1	0.493666666666667
MS4A8B	4.807
FRAG1	0.098
KIAA1546	0.404
E2F4	-1.6671
CLEC4M	0.239
BTBD14A	1.1795
KIAA0999	0.9963
GYPA	-3.71016666666667
TAC1	0.0145555555555556
TRAIP	-1.29516666666667
KIAA0232	1.6201
ERCC8	-1.845375
GPX4	0.566125
KIAA0368	-0.374
GPR157	-0.460666666666667
CTAGE4	-1.0395
C9orf30	-1.0045
OR52A1	-0.2755
HSP90B3P	-0.4185
ALG9	0.0497
BTBD10	0.19925
SDK2	0.0425
BAIAP3	1.25825
RABGGTB	-1.481125
ANKRD40	0.524
KRT74	0.0745
CALCOCO2	-0.0794285714285714
SNCA	-2.766
TMSL8	-3.799875
C2orf53	-0.3945
ESRRB	-1.78625
ARHGAP26	-1.867625
TDRD9	-3.16075
HRAS	-0.455
KLRC4	-1.7505
JAGN1	-0.318333333333333
BSDC1	0.278
RNF43	0.00189999999999999
NDUFAF1	0.12225
PHF12	-0.2305
OR1L3	-0.769
FOLR2	2.05125
LYZL6	0.504666666666667
tcag7.1260	-0.665
WSB1	-2.24533333333333
PROS1	-0.8238
OSTN	0.3035
PSMB8	-0.6045
SOCS4	0.5945
DDIT4L	2.34825
MAS1	0.3165
MGC34796	1.67875
CSHL1	-0.363166666666667
TBCCD1	0.5325
ZBTB7C	-0.0865
AP2S1	0.50775
P15RS	0.4062
VAT1	-0.6825
SHANK3	1.03966666666667
TUFM	-0.169333333333333
THEG	-1.976
KRT34	-3.04525
SGSM3	0.916625
TOMM22	-0.645875
SOCS3	0.444666666666667
CPO	2.067
POP4	-0.04225
BHLHB3	0.6105
MALL	1.67975
OR1B1	1.4075
PARK2	0.238166666666667
GPR124	-0.5455
LCE1E	2.3525
RUVBL2	-0.43425
CGRRF1	-0.2369
ACPL2	1.84075
WNT10B	-1.602875
BAIAP2L2	-2.167375
ISCA1	-0.165
C1orf125	-0.803428571428571
RPAP1	-0.7595
RAI16	-0.9015
RPL27	-0.581
NLRP9	-0.962
EPN1	0.722
LOC388610	-2.753875
SLC35A1	2.0467
GAL	-3.9165
SLC14A2	-0.42225
RDH11	-0.790666666666667
FAM138F	-0.131
AUH	-0.61
FLJ40243	0.8185
C14orf129	0.6985
MBD2	0.926166666666667
ABHD14B	-0.8075
PIGT	0.9965
ALS2CR4	-0.00850000000000005
ALAS1	0.4719
FOXO1	0.960166666666667
CRLF3	-0.75375
C20orf107	0.0775
FARS2	0.863
CCDC28A	0.71975
NPHP3	-0.709
OR13F1	0.3615
TSEN54	-0.5305
DEFB106B	0.0252222222222222
OR8B4	-0.6305
STH	0.62125
ZC3H14	-1.122875
CBX2	-0.608
TMEM49	-1.43825
C6orf21	0.893
FLJ20920	0.256
CRTAP	-0.581428571428572
DDX50	-0.28575
STYXL1	-0.0225
BLVRB	0.991166666666667
LOC147650	-0.2945
MMP24	0.952
GRID1	1.02566666666667
BANF1	-0.591333333333333
CTAGEP	-0.18125
HMBS	-1.2215
SLC25A24	-0.0493333333333333
C14orf50	0.6835
MRO	1.37483333333333
SLC25A15	0.20675
FAM84B	1.5394
TDP1	-0.8395
C16orf78	-0.5622
C11orf57	1.158
RFK	-0.852375
ZFYVE9	-0.629142857142857
STCH	-0.832
WIBG	0.4485
LOC283871	0.413
GBA2	0.00329999999999999
NDUFB3	0.297
HSD17B13	-0.19575
GRIN3A	1.3975
FMNL1	-1.10733333333333
SEPT7	-0.4524
GNLY	3.246
GRAMD1C	1.31783333333333
ZNF165	-0.89325
USP38	0.019
FAM83A	0.617833333333333
C14orf24	0.0198333333333333
ARMCX3	-0.224
ARHGDIB	0.479833333333333
AK1	0.53525
KIAA1045	-0.16975
DNAJB13	-0.516166666666667
NEU2	0.796
HIST1H4B	-0.962333333333333
FAM20B	0.3001
HES2	1.71042857142857
FAM73B	-0.3008
LOC388381	-0.73475
INTS7	0.0161818181818182
AMPH	-0.12975
ZNF775	-0.297
UCKL1	-1.17916666666667
C10orf97	-0.058
C1orf161	0.307
ALDH1L1	-1.1605
FLJ39378	-0.43625
SLC23A1	-0.2425
RBM4B	0.1155
THAP4	-0.0685
OGFRL1	0.4965
KIAA0831	-0.517
PPP1R15A	-0.733333333333333
C1orf96	0.0235
C12orf11	-2.09775
BMF	0.191375
MAN1A1	-0.77325
KIAA1600	0.7905
NLGN4X	1.8445
ALOX12	-2.1592
RB1CC1	0.2432
NEIL2	0.6671
EIF4E	-0.420772727272727
ABHD5	-0.434
EXOC4	-0.3635
CIP29	0.0566666666666667
BATF2	0.75525
SLC29A4	-0.66125
HTR4	-0.208666666666667
EMB	-0.52175
TRAF6	0.476
LMNB1	-3.3735
FAM19A5	-1.614375
SHE	1.381
PIK3C2B	1.1875
C15orf15	-0.7878
USP15	0.2909
TCEAL2	-1.2195
C5orf39	-0.895333333333333
PTGER2	-0.8295
SLC31A1	0.0269375
IFT172	0.7865
ADAM29	0.757
GFOD1	0.6925
ST7L	0.1415
C15orf26	-2.73
PKN3	-0.91275
CNTD1	3.40833333333333
COMMD1	1.261625
NTRK2	1.44158333333333
FOXN3	-0.449125
MFGE8	-0.6756
PFKFB2	1.45033333333333
TAS2R4	-0.2955
ENTHD1	0.3865
PRMT5	-0.349375
MGC16384	-0.907125
LOC442229	-1.05375
TSKU	2.46975
KRTCAP3	2.3685
PDLIM1	1.8903
KCNS2	0.204333333333333
RNF126	-0.4625
CEP63	0.66
CLIC4	-0.885
hCG_1990170	0.40625
ACR	0.5857
KLK7	0.7255
ALOX5AP	3.47775
RIPK3	3.0125
TAS2R9	-0.441
C19orf18	2.8125
BIRC6	-0.194785714285714
ZNF16	1.0335
RFT1	-0.38925
SLC8A2	-0.796
TACC1	-0.48175
ITGAD	1.54366666666667
SAMHD1	1.03225
SH3PXD2B	0.1915
EPC2	-0.08825
C20orf85	1.443875
ATP13A2	0.104666666666667
KRT4	0.244875
CAPNS1	-0.18625
MDM2	-0.459
PCDH20	8.4165
KCNK9	0.538
OR2C1	0.7615
KLHDC3	-0.8545
IPPK	0.962
EFHD2	0.230125
GALR3	0.67525
NBEA	1.615
ABCA6	2.4665
CLDN3	-0.657
AKT2	-0.544857142857143
EGFR	-3.0206
RBM16	0.53525
ZDHHC3	1.0825
SLC25A4	-1.57716666666667
CYB5B	-0.855833333333333
CPXM1	0.00575000000000002
NDRG1	-1.88561538461538
FLJ43826	0.3395
OR5L2	-0.449
FARP2	0.6013
MRPL46	-1.03625
LDHAL6B	-0.171
MAPKAPK3	0.1235
NCAM2	-1.316
PRKD2	0.866333333333333
ZFP36L1	1.3199
CYSLTR1	-0.542
OR4C3	0.23725
HIST1H2AJ	2.1795
CCNB2	-2.22611111111111
ZNF10	-0.13675
TMEM175	0.065
FAM134A	0.4735
TIGD4	0.504
PCNP	0.14175
MGC39715	2.23675
LQK1	-1.7905
CREB1	0.3702
TMPRSS3	-1.721
C4orf32	0.989875
LAT	-1.08566666666667
KCNA3	-1.085
SKIV2L2	-1.06925
ROPN1B	-4.07925
tcag7.23	-0.5125
CDT1	-2.69925
ZHX2	1.263625
CD28	-1.7035
ZNF624	0.45
SEPT2	0.139
SOHLH2	1.06875
MCOLN3	-1.40828571428571
UNQ1945	-0.1565
MASP2	-1.0395
ZNRF3	-0.4479
GPATCH3	-0.9575
AGL	2.17
QRICH2	-0.6925
PSD4	0.275666666666667
CCNB1IP1	-1.35025
ENPP7	-0.10775
OBFC1	-0.24025
KCNG3	-3.462
C14orf79	1.59566666666667
ENPEP	1.06733333333333
SCT	2.199
SKI	0.25475
SEC61G	0.17275
CAPN11	0.68275
ATXN7L3	-0.88525
DBNDD1	-0.3765
FAIM	0.114
ANKRD36	-0.2755
GABRP	-1.5304
TACSTD2	0.6866
EIF3J	-0.88925
PPP2R2A	-0.57325
TEKT4	0.353333333333333
PVALB	-4.53233333333333
F10	-2.36583333333333
FAM134C	0.6317
COMP	4.056875
EFCBP1	-3.01106666666667
SCLT1	0.647375
TAL1	-1.3411
ACSL1	1.73575
ABCC5	1.11825
ABL1	-0.2915
RBBP7	0.795166666666667
PTPRG	-1.594125
NCOR1	-0.4035
SPINK4	4.4855
TXNRD1	-0.1519
TNRC15	1.12775
C9orf138	1.996875
UBE2H	0.206166666666667
BRDT	1.05283333333333
C8orf31	0.194
CCNE2	-0.902
SLC6A8	-0.500125
CALCR	-2.79325
PPP1CB	0.733083333333333
ABHD8	-0.31575
ARF5	0.306
SLC24A4	0.4825
CCT3	0.12575
ZNF121	0.959
SLC3A2	-0.4767
OR13A1	0.626
SLC5A10	-0.06175
RAD50	-0.832125
IER5	-0.17625
MTHFD1L	-2.3375
MBTPS2	0.7845
MVK	-0.111875
NCL	-0.3865
PSMD10	-0.4055
MOBP	0.49175
FLJ32894	0.17
HRH1	0.629833333333333
C5orf30	0.641
NUDT16L1	0.9987
RASGRP3	3.628
PRKRIP1	0.4392
CCDC75	0.65025
LOC253970	0.243666666666667
KIAA1239	0.673
MED21	-0.65225
SYT11	0.28975
NTSR2	-0.8645
EGFL11	-1.566
CXorf59	1.581
OR2A25	-0.67275
SPTBN2	0.31925
LRMP	-0.649
RNF111	-0.28425
PTH	-0.1595
LOC619208	0.914
KIAA0895	0.894
RANBP5	-0.56475
P2RY10	1.89233333333333
NME5	3.23983333333333
DDX21	-1.6565
LRSAM1	-0.0325
HDAC11	0.820333333333333
VMO1	0.44275
NOLA2	-0.5775
ADAR	0.550416666666667
MTO1	-0.0668333333333334
SF4	0.312666666666667
P2RX1	-0.596833333333333
HBM	0.04
EN2	0.6795
C14orf172	0.3715
TM9SF2	1.3735
INHBE	-2.7272
TCTE3	-0.362916666666667
TOX2	-2.483
CTAGE3	0.513125
HBB	3.1426
MED15	-0.938666666666667
CASR	0.37575
C6orf66	-0.344333333333333
MTPN	-0.13125
UNC50	0.06
C21orf33	-0.08075
IRF2	-0.046375
PGR	-2.286
GPR84	2.06725
CROCCL1	-2.324
SRPX	-1.3855
BRE	0.0703333333333333
FGF10	1.234
SDC3	-0.635
ZRSR1	0.243
DKFZP434P211	-0.635375
SOX6	-1.04
RPUSD2	-0.37025
C14orf173	-0.393166666666667
MAPK11	-0.146833333333333
TBC1D22A	0.904
FAM123A	-1.134
COL4A6	-3.51566666666667
TOMM70A	0.4905
NAB1	-1.2665
MGC16385	-0.2285
TSPAN18	-0.265333333333333
MED31	-0.54575
PLG	0.477
CAPSL	2.171
ZNF532	-0.4302
ASB14	-0.6915
CA8	1.76975
NUDT16P	-0.818666666666667
SLFN11	-0.254
LRRIQ2	1.176
NOL7	0.1575
BRMS1L	-1.37075
JARID1A	0.347
PANK2	-0.38875
ICAM3	0.32875
MDS1	-0.929333333333333
TAF8	-1.12225
RNF139	1.55225
ZNF594	-0.568666666666667
ADAM8	1.9625
SFTPC	-0.4295
MAN2B2	1.249125
RGS12	0.096125
EIF1AY	-4.47308333333333
LRRIQ1	1.4655
GPR150	0.42525
CCDC21	-2.13133333333333
PRRG3	-0.47725
SAA4	1.61825
RAPGEF5	1.64575
ZCCHC2	0.693916666666667
MGC39372	-0.8435
PPP4R2	0.351833333333333
CDCA2	-2.12216666666667
OR4D5	0.9594
PTGFRN	0.7755
SIGLEC5	1.62316666666667
C19orf61	-0.105
NMUR2	-0.382
KIAA1586	-0.6135
DAGLA	0.280166666666667
CHCHD6	0.495
GPR32	-0.241
NEUROD6	0.371
SLC2A4RG	0.625625
CA5B	1.17925
FBXL3	2.38125
MPHOSPH9	-1.779
HMG2L1	0.799
HCN4	0.319333333333333
CEACAM19	0.8665
SH2D4B	-0.297333333333333
HFE2	0.1265
TGM4	-0.083
LYPD2	-1.562
TBC1D15	-0.0275
MRPS21	-0.0274
NONO	-1.3951
CLEC5A	1.971625
ITCH	-0.2697
MGAT3	-0.508166666666667
MBP	-0.806
RPP25	-1.7885
SOSTDC1	-4.41675
HRC	-1.2645
TRIM48	0.073
TMEM133	-1.389
ECEL1P2	-1.501
HOXC11	1.43
DOK5	-0.13575
HELZ	1.35916666666667
LOC348180	-1.37275
MGC33894	0.902
ADRB3	0.5455
DMD	-0.888090909090909
PTRH2	-0.42625
MPEG1	2.999
NDUFA12	0.170666666666667
KRTAP2-4	0.03775
STAMBPL1	-2.0634
ADCY2	0.407833333333333
UNQ6125	-0.693
KLHL20	0.588166666666667
SRM	-1.20825
OTC	-1.2435
TMIE	0.5545
SNX8	0.265
LIPK	0.775
CHURC1	-0.259333333333333
KLC2	0.455166666666667
HDAC1	-1.16016666666667
FAM128A	0.380333333333333
FNDC3B	0.3329
MTCP1	0.00233333333333333
WFDC10B	-0.467
PCDHGB3	0.383
ATRNL1	-1.970875
CAV2	-0.448375
MED26	0.0156666666666667
DUS1L	0.5885
CHRM3	-1.79985714285714
NEK9	-0.2395
WARS2	-0.953
TBX22	-0.333
TOMM40	-0.58825
RP6-213H19.1	-3.52483333333333
TUBGCP5	-1.70025
IGSF6	5.89025
TPPP	-0.2858
UNQ6190	1.5655
GSTM5	-0.014375
BTD	-0.1645
PDCD1LG2	-0.200833333333333
SNRPB2	0.189166666666667
ERICH1	0.2
APOA4	-1.863875
HOXA11	-2.0195
NARG1	-0.758
MKX	-0.414
RAB28	-0.471384615384615
PKP3	0.28675
SH3GL2	-3.04875
CTSO	2.392
RPN2	1.1219375
IL28RA	-0.407333333333333
SFMBT1	-0.0295
WDR57	-0.9315
FER1L3	0.315083333333333
HSF5	-0.0415000000000001
TTC9B	0.50125
C4BPA	-2.01116666666667
ALB	-3.52192857142857
SORBS3	0.085875
UPF2	-0.136
JPH1	-3.8365
AGBL2	-0.98825
DOPEY1	1.745
TERF1	-0.205416666666667
KIF22	-0.514833333333333
NINJ1	1.3625
SEC61A2	0.55225
HIST1H1D	0.265166666666667
SFXN4	0.126625
UCP3	0.3801
ZNF703	1.33216666666667
MYL6B	-1.4295
TREM1	1.34175
OR52E6	1.194
CKMT2	0.3355
HLA-C	1.572625
SLC13A3	0.892666666666667
TIMP4	-2.9195
SLIT2	1.533
RSF1	-0.0273333333333333
LONRF1	-0.893
MON1A	-0.00183333333333334
CACNG6	-2.0265
DPPA4	-5.56166666666667
ZSWIM3	0.77475
ZNF804A	0.549
CCIN	0.487
SLC25A31	-0.06475
KCNMB4	-1.9445
RABL5	1.532875
GALNS	-0.8368
STX6	1.34675
HIST1H1C	-2.8435
CIDEB	-0.43525
CASP4	0.294166666666667
PDK3	-1.1667
KCNJ11	0.325
TPR	-0.421875
ZSCAN20	-1.7335
MTX2	-0.9095
HIST1H2BH	-1.00375
LOC283767	2.6895
LYRM7	-1.02677777777778
BRD3	1.18033333333333
HIST1H2BO	-1.692
MAGEB10	1.266
SLC45A1	0.097
SERPINA3	0.90045
KIAA0143	1.745
KCNJ16	-0.233
KRT79	-0.49875
FABP2	-0.715
NUT	-0.64675
ZNF57	0.7595
FBXL4	1.479875
CLEC9A	0.7825
UGT8	-1.09266666666667
BMP2K	0.7005
MAPK4	-3.9
SLC25A23	0.4662
HINT1	0.0658
KRTAP13-1	-0.959
SFXN5	-0.2321
CHCHD2	0.634166666666667
FAM3D	3.4
NDP	-2.0925
RHOBTB1	-0.372
SLC4A4	-1.553625
RPL38	-0.43825
HTF9C	-0.648666666666667
AP2A2	-0.116125
ZBTB46	-2.052
MAP7D1	-0.218375
AOX1	-0.638166666666667
CYR61	0.230666666666667
DTNA	0.579
JRKL	-1.8155
TMOD3	-0.2135
EEA1	1.1797
ADCK5	0.409
IL1R1	1.27283333333333
KLK3	0.155
HRSP12	-0.10425
KTN1	-0.47875
LOH11CR2A	1.6997
RELL2	-0.56375
MAB21L1	1.232
C20orf59	-1.04883333333333
PHKB	0.27525
ADAM2	-2.815
TBC1D8B	0.328166666666667
FAM13A1	-0.7660625
LAPTM4B	0.347083333333333
LCN8	-0.2875
TMEM147	1.0935
SYT4	0.436666666666667
XPO7	-0.7335
C9orf62	0.45325
GPR75	0.1375
TRIM5	-0.106
APOC1	0.2855
RNASE4	0.531333333333333
PARD6B	-2.16
ARID1A	-0.1975
TPD52L3	0.0177
RRAGB	1.626
RCN2	-1.34283333333333
HIST2H2BE	-1.47825
STARD7	-1.0085
SHMT2	-1.34525
KIAA1751	-0.0608333333333333
MLYCD	-0.03375
LOC162632	-0.9534
UQCRH	-1.64275
RP11-217H1.1	0.93425
SDHA	-1.64816666666667
NCLN	0.9177
ZNF17	0.878666666666667
RCBTB2	-2.05475
VEGFB	-0.3428
RP4-747L4.3	1.65475
COLQ	0.5052
MPN2	-0.797666666666667
DRG2	-1.07725
KLRB1	6.68825
ALPK2	-1.99275
DNASE2B	4.1275
FLJ23834	0.3474
AXUD1	0.1955
SAFB	0.1081
NSUN4	-1.26925
RFX2	1.46733333333333
MAPK8IP1	-1.0605
FANCD2	-0.662928571428571
ANKZF1	-1.7165
C19orf50	-0.244125
DUSP8	1.714125
SENP5	0.518375
NFKBIL2	-0.5285
LBR	-0.552375
IGFL1	null
LZTS2	0.2915
IL2RG	-0.156625
CCDC51	-0.62525
KLF3	-0.355625
ANKRD37	-2.651
KCTD14	-2.41816666666667
FZR1	-0.288666666666667
SLC44A4	3.5466
ESPL1	-1.43
GMPR2	-0.4025
TBC1D19	0.0538333333333333
ERGIC1	0.499185185185185
ERBB4	3.1115
TSPAN32	0.126166666666667
MAP4	-0.8465
GPHN	-0.47675
SLC6A2	-0.371857142857143
HIVEP1	1.41175
DFFB	-0.2646
EIF4EBP2	0.696625
DMRT1	-1.1305
HSPB6	0.30875
IER2	-0.00416666666666666
AIFM1	0.103
WWC2	-0.281
MRPL4	-0.55175
FLJ21062	1.4485
EPB41L4A	0.24075
SH2D6	0.266
TAF4B	-1.53825
GAL3ST3	0.4235
MALT1	-0.737666666666667
RTDR1	0.64475
ARVCF	0.384125
MEX3B	-1.90433333333333
FBXO16	2.58875
KIF7	-2.356
C1QC	3.976
ZNF783	-0.0151666666666667
ZNF85	0.8475
MMP13	5.974
KIAA0329	0.908428571428571
RTP3	3.528
ZBED3	0.05775
CLGN	2.12
SLC25A37	-1.22370833333333
hCG_18290	-0.687
OR5AS1	-0.2355
SMARCC2	-0.167416666666667
FAM109A	0.381833333333333
CCDC12	-0.5025
USF2	-0.00359999999999996
DEPDC7	-2.46025
C20orf24	-0.260666666666667
JMJD3	0.483
DSP	1.5645
SLIC1	0.799375
FAM20A	1.331375
IRF2BP2	0.620125
ZNF230	-0.2395
MSN	-0.485285714285714
SLC9A5	-0.936
EPDR1	-1.4794
