Hybridization REF	TCGA-BH-A0C7-01B-11R-A115-07
SEC61A2	-0.574083333333333
HIST1H1D	0.0923333333333333
SFXN4	-0.280625
UCP3	0.31
ZNF703	1.90733333333333
MYL6B	-0.37025
TREM1	0.53525
OR52E6	0.2335
CKMT2	2.1595
HLA-C	2.184125
SLC13A3	-0.042
TIMP4	-0.5385
SLIT2	2.1765
RSF1	0.636833333333333
LONRF1	-1.10571428571429
MON1A	-0.488166666666667
CACNG6	-2.15266666666667
DPPA4	-5.5885
ZSWIM3	-0.062
ZNF804A	0.207666666666667
CCIN	2.0145
SLC25A31	0.4775
KCNMB4	-0.3195
RABL5	-0.119875
GALNS	-0.1865
STX6	0.521125
HIST1H1C	-1.87566666666667
CIDEB	1.271125
CASP4	0.528833333333333
PDK3	-0.3093
KCNJ11	1.8305
TPR	0.1395
ZSCAN20	-0.5875
MTX2	-0.64675
HIST1H2BH	-0.628
LOC283767	2.638
LYRM7	-1.29133333333333
BRD3	0.544833333333333
HIST1H2BO	-1.18725
MAGEB10	0.632
SLC45A1	0.7825
SERPINA3	2.29465
KIAA0143	1.14125
KCNJ16	1.629
KRT79	-0.2765
FABP2	-0.70175
NUT	-0.57525
ZNF57	0.5685
FBXL4	0.120375
CLEC9A	0.2735
UGT8	-0.191166666666667
BMP2K	-0.74375
MAPK4	-3.791
SLC25A23	0.1201
HINT1	-0.4112
KRTAP13-1	0.3475
SFXN5	0.8514
CHCHD2	0.368583333333333
FAM3D	0.875
NDP	-3.085375
RHOBTB1	0.933
SLC4A4	-1.73575
RPL38	0.49675
HTF9C	-0.515333333333333
AP2A2	0.560375
ZBTB46	0.1695
MAP7D1	0.231375
AOX1	-1.1965
CYR61	1.47408333333333
DTNA	-0.949214285714286
JRKL	0.1835
TMOD3	-0.04025
EEA1	0.058
ADCK5	-0.257
IL1R1	1.41883333333333
KLK3	0.368642857142857
HRSP12	-0.48975
KTN1	0.63025
LOH11CR2A	0.0983
RELL2	0.18375
MAB21L1	1.9745
C20orf59	-0.547333333333333
PHKB	-0.5235
ADAM2	-0.146166666666667
TBC1D8B	0.983333333333333
FAM13A1	-1.3513125
LAPTM4B	0.584166666666667
LCN8	-0.079
TMEM147	-0.1995
SYT4	-0.197666666666667
XPO7	-1.2065
C9orf62	0.138
GPR75	0.5135
TRIM5	0.991
APOC1	-0.233166666666667
RNASE4	0.715833333333333
PARD6B	-0.143125
ARID1A	0.279166666666667
TPD52L3	0.193
RRAGB	1.02066666666667
RCN2	-0.393833333333333
HIST2H2BE	0.177625
STARD7	-1.054
SHMT2	-1.14225
KIAA1751	0.497833333333333
MLYCD	0.534625
LOC162632	0.1283
UQCRH	-1.239
RP11-217H1.1	-0.1991875
SDHA	-0.205166666666667
NCLN	-0.1748
ZNF17	0.589666666666667
RCBTB2	-1.23925
VEGFB	-0.0996
RP4-747L4.3	0.3965
COLQ	0.7678
MPN2	-0.793666666666667
DRG2	-0.56225
KLRB1	4.93425
ALPK2	-2.3645
DNASE2B	1.6505
FLJ23834	-0.488166666666667
AXUD1	1.1345
SAFB	0.306
NSUN4	-0.1185
RFX2	0.7835
MAPK8IP1	-0.762166666666667
FANCD2	-0.931857142857143
ANKZF1	-1.69816666666667
C19orf50	0.42225
DUSP8	1.082625
SENP5	0.258625
NFKBIL2	-0.316
LBR	-1.60775
IGFL1	-0.225
LZTS2	-0.215875
IL2RG	-0.975
CCDC51	-0.37
KLF3	0.008875
ANKRD37	-0.669
KCTD14	-0.268333333333333
FZR1	0.824166666666667
SLC44A4	3.559
ESPL1	-0.52975
GMPR2	-0.0496
TBC1D19	-1.10333333333333
ERGIC1	0.153407407407407
ERBB4	4.0728
TSPAN32	0.206583333333333
MAP4	-0.213
GPHN	-0.996
SLC6A2	-0.615375
HIVEP1	0.19175
DFFB	-0.8907
EIF4EBP2	0.473625
DMRT1	-0.57275
HSPB6	-0.1395
IER2	1.12816666666667
AIFM1	0.14125
WWC2	0.0203333333333333
MRPL4	-0.21675
FLJ21062	0.383333333333333
EPB41L4A	1.57275
SH2D6	0.072
TAF4B	-1.15925
GAL3ST3	-0.4015
MALT1	-2.0785
RTDR1	0.2665
ARVCF	-0.524875
MEX3B	-0.7975
FBXO16	0.48675
KIF7	-0.667
C1QC	3.74866666666667
ZNF783	-0.281
ZNF85	0.7305
MMP13	3.1935
KIAA0329	0.28425
RTP3	-2.4405
ZBED3	-0.56675
CLGN	2.48225
SLC25A37	-1.76408333333333
hCG_18290	-0.37525
OR5AS1	0.279
SMARCC2	0.450083333333333
FAM109A	-0.112666666666667
CCDC12	-0.55
USF2	0.3159
DEPDC7	-2.28475
C20orf24	-0.3605
JMJD3	0.247
DSP	0.914214285714286
SLIC1	0.301375
FAM20A	0.678875
