Hybridization REF	TCGA-A2-A0SX-01A-12R-A084-07
PTCRA	0.39
FST	-4.69075
VWCE	-3.97075
PAWR	0.0695
ABCC12	0.0156666666666667
LDLR	-0.2369
ASTN2	-0.5378
LOC441212	-0.49725
GPATCH8	0.23975
TANC2	-1.36833333333333
KIF4A	-1.20525
C18orf18	-1.2465
PGM1	-0.652
KIAA0258	0.6345
CPD	-0.286625
SNCAIP	-0.844
DCT	-5.0105
HLA-DOA	3.10036363636364
OR11L1	0.494
UPK1B	2.13966666666667
DNAJB4	0.8865
UGT1A8	-0.4445
HIST1H4L	-1.258
PECR	-1.40183333333333
HSPA2	2.1855
WFIKKN1	-3.903
SERP1	0.856
SYDE2	0.83775
TACR2	0.9075
NUP85	-0.14425
CD177	0.849166666666667
LGR5	-1.65733333333333
PIGG	-0.813416666666667
PTHR1	-1.8875
RAB5A	0.4235
FLJ13224	-0.518
USP9Y	-1.526
C7orf53	-1.7705
LRP1B	-0.894
XAF1	3.4164
ABCG8	-0.384
ANKDD1A	-0.174833333333333
DAND5	0.3565
SPAG6	2.79583333333333
LINCR	3.092
ZDHHC22	-1.5855
CCDC60	0.555
THOC7	-1.655
TCTA	0.2696
OR8K3	-0.22575
NY-REN-7	0.22125
B2M	1.72116666666667
C6orf141	-1.435375
LPPR4	1.7065
SQLE	-1.093125
SEPHS1	-0.0365
BTBD14B	-0.1585
PLRG1	-0.47575
SPG7	-0.1879375
ZNF614	-0.659
PARD6G	-0.215166666666667
INPP5B	-0.1475
GRPEL2	-0.651375
PPID	-0.485
TRIM56	0.0195
UBE2J1	0.708625
IL20RA	2.24575
LOC387856	0.71875
C1orf107	1.65183333333333
UTS2R	0.1115
C19orf22	0.262
SAFB2	0.034875
KIAA0652	0.670375
KLRG1	1.14216666666667
MS4A8B	-0.277
FRAG1	0.03775
KIAA1546	0.271
E2F4	-0.159
CLEC4M	-0.4055
BTBD14A	-1.967
KIAA0999	0.3842
GYPA	-3.6495
TAC1	1.5385
TRAIP	-1.579
KIAA0232	0.5992
ERCC8	-1.759
GPX4	-0.10725
KIAA0368	0.311
GPR157	0.00783333333333332
CTAGE4	0.902
C9orf30	-0.596333333333333
OR52A1	-0.263
HSP90B3P	0.3185
ALG9	-0.8842
BTBD10	0.8475
SDK2	0.134
BAIAP3	-2.77625
RABGGTB	-0.591875
ANKRD40	-0.0546666666666667
KRT74	0.005
CALCOCO2	0.195428571428571
SNCA	-2.66475
TMSL8	-0.293
C2orf53	0.1025
ESRRB	-0.34775
ARHGAP26	-1.019875
TDRD9	-3.1025
HRAS	-0.161
KLRC4	-2.0235
JAGN1	-0.561666666666667
BSDC1	0.45175
RNF43	-1.0867
NDUFAF1	-0.03825
PHF12	0.24225
OR1L3	-0.861333333333333
FOLR2	2.36891666666667
LYZL6	-0.20375
tcag7.1260	-1.214
WSB1	-1.2515
PROS1	-1.0742
OSTN	0.203
PSMB8	1.625
SOCS4	0.206375
DDIT4L	0.478
MAS1	-0.3075
MGC34796	0.27575
CSHL1	0.312166666666667
TBCCD1	1.24716666666667
ZBTB7C	-0.12
AP2S1	-1.302625
P15RS	-0.0143
VAT1	-0.085
SHANK3	0.5225
TUFM	-0.820833333333333
THEG	-0.31075
KRT34	-1.5205
SGSM3	-0.74275
TOMM22	-0.379875
SOCS3	2.00466666666667
CPO	-0.3705
POP4	1.44675
BHLHB3	2.2785
MALL	2.9735
OR1B1	0.116
PARK2	1.343
GPR124	1.434625
LCE1E	0.018
RUVBL2	-1.06975
CGRRF1	-0.3092
ACPL2	0.23225
WNT10B	0.74975
BAIAP2L2	-0.697875
ISCA1	0.032
C1orf125	0.169625
RPAP1	-0.7775
RAI16	-0.9125
RPL27	-0.687375
NLRP9	0.1045
EPN1	0.0405
LOC388610	0.195125
SLC35A1	0.3382
GAL	-3.89
SLC14A2	0.25875
RDH11	-1.20366666666667
FAM138F	-1.021
AUH	-0.788
FLJ40243	0.08675
C14orf129	0.360666666666667
MBD2	-0.666833333333333
ABHD14B	-0.107625
PIGT	-0.078125
ALS2CR4	0.474625
ALAS1	0.6737
FOXO1	1.68966666666667
CRLF3	0.523875
C20orf107	0.1605
FARS2	0.6745
CCDC28A	0.547
NPHP3	-0.95875
OR13F1	0.3395
TSEN54	-0.60875
DEFB106B	-0.1551
OR8B4	0.368
STH	0.1015
ZC3H14	-0.119625
CBX2	-0.4555
TMEM49	-0.519
C6orf21	0.1895
FLJ20920	1.210625
CRTAP	-0.209928571428571
DDX50	0.461
STYXL1	0.7045
BLVRB	0.181666666666667
LOC147650	-0.805
MMP24	-0.28975
GRID1	1.119
BANF1	-0.369333333333333
CTAGEP	-0.04225
HMBS	-2.19175
SLC25A24	0.6725
C14orf50	0.9085
MRO	0.450333333333333
SLC25A15	-0.7575
FAM84B	1.5036
TDP1	-0.572
C16orf78	-0.0988
C11orf57	-1.037125
RFK	-1.0695
ZFYVE9	0.2675
STCH	-0.2407
WIBG	0.0765
LOC283871	-1.014
GBA2	0.2725
NDUFB3	-0.46625
HSD17B13	0.01
GRIN3A	1.7715
FMNL1	1.01616666666667
SEPT7	-0.2392
GNLY	3.691
GRAMD1C	0.949
ZNF165	0.8435
USP38	0.48425
FAM83A	-4.12133333333333
C14orf24	0.351583333333333
ARMCX3	0.4455
ARHGDIB	0.750666666666667
AK1	0.00837499999999999
KIAA1045	0.3645
DNAJB13	-0.5005
NEU2	0.5995
HIST1H4B	-0.520833333333333
FAM20B	-0.6614
HES2	0.594142857142857
FAM73B	-0.4312
LOC388381	0.20975
INTS7	0.569181818181818
AMPH	1.7665
ZNF775	-0.66475
UCKL1	0.1375
C10orf97	0.07775
C1orf161	-0.17775
ALDH1L1	-0.01
FLJ39378	-0.322
SLC23A1	-2.758
RBM4B	0.26425
THAP4	0.238333333333333
OGFRL1	0.22175
KIAA0831	0.183
PPP1R15A	0.0846666666666667
C1orf96	0.714142857142857
C12orf11	-1.121
BMF	1.106625
MAN1A1	0.22125
KIAA1600	1.00066666666667
NLGN4X	0.432
ALOX12	1.67933333333333
RB1CC1	0.1765
NEIL2	-0.6058
EIF4E	-0.365227272727273
ABHD5	-0.0595
EXOC4	0.1555
CIP29	0.388166666666667
BATF2	1.1345
SLC29A4	-1.32075
HTR4	0.9595
EMB	-0.09125
TRAF6	0.3205
LMNB1	-0.51925
FAM19A5	-0.824
SHE	1.628
PIK3C2B	0.76175
C15orf15	-0.8576
USP15	0.4244
TCEAL2	2.03675
C5orf39	1.13516666666667
PTGER2	0.06325
SLC31A1	-0.6405
IFT172	1.0915
ADAM29	0.139
GFOD1	2.09475
ST7L	0.7425
C15orf26	-4.03425
PKN3	-1.3345
CNTD1	2.07366666666667
COMMD1	-0.3725
NTRK2	2.97708333333333
FOXN3	1.104875
MFGE8	0.7978
PFKFB2	-0.253666666666667
TAS2R4	-0.18825
ENTHD1	1.77733333333333
PRMT5	-0.07425
MGC16384	-0.719875
LOC442229	-0.817
TSKU	-0.16525
KRTCAP3	2.596125
PDLIM1	0.4606
KCNS2	0.48775
RNF126	-0.7645
CEP63	-0.3055
CLIC4	1.062
hCG_1990170	5.491
ACR	-0.1784
KLK7	3.64775
ALOX5AP	3.71725
RIPK3	3.772
TAS2R9	0.0385
C19orf18	1.571
BIRC6	0.523428571428571
ZNF16	1.277
RFT1	-0.80775
SLC8A2	-0.67825
TACC1	-0.12575
ITGAD	1.864
SAMHD1	1.99375
SH3PXD2B	1.611
EPC2	1.432
C20orf85	0.34175
ATP13A2	-0.0973333333333333
KRT4	4.333
CAPNS1	1.4315
MDM2	-0.924416666666667
PCDH20	2.83625
KCNK9	0.314
OR2C1	0.273
KLHDC3	-0.0378333333333333
IPPK	0.5575
EFHD2	0.333
GALR3	0.19425
NBEA	-0.996666666666667
ABCA6	3.3878
CLDN3	2.0895
AKT2	0.651785714285714
EGFR	0.1889
RBM16	0.65475
ZDHHC3	-0.6733
SLC25A4	-0.3475
CYB5B	0.0815
CPXM1	1.1505
NDRG1	0.303230769230769
FLJ43826	0.073
OR5L2	-0.129666666666667
FARP2	-0.0152
MRPL46	-0.890166666666667
LDHAL6B	-0.4575
MAPKAPK3	-0.525166666666667
NCAM2	-3.2175
PRKD2	0.533333333333333
ZFP36L1	1.6589
CYSLTR1	-0.412
OR4C3	-0.30575
HIST1H2AJ	-0.648
CCNB2	-1.59433333333333
ZNF10	-0.076875
TMEM175	0.5605
FAM134A	0.8245
TIGD4	0.4415
PCNP	-0.345
MGC39715	0.19025
LQK1	-0.3905
CREB1	0.9187
TMPRSS3	2.87725
C4orf32	-0.546125
LAT	-0.0145833333333333
KCNA3	0.72
SKIV2L2	-0.97075
ROPN1B	0.644
tcag7.23	-0.6285
CDT1	-1.49
ZHX2	1.27825
CD28	-1.04575
ZNF624	0.88825
SEPT2	0.527416666666667
SOHLH2	-1.024125
MCOLN3	1.44275
UNQ1945	0.1345
MASP2	-1.622
ZNRF3	-1.5534
GPATCH3	0.4265
AGL	0.277625
QRICH2	-0.5545
PSD4	1.058
CCNB1IP1	0.17025
ENPP7	-0.2085
OBFC1	0.2545
KCNG3	-1.77725
C14orf79	0.417583333333333
ENPEP	0.891333333333333
SCT	1.627
SKI	0.745875
SEC61G	-1.8265
CAPN11	-0.039
ATXN7L3	0.43375
DBNDD1	0.0253333333333333
FAIM	0.3945
ANKRD36	-0.6575
GABRP	5.0625
TACSTD2	3.04733333333333
EIF3J	-0.665
PPP2R2A	-0.178
TEKT4	-0.992166666666667
PVALB	-4.55833333333333
F10	-3.06583333333333
FAM134C	0.7556
COMP	4.07125
EFCBP1	-2.2950625
SCLT1	-0.06875
TAL1	-1.7883
ACSL1	2.27225
ABCC5	0.377666666666667
ABL1	-0.664166666666667
RBBP7	0.0763333333333333
PTPRG	-0.701
NCOR1	0.0297
SPINK4	-2.64733333333333
TXNRD1	-0.9942
TNRC15	0.436
C9orf138	0.4445
UBE2H	-0.226666666666667
BRDT	0.0238333333333333
C8orf31	-0.1135
CCNE2	0.252272727272727
SLC6A8	-2.2615
CALCR	-3.015
PPP1CB	1.59816666666667
ABHD8	0.203
ARF5	-0.4553
SLC24A4	0.92975
CCT3	0.419
ZNF121	0.23525
SLC3A2	-0.0894
OR13A1	0.234
SLC5A10	-0.84525
RAD50	-0.973
IER5	0.5415
MTHFD1L	-1.435875
MBTPS2	-0.37175
MVK	-0.2665
NCL	-0.1352
PSMD10	0.0665
MOBP	0.443625
FLJ32894	-0.8055
HRH1	-0.335
C5orf30	-0.328
NUDT16L1	-0.5385
RASGRP3	4.22866666666667
PRKRIP1	-0.4132
CCDC75	-0.71675
LOC253970	1.1195
KIAA1239	1.089
MED21	-1.0155
SYT11	1.73183333333333
NTSR2	3.2445
EGFL11	-0.586
CXorf59	0.218
OR2A25	-0.2855
SPTBN2	0.267
LRMP	-0.043
RNF111	-0.04225
PTH	0.274
LOC619208	0.129333333333333
KIAA0895	-1.31525
RANBP5	-0.12675
P2RY10	3.08616666666667
NME5	1.88883333333333
DDX21	0.164
LRSAM1	0.1705
HDAC11	-0.350166666666667
VMO1	1.034
NOLA2	-0.486833333333333
ADAR	1.16616666666667
MTO1	-0.639666666666667
SF4	0.3915
P2RX1	0.891166666666667
HBM	-0.287
EN2	0.266
C14orf172	-0.08675
TM9SF2	1.0596
INHBE	-1.89233333333333
TCTE3	0.171916666666667
TOX2	0.02925
CTAGE3	-0.2855
HBB	3.1227
MED15	-0.409833333333333
CASR	0.00374999999999999
C6orf66	-0.563666666666667
MTPN	-1.037625
UNC50	-0.11025
C21orf33	-0.873125
IRF2	0.880125
PGR	-2.29983333333333
GPR84	3.20575
CROCCL1	-1.3725
SRPX	-1.092
BRE	0.498
FGF10	0.6905
SDC3	1.14433333333333
ZRSR1	0.899833333333333
DKFZP434P211	-0.387125
SOX6	0.7865
RPUSD2	-0.558
C14orf173	-0.752083333333333
MAPK11	-1.11183333333333
TBC1D22A	0.6765
FAM123A	-0.546
COL4A6	-3.0695
TOMM70A	-0.2495
NAB1	0.38025
MGC16385	0.053125
TSPAN18	-0.8515
MED31	-1.3055
PLG	-0.198
CAPSL	1.204
ZNF532	1.3123
ASB14	-0.00849999999999997
CA8	-0.13525
NUDT16P	0.4765
SLFN11	0.6245
LRRIQ2	-0.58775
NOL7	-0.508166666666667
BRMS1L	0.329625
JARID1A	0.442833333333333
PANK2	-0.10175
ICAM3	-0.18675
MDS1	-0.8915
TAF8	-0.06475
RNF139	0.00725000000000001
ZNF594	-0.135
ADAM8	3.41775
SFTPC	-0.59775
MAN2B2	1.467625
RGS12	0.22525
EIF1AY	-5.39872727272727
LRRIQ1	1.12416666666667
GPR150	0.25725
CCDC21	-0.4665
PRRG3	0.7415
SAA4	-3.43275
RAPGEF5	0.49425
ZCCHC2	-0.376833333333333
MGC39372	2.1605
PPP4R2	0.218833333333333
CDCA2	-0.684333333333333
OR4D5	0.857
PTGFRN	1.2218
SIGLEC5	2.20216666666667
C19orf61	0.129
NMUR2	0.068
KIAA1586	-0.890666666666667
DAGLA	-0.124833333333333
CHCHD6	-0.9945
GPR32	0.7105
NEUROD6	0.465833333333333
SLC2A4RG	-1.041375
CA5B	-0.15475
FBXL3	1.30725
MPHOSPH9	-1.24275
HMG2L1	0.06425
HCN4	0.431333333333333
CEACAM19	0.261
SH2D4B	1.5985
HFE2	-0.8995
TGM4	0.227166666666667
LYPD2	0.8895
TBC1D15	0.02275
MRPS21	-0.3677
NONO	-0.4638
CLEC5A	3.033375
ITCH	-0.4686
MGAT3	0.170166666666667
MBP	0.447875
RPP25	-0.11425
SOSTDC1	4.518
HRC	-2.54225
TRIM48	0.00700000000000001
TMEM133	0.00225
ECEL1P2	-1.1355
HOXC11	2.701
DOK5	-0.091
HELZ	0.372833333333333
LOC348180	-0.809
MGC33894	-0.41475
ADRB3	-0.1525
DMD	0.0285833333333333
PTRH2	-1.17575
MPEG1	3.4735
NDUFA12	-0.618666666666667
KRTAP2-4	-0.17125
STAMBPL1	-0.58
ADCY2	-0.398666666666667
UNQ6125	-0.845
KLHL20	0.4025
SRM	-1.028
OTC	-0.33225
TMIE	0.0524999999999999
SNX8	-0.028
LIPK	0.3445
CHURC1	-0.544833333333333
KLC2	0.140333333333333
HDAC1	0.544
FAM128A	-0.815
FNDC3B	0.734
MTCP1	0.0691666666666667
WFDC10B	1.0188
PCDHGB3	0.3065
ATRNL1	-2.0793
CAV2	0.925
MED26	1.08883333333333
DUS1L	-0.243
CHRM3	0.20725
NEK9	1.37125
WARS2	-0.7625
TBX22	0.062
TOMM40	0.43175
RP6-213H19.1	-0.476333333333333
TUBGCP5	-1.10375
IGSF6	5.159
TPPP	0.338333333333333
UNQ6190	-0.308
GSTM5	0.090375
BTD	0.275
PDCD1LG2	1.81733333333333
SNRPB2	-0.198
ERICH1	-0.834625
APOA4	-2.222875
HOXA11	-0.19625
NARG1	-0.636875
MKX	-0.26725
RAB28	0.898
PKP3	1.3545
SH3GL2	-0.027
CTSO	3.25325
RPN2	-0.5933125
IL28RA	1.86383333333333
SFMBT1	-0.15775
WDR57	0.52575
FER1L3	0.620333333333333
HSF5	0.8085
TTC9B	-0.4505
C4BPA	-4.42216666666667
ALB	-4.91742857142857
SORBS3	0.322
UPF2	1
JPH1	0.854
AGBL2	-0.40125
DOPEY1	1.569
TERF1	-0.474833333333333
KIF22	-1.07716666666667
NINJ1	0.54775
SEC61A2	0.42675
HIST1H1D	-0.746166666666667
SFXN4	-0.40725
UCP3	0.58
ZNF703	-0.312666666666667
MYL6B	-0.43225
TREM1	2.47325
OR52E6	0.147
CKMT2	2.2605
HLA-C	2.131375
SLC13A3	0.0065
TIMP4	-1.624
SLIT2	2.117
RSF1	-0.0281666666666667
LONRF1	-0.579857142857143
MON1A	-0.841666666666667
CACNG6	-2.01433333333333
DPPA4	-6.08983333333333
ZSWIM3	-0.527
ZNF804A	1.29183333333333
CCIN	1.512
SLC25A31	-0.0393333333333334
KCNMB4	-1.088
RABL5	0.052625
GALNS	-1.0061
STX6	0.831
HIST1H1C	-3.76266666666667
CIDEB	0.886125
CASP4	0.763666666666667
PDK3	-0.1865
KCNJ11	1.1275
TPR	0.2535
ZSCAN20	-0.614
MTX2	0.041
HIST1H2BH	-1.2865
LOC283767	-0.20625
LYRM7	-0.966666666666667
BRD3	0.787333333333333
HIST1H2BO	-1.65275
MAGEB10	0.546
SLC45A1	0.974
SERPINA3	0.2558
KIAA0143	0.78475
KCNJ16	-0.0466666666666667
KRT79	0.98225
FABP2	-0.515333333333333
NUT	2.28
ZNF57	-0.84725
FBXL4	0.81475
CLEC9A	1.8835
UGT8	1.55916666666667
BMP2K	0.36825
MAPK4	-1.8845
SLC25A23	-1.0807
HINT1	-1.1459
KRTAP13-1	0.736
SFXN5	-0.1313
CHCHD2	-0.948166666666667
FAM3D	0.833
NDP	-2.62775
RHOBTB1	-0.326833333333333
SLC4A4	-0.4025
RPL38	-0.4085
HTF9C	-0.509666666666667
AP2A2	0.4225
ZBTB46	-0.7245
MAP7D1	1.031375
AOX1	-0.808
CYR61	1.17783333333333
DTNA	0.998642857142857
JRKL	0.43
TMOD3	-0.60375
EEA1	0.5101
ADCK5	-0.60675
IL1R1	1.23966666666667
KLK3	0.314538461538462
HRSP12	-0.7425
KTN1	-0.848
LOH11CR2A	1.1411
RELL2	-0.7305
MAB21L1	0.84025
C20orf59	-0.820333333333333
PHKB	-0.056
ADAM2	-2.05783333333333
TBC1D8B	1.36183333333333
FAM13A1	-0.0959375
LAPTM4B	-0.00908333333333332
LCN8	-0.1725
TMEM147	1.268
SYT4	-0.0738
XPO7	0.1955
C9orf62	0.05575
GPR75	0.5405
TRIM5	0.137875
APOC1	0.8125
RNASE4	-0.000833333333333329
PARD6B	-1.8565
ARID1A	0.726666666666667
TPD52L3	0.372375
RRAGB	0.182166666666667
RCN2	-1.10166666666667
HIST2H2BE	-1.3230625
STARD7	0.23225
SHMT2	-0.1315
KIAA1751	1.0285
MLYCD	0.57975
LOC162632	-0.6176
UQCRH	-0.73725
RP11-217H1.1	0.009
SDHA	-0.627666666666667
NCLN	-0.6257
ZNF17	0.468666666666667
RCBTB2	-1.39825
VEGFB	-0.2494
RP4-747L4.3	2.00625
COLQ	0.4867
MPN2	-1.141
DRG2	-0.26725
KLRB1	5.895
ALPK2	-2.09325
DNASE2B	2.325
FLJ23834	-0.343
AXUD1	1.27533333333333
SAFB	0.3752
NSUN4	-0.71875
RFX2	0.403666666666667
MAPK8IP1	0.839833333333333
FANCD2	-0.759571428571429
ANKZF1	-0.334
C19orf50	0.771375
DUSP8	0.710875
SENP5	-0.3105
NFKBIL2	-0.47275
LBR	0.509125
IGFL1	-0.016
LZTS2	-0.114875
IL2RG	1.166
CCDC51	-0.79225
KLF3	1.294125
ANKRD37	-0.99575
KCTD14	-0.039
FZR1	0.340916666666667
SLC44A4	0.3488
ESPL1	-0.84425
GMPR2	-0.3338
TBC1D19	-0.0665
ERGIC1	-0.741333333333333
ERBB4	-1.6458
TSPAN32	0.588666666666667
MAP4	0.544625
GPHN	-0.15225
SLC6A2	2.917625
HIVEP1	1.13525
DFFB	-0.0511
EIF4EBP2	0.544875
DMRT1	2.418
HSPB6	0.04075
IER2	0.4095
AIFM1	-0.654
WWC2	-0.163333333333333
MRPL4	-0.242
FLJ21062	-0.519333333333333
EPB41L4A	0.469416666666667
SH2D6	-0.096
TAF4B	0.20975
GAL3ST3	-0.4155
MALT1	-0.55
RTDR1	0.10775
ARVCF	0.866125
MEX3B	0.467333333333333
FBXO16	-0.61925
KIF7	-0.40575
C1QC	3.5455
ZNF783	0.302
ZNF85	1.104
MMP13	4.463
KIAA0329	0.0355
RTP3	-1.56
ZBED3	-0.1945
CLGN	-1.89875
SLC25A37	-1.01508333333333
hCG_18290	-0.5225
OR5AS1	-0.411
SMARCC2	0.183
FAM109A	0.2445
CCDC12	-0.13225
USF2	1.6994
DEPDC7	-1.70725
C20orf24	-0.212166666666667
JMJD3	0.7585
DSP	2.003
SLIC1	1.5325
FAM20A	2.26125
IRF2BP2	0.593375
ZNF230	-0.437
MSN	0.0785714285714286
SLC9A5	-2.5465
EPDR1	-0.3039
MUSK	-0.305
